8/4k3/5R2/4Pp2/5P2/3pK3/2r5/8 b - -,d3d2
3r1qk1/1p2ppbp/r2p2p1/1Nn5/p1P1PPBB/Pn5P/1PR3P1/3RQ2K b - -,a6c6
2k4r/pp6/4p1b1/3p2nN/2p2RP1/2P3KP/PP6/4R3 w - -,g3h4
3r1rk1/p1q2pbp/1pp2np1/4n3/Q1b1P3/2N1B1P1/PP3PBP/R1N1R1K1 w - -,f2f4
qr4k1/1r3pbp/p5pQ/1P3PP1/P1p1P3/2Pn3P/3B2K1/1R3R2 w - -,h6h4
r3r1k1/3bb1p1/4p3/3pPpN1/n1pP1P1P/ppP5/1P2NKP1/R1B1R3 w - -,f2e3
rn1q1r2/3b1pkp/2pp2p1/p2n4/N2P4/5P2/1PPQ2PP/2KR1BNR w - -,h2h4
2r4r/1p4k1/pPpPp1p1/P1PpPqp1/3K1p2/3Q1P1P/6P1/1R2R3 b - -,h8h4
r1bq2k1/ppr2p1p/3bpnp1/2NpN3/3P1P2/2R1P3/PPQ2PBP/2R3K1 b - -,d8e7
2rr2k1/pp3pb1/2n1qnpp/2pNp3/4P3/2P3PP/PP2QPB1/R1B1R1K1 b - -,c6e7
2q5/p1r2k1p/2pb1pp1/3p4/1P1P2P1/P1Q3NP/4RPK1/8 w - -,c3b3
b1q1r1k1/R4pb1/4p1pp/2p1B3/1pPpP3/1P1P1P2/3N2PP/Q4NK1 b - -,g7e5
r1r1b1kn/1pp5/1q1b1Qpp/3P1p2/p1N5/P1N1P2P/1PB2PP1/2RR2K1 b - -,d6h2
r1bqk2r/ppp2pbp/2np2pn/4p3/2P1P3/2NP2P1/PP2NPBP/R1BQK2R b KQkq -,e8g8
r2qrbk1/2pb1pp1/p4n1p/1p2p3/2n1P3/2P3NP/PPB2PPN/R1BQR1K1 w - -,b2b3
5r1k/2qbnp1p/pr1p2pb/4p3/Pp1pPP2/1P1P2PN/2PQ2BP/1R3RNK w - -,d2f2
2brr1k1/qp3pb1/p5pp/P7/3pPP2/P1BP3P/6B1/1RQ1NR1K b - -,d4c3
r3r3/pp3kpp/4bp2/3p4/3BnPP1/2P5/PP2B2P/2KRR3 w - -,d4g1
2k1r3/1R3b1p/3p1pp1/N4P2/4P1P1/7P/2K5/8 b - -,f7g8
r3r1k1/1pqn4/2p2np1/p7/P1PP3p/5P2/2Q1N1PP/R3R1K1 w - -,c2g6
r2r1k2/p2nppb1/5npp/1B1p4/3PNBP1/2P2N1P/PP3P2/R3R1K1 b - -,d5e4
r1b2r1k/ppp3pp/2nb1p2/4p2q/2B5/PPQPP3/1B1N1PPP/R4RK1 b - -,c6d4
r3k2r/ppq1bpp1/2p1pnp1/3n4/P1pP4/2N1PBP1/1P2QP1P/R1B2RK1 w kq -,e2c4
6k1/1p3p1p/pqnn2p1/3p4/3N4/1NP2P2/PP3QPP/6K1 w - -,d4c6
rn1qkb1r/1p2pppp/p1p5/3n3b/3P4/2N1P2P/PPQ2PP1/R1B1KBNR w KQkq -,c2b3
8/3q2kp/2b3n1/b1P1p1Bn/4P2P/1R3P2/P2p2QP/3R3K w - -,d1d2
r1bqkb1r/1p2pppp/pn6/3pP3/1n1P4/2NB1N1P/PP3PP1/R1BQK2R b KQkq -,b4d3
r7/pp2n1pp/1b1nkp2/4p3/8/1NP3P1/PP1NKP1P/3RB3 b - -,a8c8
r1r3k1/p2n1ppp/1p2pB2/5N2/2P5/1P3KP1/P4P1P/R3R3 b - -,d7f6
8/1p6/p4r1p/4Rp1k/5P1P/1P5K/P7/8 w - -,h3g3
2br2k1/5q2/p6p/n2p2p1/3P1p2/P1NQ1P2/5BP1/4R1K1 w - -,d3b1
rk1b3r/1pp3pp/1q3n2/1B1pQ3/P2P4/8/1PP2PPP/R1B1R1K1 b - a3,b8a7
8/6kp/pN2pp2/8/3n4/P7/1P4PP/6K1 w - -,g1f2
rnbq1rk1/pp3ppp/4pn2/2pp4/2PP4/P1P1PN2/2Q2PPP/R1B1KB1R b KQ -,b7b6:d8a5
r4rk1/5pb1/p2p3q/3PpBN1/1p3B2/8/PPP3Q1/1K3R2 b - -,e5f4
4R3/2r3k1/2p2p2/1pPp3p/p2P4/P1B4P/1P2KP2/2b5 b - -,g7f7
rb3rk1/5p2/6pp/p2P3q/P3Q3/3B3P/2P3P1/R4R1K b - -,h5g5
r1r3k1/pp2ppbp/3pbnp1/q5B1/2P1P3/2N2P2/PP1QB1PP/2R1K2R w K -,b2b3
6k1/1p3p2/p1bp1Pp1/7p/P7/6RP/2q2rPK/2B2Q2 w - -,f1g1
3r3k/1p4pp/8/3q1p2/PP2p3/4P1P1/2Q2P1P/2R3K1 b - -,h7h6
rnbq1rk1/ppp2ppp/3p4/b2Pp3/3P4/2P2N2/PP3PPP/R1BQKB1R w KQ -,d4e5
r1b1r1k1/p1ppbp1p/2p3p1/N5Bn/2B1P2P/2P2P2/PP3P2/2KRR3 b - -,e7g5
6K1/4k3/4n2P/2pR1R2/8/8/8/7r w - -,h6h7
4q1k1/2p2p2/1pNp2p1/p2Pb2p/2P4P/1P3QP1/P5PK/8 w - -,h2g1
r7/3pk2p/p3p2r/4Ppp1/1P6/1nP3P1/3RN2P/R5K1 w - -,d2a2
6k1/5pp1/6n1/3Q2P1/1pB5/1P3P2/P7/1K2q3 w - -,b1c2
r3k2r/ppqbbp2/2n3pB/2p1pP2/3pP1n1/3P2NP/PPP3B1/RN1Q1RK1 w kq -,h3g4
rnb1k2r/pp2ppbp/1qpp1np1/8/P2PP3/2N2N1P/1PPB1PP1/R2QKB1R w KQkq -,a4a5
8/8/3k2p1/r2p3p/2pK1P1P/P3R1P1/8/8 b - -,a5a8
r4rk1/pp3ppp/1q2pn2/n1p2b2/3P4/P1P3P1/Q2NPPBP/R1B2RK1 w - c6,e2e4
r2r2k1/q3pp1p/p3n1p1/1p1bPn2/5P2/1P6/P2B1QPP/1NR1RBK1 b - -,a7b7
r1bq1rk1/2p1p1bp/p1n1p1p1/1p1n4/3P3P/1QN1BN2/PP3PP1/3RKB1R w K -,h4h5
2rq1rk1/pp1bppbp/2np1np1/8/3NP1P1/1BN1BP2/PPPQ3P/R3K2R b KQ -,c6d4
r4r2/2pq1pkp/1p1p2p1/pPnP4/P3Pp2/4Q3/1PB3PP/R4RK1 w - -,e3d4
4r3/8/1pk5/p2Rp2p/P1P3PP/5P2/5K2/8 b - -,e8f8
3r3r/1Pk2pp1/p3pnp1/2R5/4P1P1/1B3P1q/PP2Q2P/5RK1 b - -,c7b7
8/2k1n3/6p1/6Kp/8/5P2/5B1P/8 w - -,g5f6
5r2/p2R4/1br1n1pk/5p2/2P1p3/P3P2P/8/1RB1KB2 b - -,e6c5
r1b2k2/1p5p/2p3q1/p7/P2B2p1/1PP3QP/8/5RK1 b - -,f8g8
r3kb1r/pp3ppp/2n2n2/4pb2/8/2P1BN2/PP2BPPP/RN1qK2R w KQkq -,e2d1
4r1b1/8/p7/kp4R1/3NPK2/P7/8/8 b - -,a5a4
rnbqk2r/pp1ppp1p/7b/2p5/3PP2p/4P3/PPP2KPP/RN1Q1BNR b kq -,c5d4:d8b6
r2q1bk1/1p6/p2p4/3Pp3/4Pnr1/NQ4B1/PPR5/5RKN b - -,f8e7
r2qkb1r/pp1n1ppp/2pp1n2/4p3/2PPP1b1/2N2N2/PP2BPPP/R1BQK2R w KQkq -,c1e3
8/1R3pk1/6pp/8/4NK1P/5P2/8/6r1 b - -,g1h1
5N2/5R1p/3r2pk/8/2B1p3/4nbP1/2K4P/8 w - -,c2b3
8/7p/1p4p1/3k1p2/PP1prP2/2p2KPP/2R5/8 w - -,a4a5
r3k1nr/pp1b1p1p/2n1p1p1/q2pP3/P1pP2Q1/2P2N2/2PBBPPP/R3K2R b KQkq -,h7h6
1r4k1/1qn1bp1p/2b1p1p1/3pP1Pn/p4P2/N1B5/BPP1Q3/2KRR3 w - -,e2e3
2r2rk1/pp2ppb1/1q5p/1n2Pbp1/3P4/P3B2P/1P1NBPP1/R2QR1K1 b - -,b5d4
1r4k1/5p2/p2q2pb/2pP3p/2PpNP1P/P1nQ2PB/4R2K/8 b - -,c3e4
4k2r/1P1nbn2/p1P5/4p1qp/4Pp2/Q4P2/PP4P1/1K1R3R b - -,e7a3
1r3rk1/1p3pbp/p1qpp1p1/2n5/P1P1P3/1PN1BP2/2Q3PP/2R2RK1 w - -,f1d1
rnb2rk1/ppppqppp/4pn2/8/2PP4/P3PN2/1P1b1PPP/RN1QKB1R w KQ -,d1d2
2rr2k1/2q2ppp/p3p3/3n2P1/1pnBNP1P/8/PPP5/1KQ2R1R w - -,f4f5
r4rk1/pp1n2p1/2pqb2p/3p1p2/3Pn1PP/2NBPN2/PPQ2P2/2KR3R b - g3,e4f2
8/1pR5/p4k2/3p2p1/1P1P4/5PPr/P6p/7K w - -,g3g4
8/5p1k/4p2p/p2nP1pP/1p6/1PqN4/P1r2PP1/3QR1K1 w - -,e1e2
1r3rk1/3bpp1p/pqpp1npQ/7P/4P3/1PN2P2/P1P3P1/2KR1B1R b - -,b6a5
1r1qr1k1/ppn2pPp/3p4/2p5/2P5/1P3Q1P/P2BBPP1/3R2K1 w - -,e2d3
r1bq1rk1/1p2bppp/p2p4/4n3/4PN2/2N1Q3/PPP3PP/1K1R1B1R w - -,c3d5
4k3/4P3/3KN2r/2P1B3/8/8/p7/8 b - -,e8f7
5b2/B4k1p/6p1/4pp2/1P2P3/5P2/6PP/6K1 b - -,f8b4
r2qkb1r/pb1n1ppp/1p1ppn2/8/3NP3/2P3P1/PP3PBP/RNBQR1K1 b kq -,d8b8
3rr1k1/1p1n1p1p/1Np1b1p1/4p3/4P3/b1NPB1PP/5PB1/1R3RK1 w - -,c3a4
3r1rk1/1p3pp1/2n1p2p/2P1P3/pq6/5N2/P4QPP/2RR2K1 w - -,f2c2
r1r3k1/pp2p2p/n2p2p1/1NpP1p2/2P2P2/4BP2/P1B4P/R5K1 w - -,a1e1
8/2q1K3/2P1Q3/6pk/8/7P/8/8 w - -,e7f8
3rr2k/1p4p1/p2pq2p/3R1p1b/1PP1pP2/P3Q1PP/2R2K2/5B2 b - -,h5f7
2r5/p3kp2/1p2b1p1/n3p3/P1p1P1P1/2P1bP2/1PB2K2/3R1N2 w - -,f1e3
1R4k1/R7/2b1r1rp/6p1/3pNp2/1P3P1P/3K2P1/8 b - -,e6e8
r2qk2r/2pNbppp/p1n1pn2/1p4B1/2pP4/2N1P3/PPQ1BPPP/R3K2R b KQkq -,d8d7
2N3k1/1p1r1p1p/5Bp1/1n1P4/2n2P2/6P1/5K1P/3R4 b - -,g8f8
r4k2/1p1qpprp/p2pb1p1/8/3Q1N2/4R3/PPP2PPP/R5K1 b - -,a8c8
2r1r1k1/1p1nppbp/3p2p1/1p1Pn1B1/4P3/1P3PPP/P3N1B1/R2R2K1 w - -,e2d4
r1bq1rk1/ppp1np1p/6p1/1B1pb3/4P3/2P5/PP3PPP/RNBQR1K1 w - -,e4d5
r3qrk1/3b2pp/p1pb4/2p1p3/2PpP3/BP1N3P/P3QPPK/R4R2 b - -,e8e7
r2r1q2/1b1n1pbk/p5pp/Pp2p3/1Pp1Pn1P/1BP1B1N1/Q2N1PP1/R2R2K1 w - -,b3c2
5r2/pNR3pk/2p4p/3pn3/1R6/2P3PP/PP2r3/6K1 b - -,f8f2
r2qr1k1/pp1nbppp/2p2n2/3p4/4P3/3P2PP/PP3PB1/RNBQ1RK1 w - -,b1c3
8/8/R7/p3r3/K6k/1P6/8/8 b - -,h4g4
r2r2k1/pp1nqp1p/4pb2/3P1p2/7N/1P2B1P1/P3QPKP/3R1R2 w - -,d5e6
2r5/5kp1/p3p1p1/1pqpRr2/3Q1P1P/P1P3PK/1P6/3R4 w - -,e5f5
3q1r1k/3n1p2/pp2pbp1/2P5/2P1B3/4R1P1/P1Q2P1P/3R2K1 b - -,b6c5
r1bqk2r/pp1n1p2/3b1n1p/3p2p1/3Pp1PP/2N1P3/PPQN1P2/R1B1KBR1 w Qkq g6,g1h1
r1bq1rk1/p2nbppp/2n1p3/1pppP3/8/3P1NP1/PPP1QPBP/RNB1R1K1 w - -,c2c3
1k1r1b1r/1pp2ppp/pq2p3/3n4/1P6/2NQ1BP1/P4P1P/1R3RK1 w - -,b4b5
r3nrk1/1bp1q3/3p2p1/pNPP3P/4Pp2/P4P2/3QB3/1RR3K1 b - -,g6h5
8/3kbp2/4p1p1/4P3/p2B1P1p/7P/1P4P1/6K1 w - -,g1f2
8/R4p2/5k2/7p/3N4/p3P3/5PK1/r7 w - -,a7a6
5kr1/1p4r1/p1pPp1pp/4Pp1P/1P1P1P2/1P4R1/5K2/6R1 b - -,g6g5
4k3/1R6/5p2/2Pp1P2/3P4/4K3/8/5r2 b - -,f1f5
r2qk2r/1bpn1ppp/1p1ppn2/8/1pPP4/P3PN2/1B1QBPPP/R3K2R w KQkq -,a3b4
8/2k2p2/3p4/3P2pp/2PbPp2/3N1P1P/4K3/8 w - -,d3b4
1k1r3r/pp2qpnp/2p3p1/3p4/3P4/3QP2P/PP2NPP1/1KR4R b - -,g7f5
r1bqr1k1/4bp1p/p2p1npB/1ppPn2P/5N2/N1P2P2/PP1Q2P1/2KR1B1R w - -,h5g6
8/3k1p2/3pp3/1p3r1p/3R3P/5rP1/1PP1RP2/4K3 b - -,f5c5
r2q1rk1/pp1nbppp/2pp1n2/4p1Bb/4P3/1BNP1N1P/PPP2PP1/R2Q1RK1 w - -,a2a3
3r1rk1/pb3ppp/1pnqp3/2P5/3p1b2/1P1N1B2/P4PP1/B1RQ1R1K b - -,b6c5
6k1/p2rbp2/1p2p1p1/4P3/1nP5/5N2/PB3PPK/2R5 w - -,b2d4
r3k2r/pp1nbppp/1q2p3/3p1b2/3P1B2/2P2N1P/PP1QBPP1/R3K2R w KQkq -,f3e5
5k2/p7/8/5B2/2P3p1/8/P3K2P/6b1 w - -,f5g4
8/7p/5np1/p1p1kp2/2P5/PP3BP1/3K3P/8 w - -,d2e3
r2q1rk1/1p1n1ppp/p2p4/3Pp1b1/7P/1N1Q1P2/PPP2BP1/R3K2R b KQ h3,g5h6
5k1r/1pbb1ppp/2nppn2/rB6/P3P2Q/2P2P2/1P4PP/2KRR3 b - -,c6e5
r1b2rk1/1ppnqppp/3pp3/8/p1PP4/P1Q1PN2/1P2BPPP/2R2RK1 b - -,b7b6
2rr2k1/1bq1bppp/p1n1pn2/1pp5/2P2P2/P1NPP2P/1BQ1B1P1/R3NRK1 w - -,c4b5
r3r2k/1pqb2pp/3bpp2/p2p4/Pn1P1P2/1P1N1B2/1BPQ2PP/4RR1K w - -,f3h5
8/8/4k3/1p1p1pp1/1P1P2P1/4K3/5P2/8 w - f6,f2f3
3q1rk1/p3bppp/4pn2/2rp4/PpPN4/1Q3PP1/1P2P1KP/R1B2R2 w - d6,c4d5
6k1/4bppp/3ppn2/8/2P1qn2/7P/PB1Q2P1/R5K1 b - -,e6e5
r3nr1k/3b1ppp/p2pp3/2n5/1q1NP3/2N2PQ1/BPP3PP/3R1R1K w - -,d4b3
3r1rk1/1b2qpbp/1p4p1/p1np4/2P5/1P2BP2/P1N1BQPP/3R1R1K w - -,c4d5
1rb3k1/4b2p/p1N1Ppp1/3B4/8/5P2/Qq4PP/3R3K b - -,b2b7
r4rk1/1bqnppbp/p2p1npB/1pp5/3PP3/2P2P2/PP1QBNPP/R2N1RK1 b - -,a8c8
r2q1rk1/1pn1ppbp/1n1p2p1/p2P4/P1p1P3/1PP1NP2/4N1PP/R1BQ1RK1 b - -,c7a6
r4rk1/1p3p1p/p2p4/3PP3/P1p2PP1/2Nb1R2/1P5K/R7 w - -,e5e6
8/5pkp/r3p1p1/p1p1K1P1/2P5/3P4/R7/8 w - -,a2a4
2b1r1k1/5pp1/1p1q4/p2pr2p/2p2R2/2Q1P1P1/PPBK3P/3NR3 w - -,a2a3
1r2b3/4kppp/8/2N5/PP1R4/4PP2/6PP/6K1 b - -,b8a8
r5k1/4pp1p/3p2p1/2pP4/4PP2/2b3KP/PR4P1/R7 w - -,a1b1
5k1n/5nb1/6p1/p2pP1q1/3P4/N2B3Q/P6R/7K b - -,g5c1
r6r/pN1nkp2/1pp1p1p1/3nP3/3P4/1R3N2/P4PPP/2R3K1 w - -,c1c6
r4rk1/p1q1bppp/2bppn2/1p6/3BP3/PBN2P2/1PPQ2PP/R4RK1 w - -,a1d1
6r1/8/5K2/P3R2P/5k2/8/8/8 w - -,e5b5
r1k4r/pppn1ppp/4b3/8/5B2/P1PP1N2/2KR2PP/4R3 b - -,h8e8
8/5pk1/ppp3r1/3rPRp1/1P1P1n2/P3B2P/6P1/5RK1 w - -,e3f4
r6r/pbp3k1/1p2pp2/5n2/5Bpp/P2B4/1P3PPP/R4RK1 b - -,f5d6
r2r4/pp2q1kp/4bpp1/3pp3/Q1P5/1P4P1/P2NPP1P/3R1RK1 b - -,e6d7
3qr3/6kp/6p1/1pP5/3Pp3/4Q1PP/P5B1/6K1 b - -,b5b4
5rk1/5pbp/2r1p1p1/p3q3/P2p1R2/1P1Q4/2P3PP/4NR1K b - -,f7f5
r3kb1r/1pp2bpp/pn3q2/5p2/1P2p3/P1N1P2N/1Q1PBPPP/R2R2K1 w kq -,b2c2
5qk1/5p1p/6p1/4Q3/6P1/4P3/3r1P1P/R5K1 b - -,d2d8
r1b1n1k1/ppq1nr1p/3p4/P1PPp1p1/1PN1Pp2/5P2/4B1PP/2RQ1RK1 w - -,c5d6
5r2/p4pkp/8/P2r1P2/2n5/5B2/4P2P/R5K1 w - -,f3d5
r3k2r/p1qb1ppp/1pp1pn2/6B1/4P3/2PB4/P1P2PPP/1R1Q1RK1 w kq -,f2f4
r1b1k2r/1p2qpbp/p2p1np1/2pPn3/P4B2/2N1P2P/1P1N1PP1/R2QKB1R w KQkq -,f1e2
r1bqk1nr/pppp1ppp/2n2b2/5N2/2B1P3/2P5/PP3PPP/RNBQK2R b KQkq -,g8e7
r3brk1/5pnp/3p1Rp1/2pPq3/ppP1P1P1/1P1B3P/P4QK1/5RN1 w - -,f2g3
r2q1rk1/ppp1nppp/2n1bb2/2Pp4/3P4/1PN1BN1P/P3BPP1/1R1Q1RK1 w - -,g2g4
rn1qkb1r/pp3ppp/2p1pn2/3p1b2/8/3P2P1/PPPNPPBP/RNBQ1RK1 b kq -,f5g6
8/5ppp/4p3/2k5/p1r5/2K1P1P1/5P1P/R7 w - -,c3d3
3r1kn1/p4p2/1pn2b2/2p5/5P2/3PP2B/PP3P2/1R1R2K1 b - -,a7a5
5rk1/7p/1q4p1/1P1p4/P2pp3/6P1/2P1Q2P/1R4K1 w - -,g1h1
2rq1rk1/p2n1ppp/bp2pn2/3p4/1b1P4/2N2NP1/PP1BPPBP/1QR1R1K1 b - -,d8e7
2r5/6pk/1r5p/pp1pp3/2n5/1RP1P1P1/2N2P1P/R5K1 w - -,c2a3
8/p2n2r1/2p1k3/2P2p1p/4p2P/P3P1P1/4BK2/2R5 b - -,d7e5
8/5pk1/1R5p/5p1P/1p6/4P1P1/5PK1/1r6 w - -,g2f3
r1r3k1/1p1b1ppp/n2p1n2/1p1Pp3/8/P1N2P2/BPP1N1PP/R1R4K w - -,h1g1
1k1r4/1p1q1pb1/4P1p1/8/Q3B3/1R2P2r/P7/1KR5 b - -,d7a4
8/4b3/6k1/4p1p1/1p1p2K1/1P1P3P/2P1NP2/8 w - -,e2g1
2q5/3n1ppk/2rP2p1/p1B5/PP6/5P2/6PP/2RR2K1 w - a6,c1b1
6k1/5p1p/1b2p1p1/8/rPR5/P5P1/R4PKP/8 b - -,e6e5
8/1pk2p2/p3p2p/2q2p2/P4P2/1P4P1/2P1Q2P/1K6 w - -,e2h5
