8/P4Rp1/6kp/r4p2/2p5/4P2P/5PP1/4K3 w - -,f7c7
8/8/p3pk1p/1p4p1/1P4KP/6P1/P4P2/8 w - -,h4g5
3r1r1k/1p3qpp/2pp4/1pn1p3/4P1N1/P1P3PP/1P2RP2/2KQR3 w - -,c1b1
r2qkb1r/pp1n1pp1/2p1pn1p/3p1b2/2PP4/5NP1/PP1NPPBP/R1BQ1RK1 w kq -,b2b3
8/1p6/3k4/1b5B/4p2K/R7/6r1/8 w - -,h5g4
5k2/4rp2/1N1p1q1b/p2P3p/B3r3/2PQ2p1/PP3PKP/6R1 w - -,h2g3
8/p5pp/1pp1kp2/r7/2PP1P1P/PR2P3/7K/8 b - -,e6f5
r4rn1/1pqnppkp/p2p2p1/2pP4/P1P1PP1B/2PB3P/5QP1/R4RK1 w - -,h4g3
3Rr1k1/1nq2pp1/1pp3Rp/p3np2/P1B1P3/BPN5/4Q1PP/7K b - -,c7d8
4r1k1/5pbp/2Qn2p1/q3p3/P7/2nPPB2/5PPP/2RR2K1 w - -,c6c3
3k4/3b4/p4RN1/5pP1/1P6/r7/8/1K6 w - -,g6e5
r1b2rk1/pp2ppbp/3p2p1/q7/2PBP3/2NQ4/PP3PPP/2R2RK1 w - -,d4g7
6k1/1R3pp1/2p4p/1r1n4/1q6/4P1P1/2Q2PBP/6K1 w - -,b7d7
r3k2r/1ppbqppp/2np2n1/p7/2P1PP2/P2BBNPP/1PQ2K2/R6R b kq -,e8g8
8/1R2p3/4k1pp/4P3/2N2nP1/2r5/5K2/8 w - -,c4e3
1r1r2k1/7p/6p1/5p2/R3p2P/P5P1/1BP2P2/1K6 b - -,d8d2
r1bbr1k1/5ppp/1pp2n2/p1B1P3/8/2P2NN1/P1p2PPP/R3R1K1 w - -,e5f6
8/q1n1p3/6k1/3Pp3/1R2Pp2/P4PpP/7K/5Q2 w - -,h2g2
3r1rk1/pp1nppbp/6p1/3b4/1P1p1B2/P3PN1P/3KBPP1/2R4R w - -,e3d4
2rr2k1/3q2bp/p1n1bpp1/1pp2n2/4BP2/P1PPN3/5QPP/1RB1NRK1 b - -,c6e7
6k1/6p1/4r2p/p1Nn4/3r4/4pKP1/P3R2P/R7 b - -,e6f6
8/3r1p1p/p1k1b1pP/R1n3P1/1R6/P4PK1/4P3/8 b - -,d7d5
rn1qkb1r/pp3ppp/2p2pb1/3p4/2PP4/3BP3/PP3PPP/RN1QK1NR w KQkq -,b1c3
8/2p4q/2k5/2P5/Q7/P1K1B3/7P/8 b - -,c6b7
r4rk1/1bq1bppp/p1np1n2/1pp2P2/8/2NP2PN/PPP3BP/R1BQ1R1K b - -,c6e5
6rk/2p1b2n/1p1p2q1/p1P2p2/P2PpB1p/2P1P2P/3NQ1P1/6RK b - -,d6c5
3rr1k1/p4p2/Q1Rb2p1/3p1n1p/N2P1P1q/P3PR1P/6P1/2B3K1 w - -,a6d3
r1b1r1k1/pp3pb1/n2p1npp/q2PP3/2p2P1B/2N2N2/PP1QB1PP/R4RK1 b - -,d6e5
8/1nk5/pp2r1p1/3p1p1p/P1rPp2P/R1P1P1P1/3BKP2/5R2 w - -,f1b1
rn1qkb1r/pp2nppp/2p1p3/3pPb2/3P4/1N6/PPP2PPP/R1BQKBNR w KQkq -,g1f3
2rr2k1/1p1nbppp/1pp1p1b1/3pP3/2P2BP1/2N4P/PP2PPB1/2RR2K1 w - -,c4d5
2bq1rnk/1p3p1p/r2p2p1/1NpPp1bn/P1P1P3/R3N1P1/5PBP/2BQ1RK1 w - -,c1b2
5rk1/p4rp1/1pp3qp/3pB3/2nP1P2/2P2R1P/P4QP1/4R1K1 b - -,a7a5
2r2rk1/1B2ppbp/p2p2p1/8/1P6/N1P1n1PK/1P1QPq2/R2R4 b - -,f2f5
8/4kp1p/1n2p1p1/1n6/1P1NP3/P1R3P1/5PKP/r7 w - -,d4b5
2Q5/5ppk/4p2p/pP2P3/5P2/P3q1P1/6KP/8 w - -,c8c2
8/1Rp5/p2p4/k2P4/3KP1P1/5P2/r7/8 w - -,b7c7
8/7p/2b3k1/5p2/5B2/6P1/1PP5/1K6 w - -,b1c1
4r1k1/5b1p/p5nB/2p1q3/2p1B3/6P1/P6P/1Q3RK1 w - -,b1b7
rn1q1rk1/pb3ppp/1p1ppn2/2p3B1/2PP4/P1Q5/1P1NPPPP/R3KB1R w KQ c6,d4c5
8/2Pk3p/1p1Pp3/5rP1/P7/4K2P/8/8 w - -,e3d4
3r2k1/1bp2pp1/2q1pn1p/1p6/1PpPP3/5N1P/2PRQPP1/rN2R1K1 w - -,c2c3
8/p2n1p1p/1pp2kp1/8/4PP2/P1N1K1PP/1P6/8 b - -,f6e6
5rk1/1bR3pp/5q2/pP6/4pr2/4QP2/P3P1BP/3R2K1 b - -,e4f3
rn1qkbnr/pp2ppp1/2p5/3pPb1p/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq h6,h2h4
r1bqnr2/2p2pbk/1p1p2pp/p1nPp3/2P1P1PP/2N1B3/PPQNBP2/R3K2R b KQ -,f7f5
3rr1k1/p3qpbp/1pp3p1/n2p4/3P2bP/1P1NP1P1/P2RNPB1/2RQ2K1 w - -,d1f1
r3r1k1/4qppn/p2p3p/1pp2b2/P3P3/2PP1Q2/1PB3PP/R3R1K1 w - -,f3f5
r6r/p1q1bpk1/1np1p1Pp/1pp1P3/2P1RBP1/3P1N2/PP2QP2/3R2K1 b - -,f7g6
r4rk1/5p1p/p1p2pb1/8/2p2q2/P4P2/2Q1BP1P/2B3RK b - -,f4d6
r1b1kb1r/1pq2pp1/p2ppn1p/8/3QP2P/1BN5/PPPB1PP1/R3K2R b KQkq -,c8d7
r5k1/1pN3pp/p1p2r2/3p4/1P3P2/P7/1n4PP/1R3RK1 b - -,a8c8
r2q1rk1/pp1bbppp/2npp3/4P3/2BP4/2P2N2/P3QPPP/R1B1R1K1 b - -,d6e5:d6d5
1r1q2k1/1r3p2/4pPp1/3p4/p2P2P1/R1P4Q/1P3R2/6K1 w - -,a3a4
3r4/pp1r2k1/5pp1/4p3/2P1q2p/1P1p1R2/PQ2PK1P/3R4 w - -,e2d3
1r1q1rk1/pb2bppp/5n2/2ppN3/1n3B2/P1N3P1/1P2PPBP/2RQR1K1 b - -,d5d4
2r2r1k/1ppb3p/1n1p2p1/3P4/p5P1/1PR1B2P/1P3PB1/4R1K1 w - -,e3b6
3rk2r/pp1b1pb1/7p/Pq2p3/6nR/1N3BP1/1P1BPP2/R2Q1K2 b k -,h6h5
r1bq1rk1/pp2ppbp/1n1p2p1/2p5/4PP2/2PP1BP1/PP2N2P/R1BQ1RK1 w - -,c1e3
5bk1/N4p1p/6p1/5q2/1P1B2r1/2P2bQ1/5P2/R4K2 w - -,g3e5
r2q1bbr/pp1k4/2nnpp2/2pp3B/3P2PP/2P1PPB1/PP4K1/RN1Q1R2 w - -,b1a3
2r2rk1/pp1q1pBp/4b1p1/3p4/3P4/6P1/PP1Q1PBP/R4RK1 b - -,g8g7
r2rk1nQ/3b1p2/2pB4/1p1p1pq1/p2P1N2/4PPP1/PPP5/2K4R w - -,h8e5
8/1p3b1k/1P1Bp3/p2pPP1p/n1rP4/7K/4B3/6R1 b - -,c4c3
8/6p1/3kpp2/1p1nb1pP/1P2B1P1/3KP3/8/4B3 b - -,d5c7
r3k2r/1pqn1p2/2p1bnpp/p7/2P1Pp1N/1PQ3PP/P5BK/3R1RN1 w kq -,f1f4
2r3k1/5pp1/4p2p/pp1n4/8/P3PP2/1P3KPP/1B1R4 b - -,b5b4
8/1pk2p2/1npb4/p4P2/5PNr/2P4P/P2KN3/7R b - -,b6d5
r7/4k2p/4P1p1/p1N1np2/1n2p3/4P1P1/5P1P/3R1BK1 w - -,d1a1
8/1p5p/p1p3p1/2Pk1p2/1P3P1P/2Q3P1/7K/5q2 b - -,d5e4
8/1p1k1pp1/7p/PP6/2r5/1R4P1/4PK1P/8 w - -,a5a6
4R1rk/6pb/p5q1/1p2Q1Pn/8/2P1R2P/5P1K/8 w - -,e8e6
r1n1k2r/3n1pb1/q1p1p1p1/p2p3p/N2PP3/2PQBP2/P5PP/1RN2R1K w kq -,d3a6
r1bqk2r/1p1nBppp/p1np4/2p1pP2/2B1P3/2NP1N2/PPP3PP/R2QK2R b KQkq -,d8e7
6q1/pp1n1k1p/3Br3/4bP2/3p4/1Q6/PP5P/5R1K b - -,f7e8
8/8/8/1pNkpb2/1P1p4/3P4/3K4/8 w - -,c5b3
r2qk2r/1bpnbppp/ppp1p3/4P3/8/1P1P1N2/PBPNQPPP/R4RK1 w kq -,e2e4
2r5/1k2bnpp/p3p3/P3Pp2/3R1P2/1p1P1KP1/1P1B1N1P/8 b - -,e7c5
6k1/6bp/4p1p1/3pP1P1/p2B3P/2P3K1/P1n5/5B2 w - -,f1b5
r1q1r2k/p3bbpp/1p3p2/2p5/3P1Q2/2N1PNP1/PP2P2P/R2R2K1 b - -,e7f8
2r3k1/1q3ppp/p7/np1rp3/8/P1P1B2P/P1Q2PP1/R3R1K1 b - -,a5c4
7k/p7/8/1Ppr4/P1N5/5KP1/8/8 b - -,d5d4
1rb2rk1/4npbp/1qnpp1p1/ppp5/4PP2/P2PBNP1/1PPQ2BP/R2N1RK1 w - -,h2h3
2rq1rk1/5ppp/p2b1n2/1p1Pp1B1/4B3/1Q6/PP3PPP/2R2RK1 b - -,d6e7
8/4k2p/p1p2r2/1p3K2/1P4P1/P1R5/7P/8 w - -,f5g5
4R3/p4pkp/5p2/2pb1P1q/8/1P1P4/PBP2QPP/6K1 w - -,f2g3
2r2bk1/p4pp1/2qp1n1p/Pr6/3P4/2p2NQP/5PP1/R1B1R1K1 b - -,g8h8
8/1q3kb1/2b1p2p/p1B2p2/P1BP4/5PQ1/6P1/1r1R2K1 w - -,c4e6
r1b1Q3/p4pkp/1p3qp1/8/2p5/5P2/PP4PP/2KRR3 w - -,e8e5
8/8/8/4N3/1P1nn3/3N1pk1/4p3/4K3 b - -,d4c2
r3r1k1/1pqn1pbp/p2p1np1/2pP4/P3P1P1/2NB2QP/1P3P1B/R3R1K1 b - -,d7e5
7k/2r4p/1p2rp2/pP1p2p1/3P4/B3N1P1/4PP1P/1R4K1 w - -,e3d5
2rr2k1/4ppbp/1qp3p1/pp2P3/3n4/1P2NQPP/PB3PK1/2RR4 w - -,b2d4
8/3r4/p1r2pk1/1p1n1Rp1/1P1P2P1/P2R1K1P/3B4/8 b - -,d7d8
1rr1n3/3b1p2/3pk1pb/Np2p2p/1P2P3/2NR1P2/2P2BPP/3R2K1 w - -,f2a7:g2g3
5k1r/1bq1nPb1/p2pP3/1p1P2B1/6Q1/2p1R2P/P5P1/3R3K w - -,e3g3
8/8/b4k2/2N1p1p1/P3PpP1/3P1P2/8/7K b - -,a6c8
4k3/4b2R/4N3/3PpKP1/8/5P2/r6p/8 b - -,e8d7
3rr3/pp3kp1/2pbpn1p/5p2/1PPP1P1P/P4KP1/1B2RN2/4R3 b - -,d6c7
5rk1/8/1p1q2p1/p1pP4/P1P4Q/5pPP/5K2/4R3 w - -,e1e6
8/p7/3bk1p1/5p2/P3pB1P/4P1P1/5P2/6K1 w - -,f4d6
2r2rk1/qp1b1ppp/2p2n2/p7/3N4/1Q2P1P1/PPR2PBP/2R3K1 w - -,c2c5
r3r1k1/ppb2ppp/2p1b3/2Pq1p1Q/1P1P3n/P5NP/1B3PP1/R3RBK1 b - -,f5f4
3r1rk1/pbq1ppbp/1p3np1/8/P2P4/3B1N1P/1P1B1PP1/R2QR1K1 w - -,d2c3
1rb5/pp4kp/6p1/3B1p2/8/2P3P1/PP3P1P/5RK1 b - -,g7f6
r1q2rk1/1ppb2bp/3p2p1/3Pp1B1/1PP1Bn2/5N1P/3Q1PP1/1R2R1K1 w - -,b1b3
r1r5/5Rbk/4p2p/p2nP1p1/P1N5/6P1/1P1B1P1P/2R3K1 b - a3,a8b8
r2r4/3bn1k1/p2p1q2/1p1Pp3/1P2P1p1/P2B1pP1/3Q3P/2RN1R1K b - -,d8c8
8/8/3K1k2/5p1p/5Pn1/5NP1/7P/8 b - -,h5h4
3r2k1/1b2rp1p/4pnp1/p3N3/1p6/P2BP3/1P3PPP/2RR2K1 b - -,d8d5
3k4/p4pp1/3rp3/1P1n2P1/P7/1BR1KP2/8/8 w - -,b3d5
3r2k1/p7/2pp1q1p/4r1p1/2PR2P1/4Pp1P/P4P2/2RQ2K1 w - -,c1b1
r1b1r1k1/1pp2pbp/p1p3p1/2n1P1B1/3N4/2N5/PPP2PPP/R3R1K1 w - -,f2f4
2rr2k1/pp3pp1/2b1p2p/n7/2PP4/P2RBP1P/4B1P1/2R3K1 b - -,c6a4
r4r1k/6bp/3q2p1/1pnNpp2/2Pp4/Pp1PP1P1/1B3PKP/1R1Q1R2 w - b6,e3d4
1rbq1rk1/1p3pb1/p2pp1np/6p1/4P3/1nN2P1P/PPPQ1BP1/2KR1B1R w - -,a2b3
8/8/p3p3/1p1kP2K/1Pq5/P3Q3/8/8 w - -,h5g5
4R3/1p3rk1/2p3p1/2P4p/p4P2/4Q1K1/Pq5P/8 w - h6,e8a8
3r2k1/p5pp/1p3p2/P1nnp3/8/4P1PP/1P2KPB1/2R1B3 b - -,e5e4
2q2rk1/R4ppp/8/3p4/3Q4/6P1/2r1PP1P/3R2K1 w - -,a7e7
8/p5k1/5p2/1Pq1n1p1/4Q2p/7P/5PP1/5BK1 w - -,e4f5
r1bqkbnr/pp1npppp/2pp4/8/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq -,g7g6
r1bn1rk1/1pQ2ppp/p5q1/8/8/N1P2B1P/PP3PP1/R3R1K1 w - -,c7g3
1r6/4k3/1P1n4/2N5/1K6/4R3/8/8 b - -,e7f7
3r1b2/3r1pp1/2k5/1nppPP2/p7/B1P1NPK1/P2R4/1R6 w - -,a3b2
r1bqk2r/pp2bppp/2np1n2/2p1p3/2B1P3/P1N2N2/1PPP1PPP/R1BQ1RK1 w kq -,h2h3
6k1/8/1P3R1P/6K1/1r6/5p2/8/8 w - -,g5g6
r7/4bp2/p1r1ppk1/7p/R2PK2P/4P1P1/R2N1P2/8 w - -,e4d3
8/5bpp/3k4/2p1p3/2PpP1P1/1P5P/3R1K2/1r1B4 b - -,f7g6
r4rk1/pb2bppp/4pn2/1P2B3/8/5N2/PPB2PPP/R4RK1 b - -,a8c8
8/q5k1/3p1p2/3P1Pp1/P1P4r/1P3Q1p/7P/2B1rR1K b - -,e1f1
r1b1k1nr/1pqn1pbp/p1ppp1p1/8/P2PPB2/1BN2N1P/1PP2PP1/R2QK2R b KQkq -,g8f6
3r2k1/ppQ2pp1/4p1bp/7r/3P4/qPB5/2PR1PPP/4R1K1 b - -,a3d6
1br2r1k/3nq1np/p2P1ppB/2p5/BPN1p3/P7/4QPPP/2R2RK1 b - -,e7e6
4b3/8/1K2Bk2/5P2/2P5/1r6/8/2R5 w - -,b6c7
2r3k1/pQ3pp1/4qn1p/2b1p1B1/4P3/4N1P1/PP1r1PBP/R5K1 w - -,g5f6
r3k3/1pp3p1/1p1bpnNp/8/r3P3/P2N1PP1/1PP1K2P/R6R b - -,e8f7
r2qk2r/pb1nbppp/1pn1p3/2ppP3/5B1P/3P1NP1/PPP2PB1/RN1QR1K1 b kq -,h7h6
r2q1rk1/1bp3p1/np1ppn1p/p4p2/2PP1B2/1Q3NP1/PP2PPBP/2RR2K1 b - -,d8e8
r1br4/ppp1qpbk/2n2npp/1B2p3/4P3/2N1BN1P/PPP1QPP1/3R1RK1 b - -,c8d7
8/8/pk1PN3/1p3p1p/5P2/1P1b4/P4KP1/8 b - -,b6c6
5rn1/pp1q1rbk/4b1pp/2p1pp2/2PpP2P/PP1P1PP1/3BN1BK/2Q1RR2 w - -,e2g1
8/3k1N1p/4n1p1/1P1p4/7P/6K1/5P2/8 b - -,e6d4
rnbq1rk1/ppppbppp/5n2/4p3/2P1P3/2N3P1/PP1P1PBP/R1BQK1NR b KQ e3,d7d6
3qr1k1/1p1r1pbp/p2p1np1/P1pP4/8/2N3P1/1P2PP1P/R1BQ1RK1 w - -,c1g5
8/4b3/1k2p3/3pP1p1/K2P2P1/6N1/8/8 b - -,b6c6
1r3r1k/Q2R2b1/1pq4p/2p1p1p1/8/2BP1PP1/4P1K1/5R2 b - -,b8a8
r1bqkb1r/pp1n1ppp/4pn2/2pp4/5P2/1P2PN2/PBPP2PP/RN1QKB1R w KQkq -,f1b5
rn2kb1r/pp2pppp/2b2n2/2p5/2BPq3/1QP2N2/PP3PPP/RNB1K2R w KQkq -,c1e3
5r1k/1ppR3p/pb1p2b1/3B1n2/8/2P2P1R/PP6/5N1K b - -,h7h5
8/2Nb3p/1p1p1kp1/1P1P4/2PK3P/8/7r/4R3 w - -,e1f1
r1bq1rk1/1pp2ppp/p1n2n2/2bpp3/B3P3/2PP1N2/PP1N1PPP/R1BQ1RK1 b - -,c5e7
r2q1rk1/pp2pp1p/2npb1p1/8/2P5/2N5/PP1QPPPP/R3KB1R w KQ -,e2e4
r2qkb1r/pppnpppp/3p1n2/8/2PPP1b1/2N2N2/PP3PPP/R1BQKB1R b KQkq e3,g7g6:c7c5:e7e5
8/R7/5k2/6R1/7P/6K1/Prr5/8 w - -,a7a6
1rb1k2r/1q1n4/4p1pp/p2pP1N1/1bPR1QPP/8/1P4B1/2K1B2R b k -,h8f8
5r1k/6np/3p4/p1p1bpq1/5N2/3P1Q1P/P1P3B1/5R1K w - a6,a2a3
r1bqk2r/1p2ppbp/p1np1np1/8/2P1P3/2N1QN1P/PP3PP1/R1B1KB1R w KQkq -,f1e2
8/1p2kp2/1P2pqp1/2Pp3p/1r1P3P/Q5P1/5PK1/5B2 b - -,f6d4
r5k1/5p2/p1p2bp1/2Ppq2p/1P5P/PN3QP1/5P2/3R2K1 w - -,d1d3
1r2r1k1/p1q2ppp/4bn2/2pp4/8/1PNB1Q1P/P1P2PP1/3RR1K1 w - -,f3g3
rn1qk2r/pb2bpp1/1pp1pn1p/4N3/4N3/3PB1P1/PPP1QPBP/R3K2R b KQkq -,d8c7
5r2/6kp/2NPN1pn/1b1B4/2p3P1/7P/8/7K b - -,g7f7
r1r5/1p2kppp/1p2pn2/n2p4/3P1BP1/PbN1PP2/1P2BK1P/2R4R b - -,a5c4
8/5kp1/p3p3/PbNpP3/3P2K1/4P3/8/8 b - -,b5f1
5rk1/1r4pp/1pnqbb2/p1p1p3/P1P1Pp2/1RBP1N1P/4BPP1/QR4K1 b - -,f8b8
r1q1r1k1/1bNn1pbp/p1nB2p1/8/3pP3/5N1P/B4PP1/R2QR1K1 b - -,d7e5
r7/p1p2p1k/bp1p1P1p/n3pP1Q/q1P4P/2PB4/P1R3P1/5RK1 b - -,a6c4
r2r2k1/2q3pn/5p2/4p2p/p1b3nP/Q4NP1/PP2PPB1/2R2RK1 w - -,f3d2
1kr5/6R1/1B6/PK6/8/8/8/8 w - -,b6c5
r3kb1r/pppb1p2/1qn1p2p/1N2P1p1/5P2/3BB3/PPP3PP/R2Q1R1K b kq -,b6e3
8/5pp1/3k3p/2r5/2pP4/2K1P1P1/P4P1P/8 w - -,d4c5
2kr4/1pp2ppp/p2rpn2/8/2P3q1/6R1/P1B2P1P/1Q3RK1 b - -,g4c4
r1br2k1/ppqn1ppp/2p1p3/2P5/2NP4/6P1/PPQ2PBP/R4RK1 w - -,f1e1
rn2k2r/pp1qnppp/4p3/3pP3/8/2P1B3/PPN2PPP/R2Q1RK1 b kq -,b8c6
r2q1rk1/pb4pp/1pp2n2/3pNp2/3PNP2/PQ2P3/1P2B1PP/3R1RK1 b - -,f6e4
4N3/6p1/2k5/2p3pP/p7/P1KP1b2/8/8 w - -,e8g7
2r4k/7p/1R2p3/4P1p1/2p2P2/2P3P1/1P3Q1P/3qrBK1 b - -,c8f8
r6r/ppk2pp1/2nnp1b1/2Np2Pp/3P4/BP2P2P/P4P2/2R1KB1R w K -,f2f3
4N3/8/8/3pk1p1/6b1/4K3/8/8 w - -,e8c7
8/8/4Q1pk/5r1p/5b2/7P/6K1/8 w - -,e6e7
rn1q1rk1/pbp1bppp/1p2p3/3n4/3P4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,f3e5
r1b2rk1/2qn1ppp/p1pbp3/1p6/3PQ3/4PN2/PP2BPPP/R1BR2K1 b - -,c8b7
r4rk1/1ppqbppp/1n1p4/p2P4/P4Pb1/1N1Q2P1/1PP3BP/R1B2RK1 w - -,f4f5
8/5kp1/5n1p/2N1p3/8/5P1P/5KP1/8 w - -,f2e3
1rbq1rk1/p1N1bppp/1p2pn2/8/1n1P1B2/5N2/PP3PPP/1BRQ1RK1 b - -,e7d6
r1bq1rnk/1ppn2b1/p2p2pp/3Ppp2/P1P1P3/2N3PN/1P3PBP/R1BQ1RK1 w - f6,f2f4
8/4B1k1/5R2/3BK2p/4P3/2r2r2/8/8 w - -,e7f8
r1bqkb1r/1p3ppp/2np1n2/p3p3/2P1P3/1N1BB3/PP3PPP/RN1Q1RK1 w kq -,f2f3
8/1p6/p7/P1P4p/4K2k/4P2P/8/8 w - -,e4f3
5r2/2pQ2k1/pp4pp/8/2PnN2P/6P1/1b2RPK1/3q4 b - -,f8f7
8/2k5/p7/4p3/2p1P2p/2N1KP2/P7/7r b - -,h4h3
6r1/pp1kn3/4p3/8/2pP4/P1P2KBp/7P/4R3 w - -,e1e5
r3r1k1/1pq1pp1p/p2p2p1/2nP4/2BQ4/7P/PPP1RPP1/4R1K1 w - -,h3h4
2r1k2r/bp2npp1/p3p2p/n1q1P2P/2P1b3/3B1NB1/P3QPP1/2R2RK1 w k -,e2e4
rq5k/p5pp/1p2p3/1B3nN1/1P2Q3/8/P2r1PPP/2R3K1 b - -,g7g6
8/6pk/7p/R7/2K5/p1P4P/8/r7 w - -,c4b3
r1b2rk1/2q2p1p/p3p1p1/1p1nP3/4Q2P/1N1B4/PPP3P1/2K1R2R b - h3,c8b7
3r2k1/2ppn3/4p3/P1P1N1p1/4R1P1/P1K5/4Rr1P/8 b - -,f2f1
8/8/1Pk5/2P5/3K4/2R5/6b1/8 b - -,c6d7
r5k1/1b1qbp1p/1p1ppnp1/1N6/P3PP2/3PBN2/4Q1PP/2R4K b - -,a8a4
8/3p1k2/p3p3/5p2/1PR4p/2P4K/1r5P/8 w - -,c4h4
8/4pk2/R5p1/p2r3p/1b6/1P2BP1P/P3KP2/8 w - -,a6c6
