8/1p4pp/p3bpk1/P7/3BKp2/8/7P/8 w - -,d4c3
6k1/p7/3N2p1/1Npp3p/5K1P/3r4/P3r3/8 b - -,d3h3
r2q3k/3nbppp/3p4/1prP4/5B2/1B3Q2/PP2R1PP/1K2R3 b - -,e7f8
r1b2rk1/pp2p1bp/n2q2p1/5p2/7P/1NP1QNP1/PP2PP2/3RKB1R b K -,d6f6
rnbqkbnr/pp1ppp2/6pp/2p5/4P2P/5N2/PPPP1PP1/RNBQKB1R w KQkq -,f1c4
rn1q1rk1/pp2ppbp/2pp2p1/4P3/2BP2b1/2P2N2/P1P2PPP/R1BQR1K1 w - -,e5e6
7K/8/5Q2/8/8/7q/1p6/k7 w - -,h8g8
2r2k2/1bp2R2/pp1p1npp/3P1qN1/2P2P2/8/PP1Q2PP/3B3K b - -,f8g8
2k3r1/1pqr3p/p2p1p2/8/4P3/2b4Q/PPP3PP/1K1R3R w - -,b2c3
r2qk2r/1p3pbp/p1b1p3/2p1N3/P2n1P2/2NQ4/1PP3PP/R1B2RK1 b kq -,g7e5
r1b4Q/pp2qkb1/2p1n2B/3pp3/2B5/8/PPP2PPP/R4RK1 w - -,h6g7
r1b1r3/pp3k2/n1pR1bpp/4pp2/2P4P/1P3NP1/PB2PPB1/R5K1 b - -,e8e6
r1bqk2r/pp1pppbp/2n3p1/8/2PN4/2N3P1/PP2PPBP/R2QK2R w KQkq -,e2e3
8/3k4/8/2R4p/2P1N1bP/2r3P1/5K2/8 b - -,c3f3
r3rbk1/pppq2pp/1np1bp2/4p3/PP2P3/3PNN2/2PB1PPP/RQ3RK1 w - -,f1d1
4r1k1/p5rp/4p1p1/1p1bPp2/2pP2Pq/2P2P1P/P1B2R1K/2Q2R2 b - -,e8f8
1r3r1k/2q4p/3p2n1/pp1Bpp2/5P2/2P1Q1P1/PP1R3P/R5K1 w - -,g1h1
2r2b2/pp1q1p1k/r5pp/3P1P2/2p1P3/P1BP2R1/Q6P/6RK b - -,c4d3
1qr2rk1/1b1nbppp/pp1ppn2/8/NPPNP3/P2QBP2/4B1PP/1RR3K1 b - -,f8e8
8/8/1pk2q2/pR4p1/P1P4p/1P4P1/5PK1/8 b - -,h4g3
3r4/1p2k1pp/2p2pb1/p1P1p3/N1BnP3/PP3PP1/5K1P/2R5 w - -,a4c3
rnb2rk1/pp3pp1/1qp2b1p/8/5BP1/1N3B2/PPPQ1P1P/2KRR3 b - g3,c6c5
1k1r4/pp4p1/2q5/4prP1/1P2R2p/P2p1P1P/3N1PK1/3QR3 w - -,e4e5
8/8/8/1pkn3R/p7/1K6/P7/8 w - -,b3c2
8/1b1rqpkp/p5p1/4n3/N3PQ2/2P5/1P2B1PP/5R1K b - -,d7c7
r3r1k1/pp3p2/1np2Bpp/8/2n1P3/1R3B2/PP4PP/2KR4 b - -,e8e6
3r4/p4p2/1p2b1k1/2p1n3/6pR/2P3P1/PP1NBP2/2K5 w - -,b2b3
r4rk1/1pb2ppp/2b1pn2/4n3/PP6/2P4P/2Q2PP1/R3RBK1 b - b3,b7b6
5r2/p6p/Pp1kp1n1/3pp3/1Pr5/2PN1PP1/4K2P/2R4R b - -,e5e4
4r1k1/3R4/8/2p5/3b3P/1P1p4/P2B1PP1/6K1 w - -,d2e3
5k2/3n1p1p/2RN2p1/p1n5/6P1/2N1K3/Pr3P1P/8 w - -,g4g5
r3kb1r/pp1q1ppp/1np1p3/3n2P1/7P/PP1P1QN1/1BP2PB1/R3K2R b Kkq -,d5e7
1r5k/3K1P1p/p2N1PpB/8/2P5/8/1n2q2P/8 b - -,e2g4
q3r1k1/pbrnbppp/1p1ppn2/8/3PP3/3B1N2/PP3PPP/R1BQRNK1 w - -,f1g3
r1bqr1k1/pp2bppp/2p2n2/3n4/3P4/1BNQ1N1P/PP3PP1/R1B2RK1 w - -,f1e1
2r1k2r/2qb1ppn/p3p3/1pb1p1B1/4P2p/5QPP/PPP2PB1/1N1R1R1K w k -,g3h4
8/ppkn1pp1/2p2r2/6p1/8/6PP/PPP1RPB1/2K5 b - -,c7d6
r5k1/r2bBQbp/3P2p1/8/8/6P1/1P3P1P/2R1R1K1 b - -,g8f7
8/8/8/8/2Q4K/1r6/k7/1q6 w - -,c4a4
r2qr1k1/1pp3pp/2nb1p2/4p3/p6N/PbQP2P1/1P1BPPBP/2R1R1K1 b - -,a8a6
r1r1k3/4nppp/p3p3/1pB5/1P6/P2R2P1/4PPKP/2R5 b - -,e7d5
8/8/2k1K3/5R2/2n4r/8/8/8 w - -,f5f3
r4rk1/pp2qpbp/3p2p1/2p2P2/2PpP3/3P4/PBP3PP/R2Q1RK1 b - -,g7e5
1r6/p4ppp/P7/4P3/2k2P2/1p2K3/1R4PP/8 w - -,e3d2
r1bqr1k1/ppp1npb1/2n3pp/2B1p3/1P6/2NP1NP1/P3PPBP/2RQ1RK1 b - b3,c6d4
2rq1rk1/pp2bpp1/2n1b2p/2p5/Q2p4/P2P1NP1/1P1NPPBP/1R3RK1 b - -,a7a6
8/1p6/pN1Q2pk/P3n3/8/2P2q2/1P6/6K1 b - -,e5g4
8/8/6k1/p2R2p1/P2Nn1Pp/1P5P/2P3K1/3r4 b - -,e4f6
8/3K3k/q6p/P3Q3/8/5P2/8/8 w - -,e5e7
r3k2r/2q2pp1/pn2bb1p/1p2pN2/4P3/2PB4/PP1NQ1PP/4RRK1 w kq -,g1h1
7R/8/2N5/8/2K3k1/8/3r3P/8 b - -,d2c2
r1bqr1k1/1p2bp1p/1np3p1/p1npP3/P2N1P2/1PN2BQ1/1BP3PP/R4R1K w - -,f3g4
r5k1/6p1/3b1P2/ppppq3/8/2PP2PQ/PP3PN1/R5K1 b - -,e5f6
rnb1kR2/1p4p1/p3p2p/8/2BNp2P/8/P1P4P/1R4K1 b q -,e8f8
r5k1/1pp2rp1/3pb2p/q7/3nNP2/P2P1P2/5RBP/2RQ2K1 b - -,a5a3
r2q1rk1/1pp2pb1/p1n3pp/4pb2/P1BP4/2P1PNN1/1P1Q2PP/R4RK1 b - -,f5g4
R7/1p1rqpnk/2p1p1pp/2Q1P3/3P4/6P1/5P1P/R5K1 w - -,c5a7
r1b2rk1/pp1nqp1p/2pp1bp1/4p2n/2PPP3/2N1BN2/PPQ1BPPP/R2R2K1 w - -,d4d5
8/5ppp/3k4/3P4/pqr1rP2/1p1QP3/5KPP/2R1R3 w - -,c1b1
1q1rn3/6k1/1pPp1np1/4pp1p/1PP5/5P2/3QB1PP/R4R1K b - -,e8c7
3r3k/7p/1p2Bb2/4QP2/1P5p/3p4/6P1/4R1K1 b - -,f6e5
r1bq1rk1/bpp3pp/p1np1n2/4pp2/B3P3/2PP1N1P/PP1NRPP1/R1BQ2K1 w - -,e4f5
8/6pk/4Rrb1/pB5p/PqpQ4/5P2/1P4PP/6K1 w - -,e6e5
r4k2/p4pb1/1p2p3/n4p2/6bN/2q3P1/P2Q1P1P/1R2RBK1 w - -,d2d6
r3r1k1/p1pq1ppp/1p1p1n2/8/2P5/1PQP2P1/PB2PPbP/R3R1K1 w - -,g1g2
rnbq1rk1/pp3ppp/4p3/2pp4/2PPn3/P4N2/1PQ1PPPP/R1B1KB1R w KQ c6,d4c5
r7/p1pk2pp/2pbrpb1/8/8/2N1B3/PP1R1PPP/4R1K1 w - -,e1d1
1r3k2/p4Bpp/1q6/5P2/1r3n2/6Q1/P4P1P/3R1RK1 w - -,f1e1
2kr1b1r/1p4p1/p1pp1p2/6p1/4P3/2N4P/PPP2PP1/2KRR3 w - -,e1e3
rq1rb1k1/1p2npp1/p3p1np/4N3/3PQ3/P1NB4/1P3PPP/2RR2K1 b - -,e8c6
r4rk1/1bp1qpbp/1p4p1/p3p1n1/P1N1n3/NQP1P2P/1P2BPPB/R3R1K1 w - -,b3c2
3r2k1/p4ppp/8/2pQ1P2/8/P7/1P4PP/5RK1 b - -,d8d5
5k2/1p2n3/r2q2pb/2pP1p1p/P3P3/2B2PPb/3PQK1P/R6R w - f6,h1b1
r1b1k2r/q4ppp/2np4/p1bNp1B1/2B1P3/5QP1/PRP2P1P/4K2R w Kkq -,c2c3
r5k1/7p/b5p1/R1P1rp2/8/3p1P2/PP1Np1PP/4R1K1 b - -,a6b7
8/pp6/8/P2p4/2pPb1p1/2P3k1/8/5NK1 b - -,g3f3
r1b1kbnr/1pq2ppp/p1npp3/2p5/4PP2/2NP1N2/PPP1B1PP/R1BQ1RK1 b kq -,g8f6
rn2r1k1/p5bp/3p2p1/2pP4/4B2q/5P1P/PP4P1/R1BQ1K1R b - -,e8e4
3r1rk1/p3bpp1/4p2p/2q5/3RQB2/R5P1/1PP2P1P/6K1 w - -,f4e3
r2qrbk1/1b1p1pp1/p4n1p/n1p1pN2/1p2PP2/P1NP3P/BPP3P1/R1BQ1RK1 w - -,a3b4
8/8/8/5pk1/8/2R5/6K1/5r2 b - -,f1f4
2r1r1k1/p5p1/q1p1b2p/1pR2p2/3PpP2/1P2P2P/PN3QP1/3R2K1 w - -,g2g4
r7/8/8/1R1P4/p5k1/P7/1P3K2/8 b - -,g4f4
6rk/5q2/p1r2p1p/1p1Rp2P/2P5/4R3/1P2QPP1/6K1 w - b6,b2b3
rn2k2r/p1q2p2/2b2p1p/1B5Q/8/2P5/3N1PPP/1R2K2R b Kkq -,c7e5
8/4n1p1/2p1k3/1p6/3PP1P1/5KP1/r7/1RB5 w - -,g4g5
rnb1k2r/1p1p1pp1/p2b1q1p/2p5/4B3/4BN2/PPPQ2PP/2KR3R b kq -,d6e7
r2qkb1r/pp3pp1/2n1pn1p/2p4P/3P4/3Q1NN1/PPPB1PP1/2KR3R w kq -,d2e3
rnbqk2r/1p2bppp/p3pn2/3p4/3P1B2/P1N2N2/1P2PPPP/R2QKB1R w KQkq -,f3e5
8/6kp/3p2q1/1BbPpb2/5p2/5P2/2N1Q2P/R6K w - -,a1c1
4r3/1pq3kn/pNp1p1b1/P1PpPp2/1Q3Pp1/1P2P1P1/4BK1R/8 w - -,b4d4
3r2k1/8/4q1p1/7p/p3p2P/4Q1P1/PP3R2/1KNr4 b - -,d8c8
5k2/R7/3b1r1p/1p1N4/6K1/1P5P/8/8 b - -,h6h5
4r1k1/5q2/p1pb4/1p6/3Pb1np/2P1N3/PP1B1Q1P/R5K1 w - -,e3g4
r1k2n1r/ppN2n2/2b1p3/2p1P1B1/8/2PB2P1/PP2QP2/R3K3 w Q -,g5h4
4k3/5p1p/p5pB/1prNbb2/PR2p3/1P6/5PP1/6K1 w - -,a4b5
2r5/6nk/4Q2p/2ppp2P/2P1PpN1/2N2Pb1/PP6/2K4R b - -,g7e6
5rk1/1p5p/n5p1/1p6/3qp3/1P1bR2P/P2Q1PP1/2R3K1 b - -,a6b4
2rq1rk1/pb1nbppp/1pp1pn2/3p4/2P5/1P1P1NP1/PBQNPPBP/R4RK1 w - -,e2e4
r7/P4p1k/5b1p/2B3pP/4pP2/8/1Pb3B1/1R5K w - -,b1e1
4r3/8/6k1/N5p1/3B4/4N1K1/p4P2/8 b - -,e8d8
1rb2rk1/1q2bppp/8/pNpp4/2P1n3/P2QB2P/1P1N1PP1/2KR3R w - -,d2e4
3rr1k1/5pb1/3P1np1/1p6/1Q5p/1P1B2N1/1q2R1PP/3R3K b - -,e8e2
5rk1/pbr1qpp1/1p2p2p/1P6/3Pp3/P1N1P3/1Q3PPP/2R2RK1 b - -,f8c8
4r3/pp3B1p/3Q2pk/8/4qp2/1P5P/P5R1/6K1 w - -,f7e8
r1br2k1/1p3p1p/1qn1pbp1/p2P4/4P3/1NN5/PP1QBPPP/3RK2R w K a6,e1g1
r3k2r/1bq1bppp/p1npp3/1pN5/4PPP1/P1N4P/1PP2QB1/R1B2RK1 b kq -,d6c5
1k6/2r5/2P1K1p1/3N2P1/8/1p5p/P6B/8 w - -,h2c7
rq2kb1r/1b1n1ppp/4pn2/1N2p1B1/5P2/2N5/PPP1Q1PP/2KR3R w kq -,e2c4
2rr2k1/pp1b1pbp/n5p1/qN2p3/4n1P1/1BN1B2P/PPP1Q3/1K1R3R w - -,c3e4
3K4/2RR1pk1/r1N3p1/4P3/8/8/8/5r2 w - -,d8e8
1rq3k1/p2R1pbp/6p1/8/1Qb4P/2P3P1/PP3PB1/R5K1 w - -,b4d6
8/7p/1r1pk1p1/6p1/4P3/1p3P1P/r2RK1P1/2R5 b - -,e6e5
rnb1kb1r/ppp2pp1/3p3p/4p1q1/3PP3/2PB2P1/PP2NP1P/RN1QK2R b KQkq -,h6h5
7k/R7/6p1/4Kb1p/7P/8/8/8 w - -,e5f6
r7/4p1k1/1p1p3p/p1r1n1p1/2P5/1P4PP/P2RBP2/3R2K1 b - -,a5a4
1k1rr3/pp2npq1/1bp1p1p1/3pP2p/5PP1/P2P1B1P/1PPB4/1K1RQR2 b - -,h5g4
r4r1k/4q1pp/p7/1ppRp3/4P1Pb/1PQ5/PBP4P/1K5R b - -,e7b7
rn1qkb1r/pbpp2pp/1p2pn2/5p2/2PP4/2N1PP2/PPQ3PP/R1B1KBNR b KQkq -,g7g6:c7c5
3r2k1/p3p1b1/6p1/2pPP2p/2R1Ppr1/R4K2/PP4P1/8 w - h6,a3a7
8/1kp1q2p/1pp1r3/3p2p1/P2P4/1P2P2P/3Q2P1/4R1K1 b - -,h7h5
5r2/ppk1PP2/5Bp1/2qp2P1/2pR4/P7/1P5P/5RK1 b - -,f8f7
8/8/8/5k2/2KB4/8/4R3/3r4 b - -,d1b1
r1b1k2r/ppp1qp2/1nn1p1p1/3pP1Np/3P1Q2/2N5/PPP2PP1/2KR1B1R w kq -,g2g4
1r3rk1/4ppbp/1q1p1np1/1N1P2B1/8/1Q6/PP3PPP/R4RK1 w - -,a2a4
2rq1rk1/pb3ppp/1p2pn2/2np4/2P5/PPQ1PN2/4BPPP/R1B2RK1 w - d6,c1b2
2rqk2r/p2nbppp/4p3/1p1pPP2/1PnP3P/P2B1NP1/8/R1BQK2R b KQk -,e6f5
2q1brk1/r3bppp/p1nBp3/1p6/6P1/P1N1Q2P/1PP2PB1/2KRR3 b - -,a7d7
8/2R1bp2/5k1p/5Pp1/n1B3P1/5K1P/8/8 w - -,c7c6
r1bq1rk1/pp4b1/2np3p/5n2/3p1Bp1/6P1/PPNQ1PBP/R3NRK1 b - -,c8e6
2k3r1/1p2bpp1/pP2p2p/P1p1B3/2P5/3R2P1/4PPKP/8 b - -,h6h5
r2q2k1/pp3r1p/2n3p1/2pP4/3bP3/3Q1BP1/P4P2/1RB2RK1 w - -,f3g4
4q3/5p2/5P1k/p1Q3pp/6r1/5R1K/7P/8 b - -,e8b8
r1b1k2r/ppp1q1b1/2n2npp/4pp2/7P/2N1P1BN/PPPQBPP1/2KR3R b kq -,c8e6
r2qk2r/ppp2p2/2n1pn2/3p4/3P2Pb/1P2PB2/PBPN2K1/R2Q3R w kq -,d1e2
1rb1n3/4b1k1/1pp2Ppp/4P3/2r3P1/P1p1B3/2K3NP/3R1R2 b - -,e8f6
8/p2bq1k1/1p4p1/2p5/2PpBQ2/P2P3P/8/7K b - -,d7h3
r2r2k1/pp2qpp1/2n1p2p/8/3PNb2/PR3NP1/1P2QP1P/3R2K1 b - -,f4g5
r4rk1/1b1n1pbp/pq1p1np1/1P1P4/2p1PB2/2N2N1P/1P3PP1/1BRQ1RK1 b - -,a6b5
3r4/1b4kp/pN1r1qp1/Ppp2p2/1n2p3/1P5P/2PP1PP1/R2Q1NRK w - -,d1c1
8/7p/p6Q/1p4p1/6k1/4q3/P5PK/8 w - -,h6a6
8/4nk2/1p5p/1P2P1p1/4K1BP/6P1/8/8 b - h3,g5h4
r2qk2r/ppp2p2/2n1pn2/3p4/3P2Pb/1P2PB2/PBPNQ1K1/R6R b kq -,d8e7
r5k1/3Q1pbp/3p2p1/2pq4/P4P2/5N2/bP4PP/2B2RK1 b - -,d5e6
1q3n1k/r5B1/p2p3p/npp1pQ1P/2P1P3/2PP3B/8/4K1R1 b - -,a7g7
1krr4/pp3pp1/2nnp1b1/2Np2Pp/3P3P/BPR1PP2/P3BK2/2R5 b - -,c6e7
r3r1k1/1p1bnpbp/pq2p1p1/n2p4/P1p1PPPQ/2NP1N2/BPP4P/R1B2R1K w - -,f3e5
3r2k1/1pb4p/1pp1b1p1/4p2n/2P1N3/3P2P1/PP3NBP/4R1K1 w - -,e4g5
2r2bk1/1q3ppp/3p1n2/NP2p3/1n2P1b1/3BBN2/4QPPP/R5K1 b - -,b7c7
2r5/p1P2rk1/2R4p/8/3p1P2/8/P4K1P/2R5 b - -,f7f4
7R/k7/7p/2K5/2B5/8/2r5/8 b - -,c2c1
r1r3k1/p1qnppb1/2pp2pp/8/1PP1P3/3Q2PP/P2B1PB1/1RR3K1 b - -,a8b8
rn2kb1r/1p1b1p1p/1p1p1np1/2pP4/8/2N2N2/PP2PPPP/R1B1KB1R w KQkq -,c1g5
r4k1r/1pqb1pp1/p1npp3/5N1n/4P3/2N2P2/PPPQ3P/1K1R1B1R w - -,f5d6
r3N1k1/p2nqppp/1p2p3/2p1P3/1n1P4/5NP1/PP1Q1PBP/5RK1 b - -,a8e8
2rq1rk1/4bppp/3pb3/4n1P1/P3P2P/2Q1B3/2P1BR2/R2N2K1 w - -,c3d2
r6r/4kp2/p2p1p1b/1b1RpP1N/1p2q2P/8/PPP3P1/1K1Q1B1R w - -,f1b5
3r2k1/p4pp1/1qp3bp/3p4/3Q4/1NP5/PP2rPPP/4R1K1 w - -,e1e2
5rk1/pp2n1pp/1qbp1r2/4pp2/8/2RP1NP1/PP1QPPBP/5RK1 w - -,c3b3
8/1k2r3/1pnb4/2pQ4/1pp5/3b2P1/PP3P1P/4R1K1 w - -,e1e7
r2qk2r/1b1nbpp1/pp2p2p/2pp3n/3P4/2PBPNB1/PP1N1PPP/R2Q1RK1 b kq -,h5g3
8/3n4/1ppkbp1p/4p1p1/1PP1P1P1/4NP2/4B1KP/8 w - -,g2f2
r2qk1nr/pp2ppbp/2npb1p1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq -,b2b3
8/8/R4k2/4r1p1/6Kp/8/8/8 b - -,f6f7
1r4k1/3r2p1/7p/8/p1q5/2P1Q2P/1P4P1/3R2K1 w - -,d1d7
2r2bk1/1p6/p2p1p1p/3PpNp1/1r2P1QP/2q5/P4PP1/R3R2K b - -,c3c7
3r1b2/4qR2/2k2p2/1ppRpB2/4P3/4BP2/1PP2P2/1K6 b - -,e7f7
8/pb1nkp2/2pn2p1/1p2p3/1P2P1P1/P3NP2/2P1NK2/5B2 w - -,e2c1
2r2rk1/pp2bppp/1q2pn2/3pn3/5P2/2NPP1PP/PP4B1/R1BQR1K1 b - f3,e5c6
r4b1r/pppk1ppp/4b3/2nNP3/4P3/P4P2/1P4PP/R1B1KB1R w KQ -,c1e3
2r5/3r1k2/p3ppp1/bp5p/b2P1P2/P1P1N1P1/3BRK1P/R7 b - -,a4b3
4r1k1/1pR2p1p/6p1/4rP2/p4KP1/P7/7P/3R4 w - -,d1d7
4rrbk/1p4qp/pbn2pp1/5P2/1P2P2P/P3N1Q1/2B2BP1/3RR1K1 b - -,c6e5
r1bqk2r/ppp1bppp/2n5/3p4/3Pn3/5NP1/PP2PPBP/RNBQ1RK1 w kq -,b1c3
6k1/pp2P1pp/8/3p4/3r4/6N1/P5PP/5K2 b - -,g8f7
r1b2rk1/ppq1ppbp/2np1np1/8/2P1P3/1N2BP2/PP1QB1PP/RN3RK1 b - -,c8e6
2r4k/pb3pp1/1pp1p2p/3rP3/3PN3/8/PP3PPP/3RR1K1 w - -,e4d6
r2q1r2/3n2k1/1Pp2pp1/3pp3/3P4/P1p1B3/5PPP/R2Q1RK1 b - -,d7b6
2b5/1pP2p2/5kp1/3p3p/P2N1P2/4P2P/6PK/8 w - -,h2g3
4k3/1n2bp1p/pr1pp1p1/6P1/2PN1P1P/B3PK2/P7/3R4 b - -,b7a5
r2qk2r/pp2bppp/4p1b1/3p4/PP1Pn1P1/2P2NBP/4NP2/R2Q1RK1 w kq -,h3h4
1r1r2k1/5ppp/4p3/p3P3/1p2pP2/2P1Q3/PP2B1PP/6K1 w - -,c3c4
6k1/p4p1p/1p4p1/8/1P2Q3/4P2P/P4PPK/3q4 b - -,d1d6
r2q1rk1/1pp1bppp/2n2n2/p3pb2/2P5/2NPBNPP/PP3PB1/R2Q1RK1 w - -,d3d4
5rk1/5p1p/3p2P1/1pnQb3/1p1BP1R1/6PP/1PP3K1/3r4 b - -,d1d2
6k1/2n1n1b1/4b3/5p2/p2p4/P1P3qN/B1K2PPP/4R3 w - -,a2e6
1r1b2k1/p2q1ppp/2p1p3/1rPnP2P/3RQPP1/1P1N4/PB6/1KR5 b - -,d7b7
2rqk2r/pp1bppbp/2np1np1/2p5/P1B1P3/2NP1N1P/1PPB1PP1/R2Q1RK1 b k -,e8g8
6k1/6p1/4b3/4P3/8/p4p2/5K1P/1B6 b - -,e6d5
r3k2r/pp1bbppp/4p3/3p4/3P1Bn1/1P4P1/1P2PPBP/RN3RK1 w kq -,h2h3
3r1rk1/5pp1/1Rp4p/p3p3/P1P1Pn2/4QN2/2q2P2/5R1K w - -,f3e5
6n1/1q5k/6p1/2Q5/1P1NPP1p/3R3P/6PK/r7 b - -,g8f6
r1bq1rk1/2p2pp1/p1pp1n1p/2b5/3pP3/2P2N1P/PP1N1PP1/R1BQ1RK1 w - -,c3d4
7q/pr4b1/4p1kp/2Bb1p2/3P4/P2B1P2/5QP1/4R1K1 b - -,b7b3
8/1p3pk1/2p3p1/P2p2P1/3PnPP1/1q2P1N1/4Q2K/4b3 w - -,e2e1
3bk3/5pp1/p1r1b2p/1p1Np3/1PP1P1P1/PB5P/1K6/3R4 w - -,c4b5
2r4r/4k1bp/p1p3p1/1pn1pp2/8/4P1P1/PP1NBPP1/2KR3R b - -,h7h5
1qrr2k1/1p2nppp/pP2p3/P1NnP3/8/1Q3B1P/5PP1/2RR2K1 b - -,c8c6
r2qr1k1/1pp2pb1/p2p1np1/2PP2np/1P1Np1b1/4P3/PBQNBPPP/R2R2K1 w - -,c5d6
r1bqk2r/ppp2ppp/2n2n2/2bpp3/2B1P3/2PP1N2/PP3PPP/RNBQK2R w KQkq d6,e4d5
3Q4/6k1/8/1p1p2Kp/2q2P2/7P/6P1/8 w - -,d8d7
r1bq1rk1/pp2npbp/3pp1p1/2p5/3nP3/2NPB1P1/PPPQ1PBP/R1N1K2R w KQ -,e1g1
4rrk1/pp5p/4p1p1/2p3N1/3b4/1P1Rnb2/P5PP/4Q2K w - -,g5f3
8/4kp2/1r1pn3/R3p3/4P3/1pP2P2/pK6/3R4 w - -,a5a7
8/pk4r1/1p3p2/5P2/3P1K2/P1P1Q3/6qB/8 w - -,e3e4
r1b1kb1r/1pqp1ppp/p4n2/4p3/4P3/2N1B3/PPPQ1PPP/2KR1B1R b kq -,f8b4
r4rk1/2qn1pp1/p3p2p/1p1pPn2/2pP4/P1P2N1P/1PQN1PP1/2R2RK1 w - b6,f3h2
8/4Kp2/1p6/6P1/5p2/P7/3k4/8 w - -,e7f7
2q1r1k1/1b1r1nb1/p2Pp1p1/2N1p3/1B6/PP1R4/4QPP1/3R2K1 b - -,a6a5
rn2qrk1/1ppbp1bp/3p1np1/p2P1p2/2P5/1PN2NP1/P3PPBP/1RBQ1RK1 b - -,b8a6
2r2rk1/1b3ppp/pB2pb2/3q4/8/1P3P2/P1N3PP/2R1QRK1 w - -,b6f2
8/2p1kppp/1p2pn2/QNb5/2P2q1P/5P2/PP1rBP2/5K1R w - -,a5a7
