8/8/8/2p2k1P/p4P2/P3K3/6p1/5bN1 w - -,e3d2
2rbk3/1brq1pp1/p3p2n/n3P3/QpRp1PP1/1P1P2N1/3B2BN/2R3K1 w - -,a4d7
rn1qkbnr/ppp1pbpp/5p2/8/1PP5/4PN1P/P2PB1P1/RNBQ1RK1 b kq -,e7e5
8/1p1k1p2/p4n2/3p4/3P1Pp1/6P1/PP1q2K1/2R2Q2 w - -,g2g1
2rq1b1r/p3kppp/4p3/1Q1n4/8/2N2P2/PP3P1P/R1B2RK1 b - -,d5c3
3rkb1r/p1pn1ppp/2p1p3/4P3/3PN3/1P3P2/PB2K1PP/R6R w k -,a1c1
rn1q1rk1/1pp1bppp/2b1pn2/p5B1/P1pP4/5NP1/1PQNPPBP/R2R2K1 b - -,b8a6
6k1/pp3p1p/2b2bp1/8/1P2PP2/Pr1B2P1/4K3/1N5R b - -,b3b2
8/6R1/4k1p1/4Pp1p/5P1P/1P2KP2/8/7r b - -,h1h4
8/p4p2/1kp1pbp1/3r3p/2pP1P1P/PrP1B1P1/1PR1K3/3R4 b - -,b6a5
r1br1b2/pp4kp/2n2ppn/3B4/5B2/2NN2P1/PP2P2P/R4RK1 b - -,g6g5
4n1k1/5pbp/3r2p1/2p5/1p3PP1/4B2P/1P4B1/3R2K1 w - -,d1d6
3n3r/1p2kpR1/p2r2R1/2pBpPq1/4P3/1PP5/P5P1/6K1 w - -,g6g5
r1b2rk1/2p3pp/2n1p3/p1q1Pp2/1p3B1P/2PR4/PPB1QPP1/2K4R w - -,d3g3
2kr1br1/ppp1np2/4pn2/1P3qp1/P1PP3p/4BN2/3NQPPP/R2R2K1 b - -,g5g4
3r1bnr/ppkn2pp/2p2p2/4p3/2P2P2/2N4B/PP1BPP1P/2KR3R w - -,c3e4
3rb1k1/p5p1/1p1np1np/3pPP2/7q/6N1/PP1Q2PP/1B3RK1 w - -,e5d6
7r/p6r/1p6/3Ppk2/P1Pb4/3KBP1p/7R/7R b - -,d4e3
r3r1k1/2q2ppp/pn1p4/2pPP3/1pN2P2/1P1Q2P1/P6P/4RRK1 b - -,b6c4
8/8/3knp2/2b1p1p1/2K1B1P1/5P2/3B4/8 w - -,d2c3
5r2/1b3kN1/p2p2p1/1p3pB1/2n1Q3/1BP2R2/PP4PP/7K b - -,b7e4
8/2kB4/2Pp4/1K2p1p1/1p2P1P1/7P/P2b4/8 w - -,h3h4
3r2k1/pb2qpp1/1p2pnp1/2P5/8/1P2BP2/P4QPP/4RBK1 b - -,f6d5
2q3k1/3n1pp1/1pr4p/p7/P6P/3QPP2/3NnBP1/R6K b - -,e2c1
7k/5p2/4p1p1/pB6/5P2/4P3/4KP1P/2b5 w - -,e2d3
rn1qk2r/4bppp/p1pp1nb1/8/6P1/2NBBN1P/PPP2P2/R2QK2R w KQkq -,f3d4
1r2r1k1/1pq1bppb/3np2p/p2pN3/P2P1P2/2P3PB/1P3R1P/R1BQ2K1 b - -,e7f8
8/8/4pr2/R5N1/3k2K1/8/8/8 w - -,g5f3
r5k1/2p3p1/2n1qn1p/1p1pp1P1/1P5P/P2PP3/Q7/2KRBB2 b - -,h6g5
r4rk1/1b2ppbp/p1q3p1/1p1n4/N2P1B2/6P1/1P2PPBP/R2Q1RK1 w - -,a1c1
8/7p/p7/2R2p1k/8/2P2K1P/5N2/r7 b - -,h5g6
4r1k1/p1r3p1/b1P1p3/4Npp1/4n3/1B4P1/P1R2P1P/4R1K1 b - -,g5g4
3r4/1p2q1p1/p2n2pk/3PB1P1/1P3P1b/P3Q3/6B1/2R3K1 b - -,h6h7
rnbqk2r/1p2ppbp/2pp1np1/8/p2PP3/1BP2N2/PP2QPPP/RNB1K2R w KQkq -,b3c2
8/8/p7/3kP1p1/1K2pP2/4P3/8/8 w - g6,f4g5
6k1/pp1qprbp/5n2/n1P2p2/1P3N2/2PQ2PP/8/2BK1BNR b - -,d7a4
6R1/4K3/8/4P2k/8/5rP1/8/8 b - -,h5h6
8/8/3R4/5b2/8/1PP1k3/P1r5/3K4 b - -,c2c3
4brk1/6bp/r1p1p1p1/p7/1pPPB1P1/1P2B3/P4P2/2RR1K2 w - -,d4d5
rnbqk2r/ppp1ppbp/3p1np1/8/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R w KQkq -,g2g3:d2d4:f1e2
7k/2n1qpbp/p2N2p1/2BP4/4P3/7P/1rQ2PP1/5RK1 w - -,c2c1
6k1/1p3np1/p1p2r2/3p1P1Q/PP1P3P/1R2PPq1/8/4R2K w - -,e1e2
1rbq1rk1/p2n1pbp/3pp1p1/2p2PB1/1p1nP3/3P1NPP/PPPQ2B1/R2N1RK1 b - -,f7f6
1rb2r1k/3nqpp1/1pB1p2p/p1p5/3P4/2R1PN2/PPQ2PPP/5RK1 b - -,c5d4
r1bq1rk1/1pp2ppp/p7/2b1n3/4P3/1Q1P1N2/PP2B1nP/R1BK3R w - -,f3e5
r5k1/2R2rbp/pp4p1/3Pp3/N3n2q/4B3/PPQ2P1P/2R3K1 b - -,f7c7
2r2rk1/p6p/2bppq2/2p2pp1/2P1B3/1PN1P1P1/PQ3P1P/3R1RK1 b - -,c6e4
1r4k1/4n1b1/B1ppb1pp/1P2pp2/2P5/1q1P2P1/3NPP1P/2B2RK1 w - -,d2b3
r1q1r1k1/1pp2pb1/2npbnpp/3Np3/1PP5/3P2P1/3NPPBP/1RBQ1RK1 w - -,b4b5
4r1k1/p2q1pp1/2p3Pp/3pB1n1/8/4P1P1/PP3PK1/2RQ1R2 b - -,d7h3
1R4k1/p2rr1bp/p1p2np1/6B1/2nP4/2N2B1P/5PP1/1R4K1 b - -,g8f7
r1b2rk1/1p4pp/p1pq1p2/3n4/2Bp3B/P7/1PQ2PPP/R2R2K1 w - -,h4g3
rn1q1rk1/ppp2ppp/3B2n1/3p4/3P4/2PQ4/PP2NPPP/RN3RK1 b - -,d8d6
8/8/8/pB6/PkP5/7r/K7/8 w - -,a2b2
8/8/3b1k2/5p1p/R7/p4K1P/8/8 b - -,f6g5
2kr4/pp1b1p2/1b2p3/3r3p/2NN1p2/2P2P2/PP4PP/3RR2K b - -,d7b5
r2qkb1r/1p1b1pp1/p1n1pn2/2p2P1p/8/1P1B2N1/PBPP2PP/RN1Q1RK1 b kq -,e6e5
8/pp3ppk/3b2p1/3Pq1P1/P3B1QP/4P3/1P6/6K1 b - -,e5h2
n1b2rk1/4qp2/3p2pp/2pPp1b1/1p2P3/1NPQ4/1P2BPPP/3N1RK1 b - -,a8b6
8/pp2k3/3n2p1/8/3N1KP1/8/PP6/8 b - -,e7f6
r1bqk1nr/p2p1pbp/1pn1p1p1/2p5/4P3/2NPB1P1/PPPQ1PBP/R3K1NR b KQkq -,g8e7:h7h5:a7a6
r2qk2r/pp1nnppp/2pbp3/3p3b/4P3/3P1NPP/PPPN1PB1/R1B1QRK1 b kq -,e8g8
2r5/p7/1p1b4/1P1n1k1p/P2Pp1pP/2p1B1P1/2R1NP2/5K2 w - -,e3c1
5rk1/pp4p1/2p2q2/2Rp1p1p/3Pr2P/P3P1P1/1PQ2P1K/R7 w - -,c5c3
r1b2rk1/pp3pbp/2pp2p1/P1q1N3/4PQ2/1BN4P/1PP2PP1/R4RK1 b - -,g7e5
b4bk1/5pp1/4q2p/2p5/1p1pP1n1/1P4Q1/1NPB2BP/7K w - -,h2h3
r2qk2r/1b3pbp/p2p1np1/1pn1p3/4P3/P1N1N3/1PP1BPPP/R1BQR1K1 w kq -,f2f3
3rQ3/pp1P1ppk/5q1p/8/5P2/8/P5PP/3R3K w - -,e8e4
r1r3k1/ppqn1ppp/2p1p3/2Pn4/3P4/B1P4P/P1Q1BPP1/R4RK1 w - -,e2d3
8/5pk1/4pN2/3p2p1/P2P4/6P1/rp4KP/1Rb5 w - -,f6e4
3R4/r6p/8/2p5/1p2k3/1P5P/6K1/8 w - -,h3h4
4r1k1/4bpp1/6qn/3bP1p1/1ppPN3/6N1/rP1Q1RPP/4R1BK b - -,e8a8
r2q1rk1/pb2bppp/3p4/1pn1p3/4P3/1PP1Q1P1/P3NPBP/R1B2RK1 b - -,d8b6
rr4k1/2pn1p1p/2n1p1p1/pq1pPP2/1b1P4/2RN1N2/1PP1QBPP/5R1K w - -,f3g5
rnbr2k1/pp2qp1p/4P1p1/1N6/3bn3/PN6/1PQ1BPPP/R4RK1 w - -,b3d4
r2q1rk1/1p1bppbp/2np1np1/p7/2PNP3/2N1B2P/PP2BPP1/R2Q1RK1 w - a6,d4b5
7k/p1q2pp1/7p/2p3r1/4p1br/P1Q1P1N1/1B1R1PP1/3R2K1 b - -,g4d1
8/5k2/2b3p1/7p/2r5/P3R2P/5BpK/8 b - -,c6e4
r1b1kb1r/1p2pp2/p2p1n2/2q5/3NP1n1/2N5/PPP1Q1PP/R3KBBR b KQkq -,f8h6
3rn1k1/pp3qbp/b1p1n1p1/2P2p2/8/B1N1P1PP/P1Q1NPBK/3R4 w - -,d1d8
8/8/6p1/5p1p/2k1p2P/1q4P1/3Q1PK1/8 w - -,d2d6
5rk1/pp4pp/2b1R3/8/1Pp5/P7/6PP/3B2K1 b - -,f8d8
5b1k/6pp/r7/4p3/BPK5/2P3P1/R2p3P/8 b - b3,d2d1q
2rqkb1r/1p2pppp/p1n2n2/3p4/3P1Bb1/2NBP3/PP2NPPP/R2QK2R w KQk -,e1g1
3qr1k1/1p1r2b1/1pp1b1p1/4ppP1/8/P1PP1NQ1/1P3PB1/3RR1K1 b - -,e5e4
r2qr1k1/pb1n1pbp/5np1/Ppppp3/1P2P3/2PP1N2/1B1N1PPP/R2QRBK1 w - -,e4d5
8/5pk1/8/2N2bpp/1P3p2/2P4P/R5PK/5r2 w - -,b4b5
8/6b1/p5p1/4kp2/6P1/4K2P/Pp6/1N6 b - -,g7h6
2r3k1/6p1/1p5p/p1qPQ2P/5P2/4R1P1/PP1r4/4R1K1 w - -,e5c3
8/8/2P1k1p1/2R2p2/p3KP2/8/3r4/8 w - f6,e4e3
r3r1k1/1bq2pbp/2p2np1/p1PpN3/Q2P4/P1B1R1P1/5PBP/4R1K1 w - -,e1b1
8/7N/4k1p1/1n1p4/5K1P/8/5P2/8 b - -,b5d6
5rk1/5ppp/1p2pn2/8/3QP3/5PP1/r2q1NKP/1R2R3 w - -,d4d2
r3r1k1/pnq2pp1/1p1p3p/8/Q1PP4/B7/P4PPP/2RR2K1 b - -,e8e4
r1b2r1k/1p4p1/p1p3Bp/P1q1Bp2/1bP1n3/5N1P/1PQ2PP1/R2R2K1 w - -,b2b3
3r4/4b2p/2k5/pp2Pp2/5P2/1PN2K1P/P4B2/8 w - -,f3e2
5r2/pp2pr1k/3p3p/3P1P2/1PPR3q/P4R2/1Q3PP1/6K1 b - -,h4h5
8/5kp1/1pQn1p2/4p3/PP2P3/1N2Pq2/8/5K2 w - -,f1g1
1r1kr3/p2p3p/b2b2p1/N1nP1p2/3N4/P4BP1/2R2P1P/3R2K1 w - f6,g1g2
r3r3/pp3ppp/2nk4/2N5/8/3p4/PPb1PPPP/2R1KB1R w K -,c5b7
6k1/5pp1/p2Qp1p1/3p4/1P3P2/P5P1/2q2K1P/8 w - -,f2g1
3qr1k1/2r1nppp/1p3n2/p1pbN3/1b1P1N2/1P1R1PPB/1Q2PB1P/R5K1 b - -,d8b8
1Q6/8/4p1kp/p2p1p2/K2P3P/2P1q1p1/8/8 b - -,g6h5
1r4k1/1p1Rpb2/p1n4p/2P3p1/1P4P1/2P2P2/6P1/3R2K1 w - -,d1e1
1r6/1q3ppk/2p4p/2P1PP2/1p1QP3/1R4P1/7P/6K1 b - -,b7b5
8/1b3p2/3k1Np1/6P1/2p3K1/2P1R2P/5r2/8 b - -,f2g2
2k4r/p2b1p2/1p2p3/3nP1P1/1BnNB3/1Rp3K1/2P5/8 w - -,e4d5
r5k1/5ppp/2Rp4/pP1n4/Pp3P2/6B1/1P4PP/6K1 b - -,a8d8
r3k2r/5ppp/2b1p3/3pP3/8/8/2RQ1PPP/qN3RK1 b kq -,c6b5
r1bqk2r/pp1pppbp/5np1/1B6/3pP3/3P4/PPP1NPPP/R1BQ1RK1 b kq -,d8b6
rq1r2k1/3n1pp1/1p2p1p1/1Q1pP3/PP1b1P2/6P1/3B2BP/2R1K2R b K -,f7f6
4r1k1/5p2/3q2p1/p1rp3p/P1pN4/2P1P1bP/1P2R1P1/1R1Q2K1 b - -,e8e4
r1b2k1r/2q1bppp/p2Pp3/2p5/1nP1NPQ1/4B3/PP4PP/RB3RK1 b - -,e7d6
r7/1pp1rpk1/p2p1nn1/3P4/3R1B2/3B4/PPP3P1/2K4R b - -,g6f4
r1bqkb1r/2p1npp1/p1np3p/1p6/3PP3/1B3N2/PP3PPP/RNBQ1RK1 b kq -,c8b7
r2r2k1/pp2ppbp/q2pbnp1/8/2P1P3/1PNQ2PP/P2B1PB1/R4RK1 b - e3,d6d5
6Q1/3q2b1/6k1/3BBp2/6p1/8/5PK1/8 w - -,e5g7
2r2r2/pp2k1pQ/b1nnpqBB/3p3P/P2P4/5N2/1P3PP1/R5KR b - -,c6d4
rn3rk1/p2p1pbp/b3p1p1/qNpP4/2P1n3/6P1/PP1NPP1P/R1BQKB1R w KQ -,f1g2
rn1qk2r/pp2bppp/2p1p3/3nP3/3P1P2/2NQ2N1/PP4PP/R1B2RK1 b kq f3,g7g6
r1b3k1/ppb2pp1/2pq3p/P1N3nn/R3PP2/1B2B3/1PP1NQPP/7K w - -,a4d4
r1q2rk1/ppp2p1p/3p1npb/4n2b/4P3/2P2N1P/PP1NQPP1/R1BB1RK1 w - -,f1e1
8/5pk1/b3p1p1/1q2P3/6pP/1p2QP2/1P2NK2/8 w - -,f3g4
1r3rk1/p5pp/2pq2n1/2p1p1b1/2P1p3/2NP2Pb/PP2QP1P/R1B1R1K1 w - -,c3e4
r3kb2/1p3p1r/p1b1p3/2q1p1p1/4P3/1BN2Q2/PPP3PP/2KR1R2 b q -,f8e7
8/3k4/1b1pR3/1p3KP1/3r4/p4B2/6P1/8 w - -,g5g6
1q4k1/4Bpb1/8/4pb2/6p1/8/3Q1PB1/6K1 w - -,d2g5
r3kb1r/pp2pppp/1nn5/8/6b1/2PB1N2/PP1N1PPP/R1B1K2R b KQkq -,e7e6:e7e5
1k6/8/p4r1N/1p6/3pb3/P2n4/1P6/K2N2R1 w - -,g1g4
8/6R1/2k2K2/3r4/5B1P/5bP1/8/8 w - -,g7g5
1n6/6p1/PP1n3p/K4k2/5P2/8/5p2/5R2 b - -,d6c4
3rnrk1/5pb1/p5p1/3nP3/PppB4/3b1BNP/1P1N2P1/R1R3K1 w - -,d2c4
8/1k3p1r/1pn1pBp1/p2pP2p/3r1P1P/1PQ3P1/6K1/8 b - -,d4b4:d4e4
Q5k1/2q2p1p/1b1p2p1/3P4/1PB1p1n1/8/5PPP/4B1K1 b - -,g8g7
r2q1rk1/1pn1ppbp/p2p1np1/2pP4/P3PP2/2NB1R1P/1PP3P1/R1BQ2K1 w - -,a4a5
r7/1p4k1/4b3/1PppPp2/8/4P1P1/1Q3PBq/2R2K2 w - -,c1c5
5k2/1N6/p2p4/P2Pbp2/1P1n4/4Rp2/5P2/5K2 b - -,f8e7
3r2k1/1bN2ppp/pp6/6b1/P1PR4/1P4P1/4BP2/6K1 w - -,d4d8
1k4r1/pp3pp1/8/8/2nrB1PR/P4P2/1P6/4RK2 w - -,h4h2
2r5/p3pp2/5kp1/1n1P3p/5P2/1B4P1/P6P/3R2K1 b - f3,a7a5
3r4/kp6/2p1p3/q2p3p/6QP/2P2P2/P1P5/1K5R w - -,g4e6
6k1/1NQ2pp1/3p3p/8/8/4B1KP/5P2/3q4 b - -,d1g1
8/6k1/p3R1p1/1p5p/2pP3P/2Pr2P1/PP4K1/8 w - -,g2f2
4q3/6r1/p2R1pk1/4p3/p1p1P3/2P1Q1Pn/PP3P2/3R1K2 w - -,e3f3
8/6p1/6kp/3p4/2pQ3P/5PK1/1P4P1/4q3 w - -,g3h3
r1b2rk1/pp1q2pp/2n2b2/1N1p1p2/3P1B2/5N2/PP2QPPP/R4RK1 w - -,f1e1
5b2/q5kp/1p4p1/1Pn5/3pNpP1/3P1B1P/2Q2PK1/8 w - -,c2c4
2r4k/p3qR1p/1pn3pB/2pQp3/2Pp2P1/8/PP2B2P/6K1 b - -,e7d8
rn1qk2r/p2p1pb1/1p5p/2p5/4b1NP/4P1B1/PP3PP1/R2QKB1R w KQkq -,f2f3
2bb4/2p2kp1/p1p4r/PpB1Pp1p/1NP2P1P/1P2R1P1/3K4/8 b - -,h6g6
r2q2k1/3b1p1p/p2Q1bp1/2pP4/8/3B1N1P/P4PP1/1R4K1 b - -,d7f5
1r1r4/p4q1k/2npbp1p/2p1p1p1/1P2P3/P3B1NP/4QPP1/2RR2K1 w - -,b4c5
r2q1rk1/ppp1bppp/2n1b3/3pP3/4n3/P1N1BN2/1PP1BPPP/R3QRK1 b - -,f7f6
1r2r1k1/ppq4p/4p1pB/2p1b3/6Q1/2P4P/PP3PP1/R3R1K1 b - -,g8f7
7r/1p2kp2/1r1pbb1p/1Bq5/Q1PpP3/3P1N2/p5PP/R4R1K w - -,a1a2
6k1/5np1/4r2p/1p1pP2P/6P1/P1B5/1P4K1/3R4 w - -,d1e1
r6k/1pbbrppp/2pp3q/p7/2P2P2/PPQ1PR1P/1B2B1P1/3R2K1 w - -,f3g3
8/2B5/p7/Pb1kp2p/1P1p2P1/6P1/8/4K3 b - -,h5g4
5B1k/1r3pp1/2b5/p4q2/8/P1Q2P2/6PP/4R1K1 b - -,f5g6
2rq2k1/3b1nnp/R2p1b2/1p1P4/1B2Q3/2P1NN1P/2B2P2/6K1 b - -,h7h5
8/p3k2p/1p2p1p1/8/5P1P/1PP1R1P1/8/1B1r2K1 w - -,g1f2
r1b2rk1/1p2q1bp/n2p2p1/1p1Ppp1n/2P1P3/2N1BP1P/3NB1P1/1R1Q1RK1 w - -,c4b5
r3r1k1/ppq2b1p/2p1nPpB/4p3/2P5/4Q2P/PP3P2/3RRBK1 w - -,e3e5
r1b3n1/5pk1/p2p2p1/1p1P1q2/2p1pP2/2P3QP/PP5K/3R2R1 b - -,g8f6
r5k1/pp2qrbp/3p2p1/2pP2P1/P1n1NP1n/4PB1P/1P2Q3/R1B1K2R w KQ -,e2c4
r3r1k1/pp1q1pbp/6p1/3p4/3N4/1P1QnPPP/P4PK1/R3R3 w - -,e1e3
1r1q2k1/2p2pb1/1pnpr1p1/pNn4p/2P1P2P/PP2BBP1/2Q2P2/3RR1K1 w - -,f3g2
8/3k1pp1/Bp1n1np1/3p4/5PP1/2B1P2P/PP2K3/8 w - -,a2a4
r4rk1/pp1BRp1p/2p3p1/3p4/2nP1qP1/8/PPP1Q2P/1K1R4 b - -,a8d8
R2r2k1/2NPN1p1/1r3p1p/1pp5/8/6P1/1P5P/3n2K1 b - -,g8f7
r1b1k2r/ppp5/6p1/2nq4/1b6/2N1PP2/PPQ1NP1P/R1B2RK1 b kq -,d5h5
2qb3r/6k1/3p2p1/1P1Rp3/p3P1P1/R3Q3/6P1/2r1B1K1 b - -,c1e1
r2q1rk1/pb2bppp/1p2p3/8/1nBPP3/4BP2/P3N1PP/2RQ1RK1 b - -,d8d7
r1b1k2r/3pnppp/pqN1p3/1pb5/4P3/2N1B3/PPP1BPPP/R2Q1RK1 b kq -,d7c6
rq3rk1/pb3pbp/1pp1Bnp1/6N1/3P4/1QB1P3/PP3PPP/R2R2K1 b - -,f7e6
1r3rk1/1bqnppbp/3p2p1/np6/1NpPPP2/2P1B2P/1P1NB1P1/2RQ1RK1 b - f3,e7e6
8/pr3p1p/R1pkp3/1r4p1/RPKP2P1/7P/1P3P2/8 b - -,h7h6
8/5p1p/2p2kp1/3bp3/1R3P2/6P1/1P3K1P/8 w - e6,f2e3
8/p2b2pk/1r6/8/1PNb2P1/1R1P3P/4K3/8 b - -,b6e6
6k1/5pp1/1p1np3/pP1pq1pP/P7/4PP1B/1R2Q1K1/2r5 b - -,d6c4
rnbqkb1r/p1p2ppp/1p2pn2/3p4/3P4/3BPN2/PPP1QPPP/RNB1K2R b KQkq -,c8b7
8/p2k4/5p2/4pr2/1P1pN2p/3P1n1P/P4PK1/2R5 w - -,b4b5
r4rk1/pp1nqppp/2p5/2R5/3Pp1b1/1B2P3/PP1N1PPP/4QRK1 w - -,c5c3
rn1qr1k1/pp3ppn/2p1b2p/3p4/2PPp1P1/2N1P1NP/PP2QPB1/R3K2R w KQ -,h3h4
6r1/1p1k1p2/p3pB1P/P3P1N1/6P1/P1rb1P2/2p2K2/2R5 b - -,g8c8
8/3q1kp1/1p3n1p/2pp4/8/P2Q1PP1/1PP1N2P/5K2 w - -,e2f4
2rq2k1/pb2rppp/4p3/1n1PP3/1pp3QP/4N1P1/PP3PB1/R3R1K1 b - -,h7h5
8/3b2k1/pp4pp/n2Pp3/4P2P/r2BK1P1/P7/1N1R4 b - -,a5c4
1k4r1/ppq2p2/4pQ2/3pn3/3R2P1/2P1N3/PP3P1r/2KR4 w - -,c1b1
r2rq1k1/pp4bp/2n1p1p1/2B5/2B1P3/1P5P/P4RP1/2R1Q1K1 w - -,e1e2
7k/8/8/p2B4/8/3n2P1/PP3P1K/8 w - -,f2f4
r3k2r/1bqnbppp/2n1p3/p2pPP2/P1pP4/1pP1B1PP/1P2N1B1/RN1Q1RK1 w kq -,f5e6
nrb2rk1/1pp3bp/p1P3p1/2P1ppq1/4P3/B1NQ2P1/P4PBP/R4RK1 w - -,c6b7
1r6/1PN2rpp/Bb1p4/4p3/1P2P2k/8/6PK/2R5 w - -,c7d5
3R4/7p/1R2p3/1B1pkp2/4n3/4P2P/6PK/4r3 w - -,b5d7
r4rk1/2pqppbp/p5pn/1p1p4/1P3P2/2PR2P1/P3P2P/RNBQ2K1 b - -,c7c6
