8/8/2k5/1p4R1/1p2K3/8/PbP5/8 b - -,b2a1
r1bqnr1k/1p4b1/p2p3n/3Pp1pp/P3Pp2/N4P2/1P2BBPP/2RQNRK1 w - -,a3c4
r2q2k1/pp3pbp/2n1r1p1/3pP3/2n2P2/2N1B3/PP2B1PP/R2Q1R1K w - -,c3d5
r1b2rk1/2qn1ppp/p2ppn2/2p1P3/N4P2/4Q3/PP1B2PP/2R1KB1R b K -,d6e5
3r3r/2qnkp2/p2ppp1b/R7/1PP1PP2/4NBQP/6P1/5R1K b - -,c7b6
3r4/1p2p1k1/p2rpnp1/4Q2p/P1Pq4/6PP/1P3PB1/1R3RK1 w - -,e5d4
r2qk2r/pb2ppbp/1pn2np1/2p1P3/3p1PP1/2NPBN1P/PPP3B1/R2QK2R w KQkq -,e5f6
r5k1/p2q1ppp/5n2/3pr3/3N4/1P2P1PB/P4P1P/2RQ1RK1 b - -,d7h3
rn1qkbnr/1p3ppp/p1p1p1b1/3pP3/3P4/6N1/PPP2PPP/R1BQKBNR w KQkq -,h2h4
3r1rk1/pb2qp2/2nppn1p/2p3p1/2P1P3/P1N1QN1P/1P2BPP1/3R1RK1 b - -,f6d7
2krr3/pppq1pp1/1n3b2/3p3p/2nP4/P1QNB2P/1PP1NPP1/2KR3R w - -,d3c5
2kr3r/pp3pp1/2nppn1p/8/2BP4/2P2N1P/PP3PP1/R3K2R w KQ -,e1g1
2r5/1R5p/8/p1P1kp2/PP2p3/6pP/4K1P1/8 b - -,a5b4
4k3/4b2p/2N1Q1p1/2qpp1P1/P3P2P/1P6/2P5/1K6 w - -,e4d5
8/4p3/1pr2kp1/pR5p/P4K1P/1P6/5PP1/8 b - -,e7e6
8/r4k2/8/6p1/8/1R4KP/6P1/8 b - -,f7g6
6rk/pp2q2p/2p3p1/4PbR1/4pP2/4r1N1/PPQ5/1K5R w - -,g3f5
r1b2rk1/ppq1ppbp/2np1np1/8/2P5/1NN1B1P1/PP2PPBP/2RQ1RK1 b - -,f6g4
1q1r2k1/p4pbp/1pn1pnp1/1N6/Q1P5/4BB1P/PP3PP1/2R3K1 b - -,c6e5
r2qkbnr/pp3ppp/2n1p3/3p4/3P2b1/1P3N2/P1P1BPPP/RNBQ1RK1 b kq -,f8d6
r1bqrnk1/pp2bppp/2p1pn2/8/2PPp3/1PN2NP1/P2B1PBP/R2QR1K1 w - -,c3e4
r2q1rk1/pb3pp1/1p1bp2p/2P1N3/5P2/3BQ3/PPP3PP/2KR3R b - -,d6c5
rnbq1rk1/pp2ppbp/5np1/3p4/2Q1P3/2N2N2/PP2BPPP/R1B2RK1 w - -,e4d5
8/RR2nk2/5p2/6pp/8/4r1P1/5K1P/8 b - -,e3e5
r3qrk1/p2pbpp1/np2pB1p/2p1N3/3P4/2P1P3/PP1N1PPP/R2Q1RK1 b - -,g7f6
r1bqr1k1/pppnb1np/3p2p1/3Ppp2/2P1P3/2NNBPP1/PP2B2P/R2Q1RK1 w - -,b2b4:d1d2
4b1k1/5p2/2p2n2/2Np3p/3P1Pp1/P2B1P2/1r4P1/4R2K b - -,g4f3
2r2rk1/2q2p1p/pp2pp2/4p3/2nn1P2/P4Q2/1P3BPP/1N1R1RK1 w - -,d1d4
2r1r1k1/1p1nbppp/p2ppn2/2p3B1/4P3/2NP1N1P/PPP2PP1/3RR1K1 w - -,g5h4
6k1/pR5p/8/2bp1rn1/5B2/4P3/4KP2/3R4 b - -,g5e4
5rk1/4Qpbp/Bp1p2p1/1P6/3n1P2/q6P/6PB/4R2K b - -,d4f5
4b1k1/5pp1/4pn1p/1p2N3/3PP3/q4PPP/2B4K/1Q6 b - -,a3e3
4k2r/1b1p1ppp/p3pn2/1pr1P3/5P2/2N3P1/PPP2RBP/R5K1 b k -,b7g2
8/6P1/3k4/1p3p1p/p2K1P1P/Pb6/1P6/8 b - -,b3c4
r6r/3nQk1p/p1q5/1p4B1/4b3/8/PPP2PPP/R4RK1 b - -,f7g6
1r3r1k/6pp/Q1n5/4nq2/4pNb1/6P1/PP3PBP/R1B1R1K1 b - -,c6b4
1b2q1r1/4r1k1/p1p1p2n/P1R5/1P1PBp1P/4R1P1/4QP2/6K1 w - -,c5g5
2n1r1k1/1p1q1r1p/p3b1pb/2PpB3/PP3Pp1/2N3N1/3Q2PP/4RRK1 w - -,c3e2
r1bq1rk1/pp1pppbp/2n2np1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w - -,a2a3:f3e1:d2d4:b2b3:d2d3:e2e3
r1b1k1nr/pp3ppp/2n5/2q5/3p4/4PN2/PP1Q1PPP/R1B1KB1R b KQkq -,d4e3
1k2r2r/pp6/q3p2p/3pPn2/2pP1RP1/P7/2PB1P2/R2Q2K1 b - -,e8g8
b2r4/R5p1/p4pk1/3p3p/8/1P3P2/PB3bP1/1K1R4 w - -,b2d4
8/8/p3rpk1/1pRP2p1/1Pn3P1/P2RBK1P/2r5/8 b - -,e6e8
r2q1rk1/ppn1ppbp/2n1b1p1/2Pp4/B2P4/P1N1BP2/1P2N1PP/R2QK2R w KQ -,b2b4
2b5/8/ppN2k2/1P1B1ppp/P7/6P1/5P2/5K2 w - -,c6a7
rnbqrbk1/1ppp1ppp/4pn2/p7/2PP4/P1NBPN2/1P1B1PPP/R2QK2R b KQ -,d7d6
8/p4k1R/1p2p3/6r1/8/1P4P1/P1PK4/8 b - -,f7f6
5R2/8/3Bp3/1p1pP3/4k3/Pr4p1/4n1K1/8 w - -,f8g8
r2r2k1/3q1p2/2n4p/1p4pn/8/NQPp1P2/P4BPP/R4R1K b - -,h5f4
r4rk1/pp2qnb1/2p1bp2/P3p1p1/2B1P2p/4N2P/1PP1QPPB/R2R2K1 w - -,c2c3
r6k/1p4p1/p1np1rp1/6B1/2N5/7P/PP3PP1/3R2K1 b - -,f6e6
3r4/1b3k1p/4p1p1/p1q1Pp2/PpPp1QPP/1P1R1P2/6B1/5K2 w - -,f4g5
5rn1/1bb2p1k/p1p1q1pp/1pP1pN2/PP2P2B/1B4R1/5PPP/1Q4K1 b - -,e6e8
rnbqkb1r/ppp2ppp/3p1n2/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq -,d2d3
2rrq1k1/1p2bpp1/pN1pb2p/P3p3/4P2n/2N1n3/1PPQBPPP/R1R3K1 w - -,d2e3
r4rk1/pb1nqppp/1p2p3/2pp4/2PPn3/2NBP3/PP1NQPPP/2R2RK1 b - -,f7f5
r2qkb1r/pp2pp1p/2n2np1/3pNb2/3P4/2N2PP1/PP2P2P/R1BQKB1R w KQkq -,e2e4
8/5kqp/PQ2pp2/6p1/8/4B1PP/r4P1K/8 w - -,a6a7
2k3r1/1p3p2/2b1p3/4P3/P3BP2/2R1Q3/2P2K2/6q1 w - -,f2e2
8/pr6/3p3k/p1pPb3/P1PpPp2/1P1K1B2/6P1/7R b - -,h6g6
rnb1k2r/ppp1qppp/8/3np3/8/PQ2P3/1P1P1PPP/R1B1KBNR b KQkq -,d5b6
6bk/2R4p/7P/p1p3K1/8/2P5/r7/8 b - -,c5c4
6k1/p1r1n1p1/7p/4R3/3N1P2/1N4Pb/P6P/6K1 b - -,g8f7
5bk1/5p2/1PQ5/5p2/4p3/3b3P/6PK/8 b - -,e4e3
r3r2k/pp4pp/4P1b1/3p1p2/3P1P2/P1B4P/1P6/R3R1K1 w - -,e1e5
1R6/8/8/8/7p/P1P2k2/2r5/5K2 w - -,f1g1
5kr1/8/3R4/4pP2/1pP1P3/pP6/P1B2K1n/8 b - -,f8f7
r1rb2k1/3n1ppp/p2p1n2/P1qPp3/1p6/4NB2/1PPB1PPP/R1Q1R1K1 b - -,d8a5
4r1bk/pppq2p1/2n1r2p/2Pp1pP1/1P1P1P2/1R3B1P/P3NQRK/8 b - -,a7a6
r1bq1rk1/p4pbp/6p1/n1B1p3/4P2P/2PB4/P3NPP1/2RQK2R b K -,g7h6
r3k1nr/ppp5/2n1q3/4PbB1/Q2p4/8/PP1N1PPP/R4RK1 b kq -,g8e7
2krr3/pbpn1p2/1p1p1q2/4p1p1/1N1PP1Pp/P1PQ3P/2P2PB1/1R3RK1 b - -,d7b8
8/2P1p1k1/3n2p1/3PNq2/8/7P/6QK/8 w - -,g2b2
6k1/1r3pp1/P3p2p/8/8/R5Pn/8/5K2 b - -,b7a7
3q1rk1/3bp2p/4n1p1/pr1p4/8/Q3PNP1/P5BP/R4RK1 b - -,f8e8
rnbq1rk1/p1b2ppp/3p4/2pP3N/2p1N3/P4QP1/1P3PBP/R4RK1 b - -,b8d7
2rr2k1/1p2bppp/pqb1pn2/8/1P3P2/P1NBPR2/1B2Q1PP/2R4K w - -,f3f1
r1bq1rk1/pp2pnbp/n1p2pp1/3p4/3PP3/3B1N1P/PPP1NPP1/R1BQR1K1 w - -,e4d5
5r2/p6k/3p3p/2p1b2N/4b1pP/2P1B3/r4PP1/2R1K2R w - -,h1g1
8/5p2/1p2k3/p1p5/2P1KN2/1P1P4/Pb6/8 b - -,e6d6
8/5pkp/3p1Np1/6P1/8/3K3P/8/7r b - -,h1h3
q2r1rk1/6pp/1Q1N4/p2pP1n1/5p2/1P4P1/P4PKP/2R1R3 w - -,b6b7
3rr1k1/pppq2pp/1nn5/5p2/2P2P2/3PPB2/P1Q4P/R1BR2K1 b - -,c6e7
8/p3kpbp/2B1p1p1/8/1P3PP1/2Pb3P/3N2K1/8 w - -,c6e4
2r1k2r/qp2bpp1/p1bp4/B3p3/2P1P3/4Q1P1/PP3PB1/R3R1K1 b k -,a7e3
r1br2k1/2q1ppbp/p2p1np1/1p6/3BPP2/2N1Q2P/PPP1B1P1/3R1RK1 b - -,a8b8
5bk1/1p1n2pp/p3b3/P3p3/3pP3/2q2N1P/2P2BP1/R2Q2K1 b - -,h7h6
2r2rk1/1bp1qp2/p1n1p1pp/1pR5/3P4/4PN2/PP1Q1PPP/1BR3K1 b - -,f8d8
2r1n1k1/p3Qppp/4p3/1b1pP3/qp3B2/6P1/1P2PPBP/5RK1 w - -,g2f3
1r3r2/Rp1k4/1P1Np2p/1PP1Pp2/1K3PpP/5b2/8/2R5 b - -,g4g3
8/ppR2pkp/5b2/8/5p2/PP3P2/7P/1b5K w - -,c7b7
r1b2rk1/ppq1Bppp/2n1p3/4N3/3P4/2P5/4QPPP/RB1R2K1 b - -,c7e7
r1b2rk1/1p3p1p/p2q1Qp1/3P4/2P5/3B3P/PP3RP1/R5K1 b - -,d6b8
rn1qk2r/pb1p1ppp/1p2pn2/2b5/Q1P5/5NP1/PP2PPBP/RNB1K2R w KQkq -,e1g1
1rn1r1k1/1pq2pbn/3p2p1/PppP2Pp/2N4P/1Q5B/1P2PP2/R1B2RK1 w - -,b3b5
r3kb1r/1p1b1pp1/p1nppn1p/q4N2/5P1B/2N5/PPP3PP/2KRQB1R w kq -,f5d6
rnbq1rk1/p3ppbp/3p1np1/1PpP4/4P3/5N2/PP1N1PPP/R1BQKB1R w KQ -,f1c4
rn3rk1/pb3ppp/1p1qpn2/8/2BP4/P4N2/1P1N1PPP/R2Q1RK1 w - -,d1e2
5n2/7p/2pP2p1/1p2Pk2/1P1B4/3K4/7P/8 b - -,f5e6
3rr1k1/5ppp/p7/1p2Pp2/q4P2/PbP1Q3/1P1RB1PP/5R1K w - -,e2d3
rnbq1rk1/ppp2ppp/8/4b3/2B1P3/2N4P/PPP2PP1/R1BQK2R w KQ -,d1f3
r5k1/r2n1p1p/3p1np1/1NqPp2P/4P1P1/1P1B2N1/1K1Q4/6RR w - -,b5a7
8/5p2/4p1kp/5n2/1r1PKP2/R7/4N3/8 w - -,a3d3
r4rk1/pb2pp1p/1p6/3qb2Q/8/4B3/PP1N1PPP/R4RK1 w - -,d2f3
8/5b1p/1Rp2k2/1pr5/5p2/2P2B1P/P3K3/8 b - -,c5c3
r1bqk2r/3pbppp/2p5/1p1NP2P/p3PB1n/1B6/PPP2P2/R2Q1K1R w kq -,d5e7
r4rk1/1ppBqppp/1p3nn1/4p3/4P3/2P2N1P/PP3PP1/R1BQR1K1 b - -,f6d7
2rrb1k1/3q4/1Qp1p1p1/p1P1PpPp/Pb1P1P1P/4BB2/6K1/1R1R4 w - -,b6a6
8/2k1n1pp/1p3p2/2p1p3/r1P5/P1RKP3/3N1PPP/8 b - -,e7c8
8/5k2/7p/5p2/p1P2P2/P4K2/1N6/1n6 b - -,b1a3
8/p5pp/n1p1pp2/2P2k2/3P4/P2K1N2/5PPP/8 w - -,f3d2
4r3/p5bk/2q3pp/5p2/5P1B/P1pb2PP/Q4R2/2R3K1 b - -,d3c4
rn2kb1r/ppq1pppp/2p2n2/8/3P2b1/2N2N2/PPP1BPPP/R1BQ1RK1 w kq -,f1e1
2kr4/pp2p1P1/6p1/6r1/8/2BPq1PK/PPP4P/4RB1R b - -,e3f3
1k1r4/1pq1bp2/p3p2p/2p1Pbp1/N7/1P2RP2/P3QBPP/7K b - -,b7b5
6k1/p6p/3pp1p1/8/4P3/2p2PK1/br4P1/R1R5 b - -,c3c2
rn1qk2r/pp3pp1/2pb1n1p/4p3/3pPPb1/3P2P1/PPP1Q1BP/R1BNK1NR w KQkq -,g1f3
r2r1k2/p5bp/Q4np1/8/3p1P2/1P4P1/P1P2P1P/R3R1K1 w - -,a1d1
3rk2r/pp3ppp/2n1p3/q2nP3/2p2P2/b1PP1N1P/P2QBBP1/2R2RK1 w k -,c1c2
5rk1/2r2pp1/7p/1R2p3/qbn4P/5PPB/4QB1K/3R4 w - -,b5d5
r2r2k1/1bq1bppp/p1p2n2/3ppP2/4P1P1/P1NB1Q2/1PP2B1P/4RRK1 b - -,d5d4
6k1/5q2/p1p3p1/2P1P2p/1P1p3P/3b1PP1/3Q1KN1/8 b - -,f7c4
r2qnrk1/pp1b2bp/n2p1pp1/2pPp2P/2P1P1P1/2N1BP2/PP1QN3/R3KB1R b KQ -,f8f7
4rr1k/pp5p/3pPpn1/2pP1p1q/2P2PbP/PPQ2NR1/4NR2/5K2 w - -,f1e1
4q1k1/7p/p1p2ppb/PpBP1b2/1P3N2/7P/3Q1PP1/6K1 b - -,c6d5
3rqk2/pp2ppbp/2b5/2P2P2/2B5/2P3NP/P1Q3P1/3R2K1 b - -,g7e5
r1bq1rk1/ppp2pp1/6np/3P4/2Pb4/P2B2N1/R5PP/2BQ1R1K b - -,d8h4
r5k1/1p3r1p/2pp2p1/p5b1/1PPp4/P2P2P1/4NPKP/R4R2 b - -,f7e7
r1b1k2r/p1q1npbp/1pn1p1p1/2ppP3/8/3P1NP1/PPPN1PBP/R1BQR1K1 w kq -,d1e2
8/8/1R1Kn1p1/4Pk1p/7P/5P2/r5P1/8 w - -,g2g4
2r3k1/pp3pbp/2q1b1p1/4pP2/4N3/5P2/PPPQ3P/1K1R3R b - -,e6f5
6k1/p3r1pp/2p1b3/2N1b3/8/1P2P2P/P1PNK1P1/5R2 b - -,e6f7
r3r1k1/2pb1p1p/p2p1bp1/3P4/1P1N4/R3P1P1/3R1P1P/5BK1 b - -,e8b8
4r1k1/p2q1pp1/1p2rn2/7p/2QPp3/P4P2/5NPP/R1B1R1K1 b - -,e4f3
2r3k1/p4pp1/1p2p2p/3pPn2/8/3P1P2/PP3BP1/4R1K1 w - -,g2g4
1kb3rr/1p1nb3/p2pNp1p/q7/4P1P1/2N3R1/PPP1B2P/1K1R1Q2 w - -,e6d4
r1b1k2r/p2n1pb1/4p1pp/q2pP3/1p3PPP/P3Q3/1PP5/2KRBBNR b kq -,g7f8
2r3k1/4b1p1/p2pp3/q6n/1p2P3/3B1r1P/PPPQ4/1K1RB1R1 b - -,a5c5
2r1qn2/5pk1/1R1Q2p1/P2pN2p/8/4P2P/5PP1/6K1 b - -,f8h7
3r4/R2P3p/2k2pp1/1p6/4p3/1P2P1P1/5P1P/5K2 b - -,c6b6
2rqnrk1/p2bppbp/1p1p2p1/2pP3n/2P1P2B/2N4P/PP1QBPP1/2R1NRK1 b - -,g7f6
r2qk2r/1p1n1pp1/p1p1b2p/2Pp1nb1/3PpB2/2N1P2P/PP1NBPP1/R1Q1K2R w KQkq -,f4g5
2r2qk1/1p5n/p2p2pn/P2P4/1Q2NbP1/1R3B2/4R1P1/6K1 b - -,f4e5
r1bqkb1r/5ppp/ppn1p3/2pnP3/P2p1P2/3P1N2/1PP1B1PP/RNBQK2R w KQkq -,e1g1
r5k1/pp1nb1pp/1q2p3/3pPp2/1PrP1P2/P1NQ1N2/6PP/1RR3K1 w - -,c3a4
8/1k6/8/p2N4/P3K3/3B4/8/4n3 w - -,d3b5
5rk1/p3bppp/4p3/3n4/1P6/P3B1P1/2r1PPKP/R2N1R2 b - -,d5e3
8/1r3p2/2k2K2/2P1P1R1/8/8/8/8 b - -,b7c7
b1r2rk1/4Rpp1/1p3n1p/P7/8/P4NP1/5PBP/R5K1 b - -,b6a5
4r3/5p1k/6p1/qP1P4/P6R/3Q3P/5B2/4bK2 b - -,h7g7
1k1r3r/pb1n2q1/1p2p2p/3pP1pP/3Q2P1/P2B2N1/1PP5/2KR1R2 w - -,d1e1
4r1k1/1b5p/5np1/p1pP1p2/PpPbp2q/1P5P/4RPP1/1BQ1RNK1 b - -,f6h5
r5k1/1p2n2p/p1p2p2/3n4/1P1q4/P5p1/4P1BP/1QB1R2K w - -,e2e4
3k4/1P6/2K2p1p/3N2p1/4P3/7P/1r3PP1/8 w - -,d5f6
r3k2r/ppq2ppp/2nbpn2/3p3b/3P4/1QPB1N1P/PP1N1PP1/R1B1R1K1 b kq -,e8g8
r3r1k1/1p1b1ppp/p3p3/4R3/P1B5/2P5/5PPP/R5K1 w - -,a1b1
1br1r1k1/pp3ppp/2nq2b1/3p4/QP1Nn3/P3PN2/1B2BPPP/2RR2K1 b - -,e4g5
4q1k1/5p2/4P1p1/2p5/8/P2Q3P/Kp6/8 b - -,e8e6
3rr1k1/pQ3ppp/3p4/P1bP4/2q2P2/5R2/3BN1PP/4R2K b - -,c4c2
5rk1/5pp1/b2p4/p3P1q1/4P2n/Q5BP/1P3RB1/7K b - -,d6e5
r2qr1k1/ppp2pp1/2n1bn1p/2b1p3/4P1P1/2P2N1P/PPB1QP2/RNB1K2R b KQ -,f6h7
1rbqr1k1/5pp1/1bpp1nnp/1p2p3/1P2P3/2PPNN1P/2B2PP1/R1BQR1K1 b - b3,d6d5
7R/kpp5/4Q3/p2n4/2qP4/4P1K1/8/8 w - -,e6e8
r2k4/1p2pp1p/3p2p1/r1nP4/1p2PP2/1P2KB2/P1RR2PP/8 w - -,e3d4
r2q1rk1/p1nb1pb1/1p1p1npp/2pP4/P3PP2/2P1B2P/1P1NB2N/R2QR1K1 w - -,e2f1
2r3k1/2q2p1p/P1b1p1p1/8/8/2R3PP/5P2/2Q3K1 w - -,a6a7
r1b1r1k1/1p2bppp/p3p3/3nB3/8/1N2P3/PP2BPPP/R2R2K1 b - -,b7b6
5r1k/8/pp1p2Q1/2pPrP1p/2P3bq/3B2R1/PP4P1/5NK1 w - -,f5f6
2kr1b1r/pp1n1p2/2p1pn1p/6p1/2P3b1/P3BNP1/1P1NPPBP/R2R2K1 b - -,f8c5
1r3rk1/p3bppp/2pp1n2/8/q7/1N2BQ2/PPP2PPP/R4RK1 w - -,f1e1
5k2/pR4p1/1b5p/6r1/8/2B1PK2/PP6/8 w - -,e3e4
r2r2k1/2qn1p2/p2pb1pb/2p4N/P1P1PQ2/1p5P/1P3PP1/R3RBK1 w - -,f4h6
r4rk1/1q2ppbp/p5p1/1pn5/P2P1PPB/2Q1P3/3N3P/R4RK1 b - -,c5a4
r3rnk1/1b2qppp/pp1pp3/3n4/P1BP4/2P2NP1/1P1NQP1P/R3R1K1 w - -,e2d1
6k1/1p1q1pp1/1Bp5/p3Pb2/P4Pn1/2P3Pp/1Q5P/3B2K1 w - -,b2e2
r3r1k1/p4pp1/1b1q1n1p/5B2/3p1P1B/5Q2/PP4PP/2R2RK1 w - -,f5d3
1q3br1/3k1p1p/p2Pp1p1/1p5n/3B3Q/8/P4PPP/R4RK1 w - -,d4c5
r5rk/4BRbp/1p4p1/pQ1Pp2q/4P3/8/6PP/5R1K b - -,h5e2
3rr2k/n5qp/pp1P2p1/2pP4/P4P1P/1P4QB/7K/4RR2 b - -,e8e1
r1q2rk1/2nnppbp/pp1p2p1/2pP4/P1B1PP2/2NQB2P/1PP3P1/1R3RK1 b - -,a8b8
2k5/ppq5/5n2/8/2r2P2/P2rBQPP/6K1/1RR5 b - -,c4c2
8/2R5/8/4p3/P1p1P3/4kP1p/6r1/6K1 w - -,g1h1
r5k1/pp3pbp/2p3p1/4B3/N3n3/4P3/PPR2PPP/3B2K1 b - -,g7e5
3q1k1r/pp3p2/2r1p1p1/P3PN1p/R1pP1P2/1pP5/4Q1PP/5RK1 b - -,g6f5
1rb2rk1/5p2/p2p2p1/2pB3p/2P1PP2/2N3Pq/RP6/4Q1K1 b - -,h5h4
r4rk1/1pp1qppp/n2p1n2/p2Pp3/2P1P1b1/3N1PP1/PPQN2BP/R4RK1 b - -,g4d7
8/4b3/2b1k1p1/7p/3BPP2/4K2P/3N2P1/8 w - -,d2f3
8/p4Qpk/7p/q7/8/P3P1P1/5PKP/8 b - -,a5a3
rn2k2r/1p1bqppp/pn2p3/2ppP3/3P1P2/2NB1N2/PPP3PP/R2Q1RK1 w kq c6,d4c5
8/4p1kp/5bp1/8/4R1P1/5K1P/8/8 b - -,g7f7
2r3k1/5pp1/1q1p1bbp/p2P4/1pr2BP1/1R6/PPPQ3P/1KR1N3 w - a6,g4g5
r4rk1/1bq1npp1/p4b1p/3p4/Q2N4/2N3P1/PP1R1PBP/R5K1 b - -,f8d8
r3k2r/3npp1p/b1p2bp1/q2p4/pR1P4/2PBPNB1/3Q1PPP/R5K1 b kq -,a6d3
4B3/8/1p4K1/p7/3k3P/6n1/8/8 w - a6,g6g5
1r2q3/5pk1/Rp1b2p1/2pP3p/2PpP2P/6P1/1Q1B1PK1/8 b - -,e8e4
r2q1rk1/p3nppp/1pn5/1N2p1B1/1b1pP3/3Q1P2/PPP1N1PP/2K2R1R w - -,f3f4
2rqr1k1/pp3ppp/2nb1n2/3p4/3N4/1P2PN2/PB2QPPP/R2R2K1 b - -,d6f8
r1bq1r1k/pp4pp/2p1pn2/3n1PB1/2BP4/P1N2Q1P/1PP5/2KR3R b - -,d5c3
r3k2r/2p3p1/p4pp1/3pq3/R3p3/PP2P2P/4QPP1/2KR4 b kq -,e5a1
3r4/pp2ppk1/2n3pp/2P3N1/1P4b1/2Pr1N2/P4PPP/2R1R1K1 w - -,h2h3
r3r1k1/ppp2pp1/1n5p/3p2q1/3PPN2/P1PQ1PP1/7P/R4RK1 b - -,d5e4
4r1k1/pp3pb1/6pp/q4b2/2Pp4/1Q3B2/PP3PPP/3R1NK1 b - -,b7b6
3r1nk1/ppqrbppp/2p1pn2/8/1PPP3P/P2B1QP1/1B2NP2/R2R2K1 b - h3,a7a6
r1b1qrk1/1pp1p1b1/n2p1n1p/p2P1pp1/2PN4/1PN3P1/PB2PPBP/1R1Q1RK1 b - -,e8g6
r1b1r1k1/1p3npp/2p2p2/p2pq3/P7/1PQ1PPP1/1BB2KP1/R4R2 w - -,c3d2
3r2k1/6p1/1p1q1p2/1P1p2p1/1Rrn4/4N1P1/3Q1PKP/1R6 b - -,c4b4
1r2r1k1/1p3pb1/p2p1q1p/2pP2p1/P3P3/8/1PQNNPPP/R4R1K b - -,f6b2
8/8/4B3/7R/1k4KP/3P4/5br1/8 w - -,g4f4
8/1bk5/p3r1p1/3pP2p/2pP2pP/2K2P2/P1B5/4R3 w - -,f3g4
2r2rk1/2nn1pp1/p1p3bp/2Ppp3/1P3PP1/1NP3BP/4P1B1/R1R3K1 b - f3,f7f6
1rbq1rk1/1pp1npbp/p1np2p1/8/2P5/1PN3P1/P1NQPPBP/R1B2RK1 b - -,b7b5
r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/5P2/N1PP1N2/PP4PP/R1BQKB1R b KQkq -,f8e7
b4rk1/bq3pp1/p4R2/P1p1pP2/2N5/4B1Pp/1P2Q2P/5RK1 b - -,b7h1
4r3/6kp/6p1/p1p3n1/2Pp4/1P3BP1/P2PP1K1/R7 w - -,a1e1
8/8/p1k5/4Bp1p/4nP2/3K3P/P5P1/8 b - -,c6d5
3R4/4r3/4k3/1nP2p1p/1P3P1P/3K2P1/3N4/8 b - -,e7g7
r1b2rk1/ppp1q1b1/3p2p1/3P1pNp/2PQ1B2/2N2nPP/PP3PB1/R4RK1 w - -,g5f3
r1bq1rk1/pp3ppp/2nb1n2/1BPp4/8/1P2PN2/PB3PPP/RN1QK2R b KQ -,d6c5
rnbqkb1r/p1pp1ppp/1p2pn2/8/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq -,g2g3:d2d4:e2e4
4r3/pr4k1/6p1/P2P1p1p/2Q1p3/1Pp1P1P1/5PP1/6K1 b - -,g7h7
8/2k5/2p1b1p1/1p2pPn1/1P6/2K1NP2/2P1B3/8 b - -,g6f5
4r1k1/2qb1p1p/pr1p2p1/2pP3n/3bP3/5QP1/1P1B1P1P/R2NRBK1 b - -,c7c8
2kr1b1r/ppp2ppp/2n5/3n3q/Q5b1/2N2N1P/PP2BPP1/R1B1K2R b KQ -,f8b4
8/3k1pp1/1np3rp/1p2B3/3PP1P1/1R3P2/5K1P/8 w - -,h2h4
5rk1/p2q1pp1/1p1p4/4pP2/4P2p/3Q3P/PP1b2P1/1R5K w - -,d3d2
r1b2rk1/pp3pb1/n1pp2p1/2q4p/2P1P1n1/2N5/PP1NBPPP/R1BQ1RK1 w - -,h2h3
r1bq1rk1/1pn1bp1p/4p1p1/p1n1P3/2QN4/5N2/PP3PPP/RBB2RK1 b - -,b7b5
