8/8/8/6k1/1R6/6pp/4r3/6K1 w - -,b4b1
2k2r1r/p4p2/2p1pRp1/2p1P2p/2b1BK1P/2P2P2/P2R2P1/8 w - -,e4c6
rnb2rk1/p1q2pp1/2pbp2p/4N3/2BP1PQB/2P1P3/6PP/R4RK1 b - -,d6e7
6k1/8/p4r2/2Nb2p1/8/4P3/PP3RK1/8 w - -,g2g3
6R1/5k2/5p2/7p/4PK1P/5P2/8/7r w - -,g8c8
r3r1kb/2qn3p/b1p2ppB/2p1pP2/4P1P1/Pp1P1N1P/1P1QN3/1K1R1R2 w - -,d2c3
1r2rnk1/q7/b1n1pp1Q/1p2pP2/p1P1B1P1/2P4R/P2N2KP/1R6 b - -,a7g7
r2qkbnr/1p2pppp/p1n5/2pp4/5P2/1P2PB2/PBPP2PP/RN1QK2R b KQkq -,e7e6
1r1qr3/p3npbk/b2p2pp/2pPp3/P1P5/3P1NPP/2QB1PB1/1R2R1K1 b - -,d8c7
1r6/5pk1/2p3pp/4p3/p2nP1P1/P1N2P1P/1r1R1K2/3R4 w - -,c3a4
r2r4/1p3pk1/2p1Pnp1/p1b1p1p1/P3P3/2N3PP/1PPN2K1/R3RB2 b - -,d8d2
r1bqrnk1/pp3pp1/2pb1n1p/3p4/3P3B/2NBPN1P/PPQ2PP1/3R1RK1 b - -,g7g5
rnbq1rk1/pp3nbp/2p1ppp1/3p4/3PP3/2N2N1P/PPP2PP1/R1BQRBK1 w - -,c1e3:a2a4
6k1/5p1p/5bp1/3R4/1P6/5NP1/1r3PKP/8 b - -,b2b4
r1bq1rk1/ppp1npbp/2n3p1/1P1pp3/8/P2P1NP1/1BP1PPBP/RN1QK2R b KQ -,c6d4
2r1r1k1/p2q4/4p1p1/5p1p/1b1P1B2/4RQ2/P4PPP/4R1K1 w - -,e1d1
r1bq1rk1/pp1n1pbp/2p2np1/3pP3/1PP5/4PN2/P2NBPPP/R1BQ1RK1 b - -,f6g4
r4r2/5p2/5k2/3p1NpP/p4n2/3P2R1/PP3PP1/1K1R4 w - -,f5d4
3rk1r1/4b1p1/2q3P1/2p1pP2/2PpN3/8/1P2Q1K1/2R4R w - -,e2f3
4qrk1/1pNb1pb1/r2p3p/p3p1pP/2P1P1P1/8/PP2BK2/R2Q2R1 b - -,e8b8
r1br2k1/pp2qp1p/2p3p1/4P3/2PQpP2/6P1/PP2B2P/R3K2R w KQ -,d4c3
4q1k1/1pp3bp/r3b1p1/8/2P1B3/BQ4P1/P3P2P/3R1rK1 w - -,d1f1
8/1p3N2/1k1p1Q2/2pPp3/4Pp2/8/q5P1/6K1 w - -,f6d6
8/B7/p2bk1p1/1p2pP1p/7P/2P2P2/1PbN2P1/6K1 b - -,g6f5
r2q1rk1/pp1bb2p/2p1p3/3pPppn/2P5/1P4P1/P1Q1PPBP/RNB2RK1 w - -,c1a3
rn1qk2r/1b3ppp/p1p1pb2/1p6/P1pP4/2N2NP1/1P2PPBP/R2Q1RK1 w kq -,f3e5
1r3rk1/pb1p2qp/np1n2p1/2pP1pB1/2PbP3/PPN2B1N/2Q3PP/R4R1K w - -,a1c1
rn1q1rk1/pp2bppp/5nb1/2pp4/3P1B2/2N1P1N1/PP3PPP/2RQKB1R w K c6,d4c5
8/8/4N3/b7/4KP2/Pk6/8/8 b - -,b3a3
2r1bqk1/1p4p1/p3prn1/3p3p/N7/P4P1N/1PPQ2PP/3RRBK1 b - -,e8a4
r3n1k1/pp4pp/3q4/r1p1QbP1/P7/4P3/1B1P2BP/R5K1 w - -,e5f5
rn1r2k1/ppq1bppp/2p1p1b1/4P3/3P4/2PBR3/P2B1PPP/R2QN1K1 b - -,c6c5
rnbq1rk1/pp1pppbp/5np1/2p5/3P1B2/4PN2/PPP1BPPP/RN1QK2R w KQ c6,c2c3:e1g1
r1b1k2r/pp1n1ppp/2pqpn2/3p4/3P4/2PBPN2/PP3PPP/RN1Q1RK1 b kq -,e8g8
r4rk1/5pbp/1qn1pnp1/pp1p4/3P1B2/2PQ1N1P/PP1N1PP1/R3R1K1 w - -,a2a4
n7/P6p/1Pk5/2P5/8/8/6K1/8 b - -,h7h5
r3R1k1/p4p1p/5p2/2pb1P1q/8/1P1P4/PBP2QPP/4R1K1 b - -,a8e8
r1b2rk1/1pp2pp1/p1np1q1p/4p2n/4P3/1BPPNN1P/PP3PP1/R2QR1K1 b - -,c6e7
5b2/5P2/2k1KB1r/8/1p6/6R1/8/8 b - -,h6h2
r5k1/1pq2pb1/p2p1n1p/n1pP2p1/P3r1P1/7P/1P2NP1B/1RQ1RBK1 w - -,b2b4
2r2rnk/1pp3pp/p1npb3/3Np3/2P1P2P/4B2P/PP3PB1/R4RK1 w - -,f1d1
5rk1/2R2b1p/6p1/5q2/2pQ4/6PP/5PB1/6K1 w - -,g2f1
4Q1k1/8/6pp/8/7P/6P1/5PK1/2qq4 b - -,g8g7
3qk2r/1p2bpp1/p1r1p2p/2N5/3P1B1P/3Q4/PP3PP1/2R2RK1 b k -,c6c5
8/1p6/p7/P4k2/5Pp1/2B3K1/1P6/n7 w - -,c3e5
3R1bk1/1r1n1p1p/2p1r1p1/1p6/pB6/4P3/PP2BPPP/3R2K1 b - -,c6c5
2r3k1/pN1n2b1/2p1b1qp/2Pp2p1/3Pp2n/2N1P2P/P2QB1PB/5RK1 w - -,d2d1
1r3rk1/1Q3p1p/p2qp3/1p2np2/Pb1N4/2N1P1P1/1P3P1P/R4RK1 w - -,b7g2
5r1k/p4rp1/4Q2p/q3R3/3P3P/P1n5/5PP1/3R2K1 b - -,a5a3
r5k1/pp1qnpb1/2r1p1pp/3pP3/3P4/BPNQ3P/P1R2PP1/5RK1 w - -,f1c1
r1b2rk1/4bppp/1qn1pn2/1p1p4/1P6/P1N1P1P1/1BN2PBP/R2Q1RK1 b - -,c8a6
8/p5r1/1p1k2p1/6P1/P1B2K2/1P6/8/8 w - -,c4d3
rnbqk2r/ppppppbp/5np1/8/3P1B2/2N2N2/PPP1PPPP/R2QKB1R b KQkq -,e8g8:d7d6:d7d5
7r/pp2r1k1/3qpN1p/3b1pp1/3P4/7R/PP2QPPP/4R1K1 w - -,f6d5
2r1k2r/1b3ppp/p2qpn2/8/P4B2/2PB1N2/2Q2PPP/R4RK1 b k -,d6f4
r4r2/3qp1bk/2pp2pp/4n3/p1NNP2B/2P4P/PP2Q1P1/3R3K b - -,a8b8
3r2k1/q2bpp2/7p/4b1p1/P1Q1B3/2p3P1/2K1RPP1/1R6 b - -,d7a4
r1bq1rk1/pp2bppp/4p3/3p4/3Pn3/1BNn1N1P/PP2QPP1/R1B2RK1 b - -,d3c1
r1bq1rk1/ppp1ppbp/1nB3p1/8/8/2NPB1P1/PP1QPP1P/R3K1NR b KQ -,b7c6
r3k2r/pp2bpp1/1qn1pnp1/3p4/3P1B2/1QP2N1P/PP1N1PP1/R4RK1 w kq -,b3c2
r4rk1/pp1qnpbp/3p2p1/2pPp3/P7/2PPB3/QP1N1PPP/R3R1K1 w - -,a4a5
3r2k1/Q1p2pp1/2B3b1/P2Pp2p/2p2P1q/R1N5/1r2PPK1/4R3 w - -,a7e3
r4rk1/3nq3/2p2bp1/p1Pp3p/Pp1PpR2/4P2P/1PB1Q1P1/4BRK1 b - -,f6g5
r3k2r/ppqn1ppb/2pbpn1p/3p4/1P1N1P2/2PPB1PP/P2NP1BK/R2Q1R2 b kq -,e8g8
1kn2r2/2N3p1/1p2p3/4P3/qP1Q1P2/4B3/2R5/2K5 w - -,c1b2
r3kbnr/pp3ppp/1qn1p3/2ppP3/3P2b1/2P2N2/PP1NBPPP/R1BQ1RK1 b kq -,c5d4
5qk1/rb2ppbp/2np1np1/2p5/1P6/1BB1PN1P/1Q1N1PP1/1R4K1 w - -,b4c5
3rr1k1/1p4pp/p1p5/5p2/nPRp4/P2P1BP1/4PP1P/2R2K2 w - -,c1c2
r3r1k1/ppq2pb1/2p3pp/P1n1P3/2Q5/2N2N1P/RPP2PP1/3R2K1 b - -,c7e7
2r3k1/5pp1/4b3/4Q3/1p1p1N1P/1q3PK1/7P/4R3 b - -,c8c6
3rqrk1/2p1np1p/bpn1p1p1/p5N1/P1pPP3/N1b3P1/1PQ2PBP/R2R2K1 w - -,c2c3
8/1b1kb3/p3pQ2/8/1p1p1p2/8/PPP1qPPP/2KRR3 b - -,e2d1
r1r3k1/1p3p2/p2b1np1/3p1p1p/3P3P/PP1BP1P1/1B2KP2/2RR4 w - -,a3a4
4k3/7p/2R3P1/r5b1/3BP1P1/5K2/8/8 b - -,a5a3
3rnrk1/2q2pbp/pp2p3/1P2Pp2/P2P1B2/4NBP1/3Q1P1P/3R2K1 b - -,a6b5
rnbqkb1r/5ppp/p2p1n2/1ppP4/P3P3/5N2/1PQ2PPP/RNB1KB1R b KQkq a3,b5b4
r2qkb1r/ppp2ppp/5n2/3Pp3/3nP1b1/P1N5/1PP1N1PP/R1BQKB1R b KQkq -,f8c5
8/1r2nkbp/R1n2pp1/1pB1p3/2p1P1PP/2P2N2/1P1NKP2/8 b - -,c6d8
r7/1p3Bk1/p1P4p/2B3pn/1P3nq1/P1N2pP1/2Q3bP/3RR1K1 w - -,c5d4
r3kbnr/pp3ppp/2n1p3/3q4/3p4/2P1BN2/PP3PPP/RN1Q1RK1 w kq -,c3d4
8/1p6/pR6/P2b1p2/3N1pk1/1P5r/5K2/8 b - -,h3h2
6k1/1p1npp2/p2p2p1/3P3p/Pb6/1B3PP1/4K2P/2B5 w - -,f3f4
2kr2nr/pp1nppbp/1qpp2p1/8/3PPPb1/2N1BN2/PPPQB1PP/1R2K2R b K -,g4f3
1q2r1k1/r2n2pp/p1bb1p2/2pNp3/1pP1PP2/1P1N1QP1/P6P/B2R1RK1 b - -,a6a5
8/2p5/1p3k1p/p2K1B2/P5PP/8/8/2b5 w - -,h4h5
r4rk1/p5pp/1pn1qn2/1R2p1B1/3pP3/1Q4P1/PP3PBP/5RK1 b - -,e6b3
R7/1P4k1/6p1/2N5/1r6/7p/4K3/8 b - -,h3h2
r1r3k1/pp1qnpbp/4n1p1/4p3/NP1p4/PQ1P2P1/1B2PPBP/R4RK1 b - -,b7b5
2q3k1/1b2b2p/p4pp1/1p1np3/8/PPnBPN1P/1BQ2PP1/5NK1 w - -,f1d2
2rqnrk1/1p5p/3p2p1/p2Pb3/2P2pP1/3B1R1Q/PP1N3P/1R5K w - -,d2e4
8/2pr4/p4k2/B3p1pp/P3Pp2/1P3P1P/1KP3RN/3r4 b - -,d1h1
6k1/2Pb1pp1/4p2p/N2p3P/8/4K3/8/8 w - -,a5c6
8/1q4pk/3bQp2/2p1pPP1/2P5/5P2/8/6K1 w - -,e6d6
r1bqk2r/2p1nppp/p1np4/1pb1p3/4P3/1BP2N1P/PP1P1PP1/RNBQ1RK1 b kq -,e8g8
4B1k1/1bb3p1/1p2ppNp/p2p4/P2Pn3/1P1NP1P1/5PKP/8 b - -,c7d6
8/1pk3p1/1R5p/P3r3/8/3Pp3/4K1P1/8 w - -,b6g6
rbb3k1/1p4pp/1Pp2n2/p1P2p2/2NP4/6P1/P1N3BP/4R1K1 b - -,g8f8
r2qk2r/pp1bbpp1/1np2n2/3p1P2/2PN4/1PN1P1P1/P5B1/R1BQ1RK1 w kq -,c4d5
3qn1k1/ppB4p/2p2pp1/5Q2/3P4/1PP4P/1P4P1/5N1K b - -,e8c7
rnb1k2r/pp3p1p/4pp2/q7/2pp4/P1P1P3/3N1PPP/R2QKB1R w KQkq -,c3d4
rn1q1rk1/pp4pp/2p1p3/3p1p2/1PPPnP2/2N2B2/P1Q1PP1P/1R3RK1 w - -,f3g2
2r5/4k3/6p1/R4p1p/3Pp3/1K5P/1P3PP1/8 w - -,a5c5
8/8/1pk3pp/pR6/P3K2P/1P4P1/5r2/8 b - -,f2c2
1r3rk1/p1pbq1pp/2p1n3/3pPp2/3P1P2/2N1B3/PP1Q2PP/R4RK1 w - -,b2b3
rr4k1/p2bqpp1/2p2b2/Q1p5/2P4p/1P2PP1P/P2BR1B1/2KR4 b - -,d7f5
4r1k1/8/Pp2pRP1/8/2r5/6R1/8/7K w - -,f6f7
2rqkb2/1p2ppp1/p1np4/3Nn1P1/4PNb1/5P2/PPPB4/R2QK2B b Qk -,c6d4
2r1bnk1/2r3p1/p3p2p/1p1pP3/5P2/PBN3P1/1P4P1/3RR1K1 b - f3,g7g6
3r4/3P1p2/3k2p1/3R4/p3K2P/6P1/1P3P2/8 b - -,d6e6
r4nk1/2p1qppn/1p5p/p3P3/1P1N4/P5P1/2Q2P1P/3RR1K1 w - a6,c2c6
r3r3/p3qpkp/bnp3p1/6P1/1p1Pp2P/4P3/PP1Q1PB1/1KR1N2R b - -,a6c4
r1b2rk1/pp3ppp/2p1pn2/q7/1bP1P3/2N2P2/PP1BB1PP/R2QK2R b KQ -,f8d8
6k1/r7/2P5/1B2pppp/P1K5/5Pb1/6P1/3R4 b - -,g8f7
1r6/5pk1/5b2/p1Rp1q2/P2Pp3/4P1P1/5P2/1r1Q2KR w - -,c5c1
3Q4/5pkp/4p3/N2n2p1/1P6/P5P1/1qr2P1P/5RK1 b - -,h7h6
rn2k2r/pbq3p1/4p1pp/1Pb1P3/2p4B/5N2/1P1N1PPP/R2Q1RK1 b kq -,e8g8
r2q1rk1/pb2bppp/2n1pn2/2pp4/Pp6/1P1PPNP1/1BPN1PBP/R2QR1K1 b - -,a8c8
r2qr1k1/1pp2pp1/pb2bn1p/1P2N3/4P3/B1P5/P2N1PPP/R2QK2R w KQ -,b5a6
5rk1/3pq2p/2p1pbp1/1n6/1P1P2QP/3B2P1/5P2/B2R2K1 b - -,e7b4
1rbq1rk1/1p3nbp/p2p4/n1pPpp2/P1P5/1PNBBP2/3Q2PP/1RN1K2R w K -,e1g1
r3r1k1/2p2pb1/1p2p1p1/3q2Bp/p2P3P/P1P1Q3/1P3PP1/3RR1K1 w - -,d1d2
4r1k1/4qp1n/3p2p1/3P2b1/1p1BP1P1/1P1N3P/5Q2/1K2R3 w - -,d4b2
rqbr2k1/1p1nbppp/p1npp3/8/2P1PPP1/1NN1B3/PP4BP/2RQ1RK1 w - -,g4g5
8/7p/2k1p1p1/8/pB1n1P2/1b5P/3K4/1N6 b - -,c6d5
3r3k/6bp/6p1/p7/P3BPP1/2P5/2p3KP/n1B2R2 b - -,g7c3
1k1r3r/pbq2pp1/1ppbpn1p/8/2PP4/2BB1N2/PP2QPPP/1K1R3R b - -,b8a8
r2r3k/p6p/4pp2/1pP3q1/1p1PP1N1/2n2PP1/P2R1Q1P/R5K1 b - e3,h7h5
1r3rk1/bp1q1ppp/p1np1n2/4p3/8/PQNPP1PP/1P1B1PB1/R4RK1 b - -,c6e7
r1bq1rk1/pp2ppbp/1np3pB/3n4/7P/2NP1NP1/PP1QPPB1/2R1K2R b K h3,d8d6
r2qr1k1/1p1b1pp1/3p1n1p/P1pP1n2/2P1p3/1NQ1P1P1/3B1PBP/R4RK1 w - -,c3c2
1r1r4/2R2ppk/8/8/1P6/5PP1/6K1/5R2 b - -,d8d2
rn1qk2r/pb2bppp/1p1ppn2/6B1/2PQ4/2N2NP1/PP2PPBP/R4RK1 b kq -,e8g8:a7a6:h7h6
8/8/7k/5p2/1r1N2p1/4P1K1/6B1/8 w - -,g3f4
8/8/1r3p1R/1kr5/1p3K2/8/1R4P1/8 b - -,b5a4
2r1r1k1/6p1/p4p1p/qp6/2pPn1N1/b5B1/P1Q2PPP/R4R1K w - -,g3e5
r2q1rk1/pp1n1pbp/3p1np1/2pP2B1/4P3/2N2P2/PP1Q2PP/R3KB1R b KQ -,a7a6
r3kn1r/ppqbn1b1/2pppp1p/6pP/3PP3/2PBNNP1/PP1BQP2/R3K2R w KQkq -,e4e5
8/p7/2pk4/5Kpp/2BP4/1Pb4P/8/8 b - -,c3d2
1rbq1rk1/pp3pbp/2n2np1/2ppp3/1P2P3/P1PP1NP1/3N1PBP/R1BQR1K1 b - b3,c5b4
r1b1k2r/pp1p1pbp/2n3p1/q1ppP3/8/NPP1Q3/PB1P1PPP/2KR2NR w kq -,f2f4
4rqk1/1p6/p1bN2p1/n1P1pP2/1P1b2B1/6KR/P3Q3/2R5 b - -,e8d8
2r2r2/1b2npbk/p1np2pp/1p6/3NP3/1P5P/P2BNPP1/1BR1R1K1 w - -,d4f3
5rk1/1p4bp/p4pp1/Qq1p1b2/3B4/1P2P3/P2N1PPP/2R3K1 w - -,a5b5
8/8/8/4Q3/1P1Bk3/4p1p1/3r4/5K2 b - -,e4d3
1r6/1NR3pp/p4k2/P2pp3/1P6/8/3K3P/8 b - b3,h7h5
r1b1k2r/pp2ppbp/1qn2np1/2pp4/3P1P2/2P1PN2/PP1NB1PP/R1BQ1RK1 b kq -,e8g8
r1bqr1k1/pp1n1ppp/2pbpn2/3pN3/2PP4/1P1BP3/PB3PPP/RN1Q1RK1 b - -,f6e4
8/2bB2kp/1pPp1qp1/pP1Qp3/P3P2P/6P1/4K3/8 w - -,d7g4
5rk1/B1Qbq1pp/p2p4/3Pp1bn/P3Pp2/5P2/1r3P1P/RNR2B1K w - -,f1a6
6k1/pn1q2pp/1p2pp2/2p5/2P1QP2/1PB3P1/P3PK1P/8 w - -,g3g4
r1b1r1k1/2qnbp1p/p1npp1p1/1p4P1/4PP1Q/1NNB1R2/PPP4P/R1B3K1 b - -,e7f8
3rr1k1/3qppbp/1pp2np1/p5P1/P2PN2P/2P2Q2/1P1B1P2/R3R1K1 b - -,f6e4
8/1p3r1k/p3brp1/2p3p1/4B3/1PP3P1/P1R4P/3R2K1 w - -,c2d2
4r1k1/1p1b1pp1/1r5p/2p1PP2/p2p2P1/P2P2BP/1P2R3/4R1K1 b - -,g7g6
1B6/8/8/5p2/4n1p1/5r2/R3k1K1/8 b - -,e4d2
8/8/p2p4/Pk2b2R/1n3p2/8/3NKP2/8 b - -,b4c6
r1bqk2r/1p3ppp/pb2p3/4P3/2Bn2Q1/2N5/1P3PPP/R1B2RK1 b kq -,e8g8
2r3k1/p3Qpbp/8/2q3Pp/8/1Pp5/P3R2P/1KR5 b - -,c5d4
rq3rk1/1b2bp1p/pp4p1/2np4/6Q1/1P1BP3/PB1N1PPP/R2R2K1 w - -,g4d4
1kb5/1pp5/p1np4/5pp1/P7/1PP2P2/1KPQ1BP1/4rB1q w - -,d2e1
6k1/5pp1/2p4p/r1NpP1b1/1r1P4/2R3P1/5P1P/5RK1 w - -,f1d1
8/pp1r3p/5kp1/1R3p2/P6P/6P1/1P3P2/6K1 b - -,b7b6
4b3/pr3kb1/2p1pp2/R5p1/3P4/1P2B3/P2N1PP1/6K1 b - -,g7f8
1r1q1rk1/6bp/3pbnp1/2pNp1B1/R2nP3/2N2PP1/1P4BP/Q4RK1 w - -,a4a7
r1bqk2r/p2n1ppp/1ppbpn2/3p4/2PP4/1P2PN2/PB1N1PPP/R2QKB1R w KQkq -,f1d3
8/5p2/8/6kp/2q5/1B3RP1/6P1/6K1 b - -,c4c5
r1r2bk1/2n1p2p/1B1p2p1/P2PPp2/1N3P2/8/1RR3PP/6K1 b - -,c7b5
r4rk1/5bpp/5p2/p1Rp4/3R4/4P1P1/5PBP/6K1 w - -,d4a4
5k2/p1r2p2/1pp2npp/3pRB2/3P4/2N5/PP1K1PPP/8 w - -,f5h3
4n1k1/4q1pp/2p5/1pPp4/1P1P4/2N2Q1P/6PK/8 b - -,e8f6
7k/5p2/6pp/8/1P2KNP1/r4P1P/8/8 b - -,a3b3
r3k2r/1b2ppbp/pq1p2p1/1pnP2P1/P1pNP2R/2P1Q3/1P1NBPP1/R3K3 w Qkq -,a4a5
4rk1r/5pp1/b3P2q/p6p/3N3P/2Pp2Q1/PP4P1/1K1RR3 b - -,f7e6
r2q2k1/ppp2pbp/2b3pB/3n4/P7/2N3PP/1PP2PB1/R3Q1K1 b - -,g7h6
r1bq1rk1/pp1nppbp/3p1np1/2pP4/2P1P3/2NBB2P/PP3PP1/R2QK1NR b KQ -,d7e5
r2q1rk1/1p1b2bp/p2p2p1/2pNpp2/2P1P3/3P1N1P/PP1Q1PP1/R4RK1 w - -,d2e2
r2r2k1/ppqn2p1/2p1np1p/P3pN1b/4P3/1N2Q1PP/1PP2PB1/R4RK1 w - -,f1c1
r1b1k2r/ppq1b1pp/2pp4/4N3/2P1PB2/2NQ4/PP3PPP/R4RK1 b - -,d6e5
r3k2r/1ppqppb1/pn1p2pp/3PP3/3R1PbP/2N1QN2/PPP3P1/2K2B1R b kq -,g4f3
7k/p2n2p1/1p4qp/1P1B1b2/3Q1B1P/P5P1/4rP2/2R3K1 w - -,c1c8
8/kp6/p1b5/8/3ppN2/8/PPPR1P1r/2K5 w - -,f4e6
r2q2k1/pp2b1pp/2n1b3/2ppPpNQ/8/2P5/PP3PPP/R1B1R1K1 b - -,e7g5
8/1B3k2/8/p6n/P2P4/2Pn1K1P/1P3P2/8 w - -,b2b4
r1bqkb1r/1pp2ppp/p1n2n2/2Pp4/3P4/2N5/PP3PPP/R1BQKBNR w KQkq -,c1g5
r1b1kb1r/ppp1qppp/3p1n2/1N6/4PP2/5N2/PPPP2PP/R1BQK2R b KQkq -,e7e4
rnb1k2r/pp2ppb1/3p3p/q5p1/3PP1n1/2N2NB1/PP1Q1PPP/R3KB1R b KQkq -,b8c6
2r3k1/p2rbppp/4p3/PQ2P3/1p1B1P2/1P4P1/6BP/2R3K1 b - -,c8c1
r2q3k/5r1p/1np2b2/ppp1pP2/P3P3/1PBPN1RP/2P3Q1/6RK w - -,e3g4
r1bqkb1r/pp1p1ppp/2n2n2/4p3/4P3/5N2/PPPN1PPP/R1BQKB1R b KQkq -,f8c5
8/8/8/5kp1/7p/4r2P/5R1K/8 b - -,f5e6
3K4/3P1k2/8/8/4R3/2r1p3/8/8 w - -,e4f4
3rr1k1/2q3p1/RpP3p1/1P1pRp2/3Q1P1P/6PK/8/8 b - -,e8e5
r3r1k1/pp3pp1/nqp4p/3P4/2Q5/P1P3P1/2P2P1P/2KR1B1R b - -,c6d5
2rbnrk1/3b3p/3p2p1/p2Pp3/1p2PpP1/3N1P1P/PP2R3/R2N1BK1 b - -,d8b6
7k/pp1r1r2/5q1b/2P1p2p/4Q1p1/3B2P1/PR3PPK/1R6 b - -,d7d4
r4k2/p1p1rqb1/1p2pn2/8/3PN2B/2P5/PPQ2P2/2K3RR b - -,g7h8
8/1P1n1K2/3k4/p2P4/P7/4N3/8/8 b - -,d7e5
r6r/pp2qpbk/2np2pp/7P/Q2pPP2/3P2P1/PP1B2B1/R3K2R w KQ -,h5g6
3r2k1/4pp1p/6p1/1p3b2/1P1r4/6PP/1R2PPB1/5RK1 w - -,g3g4
3r1rk1/pp1n1pp1/1qp2bp1/8/2BNn3/Q3P1P1/PP3P1P/2RRB1K1 b - -,b6c7
6k1/5p1p/p2p2p1/1pnPp3/4P1PP/1P3P2/P1R3K1/1r3B2 b - -,g8f8
8/1R3pk1/6p1/4P3/4KP1p/2r5/P4b2/8 b - -,h4h3
5r1k/p5p1/b1p4p/4p3/1p1PQ2P/1B2P1K1/P2q1P2/R6R w - -,e4c2
2R2n2/5qbk/5n2/2Q4p/2pPp1p1/4PpP1/5P1P/5BK1 w - -,f1c4
r3k2r/2p1n1pp/1p1q1p2/pPb2b2/1nBp4/BQ1P1N2/P2N1PPP/R1R3K1 b kq -,e8c8
2b2rk1/2q1r1p1/2p1p1Bp/ppNn4/2pP1P2/2P2QP1/7P/4RRK1 b - -,b5b4
rn1qr1k1/1b1n1pbp/1p2p1p1/p2pP2P/3P4/2N1B1P1/PP1QNPB1/R3K2R b KQ -,b8a6
5rk1/2qb1pp1/p1nN1n1p/2P5/1pP2pP1/3Q3P/5BB1/4R1K1 w - -,d3d2
r2q1rk1/1p1nppbp/2p1b1p1/p2n2B1/P2P4/2NNP3/1P2BPPP/R2Q1RK1 w - -,a1c1
2rq1rk1/p2nb1pp/bp2p3/2pp4/2pP4/1P3NP1/P3QPBP/R1BR2K1 w - -,e2e6
2br1k1b/8/3pp2P/1r4R1/ppq1P3/5PQ1/PPP5/1KNR4 b - -,f8e7
4rrk1/pp4pp/2q5/3nP3/4Qp2/2P3P1/PP3PKP/R1B1R3 b - -,e8e5
8/5Rpp/3kp3/8/4KP2/8/6rP/8 w - -,f7a7
