8/8/5K1p/7P/1r6/2k3P1/1p6/1R6 b - -,b4g4
r4rk1/pp1q3p/3p4/2pPb1p1/2PpPp2/1P1B1P1P/P2Q1KP1/R4R2 b - -,f8f7
r4k2/6p1/1p5p/1Q1p3q/4n1b1/4Br2/PP3PPP/R3R1K1 b - -,f3f5
2r3k1/R4pbp/2q1p1p1/2p5/3p1P2/4n1PB/Qn2PB1P/2R3K1 w - -,a2b2
8/5b2/2p1k3/p1n1NNp1/P3P1K1/8/1PP5/8 w - -,e5c6
5b1k/3n1p1p/3p1P2/1p3qPP/3p1P2/Pp1P1Q2/1Pr1RK2/8 w - -,f2g3
2r2b1k/3q1ppp/p7/1p1p2P1/3N1R2/8/PQP4P/K1B5 b - -,h8g8
r1b2kr1/ppq1bpp1/2ppnn1p/5N2/4P1PP/2N1BB2/PPP1QP2/2KR3R w - -,d1d2
r3r1k1/1b2Qppp/pp6/3q2B1/P7/5N2/1P3PPP/2R3K1 w - -,e7b4
8/7k/2b5/1r4b1/6N1/2R4P/6P1/4N1K1 b - -,c6b7
rn1q1rk1/p1p2ppp/1p1b1n2/3bp3/8/3P1NP1/PPPN1PBP/R1BQR1K1 b - -,f8e8
r3k2r/ppq1bppp/2p2n2/2n1p3/4P1b1/1PN2NP1/PBPPQ1BP/R3K2R b KQkq -,c5e6
8/8/1R2bkpb/8/7P/5P2/6K1/8 b - -,h6d2
2r1r3/2P3qk/p5p1/1pR4p/4p1bP/P2p4/1P1Q1PP1/1B2R2K b - -,g7e7
8/6k1/8/pB3K2/P4R2/3p4/8/3r4 w - -,f5e4
3r2k1/3b1pbn/pR1p2p1/n1pP3p/2P1P3/6pP/P2NN1B1/5RK1 b - -,g7h6
3n4/1p4pk/pR2r2p/P2p1p2/3Pb1BP/4B3/1P3PP1/6K1 w - -,g4d1
rnbqk1nr/pp3ppp/4p3/2bP4/8/8/PPPN1PPP/R1BQKBNR b KQkq -,e6d5
1q3r2/5pkp/p7/1p3bp1/2pRnbB1/P1P4P/2P2QP1/5R1K w - -,d4e4
8/8/4p3/6P1/2K5/4P2P/2k3P1/b7 w - -,h3h4
1q3r1k/pb2p1b1/1pnRP2p/2p2ppP/2B5/2P1NN2/PP2QPP1/4R1K1 b - -,b8d6
5b2/3k3p/1p2p1p1/pP1b1p2/P2P1P2/1BK1B1P1/7P/8 b - -,f8b4
r3kbnr/1pp2pp1/p1p5/4p3/4P1p1/2Pq1N2/PP1P1PP1/RNBQ1RK1 w kq -,f3e5
4r1k1/5pp1/p6p/2b1B3/2p2Q2/P2q3P/1P3PP1/4R1K1 b - -,c5d4
2r3k1/5pp1/1pP4p/2q5/8/6P1/P1Q2P1P/1R4K1 w - -,c2c5
rn3rk1/pb2bppp/1q1p1n2/2p1p3/Q1P2B2/2NR1NP1/PP2PPBP/R5K1 w - -,f3e5
r1bq1rk1/3n1pbp/3p1np1/pP1Np3/QP2P3/3B1N1P/P4PP1/R1B1K2R b KQ -,f6d5
3r4/2p5/R2kp3/7p/1p2P1p1/1P1P2P1/2P3KN/8 b - -,d6c5
8/5pkp/1P6/5R1P/1r4P1/5P2/6K1/8 b - -,b4b6
r4rk1/1b1nq1pp/1p1bpn2/p1ppNp2/2PP4/1P3PP1/PBQNP1BP/4RRK1 w - -,e2e4
r1bq1rk1/5pbp/1pn3p1/p1pnp1N1/8/P2P2P1/1PN1PPBP/1RBQ1RK1 w - -,c2e3
r1bq1rk1/1pp2ppp/p1pb1n2/4p3/4P3/1P1P1N2/PBP2PPP/RN1Q1RK1 b - -,d8e7
2r2rk1/pq3ppp/n3pn2/2ppN3/1p1P4/2P1PQ2/PP1N1PPP/1RR3K1 w - -,c3c4
5Rrb/1p2p2p/p1k1q2P/3pP1P1/8/1PQ5/P1P5/2K5 b - -,c6b6
8/1b3p2/pp1k3p/3p1Pp1/3K2P1/4P2P/PP4B1/8 w - -,b2b4
4k3/1R6/4P3/3K4/8/8/8/2b5 w - -,e6e7
8/3r2k1/2R3P1/P6r/4PB2/5P2/4K2p/8 w - -,f4h2
r4rk1/2p1q1pp/1p1ppn2/5p2/p1PP4/P1Q1P3/1P1N1PPP/2R1R1K1 b - -,f6e4
6k1/2pr1p2/4BQpp/p3P3/3P4/4q1P1/5RKP/8 b - -,e3e4
1r4k1/5p1p/3p2p1/2pP1nq1/1r6/1P5P/P2N1QP1/4RR1K w - -,g2g4
r1b1nrk1/p1pnqp1p/1p1p2p1/4p3/1PPPP3/P1B2PN1/4B1PP/R2Q1RK1 b - b3,c8b7
3rr1k1/pp1bqp1p/2n3p1/b1p2p2/2P2P1N/1P1NPQP1/P5BP/R2R2K1 b - -,e7e3
r1q3k1/pb3pp1/1p1rpn1p/7P/3N2P1/2PB3R/PP2QP2/1K1R4 b - g3,d6d5
r1bqk2r/5pb1/1pp3np/p1p1p1p1/4P3/P2PBNNP/1PPQ1PP1/R3K2R w KQkq -,g3h5
7b/R1N2k1p/2p1p1p1/8/4P3/2P3P1/1P3PKP/3r4 w - -,c7d5
r1b2rk1/ppp1qppp/3p1n2/3P4/3nP3/3N4/PPP1BPPP/R1BQK2R w KQ -,f2f3
r4rk1/2pq2b1/3B2pp/3Ppb2/1P2N3/4Q2P/3N2P1/R4RK1 b - -,c7d6
8/p4kp1/8/1P3n2/P4P2/3P2p1/3Br3/3R3K b - -,f5h4
2rq1r2/4ppkp/2pp2p1/p7/2P5/1P2P1P1/P4PKP/R2Q1R2 w - -,d1d4
1r1r3k/1pq3bp/3p4/3B1p1Q/P1PP4/BR4P1/2N4K/8 b - -,c7a5
r3nrk1/2q3pp/p1p1bp2/1pQ1p1P1/4P2P/2N2P2/PPP1B3/2KR3R b - -,a8c8
r3r1k1/p4qnp/8/2Q1b1p1/4ppB1/4P2P/P4PPB/3R1RK1 w - -,d1d5
rnbqk2r/ppppp1b1/5npp/5p2/3P1B1P/2N5/PPP1PPP1/R2QKBNR w KQkq -,d1d2
6k1/1qn2pp1/3bp1p1/1n1p4/rP1P3P/3B1PP1/4NBK1/1QR5 w - -,f2e1
8/p1p5/6B1/2k4p/P6P/2PR2Pr/1P6/1K2b3 w - -,g6h5
r1bqr1k1/pp1n1ppp/2p2n2/3p4/1b1P4/2NBP1N1/PP3PPP/R1BQ1RK1 w - -,c1d2
r3r1k1/2q1bppp/2b1pn2/1pp1p3/2N1P2B/2PP3P/1PB1QPP1/R3R1K1 w - -,c4e3
8/p2b3R/3k2p1/1Pp1p3/P3p1rp/4P3/3N1P2/5K2 w - -,d2c4
3r3r/2pk2pp/pb2p3/3n4/5B2/2N3PP/PP3P2/R4RK1 w - -,f4e5
r4rk1/1q1nppbp/3p2p1/3P4/1p3P2/4BB1P/1PPQ2P1/R4RK1 w - -,c2c3
b4rk1/2R2ppp/4q3/P7/3Q4/4P3/6PP/2R3K1 b - -,e6a2
1r3rk1/1b2pp1p/pn1q2p1/3Pp3/2p1P3/1B4NP/PPRQ1PP1/2R3K1 w - -,b3c4
r2q1rk1/1p2ppbp/pnn1b1p1/8/3p4/N2P1NP1/PP1BPPBP/1R1Q1RK1 w - -,b1a1
r1bq1rk1/pp2bppp/n1n1p3/2p5/2N1PBNP/P2P2P1/1P3PB1/R2Q1RK1 b - h3,f7f6
rnbk3r/pp2ppbp/6p1/8/8/2N5/PP2PPPP/R1B1KB1R w KQ -,c1e3:c1d2
6k1/3R1p2/p5pp/1p1B4/7P/2r2PP1/6K1/8 w - -,d5f7
8/3b4/r4k2/2pPR1p1/5p2/7P/5BP1/6K1 w - -,e5e4
1k5r/1b2q1b1/p7/4P2P/2NP1R1n/8/2Q1B2P/6K1 w - -,c4d6
r1bq1rk1/pp4pp/2p1p3/3pbp2/2PPn3/1P4P1/P1Q1PPBP/R1B2RK1 w - -,d4e5
2b4r/pp1p1pkp/2nNp3/2n2p2/8/P4P2/1PP3PP/3RKB1R b K -,c5a4
4Bbk1/2q2p2/4p1p1/4rn2/1p2Q3/3R4/PPP5/1K1R4 w - -,e8f7
3qr1k1/2p2p2/1p2p1p1/p3P1P1/2P4Q/1P2P3/5PK1/7R b - -,d8a8
8/3B4/1p5p/1P4p1/3nk3/6P1/6KP/8 b - -,e4e3
8/8/1p6/3pk2P/3N1p2/5K2/r7/3n2B1 b - -,a2a3
5n2/5pkP/8/1P6/K1N5/6P1/8/8 w - -,b5b6
1Q1r4/4q1kp/4pRp1/2p1P1P1/1p5P/1P4PK/P7/8 w - -,b8b6
2rqr1k1/pp3ppp/3b4/5b2/P1pPn3/4PN2/1B2BPPP/R1Q2RK1 b - -,c4c3
2r5/pp1k1ppp/8/2Pp4/1P6/8/P2K1PPP/7R b - b3,a7a5
8/8/2kP2b1/p6p/8/4P3/2p2KPP/2R5 b - -,c6d6
1k1r2n1/3q4/2pp1p2/pp2r1pR/4P1P1/1Q1N1P2/PPPR4/2K5 b - -,e5e8
4rr2/1pbb1qk1/2p1p2p/1PPp1pp1/3Pn3/3BPP2/Q2NN1PP/1R2R1K1 b - -,e4d2
2r2r1k/6pp/1q1p4/pP2pbb1/R1B5/2N5/1P2QPPP/5R1K b - -,f5d7
r1bqkb1r/pp1p1ppp/2n1p3/8/4P3/2PB4/PP2NPPP/R1BQK2R b KQkq -,f8e7
1R6/8/8/4n3/8/3r1k2/8/4K3 w - -,b8f8
1rb2rk1/3nqpb1/3p1n1p/1ppP2p1/4P3/2NQ1NPP/1P1B1PB1/R4RK1 w - -,f1e1
8/4b2k/4Ppp1/2pp1P2/1P4P1/3K4/3B4/8 b - -,c5b4
rrb1n3/4bpk1/1pp3pp/4p3/1pB1PP2/P1P1B1P1/1K4NP/3R1R2 w - -,f4e5
1rbq1rk1/p3npbp/1pnpp1p1/2p5/P3PP2/N1PPBNP1/1P4BP/R2Q1RK1 b - -,a7a6
8/8/8/5pk1/1R6/5K2/8/r7 w - -,b4c4
6k1/5pp1/1r5p/3p4/1PrNb3/P3P3/3R2PP/3R2K1 b - -,b6a6
2krr3/2p2pp1/p3q1b1/1pp1N1Pp/4PP2/3PQ2P/P1P5/1R3RK1 b - -,e6d6
2r3k1/1R2ppbp/3pbnp1/8/q1P2P2/4Q3/4B1PP/3RB1K1 b - -,e6c4
r1bqk2r/2pnnpb1/pp1pp1pp/8/3PPP2/N1PBB3/PP1QN1PP/R4RK1 b kq f3,f7f5
6k1/p3b3/1p1pr2p/7p/2r1PPp1/P1N3P1/1PKB4/3R4 w - -,c2d3
r1bq1rk1/4n1bp/2pnppp1/ppN5/P2PPB2/5NP1/1PQ2PBP/R2R2K1 b - -,g8h8
r1b1nrk1/ppp1qppp/8/2nPp3/2P1P3/2N2NP1/P2Q1PBP/2R2RK1 w - -,d2e2
2r2b1r/1p3kpp/p1qPpp2/2P1nb2/2BQp3/8/PP1BNPPP/2R2RK1 w - -,d2a5
6k1/1p3pp1/pr6/2p4P/2Pq4/3PpKP1/1P2Q3/3N4 b - -,d4f6
r4rk1/1p1bbppp/1qn1pn2/p1pp4/2PP4/1P1BPN2/PB1NQPPP/R4RK1 w - a6,d4c5
1r1q1rk1/1p2npbp/3pb1p1/p1p1p3/2Pn4/P1NPN1P1/1P2PPBP/1RBQ1RK1 w - -,e3d5
r2qr1k1/2pb1pb1/pp1p1npp/2n3B1/2P1P3/1NN4P/PPQ2PP1/R3RBK1 w - -,g5h4
r3k2r/p1qb1pp1/2pbpn1p/8/7Q/3B1N2/PPP2PPP/R1B1K2R w KQkq -,e1g1
6k1/5p1p/4r1p1/8/3rPP1b/R1N4P/1P4P1/4R1K1 w - -,e1f1
8/3k4/1R6/1p1N4/3K4/1p6/8/4r3 w - -,b6b5
r1bq1rk1/1p2bppp/p1nppn2/8/2PNP3/2N2P2/PP2B1PP/R1BQ1RK1 w - -,d4c2
r4rk1/ppbbqpp1/2p1pn1p/8/2PPN3/3B1N2/PP2QPPP/3RR1K1 w - -,f3e5
r4rk1/1p3pp1/2nb1q1p/p2p1b2/8/PP3NP1/4PPBP/1NRQ1RK1 w - -,d1d5
4n3/r2nqpk1/3p4/1B1Pp1p1/N2bP1P1/5P2/3Q2K1/R6R w - -,a1c1
1r6/3nk3/p4np1/1ppBp1P1/4P3/1P2NP2/P3K3/7R b - -,f6d5
r2r4/4Rp1b/2Q2P2/k7/1p3BPP/8/1qP2PK1/8 b - -,b4b3
1k2r3/1ppbnppp/p1p5/8/3NP3/2N2P2/PPP3PP/5RK1 w - -,f1d1
4r3/1nk5/2p1npbp/2p1p3/2P1P1P1/1PKN2N1/4BP2/R7 b - -,e6d4
8/p6k/1r2N1Rp/5K2/P4P2/8/5b2/8 w - -,g6g7
r1b2rk1/ppn1qp1p/4p1p1/1N1nN3/P1B5/2P5/1P2QPPP/R2R2K1 w - -,b5c7
3k4/3p2pp/pQ6/4p3/1p2Prn1/2P2n2/PP2KPqP/R4R2 b - -,d8e8
4rrk1/p1q2p1p/2b5/2p1ppb1/1pP1PnN1/1P5P/PBQRB1P1/3R2K1 w - -,g4f2
r3k2r/pppq1pp1/2n2np1/1B1pb3/3Pp3/PP2P3/2P2PPP/R1BQK2R w KQkq -,d4e5
1n6/1rq2nkp/Rp1p2p1/1PpPp1p1/2P1P1P1/2N2P2/Q4N1P/6K1 w - -,a6a8
2b2r1k/2q1p1bp/p2p2p1/2pP1p2/2P1BP1B/4P2P/Q5P1/1R4K1 w - -,e4d3
r3k2r/1p3ppp/p1bbpn2/8/2B1P3/2N1BP2/PP3KPP/2R4R b kq -,f6d7
rq3rk1/2p2ppp/3b4/2n5/p1Q5/P1N1PR2/1P1P2PP/R1B3K1 w - -,a1b1
2brrbk1/ppq2pp1/2pp1nnp/P3pN2/2PPP3/1PB3PP/2Q2PBN/3RR1K1 b - -,d6d5
r7/1p2rbk1/2pq1b2/3pNpn1/1P1P2p1/3NP1P1/2Q1BPK1/2R4R b - -,e7e8
4k3/5p1p/1R3Kp1/1p3p2/r7/8/P4PPP/8 w - -,b6b5
8/1R2pp2/3p1kp1/2bP3p/2P4P/6P1/2r1BP2/5K2 w - -,b7b3
r2qk2r/pp1bnpbp/2npp1p1/1Bp5/2P1PP2/2NP1N2/PP4PP/R1BQ1RK1 w kq -,b5c6
r4rk1/pp4bp/1q2ppn1/1P1p4/1Q1P3P/P2BPN2/6P1/R4RK1 b - h3,f6f5
2rr4/5pk1/q2p1pp1/1p5p/3RP3/1P3PP1/PQ1R2KP/8 b - -,c8a8
8/1p3pk1/6p1/3p4/P1qN1Q1p/4P2P/2NK2P1/1r6 b - -,b1g1
r1bq1rk1/pp1n1pp1/2pb1n1p/4p3/2BP4/2N1PN1P/PPQ2PP1/R1BR2K1 b - -,d8c7
5rk1/p1p3pp/2pp4/N4br1/1PP2P2/5nPq/P6P/1R1Q1R1K w - -,f1f3
8/5k2/1B1b4/3P4/4b1p1/4N1P1/5K2/8 w - -,e3c4
2rqkb1r/1p1n1p2/p2pbnpp/4p3/P3P2N/2N2BP1/1PP2P1P/R1BQ1RK1 b k -,d8c7
8/p4p2/1p1k3p/2n5/3K2B1/7P/6P1/8 b - -,c5e6
5k2/8/5Pp1/3BKb2/5P2/8/8/8 b - -,f5c2
r2qk1nr/1b1nppbp/pp1p2p1/2p5/P2PPP2/2NBB3/1PPQ2PP/R3K1NR w KQkq c6,g1f3
2r2rk1/1b3p2/4p2p/ppp2pb1/3qP3/P1BB4/1P3PPP/3QRRK1 b - -,d4d8
2b1r2k/p2qbrnp/1p1p4/3Pp2P/2P1N3/P2QBN2/4KPR1/7R b - -,d7f5
2r2rk1/p4n1p/2Q2n1b/N1Pp1pq1/3Pp1p1/4P1B1/P3NPP1/1R3RK1 w - -,c6a6
8/2B4p/p3p1p1/Pp2pp2/1k2P3/3K1P1P/6P1/8 w - -,d3c2
4b3/6kp/8/N4pp1/2P1p3/2q1P1P1/Q4P1P/6K1 w - -,a5b3
8/p7/1p6/P7/2k5/8/1K6/8 b - -,b6b5
5rk1/4b2p/4ppp1/2pq4/rp6/3P2P1/1BPQ1P1P/R3R1K1 b - -,a4a1
1rR3k1/3q1pbp/1P2b1p1/p2pp3/P7/BQ1P2P1/4PPBP/1R4K1 b - -,b8c8
r2r2k1/2q3b1/2bBp2p/1p2Ppp1/p2p4/P2P4/1PP1Q1PP/N3RR1K b - -,c7b7
2r5/p4pkp/2P1p1p1/8/1pR5/6P1/P3KP1P/8 b - -,g7f6
7k/p1p3rp/1p6/2Bbpr2/4N2P/8/PPP5/2KBR3 w - -,e4c3
2r2rk1/2qn1pn1/2p1p1p1/p1Pp3p/Q2PP2P/4NBP1/P4P2/R3R1K1 b - -,g8h7
rq6/pp5k/2b1QP2/7p/8/7P/PP4P1/2RR3K w - -,e6f7
r1bq1rk1/3pnpbp/pp2p1p1/2p1P3/5P2/1PNPBN2/1PP3PP/R3QRK1 b - -,c8b7
r1bqkb1r/ppp1n1pp/3p1n2/3Ppp2/2P5/2N1P1P1/PP3PBP/R1BQK1NR b KQkq -,g7g5
r5k1/2r2pp1/2n1p3/pp1pPp2/5P2/PP2R2P/1BP2KP1/R7 b - -,a8c8
r1q1rbk1/pp1b1ppn/2pp3p/4pNn1/1PP1P2N/3P2PP/P2B1PBK/2RQ1R2 w - -,f2f4
8/5p1p/1p1k4/1K1N1pp1/P7/1P3B1P/5PP1/4b3 w - -,d5b6
8/1p5R/1k6/4p3/3bPp2/1P4p1/8/3K4 w - -,h7g7
r1r3k1/p2q1pbp/1p2p1p1/n3P1BP/3R4/2P2Q2/P3NPP1/2R3K1 b - -,d7b7
r1b2rk1/ppB1qppp/5n2/1NnPp3/2P5/4P3/P4PPP/R2QKB1R b KQ -,f6e4
r2q1rk1/p4pb1/Rpp1b1np/4p1p1/1P2P3/2NPBN1P/2PQ1PP1/R5K1 b - -,d8f6
3r2k1/ppp1bpp1/7p/3n4/3P4/P4N1P/1P1B1PP1/R4K2 w - -,a1c1
8/6pp/5k2/4p3/4Pn2/5P2/3K2PP/8 w - -,g2g3
r2qk2r/pp2ppbp/3p1np1/8/3BPP2/5N2/PPP3PP/R2QK2R w KQkq -,d1d3
Q7/p1qkn1p1/2p1p2r/8/3pN3/1P1P3P/PBP3Pb/R4RK1 w - -,g1h1
1rb2rk1/2qn1pbp/p2ppnp1/N7/2P1P3/2N1BP2/1P1QB1PP/R4RK1 b - -,f8e8
r2qrb1k/4n3/p2pP1pp/3Pp3/R4p2/1Q3P2/1P2BBPP/3R3K b - -,a8b8
7k/1pr3p1/p4nQp/q1nR3P/2P5/PP4N1/1B3PP1/R3r1K1 w - -,a1e1
r4rk1/pbqnppbp/1p1p1np1/8/2P1PP2/2N1B3/PP1NB1PP/2RQ1RK1 w - -,c3d5
r4rk1/1p2q1p1/4b1Bp/3pPp2/p1pP1b2/P3P1P1/1PQ3P1/R4RK1 w - -,e3f4
5rk1/r2q1pp1/p1Rbp3/1p1p2p1/3P4/1Q1NPP1P/PP4P1/2R3K1 b - -,f8d8
8/1b1r4/1p3k2/p6p/3NpP2/8/PP2PP2/2R3K1 w - -,e2e3
r3k1r1/pp2pp1p/2np1n2/q5p1/4P3/2P1BPP1/P1P1bRBP/R3Q1K1 w q -,f2e2
r1nr1nk1/pp2qpp1/2p1p1p1/P5N1/1b1P2Q1/1B2P3/1P3PPP/R1B2RK1 w - -,f2f4
8/p6p/Pp2p3/4k3/1P1Pr3/5rP1/2RK3P/7R b - -,e5d4
1k1r4/1p5p/pqBr1p2/5Qp1/8/1PPp2P1/1P3P1P/3R1RK1 b - -,b6c6
4rrk1/pp3pp1/3p1q1p/2pP4/2P1BPb1/2PQ4/P5PP/4RRK1 w - -,d3d2
r1b2kr1/pp2n1b1/3qp1Q1/3p2B1/5Pp1/1N1B4/PP5P/R3R2K w - -,g6h5
r3k2r/pp2ppbp/2p1bnp1/3qN3/3P1B1P/3B1Q2/PPP2PP1/2KR3R w kq -,f3d5
1r1qk2r/3nbppp/p2p1n2/3Pp3/P7/2p3P1/1P1BNPBP/R2Q1RK1 w k -,d2c3
r1b3k1/3rqn1p/p3p1p1/8/4PQ2/1B1N4/P5PP/2R2R1K w - -,d3e5
4r2k/1p1rq2p/p1bp1p2/6P1/1P1R1P2/8/2P4P/QK1R4 b - -,e8f8
r3b3/6p1/p3p1k1/3pP3/1Bp3P1/2P3K1/2P3P1/R7 w - -,g3f4
8/1R2R3/p2p4/6K1/2P5/1Pkn4/P4r2/8 b - -,f2a2
r1bq1rk1/1p2bppp/p2pp3/3nP3/5P2/2NP1N2/PP1BQ1PP/2R2R1K b - -,d5c3
r1q1k2r/1p3pp1/p1p1p2p/4N3/3P2Q1/2n3B1/P4PPP/3RR1K1 b kq -,e8g8
r2q2k1/pp2r1b1/2nN2pp/n1P1pp2/8/Pb1P1NP1/1B2QPBP/2R1R1K1 w - -,f3d2
r1bqk2r/pp3pbp/2nppnp1/2p5/4P3/2NPB1PP/PPPQ1PB1/R3K1NR b KQkq -,e8g8
r3kb1r/1p1n1ppp/p1p3b1/2Pp4/1P1Pp3/4P1N1/1P1B1PPP/2R1KB1R w Kkq -,f2f3
r1b2r2/pp2p2k/4n1pp/8/2Q2P2/7P/PPP3P1/2K2R2 w - -,g2g4
r2k1b1r/2Np1pp1/4p3/4n3/1P2b3/2R1B1P1/2P1QP2/5RK1 w - -,e3g5
r1bqk2r/pppnbppp/3ppn2/6B1/3P4/3BPN2/PPP2PPP/RN1Q1RK1 b kq -,e8g8
r1bq1rk1/pp1nbpp1/2p1pn1p/3p4/2PP1B2/2NBPN2/PP3PPP/R2QK2R w KQ -,e1g1
6k1/1p1r1p1p/p3p1p1/P7/R1PP1R1P/6P1/5PK1/4r3 w - -,g2f3
r4rk1/pp1bq1bp/1n2p1p1/3pP3/5PQ1/2N1P3/PP3BBP/R4RK1 b - -,b6a4
1rbqr1k1/3n1pbp/p2p1np1/1pp5/2P1PP2/1PN1B1PP/P1N3B1/R2QR1K1 w - -,c4b5
r7/1R3pk1/8/4p3/4b2P/2P1P3/5KP1/7R b - -,a8a2
8/p2r1pp1/2p1p2k/R2b2p1/3P4/1P3P2/P4KPP/3R4 w - -,g2g3
r1b1q1r1/4p2k/2p2p2/1pPp1Nbp/p2P4/P1B1PQ1P/1P3P1K/R5R1 b - -,a8a7
8/1p3pkp/p2p4/3P4/Pr2bpPK/1PR4P/3R4/3B1r2 w - -,c3c7
3rk1r1/p6p/4q1pb/1p3p2/8/P1Bb1Q2/1PN2PPP/2KR3R w - -,c1b1
8/3n4/3kpp1Q/2p5/6qP/1pP5/1P6/2K1R3 b - -,g4a4
3R2R1/4kr2/7p/4P3/1K4p1/3B1r2/1P6/8 b - -,f7f4
r1bq1rk1/pp3ppp/5n2/3p4/1n6/2p1PN2/1P1B1PPP/RB1QK2R w KQ -,d2c3
8/1p2k3/1r6/1P1p4/3PpB2/4P3/7K/5B2 b - -,b6g6
6k1/4b3/4p3/2p1Pp1p/prNn1Pp1/1P4P1/P4K1P/3NR3 w - -,d1b2
rnbq1rk1/ppp1ppbp/5np1/3p4/2P2P2/2N1PN2/PP1P2PP/R1BQKB1R w KQ -,d2d4
2k5/1pp2ppp/p1n2r2/8/8/3BK3/P4PPP/2R5 b - -,c6e5
8/6rk/1Q5p/p2p1p2/5q2/P6P/5PP1/3R2K1 w - -,b6e6
2r1r1k1/p2b3p/1p4pb/3Pp1q1/1B2P3/2P3P1/P3QN1P/R2R2K1 w - -,c3c4
1r6/p3kpR1/2p2r2/1n1p4/1P1P4/3NP3/4KP2/6R1 w - -,g1c1
1k3rr1/3npN1p/Bqp1p1p1/4P3/1p3Q2/7P/1PP2PP1/R4RK1 b - -,g8g7
1nr5/R4p1p/1q1npkp1/1p1p4/3P4/QP1BPP2/4NKPP/8 w - -,e2f4
2r5/1prnkpp1/p3b2p/3p4/1P1N4/R1PBP3/3K1PPP/1R6 b - -,d7f6
