8/p4p2/1p2pk1p/7p/1P6/P3nPPK/4B3/8 w - -,e2d3
6k1/5pbp/6p1/3n4/8/5NP1/3B1P1P/4r1K1 w - -,f3e1
rn1q2nr/pp3kpp/2p5/8/3pP1b1/5N2/PPPN2PP/R2QK2R w KQ -,f3e5
r4r2/1bqn2kp/p5p1/2pPpn2/2P5/2NN2PP/P2QR1B1/5RK1 w - -,c3e4
3r2k1/1qbr1bpp/p1n2p2/P1pRpP2/1p2P3/4B1P1/1PPQ2BP/R5K1 w - -,d5d7
r1b1r1kb/q4p1p/2p2npB/1pp1p1N1/p3P1P1/3PQ2P/PPP1NP2/2K3RR w - -,c2c3
r2q1rk1/pp2pp1p/6p1/n1pP2N1/4P1bP/8/P2QBPP1/1R2K2R b K -,g4e2
rn3rk1/5pbp/p3p1p1/3N4/3P4/4P1P1/5PKP/R1B2R2 w - -,d5e7
r4rk1/1bqn1pbp/1p1p2p1/p1pPp2n/P1P1P3/2N2NPP/1P3P2/R1BQRBK1 b - -,b7a6
r1bqnrk1/2p2pbp/1p4p1/2pPp3/2P1P3/P1N5/1P1NBPPP/R2QK2R w KQ -,e1g1
8/7p/pr3kp1/2R5/5p2/7P/P2N1PP1/5K2 b - -,h7h6
5r2/4p1kp/1p1pb3/p3n1p1/2P2r2/1P2N3/P2R1PPP/3R1BK1 w - -,h2h3
5rk1/3b1p2/2p1nRp1/p2pP2p/5N1P/2PPN3/1P4P1/6K1 b - -,f8b8
6k1/1R4b1/p5pp/2p5/P7/1P5P/1r4P1/4R2K w - -,e1e8
r2qk1r1/p2nbp1p/bpp1N2B/3pPn2/3P3P/2N2B2/PPPQ1P2/2KR3R b q -,f7e6
8/1pk1pp2/p2p4/n3nQ2/4P3/1Nq2PK1/2P5/2R5 w - -,b3a5
8/p7/1pN4p/1P4k1/P4n2/4K3/8/8 b - -,f4e6
r1bqkbnr/pp3ppp/2n1p3/2pp4/3P4/1P2PN2/P1P2PPP/RNBQKB1R w KQkq -,c1b2:f1d3
5rk1/1R3pp1/Rpr5/4p3/P7/5KP1/4P2P/8 b - -,c6f6
r4rk1/pbqn1ppp/3b4/2pp2B1/1P2n3/3BPN2/P2NQPPP/2R2RK1 w - -,b4c5
2r2rk1/ppB1p1bp/2B1bpp1/2p4n/2P5/1PN3P1/P2NPP1P/R4RK1 b - -,c8c7
5rk1/pb2qpp1/1pr1p2p/2p5/2BP1P2/2P1P3/P3Q1PP/R4RK1 w - -,c4d3
2r1k2r/pb2bpp1/4p2p/8/1p5P/3NNP2/PPP3P1/2K1R2R w k -,c1b1
8/p4kp1/1p4Np/2n4P/PKP5/8/8/8 b - -,f7f6
r4rk1/pp4bp/4b1q1/3R4/4p3/4B3/PPP1QPPP/2K4R w - -,d5g5
6k1/3n1pb1/6pp/5p2/1NpP4/2P2P2/3B1P1P/4r1K1 w - -,d2e1
5rk1/5q2/p4rpb/1p2p2p/2p1N2P/2P3P1/PP3PQ1/3RR1K1 b - -,f6f3
5r1k/4r2p/p1Q5/3p2q1/1R3p1n/2PN4/1P3PPP/3R2K1 w - -,g2g3
3r2k1/1p3ppp/p7/8/bP6/P1KBrP1P/5RP1/3R4 w - -,f2d2
2rr2k1/pp1b1pp1/2p2n1p/8/3N4/1B2PP1P/PP4P1/2RR2K1 w - -,e3e4
3r1R2/pp5k/2np2pp/4p1q1/7N/3Q2PP/PP2PP2/5RK1 b - -,d8f8
r5k1/pbq2p1p/1pn1p1p1/3rP1b1/6Q1/2P2N2/P1B2PPP/R3R1K1 w - -,g4g5
8/p5Bk/1b5p/3b1N2/8/1Pp4P/P3R1PK/3r4 w - -,g7c3
r2rn1k1/pp4pp/3Pqp2/1PB1P3/P7/2P2N2/5PPP/3QR1K1 b - -,f6e5
4rrk1/p2b2q1/1p1p4/n1pPb2p/2Pp4/1P1N2PP/P3R1B1/3QRNK1 b - -,e5g3
5rk1/p1qp1p1p/p1bR2p1/2P5/4PQNP/2P5/2r2PP1/4R1K1 w - -,g4f6
r3k2r/1p1q1pp1/2p1p3/p1QnPbBp/3P3P/P7/BP3PP1/R3K2R b KQkq -,b7b6
r1b2rk1/pp1nppbp/5np1/q7/3P4/1QN2N2/PP2BPPP/R1B2RK1 w - -,f1d1
5R2/8/8/4p1r1/8/1r1B1P2/4K3/6k1 b - -,e5e4
r3k2r/pppbqpb1/2n1p1p1/4P2p/4NP2/PP4Q1/1BP3PP/3RKB1R w Kkq -,f1e2
r1b1qr1k/7p/2n1P1p1/3R1P2/4P1P1/npp2NB1/6QP/1NK4R w - -,b1c3
8/1Pk5/2n5/5K2/6P1/8/8/8 w - -,f5f6
8/p7/7p/3bkP2/n1p5/6KP/PP1R4/8 b - -,d5e4
rnbq1rk1/1p2bppp/p2ppn2/8/2BNPP2/2N1B3/PPP3PP/R2Q1RK1 b - -,b8c6
1k1r4/p4r2/1p1q4/2pP4/4QNp1/3n2P1/P4P1P/5RK1 w - -,e4d3
3r1k1r/1p2p3/p3pb1p/3Pq3/2B4N/5RP1/1PP3P1/1R4K1 w - -,h4g6
8/ppp2pk1/5rp1/2Q4P/P3Pq2/1P1P4/2K5/6R1 b - -,f6c6
2r3k1/5rpp/p3p3/Bp1nq3/1P3pP1/5Q2/P3PPKP/2R5 w - -,c1c8
8/8/p2p4/3Pp3/1P2Pk2/q5pK/4R3/5B2 w - -,f1g2
1r2n1k1/p2p2pp/2bp4/P1r5/5P2/2N1R1PB/1P1RP2P/6K1 w - -,b2b4
rnbqkb1r/pp3pp1/2p2n1p/4p3/4P3/2NB3P/PPP2PP1/R1BQK1NR w KQkq -,c1e3
r2q1r1k/6p1/p1nb1n1p/2p1p3/Pp1p4/2PPQ2P/1PB2PP1/R1B1RNK1 w - -,e3f3
rn2k2r/pp2bppp/2p1pn2/q7/2BP4/2N5/PPP1QPPP/R1B2RK1 b kq -,e8g8
8/B4k1p/Qpq1p1p1/3p1p2/1bnP3P/4PPP1/2R4K/8 b - -,b4d6
8/5p2/1r2bk2/8/5P2/4K3/8/2RR4 b - -,b6b3
r3k2r/5pbp/p5p1/5P2/2p1n3/4B3/PP4PP/RN3RK1 w kq -,b1c3
8/1p2ppk1/3p2p1/2rP3p/PRr1B2P/2b3P1/2P2P2/1R4K1 w - -,b4c4
r1bq1rk1/p1p3pp/1Npp4/4np2/1P2P3/P2B2Q1/2P2PPP/R1B2RK1 b - -,a7b6
3r4/pb2Nrbk/p4p1n/1q1N2p1/4P2p/2Q4P/PP3PPB/3RR1K1 b - -,b5e8
r1bqk2r/pppnppbp/3p1np1/8/2PP1B2/4PN1P/PP3PP1/RN1QKB1R b KQkq c3,e8g8
2b5/1p2k3/1PP2b1p/2BP2p1/2p5/5NKP/5P2/8 b - -,e7e8
1nkr4/8/3p2pb/1P1R3p/R3p3/2P5/1P2B1PP/6K1 b - -,d8f8
2b1r1k1/1p2qpp1/r3pn1p/2b1N3/p1P2B1P/3R2P1/PP2QPB1/3R2K1 w - -,g3g4
r1b2rk1/pp2qp1p/2pb1np1/5p2/2BP4/P1N1PN2/1PQ2PPP/1R3RK1 w - -,f1d1
4n3/6k1/3p2pp/2pPpp2/3bP3/1P4PP/4BPK1/5N2 w - f6,f2f3
8/8/8/pK3N1p/6k1/6P1/8/8 w - -,f5g7
7k/1pr3p1/p4nQp/2nR3P/2P5/PP4N1/1B3PP1/4q1K1 w - -,g1h2
8/4n3/4p3/7p/1p1PkPp1/1P4P1/4N3/4K3 w - -,e1d2
2r5/3bk3/p2pp1p1/1p2b3/1P1NP2p/1KP4P/P3B1P1/5R2 b - -,c8a8
8/P4p2/4r2p/1K3R2/8/7k/8/8 b - -,e6e8
r1bq1rk1/1pppnp1p/p5p1/2bP4/2B1PP2/2N5/PP4PP/R1BQ1RK1 w - -,g1h1
r4rk1/1p1nqpp1/2p2n1p/p1b1pb2/P1Pp4/1P1P1NPP/1B2PPB1/RNQ1R1K1 b - a3,f8e8
3rr3/6k1/p3p3/Pp1qPpp1/1PpP2p1/2P3P1/6QP/2R2RK1 w - -,g2d5
r4rk1/pp4pp/2qb4/3n4/2pPQp2/2P3P1/PP1N1PKP/R1B1R3 w - -,d2c4
4n1k1/pp2qpp1/1b2p2p/8/1Pr1NB2/P5RP/4QPP1/6K1 b - -,c4d4
2r2rk1/2q3bp/p3pnp1/3pN3/1p1P4/4N2R/PPP1PP2/2K3QR b - -,f6h5
3R4/8/8/8/2k3b1/r7/3K4/8 w - -,d8d6
8/p6p/4r3/2R1pk2/1p3P2/1P2K3/P6P/8 w - -,c5a5
r6k/1pp3p1/2n3qp/PQ2p3/1BB1p3/2Pb2P1/5P1P/R5K1 b - -,a8d8
8/2rqprkp/3pR1p1/1p6/3P4/1Q5P/1P3PP1/4R1K1 b - -,c7c4
r1bq1rk1/pppnbBpp/5n2/4p1N1/4P3/2N5/PPP2PPP/R1BQK2R b KQ -,f8f7
r3kb1r/p1p1p1pp/2pq1n2/4Nb2/2Pp4/3P4/PP2QPPP/RNB2RK1 b kq -,f6d7
rn1qr1k1/1bp2ppp/pp1b1n2/3p4/3P4/1PNBPN2/PB3PPP/2RQ1RK1 w - -,d1c2
2R5/5p2/4k1pp/2P1p3/4P2P/4PK2/2r3P1/8 b - -,e6d7
8/5k2/6p1/7p/7P/6P1/5PK1/8 w - -,g2f3
r2r2k1/4qppp/1pp5/4p3/3nP3/1PQ2P2/P2N3P/1KR4R b - -,d4e2
brr3kb/5p2/6pB/1pp1p2p/8/1q1PQPP1/1PN1P2P/R4RK1 w - -,e3d2
1rb2rk1/p3npbp/1qn3p1/1ppp1p2/4P1P1/2PPB1N1/PP1Q2BP/R2N1RK1 w - -,g4f5
3r1k2/pp3p2/n5pp/1N1P2q1/PP2r1P1/4PR2/3Q2P1/R5K1 b - -,d8d5
5k2/5p2/6p1/3p4/Pp1PpK1P/1B3b2/3R1P1P/2r5 b - -,f8e7
2r3k1/2r2p1p/3p1Qp1/2qPn3/P1b1PN2/2p4P/2B3P1/2R1R2K w - -,f6g5
2r1r1k1/np1b1ppp/p3p1n1/q2pP2P/3P4/2NB1NP1/PP1Q1P2/2R1R1K1 b - -,g6f8
3r1k2/1p2bp2/p1p3p1/4P2n/PP4RP/2B2P2/2K1N3/8 w - -,e5e6
r1r3k1/1R2bppp/4p1n1/3n4/q2PN3/5N1P/4QPPB/1R4K1 w - -,h3h4
2r3k1/p4pp1/B3p2p/8/8/2bQ3R/1q3PPP/6K1 w - -,a6c8
4r3/3k1p2/3n4/1p1p2P1/4p3/1PB1n1K1/2P1B1P1/5R2 w - -,f1f6
2Q5/1P3k2/8/3q2p1/8/5PPp/6K1/8 w - -,g2h2
r2qkb1r/pp1npppp/2p2n2/3p4/2P3b1/3P1NP1/PP2PPBP/RNBQ1RK1 b kq -,e7e6:e7e5
8/5q1k/p1p2r1p/PpR5/4P2Q/1P1PK3/2P5/8 b - -,f7g6
8/5pk1/1p2p2p/1Pb3p1/6P1/8/r3BP1P/1R3K2 w - -,b1b3
r1bq1rk1/ppp1n1b1/3pNnpp/3Ppp2/PPP1P3/2N2P2/4B1PP/R1BQ1RK1 b - -,c8e6
1b6/1k5r/1P6/4n1R1/1N2ppp1/6P1/1P2K2P/6B1 w - -,g3f4
r1bqk2r/ppb2ppp/2n1p2n/1N1pP3/1P1p1P2/P2B4/2P3PP/R1BQK1NR w KQkq -,g1f3
4rrk1/pp1b2qp/2n1p1p1/3p3n/1P1P4/3B1NP1/P2QNPP1/2R1R1K1 b - b3,f8f3
r1bqkbnr/pp3ppp/2n1p3/8/Q1pp4/5NP1/PP2PPBP/RNB2RK1 b kq -,c8d7
4r1k1/1p5p/p3n3/3r4/3P4/7P/PP1B1P1N/2R3K1 w - -,h2g4
r3r1k1/1p2bppp/p2p4/6Pn/4bpqP/1P6/PBP1NQBK/R4R2 b - -,e4g2
8/2b2Q2/8/6p1/7k/r7/3K4/8 w - -,f7h7
2r1k2r/pp1q2pp/2n1p3/1Nbp1B2/Q7/5RB1/PP3P1P/R3K3 b Qk -,e6f5
2r5/2R2p2/1p1kp1p1/1b1p2P1/p2P1P2/P2N2K1/1P6/2R5 b - -,c8c7
4r1k1/6qp/p2pp1p1/1p4PP/4N3/PPQ5/8/1K5R b - -,g7c3
2Rn4/r3kpp1/4p3/p1N4p/1p6/4N1P1/r4PBP/6K1 w - -,c8b8
2rqk2r/1p1b1pp1/p1n1p3/2bpPn1p/1P1P4/P4N2/1B2BPPP/2RQ1K1R w k -,d4c5
2r5/pb2kpp1/1p2p2p/n7/4P1P1/P1P1KP2/4B1P1/1N1R4 b - -,c8c5
r2q1rk1/pb1nbppp/1p2pn2/3P4/3N4/1PNBP3/PB3PPP/R2Q1RK1 b - -,f6d5
br3rk1/2q1bppp/p2ppn2/1pn5/3NPP2/P1NB1Q2/1PP3PP/2B1RR1K w - -,f3h3
rnbqk2r/pp3ppp/4pn2/2p5/1BpP4/5NP1/PP2PPBP/RN1QK2R b KQkq -,c5b4
8/5Qp1/p1kp3p/1p1R3P/1P3PK1/5P2/8/1qr5 w - -,d5c5
r1b1r3/p3p1kp/1qpn1pp1/2Qp4/5P2/1P1PP3/P1P1B1PP/RN3RK1 w - -,c5b6
8/p4k2/1p6/2ppPr1p/1P3P1K/2PN2P1/1P6/8 b - -,c5c4
r1b1k2r/pp2bppp/1qn1p3/3pP3/3PnB2/2N2NP1/PP2QPBP/R4RK1 b kq -,e4c3
r2q1rk1/pbp1bppp/1p2pn2/2n5/4P3/2P2NP1/PPBNQP1P/R1B2RK1 b - -,a7a5
8/3k1p2/4pB2/p2pPn2/8/1n1K4/5P2/2R5 w - -,c1h1
r2kr1n1/p1nq1pb1/2p3b1/1pPp2p1/3Pp1P1/PP2P1NQ/NB2BP2/2K3RR w - -,g3f5
5rk1/p1qn1p1p/1p2p1p1/1P2P3/P3B3/2r3P1/4QP1P/R3R1K1 b - -,d7e5
2kr3r/pp5p/1np2q2/4np2/5Q2/2N4P/PP2BPP1/2KR3R b - -,b6d7
r3qr1k/6bp/p1pp4/1p1np3/5pP1/P1PP3P/1P1B1PB1/R2Q1RK1 b - -,e8f7
3rr1k1/2p2p2/b4qpp/p7/2P1nP2/P2RP1P1/1NQ3BP/5RK1 b - -,d8d3
r4rk1/2q1bppp/p1bppn2/1p6/3BPP2/P1N3Q1/1PP1B1PP/4RRK1 w - -,g1h1
6k1/1p6/1Pb2K2/r4P2/4p3/8/p3P3/6R1 b - -,g8f8
6k1/Q4b2/5K2/8/6BP/8/8/5r2 w - -,g4f5
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/2PP4/4PN2/PP3PPP/RNBQKB1R w KQkq -,b1c3
1r2r2k/1p1q2bp/p2pn1p1/P3pP2/1PPn4/2N1BP2/Q5PP/1R1R1BK1 b - -,g6f5
5rk1/1p1r1ppp/p1b2q2/2Qpn3/5N2/1PR1PP2/P3B1PP/3R2K1 w - -,c5d4
r2qkb1r/pp2pppp/2n2n2/3p4/2PP1Bb1/5N2/PP3PPP/RN1QKB1R w KQkq -,b1c3
r4rk1/1b1n2pp/p1qp1p2/5Rb1/1P1BP3/2N3Q1/1PP1B1PP/3R2K1 b - -,d7e5
r1b1qrk1/ppp2pbp/n2p1np1/3Pp1B1/2P1P1P1/2N2N1P/PP3P2/R2QKB1R b KQ g3,g8h8:f6d7:a6c5
r1br2k1/p4pp1/5P2/2P3Qp/8/qp5P/P5P1/1R3RK1 b - -,g7g6
8/p3k3/1p5R/2p1P1p1/8/4P1K1/r4P2/8 w - -,f2f4
r4r1k/pppq1nbp/4b1p1/1P1npp2/8/Q1NP1NP1/P2BPPBP/1RR3K1 w - -,c3a4
6k1/5ppp/2p1p3/8/3PPB2/1p3P1P/b4KP1/4rB2 b - -,e1f1
6Q1/8/8/1p5P/3q4/k7/5K2/8 w - -,f2e2
5r1k/p1r3p1/1p1R1p1p/2n1p3/q5PP/5PN1/PPPQ4/1K1R4 b - -,f8c8
6k1/5bbp/3p2p1/3Ppp2/4P3/3P1BP1/5P1P/1rBR2K1 b - -,f7e8
2krrb2/p7/b1p2p2/2ppp2p/2P4P/1PNP1NP1/PK3P2/3RR3 b - -,c8c7
r1bqk2r/p4ppp/2p2n2/n1b1p1N1/8/8/PPPPBPPP/RNBQK2R w KQkq -,c2c3:e1g1
3r1q2/p5bk/1npp2pP/8/2b5/4QN2/P4P1P/1R2R1K1 b - -,g7h6
4r1k1/pp1q1bb1/2np3p/8/3p1B1Q/3N2P1/PP3P1P/R3N1K1 b - -,e8e4
8/8/6B1/p7/P6P/1kp3K1/8/8 b - h3,b3a4
r1b2bk1/p6p/1pRp2n1/1N1Pp3/1B2n3/1Q1N1rp1/PP2K1P1/2R2B1q b - -,c8g4
5Q2/pp5p/4p1k1/1b2P1p1/6N1/P2q2KP/1P4P1/8 w - -,g3h2
1r3rk1/1p1n1pbp/p2p2p1/2pPp3/PqPnP3/1PN1B1PP/3Q1PB1/1R3RK1 b - -,b4c3
r2qkb1r/1b3ppp/p3pn2/2pp4/1p2PP2/1P1P4/1PP1N1PP/RNBQ1RK1 w kq d6,e4e5
4r1k1/pb1n1p1p/2q3p1/2p1p1B1/2P5/5N2/Pb2QPPP/3R1BK1 b - -,b2c3
1rb1r1k1/7p/p2p1q2/PppPbpp1/8/4P1NP/1PQ1N1B1/R1B3K1 b - -,b8b7
r1b1qrk1/pp2bppp/2n2n2/2p1p3/2P5/2NBPN2/PP2QPPP/R1BR2K1 w - -,f3g5
rnbqk2r/4bppp/p2ppn2/6B1/1p1NP3/1B6/PPP1NPPP/R2QK2R w KQkq -,b3a4
1q1r2k1/3rbppp/2bppn2/1p6/1P1RP3/2N3PP/PB2QPB1/3R2K1 b - -,f6e8
rn1qk1nr/pp3ppp/2p1p3/2bp4/4P3/1PN2Q1P/PBPP1PP1/R3KB1R b KQkq -,c5d4
2r5/1p6/2rk1pp1/3p3p/P2Pp2P/2R1P3/1P1K1PP1/2R5 b - a3,b7b6
r4rk1/4npb1/p1p3pp/q2nN3/1p1PQ2P/6N1/PPP2B2/2KR3R w - -,h4h5
r1b1kb1r/ppp1pppp/2nq3n/8/3P4/2N2N1P/PPP2PP1/R1BQKB1R b KQkq -,a7a6
2r5/4p3/R4bp1/p1P2p1p/2K4P/k3B1P1/5P2/8 b - -,a3b2
rnb1r1k1/ppp2pbp/5Bp1/4p3/2P1P3/2N2N2/PP2BPPP/R3K2R b KQ -,g7f6
k1r4r/pp6/2bbpq1p/6pP/P1BPp3/2P1B1P1/4QP2/R4RK1 b - -,c6d5
bk1r2qr/p2p2p1/1p1Np3/2pnP2p/3n4/3B4/PPPB1PPP/R2Q1RK1 b - -,g7g5
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq -,c8d7:a7a6:b8d7:g7g6:e7e6:e7e5:b8c6
r4rk1/ppp3pp/5q2/3bN3/3p4/3P1P2/P1PQR1PP/R5K1 b - -,a8d8
r2q1rk1/pb1n1ppp/1p1p1n2/2pPp3/P1P1P3/2PB4/3N1PPP/R1BQ1RK1 b - -,a7a5
1rr5/4k1pp/p3pp2/P2bP3/2pNpP2/2P1K3/RP1R2PP/8 b - -,c8c5
1rb4k/6rp/3p2p1/2p5/1p2P3/1pqPQ1P1/P1P3BR/2K2R2 w - -,a2b3
1r4k1/2N1P1p1/2b1P2p/p7/6P1/1P6/P1P5/2KR4 b - -,b8b7
3r1k2/5p2/3q2pp/8/4RP2/1R1p3P/2r3PK/Q7 b - -,f8g8
1r2r1k1/1bpq2pp/p2p1b2/1p6/3NPB2/5P2/PP4PP/R2QR1K1 b - -,d7f7
8/7p/3k1p2/p1R2Pp1/P5P1/6P1/2p3K1/2r5 w - -,c5c8
5rk1/1b4pp/p1qb4/Npp2p1Q/n1P3N1/3P1P2/PP1B2PP/R3r1K1 w - -,a1e1
8/5p1k/5n1p/p2pQ3/2pP1NPq/1P6/P5P1/6K1 w - -,f4d5
r1r5/pp2k1pp/4bn2/n2p1p2/1N1Pp3/1P2P1PP/P2N1P2/R1R2BK1 w - -,f1e2
r6r/pk4p1/2p1NqP1/3n3P/PpB2P2/1Pb5/2P1R3/1K1R2Q1 w - -,e6c5
