4rbk1/R2Rr1pp/8/8/8/3pB1PP/5PK1/8 w - -,d7d3
8/3k3p/4ppp1/2Pp4/bp6/4PN1P/1n1K1PP1/1B6 b - -,b2d1
r2q1rk1/pp1b1p1p/3p1pn1/2pP4/8/2PBQN2/P4PPP/R3R1K1 w - -,e3h6
r3rnk1/1pb2qp1/p1p1pp1p/P7/1PPP4/2B1RN2/4QPPP/4R1K1 w - -,g2g3
8/3r2k1/2q2pp1/4p1Qp/P7/B2nP2P/2p3PK/5R2 w - -,a3f8
r3kb1r/pp1qn1p1/2p1pp2/3nP1Bp/3PN2P/P2Q2N1/1P3PP1/R4RK1 b kq -,e7g8
2n4r/1p2kppp/p3p3/N4b2/P2P4/2P5/4BPPP/5RK1 b - -,c8d6
rn2kb1r/1p3pp1/p2Nb2p/4p3/7q/1N6/PPPQ1PPP/R3KB1R b KQkq -,f8d6
2q3k1/pp1n1p1p/2p2np1/N7/1PP5/6PP/P3QPB1/6K1 w - -,e2e7
2r5/4k2p/4p3/4P3/1R3P2/2p3KP/P7/8 w - -,b4b1
r2qk1r1/pb1nnpbp/1p2p3/3p1pB1/8/PBNP1NQ1/1PP3PP/R4RK1 w q -,g3h3
r7/pbr3pp/6k1/1p1p1R2/1P1PnP2/2P1N1P1/P6P/2R1B1K1 w - -,h2h4
5rk1/2q4p/3p4/4bp1Q/4p3/6P1/3R1P1P/5BK1 b - -,c7c1
8/p1p1rpk1/1p1r2p1/3p3p/3Pn2P/4P1P1/PP2NPK1/2RR4 w - h6,e2c3
6k1/4pq1p/p2p1B1Q/nr1P4/2p1B3/6P1/PP3P2/R4bK1 b - -,f1d3
5rk1/5p1p/2B3p1/1p6/2b5/2q1P3/p4PPP/2QR2K1 b - -,c3c1
8/4rk1p/2n3p1/pp1R2P1/2p2P1P/1P6/P4K2/5B2 w - -,d5b5
r1bq1rk1/pp1nbppp/1np1p3/8/2NPP3/2N3P1/PP3PBP/R1BQ1RK1 w - -,c4e3
1r1q1r2/p3n1kp/3p2p1/1npPpp2/5P2/2PP2P1/P2QN1BP/R4RK1 b - -,c5c4
r3k1r1/5p2/bn2p1p1/p2pP3/1p3PP1/P6R/1PP1N3/1K1R1B2 b q -,b4a3
6rk/5p1p/3p3b/3P1P1p/4P1b1/P2p1N2/5RPK/5N2 b - -,h6f4
1k2r3/1p1q3p/p1n1p1p1/3pPrB1/P1pP3P/2P2B2/2Q3PK/1R6 w - -,g5f6
r1b1kb1r/ppq2ppp/3pp3/3nn3/2P1Q3/5NP1/PP3P1P/RNB1KB1R w KQkq -,c1f4
8/2B5/p1p5/3p1kbp/P2P4/2P2K1P/8/8 w - -,c7a5
r2q1rk1/1p1b2bp/pn1p2p1/2p5/2Pp1P2/1B1P1NNP/PP4P1/R2Q1RK1 w - -,f3g5
2r1r3/5kpp/2n2p2/p2p4/1ppPnP2/P1P1PR2/3B1NPP/2R3K1 w - -,a3b4
4Q3/5pk1/p6p/1pq2pp1/2p1b3/6P1/Pr3R1P/5RK1 b - -,b2a2
8/8/8/2n1Nn2/pR6/P3b3/K1k3PP/8 w - -,b4c4
6k1/5p2/1pB1pp1p/1P6/8/1r1b2P1/5PKP/3R4 b - -,d3b5
2b5/4k1pp/1p2pn2/p2pNp2/3N1P2/P2PP3/1P3KPP/8 w - -,h2h3
6k1/2bn1p1p/4rnp1/qp1p4/1N1B4/PPQ2P2/6PP/3R1BK1 w - -,f1b5
8/4r2p/2pp1p1k/5P2/2P2KR1/1n1B3P/8/8 w - -,f4f3
R7/5bpk/4p2p/3pB2P/3P1PP1/6K1/8/7r w - -,a8f8
5k2/5p2/4pB1p/4P1p1/1p1b2P1/1P3P1P/4K3/1b1B4 w - -,e2d2
3K4/r3R3/8/1k6/1P6/2P5/8/8 b - -,a7a3
r1b2rk1/pp3ppp/3q1n2/3pn3/8/3BPN2/PPQ2PPP/R1B2RK1 w - -,f3e5
8/8/1k2B3/1p1PK3/4N3/8/8/3r4 b - -,b5b4
r4rk1/pb1n1pp1/1pp1pn1p/q3P3/P2P3B/5N2/B1Q2PPP/2R2RK1 b - -,f6d5
rn2k2r/pppbbppp/4pn2/2q5/Q1p4N/N5P1/PP1PPPBP/R1B2RK1 w kq -,a4c4
r5k1/ppq3p1/2n1prbp/3p4/2pP4/P1P5/2P1QPPP/R1B1RBK1 b - -,a8e8
5r1r/3qb1kp/1pp2pp1/p1p1pP2/P1P1P1P1/1P1PQR1P/4N3/5RK1 b - a3,d7e8
r1bq3r/4bpk1/1n1p2pp/p1pPp1n1/1pP1P1P1/3BB1NP/PP1NQP1K/R5R1 w - -,a1f1
r2q1rk1/1p1b2bp/n1pp2p1/p2Pp1P1/2P1Q2P/PN2B3/1P2BP2/R3K2R b KQ -,d7f5
1r1q1r2/p5k1/3p2p1/2pPp2p/1nNnN3/5P2/PP1Q2PP/1K1R3R w - -,e4d6
r2qkbnr/ppp1pppp/6n1/3P4/2pQ4/2N2P2/PP2PP1P/R1B1KB1R w KQkq -,d4c4
1r6/3r1kp1/1pR4p/1P1P4/8/p2R2P1/P4PK1/8 b - -,f7e7
4bk2/1p4p1/p7/3r1pN1/P7/1P6/2P1R1PP/6K1 b - -,e8c6
8/7k/p5p1/5p2/PPQ5/4PK1P/1q6/8 b - -,b2h2
rnb1qrk1/ppp1p1bp/3p1np1/3P1p2/2P5/2N3PN/PP2PPBP/R1BQ1RK1 b - -,b8a6
3rr1k1/2pnqpb1/1p1p2pp/pP2p3/P1PPb3/1Q2P2P/5PPB/2RRNBK1 b - -,g8h7
1n1r2k1/1b3ppp/pp5r/3P1B2/P1pP3q/1PN5/3Q1PPP/2R1R1K1 w - -,h2h3
r1b2rk1/ppp1b1pp/2p2q2/4N3/3Pp3/5P2/PPP3PP/R1BQ1RK1 b - -,c6c5
8/1R6/8/8/8/2k1b3/r7/3K4 w - -,d1e1
8/R1bk4/1pr3p1/7p/2PBKP2/1P5P/8/8 w - -,d4e5
1r6/8/4pk2/RP1n2pp/8/6PP/1P1R1PK1/8 b - -,h5h4
r2q1rk1/pp2bppp/2p1p3/2np4/Q1P2P2/3PB1P1/PP3PBP/R4RK1 w - -,e3c5
rnb1qrk1/ppp1p1bp/3p2p1/7P/3PN3/5N2/PPP2PP1/R1BQK2R w KQ -,e4g3
r2q1rk1/pp3bnp/3p4/4PpP1/2PQ4/2N5/PP2B2P/4RRK1 b - -,d8g5
r4rk1/ppq2ppp/2p1pnb1/8/3P1b2/1BP3N1/PP2QPPP/R1B2RK1 b - -,a8d8
rn1q1rk1/pp3ppb/2p1p2p/8/2BP1Q1P/2P3N1/PP3PP1/R3R1K1 b - -,b8d7
8/p6p/8/2k5/4p3/7P/P3K1P1/8 b - -,c5d4
8/1p3pkp/4qnp1/p7/2PQ4/6PP/b2N1PB1/6K1 w - a6,g2b7
rn1q1rk1/ppp1ppbp/4b1p1/4P3/2BP4/2n2N2/PPP1Q1PP/R1B1K2R w KQ -,b2c3
3r1r1k/p5bp/1p2b3/4np1q/1N6/4B1P1/P1Q2PBP/2RR2K1 b - -,e5g4
r3nr2/1ppPq1bk/p6p/2P1pb2/5p2/2N5/PPB3PP/R1BQ1RK1 w - -,d7e8q
3q2k1/5p1p/3r2p1/R7/1p2p3/1P2P1P1/PQ3P1P/6K1 w - -,a5a7
5rk1/p6p/6p1/1rp5/2RpP3/1P1Pb1PB/P3R2P/6K1 w - -,g1g2
3r1k2/6p1/3q1p2/2p5/1pQ1P1P1/1P3P1K/PB6/8 w - -,b2c1
2k5/1p2q2p/3b2p1/p1pP1p2/P7/2PQ1BP1/1P5P/1K6 b - -,e7e1
r1bq1rk1/4ppBp/1pp2np1/p1p5/4P3/2NP1N1P/PPPQ1PP1/R3K2R b KQ -,g8g7
r1bq1rk1/3nbppp/pp2pn2/2p3B1/3P4/2NBPN2/PP3PPP/2RQ1RK1 w - -,f1e1
6k1/5p2/4PQ1p/2b2p2/5q2/p1B4P/6P1/7K b - -,f4f1
r2r2k1/1p3pp1/2p1pn1p/p7/PbnPP1P1/3N1P2/NP2K2P/R1BR4 b - -,b4e7
r2qk2r/ppp2ppp/2n2N2/8/QbpP4/4P1P1/PP2bPBP/RNB2RK1 b kq -,d8f6
rn1q1rk1/1bp1bppp/p7/1p1P4/P1p5/2P2NP1/2Q2PBP/R1BR2K1 w - -,c1f4
r5rk/1b3pR1/p2pp3/1p2n2N/4n2q/2P3PP/PPB1QP2/R5K1 b - -,g8g7
r4rk1/2q1bppp/p3p3/1bp5/NpP1P1P1/1B3P2/PP3Q1P/1KR4R b - c3,b4c3
r2qr1k1/p1n2ppp/1p1b1n2/2pp4/3P4/P1N1PP2/1P1BNQPP/3R1RK1 w - -,f2h4
3r2k1/pb3p1p/1pnQr1p1/6b1/6nP/P1N2N2/BP3PP1/3RR1K1 b - -,e6d6
6k1/5pp1/p2r3p/1p6/1N5b/P1P2P2/1R3P1P/6K1 b - -,h4f6
5k2/6R1/2n3p1/4Bp1p/7P/r5P1/5PK1/8 w - -,e5f6
4r1k1/1bp2ppp/pnq2b2/1p6/3P2Q1/NBP4P/PP1B1PP1/R5K1 w - -,a1e1
8/6R1/1P5n/5k2/7K/3r4/6P1/8 w - -,h4h5
r4rk1/1pBbb1pp/p2ppn2/5p2/2P5/2N3P1/PP2PPBP/R2R2K1 b - -,f6e8
r7/4ppkp/5bp1/3p4/1R3P2/4B2P/4b1P1/2R3K1 b - -,e2c4
8/p3k1p1/4P2p/1pb5/2B2P1P/6P1/P5K1/8 w - -,c4b3
8/8/8/3k1p2/4pPp1/3rP1K1/4R1P1/8 w - -,g3h4
r2q1rk1/pb1nbpp1/1p1ppn1p/2p5/3P3B/2P1PN1P/PPQNBPP1/R4RK1 b - -,f6h5
2r1r1k1/4q2p/2pb1pp1/1pNp4/1PnP1PP1/1R2PN1P/2R2K2/2Q5 b - -,c8a8
8/8/4p1k1/1p1pPp2/2pP1P1B/1nP1K3/1n2B3/8 b - -,b2a4
rn3rk1/pb1p1pp1/1Q3P2/1p1P3p/2p4P/2N5/PP2PP2/R3KB1R b KQ -,a7b6
2r5/5pkp/4p1p1/3q4/1PpP4/2Q3PP/5P2/4R1K1 b - -,c8d8:f7f6
8/3N3k/2r5/p4N2/1pPB1n2/3K4/P7/8 w - -,d3e4
r3kb1r/5ppp/p3p3/1pq5/4n3/P4N1P/1PP1QPP1/R3K2R w KQkq -,e2e4
1k1r3r/1pp3pp/1pn2q2/3pN3/3Pn1b1/4B3/PP2BPPP/R2Q1RK1 b - -,g4e2
3k4/p7/1q5p/3p1pp1/8/3P1N2/PPKB1PPP/4R3 w - -,e1e2
3q4/p1p3kp/1rnp1rp1/3N1b2/2Q2N2/6P1/PP3P1P/R3R1K1 b - -,c6e5
3r4/pp3pk1/4p2p/3nP1p1/3P4/bP3N1P/P1RB2P1/5K2 w - -,f1e2
R6k/2qn2r1/3p4/2pP2p1/4PpPp/1P1B3P/1PKQ4/8 b - -,g7g8
1r2r3/pp3B2/2p2k2/6q1/8/2p3Q1/1PP2PP1/5RK1 w - -,g3g5
8/1p4p1/3kpp1p/1r5P/p2P1PP1/2PK4/1P2R3/8 b - -,b5b3
r1b1r1k1/pppnqppp/2p5/2b1p3/4P3/1PNP1N2/PBP2PPP/R2Q1RK1 w - -,c3e2
r3kbnr/1pp2ppp/p1np1q2/4p3/B3P1b1/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,d2d3
rnbqk2r/ppppp1bp/5np1/5p2/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq -,d2d4:d2d3:c2c4
r2qk2r/1p1bbpp1/p1nppn1p/8/3NP3/2N1B3/PPP2PPP/R2QRBK1 w kq -,d1f3
1r5k/pp6/6q1/4bQ1p/3Np1nP/1BP3P1/PP6/1K2R3 b - -,g6f5
1k1r3r/1pp1n1p1/1b6/pP2ppPp/P3N2q/2P2Q1P/3P1PK1/R1B2R2 w - f6,g5f6
rr6/2pk4/R4bp1/5p1p/2PN4/4PPP1/5KP1/R7 b - -,b8b2
6k1/p4p2/2K3p1/4p2p/2P1r3/PP4P1/7P/5R2 b - -,e4e3
1rb2rk1/1p1nqpbp/p2p1np1/2pPp3/P1P1P1P1/2N1B2P/1P1NBP2/R2QK2R b KQ -,f6e8
r1b1kb1r/1p1p1ppp/pqn1pn2/2p5/2P1P3/2NP1N2/PP2BPPP/R1BQ1RK1 b kq -,f8e7
8/p3rr1k/3R3R/6PK/8/8/8/8 b - -,h7g8
2r1r1k1/pbq2pbp/1pn3p1/1B1p4/3Pp2Q/BPP2N1P/P4PP1/R3R1K1 w - -,f3h2
3r2k1/1p3ppp/5b2/p2P1R2/8/BP1N4/P2r2PP/6K1 w - -,d3c5
r2qkb1r/pp1b1ppp/1nn1p3/1B1pP3/3N1P2/2N1B3/PPP3PP/R2Q1RK1 b kq -,f8c5
5rk1/1p3p2/p1b1pnp1/4R3/2P5/1P3P2/R5K1/8 w - -,a2d2
r2qk2r/pb1nbpp1/1p1ppn1p/8/3PPP1B/3B1N2/PP1NQ1PP/R3K2R b KQkq -,f6d5
r3k2r/3b1p2/3ppp2/5P1p/1p2P3/pPbB1NP1/P1P2K1P/3R3R b kq -,d7c6
1rbq2k1/p4p2/2p2Pp1/3p3r/3b4/1PNB2P1/P2B2K1/3Q3R b - -,h5h1
4rrk1/pp5p/3p1b2/2pP4/2P1pp2/3B3P/PP1K1PP1/1R5R w - -,d3c2
rnb2rk1/ppqpppbp/5np1/2p5/P2P4/2P2NP1/1P2PPBP/RNBQ1RK1 b - a3,d7d6
r1br2k1/ppq1ppb1/6p1/2p1n2p/2BPPB1P/2P2P2/P2QN1P1/2R1K2R b K -,c7b6
4nr1k/p3q2p/1p1pPp2/2pPn3/P3P3/2B3Q1/1P4P1/3B1R1K b - -,f8g8
1q2r1k1/3b1ppp/1b1n1n2/1p1Pp3/pP2P3/N2B2N1/2QB1PPP/5RK1 w - -,d2c3
rn1qk2r/pp2bppp/2p2n2/3p2B1/3P4/2NB1b1P/PPP2PP1/R2QK2R w KQkq -,d1f3
8/7R/6p1/6k1/5p2/5K1P/7r/8 b - -,g5f5
8/5k2/8/1r3ppp/1PR5/4K1P1/5P2/8 b - -,f7e6
8/6B1/2p4P/2b2R2/2k2P2/7r/1P2K3/8 b - -,c5d4
rn1qkb1r/ppp2ppp/2b5/4P3/6Q1/2P5/PP3PPP/RNB1K1NR b KQkq -,h7h5
r3kb1r/ppnn1ppp/2p3Q1/4p3/2P5/1PN1B3/P1P1NPPP/R3K2R b KQkq -,h7g6
8/6p1/5p2/5k1p/7P/3b1PK1/r5P1/2R5 w - -,c1d1
8/1p3k1p/3p2p1/1P2p3/2p1pn2/2N5/5P1P/3B1K2 b - -,d6d5
r1b1k2r/1pq2ppp/p1pb1n2/4pP2/4P3/3B4/PPP1Q1PP/RNB2R1K b kq -,b7b5
r1bqk1nr/pp1nppbp/2p3p1/8/3Pp3/2PB1N2/PP1N1PPP/R1BQK2R w KQkq -,d2e4
5rnk/Q4p2/4p1pp/4P2q/3P4/P1PB2R1/r5PP/5RK1 w - -,a3a4
1r6/1q3pk1/3p1np1/pNpP3p/p1P1P1nP/2P2RN1/4Q1K1/8 w - -,e4e5
8/1q3Q1R/1p1k1P2/p1b5/3pp3/1P3R2/PP4KP/8 b - -,e4f3
rnbq1rk1/pppp1ppp/4p3/8/2PPn3/P4N2/1P1BPPPP/R2QKB1R w KQ -,d2b4:d2f4
8/5p2/5Pk1/5Qp1/P3P3/4qPK1/8/8 b - -,g6h6
8/2p2k2/3p4/2bP1p1p/2P3p1/p1B2P1P/P3K1P1/8 b - -,f7g6
2B5/2R3pp/1pp2kn1/8/b4P2/4P1BP/1r4P1/6K1 b - f3,b2b3
5r2/1p6/2p2nk1/4R3/5B2/P2r2P1/1P2K3/4R3 b - -,d3b3
8/5k1p/3Qb2B/4n3/2p1P3/7P/1P4BK/4q3 b - -,e5g4
r4rk1/7p/1qpQn1p1/8/p7/P1N2N1P/1PP2bP1/1R5K b - -,a8e8
r2qkb1r/5ppp/p1np1n2/1pp1p3/4PP2/2NP1BPP/PPP5/R1BQ1RK1 b kq -,f8e7
1q6/4nkp1/3bp1p1/1p1p1nP1/1PpP1P1P/2P2N2/2NB1K2/2Q5 b - -,d6c7
r1bq1rk1/pp1n1ppp/4pn2/3p4/1PP5/2PBPN2/2Q2PPP/R1B2RK1 b - -,d5c4
3R4/8/7P/1p2Kp2/5Pk1/p3r3/8/8 w - -,e5f6
2r3k1/1b2bpp1/p1q4p/1p6/3p1P2/P1N1pQP1/1PP1R2P/R5K1 w - -,f3c6
7r/pp1k1p2/4p1p1/3pP3/2nP1P1P/P5R1/1P3B1P/2Q2K1q w - -,f2g1
8/1pk2pp1/2p3p1/6P1/2P2nBr/7P/PPK2P2/7R w - -,c2d2
6k1/r5pp/1q1p4/4pp1b/p1P2n2/P2P3P/2QN2P1/2B1R2K w - -,c4c5
8/8/1P1K1k2/8/2B1b2P/8/8/8 b - -,e4b7
rn3k1r/2q1b1p1/p3ppb1/2P1Pn1p/Q1Pp1P2/NN3B2/P4BPP/R4RK1 b - -,a8a7
8/1ppbqpk1/3p1n2/3Pr1p1/1PP1P1P1/2NB2RQ/8/6K1 b - -,e7e8
8/pp1Rk1p1/1bp1P2p/1P4r1/P3R3/8/7P/3K4 b - -,e7e8
1r1r2k1/1p2bpp1/p1p1p2p/3q4/2QP4/P3PNP1/1P2KPP1/2R4R b - -,d5a5
r1nq1rk1/1pp2pbp/p1n3p1/4p3/PPB1P1b1/2P2N2/2QN1PPP/R1B2RK1 w - -,h2h3
2r1r1k1/ppqn1ppp/2pb1nb1/4p3/P2PP3/3BBN1P/NPQ2PP1/3RR1K1 w - -,a2c3
r7/5ppk/4b2p/1p1pPp1P/2pP1B2/2P2BP1/2PK1P2/8 b - -,a8a1
8/PR3r2/N6p/2p5/2k1KP2/r5P1/8/8 b - -,f7f8
r1bq1rk1/5ppp/1p4n1/2pp4/8/N1PB4/PP3PPP/R2QR1K1 w - -,d1f3
8/8/8/1b1kBp1p/3P1K2/7P/8/4b3 b - -,b5d3
2rq1rk1/p2b2p1/1p3p2/3pp3/3N4/2P1Q3/PP3PPP/R2R2K1 w - -,d4c2
r3k1nr/p4p2/4p1p1/q1bpP2p/2p2R1P/P1N1B1P1/1PP1QP2/1K5R w kq -,e3d2
4q1k1/1b3pbp/2N3p1/2Qn2Pn/1PB3N1/2P4P/5P2/4B1K1 w - -,c4d5
r4rk1/1bq2p1p/p3p1p1/1p2b3/3NpB2/2P5/PP1Q1PPP/2R1R1K1 w - -,f4e5
1r1r2k1/1p1nqp2/pN1pb1p1/PPp4p/2P1P3/2Q3PP/3R1PB1/3R2K1 w - -,b6d7
8/r7/1kp5/4K3/1n2P2P/4N3/p7/R7 b - -,b6c5
r1bqrbk1/1p3ppp/1np2n2/p2p4/3P4/PPN1P1N1/2QBBPPP/R4RK1 b - -,g7g6
4r3/pb3pk1/1q4p1/1p3nB1/8/P5p1/BP1r2PP/R4Q1K w - -,g5d2
rn1qk2r/p1pp1ppp/bp2p3/8/1bPP4/2N1P3/PP1QNPPP/R3KB1R w KQkq -,a2a3
5b2/1p3k2/6pp/1NpR1p2/r4P2/2P4P/1P3P2/5K2 w - -,d5d7
6k1/5p1p/6p1/2p5/1p2R3/2P5/1P3PPP/3r1K2 w - -,e4e1
6k1/pN6/2p5/P2p1p1b/3P1P1q/1P2P1rp/1KPQ4/7R b - -,h5f3
1r2k1nr/pp2ppb1/2np2p1/7p/4PN2/1NP3Pq/PP3P1P/R1BQ1RK1 b k -,h3c8
r1b1r1k1/pp3pp1/2pb1q1p/1P1p4/3P3n/2NBP1N1/P1Q2PPP/1R3RK1 w - -,f1e1
8/6bk/2b5/8/p5P1/1r2B1P1/R4K1P/8 w - -,e3c1
r3n3/3bkp2/2p1p3/BpPp4/3P4/1P2PP2/2BK1P1P/R7 w - -,b3b4
8/8/8/6p1/5bP1/R2K1k1b/8/8 w - -,d3d4
2kq3r/3n1pb1/8/1pPP2p1/p2p1Bb1/3N4/PP3QB1/R4K2 w - -,f4d6
8/b4p2/2p1knp1/pp2p2p/4PP1P/1PP2KP1/P3N3/3N4 b - -,f6g4
6k1/p2N1r2/bp2pP2/2pp2PR/3P4/8/PPP2P2/2K5 w - -,d7e5
r1b1k2r/1p1n1pb1/1qn1p1pp/p1ppP3/Q2P3P/P1PB1N2/1P1N1PP1/R1B1K2R w KQkq -,e1g1
8/5p2/4p3/6k1/6pR/r5P1/1r5P/2R2K2 w - -,c1c5
r2qkb1r/pp3pp1/2npbn1p/4p3/4P3/2N1BN2/PPPQ1PPP/R3KB1R w KQkq -,a1d1
5r1Q/ppq1pkr1/3p4/8/4P3/2N5/PPP1B3/2K2R2 b - -,f7e6
2rr2k1/1p1bbppp/pn2p3/8/P7/1NPB2B1/1P3PPP/R2R2K1 w - -,d3e4
6rr/3qbk2/p3n3/3pPp2/1p1P1P2/1B1bBR1P/PP2N1QK/6R1 w - -,f3g3
1r1n4/4kp2/3pp1p1/1P6/1RBKP3/5P2/7P/8 w - -,b4a4
7k/p4pp1/4p3/1B6/5P2/b3P3/5P1P/2rR2K1 w - -,d1c1
r1bq1rk1/1pp2pbp/3p1np1/p1nPp3/2P1P3/2N1B1PP/PP1NBP2/R2QK2R w KQ -,a2a3
r2qkb1r/pp3ppp/2npbn2/2p5/2B1Pp2/1PN2N2/PBPP2PP/R2QK2R w KQkq -,e1g1
8/6B1/p2nk3/P6P/5K2/8/8/8 b - -,e6f7
r1bqk2r/p4ppp/2pp1n2/2b1p3/2P1P3/2NB3P/PP3PP1/R1BQ1RK1 b kq -,c8e6:g7g5
rn1R4/1p2kppp/p3b3/8/P7/8/1PP2PPP/4R1K1 w - -,e1d1
3r3k/5pp1/R3p2p/2B2n2/8/2Q2P1P/4q1PK/8 w - -,a6a4
r2q1rk1/p2p2pp/4p3/n1p2P2/2Pb1P2/2N1Q3/PP2BP1P/2KR3R w - -,e3f3
8/6pk/7p/2B5/p3p3/6RP/1q3PPK/8 b - -,b2e5
r5k1/1q3pp1/p4n1p/1p6/3p4/6bP/PP2RPP1/2RQ2K1 w - -,f2g3
rnbqk2r/pppn2pp/4pb2/3p2N1/3P4/6N1/PPP2PPP/R1BQKB1R b KQkq -,f6g5
r3k2r/1pq1bp2/p2p1np1/4p1Bp/3NPPbP/2N3P1/PPPQ4/1K1R3R w kq -,g5f6
6k1/5p1p/4p1p1/4b3/8/3B2P1/2P3KP/8 b - -,f7f5
3rR3/1pb2ppk/5q1p/p2b4/2pN4/2P3PP/PP3P2/4QNK1 b - -,d8e8
2kr1b1r/1ppq4/p1n1p3/5pp1/2PP3p/PQ3N1P/1P3PPB/2KR3R b - -,g5g4
r2r4/1p3pkp/2p1p1p1/p1np4/6b1/PP1P2P1/3NPPBP/R3R1K1 w - -,d3d4
k3r3/1pqbn2p/p3p1p1/3pPp2/1Q1N1P1P/1R6/PPP1N1P1/1K6 b - -,e7c8
1R2r1k1/3qrn1p/3pN1pb/3P4/2pB4/Q1Pn2PP/6BK/1R6 b - -,f7e5
1rbq1rk1/2p2pb1/p1n3pp/1p1np3/P3N3/2PP1N2/1PB2PPP/R1BQR1K1 w - -,c2b3
8/R7/1Pk5/P3p1p1/3p3p/3P1P2/8/4K2r w - -,e1f2
1r2r1k1/5P1p/3p1P2/p2P2P1/2b1P3/2N2q2/1P4B1/R1B3bK b - -,g8f7
r1bqr1k1/5pbp/p1p3p1/3p4/8/1NP1B3/PP1Q1PPP/R4RK1 b - -,c8f5
