8/8/5k1p/3bN1P1/1r2PK1P/5B2/8/8 b - -,h6g5
8/6p1/p2r1p1k/2R4p/4K2P/n1B3P1/8/8 b - -,a3b5
1r4k1/5p2/1p3Pp1/p1p5/P1Pp3R/3P4/6R1/4r1K1 w - -,g1f2
8/8/8/8/3b2p1/4k1P1/4b2K/4R3 w - -,e1b1
6k1/5p2/6pp/7q/8/4QPP1/4BK1P/8 w - -,f2g2
r2q1rk1/pppnnpbp/3p2p1/3Pp3/2P5/2N1PBPP/PP3P2/R1BQ1RK1 w - -,e3e4
R7/3r1pk1/6pp/P7/8/8/r7/1R4K1 b - -,h6h5
r5k1/7p/4R3/2p2P2/3p2PP/1P3N2/2P2b2/1K6 b - h3,f2g3
5rk1/p2q3p/bpR3p1/3PpnQ1/7B/5P2/P5PP/2N3K1 w - -,c1b3
8/pr5p/4k1p1/1P6/P3K3/1R6/7P/8 w - -,e4d4
1r1q1rk1/3nbppp/8/4p3/p7/P2P2PP/1B2QPB1/R4RK1 b - -,d8b6
rn1qk1r1/pp3pQp/2pbpn2/8/1PBP1P2/P1N5/2b1N1PP/R1B2RK1 w q -,g7h6
rn2k2r/pp2ppbp/1qp2np1/8/2PP2b1/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,e8g8
R4bk1/5r1p/3pR1p1/8/5PK1/2r3PP/8/8 w - -,e6d6
r3k3/1R2b1p1/4pp1p/7P/p5P1/4B3/1P2PPK1/8 w - -,e3d2
r4rk1/p1Q3p1/4b2p/4P1b1/3P4/2Pq2B1/PP4PP/R4RK1 w - -,g3f2
2rq1rk1/p2nbppp/bpp1pn2/3p4/2PP4/1PN2NP1/P1Q1PPBP/R1BR2K1 w - -,c1f4:e2e4
r3k2r/1p2ppbp/2p2np1/1p3b2/1n1P1B2/1BN1PN2/PP3PPP/R4RK1 w kq -,f3g5
8/Q7/3p1k2/5p2/1Pr2b2/8/P5K1/8 w - -,b4b5
3R2R1/1k6/p3p3/5p2/2pP1p2/2P5/PP3r1K/8 w - -,g8g2
r1br2k1/1p2bppp/3ppn2/qN2P3/P3P3/4BB2/1PP3PP/R2Q1R1K b - -,d6e5
2r3k1/6p1/1R4K1/5P2/8/8/8/8 w - -,b6e6
2r5/pp2kp2/2npbnp1/5p2/3P4/P2BPPP1/1P1NNK2/7R b - -,c6a5
r1b1r1k1/1pq1bppp/p2p1n2/8/4PBP1/2N2B2/PPP4P/R2Q1R1K b - -,c8e6
8/8/5N2/8/r7/5k1K/8/8 b - -,a4a1
7k/pR3B1p/2p3p1/8/1b1rr3/4n3/PP3KPP/R7 w - -,a1c1
3rr1k1/pp3pp1/2p2bp1/3n4/q2P4/P2RB1P1/QP3PBP/2R3K1 b - -,a4a5
r4rk1/2pn1ppp/p1n1bq2/P3pN2/1p1pP3/1B1P4/1PPN1PPP/R2QR1K1 w - -,d1g4
1k5R/2p1q3/1n6/6p1/8/p5P1/6BP/5R1K b - -,b8a7
1r4k1/p4pp1/4p2p/1B1n4/PqQ5/1p2P2P/1P3PP1/3R2K1 w - -,c4b4
r1bqnrk1/pp2n1b1/3p1p1p/2pP2p1/2P1P3/2N2NB1/PP1QB1PP/3R1RK1 w - -,h2h3
r1bq1r1k/p2n2bp/Ppp5/3p1pp1/3Pn3/1Q2PNP1/1P1N1PBP/R1B1R1K1 w - -,e1d1
r1b2rk1/1p3pp1/1npq1p1p/p7/P2P4/1B2PN2/1PQ2PPP/R4RK1 b - -,c8e6
rn2kb1r/1bp2ppp/pq2pn2/1p6/P2P1B2/2N2NP1/1PP2PBP/R2Q1RK1 b kq a3,b5b4:f8d6
2K3k1/6p1/2P4p/q6P/5p2/3Q4/6P1/8 w - -,d3c4
1rb1rbk1/1pq2ppp/p2p1n2/4p3/Pn2PP2/1PN2BN1/1BP2QPP/R4R1K w - -,f2d2
r1bq1rk1/1p2bppp/p1n1pn2/3p4/P2NP3/2N1B3/1PPQBPPP/R4RK1 w - -,e4d5
r1bq1rk1/4bppp/B3pn2/2Pp4/1B6/2N2N2/P4PPP/R2QK2R b KQ -,c8a6
r3k2r/p6p/2n3p1/2P2q2/p1B1p3/2P3P1/1P2Q1P1/R3KR2 b Qkq -,f5c5
5r2/5pk1/p1pNp1np/4P1Q1/8/1P6/1KP3R1/5q2 w - -,g5g3
3bk3/5Rpp/pp2p3/3pP3/3P2KP/P1B3P1/1P6/8 b - -,e8f7
4b3/5pk1/1R2p2p/1p2n1p1/p3P3/P4PP1/1P3K1P/1B6 w - -,b6b8
4n3/2p2r1p/1p1p2pk/p2Pp3/P1R1P1PP/1P2P1K1/1rBR4/8 w - -,g4g5
r1b1rnk1/p3pp1p/6p1/3RP3/8/2q2N2/2PQBPPP/5K1R b - -,c3a1
6k1/1p4np/q3p1pb/3pP3/5PQ1/P1rP3P/5RBK/5R2 w - -,g4h4
2r2rk1/pp2b1pp/1qb1pn2/3p1p2/3P4/2NQ1PP1/PP2P1BP/R1B2R1K b - -,f8d8
r2qk2r/pp1bnpbp/3p2p1/2p1nP2/2B5/2NP1N2/PPP3PP/R1B1QRK1 b kq -,d7f5
r2q1rk1/p4pbp/2npb1p1/1P2p3/2PnP3/2NBBP2/6PP/R1NQK2R b KQ -,c6a5
4b3/1Bk5/1p2pn1p/p2nN1p1/3P2P1/P4P2/1P1B1K2/8 w - -,b7a6
8/5pp1/4p2p/p3P2P/1k2P1P1/1P1K4/8/8 w - -,d3c2
5bk1/3n1p1p/4p1p1/4P1P1/q2p1P2/5RNQ/r6P/4B2K b - -,a4c6
r1bq1rk1/pp2bppp/2n1p3/3np3/2BP4/P4N2/1P3PPP/RNBQR1K1 w - -,d4e5
b1N2n2/6p1/1p2k2p/1Pp1P3/2P5/6Pn/1BB4P/5K2 w - -,c8b6
r1b1k2r/p1q1bppp/1pnp4/4p3/4PPn1/1NPBBQ2/PP1N2PP/R4RK1 w kq -,g1h1
2r3rk/3nb3/Q2pq2p/2p1ppp1/1P6/1N2P1BP/P4PP1/2RR2K1 b - -,f5f4
r1bq1rk1/pp1nppbp/5np1/2pp2B1/3P4/2PBPN2/PP1N1PPP/R2Q1RK1 b - -,d8b6:b7b6:f8e8
r1b2rk1/1p1nqppp/2p5/2pnP3/p7/P1B1PN2/1PQ1BPPP/R2R2K1 w - -,d1d2
8/8/pP2k3/1r5p/3R2p1/8/5PK1/8 w - -,d4a4
r1bq1rk1/ppp2pp1/2n1pn1p/3p4/1bPP4/P1N1PN2/1PQB1PPP/R3KB1R b KQ -,b4c3
2b1rb2/1k3prp/1pp5/p2p1p2/1n1P1P1N/1PN1PBP1/1P3K1P/2RR4 w - -,f3h5
r4nk1/3b1p2/B5pp/1PNp4/3P4/p3P2P/5KP1/R7 w - -,b5b6
r1bqk2r/ppp2pbp/2np1np1/4p3/8/1P1PPN2/PBP1BPPP/RN1Q1RK1 b kq -,e8g8
1r2r1k1/2q2pb1/2n2npp/2p1p3/2B1P1bP/2pP1NP1/1BQN1P2/R1R3K1 w - -,b2c3
8/5pk1/3Q2p1/5p2/pr5p/1P6/PB6/1K1Bq3 b - -,g7h7
r3kb1r/pp3ppp/1q3n2/3p4/2pPbB2/8/PP1NBPPP/2RQ1RK1 w kq -,d2e4
8/1br1k2p/2P1p3/p4p2/P2b4/1R4P1/1PR1BP1P/6K1 b - -,b7c8
1r4k1/1p3p1p/4bnp1/P3N3/1r2P3/6P1/1P4BP/R3R1K1 b - -,b4b2
r3k2r/ppbqnp2/2p1bnp1/2Pp4/3P1P1p/3BN2P/PP1BN1P1/R2Q1RK1 w kq -,f1f3
8/4Qpk1/3P2p1/1p3q1p/7P/2P3P1/5P1K/8 w - -,e7e3:h2g2:h2g1
r3r1k1/pp2ppbp/n1pp2p1/2P5/3P1B2/qP2QBP1/P3PP1P/2RR2K1 b - -,d6d5
8/8/5p2/2R1pk2/8/1r3PK1/8/8 b - -,b3a3
7k/p3b1rp/5n2/3PBp2/q7/p3PP2/Q5PP/1R4K1 w - -,d5d6
r4nk1/6bp/6p1/3p1p2/pP1P4/2N4P/P5P1/2B1R1K1 w - -,c3d5
8/6k1/1R5p/8/5rP1/5PK1/8/8 b - -,f4f8
r2qk2r/pp2npb1/2npb1p1/2p5/2P1PBPp/2NP3P/PP1QN1B1/R3K2R b KQkq -,c6e5
r1b2rk1/1pqn1ppp/p1pb1n2/4p3/2BPP3/2N2NP1/PPQ2P1P/R1BR2K1 b - -,b7b5
r2r2k1/2q2p1p/b1p3p1/3pb3/PP6/4BBP1/2P4P/1R1QR1K1 b - -,d5d4
8/8/5k2/1pP5/1P1r2p1/3p1pP1/5P1K/3R4 w - -,d1d2
6k1/5p1p/8/p1r3pb/8/1RPB4/6PP/7K b - -,a5a4
5rk1/1B1R1ppp/3b4/8/1n1B4/rP6/6PP/5RK1 w - -,d7d6
4qrk1/p5pp/1pbpp3/2r2p2/2P1n3/1Q2PN2/PP2BPPP/1KR2R2 b - -,c5a5
3n4/p2k1p2/BppN1P2/4P3/P7/1b2K3/1P6/8 w - -,a6c8
r3r1k1/1p1q1pn1/2p2bp1/1PPp1N1p/3P4/4B2P/1R1QBPP1/1R4K1 b - -,g7f5
r3k1r1/ppp1bpPp/2n1b1q1/6N1/2ppN1P1/8/PPP2P1P/R1BQR1K1 w q -,f2f4
4b3/2k4p/5Kn1/1pB5/1P1NP3/6P1/8/8 b - -,h7h5
1rbq1r2/1p3pk1/p1npp1p1/2p4p/2P4P/2NP2P1/PP1QPPB1/R3K2R b KQ -,e6e5
r4rk1/pp1b1ppp/5n2/q2p4/2pP4/PnP1PPP1/R2B1NBP/3QK2R w K -,e1g1
8/4nN2/4P1kP/6p1/5rP1/8/3KR3/8 b - -,f4g4
1r5k/p4q1p/2pp4/2p1p3/3nP2N/1P3PP1/P1P5/1K2RQ2 w - -,f3f4
8/6pk/1p2p2p/p2n1p2/2QP3P/1P3qP1/3B1P2/6K1 w - -,d2c1
rn1qk2r/p1p2ppp/bp2pn2/3p4/1bPP4/1P3NP1/P2BPPBP/RN1QK2R b KQkq -,b4e7
6k1/4pp1p/pr1p2P1/1prPb3/6PP/P1PB1K2/1P1RR3/8 b - -,f7g6
8/8/8/8/1R2k3/4b3/r7/3K4 b - -,e4d3
r1bqk1nr/p3ppbp/2pp2p1/2p5/3PP3/2P2N2/PP3PPP/RNBQ1RK1 b kq d3,c5d4
8/5Rbk/6pp/P7/4r2N/6P1/5PK1/8 b - -,e4a4
3q1n2/5k2/p2p1p2/nbpPpNpP/2p1P1P1/2P5/PQ6/1R1B3K b - -,d8c7
5rk1/6pq/1pnNp3/p2pP2p/Pn1P3P/2R2NQ1/1P4PK/8 b - -,h7b1
r1bqkb1r/pp1npppp/2p2n2/3p4/3P4/N1P2NP1/PP2PP1P/R1BQKB1R b KQkq d3,e7e6
3r2k1/4b2p/p4pp1/1pp1p3/4P3/1PP2N2/1P3PPP/4RK2 w - -,e1a1
r1bq1rk1/ppp1b2p/2np1np1/5pB1/2PPp2N/2N2PPB/PP2P2P/R2Q1RK1 b - -,e4f3
r1bq1rk1/p4pbp/1pn3p1/2pnp3/5P2/2PP2P1/PP1N1NBP/R1BQ1RK1 w - -,d1f3
1r2bk2/4nn1P/1p2pNp1/pP1pP2P/N2P4/P2BK3/8/6R1 b - -,f7h8
r1bq1rk1/pp1n1ppp/2pbpn2/3p4/2PP4/1P2PN2/PB1N1PPP/R2QKB1R w KQ -,f1d3
rnb2rk1/1p3ppp/p3pn2/N2p4/5B2/2b2P2/PPPQ2PP/2K1RB1R b - -,c3d2
rnbqr1k1/1p3pb1/p2p1npp/2pP4/2P5/2NBBN1P/PP3PP1/R2Q1RK1 b - -,b8d7
3N4/8/5k2/p1pK3p/PbP5/7P/8/8 b - -,f6g5
rn1q1rk1/1bpp1pp1/1p2pn1p/p7/1bPP4/1P3NP1/P1QBPPBP/RN3RK1 w - -,b1c3
2r2k2/7p/1p2P1p1/4K3/b3PP2/8/P1p3PP/2R5 w - -,e5f6
8/p3nkp1/4pp2/3p2P1/3P4/2P1B1Q1/3KB3/1q5r b - -,h1c1
rnbqk1nr/pp2ppbp/2p3p1/3p4/3PP3/1B3N2/PPP2PPP/RNBQK2R w KQkq -,c2c3
8/6k1/Pp3p2/5Qp1/1q4Pp/4P3/5PK1/8 b - -,b4a4
2kr4/ppbq1pp1/2p1p3/2Pn3r/2BPQP1p/2B4P/PP3RP1/R5K1 b - -,h5f5
8/5p2/3pk3/2p1p2p/2P1P2P/2K2P2/8/8 w - -,c3b3
4rrk1/p1p2ppp/1bb5/2p1P2q/3p1P2/1NP5/P1PQ1BPP/R3R1K1 w - -,c3d4
r1b1k1nr/pp2qpbp/2n3p1/2p1p3/4P3/2P2NP1/PP2QPBP/RNBR2K1 w kq -,b2b4
r1b2rk1/pp3pp1/3p1qnp/2pP4/1b2P3/2N2P2/PP3NPP/R2QKB1R w KQ -,a1c1
r1q1r1k1/p3bpp1/3p3p/2p1n3/3N4/1PB3P1/P1Q1PPKP/2R2R2 w - -,d4f5
1r3r1k/p1p1q1bp/1pB2pp1/2P2b2/2QP4/4B3/PP3PPP/2KR3R b - -,b6c5
r3rnk1/ppq2ppp/2pb4/6B1/3P4/1QPB3P/PP3PP1/R3RK2 b - -,f8e6
7k/1b1r1pp1/p3pq1p/1p1r4/3N1P2/P1P4P/1P1R1QP1/3R2K1 b - -,f6e7
5r1k/p5np/1p1n4/2rP4/2P1p2P/5NpB/P1R3K1/2R5 w - -,f3g5
3qk2r/1p1bbppp/p1rppn2/8/2P1PB2/2N5/PP2BPPP/R2Q1RK1 b k -,e8g8
3r3r/p1q1b1k1/1p3pp1/3B3p/3PP3/4Q2R/P5PP/1R5K w - -,b1c1
rn1q1rk1/1bp1ppbp/p2p1np1/1p6/3PP3/1P1Q1NP1/P1P2PBP/RNB1R1K1 b - -,c7c5
3r2k1/8/6p1/5p2/8/1B2p1bP/3r2P1/2R2RK1 b - -,g8g7
2r2rk1/1p2bppp/1q2p3/p1npP3/3N1P2/P2RBN2/1P2Q1PP/5R1K b - -,c5d3
1r3rk1/2q1p1bp/bn1p2p1/5pP1/1p1PPP1P/nPp1BNN1/2P2RB1/2RQ2K1 w - f6,g5f6
6k1/p2q1p2/1p4p1/4rn2/1r1b2B1/P3BQ1P/5PP1/3R2K1 w - -,a3b4
8/1ppk1p2/3p4/3Pp3/1P2P3/3K4/2R5/1q6 w - -,d3c3
3r2k1/p7/3P1pp1/1p2P1Np/1P1R1KnP/P5P1/8/8 w - -,e5f6
r1bqk2r/ppp1nppp/1bnp4/8/P2NP3/2P1B1P1/1P3PBP/RN1QK2R b KQkq -,e8g8
2r2r1k/p4p1p/3p2p1/q3b3/1p1NP1P1/1Pn1QB1P/bKP1N3/3R3R w - -,d1a1
r5k1/p3Rpbp/2p5/P1p5/5B2/5N2/1nP2PPP/5K2 w - -,e7c7
8/1bq2pkp/pp1r2p1/1B2p3/3bP3/8/P4PPP/2R2R1K w - -,c1c7
4q3/R4pkn/2R4Q/3pp1pP/4P1P1/5PK1/1r6/8 b - -,g7g8
r1bqkb1r/pppnpp2/3p3p/6pn/2PP4/5NB1/PP2PPPP/RN1QKB1R w KQkq -,e2e3
1r1q1rk1/b1p2p2/p1npbn1p/4p1p1/P1N1P2B/2PP1N1P/B4PP1/R2Q1RK1 w - g6,f3g5
4r1k1/6pp/R7/1p3p2/2p2P2/P3PKP1/3r3P/2R5 b - -,d2d3
r2qk2r/pppb1pbp/3p1np1/4n3/3NP3/2N1BP2/PPPQB1PP/R3K2R w KQkq -,e1c1
r4rk1/1p2qpbp/2ppn1p1/1Pn1p3/2P1P3/2NPBBPP/5P2/1R1QR1K1 w - -,c3e2
r1bq1rk1/p3bpp1/n1p2n1p/1p1p4/3P3B/2NBPP2/PP1Q2PP/R3K1NR b KQ -,f8e8
Q7/6p1/1pk2p2/6p1/Pqp5/5P1P/KP4P1/8 b - -,c6c7
2r1r1k1/pp4p1/1Qp1bn1p/5p2/3PPB2/5PP1/P5BP/1R1R2K1 b - -,a7b6
5k2/2R5/7p/7K/5N2/5P1P/5r2/8 w - -,f4g6
8/2k2p1p/2P3b1/6p1/8/3R1BKP/6P1/8 b - -,g6d3
8/5k2/1r6/R4PK1/8/8/8/8 b - -,b6c6
8/6r1/8/4Pk2/5P1K/8/8/5R2 w - -,h4h3
3r1rk1/2pq1pnp/1p2b1p1/2b1p1P1/2P1P2Q/P4NRB/5P1P/2B2RK1 b - -,c5d4
r1bq1rk1/ppppbppp/2n2n2/8/2PN4/2N1P3/PP3PPP/R1BQKB1R w KQ -,f1e2
2k4r/ppq1bpp1/2p1p3/4P1p1/P4N1r/5Q1P/1PP2PP1/R3R1K1 w - -,f4d3
8/r1NR2bk/6p1/5p1p/3p1PP1/7P/5K2/8 w - -,g4g5
r4rk1/1b1nqppp/p3p3/1p6/2pPP3/2P2N2/P1B1QPPP/2RR2K1 b - -,e6e5
3k4/5p1p/P1Q5/5q2/8/7P/5P1K/8 w - -,c6d6:c6b6
3bbnk1/q5np/2p1p1pB/1pPpP3/1Q1P2PP/1N3N2/P5K1/1B6 b - -,f8d7
r4rk1/p2q1ppp/5b2/1ppp4/8/2PP1QP1/PP1B1P1P/R4RK1 b - -,a7a5
k7/8/p4p2/2p3p1/6P1/1RP4P/1K1r4/8 w - -,b2c1
r5k1/ppr1ppqp/3p2p1/8/P1P1Q2P/1P3RP1/4PPK1/7R b - -,h7h6
r1b2rk1/pp3ppp/q2ppn2/4n3/1BP1PP2/1NPB4/P5PP/R2Q1RK1 b - f3,e5d3
8/8/8/8/4k3/r3b3/1R6/3K4 w - -,d1c2
2rb1qk1/5p1p/6p1/4Pn2/3P1P2/3QN3/6PP/1R3RK1 b - -,f5e3
r3k2r/1p2bppp/p1np4/3Qpq2/2B5/8/PPP2PPP/R1B2RK1 w kq -,f2f4
2R5/p5kp/1b4p1/4p3/4N3/5P2/Pr4PP/3K4 w - -,c8c2
r4rk1/ppqb2pp/2nbp3/3p3n/3P4/3B1NB1/PP2NPPP/R2Q1RK1 w - -,d1c2
6k1/6p1/N1p5/1pQbr2q/1P3R2/5P1P/6P1/7K b - -,e5e1
6k1/5p1p/1rp3p1/1r2P3/p2R1P2/P5P1/1PR4P/6K1 b - -,b5b2
8/K1k2p2/P7/5p1p/8/5r2/7R/8 w - -,h2h5
8/5pbk/2p1pnpp/2Pp4/p2P1PP1/2Q1P2P/P3B1K1/1q1N4 w - -,c3b2
1rR5/1P1B3p/P2k4/3p4/6P1/5P2/5K1P/8 b - -,d6d7
1R5Q/4bp2/5kpp/8/5P2/7P/6PK/4q3 b - -,f6e6
8/3k4/6pp/2p1p3/2P1N2P/r2NKPP1/8/8 w - -,e4c5
r1b2rk1/ppp2pp1/1bn4p/4pP1N/4N2q/2PP4/PP4PP/R1BQ1R1K w - -,c1h6
3Qb1k1/5p2/2q2Bp1/6Np/2P4P/P2nN1P1/7K/8 w - -,e3d5
r1bq1r2/ppp2pbk/2np2pp/4p3/P3Pn2/3PNN2/BPP2PPP/R1BQR1K1 w - -,e3d5
2kr3r/pp3pp1/2p1pn1p/4P2P/8/6P1/PPPB1P2/2KR3R b - -,f6d5
r2qkbnr/5ppp/p1ppp3/2p5/4PPb1/2NP1N2/PPP3PP/R1BQ1RK1 b kq -,g8e7
6k1/6p1/4p1pp/3pP3/Q2P2qb/5N2/5PP1/6K1 b - -,h4e7
r1b1k2r/2qnppbp/p1pp1np1/1p6/3PP3/2N1BP2/PPPQBNPP/R4RK1 b kq -,e8g8
r1bqr1k1/ppp2pbp/3p1np1/5p2/2PP4/2NQP1P1/PP2NPBP/R4RK1 b - -,c7c6:a8b8
6k1/6q1/p1p3P1/5PP1/2p5/1Q6/Pb6/4N2K w - -,b3c4
8/1b2bp2/1k2p3/pp2P3/3KPBP1/1B6/P7/8 w - a6,g4g5
r1bq2k1/1p1n1pbp/p2p2p1/P1pP4/1r6/6P1/1P1NPPBP/R1BQR1K1 w - -,a1a4
1Q6/1p1kn3/p1p3p1/2P2pP1/5P2/2b3PK/Pr6/8 b - -,c3g7
6k1/6p1/3p4/p1pP3p/2P2Q1P/1Pq5/2bN2P1/7K b - -,c3d4
r1bq1bk1/1p2nr1p/3p1n2/3Pp1p1/PBN1Pp2/2N5/4BPPP/R2QR1K1 b - -,e7g6
2r5/5pk1/r5pp/3n2q1/P2Pb3/R3P3/P4QPP/5RK1 b - -,a6f6
2kr1b1r/1ppb2pp/p1p2pn1/8/3NP3/2N1BP2/PPP3PP/2KR3R w - -,c3e2
5k2/rB1K1p2/P3p3/4R2p/6P1/6P1/7P/6b1 b - -,h5g4
8/3R4/8/8/3kb3/1r6/8/2K5 b - -,e4d5
rnbq1rk1/1ppp1ppp/p4n2/2b1p3/2P5/4P1P1/PP1PNPBP/RNBQK2R w KQ -,e1g1
