8/8/4k1p1/3p1r2/2NR2KP/8/8/8 w - -,c4e3
r1b2rk1/pp2qn1p/2p3p1/2p5/2PbP3/4N1B1/PPQ1B1PP/3RR1K1 w - -,g3f2
r2qkb1r/1b1n1pp1/p2ppn2/1pp2P2/4P2p/2NPB1P1/PPP1N1BP/R2Q1R1K b kq -,f6g4
8/8/8/4k3/8/3p4/8/5K2 w - -,f1e1
8/p1p2p1B/1p3k2/5p2/8/P4PKb/1PP5/8 b - -,h3f1
1r1q1n1r/3kb3/2n1pp1p/p2pP1pP/P2P2P1/1pN1BN2/1P3P2/R1RQ2K1 b - -,f6e5
r3kb1r/Nq2pppp/2B2n2/3p1b2/3P1B2/4P3/P3NPPP/R4RK1 b k -,b7d7
4k2r/4pp2/p2p1b1p/q1rP2p1/2p5/2P2N2/PPQ2PPP/1K1RR3 w k -,e1e4
rn2r1k1/p1pq2pp/1p1bpp2/3b4/2QPnB2/3N1NP1/PP2PPBP/R4RK1 w - -,c4c2
2r5/2P2pk1/p3pp1p/6PP/4q3/8/1Q3P2/K1R5 b - -,h6g5
2B5/1p3pk1/p1p5/P1P1P1K1/2b2P2/8/8/8 b - -,c4d3
r1bqk2r/pp1p1ppp/2n1p3/2b5/2P2P2/2N1P3/PP3P1P/R1BQKB1R b KQkq -,e8g8
7r/p3k3/1p2pp2/3p1bP1/3P1R1P/2P1KN2/P7/8 w - -,e3d2
8/2B5/5k2/ppp4P/P2nB1K1/8/3b4/8 w - -,a4b5
2r1r1k1/1bqn1p1p/pp1pp1p1/6P1/Pn1NPP2/7R/1PP2QBP/3N1R1K b - -,d6d5
8/5p2/p6p/3k4/5P2/2PK3P/6P1/8 b - -,a6a5
8/6p1/1pk4p/2p2P1n/P1K4P/5P2/2P1N3/8 b - -,h5f6
r1bq1rk1/pppn1pbp/3p1np1/4p3/1PP5/2N2NP1/P2PPPBP/1RBQ1RK1 b - b3,f8e8
r5k1/6qp/5p2/1pp5/2p3Q1/2P3P1/7P/3R2K1 w - -,g4e6
8/8/p1r1pk2/2P3p1/1P3r2/1KR1N2P/8/8 w - -,e3g4
r1bqkb1r/p1pp1ppp/1pn2n2/3Pp3/2P5/2N2P2/PP2P1PP/R1BQKBNR b KQkq -,c6a5
1r4k1/6q1/1p1p1n2/p1pPr1pp/P3Pp2/1P1B1P2/2R1Q1PP/3R3K w - -,d3b5
2r1k2r/1p1bbp2/pq1p2p1/3Pp2p/5P1P/1N1B4/PPPQ2P1/1K1R3R b k -,e5f4
4r3/p7/p1P1b2R/4k3/5p2/P6P/6PK/8 w - -,h6h7
rr4k1/2nnppbp/q2p2p1/2pP4/4P3/2B2N1P/PPQ2PP1/R2N1RK1 b - -,g7h6
2kr1b1r/pp1npppp/2pp4/3q4/3Pb1P1/2P2N1P/PP1BQPB1/R3K2R w KQ -,h1g1
r1bq1r2/pp4kn/n2p4/2pP1p2/2P1N3/3B1N1P/PP1Q1PP1/R4RK1 b - -,f5e4
r1b2rk1/bp2qppp/p1pp2n1/4P3/3P1p2/1BP2N1P/PP3PP1/R1BQR1K1 w - -,e5d6
2k5/1q1rb3/pP4p1/3Np3/4P3/1N5Q/1PP4P/7K w - -,d5e7
r3r3/p3ppkp/bp3qp1/8/1nNR4/1P2P3/P3BPPP/R1Q3K1 b - -,a8c8
r2q1rk1/1p2ppbp/n1b1n1p1/4P3/p1Pp4/3P1NBP/P2NBPP1/1RQ2RK1 b - -,d8a5
r1b1qrk1/pp1np1b1/2pp1npp/5pB1/2PP4/2N1PN1P/PP2BPP1/R2Q1RK1 w - -,g5f6
r1b1kb1r/pp4pp/2p2n2/1B2N3/4pq2/8/PPPPQ1PP/R1B1K2R w KQkq -,d2d4
6k1/p4p2/8/2pPb1p1/2P4p/P6K/8/5R2 w - -,f1e1
r2q1rk1/5ppp/1n1p2b1/pB2n1b1/P2NP1P1/5N1P/1B3P2/R2QR1K1 b - -,b6c4
rnbqkb1r/1p3pp1/p2p1n2/4p2p/4P3/1NN4P/PPP2PP1/R1BQKB1R w KQkq h6,c1e3
5r2/p2bppk1/3p2p1/q1rP3p/1p5P/1P3P2/P1PQN1P1/1K1R3R w - -,g2g4
r1b1qrk1/pp1np1bp/2pp1np1/5p2/2PP4/1PN1PN2/PBQ1BPPP/R3K2R w KQ -,e1g1
3br3/p1r5/1p2p1k1/3p4/P2B2P1/2P3P1/1P3RK1/4R3 w - -,f2e2
6k1/2r2pb1/4p1p1/3n3p/1B6/P5P1/3Q1P1P/6K1 b - -,c7a7
rnb1k2r/p4pp1/2p1pn1p/qp2N3/PbpP3B/2N1P3/1P3PPP/R1Q1KB1R b KQkq -,f6e4
8/5p2/p1N1k1p1/2b1P3/p4P2/3K4/8/8 b - -,e6f5
rn1qk2r/pbp1bppp/1p2pn2/3p4/3PP3/2N3P1/PPP1NPBP/R1BQK2R w KQkq -,e4e5
7r/1p2Nkb1/p2r3p/4p1p1/4Pp2/5P2/PP2K1PP/R1B2R2 b - -,f7e7
r1bqkb1r/pp1ppppp/2n2n2/2p5/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq -,g7g6:d7d5:e7e5:e7e6
3r2k1/p4p1p/6p1/8/1q1bQ3/4p1P1/b3P1BP/2R1R1K1 w - -,e1d1
2qr2k1/pbr2ppp/1p2p3/4Nn2/3Pp2P/1PP3P1/P4P2/1NRQR1K1 w - -,e5c4
r7/P6p/3p2p1/R2k1p2/8/3K2P1/5P1P/8 b - -,d5c6
rnb1kb1r/p1pqBpp1/1p2p2p/3pP3/3P4/2N4Q/PPP2PPP/2KR1BNR b kq -,f8e7
2r1k2r/2qnppb1/2p1b2p/p2pP3/Pp1P1B2/1N1BQ2P/1PP3P1/R4RK1 b k -,c7b6
r1bqk2r/2ppbppp/2n2n2/p3p3/Pp2P3/1B1P1N2/1PP2PPP/RNBQ1RK1 w kq -,b1d2
r2qr1k1/1n3p2/3p1bpp/1pp1p3/4P3/1QPPNN2/1P3PPP/R3R1K1 b - -,a8a1
r3k2r/1p1n1ppp/pq3n2/2bPp3/Q5b1/2N1P1P1/PP3P1P/RNB1KB1R w KQkq -,f1g2
3r4/ppnr4/2p2kpp/3b1p2/8/1P2P1P1/P2RNPBP/3R2K1 w - -,e2c3
r3r3/ppp5/2p3p1/5k1p/5P2/P4BP1/1PP2N1P/2KR4 b - -,e8e3
2rq1rk1/1b1nbpp1/p3pn1p/1p6/3P3B/PBN2N2/1P3PPP/R2QR1K1 w - -,b3c2
3r1r1k/2p3p1/4P2p/pb1pP1q1/6P1/1PP2B2/6QP/4RR1K w - -,f1g1
8/5pkp/4p1p1/3p4/6B1/n2NP1P1/5PKP/1r6 w - -,h2h4
1n1n1rk1/p1R3pp/1p1p4/3Pp1p1/1P2P3/P3B1PB/5P2/6K1 b - -,a7a5
r1bq1rk1/pp2p1bp/2p2np1/3p1p2/2PP1P2/2NB1N1P/PP1Q1PP1/R3R1K1 w - -,c4d5
2rqk2r/1p3ppp/n2p2n1/p2Pp3/2P2P2/P1N5/1P2B1PP/R1Q2RK1 w k -,f4e5
7r/8/p2p3k/2p1p2p/2P1PP1K/P3P2R/7P/8 w - -,f4f5
2r1rqk1/1b1n1pb1/pp1p1npp/2pP4/P3P1P1/1PNB1N1P/3QRP1B/4R1K1 w - -,c3d1
4k2r/1b2bp1p/1qp1pp2/8/Q3P3/3B4/1PPN1PPP/4K2R w Kk -,e1g1
r1q1k2r/ppp2ppp/1nn1p3/2QbP3/3P4/P2B1P2/1P2N1PP/R1B1K2R b KQkq -,c8d7
5r2/4ppk1/p1q3pp/2p5/1pP1n3/3Q3P/P3RPP1/2R3K1 b - -,e4c3
1k1rr3/ppb1npp1/2p2q1p/3Pp2P/2P3Q1/P1B2NP1/1P3P2/1KR1R3 b - -,e7f5
rnbq1rk1/1pp1bppp/5n2/p2p4/3P4/2NB1N1P/PPP2PP1/R1BQK2R w KQ -,e1g1
r3k2r/1ppbqpb1/3p1np1/p1nPp1Bp/2P1P2P/2N3N1/PP1QBPP1/R3K2R w KQkq -,e1c1
6k1/p1q2ppp/Qp3n2/3pN3/1P1P4/4P2P/P1r2PP1/5RK1 b - b3,g7g6
r1b2rk1/ppq2pbp/2p3p1/4p2n/2B1P3/2N1B2P/PPP1QPP1/3R1RK1 b - -,h5f4
7k/p3qpp1/B3p2p/3pP2P/1b1P4/2r1Q1P1/P4PK1/1R6 w - -,e3e2
r5k1/1p2q1rp/p2p1p2/3P1P2/P2p3Q/3BbR2/1P4P1/R6K b - a3,g8h8
2r1n1k1/1p3ppb/2p1p2p/8/1b1PP3/4R1P1/1Bq2P1P/Q2R1BK1 b - -,e8c7
8/3k4/6R1/3K4/8/2N5/8/4r3 b - -,d7c7
r2q1rk1/pp3ppp/3n2b1/2p1n1P1/Pb2P2N/5PN1/1PB4P/R1BQ1RK1 b - -,f7f6
r1b2rk1/p1q1bppp/4pn2/1p1nN1B1/2pP4/2P5/PPB1QPPP/RN3RK1 b - -,c8b7
2b2r1k/1pq3pp/nnp2p2/r1bPpP2/p3P1P1/P1N1B3/1PQ1N1BP/R4R1K w - -,e3d2
r1bq1rk1/pp1n1ppp/2pbpn2/8/2BP4/2N1PN2/PPQ2PPP/R1B2RK1 w - -,f1d1:e3e4
3qkbr1/3b1p2/B2pp3/6rp/4P3/1NP5/P1PQ2P1/1K1R3R w - -,d2e2
1kr5/1p3R2/p1b5/3p4/8/1P1qp3/P1P5/1K1B4 w - -,c2d3
6k1/8/5BP1/5K2/1p6/8/P2b4/8 w - -,f5e6
6nk/p2q2p1/1p6/2p1QP1p/7P/6P1/7K/B7 w - -,e5f4
5K2/r7/8/4N1k1/8/8/8/5R2 b - -,a7b7
2r3k1/1p2ppn1/3pb1pq/2R5/p3PP1P/2N1Q3/PPPN4/2K4R b - -,c8c5
r3k1nr/pp1nppbp/1qp1b1p1/3pP3/2PP4/1QN2N2/PP3PPP/R1B1KB1R w KQkq -,c4d5
4b3/8/3k2p1/6K1/1pp1P3/pP1N1P2/P1P5/8 w - -,b3c4
1r3k2/6p1/1n5p/4p3/6B1/1P4P1/5P1P/3R2K1 w - -,d1d6
r2q1rk1/pbp1bppp/1p2pn2/8/2PP4/4BP2/PP2N1PP/1BRQ1RK1 b - -,c7c5
6k1/4bp2/8/pp2p3/3pP1B1/1P1P4/1R3K2/2r5 b - -,e7a3
r1bqk1nr/1pp1ppb1/p2p1np1/7p/3PP2P/2N1BP1N/PPPQ2P1/R3KB1R b KQkq -,c8h3
2Rr4/3P1p2/pp1k1p1b/4p3/4P1Bp/3K3P/PP4P1/8 b - -,d6e7
5Q2/8/3pBnk1/1p1Pp1r1/5p2/7N/1P4P1/q4K2 w - -,f1e2
r5nr/pppk1pbp/3p2p1/3Pp3/2PnP1B1/4B3/PP3PPP/RN2K2R b KQ -,f7f5
8/5p2/k2p1Pp1/p1p1p1Pp/1rR1P2P/1P1K4/P7/8 b - -,a6b5
8/5pp1/6k1/4p3/P3R3/r5P1/3KP2P/8 w - -,d2c2
5rk1/pbp3pp/3pr3/2p3q1/4P3/1PNN4/P1P1QBP1/4R1K1 w - -,e2e3
r1b2rk1/1p2bppp/4q3/pBnpN3/P3n3/2P1B2P/1P1N1PP1/R2Q1RK1 w - -,d2f3
8/3p4/p1k1p3/1p5p/2p3r1/2P2K2/PPP3pB/4R3 w - -,e1g1
6k1/1p6/2p5/3n1rr1/8/Q7/PP4P1/6K1 b - -,f5f7
6k1/2n1b1pp/ppn1pp2/3p4/1P1PP1N1/P4PP1/3NK2P/2B5 w - -,e2d3
1n4k1/p3qppp/bprNP3/3p2N1/3P4/P5P1/1P3P1P/3QR1K1 b - -,f7f6
5r2/3K2k1/6p1/6P1/1R3P2/8/8/8 b - -,f8f7
Q7/6kp/2rqp1p1/3p4/2p5/7P/PP2RPP1/6K1 w - -,a8a7
5rk1/pp1br3/2p5/2Pp2p1/1P1P1P2/4P3/P3B3/1R1NK3 w - -,f4g5
r1b2rk1/ppq1ppb1/2n3p1/2p4p/2BPP2P/2P1B3/P2QNPP1/2R1K2R b K -,f8d8
rnbqkb1r/4pppp/pP1p1n2/2pP4/8/2N5/PP2PPPP/R1BQKBNR b KQkq -,d8b6:b8d7:g7g6
2r1k3/5p2/5P2/Bp1RPr2/p7/P1P3p1/1P2K3/8 w - -,d5d3
2k5/ppq2pp1/4pn1p/4N2P/2Pr1P2/2R5/PP2Q1P1/1K6 w - -,e2e3
2rb4/3q2kp/6p1/3Npb2/7P/1Q1P2P1/5PB1/5RK1 b - h3,f5e6
B1rq2k1/4ppbp/pp1pb1p1/7n/1NP5/1P1QB1P1/P3PP1P/2R2RK1 b - -,c8a8
2bk1b1r/p2n2p1/q1p1QnBp/8/2PP4/5N2/Pr1B1PPP/R3R1K1 w - -,d2f4
r1b2nk1/r3q1pp/1p1p1p2/1Pn1pP1B/p1P1P2N/B2P2P1/6RP/3Q2RK w - -,g3g4
8/2p5/3p3k/P2P4/7p/4R2P/1P3rP1/6K1 b - -,f2b2
2r3k1/pp2qpp1/8/5b2/2R1nP2/3BP3/PPQ4P/2K3R1 b - -,e4c5
r3kb1r/pp2pp1p/1qn3p1/3p1b2/2pP4/2P1PNP1/PP1N1PP1/R1Q1KB1R b KQkq -,b6d8
5k2/pp3rbp/3p1nb1/2pP4/2P5/1P2R3/PB4BP/5R1K b - -,f6g4
1br1r1k1/7p/p2q1pp1/1pN2R2/2PP2Q1/4P1Pb/1B5P/2R3K1 w - -,g4h3
r1bq1rk1/pp1pn1pp/2nNp3/5p2/4P3/1N6/PPPQ1PPP/2KR1B1R b - -,f5e4
r1k4r/p1pb1ppp/1pp5/4P1B1/4N1Pb/7P/PPP2P2/R2R2K1 b - -,h4g5
6k1/3n1pbp/3p2p1/2pPn1P1/1r2PB2/N6P/5PB1/1R4K1 w - -,f4d2
r2q1rk1/1ppb1pb1/3p2pn/p2Pp2p/4P2P/P2P2P1/1P2NPB1/1RBQK2R w K -,c1g5
b4rk1/p3q3/5bpp/2p1p3/2Pp4/3P2Q1/P1N2PPP/1R3RK1 b - -,g8h7
1r2r1k1/3b1p1p/3qp1p1/p1p3P1/3b1P2/2PP1Q2/P5BP/2RN1R1K b - -,d4g7
6k1/5pp1/4p2p/8/1R6/1P3P1P/1r4PK/8 b - -,g7g6
1rb2r2/5pk1/p1q1p1pb/3pPn2/2p2PN1/2P1B1Q1/PPB3RP/R5K1 w - -,c2f5
4r3/8/p3q1k1/1pp1Pp1p/2Pp2nP/1P1P1QB1/P7/5RK1 w - -,f3f4
r1bqk1nr/pp4b1/3p2pp/2pNp3/2PnP2P/4B3/PP1QNPP1/2KR1B1R w kq -,e2c3
1R6/4r1pk/5p1p/1p2P3/3n4/1P4BP/3r1PP1/4R2K b - -,f6e5
8/4kb2/7p/p1rpPP2/p5K1/8/BP6/3R4 w - -,d1d4
r1r3k1/1q1bbppp/3p1n2/1pnPp3/p3P3/P3BNNP/1PB2PP1/2RQR1K1 w - -,f3h2
rnbk1b1r/pp1p3p/1qp2Np1/7Q/3P4/8/PPP2PPP/R3KBNR w KQ -,h5d1
6k1/p4pp1/1p1P2p1/3B2b1/P3P3/8/1P6/5K2 w - -,e4e5
1r1q1r1k/pp4b1/3pb2p/1P1Np2n/P2nB1p1/B1NP1pP1/4PP1P/1R1Q1RK1 w - -,e2e3
2k4r/1b3ppp/1p1Ppn2/p7/P2p1q2/3B3P/2P1QPP1/R3R1K1 b - -,h8d8
r1b2rk1/pp3ppp/2p5/4P3/2P1p3/2q1P3/PP2BPPP/R4RK1 w - -,b2c3
4r3/pp4qk/3p2bp/3Nn1p1/1PP5/6P1/P4QBP/2R3K1 b - -,e5g4
r2b1r1k/3q1ppp/p1pp4/1p1B1P1Q/n2pP3/P2P3P/1PPB2P1/R4RK1 w - -,d5b3
5rk1/p2BRp1p/6p1/r7/8/1P3bP1/2P4P/1K3R2 b - -,f3a8
r3k2r/1bq1bppp/p3p3/2p3P1/1p1NP3/1P2BP2/1PP3QP/R3K1R1 w Qkq -,d4e2
r1bqkbnr/ppp1pppp/2n5/3P4/8/6P1/PP1PPP1P/RNBQKBNR b KQkq -,d8d5
8/B3R3/p5p1/P2n3p/2k5/6PP/5PK1/8 b - -,d5e7
r3kb1r/ppp1n1pp/2n2p2/1B1qp3/Q1PP2b1/5N2/PP3PPP/RNB1K2R b KQkq -,d5e4
8/p4p2/1pQ5/2p4k/2P2p1p/PP1n2q1/3P4/5R1K w - -,c6d5
8/8/P3pk2/5p2/2B3r1/2R5/1P6/1K6 b - -,g4g7
rnbqkb1r/pp2pppp/1np5/8/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq -,c1e3:h2h3
2r1k2r/R2nb1pp/1pq1pp2/3pP3/1PpP1PP1/2P1B3/7P/1QRB2K1 b k -,b6b5
r1b2rn1/2p2pqk/np1p3b/pN1PpPp1/2P1P2p/4B2P/PPBQNRP1/4R2K w - -,g2g3
8/r7/8/6KP/8/1k6/5P2/8 b - -,b3c4
2r3k1/5pp1/7p/1p2P3/4R3/1P5P/3r1PP1/R5K1 w - -,e4f4
r1b1r1k1/1pq3pp/2p1n3/p3pPp1/P3P3/4Q1PP/1PP3B1/R2R2K1 b - -,e6f8
r1b1kb1r/2qp1ppp/ppn2n2/4p3/2PN1B2/2N3P1/PP2PPBP/R2Q1RK1 w kq -,f4e5
8/7p/1p2rk1p/7P/1R6/6PK/8/8 b - -,f6e5
3rr1k1/1p2qpbp/pNppbnp1/P7/1PPB4/4P1PP/1Q3PB1/R4RK1 w - -,f1c1
8/6pp/3R4/1p3k2/8/1P6/1B3KP1/1r6 w - -,d6d2
2k5/2b3R1/3p4/3r2Bp/2p4P/P5P1/4K3/8 b - -,c4c3
r4rk1/2R1qpbp/pn2pnp1/1p1p4/3P1B2/1Q2PB1P/PP2NPP1/2R3K1 b - -,e7d8
3rr1k1/1p3pp1/6p1/2Q1n3/q7/4P1P1/1R2BP1P/1R4K1 b - -,a4c6
r2qk2r/pp2pp1p/2p2npQ/8/3P4/5P2/PPP2P1P/2KR1B1R b kq -,d8d5
6r1/8/4k3/5R2/5KP1/8/8/8 b - -,g8g7
r1b3kb/pp2r2p/3q1pPB/2p1p2Q/8/2PP2P1/P3P1BP/1R3RK1 b - -,h8g7
r4rk1/pp1n2pp/2pppq2/6N1/4PnP1/2NP4/PPPQ3P/2KR3R w - -,h2h4
2r5/1p1R2k1/p3p1pN/4ppP1/1P2P3/Pb3P2/2P5/2K5 b - -,g7f8
5k2/1p3p1p/1R6/P4R2/8/6PP/r1r2P2/6K1 b - -,a2b2
r2r2k1/1p2ppbp/p4np1/8/3P4/2N1P1P1/PB3PKP/R2R4 b - -,b7b5
3r2k1/1p3ppp/pN2r3/P7/2P5/2B5/1P3PPP/5RK1 w - -,g2g3
1r2qrk1/1ppb1pb1/p2p1np1/3Pp1Bp/2P1P3/1P3PN1/P2QB1PP/2R1K2R w K -,e1g1
rn1kr3/5q1p/b1p2b1Q/p7/Pp1P1B2/5N2/1PP2PPP/R3R1K1 w - -,e1e8
8/pQ6/2p1pq2/5p2/4k3/P7/1PP5/1K6 b - -,f5f4
r2q1rk1/pb2bppp/1p3n2/2p1N3/3n4/2NP2B1/PPP2QPP/3BRRK1 w - -,a2a4
1kq3rr/1pp1bp2/p3b3/3pP1pp/2PP4/4Q2P/PP2B1PB/1K1R1R2 b - c3,g8g7
r1bqk2r/pp2ppbp/2np1np1/2p5/4PP2/2N2NP1/PPPP2BP/R1BQK2R w KQkq -,e1g1
r2q1rk1/pppnppbp/3p1np1/8/2PPP3/2N1BB2/PP3PPP/R2QK2R w KQ -,e1g1
r2qrnk1/p4ppp/bpp2n2/3p1P2/3P1B2/P1N2PP1/1PBQ3P/R3R1K1 b - -,h7h6
r2q1rk1/pbpn1p2/1p1ppbn1/7p/2PPP1pP/2NBB1N1/PP1Q1PP1/R3R1K1 w - -,g3h5
1r1q3r/6k1/p2p1nPp/1p2pQ2/2n5/1BN2P2/PPP3P1/2KR3R b - -,d8c8
8/5p2/5k2/p1r5/5K2/1RP5/8/8 b - -,f6e6
rnb1k2r/pp2pp1p/3p1np1/2q5/4P3/2PB4/P1P1NPPP/R1BQ1RK1 w kq -,c1e3
8/8/8/5p1p/4k3/3pp1P1/5rP1/1R3K2 w - -,f1e1
4r3/1pp1r1kp/1n3pp1/1Nn1N3/5P2/PP6/2K3PP/3RR3 w - -,e5f3
6r1/p7/1p6/5k1P/1R6/P6K/1P5P/8 w - -,h3h4
r3k1nr/pp3ppp/4p3/n1b1P3/2p1N1b1/5N2/PP2BPPP/R1B1K2R b KQkq -,g4f3
6k1/5p2/1pR1p1p1/7p/1P5P/P3P3/3r1PP1/6K1 b - -,d2a2
r2q1rk1/1b1nppbp/p2p2p1/1p1nP3/3P4/2N2N1P/PPB2PP1/R1BQR1K1 w - -,c3d5
r1b2rk1/bp3ppp/p2q1n2/3p4/3P4/P1N5/1P2BPPP/R1BQ1RK1 w - -,e2f3
1k1r3r/2pq1p2/1pbp2n1/p3p1p1/B1PPPn1p/2P1NP1P/P4BPK/R2QR3 w - -,a4c6
2r3k1/5p2/5n1p/p1rpp1p1/P7/1P3PP1/N1PRK2P/2R5 b - -,g8g7
1r3b1k/5p2/2b3p1/3Np2p/p1P1P2P/Pq2Q1P1/3R1PB1/6K1 w - -,d2d3
r2qk1nr/3nppbp/p1bp2p1/1p6/3NP3/P1N1B3/1PPQ1PPP/R3KB1R b KQkq -,c6b7
rn1qkb1r/pbpp3p/1p2pnp1/5p2/2PP4/2NBPP2/PP4PP/R1BQK1NR w KQkq -,g1e2
2kr3r/ppp2ppp/3qpn2/2P5/bP1P4/3B1N2/P2Q1PPP/3RR1K1 b - -,d6d5
5rk1/pp1r4/2q2b1p/3p2p1/2pP4/2P4Q/P1PB1RPP/4R1K1 b - -,g8g7
8/6R1/8/8/r7/8/4K2p/7k w - -,e2f2
8/2qb1p2/k3p2b/1p1pPp2/pPpN1Prr/P1P1Q3/3P1R2/K1B2R2 w - -,a1b1
2r2k2/1pr1p3/p2p1b1p/P2P1PpB/7P/2PnB3/1P4R1/5R1K b - -,c7c4
2r5/1pp1k1pp/1p1p1r2/4p3/P1N1Pn2/1P3P1P/1KPR2P1/7R b - -,f6f8
8/8/1pp3kp/1b4p1/nP1B2P1/1B5P/5P2/6K1 w - -,h3h4
1nr2rk1/p2R1ppp/bp2N3/2b5/8/1PB1P1P1/P4PBP/R5K1 w - -,e6f8
r4rk1/2p2p2/pbp2q1p/2p2P2/N1R2PQ1/8/PP4PP/5RK1 b - -,g8h7
