6R1/8/8/7k/8/4p1P1/3r1P2/6K1 w - -,f2e3
3r1rk1/6p1/p2q3p/1p1Pp3/4Pn2/3BQN1n/NR3P2/5K2 w - -,a2b4
rq2r1k1/pp3p1p/3pb1p1/4n3/1Q3N2/1P4P1/P3PPBP/3R1RK1 b - -,e8d8
r4rk1/2qnbppp/b1n1p3/p1ppP3/1p3B1P/3P1NP1/PPP1QPB1/R3RNK1 w - -,f1h2:e2d2
2b2rk1/1p1q1rn1/3p1p2/2pP2pp/PpP1P1P1/1P1BQN1P/6R1/5RK1 b - -,d7e7
1rbr3k/5pqp/2p2Np1/p2pP3/1P3Q2/3BR3/P1P3PP/6K1 w - a6,b4a5
r1b2rk1/1p3ppp/p2Np1n1/2nPP3/8/5N2/PP3PPP/R3KB1R b KQ -,e6d5
4r1k1/3n1q2/Q5p1/8/5B2/6PP/P3PP2/5RK1 w - -,f1c1
8/4k1p1/7p/1p1PK2P/p1b1B1P1/P7/1P6/8 b - -,c4e2
r2q1rk1/pb3pp1/1p1p1nnp/2pPp3/2P1P3/2P1BN2/P1BQ1PPP/R3R1K1 b - -,f6h5
r1bq1rk1/1p2ppbp/p1np2p1/8/2P5/1Pn2NP1/PB2PPBP/R1Q2RK1 w - -,b2c3
3r4/6pp/pp2kn2/4p3/PP1pP3/5P2/1B4PP/R2R2K1 w - -,a1c1
8/7r/p2R4/P3B3/3Kp3/3bP3/6kP/8 w - -,d6f6
1r5k/2p1q1bp/1r2P1p1/6p1/1P3pP1/1B3Q1P/1P3P2/R3R1K1 w - -,a1a8
4rrk1/1bqn3p/6p1/1p6/1P1Rp3/2p2P1P/P1B2BP1/R1Q4K w - -,c2b3
8/8/3p4/2kNn3/2p1PKp1/8/8/8 w - -,f4e3
8/4k3/8/8/7R/4r2K/6P1/8 w - -,h3g4
8/2r5/8/8/1R6/k1BK4/8/8 w - -,d3c2
rn2k2r/pp1qppbp/3p1np1/2p5/4P3/2P2N2/PP1P1PPP/RNBQR1K1 w kq -,d2d4
3r2k1/1pqn1ppp/2p2n2/p3pP2/PbB1P3/1PB2QNP/2P2P2/R5K1 w - -,c3b4
r4rk1/1p2bpnp/p1np2p1/q2Pp3/P3P3/1P2B1PP/3QNPBK/3R1R2 b - -,a5d2
1r3rk1/pp1R1p1p/2p2qp1/8/2P5/3BP3/PPQ2PPP/2K4R b - -,a7a6
r3k2r/1pqbbp2/p1n1p3/2Pp3p/PP1N1Pp1/2P5/3NQ1PP/R1B2RK1 b kq a3,e7f6
r1bq1rk1/1pp2ppp/p1nbpn2/8/Q1BP4/2N1PN2/PP1B1PPP/3R1RK1 b - -,e6e5
r1b1qrk1/ppp2pb1/n2P2pp/8/3pP3/2N2N1P/PP2BPP1/R2Q1RK1 w - -,c3d5
2q3rk/1p3Rpp/p1n5/P1Q5/4P3/3P3P/1BP3P1/6K1 b - -,c8b8
2K5/2P2k2/6pp/8/6P1/4R2P/8/1r6 b - -,b1b2
4r3/5kp1/1p1qpn1p/p1p5/P2p1P1Q/1P1P3P/2PBR1P1/6K1 w - c6,g2g4
r4rk1/pp2bppp/1qp2nb1/3p4/1n2P3/1QNPBNP1/PP3PBP/R4RK1 b - -,b6a6
rnbqkb1r/pp1p1ppp/1n2p3/2p1P3/5P2/1BP5/PP1P2PP/RNBQK1NR b KQkq f3,d7d5
r2qr1k1/pppn1ppp/2pb2b1/4p3/4P1P1/3P1N1P/PPP1QP2/R1BN1RK1 w - -,d1e3
8/2B4p/p5p1/P3pp2/k1P2bP1/3K1P1P/8/8 w - -,c7b6
1r3kr1/3qb3/2npppQp/pp2pN2/4P3/1BP5/PP3PPP/R4RK1 w - -,g6h6
1q1r4/3rnk1p/3ppbp1/2p5/2P1BP2/P2RP2P/3Q2P1/3RB1K1 b - -,d6d5
2r1r1k1/1p4pp/pb1Bpn2/5p2/b1P5/1N1B3P/PP1R1PP1/5RK1 w - -,f1e1
r2r2k1/1q3ppp/p3p3/1pb1N3/4nB2/6P1/PP2PP1P/R2Q1RK1 w - -,e5d3
rnbq1rk1/1ppp2pp/4pn2/p4p2/1bPP4/5NP1/PP1NPPBP/R1BQ1RK1 b - -,b7b6
8/8/5r2/1k3PPK/8/8/3p1R2/8 w - -,f2d2
2r5/pp4rk/7p/b3pp2/2Np1nPP/3P2R1/PPR1PN2/6K1 b - -,b7b5
3r4/kp5p/pN6/8/PRp4r/2n5/2P3P1/4R1K1 w - -,e1e7
r2qkb1r/1b1n1ppp/p1p1pn2/1p6/3P4/3Q2P1/PP1NPPBP/RNB2RK1 b kq -,f8e7
2r5/2p2k2/2PpNp2/p2P3P/P5P1/1PpK4/2P5/8 b - -,c8g8
r1b3k1/1p5p/pn4p1/2p5/3nPr2/2NB1N2/PP4PP/2KR3R w - -,f3d4
7r/8/R2NPk1p/pR4p1/P4n2/1p5K/1P3P2/8 w - -,h3g3
8/8/5kp1/1R6/6P1/1P3K2/1r6/8 w - -,g4g5
r1b1qr1k/pp1nb1pp/4p3/3pPp2/P2P1P2/1P1Q1NPB/7P/R1B2R1K w - -,g3g4
r3kb1r/ppqn1ppp/2ppbn2/4p3/3PP3/2N1BP2/PPPQN1PP/R3KB1R w KQkq -,g2g4
8/4k1p1/7p/p1N2P1P/1pK3P1/5n2/8/8 w - -,c5b7
3qr1k1/5ppp/bp1B1b2/1r6/1pNp4/4PQP1/P4P1P/2RR2K1 b - -,d8a8
r1bqkb1r/1p3ppp/p1nppn2/8/3NP3/2N1BP2/PPPQ2PP/R3KB1R b KQkq -,f8e7:d8c7
4r2k/pp3pp1/5n1p/3p1N1P/3R1QPR/2P1Pn2/P3qP2/6K1 w - -,g1g2
1rbq1rk1/p2pppbp/2p2np1/8/2P5/6P1/PP2PPBP/RNBQR1K1 w - -,d1c2
6k1/5p1p/p3p3/6P1/5K2/r7/P2R4/8 b - -,g8g7
7Q/8/2Pk4/p4K2/8/8/P5q1/8 b - -,g2f3
5rk1/1r1p1ppp/p3pn2/qb2n3/4P3/P2B1PN1/NPP2QPP/1R3RK1 w - -,d3b5
2b2rk1/1p1n1p1p/1p2pbp1/n1p5/r2P1P2/N1PNP1PP/PB3KB1/R2R4 w - -,a3c2
4r1k1/pp3pbp/1np3p1/6B1/2NP4/1RPB4/P4PPP/6K1 b - -,e8e1
3k4/pp1b1p1p/3p4/3p1r1P/1P1P3P/2P1RBK1/P7/8 b - -,d7e6
6k1/5pp1/8/1N6/4r3/6PP/3r1R2/6K1 b - -,d2d3
1k1r3r/pppqbp2/3p1n1p/3Pp1p1/1nP5/1Q1P1NPP/P4PB1/R1B2RK1 b - -,c7c5
1q6/p3k3/b3p2p/6p1/P1B1P3/6P1/2Q2PP1/6K1 b - -,b8c7
8/1p6/3pkb2/7p/p1P1K2P/2P5/P7/4B3 w - -,e4f4
r4rk1/1p2p2p/p2q2p1/2pP4/2PbR3/6PB/PP1Q1P1K/R7 w - -,h3e6
3k4/p6p/1p1p2q1/3P2p1/2P2r2/1PB1QPr1/PK3R2/4R3 b - -,f4f7
r5k1/pp1Nn1pp/2n1p2r/1N1p3b/1q3P2/3B4/PPQ2RPP/R5K1 b - -,a7a6
2rqk2r/1p2bppp/p1np4/3Pp1P1/8/1P2BP2/1PPQ3P/R3KBR1 b Qk -,c6d4
8/1p2k3/3pp2p/p3b3/P1P1N2P/1P1R2P1/5K1r/8 w - -,f2f3
rnbqkbnr/pp3ppp/4p3/2ppP3/2PP4/8/PP3PPP/RNBQKBNR w KQkq -,c4d5:g1f3
6k1/1p6/p1n5/2P5/4N3/P4P2/5KPP/3rB3 b - -,d1a1
r1r1bk2/pp2p2p/4npp1/8/4PP2/2R1KN2/PP2B1PP/7R w - -,h1c1
8/2k3pp/pq2p3/3b2P1/1p1R3P/8/PPP5/1K1R4 w - -,b2b3
8/8/8/8/p1p2B2/1bP1Pkp1/3K4/8 b - -,a4a3
r2q4/1b3p1k/p1Bp1np1/3Pp1Qp/pP2P2P/P5P1/4NP2/2R3K1 b - -,b7c6
r1q1k2r/pp2ppb1/3p2p1/4n3/1PPpP3/3P1B1p/P2B1P2/R1NQ1R1K b kq -,g7h6
r1bqkb1r/pp2nppp/2n1p3/2p1P3/3p4/2P2NP1/PP1P1PBP/RNBQ1RK1 b kq -,e7d5
2r5/5p2/4p1k1/R5Rp/6p1/P4rP1/4KP1P/8 b - -,g6f6
r3k1nr/5p1p/1q1p2p1/pp2p3/3bPP2/1bN2Q2/1P1KN1PP/R1B4R w kq -,e2d4
7r/k1qnQ3/p7/2pP1p1B/3p2P1/P2P3P/2P3K1/1R6 b - -,f5f4
1R6/r1r2k2/4p1p1/3pPp1p/pR3P1P/P3PK2/1P4P1/8 w - -,b4b6
r2r1bk1/1p1q2pp/p1n1bp2/P1pnp3/2N4N/2PP2P1/1P2QPBP/R1B2RK1 b - -,d7f7
r2q1r1k/1bp1n1p1/p4n1p/1p6/3p4/P1NQ3P/BP1B1PP1/R3R1K1 w - -,c3e2
1kR1br2/1p3p2/1q2nBp1/p2pPpNp/Pb1P1Q1P/6R1/NP3PP1/6K1 b - -,b8c8
rr2n1k1/3nppbp/3p2p1/q1pP4/4P3/1PN2NPP/P2B1PK1/R2Q3R w - -,c3a4
r1b1r1k1/1p3p1p/2p1n1p1/p1P1N3/4P3/1P2RPP1/PK2B2P/2R5 b - -,e6d4
1rr3k1/1p2p2p/p5p1/2pPqP2/P1Pb4/6P1/N1R1QP1P/1R4K1 b - -,e5f5
r2q1rk1/ppp2pbp/2n1bnp1/3pP3/5PP1/2NBB2P/PPP1N3/R2QK2R b KQ -,d5d4
5r2/1pn3bk/p2p4/3P1nP1/4QP2/1P1B1R1p/P2BK2P/q7 w - -,f3h3
1r1r3k/1p4p1/p3np1p/P5n1/3Pq1B1/1Q1NP2P/1R3PP1/2R3K1 w - -,g4e6
rnbqk2r/pp3pp1/2pb1n1p/3p4/2PP4/2NB1N1P/PP3PP1/R1BQK2R b KQkq -,e8g8
6k1/1n1q2np/p2p1bp1/2pP1pN1/1pP2B2/1P5P/P2Q1PP1/3BrK2 w - -,d2e1
r1br2k1/pp1nqppp/2p1p3/3n4/3PN3/1B2PN2/PP3PPP/2RQ1RK1 b - -,d7f6
2K5/8/2P5/P7/5kp1/3Q4/1q6/8 w - -,c6c7
r2r4/ppb2pp1/2pnNkbp/3p4/1P1P1PPN/2P4B/1P3P1P/R3R1K1 b - -,f7e6
8/8/8/8/1pk5/2r5/R2K4/8 b - -,c4b3
r1b1k2r/pp1nqpnp/2p3p1/3p4/3P2P1/2NBP1N1/PPQ2P1P/R3K2R b KQkq -,d7b6
r2qkb1r/1p1b1ppp/p1nppn2/8/3pP3/2P2N2/PP3PPP/RNBQRBK1 w kq -,c3d4
2rqk1nr/p2pppbp/1pn3p1/2p5/2P5/2NP1PP1/PP1B1PBP/R2Q1RK1 b k -,g8f6
3q1k2/pp3p2/4bNpn/2p1Q3/PnP5/1P2P1PP/5PBN/6K1 w - -,e5c5
8/p4p2/1p1p2k1/8/2P1p2p/6qP/P4QP1/7K w - -,f2e2
8/R7/8/1p6/5p2/Pr6/3K2k1/8 b - -,f4f3
r6r/pbp2pk1/1p2p3/4nn2/5Bpp/P7/1PB2PPP/R3NRK1 b - -,f7f6
3r3k/1b3pb1/pq2p2p/1p2P1P1/1P1n4/2Q1N1B1/P4PP1/3R1BK1 b - -,h6g5
r3kbnr/pppq1ppp/2n1p3/3p4/2PP2b1/5NP1/PP2PPBP/RNBQK2R w KQkq -,c4d5:e1g1:f3e5
8/pp3r2/2p2kp1/4p1p1/4K3/1P2N3/5P1P/7N w - -,h2h3
rnb2rk1/ppq1p1bp/2pp2p1/7n/2PPP3/1Q3NP1/PP2NPB1/R1B1R1K1 b - -,b8a6
2kr1b1r/pppb1p1p/5n2/2Pp4/3P2pq/3BBPP1/PP5P/RN1Q1RK1 b - -,h4h5
1r3bk1/2r2p2/b1p1pBpp/p1PpP3/Nq1p1PPQ/1P1P1R2/P1R4P/6K1 w - -,f3h3
rnbqk2r/ppppp1bp/5np1/5pB1/3P3P/2N5/PPPQPPP1/R3KBNR b KQkq -,h7h6
rq4kr/pp1n1p1p/2p2npQ/3p4/3P2P1/2N1P3/PP2BP1P/R3K2R b KQ -,b8f8
6k1/8/8/2KpB3/5R2/2pr4/8/8 w - -,f4f1
5rk1/5ppp/1p3q2/3R4/8/P6P/2r2PP1/R3Q1K1 b - -,c2f2
2r4r/1p3kpp/p2bpn2/1p6/4P3/2N2P2/PP1BK1PP/R6R w - -,a1c1
2rq1rk1/1p1b1pbp/p2ppnp1/n7/P2NPPP1/1BNQB2P/1PP5/R4RK1 b - -,a5b3
8/7p/1N4p1/p1p2p2/PkPb1P2/3K3P/5P2/8 b - -,d4f2
7r/4kp2/3p1p2/p2bpP2/6PP/P1P3bR/4B3/1K6 w - -,h3g3
r1bq1rk1/4npb1/pp1p2pp/nPp1p3/3PP3/P1P2NP1/1B1N1PBP/R2Q1RK1 w - -,a3a4
r2qr1k1/1p1nbp1p/1np3p1/p2p4/3P1B2/P1N1P2P/1PQN1PP1/R4RK1 b - -,d7f8
r5k1/b1pq1pp1/4r2p/pP2p3/QnP5/3PBN2/5PPP/1R2R1K1 b - -,b4d3
4rnk1/1p3ppp/2pb3q/1P1p1b2/3P4/4P1P1/4BP1P/R1Q2RK1 b - -,f5e4
4rrk1/1b4pp/6q1/1P1n1p2/2p5/3PbP1P/1PB2NP1/R1BQ1RK1 w - -,g2g4
r1bq1rk1/p2nbppp/1pp1p3/3P4/3P4/2N3P1/PP1BPPBP/R2Q1RK1 b - -,e6d5
r1bqkb1r/pp1n1ppp/4pn2/8/1pPP4/3BPN2/PB4PP/RN1QK2R w KQkq -,e1g1
r3nrk1/pp1qppbp/2n1b1p1/1BPp4/N2P4/P3BP2/1P2N1PP/R2QK2R w KQ -,a4c3
3r1rk1/5pb1/ppnnq1pp/2p1p3/2P1P3/PNP3P1/4QP1P/R1BR1BK1 w - -,c1b2
r2qkb1r/pppb1ppp/4pn2/1B1Pp3/4P3/2N5/PPP2PPP/R1BQK2R w KQkq -,d5e6
r1b2rk1/pp2bppp/4p3/2qn4/8/3B1N2/PPP1QPPP/R1B2RK1 w - -,c2c4
rnbqk1nr/p2pppbp/2p3p1/1p6/3PP3/2N1B3/PPPQ1PPP/R3KBNR b KQkq -,d7d6
5r2/2p5/1p1p1n2/p2Pp1kp/2P3p1/PP2R1BP/4KPP1/8 w - -,h3h4
r1bqkbnr/p2ppppp/1pn5/2p5/2P1P3/2N5/PP1PNPPP/R1BQKB1R b KQkq -,c8b7
1r3k2/1r3p1p/p5p1/3R4/R7/2P3P1/1P3P1P/6K1 b - -,b7b2
2r3k1/3p3p/4p1p1/8/p1r2P2/5R2/P5PP/3R2bK w - -,h1g1
5rk1/1p3ppp/p1qbp3/3p4/1P1P4/PN2P2P/1Q3PP1/2R3K1 b - -,c6d7
8/3k4/4ppp1/p6p/1b2KP1P/1P3NP1/P7/8 w - -,e4d4
br4k1/p3qppp/P1pbp3/7r/2QP4/1B1N2P1/1PP2P1P/R3R1K1 w - -,d3e5
7k/1b3p1p/3pr1p1/4p3/q3P2Q/4NP1P/2P3P1/4R2K b - -,a4a5
3r2k1/p1nqrpb1/1p4pp/2p1p3/7P/P1BP2P1/1P1NPPb1/2R1R1KQ w - -,h1g2
rnbq1rk1/pp3ppp/4p3/3n4/1P6/2PBP3/4NPPP/R1BQK2R b KQ -,b8c6
3r2k1/4pp2/p2b2pp/p7/7r/1B4P1/PB3P2/4R1K1 b - -,h4b4
4r1k1/1R3pb1/3q4/4pbB1/6p1/8/5PB1/4Q1K1 b - -,e8b8
3r3k/pbr1q3/1ppbp1pp/3n1p2/3P1P2/PQNNP3/1P1R1PBP/2R3K1 w - -,b3d1
r1r3k1/4b1pp/4p3/pp6/2p1N3/1PPnB3/P1R1KPPP/R7 b - -,c4b3
8/1pk5/p1p1nr2/3p1NR1/3Pp1KP/2P5/PP5P/8 w - -,g5g8
r4rk1/1p1nbpp1/1qp1pn1p/7P/p1NP1P2/P5N1/1PPBQ1P1/2KR3R b - -,b6b5
r7/p1rk1pPp/B1p1p1b1/N7/3P4/5PP1/2n4P/R1R3K1 w - -,a1a4
2r2rk1/4bppp/p2pp3/qb4P1/1p1NP2P/5Q2/PPP1NP2/1K4RR b - -,b5c4
4b1k1/p5pp/1pn5/4qp2/1P2r3/P2N1Q2/4NPPP/5RK1 b - -,e5e7
5n2/p3q2k/1p3bpp/3p1r2/2rPpP2/4P2N/PP2Q2P/3RB1RK b - -,f8e6
r1bqr1k1/1p3p1p/2pb1np1/p2p4/N2P4/P2NP3/1PQ1BPPP/R4RK1 w - -,b2b4
8/4p3/3p3p/3Pkp2/8/6KP/5P2/8 b - -,e5d5
8/2n5/2Bkbp2/BP2p1p1/4K1P1/5P2/8/8 b - -,c7d5
3r2k1/6pp/8/Rp3b2/3p4/1P1n1N1P/1P1NrPP1/5RK1 w - -,a5b5
rn1qkb1r/1b2pppp/p2p1n2/2p5/1p2PP2/3P1NP1/PPP1N1BP/R1BQK2R b KQkq -,e7e6
5rk1/p2qppb1/1p4pp/P1RP4/4P3/8/3B1PPP/1R1Q2K1 b - -,b6c5
r1bq1rk1/pppnnpbp/3p2p1/1B1P2B1/4N3/5N2/PPP2PPP/R2Q1RK1 w - -,b5d7
6k1/5p2/3p4/p7/1p2b2P/nP5N/PK3B2/8 w - -,h4h5
r3rnk1/1ppq1ppp/1b1p1n2/pP2pP2/P1B3P1/2PP1N1P/5P2/R1BQR1K1 b - g3,d6d5
8/1p4pp/p3kp2/B2bp3/2r3P1/2PR1PK1/7P/8 w - -,h2h4
8/K6p/P1bkp3/6p1/3P1p2/1B5P/8/8 b - -,d6c7
8/p2n4/2N1r1pk/3nPp2/3P1P1P/1P4P1/P3K3/3R4 w - -,d1c1
rn1q1rk1/pppNppbp/4b1p1/3p4/3P1BP1/2N1PP2/PPP4P/R2QKB1R b KQ -,d8d7
r1b1nr1k/1p2qppp/p1pb4/P3p3/2B1PP2/1Q2B3/1PPN2PP/R4RK1 b - f3,e5f4
r3r1k1/5p1p/6pQ/p2pP3/1q1BnR2/6P1/P5KP/3R4 b - -,b4f8
r4rk1/pbppq1pp/1p2pn2/2nP1p2/2P2B2/P1Q3PN/1P2PPBP/R2R2K1 b - -,c5e4
3r1rk1/4pp1p/b5p1/p3qP2/2p1P3/2P3P1/P1Q3BP/3R1R1K w - -,d1d5
8/p3bk1p/1nn5/1Rp1pPp1/2PpP3/P5PP/4B2K/8 b - -,e7d6
4rbk1/1b1q1pp1/p4n1p/1p1pB3/1PrN4/PQN1P2P/4BPP1/2RR2K1 b - -,e8e5
6k1/r6p/3r4/p1qP1pp1/RpPRp1P1/4P2P/1Q3P2/6K1 b - -,f5g4
rnb1k2r/ppppq2p/4pbpQ/8/2P5/3P4/PP3PPP/R1B1KBNR w KQkq -,a2a3
8/7p/2n2k2/5p2/5K2/7P/8/2B5 b - -,c6e7
r4rk1/1pp1qppp/p2b1nn1/3Pp3/2Q5/1PN1P2P/PB1N1PP1/2RR2K1 b - -,b7b5
5rk1/1pq4p/2p1b1p1/p1b1pp2/P1P1P3/1PN3PP/2Q2PB1/3R2K1 w - -,g1h2
2r2r1k/1bq2pp1/p1pbpn1p/Pp6/1P1PN3/1R1BPN2/2Q2PPP/2R3K1 b - -,f6e4
2k5/1p1b1rbp/p2pp1p1/8/2P1P3/2P2B2/q2Q1PPP/2R1K2R b K -,a2d2
5r1k/6pp/2p5/p4q2/2PBRb2/1P1R1P2/P5K1/3N4 b - -,f5g6
r4rk1/pp1nn1pp/4q1b1/P2pPp2/3Q1PP1/4N3/1P2B2P/R1B2RK1 w - -,e2f3
r2r2k1/1p2bpp1/pqb1pn1p/4B3/3N4/1PN5/1PPQ1PPP/1K1RR3 w - -,d2f4
r2qk2r/pp1n1ppp/2p1pnb1/8/PbBPP1PN/2N2P2/1P5P/R1BQ1RK1 b kq -,e8g8
6K1/8/5P1k/4R1p1/8/8/6r1/8 b - -,g2f2
1r6/5p1k/p2P1p1p/5N2/8/P3P3/2r2PPP/3R2K1 b - -,c2d2
r2qr1k1/pp3ppp/2nb1n2/8/3P1pb1/2PB1N2/PP4PP/RNBQ1RK1 w - -,b1d2
r1b2k1r/p1q2p2/1p1bpn1p/2p1N3/2PP4/3B1R2/PP1Q1PPP/R5K1 b - -,d6e5
4r1k1/3b1p1p/1p1p2p1/pPpP2P1/2Pq1P2/P6P/6K1/1BQ1R3 w - -,e1e8
r1q2r1k/3n1Pp1/p3p1Q1/1p5B/8/1RP4P/5P2/1R4K1 w - b6,h5f3
r2qr1k1/1pp2pb1/3p2p1/1P2n2p/2P1N3/3PPQP1/5P1P/1RB2RK1 w - -,f3d1
1rq2n2/p5k1/2npp1p1/2p2rPp/1p3P1P/3PQ3/PPP1N1BK/4RR2 b - -,f5f7
r3kb1r/p1p2pp1/2p5/4P2p/4P3/2P2bP1/P1P1N2P/R1B1KR2 b Qkq -,f3e4
r1bqk2r/ppp3bp/5npn/4p1B1/4P3/2N2N2/PPP3PP/R2QKB1R w KQkq -,d1d8
4r1k1/1p3p2/3R2p1/4P1n1/p1PN2np/4R1Pq/PP3B2/4Q1K1 b - -,h3h2
2r3k1/2q2pp1/4p2p/2rnR3/ppNQ3P/1P4P1/P2R1P1K/8 b - -,c7c6
5rk1/2p4p/3p2p1/1q4P1/p6P/P7/5R2/4KQ2 b - -,b5b1
r1b4k/pp1n2r1/7p/1p1p1p1q/3P1P2/5N2/P1Q2PBP/R5RK w - -,c2c7
8/7p/p7/1p1k2P1/1P3K2/P4R1P/7r/8 w - -,f4g3
r2q1rk1/2nn1pbp/bp1p2p1/p1pP4/P3P2N/2N3P1/1PQB1PBP/R3R1K1 w - -,f2f4
3qr1k1/1b1n1pp1/5n1p/1P2p3/1b1p3N/7P/1PB1NPP1/2BQ1RK1 b - -,d7c5
r6r/6k1/3p1q1p/p1pP1bpR/4BP2/1P6/P2QP1K1/7R w - -,e4f5
1r2r1k1/p3q2p/P2ppn2/1Pp2p2/2P2P2/6R1/2Q2NPP/4R1K1 b - -,g8f7
4r2k/pp2q1rp/2pp1pn1/5Rn1/1PP1N1R1/3BQ3/P5PP/6K1 b - -,g6e5
8/5pk1/8/R6p/4P1K1/5P2/8/1r6 w - -,g4h5
r1bk3r/pp2ppbp/2p3pn/4P3/5P2/2Pn1NP1/PP4BP/RNB1K2R w KQ -,e1e2
r2q1rk1/pb2bppp/1p2p3/3n4/PnBP4/2N2N2/1P2QPPP/2BRR1K1 b - -,a8c8
r2rk3/p4pbN/p1p3p1/4Pb2/3P4/4B2P/P4PP1/1RR3K1 w - -,b1b4
4r1k1/p2b3p/5pp1/2PqB3/p2Q1PP1/7P/P7/R5K1 b - -,e8e5
4r1k1/pp3p1p/2p3p1/P3P3/2q4P/4Q1P1/1P3PB1/2Bb2K1 w - -,e3g5
8/1r3pk1/6p1/2Bp3p/3P4/1p2P3/5PPP/R4K2 w - h6,f1e2
2r3k1/p4p2/b3p1p1/2bpP2p/2pN1P2/1PP2R2/P5PP/3R3K b - -,g8f8
1qb2rk1/4npb1/p5p1/2pp4/6pP/P1nP2P1/2PB1PBN/4QR1K w - -,d2c3
r5k1/1b3r1p/p4PpB/2qpp3/2n1P2Q/3B4/2P1R2P/5R1K b - -,c4d6
2rr2k1/pp1b1ppp/2nRpn2/6q1/8/P1N1P1B1/1PQ1BPPP/R5K1 b - -,d7e8
8/2nk3p/pR4p1/3p1p2/1P1Nr3/P3P1PP/5K2/8 w - -,f2f3
rn1q1rk1/p4pp1/1ppbpn1p/5b2/2PPp3/1QN3P1/PP1N1PBP/R1B2RK1 w - -,d2e4
3Qnkq1/6P1/5P2/p2p4/1bpP4/1P6/1B1Nr3/2K4R b - -,f8f7
r2qkb1r/pp1np1pp/2p2n2/3p2B1/3P4/2NQ1N2/PPP3PP/R4RK1 b kq -,d8b6
1rb1k2r/4ppbp/p2p1np1/q1pPn3/2P1P3/2N1BP2/P2QBNPP/2R1K2R b Kk -,b8b4
r2qk2r/pp2n2p/n2p2pB/3Pbp2/3p4/2P3P1/PP2N1BP/R2Q1RK1 w kq -,c3d4
3r2k1/p1nr1pqp/1pb3p1/3P4/1P6/P1N1QP2/3R2PP/4RBK1 b - -,c6d5
3r4/p3qppk/1p1n2b1/2pR3p/4P2P/2B2PP1/PP2BK2/3Q4 b - -,f7f6
2r3k1/4ppbp/r2p2p1/5P2/3PP3/p1P3PP/P4RBK/1R6 w - -,b1b3
r1b1r1k1/1pbnqppn/p1p4p/2P5/N2BP3/1Q1B1N1P/P4PP1/2R2RK1 b - -,h7g5
r2q1k1r/pp2b1pp/2p2n2/4p3/4P1b1/1PNPBN2/1PP3PP/R2QK2R b KQ -,a7a6
3rr1k1/R4ppp/4bq2/1N6/4P3/Q3B2P/5PP1/3R2K1 w - -,d1d8
r2q1rk1/pppnbppp/2n1b3/4p1B1/3pP3/3P1NP1/PPP1NPBP/R2Q1RK1 w - -,g5e7
