8/p1R4p/6k1/8/1Pp5/2r2P2/P4P2/6K1 w - -,c7a7
r1b1kb1r/1pqp1ppp/p1n1pn2/8/4PP2/PNN1B3/1PP3PP/R2QKB1R b KQkq f3,d7d6
r2qk3/5p2/p2pb1rb/1p1Npp2/3nP2Q/N2B2P1/PPP2P1P/2KR3R w q -,c1b1
5rk1/R2R1p1p/6p1/1p6/3P2P1/3r3P/5PK1/8 w - -,a7b7
8/8/5nk1/R5p1/6P1/5K2/8/8 b - -,g6h6
1rbq4/6kp/p5p1/3p4/4rP2/8/PP1QB1PP/2KR3R w - -,c1b1
r6k/3q3p/pb1p1pn1/1p1P1N2/6Q1/P7/1PP1B1PP/5R1K w - -,g4g3
4rr1k/pb4p1/1p1pRn1p/8/3P1q2/P2Q1N2/BP3PPP/R5K1 b - -,b7e4
rnbqkb1r/pp2p1pp/5n2/2pp1p2/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq c6,d4c5
r1bq1rk1/1p1n2pp/p2bp3/3p1n2/3P4/2NBPN1P/PP1B1P2/R2QK1R1 b Q -,d8f6
8/5k2/2R3p1/p2r1P2/P2b4/4B3/4KP1P/8 b - -,g6f5
r4rk1/1pp1qppp/1n1b1n2/1P2p3/p1B1P1b1/P2P1N2/1BQN1PPP/R4RK1 w - -,h2h3
r1bq1rn1/1pp2pbk/3p2pp/p1nPp3/2P1P1P1/2N1BN1P/PPBQ1P2/R3K2R b KQ -,c8d7
r1bq1rk1/1p4pp/2n2b2/pB1ppp2/P6P/2P1PN2/1P3PP1/R1BQK2R w KQ -,f3g5
rq3rk1/pp1bbppp/2n1pn2/8/1P1P4/P1N2B2/4NPPP/R1BQ1RK1 w - -,g1h1
2r1r1k1/pp3pbp/q2pbnp1/n7/N3PN2/5PP1/PP4BP/R1BQ1R1K w - -,a4c3
8/4n3/1Rn2k2/8/1p2K3/1P6/8/8 w - -,e4d3
rn3rk1/pb2qppp/1p6/2Pp4/Q7/P3PN2/1P3PPP/2R1KB1R b K -,b6c5
4r1k1/1p3pp1/2p1q1p1/2Pb4/1p1P1Q2/3N1P1P/r5P1/1R1R3K w - -,d3b4
2r3k1/3b1pbp/1q1p4/1p1P1p2/1P4pP/3QP1P1/4NPB1/2R3K1 w - -,c1c8
r1b2rk1/2p2p1p/2p3p1/p2p4/1b1P1B2/1PN2QPq/1PP2P1P/R3R1K1 w - d6,f4c7
2Q1Rbk1/5pp1/7p/7P/1p6/1P3PPK/3q4/8 b - -,d2d6
r5k1/p1p3p1/b1p1qn1p/P3p3/2p1P3/2Q1BPP1/P6P/3R1BK1 w - -,d1c1
r1bqkb1r/3n1ppp/p1p1p3/1pPp3n/3P4/2N1PN1P/PP3PPB/R2QKB1R b KQkq -,g7g6
2r1r3/2qb1k1p/1pn3p1/p1b1pp1P/P1N5/1P2P1Q1/1B3PP1/1BRR2K1 w - -,g3h2
1r6/6k1/1nB3p1/1p1PPp2/5P2/2P4P/5B2/6K1 b - -,b6a4
1r4k1/1rn1ppbp/2Np2p1/q1nP4/4P3/4QNP1/3B1PKP/1RR5 b - -,a5a2
6k1/8/1b1pR3/1p3KP1/3r4/p4B2/6P1/8 b - -,g8g7
8/p4Bkp/b1pb2p1/8/8/2P3P1/PP6/3R2K1 b - -,d6c5
8/p2q3k/1pn3pp/8/P7/2Qp3P/6P1/5R1K b - -,a7a5
rn1qkbnr/1p3ppp/p2pb3/4p3/4P3/1NN5/PPP2PPP/R1BQKB1R w KQkq -,c1e3
3r4/6k1/3pR1b1/2p3P1/p1P2B1p/P1P5/7K/8 b - -,g6f7
6k1/3n1ppn/B1p1r2p/P1Pp4/N2Pp2q/4P3/2NQ1Pb1/R2K4 b - -,e6f6
1rb2rk1/2qnppbp/1ppp1npB/8/3PP3/2N2N1P/1PPQ1PP1/R3KB1R w KQ -,h6g7
4r2r/1pqn1kp1/p1p5/7p/3P1P2/5P1R/PP1B2Q1/R4K2 b - -,c7b6
5r2/3n4/3kpp1p/pp6/3PP3/P2K4/B5PP/2r2R2 w - -,f1c1
1r6/1p6/1N1p2pk/2pPp1q1/4PpB1/3P4/4KP2/1Q6 w - -,e2f3
r2q1rk1/pb1n1p2/2p1pn1p/1p4p1/Pb1PN2B/1Pp1PN2/2Q1BPPP/R4RK1 w - g6,e4f6
8/1p3rp1/2p1k2p/p3p2P/P7/2P2KP1/5P2/1R6 w - -,f3e3
3k4/1b2qppr/p4n2/1pp1pP1p/4P2P/2N1QB2/PPP3P1/1K5R w - -,a2a4
2kr2nr/1b3pp1/p3p2p/Ppnp2P1/3N1P1P/1PNB1P2/2P5/2KR3R w - -,b3b4
3r2k1/2n2pp1/4p3/Bp2q3/8/1Q2P2P/1P3PP1/2R3K1 b - -,d8d7
r2q1rk1/1b2ppb1/p1n3pp/1p1n4/3PN3/4BN1P/PP3PP1/R2QRBK1 b - -,d5e3
8/7p/4kp2/ppp3p1/4bP1P/P3N1P1/1PP1K3/8 w - -,h4g5
1r3k2/1p2nppp/2p5/1p6/5P2/2P2KP1/PPN5/3R4 b - -,e7d5
r3r1k1/pp1q1bb1/2ppnp1p/1P2pPp1/P1P3P1/3PB3/4NPBP/1R1Q1RK1 b - -,e6f4
8/8/2p2p2/2Nk4/1P2p1P1/n3K3/8/8 b - -,a3c2
4b3/bp4pk/2p2p1p/p4P2/2P5/1P2P3/PB1R1K2/5N1r b - -,h1h5
r4r1k/pp2qppp/2pb4/4n3/1P1p4/1Q1P1BP1/P2BPP1P/R4RK1 w - -,f3g2
r4rk1/pp3p1p/2pb4/3Pnp2/2PpB3/7P/PP3PP1/R1B2RK1 w - -,e4f5
7r/1p6/p3k3/2p1p3/4P1pp/6P1/PPP2K1P/3R4 w - -,d1d5
3k4/Q3p2p/1pqp2p1/4p3/2B5/2K5/5r1P/1R6 b - -,d6d5
2kR3r/p4ppp/1p2p3/2p1Pn2/2P5/P1B3PP/1P3P2/2K4R b - -,h8d8
1k1q3r/ppp2pp1/3rb2p/1B1p4/3P3P/6R1/PPPQ1PP1/2K4R b - -,d8f6
4r1k1/3R3p/1Bp3pb/7n/2P5/1PN4P/1P3RPK/4r3 w - -,g2g3
8/6Q1/7P/8/5q2/k7/6K1/8 b - -,f4e4
r2q1rk1/pbpn1ppp/1p1b1n2/3p2B1/Q2P4/P1N1P3/1P1NBPPP/R3K2R w KQ -,e1g1
5k2/p6p/6rP/3Rp1P1/1p6/1P3P2/1PP5/2K5 b - -,g6g5
r2qkbnr/pp1b1ppp/2np4/1BpN4/4Pp2/3P1N2/PPP3PP/R1BQ1RK1 w kq -,c1f4
8/4b1p1/4p3/4P1k1/K1pN2P1/8/8/8 w - -,d4e6
r1b2rk1/1pq1bpp1/p1n2n1p/2ppp3/4P3/2PP1NNP/PPB2PP1/R1BQR1K1 w - -,d1e2
2r1q1k1/n1p1p3/1p1rPp1p/p2P2pP/Pn1R1N2/1Q3N2/1P3PP1/2R3K1 w - -,f4g6
1r3r1k/p3p1b1/3pnnpp/q1p2P2/2P5/P5P1/1BQN1PBP/1R3RK1 b - -,e6d4
r3r1k1/1b3pbp/ppq3p1/P1pPp1Q1/4P3/1N3P2/1P2B1PP/3R1RK1 b - -,c6a4
3q2k1/p1r2ppn/1p1p3p/2rPpP1R/2P1P1P1/8/P2NQ2P/6RK b - -,f7f6
r1br2k1/pp2bppp/1qn1pn2/2p1N3/2P5/4P1P1/PB1P1PBP/RNQ2RK1 b - -,c6e5
r1r3k1/2b1npp1/1p2bq1p/2ppN3/3P1nP1/3B1N1P/PP2QP2/R1B1R1K1 w - -,c1f4
3r2k1/1p2qpp1/2p2n1p/1p2p3/1Pb1P3/r1PB1P2/P1R1Q1PP/R1N4K w - -,g2g4
r1bq1rk1/1ppnppbp/p2p1np1/4P3/3P4/2N2N1P/PPP1BPP1/R1BQ1RK1 b - -,f6e8
r5k1/5p2/1b4p1/8/6QP/r5P1/2R2PK1/8 b - h3,a3a2
5r2/2pq4/6k1/2Pn4/3P4/P3PPKN/3B3P/1Q6 b - -,g6h5
6k1/2p5/1p1n4/1P1P4/2Ppr3/3R2K1/6BP/8 b - -,e4e2
r1b1k1nr/1pqp1ppp/p1n1p3/2b5/3NP3/2N5/PPP1BPPP/R1BQ1RK1 w kq -,c1e3
1r6/2kn1ppp/p7/1p1np3/2p1P3/2P2P2/PP2N1PP/1K1R4 w - -,d1d5
1r2r1k1/ppqb1pbp/2p2np1/2P1pn2/1PNp4/P2P1NP1/1BQ1PPBP/R4RK1 w - -,e2e4
1r4q1/3k3r/pppP1Bb1/7p/N5pP/1P2Q3/1PP3P1/1K2R3 b - -,c6c5
8/8/2p4p/2k1p1pP/2P1PbP1/2K2N2/8/8 w - -,f3e1
r1bqkb1r/3n1ppp/p3pn2/1pp5/P7/5NP1/1PQPPPBP/RNB2RK1 b kq a3,c8b7
rnbq1rk1/pp3ppp/5b2/3Pp3/2B5/2N5/PP3PPP/R2QK1NR w KQ -,g1e2
r1bqk2r/pp3pp1/2n4p/8/1b1pn3/6PN/PP1NPPBP/R1BQK2R b KQkq -,d8a5
r3k2r/1b2bpp1/p3q3/1p5p/1Pp1PBn1/P2N2P1/2P1Q1BP/R4RK1 w kq -,d3c5
r1r2bk1/5ppp/1n2q3/p1ppP1B1/8/3Q1N2/PPR2PPP/5RK1 w - -,g5c1
r1b1kb1r/pp2pppp/1qn5/3n4/8/1N1B4/PPP2PPP/RNBQ1RK1 b kq -,g7g6:e7e6
8/8/1p1p4/p2P4/1PP2k2/2PK4/8/8 b - -,a5b4
1r3k1r/pp3p1p/4b3/3Bp2N/2P3P1/4q2P/P1Q1P2K/5R2 b - -,f8e7
8/8/8/8/6pp/3k4/5KP1/8 w - -,f2f1
3r2k1/pp3p1p/2p1bbpB/8/2PrB3/1P6/P4PPP/1R2R1K1 w - -,h6c1
3r1b1k/1q3ppp/1pPp4/p3p3/P1P1P3/4Q1P1/5P1P/2RR2K1 b - -,b7c6
8/8/2N5/1K6/4k3/8/2rn4/8 w - -,c6b4
r5k1/p2n3p/1p1p2p1/2pP4/4Pr2/1P1B1P2/P6P/R4R1K b - -,d7e5
6k1/5pp1/1p4np/4b3/7P/1P4N1/2r2PP1/1rBRR1K1 b - h3,e5c3
rn1qkbnr/pp3ppp/2p1p3/3p1b2/2PP1B2/2N1P3/PP3PPP/R2QKBNR b KQkq -,g8f6:b8d7
5bk1/5p1p/5n1p/pp2r3/5B2/P1n4P/1Q3PP1/6K1 b - -,e5e1
4b3/8/4P3/3BN1b1/3P3k/6pp/8/6K1 b - -,g5e3
r1bqk2r/pp2npbp/4p1p1/nP6/2p5/2N2NP1/3PPPBP/1RBQK2R w Kkq -,d1a4
8/8/4k3/4p3/3pP1p1/2rN2P1/3R1PK1/8 w - -,g2f1
r2br1k1/5p2/p1n1q1pB/1p2p3/3pP3/P2P1PP1/1P1QN3/R4K1R b - -,a8a7
rnbqkb1r/ppp1pppp/5n2/3p4/3PP3/2N2P2/PPP3PP/R1BQKBNR b KQkq -,d5e4:e7e6
1q1r1r1k/n2Bn1pp/1p1b1p2/p1ppp3/P3P3/N1PP1NP1/1PQB1P1P/R3R1K1 b - -,d8d7
r2q1rk1/pp1nbppp/3p4/3Pp3/P1P5/1PN1BQ1P/5PP1/R4RK1 w - -,a4a5
rnbqk2r/pp2npbp/2p3p1/3Pp3/8/1QNPB3/PP2PPBP/R3K1NR w KQkq -,e3c5
8/1p6/p4rpp/2b1k3/P1BnP1P1/1P3pK1/7P/1R2R3 b - -,f3f2
rnbqkb1r/1p3ppp/p1p1pn2/6B1/P1pP4/2N2NP1/1P2PP1P/R2QKB1R b KQkq -,c6c5
1q3rk1/2rbppbp/1Nnp1np1/1p6/4P3/4B1PP/1PPQNPB1/2R2RK1 b - -,d7e6
rnb1kb1r/p3pp1p/2p2Pp1/q7/8/2pB4/PPP1QPPP/R1B1K1NR w KQkq -,b2b3
8/5p2/1pk1p3/p2pPbp1/3P4/2P2K2/PN4P1/8 w - -,b2d1
1r1r1k2/4pp1p/1p1nb1p1/2p5/N1P5/1P1B3P/P4PP1/3RR1K1 b - c3,e6d7
2r2bk1/5p1p/1p2p1p1/p2pP1Pn/3P3P/1P3N2/3RQPKB/2q5 b - -,f8b4
7r/1p1nk1p1/p2bp2p/3p1p2/3P3P/2RBBPP1/PP3PK1/8 b - -,h8f8
1rq1k2r/3bnpb1/pp1p1np1/2pPp2p/P1P1P2P/2N1N1P1/1P1BBP2/R2QK2R b KQk -,f6g4
r2qk2r/pbpnbpp1/1p1ppn1p/6B1/3P4/3BPN2/PPPNQPPP/R4RK1 w kq -,g5f6
8/1p6/p4k1p/P3N3/5K2/7b/8/8 w - -,e5d3
rn3rk1/1B2bpp1/pq2p2p/1p6/3p2N1/2N1P3/PPQ2PPP/3R1RK1 b - -,b6b7
r4rk1/pq3ppp/np2pn2/1Nb1N3/2Pp1B2/1P4P1/P1Q1PP1P/3R1RK1 b - -,a6b4
r3k2r/ppqn1ppp/2pbb3/3p4/3P2Qn/2PB2NP/PP3PP1/RNB1R1K1 b kq -,h4g6
1k3r1r/ppp3p1/2nb4/3p4/1P1P2q1/P2Q2P1/5PB1/R1B1R1K1 w - -,c1b2
6rk/ppp1qp1p/1bn2B1r/4p3/4P1P1/1NP2Q2/PPB2PP1/R4RK1 b - -,h6f6
r2q1rk1/p2n1pbp/2pp1np1/8/4P3/2N2Q1P/PPB2PP1/R1B1K2R w KQ -,e1g1
3rr1k1/ppq2pp1/2pb4/3p1PP1/3P2n1/5p2/PPP2P2/R1BQRNK1 w - -,e1e8
2k5/1p1n1p2/p1p1p3/6p1/5q1p/PBQ2P1P/KPP3P1/8 b - -,d7e5
r1b1kn1r/1pq1bp2/2pp1n1p/p3p1p1/3PP3/P1PB1N1P/1PQN1PP1/R1B1R1K1 w kq g6,d4e5
8/2r3k1/3r2pp/pp6/3pB3/PP2nR1P/2P2RP1/6K1 w - -,f2d2
r2qnrk1/1p1bp1bp/p1p3p1/2Pp1p2/3P1P2/2NBP2P/PPQ3P1/R1B2RK1 w - f6,c1d2
rnbqkb1r/pp3ppp/3p1n2/2pPp3/2P1P3/3B4/PP3PPP/RNBQK1NR b KQkq c3,f8e7
2k1r3/1p5n/p1p1r3/3p3p/4pB1N/3P4/PPP5/4RRK1 w - -,d3e4
4r3/pp1nR1k1/2pp1pp1/6Pp/2PP3P/1P3P2/1PN3R1/3K4 b - -,e8e7
2kr2r1/1b1nqpb1/p2pp2p/1p4p1/P1pPP1P1/2PB1NN1/1P2QPP1/2KR3R w - -,d3b1
8/pp3rk1/2pR4/4n1Pp/1P2P3/2P5/P3K3/5B2 b - -,f7f4
r1b2rk1/1pq1n1b1/p2ppnpp/2p5/2P5/2N2NP1/PPQBPPBP/3R1RK1 w - -,d2f4
2r5/4kpp1/4p1np/1b6/2N1PP2/1PK3P1/7P/2R2B2 w - -,c1a1
4r3/2b4k/4r1pp/p2p1p2/Pp1P1P1q/1Pp1PP1P/4R1Q1/2B1R2K b - -,c7f4
8/4r1kp/6p1/8/1R2N1n1/4P3/5PK1/8 w - -,e4d6
rnbqk2r/pp3ppp/4p3/3pPn2/1b1P4/2P2N2/5PPP/RNBQKB1R b KQkq -,b4e7
8/1R6/6pk/6p1/5r2/6K1/8/8 b - -,f4a4
r3r1k1/1p3pp1/p1b2q1p/4R3/8/4QN2/PPP2PPP/2K4R w - -,h1e1
2r3k1/p4pp1/7p/8/3NPP2/1P1R4/P5nP/1K6 w - -,d4f5
3r2k1/pqb2npp/b1p2p2/2PppQ2/1P5P/P3P1P1/1B3PB1/R3R1K1 w - -,f5e6
1r3k2/p3b1pp/1p2Rp2/8/5P2/5BP1/PP1r1P1P/2R3K1 b - -,d2b2
r7/2n3k1/1n2p3/p1Np2p1/3P4/1P1BP1KP/8/5R2 w - -,g3g4
3r1rk1/p1q1bppp/8/1pp1R3/5P2/P3P3/1PQ2PBP/R5K1 b - -,a7a6:e7d6
r2q1rk1/1b1n1ppp/p2p4/1p2p2Q/4PP2/P1NBR3/1PP3PP/5R1K b - -,e5f4
8/R1rk1p2/3bp1p1/7p/3P3P/3KB1P1/5P2/8 w - -,a7a6
3r1bk1/5ppp/4p3/1R6/1n1N4/1P2P1P1/1r3PBP/5RK1 b - -,b4c2
q4rk1/5pp1/2PR3p/8/3Q3P/6P1/5P1K/8 b - -,a8c8
8/6k1/8/3qP1K1/3N1Q2/8/8/8 w - -,f4f6
3r4/2pr2k1/p1P4p/1p1P2pB/3b4/6P1/P1b2PP1/4RRK1 w - -,c6d7
1r3rk1/5ppp/1nnqp3/1pNp4/1P1P1P2/2P5/3NQ1PP/R4RK1 b - -,b6c4
3rq1k1/1p2pp2/4nbp1/P6p/2Pp4/4N1BP/Qr3PP1/R2R2K1 w - -,a2b2
r4rk1/p2bppbp/np1n2p1/q2PP3/2p5/P1N4P/1P1N1PP1/RQB1RBK1 b - -,d7f5
r1bq1rk1/p3bppp/1pn2n2/2pp4/3P4/1P1BPN1P/PB3PP1/RN1Q1RK1 b - -,c6b4
4qrk1/1p1b1pb1/r2p3p/p3p1pP/2PpP1P1/2N1B3/PP2BP2/R2QK1R1 w Q -,c3d5
1B4k1/5p1p/5n2/p5p1/B2PP3/2p3P1/bb3P1P/4R1K1 w - g6,b8c7
1b1r1rk1/1p3qpp/8/1QPppp2/8/1P2P1P1/PB1R1P1P/5RK1 b - -,f5f4
2r2rk1/1p3pp1/p5b1/P1pPq1p1/1PP5/4Q3/4BPPP/2RR2K1 b - -,e5e3
1b1rr1k1/1p3ppp/1PbBp3/pBP5/P7/8/5PPP/R2R2K1 w - -,b5c6
R7/2r1k2p/2P2np1/N2p4/3K4/6P1/7P/8 b - -,e7d6
r1b2rk1/1p4b1/2P1qnpp/p2p1p2/3P4/1NN1PBP1/P6P/2RQR1K1 b - -,b7c6
6k1/1pr2pb1/p6p/2p1q1pP/P2pP1P1/3Q4/N3BP2/1KR5 w - -,d3b3
r2qk2r/p5p1/2nbp1p1/1p1p1nP1/2pP1PQ1/2P2N2/PP5P/R1B1NRK1 w kq -,c1d2
r1b1k1nr/p1p2ppp/2pp2q1/2b5/4P3/2N3Q1/PPPB1PPP/R3KB1R b KQkq -,g8f6
8/3k1p2/2R3p1/3p4/2pP4/r7/4KPP1/8 w - -,c6f6
r1bq1rk1/pp2bp1p/2n3p1/3pPp2/3P2P1/2PB4/2Q4P/RNB2RK1 w - -,g4f5
2k5/3R4/2PP2r1/3p4/8/8/1K6/8 w - -,b2b3
8/3n1k2/pb2p2p/2p1p1p1/2P1P3/2B2PP1/1P2BK1P/8 w - -,e2d1
8/4rpk1/pp1R3p/2p1r3/3p4/P2P2P1/3B1K1P/5B2 b - -,e5e6
2kr1bnr/ppp3p1/2n5/q3pb2/7p/2NP1N1P/PP1BPP2/R2QKB1R w KQ -,a2a3
2kr4/p5b1/1q5p/5pp1/1p1p4/1N2n2P/PPPN1QP1/1K2R3 w - f6,g2g3
2rqkb1r/Nb2pp1p/p1n2np1/3pN3/Q2P1B2/4P3/PP3PPP/R3KB1R b KQk -,d8a5
r5k1/2qn1pbp/p1nNb1p1/2P1p3/3p4/1N4P1/PPQB1P1P/2R2RK1 b - -,f7f5
2k1r2r/ppq1npb1/1np1p1p1/3pP1Bp/PP1P3P/1QPB2N1/5PP1/1R2R1K1 w - -,a4a5
r4rk1/2p2pp1/pb1p4/1p2pPP1/4N3/1P1P1Q2/1Pq4P/R1B4K b - -,d6d5
r1bqkb1r/pp1n1ppp/2p2n2/3p4/3P1B2/2N2N2/PP2PPPP/R2QKB1R w KQkq -,e2e3:d1c2
r3kb1r/1bq3pp/p3pn2/1pn3N1/2p1P3/2N5/PPB2PPP/R1BQ1RK1 w kq -,c1e3:e4e5
8/5pk1/8/1pR4p/1P2NK1P/r1P2P2/8/5b2 b - -,g7g6
1nk2r1r/Qpp2pp1/3n4/1PN5/2PR4/4qNP1/P3P2P/5RK1 w - -,g1g2
r2q1rk1/1p2ppbp/nnbp2p1/pN6/2P1PP2/P1N1BB1P/1P2Q1P1/1R3RK1 b - -,a8c8
r2qr1k1/ppbn1p1p/2p3p1/5p2/PPNPn3/4P1P1/2Q2PBP/R1B2RK1 w - -,b4b5
rnbq1rk1/5pbp/p1pp1np1/1p6/3PP3/2N1BP2/PP2N1PP/R2QKB1R w KQ -,e2f4:d1d2
8/3kp3/6B1/3p2B1/r6P/6K1/5P2/8 b - -,d5d4
r4rk1/1p2bpp1/p1n1b1p1/3p4/2p2B2/P1P1PN2/1P2BPPP/3R1RK1 w - -,f3g5
2k1n2r/pp6/2bq1bp1/3p2Bp/3P4/P1N2N1P/1P2QPP1/R5K1 w - -,a1e1
rn3rk1/3p2pp/4p1q1/1BpbN3/P7/2B1bR2/1P4PP/R2Q3K b - -,d5f3
r2q1rk1/1p1bbppp/p1nppn2/8/3NPP2/2N1B3/PPP1B1PP/R3QRK1 w - -,e1g3:a2a4
2k2rr1/pqn4p/1p1p2p1/2pPppBn/2P1P3/R1P2P2/PQ1K1P1P/1R1B4 w - -,g5e7
1k1rr3/pppqnpp1/2nb3p/3p4/1P1P3P/1NPNB3/P1Q2PP1/2KR3R b - -,e7f5
r1bqkb1r/pp1n2pp/4pp2/2ppP3/1n1P4/5N2/PPPNBPPP/R1BQK2R w KQkq -,c2c3
1r3rk1/1p2qp1p/3pp1p1/1P3n2/8/2pPP1P1/5PBP/1R1Q1RK1 w - -,d1b3
8/8/p3p3/2k3p1/8/5K1P/P7/8 b - -,c5d4
r4r1k/4q1bp/b1p3p1/p3pp2/P3P3/2P1QN2/2B2PPP/R2R2K1 b - -,f5f4
2kr1n1r/ppp3pp/4bp2/4p3/1PB1P3/2P5/P1KN1PPP/3R3R w - -,h1e1
6k1/p5p1/1p2p2p/1P1b4/3P4/P2N3P/6P1/6K1 b - -,d5c4
5rk1/pb2qppp/1p1r1b2/2pP4/2B5/4PN2/PP3QPP/R2R2K1 w - -,d1d2
4b3/4k1p1/3R2p1/4P3/2r4P/4K1P1/8/8 b - -,e8f7
rn2k2r/1p2bppp/p2p4/3QpP2/2q1P3/1N6/PPP3PP/R1B2RK1 b kq -,c4d5
rnb2rk1/ppq1ppbp/2pp1np1/8/P2PP3/2N1BN2/1PP1BPPP/R2Q1RK1 b - -,f6g4
r1b2k2/1p2b2p/p4p2/4p3/P1N4R/6P1/1PP3BP/7K b - -,c8e6
2R5/p4p1p/2p1k1p1/1pP1b3/8/4B3/r4PPP/2K5 w - -,f2f4
6k1/3bppbp/1rNq2p1/1p1P2Pn/5P2/2P1BQ2/r1P3BP/1R3RK1 b - -,b6b7
4rb2/1p3k1p/5pp1/2PR4/rP1Rp1P1/8/4PK1P/2B5 b - -,e8e5
5k2/7p/3pp3/1K2n1p1/3Bn3/2P3N1/P1P3PP/8 b - -,e4g3
1r6/p1p2pk1/4pp1p/1Bb5/2P3P1/1P6/P6P/1K5R b - -,b8d8
3n4/p4k2/1pn4p/2p1PB2/2P1K2B/P1P5/8/8 w - -,f5g4
r1r3k1/pp6/4p1bp/3nP3/P2PQ3/8/3q1PPP/1B3RK1 w - -,e4g6
r2qk2r/p2n1ppp/Q3p3/3p4/1b6/5NP1/N3PPBP/2B2RK1 b kq -,b4e7
8/8/6P1/5K2/3p2rp/2k4P/8/8 w - -,f5g4
r3k3/pR3p2/8/2pp4/5pb1/8/P4KP1/8 w - -,b7c7
r1bq1rk1/2p1p1bp/pp1ppn2/7p/Pn1PN3/3BBN2/1PP2PP1/R2QK2R w KQ -,e4f6
8/3k2p1/3p3p/1p1NnPP1/1P2PK2/8/8/8 b - -,e5f7
r5k1/1pqr2Pp/p1p3n1/5b2/3B4/2R4P/PP3QP1/5RK1 w - -,f2f5
r2q1Bk1/1p2p2p/5pp1/p2P1b2/Pn1N4/8/1Q2BPPP/5RK1 b - -,g8f8
8/p2Q1kp1/2P1p2p/8/8/6PP/qr4BK/8 b - -,f7f6
R7/5p1k/4p3/7p/7P/P7/r4P2/6K1 b - -,h7g6
8/1P4p1/8/P4k2/1K1b4/8/2r3p1/3R4 b - -,c2b2
r1bqk2r/1p1nbpp1/p2p1n2/2pPp2p/2P1P3/2NBBP2/PP2N1PP/R2QK2R b KQkq -,d7f8
5bk1/5p2/8/pnp1r3/N4R2/P7/1P4PP/5K2 w - -,a4b6
r5k1/pp2bp1p/3p2p1/P2P1b2/1B2p3/1P2P1P1/4BP1P/2R3K1 w - -,c1c7
5rk1/5p1p/3p2p1/3P1b2/B7/2Q2P2/1PPKR2P/6q1 b - -,g1g5
r1b1k2r/ppq1bppp/2nppn2/8/4PP2/1NNBB3/PPP3PP/R2Q1RK1 b kq f3,a7a6
3B1k2/3n2pp/p1NP1p2/1p1n4/1PpP4/P5P1/5P1P/4rK2 w - -,f1e1
r2r1k2/pp4pp/2n4n/b5N1/5Bq1/1QP5/P4PPP/R2R2K1 w - -,g5h7
8/p7/1b6/4k3/7p/1P1K4/1P2N2r/3R4 w - -,d1f1
8/ppR2pkp/2b3p1/6P1/P3pK2/7P/5P2/8 w - -,a4a5
8/5p2/r7/P5kp/R4p2/5P2/6PK/8 b - -,g5f5
