8/1B6/4pk2/5p2/1bP5/1P6/2K5/8 b - -,f6g5
r4rk1/6bp/b1n1p1p1/qp6/p2PPN2/4B3/P1B2PP1/1R1Q1K1R b - -,f8f4
8/8/5K2/3k1P2/8/8/3r4/7R w - -,h1e1
2kr3r/pp3pp1/2p1p1bp/q1b1P3/5PP1/1PN1B3/1PP1Q2P/1K1R1R2 b - -,c5e3
7R/8/4p3/5pk1/6p1/6P1/rr5P/2R2K2 b - -,b2h2
r2q1rk1/1p1bppbp/p1np1np1/8/P3PP2/1NN1B3/1PP1B1PP/R2Q1RK1 b - -,d7e6
8/1p1r2k1/2p2p2/p1p2Pp1/P1P1P1P1/3P4/4K3/7R w - -,e2e3
8/4r2k/p4p1p/1p2q3/8/P2QBP1P/1P4P1/6K1 b - -,h7g7
r1bqk2r/pp3pbp/2npp1pn/2p5/4PP2/2NP1NP1/PPP3BP/R1BQK2R w KQkq -,e1g1
rn3rk1/p4ppp/bp1Qpn2/8/3P1B2/Pq3N2/1P2PPPP/R3KB1R w KQ -,d6b4
r3r1k1/pp1b2pp/3qp3/3n1p2/3P3R/1P1B4/PB3PPP/R2Q2K1 w - f6,d1h5
2r3k1/4ppb1/3p2p1/Nq4Pp/1P1BP2P/3n1P2/1P1Q2K1/R7 w - -,d4c3
r2qr1k1/ppp2p1p/1n1p2p1/8/2P1PP2/1P4PP/1Q4B1/R4RK1 b - -,f7f6
r4rk1/ppp2pp1/1b1P3p/1N2p3/4P2B/1b6/PP2BPPP/2R4K w - -,a2b3
1rb2rk1/p3qpp1/2p4P/2bppP2/2P1n3/3B1Q1P/PP2N3/1RB2R1K b - -,e7h4
r1b1k2r/ppppnppp/1bn2q2/8/4P3/1NN5/PPP1QPPP/R1B1KB1R w KQkq -,c1e3:h2h4
2r2rk1/pb1nqppp/1pp1pn2/3p4/2PPP3/1PN2NP1/P1Q2PBP/R2R2K1 b - e3,d5e4
5rk1/5pp1/1qp1p1P1/p1bpP2p/7P/1NP3Q1/PP3r2/1K1R3R w - a6,b3d2
1r3rk1/p2bppb1/2pp1np1/qp4Bp/2PPP2P/2N2PP1/P2QN1B1/R3K2R w KQ b6,c4b5
r3k2r/1bqnbppp/2p1p3/1pPpP3/pP3P2/6P1/PB1NP1BP/R2Q1RK1 b kq f3,g7g6
5r1k/bB4pp/p4n2/P3q3/1P6/3QP1PP/5PK1/2RR4 b - -,a7b8
8/6p1/4Kp1p/5N1P/5kP1/b7/8/8 w - -,e6f7
r4rk1/1n4bp/1pppbpp1/4p3/2P1PP2/1PN3P1/P3N1BP/3R1RK1 w - -,f4f5
1rr3k1/3bnpp1/3qpn1p/1p1p4/1P1P4/2PN1B2/2NQ1PPP/3R1RK1 b - -,e7g6
r7/4R2p/p3ppk1/1p6/2pBbP2/P1P5/2P3PP/6K1 b - -,e4d5
8/4k3/2p1n1p1/2K1N1Pp/p1P4P/P4P2/8/8 w - -,c5c6
1k1r3r/pp3p1p/1qn1p2b/3p1p2/3P4/2PQ1N1P/PP1N1PP1/1K2R2R b - -,d8c8
5rk1/pp3p2/n1p3p1/4RnP1/2P5/8/P4PB1/3R2K1 w - -,d1d7
6k1/5pp1/6qp/3bb3/1p2p3/4P3/1P2BPPP/2BQ2K1 b - -,g6c6
2b2b1r/rpN2k2/p1n2N1p/3R4/6p1/6B1/PP3PPP/3R2K1 b - -,f7f6
8/4n1k1/6BP/6K1/8/4N3/8/8 b - -,g7h8
2r1r1k1/1bq2p1p/pp1ppbpB/8/3NP3/1nPQ3P/PP3PP1/3RR1K1 w - -,a2b3
rnbq1rk1/4bppp/p1pp1n2/1p2p3/2P1P3/2NPBN1P/PPB2PP1/R2QK2R w KQ b6,e1g1
r3n1k1/1r2ppbp/2Np2p1/3P4/Q1p1P1P1/2P1BPKP/P3R3/3R4 b - -,a8a4
8/7p/6p1/2kp4/4N3/4K1PP/P7/8 b - -,d5e4
4rbk1/1R1R2B1/r6p/8/7p/4P1K1/5P2/8 w - -,g3h4
5rk1/6pp/8/4Qb2/5P2/P3B1R1/7P/1q2K3 w - -,e1f2
2r2k2/3b1pp1/3p1b2/1prP3p/1N1p3P/P2B2P1/1PR2P2/2R2K2 b - -,g7g6
1r3rk1/p1pp1n1p/7P/1p1pP3/1P3pP1/7R/P1PB4/2KR4 w - -,d2f4
2rq1rk1/pp1bnp1p/4p1p1/4N3/3P4/P2B3R/1P3PPP/R2Q2K1 b - -,f7f6
3r4/1p3PR1/3r1nP1/1k1p1B2/1bpP4/4P3/1P1BK3/7R w - -,f5c2
3r3k/pp3pRp/8/7N/6p1/1P6/P4PPP/6K1 w - -,g2g3
3q2k1/pp1n3p/2p1p3/2PpPp2/3P1P1r/5K1Q/PP2N2P/R7 w - -,a1g1
1r6/1P3kpp/4p3/p1p5/8/5K1P/1R6/8 w - -,f3e3
3bk3/p4p2/6r1/2Np1N2/3P1n1p/8/PP3P2/1K3B1R b - -,g6g5
rnbqk2r/pp3ppp/2p5/2bp4/3P2n1/4pNPN/PPP1PPBP/R1BQK2R b KQkq -,e3f2
8/pp5k/2pp3p/7b/1PP5/2QP1qN1/P6P/6K1 b - -,f3d1:f3e3
r7/8/5k2/6p1/1pBR4/1P5P/2r3PK/8 w - -,d4d6
3r1r2/pp2k1pp/2p2n2/4p3/4P3/2N1KPP1/PP4P1/R2R4 b - -,d8d1
r1bq1rk1/pp2ppbp/2n2np1/2p5/3pNP2/3PPNP1/PPP3BP/R1BQ1RK1 b - -,f6e4
r2q1rk1/pp2bppp/2n1pn2/3p2B1/3P2b1/1QPB1N2/PP1N1PPP/R4RK1 b - -,d8c7
r1bq1rk1/pp1nbppp/2p1pn2/3pN1B1/3P4/3BP3/PPPN1PPP/R2QK2R w KQ -,d2f3
rn2kb1r/pp3ppp/2pqpnb1/4N3/2BP2P1/2N5/PPP2P1P/R1BQK2R w KQkq -,h2h4
5rk1/r2nb1pp/1q2p3/p1p1p3/2PpP3/3P1N1P/1P1B1PP1/R2QR1K1 w - -,d1a4
8/3b2k1/4p2p/1p1pPp2/1P3p1P/2P5/4N1K1/8 b - -,g7f7
rnbq1rk1/ppp1ppbp/5np1/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQ -,g5f6:e2e3
3r2k1/5ppp/3p4/Q2Rp3/4Pq1P/5P2/1P4PK/8 w - -,h2h3
2r2rk1/2pqbppp/bp1p2n1/p2Pp3/3PP3/P3B1PP/1PQ1NPB1/2RR2K1 w - -,h3h4
1r6/2n4p/p1k2p2/2PpbPpP/PPbBp1P1/4P3/1R3K2/4R3 b - -,h7h6
r1bq1rk1/pp3pbp/2n1p1p1/8/2BP4/B1P2N2/P4PPP/R2QR1K1 b - -,f8e8
3r2k1/4pp1p/6p1/p1q5/P3P3/1Pp2P1P/2Br1RP1/2R1Q2K b - -,d2f2
8/8/7p/6k1/P4p2/5r1P/R6K/8 w - -,a4a5
8/1pr2pk1/3p2p1/1R4N1/4PP2/1P3K2/6PP/6b1 w - -,f3g3
3k1b2/3r3p/p2prp2/2pR2p1/2p1P1P1/P1P2PBP/1P1R1K2/8 w - -,f2e1
5rk1/p5q1/1pp1p1Q1/6P1/2PP4/4R2P/P4r2/4R1K1 w - -,g6e6
4rb1r/1p3k1P/4np2/p1P1nQ2/P1P3p1/4P2R/5P2/5KR1 w - -,h3h4
6k1/5pb1/1nq1n1p1/1p6/2p3P1/2P1BP2/1P2Q3/4NNK1 b - -,b6d5
8/4b1k1/1p4p1/1P2PP1p/4K2P/6P1/4B3/8 b - -,g6f5
4r1k1/2br1b1p/p1p2p2/Pp4p1/3PP3/2B2PPP/3R1K2/R4B2 w - -,c3b4
8/7p/4K2k/6p1/2R4P/6P1/5n2/8 w - -,e6f5
r2qk2r/1b2bp1p/pn2pp2/1p6/3P4/1BN2N2/PP2QPPP/R2R2K1 w kq -,d4d5
r1bqk1nr/1p3p1p/p2bp1p1/2p1P3/5P2/3B1Q2/PPPP2PP/R1B2RK1 w kq -,e5d6
7k/p6p/1p6/8/2P5/6P1/PPR3KP/4r3 b - -,a7a5
r1b2k2/8/pp2p2r/3p4/1P1n4/P2NRPP1/2B3P1/5RK1 w - -,c2d1
2r3k1/p3p3/3p2p1/1p1P1n1p/4rP2/1PB2RP1/P2R3P/6K1 w - -,c3b2
6r1/5k1Q/2n5/p5p1/1p6/7P/1P3PP1/6K1 b - -,g8g7
2kr1b1r/ppp2ppp/2n1pn2/3q3b/3P4/4BN1P/PPP1BPP1/RN1Q1RK1 w - -,c2c3:b1d2
6k1/2n2pp1/3qp3/p2pNPQn/3P4/2P5/1r4PP/4R1K1 w - -,g5h5
8/8/8/8/r4pR1/7K/5k2/8 b - -,a4a3
6rk/6rp/Q4b1n/1pp1pPq1/8/1PP4P/P3R1BB/5R1K w - -,e2f2
8/1p2rkp1/p1p1npp1/B1P5/1PNn3P/P2R2P1/5P2/5K2 b - -,e7d7
3r4/1p1rnp2/p4kpp/3p4/3N2PP/1P2P3/P1R2PK1/2R5 b - -,f6e5
r1bq1rk1/ppp2pb1/5npp/8/2Pp4/2N3P1/PPQ1PPBP/R1BR2K1 w - -,e2e3
8/p1p2pp1/3k2p1/1p6/1P2bP2/P1K1N2P/6P1/8 b - -,c7c5
r1r3k1/1p2ppbp/3pN1p1/8/1nP1P3/1P2BP2/3RB1PP/1R4K1 b - -,f7e6
8/5rk1/3q3p/2pp1pnQ/R4N2/6P1/4P1KP/8 b - -,d6c6
3rr1k1/ppqn2pp/5p2/2pP1P2/3p2P1/P2p1P2/1PPB1Q1P/3R2RK w - -,c2d3
8/3r1k2/5b2/5n1p/4R2P/2R2PPK/8/8 w - -,c3c5
r1b1r1kb/2qn3p/1pp2ppB/2p1pP2/p3P1P1/2NP1N1P/PPPQ4/2KR1R2 b - -,b6b5
8/8/R7/4nkp1/8/7P/3r2PK/6N1 w - -,a6a5
r1bqk2r/pppnppb1/1n4pp/8/3P3P/2N2NP1/PP2PPB1/R1BQK2R b KQkq -,c7c5
2rq1rk1/1p1bppbp/2np2p1/p1n5/P1P1PP2/1PN1B1PP/4N1B1/1R1Q1RK1 b - -,c6b4
8/pp1k4/3P4/4p1r1/4K2p/8/PP3RPP/8 w - -,e4d5
3rkr2/1p2b1pp/p7/4P3/3P4/1BN1KNP1/1P5P/7R w - -,c3d5
r1r3k1/1p5p/1R1p1qp1/3Pbb2/4QN1P/4B1P1/4PPK1/7R w - -,e4b4
8/1p1k2p1/p1q1pp1p/8/1P2P2P/P2Q2P1/5PK1/8 b - -,d7c7
2b2rk1/1r2n2p/1qn1pbp1/1p1p4/1P1P1B2/2NQ2P1/4NPBP/1R1R2K1 b - -,e7f5
3r1rk1/1bp1q1np/p3p1p1/4P3/8/P1Np3P/2PQ2P1/1NKR1R2 w - -,f1f8
r1b2rk1/1pq1bppp/p2ppn2/5P2/2nNP3/1BN2Q2/PPP3PP/R1B1R2K b - -,b7b5
8/2k2pp1/n3p2p/8/P7/1K4P1/2N2PP1/8 b - -,a6c5
r3n3/1r3pk1/1bN1p2p/3nN1p1/p7/B7/2R2PPP/2R2K2 w - -,e5d3
8/2bk4/p3pnp1/3p4/P2PnPPP/4PK2/1PR5/4B3 w - -,b2b4
7Q/1p6/p3pk2/5p2/P2Pp3/1q2P1KP/5P2/8 b - -,f6f7
r3r1k1/p1qnbp1p/1nbp2pB/4p3/p3P3/2NB1N1P/1PP2PP1/R2QR1K1 w - -,d3f1
r1bq1rk1/1p2bppp/p1n1pn2/2ppN3/3P1B2/2PBP3/PP1N1PPP/RQ2K2R b KQ -,h7h6
r1b2rk1/p3b1pp/2pq1p2/3p4/N2Qn3/1P2P1P1/PB2BP1P/2R2RK1 b - -,c8d7
2rqk2r/pb1nbppp/1p2p3/3n4/2NP4/3B1N2/PP1BQPPP/R4RK1 b k -,d7f6
r2q1rk1/pppnnpbp/3p2p1/3Pp3/2P1P3/2N1BN2/PP3PPP/R2QK2R b KQ -,h7h6
6r1/pp6/5R1p/3p4/1P6/2P1k1pP/PK6/5B2 b - -,g3g2
3r1bnk/1pqr1pp1/2p1p2p/p3P2Q/4B3/PPP3P1/5P1P/2B1RRK1 w - -,e4c2
r1bqk2r/1p2npb1/p2p1npp/P1p1p3/4P3/2NPBN1P/BPP2PP1/R2QK2R w KQkq c6,e3d2
rq5r/1p1nbpnk/2p1p1p1/p3P3/P2PNBP1/3N4/1P1Q3P/2RR2K1 b - -,b8d8
5N2/8/5p1p/1k1n2p1/1P6/P6P/5KP1/8 w - -,f2f3
6R1/8/4p1p1/6Np/2kn1P1P/6PK/1r6/8 b - -,d4e2
r1bqkb1r/5p1p/p1np4/1B1Np3/4Pp2/N1P5/PP3PPP/R2QK2R b KQkq -,a6b5
3r2k1/5pp1/1q2pn1p/8/1p1b4/1B5Q/1P3PPP/3RBK2 b - -,f6d7
rnbqkb1r/pp1ppppp/1n6/4P3/2p5/1BP5/PP1P1PPP/RNBQK1NR w KQkq -,b3c2
8/8/p7/1p3k2/5p2/r4b1P/B4P2/4R1K1 w - -,a2e6
8/8/8/2P2Rp1/4k1P1/2r5/6K1/8 b - -,c3c2
8/2rn1pk1/7p/1R1B1K2/8/7P/6P1/8 b - -,c7c5
2r3k1/p2q1pbp/1p4p1/4p3/P1R5/3PB1P1/4PP1P/1Q4K1 w - -,b1b5
3rrbk1/5pp1/p3qn1p/P1p5/1n1Pp1N1/4B1NP/1P2QPP1/R2R2K1 b - -,f6d5
5rk1/p2q2pp/4pp2/Pp1b4/2rP4/R1P2PB1/3Q2PP/4R1K1 b - -,f8c8
r4r1k/p7/3p1pq1/2p1pR2/1p4P1/1P1P3P/1PPQN2K/8 w - -,e2g3
2r2bk1/1pq4p/pn1p4/3bp1P1/1PP1Q3/3B4/P2B3P/5R1K w - -,c4d5
1q3b1r/3k1p1p/p2p4/Q3p3/4B3/2P5/P4PPP/5RK1 w - -,f1b1
r4rk1/3q1ppp/pp1N4/2p5/P4Qb1/2P5/1P3PP1/R3R1K1 b - -,g4e6
1r3Rk1/ppq3pp/4b3/5p2/2P5/P4B1P/1P1Q1PP1/2KR4 b - -,b8f8
6k1/2p5/1p1nB2p/p5p1/2P2q2/1P6/P5K1/Q7 b - -,d6f7
r3k2r/1p2pp1p/p1n1b1p1/3p4/2PP3N/PPKB2P1/5P1P/R1R5 b kq -,e8g8
3rr3/1p2qpkp/2pp1np1/p3p1Q1/Pn1PP2N/2N4P/1PP1RPP1/3R2K1 b - -,g7h8
r3k2r/2pq1pp1/pp2p3/3pPnNp/P2P4/2PQ4/1P3PPP/R3R1K1 b kq a3,a6a5
rn1q1rk1/pb3ppp/1p2pn2/2b5/8/1P3NP1/PB1NPPBP/R2Q1RK1 w - -,d2c4
8/8/2kbp1rp/2p2p2/1pP5/pP4PR/P4KP1/7R b - -,d6f8
r1bq1rk1/pp2npp1/4p2p/4N3/P1BP4/2PR4/4QPPP/R5K1 b - -,d8c7
rnq2rk1/1pp2ppp/3p1n2/p1b1p1N1/2P3b1/1PN3P1/PB1PPPBP/R2Q1RK1 b - -,c5d4
4r2k/pp1N2pp/2p2r2/8/3q3b/3B3Q/PPP5/1K5R w - -,c2c3
5r1k/6pp/2p4q/p3Q1b1/2NP2b1/P4BP1/1B3K1P/4R3 w - -,f2g1
r3k2r/1bq2pp1/pn1p1b1p/1pp1pP2/4P1NP/1PPPB1P1/P5B1/R2Q1RK1 b kq -,d6d5
1r2nr1k/2q1b1pp/p3p3/2p1P3/2PpbPQB/1B1R4/PP2N2P/5RK1 w - -,d3d2
5r2/5k2/3p1N2/nP2pP1p/P5pP/1B4P1/8/3R3K b - -,a5b3
r2qk1nr/pp3pbp/2n1p1p1/3pP3/3P2b1/2N1BN2/PP3PPP/R2QKB1R w KQkq -,d1b3
3r2k1/1p1n1p1p/p2b3q/1P1P4/P1R2p1P/1B3Q2/5PP1/6K1 b - -,d7e5
1r3rk1/3Rbppp/p7/2p1P3/b1p5/P3B2P/1P3PP1/R5K1 w - -,d7e7
8/1R6/5pk1/6p1/5r2/6K1/8/8 b - -,f4a4
8/1r4pp/1p1kp3/2p5/p1PnR3/P3N2P/1P3PP1/5K2 w - -,e3d1
8/1Q6/5K2/r7/4p3/8/5nk1/8 w - -,b7g7
8/3k2PK/8/8/4R3/8/8/7r w - -,h7g6
r3kbnr/1p3ppp/1np1p3/p7/P1p5/2Nq1PP1/1P1P1PBP/R1BQR1K1 b kq -,f8b4
3r1rk1/ppq1bppp/8/2pb4/P3P3/1Q3N1P/1P3PP1/3R1RK1 w - -,e4d5
1q2r1k1/2b2pp1/2p1n1p1/1pPp3n/1P1P3P/5PP1/4NBK1/1B1Q1R2 b - -,b8a7
r5k1/pb1r1ppp/2p1pq2/3n4/2Q5/B1P3P1/P1P2PBP/1R3RK1 w - -,b1b3
r3kb1r/p4p2/1qp1p3/4N1pp/3Pp2P/4P1B1/PPQ2PP1/5RK1 b kq -,g5g4
5rk1/1bq2pp1/p3p2p/1pb5/2p1PPQ1/2P3P1/PPN3KP/2R2R2 b - -,b7e4
7k/1R5P/8/2p1K3/4P3/8/8/7r b - -,h1h5
2R1n3/p2r1q2/4ppk1/1PQ3pp/P7/4P2P/5PP1/2R3K1 w - -,a4a5
5r2/p6k/Pp1p2pb/1P1N3p/2P1P2P/6RK/5R2/8 b - -,f8f2
2r2rk1/1Bq1bppp/pp1ppn2/2n5/2PN3Q/1PN3P1/PB2PP1P/2RR2K1 b - -,c7b7
rnbqkb1r/pp3p1p/2pp1np1/4p3/3PP3/2N3P1/PPP1NPBP/R1BQK2R b KQkq -,f8g7
3r2k1/5pp1/4p3/3n4/1p6/1Pq2Q1P/4BPP1/4R1K1 w - -,f3c3
r3knr1/pp3b2/2p3p1/3pqp2/4P3/2N2P2/PPPQB1P1/2KR3R b q -,e8c8
2r1q3/5pk1/p2R1np1/N3pb2/1PP1p2p/P3PP1P/3Q2P1/3B2K1 b - -,e8e7
3r1rk1/ppqb2pp/1n3p2/4p3/2P5/1P2QN2/P2RBPPP/R5K1 b - -,d7e6
1rb3k1/p1nq2pp/3B4/Pp2pP2/1Q1p4/P1pP2PP/8/1R3RK1 w - -,b4c5
1rbq1rk1/5ppp/p1np1b2/3Np3/pN2P3/2P5/1P3PPP/R2QKB1R b KQ -,c6b4
r7/8/8/5N2/5p2/4k1p1/6P1/3BK3 b - -,e3d3
rnbq1rk1/2p3pp/p1p1pb2/N2pN3/3P4/8/PPP2PPP/R1BQR1K1 b - -,f6e5
r1bqk2r/2pnppbp/p2p1np1/1p6/3PP3/2N1BN2/PPPQBPPP/R3K2R w KQkq b6,a2a3
r1brq1k1/1pp1pp1p/pn4pQ/n2P4/4P3/2N2P2/PP4PP/1K1R1BNR b - -,e7e6
k1br4/pp1n1p2/2p3p1/8/3PqPP1/8/PP2N3/K1R3Q1 w - -,e2c3
r1bqk2r/pp3p1p/2pbnnp1/3p4/3P3B/2NBPN2/PPQ2PPP/R4RK1 b kq -,e8g8
8/6k1/4P3/ppp1K1p1/8/7R/5rPP/8 w - -,h3g3
r4rk1/4nppp/p3p3/1p2N3/3P4/8/PP3PPP/2RR2K1 b - -,a8c8
r3k2r/pp2npbp/4n1p1/1N2p3/4P3/4BN2/PP3PPP/R2R2K1 b kq -,e8g8
r1bq1r1k/2p5/p2b2np/1pNp2p1/PP1Pp3/2P1P1P1/7P/1RBQ1RNK b - -,c7c6
4r1k1/3R3p/pq3Q2/1p1np3/1P5P/2P3P1/5P2/6K1 w - -,f6g7
8/5p1k/5Pp1/6Pp/2r2P2/4RK2/1P6/8 b - -,c4b4
R7/8/8/8/2r5/3kp3/6K1/8 b - -,e3e2
rnbq1rk1/pp2pp1p/6p1/2pPb3/8/6P1/PP3PBP/RNBQR1K1 b - -,b8d7
r3rkn1/2pb1ppp/2pp4/p7/P2NPP1P/4P3/1PP5/2KR1BR1 w - -,e4e5
r3r1nk/2qn3p/bp1p1pp1/p2Pp3/P1p1PP2/2P3NP/1PBQ2PN/R4RK1 w - -,h2g4
4k3/4p3/p1n2p2/2P5/1P4P1/2B4P/7K/8 b - g3,e8f7
2rq1rk1/p2n1ppp/bp2p3/2bpP3/8/1PN3P1/PB2PPBP/2RQR1K1 w - -,a2a3
r2qr1k1/ppp2ppp/8/8/3P1b2/2P4P/P3QPPN/R4RK1 w - -,e2d3
3nB3/2NP4/6p1/p3k1K1/b6P/8/8/8 w - -,g5g6
5k2/5p2/q3nP2/3pP2Q/B1p5/2P1B1r1/6p1/6K1 b - -,f8g8
8/r4p2/P5p1/2k4p/3p1P2/3K4/R4P1P/8 b - -,f7f6
8/5pk1/2p4p/1p2N1p1/3P1nP1/PB3K1P/1n3P2/8 w - -,b3f7
8/p5bk/1p2p1pp/3p4/3P4/2Q1KPPB/1P5P/3q4 b - -,d1g1
2nb1k2/5p2/5Bp1/6P1/P1B5/5K2/8/8 b - -,d8c7
2r1r1k1/1b1nqpp1/1p3n1p/pB1pN3/P1pP4/2P1P1BP/Q1R2PP1/5RK1 b - -,e8d8
r4k2/5bpp/8/8/4R3/Pp6/5PPP/1R4K1 w - -,a3a4
r5k1/ppp2ppp/1b6/3rPb2/B3pB2/2P4P/PP3PP1/R3RK2 b - -,e4e3
7r/pp2np2/2p1pkp1/8/3PBPPr/2P5/PP3RR1/2K5 b - -,h4h3
2R2nk1/5p2/3ppPp1/7p/3P4/2B3P1/rP3P2/6K1 b - -,a2a6
8/8/2N5/1p4pp/4k3/5n1P/5P2/3K4 w - h6,c6b4
1br3nr/1p3pk1/p1N1p1p1/3pP3/1P4PB/2PBPK2/1P6/R6R b - -,c8c6
r1bq1r1k/4n2p/pp1p1bp1/2pP1p2/P4P2/2PBN1B1/1P2Q1PP/3RR2K w - -,e1f1
r1q1r1k1/pp3pp1/5nb1/2pP3p/P1P1p1P1/2P1B1PB/4QP2/R2R2K1 w - h6,a4a5
4rr2/p5kp/1p3np1/2pPpB2/2P2N2/4P2P/P5P1/2R2RK1 b - -,e5f4
rr4k1/5pp1/1q1pbbP1/2n1p3/pp2P2P/3B4/PPPQN3/1KN3RR w - -,b2b3
r2qk1r1/1b2np1p/p4p2/1p1pp3/4P3/N1PB4/PP2QPPP/R3K2R w KQq -,f2f3
1rb1k1nr/2ppqp2/pp2n1p1/3BP3/4N3/4BQP1/PPP4P/R4RK1 b k -,h8h5
4r1n1/1pkn4/2p4p/r1Ppppp1/PR1P4/3NPPP1/2R4P/3B2K1 w - -,c2b2
1k2r3/2p5/1p1p1p1q/pPnP1Ppp/P2KP3/1P3B1P/6R1/3Q4 w - -,g2e2
6k1/8/5p1p/1pR1p2P/1P2P1P1/1b2K3/8/8 b - -,b3a4
3k4/R3n3/5p1p/2p1p1p1/1pB1P1P1/1Pr1P3/P2K3P/8 b - -,e7g6
