8/5p1k/6p1/3bP3/7P/2q3P1/4QP2/5BK1 b - -,d5b7
8/5bkp/2R2pp1/4p3/P3N3/4PP2/P4KPP/3r4 b - -,f6f5
r1bq1rk1/1p2bppp/5n2/p1np4/8/2PBBN1P/PP3PP1/RN1Q1RK1 w - -,d3b5
r1bq1rk1/pp1pppbp/2n2np1/8/3P4/2PB1N2/PP3PPP/RNBQR1K1 b - -,d7d6
8/8/P2p2p1/rB2b1k1/3pP3/1R6/5PK1/8 b - -,g5f4
r1bqk2r/1p2bpp1/p1n1pn1p/3p4/3P1B2/2N2NP1/PP2PPBP/R2Q1RK1 w kq -,a1c1
7r/1p1k1ppp/p2b4/3N1Q2/8/6P1/PPP2P1q/R4K2 b - -,d7d8
8/PR3ppk/4p2p/r7/8/6P1/5P1P/6K1 w - -,b7f7
4r1k1/p4pp1/3R1n1p/2p1pq2/2P2N2/1P4P1/P3QPKP/8 w - -,f4d5
2r1kbr1/pp3p1p/q3p3/n2p1p2/3P1BnP/2P2NPN/PPQ2P2/R3R1K1 b - -,f8e7
2r2rk1/pp2pp1p/2n3p1/8/4P1b1/P3BN2/1b2BPPP/R4RK1 w - -,a1b1
2kr1b2/pp1npp1p/1qp1b1p1/8/2pQP2B/2P2P2/P3B1PP/R3K2R w KQ -,d4b6
2r3k1/p4pbp/1p4p1/5b2/P1P5/4B3/2RN1PPP/5K2 w - -,c2a2
r3r1k1/1p1nqpp1/2p3b1/p3p1N1/PbPp1n1P/BP1P1N2/4PPB1/R1Q1R1K1 b - -,b4e1
r4rk1/1bq1nppp/pb2pB2/1p5P/3Pp1Q1/1BP3N1/P4PP1/R4RK1 b - -,e7g6
8/8/5B2/1p2p2p/4k1p1/1P4P1/4K2P/6b1 b - -,e4f5
7k/7P/p2pN1p1/2pPp3/2P1P3/q7/3K4/6R1 b - -,a3b2
r5k1/p2r1ppp/N1np1n2/3p4/3Pp3/R1P1P3/1P1N1PPP/5RK1 b - -,d7b7
8/8/2pb1kp1/p5p1/PpPpK1P1/3N4/2P2P2/8 w - -,e4d4
rnbqr1k1/pp3pbp/3p1pp1/8/2PBP3/3B4/PP2NPPP/R2QK2R b KQ -,b7b6
r4r1k/2bn2np/p1p1bppB/4p3/BqN1P3/2N5/PP2QPPP/R4RK1 w - -,c4e3
3rkb1r/pp2pp1p/n1p1bnp1/2q5/P7/N1Qp2P1/1P2PPBP/R1B1NRK1 w k -,e1d3
rnb1kb1r/4pppp/p2p1q2/1ppP4/4P3/2P2N2/PP1N1PPP/R2QKB1R b KQkq -,b8d7
r2qk2r/pp2bppp/2p1pnb1/8/3PN3/3BBQ2/PPP2PPP/1K1R3R b kq -,d8d5
6k1/1p4p1/3Bp3/p4b2/P7/4R2P/2r2PPK/8 b - -,c2f2
2r4r/1q2k1p1/p4b1p/3ppP2/2n3Q1/1B6/PP4PP/3R1R1K w - -,g4f3
2r2rk1/pb1qbnpp/1pp1p3/5p2/2NP1B2/1P2QBP1/P3PP1P/R2R2K1 b - -,f8d8
8/pp4p1/2n1kr2/3ppb2/3p3P/P4NP1/1PP2RP1/5RK1 b - -,e5e4
2r2r2/1p2ppkp/3p2p1/pN2n3/P3P3/1P3P2/2PR2PP/R6K b - -,c8c5
5rk1/2r2p1p/p1pRbn2/1p2p1p1/4P3/P1N3P1/1PP2PBP/3R2K1 b - -,g5g4
8/5b2/8/p3p1p1/1p1kPpB1/1P3P2/P2K4/8 w - -,d2c2
5rk1/r3bpp1/1q2pnp1/3p4/1PpP4/4PP2/R2QN1PP/1R2B2K w - -,a2a7
rq4k1/7p/p1p2rp1/1p1b1p2/5P2/1P5P/PPN2QP1/2R1R1K1 w - -,c2d4
r3r1k1/pp5p/2pq1pp1/3p3n/3P4/3QPN1P/PP3PP1/2R2RK1 w - -,d3c2
r2qr1k1/1bp1npp1/3b1n1p/1p2p3/1P1pP3/PB1P1NN1/1BQ2PPP/R1R3K1 b - -,f6h7
8/1R4bk/4q2p/p1p1P1p1/5p2/P1P1nN1P/8/1R4KB w - -,b1b2
r2q1rk1/pp3ppp/2pb1n2/3pn2b/8/2P2NPP/PP1NPPB1/R1BQR1K1 w - -,f3e5
r1bq2k1/3n1rnp/pp1p2p1/2pPp1b1/NPP1P3/P2B4/1RQ1NBPP/5RK1 b - -,g7h5
r3r1k1/pp1nbpp1/2p1p2p/q3Bb2/3P4/1B5P/PPP1QPP1/R2N1RK1 w - -,f1e1
r4rk1/pbqnn2p/1p1p2p1/2pPpp1P/2P1P3/2P2PP1/P2N1B2/R2QKB1R b KQ -,g8g7
r3r1k1/6bp/pp2p1p1/2p1B3/2P1N3/5P1P/PP3P2/1K1R3R b - -,g7e5
r2q1rk1/pp3pb1/2n1b2p/2p1p1p1/8/2PP1NP1/PPQ2PNP/R1B2RK1 b - -,f7f5
r1r3k1/6pp/4pp2/p7/np6/3N2P1/P2PPP1P/2R2RK1 w - -,g1g2
r5k1/pp1n1ppp/3Pp3/2rbP3/8/5PB1/P2RN1PP/1R4K1 w - -,e2f4
8/7p/8/2b1k3/2P1r1p1/6P1/2R3KP/8 w - -,h2h3
r1b1qrk1/pp2p1b1/2pp1n1p/3P1pp1/2P5/2N1PN1P/PP2BPP1/R2Q1RK1 w - -,f3d4
8/p1b5/4k2R/P3r3/1PP5/3K1p2/8/8 b - -,e6f5
1r2r1k1/2q2pbp/3p1np1/2nP4/1ppBPPP1/5Q1P/1PB1N3/3R1RK1 w - -,e2g3
5r2/pBr1ppkp/P3nnp1/2p1N3/1p1q4/3P2P1/1P2QP1P/2R1R1K1 w - -,c1c4
r3r1k1/ppp2ppp/2n5/3n4/3PpP2/2P1P1qP/PBQN2P1/4RRK1 w - -,d2e4
r2q1rk1/pp2ppbp/2n3p1/8/3P2b1/4PNP1/P4PBP/R1BQ1RK1 w - -,h2h3
6k1/2r1p2p/6p1/N1b1p3/R1p1P3/2P2PP1/6KP/8 b - -,c7a7
8/1NK1n1p1/7p/3k4/8/2P3PP/1P6/8 b - -,d5c4
8/5k2/1rN2p2/1P1R4/8/3K2P1/1b6/8 w - -,d3c4
r5k1/1bq1bppp/p1n1p3/1p2P3/4BB2/5N2/PP2QPPP/2Rr2K1 w - -,e2d1
7r/1PK2p2/8/1R3P2/7p/6k1/8/8 w - -,b7b8q
1r1q1r2/1bp1npbk/3ppnpp/1p6/3PP3/2N1BB1P/1PPQ1PPN/3RR1K1 w - -,b2b4
8/8/8/R3K1pk/8/8/8/5r2 b - -,g5g4
1r3rk1/pP2n2p/3qb1p1/4P3/5P2/8/P3N1Bp/1R3R1K w - -,e5d6
5rk1/2p2pbp/p3p1p1/1p1QP3/8/2P2N1P/PP3PP1/5RK1 b - -,e6d5
R1b1r1k1/1rq1p2p/3P2p1/1pB1bp2/8/1NP2B2/1P4PP/3Q2K1 b - -,e7d6
rn1qk2r/pb1p1ppp/1p1bpn2/2p5/2PP4/P1NQP3/1P2NPPP/R1B1KB1R w KQkq c6,d4c5
1r1q2k1/2p2p2/pbbp1n2/1p1Pr1B1/P3P3/8/1P3PPP/RN1QR1K1 w - -,g5h4
8/3R3Q/p1n2pp1/1b2P3/5k1P/1P6/2p3P1/4KN2 w - -,h7h6
2r2rk1/1bq1bppp/pn1p1n2/1p2P3/4P3/P1NBBN2/1PP1Q1PP/R4R1K b - -,d6e5
rn1qk1nr/pp1bppbp/3p2p1/2p5/2B1PP2/2N2N2/PPPP2PP/R1BQK2R b KQkq -,b8c6:e7e6
r1bqk2r/3pnpbp/ppn1p1p1/8/3NP3/2N1B1P1/PPP2PBP/R2QK2R w KQkq -,f2f4
r2r4/p1pnkpp1/1p1bp2p/8/3PN3/4PNP1/PPR2P1P/2R3K1 b - -,g7g5
R1b5/2r1kpb1/2p1p1pp/1pN3P1/3P1P1P/3BP3/1P3K2/8 b - h3,h6g5
4Qnk1/6pp/8/3p4/p7/P2p1bP1/1q3P2/2R1R1K1 b - -,d3d2
R7/1pkb4/8/1P1p3p/4n2K/8/3N4/5Br1 w - -,d2e4
2r5/5k1p/6pB/2r1p3/1p4K1/3n2P1/6RP/1R6 w - -,g4f3
1r4k1/3bqpb1/2p3p1/4n2p/4P3/R2BB1Q1/1PP1N1P1/6K1 w - h6,e3d4
2r2rk1/1p1bppbp/p1np1np1/q7/2P1P3/NQN1BP2/PP2B1PP/2R2RK1 w - -,a3c2
rr6/3b1pk1/1n1p2pp/1p1Pp1b1/4P1P1/1BP2P2/2NKN1P1/RR6 w - -,d2d1
5rk1/1pp1rpb1/p2p1np1/1N4p1/1PP1p1q1/P3P1P1/1BQP1PB1/3R1K2 w - -,b5c3
8/3Q1pk1/6p1/p6P/Pq2r3/6P1/5P2/3R2K1 b - -,b4a4
r4rk1/2q1bppp/pnnp4/1pp5/4PP2/1NP1B2P/PPB1Q1P1/R3R1K1 b - -,e7f6
r5k1/3nppb1/q2p2pp/3P4/P1P1P2P/5NP1/2QB1PK1/1r2R3 w - -,e1b1
5r2/3b1pk1/2nq1npp/2p1p3/2P1P2Q/pP1P1N1P/2B1N1P1/5R1K w - -,e2c3
8/3b2pk/p4r2/2ppQPqp/8/1P1B1R1P/P5P1/6K1 w - -,f3g3
r4rk1/1ppqnpb1/p2p1npp/3P4/2P5/2N2N2/PP1B1PPP/R2Q1RK1 w - -,a2a4
r3r1k1/2p2p2/4p3/pp1n4/3P2p1/2PR2B1/P5PP/R5K1 w - -,a1f1
3r2k1/1bq2pb1/1p2p1p1/2n4p/1B2P3/2P1Q3/r2NBPPP/1R1R2K1 w - h6,e2c4
8/p1r4p/4k1p1/8/2n5/1P1R3P/P4PP1/5K2 w - -,b3c4
r1r3k1/3q1pp1/4p3/1p1nPbBQ/p1pP3P/P7/BP3PP1/2R2RK1 w - -,h5f3
1rbq1rk1/1p2b1pp/n1p1pn2/p2p1p2/2PP4/1PN3PN/PB1QPPBP/4RRK1 w - -,c4c5
8/p3k1bp/1p1q2p1/2pP2P1/2PpB1Q1/1P5P/P7/6K1 w - -,g1g2
1r6/2q1nkp1/4ppp1/r2p4/6PP/1PPQ1P2/3B2K1/1R5R b - -,a5a2
1r4k1/R7/5P2/6PK/8/8/8/8 w - -,h5g6:g5g6
r1bqkbr1/7p/p1p1p1p1/1pPpBp2/3Pn3/2NBP2P/PPQ2PP1/2KR3R w q -,d3e4
3r2k1/5p1p/p2r2p1/8/1p2b2P/1Pb2NP1/P1R2PB1/3R2K1 w - -,d1d6
1r4k1/5pp1/8/2N2b1p/8/1P3PP1/5K1P/2R5 w - -,c1c4
3r1r2/p4pkp/2p3p1/8/4n3/1P3N2/P1R2PPP/2K2R2 w - -,f1e1
2r3k1/6bp/p1p2Pp1/1p1p4/3N1P2/2P4P/PP4P1/3R2K1 b - -,g7f6
2bbr1k1/rp3p1p/p1n1p1p1/8/3P4/4PNB1/P3BPPP/1RR2K2 b - -,c8d7
r1b2r1k/1pp1bpp1/2n1q2p/1R2p3/2NpN3/3P2P1/4PPBP/1Q3RK1 b - -,f7f6
5k2/4n3/5Rp1/3pP3/5P1p/3r3P/6K1/8 b - -,f8g7
k2r2nr/pp1b4/2n1p1pp/3pPp2/q1pP1P2/P1P1B3/2PKB1PP/R2Q2NR b - -,g8e7
r1r5/3b1knp/n1N1p1p1/1p1pPp2/p2B1P2/6P1/PPR1P1BP/2R3K1 w - -,e2e3
r3qr2/6k1/3p1bp1/p1pP1P1p/8/7Q/1P3BPP/1R3RK1 b - -,g6f5
6k1/1b1r1pp1/nqp1p2p/8/p5Q1/p1B1P1P1/1P3PBP/R5K1 b - -,f7f5
1rb1kb1r/p3pppp/2n2n2/q2p4/2pP4/B1P1PN2/P3BPPP/RN1Q1RK1 w k -,a3c1
rnbq1rk1/ppp1ppbp/5np1/3p4/5P2/4PNP1/PPPP2BP/RNBQ1RK1 b - -,c7c5
r3k2r/p2b3p/1qpbpp2/2pp4/3P4/P1PB4/1P3PPP/RN1Q1RK1 w kq -,d1h5
2r2r2/2p1npbk/qp2p1pp/p2pP3/PnPP4/1P2BNN1/3Q1PPP/R1R3K1 w - -,c4d5
5r1k/6pp/1p5r/1Pbp3q/7P/1Q2PpP1/3R1PB1/2R3K1 w - -,d2d5
rn1qkbnr/5ppp/pp2b3/2Pp4/8/1QN2NP1/PP2PP1P/R1B1KB1R b KQkq -,f8c5
2rq1rk1/p3n1b1/1p5p/2p2Pp1/3p4/P2P1QP1/1P1BNP1P/1R1R2K1 b - -,f8f5
r3kbnr/1ppb1ppp/p1p5/8/3NP3/4B3/PPP2PPP/RN3RK1 b kq -,e8c8
8/8/2k5/p1Np4/2bP4/2P1K3/P7/8 w - -,a2a3
r1bq1rk1/pp3pbp/2np2p1/2p1p3/P1B1P3/2NP1N2/1PP2PPP/R2QR1K1 w - -,c3d5
r1b1rnk1/p1q2p1p/3p2p1/3pp1Q1/1p2P3/3B3P/PPP1NPP1/3R1RK1 w - -,e4d5
r3r1k1/1q2bp1p/2b1pnpB/pp6/3P1N2/P6R/1PBQ1PPP/R5K1 b - -,e8d8
2rq1rk1/pb3pp1/1pn1p2p/3P3n/4Q2b/P1N2N2/BP3PPP/3R1RK1 b - -,h5f6
r4rk1/pp3pp1/2n2n1p/3p1b2/1qpP1B2/5NP1/PP2PPBP/R1Q2RK1 b - -,f8e8
r3k2r/pp1nbppp/2p1pn2/q7/3P1B2/2NQ1N1P/PPP2PP1/R3R1K1 b kq -,e8g8
3r2k1/pR1B1p1p/1p3p2/8/1P2P3/n1K2P2/2r4P/R7 w - -,c3d3
r1bqk2r/5ppp/p1np4/3Np1b1/1pP1P3/8/PPN2PPP/R2QKB1R w KQkq -,g2g3:f1e2:c2b4
3Rnbk1/pb2qp2/2p3p1/2p1p2p/2P1P3/P1N3PP/1PQ1BP1N/6K1 b - -,e7d8
3q4/p1p3kp/1r1p1rp1/3Nnb2/5N2/6P1/PP2QP1P/R3R1K1 b - -,f5g4
2rq1rk1/1p2b1p1/2n1b3/p1p1pn2/P1N3Pp/2PP4/1P2QNBP/R1B2RK1 b - -,e6c4
8/8/6pk/4b1r1/7p/5Q1P/8/7K w - -,f3f8
5r1k/r6p/pq1p3P/2pP2Q1/8/1P6/P1P2PP1/1K2R2R b - -,b6b7
1rb1rbk1/1pqn1ppp/p2p1n2/2pPp3/P1P2P2/2NBP1N1/1P1B2PP/2RQ1RK1 w - -,d1f3
r2qr1k1/p4pbp/2p1b1p1/2Bnp3/4N2P/5P2/PPPQ2P1/2KR1B1R b - h3,h7h6:d5f4
r1bq1rk1/pp1nppb1/2pp1npp/8/2P5/2NP1NP1/PP1BPPBP/R2Q1RK1 b - -,e7e5
1b6/p7/4k3/PN3p1p/1P3Pp1/6K1/7P/8 w - -,b5d4
4r1k1/pp1q4/2n3p1/4ppQ1/7B/2Pr4/PP1N1P2/R5K1 w - -,d2f1
r2q1rk1/1bpn1pb1/1p1p1np1/p3p2p/2PPP2P/1PN1BPP1/P2QN1B1/R4RK1 w - -,a1d1
8/6R1/5p1p/3k1P1P/8/2PK4/8/7r w - -,g7g6
8/2K5/1PN5/Rb1p4/3Pk3/8/8/1r6 w - -,a5b5
r3k2r/pp1nbppp/2pnp3/3q4/3P3N/3BPPP1/PPQ4P/1R2BRK1 w kq -,h4g2
rn3rk1/2p3pp/1p1pp3/p4pq1/2PP4/P1B1PQP1/1P3P1P/2R2RK1 b - -,b8d7
4rnk1/pp1b1p2/2p2npp/2PpRP2/PP1P2P1/2N3NP/5KB1/8 b - -,d7c8
6R1/2k5/8/1p5P/3KP2R/3P1p2/1r6/5r2 b - e3,f3f2
rnbq1rk1/1p3pp1/3p1n1p/2p1p3/1pP5/P1NP1NP1/3QPPBP/R4RK1 w - -,a3b4
1rq2k2/3b3p/p5p1/3N1pB1/2Pp1pn1/R5P1/1P4BP/5RK1 w - -,b2b3
8/8/8/6p1/4kb1p/1R1N4/P4p1r/6K1 w - -,d3f2
2k1r3/1pb5/2p5/p1P2p1b/P2R1PPp/2N5/1P1B1KP1/8 b - -,h5g4
8/1R6/4bkrK/8/8/8/8/8 w - -,h6h5
rn1qkb1r/pb3pp1/1pp1pn2/4N2p/3P4/3BB1N1/PPP2PPP/R2QK2R b KQkq -,f8e7
5bk1/p6p/1p2q1p1/2p1p3/P2pP3/1P1P2QP/2PB4/6K1 w - -,g1g2
6r1/5k2/8/2PP1pP1/pP5p/3KR2P/P7/8 w - -,d5d6
6k1/2R2pp1/2p5/6p1/2r5/4K3/6PP/8 b - -,c4c2
8/6p1/1P6/2r1bk2/PK6/3R4/6p1/8 w - -,d3d1
2r2rk1/p2pqppp/1p2pn2/n1p5/2PP4/PPB2bP1/2Q1PPBP/R3R1K1 w - -,e2f3
8/pp2bkpp/8/5p2/P7/8/1P3PPP/3N2K1 w - -,g1f1
6k1/pp1r1p2/1b4pp/8/4B3/5P2/PP2KP1P/2R5 b - -,f7f5
r1bq1r1k/ppp3np/3p2n1/3Pp3/1PP2p2/5BP1/P2QNPNP/2R2R1K b - -,e5e4
r2r2k1/ppR2ppp/6q1/4Qp2/5N2/P3B3/1P3PPP/5bK1 b - -,d8d1
r3r1k1/pp1q2bp/n1p2p2/3p2p1/3Pn3/1QPNBN2/PP3PPP/R3R1K1 b - -,g8h8
rnbq1rk1/pp3ppp/2pbpn2/8/2pP4/5NP1/PPQ1PPBP/RNB2RK1 w - -,e2e4
r2qk2r/ppp2pp1/2pb1n2/5b2/2PPp2p/1PN1P2P/PB3PP1/R2QKB1R w KQkq -,d1c2
6k1/N3ppbp/3p1np1/3P4/2n1P3/1rB2P2/5NPP/R5K1 w - -,f2h3
5r1k/r1pq2bp/1p1pp1b1/nP3p1n/1QPP1P2/2BN2P1/3N2BP/4RRK1 b - f3,g6f7
3rr1k1/6p1/p5Q1/qp3p2/2p2P2/8/P1B3PP/1R3R1K b - -,a5a2
2r3k1/1p4p1/3r1pp1/pPb1p3/P1P5/5NP1/5P1P/3RR1K1 w - -,d1d6
8/2k1B3/4K3/p3pP2/3bN3/8/Bp6/r7 w - -,e7d6
R7/4pk1p/4Nb2/1p3p2/1Pn5/2P1P2P/1P1r1PKB/8 w - -,e6d4
8/1pk1p3/1p1r1p2/8/5R2/1PK1P3/8/8 b - -,b6b5
n7/4p1bp/1pk2pp1/2p5/2N1PB2/2P5/1PK2PPP/8 w - -,c4e3
8/1kpq1pp1/ppn1rnp1/3p4/3P1BPP/P1NQ1P2/1PP3K1/7R w - -,c3d1
4r1k1/5pp1/p1n2n1p/1p1rpP2/6P1/PP1B3P/1BP3R1/2K1R3 b - -,c6d4
8/1r1k4/2p3p1/1pBp3p/4p2P/PPP2bP1/3R1P2/2K5 b - -,d7e6
7R/1k6/7R/3K4/5r2/8/8/8 b - -,f4f5
r4k2/1bp1r1b1/ppp1nNp1/8/4N1p1/2P1BP2/PP5P/3RR1K1 w - -,f3g4
r3kb1r/pp3ppp/1qn1pn2/3p4/3P2b1/2PB1N2/PP3PPP/RNBQK2R w KQkq -,e1g1
r3k2r/ppqn1ppp/2p1pnN1/2b5/4P3/6PP/PPPNQPB1/R1B2RK1 b kq -,h7g6
3rr1k1/1nqn1pp1/1pp3Rp/p3Pp2/P1B1P3/BPN5/4Q1PP/3R3K b - -,d7e5
1r1r3k/p1qNp1b1/7p/3QpPp1/2P3P1/1P5P/P4R2/2R3K1 w - -,c1d1
5rk1/p4p1p/2Nqpbp1/Q7/3PB3/2R3P1/1P3P1P/3b2K1 w - -,a5a7
8/7R/2n5/2kp4/8/2K5/2P5/8 w - -,h7h5
5r2/5k2/p2p4/qb1Pp3/4P3/5P2/3N1B2/2R1K2R b - -,f8c8
8/5pk1/4p2p/3rP1p1/4R1P1/6K1/5P2/8 b - -,d5d3
8/n7/2p2k1p/2B2p2/2P2P1P/2K5/4B3/1b6 w - -,c5a7
r1bq1rk1/1p2bppp/2p5/p2p4/Pn2NB2/1B3N1P/1PPQ1PP1/R4RK1 b - -,d5e4
r1b4r/3p3p/p1k5/1p2pp2/3B4/8/PPP3PP/2KR3R w - -,d4e5
r2qk1nr/ppp1ppbp/3p2p1/3P4/4P3/2N1BP1b/PPP1BP1P/R2QK2R w KQkq -,d1d2
4r3/p7/2pk4/2p2pPp/2Pp2bP/1P1P4/P1KN4/2R5 w - -,b3b4
r1b1k2r/2q1bppp/p2ppn2/1p4B1/3RPP2/2N3P1/PPP1Q2P/2K2B1R w kq -,f1g2
1R6/p1R3pp/2brppk1/r7/8/1BP3P1/P3KP1P/8 w - -,b8g8
1r1r2k1/1bq1bppp/pp3n2/2p1N3/P3nP2/2P1B3/1PQNB1PP/R4RK1 w - -,e2d3
r4rk1/p3Np2/1p1nb2p/6p1/3p2PP/6P1/PP4B1/2RR2K1 b - -,g8g7
2r2rk1/1p3pp1/p1nqpn1p/3p4/3P4/P1NQPN2/1PR2PPP/2R3K1 b - -,c6e7
r4rk1/pp1nppbp/6p1/q1pP4/4PP2/2P1B3/P2QBP1P/2R1K2R w K -,h2h4
r4rk1/1p3p2/2p1b1pb/p3p2p/Pn2P1n1/R1N2NPP/1PP2PB1/2R1B1K1 w - -,e1d2
6rk/1p3n1p/1q1p1n2/1P2p3/1QP1Pp1N/6rP/2N1R1P1/3RK3 b - -,f7g5
8/3r4/4bk2/1p3p2/1P1n2pN/P3R1P1/5R1P/2r2BK1 w - -,h2h3
6k1/p4pp1/3N3p/6b1/1B6/6P1/2r2P1P/R5K1 b - -,g5e7
r1b2rk1/4ppbp/1q1p2p1/2p1P3/5P2/P2RQN1P/4N1P1/2K4R b - -,c8e6
8/1N4p1/8/3k2K1/p7/8/n6P/8 b - -,a4a3
3r4/8/4B1k1/3R4/4P1p1/3P2P1/6K1/8 b - -,d8d5
r2q1r1k/ppp3bp/3pb2n/4p1p1/2PnP1B1/4N1BP/PP3PP1/2RQNRK1 b - -,h6g4
6k1/1p3p1p/p1n1p1p1/4P3/5P1P/2B1q1P1/1P3K2/8 w - -,f2e3
8/8/2K5/8/4k2p/r7/P4R1P/8 w - -,c6b5
8/8/8/8/1kp3R1/8/r7/2K5 w - -,g4g3
6R1/4r3/8/7p/1P5k/5p2/3K4/8 w - -,b4b5
r2q1rk1/1bppbppp/p1n2n2/1p2p3/4P3/1B1P1N2/PPPN1PPP/R1BQR1K1 b - -,h7h6:d7d5:d7d6
5rk1/1p1bbppp/8/3pPp2/3P4/4N3/1P3PPP/2BR2K1 b - -,d7e6
r2q1rk1/1p1nbppp/p2p4/3Pp3/P3P1b1/2N2N2/1P2QPPP/R1B1R1K1 w - -,h2h3
5bk1/R4p2/5r1p/4N1p1/1P3P2/P5P1/3r3P/2R3K1 b - -,g5f4
8/8/8/8/8/1R2kp2/7K/4r3 b - -,e3f2:e3f4
r4n2/pp3pkp/3Rrp2/5N2/2q5/2N1bP2/PPQ3PP/3R3K b - -,g7h8
r2qr1k1/pb1n1ppp/1pp2n2/3p1N2/2PP4/P2BPP2/6PP/R1BQ1RK1 b - -,g7g6
1k6/pp3p2/1qn1b2p/3pPpp1/3P1N2/1PQ5/P3NPPP/5K2 w - g6,f4d3
2r3k1/p1rq1pbp/1pnnp1p1/3p4/NP1P4/1Q2P1P1/P1RBBP1P/2R3K1 w - -,e2a6
3b3k/6pp/8/3B4/8/1P2pP1P/4K1P1/8 b - -,d8b6
8/4bk1p/R4n2/1p4p1/2b1P3/4BP2/1P3KPP/8 w - g6,e3d4
7k/3q2p1/7p/p6n/P5Q1/1P2NP1P/5PK1/8 b - -,d7f7
r3kbnr/pp1q1ppp/2n1p3/3pP3/3B4/2N2N2/PPP2PPP/R2Q1RK1 w kq -,c3e2
4r1k1/5pbp/pp1Q1qp1/8/2P2P2/1P3B2/P5PP/3R2K1 w - -,d6f6
1rbqrnk1/1pp2pbp/p2p1np1/8/P1PN4/1PN3PP/4PPB1/1RBQR1K1 b - a3,f8e6
3qr1k1/p1n4p/1p1r2p1/2pPp1P1/P1P1P3/1Q1R3P/3B4/5RK1 w - -,f1f3
1kr5/1pq2p1p/p3p3/P7/4RQ2/3r2P1/1PP2PP1/6K1 w - -,c2d3
3q1rk1/1brnbppp/pp2p3/n3N3/2PP1P2/3Q4/PB2B1PP/1NR2RK1 b - -,d7e5
2rqk2r/pp1bppb1/3p3p/n3n1p1/4P3/1NN2PB1/PPPQ2PP/1K1R1B1R b k -,e5c4
2r2r2/p2b1qbk/1p1p2pp/2nPpp2/7P/1P1NB1P1/P2QPPB1/2RR2K1 w - -,d3b2
r2q2k1/2R2p1p/p2nr1p1/1p6/5R2/PP3NP1/2Q2PKP/8 b - -,d6f5
