r7/8/8/7k/8/p2K1P2/R7/8 w - -,d3c3
r5k1/p3rppp/1p6/1R3B2/P2Pp3/4P1P1/4KP1P/8 w - -,e2d2
2r1nr1k/1b3qp1/p3p2p/1p1pPp2/1b1P3P/4B1P1/PP2QP1N/R2R1BK1 w - -,h2f3
r4rk1/3qb1pp/2p1p1b1/1p3p2/3PP3/pPN2PP1/Pn2QBBP/R1R3K1 w - f6,f3f4
1r6/5p2/2P3k1/6pp/8/4B2P/1bR2PK1/8 w - -,c6c7
1r3k2/2p2pp1/1p1pnn1p/pPq1rN2/2P1P2P/2Q1RB2/5PP1/5R1K b - h3,b8e8
r3k2r/ppp1np2/2nb2p1/3p1q2/3P4/1QP1B1Pp/PP1NNP1P/2KR3R b kq -,e8c8
R3kb2/1p1r4/8/1P2pqp1/4Q2p/2P1P2P/1P2NPP1/3r1RK1 b - -,e8e7
6k1/1p3p1p/1R4p1/P7/8/r5NP/5PK1/8 b - -,a3a5
2r2rk1/1bqpb2p/p2Rp2P/1pP1p1p1/1P2P1B1/P3Q3/1B3PP1/2R3K1 b - -,f8f4
5b2/p2r1k1p/5pp1/2p5/2P2P2/1R3K1P/PB4P1/8 b - -,h7h5
2r1rnk1/2n3bp/p1p3p1/1pPpp3/1P2P3/R4NP1/NP3P1P/2B1R1K1 w - -,g1g2
r6r/1p1k1ppp/1pn1pn2/2bp4/8/2NP2P1/PP2PPBP/R1B2RK1 w - -,c1d2
r1b2rk1/p4ppp/4pn2/Npqn4/5P2/4P3/PP1N1PBP/R2Q1RK1 w - -,a1c1
2r1qrk1/p2bppbp/2p2np1/2Pp4/3NnB2/3BP2P/PPQ2PP1/RN1R2K1 w - -,f4e5
8/2r1k2p/p3p3/1p1pN1rP/1PbPp1P1/4Pp2/P2K1P2/R1R5 b - -,e7d6
rnbqk2r/1pp1npbp/p2pp1p1/8/3PPP2/2N1BN2/PPPQ2PP/R3KB1R b KQkq -,b8d7
3r3k/p2q1ppp/8/2R5/1P2b2P/1BQ5/P4PP1/6K1 w - -,c5c7
1R6/7p/3k2p1/3n4/1N3p2/1Pr5/2P3PP/6K1 b - -,d5e3
1k6/8/PK4p1/3p3P/1P3PP1/1b1p4/3B4/8 b - -,g6h5
r1b1r3/3n4/p3p1k1/3p2p1/2pB4/P1P3P1/1RP2PB1/4K2R w K -,g2f3
2Rb2rk/6r1/1p1p1q2/1N1Pp2p/4Pp2/1N3PnP/R6K/4Q3 b - -,g3e4
3r3r/5p2/pk3n2/2N1p1pp/1PP2n2/4KB1P/P5P1/3R1R2 w - g6,c5e4
rnbqk2r/ppp1ppbp/6p1/3p2B1/3Pn3/4PN2/PPPN1PPP/R2QKB1R w KQkq -,d2e4
1q6/kpbB4/2p5/p2p2p1/P2P1p2/2P2P2/KP6/3Q4 b - -,c7d6
3q1rk1/r1pnbppp/1p1pp3/p7/2PPPB2/2Q3P1/PP3PNP/2RR2K1 b - e3,c7c5
2r5/2Pq1k2/4p1p1/P1QnBp1p/1p1P3P/1P6/5PPK/2R5 b - -,d7e7
r5k1/ppR3bp/2b3p1/3p4/8/4BPP1/PP5P/1B4K1 w - -,e3c5
5B2/2q2ppk/4p1p1/4b3/p3n3/P6P/1P2QPP1/5BK1 b - -,e5h2
2rq1rk1/7p/7P/1p3pPQ/p1b5/P2p4/1b1B2B1/R3R1K1 w - -,g5g6
r1q1r1k1/3n1ppp/p4b2/1p2p3/2P5/1PB3P1/P1QN1PKP/R3R3 w - -,a1c1
r1bq1rk1/p2n1ppp/1p1bp3/2p5/3Pn3/2PB1N2/PP3PPP/R1BQR1K1 w - -,d3e4
b7/5pk1/2p1p1pp/2Q1P3/1P2BP2/6PP/3q3K/8 w - -,e4g2
r2r2k1/pp1nppbp/6p1/8/3PP3/4B3/P2NKPPP/2R4R b - -,d8c8
4b1k1/1N5R/5pp1/p2Pp3/1pB1n3/6KP/PP6/8 w - -,g3f3
r2r2k1/2q2bpp/2p2p2/1pn1pPP1/4P2P/1P2N3/2P2QB1/RR4K1 b - -,c7d6
2rq1bk1/pb3p2/1p5p/2np1B2/3B4/2P4Q/P4PPP/R2R2K1 b - -,c8c6
1r1q1rk1/pp1bppbp/2np1np1/2p5/P3P3/2PP1NP1/1P1N1PBP/R1BQ1RK1 w - -,f1e1
2rq1rk1/pp1n1ppb/2p1pn1p/3p4/1PPP4/P1N1PN2/4BPPP/R1Q2RK1 w - -,f1e1
4r1k1/p1rq3p/2p1pbp1/2Bp4/3P4/1PPQ3P/P3RPP1/4R1K1 b - -,c7b7
4n3/pp1k1p2/7p/3pB1p1/1b1P4/1N2PP2/P3K1PP/8 w - -,e2d3
6k1/p4p2/2p3n1/2P1p1bp/NqN1P3/PP3PPK/8/3Q4 b - -,b4b7
7k/2r3p1/3rb2p/p1pp1p2/8/1P2P1P1/P4P1P/2RR1BK1 w - -,c1c3
k1b1rb2/8/7p/3pB1p1/3P4/P3R1P1/5P1P/4R1K1 w - -,e1b1
8/1p3k2/3p4/pP1P1PR1/3r2P1/4K3/8/8 b - -,d4d5
r7/3q4/2p1k1n1/r1Pp1p1n/P2PpPp1/1Q2P1P1/4N1B1/R2R2K1 w - -,a1a2
3r1r2/2p3k1/p1P4p/1p1PN1p1/3b4/5BP1/P1b2PP1/4RRK1 w - b6,e5d7
r4rk1/1p3pbp/p1pq2p1/8/1P1pP3/3PB2P/2PQ1PP1/1R3RK1 w - -,e3f4
4k2r/1p4p1/p3Pp2/3p1P2/3P1BBN/nnP3K1/2b5/7R w - -,h1h2
1k6/1p5p/p1b5/3r2P1/4n3/8/PPP3P1/3RR2K w - -,d1d5
2rq1rk1/pb1nbpp1/1p2pn1p/2ppN3/2PP1P2/1PNBP3/PBQ3PP/3R1RK1 b - -,d8c7
8/8/8/2b5/R1k5/p6r/8/1KN5 b - -,c4b5
5rk1/r4p1p/1qnp2p1/p2Qp1b1/1pP1P1B1/PP6/2N2PPP/3R1RK1 w - -,a3b4
rn1q1rk1/pb3ppp/1p1pp3/2p5/2PPn3/P1B1PN2/1P2BPPP/2RQ1RK1 b - -,b8d7
r1b1kb1r/1pp1pppp/p1q2n2/8/3P4/2N5/PPP2PPP/R1BQKB1R w KQkq -,c1f4:d4d5
8/3b4/3P4/2k3p1/1p2Pp2/p4P2/K1N5/8 b - -,c5c4
1r4k1/6pp/p3qn2/1r1p4/3Bp3/2P2P2/QP3RPP/4R1K1 b - -,b5b3
r1bqk2r/pp2bppp/2np1n2/8/4PN2/2N1BQ2/PPP3PP/R3KB1R b KQkq -,f6g4
r1b2r1k/pp2b1pp/1qn1pn2/3p4/3P4/2NB1N2/PP3PPP/R1BQR1K1 w - -,c1e3
r2q1rk1/pp1n1ppp/2pbp3/3n1b2/3P4/2N1PN2/PP2BPPP/R1BQR1K1 w - -,c1d2
r2r2k1/pb2qppp/1p6/2Pp4/1n6/Q1P2NP1/P3PPBP/2RR2K1 b - -,b4a6
3r1bk1/r1nq1pp1/7p/p2pBR2/7P/1P4P1/P1RQ1PBK/8 w - -,e5c7
br3rk1/3q1pbp/p3p1p1/1pRpP1B1/1P1P4/3Q1N2/P4PPP/5RK1 w - -,g5f6
4r1k1/p1pR2p1/1p5p/n1r2P2/4p3/2P3KP/P1PB2P1/4R3 b - -,a5c4
8/p1bb4/2p2kpp/1p2Np2/8/P1P1N2P/BP2KPP1/8 b - -,c7e5
2r2bk1/5p1p/rp2p1p1/1NppNnP1/P2P1P2/1P2P2R/7P/2R3K1 b - -,f5d6
3r3k/1Q4p1/p2N4/3Pn1qp/3pB3/8/PP2b2P/5R1K w - -,f1g1
8/1b4k1/5rp1/3p3p/1P1Kp3/2P5/4B2R/8 w - -,b4b5
4RB2/6b1/2p3pk/6Np/2P3bP/1P4P1/r4K2/8 w - -,f2e1
1r2rbk1/2qb1ppp/p2p1n2/1ppP4/2P1PR2/1PN1Q2P/P3B1P1/R3N1K1 w - b6,g2g4
3r1rk1/1p3ppp/1qpbp3/p3N3/PnQPPP2/4N1P1/1P4KP/2RR4 w - -,e5f3
r5k1/4pp2/n4qpp/2pPp3/PrN5/R7/5PPP/2Q2RK1 w - -,a3f3
2k3r1/p3np2/1p1n1q2/2pPpP2/2P5/2PB1QP1/P2B2K1/7R b - -,e5e4
r1b1k3/pp2np1p/4p1r1/2p5/1nP2N2/2B5/PP3PPP/R3KB1R b KQq -,b4c2
5rk1/pbp3pp/1p1p3r/3Pp1q1/2P1Pp2/P1PB1PnP/3B1QPK/1R4R1 b - -,b7c8
8/2r5/3k1p1p/1p1P2p1/pP2P3/2RK1PPP/8/8 b - -,c7c3
r4rk1/1pp3qp/n2p2p1/p1nNp3/1PP1P3/P3Q3/4BPPP/3R1RK1 b - b3,c5e6
8/1b3p2/3k2p1/pp1p3p/1P1K4/P3PPPP/6B1/8 b - b3,a5b4
r3r1k1/pp1b1ppp/2p2q2/2PpR3/3P4/2NQR1P1/PP3P1P/6K1 b - -,e8e5
r2q1rk1/pp2bpnp/2p3p1/3p4/3P2P1/2NNP3/PPQ2P1P/1K1R3R b - -,a7a5
r1bqr1k1/ppp2pp1/1b1p1n1p/8/4P2B/1PNB4/1PPQ1PPP/R3K2R w KQ -,e1c1
r1b1k2r/1pqnbppp/p2ppn2/8/2PNP3/1P1B4/PB2QPPP/RN3RK1 b kq -,e8g8:d7e5
8/1p1r1k2/4np2/1P2p1p1/2R1P2p/6PP/1BK2P2/8 w - -,b2c3
6Q1/3q1p1p/5P2/1pp2k2/7p/2P2p2/1P6/R2B2K1 b - -,f3f2
8/p6p/1p2k1p1/5pP1/2PP4/5Nb1/PP6/3K4 w - -,d1e2
4rrk1/p1pq2pp/2pb1p2/3p1b2/N2P4/3B2P1/PPPQ1PP1/R4RK1 w - -,a4c5
8/7p/4R1p1/2p5/3r1k2/2K2P2/6PP/8 b - -,d4a4
8/3R1pkp/6P1/8/1r1n2P1/6K1/2B2P1P/8 b - -,h7g6
r1bq1rk1/pp3pb1/2ppnnpB/4p2p/2P1P2P/2NP2P1/PP1QNPB1/R4RK1 b - -,g7h6
r2qk1nr/ppp4p/2pb2p1/4Nb2/3Pp3/2P5/PP1NQPPP/R1B1K2R b KQkq -,g8f6
7r/2p3kp/p3R1n1/Pp6/2pr4/6N1/1PP3PP/R5K1 b - -,d4d2
r2qk2r/1ppb1ppp/p1n1pn2/4N3/Q1pP4/2b3P1/PP2PPBP/R1B2RK1 w kq -,e5d7
5Q2/7p/8/4q1pk/4p3/3rp1R1/6PK/8 w - -,f8f7
3rrbk1/1pBb1pq1/1Np5/p2p3p/3Pn1P1/P2BP3/1PQ2PP1/1RR3K1 b - -,d7g4
2rr2k1/5p1p/pn2pbpB/8/3P4/PB3N2/5PPP/2RR2K1 w - -,c1c8
r1bqkb1r/pp3ppp/2n2n2/3p4/3PpN2/2N1P3/PP3PPP/R1BQKB1R w KQkq -,d1b3
1Q4k1/p4q2/2p1r2b/3p3p/4p1bP/2P3B1/PPR2P2/4R1K1 b - -,g8h7
4rrk1/1n1bq1b1/3p2pp/p1pP4/1pP1pP2/PP2P2P/1BQ2NB1/1R2R1K1 b - -,d7f5
5Q2/8/6p1/5p1k/3b2P1/7P/5q2/7K b - -,h5h4
r1b1nbk1/1q2n1rp/3p4/1p1Pp3/4Pp2/N4PP1/1P2BBP1/2RQNRK1 b - -,f4g3
1R6/8/p1Bp4/1p2b3/1k2P3/2n5/2K5/8 w - -,b8b6
2kr3r/ppqb1p2/2nbp2p/1Bpp1P2/3P2P1/1QP2N2/PP1N1KP1/R6R w - -,b5c6
R1bqn3/2p1r1bk/B2n4/2QPp1pp/4Pp2/5P2/PB4PP/2R4K b - -,g7f6
2n3rr/1k1b1pp1/ppn1p2p/3pP2P/P1pP1PPN/B1P3R1/2P1B1K1/R7 b - f3,g7g6
5r2/R7/2p5/2Pk1p2/P2PpK2/8/8/6R1 w - -,a7d7
8/8/1p2k1pp/p4p2/3P1P2/1NP1N1P1/PnK2n2/8 b - -,b2a4
3k4/1pp1bp2/p5p1/8/2p1P1Pr/2B3K1/PPP2P2/4R3 b - -,g6g5
2kr2r1/p1p2p1p/4bPp1/qR1p4/2P5/5Q2/P3BPPP/2R3K1 b - -,a5a2
4r1k1/R2b1p2/1n1p2pp/2pP4/1p1b2P1/5BBP/1PQN1PK1/4q3 b - -,e1e7
8/pk4pp/5p2/1K2p3/P7/4B3/2r2PPP/8 w - -,g2g3
4r2k/1B5p/6p1/p1p3n1/2Pp4/1P4P1/P2PP1K1/R7 w - -,b7f3
5k2/7R/p2p1Pp1/2p5/2b2N2/R6K/5P2/4rn2 w - -,a3a6
rn1q1rk1/pb1p2pp/1p2p3/2p2p2/2PPn3/2PBP3/P1QN1PPP/R1B1R1K1 b - -,d8h4
6k1/p4ppp/B3pb2/3q4/8/1P3nP1/P4P1P/2Q2RK1 w - -,g1h1
r1b2bk1/pp4qp/2n5/3B4/2PP4/PP5N/6PP/R2Q2K1 b - -,g8h8
r1bq1rk1/4bppp/pn1p1n2/1p1Pp3/6P1/PPN1BP2/2PQ3P/2KR1BNR b - -,c8b7
8/4kp2/2pn1p2/p3p3/2B4p/1P3P1P/2K3P1/3Nb3 w - -,c4a6
6k1/7p/1R4p1/6P1/P4P2/5K2/r7/8 b - -,a2a4
r4rk1/pb2qppp/1pn2n2/2bp4/8/2NQPNP1/PP1B1PBP/R2R2K1 w - -,a2a3
5r1k/1B4pp/2P3q1/3P4/2R2P2/6Q1/3r1PKP/8 b - -,g6b1
3r2k1/1p1q2bp/1PrPpnp1/p1p1p3/P3P3/B1NQ4/5PPP/3R1RK1 w - -,c3b5
r1b1qrk1/pp1n3p/2p5/5p1n/2PNp3/2N3P1/PP2QPBP/3RR1K1 b - -,d7e5
8/5pk1/p4p2/1p2p2P/1P4P1/P3qP2/1Q4K1/8 b - -,g7g8
r3r3/2p2pk1/5npp/p3p3/2q1P3/4RPPN/2PQ3P/R5K1 b - -,e8d8
r1bq1rk1/ppn2pb1/3p1npp/2pP4/P1P5/2NBBN1P/1P3PP1/R2QK2R b KQ a3,a8b8
5nk1/p2q2pp/1p2p3/2p1Pp2/2P5/1P1Q4/PB3PPP/6K1 w - -,d3d7
r3k2r/1bqpbp1p/p3pNp1/3nP3/4NP2/3P4/1P4PP/R1BQ1RK1 b kq -,d5f6
r3kb1r/ppq2ppp/2p2n2/2n1p2b/4P3/5NPP/PPPN1PB1/R1B1QRK1 w kq -,f3h4
2rqr3/5pkp/2n3p1/p1Q5/8/P3NBP1/1P5P/1R3RK1 b - -,c6d4
8/pb1kb3/2p1p1QP/1pP1q3/8/4P3/2B2PPK/8 w - -,g2g3
5bk1/pq4p1/1p2P1pp/8/Q6P/1R4P1/P4P2/B3rBK1 b - -,e1a1
r1bqk1nr/ppppbppp/2n5/8/4P3/2N1Q3/PPP2PPP/R1B1KBNR b KQkq -,g8f6
rr2n1k1/3nppbp/1q1p2p1/1NpP4/P3P3/5NP1/1PQ2PKP/R1B4R w - -,c1d2
8/p7/7R/1k4p1/1P4r1/P7/1K6/8 b - -,g4g2
2b5/ppk3pp/2p5/5P2/4n3/1B4PP/PP6/2KR4 w - -,g3g4
1Q1b2k1/5p1p/p5p1/1rn1P3/2Np4/3P2BP/P5P1/5R1K b - -,b5b8
3r1b2/1p2npk1/6p1/2RNp1Pp/1P2p3/7P/B2B1P2/K7 b - -,e7f5
bn1q1rk1/4bppp/3p1n2/1pp1p3/4P3/1NNP2P1/1PP1QPBP/2B2RK1 b - -,d8b6
1r3rk1/p1qnppbp/2bp2p1/2p5/2PP4/1NB1P1P1/P3QP1P/2RR1BK1 b - -,c6a4
r2qk1nr/pppb2bp/2np2p1/3Ppp2/2P5/2N1P1P1/PP2NPBP/R1BQK2R b KQkq -,c6e7
4rnk1/q7/5BP1/2Np4/1p3Q2/6R1/P1n1r3/1K4R1 b - -,c2a3
4rrk1/2R3pp/p2p2q1/3P1p2/P3pP2/1PQ1R2P/6P1/6K1 b - -,g6h6
r2q1rk1/3b1p2/5npQ/P2pp2p/1p2P2P/5P2/1PP1N1P1/R2NK2R w KQ -,d1e3
r1b2rk1/pp1n2pp/1qp5/3p1P2/2Pp4/4P3/PPQNNP1P/R3K2R w KQ -,e2d4
1r1q1rk1/3bppbp/p2p1np1/nppP4/2P5/1PNQ2P1/P1N1PPBP/1RB2RK1 w - -,c1d2
2rq1rk1/3bppbp/n4np1/pp1PN3/3P4/PB6/1P3PPP/RNBQ1RK1 w - -,f1e1
8/6k1/3R2P1/7p/1P3p2/5K2/6P1/1r6 w - -,d6b6
2b2rk1/p4pbp/3p2p1/2p1nP2/qnP1PN2/1R1P1N2/P2Q1R1P/5B1K w - -,f3e5
3r2rk/R5p1/3p4/7p/2P1pp1b/1P3PqP/PB2Q1P1/3R2K1 w - -,f3e4
8/7p/p4kp1/3b4/3Pp3/1P2K3/P1B3PP/8 b - -,f6f5
r4rk1/1ppq1pp1/1p1p2np/nP1Pp3/4P3/4B3/P1PNQPPP/R4RK1 b - -,f7f5
5r2/pp1b1rbk/3q2pp/2p1p2n/2PpP2P/PP1P1NP1/3BR1BK/2Q2R2 b - -,d6e6
r1r3k1/p4pp1/1bNBpn1p/3n4/8/3N4/5PPP/2R1R1K1 b - -,f6e8
6k1/5pp1/p7/1pp1p3/5PP1/1PP3K1/1P6/2nN4 b - -,c1e2
r4rk1/1pqn1ppp/4p3/3p4/p2P2QP/P3R3/BPP2PP1/1K1R4 b - -,d7f6
Q7/8/8/4p2p/5Pq1/8/7K/4k3 b - -,g4f4
r1bqr1k1/2p2ppp/1p1p1n2/p1nP4/1b5P/2N1PN2/PPQB1PP1/2KR1B1R w - -,f1c4
1rr3k1/4q1pp/1nB2p2/p1bPp3/Pp2P3/1P5P/2R1QPP1/2R3K1 w - -,c2c5
6k1/5ppp/4p3/3p4/p2P4/B3PP2/P1r1nKPP/R7 w - -,f2e1
rq2r1k1/1p2bppp/p3pnb1/8/P2N4/1BB1PP1Q/1P4PP/R2R2K1 b - -,e7c5
5rk1/p3bpp1/q3pn1p/2np4/1pPN4/4BPP1/1P1NP1KP/Q2R4 b - -,a6b7
3r2k1/5pp1/2Rp4/2nP3p/1q3P2/p5P1/Qb4BP/3R3K w - -,d1b1
r2qr1k1/pp4b1/2npPnpp/1N2p3/4Pp2/5P2/PP2BBPP/R2Q1R1K b - -,g7f8
8/P6p/5pp1/3k4/Q7/4q2P/K7/8 b - -,e3d2
8/3N3b/8/3k2P1/5K2/2P5/8/8 b - -,d5c4
r1bqk2r/1pppnpbp/2n3p1/p3p3/2P5/2NPP1P1/PP3PBP/1RBQK1NR b Kkq -,e8g8
1rrnq2k/5n1p/2pp1pp1/1p2p3/1P1PP3/1BP3PP/3Q1PKN/R3R3 b - -,b8a8
r2r2k1/pp2qppp/2nQpnb1/8/P1N1P3/2B2P2/1P3KPP/R4B1R w - -,d6e7
r6r/ppkn1n2/2b1p3/2p1P3/7B/2PB2P1/PP2QP2/2KR4 w - -,f2f4
r4rk1/1pq1ppbp/p5pn/2n5/3Nb3/1QP1BP2/PPN1B1PP/R4RK1 w - -,b3a3
2k5/6pp/1p3p2/n7/2PK1P2/1p4P1/1P5P/2N5 b - -,c8c7
r1bqkbnr/5ppp/p1npp3/1pp5/4P3/P1NP1N2/BPP2PPP/R1BQK2R b KQkq -,g8f6
3r4/pk5p/4b1n1/2B2p2/8/P1P2P2/4BKPP/3R4 b - -,d8d1
r1nQ1b2/1b3qkp/1p3P2/p1p1p1p1/4P1N1/2P3P1/PP4BP/R5K1 b - -,g7h8
r1bq1r1k/pp1n2bp/3PQpp1/1N2p3/8/4BN2/PP3PPP/R3R1K1 b - -,d7b6
1rbq1rk1/6bp/p2p1ppn/nppP4/2P1PP2/1PQ4P/PB1N2B1/3NRRK1 b - e3,b5c4
3q1rk1/1b2bppp/p2p4/1p1np1P1/7P/PP2rP1B/2PQ4/2K1R1NR w - -,e1e3
4r1k1/2q2rp1/p1bb4/1p1pp1BQ/7N/P1P4P/1P3PP1/2R2RK1 w - -,g5e3
6k1/6bp/8/2q2p2/2Pp4/3Pp1PP/1pB1K3/4Q3 b - -,c5c6
7r/1p6/3p1rB1/p1p1kP2/5RRp/1bP1P2P/1P5K/8 b - -,b3c2
2r2rk1/1b2pp1p/p5p1/2q5/8/1B1QRP1P/PP4P1/5NK1 b - -,a6a5
7k/8/4Bb2/PR4pp/8/4P3/1P2K2P/r7 w - -,e2d3
8/1npb4/1p1p1kp1/3P1p2/1PPNpPP1/6K1/4P3/7B w - -,g4f5
r3r3/3nq1kp/p2p1pp1/1ppP4/P1P1NP2/1P4QP/2BB2K1/5R2 w - -,d2c3
8/6kp/8/1R6/p4K1P/5P2/B1r5/8 w - -,a2d5
2br2k1/rpq2pp1/p3pn1p/4N3/2P2Q2/P4B1P/2P2PP1/RR4K1 w - -,a1a2
2R3k1/4p1bp/3p2p1/1N3r2/1P3n2/7P/r2B1PP1/3R2K1 b - -,g8f7
8/3r1k2/3B1n2/2p2P2/8/2KR4/8/8 b - -,f6e4
r3r1k1/pbqn1pbp/1ppp2p1/8/P2BP1P1/2N5/1PP2PP1/R2QRBK1 b - -,g7e5
5rk1/1B3ppp/p2p4/4q3/8/2P4P/b1PQ2P1/3R3K b - -,a6a5
1rq1r1k1/1ppbbppp/2np1n2/p5B1/4P3/2P2NP1/PPQN1PBP/R3R1K1 b - -,b7b5
6k1/7p/2p5/3p2p1/N2Pb3/1P1q2P1/P4Q1P/4K3 w - -,f2d2
r2q2k1/1r1n1p1p/3p2p1/1b1Pp3/p1p1P3/2P1N2P/RP1NQPP1/R5K1 b - -,a8c8
3r1rk1/1p1b1p2/p1P2qpb/4p3/2B1P2p/2N2P2/PP3QPP/R2R3K b - -,d7c6
3r2k1/pbnqrpb1/1p4pp/2p1p3/7P/P1BP2P1/1P1NPPB1/2R1R1KQ b - -,b7g2
8/1p6/p1b3p1/4kn2/6Rp/4K2P/6P1/8 w - -,e3d2
2r3k1/5Bp1/5b1p/1p5P/1B6/pPP5/P1K5/6R1 b - -,g8f7
6k1/3b1p2/pp1npb1p/3p2p1/1P1N1PP1/P1BPP2P/4B1K1/8 w - g6,g2f3
rn1q1rk1/1p2bppp/p2pbn2/4p3/P3P3/2N3P1/1PP1NPBP/R1BQ1RK1 b - -,b8d7
4rrk1/ppqn1ppp/2pbp3/6P1/3P3P/5Q2/PPP2P2/1KBR1B1R w - -,f1d3
8/1p6/p4k2/2N1p3/4P2K/P7/2n2P1P/8 w - -,a3a4
1r3rk1/2pnbpp1/p1q4p/4pR2/P3P3/2P1R2P/B1Q2PP1/2B3K1 b - -,e7g5
3rr3/pp1nkppp/3bbp2/2p5/3P4/2PB4/PP2NPPP/R1B2RK1 b - -,e7f8
5n2/1Q4k1/4p1p1/2p3Pp/2Pq1P2/1P6/6P1/r4R1K b - -,g7g8
r3rbk1/pp3pp1/3p3p/q2P1b2/1n1Bp3/1PN1PPP1/P5BP/2RQ1RK1 b - -,e4f3
N1b2rk1/pp3ppp/4p3/3pP3/q2Pn2P/7R/P2Q1PP1/2R1KB2 w - -,d2b2
1R2r2k/p4pp1/6qp/3p4/3P1B2/2Pb1PP1/P6P/3Q2K1 b - -,e8b8
r4rk1/p4ppp/bpnq1b2/3pN3/3P4/1B6/PP3PPP/R1BQR1K1 w - -,c1f4
1r1qr1k1/p1p1bpp1/1p4p1/B2P4/2p5/5N1P/P1P2PP1/1R1QR1K1 b - -,b6a5
8/2Bnk3/5p2/1p3P2/4P3/4K3/2P5/8 b - -,d7c5
2rr2k1/5pp1/1p3b1p/p3n3/3p3P/P5P1/1P3PK1/1RBR1N2 w - -,b2b4
8/8/8/2k5/5p2/1K3B2/6P1/2r5 w - -,b3b2
r1bqk2r/pp2bppp/3p1n2/8/N1Q5/8/PPP1NPPP/R1B2RK1 b kq -,e8g8
2kq1b1r/p7/1np5/3pPp2/1p1P2p1/1P6/P1PQ3P/1K1N2RR w - -,g1f1
8/2k2p2/pr4p1/R2K2P1/4P3/8/8/8 w - -,a5a1
r2qk2r/pppnbppp/4pn2/6B1/3P4/3B1QN1/PPP2PPP/R3K2R b KQkq -,c7c6
6rk/pB3p2/3P1b1p/8/1n3q2/8/1P1R1P1P/3Q3K w - -,d6d7
2r1r1k1/1p2bpp1/1qb4p/p3P3/P2p1Q1N/6P1/1P3PP1/R1RN2K1 w - -,h4f5
4b3/3r3p/1k3p1N/p1pp3P/5PP1/1PP5/PK2R3/8 b - -,e8f7
r1b2rk1/3np1bp/p1q2pp1/3p4/p2P4/2PB1N1P/1P3PPB/R2QK2R w KQ -,d1a4
r2r2k1/pp3Pp1/nq1Ppn2/2p1b3/2P4P/P6R/NPQBB3/1K1R4 b - -,g8f7
