8/6pk/R6p/8/5r2/7P/7K/8 w - -,h2g3
2rqrbk1/3n1p1p/p4np1/4p3/PPb1P3/4BNNP/2BQ1PP1/R3R1K1 b - -,d8e7
k2r3r/1p3pq1/p1p1p1p1/P1PpPnPp/1P1P1Q2/1K3NP1/5P1R/6R1 w - -,g1h1
3qr1k1/2r1pp1p/p2p2p1/1p1b2B1/3P1Q2/7P/PP2RPP1/4R1K1 b - -,f7f6
8/2p2p2/1p2n3/2p1k1p1/P1P3P1/3BK2P/8/8 w - -,d3e2
1q2r1k1/1p2bpp1/6bp/3N4/3Pp3/1P2Q3/1PPB2PP/R5K1 b - -,e7g5
4r1k1/1p1b2pp/p3p3/8/3N1r2/P7/1P3PPP/3RR1K1 w - -,g2g3
8/4Qpk1/p5r1/1p2K3/1P6/P7/8/8 b - -,g7g8
r2q1bk1/5pp1/p1pprn1p/1p6/3QP3/P1N1B2P/1PP2PP1/R3R1K1 w - -,e3f4
2r2r1k/8/6p1/3q1np1/1Qn5/P1R1P1P1/3P1P1P/2R3K1 w - -,c3c4
r1bqkb1r/p1pp1pp1/2p2n1p/6B1/4P3/8/PPP2PPP/RN1QKB1R w KQkq -,g5h4
rnb1k2r/ppq2pbp/2p1pnp1/3p2B1/2PPP3/P1N2N2/1P3PPP/R2QKB1R w KQkq -,e4e5
r1bq1rk1/1pp1npp1/1p1p1n1p/8/2B1Pp2/3P3P/PPP3PN/R1BQ1RK1 w - -,c1f4
3rr1k1/pp2n1pp/1b1q1p2/3pB3/2P5/1NN5/PP3PPP/R2Q1RK1 b - -,f6e5
r3r1k1/p1q1bpp1/Qp2p1np/2p1P3/2N5/2P2N2/PP3PPP/2R1R1K1 w - -,c1d1
rnbqkbnr/ppp2ppp/8/3pp3/8/5NP1/PPPPPPBP/RNBQK2R b KQkq -,b8c6
4Q3/r1q1b1pk/p4p1p/4p3/2P5/1PN5/P4PPP/3R2K1 b - -,c7b7
8/2r3p1/4RP1p/8/3p4/3k2PP/8/4K3 b - -,g7f6
r1b2rk1/1pqnppbp/2pp1np1/pP6/2PP4/4PN2/PB2BPPP/RN1Q1RK1 w - -,b1d2
5r1k/p2bn1bp/3p2p1/q1p3N1/2PpPP1P/P2Q2P1/1r1N1RB1/2R3K1 b - -,b2a2
3RR3/1b4pk/1p5p/8/pP1p1P2/3P2P1/1q5P/5K2 b - -,b2c1
rn1q1rk1/p2pbppp/1p2p3/3nP3/3P4/P2Q1N2/1P3PPP/RNB1R1K1 b - -,b8c6
r3k2r/ppp2ppp/1nn2b2/5b2/1P2pP2/P1NqP1P1/3PN1BP/R1BQ1RK1 w kq -,a1a2
2r3k1/1R3p1p/4nbp1/8/p7/4B1P1/PP3PBP/6K1 w - -,g2d5
r3k2r/pp3pp1/2n4p/q4b2/1b1pnN2/6P1/PP1NPPBP/R1BQK2R w KQkq -,g2e4
3r1rk1/1p3q2/p7/3p3p/4p1pP/1P2PnPQ/P7/1BRR3K w - -,h3g2
5bk1/1p3pp1/2p1n2p/p3B3/P4P2/1PPr1NPP/4R1K1/8 b - -,f7f6
5r1k/7p/3p2n1/2pPp3/4P3/2P2PB1/5R2/2K5 b - -,h8g7
2r2rk1/pb2qpp1/1pn1p2p/2p1N3/3PpP2/2P1PR2/PP1NQ1PP/3R2K1 w - -,f3f2
2r1N1k1/7p/pn2q1p1/2pp1p2/4nB2/1Pb2QP1/P3PPKP/1R2R3 w - -,e8d6
2r3k1/3p2pp/p3p2r/np2Pp2/2bN4/2P5/PPB2RPP/4R1K1 b - -,a5b7
1r1q1rk1/4npbp/3pp1p1/1n6/1p1NPPP1/4B2P/1P4B1/R2Q1R1K b - -,d6d5
rn3rk1/3qppbp/4b1p1/p2p3P/1ppP1BP1/4PP2/PPP4Q/1NKR1B1R b - -,g6g5
8/6p1/p3pk2/8/p1P2P1P/P3RK2/6P1/2r5 w - -,g2g4
3q4/1p5p/p1p3pk/P1P5/1P3b2/5P2/4Q2P/3B2K1 w - -,g1g2
8/R5k1/8/6p1/6P1/3nN1K1/1r3P2/8 b - -,g7g6
8/5k2/p1N4p/3n2p1/8/1P4P1/P6P/6K1 w - -,g1f2
5rk1/p1p2p1p/2p2P1P/7b/4p3/4P1q1/PPPQN3/2K1R3 b - -,g3h4
2rq1rk1/1b1nppbp/1p1p1np1/p7/2PNP3/1PN1BP2/P2QB1PP/2RR2K1 w - -,a2a3
r1bq1rk1/p3npbp/2p1p1p1/3pP3/3P4/2N2N2/PP3PPP/R1BQ1RK1 w - -,b2b3
2r3k1/2b1q1p1/p1p1pp1p/8/3Q4/P1N1P1P1/1P3P1P/3R2K1 w - -,d4c4
rnbqkb1r/1p2pppp/p4n2/3P4/3P4/5N2/PP3PPP/RNBQKB1R b KQkq -,f6d5
r5k1/1p1bp3/3p3p/1PpPb2q/P3Br2/8/R3PPNP/1Q3RK1 w - -,g2f4
8/1N3k2/6p1/p4pP1/2P2P2/1P6/2n3K1/8 b - -,a5a4
r1b1qrk1/2n1pnbp/3p2p1/p1pP2N1/2P2P2/4B1NP/3Q2P1/1RRB2K1 w - -,g5e4
5rk1/ppq3pn/3p2np/2pPp3/2P1N3/2Nr2PP/PP2QP2/4R1K1 w - -,e2d3
4r2k/4P1p1/3B1p1p/1p1q4/2ppbQ2/1P6/P2R2PP/6K1 w - -,b3c4
r1bq1rk1/pp4pp/2n1pPn1/2bp4/8/3B1NB1/PPPN1PPP/R2Q1RK1 b - -,d8f6
6r1/pkp5/1p2r1p1/5p1p/3R3P/1P6/P1PK1PP1/7R w - -,h1e1
r4rk1/p3bppp/q4n2/2p3B1/1nNp4/1N1P4/PP3PPP/R2QR1K1 b - -,f8e8
r4rk1/pp1bp1bp/1q1p4/3P1p2/3N1P1n/2PQP3/P5BP/1RB2R1K b - -,b6c7
r1bq1rk1/ppp1nppp/3p1n2/2b1p3/3PP3/1BP2N2/PP3PPP/RNBQ1RK1 b - -,c5b6
1q2b1k1/4ppbp/p2p1np1/n1pP4/2P1PPP1/B6P/P1QNN1B1/6K1 w - -,a3b2
rnbqkb1r/p2ppppp/1p3n2/2p5/2P5/1P3N2/PB1PPPPP/RN1QKB1R b KQkq -,e7e6
r3r1k1/2pq1p2/p1b2Qp1/3p4/1P1Pn3/N1P5/2B3PP/R4RK1 w - -,c2e4
8/1p4k1/2p2p2/p5p1/P1BPP3/N6q/1P2KR1b/8 w - -,a3c2
1qr3k1/1b2bpp1/p2p1n2/1pr1p2p/4P3/P1N1Q1PP/NPP2P2/3RRBK1 w - -,e3f3
4r3/3R1pkp/4b3/1pp2P2/p3B1P1/8/1P5P/6K1 w - -,f5e6
1rb2r1k/4qpp1/1pB1p2p/p1n5/8/1NR1P3/PPQ2PPP/5RK1 b - -,e7d6
rb3r1k/3bqp1p/p1n1pp2/1p6/1P2NPQ1/P2BP3/6PP/2R2RK1 w - -,g4h4
8/3r1p2/2N2k1p/p4p2/Pp6/1P3KP1/7P/8 w - -,c6a5
rn1qkb1r/1b3ppp/p1p1pn2/1p2N3/2pP4/2N3P1/PP2PPBP/R1BQ1RK1 w kq -,b2b3:a2a4
r1bq1nk1/1p3p2/2p2n1p/p2p2p1/3P4/P1NBrNPP/1P1Q2P1/1R3RK1 b - -,d8e7
3q2k1/5ppp/pN2p3/PpQ5/1n1P4/5PP1/1P3P2/6K1 b - -,d8f8
5b1r/B4ppp/4k3/4p3/1P6/5P2/P1r2P1P/R3K2R w KQ -,a2a3
r2qk2r/p1p1bppp/np2p3/3pP3/3P4/2P2N2/PP1QNPPP/R3K2R b KQkq -,c7c5
7R/5k2/8/4pp2/6pP/6K1/2r2P1P/8 b - -,c2c3
r1bq1r2/1p3pbk/p1ppn1pp/4p3/4P3/P2P3P/BPP2PPN/R1BQ1RK1 b - -,f7f5
5rk1/2p1qpbp/p1n1b1p1/2P1p3/2N1N3/6P1/P3PPBP/BQ3RK1 b - -,e6c4
5k2/3r2p1/1R4P1/p4p2/7P/P7/KP6/8 w - -,b6b5
r2q1rk1/pp3pp1/2b1pn1p/8/P2PP3/3B1N2/3Q1PPP/R3R1K1 w - -,a4a5
8/3Q4/p5pk/4q2p/3bNp2/3P3P/1R4P1/7K b - -,d4b2
2r3k1/4pp1p/1q1p1bp1/1N1P4/P7/1P1Q2P1/5P1P/5RK1 w - -,f1b1
1r1q1rk1/3bppbp/3p1npB/nppP4/4P3/1PN2P2/P2QN1PP/2R1KB1R w K -,h6g7
8/p3rk1p/bp1r1pp1/P1pPb3/2P3P1/5B2/2RB1PKP/4R3 b - -,d6d8
6k1/2q2p1p/p7/1p1Pb3/4Qp2/4pPP1/PP2N2P/6K1 b - -,f4g3
2rqk2r/3nbppp/p2p4/1p2pP2/2b1P1n1/1NN1B3/PPPQ3P/1K1R1B1R w k -,h1g1
r1b1q2k/b2p4/2p4B/p1QnP3/3P4/6P1/P2N3P/1R4K1 w - -,c5c4
3r2k1/5p2/1N1p1Pn1/p6p/3RP1r1/P1p3K1/2P5/3R4 w - -,g3h2
1rb2rk1/2q3bp/pp1p1np1/2pPpp2/P1N1P3/1PN2P2/2PQB1PP/R3R1K1 w - -,e2f1
1R6/8/8/3p4/3PkBpn/4P2r/5P2/6K1 b - -,h4f3
1rbq2rk/p3b1np/1pBp1n2/2pP1p2/1PP1pP2/P1N1B1NP/3Q2P1/R4RK1 w - -,b4c5
2r2rk1/pp1qb1pp/1n2bp2/3p4/1npP1P1N/1PN1B1P1/P3P1BP/2RQ1RK1 w - -,f4f5
r2qk1nr/1b1nbp1p/pp1pp1p1/8/4P3/1NNB4/PPPBQPPP/R4RK1 w kq -,f2f4:a1e1
2b1r1k1/2q3p1/1p2p2p/p6P/3P1PB1/1R2Q1P1/PPr5/4R1K1 b - -,e6e5
8/8/p1k5/1n3p1p/1PK2Pp1/2B3P1/6P1/8 w - -,c3e5
2k3R1/2b2p2/p3p3/4P3/1PP2P2/7p/2PB3r/2K5 b - -,c8d7
3rr2k/pp3pbp/6p1/5q2/4nP2/1B3N1P/PP2QPP1/3R1RK1 b - -,d8d1
rn2k2r/1p2bppp/3pbn2/q3p3/p1P1P3/2N1BP2/PP1Q2PP/R1N1KB1R b KQkq -,e8g8
4n3/7R/3p3p/3Pp3/2Pb2PP/4kP2/6K1/8 b - -,e3d3
8/b7/8/4kp2/8/5PK1/8/8 w - -,g3g2
8/1Q2b3/p3q3/2P3p1/4p1kp/4B1P1/5PK1/8 w - -,c5c6
2b3k1/6p1/p3pp1p/1pN1P3/1P6/P5PP/5P2/6K1 w - -,f2f4
3q2k1/1p2rnb1/p2p2p1/2pP2N1/3n1B1p/2N2P2/1P4PP/R2Q3K b - -,d8d7
2r4k/3R2R1/7p/p6P/1n6/8/6K1/2r5 b - -,c8c2
2rk1b2/pp1np1pr/1q2pnQp/3p3P/3p1B2/2P5/PP1NNPP1/R3K2R w KQ -,c3d4
1krq3r/pp2b1p1/4p3/1PpnPp2/P2P3p/1Q5P/3BBPP1/R1R3K1 w - -,d4c5
1rbqr1k1/p4pbp/3ppnp1/8/2PnP3/2N1BP2/PP1Q2PP/2R1KB1R w K -,e3d4
r4rk1/pp1nqppp/2pbpn2/3pN2b/3P4/1P4PP/PBPNPPB1/R2Q1RK1 w - -,c2c4
r2q1rk1/1b3pp1/p2b1n1p/1p2N1B1/3P4/1B6/PP4PP/R2QR1K1 w - -,g5h4
r1b1r1k1/1p3pbp/2p3p1/q1P5/nR2P3/P3BP2/2Q1N1PP/4RBK1 w - -,e1c1
8/r6p/3k1pp1/8/1pB1P1PP/2bP1K2/8/1R6 w - -,g4g5
r3r1k1/1b3ppp/p1p5/P3p3/1N2n3/1Pn2N2/2PR1PPP/4RBK1 w - -,d2d1
r2q1rk1/pp1bppbp/2np1np1/6B1/3NPP2/2N5/PPP1B1PP/R2Q1R1K w - -,d4b3
8/p1Q2p1k/1p2p3/7p/3P2rP/2P2qP1/P4P2/4R1K1 w - -,e1e3
2r1r3/1p2kpp1/p3p1p1/3pP3/3N4/3B2P1/PP3PK1/7R w - -,g2f3
r4rk1/p4p1p/2p3p1/qp6/2Nb4/1QP3BP/P4PP1/3R1RK1 b - -,b5c4
8/r1p5/1pPp3b/p3p3/2P1Q2k/q7/5P2/2R1K3 b - -,h6f4
r3k2r/1pqbbp2/p1nppn1p/6p1/3NPP2/P1N3Q1/1PP1BBPP/R3K2R w KQkq g6,f4f5
r1b2r2/ppkpbppp/8/3B4/3RP3/8/PPP2PPP/2K4R b - -,f7f5
rn1qk2r/pbp1bppp/1p3n2/3p2B1/3P4/2N1PN2/PP3PPP/R2QKB1R w KQkq -,f1b5:f1d3
5k2/6pp/3p1p2/3PpP2/r3P3/1R4KP/6P1/8 b - -,a4e4
3R4/1p3k2/4p1p1/p2n3p/P1q5/4B1N1/6KP/3B1R2 b - -,f7g7
8/5b2/8/4k3/7p/6pP/6B1/6K1 w - -,g2f1
4B3/4B1kp/3n2pP/4pp2/p5P1/5K2/r7/8 b - -,g7h6
2nr1rk1/pp4pn/2p1p2q/3pPpp1/3P2P1/1P2QP1P/P1PN2B1/3RR1K1 w - -,d2f1
4k3/3n1p2/3qp3/1Pp5/2P4Q/5BP1/5PK1/8 b - -,d7e5
r1bq1rk1/1pp2pp1/p2b1nnp/3Pp3/P1B1P3/2N1BN1P/1P3PP1/R2QR1K1 b - -,f6h5
2br1r2/2q3k1/p4n1p/1p2p1pP/n1p1P3/2P3NN/PP2B1P1/R1Q2RK1 w - -,h3g5
4b3/2B4k/4P3/2N5/pKP5/8/8/4r3 b - -,h7g6
r1bq1rk1/3nbppp/pppp1n2/4p1B1/P1BPP3/2N2N1P/1PP2PP1/R2QR1K1 b - -,a8b8
r1b2rk1/pp4pp/1q3n2/3pB3/8/2PB4/PPQ1NRPP/R5K1 b - -,f6e4
8/p2nk1pp/1p2p3/2p1Pp2/2P2P2/PP6/1B3KPP/8 b - -,a7a6
r5k1/pbp1rppp/1p1q1n2/3p4/3P4/4PNP1/PPQ2PBP/2RR2K1 b - -,f6e4
r1bqkbnr/ppp1pppp/2n5/8/2PN4/4P3/PP1P1PPP/RNBQKB1R b KQkq -,c6d4
3rr1k1/1bq3p1/2p1pn1p/1pP1Np2/3P1P2/1PQ3P1/6BP/2R1R1K1 w - -,c1a1
r4rk1/ppq1npb1/2n1b1pp/2p1p3/4P2P/2P1NNP1/PP2QPB1/R1B1R1K1 b - -,a8d8
2kr1br1/pppq4/4p3/3P3p/1PP2p2/1Q2NBP1/PB4KP/3R4 b - -,f4e3
8/pb5k/5r1p/5P2/1Ppqp2Q/P7/2B3PP/5R1K w - -,h4f4
r1b1k2r/2q2pp1/p1n2n1p/3p4/1b1N1PP1/2N1BB2/1PPQ3P/R4RK1 b kq -,e8g8
r2qr1k1/5p1p/2bP2p1/p6n/1pP5/1P3P2/NP1QN2P/3R1RK1 w - -,a2c1
r2qk2r/1pp3pp/p2b2n1/3Ppb2/2B5/2N1BPPn/PP2N2P/R2Q1R1K w kq -,c4d3
1k6/1p6/p2p3p/3Pr1b1/PP6/4pK2/2R5/3R4 b - a3,e5f5
8/p3k3/2p2p2/1bPp1Bpp/3K3P/P5P1/2P2P2/8 w - -,f5g6
1r1r1k2/1pR2pp1/p1n4p/3p4/3N4/PP2PP2/3K2PP/2R5 b - -,c6e7
r1bqk1r1/pp1n1p1p/4pn1Q/P1p5/3Pp3/2P5/2P2PPP/R1B1KBNR b KQq -,d8c7
b1rq1rk1/2pn1pp1/p3p2p/3nP1N1/1p1PN3/6P1/PP3PBP/R1Q1R1K1 w - -,g5f3
r1bqrnk1/pp1nbppp/2p5/3p2B1/3P4/P1NBPN1P/1PQ2PP1/R3K2R w KQ -,g5f4
8/8/8/1bP2k1p/7P/2K5/B7/8 w - -,a2c4
1rb1kb1r/p1n1pp1p/3p1p2/2pP4/p6N/N1P1P3/PP3PPP/2KR1B1R w k -,f1d3
2r5/5kp1/1RP2p1p/8/1P1r2P1/4p1BP/4P1K1/8 w - -,b4b5
5rk1/1Q3p1p/6p1/7q/8/1B2PN2/P3KPP1/2r5 b - -,h5g4
r1r1n1k1/1p2ppbp/p5p1/1N1Pp3/4P3/4BP2/PP4PP/R4RK1 w - -,b5a3
8/8/5k2/7p/8/r4PP1/4R3/5K2 w - -,f1g2
r2q1rk1/pp2b1pp/2b5/2p5/3pPP1P/3P1N2/PP1Q1PB1/2R2RK1 w - -,g2h3
7k/5Q2/p1rq2p1/P1P2p1p/4p2P/4P3/5PP1/2R3K1 b - -,c6c5
rnb4r/p4kp1/1p2p1np/2ppP2Q/q2P4/P1PB4/R1PB1PPP/4K2R b K -,c5d4
6k1/p2nbp1p/1r3np1/3p1bB1/N2P4/4P3/P3BPPP/1rR1NK1R w - -,c1b1
2b2n2/2r1bk1n/1p2p1p1/pP1pPp2/3P1NP1/3B1N2/P2BKP2/7R b - -,f7g8
2rq3k/1b2p1bp/p4np1/1p3p2/2pP4/1Q1BP3/PP1B1PPP/2R2RK1 w - -,d3c4
8/5k1p/1pR5/p2r3P/1P3K2/P7/5P2/8 w - a6,c6b6
8/8/3k2R1/4p3/7r/5K2/8/8 b - -,d6d5
8/8/2rkp1Bp/PK5P/r7/8/1R6/8 b - -,a4d4
r3kb1r/ppp2ppp/2n1b3/3q2B1/4N3/3p1N2/PPP2PPP/R2QR1K1 w kq -,e1e3
2b3k1/5pp1/N3p2p/1r2P3/R7/5P2/6PP/6K1 b - -,b5e5
1r1q1r2/1pnnppkp/p2p2p1/P1pP4/4P3/2N5/1PPQBPPP/R4RK1 b - -,b7b5
8/k5r1/P6R/2p5/1pBbK3/1P6/2P5/8 w - -,e4d5
8/p2k2p1/r3p2p/3pK2P/3PpNP1/P7/4bP2/6R1 b - -,e2f3
2kr3r/1p2qpp1/3bp1p1/p2p4/P2P2P1/2P2Q1P/1P1B1P2/2KRR3 w - -,c1b1
r2k1b1r/1b3ppp/4p3/pB1pP3/1PnB1P2/P1PK4/6PP/R6R b - -,d8c7
6k1/p2r3p/bp4p1/3q1p2/8/1PQn2P1/PB3P1P/3R2K1 w - -,c3h8
2q3k1/1brnppb1/p2p2pp/3P4/3NP3/6B1/P3BPPP/1R1Q2K1 w - -,h2h3
r1b1r1k1/pp3pbp/n1p2np1/4N1B1/2P1P3/2N5/PP2BPPP/2KR3R w - -,d1d6
rn1qkbnr/pp2pppp/2p5/7b/3Pp3/2N2N1P/PPP2PP1/R1BQKB1R w KQkq -,c3e4
r2q1rk1/1p3pbp/p1n1b1p1/2ppP3/P3nP2/2N2N2/1PP1B1PP/R1BQ1R1K w - -,c3e4
r5k1/5ppp/p1q5/4p3/2P1n3/1P4P1/2Q1N2P/R5K1 w - -,e2c3
r4rk1/ppp1qppp/3p1n2/4p3/2BnP1b1/P2P1N1P/1PPB1PP1/R2QK2R b KQ -,d4f3
1r1qnrk1/1p1bppbp/2np2p1/p1p5/2P5/P1NP2P1/1P1BPPBP/1R1QNRK1 w - -,e1c2
2bqr1k1/1pp2ppp/3p1n2/2b5/4P3/1P1P1Q1P/1BNN1PP1/r4RK1 w - -,f1a1
rn1qkbnr/1b3ppp/p7/2pp4/PpB1P3/6N1/1P3PPP/R1BQK1NR w KQkq -,e4d5
1r2q2k/7p/p2p2pB/1ppQ4/n5B1/3P4/PbP3PP/5R1K w - -,d5d6
r5k1/p3pp1p/3p2p1/3P4/1P1bP3/R4P2/P2B2PP/3b3K b - -,d1e2
8/5k2/2b3p1/2P3Bp/1r3P1P/4R1K1/5P2/8 b - -,b4b7
r3r1k1/pR2Rp1p/6p1/P5B1/3b4/8/5PPP/5K2 b - -,e8e7
8/3k4/8/3P2R1/5K1p/5P2/8/7r w - -,g5h5
2r1qrk1/pp1bp1bp/n1pp1np1/3P1p2/2PN4/1PN1P1P1/PB3PBP/R2Q1RK1 b - -,e8f7
r1bqk2r/1p2bppp/p1n1pn2/2p5/3pPP2/P2P1N2/1PP1B1PP/RNBQK2R w KQkq -,e1g1
2rq1rk1/1p2bppp/p2p1n2/4n3/P3PB2/2NB1P2/1PP1Q2P/R4R1K b - -,f8e8
8/5p2/2b1k1p1/3N2Pp/2PK1P2/6P1/8/8 b - -,c6b7
r5k1/4pp1p/3p2p1/2pP4/2n1P3/PrP3P1/2R2PKP/1N3R2 w - -,f1c1
5r2/p1R1p1kp/4B1p1/3P1p2/b7/6P1/P4P1P/6K1 b - -,g7f6
4k3/R7/8/5PK1/8/p5P1/8/r7 w - -,g3g4
3k4/1p1b4/p1p5/P2p4/1P1P1Kp1/2PB2P1/8/3N2n1 b - -,g1h3
5r2/R1p5/3b1p1k/1Pp1p3/1nB1P1pp/2B5/3R3K/8 b - -,f6f5
r1bq1rk1/5ppp/pbp1p3/3p4/1P2PBn1/P1NB3P/2PQ1PP1/R4RK1 b - -,g4f6
r7/P3k3/RR4p1/2b1p3/8/4P2P/3r3P/5K2 w - -,b6b7
2rr2k1/1p1nbpp1/p1qpbn1p/P3p3/4P3/2N1BB1P/1PP2PP1/R2QRNK1 b - -,e7f8
r1bq1rk1/ppp3pp/2nb4/5p2/2N5/2Pp2P1/P1P1QPBP/R1B2RK1 w - -,c2d3
8/8/8/4kp2/R3p2p/pr5P/6PK/8 b - -,e4e3
r4Rk1/4q1pn/3p4/pbpPp3/2N1P1Pp/1P2Q2P/P5B1/R5K1 b - -,h7f8
2r5/1p1bk1p1/p2p1p1p/P1r1p2P/2P1P1P1/1P1B1P2/R2K4/3R4 b - -,c8b8
6k1/1R1n2p1/8/4p1r1/3r3p/1P4P1/1P3PB1/2R3K1 w - -,g3h4
rn1q1rk1/pp2bppp/2p1bn2/3p4/3P1B2/2N1P1N1/PP3PPP/2RQKB1R w K -,f1d3
r5k1/1p2n1pp/p3p2r/3pq3/8/P1NB4/1PQ2RPP/3R2K1 b - -,e5h2
8/8/2p3p1/p1p5/2Pk4/PP4pP/8/5K2 b - -,d4e3
8/p5p1/5p2/1K2kP2/7p/P6P/6P1/8 b - -,e5f4
r5k1/3p2pp/2bP1p2/2N5/pR3P2/P3P3/5KPP/8 w - -,e3e4
8/3k4/6p1/2pP2P1/2PbpK2/4B3/8/8 b - -,d4b2
1q3r2/5p1k/p2r1bp1/1pQ1p2p/2P1P3/1P3P2/P3B1PP/2R1R2K b - -,d6d2
r2q2k1/1p3rbp/pn3pp1/3Pp3/6b1/1PN1BP2/1P1Q2PP/R3NRK1 b - -,g4f5
1rbq1rk1/5pbp/p1pp1np1/3P4/2p1P1P1/5PN1/PPQ1N2P/2KR1B1R b - -,c6d5
r1b1k2r/1pq1bppp/p1nppn2/8/2PNP3/P1N1B3/1P2BPPP/R2Q1RK1 b kq -,c8d7
1q4k1/2r2pp1/pprppb2/8/bPP1PP1p/P2B3P/Q4BP1/2R1R2K b - -,b8c8
3rr1k1/1bq1bp1p/pn1p2pB/np2p3/2pPP3/2P2NNP/PPBQ1PP1/3RR1K1 b - -,f7f6
2r2r2/pp2ppkp/2n3p1/q2b4/3P4/2P2N2/P2QBPPP/3R1RK1 w - -,d1b1
3B2k1/1p3pbp/p4np1/8/P3P3/2r4P/5PP1/4RBK1 b - -,c3c8
r1nk1r2/pp1q1p1p/2p2n2/5N2/2PP4/1P1Q4/P5PP/R4RK1 w - -,d3g3
5R2/1p4pk/p3P2p/1b6/1Q1P3P/P3p1K1/6P1/2q5 b - -,e3e2
5r1k/1pR4p/6pb/3p1r2/pP1PpPq1/P3QbP1/3B1PB1/4R1K1 b - -,h6f4
r2b4/5pk1/2b3p1/pRB5/P6p/3B3P/5K2/8 w - -,c5d4
6k1/p2q4/6p1/2p1pp2/4n1P1/1P1rNQ2/P1R2P2/6K1 b - -,e4g5
6k1/p1r2p2/1n2p1p1/R7/8/P5B1/KP5P/8 b - -,c7b7
1r2qrk1/2nb2bp/1p2p1p1/1Pp1Pp2/2Q2P2/B5P1/3P1NBP/1R3RK1 w - -,f1c1
8/2r3p1/1b2B3/p4P2/P3k2p/3R3P/4K3/8 w - -,d3d7
2n1r3/1kqb4/4pPp1/1p1p1pNp/pPpP2PR/P1P4P/4Q1K1/7R b - -,c7f4
r1bq1rk1/p1p4p/3b1npB/5p2/2Pp4/3B2NP/PP3PP1/R2QR1K1 b - -,c7c5
