6k1/pQ3ppp/4n3/8/8/qP3PB1/6PK/8 b - -,h7h5
r2q2k1/pppnn2p/3p1rp1/1B1Ppp2/4P3/2N2P1P/PPP1Q1P1/R4RK1 b - -,f5f4
r3kb1r/p1q3pp/2p1p3/2p3n1/3p4/3P2R1/PPP3PP/R1B1Q1K1 w kq -,g3g5
rnbqk2r/p1ppbppp/1p2pn2/8/3P1B2/3BPN2/PPP2PPP/RN1QK2R b KQkq -,c8b7
1r1q1r2/pp2npbk/4b1pp/P1p1n3/2N5/2NP2P1/1P2P1BP/R1BQ1RK1 w - -,c1f4
r2q1rk1/pppn1ppp/3bpn2/3p1b2/3P4/PP2PN2/2PNBPPP/R1BQ1RK1 b - -,c7c6
5rk1/p2q1ppp/1pbN4/2n1P3/P1p2P2/2P4P/2Q1R1PK/5R2 w - -,c2f5
r1bq1rk1/p3bppp/1pn1p3/2ppN3/P2P1B2/2P1P3/1P1QBPPP/R4RK1 b - -,c6e5
2kr3r/pppq2bp/2np2p1/5b1P/2P5/2N1B3/PP1Q1PP1/2KR1B1R b - -,d8e8
3n4/ppkn2p1/8/4pP1p/8/BP6/P3PPBK/8 b - -,d8c6
2r1r3/pb2nkpp/1p2p3/5p2/3P3P/2PB1PB1/P5P1/2R1R1K1 w - -,g3f2:h4h5
r2q1rk1/pp1bpnbp/1n1p2p1/2pP1p2/2P1P3/1PNN1P2/P2BB1PP/R1Q2RK1 b - -,e7e6
5b1r/np6/p1r1k1p1/RpPp1pPp/1P1PpP1P/2B1P3/1P3K2/R2B4 b - -,f8e7
4r2k/1p4p1/3Q3p/7P/P4BP1/P2p2K1/4qP2/8 b - -,e2e4
8/3k2pp/3p4/2p5/2P3P1/1P1N1K1P/8/r7 b - -,a1b1
1k1r1b1R/4qp2/3p1p2/1pnRp3/4P3/1N2BP1B/1PP2P2/1K6 w - -,h3f5
4q3/1R3pk1/1p3bp1/3Q4/7P/5P2/P5KP/8 w - -,d5c4
3r2k1/p3qppp/1pp5/4PP1b/4NQ2/8/PP4PP/3rRRK1 w - -,g2g4
2r3k1/3b1pp1/1pq1p3/4Pn1p/1B5P/1Q3N2/2P2PP1/4R1K1 w - -,e1d1
r4rk1/ppp2ppp/2q1p3/5b2/2BP4/P1P5/2P1QPPP/R4RK1 w - -,a1b1
1r3rk1/5ppp/pq2p3/3b1PP1/3N4/1P2R2P/2PQ4/1K1R4 b - -,a6a5
5Q2/8/4k3/1B2q3/3b1p2/5P1P/6P1/r2R3K w - -,b5c4
r1bqk1nr/2pn1pbp/3pp1p1/p2N4/PpBPP3/4BP2/1PPQ2PP/R3K1NR w KQkq -,d5f4
8/5p1R/PK6/4k3/5p2/r7/8/8 w - -,a6a7
2r1k1r1/4bp2/p1bp1p1p/qp2pP2/4P3/2NQ2N1/PPPR2PP/2K4R w - -,c1b1
8/8/4k1P1/8/2p5/4B3/r7/6K1 b - -,e6f6
r3r1k1/1p5p/p3p2p/P2p1N2/1P3b2/8/5PPP/4RRK1 w - -,f5d4
2r4k/p1r2pp1/1p1qp2p/8/2nP1NP1/4PQ2/P4P1P/1R1R2K1 w - -,h2h4
2r5/1p2kpr1/p2pp1n1/8/P3P1p1/1BP2P2/1P1R2P1/2K4R b - -,b7b6
r1b2rk1/3n1ppp/p3pn2/8/2pN4/qP1B1N2/P4PPP/R2QR1K1 w - -,d3c4
5rk1/2q2ppp/4pn2/2n5/2p1P3/4B1PP/2QN1PB1/6K1 w - -,c2c4
8/4P1B1/1p6/p7/P4P2/3k4/2p4P/7K w - -,g7b2
r1bqr1k1/pp3ppp/2nppn2/2P5/2P2B2/2P2NP1/P3PPBP/R2Q1RK1 b - -,d6c5
4r2k/3R2bp/1pN1r3/1Pp2p2/p1P5/5P2/P5PP/3R2K1 w - -,d7d8
r3k1r1/1pp2p1p/p1np4/8/4Pn2/1BB2P1b/PPP2R1P/R2QKNq1 w Qq -,d1d2
1r2r1k1/p1qn1pp1/7p/2p5/4N3/2PPBQ1P/PP3PPb/1R3R1K b - -,d7e5
1rbqr1k1/5pp1/1bp2nnp/1p1ppN2/1P2P3/2PP1N1P/2B2PP1/R1BQR1K1 b - -,c6c5
1r3r1k/3q3p/B2pb3/2nNppb1/p7/2P1NP2/1P2Q1PP/3R1R1K w - -,f3f4
1r4k1/3Q1pp1/5n1p/4p3/1P6/4PN2/5PPP/2B3K1 b - -,f6d7
rn2k1nr/pp2bppb/2p1q2p/3p3P/3P1BP1/2N2PNB/PPPQ4/2KR3R w kq -,g4g5
4R3/6pk/1p6/2p3Q1/3p2K1/3P4/2P4P/5q2 b - -,f1g2
3r1k2/1pp2pp1/7p/8/4R3/P4KP1/1P3P1P/8 w - -,f3e2
r1bq1rk1/2n1ppbp/pp1p1np1/2pP4/P1P1PP2/2N2N1P/1P2B1P1/R1BQ1RK1 b - -,a8b8
r2qkb1r/pp1npppp/2p2n2/3p4/2PP2b1/P2BPN2/1P3PPP/RNBQK2R b KQkq c3,e7e5
3rk3/1p6/p1b1p2p/2P3q1/1P6/1R2PP1Q/P1Pr2P1/5RK1 b - -,e8e7
3r4/5ppk/3p3p/bp1NpP2/p1r1P3/P1P2KP1/1P2R2P/R7 w - -,a1d1
2r1r1k1/1R3pb1/1Rpp2p1/p4qn1/P1PPp1n1/B3P1Pp/3NQP1P/3N2K1 b - -,g7f8
r1br2k1/pp2pp2/1q4p1/2p1b2p/2BPP2P/2P2P2/P2QN1P1/2R1K2R w K -,d2g5
3r1rk1/pp2ppbp/1qn1bnp1/2pp2N1/4P3/N1PP2PP/PP3PB1/R1BQR1K1 w - -,g5e6
r1b2rk1/5ppp/4p3/p1N5/Pn3P2/8/1P2B1PP/2R2R1K w - -,e2f3
r1bqkb1r/pppn3p/5np1/1P2pp2/2P5/P5PN/1B1PP1BP/RN1QK2R b KQkq -,d8e7
1rbq1rk1/p4pbp/n4np1/1pp5/8/2P1B1PP/PP1NNPB1/R2Q1RK1 w - -,d2b3
8/7p/3k1p2/1p2p1p1/pP2P1P1/P1K5/5P1P/8 b - -,d6c6
2kr3r/pp1q4/2pbp2p/3p1pp1/3Pn3/2P1P2P/PP1BQPPN/R3K2R w KQ -,e1c1
3kb3/7p/7P/2rP4/8/R7/6PK/1B6 b - -,c5d5
8/pp1nR2p/3P2k1/7r/3B1P2/1P4K1/P6r/3R4 w - -,f4f5
1rbqrbk1/p4pp1/2n1p2p/2PpP3/R1n2B2/1N1B1N2/1P2QPPP/5RK1 w - -,d3c4
8/7p/p7/1ppk1pK1/5P2/P4P2/2P5/1nB5 b - -,d5e6
8/R7/3kp3/8/5P2/8/p5K1/r7 b - -,d6c6
r4rk1/1p2p1bp/p1n2pp1/3p1b2/1P1P1B2/2P4P/1P1N1PP1/R3RBK1 w - -,g2g4
2r5/4kpp1/r1n1p2p/1QPpP3/7P/p7/2P2PP1/6K1 w - -,b5a6
4B3/8/1p5k/1PpPb1Bp/2n3pP/6P1/5K2/8 b - -,h6g7
r3r1k1/1pp1bppp/1qn2n2/p3p3/4P3/1PP2N2/1P1NQPPP/R1B1R1K1 w - -,f3h4
5r2/ppk2p1R/2np4/8/4N3/PNB5/KPP5/5r2 w - -,h7h6
r5k1/p4pb1/8/6p1/R7/5PB1/P4PK1/8 w - -,a4a5
1r6/R4pkp/n1B1pp2/r7/2pP1P2/p1P5/R3PP1P/6K1 w - -,c6b7
r2q1rk1/pp2ppbp/2np1np1/2p5/2PP2b1/2N1PNP1/PP3PBP/R1BQ1RK1 w - -,h2h3
2rq1rk1/3nppbp/p2p2p1/1pnP4/8/P1N1BP2/1PPQB1PP/R4RK1 w - -,e3h6
r3k2r/4qppp/p1bppn2/8/Pp1QP3/1B6/1PP2PPP/R1B1R1K1 b kq -,e7b7
3r2k1/pb3p1p/1p4p1/2r5/4P3/3BR3/P4PPP/3R2K1 w - -,e3e1
4r1k1/1pp1pp2/4P2B/n3n3/6B1/P7/4K3/5R2 b - -,f7e6
r2qrnk1/pp3pp1/5n1p/3p1b2/P1pP1B2/2Q1P3/1P1NBPPP/R4RK1 b - -,a8c8
r1br2k1/p3bppp/2p5/1Q2p2q/2N3nP/N3B1P1/PP2PP2/R4RK1 w - -,b5c6
b2n1r2/1q4k1/7p/1pPp1Pp1/1PpN2B1/2P1Q3/6PP/R5K1 w - -,e3e5
r1r3k1/1q1n2p1/R4p1p/1P1p3b/3B4/4PP1P/3QBP2/2R3K1 b - -,d7e5
r2q1rk1/pp1nbppp/3p1n2/4p3/3PP3/2N2N2/PP3PPP/R1BQR1K1 w - -,d4e5
3rr1k1/p4ppp/R7/2p5/1n2N3/5PB1/1bP2P1P/1R4K1 w - -,a6a7
8/8/1kp5/5R2/p3p3/2P1P3/PP3Pr1/2K5 w - -,b2b3
r3k2r/1p1q2pp/p1nbbp2/2p5/3pPB2/2PP2NP/PP4PN/R2Q1RK1 b kq -,d4c3
rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/5N1P/PPP2PP1/RNBQKB1R b KQkq -,d7d6:d7d5
r1br2k1/pp2ppbp/2n3p1/q1p1P3/2BP1P2/2P1B3/P2Q2PP/R3K1NR w KQ -,g1e2
r3r1k1/ppp1qppp/5b2/8/3pP3/3Q1B2/PPP2PPP/R4RK1 b - -,c7c5
4r1k1/p4Rpp/npB5/8/8/6P1/PP1r3P/5R1K b - -,e8d8
1rb3rk/1n3nbp/pR1p1q2/2pPpp2/P1P5/2NB1P2/3QNBPP/5RK1 w - -,f2c5
1b1r2k1/1b3pp1/8/pNP4p/P4q2/5P2/5NPP/4RQ1K w - -,b5d6
4r1k1/p2n3p/np3pp1/3P4/3N1P2/B7/P5PP/5RK1 b - -,a6c7
r3kb1r/p1qnn1p1/2p1p3/1p1pPb2/3P1Np1/2NBB3/PPPQ3P/R3K2R b KQkq -,d7b6
8/5p2/8/8/5k2/8/5nK1/8 w - -,g2f2
r1bnk2r/p3qpp1/1bpp1B1p/4p3/2B1P3/2P2N2/PP3PPP/RN1Q1RK1 b kq -,e7f6
6k1/6pp/R7/8/p1P5/3K3P/1rP3P1/8 b - -,b2a2
8/N7/8/2p5/2n5/1k6/7K/8 w - -,a7c6
5rk1/5ppp/pN6/2p5/2Pnq3/1P4PP/P4Q2/5RK1 b - -,e4e6
3r2k1/1p1r1ppp/3n4/4p1PB/p2N4/2P1K3/PP3P1P/1R5R b - -,e5d4
2r2rk1/B2nb1pp/1p2p1b1/1N1p1P2/5P2/3P3P/PP2P1B1/R4RK1 b - -,g6f5
2r5/1p2pkrp/3p1p2/p2N2pP/2P1P1P1/1P3R2/Pb4K1/5R2 b - -,f7e6
8/1R6/6pk/2P4p/1P6/1r6/p4KPP/8 w - -,b7a7
1r1qkb1r/3b1p1p/4p2p/2ppP3/8/1P3N1P/P1PQBPP1/R4RK1 w k -,c2c4
3r2k1/5p2/2p4R/3pP1p1/8/6RP/4b1PK/8 w - -,h6c6
3r2k1/4qpb1/4p1p1/1p2P3/p1rP1Q2/Pn1R1N2/1B2RPPK/8 b - -,d8c8
3r2k1/p4pp1/1ppqrn1p/4N3/3P4/4P3/PPQ1NPPP/2RR2K1 b - -,d8c8
5k2/7R/5p1P/5p1K/5P2/6P1/8/1r6 b - -,b1h1
r4k2/5p2/3pn2Q/2p5/pp1qP1R1/1P1P1K2/P1P3P1/8 b - -,f8e7
8/1Q3nk1/p2p2p1/3P4/2q5/4B3/PPPK1PP1/8 b - -,g7f6
rnbqkbnr/pp3ppp/2pp4/8/1PP1p3/1Q1PN3/PB2PPPP/R3KBNR b KQkq -,e4d3
r4rk1/pbqn1pp1/1ppp3p/4pB2/2PPn2B/2P1PP2/P5PP/R2Q1RK1 w - -,f3e4
2r1k2r/3n1ppp/1q2p3/1pb5/3N2n1/1QN1P1P1/1P3PbP/R1B2RK1 w k -,g1g2
8/8/5pk1/6pp/pB6/P5Pb/r4P1P/4R1K1 b - -,h5h4
6k1/3rbppp/p3p3/8/8/1Nr3P1/PP3P1P/4RK2 w - -,b2c3
3q4/4k3/QnpNp2p/3nPpp1/3P4/1R6/1PPK2PP/8 w - -,c2c4
8/p3rp1k/6p1/2P4p/4RP2/3QP1Pq/P3RK1P/8 b - -,h3h2
3rr1k1/1p6/p1bNpqp1/n1P5/3bNPB1/6KR/PP2Q3/2R5 b - -,f6f8
6k1/2R2pp1/1R2b2p/8/6P1/1p2PP2/nr2B2P/4K3 b - g3,g7g6
4r3/4P3/p1p5/Pp3Pk1/1P1PR3/6K1/8/8 w - -,e4e5
1rb2rk1/pp2qpbp/2npp1p1/1Np1n3/3PPB2/P5P1/1PP1NPBP/1R1Q1R1K b - -,c5d4
5QR1/1p1q4/8/3r3k/P4p2/1P4p1/KB6/8 w - -,f8f4
1br3k1/p4pp1/2b1p1qp/1Qn1P3/3B4/R5N1/1P3PPP/2R3K1 w - -,b5c5
rq2r3/1bpnppkp/p2pn1p1/3NP3/1p1PBQ1P/5N2/PPP2PP1/2KR3R w - -,f4d2
2r2rk1/7p/1p1bpq2/p2p2p1/3PpP2/PP1bP1P1/1B4RP/1NR1Q1K1 w - -,c1c8
3rkb1r/1p1qppp1/p3b3/3n2Pp/3P4/2N1BQ1P/PP3PB1/R4RK1 b k -,g7g6
5bk1/5p2/4pPp1/p2rB2p/1p2PP1P/1P6/4Q1PK/2r5 b - -,d5c5
1B6/p4k2/8/1P1N1pp1/2pPb3/4K3/P7/8 b - -,e4d5
4rb1k/7p/pB4p1/P1PRp3/4P3/3Q2PP/5P2/2q3K1 w - -,g1g2
8/3n1k2/p1p3p1/1bPp1q1p/1P1P1B1P/5PP1/5K2/2Q1N3 b - -,d7f8
1r1b4/R4kp1/3P3p/1p2r3/4P3/3B4/1P2R1KP/8 b - -,f7g6
8/7b/7P/1kp1N3/p7/P3K3/8/8 w - -,e3d2
1r2qrk1/2pb1pb1/p1n4p/1p2p3/2P4N/Q1N3P1/PP2PPB1/2RR2K1 w - -,c4b5
2r3k1/r4pp1/4p1bp/p2pN3/3P2P1/bBn1B2P/P4P2/1R2R2K w - -,e5g6
1br5/2q2p1k/ppp1r1pp/8/2P5/BP5P/P2R2B1/3R1QK1 w - -,a3d6
1k5r/pp1rqpp1/3bp2p/2p5/3PQ3/2PB4/PP3PPP/R3R1K1 w - c6,d3b5
5Q2/7p/3pP1p1/3Pq2k/8/5P1P/2p3P1/6K1 w - -,g1f2
6k1/3r1p2/3q2pQ/3np2p/2pbN3/P6P/5PP1/2B1R1K1 b - -,d6f8
5bk1/5p2/4p1p1/2p1P1P1/2PpB3/6BK/Pn3P2/8 b - -,b2c4
6k1/ppb2pp1/2n5/3B2P1/4r1Pp/1N6/PP5P/3R2K1 b - -,e4g4
4r3/1p3rk1/pNpn2p1/3p2p1/PP1P4/4PP1P/3R1K2/4R3 w - -,f2g2
rn1q1rk1/3b1pbp/3p4/1B1NpP2/P7/2P5/1P3PPP/R2QK2R w KQ -,e1g1
3rr1k1/2q3pp/p1p2p2/3b4/2pN3Q/2n1BP2/P1P3PP/R3R1K1 b - -,d5f7
r1b2rk1/ppp1qppp/5n2/8/3Pp1P1/2P1P3/P1QNBP1P/R3K2R b KQ g3,c8g4
r2q1rk1/1p1nppbp/3pb1p1/8/p1P1P3/2N1BP2/PP1QB1PP/2R2RK1 w - -,c3d5
5k2/7p/5p1N/n2B4/P7/5KPP/8/4b3 b - -,f8g7
rr4k1/4ppb1/1q1p2p1/2pPn3/4P2R/2N3P1/PP1N1QK1/1R6 w - -,f2e3
8/8/1R4p1/5k1p/7P/6P1/r4PK1/8 w - -,b6b8
1r1qrb1k/4n3/p2pP1pp/3Pp3/R4p2/2Q2P2/1P2BBPP/3R3K b - -,a6a5
rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/2P5/PP3PPP/RNBQKBNR w KQkq -,c1e3
7k/1r3ppp/p4n2/1p1R4/1Q6/2P1qP2/P3B1PP/5K2 b - -,b7e7
r3r1k1/3b1pp1/1q1p1n1p/n3p3/2P1PP2/1p1PN1P1/6BP/1RBQ1R1K w - -,g3g4
4k3/8/4Pp2/5P2/4Kb2/B7/8/8 b - -,f4d2
3q2r1/1k3p1r/1pn1pP2/3p2Pp/bPpP3P/2P2BB1/3Q3K/2R2R2 w - -,d2e2
r1k2b1r/pppn1ppp/4b3/8/4PBn1/2N2N2/PPP3PP/2KR1B1R w - -,c3b5
6k1/2r2ppp/q3p3/3nn3/1P6/P4PP1/1BNQ1K1P/3R4 b - -,e5d3
8/R3k3/8/4Pp1r/1ppB4/5K1P/PP1b1P2/8 b - -,e7e6
rn1qkb1r/1bp2ppp/pp2pn2/8/P1BP4/2N1PN2/1P3PPP/R1BQ1RK1 b kq -,b8d7:c7c5:f8b4
3B4/8/6pK/2n2k1p/7P/8/8/8 w - -,d8g5
8/5pk1/5np1/p7/P3n1p1/1N2P3/5PBP/5K2 b - -,e4c3
r1bq1rk1/ppppbppp/2n2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 w - -,d2d4:d2d3
8/8/2r4p/2k4P/4Kp2/8/8/2b3R1 b - -,c1e3
4k3/6p1/8/R2N1p2/3b4/7P/PrP3PK/8 b - -,d4e5:b2b1
2kr1b1r/ppqb1pp1/1n2p2p/n2pP3/2pP3N/P1P3PB/1P2QP1P/1RB1RNK1 b - -,f8e7
3r1k2/5ppp/8/1p2Pb2/3B4/2P5/6PP/R5K1 w - -,a1a7
rnbqk2r/pp1n1ppp/4p3/2bpP3/5PQ1/2N5/PPP3PP/R1B1KBNR b KQkq -,e8g8
2rqkb1r/pb1n1ppp/2p1pn2/1p6/3P4/P1NBPN2/1P3PPP/R1BQ1RK1 b k -,a7a5
r1br4/ppk2p1p/2p3pb/4n3/4PpB1/2N4P/PPPB4/2KR1N1R b - -,b7b6
6k1/2r1pp2/p2p2p1/3P4/2P4R/8/P2Q1PPK/1q6 b - -,b1f5
1R6/5k2/5p2/1P3p1p/2r5/5K2/8/8 b - -,c4b4
5kr1/1b2Rp1p/8/5p2/5P2/6P1/PP5P/2R3K1 b - -,f8e7
r3k2r/1pq1bpp1/p1n5/3npP1p/3N4/2PQ1N1P/PP4P1/R1B2RK1 w kq -,d4c6
2k1r3/1p1n1ppp/p1p5/5Q2/2Pr4/q4B2/P4PPP/1R3RK1 b - -,g7g6
2r5/2P4k/2R4p/4r3/1P4p1/P7/1K2p3/4R3 b - -,e5e7
2r1k3/2P4p/p3p3/B3pp2/PP1b4/r5P1/2R3KP/3R4 w - -,c2c6
r1b2rnk/ppp1ppbp/3q2p1/4P3/2P2P2/4BN1P/PP2Q1P1/RN3RK1 b - -,d6d8
r1bq1rk1/pp1pbppp/2n2n2/4p3/2P1P3/2N5/PPN2PPP/R1BQKB1R w KQ -,f1e2
1rb3k1/8/p1n1p2r/1pPpPp2/3P1Pp1/P2BK1P1/4N3/7R w - -,h1h6
r4r2/2qnppkp/b1p3p1/p1p5/Np2P3/P2P1N1P/1PPQ1PP1/R4RK1 w - -,d2e3
r4rk1/1b2bppp/p2ppn2/1p2P1B1/2qN1P2/P1NR3Q/1PP3PP/1K2R3 b - -,d6e5
r4rk1/pppb2pp/2nb1q2/3pp3/8/2PP1NNP/PP2QPP1/R1B1K2R w KQ -,c1e3
r1r3k1/1p1bq1p1/2n1pb1p/p2p1p2/3P3P/P3BNP1/1P1QPPB1/2RR2K1 b - -,d7e8
2r1k2r/pp3ppp/1qn1bB2/1Bbp4/Q7/2N1PN2/PP3PPP/R4RK1 b k -,g7f6
2rq1rk1/1bp2ppp/ppn3n1/3p4/P2N4/2PB2NR/1PQ3PP/5R1K b - -,c6e5
5bk1/1r5p/p2p2r1/B1p1p2q/2P1Ppb1/1PNR4/P2R1QPP/6K1 w - -,c3d5
8/3r2p1/1p6/5k1p/KPP2b2/7P/2N1R1P1/8 w - -,a4b5
4N2b/p4p1P/2p1B1k1/5p2/8/P1p1rPR1/1P6/2K5 b - -,g6h6
8/6k1/5pqp/pp3R1p/5Q2/Pr2P1P1/5PK1/8 b - -,g6g4
4rrk1/1p3qbp/3np3/p2n1ppP/3P2N1/PB2BQP1/1P3P2/2R1R1K1 w - -,g4e5
2r5/8/1p2k1p1/pBrp1p1p/Pn3P1P/1P2P1P1/3R1K2/3R4 b - -,c5c3
2r5/1r2bk2/p1n2p1p/1pp1pPpP/P2pP1P1/NP1P4/R1PB4/R2K4 b - -,f7e8
6k1/2q2p2/4b1p1/6Pp/2p5/7P/1P4B1/4Q1K1 b - -,c7c5
3brrk1/1p1q1ppp/p2p4/3Pp2n/8/1BP2PP1/PP2R1NP/3R1QK1 w - -,f1f2
6rr/4kp2/p1bp1p2/4pP1N/1p2P1PP/3Bb2R/PPP5/1K1R4 b - -,e3c5
2rr2k1/pb3pp1/1pn1p2q/4P3/1b4Q1/5N2/PP1N1PRP/2KR1B2 w - -,c1b1
2b1k2r/r4ppp/p2p1n2/1p2p3/4P3/4N1N1/PPP2PPP/2KR3R b - -,c8e6
r1b2rk1/2qn1ppp/2n1p3/pBPpP3/8/P1B2N2/2PQ1PPP/R3K2R w KQ -,e1g1
r4rk1/pp1qppbp/n2p1np1/2p5/3PP3/2P2N2/PP3PPP/RNBQR1K1 w - -,b1d2
r1b1k2r/5p1p/p1pppp1b/5P2/3QP3/q1N5/P1P1B1PP/1R2K2R b Kkq -,h6f4
2r5/pp3k1p/4n1p1/3b1p2/3p3P/P2B1P2/1PP2BP1/3R2K1 w - -,h4h5
r3k2r/np2bpp1/1q2pn1p/2pP4/p2P4/P1P2N1P/1P1NQPP1/1RB2RK1 b kq -,f6d5
5rk1/1p4pp/p1b2r2/4p3/PN1p4/1PP1bP1P/4B1P1/3R1R1K w - -,c3d4
rn1qk1nr/pp1B2pp/4pp2/b1ppP3/3P4/P1N2N2/1PP2PPP/R1BQK2R b KQkq -,d8d7
1r6/6p1/2pk1pP1/q1p1pP2/p1P1P3/Pp1P1BK1/1Pn2Q2/7R w - -,f2e2
r2r2k1/q4pbp/pp1p1pp1/n2P4/PP1P4/3B1N1P/5PP1/2RQR1K1 b - -,a5b7
2r2rk1/ppq1b1pp/4p3/4P3/P1pP4/2PbN3/3B2PP/R2Q1RK1 w - -,f1f8
4rbk1/p2q1ppp/3pb3/2p4r/4P1n1/1P1R1N2/PB1NQPPP/2R3K1 b - -,d7c8
r1bq1rk1/1ppnbppp/2nP4/8/3P4/PQN1B3/B3NPPP/R4RK1 b - -,e7d6
8/8/8/p1b3Np/7P/1P2kp2/P7/5K2 w - -,g5e6
8/8/2n5/p7/8/8/1K1k4/8 b - -,c6d4
r3k2r/ppp2ppp/1qn1pn2/8/2BPb2N/P1B5/1PP1QPPP/R3K2R w KQkq -,e1c1
r3rk2/p4p2/1pnq2pp/2pn1P2/3p3B/P3P3/1PB2PQP/2KR2R1 b - -,g6g5
8/7k/p4bp1/7p/P1N5/1P2Q2P/2K5/5q2 w - -,c4d2
r3rk2/p4pp1/2n4p/1p1qp3/PP2R3/3P1N2/5PPP/1R2Q1K1 w - b6,a4b5
8/5p1p/5pk1/3bp3/6K1/4PP1P/3N2P1/8 b - -,d5e6
r2q1rk1/p4ppp/bp1b1n2/2ppN3/3Pn3/1P4P1/PB1NPPBP/2RQ1RK1 w - c6,d4c5
r6k/4qp1p/pb1p2r1/2PRp3/BP2Pp2/5P2/4Q1PP/3R3K b - -,d6c5
r2qrbk1/1b1n1p1p/p2pn1p1/1pp1p3/1PP1P3/P2PNN2/2BB1PPP/1R1QR1K1 b - -,e6d4
5rk1/1bq4p/p2pPbp1/2pP1p2/3r4/2NPB2P/1PQ3P1/R4RK1 b - -,d4b4
8/2pn1r1r/3p2pk/pPpPpp2/P3P2p/1P2KB1P/2R2PP1/R7 b - -,d7f6
2k4r/ppq1bp2/2n1b3/4p3/4Q1r1/1NP1P1P1/P5B1/1R1R1NK1 w - -,e4c2
8/5R2/3k3p/6p1/3PK3/6P1/7r/8 b - -,d6e6
3r1rk1/1pp1q1bp/n1b3p1/p4p2/2P1p3/PPNnP1P1/2Q1NPBP/BR1R2K1 w - -,c3d5
