8/5k2/7R/r7/5PK1/8/8/8 w - -,h6b6
3r3r/pk3ppp/1p1Bp3/4P3/q7/2P2N2/P3QPPP/1R4K1 w - -,b1b4
r3r1k1/pp3p1p/3bp1p1/3P4/2Q1P1qP/2N5/PP3PP1/3R1K1R b - -,e6d5
r1bq1rk1/1p3pbp/n2p1np1/p2pp3/2P1P3/P1N1B3/1P1NBPPP/R2QK2R w KQ -,c4d5
r2r2k1/5pp1/5n2/p3bQ2/Ppq1P3/7P/1P3PP1/R1B2RK1 w - -,f5e5
r1bq1rk1/1p1n1ppp/2p1pn2/p2p4/1bPP4/1QN2NP1/PP2PPBP/R1BR2K1 b - -,b7b6
1r3rk1/2qn3p/p2pp1p1/1p2b3/4P1P1/P1PBB2P/1P2Q3/1K1R3R b - -,c7c6
r3kb1r/1p1np2p/pqn1p1p1/3p4/3P4/2N2NP1/PP3P1P/R1BQ1BK1 w kq -,f1h3
1k1r3r/pp3p1p/2b1p3/N1bp1p2/q7/6P1/P2QPPBP/1RR3K1 b - -,c5b6
r3r1k1/1bpnqpbp/1p1p1np1/p3p3/P2PP3/1PP2NP1/1B1N1PBP/R2QR1K1 w - -,b2a3
r6r/pp3kbp/3p1p2/2pNp3/3nPP1N/6P1/PPP4P/2KR3R b - -,e5f4
r1bq1rk1/1p3ppp/p1p2nn1/P2pp3/4P3/1BPPPN2/1P1N2PP/R2Q1RK1 w - -,e4d5
8/1p2k3/3bp1p1/p2p1pPp/P2P3P/3NP3/1P1K1P2/8 b - -,e7d7
8/3k1p2/p3p1p1/3rP2p/3K1P1P/P1R3P1/8/8 w - -,d4c4
2rq1rk1/4ppnp/bn1p2p1/p1pP4/Pp2P3/1P4P1/2PN1P1P/1RNQRBK1 b - -,a6b7
r1r3k1/1b3pb1/pBn3pp/2Pp4/1P3q2/PN1B1P2/5QPP/2RR2K1 w - -,f2d2:d3f1
1kb5/p4R1p/2p5/2P4P/p3PN2/5P2/r7/2K5 w - -,c1b1
7r/p2n1pk1/b1p1p1p1/3pP1Q1/5r1P/1P4NR/PKP2q2/3R1B2 b - -,a6f1
2r1q1k1/p5pp/1pnBb3/8/8/P7/1P3PKP/1QRR4 w - -,d6g3
8/4ppk1/bn1p2p1/2pP3p/2P1PP2/q2B2PP/2Q3K1/1N6 b - -,a3a1
r3r1k1/pp1q1p1p/2n3p1/2Ppb3/PP6/4Q3/2N1NPPP/3R1RK1 w - -,e3b3
1r2r1k1/5b1p/3q2p1/pNpp1p2/P7/2PQPB1P/6P1/5RK1 b - -,d6e5
2r5/p2bk1p1/1p3p1p/b3p3/8/PB6/1KP2BPP/3R4 b - -,d7c6
r4rk1/p1qn2p1/b1p1p2p/2Pp1p2/P2Pn3/4PNP1/2QN1P1P/R1R2BK1 b - -,a6f1
2bq1rk1/3nppbp/p2p2p1/n1pP4/2P1PB2/2NQ1NP1/P4PBP/1r3RK1 w - -,f1b1
rn1Q1rk1/1b2bppp/p3p3/1p6/P1p1P3/1N4P1/1PP2PBP/R1B2RK1 b - -,e7d8
8/6k1/6P1/p6K/Pp2B3/1P2n3/8/8 b - -,e3f1
rnbqkb1r/ppp2ppp/4pn2/8/2pP4/P4N2/1P2PPPP/RNBQKB1R w KQkq -,d1a4
r1bqr1k1/pp3pbp/n1pp1np1/4p3/2PP4/2N1P1P1/PP2NPBP/R1BQ1RK1 w - -,a1b1
2rr4/1b2kppp/pn1bp3/1p6/1P2n3/PNN1P3/4BPPP/2RRB1K1 b - -,e4c3
r3k2r/3bbpp1/1qn1p2p/2ppP2P/p7/2PB1N2/PP2QPP1/R1B1R1K1 w kq -,a1b1
6r1/1bk2p2/p2n4/1pp1pN1P/4P3/1PPB3P/PK2R3/8 b - -,d6f5
1r5k/3n1Q1p/1p1P1bp1/2p2p2/5N2/q3P3/P4PPP/1R1R2K1 b - -,a3a4
1k1qr3/2pnb2p/r7/p3BQ1P/3P4/5B2/1PP3P1/1K1RR3 b - -,b8a7
r3k1nr/ppqbppbp/2np2p1/1B6/3PP3/4BN2/PP3PPP/RN1QR1K1 b kq -,g8f6
1r5r/1b2pk2/1N1q1p2/P7/4p1Q1/1N2P1pP/2P3P1/R5K1 w - -,a1d1
2b2rk1/1p3pqp/8/1p1P1pN1/5Q2/2P5/3r2PP/2R2RK1 b - -,d2d5
r1b2rk1/1pq1bppp/p1npp3/2p5/4PP2/2NPB1P1/PPP1Q1BP/R3R1K1 w - -,e2f2
8/5bp1/4pk1p/8/8/2N3PP/R4K1r/8 w - -,f2g1
8/3r2k1/8/2Rn4/3P1pKP/3B4/3R2P1/7r b - -,d5f6
1r4k1/p4pp1/1n1Np2p/3pP3/b2P4/3B3P/PP3PP1/4R1K1 b - -,b6c8
3n2k1/1p3pp1/p6p/1r1pN3/2pPb1Pq/Q1P1P3/P3BP1P/K6R w - -,f2f3
r2q1rk1/pb3pbp/1pn3p1/2p1p2n/4P3/2PBBN1P/PP1N1PP1/2RQ1RK1 w - -,d1e2
r1bqr1k1/pp2bpp1/1np2n1p/3pN3/3P3B/2NBP3/PPQ2PPP/R4RK1 b - -,c8e6
2b2rk1/r3ppbp/q2P2p1/3P2B1/pp2N3/6PP/nPQ2PB1/1R3RK1 b - -,e7d6
4r3/1P2Nk2/8/7p/P2p2p1/5nP1/5PK1/3R4 b - -,f7e7
r1bq1rk1/1pppbpp1/p1n2n1p/4p3/1PB1P3/2PP1N2/P3KPPP/RNBQ3R w - -,d1b3
1b3r2/4R1p1/n2P1nkp/1N6/1P6/P5P1/1B3PBP/6K1 w - -,g2b7
1r1b1rk1/p4ppp/1p2pn2/1Nq1n3/1PP2B2/6P1/P3PPBP/R2Q1RK1 b - b3,c5c4
r4rk1/ppp1q2p/2p5/2Pb1pp1/3Pp3/4P1P1/PP1QBP1P/R3K2R b KQ -,g8h8
5rk1/qp1b1p1p/p2Ppbp1/8/2r1PP2/1NN5/PP1Q2PP/2RR3K w - -,e4e5
r3qrk1/1ppb1pbp/p1np2p1/1B2p2n/P2PP3/1NP2N2/1P3PPP/R1BQR1K1 w - -,b5e2
r1bq1rk1/1pp3bp/1n1p1pp1/pNnPp3/2P1P1P1/1N2BQ1P/PP3P2/R3KBR1 b Q -,c5b3
4b3/4N3/pp4pk/8/P6P/1Pn5/2B2P2/4K3 b - a3,h6h5
r4rk1/1q1n1p2/p3p1p1/PpPn3p/4N2P/1B2BP2/1bP1QP2/3RK2R b K -,d5f6
8/R7/4p3/P3r1p1/5n2/1K3k2/8/8 b - -,g5g4
2r1r1k1/pp1q1pbp/1np2np1/8/P2Pp3/1QN1P2P/1P3PP1/R1R1BBK1 b - a3,b6d5
r1b2rk1/ppq2pbp/6p1/n1p1p3/P1N1P1n1/2P1BNP1/1PQ2P1P/R3KB1R w KQ -,f3d2
3r4/5pkp/pb4p1/3p4/8/1P1R1N1P/5PP1/6K1 w - -,g1f1
6k1/5p2/P1Nb4/1p1p1P2/6p1/2P3Pp/7P/5K2 b - -,d6c5
5rk1/1qp2pp1/3p3p/4p3/1p1nP3/3P3N/1PP2PPP/3Q1RK1 w - -,c2c3
q7/5pk1/p2Qpbp1/7p/PP1B1P2/6K1/6PP/8 b - -,a8e4
1r3rk1/3qn1bp/3p4/1p1PpPp1/1Pp5/R1P1N1BP/2Q2PP1/4R1K1 w - -,e1a1
r4rk1/pppq2pp/3bnp2/1Pp1p3/P1N1P3/3PBQPP/2P2P2/1R3RK1 b - -,b7b6
3q2kb/r4p2/p7/3PpR2/nQ6/6P1/PP2B1P1/2K5 w - -,b4g4
8/5r2/2pQ2p1/p3p2p/P3q1k1/2P3P1/1R3P1K/8 w - -,d6e6
r4rk1/1ppqn1pn/p2p3p/3Pp3/1P2P2N/P1N4P/2P3PK/R2Q1R2 w - -,d1h5
r4rk1/4bppp/2Pp4/P3p3/1n4P1/R6P/2P2PB1/2B1R1K1 w - -,a3a4
4r2r/8/3p1k2/p1pP2R1/8/1P6/P3P3/3K2R1 w - -,g5g3
r1bq1rk1/pp2bppp/2nppn2/8/3NPP2/1BN5/PPP3PP/R1BQK2R w KQ -,c1e3
rnbqk2r/ppp3pp/3p1n2/4p3/1bB1P3/2N5/PPPBNPPP/R2QK2R b KQkq -,b8c6
7r/1b3k2/p2p1p1p/Pp1PpPp1/nPr1P1P1/7R/6BP/BR4K1 b - -,f7g7
4k2r/q3ppbp/3p2p1/1p1PP1B1/nP3P2/7P/3Q2P1/3NR2K b k -,e8g8
r1b2rk1/ppp2p1n/1b4pp/4B3/3P2Pq/2NQ3P/PPB2P2/R4RK1 b - -,h7g5
8/3K4/2n5/2k1p2p/4p2N/7P/P7/8 w - -,h4f5
r2q2k1/p1pnprb1/1p1p2pp/8/3PNP2/2P1BR1P/PP4P1/R2Q2K1 b - -,d7f6
6k1/1b4p1/p2n1rPp/3p2n1/1N4R1/1P2PP2/PK1PB3/8 w - -,f3f4
2R5/1r2b1rk/3pQ1pp/4p3/4P3/7P/P1P1qPP1/3R2K1 w - -,e6d5
r2r3k/1p3qpp/3p1pb1/pPb5/P7/2Q1P1PP/3RNPB1/R5K1 w - -,c3b2
2r3k1/pp1b1qpp/3n4/8/P2Np3/P1B1P3/3P2PP/R2Q2K1 w - -,a1b1
7r/2bqnk2/r1p5/Ppp1p1pp/4P3/R2PN1P1/2P1QP2/R1B3K1 w - -,a3a2
8/8/k2B2p1/3K4/4P1P1/8/8/2b5 w - -,d5c6
1r3r2/4ppk1/1qnp2p1/p1p2PQp/1p2P2P/1P1P2P1/P1P1R1B1/5R1K w - -,e2f2
3r4/1k6/5Rp1/4Rb1p/2P5/7P/6P1/7K b - -,d8d7
r2q1rk1/1b1n1pbp/pp1ppnp1/2p5/P2PP3/2PB1N2/1P1N1PPP/R1BQR1K1 b - -,c5d4
8/1R4p1/p1r1pk1p/2Pp4/P2P4/4P3/5P2/6K1 w - -,b7b6
5rk1/4q1pp/p1R1r1n1/1pQ1p3/6P1/6B1/PPP4P/1K2R3 b - -,e7c5
8/5k2/3r2pp/1p1pR3/p2P2KP/P1P5/1P6/8 w - -,h4h5
r2q1rk1/1bpnppbp/pp1p1np1/8/P2P4/2P1PN1P/1P2BPPB/RN1Q1RK1 b - -,f6e4
1r2k1r1/5p1p/p1nnpB2/1p1p4/P7/3B2P1/1PP3P1/R4RK1 w - -,a4b5
2r1nrk1/p4qb1/Q2pb1p1/N1p1pp1p/4P3/B1N5/PPP2PPP/3RR1K1 w - -,f2f3
r4rk1/4qppp/3pn1n1/2p1p3/1p1PP3/1P1BPN1P/P2Q1RP1/5RK1 b - -,f7f6
1qrr1bk1/1b3pRn/p2p1n1Q/1p2p3/1PP1P3/P1NBN3/3B3P/6RK b - -,g8h8
r5r1/4q2p/1nk1Pp2/1n1p1P1N/1PpP3Q/p1P4P/R2B2P1/4R1K1 b - -,g8f8
3rr1k1/2p3p1/3nqp1p/1p2p2P/p2pP3/P1P1PQN1/1P2R1P1/5RK1 w - -,e3d4
4r1k1/pp3pp1/2p4p/5P2/4p3/B1P1nP2/PQ2q1BP/5R1K b - -,e4f3
8/8/8/2R1pk2/8/2BK4/7r/8 b - -,h2h3
r4rk1/1p2ppbp/2p1bnp1/1q6/2N1P3/1PBP2P1/1Q3PBP/R4RK1 b - -,a8a1
1r4r1/5ppk/3p3p/Bp1Pp1b1/p3P1n1/PpPR2Nq/1P3P2/2Q1RNK1 w - -,c1d1
r1r5/p3p1kp/1p4p1/5p2/3Nn3/1P2P3/P4PPP/2RR2K1 w - -,d4e6
r2qr1k1/pb1n1p2/1p3bpp/2pp2P1/3P3P/2NBPN2/PP1Q1P2/2KR3R b - -,h6g5
2r1r1k1/1p1b1qpp/p1nBpp2/3n4/8/QBPR1N2/P4PPP/3R2K1 b - -,c6e7
8/1p2rk2/p1pR1n2/2P1P1p1/2N4p/5K1P/1P6/8 b - -,f6d7
3q1rk1/p1r3bp/1pnNPp2/8/8/6P1/P4PB1/1R1Q1RK1 w - -,g2c6:d6b5
r1bq1rk1/ppp3bp/2np1np1/3Npp2/2P1P3/3P2P1/PP2NPBP/R1BQ1RK1 b - -,f6d5:f6h5:c8e6:f5f4:c6e7:h7h6
2r1r1k1/1p3ppp/3q4/p2PpbPP/P7/1B2RP2/1PP1Q3/1K2R3 b - -,d6c7
r3r1k1/5p2/pR1p1np1/2pP4/b4P1p/5B2/6PP/2B2RK1 w - -,b6d6
r1b2rk1/1pbnq1pp/2p1p3/p2pP3/1PP5/P1NBQN2/5PPP/3R1RK1 w - -,d3b1
5k2/R7/6p1/2r5/6K1/7P/6P1/8 w - -,h3h4
6r1/5p1k/p4Ppn/1p1N1pQ1/7P/P7/KPP3R1/4rq2 b - -,e1a1
r3nrk1/1pq3bp/2ppbn2/p3pp2/2P2P2/2NPB1PP/PP1QNRB1/5RK1 w - -,b2b3
1r4k1/1bb4p/2p2qp1/2Pp1p2/3P1P2/3B2B1/5QPP/4R1K1 w - -,g3h4
8/p3k3/P3p1p1/r1pn2p1/6P1/1P3R1P/7K/5B2 w - -,f1c4
8/1pB4p/p1p1k1p1/Pn6/4p2P/5r2/1R3PKP/8 w - -,c7b6
8/1p6/3kp2p/PR4p1/3rPp2/5P1P/4KP2/8 b - -,d6c7
8/1p6/2p2npp/p3k3/P1P3K1/4P3/6P1/1B6 w - -,g4f3
4r3/1p4kp/p1p1b1p1/2P2p2/3R1P2/1P4P1/P5BP/6K1 b - -,g7f6
r4rk1/1b2qpbp/p2pnnp1/p1p5/2P1P3/2N1BN1P/1PQ1BPP1/R2R2K1 w - -,c3d5
r2qnrk1/pp1n1pbp/3p2p1/2pP4/4PP2/2N2B2/PP4PP/R1BQR1K1 w - -,c1e3
r2qk2r/ppp1bppp/2n2n2/3pp1B1/6b1/2NP1NPP/PPP1PPB1/R2QK2R b KQkq -,g4e6
2k3rr/ppp1qp2/1nb1p3/3pP1Np/3P1Q2/2NR4/PPP2P2/2K4R w - -,d3g3
8/ppp4k/3p3p/3P4/1PP2r2/P1R5/6PP/6K1 b - -,h7g7
r3kb1r/ppq1pppp/2p2n2/2p5/4P1b1/3P1N1P/PPPN1PP1/R1BQK2R b KQkq -,g4f3
4k2r/1pqnbpp1/p2p1n2/4pP1p/2r1P3/1NNQB2P/PPP2RP1/R5K1 b k -,e8g8
3r2k1/p5pp/5q2/1p2p3/4Q3/1PPr1P2/P2p1RPP/3R1K2 b - -,h7h6
8/p1qb2rk/1p2p1p1/3p1r1p/3P3P/P1P3R1/3BQPP1/4R1K1 b - -,c7d8
8/1b2k1p1/p7/P1p1B2p/1p1p3P/1P1P2P1/2P3P1/5K2 w - -,g3g4
2kr3r/pp2bpp1/2n1p2p/3n4/3PNP2/1BP5/P2B1P1P/R3R1K1 b - -,g7g5
r2rn2k/ppq2n1p/3p1p2/2pPpP1P/2P5/2PB1PQ1/P2B2P1/R4RK1 b - -,c7e7
1n3rk1/5p1p/1R1Pp1p1/4q3/r3B3/8/P3Q1PP/5R1K w - -,f1e1
8/p1r1p3/5k2/1P2p1p1/P1NbPn2/2P2R2/8/2K2B2 b - -,d4c5
1r6/5p1k/6p1/pqNpQ3/3P2b1/1PP2p2/5K2/4R3 w - -,e5f4
r1bq1rk1/p2nbppp/2p1pn2/1p6/3P1B2/1QN1PN2/PP3PPP/R3KB1R w KQ -,f1e2
2r5/2r2k2/p1p5/Pp1pPp2/1P4p1/3KP1P1/2R2P2/2R5 b - -,f7e6
5rk1/1pp1ppbp/r3b1p1/3q4/1BnP4/1Q2PN2/P4PPP/R3KB1R w KQ -,f1c4
4r1k1/1p1bp2p/3p2pb/1p1P4/5n2/PR2Bp1P/1P3PP1/1R3BK1 b - -,d7f5
6k1/p3p1b1/r2pP2p/2pP1P2/PqP3p1/2p3P1/2B1R1P1/2QK3R b - -,b4c4
6k1/p1r1bppp/1p6/4Pp2/2qP4/4P2P/1R3KP1/1Q2N3 b - -,c4e6
r1bq1rk1/ppp1p1bp/2np1np1/5p2/2PP4/2N1P1P1/PP2NPBP/R1BQK2R w KQ -,e1g1
8/7Q/r4p2/2K1p3/4Pn2/5k2/8/8 b - -,f3e3
r3nrk1/4q1b1/p1Pp1n2/1p2p1pp/1P2Pp2/2N2P1P/P1Q1BBP1/3RK2R w K -,a2a4
r1bqkb1r/pp1pnppp/2n1p3/2p1P3/2P5/1P3N2/PB1P1PPP/RN1QKB1R w KQkq -,g2g3
4r2k/p3q1np/6p1/1P1nBp2/5P2/6N1/7P/Q1R4K b - -,h8g8
6k1/3P1n1p/4pp2/B2p2P1/2pPn3/P4N2/6P1/1K6 w - -,g5f6
