8/k7/8/PK1N4/8/8/8/8 w - -,a5a6
3r1rk1/pp1n1p1p/1bp1pnp1/8/3P1P2/2NB1N1P/PPP3PK/3R1R2 b - -,b6a5
8/pr2ppkp/1r4p1/8/5P1P/3R2P1/P1R1PK2/8 b - -,b6a6
2r3k1/6pp/p3pp2/8/3P4/1pn1P1B1/r4PPP/2R1R1K1 w - -,c1b1
rn2k2r/pp2p1bp/1qp2ppn/3pP3/3P1Pb1/2N1BN2/PPP3PP/1R1QKB1R w Kkq -,f1e2
7Q/4r3/1p3R2/p2pP1qk/1p6/6P1/1P6/6K1 b - -,h5g4
1r4k1/p4ppp/1Bbn4/3p4/q1r2PP1/1NP5/PPQ1B2P/1K1RR3 b - -,b8b6
2r2k2/p4p2/1n6/7p/pPP2q2/7P/1Q4B1/6RK b - -,a4a3
8/6k1/pp3p2/4pPp1/3pP1b1/3P4/1P1N4/4K3 b - -,g4h5
3k1b1r/1p2pppp/p3P3/3p1B2/5B2/4P3/Pn3PPP/4K2R b K -,g7g6
3q2k1/1p3pp1/p1p1n2p/P2rP3/8/2Q2N1P/1P3PP1/4R1K1 w - -,b2b4
r1b3k1/2p1b3/p1Pp2q1/1p1Pp2n/1P2P1pp/P1N1Q2P/3B2P1/5RNK w - -,c3e2
r4rk1/1ppb1qpp/p1n1pb2/3p4/3P4/2N2NP1/PPPQ1PBP/R3R1K1 b - -,a8e8
r2qkb1r/pp3p1p/2n1bpp1/8/2pP4/1QN2N2/PP3PPP/R3KB1R w KQkq -,f1c4
r3kb1r/ppqnpp2/2pp1np1/7p/3PP2P/4BP1R/PPPQ2P1/RN2KB2 w Qkq -,b1c3
1kr4r/pp3p1p/2bp1qp1/4pn2/PB1P4/7Q/1PP1NPPP/R2R2K1 w - -,d4d5
4qrk1/pb4p1/1p1n4/2p2p2/2P2P1p/P2BrN2/2Q2RPP/4R1K1 w - -,f2e2
5R2/8/7r/4K3/8/6kp/8/8 w - -,f8g8
r3r1k1/p1qbppb1/2pp1np1/7p/2P1PP2/P1N1B2P/1P1QB1P1/R4RK1 b - -,c7c8
2r5/6p1/P3k1p1/2p1P2p/2P1K3/7P/1P1B2P1/8 b - -,c8a8
8/8/5p1p/2p5/4k3/R5P1/3n1PK1/8 w - -,a3a6
rn1q1rk1/pb6/1p1p1b1p/2pP1pp1/4nB1P/P1N2NP1/1P2PPB1/2RQ1RK1 w - g6,h4g5
r6r/1pqbnk2/p2p1p1b/4pPpP/2PpP3/1P1P2NP/PB4B1/R2Q1RK1 w - -,b2c1
r1qr2k1/1p1n1pbp/2p1p1p1/4N3/p1PP4/1P4P1/PB2QP1P/R2R2K1 w - -,e2f3
8/1pB5/p1n5/2P4p/2K1k1P1/7P/8/8 b - -,h5g4
8/p2k4/1p1n1b1p/2p5/2P1BPP1/3K4/P4B2/8 b - -,d7e6
5r2/2p3Nb/k1P4P/pp2P1n1/3B4/P3K1P1/6B1/8 b - -,h7g8
1r3qk1/1p5p/2np2p1/8/1pR2P2/rNb5/P4QPP/2BR2K1 b - -,a3a8
5r1k/p5p1/1pRPq2p/1p6/1P3p1P/5P2/P1Q3P1/6K1 w - -,c2c3
rnbq1rk1/p4pp1/3b1n1p/3Pp3/Np5B/1B6/PP2NPPP/R2QK2R b KQ -,b8d7
3r2k1/6b1/p3r1p1/1p3B1p/3p4/1P1R3P/PB3PP1/2R3K1 b - -,g6f5
8/6k1/1qpbprbp/1p3p2/rP1P1Pp1/P1R3P1/4B1NQ/3R3K b - b3,b6a6
1b3rk1/1pnq1pp1/2p2n1p/5b2/QP1P1B2/2N3PP/4NPB1/5RK1 w - -,g3g4
8/7p/rp3p2/4k3/PP1pP3/5K2/R6P/8 w - -,a4a5
rr4k1/4pp1p/2Q3p1/3pP3/1Pp2P2/3q4/PKRB3P/2R5 b - -,a8a6
rnbq1rk1/1pp1ppbp/p4np1/P2P4/R7/B1N2N2/2P1BPPP/3Q1RK1 w - -,a4c4
r1b1k2r/pppp1ppp/5q2/1Bb5/8/2P5/PPP2PPP/R1BQK2R w KQkq -,d1e2:e1g1
rnbq1rk1/pp3ppp/4p3/b1p5/2BPP3/2P2N2/P2B1PPP/R2Q1RK1 b - -,b8c6
3rr1k1/1b2bpp1/1qp2n1p/p2pBB2/P2P4/1p2P3/1PQ2PPP/1NR1R1K1 w - -,c2d1
6k1/p5b1/b5pp/2B2P2/4q3/2P3PN/P4Q1P/1rR3K1 w - -,c5e3
r3k2r/1p2nppp/p3b3/2p5/5n2/5N2/PPPNBPPP/R3R1K1 b kq -,e8g8
1r1q1rk1/p2bppbp/2np1np1/1pp5/4PP2/2NPB1PP/PPP1N1B1/R2Q1RK1 w - b6,d1d2
r1bqr1k1/1p3pbp/n1pp1np1/p3p3/P1PPP3/2NBBP2/1P1QN1PP/3RK2R w K -,e1g1
r1b1kr2/ppp4p/4ppp1/n7/3P2N1/6P1/PP2PPBP/R4RK1 w q -,h2h3
r1b1k2r/pp3ppp/4pn2/q1Pn4/1b5Q/P1N5/1PPBNPPP/3RKB1R b Kkq -,b4c3
3R4/8/8/2p4p/2p1kr1P/2K5/2P5/8 b - -,e4f3
8/p7/1r2kpp1/4p2p/3b4/3K1P2/P1R3PP/3R4 b - -,b6a6
1rbqr1k1/5pbp/pp1p1np1/2pPn3/P7/N1N3PP/1P2PPB1/R1BQ1RK1 w - -,f2f4
3r2k1/2pqnr1p/p1n2N2/1p6/1PQ2pp1/P2P2P1/5PKP/2RRN3 b - -,g8g7
2r1k1nr/pp3pbp/2n1p1p1/1N1q4/3P4/5N2/PP2QPPP/R1BR2K1 b k -,g8e7
r3nrk1/pp4pp/5p2/2qPp3/8/3B2Q1/PPP3PP/R4R1K b - -,e8d6
8/5pk1/2r3pp/8/2r5/p4R1P/Pb3PP1/3RNK2 w - -,e1d3
8/6bk/6p1/2PK4/3nP2p/3P4/2r5/3R4 w - -,e4e5
8/5r2/6R1/7p/8/7k/4K3/8 b - -,h5h4
2br2k1/2prqpbp/1p3np1/p3p1B1/P1B1P3/1PP1Q1NP/5PP1/2R2RK1 w - -,g1h1
r2q2k1/pp3p2/4p1p1/3pP3/6r1/8/PP1Q1P2/1KR1R3 w - -,f2f4
8/7k/PR6/5K2/r5P1/8/8/8 b - -,h7g7
1r6/p4k2/4b2p/1Npp4/2P5/5P2/6PP/2KR4 b - -,d5d4
r1bqk2r/pp3ppp/2nbp3/2pn2N1/5P2/3P2P1/PPP4P/RNBQKB1R b KQkq -,h7h6
2k5/pb3p2/1pnB4/4Pp2/P4P2/2pp3P/2P5/1R2KBr1 b - -,d3c2
2rr1bk1/5p2/p5pp/Pp1q4/4p2P/2PnB2N/1P3PP1/Q2R1RK1 b - -,d5h5
r4r1k/ppp2pb1/2n1q1pp/4p2n/P3P2B/2P1NN2/1P3PPP/R2QR1K1 b - -,c6a5
1r2k2r/2q1bppp/2b5/4p1P1/p1p1P2P/2B3n1/PPP5/1KNRQ2R w k -,e1g3
r1r3k1/p5pp/1n2p1q1/1Ppb1p2/P7/1Q2PP2/3B1RPP/2R2BK1 w - -,b3a3
2Q5/q1P2b1p/p2p1kp1/1p6/1P2pP2/6PP/P6K/2R5 w - -,c8d8
6k1/p4p1p/2p3p1/1b2P3/3q4/1PR2BP1/3r1P1P/4Q1K1 w - -,c3e3
r6r/ppp1kppp/3bbp2/4n3/2B5/3PB3/PPP2PPP/2KR2NR w - -,c4e6
r4rk1/2q1bppp/p7/Np1bp1Pn/8/4BP2/PPPQB2P/1K1R2R1 b - -,f8d8
rnbqkbnr/pp2pppp/2p5/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,g8f6
6r1/3r3k/5PpP/3qp1Q1/p2p4/6RK/P2R1P1P/8 b - -,d7f7
rnbqk2r/ppp2pbp/3p1np1/3Pp3/4P3/6P1/PPP2PBP/RNBQK1NR w KQkq -,c2c4
r4rk1/1p2qpp1/p2p1n2/3P2Q1/4p2P/8/PPP2P2/2KR1B1R b - -,e7e5
3r1b2/3r1ppk/p2P3p/2PQ1N2/1P2p1q1/R2b4/3B1PP1/4R1K1 w - -,d2c3
r2qkb1r/4pppp/p1np1n2/1pp5/P3P1b1/2P2N2/1PBP1PPP/RNBQR1K1 b kq a3,e7e6
r2qk2r/pp1n1p2/2p1p1p1/5n2/3PBQ1p/7P/PPP1NPP1/2KR3R w kq -,c1b1
rn1qkb1r/1bp2ppp/pp3n2/3p4/3P1B2/P1N2N2/1P2PPPP/R2QKB1R w KQkq -,e2e3
3r1rk1/pb1q1pb1/1p4p1/1P1p3p/3p4/PQ2P1P1/5PBP/1N1R1RK1 w - -,e3d4
r1bqk2r/pp2ppb1/3p1npp/2pP2B1/2P1P3/2NB4/PP3PPP/R2Q1RK1 w kq -,g5h4
1r1R2k1/7p/3bpp2/3p2p1/3P2P1/1P2PN1P/5PK1/2R5 b - -,b8d8
2r5/6p1/p1k2p2/2prpn1p/Pp2R2P/1P1P1PP1/1BP2K2/4R3 b - -,d5d7
r2q1nk1/3r2pp/2Rp4/3Pp1P1/1Q2N3/6P1/4bPB1/3R2K1 w - -,d1c1
3rr1k1/ppb1qpp1/2p4p/8/1P1P2n1/P1BQP1P1/4NPK1/3R3R w - -,h1h4
8/6pk/2n2p2/5K2/4R1PP/8/8/8 b - -,c6a5
8/8/8/3Q4/3p4/3q4/2k5/4K3 b - -,d3c3
q3k2r/2bp1p2/p3p2p/3nP1p1/PpQ5/6B1/1PP2PPP/3R1RK1 b k -,a8b7
5rk1/1b1n1ppp/pr2pn2/8/2B5/1PB1PN2/5PPP/R2R2K1 b - -,f8a8
8/8/4p2k/3pP2p/3P3P/4K3/8/8 b - -,h6g6
8/2r5/7P/8/8/1K1p1k2/6R1/8 w - -,g2h2
8/5pp1/4p3/6kp/2N1P3/2K2Pb1/6P1/8 b - -,g5f4
6k1/p4r1p/3qp1p1/PP1p1r2/2R4P/1P3P2/5QP1/3R2K1 b - -,f5f4
4b3/8/4pk2/7p/2NPP1p1/2b1K1P1/4B3/8 b - -,f6g5
8/8/2R5/p1p3k1/P1r4p/5P2/6K1/8 b - -,c4c2
rnbqk2r/ppp1ppbp/5np1/3p4/5P2/4PN2/PPPPB1PP/RNBQK2R w KQkq -,e1g1
1r4k1/1pb5/p1n1p1p1/5p2/2P2P2/5BP1/P1P2BKP/1R6 b - -,g8f7
q7/5pk1/4p1pp/pBp1P3/P1P2PPb/1nB4P/2Q5/5K2 w - -,c2g2
b5k1/3n4/8/2p2P2/2R3P1/4r2P/PB6/6K1 w - -,c4c3
6R1/8/8/8/6p1/4K2k/6r1/8 w - -,g8h8
r1bq1rk1/pp1n1ppp/5n2/2pp2B1/1b1P4/2N1PN2/PPQ2PPP/R3KB1R w KQ c6,f1d3
8/8/3p3k/4b1p1/6K1/1R5P/6r1/8 w - -,g4f5
6k1/p2rb2p/1p2qpp1/4Pp2/3P4/3QP2P/1R3KP1/4N3 w - -,e1f3
3rnk2/p4qbp/1p2bpp1/8/3P1B1P/1P4P1/P3RP1K/2Q1R3 b - -,e6g4
6k1/p1q2pp1/7p/2pr4/4p1br/P3P1N1/1BR2PP1/1R2Q1K1 w - -,e1c3
5bk1/5r2/3p2q1/3Pp1pp/4P3/3Q2P1/5B1P/2R3K1 b - -,g5g4
2r1rbk1/1b3p1p/p2p1np1/1pnP4/2p1PBP1/P1N2N1P/1PB2P2/3RRK2 b - -,f6d7
1r6/1rb5/3p3k/pPpPp2p/2P3b1/R2B2P1/3N2K1/1R6 w - -,d3e4
4r1k1/p4q2/3Q4/1B5p/P3pn2/7P/5PP1/5RK1 b - -,e8f8
1rbq1rk1/1pp2pbp/5np1/p3p3/P1P1P3/2N3PP/1P3PB1/R1BQ1RK1 w - -,c1e3
8/5rpk/p7/1b2R1K1/1P1B2PP/2P5/8/8 b - -,f7d7
4r3/p2b2kp/1rp3p1/1pR1Pp1n/3N4/3P2PP/PP3PBK/4R3 b - -,b6a6
2r2rk1/p4pbp/3q2p1/1ppPn3/8/1PB3PP/P4PB1/R2Q1RK1 w - -,f2f4
r7/3bn1kp/1p1qppp1/p2p4/3P1P2/P2BQNPP/1P3P2/2R3K1 w - -,g1g2
K7/4k3/P7/8/3R4/8/1r6/8 b - -,b2b1
8/4k3/8/p5r1/3R4/PK6/8/8 w - -,b3c4
8/7b/5k1P/3R4/3p1pn1/1P6/P1P5/2K5 b - -,f4f3
4r1k1/pp3p2/1q3bp1/3p1p1p/3PrP1P/P1P1RNP1/1P1Q1K2/4R3 w - -,f3g1
3k4/2p2np1/1p1b1p2/p4B2/P1PB4/1R5P/7r/4K3 b - -,d6b4
5R2/8/8/3pKp2/5pk1/4r3/8/8 w - -,e5d4
8/1bp2p1k/1p2p1n1/1P4Q1/r2P3P/8/5PP1/4R1K1 w - -,h4h5
7k/ppR1p2P/3pp3/4n3/4P1P1/8/PPPKNr2/8 b - -,h8h7
r3qrk1/p2bp1bp/2ppnnp1/Q4p2/1PP5/2N2NP1/PB2PPBP/1R3RK1 b - -,e8d8
3r4/2p5/2p2pk1/1b5p/pP4pP/P3R1P1/5P2/1N4K1 w - -,b1c3
b1rr2k1/3nqp2/1p1pp1p1/4b3/1PP1P2P/Q6P/P1R1NBB1/3R2K1 b - -,g8g7
8/8/3k1b1p/1b3Pp1/4K1P1/2p3P1/8/3B4 b - -,b5e2
r2q1rk1/p2pbppp/bpn1pn2/8/2P1PP2/PNN5/1P2B1PP/R1BQ1RK1 b - f3,d7d6
r2r2k1/pp3ppp/2p3qn/b2pP3/3P1P2/2N2BPb/PP1Q1B1P/3RR1K1 b - -,a5c3
6k1/1bq4p/1p1nppp1/p2p4/1P1P4/Q2BPP1P/P2N2P1/6K1 b - b3,a5b4
3B4/8/p7/7p/p1kbp3/7P/P3K3/8 w - -,d8a5
r1bq1rk1/pp1nbppp/2p2n2/3p4/3P1B2/2NBPN1P/PP3PP1/R2QK2R b KQ -,f8e8
8/R3kpp1/3n4/3P2p1/p2K2P1/3B3P/5P2/r7 b - -,e7f6
4K3/8/8/8/8/6qp/Q7/6k1 w - -,a2b1
2r2rk1/p4p1p/6p1/2qp4/8/2P2NPb/P2Q3P/2R1R1K1 w - -,g1h1
4q2k/1p4p1/p2b1p1p/3p3b/P2P4/1P3N1P/3Q1PP1/4B2K b - -,e8e4
8/4k3/3p4/2nPp1rp/Pp2P3/1Pp2KP1/2B5/7R b - -,e7d7
8/8/1p3p1p/pP5P/P4pP1/1B1pb3/3k4/5K2 b - -,d2c1
r1bq1rk1/pp3ppp/2Nb1n2/1B1p4/8/1PB1P3/P4PPP/RN1QK2R b KQ -,b7c6
1k6/1pp5/3p4/p2Pb3/P4r1p/1PP1K2R/6B1/8 b - -,b8c8
8/1p3k1p/p1p1q1p1/2Qn1p2/3P4/1P3BP1/P4PKP/8 w - -,h2h4
r1bq1rk1/5pb1/p2p1np1/1npPp1Np/P3P2P/2P1BP2/3Q2P1/R2NKB1R b KQ a3,b5c7
6k1/ppn2r1p/2p3pP/2P1p3/4P3/1P2P2B/1P3R1P/6K1 w - -,h3c8
r3q1rk/2p1nppn/4p2p/pPb1N1P1/2N1P2P/2P5/1P2QP2/R1BR2K1 w - -,a1a5
r1bqnrk1/1pp2pbp/3p2p1/p1nPp3/2P1P3/2N1BNP1/PP3PBP/R2QR1K1 b - -,b7b6
4r1k1/3bqppp/3p3n/2pP4/p1P1PP2/P6P/3N2B1/4QRK1 w - -,e1g3
r1b1k2r/1pq1bp1p/p2ppp2/8/3QPP2/2N5/PPP1B1PP/2KR3R b kq -,c8d7
8/p5pk/2b5/8/1PNb2P1/1R1P1r1P/7K/8 b - -,g7g5
r3rnk1/p2n2p1/1pb4p/3p1p2/P1pP2PP/2P1P3/3NBP1B/RR4K1 b - g3,f5g4
1r6/1P6/7p/1R1k1p2/5P2/2K2P1P/8/8 b - -,d5c6
r1b2rk1/pp3p1p/2pR2p1/2n5/4PP2/2N2N2/PP4PP/2K2R2 w - -,h2h3
1n1qkb1r/rp2pppp/p1p2n2/3p1b2/P1PP1B2/1QN2N2/1P2PPPP/R3KB1R b KQk -,e7e6
r1bq1rk1/1p3pbp/2pp1np1/4p3/1PP5/2NnPNP1/5PBP/1RBQ1RK1 w - -,d1d3
8/4k2p/1p2n1p1/p3pp2/2r1P3/P3KP2/2P1N1PP/2R5 w - f6,e4f5
6k1/5r1p/1q1p4/3Qppb1/1Nr5/2P5/1P3PPP/R3R1K1 w - -,d5c4
1r3rk1/Rpp5/3p2pp/1P1P4/R3p1q1/2Q5/3NPnKP/8 w - -,c3g3
rnbqkb1r/pp1p1ppp/4pn2/1Pp5/2P5/8/PB1PPPPP/RN1QKBNR b KQkq c3,b7b6
r1b2rk1/ppq1ppbp/3p1np1/8/2P5/1PNQ2P1/P3PPBP/R1B2RK1 b - -,c8f5
r1b2k1r/pp3pbp/1q1Np1p1/4n3/2B5/2B5/PPP1Q1PP/2KR3R b - -,e5c4
rn1qk2r/pb2ppbp/1p1p1np1/8/2P4Q/2N2NP1/PP2PPBP/R1B2RK1 b kq -,h7h6
r2n1rk1/pppqnpb1/3pb1pp/1P2p3/P1P5/2NP1NP1/4PPBP/1RBQ1RK1 w - -,a4a5
r2qk2r/1bp2pp1/pbnp1n1p/1p2p1B1/P3P3/1BPP1N2/1P3PPP/RN1Q1RK1 w kq -,g5e3
r3r1k1/pqp2pp1/1p3n1p/2b1p3/P1N1P3/2P4P/1PQNKPP1/R2R4 b - -,a7a5
r2qk2r/1b2npbp/pp2p1p1/2p5/P1p1PP2/3P1N2/1PP1N1PP/R1BQ1RK1 w kq -,e2c3
5r2/2p5/2p1k1p1/2b1p2p/prP1P2P/1P3PB1/P1KR2P1/1R6 b - -,c5d4
rnbq1rk1/ppp3pp/3bpn2/3pNp2/3P1P2/5N2/PPP1P1PP/R1BQKB1R w KQ -,e2e3
8/8/4r1p1/P2p1p1p/1B2nKP1/2P1R2P/2k5/8 b - g3,f5g4
rn1qkbnr/pp3pp1/2p1p3/3pP3/3P1Np1/2NQB3/PPP2P1P/R3K2R b KQkq -,d8b6
r2r2k1/pp3ppp/2p3q1/3n4/P2N1Q2/2P5/5PPP/3R1RK1 w - -,f4h4
6k1/8/8/3pBpp1/2pK4/1r4P1/8/3R4 w - -,d1f1
