4k3/1K6/2P4r/8/8/1p6/8/3R4 b - -,b3b2
3r2k1/pbbr1pp1/4pn1p/q3p3/2pPP3/2P2NPP/P3QP2/B1R1RBK1 w - -,e2c2
r4rk1/p1q2pbp/bp2p1p1/3n4/Pn1pNP1Q/3P1R2/1PPB2PP/R2BN1K1 b - -,f7f6
1k5r/2p5/2p5/2Pp1p2/1P1PnNp1/R3P1P1/P5K1/8 w - -,a3d3
4k3/4bppp/2R5/pp1p4/3Pb1P1/1P4BP/1P3P2/6K1 w - -,g3f4
2r3k1/p3bpp1/q3b2p/n2pPp2/1p1P1N1P/1Pr1B1P1/P4PK1/1R1QN2R w - -,b1b2
8/1k1np3/p1p5/1p1p1b1r/3P1Bq1/PPQB2P1/2P5/2K1R3 b - -,f5d3
5k2/p4np1/1p6/1Pb5/2Bpr2P/8/P2B1PK1/1R6 w - -,f2f4
3r1rk1/1p2b1pp/2p1b3/3q1p2/pP1B4/P3P3/2Q1BPPP/1R1R2K1 b - -,d5a2
8/p6k/6R1/1p2Br1P/n4PN1/8/KP6/7r w - -,g6g7
3r3k/p7/5q2/1p1B1p2/1P4pP/4P3/P4P1P/1RR3K1 w - -,c1c5
2r3k1/6pp/p3r3/1p1pb3/3p4/3P2P1/PPPB3P/2R2RK1 w - -,c1e1
r2qr1k1/5pbp/1p4p1/nQ1pp3/1N1P4/1PR1P3/1B3PPP/2R3K1 w - -,b4d5
6k1/r4q1p/2Bbp2r/3p2p1/P1pPn1p1/4P2N/4QPP1/2R2RK1 w - -,e2g4
4r1k1/1p3p1p/p2p2p1/2pPb3/P7/1nNQ3P/1q3PP1/R1R2BK1 w - -,c1b1
8/4kp2/1p2p2p/1P2n1p1/4B1P1/4K2P/8/8 w - -,e3d4
r6k/ppp3pp/3p1r2/1q2p3/4PnQ1/2P1NP2/PP1R2PP/R5K1 w - -,g1h1
2k4r/1p1rp2p/p1P2pp1/6P1/2P3KR/4R3/PP3P1P/8 b - -,b7c6
8/p1R5/5k1p/1P6/3p2p1/P2BrbP1/5K1P/8 w - -,d3f1
8/pp2kp2/4p3/8/2P1KP2/P6N/1P5b/8 b - -,e7d6
8/5k2/r7/5PK1/4R3/8/8/8 w - -,e4e6
8/8/1p4B1/8/P3n3/3kp3/8/4K3 w - -,g6f5
r1bq1rk1/1p2bppp/p3pN2/4P3/PnBp2P1/3P3Q/1P1B1R1P/2R3K1 b - -,g7f6
8/pp6/2pPkn1N/4p3/5p1n/BP6/P4KP1/8 w - -,g2g4
8/3n2k1/P5pp/4p3/6P1/6BP/q5rK/5Q2 w - -,f1g2
r2q1rk1/ppp1ppbp/2n3p1/3n1b2/3P4/2N2NP1/PP2PPBP/R1BQR1K1 b - -,d5c3
1rq1k2r/p3bppp/2p1pn2/6B1/2P5/1P6/P2NQPPP/R4RK1 b k -,a7a5
6r1/pkp5/1pq2r1p/n2p1p2/P2P3p/2PPNQ2/5PP1/1RR3K1 w - -,c3c4
rn1qkb1r/pb3ppp/1p2pn2/2p1N3/2p5/1P2P3/PB1PBPPP/RN1Q1RK1 b kq -,b8d7
r4k2/1b3ppp/5n2/3p4/PN2p3/2r1P1P1/3R1P1P/R4BK1 b - -,c3b3
8/7p/p2n1kp1/8/1p2BP2/5P1P/PP3K2/8 w - -,e4d3
8/3B4/8/4b2n/5k2/7K/1r6/4B3 b - -,b2e2
r1b1qrk1/1p1n1pb1/p1p2npp/4p3/2P4B/2N1PN2/PPQ1BPPP/3R1RK1 w - -,f3d2
1rbR1b2/1Np4k/p5pp/5r2/P7/1R2B2P/2P2PP1/6K1 b - -,b8a8
3r1rk1/ppp1bppp/8/n7/P2P4/2PBBP2/5P1P/R4RK1 w - -,a1b1
4r2k/6p1/5pq1/8/7p/4B1P1/P1Q2P1P/2R3K1 b - -,g6g4
4rrk1/pp2q1pp/2pb4/5p2/1PPPn3/P5P1/1B4BP/R2Q1RK1 w - -,c4c5
rn1qk2r/pb2bpp1/1p1ppB1p/8/2PQ4/2N2NP1/PP2PPBP/R4RK1 b kq -,e7f6
8/1p3k2/3p4/p3p3/8/1P3K2/P7/8 w - -,f3e4
8/2k1b3/6R1/1P1K4/8/1r2B1P1/5P2/8 b - -,b3b5
5R2/r5p1/4p2p/1k1pP3/1p1P2PP/2pK4/2P5/8 b - -,b5c6
r5r1/2k2p1p/1np1bp2/ppb1p3/4P2N/2PB2N1/PP1R1PPP/1K5R b - -,b5b4
1qr2rk1/p2nbppp/1pbppn2/P1p5/3P4/2PBPN1P/1P1NQPPB/R4RK1 w - -,a5b6
6k1/p4p1p/7r/4b1N1/1P3p2/P3pR1P/2q3P1/4Q2K b - -,h6g6
5r1k/q4pbp/4pNp1/4P1P1/3p1P2/1N1n3P/3B2Q1/6K1 w - -,g2g3
4kn2/1b6/p1r1p2p/Pp1qPp2/1P1B1P2/2P4P/3QB2K/6R1 w - -,e2h5
3r4/7k/6pp/p2P1p2/5N2/PP1B2PP/3b2K1/8 w - -,d3c4
r1b2rk1/ppq1bppp/4p3/2p1n3/2P5/1QBP2P1/P3PPBP/RN3RK1 b - -,e5c6
8/1k6/2p5/6p1/K3P1P1/6bp/3N4/6B1 w - -,d2f3
1r2r3/4k1pp/R2b1p2/2qPn3/3B2PP/1B6/1PP1Q3/2KR4 b - -,c5c7
r1bq1rk1/1ppnbppp/2n5/p3p3/2Pp4/1P1P1NP1/P1N1PPBP/R1BQ1RK1 w - a6,a1b1
r3r3/pp3pkp/2n1bp2/8/3B4/1P3N2/P1P2PPP/2KR3R w - -,d4c3
2r1k2r/2qb1ppp/p3p3/1pnpPPQ1/3B4/PRPB4/2P3PP/5RK1 w k -,g5g7
5k2/5p1p/8/p3Pp1p/5P2/4r1PK/P2R4/8 w - -,d2d6
4rbk1/p1pq1ppp/1p1p1nn1/3P4/2P5/1Q3N1P/PP1N1PPB/4R1K1 w - -,e1e8
r1bqr1k1/1pp2pp1/2n2b1p/p2np3/P7/2PP1N2/1P1N1PPP/R1BQRBK1 w - a6,g2g3
3r2k1/5pb1/7p/6pP/1pNp2P1/1P1B4/5PK1/8 b - -,d8e8
8/8/2k3rp/p3R3/p5P1/4KP2/8/8 w - -,e5a5
8/pkp5/1p3B2/3p1bpp/PP1P4/5P1P/7K/8 b - -,g5g4
rn1q1rk1/ppp1ppbp/3p1np1/6N1/3PP1b1/2N1B3/PPPQ1PPP/R3KB1R b KQ -,b8c6:h7h6
3k4/p6p/2Bb2p1/2n2r2/5P2/4P1B1/P3KP1P/2R5 b - -,d6e7
r3qrk1/1ppb3n/n2p4/1N1Ppp1p/P1P4B/1N2bP2/4B1PP/R2Q1R1K w - -,f3f4
1Q6/3k1p1p/6p1/pp1q2P1/7P/2P1P3/5PK1/8 w - -,g2g1
3r2k1/1p2bp2/p2np2p/8/7p/3N1N2/PPP2PPP/4RK2 w - -,f1e2
r1bq2k1/p5pp/2p2b2/1p1pnP2/7N/6P1/PPP1BP1P/R2Q1RK1 w - -,h4g2
r3kb1r/pp1n1ppp/2p1pnb1/4N3/2P5/6P1/PP1RPPBP/RNB3K1 w kq -,e5g6
r1bqkb1r/ppp1pppp/3p1n2/8/1n1PP3/3B1N2/PPP2PPP/RNBQ1RK1 b kq -,b4d3
7r/2b4r/1pBp1kp1/pP2pp1p/2P2P2/P4KP1/4R3/4R3 b - -,g6g5
r1bq1rk1/pp4pp/1b1p1p2/2PP2B1/1n6/1Q3NP1/PP3PBP/R4RK1 b - -,d6c5
4qk2/2p1n1p1/1p3p2/p2Qp1p1/P1N1P1P1/2P5/1P2KPP1/8 w - -,d5d1
6k1/1b3ppp/1p6/1r1p4/1R6/6P1/5P1P/2R2BK1 b - -,b5b4
1r5k/5RbP/p2pp3/6q1/2p5/7P/PPQ3P1/5R1K w - -,c2c4
rn1qkb1r/ppp1pppp/5n2/3p4/5Pb1/4PN2/PPPPB1PP/RNBQK2R b KQkq -,g4f3:c7c5
r2qk2r/1p1n1ppp/p2p4/3Pp1b1/8/1N1b1P2/PPP2BPP/R2QK2R w KQkq -,d1d3
1q4k1/1p3bp1/p3p2p/4Pp2/4pP2/P1Q1P3/1P2N1PP/6K1 b - -,b8d8
1r3bnk/1q5r/2bp1p1p/2p1pP2/p1P1P1PR/1P4N1/P2B2KR/2QB4 w - -,d1c2
2b1r1k1/p1n2rpp/2n1pp2/2NP4/8/4NP2/PP1RB1PP/2KR4 b - -,c7d5
r1bq1rk1/pp1pbppp/2n1p3/2p5/3P4/2P1PNP1/PP2BPP1/RN1Q1RK1 b - -,d7d5
rn1q1rk1/p2nppbp/b2p2p1/2pP4/2B1P3/1PN5/P1QN1PPP/R1B2RK1 b - -,d7e5
2r1r1k1/p2R3p/1pP3p1/5p2/5P2/1P4P1/P1P4P/3R2K1 w - -,c6c7
r1r3k1/p2qb1p1/2n1p2p/3pPp2/1p1P3P/P2R4/1P1B1PPN/3QR1K1 w - f6,e5f6
8/5pk1/1p2p3/1P1pP2p/4b1pP/8/1BnQ4/2KB2q1 w - -,d2g5
8/5p2/pk2b1p1/1p1qP3/1P4P1/2Q2P2/4BK2/8 b - b3,d5a2
r1b2rk1/pppp1pbp/6p1/n2Pp3/2P1P2q/2N2PB1/PP4PP/R2QKB1R b KQ -,h4e7
6k1/2p3pp/p2R1p2/b7/4PP2/1P2B3/P3K1PP/8 b - -,c7d6
r2qr1k1/1b1n1p1p/ppp2np1/3p4/N2P4/1Q1BPN2/PP3PPP/2RR2K1 b - -,a8b8
2r2rk1/1b2qpp1/p2b1n1p/1p1p4/4n3/4PN2/PP2NPPP/1QRRBBK1 b - -,c8c1
r2q1rk1/ppp1bppp/2n2n2/3Pp3/2B3b1/P2P1N2/1PP1NPPP/R1BQ1RK1 b - -,f6d5
1r4k1/R4p2/3Pb1p1/4r3/1pQRp3/4qB2/1PP3PK/8 w - -,c4c7
2k5/p5Rp/1p6/8/2r3n1/8/3B1PP1/6K1 b - -,a7a5
r1bqk2r/4ppbp/p1p2np1/3pP3/3P4/5N2/PP2QPPP/RNB2RK1 b kq -,f6e4
r1bqnr1k/p3npbp/3p2p1/2pPp1B1/Q1P1P3/2N5/P2NBPPP/1R3RK1 b - -,g7f6
3q1rk1/p4pp1/3p1n1p/1b2pP2/1P1pP1P1/P2P3P/2rBQ1B1/1R3RK1 w - -,f1c1
1R6/6p1/1P2k2p/8/8/b6P/5PP1/6K1 b - -,e6d6
r3kb1r/pbqn1pp1/1p2p2p/2pPP3/5B1P/4PN2/PP3PP1/R2QKB1R b KQkq -,b7d5
8/8/7k/1KB3p1/2P1p1n1/4P3/8/8 b - -,h6g6
r2q1k2/pp3p2/2p5/4p2p/2PnB3/3PN2b/PP1Q1r1P/R6K w - -,d2f2
r1q2bk1/1p1b1ppp/p4n2/3p4/3N3B/1NPQ1P1P/PP4P1/4R1K1 b - -,f6h5
3r2k1/p4pp1/1pB1p2p/8/P6P/Bb2P1PN/5P2/b5K1 b - -,d8d1
8/R7/5kp1/4p3/1pBp1n2/1P1P1r2/3K4/8 b - -,g6g5
2b2r2/2P2pk1/1p3qp1/3B3p/1Q5P/4R1P1/5PK1/8 b - -,c8g4
2r3k1/1p1qbppp/p3pn2/3p2B1/2rP4/4P3/PP2NPPP/R1RQ2K1 w - -,g5f6
3r2k1/pp2ppbp/4n1p1/3q4/1P3B2/8/P4PPP/3QRBK1 w - -,d1d5
rq1br1k1/1b1n1pp1/p2p1n1p/1ppP4/4PP2/1PN3P1/PB3NBP/R2QR1K1 w - -,h2h4
r1bqk1nr/1p1pppbp/p1n3p1/1Bp5/Q3P3/2P2N2/PP1P1PPP/RNB2RK1 b kq -,g8f6
r1b2rk1/pp1n2p1/2p4p/2Pp1p1q/3P1P2/5N2/PPQ2PBP/R3R1K1 b - -,f8f6
6k1/5p1p/6p1/8/2b1P1P1/R3P3/6K1/8 b - -,g8g7
8/7R/2Pk2p1/3Pp3/4Pp2/P4P1P/6PK/2r5 b - -,c1c3
8/2r5/1p4k1/bP2p1p1/6p1/6N1/3n1PKB/3R4 w - -,g3f1
r2q1rk1/pp3pbp/2p1p1p1/1n6/3PP3/1Q2BB2/PP3PPP/2RR2K1 w - -,d4d5
2r2rk1/1p2qpp1/p2np2p/3pn3/3P4/P1PB4/1PQ2PPP/3RR1K1 w - -,e1e5
r4rk1/1p3ppp/p1nq2n1/3p4/1P1P2b1/R1PB1N2/3N1PPP/1Q2R1K1 b - -,a8e8
1r5r/2pn1pk1/p2b2pp/3Bp3/Pp2P3/5PPb/1PPN1B1P/2KR3R w - -,d2c4
2kr4/pp1q1p2/3bp1n1/3p1bBp/3P3P/1BP1QP2/PP2N3/2K3R1 b - -,d8e8
6k1/5R1p/2p2rp1/1p1p4/p2Pb3/P1P5/NP4P1/4R1K1 b - -,g8f7
5rk1/3r1pp1/pq2p1p1/3n4/Pp4P1/4PQ1P/1P2KP2/1BRR4 w - -,b1e4
r1r3k1/5p1p/4pbp1/1p6/2pP4/P2nRNP1/1PR2P1P/5BK1 b - -,b5b4
rn3rk1/ppp2bbp/q4pp1/8/5B2/P2N1B2/1PP1QP1P/1K1RR3 b - -,b8c6
r3qrk1/p3b1pp/1ppp4/5p2/1PPPpPnP/6P1/P2BQP2/R2N1K1R w - -,d1e3
2N1k3/2b3pp/2P1p3/4P3/1K6/2B3P1/4b2P/8 w - -,b4c5
rnbqkb1r/pp3ppp/2p1pn2/8/2BPP3/2N2N2/PP3PPP/R1BQK2R w KQkq -,e1g1
2rq1rk1/1b2ppbp/1p1p1np1/pN4B1/1n1PP3/P4N1P/1P1Q1PP1/RB2R1K1 b - -,b4a6
2rr2k1/5pbp/p1p1nnp1/1p2p3/4P2B/3NNP2/PPP2KPP/3R3R b - -,d8e8
r2q1rk1/1p2ppbp/1np3p1/5b2/3P4/1BPN1Q2/PB3PPP/R3R1K1 b - -,f5d3
r3k2r/ppp1qp1p/5p2/8/2B1bP2/2P4P/P7/R1BQ1RK1 w kq -,g1h2
5rk1/1pq2ppp/4pn2/8/2PQ4/1P5P/4BPP1/3R2K1 b - -,b7b6
1k1r4/2q2pp1/4pn2/p7/1p5r/1BP2Q2/PP6/1KR1R3 b - -,h4f4
8/8/2q5/5Q1P/2r2PK1/4k1P1/8/8 b - -,c6f3
r1br2k1/b1p2pp1/p1p2n1p/4p3/4P3/2P2N1P/PP1N1PP1/R1B1R1K1 b - -,f6d7
8/5k2/2p2p2/p1P2P1p/P1b1PKp1/6Nr/1R5P/8 w - -,e4e5
r2r2k1/1b1nqppp/1p3b2/p3p3/2PpP3/1P4P1/PBB1QP1P/3RNRK1 b - -,d7c5
r1b1rnk1/5pb1/p1p2qpp/Np2p3/1PP1Pn2/P3RN1P/1B3PP1/RQ3BK1 w - -,b1c2
r1bqk2r/pp2npp1/2nbp2p/2ppN3/3P4/2PBP1B1/PP3PPP/RN1QK2R b KQkq -,d6e5
3q4/8/4p2p/1p2Pkp1/3P4/Q4R2/1P1K3P/8 b - -,f5g4
7r/pppk2p1/4p3/2p1PnB1/7p/2P2P1P/PP3KP1/4R3 b - -,b7b6
8/5kp1/3p1n2/2pPpP2/2P1P3/4R3/1r2B3/5K2 b - -,g7g6
5k2/4p2p/3p1pp1/2pP4/n1P2PPP/4P3/3NQK2/7q w - -,d2f3
r3n1rk/1p2qn1p/p2p1p1P/2pPpP2/B1P1RP1Q/2P3R1/P2B2P1/6K1 b - -,e8c7
3R1bk1/1pr2p1p/6p1/N3pb2/6P1/2P2B1P/Pn3P2/6K1 w - -,g4f5
r1bqk1nr/pp1pbppp/2n1p3/2p5/4PP2/2N3P1/PPPP3P/R1BQKBNR w KQkq -,f1g2
2r1rbk1/1p1n1q1p/p2pppp1/P3n3/3RPN2/2P1B1PP/QP3PB1/3R2K1 b - -,g6g5
6k1/p3bppp/4p3/8/1P6/P3NKP1/3r1P1P/R7 w - -,a1d1
8/1b6/8/3k1pp1/p4P2/P1KN3P/6P1/8 b - -,g5f4
r4k1r/4q1pp/1pp1b3/p1npPp2/5N2/1B2Q3/PPP2PPP/2KR3R w - -,c2c4
r5k1/1q2bp1p/6p1/3b4/1p1Nn3/4PN1P/1P2Q1P1/2R1B1K1 b - -,e7f6
2R5/5k1p/r3p1p1/3B2B1/1b1P4/2p5/5P2/3K4 b - -,e6d5
1k1r2r1/pbp1qp1p/1p1bp3/5p2/3P1N2/3QPP2/PPP1N1PP/1K1R3R w - -,h1e1
8/kp4p1/p1pB2qp/2PnQP2/3p4/PP4P1/K7/8 b - -,g6g5
2r1r1k1/1q2pp1p/pp4pb/3nB3/P2P4/1Q3N1P/1P3PP1/R2R2K1 b - -,e8d8
3rrbk1/pbq2ppp/p7/2pPp3/2N3P1/2N2PQ1/PPP4P/3R1RK1 w - -,c4e3
r1b2rk1/pp2ppbp/6p1/qNP1n3/2BNn3/4P3/PP3PPP/R1BQ1RK1 w - -,c4d5
br2r1k1/3q1p2/3p4/2p3Qp/1p1P4/1P5P/5PP1/2R1R1K1 b - -,g8h7
1r1r2k1/p4ppp/8/2Pq4/3Np3/3nB1P1/P2R1P1P/3Q2K1 b - -,b8b4
r2r2k1/1b2n1pp/1pp1q3/1P1p1p2/3P4/1QB1P1P1/5PBP/2RR2K1 b - -,c6b5
r4rk1/p4ppp/2p1p3/3pP3/1q3P2/3b4/PP1N1QPP/R1R3K1 w - -,d2b3
8/8/5k1p/5N1P/5P2/1P3Kp1/1r6/8 w - -,f5g3
5bk1/p6p/4Ppp1/1N3P2/2K3P1/2B4P/8/1r6 w - -,g4g5
2r1r1k1/1p2p1bp/3n1pp1/p7/2qP1P1B/2PN4/P3R1PP/2RQ2K1 b - -,b7b5
r1q2rk1/pb4pp/1p1b4/2ppNpQn/3P3B/2P2P1P/PPB3P1/R3R1K1 b - -,g7g6
1r1r2k1/1q3pbp/p3p1p1/1b4Pn/1P2P3/4Q2P/3BNPB1/2R1K2R w K -,e2f4
r2r2k1/ppqb1p1p/2n1p1p1/2N5/8/2P1PB2/P1Q2PPP/1R1R2K1 b - -,a8b8
3r4/3P3p/1p2k3/1B1n4/P1r2p2/1R2p3/6P1/5K2 w - -,b5c4
r7/8/1P3k2/8/8/8/2K1R3/8 b - -,a8b8
rnb1r1k1/ppq3bp/6p1/2pBP3/2P2pnN/1P6/PBQN1P1P/R4RK1 b - -,c8e6
8/p3pk1p/6pb/R7/8/5P1P/5P2/6K1 w - -,a5a7
3b1qrr/3knpn1/p3p1p1/Pp1pP1Pp/1PpP1B1P/2P2N1N/3Q1PK1/R6R w - -,h3g1
r7/8/8/5k2/3KN3/8/8/8 w - -,e4d6
2b2b1k/2p3pp/pn1ppr2/3PN2q/2P2P2/B2Q2P1/P3R2P/5RK1 w - -,e5f3
5r1k/1p2b1pp/3p4/1N6/p1r2Pn1/P1N1B1Pb/1PR1K2P/7R b - -,g4e3
rn1qkbnr/1b3ppp/p2pp3/1pp5/3PP3/2PB1N2/PP1N1PPP/R1BQK2R w KQkq -,e1g1
r1bq1rk1/bpp1nppp/p4n2/P2Pp3/1PB4N/2PP4/3N1PPP/R1BQ1RK1 b - -,e7d5
8/pp2r1k1/5p2/1N1P4/7p/P2B2bR/1PPn2K1/8 b - -,d2e4
1k6/5p2/p1b1r3/Pp6/4NK2/4R3/1PP5/8 b - -,c6e4
rnbq1rk1/p1p1bppp/1p3n2/3p2B1/3P4/2N1PN2/PP3PPP/R2QKB1R w KQ -,f1d3:d1c2
8/p1p5/1p2b2p/2p2pk1/P1P5/1P3KP1/2P3N1/8 b - -,e6d7
2rqr1k1/1n1p1ppp/p3pn2/8/2pQbB2/5NP1/PP2PPBP/2R2RK1 w - -,c1c4
2b3rk/1r5p/pp3RpQ/2pP4/P1P2B2/3B3P/2P3PN/4q1K1 w - -,h2f1
