8/3N4/8/3p1kp1/3P4/4K2P/1b6/5b2 w - -,d7b6
r4rk1/ppqn1pbp/2p2np1/4p3/P3P3/1N4PP/1PP1QPB1/R1B2RK1 b - a3,a8d8
r3r1k1/pbp3bp/1p4p1/2n1ppq1/2P5/2N1PP1P/PP2B1PB/2QR1RK1 w - -,b2b4
r1b1k2r/2q1bppp/p1nppn2/8/1p2PP2/1N1B4/PPPBQ1PP/3NRRK1 b kq -,c8b7
3r4/8/8/Ppp1kp1P/5N2/4PB2/4K3/8 w - -,a5a6
r2r2k1/p3ppbp/q1p2np1/1p6/2n1PPP1/2NBBQ1P/PPP5/1R2K2R w K b6,e3f2
8/8/pp6/3p3r/1P1K1pkP/P3pN2/8/7R w - -,f3e1
3qr3/r2p1pbk/2p4p/pp2P1pP/3NR3/1P2R3/1P1Q1PP1/6K1 w - -,d4f5
r1b2rk1/ppp1qpb1/2n2npp/1B2p3/4P3/2N1BN1P/PPP2PP1/R2Q1RK1 w - -,c3d5
1qr1r1k1/1b1n1pb1/p2ppnp1/1p5p/1PP1PP2/P1N3PP/1B1N1QBK/2R1R3 w - -,c4b5
2b3k1/6p1/p4n1p/1p2pp2/8/1P3PP1/P2BP1BP/6K1 b - -,g8f7
r2qkb1r/pppn1ppp/5n2/4p2b/4P3/5NPP/PPP1QPB1/RNB1K2R b KQkq -,f8b4
2r2k2/3r3p/1p4p1/p1b5/5B2/3pPP2/P5PP/3R1RK1 b - -,c5b4
1r4k1/r2q1ppp/3p4/p1nPp3/1p2P2P/5PPB/PP2Q2K/1RR5 b - -,d7a4
r2qkbnr/pppnpppp/8/3p4/1P4b1/4PN2/PBPP1PPP/RN1QKB1R b KQkq -,g8f6
r1bqkb1r/pp3ppp/2n1p3/1B6/8/2n2N2/PP1P1PPP/R1BQ1RK1 w kq -,b2c3
rr4k1/2qn1ppp/3pp3/1Q6/3bPP2/8/PP1B2PP/1B2RR1K w - -,b5d3
rnbqkb1r/pp2pp1p/1n1p2p1/8/2PP1B2/8/PP3PPP/RN1QKBNR w KQkq -,b1c3
2r1r1k1/1q2bppp/p2p1n2/1p1NpP2/1NP5/P3P3/1P4PP/2RQ1RK1 w - -,b2b3
1n6/3nbpk1/r1r4p/1N2p1p1/bPN5/P3P1B1/4BPPP/2R2RK1 w - -,c4e5
8/1ppk1ppp/p2r4/8/5P2/4K1P1/n3B2P/1R6 b - -,b7b5
r2r1k2/5p1p/pPn1p3/2p5/8/4PP2/5PBP/1R2K2R b K -,c6b4
rn1qkb1r/1b2pppp/p2p1n2/1p6/3NP3/P1N1BP2/1PP3PP/R2QKB1R b KQkq -,b8d7
r6r/1b2kppp/p2Np3/1p2P3/5P2/2P5/P1n3PP/R3KB1R w KQ -,e1d2
q1r1r1k1/1bbn1ppp/pp1ppn2/2P5/NP1NP3/4BP2/P2Q2PP/1RR2B1K b - -,d6c5
8/8/8/1B4k1/P4Np1/6K1/r4P2/8 b - -,a2a3
8/2r4p/2pb1pp1/8/1P1k2P1/7P/2RN1PK1/8 w - -,d2f3
r1bqk1nr/1pp2ppp/p1pb4/4p3/4P3/3PBN2/PPP2PPP/RN1QK2R b KQkq -,g8e7
2rqr1k1/pp3pbp/1n4p1/3p4/8/1B1QP2P/PP1B1PP1/1R1R2K1 b - -,b6c4
8/8/K1kb4/R7/r7/8/8/8 b - -,a4g4
8/1p6/2b4p/p5p1/2P1pkP1/1P2N2P/P2KB3/6b1 w - -,e3f5
2rq1rk1/pb1npp2/2p3p1/2PnB1Np/P6Q/1B5P/1P3PP1/3RR1K1 b - -,d7e5
2b3k1/5p2/1pp5/p1n1n1p1/2PNP1P1/1PN2P2/P4KB1/8 b - -,g8f8
r4rk1/1pq1ppbp/1np2np1/p7/P2PP3/1QNN4/1P3PPP/R1B2RK1 b - -,b6c8
8/2p1k3/1p3p2/p1pPp1n1/P1P1P1R1/1P3rN1/2K5/8 w - -,c2b1
r1bqk2r/ppp1nppp/2n5/3p4/3P4/P1PB4/2P2PPP/R1BQK1NR w KQkq -,a1b1:d1h5:d1f3
2Q5/5ppk/6bp/P7/3qp1P1/8/3r1P1P/3B1RK1 w - -,d1c2
4r3/B7/2Np4/PP1P1k2/1P3b2/5K2/8/8 b - -,e8h8
4rn2/1pq3pk/2pp1p1p/1p1n1P2/1P1P2P1/2P2Q1P/2BB1PK1/R7 b - -,c7e7
3q1rk1/3r2pp/ppnp4/2n1pb2/2P5/2N1QB2/PP1R1PPP/N2R2K1 b - -,c6d4
r1b2rk1/2q2ppp/2p5/pp2p3/B3P3/4B2P/1PP2PP1/R2QR1K1 b - -,b5a4
r1bq1rk1/1p2npbp/p4np1/3P4/8/N1N5/PP2BPPP/R1BQ1RK1 w - -,e2f3
r2qr1k1/pp3pbp/1nppbnp1/8/2P1P3/1PN1BP2/P1NQB1PP/R3K2R w KQ -,e1g1
8/6k1/P2p4/3Pp3/4P1P1/5p1p/8/6K1 b - -,g7g6
1r4k1/pb2q1pp/2rb1p2/3p4/1ppPpPB1/2P1P3/PP1Q1NPP/4RRK1 w - -,d2e2
3q3k/5bb1/1p6/1P1p1p1p/2nPpNn1/1QN1P1PB/5P2/B5K1 b - -,c4d2
r2q1rk1/1p4pp/p2pp3/2p1n2b/P3P3/1PP1RN2/5PBN/2RQ2K1 b - -,f8f4
rnbqkb1r/pp3ppp/2p1pn2/3p4/3P1B2/4PN1P/PPP2PP1/RN1QKB1R b KQkq -,f8d6
2r2rk1/5ppp/pb1p4/np1Pp3/4Pn2/PPB4P/B2N1PP1/2R1R1K1 w - -,a2b1
r2q1rk1/1p3pbp/p2p1np1/n1pPpb2/2P5/1PN1P2P/PB1NBPP1/R2Q1RK1 w - -,e3e4
r1r3k1/1b2qp1p/3bp1P1/4n1P1/1P1BP3/p1NB4/2P2Q2/2KR2R1 b - -,f7g6
r2k4/pp1bp3/3p2pp/3P4/4N3/1P5P/P5P1/4R2K w - -,h1g1
r1bqrbk1/ppp2p1p/2np1np1/4p3/1PP5/P1NPPN2/1BQ1BPPP/R3K2R b KQ -,f8g7
2r1k2r/1b2qppp/p3p3/1pnn4/8/5NP1/PPQ1PPBP/RNR3K1 w k -,b1c3
r3r1k1/pp1nqpbp/2p2np1/8/2PP4/2NB3P/PBQ2PP1/R2R2K1 b - -,f6h5
6k1/1p6/r5P1/1p2K3/1PbB3r/4P3/5R2/6R1 b - -,a6e6
r3k1r1/1p2pp2/pqnpb3/4n1Bp/P3P3/1NP2P2/2PQB1P1/R3K2R w KQq -,g5e3
r1bq1rk1/pppp1ppp/5n2/4p3/1nP5/3P2P1/PP2PPBP/R1BQK1NR b KQ -,f8e8:d7d5
2R2bk1/5r2/3p2pB/1b1Ppp2/1P2P2p/7N/1r4PP/2R3K1 b - -,f5e4
r3r3/1pp1qk1p/3p2p1/p2P3P/2P1pP2/4R3/PPK1Q1R1/8 w - -,h5g6
r1b2r2/p5pp/5k2/1p1pRp2/1P1PnP2/2P2NP1/P6P/2R1B1K1 w - -,f3h4
r3kb1r/1pqn1p1p/2p1bnp1/p3p3/2P4N/6PP/PPQNPPB1/R1B2RK1 w kq -,b2b3
8/k7/2K5/7p/6p1/5pP1/4pB1P/8 b - -,a7a6
8/4k3/1r1p2pp/pPn1pp2/P3P3/4KP2/2B3PP/1R6 b - -,f5f4
r2qkbnr/pb1ppppp/1pn5/2p5/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R w KQkq -,d2d4
r1b1k2r/1pq1bppp/p1nppn2/8/P1B1P3/1NN1B3/1PP2PPP/R2Q1RK1 w kq -,a4a5
r5k1/pp2p1bp/2p3p1/5r2/8/2P1B3/PPK2PPP/R3R3 b - -,g8f7
6R1/1p1k4/p4r2/P2p1n2/1B1P1q2/4r2Q/1P6/6RK w - -,g1g7
r4rk1/5pb1/pp1q2p1/n1pPpb1p/2P3PP/1PN1B3/P2Q1PB1/3RK2R b K -,f5g4
2rr2k1/4Rp1p/p3n1p1/6P1/6R1/8/2P4P/3B2K1 w - -,d1f3
r1b2rk1/3nq1pp/ppp5/5p2/2PPp3/2N1P3/P1Q1BPPP/1R3RK1 b - -,a8b8
8/4k3/p1R4p/1rp5/5K2/P1P3P1/1P6/8 w - -,b2b4
r1bq2k1/pp3pp1/2p2P1p/3p2bN/5P2/1BP4P/PP4P1/R3Q1K1 b - f3,g5f6
4r1k1/p4pp1/4pn1p/2p5/2P2N2/1P1R2P1/P2Q1PKP/q7 b - -,a1e5
2rb4/5pk1/2b3p1/4p2p/1P5P/4B1P1/P2K1P2/2R2B2 w - -,f1b5
r7/1p3pk1/p1prbp1p/8/8/P5P1/1P2PPBP/3R2K1 w - -,d1d6
q5k1/5p1p/3bp1p1/8/2rp4/P3PNP1/1Q3PKP/1R6 w - -,e3d4
2r3Q1/pk3r2/1p2pn1p/3p3P/b1pP1P1B/P1P1N3/2P4K/R4R2 b - -,c8g8
2r4r/p3kp1p/2pq1pp1/2P2b2/8/1P2PN2/P4PPP/2Q1KB1R b K -,d6c7
8/p1Q2nk1/6pp/1pp5/3qP3/2PB3P/P2K2P1/8 b - -,d4f2
rn1q1rk1/pb2bppp/1pp1p3/8/2pPNn2/5NP1/PPQ1PPBP/3R1RK1 w - -,g3f4
5k2/1R4pp/3p1p2/3PpP2/4r3/6KP/6P1/8 w - -,b7b8
r4r2/2pb1pk1/2Pp1np1/3PpPq1/pp2P1Pp/4R2P/1P2QNB1/R5K1 b - -,d7c8
r3r1k1/ppq1bppp/2p2nb1/3Pn3/2P1p3/2N1N1PP/PP2QPB1/R1BR2K1 w - -,e3g4
4R1K1/pr3N2/8/P1nk4/7b/8/3B4/8 b - -,c5d7
1r2r1k1/5p1p/1n4p1/2pPP3/1p3P2/1Pp2B2/4RKPP/3R4 w - -,f3e4
8/5pb1/1n2p1k1/7p/1r2P1P1/5PP1/RPR5/5K2 b - -,h5g4
8/5p1k/6pp/4q3/8/1P4P1/5PNP/nQ5K w - -,b3b4
r2r1bk1/2qn1ppp/p1npb3/4p1P1/2P1P3/1P4NP/1B2NPB1/R2Q1RK1 w - -,b2c3
1k6/6R1/5p1p/7K/2N2qP1/7P/8/8 b - -,f4c4
3k4/pp5r/4b2p/1B1ppp2/PP3p2/4bP2/2R3PP/1R3K2 b - -,e5e4
5r1k/1ppq2pp/1p1p1r2/4p3/P3Pn2/1QP1R2P/1P3PP1/R4BK1 w - -,a4a5
8/5pk1/p7/P1R3r1/5r1p/7P/1PR2P2/5K2 b - -,g5c5
r2qk2r/bp1nnppp/p3p1b1/3pP3/2PN4/5N2/PP2BPPP/R1BQ1RK1 w kq -,c1g5
b4brk/1qrn1p2/pp1ppp1p/8/1PP1P3/PQ2R1NP/1N3PP1/3R1BK1 w - -,b3d3
r5r1/1p3ppk/pq1p3p/2nPpP2/4Pn1P/2N2P2/PP4R1/1K1R1BQ1 w - -,g2c2
1r6/5p1k/3Rp3/p3P2Q/P2P2K1/5P2/2q5/8 b - -,h7g7
2R5/6k1/4p3/1r2PP1p/2p1n2B/7K/8/8 b - -,e6f5
r1bqr1k1/pp2bppp/2p1Nn2/8/3Pp3/P1N2P2/1PB3PP/R1BQ1RK1 b - -,c8e6
3rk1r1/1p5R/p1b1pn2/5p2/2NqP3/P1N2Q2/1P6/1K3R2 w - -,f3h3
rnbq1rk1/ppp2pbp/6p1/5p2/2Pp4/1P1P1NP1/P3PPBP/RN1QK2R w KQ -,d1c1
r1b2rk1/3n1ppp/p2pp3/6B1/1bqNPPP1/2N5/1PPQ3P/2KR3R w - -,d4e2
rn4k1/6bB/p2p1n2/3qr3/5R1Q/1p6/1P4PP/2B2R1K b - -,f6h7
r1bq1rk1/pp1nppbp/2pp1np1/8/2PP4/1P3NP1/PB2PPBP/RN1QK2R w KQ -,e1g1
8/4k3/4pp2/1bNpP1p1/3P2P1/4K3/8/8 w - -,e5f6
r1bqk1nr/pp3ppp/2nbp3/2pp4/4P3/3P1NP1/PPPNQP1P/R1B1KB1R b KQkq -,g8e7
1r6/1P1k1pp1/2pbp3/3n2p1/3P3P/5B2/3B1P2/1R4K1 w - -,h4g5
rnbqkbnr/ppp3pp/5p2/4p3/1PP5/4PN2/P1QP2PP/RNB1KB1R b KQkq -,f8b4
b1r2r2/5p1k/p1p1pPpp/1p6/6Q1/1P2P3/Pq4PP/1BR2RK1 w - -,c1d1
r2q1rk1/pppb2bp/1n4p1/3Ppp2/4P3/NQ3PP1/PP2K1BP/2R1N2R b - -,g8h8
3Q3k/1B4bp/8/8/5q2/r6P/3p2P1/1R5K b - -,g7f8
r3kbnr/ppp2ppp/8/4nb2/8/2N1P3/PP2BPPP/R1BK2NR b kq -,g8f6
8/6k1/P7/r6p/5KbP/8/1R6/1B6 w - -,b2b7
r1bqr1k1/pp1n1pp1/2pb1n1p/3pp3/4P3/1BPP1N2/PP1N1PPP/R1BQR1K1 w - -,d2f1
1rr3k1/p2nppbp/3p2p1/1p6/2P1PP2/1P1R3P/P2N2P1/2RN3K b - -,b5b4
8/7k/2N5/2p2P2/2P3K1/8/r1P5/8 w - -,g4g5
2rqrbk1/pb3p1p/1pn1pnp1/3p4/2PP4/PP1BQ2P/1B1N1PP1/2R1RNK1 b - -,f8g7
8/3R1p2/4pk2/3n1p1p/3K1P1P/6P1/8/8 b - -,d5e7
2r1r1k1/1p3ppp/p1q5/4p1B1/1Qp1b3/P7/1P2N1PP/2RR3K w - -,d1g1
r3kb1r/pppn1ppp/1q6/4Pb2/4p3/2N3Q1/PPP1NPPP/R1B2RK1 b kq -,e8c8
6k1/R7/P4r2/4K3/7P/8/8/8 b - -,f6h6
r2r2k1/1b3ppp/4qb2/p1p1p3/2PpP3/1P4P1/P1B1QP1P/3RNRK1 w - -,e1d3
3r1rk1/pp3ppp/5n2/3pq3/3Q4/2N1P3/PP3PPP/3RK2R b K -,f8e8
r2q1rk1/ppp1npp1/2n1bb1p/8/3P4/P1N1BN2/1PB2PPP/R2QR1K1 b - -,e7f5
r1k5/p1p2pp1/1p5p/1b2P3/P1p2PP1/2b4P/4R3/5RK1 w - -,a4b5
6k1/2p2p2/n6p/5RP1/P2r4/1p5P/1P2K1P1/8 w - -,f5a5
4r1k1/2pp1rpp/1p6/3R2P1/P2P4/2P2P2/6P1/5RK1 b - a3,e8e3
2k2r2/pp2bpp1/2pnp2p/1r3q1P/3P4/4BN2/PPP1QPP1/K3R2R b - -,f5g4
r1b1r1k1/ppq2pb1/2n3p1/4p3/8/2P2BB1/PP1N1P2/R1Q1R1K1 b - -,g7h6
rn4k1/1b1nqpbp/2p3p1/4p3/1p2P3/1NP1B2P/1PB1QPP1/3RN1K1 w - -,c3b4
r2qkb2/pp1n1p2/2p1p1r1/3pP2p/3P4/2P2Q2/PP4PP/R1B1RNK1 b q -,c6c5
8/p7/1p2pkp1/3p3p/3P3P/PP1R2P1/2r2P2/5K2 w - -,f2f3
1n3rk1/rbNqbppp/ppp1p3/8/2PP1B2/6P1/P3PPBP/R2Q1RK1 w - -,d4d5
r4r1k/1pq3p1/2p1b2p/1PQn1p2/3RN3/P3P1P1/4BPP1/5RK1 w - f6,e4d2
r3qrk1/1p1bb1np/3p1n2/P2Ppp2/2N5/P4N2/1BB2PPP/R2QR1K1 b - -,e8h5
r1bqrnk1/ppb2ppp/3p1n2/3Pp3/1P6/P1NBP1N1/2Q2PPP/R1B2RK1 w - -,c1d2
N1bq2k1/Qp2brpp/3p4/8/4P3/2N2P2/PPP2P1K/R1B2R2 b - -,d8d7
2b4k/p6p/6p1/4P3/1P1pq3/8/P5PP/2R2B1K w - -,c1c8
3r2k1/Q6p/2p3p1/8/P7/8/3q1PP1/4R1K1 w - -,a7e7
4r1k1/pp1q4/2pp1Bp1/5b1p/2P2P2/2N3QP/PP2R1P1/6K1 b - -,e8e2
r2q1rk1/ppp1bppp/2npn3/4p2b/4P3/2PP1N1P/PPBN1PP1/R1BQR1K1 w - -,d2f1
3rr1k1/1p2qppp/p1n5/3npB2/8/2P3P1/PP1BQP1P/R4RK1 b - -,g7g6
6k1/7p/4r1p1/1B3p2/2p2P2/1bP3PP/1R5K/8 w - -,b2b3
r1b4r/1pk4p/1np2R2/p1n1P3/P1P4p/2N1R3/1P2B1PP/6K1 b - -,c8e6
5b2/1p3p1p/6k1/p3P1p1/2nP4/2PN1R2/6PK/8 b - -,f8g7
r2q1rk1/5ppp/p2pbb2/3Np3/PP1nP3/3BN3/1P3PPP/2RQK2R b K -,f6g5
r1bq1rk1/pp3ppp/5b2/3p4/3Nn3/2N1P3/PPQ1BPPP/3R1RK1 b - -,e4c3
r1bqkb1r/pp1n1pp1/2p4p/3p3n/3P4/2N2NB1/PPQ1PPPP/R3KB1R b KQkq -,h5g3
r2rn1k1/1bp1q1b1/3p1n1p/pN1Pp1p1/P1Q1Pp2/2P4P/3NBPPB/R2R2K1 w - -,g2g4
6k1/1p1r1ppp/8/5P2/p1n5/2B1P1N1/2n1KP1P/6R1 b - -,f7f6
r1b1r1k1/1pp3pp/2p1np2/p1b2N2/4P3/1PN2P2/PBP3PP/3R1R1K w - -,f1e1
r2qkb1r/pppnppp1/5n1p/5bB1/3P4/2N2N2/PP2PPPP/2RQKB1R w Kkq -,g5h4
rnb1kb1r/pp1p1ppp/1q2pn2/2p3B1/3P4/4PN2/PPP2PPP/RN1QKB1R w KQkq -,d1c1:b1c3:b1d2
4Q3/8/p7/1p6/1k1K3p/7P/8/8 b - -,a6a5
r3r1k1/1b3p2/p2q3p/1pp5/7P/P1N1B2n/1PQ1BPP1/2R4K b - -,d6f6
5b2/8/4p3/3pP3/3P2k1/4B1P1/6K1/8 b - -,f8e7
r3r3/1pq2pkp/2p1pnp1/p2n4/P1NPN3/1P4P1/2PQ1P1P/R3R1K1 b - -,b7b6
5R2/8/8/8/4Kpk1/4r3/8/8 w - -,e4d4
5r1k/5rn1/3p4/3Pp3/2N1P2p/5Pq1/2Q1K3/4N2R w - -,c2d2
r1bqkb1r/1p4pp/p1n2p2/3pp2n/3P4/2N2NB1/PP2PPPP/2RQKB1R w Kkq e6,e2e3
r1q1r1k1/p2n1ppn/bp1p3p/2pP4/4PPP1/2P1B2N/P5BP/R2Q2RK b - -,d7f6
3r1rk1/1bq1bppp/ppnpp3/2n5/2P1P3/N1N1B3/PP1RBPPP/3Q1RK1 w - -,a3b1
1n1r2k1/2q2pp1/p3b2p/8/8/1N2Q1P1/P3PPBP/1R4K1 w - -,h2h4
r2q1rk1/1pp3pp/2n1pb2/1nPp1p1b/3P1P2/pP2P1P1/P2BNNBP/R2Q1RK1 b - -,b5d4
8/1p1kp2r/p2p4/3N4/PP2R3/4R2P/5rPK/8 b - -,f2f7
r2q1rk1/ppbn1ppp/2p1pn2/3p1b2/8/1P1P1NP1/PBPNPPBP/R2QR1K1 w - -,f3h4
2r1brk1/4bppp/4pn2/qp1pN3/p1nP4/P1NBP1B1/1P2QPPP/R2R2K1 w - -,e5c4
1Q5R/1p3pp1/5rk1/6p1/8/1q6/r4PPP/5RK1 w - -,b8g8
8/5pk1/4pnp1/7p/3P3P/6P1/q1Q2P2/2R3K1 b - -,a2a5
Q1k1r2r/2qn1pb1/1pn1p1p1/1R1pP1Bp/2pP3P/2P3N1/2B2PP1/1R4K1 b - -,c7b8
2rq1rk1/1p1nbppp/p2pb3/1n2p1P1/4PP1N/2N1B2P/PPPQ4/2KR1B1R w - -,f1b5
r1b1r1k1/5pbp/pp3np1/2pPp3/P1P2B2/2NB3P/1P1K1PP1/R6R w - -,f4e3
3rr1k1/1bq1bppp/p2ppn2/1p6/3BPP2/P1NB2Q1/1PP3PP/4RR1K b - -,g7g6:d8d7
6k1/5p2/p1p1pP1p/2P1P2K/4P3/P6P/8/8 w - -,h5g4
4brk1/1p4bp/p2Np3/n4p2/7P/N1r4R/P2RBPP1/4K3 w - -,d2d3
r4k2/5ppp/3p4/4p3/1p2PP2/6PK/Pb6/2R2R2 w - -,c1c2
r1bqkb1r/1p2pppp/p1n5/3p3n/3P1B2/2N2N2/PP2PPPP/2RQKB1R w Kkq -,f4d2:f4e5:c1a1:e2e3
r1b2rk1/p4pp1/1pn1p3/2bpq1N1/6Q1/2P2N2/PP3PPP/R1B2RK1 b - -,e5f5
1bbr4/1pk3pp/4pp2/P4n2/BP6/8/3K1PPP/R6R w - -,d2e2
r1b2rk1/p4ppp/4p3/qp1pP3/2Np1P2/3B4/P2N2PP/R2Q1RK1 b - -,b5c4
3r4/4k1pp/p3p3/1pbn1p2/8/PP2PP2/2NRK1PP/2B5 b - -,e6e5
rn3rk1/4qppp/4pn2/p2P4/3N4/1P2N1P1/4PPKP/R2Q1R2 b - -,e7b7
r2qkbnr/p1pb1p1p/2pp2p1/8/2PNP3/8/PP3PPP/RNBQ1RK1 b kq c3,c6c5
8/4Bp2/4p1p1/1k2P2p/1P2KP1P/8/8/3r4 b - -,b5c4
r1bqk2r/ppp2ppp/1bnp1n2/8/3NPP2/2P1B3/PP1NB1PP/R2QK2R b KQkq f3,c8d7
r4rk1/p1R3b1/1p5p/4p1p1/4N1PB/1P2Pp1n/P4P2/5R1K w - -,h4g3
6r1/pp2k2p/2p1bp2/2n2p2/2P2P2/1PN1PB2/P1K4P/7R b - -,g8g6
3rr1k1/pp1q1pp1/7p/5n2/2Bb2Q1/3PB2P/P4P2/1R2R1K1 b - -,a7a6
r1bq1rk1/pn2npbp/4p1p1/pP1p4/3P4/RNPB1N1P/4QPPB/5RK1 b - -,c8d7
r4rk1/5p1p/1P6/4p1b1/2RpPq2/3B4/5P2/3QKR2 w - -,f1g1
8/pp3pp1/4p1p1/1nk1K3/7P/1P1B1P2/5P2/8 b - h3,b5d4
6k1/3bqpp1/1p1b1n1p/p2p4/8/1P1BPN1P/P3QPP1/B5K1 b - -,d6c5
r1bqk1nr/1p1pppbp/p5p1/1Bp5/3nPP2/2N2N2/PPPP2PP/R1BQ1RK1 w kq -,b5d3:b5e2:b5c4
r1b2rk1/pp3pb1/3pP2p/q1p5/2P2P2/2N1P3/PPQ1B1P1/3R1RK1 b - -,a5d8
3r2k1/p4pbp/bpn1p1p1/3Nn3/2P1P3/PP2BP2/2K3PP/5BNR w - -,d5c7
3q1k2/2R2p2/1p3np1/rN1p3p/P2P4/7P/2Q2PP1/6K1 b - -,f8g7
r1b1k2r/1p1pqppp/p2b1n2/n1p1p3/3P4/1P2PN2/PBP1BPPP/RN1QK2R b KQkq d3,a5c6
2r2rk1/p2q1pbp/1p1p2p1/2Pbpn2/1P6/4BP1P/P2QB1P1/2RRN1K1 w - -,c5b6
1r2nbk1/3n1p1p/R3p3/BP4p1/N1BP4/1q2PN2/1P3PPP/2R3K1 b - -,b8c8
5rk1/6pp/2R1r3/bN2p3/3pp3/4P1P1/5P1P/2R3K1 b - -,e6c6
8/p7/4kbp1/1p1N3p/4KP2/PP4P1/8/8 b - -,f6d8
r1bq2k1/pppr4/8/2pPPp2/6p1/6P1/PP3BK1/R2Q1R2 w - -,d5d6
8/3k3r/2p5/4BN2/3K1P2/P7/6b1/8 b - -,h7h3
8/pp2pk1p/3p1p2/4nN1P/1Pb1PKP1/P5R1/2r5/6R1 b - -,c2f2
r1r5/4kppp/n1p1p3/p2P4/3N4/1P2P2P/P2RKPP1/2R5 b - -,c6d5
3r4/2R1npk1/1r2p1p1/4N2p/3PP3/5PP1/1pK3P1/1R6 b - -,d8c8
r4rk1/pp1b2p1/4p3/4Pn1p/3B1P1P/P2B2pR/2P1K1P1/5R2 w - -,d3f5
r2qrbk1/1bp2pp1/p4n1p/P2Pp3/1pNN4/1B1P4/1PP1QPPP/R1B2RK1 b - -,e5d4
r2qr1k1/ppp2bbp/5pp1/2p5/4PBP1/1P1P2NP/P1P1Q3/3R1RK1 b - -,d8d7
r4r2/pkp1q2p/1p1p4/2P3R1/Q3bB2/2P1P2P/P4P2/2KR4 b - -,e4c6
2b5/1p3kp1/5p2/8/R7/B2r2P1/5K2/8 w - -,a3c5
r3nr2/pb2ppkp/1qp3p1/1pn1P1Q1/8/2NB1N1P/PPP2PP1/2KR3R b - -,f7f6
5rk1/1pP3pn/3p1r1q/2PPp3/4Q3/3N2Pp/5P2/3RR1K1 b - -,h7g5
rnbq1rk1/ppppppbp/5np1/8/2PP1B2/5N2/PP2PPPP/RN1QKB1R w KQ -,e2e3:b1c3
8/3k2p1/4p2p/3bP3/1pNP3P/3K1P2/6P1/8 b - -,g7g5
8/p3r1p1/2p2p1p/5P2/2Pk2PP/5R2/P5P1/6K1 w - -,f3f4
8/2q1k3/p1R2pr1/1p2p3/1P4P1/P4P2/6K1/8 w - -,c6c7
r1bqkb1r/p2n1ppp/2p1pn2/1p1p4/2PP4/5NP1/PP1NPPBP/R1BQK2R w KQkq b6,b2b3
1rq2rk1/2p1n1pp/3p4/3Ppp2/Q1N1P3/2P1PP2/1P5P/R5RK w - -,g1g5
8/6pp/1k2bp2/1pp3P1/P2rP2P/4K3/P1R1B3/8 b - -,d4a4
4r1k1/p4ppp/1p1q1B2/b4R2/2Pp4/P2Q2P1/5PBP/6K1 b - -,e8e1
r2q1rk1/pp2bppp/2n2B2/2P5/3p2b1/2N2NP1/PP2PPBP/R2Q1RK1 b - -,e7f6
8/6k1/3n2p1/5pP1/1p3p1P/3K1P2/2B5/8 b - -,d6f7
8/8/8/5p2/5k1K/2R5/1rp2P2/8 b - -,f4e4
r1r5/1p2ppkp/p2pbnp1/q7/2P1P3/1PN2P2/P2QB1PP/2RR3K w - -,f3f4
r3k2r/1p2ppb1/pqnpbn1p/6p1/4P3/1NN3BP/PPPQBPP1/R3K2R w KQkq -,f2f3
r2q1rk1/2p1npb1/p4npp/PbN1p3/4P2N/1Bp1Q1PP/1P1B1P2/R3K2R w KQ -,d2c3
r2r2k1/pp1b1pp1/3ppb1p/q2N4/4PP2/3B4/PPPQ2PP/1K1R3R b - -,a5d2
