8/8/4pk2/2p3p1/R7/1P1rrP1P/P4RKP/8 b - -,e3e1
r2r2k1/p5pp/4pp2/2bnB3/2N5/6P1/P3PPKP/R2R4 w - -,e5b2
r2q1rk1/ppp1bppp/8/8/1nBP2b1/2P1BN2/P4PPP/R2Q1RK1 b - -,b4d5
r4rk1/1ppn2q1/3p1nbp/p1PPpp2/1P4p1/P3PP2/3NBBPP/R2Q1RK1 w - -,c5d6
rnbqkbnr/ppp2ppp/8/3p4/8/6P1/PP1PPP1P/RNBQKBNR w KQkq -,d2d4
r3rbk1/p6p/2p2p2/1q3bN1/3Pp2P/8/PP1Q1PPB/2R2RK1 w - -,g5h3
8/2N5/6k1/Ppp2p1p/1n1P3P/5KP1/8/8 w - -,a5a6
r1q1k2r/ppnnppbp/2p3p1/4N3/2PP2Q1/2N5/PP3PPP/R1BR2K1 w kq -,f2f4
r1b1k2r/ppb2ppp/2p2n2/4N3/1P2P3/4P3/PB2BPPP/R3K2R b KQkq -,f6e4
8/Q5k1/p3pqp1/3b3p/8/1P6/P1B5/1K6 b - -,g7h6
2r2k2/1b4p1/pqnQ2p1/8/3R1P2/8/PPP4P/1K4R1 b - -,f8g8
r1bq2k1/1ppp1ppp/8/p1b4r/2P5/P3PN2/1PB2PPP/R2Q1RK1 w - -,c2e4
r1b2rk1/1pqp1ppp/p3pn2/6B1/3bP3/2NB4/PPP1QPPP/R4R1K w - -,f2f4
8/1p3pp1/2rn1k1p/p2p4/3P4/PP1R1P1P/2NK2P1/8 w - a6,d3e3
r1bqr1k1/1pp2pp1/p2p1nnp/4p3/4P3/1BPPNN1P/PP3PPK/R2QR3 b - -,c8e6
1r2k2r/1p1qppb1/p2p2p1/2p4p/2P1PPn1/2NP2P1/PP1BQ1B1/2R2R1K b k -,h5h4
2r3k1/P1bR4/8/2pp2B1/6P1/2P5/1PP5/1K6 w - -,d7c7
6k1/6pn/prp5/3pRb2/7P/2N2B2/PP4P1/2K5 b - -,f5d7
2k5/p1p3pp/3p1q2/8/1PQ2P2/P6P/1P4PK/4r1b1 w - -,h2g3
r4r2/5p1k/q2p2p1/2pP2Pp/4PN1P/p1P2P2/1nQ1R3/R6K b - -,a6c4
8/7R/4n3/4k3/5n2/1P2K3/P7/8 w - -,e3d2
2r1rn2/1p5k/4p3/p2PNp2/P1Pp4/5PP1/5K2/R3R3 w - -,d5d6
r4rk1/2q2ppp/bn2pn2/p7/1pPPPP2/3B4/1B1N2PP/R2Q1RK1 w - -,d1e2
r1b1kb1r/1pq2pp1/p1nppn2/7p/4PP2/2NB1N2/PPP1Q1PP/R1B1K2R w KQkq -,e4e5
2rq2k1/pp2rppp/2b1pn2/4N3/2BP1QP1/P7/1P3P1P/2RR2K1 w - -,e5c6
1rb2rk1/7p/3p1p2/1p1Pq2N/4PRPp/7P/1PQ5/2R4K b - -,b8b7
5r2/p2q2k1/bp2p2p/4P2P/5pB1/8/P1Q3P1/6K1 w - -,c2g6
1r3bkr/2q2pn1/2pp2np/p3pNp1/2QPP3/2B2PP1/PP5P/3RRNK1 w - -,f1e3
8/3r2k1/p2P1pp1/1pp3P1/4P3/P6p/1P5P/3R1K2 b - -,g7f7
6r1/pp4rk/2p4p/3qQ3/5R2/1P5P/P4RPK/8 w - -,e5d5
2r2k1r/p2q2pp/1pn1p2n/3pPp1N/3p4/P5Q1/1PP2PPP/R1B1R1K1 b - -,h6g8
8/4k2p/r2p2p1/3P1p2/2p1P2P/5PP1/PK1B4/8 b - -,f5e4
2rr2k1/1bq2pbp/pp1ppnp1/4N3/2P1PB2/1PN4P/P3QPP1/1BRR2K1 b - -,d6e5
r1bq1r2/p4p1k/2p3pp/8/3b4/2Q2P2/PP2B1PP/R2R2K1 w - -,c3d4
r5k1/p3pp1p/4n1p1/Nr1nP3/2R5/1P3P2/1P1B1P1P/R5K1 b - -,d5b6
r5k1/1q1nppb1/1npp2p1/8/1P1PP1PP/r1N1B3/4Q3/1RRN2K1 b - -,e7e5
8/4bpkp/Bn4p1/2p1p3/4P3/2P1B1PP/1P2KP2/8 w - -,e2d3
r1bqkb1r/5ppp/ppn1pn2/2p5/P1BP4/2N1PN2/1P3PPP/R1BQ1RK1 w kq -,d1e2
r2q1rk1/2p1b1pp/pn1pp3/1p6/4P3/P1N5/1PPQ1PPP/R1B1R1K1 b - -,d6d5
r1bq2nr/ppp1bkpp/3p4/n3p3/Q2PP3/2P2N2/P4PPP/RNB1K2R w KQ -,a4a5
2rqr1k1/4bp1p/b1p1p1pB/p2n4/3PB3/2N2Q2/PP3PPP/R2R2K1 w - -,c3a4
1k5r/1p6/p1b1Qp1p/q4n2/5P2/2N5/PPP3PP/2KR4 w - -,g2g4
r3r1k1/6qp/4p1p1/pp1b1pN1/2p3P1/4Q1RP/PP3R1K/8 w - -,e3c5
2r2rk1/1pq1bp1p/p3p1p1/Pb1pP2n/2P5/1P1BQ3/1B1N1PPP/R4RK1 b - c3,d5c4
2R5/p4k2/3rn3/4r2p/7K/1P1p1P2/P6N/3R4 w - -,c8c3
r1br2k1/pp3pp1/2n4p/8/8/2b2NP1/P3PPBP/2R2RK1 w - -,c1c3
2B5/2b5/3k4/2p2pp1/3p3p/1P1K3P/3N1PP1/8 b - -,d6e5
7k/6p1/4P3/3Q2K1/7P/4q1P1/8/8 w - -,g5g6
2r3k1/pbqpbpp1/1p2p2p/3nP3/3PN2P/P4N2/1P1Q1PP1/1B2R1K1 b - h3,c7c4
r1b2rk1/1p1N1np1/p4q1p/5p2/4p3/6P1/PPQ1PPBP/2RR2K1 b - -,c8d7
8/2k2p1p/6p1/5b2/3p4/5BP1/2p5/1rB1R1K1 w - -,g1f2
4k3/5p2/rp2p1p1/4P1P1/P2R1P2/1K6/8/8 w - -,d4d6
2r5/p6p/3R2p1/4pk2/2P5/1P2PN2/P4KPP/8 b - -,g6g5
2r5/6bk/p6p/1p1q1p2/4p3/PN1p2P1/1B5P/2RQ2K1 b - -,c8c1
r3r1k1/6p1/1QP4p/p4p2/P3BP1q/5P2/1P5P/R3R2K w - f6,e4d5
rn1qkbnr/1b1p1ppp/p3p3/1pp5/4P3/3P1NP1/PPP2PBP/RNBQK2R w KQkq -,e1g1:b1d2
4R3/8/8/pN2n3/P1p1k3/4n3/3r2P1/1K6 b - -,d2d3
8/8/p3P3/Pk3Nb1/8/3K4/8/8 w - -,e6e7
2rq1rk1/pbbn1ppp/4pn2/2pp4/2P5/P1N1PN2/1PQ1BPPP/R2RB1K1 w - -,c4d5
1r4r1/1bq1bp1k/1p2p1pp/pPp1Pn2/2Pp1B1P/3P1NP1/1P2RPB1/2Q3KR b - -,g8h8
rn1q1rk1/pb2bppp/1p2pn2/4N3/2BP4/2N3Q1/PP3PPP/R1B2RK1 b - -,b8d7
8/1R3p2/2k3p1/P5P1/2b5/r1P2PK1/3B4/8 w - -,b7b6
r1b2rk1/p1q2ppp/3bpn2/3p4/8/1N1BB2P/PPP2PP1/R2Q1RK1 b - -,e6e5
2b5/p3q1k1/1p4pp/1PpB1p2/2Pp4/P2P1PP1/7P/3Q2K1 b - -,e7e3
r2q1rk1/ppp2ppp/3b2n1/3P3Q/3PNp2/8/PPP3PP/R1B2RK1 w - -,c2c4
r1bqk2r/ppp1bppp/2np1n2/4p3/2B1P3/5N1P/PPPPQPP1/RNB2RK1 b kq -,e8g8
r1bq1rk1/pp4bp/1nn1ppp1/3pN3/3P1P2/2N3P1/PP2PBBP/R2Q1RK1 w - -,e5d3
rnbqkb1r/ppp1pp1p/6p1/3p4/2PP1B2/2P5/P3PPPP/R2QKBNR b KQkq -,d5c4:f8g7
6k1/p4p1p/P3p1p1/1pq1P3/1N1n4/1P4P1/2r2P1P/3RQ1K1 w - -,e1e4
2rr2k1/5pb1/bp2p1pp/p1p1Nq2/P3N1nP/2PP2P1/1PQ1BPK1/R1B2R2 b - -,g4e5
r2r2k1/3n1pp1/p1b4p/R2Np3/4P3/3QB1Pq/1PP2P2/3R2K1 w - -,d5e7
r2q1rk1/pb3pp1/4p2p/2bnP3/1p2N3/3B4/PP3PPP/R1BQ1RK1 b - -,c5d4
r1b1r1k1/1p1nqpbp/p2p2p1/2pP3n/P3PB2/2NB1N1P/1P1Q1PP1/R4RK1 w - -,f4g5
6k1/p4pbp/b1pp2p1/2n5/2B1P3/q4NN1/PrQ2PPP/3R2K1 w - -,c2c1
8/8/8/2n1N3/p3n2P/P3b3/2R3P1/1K2k3 w - -,e5f3
8/5p2/1b6/8/1B6/P2k1KP1/4RP2/2r5 w - -,e2d2
r5k1/1rnnppbp/3p2p1/q1pP4/4P3/2N2N1P/PP2RPPK/2RQB3 b - -,c7a6
r1bqkb1r/p2n1ppp/2p1p3/3pP3/8/4B3/PPPN1PPP/R2QKB1R w KQkq -,e3f4
8/7p/2q1pk1Q/p1P1p1p1/4rp2/PP5P/6P1/2R4K b - -,f6f5
5bk1/5r2/P2p4/3Pp3/2Q1P1P1/5P2/1P3KBq/4B3 w - -,f2f1
6k1/5R2/3p3p/3P4/4r1nN/6P1/5PK1/8 w - -,f7d7
5b1k/6pp/2r2p2/2p1p3/2P5/3PBKP1/4PP1P/1R6 b - -,c6c7
2r2nk1/pp2q1pp/2n1p3/3pPrNP/3P2Q1/4B2R/2P2PP1/2RK4 w - -,f2f4
rnbqk3/pp3p1p/4pn2/3pP3/1b4r1/2p1BQ2/PPP2PPP/R3KBNR w KQq -,b2c3
r1b2rk1/pp2bppp/2n1pn2/3q4/8/PN1P1NP1/1P3PBP/R1BQ1RK1 w - -,f3d4
5rk1/1pr1pp1p/p5pn/2P2b2/1Pn5/2NN3P/P3BPP1/R3K2R w KQ -,d3f4
1k5r/1pq5/pr6/3p1n1P/1Q1P1p2/2P1pP2/PP2B2R/3KR3 w - -,b4a3
r1b2rk1/1p2ppbp/p1np1np1/q7/2P1P3/1PN2N1P/PB1Q1PP1/R3KB1R w KQ -,f1d3
8/p3kp1p/1p4p1/8/2r1P3/5P2/PP1R1PKP/8 w - -,b2b3
r3qr1k/1p1bn2p/3p1b2/2pPp3/p1PnPp1P/P1NQ1P2/1P1NB1R1/1K2B1R1 b - -,a8a5
6k1/1R6/2r1p2p/2P2pp1/1p1P4/pP2K1P1/P6P/8 b - -,e6e5
8/8/p7/P2p4/1P2pK2/6r1/7k/3R4 w - -,d1d5
r6r/p1k2pp1/2p1p3/2P1Pn1p/R2P1P1b/5N2/P2N1PK1/4R3 w - -,e1b1
3Q4/N5pk/3n1p1p/8/1K6/3rP3/6PP/8 b - -,d3d2
2r5/2P5/2K2k1p/4R1p1/4Pp2/8/8/8 w - -,e5f5
r1q1rbk1/pp3pp1/3p1n1p/2pn4/P1N2P2/2N3P1/1P1BP1RP/RQ4K1 w - -,c3b5
8/6pk/8/5p2/8/8/3B2pr/2RK4 w - -,d2e3
r2q1rk1/ppp1ppbp/2n3p1/3p4/2PPb3/1PB2NP1/P2QPPBP/R2R2K1 b - -,e7e6
rn1q1rk1/pbp1bppp/1p1pp3/8/2PPnB2/2N2NP1/PPQ1PPBP/R4RK1 b - -,e4c3
r1b1r1k1/pp3pbp/2pp2p1/4n2n/2PNP2q/2N1BP2/PP1QB1PP/R4R1K w - -,e3f2:h1g1
8/p2k4/1p5p/2p2Rpr/2P1P3/4P3/P3KP2/8 b - -,d7e7
7r/2bPk3/8/2P4B/p7/6p1/PP1R2K1/8 w - -,d2d5
r4rk1/p2pnppp/bp2p3/n1pPq1N1/Q1P5/2P1BP2/P4KPP/4RB1R w - -,a4d7
4b1r1/1p2k3/p1p1p3/2PpNp1p/PP1P4/4PRrP/4R1PK/8 b - -,h5h4
8/5p2/p4pp1/2Pkp3/P4nP1/2R2N1r/3K1P1P/8 b - -,d5c6
1Q6/p2q4/4kp1P/3p4/2pPnB1r/P1P5/2P3K1/R7 b - -,e6f7
2r2r2/1pqnppkp/p2p2p1/2pP4/P1B1PP2/5R1P/1PP1Q1P1/R5K1 b - a3,c7a5
6k1/5p2/p2p2p1/1prPp1p1/5rn1/P1P5/1P4RP/4RBK1 w - -,g2d2
8/8/1p1k4/6P1/pPP1RK2/P7/8/5r2 w - -,f4g4
8/p7/1pkppb2/7p/3P3P/Pr3NP1/1P1R1K2/8 b - -,c6d5
8/8/B7/4k3/6P1/1P2pK2/3b4/8 w - -,a6c4
r1bq1rk1/2p1n1bp/3p2p1/p2Ppp1n/2P1P3/B1N5/P2NBPPP/R2Q1RK1 b - -,h5f4
r2q2nr/ppp2k2/3p2pp/1B1Pbn2/4N3/4B2P/PPPQ3P/2KR3R b - -,g8f6
r1bq1rk1/1p1nbppp/p1p1pn2/6B1/2pP4/P1N1PN2/1PQ2PPP/3RKB1R w K -,f1c4
2r5/4k3/pp2pp2/2p4p/2Pn4/1P2KPP1/P2RN2P/8 b - -,d4f5
r4rk1/1pqbbppp/p1Nppn2/6B1/P3P3/2N3P1/1PP2PBP/R2QR1K1 b - -,d7c6
8/8/p4bk1/P1Bp3p/3P3P/3q2P1/5Q1K/8 b - -,d3d1
rnb1qrk1/ppp4p/3p2p1/3P1p2/2P1Pp2/2bB1N2/PP1Q1PPP/R3K2R w KQ -,b2c3
r1q2bk1/1p1b1ppp/p4n2/3p4/3N4/1NPQ1PBP/PP4P1/4R1K1 w - -,g3h4
rn1q1rk1/1p3pp1/2p1bn1p/p7/PbpP4/2N2N2/1PQBBPPP/3R1RK1 b - -,b8a6
2r2rk1/1bQ1bppp/p3pnn1/1p1p4/3NP3/P1NBBP2/1PP3PP/3R1R1K b - -,c8c7
3r1rk1/pp2qpp1/2p3bp/2R5/1P1Pp3/4P3/P2N1PPP/1QR3K1 b - -,d8d5
2rq1rk1/pp1bppbp/2np1np1/8/2PNP3/2N1B2P/PP2BPP1/2RQ1RK1 b - -,c6e5
r3r1k1/ppqn1pp1/2p2b1p/2Pp4/PP1pb3/B3PN2/1Q2BPPP/3RR1K1 w - -,e3d4
r4rk1/pb1nqppp/2p1p3/1p6/3PP3/1BP2N2/P4PPP/R2Q1RK1 w - -,f1e1
1r1r2k1/3P1pb1/pp1Q2pp/2p2q2/2P1b3/1P2B1P1/P3N3/3RKR2 b - -,f5e5
1k6/1P3R2/6p1/p1K1b3/8/7P/1r4B1/8 w - -,g2e4
8/1Q3pk1/7p/R3P3/3p4/6qp/5rP1/4R2K w - -,e1g1
r2qk2r/pp3ppp/2nbpn2/3p4/3P4/2NBPQ2/PP3PPP/R1B2RK1 w kq -,c1d2
4r1k1/p4p2/3q2p1/2pn3p/P1Qp4/1P3RNP/2P2PPK/8 w - -,h2g1
4r1k1/p1qn1pb1/2pp2p1/7r/Q1PNP1p1/2N3P1/P4P1P/3R1RK1 w - -,c3e2
R7/8/8/1kp4p/2p2r1P/8/1KP5/8 w - -,a8b8
r2qkb1r/1bp1nppp/p2p4/1p6/P2pP3/1B6/1PP2PPP/RNBQR1K1 b kq -,c7c5
rnq2rk1/1b2pnbp/p1p3p1/1p4N1/2P1N3/4B2P/PPQ1BPP1/R4RK1 b - -,h7h6
8/5k2/2p2b2/1pP3p1/1P6/3B4/1pK5/rR6 b - -,a1b1
rnb1k2r/pp3ppp/2p1p3/q5B1/PbpPQ3/2N1PN2/1P3PPP/R3KB1R b KQkq -,b4c3
k7/1p1n2pp/p1p5/6P1/2P1NP2/1P2Q2P/PK6/5q2 b - -,f1d1
3r2k1/p4pp1/1p5p/2rPp2q/P7/1Q3P2/1P3P1P/R4R1K w - -,a1d1
r2q1rk1/pp1b1ppp/4pn2/2b1N3/8/3B4/PPP1QPPP/R1B2RK1 b - -,d7c6
r1q2rk1/p1p1bppp/1p1ppn2/8/2PPbB2/4QNP1/PP2PPBP/2RR2K1 w - -,f4g5
r1b1k2r/1p3p1p/6p1/3p2N1/1p1n4/8/PPP2PPP/RN1K3R w kq d6,h1e1
r7/1kp2PBp/1pq5/p4Q2/3p1N2/4r3/PP4PP/5R1K b - -,c6c4
r6k/ppp5/2n3Q1/4q1p1/8/7P/PP4P1/5R1K b - -,a8d8
1rbqk2r/2pp1ppp/2n2n2/1pb1N3/4P3/1B6/1PPP1PPP/RNBQ1RK1 b k -,c6e5
4k2r/1rp2ppp/p1Nnb3/P7/1P6/8/5PPP/RN1R2K1 w k -,b1c3
r7/1kp2p2/1p2b1p1/2p1P3/5PP1/2B1RK2/r1P5/2R5 w - -,f3g3
rn2r1k1/1p3pbp/pq1p1np1/1NpP4/P1P3b1/3B1N2/1P1B1PPP/R2Q1K1R w - -,a4a5
3R1rk1/p4pp1/1pn2q1p/2p5/8/2P1PN2/P1Q2PPP/2KR4 b - -,f8d8
r1bqkb1r/1p1pnppp/p3p3/8/3BP3/2N5/PPP2PPP/R2QKB1R w KQkq -,f1c4
2RQ2nk/6rp/p3p1p1/1p2P3/5q2/P5R1/1P3P2/6K1 w - -,d8f6
1r3rk1/1bqnppbp/pp1p2p1/8/1PP5/1N2BPPB/P3P2P/2RRQ1K1 b - -,b7c6
R7/4kp2/7P/6P1/5K2/8/8/7r w - -,g5g6
1n3nk1/p2q2bp/bp2p1p1/3pPpB1/1P1P3P/PN1B2P1/5PN1/2Q3K1 w - -,d3a6
4r1k1/pp5p/n1p1b1pb/8/2P1P3/BPN2R2/P2R2PP/4N2K b - -,h6d2
4B3/p7/1kp4p/6p1/pbP5/7P/K5P1/8 b - -,a7a5
r5k1/1r2ppbp/5np1/q1pPR3/8/2N2QPP/PP3PK1/R1B5 b - -,f6e8
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/3P1N1P/PPP2PP1/RNBQ1RK1 b kq -,c8e6:a7a6:c6a5:h7h6
5r2/p1k1b1p1/2p5/4p3/4R1P1/P1N1P2p/1P2K2P/8 b - -,e7h4
2r2r1k/pp1qp1bp/2np2p1/1Q2p3/P3P3/3PB2P/1P2NPP1/2R2RK1 b - -,c8c7
R7/5k2/7p/p5p1/6P1/1Pb4K/8/8 w - -,a8a6
8/8/4p1p1/7p/1R3P1P/4k1K1/1p4P1/1r6 w - -,b4b6
8/8/bK3p1p/P4kp1/7P/4PBP1/8/8 b - -,a6d3
3R4/3b2p1/2pPk3/2P4K/5PP1/8/5r2/8 w - -,f4f5
4R3/6pk/7p/8/3q4/4n1BP/5R1K/8 w - -,e8f8
3rr1k1/2qn1ppp/p3p3/2P5/2P4P/RP4N1/2BQRnP1/6K1 w - -,d2d6
8/8/1p6/p3R3/P1k5/8/2KN3r/8 b - -,c4b4
4k2r/3bbp2/p3p3/3pP2p/2qB4/P1N2R1P/2PQ2P1/6K1 b k -,e7a3
r4rk1/p3q1pp/1p2pB2/2p2p2/2P5/1P4P1/P3PP1P/1R1Q1RK1 b - -,e7f6
r2q1rk1/4bppp/1p1p1n2/p2Pp3/1nP5/1N2BP2/PP1QB1PP/R3K2R w KQ -,e1g1
4bn1r/1p4k1/5RP1/p3r2p/1pP1PN1P/1P2q1P1/P5BK/3Q1R2 w - -,d1d6
8/p7/1r2k3/1p5p/3PP3/7P/P4KP1/2R5 b - -,b6a6
8/8/5R2/2bk4/5PK1/8/8/5r2 b - -,c5e3
2r5/1p4R1/2k4p/5p2/1Bbp1P2/Pn3B2/5K1P/8 b - -,c6b6
4r1k1/1p1n1pp1/2p1r1bp/3p4/1P1P4/2R1PP1P/5BP1/2R2BK1 b - -,e8a8
