8/8/3q1k2/6pp/8/7P/6P1/1R5K w - -,b1f1
2r1r1k1/1p2pp1p/p1bp2p1/q1n5/2B1P3/2P1BP1P/P1PQ2P1/3R1RK1 b - -,c5a4
6k1/p5p1/3Np2p/8/3r3P/2nP2K1/P4P2/4R3 w - -,e1e6
r5k1/5p2/3p1Rp1/p1rPp3/1pP3b1/1P1B4/P3R1PP/6K1 w - -,e2f2
r2q1r1k/7p/3n1p2/pp6/4P3/6P1/PQ1N1P1P/R3R1K1 w - -,a1d1
rn1q1rk1/pb2ppbp/1p1p1np1/2p5/2PP1B2/2N1PN1P/PPQ1BPP1/R3K2R b KQ -,a7a6
8/8/p4R1p/3kp1p1/6P1/4N3/2P2K1P/r7 b - -,d5e4
1r1qr1k1/p4ppp/3bbn2/2pp4/5B2/PP1B1Q1P/2P1NPP1/R3R1K1 w - -,a1d1
r5k1/1p4pp/p1bqpr2/3p2N1/3P4/3Q4/PP3PPP/2R1R1K1 b - -,f6h6
rnbqk2r/pp2ppbp/3p1np1/8/3PP3/5N2/PP1N1PPP/R1BQKB1R w KQkq -,f1b5
r4rk1/pppbq1bp/5n2/2pPpp2/2P5/2NB1P1N/PP1Q2PP/2K1R1R1 w - -,c1b1
6k1/5p1p/pB1rnP2/8/PR6/8/7P/6K1 b - -,d6d5
3r2k1/4b1p1/1p1Npp1p/r1n1P3/p4P2/P1N3P1/1P3KP1/3R1R2 b - -,a5a8
4r1k1/1p3p1p/2p3p1/2n1P1P1/1bPN1Pbq/6NP/r4BBK/3R2Q1 b - -,g4d1
r2r2k1/pbn1bppp/1q3n2/2pp4/Q4B2/P1NN2P1/1P2PPBP/1R1R2K1 w - -,a4c2
r2qr1k1/bpp1npp1/p4n1p/3bp3/4N3/2PP1Q1P/PPB2PPN/R1B1R1K1 b - -,f6h7
5k2/1p3p1p/p1q1n1p1/P1Pn1p2/1r6/8/1Q4PP/2RR2K1 w - -,b2e5
r4rk1/pp1bq1pp/n2p1p2/2pPpP2/P1P1P3/1PN3P1/3QN2P/R4RK1 w - -,g3g4
3r3k/1pp3p1/P1n3qp/1Q2p3/1BB1p3/2Pb2P1/5P1P/R5K1 b - -,b7a6
r2r2k1/1pqnbppb/1np1p2p/p3P3/4N3/PP3NP1/1BP1QPBP/3RR1K1 w - -,d1d2
8/1p1Q2kp/p5p1/2q1r2r/2P5/5R2/P1P3PP/5R1K b - -,g7h6
1rb1k1nr/2q2ppp/p1p1p3/1p6/P1BP4/2P1PQ2/5PPP/1R2K1NR w Kk -,a4b5
8/2kn1pp1/1ppn2p1/4p1b1/1PP3P1/1K2PPBP/8/3N1B2 w - -,f1d3
1rr4k/4q1pp/p2b4/np3p2/2pPpP2/2P1P3/P1N1Q1PP/1RBR2K1 w - -,c2b4
3r3k/pp1q3p/3r1p2/3PpQ2/5p2/1P1R3P/1P3PPK/3R4 w - -,f5e4
r1bq1rk1/ppp1ppbp/1nn3p1/8/2PP4/2N1BN1P/PP3PP1/R2QKB1R w KQ -,f1e2:d1d2
4rrk1/1bq3pp/p2bpp2/1p6/2pPnPN1/2P1B2Q/PP2B1PP/4RRK1 b - -,f6f5
r2qr1k1/5pb1/pn3np1/1pNp1b2/1P1Pp1P1/4P3/PBQNBP2/1K4RR b - -,f5e6
r2q1rk1/pbp1b1pp/1p6/3pnp2/3Pn3/1P3PP1/PBQ1P1BP/RN3RK1 w - -,f3e4
3r1k2/4R1pp/p4p2/1b6/1p6/1P2N2P/P2r1PP1/2R3K1 w - -,c1c7
R7/2r4p/2P3p1/1B1k4/5b2/3K4/7P/8 w - -,h2h4
2r1b3/4bpkp/4p1p1/1p6/2PRB3/r4NP1/P4P1P/3R2K1 b - -,b5c4
8/3b2k1/p5pp/1p1q4/2pNpQ1P/2P3P1/PP3P2/5K2 w - -,f4b8
4n1rk/p1r1q2p/1pbpP1p1/3Np3/1P6/3Q3B/P4PPP/2RR2K1 b - -,c6d5
2kr1b1r/1pp1pppp/p1nq1n2/8/3P2b1/2N2NPP/PPP2PB1/R1BQ1RK1 b - -,g4h5:g4f5
b7/p6p/1p1p1kp1/1PpP1p2/P1P2P1P/3P2K1/8/5B2 b - -,a8b7
2r3k1/pqrn1ppp/1p1bpn2/8/P1PP4/3QNN1P/1B3PP1/3RR1K1 b - -,d6f4
3r3b/p3pk1p/4b1pP/1R2P3/3r1B2/5P2/P2RB1P1/1K6 w - -,d2d4
6k1/4r2p/8/1p4p1/p2B1p2/P1PR4/1n4PP/6K1 w - -,d3f3
rn1qk2r/pp2ppbp/2pp1np1/8/2PP3P/1QN1BP2/PP3PP1/R3KB1R b KQkq -,d8b6
2r1r1k1/1p2pqb1/p1n4p/3NpBp1/2P5/BP2Q2P/P4PP1/3R1RK1 b - -,f7f5
6k1/1R6/8/8/3n2KP/8/8/8 w - -,h4h5
5rk1/3r4/1pp1R2p/2qp1Pp1/2P3P1/8/PP2Q3/5R1K b - -,c5c4
8/pp6/6p1/4k3/3p4/PP2n3/2PR2PP/6K1 b - -,e5e4
3r1q1k/1p1r2bp/2bp2p1/p2Bpn2/2P5/1PNR1P2/P4BPP/3RQ1K1 w - -,c3e4
3r4/8/1p4pk/8/2p4P/Q1PqPN2/PP1N2P1/2K4n b - -,h1g3
8/kp6/2p5/P1K5/8/2P3R1/1r6/8 b - -,b2b5
1k1r3r/pp1nqpp1/2pbpn2/3p2p1/2PP2P1/P1N1P2P/1P1B1PQ1/1K1R1B1R b - -,d6c7
2k5/2p5/8/1p1b2R1/1P6/8/P4Kp1/8 b - -,c7c6
2r1k2r/pp1bppbp/3p1np1/q3n3/3NP1PP/2N1BP2/PPPQ4/1K1R1B1R b k -,c8c3
r4rk1/pb1nqppp/1p1bp3/2p1n3/2P5/P2PPNN1/1B2BPPP/1R1QR1K1 b - -,a8d8
3rB3/p6Q/4kp2/q3n3/3p4/6PP/1P2PP2/5RK1 w - -,e8g6
6k1/5pp1/4p2p/4P3/1Q2pP2/1P5P/2r1q1P1/6RK b - -,e4e3
4r2k/2q3p1/1n2br1p/p1p1pp2/2P4Q/1P2NP2/P1BR2PP/4R1K1 b - -,b6c8
rn5Q/pp2k1p1/4p1B1/q2p2P1/2pP1P2/4P3/PPK5/R1B1b3 b - -,e7d6
3r1r2/p3ppk1/1p2bnp1/1Pp4p/5P2/2N1P1PP/PP4B1/R2R2K1 w - h6,g1f2
r2n1nk1/4q1bp/3p1pp1/1NpPp2P/p1P1PPQ1/4BN2/P5P1/5RK1 w - -,f3h4
rnbqkb1r/pppp1pp1/4p2p/4P3/3P4/2N5/PPP2PPP/R2QKBNR b KQkq -,d7d5
6k1/5p2/6p1/p6p/P2r4/5P1P/5PK1/R7 w - h6,a1a3
r1bqrb2/1p5k/p1n3pp/4pp1n/2Np1P2/3P2P1/PP1BPNBP/R1Q2RK1 b - -,e5f4
r2qkbnr/1b1n1ppp/p1p1p3/1p4N1/2pP4/2N3P1/PP2PPBP/R1BQ1RK1 w kq -,a2a4
2r2bk1/2r2p2/6p1/p2bP2p/1p1BpP2/1NP1R2P/P5PK/2R5 w - -,b3d2
r1b2rk1/ppqnppbp/5np1/2pp4/P2PP3/2PB1N2/1P1N1PPP/R1BQR1K1 b - -,c5d4
r1b1kb1r/pp1p1ppp/n3pn2/1Nq5/4P3/2P5/PP1N1PPP/R1BQKB1R b KQkq -,d7d5
2kr1n1r/1bp5/ppq1pb1p/6pP/P2P4/2PBB3/2QN1PP1/R3K1R1 w Q -,d3e4
4k1r1/p1r1p2p/1p1p1b2/5p2/P1P1bP2/1P2B1P1/3RB2P/2R3K1 w - -,d2a2
2r2rk1/pp1n1p1p/2p1p1pB/1n2P3/6Q1/1PqP2PP/P4PB1/1R2R1K1 w - -,a2a4
r1b1nrk1/pp3qpp/5p2/2PNp3/8/6P1/P3QPBP/R4RK1 w - -,a1b1
r3nr1k/2p4p/3p1Q2/1p1Ppb2/1Pn5/2N2P2/P3N2P/1BKR2R1 b - -,f8f6
8/5pk1/4pnp1/8/2R3Pp/2q4P/5P2/r4BK1 w - -,c4c3
rnbq1rk1/pp2nppp/2p1p3/b2p4/3PP3/P1NB1P2/1PPB2PP/R2QK1NR w KQ -,f3f4
8/6B1/4k1B1/8/5pp1/r7/6K1/8 w - -,g6e4
4k1nr/1bp1q3/pp2pb2/7p/6P1/2NRBN2/PPP1QPP1/6K1 b k -,h5g4
rnb1k1nr/pp1pppbp/6p1/q1P5/4P3/2P2N2/PP3PPP/RNBQKB1R b KQkq -,a5c5
r3k2r/1q3p2/p2p4/4p2p/2QnPN1p/8/PPP3P1/1K1R3R b kq -,a8b8
r1bqk2r/pp2bppp/2n1p1n1/3pP3/3p4/3B1NB1/PPPN1PPP/R2Q1RK1 b kq -,f7f5
rnbk1bnr/pp3ppp/2p5/4p3/2P1P3/5N2/PP3PPP/RNB1KB1R b KQ -,f7f6
8/pr6/2p3p1/2P1B1R1/4k1P1/1p6/2bK1P2/8 w - -,f2f4
1rbq1rk1/1p2n1bp/p1n1p1p1/2pp1p2/P3PPPN/2PP4/1P1N2BP/R1BQ1RK1 w - -,g4f5
2qr2k1/3nbppp/pn2p3/8/1P2R3/4PN2/1B2BPPP/3Q2K1 b - -,d7f6
8/5k2/p7/8/3b3P/B6K/P4P2/2r5 w - -,a3c1
2Br2k1/5p1p/3p1p2/3p4/Pn1N4/1Pr2NP1/1R2PPKP/8 b - -,c3c8
8/2n3p1/3kpp1p/pp6/4PP2/3KN2P/PP4P1/8 w - -,e3c2
6k1/1R5p/8/4B3/4b1PP/8/7K/5r2 w - -,b7g7
1r5r/q4kb1/b3p1p1/2pp4/1p1n1P2/3PB1PN/PP4BK/1R1Q1R2 b - -,d4f5
8/1p1RQ3/p4rk1/4p3/4p3/P1P1B3/1P3P2/4K1qN w - -,e1d2
r1bqk2r/p3bppp/2p1p1n1/2ppP3/2P5/3P1N2/PP2QPPP/RNB1K2R w KQkq -,b1c3
2r2r1k/1p1nb1p1/3p1n1p/4pP2/1PP3P1/4B1NP/8/1BRR2K1 b - -,d6d5
5k2/R4p1p/8/p3r1p1/1p6/1P4P1/5P1P/5K2 b - -,g5g4
8/8/3p1k2/7R/p1N1pP2/4P3/2b4P/r3K3 w - -,e1d2
r2r2k1/p1pq1ppp/4nn2/8/1b1P4/P1N1B3/1P3PPP/RN1Q1RK1 b - -,b4f8
