1R2k3/2Qb4/5q2/8/7P/5PK1/1P4P1/7r b - -,e8e7
6k1/p2b2p1/1Q2pr1p/3pR3/1Pp5/P4N1P/2P2PP1/6K1 b - -,a7b6
rn1qkb1r/pb1p1ppp/1p3n2/2pp4/2P5/5NP1/PP2PPBP/RNBQK2R w KQkq -,c4d5:f3h4:e1g1:f3g5
r2q1rk1/5ppp/2p1n3/pP2Q3/3pN2b/3P3P/1PPBRPP1/R5K1 b - -,d8b6
r3k2r/pp1b4/2p2p1p/4p1p1/4Pn2/Q4P2/PPP3PP/2K2B1R b kq -,d7e6
r1bq1rk1/ppp2pp1/1bnp1n1p/4p3/2B1P3/2PP1N2/PP1N1PPP/R1BQR1K1 w - -,d2f1
rn1qk2r/p1ppbppp/1p2p3/8/2PP4/P2QPN2/1P3PPP/R1B1K2R b KQkq -,d7d5
3r1rk1/pp1b2pp/1q3n2/3p4/8/2PB2N1/P2Q1PPP/2R2RK1 w - -,c1b1
2r1r1k1/1q3pp1/1n1bb2p/1p1p4/3P4/1BP1NQ1P/1P3BP1/2R1R1K1 w - -,e1e2
Q4bk1/5p1p/6p1/1p2n3/1q1N4/3B2PP/2P2P2/6K1 w - -,d4c6
r1b1k2r/1pqn1ppp/p2bpn2/2p5/8/N4NP1/PPQPPPBP/R1B2RK1 w kq -,a3c4
r2qkb1r/ppp1nppp/2n5/4P3/2P3b1/P3pN2/1P2BPPP/RNBQK2R w KQkq -,c1e3:d1d8
r2qr3/1b1n1pbk/p1pp1npp/1p2p3/P2PP3/2PBBNNP/1PQ2PP1/R3R1K1 b - -,d8c7
r5k1/1n3pp1/p3q2p/2p1p3/1pP1P3/1P3N2/P3QPPP/2Rr2K1 w - -,c1d1
4rk2/p1R5/4b2p/5pp1/2p5/P4PN1/1P3KPP/8 w - -,c7c6
q5k1/5pb1/1pPp1npp/8/2QBr3/5N1P/5PP1/3R2K1 w - -,c6c7
r1b2r2/pp3p2/2ppnkpp/8/1PPNP3/6Q1/P5PP/1B4K1 w - -,d4f3
rn1q1rk1/pb1p1ppp/1p2pn2/8/1bPp4/2NBPN2/PP1B1PPP/R2Q1RK1 w - -,e3d4:f3d4
2b5/6k1/p4q1p/1p1Br1n1/2p2p2/P3b3/1P4Q1/4R1RK b - -,e3g1
r2r2k1/5ppp/b1p1p3/p1n5/8/3N2P1/PP1KPP1P/R1R5 w - -,c1c5
8/2p5/3p4/1K1P4/3P2k1/8/8/8 b - -,g4f5
r2q2k1/5p1p/4pbp1/r1R5/3P4/4B1PP/P2R1P2/1Q4K1 w - -,c5a5
3rrbk1/1p3p1p/5np1/n1p1p3/q1P2P2/p4BN1/P1P1Q1PP/R4RBK w - -,f4e5
8/3k2p1/pR1N4/8/8/2Pn1P2/1Pr5/6K1 w - -,d6c4
r1b2rk1/3q1p2/p2b4/3Ppp1Q/1p5N/8/PP3PPP/2R2RK1 w - -,g2g4
8/1p1Bk3/p6p/3p2p1/3P2PP/4K3/PP6/8 b - -,e7d7
2k5/1p2p2p/p1r1P1pb/4B3/3RPP2/1P1K4/5P1P/8 w - -,f4f5
2kr1bnr/pppq2pp/2n2p2/3p4/1P1P2b1/P1N2N2/2P1BPPP/R1BQ1RK1 b - b3,d8e8
2rqr1k1/1p1n1pbn/p2p2pp/P1pP4/2N1P3/2N1B3/1P2QPPP/R4R1K b - -,d8e7
R1b2k2/2r1b1pp/1R3n2/8/3P1P2/2P3PP/1P6/6K1 b - -,f8f7
8/3r4/p3k2p/1p1n1pp1/2pR4/P1P4P/1P1K1PPB/8 b - -,d5b6
8/p6p/5kp1/5p2/bPp5/Pr2R3/N4KPP/8 w - -,a2c3
8/4b3/2k2r2/7R/5P2/5K2/8/8 b - -,e7d6
3rb1n1/1p2qpk1/p3p1p1/3rN2p/3P1Q2/3R4/PP3PPP/1B2R1K1 b - -,e7f6
8/1p1kb3/p2P2p1/4B3/5P1p/1b5P/n4KP1/7R b - -,e7d6
1q3rk1/3bbpp1/p2p1n1p/1p2p3/2r1P3/PN2BP2/NPPR1QPP/3R2K1 b - -,d7e6
1qrr2k1/pb2bppp/1pn1pn2/2p5/2N5/PP1PPN2/1B2BPPP/1QRR2K1 b - -,b8a8
5nrk/2q2pp1/2p4p/p2bPN2/1r3P1Q/3B3P/1P2R1P1/R5K1 w - -,f5h6
rn1qkbnr/ppp1pppp/8/3p4/3P1Bb1/5N2/PPP1PPPP/RN1QKB1R b KQkq -,g8f6
3r1k2/1p3ppp/1nbP1n2/rp6/4P3/N4PP1/PB1R3P/1K1R1B2 w - -,b2d4
8/p2Rrkp1/1p5p/1Pp5/P7/2b1B1PP/5P2/5K2 w - -,d7e7
2r3k1/pp3p2/1q4p1/3Q3P/2P2p2/nP6/P4PP1/2KR3R b - -,a3c4
r5k1/pb1qp1bp/1pnp2p1/3N4/2P2B2/Q2R1P1P/PP3P2/2R3K1 b - -,d7h3
3r1rk1/1p3pqp/6p1/p1nN2Pn/PbB2P2/4P3/1P4Q1/R1B2RK1 b - -,d8d6
7r/1bk5/p4p2/1pp1pP1P/4B3/1PP4P/PK2R3/8 w - -,e4b7
1k6/p4qb1/1r5p/6p1/Qp3p2/1N1N2PP/PPP5/1K6 w - -,g3f4
r2qk2r/p1n1bppp/1pp1p2n/3pP3/3P1P2/2P2N1P/PP4P1/RNBQK2R w KQkq -,g2g4
rnbqkb1r/ppp3pp/4pn2/3p1p2/3P4/1P1BP3/P1P1NPPP/RNBQK2R b KQkq -,c7c6
2r1kb1r/1q3p2/p1n1p1p1/1p1pP2p/bN1P1P2/P1PB4/3BQ1PP/1R3RK1 w k -,f4f5
2r1k1r1/1p2bp2/pq1pbn1p/4p2P/4P2B/2NQ1P2/PPPN4/2KR3R b - -,b6d4
1Rnb4/5k2/1p3p2/1P2p1pK/4P3/5PP1/8/8 w - -,b8c8
r1b2rk1/p2p2bp/1q2p1pn/1p3p2/3pP3/1B1P2QP/PPP1NPP1/R1B1K2R w KQ f6,e4e5
2Q3k1/p5bp/4p3/6p1/8/2NP3q/PP6/1K2Rr2 b - -,g8f7:g7f8
r1bqk2r/ppp3pp/3p1b2/3Pp3/2P1n3/2N5/PP3PPP/R2QKB1R w KQkq -,c3e4
5k2/p7/1p1bB3/1Pp2p1P/P7/4K3/8/8 b - -,f5f4
q3rbk1/5ppp/pnn1p3/2p3P1/2P1NP1N/2B1P2P/P3Q3/3R2K1 b - -,e8d8
r4rk1/pbpn2pp/1p1p4/5pq1/2PPn3/P1PBP3/2QN2PP/R3BRK1 w - -,d3e4
6k1/6p1/p1rnpqbp/P2p4/1p1P4/1P2Q3/4NPPP/1B3RK1 w - -,h2h3
5k2/8/8/q7/2P5/p7/2Q2P2/6K1 w - -,c4c5
8/5k2/3b1pp1/7p/4P3/r3BNPP/4KP2/8 w - -,f3d2
8/1r4kp/5np1/8/8/5PN1/3R1KPP/8 w - -,h2h3
4rrk1/1b4b1/p2p4/1p1q1p1p/3N2nP/3P4/PP1BN3/2RK1RQ1 b - -,d5a2
2b4k/2q2p1p/3p4/3Pb2Q/1rp5/2p1N2P/5PP1/2R1R1K1 b - -,c7e7
r1q2rk1/1pb1n1pp/p1n2p2/2Np3b/2pP4/PP2PN1P/3BBPP1/2RQ1RK1 b - -,b7b6
8/1k6/7R/1K6/2n3b1/p7/8/8 b - -,a3a2
r4rk1/1ppbqppp/n2p1n2/p2Pp3/2P1P3/PP3NPP/3N1PB1/R2Q1RK1 w - -,f3e1
3rr3/4kp2/p1b3p1/1p2PnNp/5R1P/P1PP4/3K4/R2B4 b - -,c6d7
5rk1/pb1n2b1/1n1pp1p1/6Pp/3PP2P/4B1N1/P3BN2/2r1K2R w K -,e3c1
rnbq1r1k/pp4pp/2pbp3/3p1p2/2PPnN2/5NP1/PPQ1PPBP/R1B2RK1 b - -,d8f6
1rq2r1k/2pbnpb1/p2p2pp/P7/2BPP3/3Q2B1/5PPP/R3RNK1 b - -,d7b5
r7/8/8/8/5p1R/5k1K/8/8 b - -,a8d8
8/4n1kp/4pNp1/2Q1P3/1p5P/6PK/1q6/8 b - -,g7f7
1r1q1rk1/p2nbppp/2p1pnb1/3p4/2P5/P2P1NP1/1BQNPPBP/2R2RK1 w - -,c1a1
6kr/1pbr1pp1/p1p1qn1p/3ppN1P/1P2P1P1/2PPBP2/1P2QK2/R6R w - -,a1g1
r3k2r/4bp2/b1p1p3/3p3q/4Q3/6P1/4NPB1/R2R2K1 w kq d6,e4c2
2r5/p2r1kpp/1p2p3/2b1Bp2/2P1PP2/P2p1P2/7P/2RR1K2 w - -,c1c3
8/3r1p2/5k2/8/8/P7/1P2RK1P/8 w - -,b2b4
8/3R1pkp/1p4p1/p7/B2P1K2/P5P1/6b1/1r6 w - -,a4c2
r3k2r/1bq1bppp/pp1ppn2/2n5/2PNPP2/2NB4/PP2Q1PP/R4RBK b kq -,c5d3
2bq2r1/p1p4k/1pP4p/3PpP2/1P2P1rp/P2BBQ2/7P/3R3K b - -,h4h3
5rk1/r2q1p1p/1p1p1bp1/1nnPp1PP/p3P3/2N1BPN1/PP1K3Q/6RR b - -,f6d8
r4rk1/4ppbp/1pn1b1p1/q2p4/3P4/P1P1BN2/4BPPP/R2Q1RK1 w - -,d1b3
8/1p4r1/p1pP1k1p/2P1R1p1/PP1K2P1/7P/8/8 b - -,g7d7
8/1r3pk1/1pR1p1P1/p1p1P1K1/P1P5/1P6/8/8 b - -,f7g6
6k1/7p/2N5/6p1/7n/1P6/P1PK4/8 w - -,a2a4
6k1/5pb1/1p4pp/pP6/P2qBQP1/5P1P/3r4/6RK w - -,f4b8
8/8/3k2p1/5p2/4r2R/5KP1/1B6/8 b - -,e4e6
3rr1k1/p4ppp/8/8/2Rp4/P7/5PPP/5RK1 b - -,d4d3
5k2/7R/2p1P3/1p1nB2P/p2P4/8/1P1b4/7K w - -,h5h6
5rk1/1rn1pp1p/1q1p1Pp1/pNpPP3/P7/7P/1P2Q1P1/3R1R1K b - -,c7b5
rnb1k2r/pp3p1p/3q1np1/4p3/2Pp3P/4P3/PP3PP1/R1BQKBNR b KQkq -,b8c6
rr1q2k1/2n1ppbp/bn1p2p1/2pP4/4PB2/1PN2NP1/P1Q2PBP/1R1R2K1 b - -,a6c8
r4rk1/pp4pp/1np2q2/4R3/2R3Q1/P1N3PP/5PB1/6K1 b - -,f6e5
8/pp2k1pp/4p3/4P1P1/P1P5/2KR4/1P6/6r1 w - -,d3h3
2rr4/nb6/p7/P3Pp2/1p1p1k2/1N1B4/1PP2K2/R5R1 w - -,g1g7
r4rk1/5p2/4P1pp/2Q5/8/2p3P1/5P1K/8 w - -,e6f7
r1bqk1nr/pp3pbp/3pp1p1/2p5/3nP3/2NPB3/PPPQ1PPP/R1N1KB1R w KQkq -,c3d1
2r1k2r/pbqnppb1/1p1p2pp/2p4n/3PP2B/N1P2N1P/PPB2PP1/R2QR1K1 b k -,g6g5
8/8/8/1p1p1kpp/3P4/PP2KP2/6PP/8 w - h6,a3a4
2qr1r1k/pb2ppb1/1p2n2p/3N4/2P3n1/Q4NB1/PP3PP1/3RRBK1 b - -,b7d5
r3k2r/pp1qnpb1/2npb1p1/2p1p2p/2P4P/2NP2P1/PPN1PPBK/R1BQ1R2 b kq -,e8g8
8/2Q5/kr6/5p2/8/3K4/8/1n6 w - -,c7c8
2r3k1/pp1n1p2/1b3n2/3p1B1p/3P2p1/4BPP1/PP3KNP/R7 w - -,g2f4
2br3r/3q1pk1/1p4p1/pP1p1n2/P1pP1P2/B4BP1/3Q1PK1/1R5R w - -,b1e1
rn1q1rk1/pp4pP/2p1p3/3np3/PbBP2P1/2N1P3/1P2QP2/R1B2RK1 b - -,g8h7
5b2/5k2/4np1p/1N2p1pP/1p2P1P1/1P3P2/P7/1KR5 w - -,c1c7
2r1kbr1/3b1p1p/p1np4/4pP2/6q1/1B2B3/1PP1QP1P/1K1RR3 w - -,e2a6
6k1/pB2r1p1/Pp3q1p/3Q4/6P1/8/6R1/6K1 b - -,g8h8
6k1/5pp1/2n1p1p1/3pP1P1/3P2P1/1rB1QR2/q6P/7K w - -,e3f4
r1bqr1k1/pp3pbp/6p1/3p4/3BP3/1Q3P2/PP2B1PP/3R1RK1 b - -,g7d4
8/1b3p1k/p6B/1pp3R1/3qPb2/8/PPP3P1/1K5Q b - -,f4g5
2r3k1/pp2p2p/3p1npQ/q4P2/4P3/2P2P2/P1P5/R3K2R b KQ -,a5c3
2rqrnk1/pb3ppp/1p1bpn2/3p4/2PN4/1P1BP1N1/PB2QPPP/2RR2K1 b - -,f8g6
r1bq1rk1/pp2bppp/2n1p3/1B6/3P4/2P2N2/P4PPP/R1BQR1K1 b - -,c8d7
6k1/1b3ppp/1p6/1p6/1BrP4/8/PP3PPP/1R4K1 w - -,b1e1
5rk1/ppp2p1p/5bb1/3P4/2qP1Bp1/6N1/2P3PP/2KR3R w - -,d1d2
r4b1r/1p2kppp/p3p1b1/nB2N3/3P2P1/2P4P/P4P2/R1B1K2R w KQ -,c1a3
rq2k2r/3nbppp/p1p1pn2/1p1P4/3P4/1PNQPN1P/PB3PP1/R4RK1 b kq -,c6d5
8/6k1/2pR3p/2r3p1/4PP2/5KP1/7P/8 b - e3,c5c2
r2qrnk1/ppp2ppp/2bb4/3p4/2B2P2/P1NQ1NP1/1P3P1P/R3R1K1 w - -,c3d5
8/8/p1p5/1p1kp2R/1P5P/2P4r/3K4/8 b - -,d5e4
r2qbrk1/1p2b2p/n1p1p3/p2pBpp1/2PPn3/P3P1P1/1PQ1NPBP/2R1NRK1 b - -,a6b8
r4rk1/pp2ppbp/1q1pb1p1/n2P4/2P1P3/3Q1NP1/P4PBP/R1B2RK1 b - -,e6g4
6k1/1b3ppp/pp1r4/8/P3p3/2B5/1PP2PPP/4R1K1 w - -,f2f3
4q3/p3k2p/1p1Rb3/2p5/2P1P1pP/1P3pP1/PB3P2/5BK1 w - -,e4e5
8/6pk/1pn1q2p/p2p4/P3p3/4Q2P/1P2RPPK/8 w - -,h2g1
4Nn1k/r5p1/p6q/2pPp2P/2p2r2/5PR1/PP4Q1/2K3R1 w - -,g2d2
2r2r1k/2qn1ppp/b3p3/p2pP1P1/1p1p2N1/3P1BP1/PPPQ1P2/2R1R1K1 b - -,c7b8
1r4k1/1p5p/2p1n1p1/p2pP1qr/P2P1p2/3R1P1P/1P2N1P1/R1Q3K1 w - -,g1f1
8/3n1p2/1pk3p1/p5R1/P1P2P2/4NK1P/3r4/8 b - -,d2a2
1k6/1p4p1/p3bp1p/2pp4/7P/2PB4/PPPK1PP1/8 b - -,b8c7
br2q1k1/2Rp1r1p/3p2n1/1Q1PpBp1/N3Pp2/PP4PP/5P2/5RK1 w - -,b5c4
R7/1pr1p1bk/6qp/2Pp1pp1/Q2PnP2/4P3/4N1PP/4B1K1 w - -,a4e8
8/6pk/7p/pq3p2/2pPp2P/4P1P1/PQK2P2/8 b - -,b5a4
r1q1r1k1/1p3ppb/1p1p1nn1/p3b3/2P1p2p/P1B1P1PP/3QNPBK/1R2NR2 w - -,b1b6
7k/1R5p/6p1/P7/7P/4P1P1/qp3Q2/6K1 b - -,b2b1q
3r2k1/1p1nr2n/p2p2p1/2pP1p2/2Pb1P1p/1PN2B1P/1P1B2P1/4RRK1 w - -,g1h2
r1b1nrk1/1p6/1qpp1pp1/p1n2P1p/P2NP3/1PN3PP/2PQ2B1/3R1R1K b - -,g6g5
8/8/p7/1b2kPb1/4p1Bp/2P1N2P/P2K4/8 b - -,a6a5
rnbqkb1r/p4ppp/4pn2/3p4/PppP4/4PN2/1PPNBPPP/R1BQK2R w KQkq -,f3e5
r3kb1r/1b1p2pp/pq2pn2/1p3P2/3N4/2NB2Q1/PPP3PP/R4RK1 w kq -,f5e6
r2qkb1r/pp1n1pp1/2p1pnp1/3p4/3PP3/6P1/PPPN1PBP/R1BQ1RK1 b kq e3,d5e4
2r1k2r/1bqnbp2/pp1p1np1/4p3/P3P3/1NN1BB2/1PP1Q1PP/3R1RK1 b k -,d6d5
r2qrnk1/5pbp/6p1/1pPp4/bP1Pp3/2B1N3/4QPPP/R1R1N1K1 b - -,f8e6
2Q2bk1/4pp1p/6pB/3P4/1K2P3/5q2/PP6/8 b - -,f3e4
r3r1k1/6p1/1p1bpp1p/pP1pN3/3PbPP1/2P3BP/1P2R3/R5K1 w - -,e2e4
r2q1rk1/pb3ppp/1pnbpn2/3p4/3P4/2NBPNB1/PP3PPP/R2Q1RK1 w - -,a1c1
rnb1k1nr/pp2ppbp/3p2p1/q1P5/4PP2/2N5/PPP3PP/R1BQKBNR w KQkq -,c5d6
1r2qb1k/1b1R3p/pN3pp1/1pP1p3/4P3/1Q3N1P/P4PP1/6K1 w - -,d7f7
8/1p6/8/p1bPkp2/P1P1p2p/1PN4P/4K3/8 b - -,f5f4
r3kb1r/pb1npq1p/4N1p1/3p1p2/Ppp5/5QN1/1P3PPP/R1B1R1K1 w - -,c1f4
r3B2k/bp1b2pp/p7/3p4/3N4/BP1nq3/P3N1PP/2R2Q1K b - -,a8e8
8/p2kp2p/2p2b2/2P2p2/2N1nP2/1P1rB2P/P6K/6R1 w - -,g1g8
1r3r2/2p1n1k1/3pq3/pPp2p2/P1P3p1/4P1P1/4QPBP/2RR2K1 w - -,h2h4
2R5/p2P1k2/2P5/1r5p/3b4/6PK/8/8 b - -,b5c5
5rk1/p1q1ppbp/1p2b1p1/4N3/P2r4/1P4PP/5PB1/2R1RQK1 b - -,c7d6
3qrrk1/p4nbp/1pp3p1/2p2b2/7Q/1PBP1N1P/P1P3P1/3NRR1K w - -,c3g7
r2q2k1/6b1/p2p2n1/2pPprpp/R7/5PP1/1PPNQ2P/2B2RK1 w - -,a4a6
4r1k1/1b3p2/1p1r4/pP1p3n/6p1/4P3/P3NPBP/2RR2K1 w - -,c1c7
4r3/k3rp2/2q1p1p1/1p1p2Pp/pPnP1P1P/P1PN1Q2/2K5/R3R3 b - -,e8c8
r4rk1/pp2ppbp/3p1np1/2q1n3/2P1P1b1/1P2B1P1/P1N1NPBP/R2Q1RK1 b - -,c5c8
5b1k/1b1r1n1p/p4n2/Pp1p1Np1/3PpP2/1N5P/1P3PPB/2R3K1 w - -,f4g5
8/p5p1/1p1k1n1p/1P2p3/2P3PP/5K2/8/6B1 b - -,g7g6
r1r1bbk1/q4ppp/p1n1p3/1pnpP3/5Q1B/P1N2N2/1PP2PPP/1R2RBK1 w - -,f4g4
3rr1k1/ppq1b2p/3pp1p1/4p3/4P3/1NPR2P1/PP2QP1P/3R2K1 w - -,e2g4
r1n5/2q3kp/p2Rp1n1/1ppbPp1P/5B2/2P3Q1/1P3PP1/5BK1 w - -,d6d5
r1b2rk1/pp1p1ppp/2n1p3/6B1/1qP3n1/4PN2/1PQ1BPPP/3R1RK1 w - -,f3d4
r2qr1n1/3b2bk/pp1p1np1/2pP1p1p/1PP2P2/PRNB2NP/3Q1BP1/1R4K1 b - -,h5h4
5rk1/4ppbp/p2q2p1/2rbN3/1p1P1n2/1B3P1P/PP3BP1/2Q1R1K1 w - -,d4c5
1rr3k1/n2bppb1/1q1p1npp/8/1p1N4/1P2PN1P/PB1QBPP1/2RR2K1 w - -,e2d3
r2qk2r/pp2bppb/2n1p2p/2npP3/2PN4/4BN2/PP2BPPP/R2Q1RK1 b kq -,e8g8
1n2r1k1/1Bq2ppp/7r/1pB5/3P1N2/2N3P1/PP5P/R2Q2K1 b - -,c7b7
8/5Bp1/7p/8/4k1PP/8/3Kn3/8 b - -,e2f4
r4rk1/1ppn2pp/2nbbq2/p3pp2/2NP4/PP2PNP1/1B3PBP/R2Q1RK1 b - -,e5d4
r4r1k/1bppq1pp/1pn2b2/4p3/1PP1N3/3P2P1/1Q2NPBP/1R2R1K1 b - -,e7f7
r2q1rk1/pb3pp1/2pb1nnp/1p6/3NP3/5NB1/PPB2PPP/R2Q1RK1 b - -,d6g3
3r4/3rkp1p/2pN2p1/1pP5/pP2P3/PbK1RPP1/3R3P/8 b - -,b3e6
8/5p2/4ppkp/8/4P2P/1r3KP1/4RP2/8 w - -,f3g4
8/5R2/p5r1/p5P1/1k6/8/6K1/8 w - -,f7f5
3q1rk1/p4ppp/1p2p3/n3Q3/4BP2/1P4P1/P1rNnP1P/1R3RK1 w - -,g1h1
2q5/3r2kp/pR2ppp1/2Pp4/b2P4/6QP/5PP1/1R4K1 w - -,b6e6
7r/8/R2nk3/7p/5P2/5K2/8/8 b - -,h8g8
r2qkb1r/pp3ppp/2n1pn2/1BPp4/5Bb1/4PN2/PPP2PPP/RN1QK2R w KQkq -,d1d4
r6r/1p1kbpp1/2b3n1/P2p3p/2pP4/2P2BBP/3N1PP1/RR4K1 b - -,e7d8
8/7p/8/3k1pK1/8/1P1N3P/4n1P1/8 b - -,e2d4
4R3/8/8/2p3p1/5k1p/2K2P1P/6P1/3r4 w - -,e8e4
3r2k1/pp1q1p1p/5Qp1/3r4/3P4/3R3P/PP4P1/5R1K b - -,d7e6
3r4/1p2R2p/p1q2ppk/P1B5/1P3P2/8/5QbP/7K w - -,f2g2
3r1qk1/pb3pbR/1p4p1/5p2/2r5/2P1Q3/PPBN1PP1/2K4R b - -,c4c7
r4r1k/ppq1p1b1/n1ppQ1pp/2P4n/3PP3/6P1/PP2NPB1/R1B1R1K1 b - -,h5f6
r3k2r/1b2ppbp/pq4p1/2p1nPP1/1p2P1n1/6N1/PPPNQ1BP/R1B2R1K b kq -,h7h6
1r2r3/p1R4p/2R1bkp1/5p2/7P/1B6/P4PP1/6K1 w - -,c7a7
8/5p2/4pk2/7p/4KPp1/r5P1/6RP/8 b - -,a3a4
r1bqkb1r/1p3ppp/p1n1pn2/2p5/P1pP4/4PNP1/1P3PBP/RNBQ1RK1 b kq -,c8d7
8/5kpp/2p5/p2p1r2/P7/1P3P2/2P1RKPP/8 w - -,e2e3
8/8/4k2p/8/5P2/3RPK2/8/r7 w - -,f3e4
3rk2r/pbq1bppp/4pn2/1pp1p3/4P3/1PPPN1P1/P4PBP/R1BQR1K1 w k -,d1e2
2kr3r/1bqnbpp1/p2ppn1p/1p6/3NPP2/P1NB1Q2/1PP2BPP/2KRR3 w - -,c1b1
r2qkb1r/pp3ppp/1nn1p3/8/3P4/1QN1BP2/PP3P1P/R3KB1R w KQkq -,e1c1
3qb1k1/5pbp/1n2p1p1/1p6/p3Q3/1BP1N1BP/PP3PP1/6K1 w - -,b3c2
r1bqkb1r/pp2pp1p/2p2p2/3n4/2B5/BP3PP1/P1PP3P/R2QK1NR b KQkq -,d8a5
2r2rk1/1bq2pbp/pp1ppnp1/2n3B1/2P1P3/2N5/PPQNBPPP/R4RK1 b - -,f8e8
8/k6p/P4p2/1P1pp3/1K5P/2R5/8/5r2 w - -,c3c7
2qr1b2/6nk/p3p1pp/3bPp2/3N1PP1/2r1N2P/3BQR1K/R7 w - -,e2a6
2b2rk1/p6p/2p3p1/2Np4/1r6/3PnN1P/PPP3P1/1R3RK1 w - -,f1f2
4Q3/1p1n1pbk/3P2pp/3p1q2/N7/B4N1P/1P3PP1/6K1 b - -,d7e5
r5k1/4ppb1/3p3p/2p4N/2N1Q3/1q4P1/3B2KP/8 w - -,e4a8
2r2r1k/pb3p1p/1pnq1Pp1/3p1R2/3P4/P1N4Q/1P4PP/3R2K1 w - -,c3b5
8/4npkp/1p2p1p1/pP1p4/P2PPNPP/4KP2/8/8 b - h3,h7h6
8/8/4k3/4p1N1/P3Pp2/4nK2/8/8 b - -,e6f6
4Q3/p7/2bN2k1/p7/2P3p1/8/1r4pP/4R1K1 b - -,c6e8
2b2r2/1p4r1/p2Rpkp1/P1P3Rp/2PPKP1P/5N2/8/8 b - -,f8e8
3R2R1/p4r1p/Ppn3pk/2p2p2/2PP3P/2K3P1/8/8 w - -,d4d5
rn1qr1k1/pp1b1pbp/6p1/4p3/n1Pp4/1N1P1NP1/P3PPBP/BR1Q1RK1 b - -,d7c6
rn2k2r/pp2nppp/4p3/q1p1P3/b1pP4/P2B1N2/2P2PPP/R1BQ1RK1 w kq -,d3c4
r1b1kn1r/1p2q2p/2p1pbp1/p2p1p2/2PP3N/1QN1P1PR/PP2BPP1/2K4R w kq -,h4f3
1rR5/1P1k3p/4p1p1/8/n4P2/5BP1/6P1/6K1 b - -,b8c8
5q2/pr5k/R2b2pp/3pn3/1Pp2P2/2PnB1NQ/6PP/5RK1 b - -,e5f7
1rbqkbnr/p2p1ppp/2p5/2p1p3/4P3/2NP4/PPP1NPPP/R1BQK2R b KQk -,g7g6
5n2/5rp1/2k1p3/1p1p3P/p2P4/P1PB4/1P1K2R1/8 b - -,f8d7
2qn1r2/4kppp/pp2p1n1/4P3/Q1P5/1N3N2/P4PPP/1R4K1 w - -,a4b4
4k3/8/4p3/2K2pn1/1BP3p1/6P1/7P/8 b - -,g5f3
8/R7/1R1kpp2/6p1/1P2p3/8/2rr1PP1/6K1 b - -,d6e5
2rqkb1r/1p1n1ppp/p2pbn2/4p3/4P3/1NN1BQ1P/PPP2PP1/R3KB1R w KQk -,e1c1
2krb1r1/1p2qppp/p1n1p3/2npPP2/5Q2/2N2N2/PPP1B1PP/2KR3R w - -,h2h4
