4b1k1/7p/6p1/8/4B3/7P/3r1PP1/R5K1 w - -,h3h4
8/2r4k/1p6/p7/1P6/P4pP1/3R1Kb1/8 b - -,a5b4
8/8/6p1/7k/1P2q3/1KP5/3Q4/8 w - -,d2d1
1r1q1rk1/2pb1ppp/p1np1b2/1p1N4/3PP3/1B3N2/PP1Q1PPP/R3R1K1 b - -,g7g6
8/5p2/8/1p1p1k2/1b1P2p1/1P2K1P1/5P2/B7 w - -,a1b2
8/p7/1p1B4/3p1k2/P1pP4/2P1r3/KP6/8 b - -,f5e4
8/2q1pp1k/1n1pb1p1/p6p/3QP2P/3N1P2/P1P3P1/K3R3 w - -,e1c1
8/6p1/5k1p/7P/3b2K1/5N2/8/8 b - -,d4f2
1r3b2/5pk1/2p2p1p/2P5/1P1R2PN/3K4/5P2/8 b - -,b8a8
r4rk1/1pp2ppp/p4b2/8/2p5/1P3KP1/1P6/RNBR4 w - -,b3c4
7R/8/8/p4k2/4p1p1/1P3r2/2P1K2P/8 w - -,h8f8
8/5k2/7R/8/8/5p2/r5N1/6K1 w - -,g2e3
r1b1k2r/1p1p1pbp/p5p1/3qP3/8/P1N5/1P3PPP/R1B2RK1 w kq -,c3d5
r4rk1/1p1nqppp/p3p3/2p1Pb2/4pP2/1P2P3/PBPNQ1PP/R4RK1 w - -,d2c4
r2q1rk1/ppp1p1bp/2npbn2/3N1p2/2P5/3P2P1/PP2NPBP/R1BQK2R w KQ -,c1g5
r4rk1/1b2ppbp/p4np1/3p4/RN3B2/1nP1PN2/1P2BPPP/3R2K1 b - -,a6a5
4rq1k/3b1r2/4p1Rp/3pPp1P/1p1P1K2/3BP1Q1/P7/6R1 b - -,d7c8
r4rk1/p4p1p/1p1p1np1/1PpPn1q1/2P1P3/P1N4Q/4BRPP/4R1K1 w - -,e1f1
8/p1q1k3/b3p2p/6p1/P3P3/3B2P1/2Q2PP1/6K1 b - -,c7c2
r1bq1rk1/ppppb1pp/2n1pn2/8/2P1P3/2N3P1/PP2NPBP/R1BQK2R b KQ -,e7c5
r3kn1r/pp4pp/1qpPp3/b5B1/3P2P1/1B6/1P4KP/R2Q1R2 b kq -,a8d8
1rb5/p1nq1pbk/3p1npp/2pP4/2B5/2N2N1P/PP1Q1PPB/1R2r1K1 w - -,b1e1
r1b1qrk1/p1p1n3/1p1p1b1p/3Pppp1/2P5/1N4PP/PP1QPPBN/R3R1K1 b - -,e7g6
4rbk1/7p/6p1/P3P3/2pN1P2/6P1/1r5P/R4R1K b - -,e8d8
r4rk1/1bn1qpbp/p2p2p1/p1pP4/2P5/4BN1P/1PQ1BPP1/R2R2K1 w - -,a1a5
3rk2r/1bq1bp1p/p2ppnp1/8/1p1BPP2/3B3Q/PPP3PP/3NRRK1 w k -,d1f2
2r3k1/P7/4p1p1/2B3P1/2K2P2/8/8/8 b - -,g8f7
6r1/8/1pp3K1/1k1p4/pP1P1P2/P1R1P3/8/8 w - -,g6h7
8/8/2b1k3/1p6/1P3K2/5p2/5N2/8 b - -,e6d5
1bbr1k2/5p2/1Pp2q2/8/2Q3p1/3p2Pp/3N1P1P/4R1KB w - -,c4c6
rnbqk2r/pp3p2/2p1pn1p/6p1/2QP4/2P2NB1/P3PPPP/R3KB1R b KQkq -,b7b5
4r3/p5bk/1p4b1/2p1Nqp1/2P5/1P2QPp1/P6B/4R1K1 w - -,h2g3
1r4k1/pr6/3p1p1n/2p1q1pP/2p1P3/2P2P2/PP2NQ1N/1K1R4 w - -,d1d2
1rn3k1/1p1q1pp1/1Q1pbn1p/4p3/2P5/2BP1NP1/4PPBP/5RK1 w - -,b6b2
r1b2rk1/ppp1q1pp/2nb4/3npp2/8/PP1PPN2/1BQ2PPP/RN2KB1R w KQ f6,b1d2
8/pp6/1k2p3/2p1P2P/2r3P1/Pq6/1P2Q3/1K3R2 w - -,f1f3
1r3rk1/pp2q1p1/2pNp1bp/4Pp2/P1QP4/3Bn2P/1P4P1/2R2R1K w - -,c4b3
1qr1r2k/1bn1nppp/pp1p4/3P1NP1/2P3Q1/1P6/P4BBP/2R1R1K1 b - -,e7f5
r2qk2r/3nppbp/p2p2p1/1pP1P3/4NPn1/4BN2/PPP3PP/R2QK2R w KQkq -,d1e2
6rk/pq5p/2bppn1b/2p5/2P1PP2/2NQB2P/P4RBK/8 w - -,g2f3
2b5/1pr1kpb1/p2p1p2/2q1pP1Q/4P2P/3B2P1/P1P4K/4RR2 b - -,c8d7
1rb2rk1/3nqpbp/2pp1np1/1p2p3/3PP3/1PN2NP1/PBQ2PBP/R3R1K1 w - -,a1d1
2r5/1bqr1pbk/pp1pp1p1/4n2p/2PNP2P/1P3PP1/P3Q1B1/2BRR1K1 b - -,b7a8
3rr1k1/1p2qppp/p4n2/3P2B1/8/2N2QP1/PP3PK1/3R4 b - -,d8d7
r1bq1rk1/ppn1ppbp/2np2p1/2p5/2P1P3/2NP2P1/PP2NPBP/1RBQ1RK1 w - -,a2a3
2r5/8/p1prk3/1pR1p2p/1P2Ppp1/3R4/P1PK2PP/8 b - -,h5h4
6rr/1p6/2pk1p2/p2p2pp/P2Pn2P/1P2PNP1/2R1KP2/7R b - -,g8g7
1nbq1rk1/4r1bp/pppp1ppn/4p3/PP1PP3/2P1NN1P/2B2PP1/R1BQR1K1 w - -,c1a3
1r4k1/R6p/5p2/2p2p2/4pP2/1Pn1P1B1/6PP/6K1 b - -,b8b3
r2q2k1/1p1n1pbp/p2prnp1/2p5/2P1P3/2N4P/PP1BBPP1/R2Q1RK1 w - -,d1c2
3n1rk1/1pp1pqbp/r7/p1R2pp1/3P4/PP2P1P1/1B1NQP1P/5RK1 w - -,c5c7
6k1/p3p2p/5nPQ/2qPP3/2p5/2P2BP1/6K1/1r6 w - -,e5f6
r2B2k1/2q4p/b1p3p1/4p3/PP1p4/5BP1/2P4P/1R1Q2K1 b - -,a8d8
8/P4p2/4p1k1/1R2P1p1/5P2/2r1r1P1/2p2K2/2R5 b - -,e3f3
1k1nr2r/pp4q1/2np2p1/2pNpp1p/B3PP1P/2PPQ1P1/PP6/1K2RR2 w - -,e4f5
8/8/2bp1kp1/2p1p2p/2P1PP1P/1r1P2KB/3R4/8 b - -,c6e4
5k2/1b3pbB/p2p4/1q1P4/6p1/1Q2P1P1/6K1/1R6 w - -,b3b5
5k2/5p1r/ppp1bp1P/2p1bN2/P3P3/1P1PNK2/2P5/7R b - -,f8e8
r2qr1k1/pp1n1ppp/4p3/3pP1N1/Pb1P1P2/3bQ3/1P4PP/R1B2RK1 w - -,e3d3
rn2k2r/pppqbppp/4pn2/8/2PP4/5N2/PP2QPPP/RNB2RK1 w kq -,b1c3
4qrk1/pQ1r1pbp/6p1/3Npb2/8/6P1/PP3PBP/2R2RK1 w - -,c1c7
7r/1p1k2bp/p2p2p1/3P2B1/2p5/N1PbKP2/PP4PP/R7 w - -,e3d2
rnbqkbnr/p3pppp/2p5/1p6/P1pP4/5NP1/1P2PP1P/RNBQKB1R b KQkq -,b8d7
r3kb1r/pp1b1ppp/2n1p3/3pB1qn/3P4/P1NBP3/1PQ2PPP/R3K1NR w KQkq -,g1f3
1r3nkr/1bq2pb1/p2n2pp/2PPp3/B1Q1P1PP/P1P1BPN1/6K1/1R4R1 w - -,c4b4
6rk/1p2r2p/p2Rpp1b/P3n3/4PN2/2P5/QP1BB2q/3K1R2 b - -,e7e8
5r2/1b1pkp2/p3p2p/2r3PB/4P2P/3R1P2/PKP5/6R1 b - -,b7c6
r1bqr3/2R1bk1p/p5p1/1p2Q3/4P3/4N2P/PP3PP1/4R1K1 b - -,c8e6
3qrrk1/p5bp/np1p1np1/1QpP1p2/2P2P2/P2BR1NP/1P1B2P1/4R1K1 b - -,a6c7
8/5pk1/4b1p1/n1p1p3/p1P1P1PP/4KP2/PP1N4/5B2 b - -,f7f6
8/1R3p2/6p1/Pk3p2/1p3P1P/2r3P1/1K6/8 b - -,b5a5
r3k3/pp2qp2/3p2p1/2pPp1R1/8/2NBQ3/PPP1N2r/2K5 w q -,d3b5
2r2r1k/5p1p/3bp3/pp1q1p1Q/2pP1P2/P1P4P/1P4P1/RB3RK1 w - -,g2g4
r5k1/3Q1pp1/2p5/1p2P2p/1P3P1q/P1R5/5K2/8 w - -,f2f3
r3k2r/pp2bppp/5n2/3qp3/Q7/2P1B3/PP3PPP/R3KB1R b KQkq -,e8f8
4r3/p2k2pp/1p6/n4R2/3P1B2/2P5/P4KPP/8 w - -,f5f7
2r2k2/R6R/6p1/7r/8/1P3P2/P5P1/6K1 w - -,h7h5
r1bq1rk1/pp2bppp/3ppn2/2n1P3/3N1P2/1BN5/PPP3PP/R1BQ1RK1 b - -,d6e5
r7/p4ppk/Q1b1rn2/Ppp1B3/2P5/3q1P2/6PP/R3R2K b - -,d3c4
5rk1/p1q3pp/b1p1p3/2PpP3/P2BpPP1/4P1KP/1R6/4Q3 b - -,c7d8
6k1/5p2/5K2/5P2/pB2b3/3N4/8/8 w - -,d3e5
4nk2/1r1b1ppp/3p4/1p1Pp3/1P2P1P1/R2B1P1P/4NK2/8 w - -,f2e3
r1bqr1k1/pp3ppp/2nbpn2/2ppN3/3P4/2PBP1B1/PP1N1PPP/R2QK2R b KQ -,d6e5:d8c7
r3N3/2r1k1pp/p3pp2/4p3/1pP1P3/5P2/PP4PP/3RR1K1 b - -,a8e8
3r2k1/p4p1p/1p2pQp1/1b6/3r4/8/P4PPP/3RR1K1 b - -,d4d1
8/8/3k4/p2P4/3K2p1/1P4Pp/7P/8 b - -,d6d7
8/6p1/p3n2p/1b1k4/1p1r3P/1P3PK1/P4QP1/8 w - -,f2e3
1k4r1/p1n1q3/bpp1p3/5p2/2PP2r1/P1N5/1P1R2P1/3RNQK1 b - -,c7d5
1r1qnk1r/3b1p2/1p1n1pp1/p1pP3p/2P2Q2/1NNB1P2/PP4PP/3RR1K1 w - -,a2a4
5rk1/6p1/8/2bp4/1p1P3P/1R3N2/r1P2PK1/6R1 b - -,c5d6
r4b1r/p1ppk1pp/1p3n2/4P1B1/2B5/8/PPP2PbP/RN2K1R1 b Q -,g2c6
r1bq1rk1/1p1nbppp/p2p1n2/2pP4/P7/2N2N2/1PP1BPPP/R1BQ1RK1 b - -,b7b6
r7/4kpp1/p3pbp1/1p2n3/1P2P3/4P1P1/P1RBB1KP/8 b - -,e5d7
rn2qr1k/pp2N2p/1n1P1p2/4p2Q/5p2/8/PPP2PPP/2KR1B1R w - -,h5h6
2bb2k1/6pp/8/pp1N4/1P1Bp3/P3P1P1/7P/6K1 b - -,c8e6
8/p3kp1p/4b1p1/2N5/1r2PP2/1N3nP1/P6P/2R3K1 w - -,g1f2
r2q1rk1/6pp/1p1pb2b/p1pNp3/2PnPP2/PP1Q2P1/1B3RBP/5R1K b - -,a8a7
3r2k1/1p2bqp1/p3r2p/8/2PpNpPP/3Q1P2/PP4K1/R6R w - -,h4h5
8/p1r5/1p6/2P2k2/P3p2p/1PRbK2p/6P1/4R3 w - -,g2h3
2krr1n1/ppqb2b1/2p4p/2Pp4/1P1Ppp2/2N1P3/P1QNBPP1/K2R3R w - -,b4b5
4Q3/6pk/6p1/7p/7P/5KP1/qq2Q3/8 b - -,b2e2
r3k2r/pp2ppbp/3pb1p1/q1n5/2P1P3/1PN1BP2/P2QB1PP/2R1K2R b Kkq -,e8g8
r1b1k2r/p1b1n1pp/2p5/2N1pp2/2N1p3/2P1B3/PP3PPP/R3K2R w KQkq -,e1c1
2r1k2r/pp1bpp2/3p1p1b/2q2P1p/4P3/2NQ2P1/PPP4P/1K1R1B1R b k -,h5h4
4R3/p2r1r1k/1p4pP/2pp1p2/5Bp1/1P6/P4P2/1K2R3 b - -,g6g5
4kb2/5p1p/2p2K1P/4PP2/5B2/1P6/8/8 w - -,f4e3
1k1rq3/ppp4r/2b1p3/2P1Np1p/P2Pp1pP/1P2Q1P1/1K2PP2/2R1R3 b - a3,c6d5
2nq1r2/5r1k/1p1p2p1/pP1Pp1bn/N3P2p/5N1P/P4BP1/R2QR1K1 w - -,f3g5
5r2/p2n3k/1p1qprp1/7p/3P1R2/3Q2P1/P2B3P/5RK1 w - -,d3c4
1r1q1rk1/1pp3p1/1n5p/1Q1p4/3P1p1P/1P3N2/P1R2PP1/4R1K1 w - -,c2e2
8/3b2k1/p2p4/p3p3/P1r1P2b/2N5/1PP3BP/3R3K b - -,c4d4
q2r2k1/pb2bpp1/1pn1p2p/3r4/3P4/PP3NP1/1B1RQPBP/2R3K1 b - -,e7f6
3rkb1r/ppp1nppp/2n5/4P3/2P3b1/P3pN2/1P2BPPP/RNB1K2R w KQk -,c1e3
r1q2rk1/pp2ppbp/2np1np1/8/4PPb1/1NN1BB2/PPP3PP/R2Q1R1K b - -,g4f3
8/8/4k3/5N2/5K2/8/r7/5R2 w - -,f5g3
r1bq1rk1/pp2bppp/2p1pn2/4N3/2B5/3P4/PPP2PPP/R1BQR1K1 b - -,f6d5
5k2/4n3/pp1N1P2/3PR3/4K1P1/8/P7/4r3 w - -,e4d4
r4n2/pb3R2/1pk1p3/n1ppPpNB/P4P2/2P1P3/1P5P/R3K3 w Q -,b2b4
r2q1rk1/1p2bpp1/p1npbn1p/4p3/1PB1P3/P1N1BN1P/4QPP1/2RR2K1 w - -,c4e6
r1bq1rk1/2p2pbp/p4np1/1p2p3/4P3/2P5/PPB1QPPP/RNB2RK1 w - -,c1e3
r4r2/p2q3k/1pbp1np1/5p1p/1PPBpPnP/P1N3P1/Q4PB1/2RR2K1 b - -,d7e6
3r3r/3q1kb1/3p2np/p2Pp1P1/Np2Pp2/1P3P2/1P4QR/1K1R2B1 w - -,a4b6
r6r/pP2kppp/8/2b1p1B1/Qn4nq/P1N5/1P3PPP/R4RK1 b - -,h4g5
5rk1/pb2bppp/4pn2/2r5/1p6/1P2PN2/PB2BPPP/R2R2K1 w - -,b2d4
8/8/p5pp/1p1K3k/1Pr4P/2P5/8/4R3 b - -,c4c3
1r6/1P2k3/8/P3n2p/3p2p1/6P1/5PK1/4R3 b - -,e7d6
r3qr1k/1pp3pp/p1nb4/4pp2/2NPP1b1/4BN2/PP2QPPP/R2R2K1 w - -,d4e5
b5k1/2q4p/2n1prp1/1pPp2N1/1Pp2P2/2P5/2Q1B1PP/5RK1 w - -,e2g4
1kr5/1p6/p2R1R2/8/6r1/2P3P1/PP6/2K5 w - -,f6g6
2r2rk1/Np1qp1bp/3ppnp1/8/2n1P1P1/4BP2/PPPQB2P/2KR3R w - -,e2c4
rnb1k2r/pp3p2/2pb1p2/3p3p/8/1PNB2N1/P1PP1PPP/R3K2R w KQkq -,g3f5
8/8/8/b4kPP/2K2P2/8/2B5/4n3 b - -,e1c2
1qb1k2r/3nbppp/r2ppn2/PN6/Q1PNP3/4B3/1P3PPP/R4RK1 w k -,b2b4
1rbq1rk1/p1n2pbp/1p1p1np1/2pP4/P3P3/R1N5/1P1NBPPP/2BQR1K1 b - -,f8e8
8/1r3p2/4p3/3pP2R/8/3k1r2/7K/4R3 b - -,b7b2
2q5/1p6/6kp/5p2/3Q1Pp1/8/P3R2P/2r1R1K1 w - -,e1c1
1r3k2/8/5pp1/2pP3p/1pP1p2P/1P5b/3K1PP1/R7 w - -,g2h3
8/8/4k3/3p4/6RP/6K1/4r3/8 b - h3,e6f5
r1b1k2r/1p2Q1pp/p1n1p3/2pp4/3PnP2/2N2N2/PPP3PP/2KR1B1R b kq -,e8e7
r1r3k1/4b1pp/4p3/p3P3/2RN1PP1/2n5/7P/2B2RK1 w - -,d4c6
2b2r2/5rk1/p2p2pq/P1pPpp1p/1pP1P3/1P1QbPPP/R4NBK/5R2 w - -,h2g1
r2r1nk1/pb4pp/1p2pp2/8/3PpP1B/1PR1K3/P5PP/RN6 b - -,f8g6
8/2r3k1/8/4p1P1/R5K1/5P2/8/8 w - -,a4e4
8/8/5kp1/6p1/5pP1/2nB3P/6K1/8 w - -,d3c2
1nb1r1k1/2q2n1p/p2p2pb/2pP4/N1N2p2/1Q2P2P/1P2BPPB/R6K w - -,a4b6
r2q1rk1/1b1nbppp/pp2p3/8/3P4/2PB1N2/P3QPPP/R1B1R1K1 w - -,a2a4
6k1/p3nqp1/1p4p1/4B3/P3Q1P1/2PPK3/8/8 b - -,f7f1
1Q4k1/p4pn1/4b1p1/2p4p/7P/1P2N1P1/P4PBK/q7 b - -,g8h7
r1bqkbnr/pp1p1ppp/2n1p3/8/3N4/2N5/PPP1PPPP/R1BQKB1R w KQkq -,c1f4
6k1/2Q3pp/4p3/1r4q1/4p3/1n5K/P5PP/2R4R b - -,g5h6
8/5ppk/7p/4Q3/4P3/P4P2/1PrqBKPP/8 w - -,e5f5
r1bq1rk1/pp1pnpbp/2n1p1p1/2p5/4PP2/3P1NP1/PPP3BP/RNBQ1RK1 w - -,c2c3
1rr3k1/R1p1qppp/3pB3/1p2n3/3pP3/3P2Q1/1PPB1PPP/5RK1 b - -,e7e6
5k2/bppbnnr1/p3p2p/3pPp2/1P1P1P2/P1NB1N1P/2P1KB2/7R w - -,a3a4
rn1qk1nr/1p3pp1/p2p4/2pPp2p/P3P2P/2N2BP1/1PP2P2/R1Q1K2R b KQkq h3,g7g6
r4r1k/1ppq2bp/2npbnp1/1N3p2/1PP1p3/3PP3/2QBBPPP/1R2NRK1 b - -,d7f7
1r2k2r/3qpp2/3p2p1/2p5/2PbPP2/1P1RN1p1/4Q1B1/5RK1 b k -,d7a7
r1b3r1/2q2kPp/2p1pppB/1p6/p2PN1P1/1B3N2/PP3P1P/1K1R3R w - -,b3c2
8/8/4p3/1r3p2/6P1/3k1P2/1P2RK1P/8 w - f6,e2e3
4k2r/b3npp1/p1p1p2p/1q2P2P/1R4Q1/6B1/P4PP1/3R2K1 b k -,b5c5
2R5/5pk1/p3p3/6PP/1r6/4P1K1/8/8 w - -,c8a8
r1bq1rk1/pppp1ppp/2n5/8/1bPNn3/2N1P3/PPQ1BPPP/R1B1K2R b KQ -,d8e7:f8e8
r3qrk1/3bppb1/3p1np1/1ppP3p/2B1PB2/1PP2PN1/4Q1PP/R4RK1 w - -,a1a8
4r3/5k2/4pbp1/1p1p1p1r/p2P1P1p/P1P2R1P/1P1BRKP1/8 b - -,e8g8
4B3/8/5k2/p4p2/P5pP/8/6K1/4b3 b - -,e1h4
3r1r2/2k4p/1pp5/n2N2b1/P4p2/6P1/4PPBP/1RR3K1 b - -,d8d5
1r4r1/4q1k1/p2p4/2p2P2/1pP2QpP/3P4/PP4R1/R5K1 w - -,a1f1
r3kb1r/p1qp1ppp/bpn1p2n/4P3/2PN4/6PP/PP1NQP2/R1B1KB1R w KQkq -,d4c6
r1bq1rk1/pp2bppp/2n2n2/2ppp3/4P3/2PPNN2/PPB1QPPP/R1B1K2R b KQ -,g7g6
r5k1/1ppR4/2p5/6N1/1P4pP/pP4B1/Pbb3P1/4r1K1 w - -,g3e1
1r3rk1/p1pqbppp/2n5/3p4/PnP1P3/1p4P1/1B2QPBP/RN1R2K1 w - -,c4d5
r1bqr1k1/ppp1npb1/2n3pp/3Pp3/8/3P1NPP/PPPN1PB1/R1BQR1K1 b - -,e7d5
1rkr4/2pnp3/7p/2NQp1p1/8/3P1R2/3KPP1q/R7 b - -,d7c5
3r1r1k/p3q3/1pQp3p/5Pp1/P2R4/5PP1/1PP4P/3R2K1 b - -,f8f6
2r2rk1/pb1q2pp/1p1p1b2/3NBP2/nP6/5N2/2P1RPPP/R2Q2K1 b - -,g8h8
r4rk1/4pp1p/1n1p2p1/qNpP4/Pn2P3/1Qb2N2/1P3PPP/R4RK1 w - -,b5c3
r4rk1/pbqn1ppp/2pNp3/1p1nP1B1/2pP4/2P5/P1Q1BPPP/1R3RK1 b - -,a8b8
4r1k1/7p/8/4p3/5pPq/P4P2/3QP1KP/2R5 b - -,h4e7
2b2r1k/4q1pp/r2p1n1n/p1p2p2/N1P1pP2/PPB1P3/Q3BP1R/2K4R w - -,c3a1
r4b2/p1R1p1kp/1p2Bnp1/4B1N1/b2P4/P6P/5PP1/6K1 w - -,g2g4
r1qr2kb/pb2pp1p/1pnp1npB/8/4P2Q/N1PB1N1P/PP3PP1/3RR1K1 b - -,c6e5
r3r1k1/pbqn1pbp/2p1n1p1/R2p4/1B1P4/1NN1P1P1/2Q2PBP/4R1K1 w - -,e1a1
3k4/p2q3p/1p1P4/2p1r3/6p1/P2RN1P1/1P1R1P1K/8 w - -,h2g1
r3k2r/pp1b2pp/1qn1pb1n/2pp4/3P4/2PB1N2/PP2NPPP/R1BQ1RK1 w kq -,a2a3
2kr1bnr/pp3ppp/2n1p3/2p5/5P2/N1PP4/PP2BP1P/R1B1K2R b KQ -,g8e7
r1bqk2r/pp2bppp/2n1pn2/3p2B1/3P4/2NBP3/PP3PPP/R2QK1NR w KQkq -,g1f3
rnb1kb1r/ppq3pp/2pp1n2/4pp2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b kq -,e5e4
rbr4k/pb4pp/5q2/1PB1pp2/8/1B6/P2Q1PPP/3R1RK1 b - -,b8c7
8/8/8/5pp1/4k3/3N3P/4KP2/8 b - -,g5g4
3r3k/pp4b1/5q1p/6p1/3nR1P1/Q4P2/PP1R2P1/1K6 b - -,d4c6
4k3/3n3p/n1Nbp1p1/1p3p2/1P1B1P2/1K2P2P/5P2/5B2 b - -,a6c7
r1bqkbnr/pp1p1ppp/2n5/4p3/3NP3/8/PPP2PPP/RNBQKB1R w KQkq e6,d4b3:d4c6:d4f5:d4f3:d4b5
3r4/3r1k2/1p6/p1p1Ppp1/2RP1P2/PP2K3/8/3R4 w - -,f4g5
7k/p1r4p/1p3P2/4p1p1/q2b4/4N1P1/P3QPP1/4R1K1 b - -,a4c6
r4rk1/1pq1bppb/2p1p2p/p1npN3/5P2/PP1PP1P1/1BP1Q1BP/R4R1K b - -,f7f6
6k1/p4pb1/3q2p1/2N1pb1p/1P2P3/P1B3PP/5PQ1/6K1 b - -,d6d1
r2qk2r/1ppbbppp/p1np1n2/4p3/B3P3/2PP1N2/PP1N1PPP/R1BQK2R w KQkq -,e1g1
5R2/8/4b3/1p5K/1Br1kP1P/P7/8/8 w - -,h5g5
2r2rk1/p2b2pp/3q4/1p1ppP2/P7/1PnQNR2/2PN2PP/R5K1 w - -,d2c4
8/6pk/7p/4p3/P3Q3/q6P/6P1/7K b - -,h7h8
r1b2rk1/2p1ppbp/p5p1/1pnqP3/8/2BB1N1P/PPP1QPP1/R4RK1 w - -,a1d1
3q4/4b1kp/r4pp1/8/1p1BQ3/4P1P1/PP3P1P/2R3K1 w - -,e4b7
r1b1kb1r/pppp2pp/3q1p2/4n3/3B1P2/2PB3P/PP4P1/RN1QR1K1 b kq f3,f8e7
r1bqk2r/ppp3pp/2n5/3n4/1b2B3/2N1P1P1/PP2NP1P/R1BQK2R b KQkq -,c8e6
2rqkb1r/1p1nppp1/p1bp3p/8/P2QP3/2N1BN2/1PP2PPP/R3R1K1 b k -,e7e5
4r3/5kp1/2p1pb2/2qr1n1p/2Np1P2/BP6/P3Q1PP/R3R2K b - -,c5a7
3qk2r/1p4bp/p1p3n1/4p3/1P2P3/8/1BPN2PP/Q4RK1 w k -,d2c4
r2nnr1k/1q5p/3p1b2/1p1Pp3/1N2Ppb1/1R1B4/1B3PPN/1QR3K1 b - -,g4c8
r5k1/1b4bn/pp3qp1/2nPrp2/PNp4p/2N2B1P/1P1QRBP1/5RK1 w - -,e2e5
5k2/5p2/p4bp1/8/3B2P1/PP6/4B3/K7 b - -,f6d4
3r4/R6p/4p1p1/6k1/3r4/1P3RP1/P4P1P/6K1 w - -,a7h7
1kq5/2p1n3/ppP2n1p/3Pp1bP/1BQ1Pp2/8/PP3P2/2KN4 w - -,b4e7
3r3r/ppnkbp2/2p1p3/3pPp1p/3P1P2/2P2NPP/PP3B2/1K4RR b - -,d8g8
r1bqk2r/pp4pp/2nb1n2/1B1pp1B1/7Q/2P2N2/PP3PPP/RN3RK1 b kq -,e8g8
3r4/3k4/6R1/7p/4KP2/8/8/8 b - -,d8h8
1r1qk2r/p1nbppbp/1pn3p1/2p5/Q3NB2/3P1NP1/PP2PPBP/1R3RK1 b k -,b8c8
2R5/5pkp/6p1/2b5/1rr1PP2/2N3PP/1P3RK1/8 w - -,f2e2
5rk1/p4qp1/4p1n1/1P6/4BP2/6K1/P7/2Q4R w - -,c1e3
5k2/1R6/3PKp2/2p1pP2/1p2P3/1r6/8/8 b - -,b3a3
2rq1rk1/pp1bppb1/3p1npp/4n1N1/2P1P3/1PN3P1/P3QPBP/R1B1R1K1 w - -,g5f3
