5k2/8/6p1/5pP1/1R3P2/5r1p/7K/8 b - -,f8f7
6r1/4k3/4Np2/3N1Ppp/7P/5KP1/8/8 b - -,e7f7
3rk2r/pp3ppp/2p1pn2/3q3b/8/1P1P1PP1/P1P1N1BP/R2Q1RK1 b k -,e8g8
r1b1r1k1/1p2bp1p/p1pp2pq/4n3/2P2NnP/1P2PNP1/PBQ2PB1/R3R1K1 w - -,a1d1
8/1pp3kp/1p4p1/4n3/8/2PR2PP/r7/5K2 w - -,d3e3
8/5b1p/p1k3n1/5p2/1BPK4/P4PP1/2B4P/8 w - -,c2f5
6k1/4R1p1/3pp2p/7P/8/6P1/5PK1/4r3 w - -,f2f4
8/3k4/3bp3/p6P/2P3Q1/1P2K3/8/5r2 b - -,f1b1
1r1qnrk1/1b1nppbp/p2p2p1/P1pPP3/5B2/2p2NP1/1P1Q1PBP/R2NR1K1 w - -,b2c3
r1b2rk1/ppp3bp/3q2p1/3n1pN1/2QP1P2/1P4N1/P2B2PP/2R2RK1 b - -,c8e6
4r1k1/2p3pp/2nq2b1/1pN5/1P6/3B3P/1P3PP1/R2Q2K1 b - -,g6d3
r4rk1/pp3pp1/1bn1N2p/8/3p1B2/P2BP3/1P3PPP/2R2RK1 b - -,f7e6
8/4b1p1/2bk1p2/1p2pPP1/1P2P3/2B2K2/2B5/8 w - -,g5f6
1rr3k1/p6p/3pp1p1/P2n1pq1/1p1P3P/1N3P2/1PP2P2/R1R3K1 w - -,h4g5
8/8/8/6p1/4K3/6r1/4Q3/7k w - -,e2f2
3rr1k1/4qp2/4p1pQ/2P1R3/1P1p4/8/5PP1/4R1K1 w - -,b4b5
8/1kqQ4/2pnPB2/1p1p1p1b/pP3P2/P3P2P/6BK/8 b - -,d6c4
r1bqr1k1/pp2bpnp/2p3p1/3pN1B1/3PnPP1/2NBP2P/PPQ5/R4RK1 w - -,c3e4
6k1/3R2p1/pp5p/2b5/5rp1/2P5/P3RP1P/6K1 b - -,f4f3
r4rk1/p4ppp/8/1p6/4QN1q/1B1n3P/PP3PP1/R3R1K1 b - -,d3f4
r1b1kb1r/2ppqppp/1np5/p3P3/2P5/1P6/P2NQPPP/R1B1KB1R b KQkq -,a5a4
2r5/1p6/3p1k2/P2P2p1/2PN1p2/5P2/6K1/8 w - -,d4b5
2r5/1p3ppp/p3k3/4p3/Pr1pP2P/R4PP1/1PP4R/2K5 w - -,h2d2
8/pr6/1k6/1pp1p3/8/1BP2nN1/PP3PK1/8 w - -,g2f3
6k1/1q3pbp/4p1p1/1pPp4/1P6/1P1Q2PP/1r2BP2/1R4K1 b - -,b2b1
r5b1/p5k1/3B2Pb/1ppP3P/2P1p3/5r2/PPK5/6RR b - -,e4e3
2b3rk/4n1rp/pp1b4/4p3/1P1pB2N/PN4P1/5P1P/3RR1K1 w - -,d1c1
4rr1k/pppb2bp/3q1n2/2pP4/2P1P1p1/2NB4/PPQ2N1P/1K2R1R1 w - -,f2d1
1qr1r1k1/1b3pb1/pp2pnp1/7p/2Pp1P2/1PN1N3/P2B1QPP/1BR1R2K b - -,d4e3
8/2n2p2/p2k1Pp1/8/P3p3/1N6/3K1P1P/8 w - -,d2e3
1r6/1P6/2K5/6k1/3N1pb1/8/8/6R1 b - -,g5h4
2r2b1r/1b1k1p2/p3pP2/q1npP2p/1p1N4/3BB3/PPP1Q2P/1KR3R1 b - -,a5c7
r3rbk1/2p2pp1/p1nq1n1p/1p1bp3/8/2PP1NNP/PPB2PP1/R1BQR1K1 w - -,c1e3
r7/1p3pkp/2p3p1/8/1PP5/3n2P1/5PBP/1R4K1 b - -,a8a4
4r1k1/pp4p1/1b3p1p/3P1q1b/1PP5/4p1QP/1B3PP1/R3R1K1 w - -,f2e3
rn1qkb1r/pp2pppp/2p5/3pP3/3P2b1/2P2N2/P1P2PPP/R1BQKB1R w KQkq -,h2h3
r4rk1/1ppqbppp/3p4/p2P4/P1n2Pb1/1N4P1/1PPQ2BP/R1B2RK1 w - -,d2d3
r1b1r1k1/2p2p1p/2NP1bpB/Np1n4/2p5/2P5/1P3PPP/3R1RK1 b - -,c8e6
r5k1/1q1nppbp/n2p2p1/P1pP4/1rN1P3/2N5/1P1BQPPP/R4RK1 b - -,b4b3
r2r2k1/pp3pp1/7p/2Rnp3/1P6/P2PB1P1/5PKP/5R2 w - -,g2f3
r1bqkb1r/1p1nppp1/p4n1p/2pp4/3P1B2/2N2NP1/PPP1PPBP/R2QK2R b KQkq -,e7e6
5nk1/ppbq1ppp/2p1pn2/8/1PP2P2/P1B2NPP/1Q3PB1/6K1 b - -,d7d8
8/K7/8/7p/1k5q/3Q4/8/8 w - -,d3d2
7k/4r2p/4p2q/1pP1Rp1P/p2P1Pr1/P4Q2/1P2K2R/8 b - -,e7g7
r1b1qr1k/pp4pp/2pp1np1/4p1B1/1b2PP2/1BNP4/PPP3PP/R2Q1RK1 w - -,g5f6
1r1r3k/1p4pp/pQ2Bb2/7q/3p1P2/1RP5/1P5P/5R1K w - -,c3c4
r1br2k1/1nq1bppp/3p4/pp1Pp3/2p1P1n1/2P4P/PPB2PP1/R1BQRNK1 w - -,h3g4
8/1p4k1/p2R4/4p3/4p1qr/P1P1BrN1/1P3P2/3QK3 w - -,d6d7
2b1r1k1/1pq1bppp/3p2n1/Q2Pp3/1PP2n2/1N2BN2/5PPP/4RBK1 b - -,c7d7
r1r2bk1/3n2pp/p2p2p1/3PpP2/Pp6/4BQ2/1PqN3P/R4R1K w - -,d2e4
8/2rk4/4ppp1/1R6/1P1rp3/6K1/5PP1/2R5 w - -,c1a1
r2q1rk1/5pp1/b1pbpn1p/p3N3/2PP4/3B4/PB2QPPP/1R3RK1 b - -,d8c7
3qrn1k/pp4pp/2p1p1r1/3n3N/3P4/1B3Q1P/PP3PP1/3RR1K1 b - -,d8g5
8/pp3R2/1kp5/8/3Pr1P1/8/PPPK4/8 w - -,g4g5
5rk1/ppq3p1/2n1p2p/3p4/3P4/2BB1N2/PP3PPP/2R1R1K1 b - -,c7f4
8/4rk1p/2n3p1/ppp3P1/5P1P/1P6/P2R1K2/5B2 w - -,d2d5
r1bqrnk1/pp3p1p/2p3p1/2PpB3/1P6/2N1P2P/P1B2PP1/R2Q1RK1 b - -,e8e5
8/pp2r2k/7p/1P1R4/8/8/1r5P/3R3K b - -,h7g7
6k1/3nqp1p/p2p2p1/3P4/bPN2QP1/5B1P/5PK1/8 b - -,d7e5
r1br2k1/pp2ppbp/2n2np1/2p3B1/4P3/2N2N2/PPP1BPPP/3R1RK1 b - -,c8e6
8/6n1/5p2/2k1n3/3N1N1p/4KP2/6P1/8 w - -,e3e4
8/3N4/5R2/7p/4k2K/8/2r5/8 w - -,h4h5
8/5pkp/1p6/1P2PnP1/1P1P4/4p3/p2r4/B1R1K3 b - -,f5h4
2b1rrk1/p2q2bp/1pn2np1/2p5/3p1PP1/P2P1NBP/1P1QR1B1/4RNK1 b - -,h7h6
r1bqr1k1/pp2ppbp/2n3p1/2pn4/8/1P1PPN2/PB2BPPP/RN1Q1RK1 w - -,b2g7
r3kb1r/p1p1qp1p/b1pp2p1/3nP3/2P5/BP6/P3QPPP/RN2KB1R w KQkq -,e5d6
2rr2k1/p2bppbp/1pn3p1/q1p5/2BPP3/2P1BP2/PQ2N1PP/2RR3K b - -,e7e6
r3r1k1/1p1n1pbp/p2q2p1/3p1P2/3p2PQ/2Pb4/PP1BNR1P/R2B2K1 b - -,d6b6
r1b2r2/pp2qpbk/2pp2pp/2nP4/2P1PQP1/2N2N1P/PP2BP2/R4RK1 w - -,f1e1
r1b1r1k1/1p1nqpbp/p2p2p1/2pP3n/P3P3/2NB1N1P/1P3PPB/R2QR1K1 b - -,d7e5:e7f8
4r3/p1Q1q1kp/1p1pPnp1/4p3/1P6/7B/P4PPP/2R3K1 w - -,g2g3
8/8/6b1/pp2k3/2p2p2/P1P2PpB/1P2KbP1/4N3 b - -,e5d5
r2q1r1k/ppnbp1bp/2pp2p1/5p2/2PPn3/Q1N1BNP1/PP2PPBP/1R1R2K1 w - -,b1c1
r1bqkbnr/pp2pp1p/2np2p1/8/2B1P3/2P2N2/PP3PPP/RNBQ1RK1 b kq -,f8g7
r2q1rk1/pb3pp1/1pn2n1p/3p4/1b6/1BN2N2/PP2QPPP/R1BR2K1 w - -,c3d5
r2qkbnr/ppp2p1p/2npp1p1/8/3PP3/2PB1b1P/PP3PP1/RNBQK2R w KQkq -,d1f3
5rk1/4bpp1/1p1r2b1/p3p3/P3Pq1p/1N5P/1PP1BPP1/R3RQK1 w - -,e2g4
r3r3/2n3kp/1p1ppqp1/p4p2/2PP1P2/PP3N2/3QR1PP/4R1K1 b - -,h7h6
r1r5/1p2p1kp/p2pbpp1/2n5/PqP1PP2/1PN5/2Q1B1PP/R4R1K w - -,a1b1
8/p3r1p1/R7/5Pp1/2pk2K1/8/P5P1/8 b - -,c4c3
7r/p1p1rbkp/3pqpp1/2p5/2P1PP2/2QB2R1/PP4PP/4R1K1 w - -,h2h3
8/6kp/1qB5/5pQ1/8/Pr4P1/4rPKP/8 b - -,g7f7
8/6k1/7p/pp4p1/3P2n1/1BP3P1/5K1P/8 w - -,f2e2
8/5p2/1p1k2pp/3P4/2P1K1PP/p7/P7/8 w - -,h4h5
r1r3k1/5qpp/8/p1PQ4/2P2p2/PP2p3/2K2bPP/2B2B1R w - -,c5c6
rn3rk1/pbq2pbp/1p2p1p1/2pP4/4P3/2P1BN2/P2QBPPP/2R2RK1 b - -,e6d5
4k1nr/5p2/p3p3/2qp2P1/P1n5/8/4QNB1/1R2R1K1 b k -,c5d6
1r1k4/1Pn3p1/3r1p2/4pB2/6P1/2RPP2P/7K/1R6 b - -,g7g6
3rn1k1/p1qr1p1p/2p3P1/Pp1p4/1P2P3/2QR2NP/2P3P1/3R2K1 b - -,h7g6
rr4k1/pN1n1p2/B1p2b1p/2Pp2p1/3PbPPP/R3K3/1P5R/2B5 w - g6,h4g5
r2n3k/ppp3pp/3pq3/1Q2p3/4Pr2/2B2P2/PPP3PP/1K1RR3 b - -,f4f8
5b2/3n3p/4k1p1/4pp2/1PN5/P3B2P/5PP1/5K2 b - -,f5f4
r1bqr1k1/ppp2ppp/2np1n2/4p3/2P5/2P2NP1/P2PPPBP/1RBQ1RK1 w - -,d2d3
5k2/1p3p2/8/3q4/r7/8/3K4/8 w - -,d2e1
2b3rk/1pp3r1/p2p1q1p/N1PPp3/1P2P3/5Pp1/P1R1R1P1/3Q2K1 w - -,g1f1
r5k1/5ppp/1p6/2p5/3n4/1P1P4/1P1K1PPP/3B3R w - -,h1e1
r3kb1r/5np1/p1ppq3/1p3R2/3QP3/1P2B3/1PP3P1/RN4K1 b kq -,f7e5
r3nrk1/pp1nq1pp/2pp1bb1/5p2/2P1PN2/2N1B1PP/PP1Q1PB1/3R1RK1 w - -,e4f5
rnbqkbnr/pppp1p1p/6p1/3PP3/8/P1N5/1PP2PPP/R1BQKB1R w KQkq -,d5d6
2kr1b1r/3n1ppp/1pp1p3/8/3P1PP1/PbN2R1B/1P3B1P/4R1K1 b - -,h7h5
2rq1rk1/p3ppbp/1p4p1/1Q1b4/2pn1B2/6P1/P3PPBP/2RR1NK1 w - -,d1d4
1r1b2k1/3b1ppp/p2p4/1p1Pp3/4P3/5P2/PPrBB1PP/1R1R2K1 w - -,e2d3
8/8/1P1R4/4k1p1/4p3/1r6/5KPP/8 w - -,d6c6
3r1rk1/1p2p1b1/pNnpp2p/6nB/4P2R/2P2PB1/1P4P1/1K1R4 w - -,g3f4
7k/1p6/p5pP/4p1P1/2p5/5b2/PPP2N2/2K5 w - -,c1d2
8/3p4/p2kp3/1p5p/2p3r1/2P2K2/PPP3pB/4R3 b - -,d6c6
r1b2rk1/pp3ppp/4pq2/P7/1PB5/5N2/5PPP/Q4RK1 w - -,f3e5
2q1n1k1/1r3pbp/3p1np1/BNpP4/2P5/4R2P/1P2BPP1/1Q4K1 b - -,g7h6
2n5/8/3p4/1k1Pp1P1/4P3/5BPK/2b5/8 w - -,h3g4
2q1rnk1/1p2bpp1/p1p4p/4B3/1PQ5/4P1P1/P1B2P1P/3R2K1 w - -,c4c3
7r/1pr5/3ppp2/p3k1p1/2P1PnR1/PP3P2/3R3P/5B1K w - -,b3b4
1k1r4/1pp4p/p1b5/P1q1p3/2P4P/3P3K/1P2QBr1/R4R2 b - -,c5e7
1r2r1k1/p4ppp/q3n3/2pR4/4P3/1PQ2B2/P1P2PPP/1K1R4 b - -,c5c4
6k1/p5pp/1p2p3/3rP3/P1n2B2/2P3PK/7P/5R2 b - -,d5d3
r1r3k1/pp2nppp/1q2p3/2Np4/3P4/P7/1PP1QPPP/R4RK1 b - -,b6b2
rn2k2r/pb1p1p1p/1p2p1qb/8/3PP2p/1N2PQ1N/PPP2KPP/R4B1R w kq -,f1d3
rq1r2k1/p2n1bpp/1p2pp2/2p5/2PP4/1Q3NNP/PP3PP1/2R1R1K1 w - -,b3e3
3rr1k1/1bq3bp/1p2ppp1/p2p4/3Pn2P/2PNQNP1/PP3PB1/3RR1K1 b - -,e4d6
8/N6b/8/1p6/1P1k4/3p4/3K4/8 w - -,a7b5
r1bq1rk1/pp1n2pp/2p1p3/2Pp1pb1/3PnB2/P1N1P1PP/1PQ1NP2/R3KB1R w KQ -,f4d6
8/4k2p/7P/p2PP1p1/2Bn1pP1/2b5/5BK1/8 b - -,a5a4
r3n1k1/p7/2p1p3/3PPp2/6p1/4P1Pp/P2N1P1P/1R3K2 b - -,c6d5
r4rk1/1pqnp1n1/p2p1b1p/2pP1p2/P1P1PP2/5B1P/1PQ1N2B/3R2RK b - -,b7b5
6b1/1pk3p1/p7/4p2p/5p2/1P3PP1/P1PrNK1P/2R5 b - -,g7g5
r4rk1/1bqnbppp/1p1ppn2/pPp5/2P5/P1NP1NP1/3BPPBP/1R1Q1RK1 w - -,a3a4
8/5pkp/5n2/4q3/3R1Q2/5BP1/P3PPK1/1r6 b - -,e5c5
6k1/5p2/1p1r3p/p3p1pQ/3bq3/P3RNP1/2r2PPK/3R4 b - -,e4f5
7R/P3k3/5p2/8/6P1/4K3/r7/8 b - -,a2a3
r4rk1/2q2pp1/p3pn1p/1pb5/8/1QNN2P1/PP2PPKP/R2R4 w - -,a1c1
r4rk1/4b1pp/qp2p3/p4n2/3pNP2/PP1P1RP1/1Q1B2KP/1R6 b - -,f8c8
3b2k1/5pp1/qp5p/3p1b2/3PnB2/1R2P2P/1Q3PP1/rN3BK1 b - -,a6a5
8/8/6k1/2B5/1pK5/2b5/P7/8 b - -,g6f7
1b6/5pkp/4p1p1/3p4/p2R4/P6P/5PP1/6K1 w - -,d4a4
r2q1rk1/1ppbppb1/1n4pp/pB1P4/Pn2P2P/1QN1B3/1P3PPN/R2R2K1 b - -,b6c8
5rk1/3n1pp1/2q1pn2/r2p4/1bpP1P2/2N2QP1/1P1B2KP/1BR1R3 w - -,g3g4
4R3/8/8/P7/4p3/1P3kr1/1KP5/8 b - -,e4e3
8/1p2ppkp/3p1np1/q1r5/2P1P2P/1P2QB2/5PP1/3R2K1 w - -,g2g4
1k1r3r/ppqnnpp1/2pbp2p/3p3P/3P1PP1/2P1B3/PP1QNPB1/R3K2R b KQ -,f7f6
r6k/pp4p1/1nb2r1p/8/6Q1/1BN1q3/PP4PP/1K1R3R b - -,a8e8
6k1/1b2bp1p/4p1p1/3qP3/1p1p1P2/3B3P/1P3BP1/5Q1K w - -,f2g1
8/4kp2/6p1/4P3/1p2BPP1/1P4K1/3bb1N1/8 w - -,e4f3
r2q1rk1/p3bppp/1p1ppn2/8/2P2B2/2NQ2P1/PP2PPKP/R4R2 w - -,f1d1
r2r2k1/ppqnbppp/2p1pnb1/8/2NP4/4PNP1/PP2QPBP/R1B1R1K1 w - -,c1d2
2r2rk1/1bq2ppp/pp1ppb2/8/2n1PP2/PnN2B2/1P2QBPP/1N1R1RK1 w - -,e4e5
1n3b2/1p4k1/pP2p1p1/P1p1P1Bp/2P1K2P/3N2P1/8/8 w - -,d3c1
8/4b3/2k1N1p1/1Pp1Pp1p/K4P1P/P5P1/8/8 b - -,c6b6
8/4k3/5n2/6Pp/5B2/1B1K1P1P/8/b7 b - -,f6d7
r4k2/4Rp2/5R2/5p2/7P/8/5PPK/8 b - -,f8e7
6k1/p2P1p2/6p1/1p6/4PQ2/1b6/P1K2PP1/q7 w - -,a2b3
rnbqnrk1/pp2bp1p/3p2p1/2pPp3/2P1P1P1/2NBBPN1/PPKQ3P/R6R w - -,h2h4
8/1R3pk1/1p4p1/1QbKp2p/4P3/1p3qPP/5P2/8 b - -,f3d1
2rr2k1/2q1bpp1/p2pp2p/8/2P1n3/4PNP1/PR3PBP/B2Q2K1 w - -,b2c2
r1bq1b2/1p3kpQ/p3pr1p/8/P1R5/3B1N2/1P3PPP/2R3K1 w - -,f3e5
4q1k1/7p/4pbp1/1pp2p2/5P2/1P1QPNP1/2P4P/6K1 w - -,d3d6
3Rr1k1/1pp2qbp/p3b1p1/5pP1/P1P1pP2/4B2P/1PQ5/R4BK1 b - -,e8d8
r3kb1r/pp1q1p1n/2np4/3NpNPp/4P2p/8/PPP2P1P/R2QK2R w KQkq -,d1h5
rq1rb1k1/pp2npp1/2n1p2p/1N1p4/3PP3/P2B1N2/1P2QPPP/2R2RK1 b - -,d5e4
rqb2rk1/4b2p/2p1p1p1/p2pP2n/NP6/P1B3P1/2B2P1P/R2Q1RK1 b - -,a5b4
1rbr1k2/1p1n1p2/pN1Rpp1p/8/1P6/6P1/P3PPBP/R5K1 b - -,f8e7
r4k2/pppqbr2/5pQp/1P1PpPp1/3p4/3P2PP/P4PBK/R4R2 w - -,g2e4
1rbn1r1k/1pq1bppp/p2p2n1/P1pP4/4P3/1Q1BBN2/1P1N1PPP/R1R3K1 b - -,b7b5
3r3k/pp1P1qp1/2p4p/2P5/1P1Q4/P5P1/7P/3R2K1 b - -,f7e6
8/p5k1/1p6/2n3Bp/P1p2K1P/2P3P1/1P1nr3/1B1R4 b - -,d2b1
8/2n1k1p1/p2N1p1p/1p2pP2/4P3/PP2K1P1/7P/8 w - -,d6b7
1b1r4/4qpkp/2Rp2p1/r3PQ1P/3P2R1/2PB4/5PK1/8 w - -,d3c4
r1b1k2r/p1pp1pbp/2p1q1p1/2PnP3/4Q3/2NB4/PP3PPP/R1B1K2R w KQkq -,f2f4
r3r1k1/2q1bpnp/p1b1p1p1/1p2P3/P1pPN1P1/2P1BP2/2B1Q2P/RR4K1 b - -,c7d8
r2qbrk1/1p2bpp1/p3pn1p/4N3/2PQ4/2N1B3/PP3PPP/R4RK1 w - -,d4d8
r1b4r/1p1nkpp1/1bpp2p1/p3p3/P3P3/1B1P4/1PPBNPPP/4RRK1 w - -,c2c3
r1bq1rk1/pp2ppbp/2np1np1/8/2P1P3/2NQ1N1P/PP2BPP1/R1B2RK1 b - -,f6d7
2r1k2r/3bbpp1/p2p3p/3P1q2/3p4/B7/P2Q1PPP/2R1R1K1 w k -,c1c8
5rk1/1b2p1bp/pq1p2p1/3Pn3/1P2NP2/7P/3BB1P1/2Q2RK1 w - -,g1h1
r2q1rk1/pp4pp/2pp4/3Np1b1/2PnP1B1/3Q4/PP3PPP/R3K2R w KQ -,d5c3
4rr1k/3b2pp/p3p3/8/2RP4/P3B2P/5PP1/1R4K1 b - -,d7b5
8/1pk2pq1/p3p2p/5p1Q/P4P2/1P4P1/2P4P/1K6 w - -,h5e2
r2qkb1r/pppnpppp/5n2/3p1b2/8/1P2PN2/PBPP1PPP/RN1QKB1R w KQkq -,f1b5:d2d4:d2d3:c2c4
r3r1k1/p2nq1pp/Ppp1b3/3p4/1PP1BP2/2Q4P/3B2P1/R4RK1 w - -,c4d5
8/3k1p1p/2bPp1p1/p4rP1/2P1pP1P/P1K5/4B3/3R4 w - -,d1f1
6k1/3bbppp/pq1p4/4p3/4P3/1B3N1P/PPQ2PP1/6K1 w - -,b3d5
1r4k1/5pp1/4p1p1/p1Rr2q1/Pp1P4/4P1P1/1P3Q1P/2R3K1 w - -,f2f4
7r/r3Pp2/3p1Pp1/k1p5/p1P5/Rp1P2KP/1P2R3/8 b - -,a7a8
r4rk1/pp3ppp/4p1b1/8/P1NpP3/8/RPn2KPP/2B2B1R b - -,g6e4
r1b1k2r/pp4pp/1qn1pn2/1Bb1N3/2p2B2/2N5/PP3PPP/R2Q1RK1 b kq -,e8g8
r1b2r2/p2ppnkp/6q1/1p1N1p1Q/3P3P/5N2/PPP2P2/R3K1R1 w Q -,e1c1
r2q1rk1/p1n3b1/1n1p1p1p/1PpP1Pp1/P3B1b1/2N2N1P/1P2Q1P1/R1B2RK1 b - -,g4f3
8/3R3p/6p1/1KP2p2/5P2/5kP1/2r5/8 w - -,d7d3:d7h7
8/3r2k1/4RR2/7p/2P1p2P/6P1/1P4K1/4r3 b - -,d7d2
2r5/5pB1/3Rp1k1/1b4P1/p3PP2/P3K3/8/8 w - -,g7d4
2kr3r/pppq1pp1/2npb2p/8/3b3P/2P1B3/PPPQBPP1/1K1R3R w - -,e3d4
3q1rk1/1br1ppb1/pN1p1npp/P7/1QpNP3/4BP2/1PP3PP/R4RK1 b - -,c4c3
r2q1rk1/pb2ppbp/1p3np1/3pn3/2PP4/2NBB2P/PP3PP1/R2Q1RK1 w - -,d4e5
8/1pb2k2/2b5/7P/p2B4/2PN4/1P3PP1/6K1 w - -,d3e5
k7/8/8/PK6/1Q5P/1q6/8/8 b - -,b3d5
6k1/p4pb1/4p2p/8/qQpP1BP1/P3PP2/8/2K5 b - -,a4c6
1r1r2k1/4b1pp/pp1n4/n1pPN2b/8/N5P1/PB1R1PBP/2R3K1 b - -,e7f6
2r2r1k/p1q1p1bp/4bppn/1pp1PP2/4B1P1/P4R1P/1PP1N3/R3Q1BK b - -,g6f5
2r2bk1/5p1p/p5p1/1p6/4R3/1N5P/PPP2PP1/6K1 b - -,c8c2
r3r1k1/ppp2N2/2np2p1/5b1n/7q/1PQ1B2P/P1P3BK/4RR2 w - -,c3h8
3r1rk1/p4ppp/8/1Rb5/3qP3/3nQPP1/P2B3P/3BK2R w K -,e1f1
rnq2rk1/1b2ppbp/p2p1npB/1p5P/3NP3/2N2P2/PPPQ2P1/R3KB1R w KQ -,d4f5
3rkbnr/1p2pppp/p1n5/2P5/6b1/2P2N2/PP2BPPP/RNBK3R w k -,d1e1
4k2r/1r1qppbp/pB1p1np1/3P1P2/1R6/2P2P2/PP3Q1P/1K3BR1 b k -,g6g5
1r3rk1/1p1q1pbb/pQn1p2p/2Np2p1/P2P1n2/2P2N1P/1P3PPB/R3RBK1 b - -,d7c8
