8/R7/4k3/p1p5/3nB2N/r2P2P1/7P/7K b - -,a3a2
r3k2r/ppp1qppp/5n2/6P1/2B1bP2/2P4P/P7/R1BQ1RK1 w kq -,g5f6
8/8/8/6r1/8/7K/R3bk2/8 w - -,a2a4
rnbq1rk1/1p3pbn/p2p2p1/2pP3p/P3PN2/2N1BP2/1P1Q2PP/R3KB1R b KQ -,b8d7
r5k1/3r2pp/q3bp2/4p3/np2N3/b2P1NP1/2Q1PPBP/1R1R2K1 w - -,f3d2
1r6/3pk1pp/2nNpp2/1p6/4PP2/1P4PP/P5K1/3R4 w - -,d1d2
r1b1k2r/1p2q1pp/pn1p1p2/2p1pP2/P1BnP3/2NP1N2/1PPQ2PP/R4RK1 w kq -,a4a5
rnb2r1k/5pbp/p2p1q2/2pPpN2/2P1P3/1RN3PQ/P2B1P1K/4R3 b - -,b8d7
5r2/8/8/3Bp1p1/6K1/4kPP1/8/8 w - -,d5c6
1q3r2/3RRpk1/6p1/1pr1p1Qp/2p1P3/2P4P/1P3PP1/6K1 b - -,b8c8
5rk1/ppp2p1p/2n2P1P/3B3b/4p3/2Q1P1P1/PPP3q1/2K1R1N1 w - -,d5c6
r2q2nr/1bpn1kb1/pp1pp1pp/8/P1BPPP2/2N1B3/1PP3PP/R2Q1RK1 b - f3,g8f6
4r1k1/2p3pp/1n6/R2p4/1b6/1P1QBrPq/2B2P1P/4R1K1 w - -,a5a1
1q1r4/1b3rbk/p1np2pp/P2Npp2/2P1P2Q/1N2BP2/2P3PP/1R1R2K1 w - -,c4c5
r2q1rk1/1b1nbppp/ppp1pn2/3p2B1/P1PP4/1QNBPN2/1P3PPP/R4RK1 w - -,c4c5
8/p4Nbk/6p1/P4p1p/1r5P/5RP1/5PK1/8 b - -,g7d4
2B2n2/4bk1p/5p2/5P1p/b1R1P3/2B2KP1/2r5/8 b - -,f8d7
8/4k2p/p3n1p1/2P1p3/BP3p2/3K2P1/5PbP/3N4 w - -,d1c3
r1b1r1k1/pp2qpp1/2p2n1p/P7/2NPp3/1BNnP3/1P3PPP/1Q1RR1K1 w - -,e1f1
r2qk2r/1b1nbppp/p2ppn2/1p4B1/3NP3/P1NB4/1PPQ1PPP/R3K2R w KQkq -,e1g1
8/6kp/1q3p2/p2Q4/1p1n1PB1/1P1P2PK/P2R1R1P/2r1r3 w - -,g4h5
5k2/5p2/2R2pp1/p3p3/P3P3/2P2P2/5KPP/1r6 b - -,b1a1
r2q1rk1/pp2ppbp/2n2np1/3p1b2/3P1B2/2P2N1P/PP1N1PP1/R2QKB1R w KQ -,f1e2
r3r1k1/p3Bpbp/1pN1pnp1/6q1/3Pp3/4P2P/PPQ2PP1/R1R3K1 b - -,g5f5
6k1/2q2p2/pp2p1p1/4n2p/r1PQ1P1P/4P1P1/6B1/3R2K1 b - f3,e5g4
r1b1kb1r/ppq2ppp/2nPp3/8/3P4/2P2N2/P2B1PPP/R2QKB1R b KQkq -,f8d6
r4k2/2p1Rpp1/p6p/1qNP4/1PK5/2P3P1/1P3n2/4Q3 w - -,c4d4
5rk1/1bp3b1/pp3qpp/4p3/6P1/1PP2Pn1/P1RR2P1/1Q2N1K1 b - -,f6h4
r3k1r1/pbpqbp1p/1p2p3/5p2/3P4/3QPPN1/PPP1N1PP/2KR3R b q -,e8c8
1r1r2k1/1bq1bppp/p1n1p3/2P1P3/2p2PP1/P3B2P/5QB1/1R1N1RK1 w - -,d1c3
2r1r1k1/1p3pp1/p4n1p/4Q3/8/2P5/P1P2PPP/3R2K1 w - -,e5d4
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq -,b7b6:f8e7:f8b4:a7a6:d7d5:c7c6:b8c6:c7c5:h7h6
r3kn1r/pp4pp/4nb2/1P2N3/2B5/2P3P1/1P3PP1/R3K2R w KQkq -,e5g4
r1b1r1k1/1p1n1pbp/p1pp1np1/q3p3/P2PP3/2NBBN1P/1PPQ1PP1/R3R1K1 w - -,d3c4
3rbr1k/pQ4p1/2p4p/2P2p2/8/1B6/Pq3PPP/R3R1K1 w - -,b7a7
4r1k1/pnpp2p1/b5qp/2pPp2n/2P1P3/2BB1Q1N/P5PP/5RK1 w - -,f3f5
R7/6k1/8/1pr5/5KP1/p7/8/8 b - -,c5c4
1r3bk1/2p2pp1/p3bn1p/P1q5/B1pNPB2/1p5P/1PP1Q1P1/R4R1K b - -,c5d4
r3r1k1/pp3pbp/2p1bnp1/4p3/P3P3/2N1B2P/1PP1BPP1/R2R2K1 w - -,a4a5
8/8/4p3/4kpp1/B3n3/5KPP/8/8 w - -,a4c2
r7/5rkp/p3pqp1/1p1n4/5p2/PP1R4/5PPP/2QR2K1 w - -,c1c6
1r6/2rn1p1p/3kpp1B/2b5/1p6/1N4P1/1P2PP1P/R1R3K1 w - -,h6d2
rn5Q/pp2kp2/1q3bp1/3P2Bp/3N2nP/1N6/P3BPP1/5RK1 b - -,a7a5
rnbqk2r/pp2b1pp/2pp1n2/4pp2/2P1P3/2NP2P1/PP2NPBP/R1BQK2R b KQkq -,e8g8
2r3q1/kp1r1pb1/p3p3/2pn2P1/3pB1P1/P2P1R2/1PPB1Q2/1K3R2 b - -,c8c7
rn2k2r/pp2bppp/2pqp1b1/3nNP2/2B3P1/2N4P/PPPBQ3/2KRR3 b kq -,f7f6
2r1rbk1/1p3p1p/p3p1p1/n7/b2PPB2/P2B1P2/4NKPP/1RR5 w - -,b1b6
1n5k/6bp/1P1p4/P5p1/2B1Pp2/3p1P2/6PP/7K b - -,d3d2
8/3K4/8/p5Q1/1pq5/k7/P7/8 b - -,a5a4
r1bqr1k1/4bppp/2np4/2p1p3/Pp2P3/1P1P1NN1/BP2QPPP/2R1R1K1 w - -,h2h3
4r1k1/3br1p1/pp1p3p/2qPn3/4P1pP/2P3Q1/P2NBRP1/5R1K b - -,c5a5
8/5pk1/3R1n1p/6p1/1r6/5B1P/6PK/8 w - -,d6d3
r1bqr1k1/p1n2pbp/3p2p1/2pn4/1p3P2/3B1NN1/PPQB2PP/R3R1K1 b - -,c8g4
3r4/2b4p/1pB2pk1/p2P2p1/P7/4B1P1/1P2PPKP/8 w - -,e3d4
r1b2rk1/2Rn1ppp/p2bpn2/1p2N3/1P2P3/P7/1B1NBPPP/3R2K1 w - -,e5d7
8/3r3p/P7/2R3P1/7P/6K1/3p4/3k4 w - -,a6a7
3r2k1/4q1bp/1n1p2p1/p2Pp1P1/1p3rNP/P2R3B/1PP1Q3/1K1R4 w - -,d3b3
8/p6R/P4p2/R5NP/3P4/3qpk2/8/4K3 b - -,f6g5
r1bq1rk1/1pp3b1/2np1npp/4pp2/1pP5/P1NP1NP1/3BPPBP/1R1Q1RK1 w - -,a3b4
r3r1k1/pp1bbpp1/1q2pn1p/8/1PpPP2B/P1N4P/4NPP1/R2Q1RK1 w - -,e4e5
r4rk1/1pq1bppp/p1bppnn1/8/3NPB2/P1N4P/BP2QPP1/2RR2K1 w - -,f4e3
3qr2k/p5rp/Pp2B1p1/1PbP1p2/2Q5/2P2R1P/4R3/5K2 w - -,c4d3
1nrq1rk1/p3bppp/bp2pn2/3P4/4PP2/P1N1B3/1P1NB1PP/2RQ1RK1 b - -,e6d5
r2r2k1/qb1n2pp/p4p2/P1b1p3/1pB1P2B/1N6/1P2QPPP/2RR2K1 b - -,g8h8
q4rk1/4bppp/2np1n2/1R2p3/4P1b1/r1P1BN2/P1BNQPPP/3R2K1 w - -,c2b3
rnbqkbnr/pp3ppp/2p5/8/3pP3/5N2/PPP3PP/RNBQKB1R w KQkq -,f1c4
8/5pk1/7p/5Rp1/P5P1/r4P1P/6K1/8 w - -,a4a5
2R5/8/3r2p1/5p1p/5P1P/1pk3P1/4K3/8 b - -,c3b2
7R/1p1r4/p3pk1B/4np1P/P7/1nN2P2/1P3K2/8 b - -,b3d4
r2qk2r/pp1n1ppp/4p3/2bpP3/2p2Pb1/2P1B1P1/PP2P1BP/RN1Q1RK1 w kq -,e3d4
r1bq2k1/pp3p1p/2p2bp1/3p1n2/3P4/2PN2P1/PP2QPBP/R1B3K1 w - -,c1f4
4Q3/8/p7/3P2p1/1P2pp1k/P4q1P/1B2rP2/6K1 w - -,e8h8
2r3k1/3npp1p/6p1/3p4/8/P3P3/P1r2PPP/R1B2RK1 w - -,a3a4
5r2/3r1qkp/p1Q3p1/3nb3/1P2P1P1/P2RB2P/5P2/3RK3 b - -,d7d6
r3kb1r/1bqpnppp/p7/3P4/Pp6/3QBB2/1PP2PPP/R4RK1 b kq -,d7d6
8/1k6/1p6/1K6/2PNn3/4P3/PP6/8 w - -,d4e6
r3qrk1/pb2bppp/1p2p3/3pn3/N7/1Q4P1/PP2PPBP/2RRB1K1 w - -,a4c3
5b2/r3qk2/pQ1R1p1r/1p2P3/8/8/PPP3P1/1K1R4 b - -,f7g8
1r1q2k1/1r1nppbp/b2p2p1/P1pP4/4BP2/1P2N1PP/2Q1P2K/1RR1B3 b - -,g7d4
8/8/8/2k5/1p6/8/1R3K2/2rB4 b - -,c1d1
8/4k3/p1pN4/2P1p2p/PP3ppP/3b1PP1/5K2/8 w - -,a4a5
8/2p2p2/pp1k2p1/3P1b1p/P1PK1P1P/1BP3P1/8/8 w - -,b3d1
2r1r1k1/5p1p/p4b2/3PPb2/2N5/1B6/PP1R3K/4R3 b - -,c8c4
1R6/2p5/3pN1pk/p2P4/2P3Pp/4rpbP/6K1/8 w - -,g2g1
8/4k3/8/2pPP1pp/1pK4P/8/1P6/8 w - -,h4g5
r1bq1rk1/p1pnppbp/1p1p1np1/8/P2P4/5NP1/1PPNPPBP/R1BQ1RK1 w - -,f3e1
6k1/5pp1/7p/p4B2/n7/7P/1p3KP1/1Rr5 w - -,f2f3
5k2/6p1/4R2p/7P/r4P1K/6P1/8/8 w - -,e6e3
r1b1r1k1/1p3ppp/p1nq1n2/2bp4/8/1PNBPN1P/PB3PP1/R2Q1RK1 w - -,c3e2
2rrqbk1/p2b1p2/1pp1p1p1/4P2p/2RPBP2/1P3QP1/PB4KP/2R5 w - -,e4c6
r5k1/1bpnbppp/4pn2/3p4/1p1P4/1P3NP1/1BPNPPBP/R5K1 b - -,a8a1
8/3r2pp/1p2kn2/pP2p3/P2pP3/B4P2/6PP/2RR2K1 w - -,c1c6
3R3r/1p3pk1/p3qNp1/5pQn/8/8/PPP4P/1K6 w - -,d8h8
r2qr1k1/pb2bppp/1pnppn2/8/3P1B2/2PB1N1P/PP1NQPP1/R4RK1 w - -,a1d1
rnbqr1k1/pp3pp1/2pb1p1p/8/3P4/2PB4/PPQ1NPPP/R1B1K2R w KQ -,e1g1
2r1k2r/1bqnbppp/p2p4/3pP1P1/1p2P3/1N2B3/PPP2Q1P/1K1R1BR1 b k -,d7e5
8/8/1pk5/8/pPP5/P2KR1P1/8/5r2 w - -,d3d4
r1b2rk1/pp2qppp/1nn5/2b1p3/8/P4NP1/1PQBPPBP/RN3RK1 b - -,a7a6
r3kq1r/1ppb1pb1/3p1np1/p1nPp1Bp/2P1P2P/2N3N1/PP1QBPP1/2KR3R w kq -,c1b1
r4nk1/pp3ppp/1bQNr3/2n1P1P1/3p1P2/1P1B3P/P2B4/R4RK1 b - -,b7c6
2rq1rk1/pb2bppp/1p2nn2/6N1/1P6/P4NP1/3B1PBP/R2QR1K1 b - -,e6g5
r1bqk1nr/pp2ppbp/2p3p1/2p5/4P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq -,g8f6:c5c4:e7e5
5rk1/3bq2p/6pQ/4p1Pn/p1p5/2N2P2/PPP5/2KR3R w - -,c3d5
r4q1k/3Q3p/2Np1b2/2pPp3/4Pp2/P4P2/1P5P/6RK w - -,a3a4
2rq1rk1/1p2ppbp/1n1p2p1/pQnP4/P1P1P3/2P1NP2/4N1PP/R1B2RK1 b - -,c5d3
2r2rk1/2q3bp/p3p1N1/3p3n/1p1P4/4N2R/PPP1PP2/2K3QR b - -,h7g6
8/8/r4pk1/4p2p/1p2p3/1P1P2PP/2P1K3/5R2 w - -,d3e4
r1bq1rk1/pp2ppbp/1n4p1/4P3/3PQ3/5N2/PP2BPPP/R1B1K2R b KQ -,d8c7
2r3k1/1p2qrpp/p1b1p3/3pBp2/3P1P1b/PQRBP2P/1P3KP1/2R5 w - -,f2f1
8/5Q2/8/5k2/8/2P1pq2/1K6/8 b - -,f5g4
1n1r1r1k/q4ppp/4b3/8/2B1P3/1P2N1Q1/6PP/2RR3K b - -,e6c4
2r3k1/p5p1/1p2p3/n7/P5R1/3B1r2/2P2P1P/R5K1 w - -,a1e1
3rrbk1/R7/P2P3q/8/1pQpPp2/3P1Ppb/6B1/1R3NK1 b - -,h3e6
r1q2rk1/p1pbp1b1/p3p1Q1/3P3p/6n1/P1N3N1/1PP3PP/R1B2RK1 b - -,f8f1
8/kp6/b7/4Q3/2r1Bp2/8/4PK2/8 b - -,b7b5
8/1k3pp1/pP6/2P5/2N1nP2/2r5/3p3K/R7 w - -,c4a5
4r1k1/p1r4p/4pqp1/1b2Np2/2pP4/2P1R3/1P2QPPP/4R1K1 w - -,e5f3
r4rk1/p1R3p1/4p1N1/1p4Pp/7P/5PK1/P7/8 b - -,f8f7
r4rk1/1R3ppp/4p3/4B3/R7/3pbPP1/3NP1KP/8 w - -,a4a8
r2qk2r/pp2bppp/4p1bn/3pP3/6P1/3N4/PPPBBP1P/R2Q1RK1 w kq -,d3f4
3q1rk1/1b3pbp/2r3p1/4PP2/1pNp2P1/1P1P3P/R4QB1/5RK1 b - -,c6c7
8/8/4p3/8/1RKB4/k4r2/8/8 w - -,b4b1
r3r1k1/N5bp/1p4p1/2nn4/4p1PN/2P4P/PB2P3/R4RK1 w - -,a7b5
r4rk1/1p3pp1/p1nqpnp1/3p4/3P4/2NNPP2/PP4PP/2RQ1RK1 b - -,e6e5
4r3/R5pk/7p/3p1KP1/2n5/p5B1/8/8 b - -,h6g5
8/8/k1K5/7p/5pp1/4p1P1/7P/6B1 b - -,e3e2
6k1/pp3pbp/2p3p1/6B1/2nP4/1RP5/P4PPP/4rBK1 w - -,b3b7
8/2R5/3Bb3/4P3/p2k4/7r/K7/8 w - -,a2a1
r3q3/pp1b2bk/4p1pp/3pPr2/3P1P2/2N1B1R1/PP4QP/R5K1 w - -,g1h1
1rbq1rk1/2pnppbp/3p1npB/1p6/3PP3/2N2P2/PP1QN1PP/R3KB1R w KQ -,e2g3
2r5/2p5/4k1pp/5p2/1pP5/2P1KP2/P2R2PP/8 b - -,b4c3
r4r1k/1q4p1/p5Np/1pp1pQ2/6P1/7P/PP3P2/3RR1K1 b - -,h8g8
2r1k1r1/pb3p2/1p1Pp3/5n2/1R3P2/P1p5/2P3PP/2B1KB1R b K -,f5d6
8/R4p2/6k1/6p1/1p2p3/1P3nPP/P2r1BK1/8 w - -,g3g4
5r2/pp2r1k1/2p1P1p1/4R1N1/1P6/P4R2/5K2/8 w - -,f3f8
r3nrk1/pp1nqpp1/2pbp3/3p3b/2P5/1PNPPN1P/PB1Q1PB1/R4RK1 w - -,c3e2
8/5pk1/p6p/8/2b5/4R3/6PP/7K b - -,g7g6
r1bqr1k1/1p3ppp/2pb1nn1/3pp3/pP2P3/P2P1NPP/1BPN1PB1/R2QR1K1 b - -,h7h5
n1r2rk1/1p1b1pbn/p2p2p1/q2Pp1Bp/P3P2P/1PNB1P2/3QN1P1/R4RK1 w - -,b3b4
3k4/3P4/pp6/2p5/4q1pP/P2R1rK1/1P1R1PN1/8 w - -,d3f3
r1b2rk1/pp3pbp/2n2np1/3pp1N1/8/1P4P1/PBPNPPBP/R4RK1 b - -,c6d4
r1b2qk1/6pp/p1n1pr2/1pnpN3/5P2/2NB4/PPP2QPP/4RRK1 b - -,c6e5
k6r/1p3p2/p7/3Pp3/7P/PPpB4/K1P5/8 w - -,b3b4
r2q1r1k/pp4pp/1bnP1p2/2p5/5Bb1/1Q3NP1/PP3PBP/4RRK1 w - -,h2h3
8/5pk1/4p1p1/1p1p4/2rP2PP/1RP1R1K1/2r2P2/8 w - -,e3d3
3r1rk1/1b2b1pp/ppqpp3/5P1n/2P5/1PN1B1QP/P4PP1/1BRR2K1 w - -,g3h2
r5k1/3b1npp/1qp1p3/3pBp2/P2P1PP1/b3P2N/P1R3BP/3Q2K1 b - -,f5g4
r2qkbnr/ppp1ppp1/2n5/3pP2p/3P2b1/2P2N2/PP3PPP/RNBQKB1R b KQkq -,e7e6
r1bq1rk1/1p2bppp/p1np4/8/2B1P1n1/2N1Q1B1/PPP2PPP/3R1RK1 w - -,e3e2
5rk1/1p5p/4p1p1/8/3RP3/5P2/1r3PKP/2R5 w - -,c1c7
r5k1/pp3pp1/8/3p1n1p/3Pb2P/1PP2N2/3N1PK1/R7 b - -,f5h4
r1b2rk1/1pqnnpp1/p3p3/P2pP3/3B1P1Q/1NP5/2P3PP/R4RK1 w - -,h4e7
8/6p1/7p/8/3r1k2/3K4/P1P3PP/8 w - -,d3d4
2r1k2r/pp1bbppp/1qn1p3/3pP3/1P1P4/P2BnN2/4QPPP/RN3RK1 w k -,f2e3
rn3rk1/1bq1npBp/p3p1p1/1p1p4/3NP3/P1N5/1PPQBPPP/R4RK1 b - -,g8g7
r2qkb1r/pp1n1ppp/2b1p3/2p5/3PN3/5NP1/PP3PBP/R1BQ1RK1 b kq -,c6e4
7R/1p4k1/8/p4p1P/4bp2/P7/2P2K2/8 w - -,h8a8
7k/5K2/2P5/8/4Bb1P/8/8/8 w - -,f7e6
5r2/p7/1b1R1pk1/4B3/8/5P2/P4PK1/8 w - -,e5c3
1r4k1/pprb2pp/4p1n1/3pn3/5B2/P2B4/2PK1PPP/1R2R3 b - -,g6f4
r2q1rk1/1p2b1p1/p1np3p/3Npb2/1PP1Q3/8/P1N2PPP/R1B2RK1 w - -,e4e2
r4rk1/2p2pp1/1p1ppnbp/8/q1PPP1P1/P1Q2P1B/1B5P/R4RK1 b - -,b6b5
8/5pk1/4p3/3n2p1/6Pp/1R3P1P/8/r4BK1 b - -,d5f4
8/4R3/6pp/3k4/5PPP/5K2/r7/8 b - -,a2a3
8/6pk/1R6/1pBr3p/1P4P1/7P/3bK3/8 b - -,h5g4
r2qr1k1/1pp4n/p3P1pn/2PP1pNp/1P5P/4QB2/P7/4RRK1 b - -,h7f6
8/8/p2p1k2/3P3R/4p3/1r2P1K1/5P1P/8 b - -,a6a5
4r1k1/p4bnp/7b/2Rq1p2/3p1Pn1/B2P2N1/P2Q3P/3N1RK1 b - -,d5d7
r2r2k1/p1q2ppp/1pnPp3/2p5/2P2P2/1P2B1P1/P1Q1P1KP/3R1R2 b - -,d8d6
rn3rk1/pb1pqppp/2p2n2/8/2p5/P1N1P1P1/1P3PBP/R1BQK2R w KQ -,e1g1
rn1q1rk1/ppp1ppb1/6p1/3p3p/3P1B1P/2PQPN2/PP3PP1/R3K2R b KQ -,c7c6
8/6pp/4bkn1/p1p2p2/1bP3P1/1P2KB1P/2R2P2/8 w - -,c2c1
2r1r1k1/p7/1pn2bn1/3pp2p/3P2pP/1N4P1/PP1BNP2/2R1R1K1 w - -,d2c3
3r1b2/pp5k/2p1p3/4Pp2/1P2pPp1/P3P1P1/1B2R3/6K1 b - -,d8d3
8/6k1/7p/1R3K1P/4PP2/8/6r1/8 b - -,g2h2
r1bq1r1k/pp2b1pp/2nP1n2/4pp2/1p6/1Q1P1NP1/PB1NPPBP/R4RK1 b - -,e7d6
6k1/3rbppp/1n6/2p5/8/5N2/1P1NrPPP/2RR2K1 w - -,g1f1
8/1p4P1/p1k3K1/P1Pp4/8/2R1P3/6r1/8 w - -,g6f7
1r1r2k1/4qp1p/3b2p1/p2P4/2BQP3/1P1R3P/6P1/4R2K b - -,e7e5
8/pp6/2b5/2N5/6k1/4K1P1/PPP5/8 b - -,g4g3
