1r6/5pkp/8/R2p4/Pp3PK1/1Pr5/7P/5R2 b - -,b8d8
1r3rk1/q2nbppp/p2p4/3BnR2/N3P3/2B5/1PP3PP/R3Q2K w - -,a1d1
1k1r4/1p4R1/8/1N1p1p2/2n4P/2P5/PP3r2/2KR4 w - -,b2b3
8/4p2Q/2p1k2p/1p4p1/4B3/2P4P/b2q2P1/R2n3K b - -,d1c3
8/8/8/8/r6k/5Kp1/p7/R7 b - -,a4a3
8/7p/p5p1/Rbk1p3/P1r1p3/1R4KP/5PP1/8 b - -,c4a4
8/p2bk1rp/8/2P1pp2/1rN4R/P1R3P1/1P3P1P/6K1 b - -,b4b8
r1r3k1/1bqnbppp/p2pp3/8/1PPNP3/R3BP2/3QB1PP/2R3K1 b - -,d7b8
r5k1/2p1r1p1/3b4/p3p2Q/1n1PP2P/1P5b/PB2B3/1K4R1 b - -,h3e6
2R2bk1/6np/4p1p1/1p1pP3/1R3P2/3r3P/6BK/8 w - b6,g2f1
3r2k1/p2p1rpp/npnQp3/2p1P3/2P2q2/P2B1N2/1P3PPP/4RRK1 b - -,c6e7
r1b1rnk1/3N1ppp/pp1bq3/2pN2PQ/3P1P2/1P2PR2/PB5P/1B1R2K1 b - -,c8d7
r2r2k1/1pp2pbp/p1n3p1/4pb2/P2Pn3/1B2BN1P/1PP1NPP1/R2R2K1 w - -,g2g4
8/3r1kb1/4b3/7p/pB6/5PR1/4P2P/6K1 w - -,g3g5
r3r1k1/1qpn1ppp/1p1ppnb1/p7/2PP4/PPQ3P1/1B1NPP1P/R2R1BK1 w - -,f1g2
r2qk2r/pp1bppb1/1npp1np1/7p/2P1P3/2NP2PP/PP2NPB1/R1BQ1RK1 w kq -,a2a4
r1bqr1k1/pp1n1ppp/2p1pn2/3p2B1/2PP4/2RBPN2/PP3PPP/3Q1RK1 b - -,e6e5
1rr3k1/p3ppbp/2npb1p1/1p1N2P1/2P1P3/1P3PP1/P2B2B1/3R1RK1 w - b6,d1c1
8/pp6/2pn1kp1/4p2p/PP2PP1P/3K2P1/6B1/8 b - -,f6e6
5k2/p5bp/1prq1p2/7Q/8/6P1/P4P2/1R3RK1 b - -,f8g8
r2q1rk1/pp2ppbp/1np2np1/8/3PP3/2N1BN2/PP2QPPP/3R1RK1 b - -,d8d7
r1r3k1/3q1ppp/4p3/p2pB3/R2Pn3/2PQP2P/5PP1/R5K1 w - -,a4a5
5rk1/1r2q1p1/1p1p3p/3P4/N1PQ4/5P1n/PPB4P/5R1K b - -,e7g5
2r2bk1/3b3p/rB1p2p1/1p1Ppp2/4Pn2/2N2P1P/P5P1/1RR2BK1 w - -,b6f2
2r3k1/1q1nppb1/2b3p1/1r5p/1p1pPP2/1P1N2PP/R1PBQ1BK/R7 b - -,g7f8
r4bk1/ppp3pp/q1b1p3/3p3Q/3B1P2/1P5P/P5P1/1B1R2K1 b - -,h7h6
8/3kr1p1/1p3n1p/p3p2P/2P3P1/1P6/P1K5/2B3R1 w - -,c1e3
r1b2rk1/1p1p1pp1/p1n2q1p/4p3/2PN4/P1R1P3/1P2BPPP/3QK2R w K -,d4c6
rnb1kbnr/1p3ppp/p3p3/8/2Pq4/2N2N2/PP3PPP/R1B1KB1R w KQkq -,f3d4
8/5k2/p2p1p2/n1pPp3/P4r2/2P3N1/1R3PK1/8 w - -,b2b6
r4r2/1pp1Nppk/p6p/4p1n1/4P3/1P1P3P/1PP3P1/R4RK1 w - -,e7d5
rn1q1rk1/pbpp1ppp/4pn2/8/1b1P1B2/3BPN2/1PPN1PPP/R2QK2R b KQ -,d7d5
1n4k1/1q6/p1pbp1p1/3p1pP1/1P1P1P2/P1BBP3/2K5/5Q2 b - -,d6f8
1rr1b1k1/2q1bpp1/3ppn1p/1p6/1n2P3/2N5/1BPQ1PPP/1N1RRBK1 b - -,b4a6
3rr1k1/1bq2pbp/pn1p2p1/N1pP2Bn/4P3/2N3P1/1P3PBP/R2Q1RK1 b - -,d8b8
1r1b2k1/3q1p1p/4p1p1/1Pp5/P1N1BP2/1R2P1P1/3B3P/6K1 b - -,f7f5
r4rk1/1bppq1p1/1p1bpn1p/p1nP1pB1/2PN4/P1N1P1P1/1P3PBP/R2Q1RK1 w - -,g5f6
8/5pk1/5p1p/8/4PPPP/3R4/6K1/4r3 w - -,g2f3
8/8/3k4/R7/1P4K1/P1r5/8/8 b - -,d6c6
rn1qkb1r/pp2pppp/5n2/3p1b2/3P4/2N3P1/PP2PPBP/R1BQK1NR b KQkq -,e7e6
2r5/2r1nkp1/p3ppPp/1p5P/2P2P2/1P1R4/P7/1KBR4 b - -,f7e8
2r1qrk1/1ppbnpb1/p2p2p1/P2np2p/N3P3/1P1BBP2/2PQ2PP/R1N1K2R w KQ -,e3h6
5r2/5P1p/4K3/p7/1k6/4P3/5R2/8 b - -,a5a4
rb3nk1/5pp1/pqp5/1p1pP3/3PNP1p/1B2Q3/PP4PP/3R1RK1 b - -,d5e4
r1b3k1/1pp2p2/p6p/4p3/2P1P2N/2Pn1Bq1/P3Q1P1/5RK1 w - -,e2d3
r2qr1k1/5pbp/pp3np1/1QpP4/1n6/P3BN2/1P2BPPP/3R1RK1 w - -,b5c4
rqb1nrk1/4n1b1/1p1p2pp/1NpPpp2/1P2P3/2P2N1P/5PP1/R1BQRBK1 w - -,a1a8
4Rr1k/p6p/5q1P/1p6/2p3Q1/1P4P1/P4PK1/8 w - -,g4d4
r4rk1/1b1nqpp1/3ppn1p/p1p5/2P5/P1BBPN2/1PQR1PPP/5RK1 w - a6,f1d1
r1r3k1/p2bbppp/2n1p3/1p1pP3/Nq1P1Q2/1P3N2/P3BPPP/R2R2K1 w - b6,a4b2
7r/2p5/1pb2kp1/p3p3/4p2p/1PPN1P1P/P1K1R1P1/8 w - -,f3e4
r1bq1rk1/ppp1ppbp/n2p1np1/8/2PPPP2/3B1N2/PP4PP/RNBQ1RK1 b - c3,c7c5
8/2Pbp3/6k1/1p4P1/3P1BP1/P4K2/8/8 b - -,d7c6
3q3k/5p2/1p2pN1P/pP3pP1/1r6/8/5Q2/4R1K1 w - -,f2e2
r1bqk2r/pp2ppb1/2n4p/3p2p1/3P4/2N1PNP1/PP3PP1/R2QKB1R b KQkq -,e8g8
Q7/1p1k4/1P5q/2P5/p6p/P6P/4Kp2/8 w - -,a8b7
r2qk2r/2pb1pbp/p2p1np1/1p2n3/3NP3/2N1BP1P/PPPQB1P1/2KR3R w kq b6,f3f4
1r1r2k1/p4pp1/6p1/4p1n1/3P2Pq/2P1Q3/P2R1PB1/2R2K2 b - -,e5d4
r4rk1/pp6/3p2n1/2pPp1p1/P1P1P1B1/2P3Pp/5P2/R3R1K1 w - -,g4h3
1r4k1/4pp1p/3p2p1/NqpPn3/R2bP3/1P5P/4RPPK/3Q4 w - -,e2a2
4r1k1/1p2rpb1/2pp3p/p4Pq1/2PpnNPR/5BP1/PPQ2PK1/3R4 w - a6,d1h1
8/5pkp/8/6rP/3RP3/p1P5/P7/1K6 b - -,g5h5
r1b2rk1/pp1pppbp/1qn2np1/8/2BNP3/2N1BP2/PPPQ2PP/R3K2R b KQ -,f6e4
2r3k1/1b3pp1/1p2rqn1/p2p1N1p/3R4/PP1BPP2/3Q1KPP/5R2 w - -,f1e1
r3r1k1/1pn2ppp/3qbn2/p2p4/Q1pP4/P1NNP1P1/1P3PBP/2R1R1K1 w - -,d3c5
8/8/p4P2/1p6/5KR1/1P5p/P6k/2r5 b - -,c1f1
7k/5p1p/4ppr1/p3n3/bq2P3/6NP/3Q1PP1/1B2R1K1 w - -,d2d8
7r/p2r1k2/4pn2/p1Bb1p2/3R1P2/2pBK2P/2P3P1/6R1 w - -,d4a4
r1b2rk1/pp1nppbp/2p3p1/8/1P1P1B2/4PN2/P4PPP/2R1KB1R b K -,d7b6
2rq1rk1/6pp/p2p4/3Pnp2/2PQN3/2R5/P5PP/5RK1 w - f6,e4d2
rnbqkb1r/1p2ppp1/p7/3p4/3P1B2/2N2P2/PPP3QP/2KR1BNn b kq -,b8c6
8/1p3r2/pnp1kp1R/3pp1p1/1P2P1P1/1PPPP3/6K1/5R2 w - -,g2f3
5rk1/5pp1/8/4n1B1/1q6/3p3P/Q7/3R3K b - -,f8c8
1r3rk1/p4p1p/b3p1p1/4b3/2q2PP1/4Q1NP/pP2R1BK/R7 w - -,e3e5
6k1/5p2/p3pR2/P1p1p2P/3r2r1/8/5K2/1R6 b - -,g4f4
r1bq1rk1/p3b2p/1pn1p1p1/1BPp1p2/3P1B1P/2P2N2/P2Q1PP1/R3K2R b KQ -,c8d7
r1b2bk1/1p3ppp/1p3n2/1N6/1n1N4/P5P1/3BpPBP/R5K1 w - -,d4e2
8/8/8/8/8/5K1p/6rk/4R3 b - -,g2b2:g2g1
8/1p6/8/2kb4/p5R1/P1K5/1P5r/8 b - -,d5b3:h2h3
4r1k1/5p1p/6p1/3P4/4P2q/1P1Q1P2/6PP/b5BK w - -,b3b4
3qrnk1/pp2bpp1/2pr3p/4p3/1PQP4/2B1P1P1/P1B2P1P/1R1R2K1 b - -,e5d4
2rq2k1/1p3pp1/p3b2p/P3p3/3R4/8/1PP1BPPP/4QRK1 b - -,d8d4
8/2k5/p6r/1pn1p1pp/2p1P3/2P2P2/PP1K2P1/2N2R2 b - -,h6d6
4r1k1/pp2Rpp1/q6p/5Pb1/2pP2P1/P1Q5/6RP/3B3K b - -,e8e7
2r1r1k1/3Rb3/2n1P2p/1p3p2/5N2/P5P1/5BKP/2R5 w - -,f4d3
rn1r2k1/3n1pb1/2b1p1pp/ppp1P3/5B1P/1BP2N2/PP1N1PP1/3RRK2 w - a6,b3c2
r2qkbr1/5p2/pp1pb3/4p3/2P1Pp1p/BP1Q3P/P4PP1/R2BR2K b q -,d8g5
k2rr3/p4pb1/1Pp3pp/B2n1p2/3Pq2P/6Q1/PP2NP2/K2RR3 b - -,a7b6
8/6k1/6p1/1Q2p2p/5q2/7P/2P2PPK/8 w - -,h2g1
1k1r3r/2q2p2/p1b2np1/3pp3/1pN1P3/1P3P2/1PP4P/2KRRNQ1 w - -,e4d5
r4r2/2qn1pkp/2bp1np1/4p3/Pp2P3/1N1B3P/1P1Q1PP1/1R1NR1K1 w - -,d2b4
2k2rr1/pbnq4/1pp1pb2/4Pp2/2PP3N/2N5/PP1RQ1P1/3R2K1 w - -,e5f6
3rr3/2p3kp/1p4p1/p1P5/P1R4P/1N2NKP1/1P3P2/8 b - a3,d8d3
r1b2rk1/ppp4R/2p1nqpQ/4p1p1/N3P3/P2PB3/1PP2P2/2KR4 b - -,f8f7
r3k2r/3bqpbn/3p2p1/p1p1p2p/1pP1PP1P/1P1PB1PN/P3Q1B1/2R2RK1 b kq -,f7f6
q7/p2n1pk1/4pn2/1P4pr/2pPP1P1/2Nb4/P4RNP/2Q1B1K1 b - -,f6g4
4rbk1/1p3ppp/1Np1q2r/3p4/2P2Qn1/1P2P1Pb/PB2BP1P/R3R1K1 w - -,c4d5
6k1/Q4pp1/2p3rp/2Pq4/8/4P2P/2R2PPK/8 w - -,g2g3
r5rk/3b1p1p/3p2P1/2nPpPq1/1pp1P3/5RNQ/PPB3P1/R5K1 b - -,f7g6
7r/2r1k3/1p1pnpp1/pP2p3/P1P1P1PP/1BK4R/8/4R3 b - -,c7c8
8/8/8/2B2p1p/2b3pP/2P3k1/6r1/4R2K b - -,c4d5
8/8/2kp4/2n1p3/4P3/5KN1/4Q3/3q4 b - -,d1b3
r4rk1/1b3p1p/p3pnp1/npP5/7P/P2B1N2/1P3PP1/R1B2RK1 w - -,d3e2
r4k2/4n1p1/5p1p/r2p3P/p2R4/R3N1P1/5P2/6K1 w - -,d4b4
r3nrk1/5ppp/p2q4/1p1n2P1/2pP4/5N2/PPQ1BP1P/1K1R3R b - -,d5b4
6k1/p2qppbp/bn1p2p1/n1pP4/2P1P3/B4NP1/P1QN1P1P/5BK1 w - -,e4e5
r2qr1k1/1p1n1pbp/p2p2p1/2pP2N1/P2nPP2/2N5/1P2QBPP/R4RK1 w - -,e2d3
3r2k1/1p4p1/p1p4p/3pN2P/3Pn1P1/P5P1/1P4K1/5R2 b - -,d8e8
3R4/8/8/7p/3kp2K/5p2/5Pr1/8 b - -,d4c4
r2q1rk1/1pp1bppp/n1b1pn2/p7/P1QP1B2/2N2NP1/1P2PPBP/R2R2K1 b - -,a6b4
8/6k1/p1pn3r/4p3/1P2P1KB/2R2p2/P7/8 w - -,c3c6
r1b1kbnr/ppp2ppp/8/4p3/2Pq4/2NP4/PP3PPP/R1BQKB1R b KQkq -,g8f6:c7c6
r2q1r1k/1pp2p1p/p1np2p1/4b3/4P1P1/1BP2N2/PP1Q1PP1/R3R1K1 w - -,g2g3
6k1/p4rpp/1pbPp1q1/2p1Q2N/2P1pPP1/4K2P/P4R2/8 b - -,g6h6
1rbq1rk1/2pnbppp/3p1n2/1p2P3/8/1PN2NP1/PB2PPBP/R2Q1RK1 b - -,d6e5
4n1k1/3bq2p/p2p2p1/P1pP4/2P2P2/2NBp2P/1r4P1/3QR1K1 b - -,b2f2
r3qrk1/p1np2bp/bp3np1/2p1p3/2P1P3/BP3NP1/P2NQPBP/1R2R1K1 w - -,a3b2
r4rk1/1p2bppp/p1n1bn2/3p2B1/8/1NN1P3/PP2BPPP/R4RK1 b - -,h7h6
8/3bk1p1/8/K1p2N1P/p1P2R2/P3P1rP/8/8 b - -,d7f5
8/6k1/4r1p1/4p3/4K3/8/5R2/8 w - -,f2g2
1qr2bk1/5pp1/2r1pB2/3p3Q/np1P4/2P4P/1P3P2/1N1R2RK b - -,b8f4
k7/2p1r3/p3n2p/2P5/1P6/4R1P1/PB4r1/1K2R3 w - -,e3e6
8/3k3p/3P4/3K2B1/r1p5/p7/R4bPP/8 b - -,c4c3
r1br4/pp2k2p/8/2P1pp2/1P2n1n1/P3P2N/4B1PP/R1B1K2R w KQ -,e2g4
6k1/1NQ2pp1/3p1b1p/8/8/4B2P/5PPK/3q4 b - -,f6e5
r4r1k/4npbp/p2p4/2qP1p2/4p3/N7/PPPQBPPP/1R3R1K w - -,c2c4
r5r1/3nk3/p3pn2/1pp1p2p/P3P2R/3NKPP1/1PP1N3/R7 w - c6,h4h1
8/1k4pp/1pp5/8/8/1P6/1P2N2r/K7 w - -,e2f4
2bqkr2/1p2bpQp/3p2p1/1p1N4/3N4/4P3/PP4PP/n4RK1 b - -,a1c2
1qr3k1/3bpp1p/6p1/3P4/1p1RPP2/1Pr3P1/P4Q1P/4RBK1 b - -,c3c2
4rbk1/1pqr1pp1/2p3p1/p2P4/PnB5/1Q3PP1/1P4KP/2RR4 b - -,e8d8
r5k1/1ppb1p1p/1q4p1/p2Pr3/5B2/2N3PP/PP4BK/R2Q4 b - -,e5e8
r3rnn1/1bq2pkp/p1p3p1/1p2p1Q1/4P3/P1NB1N1P/1PP2PP1/3RR1K1 b - -,f7f6
2R3k1/5pp1/1R5p/8/8/5K2/PP1r2rP/8 b - -,g8h7
3q1rk1/4bppp/p4n2/1pn1B3/3p4/P2B1P1P/NP3P2/1QR3K1 b - -,d8d5
8/6k1/5p2/1R3K1p/3P3r/1PP2P2/8/8 b - -,h4h3
5n2/7p/6pP/pk3pP1/2p2P2/PP1NK3/8/8 w - -,a3a4
r5k1/pp3p2/2p3p1/8/4R3/2P5/PP3PPK/8 b - -,g8f8
3r2k1/p2q1ppp/1p6/3p4/P1nP4/1QP2BP1/4RP1P/6K1 w - -,b3b4
3r2k1/1b2b1pp/1p6/p1n1p3/2PqPp2/1P3P1P/P3Q1BK/2R1NN2 w - -,c1c2
5Q2/kpp5/p1b5/8/7P/P1N1q3/1KPr4/5R2 b - -,e3d3
3rb3/3rkp1p/n1p3p1/pp2P3/5P2/PP1NK1P1/1R4BP/2R5 w - -,g2e4
8/8/5kp1/3R4/6K1/6P1/1b6/8 w - -,d5d3
2r5/5pk1/b1P1p1p1/4P3/3QB2p/R6P/6PK/4q3 b - -,a6b5
r1bqkbnr/1pp2ppp/p3p3/n7/P1pPP3/2N2N2/1P3PPP/R1BQKB1R w KQkq -,c1e3
r7/5p1k/4p1p1/1p2P2p/1p1p1P1q/rP1P4/P1RQ1RP1/6K1 b - -,h4e7
5rk1/b2b1rpp/p7/2qNQ3/1pP5/1P4P1/P5BP/4RR1K w - -,f1f7
4r1k1/1pb2pp1/p2p1P1p/P1p3PQ/1PPBr2P/7q/B5R1/5RK1 b - -,e4h4
rnbq1rk1/1p2ppbp/p2p1np1/8/2BNP3/2N1BP2/PPPQ2PP/R3K2R b KQ -,b8c6
7k/3R4/8/8/5q2/1P5P/2K1R3/8 b - -,f4f5
r1b2rk1/ppp3pp/2np2q1/2b2p2/2P2P2/P3PN2/1PQ2PBP/RN3R1K b - -,a7a5
r1bqk2r/p2p1ppp/2p2n2/2b1p3/2P1P3/2NB4/PP3PPP/R1BQ1RK1 w kq -,d1e1
r2qkbnr/pp1n1ppp/2ppp3/8/3PP1b1/3B1N2/PPPN1PPP/R1BQ1RK1 b kq -,f8e7
2rrqn1k/1Q3pnp/pp2p1p1/2b1N1P1/2PN1P1P/4P3/PB6/2R2RK1 b - -,f8d7
r1b1rnk1/p1p2ppp/1bp2q2/1p2p3/4P3/1N1P4/PPP2PPP/R1BQ1RNK w - -,f2f4
5b2/1p4k1/p1n3p1/2pB2Bp/N2n4/P1P5/1P4PP/6K1 b - -,d4f5
r2r1bk1/1p3p2/2p1bq1p/pP2p1p1/Q1PnP3/P1N2NP1/1R2BPP1/4R1K1 w - -,c3b1
rn2kb1r/1bq2pp1/p2pp2p/8/Pp1NB1P1/2P1B2P/NP3P2/R2QK2R b KQkq -,b7e4
r1b2rk1/1p4qp/pB2pbp1/3pP3/6P1/P1N3Q1/1PP4P/R4RK1 b - -,f6e5
6k1/6pp/b7/1r1p4/5Q2/3p1P2/1P4PP/6K1 w - -,f4e3
3q2k1/p4r1p/1p1P2p1/2p1QP2/2P1K1P1/3R4/P7/8 b - -,d8h4
8/p7/p1k2p1P/2P4K/8/2R5/8/1r6 w - -,c3c4
r3r1k1/2q1bppp/p4n2/1P2pP2/8/1N6/1PP1QBPP/3R1RK1 b - -,a6b5
3r2k1/3q1pb1/3p2pp/p6r/3P3P/1Q3PB1/1P3P2/R2R2K1 w - -,g1g2
8/1n3k2/pp1p1b1p/4ppp1/PN6/2r2N1P/5PPB/4RK2 b - -,b7c5
2rq1rk1/pb3ppp/1p2p3/3nN1b1/P1BP4/2P1B3/4QPPP/3RR1K1 w - -,e2d3
1r3r1k/1q1bn2p/3p2pb/pn1P2N1/1pB1Pp1P/3Q1P2/PP3B2/1KRN3R w - -,c4b5
rn1qkb1r/1bp1pppp/p4n2/1p6/3P4/1B2PN2/PP3PPP/RNBQ1RK1 b kq -,e7e6
8/6k1/p2q2p1/1p5p/1PpbB2P/P3QKP1/8/8 w - -,e3g5
4k2r/1p2rn1p/2p1p1pP/6P1/4pPB1/1P6/1KP1R3/R7 b - -,e8d8
r3r1k1/4q1pp/3pbp2/ppp1n2Q/4P3/1P1PN1R1/PBP3PP/5RK1 w - -,f1f4
3r2k1/p4ppp/b3p3/2p5/2P5/P3PP2/1B2K1PP/2R5 b - -,d8b8
6k1/b6p/3pp1p1/8/2p1PP2/3n2PP/1P1B4/3N3K b - -,a7d4
q2rbr2/5pkp/3p2p1/3Pp3/1Q2P3/6P1/P4PBP/2R1R1K1 w - -,a2a3
r3qrk1/pQ3pb1/2n2np1/7p/3p3P/2N1BPP1/PP2BP2/2RR2K1 w - -,e3d4
6k1/3n1ppp/p1b1p3/3p4/Pp1P4/1P2PNP1/5PBP/6K1 w - -,g2f1
8/3b1pkp/p2P2p1/1p3p2/1P3P2/P5PP/6B1/6K1 b - f3,g7f6
r2qr1k1/1p2bpp1/2ppbnNp/p1n5/P2QP3/2N4P/BPP2PP1/R1B1R1K1 w - -,g6e7
r2qkb1r/pppn1ppp/1n2p3/5b2/8/2N2N2/PPPPBPPP/R1BQ1RK1 w kq -,d2d4
6k1/8/7p/3N2p1/3pP3/5r1q/2B2P2/5QK1 b - -,h3h4
r4rk1/p3q1pp/4nn2/1PNp1b2/P2Pp3/R1N2pP1/5P1P/2Q1KB1R w K -,c5e6
r3nrk1/1q1bbppp/p1np3B/1p1B4/8/2N2Q2/PPP2PPP/R4RK1 w - -,a1e1
8/1p5p/2pkrBp1/p2r2P1/5p1P/2Q2P2/PP3K2/8 w - -,c3c1
8/1k2b3/p2p2p1/3Ppp1p/P1N5/1P5P/4KPP1/8 w - -,f2f3
8/8/P6p/2bN4/6k1/8/3pK3/8 w - -,e2d2
3r2k1/2R2pp1/5r1p/3p4/p1p5/P1P4P/1P1R1PP1/6K1 b - -,d8b8
1nq3k1/r1r1ppb1/3p2p1/P2P3p/1pR1P2P/5NP1/2QB1PK1/1R6 w - -,b1b4
2rq1rk1/p2nppbp/2pp1np1/8/4PB2/2N2Q1P/PPP1BPP1/R2R2K1 b - -,d8c7
R7/4k3/2P5/3K2p1/7p/7P/2r3P1/8 b - -,c2d2
2r2rk1/1pn2p1p/3pb1p1/p1q5/PnPbPNP1/1P2NR1P/6B1/2BQ1R1K b - c3,c8e8
8/8/pppnk1pp/P7/1P1K4/5PN1/6PP/8 b - -,c6c5
r2q1rnk/4bp2/3p3p/2pPpBPQ/1pP1PP1P/4B3/1P6/qNK4R w - -,g5g6
8/8/1k2p3/2r2pp1/4K3/7P/3R4/8 w - f6,e4d3
r2qk2r/1p2n1pp/p1n2p2/b2p4/2pP2b1/P1N1PN1P/1P1BBPP1/R2Q1RK1 b kq -,g4h5
r2q1k1r/1b1nnpb1/p5pp/Ppp1p3/4P3/2NB1NBP/1PPQ1PP1/R4RK1 w - c6,f1d1
r2qr2k/n1p1b2p/p2p2pB/P3p2n/1N2P1Q1/2P4P/1PB2PP1/R3R1K1 b - -,h5f6
r1Rq2k1/1b3ppp/p3pb2/1P6/N2p4/1Q2P2P/4BPP1/R5K1 b - -,a8c8
1q3r2/R2Q1pkp/3pp1pn/8/8/3P1BPP/4PP2/6K1 w - -,a7b7
r2q1rk1/pb1pbppp/1pn1pn2/2p5/2PP4/P1N1PN2/1PQ1BPPP/R1B2RK1 b - -,c5d4
