8/7p/3Q2pk/4p3/4Pq2/5P1P/5KP1/8 b - -,f4h4
r4rk1/p2bbppp/2p1p3/1pPpP3/q2P4/PN6/1PB2PPP/R2Q1RK1 w - b6,d1d3
r1q1k2r/p1p1bppp/2ppbn2/4p3/8/1P1PP3/PBPNNPPP/R2Q1RK1 b kq -,e8g8
8/8/4B3/8/pp3P2/4K3/1k6/8 w - -,f4f5
rnb2rk1/pp2ppbp/5np1/q1P5/2B5/2N1PN2/PP3PPP/R1BQ1RK1 b - -,a5c5
1r2rnk1/3q1ppp/3b1n2/N1Np4/3Pp3/P1B1P2b/R1Q1BPP1/5RK1 b - -,d7c8
2r2k2/pp3ppp/8/3p4/3P4/P3R1P1/RP3PKP/2r5 w - -,e3e5
r1b2rk1/2q2ppp/p3pn2/1pPp4/1P1N4/6P1/P1Q1PPBP/R4RK1 b - -,e6e5
2r2rk1/1bqnbppp/pp1ppn2/8/P1P1PB2/1NN5/1PQ1BPPP/R2R2K1 w - -,a4a5
8/4kp1p/p2rpp2/Pq6/1p6/1P2P2P/5PP1/2R1Q1K1 w - -,c1c4
2q1r2k/5ppp/7r/1QB5/1n1P1N2/6P1/PP5P/5RK1 w - -,c5b4
5k2/pp3p1p/5P2/1Bbp4/7q/3R4/PP3P2/5RK1 w - -,g1g2
3r2k1/p4p2/1np2bpp/4p3/4P3/1BN2P1P/PP3P2/2R3K1 w - -,c3d1
2r1kb1r/pp3ppp/1qn1Nn2/1B1p2B1/Q7/2N1P3/PP3PPP/R3K2R b KQk -,f7e6
5rk1/2p3p1/p1n4p/2P2p2/5q1r/P4P2/6QP/3RR1NK b - -,f4g5
r2qr1k1/pp3pb1/1nnp2p1/2pB2B1/P7/2N2P2/1PPQ3P/2KR3R b - -,d8d7
8/p7/1p5p/1P5P/Pkp5/8/3Kp3/8 w - -,d2e2
rr4k1/p1qbbppp/2p5/2Pp4/Q4N1P/6P1/P4PB1/2RR2K1 b - h3,a7a5
r1r3k1/pn3pp1/1p2p2p/2P5/4Pq2/Q4N2/P4PPP/2R1R1K1 w - -,g2g3
3q1k2/pp3p1N/4b1pn/2p1Q3/PnP5/1P2P1PP/5PBN/6K1 b - -,f8g8
4q3/p3b1kp/2r1pp2/2p5/2N5/P2Q2P1/1P3P1P/3R2K1 b - -,c6c7
4rR2/1b5k/p2p2pb/1pnPp2p/2q1P2B/2P4P/PPQ1N1PN/4R1K1 b - -,e8f8
1qr3k1/1n1bbppp/3p4/3Pp3/pPN1P3/4BN1P/5PP1/Q1R3K1 w - -,c4b6
r1b2rk1/2q1bppp/p3pn2/1p2p1B1/4P3/1BNQ4/PPP2PPP/3R1RK1 w - b6,d3e2
2rq1rk1/pb1nb1p1/1p2p2p/2ppPpP1/3P3P/1P1BP3/PBPNQ3/R4RK1 w - -,g5h6
8/3k4/8/p3K2R/4P3/8/5r2/8 w - -,h5h7
6k1/4Bp1p/6p1/3P4/p2bP3/5QP1/q4P1P/1r1R2K1 w - -,d1b1
2b5/p7/1p3k2/6p1/3K3P/P5P1/8/3B4 b - -,g5h4
5r2/bN4k1/p6p/1P2p3/P4p2/1RP5/3r1PPP/2R3K1 b - -,a7f2
3q2k1/1p4p1/p7/2P5/1P3Q2/3rp2P/6P1/1R4K1 b - -,d3d1
1nb2rk1/rpq1ppbp/p1p3p1/P2P4/2B1N3/1QN1P3/1P3PPP/R2R2K1 b - -,b8d7
4R3/5p2/5k2/r6p/2p2Kp1/p1R5/P5PP/5b2 w - -,f4g3
2r5/p2b3p/P3kp2/Rp2p1p1/8/2P1K1P1/1P1N1P1P/8 w - -,d2e4
r2qr1k1/1ppb2bp/p2n2p1/P1QP1p2/3Np3/BP2P1P1/5PBP/R2R2K1 w - -,a1c1
4rr2/p5pk/1p3n2/4R1RP/2P5/3P2P1/4pPBK/8 w - -,g2h3
r1bqk2r/1pp2pb1/p2p2np/3Pp1pn/4P3/2N2P2/PPPQNBPP/2KR1B1R w kq -,f2e3
r6k/2p1q1bp/Pp4p1/3bnr2/4p1P1/4P2P/3QBP1B/2RR2K1 b - g3,d5b3
r3k2r/pb1nqp2/1p1p1np1/2pPp1B1/2P1P2p/2PB4/P4PPP/R2QRNK1 w kq -,h2h3
2qr4/pb3pPk/1p3N1p/2p4R/P1P1p3/4P3/4Q1PP/2R3K1 b - -,h7g7
r1b2R2/1p1nN1kp/n1ppq3/p5p1/P3PQ2/7P/2P2PP1/1R4K1 w - -,f8g8
2r3k1/5pp1/4q1p1/1pp5/2n1PP2/2Pr3P/4Q1P1/2BR2K1 w - -,e2d3
1N6/p6p/1p1k2p1/1n6/1P3RK1/2r3P1/7P/8 b - -,d6c7
1r3rk1/q3nppp/2p1p1b1/p1PpP3/3N4/2P1B3/P4PPP/R2Q1RK1 w - -,d1a4
6k1/1p1rqp2/3Nb1p1/2P4p/1P1Q4/8/5PPP/3R2K1 b - -,h5h4
5rk1/1bqn1pp1/1p1ppb1p/1Pp5/2P1P3/3P1N1P/r2BQPPN/3RR1K1 w - -,h2g4
2r1r1k1/1b1q1pn1/1p4p1/pP1p3p/1bpP1PP1/2N1P2P/1P2R2N/1QBR2K1 w - h6,e2g2
r1br2k1/p1q1npb1/1p2p1p1/2p3N1/2B2P1Q/2PP4/PP4PP/2R2R1K b - -,e7f5
3k4/pp5p/4B1p1/b1P1P3/2bN1P2/2P5/2K4P/8 b - -,c4e6
2R5/p3rbkp/6p1/2N1pp2/8/qP3BP1/3b1PP1/1Q4K1 w - -,b1d3
r1br2k1/1p2Bpb1/p6p/8/8/2N2P1P/PP3P2/R3R1K1 b - -,d8d2
8/p4k2/5R2/1pr1PP2/8/2p5/2K5/8 b - -,f7e7
5k2/1R6/4P2P/6K1/8/8/8/7r b - -,h1g1
8/8/1k6/7R/8/1B2K3/P7/4r3 w - -,e3d4
4r3/3k1p2/3p1Pp1/6r1/1pB1b2p/1P6/P1P2R1P/3R2K1 w - -,g1f1
3r2k1/q1rnppbp/3p2p1/pPp5/P3PPB1/1P6/3Q1BPP/2RR2K1 b - -,d7f8
8/5k1p/1B3p1b/1p3P2/p3K3/1PP5/1P5P/8 w - -,b3a4
2k2r1r/ppqbnQ2/2n1p2p/1R1pPpp1/P1pP4/B1P2N2/2P1BPPP/R5K1 w - -,f7g7
4rrk1/p2qn1b1/1p1pb1pp/nPp1pp2/P1P1P3/2NP2P1/1B1N1PBP/R2Q1RK1 w - f6,c3d5
r3n1k1/3b1p2/2R1p2p/pB4p1/P7/4NP2/1P4PP/1K6 w - -,c6c5
5rk1/pp3p1p/5npB/4np2/Pb2P3/2rq1P2/BP4PP/R3QR1K b - -,c3c4
rqb2rk1/pNp2pbp/Bn4p1/3P4/8/4BP2/PP3P1P/2RQK2R w K -,b7c5
5rk1/4bppp/8/2PQ4/qp1PB3/p3P1P1/5P1P/5RK1 w - -,d5c4
5bk1/7p/1p1n4/3Pp3/6pR/1P4P1/5PK1/8 b - -,d6f5
2r3k1/pp4pp/1r2pp2/3p1b2/P2P1B1P/2P1P3/3K1PP1/R1R5 w - -,a1a2
r4rk1/pppn1ppp/1b4b1/3P3n/N1BN3q/4B2P/PP3PP1/2RQ1RK1 b - -,h5f6
8/4b3/p7/3p4/1P2kP2/8/P1KB4/8 w - -,a2a4
4r3/2p3kp/1p1prpp1/pPn5/4PP2/1P2RKPP/2P5/4RB2 b - -,e6e7
1qr3k1/3r1p1p/p2Pp1p1/4Q3/2b1BP2/1N5P/PPPR2P1/1K6 b - -,c4b3
1r3rk1/bppqnppp/p2p4/4p3/1PP1P3/P3P1Pb/1BQ1NPBP/R2R2K1 b - -,h3g2
r3k2r/1p2Npbp/p5pn/4P3/b7/7P/PPP3P1/R1BNK2R w KQkq -,e7d5
8/6k1/6p1/7p/3r3P/4NRP1/5P2/r5K1 w - -,g1h2
r2q1rk1/pp2ppbp/2Pp1np1/n7/3NP1b1/6P1/PPP1NPBP/R1BQK2R b KQ -,a5c6
3b1nk1/1p1b1ppp/p3p3/4p3/1P1QP3/P1N4P/B2N1PP1/6K1 b - -,e5d4
2rq1rk1/p3bppp/2p1pn2/3n2B1/3P4/2N5/PP3PPP/1BRQR1K1 b - -,f8e8
r1b2rk1/pp1pqpbp/2n2np1/1Bp1p3/4P3/2PP1N1P/PP2QPP1/RNB2RK1 w - -,b1d2
r2qk2r/pp1nbppp/2p1pnb1/8/3P4/1P3NN1/P1P1BPPP/R1BQ1RK1 w kq -,c1b2
2r1q1k1/p1r2ppn/1p2p1N1/3p2pQ/2nP1P2/P1PN3R/1P5P/4R1K1 b - -,f7g6
r1bq1rk1/pp1nppbp/5np1/3p4/8/1P3NP1/PB1PPPBP/RN1Q1RK1 w - -,b1c3
8/8/pp4R1/5R2/P2qp1P1/6KP/4k3/8 w - -,g6e6
1r3rk1/4q1bp/1p1p2p1/p1nPpp2/Pn2P3/2N1BPPP/1PN1QRK1/3R4 w - -,f2f1
R7/8/P7/5p2/5kp1/8/r7/5K2 w - -,a6a7
k7/1p4pp/p1p2n2/8/2P2PP1/1PN1Q2P/PK6/5q2 w - -,g4g5
1rbqr1k1/p1p2ppp/2p2n2/4p3/8/2NB4/PPPQ1PPP/4RRK1 w - -,e1e5
r4rk1/p3bpp1/4p2p/q2nP3/1pbP3B/5N2/PP1QNPPP/R4RK1 w - -,h4e7
1rr1b1k1/p4ppp/2p1p3/q7/2p1P3/2Nn2P1/PP1RQP1P/3R1BK1 w - -,d2c2
8/6pk/R2p3p/3Pp3/4P1P1/5P2/p2BK3/r7 b - -,h7g8
r1b2k2/2pp2b1/p1n3pB/1p1Q4/4P3/2P5/PP1N2PP/5qK1 w - -,g1f1
r1b1r1k1/ppq2pp1/2n1pn1p/2P5/3p4/3P1NP1/PP3PBP/RNQ1R1K1 w - -,b1a3
5rk1/p4r1p/1p1b2p1/2pqpp2/Q6R/1P1P2P1/PB2PP1P/2R3K1 w - -,a4c4
4B3/8/1p6/1nk3p1/8/6K1/8/8 w - -,g3g4
2r3k1/5pp1/3b4/1ppP2Bp/6r1/4R1P1/PP4KP/4R3 w - -,e3e8
6k1/R5B1/1p6/8/1P4B1/1P6/3q1P2/6K1 b - -,d2g5
2r2r1k/p1n3pp/1p3p2/2pP1P1q/2Bn1B2/P1Q2P2/1P3R1P/2K3R1 w - -,c3d3
r6r/pbn1qk1p/1p1p1np1/2pP1p2/7N/2N3P1/PP1QPPBP/4RRK1 b - -,b7a6
2r1r1k1/1b1nqpbp/5np1/p3p3/Np2P3/4B1PP/PPQN1PB1/R4RK1 w - -,c2b1
r2r3k/2q3p1/pn3pbp/7Q/1n1pPN2/3B2R1/1PP3PP/4R1K1 w - -,f4g6
3r1rk1/1b2bppp/pq2pn2/1pp1N3/P4P2/1P1B4/1BPPQ1PP/R4R1K b - a3,b5b4
4n3/p1r1kp1p/1p4p1/4p3/1P6/2P3P1/1P1RKPBP/8 w - -,g2d5
2rr2kb/1bq1np1p/4p1pP/2p1P1B1/ppPn2P1/3P1NN1/P3QPB1/3RR1K1 w - -,f3d4
8/4bkp1/4pp2/3p4/1P1P2P1/2P2P2/3qN3/R4K2 b - -,d2e3
r4rk1/1p2p1bp/8/4P3/pP3Pq1/2N1Q1P1/P7/R4RK1 b - -,h7h5
5rk1/8/1p1p1qp1/pB1P2n1/P1P2P2/4QP1p/7P/4R2K b - -,f6f4
1r1q1rk1/3b1p1p/1n2pnp1/2pPP3/1pP5/pP1Q2P1/P2NN1BP/1R3RK1 b - -,f6g4
2kr1b1r/pp2p2p/1qp1Q1p1/5pB1/3Pp3/2P1P3/PP3PPP/R3K2R b KQ -,d8d7
3r2k1/p2q1pp1/1pprp2p/3n3P/PPQP1P2/3R1BP1/3R1P1K/8 w - -,h2g2
r2qkb1r/pp2ppp1/n1p2n1p/3b4/2N5/5NP1/PPQPPPBP/R1B2RK1 w kq -,d2d3
6k1/5p1p/6p1/Pn6/8/3R4/5PPP/r3NK2 w - -,d3d5
r1b3k1/p2R1pb1/1p4pp/8/4P3/PB1nB3/3N1PPP/5RK1 b - -,c8d7
k3r3/pp6/q2p4/3P1P2/7p/1QP5/3B2P1/rR4K1 w - -,f5f6
3k1r2/3r4/2b1Q2p/p1P5/3R1b2/7P/1P4P1/6K1 w - -,d4f4
r4rk1/pp1nbpp1/1qp1p1p1/3p2P1/Q1PPn3/2N1P2P/PP1B1PB1/2R1K2R w K -,c3e4
7k/7p/1p1N2p1/p4b2/1p1R4/1B4K1/P1r4P/8 b - -,c2c3
5rk1/pp2qppb/4pn1p/2b1N3/P1BnPP1B/2N5/1P4PP/3RQ2K b - -,e7c7
rnbqk2r/ppp1ppb1/6p1/5n1p/2BP3P/2N1B3/PPP1NPP1/R2QK2R w KQkq -,d1d3
rn2kb1r/pp2pppp/2pq1n2/5b2/2BP4/2N2N1P/PPP2PP1/R1BQK2R b KQkq -,e7e6
8/8/1p6/1P6/2P1p1k1/4Knp1/8/7Q w - -,e3e4
5rk1/5R2/6P1/4p1K1/8/5P2/8/8 b - -,f8b8
3r2k1/p4ppp/2b1p3/4P3/P2q1P2/1BN3P1/1PP4P/1K2Q3 b - a3,d4d2
5r1k/6p1/6Pp/p7/3q4/1P4QP/P5RK/8 w - -,g3c7
1nbqk2r/r1p1Bppp/p3p3/3n4/Pp1PN3/1B3Q2/1PP2PPP/R3K1NR b KQk -,d8e7
b1r1qrk1/p1n1bpp1/4pn1p/2ppN3/2P2B2/2N3P1/PPQ1PPBP/2RR2K1 w - -,c4d5
1k6/8/PK4p1/3p4/1P3PPP/1b1p4/3B4/8 w - -,h4h5
5rk1/4Qpbp/4b1p1/2P5/3pN3/5PP1/q3P1BP/5RK1 w - -,f1e1
3q1b1k/1b4pp/pp3p2/2n1PN1P/2P1P1Q1/1P4P1/PB4B1/6K1 b - -,d8d2
r4rk1/pppq1ppp/3b1n2/n2Pp1N1/4N3/8/PPPPQPPP/R1B1K2R b KQ -,d6e7
1n1q1rk1/2r2pp1/p4b1p/1b1pN3/1p1P1P2/1Q1B4/PP2N1PP/4RRK1 w - -,d3b5
8/8/7p/5k2/5p2/8/5K2/8 b - -,f5e4
2r3k1/5p1p/6p1/1p2p3/1Pb1P3/3BK3/2P3PP/4R3 b - -,c4d3
3rr1k1/p4ppp/1p1P1n2/2p1B3/2P3P1/4Pq1P/PQ3P2/2R1K1R1 w - -,g1g3
2r3k1/p4ppp/3Rb3/qp2Pp2/2p2Q1P/P1P2N2/1KP3P1/8 b - -,a5c7
4k3/1p3n1r/1p5P/4pp2/8/3R4/3NKP2/8 w - -,d3f3
8/5p2/R4Pk1/3P2p1/1r4P1/7K/8/8 b - -,b4d4
r1b1rnk1/pp2qpbp/2p3p1/1PP1p3/Q3P3/2N1B3/P3BPPP/R2R2K1 b - -,c8d7
1rbq1rk1/p1n1bppp/1p2p3/8/3P4/P1N3P1/1P3PBP/R1BQR1K1 w - -,c1f4
5r2/1p6/p3k1Br/2Pp3P/1P3p1R/2PKpPn1/P7/6R1 w - -,g1g3
6k1/5rb1/1p1Bp1qp/pN2P1p1/4R3/1b1P3P/1P4PK/4Q3 b - -,b3d5
3r3k/6pp/4B3/5p2/1p1P4/3N1P1P/1P4P1/6K1 b - -,d8d4
r4rk1/ppqnppbp/1np3p1/8/3P4/1QN1PB1P/PP3PP1/R1BR2K1 w - -,c1d2
r4rk1/1bpnq1pp/pp1b4/3p1p2/3Pn3/1PN1PNP1/PB3P1P/2RQRBK1 b - -,f8f6
8/8/7p/p5p1/P3R1k1/3r4/6KP/8 b - -,g4f5
1n1qkb1r/4pp1p/r2p1np1/2pP4/4P3/2N2N2/PP3PPP/R1BQK2R b KQk -,f8g7:b8d7
1R6/8/5kp1/5n2/1P5P/3r2PK/8/8 w - -,h3g4
r1b2rk1/ppq1bppp/4pn2/n5B1/3P4/P1N2N2/BP3PPP/R2Q1RK1 b - -,b7b5
r1bq1rk1/3n2bp/p2p2p1/3Pp3/NP2p3/3QBP2/4N1PP/2R2RK1 w - -,f3e4
r1b1k2r/1pqnbpp1/p2ppn1p/6B1/3NPPP1/2N2Q2/PPP4P/2KR1B1R w kq -,g5h4:g5f6
8/8/3kp3/1pNp1p2/1P1PnP2/1P2PK2/8/8 b - -,d6e7
6k1/2R5/1n2p2p/3pN1p1/6P1/r4NP1/b4K1P/8 w - -,c7c6
1r1r1k2/2p1R2R/n2p4/P4p2/B1pb1PP1/7P/6K1/8 b - -,a6c5
r2q1rk1/2p1bppp/4p3/p1nb4/1p1P4/5NP1/PPQ1PPBP/R4RK1 w - -,d4c5
r2qk2r/bpp2ppp/2n3n1/p3PbN1/2Pp4/P4NB1/1P1QPPPP/R3KB1R b KQkq -,d8e7
3b4/1KNk1p2/3p4/3PpPp1/2P1P1Pp/7P/8/8 w - -,c7a8
r1bq1rk1/pp1nbpp1/3p3p/1B1Qp3/4P3/5N2/PPP2PPP/R1B2RK1 w - -,f1d1
q2r2k1/2Q2pb1/p3p2p/1p1bPnp1/8/P4NB1/1P3PPP/2RR2K1 b - -,d8f8
2rq1rk1/3nbppp/4pn2/1p1p4/2p1PB2/2N3P1/1PQ2PBP/R2R2K1 w - -,e4d5
8/3rb1pk/p2p1p2/Bp6/7P/1P1p1P2/P2K4/4R3 w - -,d2d3
r2q1rk1/pb3p1p/3ppp2/2p5/2P1P3/P1Q2P2/1P2B1PP/3RK2R b K -,d8e7
4k3/8/8/8/1pP4r/1P6/6RK/8 w - -,h2g3
r3r3/1pqbnk1p/4p1p1/p1p2p2/P1P1PP2/1N2Q1N1/1P4PP/R3R1K1 b - -,b7b6
r2qk2r/1pp2ppp/p1pb1nb1/4N3/4P1P1/3P3P/PPP2P2/RNBQ1RK1 w kq -,e5c4
r5k1/5pp1/p3p2p/1pqbP1b1/3N2Q1/P2R4/1PP3PP/1K2R3 w - -,b2b3
rn3rk1/1p2ppb1/2pp1npp/7q/p2PP3/2P2N2/PPBN1P2/R1B1RQK1 w - -,f1g2
8/8/5pp1/3n3p/3k3P/5RP1/1r3P2/4K3 b - -,d4e4
8/8/1r3kp1/5p1p/7P/4PKP1/5P2/R7 w - -,a1a4
8/p4p1p/1pr1pkp1/8/1PP5/5KP1/P4P1P/2R5 b - -,f6e7
rn1q1rk1/pb1pb1pp/1p2p3/3n1p2/3P4/P2BPNB1/1P1N1PPP/R2Q1RK1 b - -,b8c6
r1b2rk1/1pq2ppp/2p5/p3p3/n3P3/4B2P/BPP2PP1/R2QR1K1 w - -,a2b3
2kr1b1r/1b1p1ppp/1qn1p1n1/p1p1P1B1/PpP5/1N1P1NP1/1P2QPBP/R2R2K1 b - -,d8e8
