8/8/1B4p1/2p5/2k3P1/3n1K2/1P6/8 b - -,c4b3
1r4rk/p1p1q2p/p1P2b1n/2NPp3/4Ppb1/P1BQ1N2/5PP1/4R1KR b - -,h6f7
8/8/2p2p2/p1p1p1k1/P1P1P3/1r1PK1P1/8/R7 b - -,b3b4
8/4b2p/k1b1Pr1Q/p1qr4/1pNp1PP1/1P6/P1P4P/1K1RR3 w - -,h6h7
4r1k1/p2qr1p1/3p1pnp/1PpP4/1n2PPP1/1P4RP/1B1Q2B1/4R1K1 b - -,d7b5
r2qkb1r/pp1nnppp/2p1p1B1/3pP3/3P4/4BN2/PPP2PPP/RN1Q1RK1 b kq -,h7g6
1k1r4/pp2p3/3p1r2/qP3Pp1/P1PQP1p1/3P2Np/5R1K/R7 w - -,d4e3
2r1r1k1/5p2/5B1p/Rpp5/1nppb3/5NP1/1P3PBP/3R2K1 b - -,c8b8
3r2k1/5ppp/4P3/2q5/2P4P/1Q4P1/5P2/5BK1 b - -,f7e6
1rr3k1/5p2/3p2pB/1pb1n3/p3B3/7P/PP3P2/2RR2K1 b - -,g8h7
8/6k1/4KP2/6P1/4N2P/4n3/8/8 b - -,g7f8
2r5/5pkp/3p2p1/3N4/3K2P1/1r1BR2P/8/2n5 b - -,b3d3
5rk1/1p5p/p2p1p2/PbpPr1q1/4PQP1/2N3RP/1P3R2/7K w - -,h1g2
8/1p3q1k/p1p1b1p1/P3Q2p/2P5/1PP1KBP1/8/8 b - -,f7d7
1r3rk1/1Q2ppb1/p2p3p/4q1p1/3n4/2NB3P/PPP2PP1/4RK1R w - -,b7a6
7k/1p5p/2n3p1/pN6/P1P3R1/1P2qr1P/7K/3Q4 b - -,f3h3
4r1k1/p4p2/3p3p/2q3P1/1p1Nb1n1/6B1/PPPQ3P/1K1R4 w - -,g5h6
r1bqk2r/ppp2ppp/2nbpn2/3p4/3P1B2/2PBP3/PP1NNPPP/R2QK2R b KQkq -,e6e5
r2q1rk1/p1p2ppp/2B5/b4b2/3P1P2/P1P1n3/1P4PP/R1B1K2R w KQ -,c1e3
8/p2R4/4k1p1/1Pp1p3/P1N1p1rp/4P3/5P2/5K2 b - -,e6d7
1r1q1rk1/3bppbp/ppnp1np1/8/P1PNP3/2N1BP2/1P1Q2PP/R3KB1R b KQ a3,c6d4
8/6p1/p3p2p/6kP/6P1/3K4/P7/8 b - -,g5g4
BR6/2r3pp/p1P5/p1kp4/P3pp2/3K4/6PP/8 w - -,d3e2
8/1bp2p1R/p2p1kp1/1p1P1n2/1qB1Q3/1P6/2P2P2/1K6 w - -,c4d3
3r2k1/p5p1/8/7R/3rq2P/1Q2B3/P4PP1/6K1 b - -,d4d5
r1bq1rk1/5ppp/2p2n2/p2p2B1/Pb1Q4/2N5/1PP1BPPP/R2R2K1 b - -,c8f5
r4rk1/2pbq3/1p1p1npb/p1nPp3/2P1P3/1P3PPp/P1Q1BR2/R2N1NBK w - -,f2h2
2r3k1/5pp1/4bq2/3p4/1p3N1p/5PP1/1P2R2P/2r1RQK1 b - -,f6d4
8/5pk1/1p3rpp/2b5/1pB5/1P3KP1/2PR1P1P/8 w - -,f3g2
8/6kp/2R3p1/4p3/rP1b1pP1/P4K2/R4P1P/8 b - -,g6g5
3r1rk1/5p1p/1p1Npn1b/p3R1N1/Pn5P/6B1/1P3PP1/3R2K1 w - -,e5e1
rnb2rk1/pp2ppbp/2pp1np1/7q/2PPP3/2N2NP1/PP3PBP/R1BQR1K1 b - -,c8g4:c8h3
2krn2r/1pp2ppp/p5b1/2bP2P1/2B5/P1N2P2/1P1N3P/2KRR3 b - -,e8d6
3rq1k1/1p1bbr2/p3p3/2npPppp/P1pN4/2P1PP1P/RPB3PB/3QR2K w - -,h2g1
1r4k1/3bqpb1/2p3p1/4n2p/3BP3/R2B2Q1/1PP1N1P1/6K1 b - -,c6c5
r1b1k2r/1pqn1pp1/p3pnBp/3pb3/2pP1BP1/2P1PN1P/PP3P2/RQ2K2R w KQkq -,f3e5
5r2/2q3pk/1p1Rp1b1/pBB1Q2p/8/5P2/PP4PP/6K1 b - -,f8f5
3rbqk1/1p3p2/p1nrp1pp/3P3P/4Q3/P4N2/BP3PP1/3RR1K1 b - -,g6g5
2rq1rk1/p4ppp/1p1bpn2/1b1nN3/2PP4/P7/1B2QPPP/RB3RK1 w - -,c4b5
6k1/5p2/8/R3P3/6P1/p6K/r6P/8 w - -,a5a6
r1bqrnk1/1p2bppp/5n2/pN1pN3/P2PpB2/1P5P/2P1BPP1/R2Q1RK1 w - -,c2c4
3r1k2/1p3pn1/6N1/2P3Pp/1PB5/5n2/7P/2R4K b - -,f7g6
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P3/2NP1N1P/PPP2PP1/R1BQ1RK1 b - -,h7h6
3k2r1/1p3p1p/B1n5/3p1n2/1P3r2/P4N2/4RPPP/2R2K2 b - -,c6d4
r1bq1rk1/pp2bppp/1n1p1n2/2p5/3NP3/2N5/PPP2PPP/R1BQRBK1 w - c6,d4f3
8/pk3r2/1p4Rp/2pPp2P/R7/2P1KP2/7r/8 b - -,h2h5
8/p7/8/3k2R1/Pb3r2/3K3P/2N5/8 b - -,d5e6
r4rk1/pp2p1bp/2p1b1p1/q3Pp1P/3P1B2/2P2P2/P2Q2P1/1K1R1B1R w - -,h5h6
8/pp1B1pkp/b2n2p1/4q3/4PP1P/1P4P1/P7/3R2K1 w - -,f4e5
r1b1r1k1/ppqnbppp/2pp1n2/4p3/2PP4/1PN2NP1/PBQ1PPBP/R4RK1 b - -,d7f8:e7f8
r4rk1/pb2qppp/3n1n2/2pp4/8/PPNBP3/2QN1PPP/2R2RK1 b - -,a8c8
2rr3k/5pb1/5Np1/pp1Pp1Pp/7P/qPPQ4/P5R1/1K1R4 w - -,f6e4
1Q4k1/5pbp/4nqp1/4p3/N7/1P3P2/P1P4P/1K5R b - -,e6f8
6k1/3n1p1p/6p1/p1p5/4B3/1P2P1P1/P4P1P/5K2 w - -,f1e2
2r2rk1/1b2bppp/pqnppn2/1p6/P3P3/1NN1BP2/1PP1B1PP/1K1R3R w - -,e3b6
r2qk2r/pp1bppbp/2np1np1/1B4B1/4P3/2NQ1N2/PPP2PPP/2KR3R b kq -,h7h6
r2qkbnr/ppp2ppp/2np4/4P3/2P3b1/5N2/PP2PPPP/RNBQKB1R w KQkq -,e5d6
8/k2q1p2/1p1P2p1/p2Q4/2P5/1PK2P2/8/8 b - -,a7b8
2rq1rk1/p2nbppp/bp3n2/2p2Q2/2pP4/1P3NP1/PB1N1PBP/R4RK1 w - -,d2c4
2bn4/1pr4p/p1nkp2r/3p1p2/1P1P1N2/P3RNP1/5P1P/4RBK1 b - -,h6f6
6k1/ppq2ppp/5n2/1b1pr3/8/1NP3PP/PP3PB1/R2Q2K1 w - -,b3d4
2r2bk1/1q3pp1/4p1n1/p3P2p/N4P1P/6P1/PP2QB2/3R2K1 w - -,a4c3
1r1q1rk1/1b2npBp/p2p2p1/1p1P4/P1p5/2P2BP1/1P1Q1P1P/R2NK2R b KQ -,g8g7
4rrk1/1p1b2pp/2pn2q1/pPQ5/P4P2/5R1P/1B3KB1/2R5 w - -,f2g1
r4k2/1p2rpnp/1R1Q2pN/8/q2P4/4P3/5PP1/5RK1 w - -,b6b7
r3kb1r/ppq1pppp/2bp1n2/8/3QP3/2N2PP1/PPP3BP/R1B2RK1 b kq -,e7e6
8/5bk1/8/5p2/1p5r/3B4/PP3R1P/5K2 b - -,f5f4
8/8/p5N1/4k3/4p3/2b1K3/P7/8 b - -,e5f6
3q1rk1/1b1r1ppp/pp1pp1n1/6bn/2P1P3/2N1NP1P/PP2BBP1/2RQ1RK1 w - -,d1b3
1r4k1/1p5q/p2pP1p1/P1p2n2/2N2P1p/8/1PQ3PP/3R3K b - -,f5d4
r2q1rk1/pb2bppp/1p2n3/3pPR2/3B4/2N5/PPPQB1PP/3R3K b - -,g7g6
2br2k1/1p3pbp/p2Nn1p1/2P1p3/1P6/4BN1P/P4PP1/2K4R w - -,f3g5
r4rk1/1pqb2bp/3p4/p1pP2NB/1n6/1Q2P3/PP1N2PP/R4RK1 b - -,g7h6
r2qk2r/pp1n1pp1/2pbpn1p/3P4/6P1/2NP1Q1P/PPPB1PB1/R3K2R b KQkq -,c6d5
4b1kr/1p2q2r/3p1p1p/pnpPpPp1/P1P1P1PP/1P2K2R/4B2Q/7R w - -,c4b5
2kb3r/Bpq2pp1/p5b1/2p5/2P5/1B3PQ1/P6P/R5K1 w - -,g3g4
2b5/5p2/1ppk4/p1n1n1p1/2PNP1P1/1PN1KP2/P3B3/8 b - -,f7f6
1r1r2k1/5pp1/p4n1p/2qp1P2/1p3RP1/7P/PPPQ2B1/3R2K1 w - -,d2f2
rnbqkb1r/pp2pp1p/2p3pn/3pP3/3P1P2/2N2N2/PPP3PP/R1BQKB1R b KQkq -,c8g4
r1bqk2r/1p2bppp/p1np1n2/2p1p3/P1B1P3/2NP4/1PP2PPP/R1BQKN1R b KQkq a3,c8e6
4r1k1/p4p1p/1pb4r/7Q/P3p2p/B1P1P1P1/5P2/R2R2K1 b - -,h6h5
3r1k2/4rP2/2Q5/1N1pq3/p5P1/1P6/P1PP4/1K3R2 b - -,a4b3
rnbqk2r/pppp1ppp/5n2/4B3/1b6/4P3/P1PP1PPP/RN1QKBNR b KQkq -,e8g8
2r1r1k1/1q3pb1/6p1/1N1R2Pp/p3R1bP/2N5/PPQ2B2/K7 b - -,e8e4
8/8/6k1/7p/p1p2P2/P3NK1P/1b6/8 w - -,e3c4
2r2rk1/p3q1pp/bppb1n2/5p2/2NPp3/1P2P1P1/PB2QPBP/2RR2K1 w - -,e2c2
3rr3/5kp1/p7/1pqp1Q1p/5P2/1BP5/P5PP/3R1K2 b - -,f7e7
8/1R2k3/4p3/5pK1/r7/7P/8/8 b - -,e7d6
1r2qb1k/1p1br1pp/p7/3P2Q1/3Bp3/1P1B4/2P3PP/4RR1K w - -,e1e4
8/8/7p/3kpp2/1b6/pN1K1P1P/P7/8 w - -,d3e3
3r4/5kp1/1q1bpn1p/4P3/1ppP4/2N1Q1P1/1P3PKP/3R4 w - -,c3e2
2r1r1k1/3n1pp1/1ppqn1p1/1P1p4/N2P4/1N2P1P1/2Q2PP1/1RR3K1 b - -,c6c5
r3brk1/ppq3bp/2p1R3/2P1p3/5p2/1PN1B1PP/P4PB1/2RQ2K1 b - -,f4e3
4rr1k/1b4bp/p7/2n4p/1P1p1q2/P4P2/2Q1BBP1/1R1R2K1 w - -,b4c5
r2r2k1/1pq2pbp/p1npp1p1/2n5/P1P1P3/1PN2P2/4NBPP/2RQ1R1K b - -,a8c8
rn3rk1/1b3ppp/pp2qn2/5N2/Np1pP3/3P2P1/P4PBP/2RQ1RK1 w - -,c1c7
r1bq1rk1/bpp2ppp/p1np4/3Pp3/8/1P2PNP1/PB1P1PBP/R2Q1RK1 b - -,c6e7
5bk1/p1r3q1/2Bp4/3P4/1PN1Pp2/5Pn1/2Q3PK/3R4 w - -,h2g1
r4rk1/1ppbqpp1/1pnp2np/8/3NP3/2P1B3/P1Q1BPPP/R4RK1 w - -,d4b5
8/2bk4/3p4/1PpPp3/1pN1PpK1/1P3P2/8/8 b - -,d7c8
rn3b1r/ppk1pppp/2p5/5b2/3P4/1P3N2/1P2PPPP/R1B1KB1R w KQ -,c1f4
r1bq1rk1/pppn2b1/2np3p/4ppp1/2PP4/2N1PN1P/PP2BPPB/1R1Q1RK1 w - -,d4d5
3r4/R2Pk2p/7p/p3p3/4K3/6P1/5P2/8 b - -,d8d7
R7/5k2/b3r3/4B1p1/p2P1p1p/1PP4P/P4KP1/8 w - -,a8a7
r1b3k1/p1p1p1b1/1pn2rBp/3npP2/2q5/2P2NN1/PPQB2PP/R4R1K w - -,b2b3
3rk1r1/1p2np2/2b1p3/p3P1PP/q4P2/P1pB4/2P2Q2/1RB1K1R1 b - -,e8f8
2r1r1k1/4npb1/R5pp/8/3PpB1P/R1P1N3/5PP1/6K1 b - -,e8d8
2rr2k1/4bpp1/2q1p2p/pp1nB3/2pPR3/P1P4P/1PQN1PP1/R5K1 w - -,e4g4
3rr1k1/pb3npp/np1B4/7q/4pR2/1QN3P1/PP4BP/5R1K b - -,d8d6
3r3r/pp1k1ppp/1bn1p3/1N6/4PB2/8/PP2KPPP/2R4R w - -,h1d1
2r3k1/pp2pp1p/3p2p1/4n3/3N2PP/2n5/PqPQB3/3RK2R w - -,h1h3
2q5/3b3p/3p3P/1p1Pk3/p7/P4P1N/1P4K1/2Q5 w - -,c1g5
r1bq1rk1/ppppbppp/2n2n2/4p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 b - -,a7a6:d7d6
1rbq1rk1/1pp2pbp/3p1np1/p3n3/P1P1P3/2N2NPP/1P3PB1/R1BQ1RK1 w - -,f3e5
r1bq1rk1/pp2pp1p/2p3pB/4b3/2P5/P2B1Q2/1P3PPP/R4RK1 b - -,f8e8
3r4/q2nkp2/N1B1bb2/1Q2p2p/5p2/1P3N1P/P4PP1/3R3K w - -,b5b4
rn1qk2r/1p3pp1/p1pp1n1p/2b1p3/2P3b1/P1NP1NP1/1P2PPBP/R1BQ1RK1 w kq -,c1d2
r3r1k1/2qbbpp1/1n1p1n1p/1p2p3/2pPP3/2P2N1P/1PB2PP1/1RBQRNK1 w - -,g2g4
3r4/1p1r4/2pppk2/p5R1/P3PP2/1P3K2/2P5/3R4 w - -,d1g1
2R5/p3b3/2N2kp1/6P1/8/1P6/2n1r2P/3R3K b - -,f6g5
r1q1k2r/pb2ppb1/1pnp2p1/2p2n1p/2P5/1P2PNPP/PB1PNPB1/1R1Q1RK1 b kq -,g7b2
r2r2k1/pp1bppbp/5np1/3n4/1P6/P1N1PN2/3BBPPP/2R2RK1 w - -,f1d1
r1b1k2r/pp1nqppp/2p2n2/2bP4/5P2/2NQBN2/PPP3PP/R3KB1R w KQkq -,e1d2:f3d4
r1bqnrk1/1pp4p/3N2p1/3Ppp2/1PP5/2N5/4BPPP/1RbQ1RK1 b - -,c7d6
r1b2rk1/3nqppp/1pp1p3/p2pN3/PnPP1P2/2N1P3/1P2B1PP/R2Q1RK1 w - -,c3a2
r6r/1p4pp/p1n2k2/3p2N1/1P6/b2B4/4RPPP/5RK1 w - -,e2e6
8/4kp2/3b1p2/pp2p2P/2p1B1Q1/P1P3P1/1P1q1PK1/8 w - -,g4c8
r1bq1rk1/pp1n1ppp/4pn2/1B6/8/2N1Q3/PPP2PPP/2KR2NR w - -,g1f3
3r2k1/pb2r1bp/1pq3p1/2p2pP1/2Pn1B2/P2P1N1P/3R1R1K/3QN3 w - -,h2g3
r1b1k2r/1pqnppb1/p2p1npp/8/3NPP1B/2N5/PPPQB1PP/2KR3R b kq -,e8g8
1n3r2/3Rkp2/bp2p1r1/pB1pP1p1/P2P2N1/5R2/1P2N1PP/6K1 b - -,b8d7
r2qrbk1/1bp2pp1/p2p1n1p/1p2pN2/2P1P2B/1P1P1N2/1P2QPPP/R4RK1 b - c3,g7g6
2r3k1/p3rppp/1p1bp3/3q2PP/3PN1R1/8/PPP1Q3/1K4R1 b - -,g8h8
r1b2kr1/pp5p/1np1pq1p/4p2Q/4Pb1P/1BN3P1/PPP2P2/R4R1K w - -,g3f4
1rbq1rk1/p2nppbp/3p2p1/1pp5/3nPP2/3PB1P1/PPPQ2BP/R1NN1RK1 b - -,b5b4
rn1q1rk1/4b1pp/p2P4/1pp1p3/8/PB1QBb2/1P3P1P/2R2RK1 b - -,c5c4
b1q1r1k1/5ppp/4n3/3p4/3N4/Q3P1PB/5P1P/R5K1 b - -,a8b7
2R5/1r3pk1/1r3npp/8/1p1R4/1B2P1P1/P4P1P/6K1 b - -,b7b8
r1bq1rk1/1p4b1/2p2n1p/p1pPpp2/2P1P2P/2N4B/PP1NQP2/R3K2R w KQ -,e1c1
8/2p2kpp/4pn2/1P6/3N1P1P/1P4P1/6K1/8 b - f3,f6d7
8/7R/3k2p1/8/1PbN3P/r1n3P1/5PBK/8 b - -,c4d5
4rrbk/pp2n1p1/1q1bpn1p/3p4/3P3N/2B3N1/PP3PPP/1B1QRRK1 b - -,b6c7
8/6k1/6p1/5r2/2R3p1/8/4K3/8 b - -,f5g5
2r2rk1/pp1qn2p/4ppp1/8/3P2Q1/P2B3R/1P3PPP/R5K1 b - -,f8f7
r1bqkb1r/pp1n2pp/2n1pp2/3pP3/3P1P2/8/PP2N1PP/R1BQKBNR w KQkq -,g1f3
1r4k1/5p2/2q1pn2/3p4/3P4/4PPp1/QP1K2P1/2N4R b - -,c6b5
1r2r1k1/5pbp/3p2n1/ppqP1p2/4p3/P1P3P1/1PNQBP1P/3R1R1K b - -,f5f4
b1qrr3/p4ppk/1p2p2b/2pP3Q/2P2B2/1P2N3/P2R1P1K/3R4 b - -,e6d5
r1b1r1k1/ppqn1pbp/2pp1np1/8/P2NP3/2N1B1PP/1PP2PB1/R2QR1K1 b - -,a7a5
5r1k/p6p/R5p1/4r3/1Q3p2/5P2/1P3qPP/3R3K b - -,f8e8
8/3k2p1/1p2n2p/p2rPp1P/P4P1N/1P2K3/8/6R1 b - -,d5c5
r3r1k1/1p3pBp/p2Qb1p1/3N4/4Ppq1/8/PPP3PP/2KR3R b - -,e6d5
r3k2r/1bqnbppp/p2p1n2/1p1Pp3/5P2/P1NBBQ1P/1PP3P1/R3K1NR w KQkq -,g1e2
r2q1k2/pp6/2p1bb1Q/3n1pp1/2BPp3/2P1P1B1/PP1N1P2/2KR4 b - -,f8e8
4rrk1/pppq2bp/3pb1p1/8/2Pp1B2/3P1PP1/PP4BP/R2QR1K1 b - -,f8f4
r1b2rk1/2p1qppp/p2b4/1pp1p2n/4P2N/1P1P4/PBPN1PPP/R3QRK1 w - -,h4f5
r4r2/1p2p1k1/p4b2/2pPpp2/2P3p1/2NQ4/P5q1/1R2KR2 w - -,f1f5
r1bqr1k1/pp3ppp/4pb2/8/3P4/B3P1P1/P4PBP/1R1Q1RK1 b - -,f6e7
2kr3r/p2p2p1/1p2p3/4q3/8/P1PQ4/P4PPP/2R2RK1 w - -,h2h3
3rb2r/2q1k3/1pn4P/p1b1PBp1/P5P1/1P2N2Q/1B6/2RR2K1 w - -,g1f1
r2qk2r/2p1bppp/p1n5/1p1pPb2/8/1BPn1N1P/PP1NQPP1/R1B2RK1 w kq -,b3c2
rnbqk2r/pp2npb1/3pp1pp/2pP4/2P1P2P/2N2N2/PP3PP1/R1BQKB1R w KQkq -,f1d3
3r3r/pp2bk2/4pp2/3n2pp/2RPN3/4B3/PP3PPP/5RK1 b - -,d8c8
r2b1qk1/1p1b4/p1pp1r1p/3Pp1p1/1P2P3/4B1PP/P2Q1PB1/1R1R2K1 w - -,g2f1
3r2k1/Q1p2pp1/2B2qbp/3Pp1n1/P1p5/R1N3P1/1r2PP1P/4R1K1 w - -,a4a5
r3k2r/pp2bp1p/2p1p1p1/2PnP3/5PP1/5NKP/PPQBqR2/2R5 b kq -,e2a6
rnb2rk1/p5b1/1ppqp1pp/2N2p2/2BP4/4PN2/PPP3PP/R2Q1RK1 w - -,c5d3
r2r2k1/1p1b1ppp/p3p3/q3n3/3RB3/2N1Q3/PPP2PPP/2K4R b - -,d7c6
8/6p1/3k4/1P3K1P/8/4b3/2p1N3/8 w - -,f5g6
6k1/4R3/1p4K1/p1p4p/2P5/1r2P2P/5P2/8 b - -,g8f8
3n1rk1/pp1r2p1/1b2q2p/4Pp2/1PQp1B1P/P7/3N1PP1/2R1R1K1 b - -,d7c7
r1b4r/3q1k2/pRp1pp2/2BpPnp1/7p/2P5/P1PQBPPP/1R4K1 b - -,d7c7
8/1R2b2p/4k1p1/8/1p6/6P1/1PrB1P1P/6K1 w - -,d2b4
1q3r1k/r5bp/3p1p2/pbnPpP2/1p2P2Q/5NR1/PPB2P1P/1K1R4 b - -,f8f7
8/6k1/8/3B1p2/6p1/6K1/5P2/8 b - -,g7g6
5rk1/p1p2pp1/1p2p3/4P1P1/2P1Q3/1P2P3/P2R1PK1/q7 b - -,a7a5
3r2k1/1R3p2/6pp/8/3p4/6P1/2r1PP1P/3R2K1 w - -,b7e7
8/8/p5p1/P2k1bPp/1Pp2K1P/2Pp4/3B3R/6r1 b - -,g1g4
r1bqk2r/1p2bppn/pn1p4/2pPp2p/2P1P2P/2NB1PP1/PP2N3/R1BQK2R w KQkq -,c1e3
8/8/R5k1/2r5/5PK1/8/8/8 b - -,g6g7
4rk2/4p3/1B1pb3/6r1/1p2P1P1/1P5B/P1R5/6K1 b - -,e8c8
2k1r3/pp3p2/2n1bB1Q/q2pPp2/3P2r1/P4N1P/2P2PP1/R4RK1 b - -,g4g6
