3Q2R1/8/4rkp1/1p6/4q3/5p2/5P1K/8 b - -,f6f5
2r2n1k/3r2b1/p1bBp2p/1pNpPp1B/3P1P2/6R1/PP5P/6RK b - -,d7d6
r4bk1/1q1r1ppp/p3p3/1p2P1N1/6R1/8/PPP1Q1PP/1K3R2 b - -,h7h6
1r2r3/2R1npk1/4p1p1/4N2p/3PP3/1p3PP1/4K1P1/1R6 b - -,b8b5
r3r1k1/1p1bq1p1/p2np2p/P2P1p2/2pP4/2P2P1P/2P1BQPB/R4RK1 b - -,e6d5
8/4k3/1R6/r7/6K1/8/3B4/8 b - -,a5d5
8/6p1/2Pk4/8/4B2r/4KP2/8/8 w - -,e3f2
8/1p6/1kp2b2/p2p1Bp1/P2P1p2/2PQqP2/KP6/8 w - -,d3d1
3r1qk1/p4pp1/1p2r2p/8/4P1QP/P5R1/5PP1/4R1K1 w - -,h4h5
rn1q1rk1/4ppbp/3p2p1/np6/Q2PP3/2P1BP2/5P1P/1R2RBK1 w - -,b1b5
8/3n1kp1/R7/p4P1p/1p5P/1P1K1N2/r7/8 w - -,a6a7
3q2rk/5r1p/p1Qpb3/1pp1p3/5pNP/P1PP2Pn/1PBR1PKN/4R3 b - -,f4g3
6rr/p1pn1qk1/1p1p1p1p/4pPp1/2PP2PP/P1P1BP2/3Q2K1/4R2R w - -,h1h3
5rk1/p3n3/Ppnq3p/3p1pp1/3P4/1PB5/r4PPP/1Q1RRBK1 b - -,a2a3
3r2k1/r7/1R1p2p1/3Np1b1/4P1P1/P7/1P6/1K3R2 w - -,b1a2
r5k1/1b2p1bp/5pp1/q2p4/1nrP4/2N1PN1P/1Q3PPB/1R3RK1 b - -,a5a3
3r3k/7p/B2P4/2n1pp2/Pp6/4P3/8/3R2K1 w - -,a6b5
2b5/2B5/3R4/P7/2k2P2/r1p5/2K5/8 w - -,d6c6
r4rk1/1pqbbppp/p2ppn2/8/P2BPP2/2N5/1PP1B1PP/R3QR1K b - -,d7c6
8/2B2p2/4b1k1/1R5p/2r2p2/5P1P/6PK/8 w - -,c7d8
8/1pq1kr2/3n3R/p2pp1p1/5bQ1/B2B4/PPP2P2/1K6 b - -,f7f6
2r3k1/5pp1/1p2n1qp/p3P3/3p4/4RNPP/Q3PPK1/8 w - -,e3b3
2r3k1/4qpb1/1Bn1p3/pN2n3/Ppp1P1p1/2P3P1/1PQ1BP2/3R2K1 b - -,c8b8
8/5p2/1r6/4p1p1/4B1Pp/4kP1P/6K1/8 w - -,g2g1
8/np6/p1p1k1p1/P4pP1/BPP1pP2/4P3/2K5/b3B3 b - -,a1g7
1qrb1rk1/1b1n1ppp/pp1ppn2/8/1PP1PP2/P1N2B2/3NQBPP/2RR2K1 b - -,d8c7
rnnqkb1r/1p3pp1/p1p1p1bp/3p4/P2PPBP1/1BN2N1P/1PP1QP2/R3K2R b KQkq -,f8b4
8/2RP4/6pk/7p/6n1/8/1P4PK/3r2N1 w - -,h2g3
4r1k1/p6p/3q2p1/2p5/1PR1P3/P2p4/3Q2KP/8 b - -,e8d8
2r1kb1r/pp1bpp2/3p1p1p/2q2P2/4P3/2NQ4/PPP3PP/2KR1B1R b k -,h6h5
8/p2n1k2/1pb3p1/2pp4/5B2/P1PB2N1/7P/6K1 b - -,f7f6
r4rk1/4qp1p/p1p2np1/4pN2/P1P5/6PP/5PK1/R4R2 w - -,f5e7
5k2/p4p2/1r2nb2/3p4/3P3p/1N1B2N1/PP3P2/1K5R w - -,g3f5
r4rk1/p2pp2p/1p4pQ/2q1n3/2P1P3/1P5P/P3N1P1/R2R2K1 w - -,e2d4
1nb2r2/r1p1Npkp/pp4p1/4b3/P7/7P/1PP1BPP1/R1B2RK1 w - -,e7c8
3r2k1/1R3pb1/2bqp2p/r7/p2P4/P1Q3N1/2B2PPP/3R2K1 w - -,b7b6
rnbr2k1/p3q1pp/1p2p3/4Pp2/4pP2/2P1Q3/PP2B1PP/R3K1NR b KQ -,c8a6
r4rk1/1b2q1pp/1p1b4/p1ppNp2/1n1Pn3/1P2P1P1/PB1N1PBP/1QRR2K1 w - -,a2a3
5b1k/8/3p1p2/pNpPpq2/1nP1P1BP/1P6/8/5K2 w - -,g4f5
5rk1/p1B1bppp/b1B1pn2/8/NrpR4/6P1/PP2PP1P/R5K1 b - -,f8c8
6k1/p6p/6p1/3p1B1P/6P1/4rK2/8/8 w - -,f3e3
r2qr1k1/2pbbppp/pp2p1B1/2Pp4/1P1P1P2/P1N2N1P/3Q1PP1/R4RK1 b - -,h7g6
8/3n3R/3r4/2pk4/8/6PP/2K2P2/8 b - -,c5c4
5r2/4q1kp/2p1p3/4P1p1/p1Q1P1B1/r5P1/5P1P/3R2K1 b - -,f8d8
r5k1/1bpn1pp1/p2r3p/P3p3/1p2P3/1B2BP1P/1PP3P1/R3R1K1 b - -,b7c6
rn1qk2r/1b2bppp/p4n2/1ppp4/5P1N/2NP2P1/PPP3BP/R1BQ1RK1 b kq -,d8d7
7k/5ppP/2P4b/4p3/1K2n3/8/r7/3R3R b - -,a2c2
r4rk1/1p2bpp1/1np1p2p/p2p1b2/P2P4/2P1P1BP/1P1NBPP1/R4RK1 b - a3,f5g6
6rk/1p2P1rp/5Q2/3p4/P6N/1p1b3P/2p4K/8 w - -,f6b2
8/5p2/8/2p2k2/1p1bp3/5rP1/PP2KP1R/2B5 w - c6,b2b3
r4rk1/1p2bppp/1pn1pnb1/8/4PB2/2N2NP1/PP3PBP/R3R1K1 w - -,f3e5
8/1p4r1/1k6/3B1p2/1KP5/8/6P1/8 b - -,g7g4
b1rr2k1/2bnnpp1/pp2p1q1/7p/1P2PP2/PQN1BNPP/3R2BK/4R3 w - -,e1d1
rnb1kb1r/1p3ppp/2p2n2/3P4/p3p3/3P2P1/Pq1BPPBP/RNNQK2R w KQkq -,d2c3
8/8/8/4k1pp/1p6/4K3/P3N3/4b3 w - -,e2c1
5r1k/6pp/1p6/1Pq1p3/2B1Q3/1P4P1/2n3KP/4R3 w - -,e4c2
r5k1/ppp3pp/3pb3/PP2p1q1/2P1P2n/3P3P/5QB1/5RKR b - -,h7h5
3r1rk1/pp2qppp/4b3/3pP3/2pQ1Pn1/2N3P1/PP2P1BP/R4RK1 w - -,f4f5
1kn1q2r/pp5p/2r5/2b1pP2/4P2P/3PpQ1B/1P2N3/1R3K2 b - -,e8d8
5rk1/5p1p/p3q1p1/2p5/2QbP3/4B3/1r3PPP/3RR1K1 w - -,c4c1
r2qk2r/3bbppp/p1nppP2/6B1/5P2/2Q2N2/PPP3PP/2KR1B1R b kq -,g7f6
8/8/5pk1/8/1p2P3/2r4p/5P1K/1R6 b - -,b4b3
4n1k1/1ppr1q1B/p2p1P1R/3P4/3Q1P2/1P6/P4K2/8 b - -,f7h7
r4rk1/2pqp1bp/pn3pp1/1p1bP1N1/3P4/BP6/P1Q1BPPP/3R1RK1 w - -,e5f6
r2qkb1r/pp1bpppp/2n2n2/2pp4/Q2P4/2P1PN2/PP1N1PPP/R1B1KB1R w KQkq -,a4c2
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2PP4/1Q3NP1/PP2PPBP/RNB1K2R w KQkq c6,d4c5
r1nq1rk1/pp1b1pnp/3p2p1/P1pPp3/4P1PP/2N1N3/1PPQBP2/R3K2R w KQ -,e3c4
3r2k1/2q1bppp/p2r4/1p2p3/2b5/2P1BP2/PP4PP/1QNRR1K1 w - -,d1d6
r2r2k1/p1b1qp1p/2b3p1/1p1p4/2pP1P2/1P2PQNP/P5P1/R1B1R1K1 b - -,f7f5
3Q4/7p/6p1/4pk2/8/7P/2p3PK/8 b - -,c2c1q
1r1q1rk1/1p1bppbp/p1Pp2p1/4n3/2P2B2/1PN3P1/P2QPPBP/2R2RK1 b - -,b7c6
4q3/5pkp/R2p1pp1/2pP4/3r1P2/1P3Q1P/2P3PK/8 b - -,e8e1
8/p4ppp/1p1pk3/8/2b2P2/2P3P1/5K1P/1R6 w - -,b1e1
8/5p1k/1R2p3/5r1p/1R3p2/P4K2/1P5r/8 b - -,h2h3
r2qkb1r/p4ppp/1n2p3/3p4/4P3/2B3P1/PP3PBP/R2QK2R b KQkq e3,d8c7
3R4/1p3k1p/1p2r3/8/1bP5/4P1N1/r5PP/5RK1 b - -,f7e7
6k1/1n2qppp/8/p3N3/bp2P3/5PP1/PB1Q3P/2r3K1 w - -,d2c1
8/p4k2/1p3n2/3p2Q1/3P4/1P1P1pKB/q4P2/8 w - -,h3f5
8/pr2k1pp/2p5/p3p3/P3P3/1P1R1PN1/2K2bPP/8 b - -,g7g6
4r1k1/3q1p2/2pp2n1/1p3pPP/4rP2/P2Q2B1/1P3RK1/2R5 b - -,g6e7
r2qk2r/pp3ppp/2n5/3bp3/1b6/1NP2P2/PP1B2PP/R2QKB1R b KQkq -,b4e7
5N2/p3k3/4p3/2P1Pp1p/3P4/5K2/P2b1P2/8 w - -,c5c6
8/2r5/8/1p2Rp2/1P2p3/4k3/1K6/3R4 b - -,c7c4
3rnr1k/6pp/qb2Bp2/p3P3/Pp1pNP2/3P2P1/1P2Q2P/2R2RK1 b - -,a6b7
4r1k1/3R4/1p1npb2/6p1/5PB1/1P6/5B1P/6K1 b - -,d6e4
r4rk1/1pp2p2/3p3p/2nPpbb1/p1P1P1P1/P1N2B2/1PK3P1/3R3R w - -,g4f5
8/1p2rpk1/1R4p1/p2B4/P2b4/6P1/5P1P/6K1 w - -,b6b7
1rbqk2r/1pp1bppp/p1n1pn2/P7/Q1pP4/5NP1/1P2PPBP/RNB2RK1 b k -,e8g8
5rk1/6b1/p2pb2p/1P4p1/3n1p2/1P5P/3N1PPB/1B2R1K1 b - -,a6b5
8/6pp/pkp5/3p4/1P6/P1R3P1/2P1KP1P/r7 b - -,b6c7
8/4K3/4RPk1/7p/8/8/8/5r2 w - -,e6e2
1r2br2/bpp1n1pk/3pqp1p/4p3/pPP1P1P1/P2PNQ1P/1B3PB1/1R1R2K1 b - -,e7g6
1r1q1rk1/1ppn1pbp/p2p2p1/3Pp3/1PP1P1b1/P1N1BBPP/5P2/R2Q1RK1 b - -,g4h3
8/k6p/PN4b1/5p2/4pP2/4K3/7P/8 w - -,b6d5
8/1p3p2/p5k1/r5p1/4P3/1P3K2/P3R1P1/8 b - -,a5c5
r1b2rk1/p2nqpp1/1p5p/2Pp4/8/3BPN2/PP3PPP/2RQK2R b K -,b6c5
6q1/2k5/5P1K/7P/8/8/8/8 b - -,c7d6
rnbqk2r/1p3ppp/p2ppn2/8/1bPNP3/2NQ4/PP3PPP/R1B1KB1R w KQkq -,d4c2
5q1k/5prp/3P1Q2/8/2p2P1P/6R1/6PK/8 b - -,h8g8
2kr1b1r/1b1n2pp/pq2p3/1p1nP1N1/2p5/2N5/PPB2PPP/R1BQ1RK1 w - -,c3d5
2kr3r/R1p3p1/1p3p2/2n1P2p/1qPpPP1P/2b2NPb/Q4R1N/5B1K b - -,h3f1
3k4/5B1R/pp6/5K2/P1r5/4r1P1/7P/8 b - -,c4a4
r2q1rk1/pb2bppp/1p3n2/3p4/3P1B2/1Q1B1N1P/PP3PP1/R3R1K1 w - -,a1c1
6R1/3R4/4rk2/p1r2ppB/1pP5/1P2p1PP/P7/6K1 w - -,g8g6
2r3k1/6bp/1nqp2p1/1pn1P1P1/p4p1P/P7/1P1NQ1B1/1KRR4 b - -,c6e8
3k4/p2b1p2/4p3/1p1p4/r1B5/P1R3P1/5P1P/5NK1 b - -,b5c4
r1b1r3/pp3pbk/1npB2pp/4p3/2PnP3/1PNR1N1P/P4PP1/3R1BK1 b - -,d4f3
1Q6/5pbk/4b1p1/P2pnqPp/4p2P/1P2P3/5PB1/2R3K1 w - -,a5a6
3r1b1k/R5pp/2p2p2/4p3/2Q1P3/3P1NP1/5PKP/1q6 w - -,a7f7
r2q2k1/1b1n1pp1/1p5p/pPpN4/3P4/1Q3N2/P3rPPP/R3R1K1 b - -,e2e1
2b5/1r2npkp/p1PQ1p2/4p3/2B1P3/5P2/PP4PP/2R3K1 b - -,b7a7
1r3rk1/ppq2pbp/2n1pn2/2ppNp2/3P1P2/2P1P3/PP1NQ1PP/R1B2R1K w - -,a2a4
8/pp4b1/2k1p3/2P2p1p/2KN1P2/6P1/P6P/8 b - -,c6d7
r1b1qrk1/ppp2pbp/3p2p1/2nPp1B1/2P1P1nP/2N5/PP1QBPP1/R3K1NR b KQ -,f7f6
7Q/8/5p2/5q2/4p1k1/8/5P2/4K3 w - -,h8g7
r5k1/1p3p1p/3q2p1/p1ppr3/2P3R1/1P2P3/PQ3PPP/3R2K1 b - -,a8e8
1r3k2/5p1p/4p3/RpK3p1/1P6/6PP/5P2/8 b - -,f8e7
bq6/2Q2k1p/1B1p1Pp1/pP1Pp1P1/P7/6P1/7P/6K1 b - -,b8c7
r5k1/p2r1pp1/2p4p/1R1p4/2nN4/2P1P3/P4PPP/4K2R w K -,d4c6
