3R4/p5pk/6rp/4q3/8/3Q3P/PP2K3/4N3 w - -,e2d1
1b1r3k/4R3/1BB3pp/1P3p2/p7/8/1P4PP/7K b - -,d8d1
8/8/2k5/7p/4K2P/8/8/8 w - -,e4f5
8/5p2/4bk2/3pn2R/3N1PP1/1P6/3KB3/6r1 b - -,e5g4
r1bqk2r/1p2ppb1/p1np1np1/2p3Bp/P1B1P2P/2NP4/1PPQNPP1/R3K2R b KQkq a3,c8d7
8/6pk/Q4n1p/P3qP2/5p2/3P1B1P/1P3PK1/8 b - -,e5f5
r2qkb1r/1p1b1ppp/p2ppn2/6B1/3nPP2/2N2Q2/PPP3PP/2KR1B1R w kq -,d1d4
3rr1k1/1p1n1qbp/p1n1p1p1/3p4/5P2/2P2BPP/PPN1QB2/3R1RK1 w - -,f1e1
3r4/4kp2/2R1b2p/8/Pp1p1P2/3B4/1P3K1P/8 w - -,c6b6
2k2r2/pp1bnrp1/2n1p2p/q2pP2P/2pP2PN/P1P1B2B/2P1Q3/R3K1R1 b Q -,f7f4
6k1/1p6/p5p1/1P3p2/2P1r3/1n2p1P1/1P2B2P/4R1K1 b - -,b3d4
8/6k1/3p1R1p/3Pn1p1/p7/P5PB/1r5P/7K w - -,f6d6
5b2/2RnN3/3Pbp2/7k/1P2p1r1/4B3/r2R1P1K/4N3 b - -,a2a1
8/4b3/5k2/3K4/1p3p2/6pB/2PN4/8 w - -,d2e4
2r2b2/p4Npk/8/2pP4/3p4/1P6/PB2nP1P/4R2K b - -,c8e8
rnb2rk1/1p1qbppp/2p5/p2p4/P2P4/2N3P1/1P2PPBP/R1BQ1RK1 w - -,e2e4
2kr1r2/1p2qp2/2p1p2p/P1bnP1pB/1pQ5/2P3P1/1P3P1P/R1B1R1K1 w - -,c3b4
2q2rk1/4bppp/b3p3/p3P1B1/Pn2N3/1B1P1N1P/1P3PP1/3Q2K1 b - -,c8d8
3B4/8/p2n2p1/1P1k2P1/P7/2K5/8/8 w - -,c3b4
rr4k1/1p3pp1/5bp1/2p5/1p3N2/1PnBP2P/P1RR1PP1/6K1 b - -,a8a5
rnbqk2r/pp2pnbp/2p2pp1/3pP3/3P1P2/2N1BN2/PPP3PP/R2QKB1R w KQkq -,f1d3
4r3/pbn3pp/1p1k1p2/3p4/3P1N2/2R1P1P1/PP3P1P/5BK1 b - -,b6b5
bR6/r2q1pkp/p1n1pbp1/2Pp4/B2P4/1Q3N1P/P4PP1/1R4K1 w - -,b8b6
r3k2r/pp1bbp1p/1qnppp2/8/4P3/1NN5/PPPQ1PPP/2KR1B1R w kq -,f2f4
8/8/8/6p1/4P3/3k1K1P/5r2/8 w - -,f3f2
7k/2p3p1/3b3p/1P2Q2P/3N4/6P1/5PK1/8 b - -,d6e5
3r2k1/4bppp/1pp1p3/3rP3/6Q1/P1BqR1PP/1P3P2/R5K1 b - -,d3b5
4r1qk/r6p/p2p1p2/2pNbP1R/8/P4Q2/2P3PP/5R1K w - -,c2c4
4r1k1/1q1n1pbp/r2p1np1/2pP4/P1N5/1PN2Q2/5PPP/1RB2RK1 b - a3,d7e5
6k1/6pp/2p5/1p6/4K1P1/1r6/1PR2P2/8 w - -,c2c6
6k1/pp1bb1pp/4p3/3pP2P/1P1Rpr2/2N4R/P1P3P1/K7 b - b3,d7e8
r5k1/1pp1bpp1/1nq1p2p/2NnP3/1P1P4/5N2/3B1PPP/Q1R3K1 w - -,a1b1
5rk1/6p1/p1p1p2p/1n2P3/1rNP4/3R2P1/1PR1K2P/8 b - -,b4a4
r1bq1rk1/1ppnbppp/4pn2/3p4/p1PP4/P4NP1/1PQNPPBP/R1B2RK1 w - -,e2e4
6k1/7p/p2r1ppb/2p1p3/2P1P3/5N2/1P2KPPP/R7 w - -,b2b3
r2q1rk1/p3n2p/1pnpbppQ/2p1p3/1P2P3/P1PP1NP1/5PBP/RN3RK1 w - -,b1d2
2kr3r/1pp1bppp/p1b2n2/2p5/2N1P3/4BP2/PPP1NKPP/R6R b - -,b7b6
rr4k1/1qn1n1b1/3p3p/p2Pp1p1/Np2PpP1/1P1Q1P1P/P3NB2/1K1R3R w - -,f2b6
1r2r1k1/3nqpbp/pp1p1np1/2pP4/P3PB2/2N2PN1/1P1Q2PP/1R3RK1 w - -,b1c1
8/8/4k3/5R2/5KP1/8/6q1/8 w - -,f5e5
6k1/1p1r1pb1/pRr1b2p/2P1p1p1/qB2P3/P4BPP/5P2/2R1Q1K1 w - -,f3d1
8/8/8/P4R2/r3p2k/4K3/8/8 w - -,e3f4
1R4k1/6p1/p2p1b1p/8/3nP3/6q1/2B1Q1P1/5K2 b - -,g8f7
r1b1r1k1/4qpp1/p1np3p/1pp1p3/4Pn2/2PPNN2/PPB2PPP/R2QR1K1 w - -,e3d5
r1bq1rk1/p4pbp/n1pp1pp1/8/3BPP2/3B1N2/PPP3PP/R2Q1RK1 b - -,a6b4
8/1p5p/2p2kp1/2P2p2/PKB2P2/4PbP1/2r5/4R3 w - -,c4b3
r6k/rp2q2p/1Rbp2pb/3Bp3/P1PpN3/P2P2PP/5P1K/3Q1R2 b - -,e7c7
r1rq2k1/3bb1p1/p2pp1Pp/4nP2/1p2P3/1N1PBQ2/PP2N3/1KR4R w - -,f3h5
8/5kp1/4Np1p/3Pp3/4P3/5PKP/1r4P1/8 b - -,g7g6
r4r2/p2pN1kp/1p1Pb3/4P1P1/8/1P1R1p2/P1R4P/2K5 w - -,c2f2
rnbqk2r/ppp3pp/3bpn2/3p1p2/2PP1B2/4PN2/PP3PPP/RN1QKB1R w KQkq -,f1d3
8/1p5p/p7/3p1N1k/P4K2/7P/1P6/8 b - a3,d5d4
rnbqk2r/ppppp1bp/5np1/5p2/3P1N2/6P1/PPP1PPBP/RNBQK2R b KQkq -,b8c6:e8g8
8/8/1b2k3/2p1p2p/8/1PBP1P2/6K1/8 b - -,e6f5
8/p3pb2/3p1k1p/p2Pq1p1/7P/P1N2PP1/1P1Q1K2/8 b - h3,f7g6
6k1/p7/3p2pp/PPpPq2n/1r2p3/R3Q1P1/7P/5RK1 b - -,e5d5
8/5k2/R7/4p2p/1P5P/5rP1/6K1/8 b - -,f3b3
3r2k1/pp1rqpp1/5n1p/2bP4/4p1b1/PQN1P1P1/1P1N1PBP/3R1RK1 w - -,d1c1
r4rk1/pb3ppp/1p2p3/n1bQ4/8/1P2PNP1/PB3PBP/R4RK1 b - -,b7d5
2rq2k1/4r1pp/1p2p1n1/p6n/P1PPQ3/1P2RNPP/3R1P1K/8 w - -,d2e2
8/8/6b1/4P2p/8/6P1/2pK2k1/4R3 w - -,e5e6
rn1qk2r/pp3ppp/2p1pn2/3p4/3P1P2/1Q3N2/PPPN1PPP/R3K2R b KQkq -,d8c7
1r2kb1r/pb1pp1pp/5n2/qp1P1p2/2pQ4/2P2N2/PP1NPPPP/R3KB1R w KQk -,d4e5
8/1p3ppk/4Qn1p/8/4P3/P5PP/1P3PK1/8 b - -,f7e6
2r3k1/5ppp/p1r1p3/P1P5/2R5/2Q1P1P1/P4P1P/3q1BK1 b - -,h7h5
r4rk1/2qnbp1p/1pb3p1/p1p1p2n/P1PpP3/1P1P1NP1/R4PBP/1NBQ1RK1 b - -,a8a7
1K6/1P6/3k2R1/8/8/7r/8/8 b - -,d6d7
6k1/5pp1/3p3p/1p1P4/1Np1b3/2P2NbP/1r4P1/R6K w - -,h1g1
r4rk1/pbq2pbp/5np1/2p1n3/3Pp3/P1P1B2P/2BN1PP1/RQ2R1K1 w - -,d4e5
r1b2rk1/p3bppp/2pq1n2/8/3pp3/1N3N2/PPP1QPPP/R1B1R1K1 w - -,f3d4
3rr1k1/pbq2p1n/1ppbp1pp/4N3/2PP4/1P2Q2P/PBB2PP1/3RR1K1 b - -,d6f8
5r2/1b3r2/4knQ1/pB1p2N1/Pp1BpP1p/1P2P3/2q3PP/5R1K b - -,e6e7
r1bqk2r/1p2npbp/p1npp1p1/2p5/2P1P3/2N3P1/PP1PNPBP/1RBQ1RK1 w kq -,a2a3
r1r3k1/pb2qppp/4p3/8/Q1p1p3/P3P3/1P1N1PPP/R1R3K1 b - -,b7d5
2kr2r1/p3npNp/2n1PQ2/q2pP3/1p1P2P1/5N2/bKP4P/3R1BR1 w - -,d1d3
2r2rk1/pp2ppbp/3p2p1/3P1b2/2q5/2P1BP2/1P3QPP/2NR1RK1 w - -,e3a7
6k1/pb1rq1pp/1pp1pr2/5p2/PPPP1R1P/2Q1P1R1/1B4P1/6K1 w - -,d4d5
8/p2k4/1p2p1p1/4P2p/P1R2P2/5K1P/1r4P1/8 w - -,c4d4
r3k2r/4qpp1/2ppbB1p/pp2p3/3PP3/1B3Q2/PPP2PPP/R4RK1 b kq -,e7f6
6k1/5p2/n1p1p1pp/1q1r4/1P6/P4N2/1Q3PPP/4R1K1 w - -,b2f6
2rk4/1p6/p2pb3/3NbppR/4Pp2/8/PPP1B1P1/2K5 w - f6,d5b6
8/6pp/p1k1n3/5p1P/PKN2P2/1P4P1/1B6/1b6 b - a3,b1c2
3r1rk1/p1q1npb1/2n1b1pp/1p2p2P/2p1P2N/2P1N1P1/PP2QPB1/R1B1R1K1 w - b6,e3d5
8/2p3k1/3r4/1P6/2p5/2P2KP1/p1PB4/3R4 w - -,f3e2
8/2r4p/6p1/5p2/Bp1R1k1P/4r3/PKP3P1/8 b - -,e3e4
r1b2rk1/pp1nq1b1/2p3np/4ppp1/1PP5/2N1PNBP/P1Q1BPP1/1R3RK1 w - -,c4c5
r1bqk2r/1ppnnpb1/p5pp/4p3/4P3/2P2NB1/PP1N1PPP/R2QKB1R w KQkq -,a2a4
2kr3r/1bq5/p1n1pn1p/1p1p3P/6R1/2NB1NQ1/PPP3P1/1K2R3 w - -,g3c7
r1bbk2r/pppq2pp/3p2n1/1P1Np1B1/8/2Q2N2/1PP2PPP/R3R1K1 b kq -,c7c6
8/5rk1/3p2p1/5P2/1p1R1K1P/8/8/8 b - -,f7f5
2r1k2r/4bppp/p3p3/2p1P3/2R5/1N2P3/PP4PP/2R3K1 b k -,e8d7
r4rk1/1p2bppp/3pb3/q1n1p3/1nP1P3/pPN1BP2/P2QB1PP/1NR2RK1 w - -,c3b5
3rb1k1/ppR2ppp/8/3pNB2/3Pn3/7P/PP3PP1/1K6 b - -,f7f6
r4r1k/4b1pp/2b3q1/3NB3/3Q1p2/8/PP3PPP/R4RK1 b - -,e7d6
rnbqkb1r/1p3ppp/p2p1n2/4p3/4P3/3B1N2/PPP2PPP/RNBQ1RK1 w kq -,c2c4
r2qr1k1/pp2pp1p/4b1p1/n7/3P4/2P2B2/P3QPPP/R1B1R1K1 w - -,c1h6
2rr2k1/p3q1p1/bpp2np1/3p1pB1/3P3P/1P4P1/P1R1PPB1/3QR1K1 b - -,e7e6
r2qr1k1/1b3pbp/p2ppnp1/1p5n/2PP4/1P2NNP1/PB2QPBP/2R1R1K1 b - -,b5c4
5rk1/1p1r1pp1/pBnp3p/4p3/2b1P3/2P4P/PPB2PP1/R2R2K1 b - -,c4e6
r3k2r/pp1nbppp/2p1pn2/q4b2/1P1P1B2/P1N3P1/2P1NPBP/1R1Q1RK1 b kq b3,a5d8
6k1/2Pq1ppp/8/8/2nP4/B3PP1P/R5P1/6K1 b - -,d7c7
r2k1b2/pR2n1rp/3B2p1/2P2p2/8/8/P4PPP/3R2K1 b - -,d8e8
8/1p4rk/p1p2R2/P1Pp3p/3P1K2/2P2P1P/8/8 w - -,h3h4
8/2n5/1p1k1ppp/8/1PB1KPP1/8/7P/8 b - -,d6e7
r1bq1rk1/pp2ppbp/1nn3p1/8/Q2P4/2N2N2/PP1BBPPP/R3K2R w KQ -,a4a3
4rr1k/pQpq2bp/3p2p1/4n1N1/6b1/2P3P1/PP3PBP/R1B1R1K1 w - -,f2f4
1r1r3k/p1p1N1bp/1p2n1p1/5p1n/bPP1p3/1N4PP/PB2PPB1/1R1R2K1 w - -,b2g7
r1bqk1nr/p2nppb1/2pp2p1/1p5p/3PP2P/2NBBP2/PPPQ2P1/R3K1NR b KQkq -,d7b6
3k4/1R3p1r/2p3p1/pp6/7p/1PP4P/P4PP1/2K5 b - -,h7h5
5k2/5p1p/r5p1/1p6/1p4P1/1Pn4P/P1R1BPK1/8 w - -,e2f1
8/6Bp/p4p2/2b1kPpP/6P1/1P2K3/8/8 w - -,e3f3
8/1p1n2p1/p3k2p/5p1P/2P2P2/P1B4R/1Pr5/5K2 b - -,d7f6
rnb1k2r/pp3ppp/4pn2/q7/3P4/2b1BN2/PP2BPPP/R2QK2R w KQkq -,b2c3
r2r2k1/1b3ppp/pb2pn2/1pn5/3N4/4PP2/PPBBN1PP/R2R1K2 b - -,a8c8
8/8/3k4/1p6/3P4/1B6/3NK2r/8 w - -,e2e3
k5r1/1bp2q2/pn1N1r2/1p6/1P2P3/P1R2P1P/2R2QPB/1K6 b - -,f6d6
4r1k1/6p1/3qP1Pp/p3R3/2p2P2/1pP5/2P5/2K1Q3 w - -,e5a5
r5k1/p1p2pp1/3q3p/1Qp5/8/7P/PP3PP1/2R3K1 b - -,d6d2
2r2r2/1b2qkpp/p3p3/1p1pPp2/5P2/PN1PQ3/1P4PP/2R2RK1 b - -,d5d4
r3r1k1/1bq1bppp/pp3n2/3p4/P2NnP1Q/3B1N2/1PPB2PP/3R1R1K b - -,e4d2
r2qr1k1/1b1p1ppp/np1b4/p1pPP3/5P2/P1NQ3P/1PB3P1/R1B2RK1 b - -,d6b8
4rr1k/1b2qpp1/p3p2p/1p1pP3/3NnPQ1/PBP1R3/1P4PP/R5K1 w - -,a1f1
2r1br1k/ppp1n1pp/3b4/2PPNpB1/7R/1B5P/P4PP1/4R1K1 b - -,d6c5
3r2k1/pbp1r3/3q2p1/pP2pp1p/7P/2RP1N2/P3QPP1/5RK1 w - -,f1c1
8/2q1nk2/7Q/1p2p1P1/pN1pP3/P2P4/1P4K1/8 w - -,g5g6
rnbq1rk1/4ppbp/2p3p1/pp1nP3/3PN3/1BP2N2/PP4PP/R1BQ1RK1 b - -,b8a6
r1r3k1/3q1pnp/6p1/pNpp1nP1/P5Q1/3BP2P/5P2/R1R3K1 w - -,e3e4
4r2k/6pp/4rp2/2q5/2pp3P/2Nb1PP1/3R1Q2/3R3K b - -,c5f5
r2qr2k/pbpnb1np/1p1p2pB/3Ppp2/1PP1P3/1QN2NPP/P4PB1/2R1R1K1 b - -,e8f8
4r1k1/b1p2pp1/p6p/Pp6/1P1PNn2/B4P1P/2Q2Pq1/3RK3 b - -,g2f3
2r5/5k1p/1P4p1/5p2/5P2/1R1K4/8/8 w - -,d3d4
r4rk1/1bqp1ppp/p3pn2/1Pb1n3/3NP3/P1N2PP1/1P1QB2P/R1B1K2R w KQ -,b2b4
4r3/p5bk/PpQ3pp/1Np2P2/R7/2P1q3/1P1r3P/5R1K b - -,g6f5
5n2/4r1k1/2R1p3/p3P1N1/1p1N1P2/2p5/Pb4PP/5K2 w - a6,f1e2
8/5rk1/2q4p/5p2/3pnN1P/2p2QP1/4P2K/R7 w - -,f3d3
r1bq1rk1/pp2bppp/3pp3/4n3/2P1PB2/2NB1Q2/PP3PPP/2R2RK1 w - -,f3e2
3k4/6pp/3b1p2/1N2p3/2P5/8/P4PPP/6K1 b - -,d6c5
7Q/8/8/5pp1/4p3/3q1kP1/5P1K/8 w - -,h8h5
1r5r/4bbk1/1q1p1p2/1pnPpBpp/8/4NP1P/2Q2BP1/1R1R2K1 w - -,d1c1
8/p1R3kp/3p2b1/3P4/2P5/2P1R2P/P3B1rr/4K3 b - -,g7h6
r1bqrnk1/ppp2ppp/3p1n2/3Pp3/2P1P3/2PB1P2/P3N1PP/R1BQ1RK1 b - -,f8g6
r1b3k1/pp3r1p/2pbpn1q/3p1pp1/2PPnP2/1P1BPNP1/PB2N2P/R2Q1RK1 w - -,d3e4
r1b1k2r/pp2qpp1/1bp1pn1p/4N3/2B4B/3R4/P1P2PPP/3Q1RK1 b kq -,g7g5
8/5p2/p7/P4k2/6R1/7P/1r3P2/5K2 w - -,g4g3
7r/p1RnBk2/3Pr3/3nb1p1/6P1/P7/Q4P2/6K1 w - -,a2d5
r1bqr1k1/pp1n1ppp/2pb4/3p4/3Pn3/2P2N1P/PPB2PP1/R1BQRNK1 w - -,f3g5
2r2rk1/pb3pp1/2p4p/2P1R3/4Q3/1P4P1/P4RBP/2q3K1 w - -,e4e1:f2f1
6k1/3q2b1/8/P2rp3/1BQ2n1R/3p4/1PP5/1K5R w - -,c2d3
6k1/6pp/3p4/3Ppr2/2P4b/3q4/r2NR1QP/5R1K w - -,f1f5
1nqr4/p3rpk1/2pb2p1/2N2p2/1PNP3p/4PQP1/5PKP/RR6 b - -,e7c7
5bk1/8/8/2P5/1NP1KB2/p3P3/r6P/8 b - -,a2b2
rnb1kb1r/2qp1ppp/4pn2/2pP4/1pN1P3/5P2/PP1B2PP/R2QKBNR w KQkq -,g1h3
8/5p1p/4pkp1/1B1pn3/P2R4/6P1/r3PP1P/6K1 w - -,g1g2
6k1/5p1p/6p1/4P3/1b3P1P/4pQP1/3q2BK/8 w - -,f3a8
r1bq1rk1/ppp2ppp/2n5/b2n4/3P4/2N2N2/PP1BBPPP/R2QK2R w KQ -,e1g1
3r4/p1pr1kpp/1p3p2/n1P1p3/1Qb3PP/2P1BP2/P3PK2/R7 w - -,h4h5
r3kb1r/pp1q1pp1/n1p1b2p/4p3/PPp5/N3Q1P1/3PPPBP/R1B2RK1 b kq -,f8b4
r1b1r1k1/pp2n1bp/1q2ppp1/3n4/3PN2B/P2Q1P2/1PB1N1PP/R4RK1 w - -,e4c5
r2q1rk1/1b2bppp/p1n1pn2/1p6/5B2/P1N1PN2/BPQ2PPP/R4RK1 w - -,a1d1
8/5pkp/PR2p1p1/8/r7/4PKP1/5P1P/8 w - -,f3e2
1r4k1/4R1pp/5p2/pp5P/2p2PP1/2Pb4/PB3P2/K7 b - -,g8f8
2r2rk1/p1q4p/3bpp2/3p1p2/2pP1P2/2PbPN2/P2N2PP/R3QRK1 w - -,e1g3
2r5/5pkp/5bp1/8/2nB4/7P/2P2PP1/3Q2K1 w - -,d4f6
1q6/2r2rk1/3p1pn1/p2PnR2/PpPBP2p/7P/2Q1B1P1/2R4K w - -,c2b3
r3r1k1/p1q2ppp/bp6/4n3/Q1p1nB2/P7/1P2BPPP/R4RK1 w - -,a4a6
rn1qk2r/pb2ppb1/1p1p3p/2p3pn/3P4/2P1PNB1/PP1N1PPP/R2QKB1R w KQkq -,f1d3
2r1q1r1/7k/1p2p1p1/1PpbNp1p/3P1Q1P/2R5/5PP1/2R3K1 w - -,d4c5
1r2r1k1/p2n1pbp/1p3np1/1Np5/q1PP4/1R3Q1P/P2B1PP1/3R1BK1 b - -,f6e4
4r1k1/ppn2q1p/3p2p1/3Pb3/1P4BP/P2Q4/2RB1r2/3K3R w - -,h4h5
r2q1rk1/1p3pb1/2npbnpp/p1pNp3/2P5/P2P2P1/1P1NPPBP/1RBQ1RK1 w - a6,f1e1
r2q1rk1/pp2pp1p/1n1p1np1/3P4/2P1bPP1/1PR1BB2/P6P/3QK1NR w K -,g4g5
r2n1k2/pp1qpbbQ/8/3pPp2/3P1PP1/2PB3P/P7/R4RK1 w - -,g4f5
8/6k1/2P3p1/5p2/3P4/2b2BP1/5PK1/8 b - -,c3a5
1rb2r1k/ppq2pp1/2pN3p/2Q1n3/1P1R4/P3P1P1/4BPP1/5RK1 b - -,e5d7
2nrrb2/ppk3pp/1np2p2/4pP2/4P3/PBN1BP1P/1PP3R1/2K1R3 b - -,c7b8
1r3rk1/2qn1pb1/p4npp/1p1bp3/4P1PB/PN1B1Q2/1PP4P/1K1R3R w - -,e4d5
r2qr1k1/1b3p2/p6p/1p1pn1pQ/3Bn3/6N1/PPB2PPP/R3R1K1 b - -,d8f6
1r5Q/p1k3p1/p1n1p3/P7/3p4/8/5PPP/6K1 w - -,h8g7
r1b2rk1/p3nppp/1np5/3p4/4P3/1P1B1P2/2P1NKPP/Q6R b - -,c6c5
r1b1r1k1/1pn1qpp1/p1pn3p/3pN3/1P1P4/2NBP3/P1Q2PPP/1R3RK1 w - -,c3a4
5N2/p3k3/2P1p3/4Pp1p/3P4/5K2/P2b1P2/8 b - -,d2a5
2r2rk1/5ppp/2R5/2nPp3/8/2P1Q1P1/1p4BP/6K1 w - -,g2e4
6k1/2P4p/1P1nr3/P1pp4/3b1P2/8/4B1PP/4BR1K w - -,e2g4
r4rk1/pp2ppbp/1qn2np1/2pp2B1/3P4/2PQPN2/PP1N1PPP/1R3RK1 b - -,f8e8
r1b1k2r/p1q1npbp/2n1p1p1/2ppP3/5B2/P1PP1NP1/4QPBP/RN3RK1 b kq -,c8a6
8/8/p4P2/7p/6k1/4B3/P7/3Kb3 b - -,e1b4
4r3/2p5/8/2RP3p/p3rkp1/P4p2/1P5P/4RK2 w - -,e1e4
r4r2/p3pp2/1p4p1/k7/3Q4/6P1/PP3P2/2R1K3 b - -,a8d8
3r2k1/p5pp/1pQqpb2/8/3P1n2/5B2/PP3PPP/R4RK1 b - -,d6c6
2q1r3/1p1b1pkp/4pQp1/3pP3/1P1N1P2/7P/1PP3P1/R5K1 b - -,g7g8
4r1k1/5qb1/3Rpp2/8/4Q3/8/4PPK1/8 w - -,d6d3
2r3rk/pp5p/3pbn1q/3p4/3Pp3/1Q2PP2/PP1N2RP/4NR1K b - -,b7b6
3k4/5Rp1/3P4/8/1rB5/7n/7K/8 w - -,c4e6
8/2b1rpkp/6p1/pr4P1/2NR2K1/1P3RP1/1P6/8 w - -,f3d3
r2q1rk1/4bppp/pn2pn2/Q4P2/3P4/1BN1P3/PP1B1P1P/R3K1R1 b Q -,e6f5
r1bqkb1r/ppp1pppp/2n5/3nP3/2BP4/8/PP2NPPP/RNBQK2R b KQkq -,d5b6
r2qr1k1/pppb1pbp/2np2p1/8/2PNPn2/2N1BP2/PP1QB1PP/R4RK1 w - -,d4c6
r1bqk2r/pp3ppp/1bn5/3p4/5B2/3BPN2/PP3PPP/R2Q1RK1 b kq -,e8g8
3rq2k/4b1pn/pp2p2p/2p1Pp1P/2P2PP1/1P1r4/P4NQK/2R1R1B1 b - -,d3d2
5B2/8/8/5n2/p5p1/Pk6/5K2/8 w - -,f2g2
3q1rk1/1r3pp1/4p3/p1p1Pn1P/3p2Q1/2P2N2/PP3PK1/1R2R3 w - -,c3d4
1r3rk1/Qn4pp/2p4q/8/4N3/3P2p1/PP1bBP1P/1R3RK1 w - -,h2g3
r3k3/6pp/pRp2p2/3p4/p1PP1Pb1/3B1N2/P4KPP/8 w - -,b6c6
r4r2/4pkbp/3p1pp1/1p1P4/8/P4P2/1P1B2PP/1R2R1K1 b - -,f6f5
r2r1bk1/1q5p/2b1n1p1/4p3/ppP1P1P1/4BPN1/PP1RQ3/1B1K3R w - -,d1e1
3q2k1/pp3rb1/4r2p/2B2p2/6p1/1P2P1P1/P6P/3R1RK1 w - -,d1d8
3Q4/5pk1/6p1/p6p/4q2P/1P4P1/P4P1K/8 w - -,d8a5
8/1r3p2/4p2p/3nPkp1/5P2/6P1/2RB1K1P/8 w - g6,f4g5
3r2k1/p3bppp/1p2p3/2prP3/P2P4/2B2R1P/1Pb1NPP1/R5K1 w - -,d4c5
r2q1rk1/pp2npbp/4pn2/3p1p2/3P1B2/2PN4/PP1N1PPP/R2QR1K1 b - -,e7g6
r3k2r/ppqnbpp1/2p1p2p/7P/3Pn3/3Q1N2/PPPB1PP1/1K1R3R w kq -,d3e4
3r4/1r1bbk1p/2p1ppp1/3q4/p2PN3/2Q2PBP/PPR3P1/R5K1 w - -,c3e3
r4r2/1p1n1pkp/2bpp1p1/8/4P3/1B2NP2/PRP3PP/5RK1 b - -,g7f6
2r5/6k1/4q3/3pN3/1p1P1p2/b6P/6P1/1Q3RK1 w - -,g1h2
r1b2rk1/pp2ppbp/1n4p1/q1p5/3PP3/2PBB3/P2QNPPP/R4RK1 b - -,c5c4
4r1k1/p4p2/2qp2pp/2n5/1pPR4/4P3/2B1R1PP/6K1 w - -,d4f4
r4rk1/3nqp1p/p5p1/1ppPb3/4PN2/1PN2R1Q/P5PP/4R1K1 b - -,a8c8
1rr3k1/3qppbp/6p1/pp1pP1N1/1nnP1P2/1Q5P/PP3BP1/2R1RBK1 b - -,c4d2
2r1k1r1/4qb2/2n1pn2/1p1p2Np/3P1R2/3BPN2/1P3P2/R2QK3 b Q -,f7g6
3k4/7R/2K5/3P4/8/8/8/5r2 w - -,h7h8
4r1k1/1p5p/p7/2PPrbp1/4Pp2/1B3R2/P5PP/4R1K1 b - -,e5e4
3r2k1/4qrb1/1R1p2p1/2p1p2p/2P1Nn2/3PB3/5PPP/3Q1RK1 w - -,g2g3
