8/8/2R5/6p1/1P4P1/r2p1K1P/2k2P2/8 b - -,c2d1
2rq1rk1/1b1nbppp/pp1p1n2/3Np3/2P1PP2/3BB2Q/PP1N2PP/4RRK1 w - -,g1h1
r4rk1/ppqbppbp/1n1p1np1/2pP2B1/2P5/2N1P3/PP1NBPPP/R2Q1RK1 w - -,d1c2
5bk1/2p2pp1/p1B4p/P7/1rb5/R2n2BP/6P1/3R3K b - -,d3c5
8/4rpk1/1N1p1q1b/p2P4/4r2p/2PQ1BP1/PP3PK1/6R1 b - -,h4g3
8/3Pk3/4p1p1/6Pp/4K2P/8/p4r2/R7 w - -,a1d1
rn1qkbnr/1b1p1ppp/p3p3/8/Pp1NP3/5B2/1PP2PPP/RNBQ1RK1 b kq -,d8c7
r2qk2r/pp1nbppp/2p1p1b1/3p3n/3P1P1N/2P3PP/PP1NP1B1/R1BQ1RK1 w kq -,h4g6
r1bqkb1r/p2p1ppp/2p5/3pP3/8/8/PPP2PPP/R1BQKB1R w KQkq -,f1d3
1k2r2r/1p4pp/p3Q3/1q1PP3/4P3/4B3/P5PP/R6K w - -,e6d6
8/8/8/2r1kb2/8/1R2KP2/8/8 b - -,f5g6
3qkb1r/1p2pppp/p1r2n2/2p5/Q7/2P5/PP1P1PPP/RNB2RK1 w k -,b2b4
1r6/5p2/p1n1pkp1/Pp1r3p/4RP2/1NP2KPP/1P2R3/8 w - -,e2e1
2b1r1k1/2q2pp1/1pp2n1p/2P1p3/1P2P3/2QR1PN1/1B4PP/r5K1 w - -,b2a1
2r4r/5k1p/p1nBqppQ/1pP1n3/4P3/P7/1P3PPP/2RR2K1 w - -,f2f4
3rk2r/1p1nbppp/1np3b1/p7/P2P2P1/1BN2P1P/1P4N1/R1B2RK1 b k -,d7f6
rnbqk1nr/pp1pppbp/6p1/2p5/2P5/4PN2/PP1P1PPP/RNBQKB1R w KQkq -,f1e2:d2d4
2k4R/p1q2p2/1p1n1bp1/2pp4/5PP1/P1PP1N2/1P3B2/1K2Q3 b - -,f6h8
2rqk1r1/pp1n1p2/3Pp3/1b1p1pNp/1P3P2/P1Q5/1BP3PP/2KR3R w - -,c3f3
k1qr4/p3RQ1p/2p2pp1/8/6P1/P5P1/1P3P2/6K1 b - -,c8a6
3kr2r/2p2ppp/2N4n/1P4b1/QBPp4/P2P1pPq/4PP1P/R3K2R b KQ -,d8d7
1nr3r1/pb2qk1p/1p6/3PpN2/2P1pb2/1PQ5/PB4RP/3R1BK1 b - -,g8g2
r3r1k1/p1p2pbp/2ppbnp1/8/1qP1P1P1/2N1BP2/PP1QBR1P/2R3K1 b - -,a8d8
