1k2r3/3R3R/8/3pp3/8/P1P5/KP6/3r4 w - -,a3a4
r1bqr1k1/1p2bppp/p1npp3/3nP3/1PBP4/P4N2/4QPPP/RNB2RK1 w - -,b1d2
6k1/5p2/2Rb3p/3P2p1/4n3/7P/3N1PP1/6K1 b - -,e4d2
rqb1nrk1/1pb2p1p/p1n3p1/P1N1pp2/4N2B/3B4/1PP1Q1PP/R4RK1 w - -,d3c4
r3k2r/1pq2pp1/p1npbn1p/8/4Pp2/2N1B3/PPP1B1PP/R2Q1RK1 w kq -,e3f4
3r4/1bq2pk1/3pn1p1/1p2p2p/2P1P2P/1P2R1P1/2N2P2/Q4BK1 b - -,e6c5
3r3r/1pq3k1/p1p1bpn1/4p2p/2P1P1pP/PP2Q1P1/2B1NP1K/3R1R2 b - -,h8f8
5b1k/6p1/p5RB/4PP2/3P3K/1Q6/4r1q1/8 b - -,e2e4
r5k1/1q3p1p/3bpnp1/1n1p4/2pP1PP1/2P1PN1P/1BQN4/1R4K1 b - g3,a8a2
r1b1kb1r/pp2pppp/1qnp1n2/8/2PNP3/5P2/PP4PP/RNBQKB1R w KQkq -,d4c2
8/3kp3/6Qp/p1r5/6PP/2p2PK1/P1Nr4/8 b - -,c5e5
8/4n3/p3k1p1/P6p/3B1K2/6PP/5P2/8 b - -,e7c6
r2qr1k1/1bpn1ppp/1p1ppn2/p7/2PP4/PP3NP1/1B1QPPBP/R4RK1 w - -,f1d1
r1bq1rk1/ppp1p1bp/8/3Pp1pn/2P1P3/2N2PP1/PP2Q1BK/R1B2R2 b - -,d8d6
r2q1rk1/1b2npbp/p1npp1p1/1pp5/4PPP1/2NP1NQ1/PPP3BP/R1B2RK1 w - -,c3e2
3b4/5pk1/3p2p1/1Q1Pp2p/1P2P2P/2pB1PP1/3q4/6K1 w - -,b5a6
r6r/pp1nbkp1/2p1p1p1/3p1p2/1nPP4/1PN1P1PP/1P1BKPB1/R1R5 b - -,h8d8
2r2rk1/1q3pp1/p2p3p/1p1Np1b1/2P1Q3/1P2P1P1/P2R1P1P/3R2K1 b - -,g8h8
1k1r4/qp1n1p2/p2pbp2/P2Np1b1/1PB1P1N1/2P4r/4QP1P/R3K2R w KQ -,d5e3
2r5/4k1p1/1p2p2p/2b1p3/Pp6/1P2P2P/2R1KPP1/3R4 b - -,c8c7
1rr5/p3kppp/1p2pn2/8/2P1B3/PP2PKP1/7P/2RR4 w - -,d1d2
8/p2r1k1p/3Bb1p1/1P2Q3/P3p3/4P3/4qPP1/2R3K1 w - -,a4a5
5k2/2bR1pp1/p1N1n2p/P1p5/2P5/8/6KP/8 b - -,f8e8
2rr2k1/1pq2ppp/p1n1bn2/2pp4/3P4/P1PBPPN1/1B4PP/R3QRK1 w - -,a1d1
8/p4p2/2knp2p/2p2P1P/2PP4/2PBK3/P7/8 b - -,e6f5
rnbq1rk1/pp2ppbp/3p1np1/2p5/3PP3/2PB1N1P/PP1N1PP1/R1BQK2R b KQ -,c5d4
2r1n1k1/1b3p1p/p1q1p1p1/2b3Q1/2P1P3/2B2P2/1PR3PP/3R1B1K w - -,c2d2
r1b2rk1/1p2bppp/p1n1pn2/q5B1/3P4/P1N2N2/1PB2PPP/R2Q1RK1 b - -,f8d8
r3k2r/pp2q2p/2pb1Q2/6B1/P2Pp3/8/1P3PPP/R4RK1 b kq -,e7f6
r3k2r/1pqb1ppp/p1nb4/4pPBQ/3pN3/P2B4/1P4PP/3R1RK1 b kq -,h7h6
1r1r4/4k1p1/1p1p1Pp1/p1n1p3/2P1PPB1/1P3KP1/P7/2RR4 b - -,g7f6
r7/ppp5/3p1k1r/3Pb1R1/2Pp1p1p/3P1Q1b/PP3P2/2K3R1 b - -,h3d7
2q4r/Q3bp1p/1p1k1p2/2pP4/P7/4P3/6PP/3R2K1 w - -,a7b6
r4rk1/pp2Np1p/2n3pb/2B5/2P3n1/1P3NPq/P3PP2/2RQ1RK1 b - -,c6e7
r2qr1k1/1pp1ppbp/1nn1b1p1/8/p2P4/1PN1PNP1/P3QPBP/1RB1R1K1 b - -,a4b3
2r2rk1/1bq2pb1/pp4pp/8/P1nPp3/4B2N/2Q2PPP/1RR2BK1 b - -,b6b5
1q2rrk1/p3n1b1/1pnpb1pp/2p1pp2/P1N1P3/1PPP1NP1/1B2QPBP/2RR2K1 w - -,f3d2
1r4k1/1qn2p2/pr1pb1p1/2pPP3/2B2P2/1P1QR1B1/6K1/3R4 b - -,d6e5
6k1/2bR2p1/5p1p/1p2r3/2rN4/7P/6P1/5R1K w - -,g2g4
4k3/p4r2/4p1p1/3pP2p/n1pP1P2/2Pb1BK1/3B2P1/2R5 b - -,f7b7
8/1r2k2p/2p2p2/p1Pp4/P2P1B2/3b2P1/3K3P/8 w - -,d2d3
8/p1r5/2P3k1/6p1/4p1Kp/8/P1R5/8 w - -,c2c5
r4rk1/1b2qppp/p2p4/1p6/8/2Q5/PPP1BPPP/R3R1K1 b - -,e7g5
4r1k1/p2qr1p1/1p1p1pnp/2pP4/Pn2P1P1/1P4RP/1B1Q1PB1/4R1K1 w - -,f2f4
2rq1r2/pp2n1bk/6pp/2pbp3/P1B2P2/4BPR1/1PPQN2P/R6K w - -,c4d5
1rbn1b1r/ppN1kppp/4pn2/4N3/2B5/8/PP3PPP/R1B1K2R w KQ -,c1e3
1q1r1rk1/pp1bppbp/2n3pn/1NP5/3PP3/3B1N2/PB1Q2PP/R4RK1 b - -,a7a6
r5k1/p4ppp/4p1n1/1Q1r4/8/P4q2/1P2RP1P/R4BK1 w - -,e2e3
2rr2k1/p5pp/8/n1pp4/5PN1/P3P3/1P5P/2RR2K1 w - -,g4e5
1Q3k2/p4p2/1b2pq2/8/5P1p/P1p4P/2P4K/3R4 b - -,f8e7
r1bq1rk1/ppp3bp/n4pp1/4p3/2P1P1n1/2N2N2/PP1BBPPP/R2Q1RK1 b - -,g4h6
2kbr3/1p1q1pp1/1p1P3p/nP1QN3/P7/7P/5PP1/3R2K1 b - -,e8e5
r4rk1/ppq2ppp/4p3/2bn4/4b3/3Q3P/PPB2PP1/R1B2RK1 w - -,d3e4
r2q3r/pp3kpp/2p2b2/1B1p4/8/2N5/PPbQ1PPP/4RRK1 b - -,c2g6
r5k1/1p4p1/2q1p2p/p4r2/1nPb2Q1/1P4PK/P6P/3R1R2 w - -,f1f5
3r1rk1/2q1bppb/pN2p2p/2p1P3/5P2/1P4P1/1BP2QBP/4RRK1 b - -,c7b6
r4rk1/pp1b1qpp/1nn1pb2/3p4/3P1N2/1B3N2/PP3PPP/R1BQR1K1 w - -,h2h4
5r2/1b4rk/p3pp1p/1p3n2/2pPpP2/P1P1P2R/1P1N1N1P/R4K2 b - -,f8g8
8/2k3p1/3pbp1p/1Pp4P/2PpPPP1/5K2/8/5B2 b - -,c7b6
2q3k1/3b1p2/6n1/4pB2/p3P1K1/Q5P1/5P1P/8 b - -,d7f5
r1b2rk1/ppp2pp1/8/4R3/2PP1p1q/1NPB1P1n/P3R1QP/7K b - -,f7f6
6r1/pp1kp2p/3p4/2pPnR2/2P1n1R1/2P5/P3N1PP/2B3K1 b - -,g8g4
8/p4n1p/1pq3k1/4pp2/3N4/5PP1/PP2P2P/6K1 w - -,d4c6
r3r1k1/pb1nbppp/2p1p3/q1ppP3/2P2B2/1PNP1NP1/P3QP1P/2R1R1K1 b - -,a5d8
r3k2r/pp1qbppp/2np4/1BpQ4/4n3/N1P2P1P/PP3P2/R1B1R1K1 b kq -,e4f6
3n4/1pkb3p/4p1p1/PBKpPp2/1N3P2/4P3/6PP/8 w - -,b5d7
r1b2rk1/pp2ppbp/2p3p1/2n4q/2P5/Q2P1NP1/P3PPBP/1RB2RK1 b - -,f8e8
2r4r/p4k2/1p2p3/3b1p2/P2RnP2/B1p5/2P1B1PP/4K1R1 w - -,h2h3
3r2k1/1q3p1p/1p2p1p1/2p1P3/7P/6P1/PP3P2/R2R2K1 w - -,d1d8
8/8/8/1Bpk4/p2p4/Pp5R/1P1K1r2/8 w - -,d2d3
1b2rrk1/1p1q2pp/p1p2nb1/3p4/3P1PP1/1QN4P/PP4B1/4RRBK w - -,f4f5
r1bq1rk1/5ppp/p2p2n1/1ppP4/4PP1b/5N1P/PPB3P1/R1BQR1K1 w - -,e1f1
r4rk1/p4ppp/1pN1pn2/P1bn4/8/3N2B1/5PPP/R3R1K1 b - -,f8c8
4rk2/5p2/1bB3p1/1P5p/8/4P1P1/1R3P2/6K1 b - -,e8d8
2br2k1/3r1pp1/2pp4/p5p1/P2RP1P1/7P/1PP2P2/3R1BK1 b - -,g8f8
r1bqkbnr/1ppp1p1p/p1n3p1/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,c2c3
r6r/3n1kp1/p2Bp1p1/1p1p1p2/3P4/P1QBqP1P/1P4P1/R4R1K w - -,a1e1
r2q1rk1/1b1pb1pp/p4n2/1pp1N3/4P3/2N5/PPP2PPP/R1BQR1K1 b - -,d7d5
6k1/1Q6/1p1NN2b/3Pp3/1P2Pp2/5n1P/2r5/2B2K2 w - -,b7f7
8/6kp/p3P3/1p3p2/5P1B/8/P3K3/8 b - -,g7g6
6k1/4q2p/3p3Q/p1pP2pN/P2nP3/8/1P4PK/8 b - -,e7e5
r4rk1/pp3pp1/8/2Q3Pp/7P/4Pb2/PP3PB1/1qR1K2R b K -,b1e4
2kr3r/pp1n1qp1/2p3p1/2bpp1P1/5P2/4PB1P/PPP3K1/R1BQ3R w - -,f3g4
1r2r1k1/2qb2pp/5p2/1ppPnP2/4P3/2N3Q1/1R1N2PP/2R4K b - -,c7d6
7r/4N3/5p2/2k1pP2/2P2b2/1R1P2p1/6K1/8 w - -,g2g1
r3k2r/pqnn1ppp/1p2p3/2bPP3/Q7/5N2/PP1N1PPP/R1B2RK1 b kq -,c7d5
8/R4b2/8/Pp2KPk1/1r4B1/7P/8/8 b - -,f7a2
r3r1bk/1p1nq1pp/8/p2pp3/Pb2P3/1N4P1/1PQB1RBP/5RK1 w - -,e4d5
k7/7p/1p4p1/pP1rr3/P7/5Q1P/6PK/8 w - -,f3f8
4b1k1/1pp1npb1/p5pp/4p3/2B1P3/1NP1B2P/PP3PP1/2Kr4 w - -,c1d1
8/8/1p1k1pp1/1N1p1b1p/1P3P1P/4PKP1/8/8 b - -,d6c6
8/3R4/1p6/p5p1/P4p1p/1P3k1P/3p4/5K2 w - -,d7d2
r2q3r/pp3k2/5bpp/3p4/2pP4/2N1P1P1/PPQ2PKP/R4R2 b - -,d8d7
2r3k1/1R2b2p/5p1p/8/p3N3/2P1P1P1/4PK1P/8 b - -,g8f8
r1bqrnk1/pp3p2/2p2P1p/3pP3/8/P1N4P/1P3QPK/1B2R3 w - -,f2f4
k1r4r/pp2n3/2nBbp1p/3p3P/q2P4/P1p1NB2/2P2PP1/RQ1R2K1 w - -,d6b4
r1b2rk1/pp4pp/2n2q2/b1Pppn2/5P2/2P2NP1/PP1BN2P/R2QKB1R w KQ -,f4e5
8/4kP1p/8/p1pK2pB/Pb6/1P5P/8/8 w - -,d5e5
6k1/ppq2pp1/4P2p/5P2/1Pr5/P2Q1P1K/7P/3R4 b - -,c4h4
1kn3r1/1pn3p1/p1q2p1p/2N1p2P/2P5/BP3P2/P2Q2P1/1K1R4 w - -,d2c2
r3r1k1/1b3pb1/1ppR2p1/2n1p1Pp/p1P1Pn1P/2N1BN1B/PP3P2/3R2K1 w - -,h3d7
r4b2/2Rn4/2NPbp2/4p2k/1P4r1/4BN2/P2R1P1K/8 b - -,e5e4
8/pB2Npkp/1b4p1/4P3/8/1r6/5qPP/3Q3K b - -,b3d3
6N1/1R6/7p/4bpk1/8/7P/1pKn1P2/8 b - -,b2b1q
r3rbk1/pbpq1ppp/1p3pn1/3P4/2PN4/4B3/PP1QBPPP/3R1RK1 w - -,d2c2
r1b2rk1/ppp3bp/n2p1q1n/3PpppB/2P1P3/2N2PBP/PP4PN/R2Q1RK1 b - -,a6c5
r3k2r/pp1nbppp/1qp2n2/3p4/8/2NP1BP1/PPQ1PP1P/R1B2RK1 b kq -,d5d4
5n2/2R2ppk/5b1p/4p3/1p6/1P2BNP1/1r2PP1P/6K1 w - -,c7c4
r2qkbnr/1b3ppp/p7/1ppp4/5B2/1PNP4/1PP1NPPP/R2Q1RK1 b kq -,c5c4
2r1r1k1/3nqpp1/2p1b2p/pp1p4/3P4/P1N1P2P/1P2QPP1/1BR2RK1 w - -,f1e1
r4r1k/pRp1nqpp/5p2/2P1p3/3nP3/Q5P1/P2N1P1P/2B2BK1 b - -,e7c6
2r2rk1/ppqn1p2/2p2np1/3p3p/3P1P2/2NQpP1P/PPP1B1P1/R3R1K1 w - -,c3d1
r2q1rk1/1b2npp1/pp1p1n1p/1p1Pp3/4P3/1BP5/PP1NQPPP/R3NRK1 b - -,f6d7
8/p6p/4p1p1/pPk2p2/Prb2P2/2R1KP2/2B3PP/8 w - f6,g2g4
5q2/1p3rpk/2pRQ2p/p1P2p2/P4P1P/4PP2/6K1/8 w - -,e6g6
8/3nk1pp/3bpn2/8/r7/2R3PQ/K7/8 w - -,a2b1
r4r2/3b2k1/p1pp1qn1/1p4pn/3p3p/1BP1NP2/PP1Q1RPP/R3N1K1 w - -,c3d4
4B3/1k6/5p2/2p3p1/b3Pp1p/2P2P2/5K2/8 w - -,e8a4
8/5p2/1r2p1k1/6p1/R5P1/4PK2/8/8 w - -,a4a5
8/2kb1p2/3rp1p1/1pr3Pp/4PP1P/PR6/1KB1R3/8 b - -,d6d4
2rr1bk1/5pp1/pq2pn1p/8/1PPp4/P2Q2PP/1B2R1BK/2R5 b - -,h6h5
8/8/8/5p1p/1R6/p4K1k/8/8 b - -,h3h2
rnbqr1k1/1p3pb1/p2p1n1p/2pP2p1/P7/2N1B1P1/1P1NPPBP/R2Q1RK1 b - -,b8d7
r1bqk1nr/pppp1pbp/2n3p1/4p3/4P3/3P1NP1/PPP2PBP/RNBQK2R b KQkq -,g8e7:d7d6
4r1k1/5p1p/p1r3p1/5p2/2PQ1P1P/8/P5P1/3R3K b - -,e8e4
r1b1r3/ppp2pkp/1n3np1/4N3/2B1PP2/2N5/PPP3PP/R3K2R b KQ f3,b6c4
r1bqr1k1/2pn2p1/ppn2b1p/3pp3/P2P4/2PB1N2/1P1NRPPP/R1B1Q1K1 w - -,d4e5
5rk1/1p4p1/2p1Rqb1/3p2r1/pP1P3p/P4P1P/4Q1P1/3RN2K b - -,f6f4
r1q2rk1/4b1pp/3p4/n2Ppp2/1R6/1PPQB1P1/5PBP/R5K1 b - -,a5b7
1r6/4pqk1/p1n1b1pp/P4n2/1P2NPP1/2P2R1P/5Q2/R5K1 b - g3,f5d6
r1b2rk1/1pp1qpb1/2n2np1/4p2p/P1Pp4/1N1P2P1/3NPPBP/1RBQ1RK1 w - h6,b1a1
r1b4r/ppqnp1kp/2pp1ppn/5P2/3PP3/3B1N2/P1PQN1PP/4RR1K w - -,e2f4
r1b1k2r/1p2bpp1/p2p1n1p/q1n1p3/P1B1P3/2NQBN2/1PP2PPP/R4RK1 w kq -,e3c5
r4r2/1n1q1pbk/p5pp/2pP4/RP2N3/5N1P/5PP1/3QR1K1 w - -,b4c5
7r/1pp2p2/2p1k1p1/p3P3/5PP1/3R2K1/PPP5/8 b - -,h8h1
8/2p1k3/1p3p2/pB1K1P2/P5Pb/1P5P/8/8 w - -,b5d3:b5c4
2r1r1k1/p4ppp/2p1b3/3p3q/3P4/P2BR3/1P3PP1/1Q2R1K1 b - -,g7g6
5k2/6p1/7p/p1R5/P3BP2/1bp1K1PP/8/2r5 b - -,c3c2
r1bq1rk1/1p4bp/3p2n1/p2Pp2n/1PN1P3/P1N2P2/4B1PB/R2Q1RK1 w - -,c3b5
2k1rn1r/p1pqbp1p/Pp3p2/3P4/8/1P3N2/1B2QPPP/R2R2K1 w - -,d5d6
2r5/1p2p1kp/pr1pbpp1/8/P1qNPP2/1n3B2/5QPP/1R1R3K b - -,b3d4
8/2kr4/2Rp3p/2PBp2P/1P4P1/7K/8/6b1 b - -,c7d8
1k6/1p6/2r4R/pK3p2/8/6P1/7P/8 w - -,h6c6
1rbq1rk1/2npbppp/p7/n1pBP3/Pp1p4/5N2/1PP1QPPP/R1B1RNK1 w - -,d5e4
2N3r1/6p1/rNP1p1kp/3pnp2/8/4b1P1/2R3KP/1R6 b - -,e5c6
8/8/k7/4PN2/1p3Pp1/6P1/2r5/4K3 w - -,e1d1
3rr1k1/pb2qp1p/1p4p1/2bp4/3Nn3/1P1QP2B/PB3PPP/2R1R1K1 w - -,g2g3
2r2rk1/p2Q1ppp/1pb5/2b5/2B1p2q/1P2P3/PB3PPP/R4RK1 w - -,d7f5
1r2r1k1/p1b2ppp/2q5/8/1P1P2Q1/4B1P1/5P2/1R3R1K w - -,h1g1
8/4r1p1/1pp5/2k1rp2/2P3RP/2R1PK2/4P3/8 w - -,g4g6
2r2rk1/3n1ppp/1n2pq2/p1pb4/Pp6/1P1PNNP1/1QR1PPBP/2R3K1 b - -,f6b2
r3kb1r/1b1n1p2/pq2p2p/1p1nP1p1/3p4/1N1B1NB1/PP3PPP/2RQ1RK1 b kq -,f8e7
2rq1rk1/p2nbppp/1p2p3/1P1p4/3PnB2/1P3NP1/1Q2PPBP/R1R3K1 b - -,e4d6
8/1R4p1/4k3/3p4/2pb4/1n6/1P2K2P/8 w - -,e2d1
k1rrb3/1pq2ppp/p2bpn2/4N3/5B2/1BP4P/PP2QPP1/3RR1K1 w - -,e2f3
1k1r3r/ppq2ppp/5n2/4pB2/2Pn4/2B2P1P/P1P2P2/R3QRK1 w - -,e1e3
1r3rk1/pbq2pbp/1pn1p1p1/2pn4/P1N2P2/2PP1NPP/1P2Q1B1/R1B2RK1 w - -,f3e5
2rr1nk1/pb3qpp/2pbpp2/2p5/3P2Q1/1P1B1N2/PB3PPP/3RR1K1 w - -,d3c4
6k1/3b1p2/2B5/1p6/n1pp1b2/2P5/1P4P1/3N2K1 w - -,c6d7
8/2b1rppk/1p5p/1Pp5/2N1bP2/4P2P/3Q2P1/6K1 w - -,g1f2
8/5ppk/Q3p2p/1p2P3/8/6P1/PP3PKP/1q6 b - -,b1b2
r2qkb1r/1p1b1ppp/p1nppn2/8/3NPP2/2N1B3/PPP1B1PP/R2QK2R w KQkq -,d1d2
r2q1rk1/pp1b1npp/4p3/3pPp2/3Q4/2NBP3/PP3PPP/R1R3K1 b - -,a7a6
r2r4/Q7/2k5/1p1pPp2/3P4/b7/1q4PP/1N3R1K w - -,a7f7
3B1q2/1pr2kb1/p1p1p1pr/PnNbPp1p/1P1P1P1Q/6RP/2BR2P1/6K1 b - -,c7c8
r2q1rk1/3n1pbp/1pbpp1p1/p7/1PP1P3/P1N2P2/2QBB1PP/1R1R2K1 b - -,f7f5
3Qn1k1/2q1rppp/1p4n1/1Bp1p3/P7/2P2NP1/1P3P1P/3R2K1 b - -,g8f8
rnbqk2r/p3bppp/1p2p3/3n4/3P4/3B1N2/PP3PPP/RNBQ1RK1 w kq -,f3e5
r1q2rk1/1pbn1ppb/p1p1pn1p/2PpN3/N2P1B2/1Q2P2P/PP2BPP1/R4RK1 w - -,a1c1
6k1/p4rp1/PpQq2np/1B1p4/6P1/1N6/1P1B1bR1/6K1 w - -,g2f2
1r4k1/5p1p/r2pp1p1/P1b5/1B2q3/8/3Q1PPP/1R2R1K1 b - -,e4f5
8/2B4k/1p4p1/p4p2/2P1b2P/8/P5PK/8 b - -,e4d3
1K6/8/P1k3p1/3p2p1/3P1pP1/5P2/7P/8 b - -,c6b6
4r3/5p1k/1pb2Pp1/1p2q2p/1P1R1Q2/2N4P/1P4PK/8 w - -,f4e5
rnbqk2r/ppp1bppp/3p1n2/8/3NP3/2NB4/PPP2PPP/R1BQK2R b KQkq -,e8g8:c7c5
1r3k2/2q1bpp1/4n2p/2ppP3/8/2Q1P2P/1BB2PP1/2R3K1 w - -,b2a1
r3k2r/1pq1bppp/p2p1n2/4p3/2B1P1b1/2N1BP2/PPP1Q2P/2KR3R b kq -,g4e6
r5k1/1B3p1p/p5p1/1pp1R3/6PB/2nq3P/P4P2/2Q3K1 b - -,a8b8
2b2rk1/p3b1pp/1rn1p3/3pN3/q1pP1P2/4B3/PPPQ2PP/KN1R3R w - -,b2b3
r4rk1/ppqbppbp/2n3p1/2P5/2B1P3/2P1BP2/P3N1PP/1R1Q1RK1 b - -,c6a5
6k1/rq1n1r2/1p2p1pp/5p2/NpPn4/3P2P1/3B1P1P/R2Q1RK1 w - -,f2f4
8/1N6/2p1n3/2P4R/1k6/1n6/8/6K1 w - -,h5h4
8/1pp3pp/1n1p2k1/r2P1pP1/p2R1P2/P1N2R2/KPP4P/4r3 w - -,f3d3
r7/4kppp/2n1p3/3pPP2/rpb3P1/P4B2/1B3K1P/2RR4 w - -,c1c4
r2qk2r/1b2npbp/pp3np1/2p2p2/P3P3/2NBBNQ1/1PP3PP/R4RK1 w kq -,e4f5
2r3k1/p1q2p1p/Q1p1pbp1/2N5/1n1P4/1P4P1/P4P1P/2RR2K1 w - -,a6e2:a6a4
3q1rk1/1b2b1p1/p3p2p/3RNp2/Pp3B2/4P1Q1/1P3PPP/1R4K1 b - -,d8d5
2r1k2r/2qnbp2/pp3np1/3P4/P3p3/1N2BB2/1PP1Q1PP/3R1RK1 w k -,d5d6
rn1q1rk1/pb1pppbp/1p4p1/2pPP3/2P2P2/3B1N2/PP4PP/R1BQK2R w KQ -,e1g1
2r5/7k/pbNR4/1p4p1/8/5P2/PP5P/5K2 w - -,f1e2
q4rk1/2rb1pbp/B2pp1p1/6Pn/pp1NPPnP/8/PPPQN3/2KR2BR w - -,a6d3
r3k2r/pp2bpp1/nqp1pnp1/3p4/2PPP1P1/1QN4P/PP3PB1/R1B1K2R b KQkq -,f6e4
5B2/1b5p/p3p1p1/4Pp2/p1kP1P2/2P2P1P/3K4/8 b - -,c4b3
2R5/p4ppk/1p6/3Br1Pb/7P/P7/1K6/8 w - -,d5c4
6k1/p6p/1p4p1/1Pp5/2Pp1RK1/P7/2P1r2P/8 b - -,e2c2
8/8/5kb1/R7/6K1/P2P2P1/Pr3n1P/8 w - -,g4f3
1r6/2k5/6p1/3RPp1p/p1N2P1P/PpP3P1/5b2/2K5 w - -,d5d3
r4rk1/2pb2pp/2p2b2/p2p3q/3N1P2/3QB3/PPP3PP/1R3RK1 w - -,b1e1
1k3r2/1p1q3p/p1n1pBp1/3pP3/P1pP1rBP/2P5/2Q3PK/1R6 w - -,h2g3
3r1rk1/4b1p1/p1qpb2p/4p3/2P1N3/3Q3P/PB3PP1/2R1R1K1 w - -,g1h1
4n1k1/rr2ppbp/6p1/q1pPR3/8/2N2QPP/PP3PK1/R1B5 w - -,e5e2
1qrr2k1/1b2b1pp/pp2pp2/4n3/2P1N3/1P4B1/P3Q1PP/1B2RR1K w - -,e4g5
3r3r/1pk2p2/p4p1b/3Rp3/4P1Bp/8/PPP3PP/1K5R w - -,c2c4
6k1/3Q1r2/p1r3pp/1p6/4b3/P3P3/1q3PPP/3R1RK1 w - -,d7e8
