8/3k4/4N2R/4K3/8/8/8/r7 w - -,h6h7
r1bqk1nr/pppn1pp1/4p2p/3pN3/QbPP4/2N5/PP2PPPP/R1B1KB1R b KQkq -,b4c3
6k1/p1B3bp/2p1p1p1/2r5/4p1P1/2prP3/P4P1P/2R2RK1 w - -,c1b1
r1q1rbk1/1b1n1p1p/pp1p2p1/3n2N1/1P6/2N3P1/2Q1PPBP/1RBR2K1 b - -,d5c3
2r1k2r/5ppp/pq6/1pbPp1PP/8/P4P2/1PPQB3/2KR3R w k -,d2d3
4rr1k/p3q1pp/1p6/1Q2pp2/8/2P4P/PP3PP1/3R1RK1 b - -,e5e4
r4rk1/p3bppp/1pqppn2/1Nn5/2P2B2/1PN2QP1/P3PP1P/R4RK1 b - -,c6f3
8/pb2k3/4p3/1p3B2/8/8/PP4rK/4R3 w - -,h2h3
2kr3r/ppq2p1p/2p1p1b1/3B1p2/3P1P2/6P1/PPP1Q1NP/2KR1R2 b - -,e6d5
2r1k2r/ppqRbp1p/2n1pp1B/8/1PB2N2/2P2P2/P3Q1PP/5RK1 b k -,e8d7
4r1k1/pp1n1p1p/6p1/2Pp2P1/1P6/2Q3Pq/P7/4RRK1 b - -,e8e4
8/4k1p1/4p3/5p1p/3Pn2P/1p1K2P1/5P2/3N4 b - -,e7d6
8/8/8/7p/5k1P/5rN1/6K1/8 w - -,g3h5
r1bq3k/pp1r2pp/4pb2/5p2/1PQP1P2/4BB2/P5PP/3R1NK1 b - -,d7c7
r3k2r/1pp3pp/p1nqpn2/3p1p2/3P3P/P1N1Q1P1/1PP1PPB1/R3K2R w KQkq -,c3a4
rqb1r1k1/3n1p1p/p1p2np1/1p1p4/PP1PPb1B/2NB1N2/2Q2PPP/1R2R1K1 b - -,g8g7
1n6/5pp1/1p1kp2p/8/1PP2PP1/4K2P/8/3B4 w - -,e3d4
b3r1k1/4b1pp/q2p4/3Pp3/1P2Q3/5N1P/3B1PP1/2R3K1 w - -,d2g5
4rrn1/1b2qpk1/1p1p2p1/p2PpPQp/2PpP2P/6P1/PP3RBN/3R2K1 w - -,g5d2
8/7k/1R5P/5p2/5P2/r3K3/8/8 w - -,e3f2
3q1rk1/3r3p/p2p1bp1/1p1Pp2n/8/P2BB2Q/1PP3PP/4RR1K w - -,c2c3
2rqr1k1/1b1n1ppp/ppp2n2/3p4/1P1P4/Q3PNP1/P1RN1PBP/2R3K1 w - -,a3b2
8/5pk1/1Q3qpp/p7/3Np1P1/4P2P/bP3P2/6K1 w - -,b6a5
3q1rk1/3npp1p/6p1/1RPP4/3p1b2/8/Q4P1P/5BK1 w - -,f1g2
r1b2rk1/ppqn1pbp/2pp1np1/P3p3/3PP3/2N2N1P/1PP1BPP1/R1BQR1K1 b - -,e5d4
r2r1b1k/1pp2ppp/2p1qn1N/p3Q1B1/4P3/3P4/PPP2PPP/1K1R3R b - -,d8e8
5rk1/1b3ppp/2nbp3/1p1q4/2pPn3/4BBP1/1P3P1P/R2QNRK1 b - -,f7f5
2rnk1r1/1pqbn1pp/4p3/p1bpPp1P/5B2/2PB1NR1/PP2QPP1/RN2K3 w Q -,b1d2
4r3/pp3p1k/3p2pp/2pPr3/2P1b3/1P5P/P3BPP1/3RR1K1 w - -,e2f1
8/8/pBk5/Pbp5/8/r5p1/3R1KP1/8 w - -,f2e1
r4rk1/1p2b1pp/1q2p3/p2Pp3/2B3n1/2N2P2/PPP3PP/2QRK2R w K -,c3e4
8/8/8/5p2/3b2p1/2k1qPP1/4P1K1/5RN1 b - -,c3d2
5k2/5pp1/1p1r2p1/8/P2pK1P1/7P/5P2/1R6 w - -,e4d3
6k1/5p2/3B2p1/2pPP2p/2P4P/6PK/5bB1/1r6 b - -,f2d4
r1b2rk1/2qnbpp1/p2ppn1p/1p2P3/3N1P1B/2N2Q2/PPP1B1PP/2KR2R1 b - -,c8b7
1R6/8/8/4K3/2p5/1kr5/8/8 b - -,b3c2
8/kp6/p1b2N2/3p4/3P3P/Prp5/5R2/6K1 w - -,h4h5
3r1rk1/pp3ppp/2n3q1/3BPb2/Q3p3/2B5/PP3PPP/R2R2K1 b - -,e4e3
8/8/4kPp1/8/4K3/4R3/8/5r2 b - -,e6f6
r2q1rk1/pp1b2pp/2nbpn2/3p2B1/3P4/3B1N2/PP2NPPP/R2Q1RK1 w - -,e2c3
6k1/5ppp/5b2/1rBR1P2/rP2p3/7P/5PP1/4R1K1 w - -,e1e4
3b4/1k1N1p2/3p3p/8/5nP1/N5K1/8/8 b - -,f4g6
2b2bkr/3p2p1/p1q1p1p1/4Pp2/Prp4P/2N1B1Q1/2PR1PP1/3R2K1 w - -,d2d4
1kr2b2/p3q3/1p2np2/4p2Q/1P5P/P3B1P1/3RN3/7K b - -,e7b7
rnbqkb1r/pp1p1ppp/2p2n2/4p3/2P1P3/2N5/PP1P1PPP/R1BQKBNR w KQkq e6,g1f3
8/1p3p2/7k/P1K5/P3P1R1/5rp1/8/8 b - -,h6h5
8/3R1p2/2rnp3/8/3k4/2N3P1/1P2KP2/8 b - -,d4c4
r3k2r/pb3ppp/2n1p3/1p1n1QB1/8/P4NP1/P3PPBP/R4RK1 b kq -,e6f5
r4rk1/1pq2ppp/4p1b1/3p4/8/p1PPRB1P/PP3PP1/1R1Q2K1 w - -,d1b3
3r2nr/p2k1pbp/6p1/1p6/1PNpP3/5BP1/P4P1P/R2R2K1 w - b6,c4a5
4r3/p3qpk1/B1p1bnpp/8/1r2p3/1P4Q1/P1P1N1PP/4RRK1 b - -,b4b6
rn1qkbnr/pb1ppppp/1p6/8/3PP3/8/PP3PPP/RNBQKBNR w KQkq -,b1c3
3r2k1/p5p1/4pp1p/8/8/P4N1P/4BPP1/2R3K1 w - -,e2a6
1r4k1/3Brp2/p5p1/Bp1R2Pn/8/4b2P/PP6/1K1R4 w - -,a5b4
r1bqk2r/p2pppbp/2p3pn/4P3/3Q4/5N2/PPP2PPP/RNB2RK1 b kq -,h6f5
r3BK2/7k/8/8/8/8/8/5R2 b - -,a8a6
4bk2/6p1/2p2q1p/3p4/1P1Np3/2P3QP/5PP1/6K1 w - -,g3e3
r1b2rk1/pp1n1ppp/2n1p3/qN2P3/PbBp4/5N2/1P1BQPPP/R2R2K1 w - -,d2f4
8/4p2p/3p1k2/3P4/7r/4KP2/2p5/6R1 w - -,e3d2
4Rr2/1p3P1p/1k2B3/p2p4/Pb6/8/KP1r3P/2R5 b - -,d2e2
8/p7/1p3r2/2pPRpkp/2P5/P2P4/1P5P/6K1 w - -,g1f2
1R6/pp3rk1/1np5/4P3/8/2N2P2/PP6/1K6 w - -,c3e4
8/7R/5p2/r7/4KNk1/7P/8/8 b - -,g4g3
3R4/5pkp/6p1/1r6/5P2/4P3/5PKP/8 w - -,h2h3
rnbq1rk1/1pp1n1b1/3p3p/4pp2/1RP3pP/P1NP2P1/3BPPB1/2Q1NRK1 b - -,b8c6
8/8/8/1p5k/2r4P/PK6/7R/8 b - -,c4e4
6k1/2pnq1p1/p2pp1np/1p2p3/4P1N1/2PPP2P/PP1N2P1/5QK1 b - -,e7f8
r5k1/5pp1/4p2p/8/3P2P1/4P3/5P1P/1R4K1 b - g3,g7g6
8/1K1B1p2/P5k1/1R6/3b1P1P/8/8/r7 b - -,g6h6
5k2/pp2br2/4pq2/1r6/4R3/2P4Q/PP3PPP/1K2R3 b - -,e7a3
2rq1rk1/p3ppbp/1p4p1/2p5/3nN3/PbBPPPP1/1P1Q2BP/1R3RK1 b - -,d4e6
3qkb1r/R2n1p2/4p1pp/NQ1p4/8/2P1B3/1P3PPP/6K1 b - -,h8h7
2R5/r4pk1/3N1np1/7p/4PK1P/5PP1/8/8 b - -,a7e7
5k2/4r1p1/1ppn4/p3p3/P3P3/1P2P3/4BNK1/8 w - -,e2h5
r1b1k2r/1pppqppp/p1n2n2/2b1p3/2NP4/1P2P3/PBP1BPPP/R2QK1NR b KQkq d3,e5d4
8/ppnk4/7p/3PP1p1/1P3PPn/1K1R2R1/8/4r3 b - -,g5f4
r7/4B3/4n1k1/3R4/2PpP3/6P1/4PK2/8 b - -,g6f7
r1bqk1nr/pp2ppbp/2n3p1/1B1p4/P2P4/5N2/1PP2PPP/RNBQK2R w KQkq -,e1g1
8/k7/8/p1KN1B2/P7/8/2n5/8 b - -,c2e1
r2r4/pp2kpBp/3bp3/8/6Pn/8/PP2BP1P/1K1R3R w - -,g4g5
8/4k2p/R5p1/2Pp1p2/3K1P2/4P3/1r3P2/8 w - -,d4e5
2r1kb1r/Rp2pp1p/5np1/5b2/2PPq3/5N2/4BPPP/2BQK2R b Kk -,f8g7
3k4/5p2/7p/4p1pP/1P2P1P1/p4P2/1nK1B3/8 b - -,b2a4
7r/8/8/8/4p3/4k1K1/P5R1/8 w - -,a2a4
5r1k/p4r1p/1p2q1pb/3p4/2pPpPPP/P1P3B1/1P2QRK1/7R w - -,h1f1
b2r1bk1/5pp1/ppq1p2p/4P3/P2n4/2N2P2/1P2QBPP/3R2K1 w - -,d1d4
r1bqrbk1/2pp1pp1/p1n2n1p/1p2p3/4P2B/1BNP1N2/PPP2PPP/R2QR1K1 b - -,f8e7
3rn1k1/p5p1/1p1pp1q1/1P1b3p/P2Pp2P/B3PrPB/3RQP2/2R3K1 w - -,d2c2
1r1r2k1/pB1nppbp/6p1/2p5/2P3n1/2N3P1/PP2PP1P/R1B2RK1 w - -,b7a6
1r6/6kP/4R3/2p5/2P1B3/6K1/8/8 w - -,e6g6
rn1qk2r/ppp1bppp/3p4/3pPb2/3P1P2/5N2/PPP3PP/R1BQKB1R w KQkq -,f1d3
r2qk1nr/pp1b1pbp/3pp1p1/2p5/P1BnPP2/2NP1N2/1PP3PP/R1BQ1RK1 b kq -,g8e7
2rr2k1/4bp2/1p1n2qp/p2PN1pR/6P1/1P2P3/1B2QPK1/R7 b - -,g6e4
5r1k/2qb3p/p2b4/1pn1p3/1B1p1P2/P2P4/1PP3BP/4RRQK b - -,f8g8
r3rk2/pbp2pp1/1p1p1q1p/n7/2PP1P2/2PB4/P1QB2PP/R4R1K w - -,f4f5
r3kb1r/ppq2ppp/1np1pn2/8/2NP4/2N1B1P1/PPP1QP1P/R3K2R w KQkq -,c4b6
4r1k1/pp1r1pb1/nq1P2pp/2p5/2B1b3/4BN2/PPQR1PPP/3R2K1 w - -,c2a4:c2c1
8/4k3/n3p3/4p1p1/2P1P1Pp/5P1P/2R1BK2/1r6 w - -,c2a2
r1bqkb1r/pp2pp1p/2n2np1/3p4/3P1B2/2N1PN2/PP3PPP/R2QKB1R b KQkq -,f8g7
3k4/4B1R1/8/1rp2p2/2Np4/3P1P1r/1PK4b/6q1 b - -,d8d7
8/5pk1/p7/7b/1p3P2/3B1r2/PP1R3P/5K2 w - -,f1g2
1Q4k1/p4pp1/4b2p/4P3/3q3P/1p1P2P1/5PB1/6K1 b - -,g8h7
7r/p2k1p2/3pb3/3q2pp/P1rPQ3/2B5/1P3PPP/R3R1K1 b - -,d5e4
6k1/1pRb4/4p3/8/p1BpP3/3P2KP/P1P5/5r2 b - -,f1f7
8/8/7p/1R5P/1P4k1/7r/4K3/8 b - -,g4f4
8/8/4K3/r7/1R2b3/4k3/8/8 b - -,e3f4
8/8/3n4/4k3/8/3K4/8/1R6 w - -,b1a1
r2qk2r/pppn1ppp/3bpn2/3p1N2/8/1P2P3/PBPPBPPP/RN1QK2R b KQkq -,e6f5
6k1/2q2pp1/4p2p/p1n1P3/1p3P2/6QP/PP1r2PK/1B2R3 w - -,b2b3
r1bq1rk1/ppn1ppbp/6p1/2p5/N4P2/1P2PBP1/PB1P3P/R2QK2R b KQ -,g7b2
1r2rnk1/4p1bp/qpbpp1p1/p7/2P1PPBQ/1PN1B3/P5PP/2R1R2K w - -,f4f5
r2q1rk1/ppp1bppp/2npbn2/4p3/4PP2/1BNP1N2/PPP3PP/R1BQ1RK1 b - -,e6b3
rnb1k2r/pp2qpp1/5n1p/3p4/3Pp3/2N2PPN/PP1QP1BP/R4RK1 b kq -,c8h3
4rrk1/pp3bp1/1qnbpn1p/3p4/3P4/2B2NN1/PP2QPPP/1BR2RK1 w - -,c1e1:e2d2
8/1p4Bp/p2k4/P5R1/4b2P/P6r/4K3/8 w - -,g7e5
r2qk2r/1pp2ppp/3p1n2/4p3/pbPnP3/2NP2PP/PP3PB1/R1BQ1RK1 b kq -,a4a3
r1nb1k1r/PQ3p2/Rp1p2pp/1q1P4/3P4/5N2/1PB2PPP/4R1K1 w - -,c2a4
2r2r2/R4pkp/3p1np1/8/4PP2/5P2/4N2P/5R1K b - -,f6h5
r2q1rk1/4bppp/n3p3/p2nP3/Pp1Q4/5N2/1P1BNPPP/R4RK1 b - -,a6c5
r2qk2r/1pp1n1pp/5p2/pPb2b2/QnBp4/B2P1N2/P4PPP/RNR3K1 b kq -,b7b6
2rr2k1/2q2pbp/p4np1/4p3/1nb1P3/1NN1BB2/1PP2RPP/2R1Q2K b - -,c4b3
8/2p3k1/1p1p4/1P6/pr4PK/R4P2/8/8 w - -,a3c3
r2qk1nr/ppp1ppbp/2np2p1/8/3PPPb1/2N1BN2/PPP3PP/R2QKB1R b KQkq -,g4f3
7k/5Qb1/3p1p1p/3P3P/1p1pq3/1P4P1/P3PPK1/8 w - -,g2h3
r2q1rk1/pp2ppbp/2p1b1p1/2p1Pn2/4NB2/3P1N1P/PPP2PP1/R2QR1K1 b - -,b7b6
r3r1k1/pp3p2/n1p3p1/4B2n/2P1P3/2N2P1b/PPN1B2P/4R1RK b - -,e8e5
4rbk1/p2q1p2/1p3Pp1/2p1r2p/2P3P1/2NP1R1P/P2Q2K1/5R2 w - h6,f3g3
r3r1k1/2P2pp1/4qn2/4p3/pp6/4B1P1/P3PPQP/2RR2K1 b - -,e5e4
r2q2k1/1p4bB/p7/2pPn3/P3N3/4r2P/1P4P1/R2Q1RK1 b - -,g8h7
2rq1rk1/1p1b1ppp/p1n1p3/3pPn2/3P4/2N2N2/PP1QBPPP/R4RK1 w - -,a1c1
2r1k3/p2br1p1/5b2/1p5p/1p1N1P2/8/PP1RN1KP/3R4 b - -,g7g5
2n2r1r/1pqb1pk1/3p2pn/p1pPp2p/P1P1P2P/2PBBPP1/R1QKN3/1R6 w - -,a2b2
rnb2rk1/4bppp/p3p1n1/q5BQ/1p1NN3/1B6/PPP3PP/R4RK1 w - -,h5g4
