4b3/8/p4P2/Pp1p4/2kN1Kp1/2P3P1/8/8 b - -,b5b4
4k2r/rb1n1ppp/pq2pn2/1pb3B1/8/P1N1PN2/1PB2PPP/R2Q1RK1 b k -,e8g8
3r3B/p1p2k1p/b4pp1/2q5/2P2p2/5B2/P5PP/RNR4K w - -,h8f6
2r5/pp1r1kpp/2p5/4R3/1P6/P3R1P1/5PKP/8 b - -,b7b6
5Q2/kpb3p1/2q5/P7/1P6/8/5P2/6K1 b - -,c7d6
r5r1/1p5k/2p1p3/p1Pp2Rb/3PpP2/1P5P/P2B1b1K/1NR5 b - -,g8g5
1r1q1rk1/1p1bppbp/3p1npB/p7/3NP3/2N2P2/PPPQ2PP/2KR3R b - -,b7b5
2r2rk1/3b1pp1/1q1b3p/2nPp3/8/1PN1N1P1/1BQ2PBP/R4K2 b - -,c5b3
4q3/1p2r1kp/2br2p1/p2pNp2/Pb1P1P2/3BP2P/6PK/R2Q2R1 w - -,a1a2
8/p2b4/1pk5/8/3K2Pn/P1P3B1/8/3B4 b - -,h4g6
r1b1k2r/pp2bppp/1qn1pn2/3p4/3PP3/3B1N2/PP1N1PPP/R1BQ1RK1 w kq -,a2a3
4r1k1/1Q3p1p/pN4pb/q1pP4/4r3/7P/P4PP1/1R1R2K1 b - -,e4e1
1r4k1/5pp1/3p4/p2Np2p/4P2b/5PPP/2Q1R2K/q7 b - -,h4g5
1r1q2k1/2Q3pp/3p4/3P1p2/pP3P2/5B2/1n5P/5R1K w - -,c7c3
r3k2r/p1pp1ppp/b1p5/3nP3/2P5/PP4P1/3N1Q1P/R1BK1B1q b kq -,d5c3
rn1qk2r/pb1pbppp/1p2pn2/2p5/3P4/2N2NP1/PPP1PPBP/R1BQ1RK1 w kq -,c1f4
r2q1rk1/pb3pbp/np2pnp1/2pp4/2PP4/PP2PNP1/1B1N1PBP/R2Q1RK1 b - -,d8e7
4k2r/pq1npp1p/6p1/2b5/R1N5/3R1NP1/4PPKP/8 w - -,a4a5
r3k2r/pp2bppp/4pn2/4q3/2P5/4BN2/PP3PPP/R2R2K1 w kq -,f3e5
r1b2r2/p1p2p1k/3p2pp/2PP4/4PB1q/3B3P/P2Q1PP1/b4RK1 w - -,f1a1
8/5p2/8/4P1Bp/r2k1K1P/5P2/8/8 b - -,a4a3
r7/2p5/2p5/2P1p3/1k4P1/6K1/p7/R7 b - -,b4b3
7k/1p1r1p1B/pKp1p2Q/2P1P3/1P6/P7/3r4/8 w - -,h7d3
r1bq1rk1/4ppbp/p1p3p1/4P3/3P2n1/P3B3/BP2N1PP/R2Q1RK1 w - -,f1f3
2b1k2r/2r2p1p/p2p1qp1/2n1p2P/1p2P1B1/4QP2/PPP1N3/2KR3R w k -,e3d2
8/3nqk2/ppb1p1n1/2p2ppp/1PP5/P2NPP2/1BQ1B1PP/6K1 b - -,c5b4
1r2rk2/p5p1/3Q3p/4P3/2p5/2P1K3/PP4PP/8 b - -,f8g8
3r1b2/1bk2pn1/p3pNpB/2p1P2p/2Pr2P1/3B3P/PPK5/3R1R2 w - -,f6h7
r1q2rk1/1p1b1pbp/p1npp1p1/8/4PP2/1NN1B3/PPPQ2PP/3R1R1K w - -,d2d6
r1b2r2/ppq3kp/2n2np1/3pp3/8/N1P2N1P/PP1QBPP1/R4RK1 b - -,c8e6
rq1b1rk1/1p1b1ppp/p1nppn2/P7/4PP2/1NNB4/1PP1QBPP/R4RK1 b - -,d8c7
8/2R2pk1/1p1P2p1/4N3/p3P3/2K2PP1/PP5r/8 b - -,h2h1
r1b2rk1/p5pp/2nqpp2/1p1p4/3Pn3/2PN1N2/PP2BPPP/R2QK2R w KQ b6,e1g1
2r1r1k1/p1q1bppp/bp2pn2/B3N3/2PP4/P3N1P1/4QPBP/2RR2K1 b - -,b6a5
r2qkb1r/pb3ppp/1pn1pn2/2pp4/2PP4/1P3NP1/P3PPBP/RNBQ1RK1 w kq -,c1b2
3r2k1/5pp1/1qp1p2p/pr1n3P/3P4/RPP3P1/2Q1BPK1/4R3 b - -,b6c7
rnQ1kb1r/ppp1q1pp/5p1n/7N/2P1p3/4P3/PB1P1PPP/RN2K2R b KQ -,e7d8
3k4/4b2p/p1bp2p1/1pR2p2/8/1P2P1PP/P4P2/3R2K1 b - -,c6f3
5rk1/Q4pb1/5n1p/2P1pB2/Pp2P2P/2r3P1/5P2/6K1 b - -,f8d8
8/1R3pk1/1Pp5/3b2Kp/6p1/1r6/3R3P/8 b - -,d5f3
5rk1/4bppp/p3pn2/1pr5/3Qq3/4PNP1/PP3PBP/2R2RK1 b - -,f8c8
r5k1/p3bppp/Pp2pB2/1Nr5/2p5/2P3P1/1P2PPKP/R4R2 b - -,g7f6
r2qk2r/pb1nbppp/1pp2n2/3p4/3P4/1PNBPN2/P1Q2PPP/R1B1K2R w KQkq -,e1g1
2r4r/pp1k1ppp/8/3p4/3P4/8/PP1K1PPP/2R4R w - -,c1c5
r5k1/p4q1p/1p1P2p1/8/2bQP2P/6P1/P5BK/2R5 b - -,b6b5
1r5k/3b1rpp/p3p3/4Rp2/1PpB4/2P3R1/P4PPP/6K1 b - -,b8b5
2br2k1/pp4pp/1b1N1nq1/3p4/4pB2/1Q3P2/PP2B1PP/5R1K b - -,c8e6
2rq1r2/1b2npbk/1pn1p1pp/1Npp4/1PP5/3P1NP1/3BPPBP/1RQR2K1 b - -,c6b4
2r3k1/3qb1pp/4p3/2PpBp2/r7/2RQP2P/5PP1/2R3K1 b - -,d7c6
r2q1rk1/pp2nppp/2pb4/2npp3/1P2P1b1/2PP1NP1/P1QN1PBP/R1B2RK1 b - b3,c5e6
r2qk1nr/ppp2pbp/2np2p1/4p3/3PP1b1/2P1BN2/PP1N1PPP/R2QKB1R w KQkq e6,f1e2
7r/1p1nkp2/2p2p1p/p3p2R/4P1r1/P2BP3/1PP2RPP/2K5 b - -,d7c5
7k/1ppq2pp/1p1nNpb1/3P4/5Q2/2N1P2P/PP4P1/6K1 b - -,g6f5
8/3r3k/2p3pq/2P5/3pR3/3K4/2Q2P2/8 b - -,h6g5
rn1q1rk1/pp3ppp/2pbpn2/3p1b2/3P3N/1P2P3/PBPNBPPP/R2QK2R b KQ -,f5g6
7k/p2R2rn/1p2pb1p/1Pp1p3/2r1Pp1P/P1N2P2/7K/1R2B3 w - -,d7d6
3r4/kpq2pb1/pn2p2p/4P1p1/4R3/1BPr1NP1/PP3P2/1K1RQ3 w - -,e1e2
rnbqkb1r/5ppp/p1p1pn2/1p4B1/3P4/2NQ1N2/PP2PPPP/R3KB1R b KQkq -,c6c5
4r2k/p5p1/Q4n1p/2q5/8/5B1P/5PP1/R5K1 b - -,c5d4:e8e7
8/2p2kr1/1pqp4/p3p1n1/P1P1PnPb/1PP2R2/1K1N4/1R1Q3N b - -,g5f3
rnbq1rk1/ppp1bppp/3p1n2/8/3P1B2/2NB1N2/PPP2PPP/R2QK2R b KQ -,f8e8
r7/8/3kP2R/1q1p1p2/1p1Q4/6PK/7P/8 w - -,e6e7
6k1/1p2b2p/1pr1q2r/p3pp2/PnN3p1/1PNPP1P1/5P1P/2RR2KQ w - -,d3d4
6k1/5p2/4p3/3qP1b1/1p1P2p1/1P1Q2P1/8/5KN1 w - -,g1e2
6k1/5p1b/1p2p2p/7P/2PbPQ2/5BP1/Pr6/5K2 w - -,a2a4
8/2k2p2/1pnq1p2/p2p1bp1/3P4/P1N3P1/1PPQ1P2/2K1RB1r b - -,d6d7
1k1r4/pqp3p1/1r1bp3/3p2P1/3P4/3R1N2/PP2QP2/1KR5 w - -,d3c3
8/8/4R3/8/2r3p1/p3K3/1k6/8 b - -,a3a2
r7/bp3p2/4p2k/2P2p1P/1p2p2q/8/PQ6/3R1KR1 b - -,h4f4
r1bq1rk1/pp1nbpp1/5n1p/2ppp3/3P3B/2PBP3/PP1NNPPP/2RQK2R w K c6,e1g1
rr4k1/1pqn1pbp/pn4p1/2P1p3/1R2P3/N1P1B2P/P1B1QPP1/3R2K1 b - -,d7c5
6r1/3k4/p3b3/1p1p3B/1P1P4/P7/2R4P/7K b - -,g8h8
r2qk2r/4bppp/4p3/p2bn3/P3N3/6P1/5PBP/R1BQ1RK1 w kq -,d1h5
8/2p4R/p7/1p3k2/1P3P2/P4K2/3n1P2/8 w - -,f3g3
2r1k2r/2q1bpp1/p3pnp1/1pn5/6P1/2N1PP2/PPQBB2P/1K1R3R w k -,h2h4
r1b1r1k1/pp1n1pbp/2p1p1p1/q2p2Bn/2PPP3/1PN2NP1/P1Q2PBP/R2R2K1 b - e3,h7h6
4rbk1/1p3p2/1n4p1/1P3N2/4P3/6rP/1B6/2R4K w - -,f5g3
2n2k2/1p3pp1/2p4p/3b4/3B4/1P4P1/2BK1P1P/8 b - -,f7f6
4k3/2p5/5pp1/1pBP4/1P3P1p/5PnP/5K2/8 b - -,e8d7
r1bqk2r/pp2npb1/2npp2p/2p5/2P3pP/2NP2P1/PP1BPPBN/R1Q1K2R b KQkq -,h6h5
3r2k1/pp2R1p1/7p/1B6/8/5P2/PP1p1KPP/4R3 b - -,d2d1q
r2q1rk1/pp1b1ppp/2n1p3/2P1Pn2/2B5/P4N2/2P2PPP/R1BQ1RK1 b - -,d8c7
rnbqk2r/pp2ppbp/5np1/3p4/3P1B2/1QN2N2/PP2PPPP/R3KB1R b KQkq -,b8c6:a7a6
r2r2k1/1p2pp2/3q1npb/pNpP1b2/P1P5/1P4PP/1R2N1BK/Q2R4 b - -,d6e5
rnbq1rk1/pp2ppbp/6p1/3p4/3PP3/2P2NP1/P4PBP/R1BQ1RK1 b - e3,d5e4
r1b4r/ppk2pq1/2p1pN1p/8/2B3p1/5RP1/P1PQ1PP1/6K1 w - -,d2f4
q4rk1/3rn1p1/p2pb2p/4p3/N1P1P3/1PR2Pp1/2BR1Q1P/6K1 w - -,h2g3
4rk2/4nppp/1p6/p1p2q2/P1Pp1Pb1/1P1P2P1/3B1KBP/2Q1R3 w - -,g2e4
2kr3r/bpp1q3/p2p1p1p/P3p2n/1PB1P1bB/2PP1NP1/5P2/R2Q1RK1 w - -,b4b5
4q1k1/1Q4pp/2r1p3/3n1p2/3P1P2/3N2P1/5P1P/4R1K1 b - -,h7h6
rn3r2/pb1q2kp/1p1p1p2/4pPp1/1PP1P3/2NP2P1/1R2Q1BP/1R4K1 w - -,b4b5
2rq3k/4b2p/2p1p3/1p2Prp1/8/4Q1P1/PP4BP/R3R1K1 b - -,d8f8
r1bqr1k1/1p1n1pbp/p1p3p1/2Ppp2n/3P2P1/2NBPN1P/PP3P1B/R2Q1RK1 b - g3,e5e4
r1rqbbk1/5p1p/1n1p2p1/p2Pp3/1p2P3/1P1BBP2/P2QN1PP/2RR2K1 w - -,c1c8
2r2r1k/p2q3P/1p2n3/2bpPB2/3p1P2/3Q4/PP6/1K1R3R w - -,h1h6
8/5N1p/4pbp1/2p5/8/1k3KPP/1N2PP2/8 w - -,b2d3
r2qrnk1/1p3pp1/2pb1n1p/p2p4/3P3B/P1NbPN2/1PQ2PPP/1R2R1K1 w - -,c2d3
7n/7P/5P2/3p2N1/2p5/2P2PP1/1k1K4/8 b - -,d5d4
r5k1/p2R1p1p/6p1/1pb5/4P3/5P2/P3K1PP/2B5 w - -,c1e3
8/ppp1ppk1/4bbp1/8/8/P1P1B2P/1P2BPP1/3K4 w - -,d1d2
r4rk1/pbpn1pbp/1p2p1p1/2Q1P1B1/2B5/5N2/PPP2PPP/R3R1K1 b - -,d7c5
r1b2rk1/p1q1ppb1/1pn3pp/2p4n/2B1P2B/2P1QN2/PP1N1PPP/R3R1K1 b - -,g6g5
r1bqk1nr/pp3pb1/2np2p1/2p1p1P1/2P5/1P1PPN2/PB3P2/RN1QKBR1 b Qkq -,g8e7
8/1pr4p/p2R2p1/8/2P1kP2/1P4PP/P3K3/8 w - -,d6d5
rnbqkb1r/1p2pppp/p1p2n2/3p4/2P5/1QN1PN2/PP1P1PPP/R1B1KB1R b KQkq -,e7e6
1rbqnrk1/3nbppp/1p1p4/2pPpN2/1PN1P1P1/2P1BP2/3Q3P/R2K1B1R b - -,c8b7
3rr3/1pk3p1/p1nb1p1p/2pR4/8/2P1B1P1/PP2BP1P/4RK2 b - -,c6e7
2rqkb1r/1p1b1pp1/1n2p2p/p2pP2N/1n1P4/3BBN2/PP3PPP/R2Q1RK1 w k -,b2b3
1rb5/2p1k3/2Pp1q1b/pp1P1nNp/5N2/P2Q3B/1P5P/K5R1 b - -,h6g5
r1bq1rk1/ppp1b1pp/2n2p2/1B1pP3/3P4/2n2N1P/PP3PP1/R1BQ1RK1 w - -,b2c3
2r2rk1/pp3p1p/2n3p1/8/5Q2/1PN5/1PP2PqP/1K1R3R b - -,c8d8
r4rk1/p4ppp/q4b2/8/2pP4/1R2B1P1/P1Q2PKP/3R4 w - -,b3c3
3r3k/1pq1bRpp/p1n5/8/4Q3/3p2P1/PP4B1/3R2K1 w - -,g1h2
2r2bk1/3q1p2/2p2Bp1/1p2r2p/p2PQ2P/P1P3R1/1P3PP1/6K1 w - -,d4e5
8/8/5k2/1pp4P/1r3pK1/5P2/1P2R1P1/8 b - -,c5c4
r1bq1rk1/2npp1bp/pp3PpB/6N1/2P4Q/2N5/PP3PPP/R4RK1 b - -,e7f6
r1b1kbnr/1pqp1ppp/p1n1p3/8/3NP3/P1N5/1PP2PPP/R1BQKB1R w KQkq -,c1e3:f1e2
r1n5/3n1kb1/ppqp1p1p/3RpPp1/2P1P2P/NN2B3/PP4P1/3Q2K1 b - -,d7c5
8/2p1r2p/4q1pk/1p2r3/1P2P2P/4QPP1/5RK1/2R5 b - -,h6g7
3kb3/6pp/1p1r4/p2P4/P7/1P1n2PB/1B2R2P/6K1 b - -,d3b2
r4rk1/pp2pp1p/1q4p1/1N1P1b2/3R1P2/5N2/PP3QPP/5RK1 b - -,b6b5
r4rk1/4pp1p/2Bp2p1/2n1b3/p1P5/P3B3/1PR2PPP/3R2K1 b - -,a8a7
1k1r4/ppq4p/8/2P5/5p2/2Pp1Q1P/PP3PP1/3R3K b - -,d3d2
1rb1r1k1/2qn1ppp/pp1p1bn1/2pP4/P3PP2/1PNBN3/1BQ3PP/4RR1K w - -,c2e2
r3kb2/1p1nppp1/pqnpb3/6P1/4P3/2N1N3/PPP2P2/R1BQK2B b Qkq -,a8c8
1rr2k2/1p1b1ppp/p3pn2/2R5/1P6/2N3P1/2PP1PBP/3R2K1 w - -,c5c8
r1q2rk1/1pp1b1pp/3p4/p2P1p1n/P1PPP1bP/1P1Q2P1/1B2N1B1/R3K2R b - -,g4e2
r5k1/ppq2ppp/5n2/3pr3/5Qb1/PP1B4/2PN1PPP/R4RK1 b - -,a8e8
r4rk1/1p2bppp/p1n1b3/4P3/P3N3/1q1P4/1B2N1PP/R2Q1R1K w - -,d1d2
r1b1k2r/pp1n1ppp/2pb1n2/q2p2B1/3P4/2NBP3/PPQ2PPP/R3K1NR w KQkq -,g1f3
r3r1k1/1p3pbp/1q2p1p1/2nP4/5B2/1P2Q1PP/5PB1/3RR1K1 w - -,d5d6
3q1k2/5n1p/3p4/1N1rp3/PQ5P/8/1P3PP1/R5K1 w - -,a1c1
4r1k1/p1Rb1n1p/6p1/3P4/q7/4Q3/P4PPP/4R1K1 w - -,e3c1
r3r3/pp4Qp/4k1p1/2pb4/3Bp3/2P5/P1P3PP/6K1 w - -,g7e5
r3k2r/1pp1qppp/p1pb1n2/4p2b/4P3/1P1P1N1P/P1PN1PP1/R1BQK2R w KQkq -,c1b2
1r3rk1/p2b1pbp/1q1p2p1/1ppP4/3pPB2/3P2P1/PP3PBP/2RQR1K1 b - -,f8e8
8/7p/5kp1/p3pp2/P3b3/1Bb1B1P1/2P2K1P/8 w - -,h2h4
r1b1kb1r/1p3pp1/pqn1p2p/2npP3/5BQP/2NB1N2/PPP2PP1/3R1RK1 w kq -,f4c1
3rr1k1/p5pQ/4p3/1p3pP1/2p2q2/P1P4R/B1b2BPP/4R1K1 b - -,g8f7
r1bqkb1r/1pp2ppp/p1n5/3pp3/B2Pn3/5N2/PPP1QPPP/RNB1K2R w KQkq d6,f3e5
r4rk1/pb1nqppp/1p1p4/3Pp3/1nP1P3/R4NP1/NP2QPBP/5RK1 b - -,b4a2
r4rk1/1p2pp1p/3qbnp1/p1p5/P1PP1N2/1B2P2P/5PP1/2RQ1RK1 w - -,f4d5
8/5kp1/2n1pp2/7p/4K2P/6P1/3B1P2/8 w - -,d2c1
1R6/8/8/1p2rpk1/p7/2K5/P7/8 b - -,e5d5
r7/6b1/4k2p/P7/1P2pP2/7R/5P2/5K2 w - -,h3h5
8/5k1R/3p1p2/3P2p1/4P1P1/3rBP2/5K2/3b4 b - -,f7e8
r2qkb1r/1p3ppp/p1n1pn2/2pp4/3P2b1/1P2PN2/PBPNBPPP/R2Q1RK1 b kq -,a8c8
8/2B2k1p/4pPp1/2p5/2P1n1P1/5N1P/1b4K1/8 b - -,f7f6
r2qkb1r/pp1b1ppp/2n1pn2/2Pp4/3P1B2/2N5/PP3PPP/1R1QKBNR b Kkq -,b7b6
r1b2rk1/2q1b1pp/p1pppp2/6P1/2n1PP2/2N5/PPP3BP/R1BQ1R1K w - -,b2b3
r2qr1k1/ppb1nppp/8/3PpbNB/1PP5/3P2P1/1B1N1P1P/R2QR1K1 b - -,e7g6
8/2q2k2/4p2p/pp1bPpp1/8/P2NQ1P1/1PPK3P/8 b - -,d5e4
8/6R1/1r5p/k6P/5pK1/4b3/8/8 b - -,a5b5
1r1r4/8/3kppp1/pP1p3p/P1pP1PPP/3bR3/3K2B1/4R3 b - -,d8e8
rn1qk1nr/1bp1ppbp/p2p2p1/1p6/3PP3/P1N1BB2/1PP2PPP/R2QK1NR b KQkq -,b8d7
q4rk1/1b2bp1p/2np2p1/1ppnp3/4P3/2PP1N2/1PB2PPP/2BQR1K1 w - -,e4d5
2rr2k1/1p2ppbp/pqn3p1/8/P7/1R3N2/3B1PPP/3QR1K1 b - -,b6c7
r1rb3k/4qp1p/2p1b1pQ/1pNnP3/p2P4/P4N1P/1P3PP1/3RRBK1 b - -,h8g8
R7/8/4p3/1k3p2/2p2P2/4KP2/8/1r6 b - -,b1d1
3r4/2q2pk1/2P1p2p/2Rr3p/1P4n1/5N2/4Q1P1/2R3K1 w - -,g1h1
6k1/7p/6p1/8/4KP2/B5P1/1b2P2P/8 b - -,b2a3
3b1k2/5p2/1p3qn1/p2p4/1Pb5/P5QP/4B2P/2N1R2K b - -,a5b4
6k1/B4pbp/5pp1/3r4/R2N4/2P3P1/2P2P1P/2K2b2 b - -,g7h6
r1b1k2r/1p3ppp/p2b1n2/4p3/8/4BN2/PPP1BPPP/R4RK1 b kq -,c8g4
r4rk1/pp4b1/n1p1b1pp/5p2/2n5/2N1PNP1/PP3PBP/R1BR2K1 w - -,f3d4
8/3Pb3/1p6/p2bN3/P2pk3/1P4B1/3K4/8 w - -,e5c4
r2qkbnr/ppp2ppp/2n1b3/8/2BpP3/5N2/PP1N1PPP/R1BQ1RK1 b kq -,d8d7
r4rk1/2q1ppbp/p1n1N1p1/1p2n3/5B2/2N5/PPQ1BPPP/R4RK1 b - -,f7e6
r1bq1rk1/pp2b1pp/2np1n2/2p2p2/2PPp3/2N3P1/PPN1PPBP/R1BQ1RK1 w - -,d4c5
4r1k1/1b3pbp/p5p1/1p1p4/3NnP2/qPPQ1BP1/P5KP/5RB1 w - -,d3c2
r5k1/p4p2/1pp1pp1p/3r4/1R6/3P2P1/PP2PP1P/2R3K1 b - -,c6c5
1q6/4Q2p/p1p3pk/4p3/P3P3/5PpP/1PP3P1/1K6 b - -,b8b6
r2qk2r/pbpn1ppp/1p1ppn2/8/2PPP3/P1PB1P2/4N1PP/R1BQK2R b KQkq -,e6e5
3r2k1/p5p1/1p1Pppp1/8/8/1P6/PBb2PPP/2R3K1 b - -,d8d6
5r1k/4r1pp/2pNpq2/1pPn2R1/p2PQP2/P6P/1P3R1K/8 w - -,h2g3
5k2/1Q5p/4pq2/p4p2/P7/7P/1P3PP1/6K1 w - -,b7a8
3r4/2p1rpk1/6p1/pP1BP2p/PbP5/1R4P1/6K1/5R2 b - -,b4c5
8/6pk/7p/8/4Q2P/6P1/5PK1/2qq4 b - -,g7g6
2r3k1/5p1p/p3pnpb/1p6/2rN4/P1P1P1PP/1PR1K3/3R1N2 b - -,c4c5
7Q/3p1k2/2pPq1p1/5p1p/8/P3rPP1/r3PR1P/4R1K1 b - -,e6f6
r1bqkb1r/pp1n1ppp/2p2n2/4p1B1/3PP3/2N2N2/PPP3PP/R2QKB1R b KQkq -,d8a5
3r4/4qppk/1Q5p/3p4/3R3P/4P3/5PP1/6K1 w - -,g2g3
1rb2rk1/2q1ppbp/p5p1/8/8/1QP4P/PP1B1PP1/3RKB1R w K -,b3c2
1r1q1rk1/1p1bppbp/p1np1np1/8/2PN4/1PN1P3/PB1QBPPP/R2R2K1 b - -,c6a7
6k1/1p1r2p1/5p2/4n1p1/1R6/1P2B3/r4PPP/5RK1 w - -,h2h3
6k1/5p1p/R5p1/8/8/2nB4/5PbP/1r2NK2 w - -,f1g2
r4n2/4Rpkp/2p3p1/Pp3q2/1P6/1Q4PP/5P2/5BK1 b - -,f5f6
8/6b1/2P1P1k1/3K1np1/7p/3P4/3r4/7R w - -,d5c5
1r2k2r/pb3ppp/1p2pn2/2p5/4PP2/3B4/PPPN2PP/R3K2R b KQk -,e8e7
3k4/1P5R/1r1b2p1/3B1p1p/2K2P1P/6P1/8/8 w - -,h7g7
rn1qk2r/pbp2ppp/4p3/1p1nP3/2pP3P/2P2N2/P1QB1PP1/R3KB1R b KQkq h3,d8e7
8/8/6K1/pr5p/7P/R3k1P1/8/8 b - -,e3f2
q1r4k/2Q2Bpp/2bn4/5nN1/5R2/7P/1P3PP1/1N4K1 w - -,c7b6
r2q2k1/p4rb1/3p2pp/2p2p2/8/Q1P1PN2/PP3PPP/R4NK1 b - -,d8b6
r2q4/p1p2P2/1p1kb1p1/7p/3Q4/3P3P/PPP3P1/4R1K1 b - -,d6e7
4n3/1Q4kp/3p2p1/4p3/r3P3/2q1BP2/P5PP/4R2K b - -,g7f6
r7/1p1nkppp/3pb3/1N2p3/1nP1P3/1P3P2/2K1B1PP/2N4R w - -,c2b2
7k/p5p1/7p/8/7P/nP2p1P1/4N1K1/8 w - -,e2d4
1r6/1p3kp1/2p2p1p/4pN2/3nP3/P4PP1/1P1R2KP/8 b - -,d4f5
r3k1nr/ppp2ppp/8/2bPp3/1n4Bq/P1N5/1P3PPP/R1BQ1RK1 b kq -,g8f6
r2qr1k1/pp1nppbp/2bp2p1/6B1/2P1P3/2NQ1N2/PP3PPP/R3R1K1 w - -,f3d4
