8/p4p2/6k1/1R6/PP3KP1/8/8/1r6 w - -,b5b7
r1q2rk1/p2pb1pp/1p2p3/5p1n/2P5/2NQBPP1/PP2P1KP/R4R2 b - -,f5f4
r3k1r1/pp3p1p/2p5/2n5/3NPBbP/2P1K3/P1P5/6RR b q -,e8d7
8/8/5kpp/8/2B4P/5KP1/3r1P2/8 b - -,d2c2
1r6/R2nbk2/1p2p3/3N2B1/8/P4N2/4K3/8 b - -,e7g5
8/6K1/8/5q1P/k7/8/8/8 w - -,h5h6
8/7p/p1N2k2/1p1n2p1/8/1K6/5PPP/8 b - -,f6f5
2r2rk1/1p1bbpp1/pq1pp2p/5P2/4P3/3PNN2/PP1Q2PP/4RR1K b - -,g8h7
2kq1r2/1p1b2bp/p2ppnp1/2p5/2PBP1B1/8/PP1QNPPP/3RK2R b K -,c5d4
8/2r3pk/7p/3R1p2/pppK1P2/P5PP/1P6/8 w - -,a3b4
r3k2r/pp3ppp/2nbpnq1/8/3P4/P3BN2/1PQ1BPPP/1R2K2R w Kkq -,c2g6
5rk1/6p1/p1p1p2p/3nP3/1rNP4/R5P1/1PR4P/4K3 b - -,d5c7
1r4k1/p4pbp/3r2p1/4p1Pn/P2pP3/5N2/P1PB1P1P/2K1R1R1 b - -,d6c6
8/p3kp1p/4b1p1/2N5/1r2PP2/1N4P1/P4K1n/2R5 w - -,c5e6
rn1qkb1r/pp4pp/2p1bp1n/3pp3/1PP5/P3P3/1BQP1PPP/RN2KBNR w KQkq -,d2d4
8/pb3r1p/1p1RNp1k/3p1P2/P3p1P1/1P2P2P/3K4/8 w - -,e6d8
r3r1k1/pb1n1ppp/3q1n2/Bp1p1B2/2pP4/4PN2/PPQ2PPP/2R2RK1 b - -,a8b8
5k2/2p2ppp/1pr5/3p4/P1r4P/P3P1P1/5P2/2RR1K2 w - -,c1c4
8/2b5/1p6/1P6/P4k2/2B1p2p/4P3/7K w - -,h1h2
8/p1q3k1/5p2/1P2nQp1/7p/7P/5PP1/5BK1 b - -,c7d6:c7d7
8/4k3/pn1p3p/n1pP1p1B/1qP1pP2/4P2P/P1QN1K2/8 w - -,h5e2
r2qr1k1/1p1n1ppb/2pbpn1p/p2pN3/1PP5/P2P1NP1/1BQ1PPBP/R1R3K1 w - -,c4c5
r1b2rk1/pp1n3p/2p1p3/4Pp2/P2q2p1/3NP1P1/5PBP/R2R2K1 w - -,e3d4
8/2kb4/4p3/p4p2/1pPb1NPp/1P3B1P/P3K3/8 b - -,e6e5
r3r1k1/p2nqp2/Ppp1b1p1/4P2p/1PPN1b2/1QNB3P/6P1/4RR1K b - -,d7e5
5k2/5pp1/p2p3p/1p6/3r4/P7/1P3PPP/2R2K2 w - b6,c1c6
r4rk1/1pqnbpp1/2p3p1/4p3/1n1PP1PP/pPN2P2/P2BB3/1KQR3R w - -,h4h5
2rq1rk1/1b3pbp/pp2p1p1/2ppP3/P2n1PP1/3P4/1PP2QBP/R1BNR1K1 b - -,d8c7
4k2r/pp2bppp/4p3/4P3/P7/3NP1P1/1P4KP/5R2 b k -,a7a6
8/3b1k2/5b1p/4BP2/5P2/p4K1P/2B5/8 w - -,c2b3
r2q1rk1/1bpnbppp/p3pn2/1p4B1/P2P4/2N1PN2/1P2BPPP/2RQ1RK1 b - a3,b5b4
r3r1k1/1p3p1p/p2pb1p1/2q5/3pBPPQ/7P/PPP5/1KR1R3 b - -,e6a2
2k2rr1/ppq5/2pbpn2/3p1ppp/3P4/2P1PP1P/PPQN2P1/2KRB2R b - -,g5g4
3r4/6pk/1bqpp2p/4p3/4P3/pPP2P2/P3Q1PP/KN1R4 w - -,e2d3
2B5/8/1p6/p1p1n1k1/P7/2K4P/1P6/8 b - -,g5h4
1r1qnrk1/2p1ppbp/pp4p1/3NPb2/1PnP1B2/5NP1/P4PBP/1R1QR1K1 w - -,b1c1
2r1k2r/pp1bpp2/1q1p3p/6p1/4P3/QNb2PB1/P1P3PP/1K1R3R w k -,d1d3
r2q1rk1/3bbppp/p2p1n2/1p1Pp3/5P2/4N3/PPP1B1PP/R1BQ1RK1 b - f3,f6e4
6k1/5pp1/1Q2p2p/2p5/2q5/4P2P/P2r1PP1/5RK1 w - -,b6b3
8/1p4k1/5p1p/3q4/P4Q2/6P1/1P3PK1/8 w - -,f4f3
5b1k/1b1r3p/p4n2/Pp1p1Nn1/3Pp3/1N5P/1P3PPB/2R3K1 w - -,h2e5
1k1r3r/ppq2pp1/1n1bpn1p/2p4P/3P4/1Q3N2/PPPBNPP1/1K1R3R w - -,d2a5
3nr3/5p1R/6r1/1k1pPpP1/pBpP1P2/1pP5/1K6/5R2 w - -,f1f2
4r3/1p2qpbk/p1n1B1pp/4p3/8/2P3BP/PP1NQPP1/4R1K1 b - -,e7e6
8/2p3k1/1p1b2p1/p1pPpr1p/P1P1N3/1P3RPP/5PK1/8 b - -,d6e7
1k1r1B1Q/pp1qnp2/2n1P1p1/3p4/8/8/PP3PPP/2RR2K1 b - -,d7e8
rnbq1rk1/3pppbp/p1p2np1/1pP5/3P4/2N2NP1/PP2PPBP/R1BQK2R w KQ -,e1g1
2r1r1k1/1b3ppp/pq3n2/1ppPN3/5N2/4P1P1/P4Q1P/2RR1BK1 b - -,e8e5
r3k2r/p1q1npb1/b1n1p1pp/2ppP3/1pP4P/3P1NP1/PPN1QPB1/R1B1R1K1 b kq -,a8d8
8/8/5p2/7p/2kp2pP/5qP1/Q6K/8 b - -,c4d3
5k2/1p1R1p2/p5p1/4P2p/Pr3KPP/5P2/8/8 w - -,f4g5
8/p4k1p/2pb2p1/3n4/2BP4/5K1P/PP1B4/8 b - -,f7f6
r4rk1/5ppp/p3bb2/3q4/2p5/2B4P/PPQ2PP1/R3RNK1 b - -,f6c3
2r2rk1/4b1p1/4p3/2P1P3/1PK1Q2B/8/8/8 b - -,e7h4
rn1qkb1r/ppp1ppp1/5nbp/3p3P/3P1BP1/4PP2/PPP5/RN1QKBNR b KQkq -,g6h7
5n2/2brq1k1/p2p2pN/2pP4/2P2QP1/P2B3P/5R2/6K1 w - -,g4g5
2r3k1/5pp1/6rp/p1N2q2/1P1B1P2/P3PQb1/3K4/7R b - -,a5b4
r1bqr1k1/pp2bpp1/2n1pn1p/3p4/2PP4/2NBBN2/PP1Q1PPP/R4RK1 b - -,e7f8
8/8/8/5pp1/R2k4/5K1P/2r5/8 b - -,c2c4
3rr1k1/pp3pp1/3b1n1p/3p3q/3N2b1/P2PB1PP/1P1Q1PBK/2R1R3 b - -,d6e5
1Q6/2Q3pk/p6p/2p3nP/8/3qP3/1P6/1K3R2 w - -,b1a2
8/8/3k1rpp/p1pp4/5PRP/1P1K1P2/P7/8 w - -,f4f5
1r4k1/8/6qp/p1Np4/2nP1pb1/P1Q5/5BP1/4R1K1 b - -,f4f3
1k1r3r/1pp1q1p1/p1np1b1p/4pP2/2B3P1/2P1B3/PPP1Q2P/1K1R3R b - -,c6a5
8/3P4/7R/pBp3b1/P3pk2/8/6r1/3K4 b - -,g2g1
r3r3/1p2q1bk/6pp/3Bnp2/2PB4/6P1/5P1P/1R1QR1K1 b - -,e5f3
8/1p1k2p1/7p/P6P/8/8/1KP5/8 b - -,d7e6
4r1k1/R7/8/5KP1/8/8/8/8 b - -,e8b8
1rr5/3b1kb1/1p1ppp1p/p1nN2pP/2P1P1P1/1PB2P2/P3B1K1/2RR4 w - -,d5e3
2kr3r/1p2bppp/p3p1b1/2p1q3/2P5/1B2BP2/PP3QPP/R2R2K1 b - -,h7h5
r3k2r/bppq1p2/p1np1n1p/4p1p1/1PBPP1b1/2P2NB1/P2N1PPP/R2Q1RK1 b kq -,e8g8
8/4kp2/3np3/2K1N1p1/3PP3/5P2/6P1/8 b - -,d6e8
r1bq1rk1/pp2npbp/2npp1p1/2p5/2P1P3/P1NP1NP1/1P3PBP/R1BQ1RK1 b - -,a8b8
R5k1/5pb1/7p/8/2K5/B5rP/2p5/8 b - -,g8h7
r1b1r2k/1p3pn1/2p2q2/p3b1pp/3NP3/P2R1PP1/1PQ1BB1P/3R3K b - -,h5h4
rn1q1rk1/pp1bbppp/3ppn2/2p5/2P5/1P2PN2/PB1PBPPP/RN1Q1RK1 w - -,d2d4
2r3k1/pp2r3/3pq3/5R2/8/1Q4P1/PP6/3R3K b - -,e6b3
2k2q2/pp2npp1/4p2p/2p1P2P/2P1Q3/2B3P1/PPK2P2/8 b - -,g7g6
2r5/5k2/8/1pbR1p1p/p3pB2/2P4P/PP4PK/8 w - -,d5f5
r2q3r/p1n1ppbk/1pp1b1pp/P3P3/2p1N3/3P1N1P/1PP2PP1/R1BQR1K1 w - -,d3d4
r1bq1rk1/1p3ppp/pn1p1b2/2p5/2PpP3/1B1P3P/PP2NPPN/R2Q1RK1 b - -,g7g6
rn1q1rk1/1bpp2pp/1p2pn2/p4p2/2PP4/P1B1PN2/1P2BPPP/R2Q1RK1 b - -,f6e4
1kb5/8/P1p3p1/3p1p1p/3Pp2P/1K2P1P1/4BP2/8 b - -,b8a7
2rr2k1/1b3ppp/p1p1n3/Np2n3/1P2P1P1/4BP2/P3B1K1/2RR4 b - -,b7a8
2r5/5P2/3p2r1/8/p1p1k2p/2P4P/1P3R2/2K5 w - -,f7f8q
r2qr1k1/p1p3bp/2p2Pp1/2Bb4/5P2/8/PP2B1PP/2RQ1RK1 b - -,d8f6
n1Rr2k1/1p1Pbp1p/r5p1/p7/4NP2/1P4PP/P5BK/3R4 b - -,b7b6
8/2p1q1pk/7p/3Qb2P/1P2N3/6P1/5PK1/8 b - -,h7h8
2b3Q1/3k4/r1pP2rp/p1P2p2/1p1B3P/5B2/PP3P2/1K2R3 b - -,g6g8
5bk1/2R2p2/3pr3/B5R1/1P2P3/5P2/1r4P1/6K1 b - -,f8g7
r2b4/ppp2k2/3p2pp/1P1P4/2R2P2/3P4/P2N1PKP/8 b - -,a7a6
r1b2rk1/ppqnp1bp/2pp1pp1/8/2PPPPnB/2NB1N1P/PP1Q2P1/R3K2R b KQ -,g4h6
2b2rk1/1pp2pqp/4n1p1/4N3/2P5/1PQ1R1PP/r4PBK/4R3 w - -,e1e2
r4rk1/pppnqppp/1b1p1n2/3Ppb2/NPP5/4P1P1/P3NPBP/R1BQ1RK1 w - -,c1b2
3r2k1/1pp3p1/p6p/8/3R4/1P5P/1P4P1/R5K1 b - -,d8d4
1kr5/ppr5/1q2p1pp/1b1nPp2/2B4P/5Q2/PP1NRPP1/1KR5 w - -,f3b3
r2r2k1/1b3ppp/1p3q2/p1np4/8/Q1P1P1P1/P3NPBP/2RR2K1 w - a6,e2f4
1R2bk2/1pr5/pN1p1np1/3Pp2p/4P3/4KP2/PP2B1P1/8 w - -,b8c8
r6k/7p/3p2p1/P4p2/3bP3/8/3B1PPP/2R2K2 w - f6,e4f5
3r4/3bRpk1/p5p1/2pP3r/2P5/1P1B1R1P/P4P1K/8 b - -,d7e8
rnbqk2r/pp2ppbp/3p1np1/8/2Pp4/5NP1/PP2PPBP/RNBQ1RK1 w kq -,f3d4
r3kb1r/1p1npppp/1qp3b1/p7/P2PP3/2N1BP2/1PQ3PP/R3KB1R b KQkq -,e7e5
r1b1k2r/p1ppnp1p/2p2q2/4b1p1/2BBP3/2N5/PPP2PPP/R2Q1RK1 w kq -,d4e5
8/p4k2/1p1ppp2/2p5/4P2r/P1P2PK1/7P/3R4 b - -,h4h8
r1bqr1k1/1pp2pbp/3p1np1/p1n5/2PNP3/1PN3P1/PBQ2PBP/R4RK1 b - e3,c8d7
rnb1kb1r/pp3ppp/4pn2/2P5/P1p5/2N1PN2/1P3PPP/R1BqKB1R w KQkq -,c3d1
rnb1k2r/4ppbp/2p3p1/qp1p4/P2P3B/2P1PN2/3Q1PPP/R3KB1R w KQkq -,f1d3
2Q5/pp4kp/2b3p1/4p3/8/2Pp3n/PP4PP/6RK b - -,h3f2
1r3rk1/7p/1q1p2p1/p1nPppb1/2P5/RP2N3/2Q2PPP/R2B2K1 w - -,e3f1
r1bq1rk1/pp2bppp/2p2n2/3p4/3PnB2/2NBPN2/PPQ2PPP/R3K2R w KQ -,f3e5
3N4/2n2pkp/5qp1/8/2Qb1P2/6PP/7K/8 w - -,d8f7
8/p4k2/1p5p/3p1np1/8/3K1P2/PP5q/2R1R3 w - -,c1c6
r1bqk1nr/pppp1pbp/2n3p1/3Np3/2P5/4PN2/PP1PBPPP/R1BQK2R w KQkq -,d2d4
8/3b4/1p1kpr1p/3p2p1/1Pp5/P3RNPP/2P2P2/5K2 b - -,e6e5
8/8/7K/3Q4/6q1/4k1p1/8/8 w - -,d5b3
2rr2k1/5pbp/q3p1p1/p1p1P1P1/5P2/2P3Q1/P5BP/3R1R1K w - -,g3e3
3q1rk1/pbrn1pbp/1pp2np1/3pN1B1/3P4/2N3PB/PP1QPP1P/2R2RK1 w - -,d2f4
rn2kb1r/pp3pp1/2p1p2p/4P3/7P/2Nn1N2/PP3PP1/R1B1K2R w KQkq -,e1e2
n1r5/1pr1kppp/3R4/1PP1P3/p3NPp1/P5P1/4K2P/3R4 w - -,b5b6
8/7p/p3k1p1/1p5r/4PR1P/P7/1P6/K7 w - -,a1a2
r1bqkb1r/3n1ppp/p1n1p3/3pP3/1pPN1P2/4B3/PP1Q2PP/R2NKB1R b KQkq -,c6d4
2R5/7p/4rpk1/7p/2P2R1K/7P/2r2PP1/8 b - -,c2c1
8/5pk1/p3p1p1/4PnPp/8/2Pqp3/PQ4PP/4B1K1 w - -,g2g3
1nr5/5k1p/6p1/ppq1P1P1/4P3/P5P1/2QKR3/8 w - -,c2b3
r1bqk2r/pp2bppp/2n4n/2p1p3/2Pp4/1P1P1NP1/PB2PPBP/RN1Q1RK1 w kq -,e2e3
r1br2k1/1p3p1p/p2pp3/5P2/8/2b3P1/PP2BP1P/R2R2K1 w - -,b2c3
6r1/8/6N1/R6K/4k3/8/8/8 w - -,h5g5
4rk2/1br2p2/p2Rp2p/4n1p1/2p1P3/P1N1KP1P/1P4P1/2NR4 b - -,f8e7
2r2rk1/p4p1p/1p2pp2/nR6/3P4/P1P2P1P/4BP2/5RK1 w - -,f1c1
4rrk1/2p1q1bp/1p1p1np1/pP1P1n2/P1QP1P2/R5PP/1B2BK2/4RN2 b - -,f8f7
5rk1/pp1n1bp1/2p4p/2B5/4N3/1P1P4/PqP3PP/2Q1R2K b - -,b2c1
5rk1/5bp1/5r1p/3qNp2/2P2P1Q/p3R2P/6P1/4R1K1 b - -,d5d6
6k1/1r1b1pb1/4p1pn/3pPnNP/2p2P2/B1N2B2/1PP2qQK/1R6 b - -,f2g2
3r2k1/1pq2pbp/p1nRp1p1/2P1P3/P2PN1P1/4B2P/6K1/1Q6 w - -,e3g5
2br2k1/4Rpq1/3p3p/3P3Q/2Pp3R/8/r5PK/3N4 w - -,h5f3
8/1bp4p/pp2knp1/4p3/4P3/1P3P2/PBP1NKPP/8 w - -,h2h4
r3k2r/p2q2pp/1pb1pp1n/2p5/2P1PPQB/3B4/P1P3PP/3R1RK1 w kq -,g4e2
8/p7/1p1q2p1/1P4k1/P7/5Q1P/6PK/8 w - -,f3g3
8/2p5/1p6/p2Pkp1P/2P1r1B1/4p3/PP4R1/5K2 b - -,f5g4
r1b3k1/2n1ppbp/5qp1/3n4/2N5/PQ1P1PP1/1PR1PB1P/2R3K1 b - -,c8d7
r2qk2r/pbpn1ppp/1p2p3/3p2P1/2PPN3/P3PQ2/1P3P1P/R1B1KB1R b KQkq -,d5e4
8/4pk2/2r3pp/prP2P2/1pR1P3/1P4qP/7K/2R5 w - -,h2g3
2r3k1/p1r1qppp/bp2pn2/4N3/2PP1P2/Pn1B3P/1BR1Q1P1/2R3K1 w - -,c1d1
r1bqkb1r/p2p2p1/2p1ppn1/2p1P2p/7P/3P1N2/PPP1QPP1/RNB1K2R w KQkq -,e2e4
r2r2k1/1p2b1pp/pq2pp2/1Nn5/2PB2Q1/1P6/P4PPP/R2R2K1 w - -,b5c3
3Q4/6pk/p2p2q1/2pP4/2P1NpP1/P4P2/1r6/R5K1 w - -,d8d6
2r3k1/p4p2/6p1/1p3nNp/3R1B2/1Pb4P/P4RP1/7K b - -,c3d4
rn2kbnr/pp3ppp/1qp5/3p1bB1/3P4/2N2N2/PP1QPPPP/R3KB1R b KQkq -,b8d7
2rr3k/1b4pp/p4p1b/8/4q2P/4NRQ1/1PP1B1P1/5R1K b - -,e4g6
1rr3k1/1bqn1ppp/1p1p4/p2Pp3/1PP5/1Q2P1P1/2RN1PBP/2R3K1 w - -,b4a5
r4rk1/pp1nbppp/2p1pn2/q4b2/2QP4/4PNP1/PP3PBP/RNBR2K1 w - -,b1d2
1r1b3k/2r2p2/b2p1Pp1/p1nPp1Pp/1p2P2P/1P4R1/P2B2N1/3BR2K w - -,e1e3
6k1/1p1r2b1/p1p2RR1/2Bp2p1/1P1Pr1p1/2P3K1/5P2/8 b - -,g8h7
1k6/8/PK6/3p3P/1P3P2/1b1p4/3B4/8 b - -,d5d4
r3k2r/4bppp/p2pbn2/q3p3/1p2P1P1/4BP2/PPPQN2P/1K1R1B1R w kq -,e2c1
2r3k1/5ppp/p2R4/1p2p3/8/PQP1q2P/P5P1/7K b - -,h7h6
5k2/r3bpp1/p3p2p/B1p1n3/2P5/1P4P1/P2R1PBP/6K1 b - -,e5d7
1k6/2p5/4p3/4P3/2R3RP/8/1rp1r1PK/8 b - -,e2e5
2r3r1/1bpk4/pp3Bq1/8/2P2Q2/NP4P1/P6K/5R2 w - -,f4d4
r3kb1r/3q2pp/p3pp2/3n4/1p1PB3/1R4B1/P4PPP/1QR3K1 b kq -,f8e7
r1bqk2r/ppp1bppp/2np1n2/4p1B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQkq -,h7h6
rn1qr1k1/2p2pp1/p2p1n1p/1pb1p3/4P2B/1PPP1N1P/1P1N1PP1/R2QR1K1 b - -,b8d7
8/5pkp/q2p1npb/1p1Pp3/2r4P/P1B2QP1/5PK1/1N1R4 b - -,f6e4
8/2k5/5p2/3q3p/4Q2P/5KP1/5P2/8 b - -,d5d1
r6r/ppp2p2/5kp1/3b3p/5PP1/1P1B3P/P1P5/2KRR3 b - g3,h5g4
5rk1/5ppp/1p6/1PpQB3/8/P2Pq3/2r3P1/5R1K b - -,e3e2
rnb2rk1/pp2pp1p/6p1/2P5/5n1P/1R3N2/P1P2P2/5BKR b - -,f8d8
2kr3r/1pp5/p1nqpn1p/4p1p1/4P1P1/2PPPN1P/P1QNK3/R6R b - -,h8g8
r4rk1/3b2pp/2p1p3/p1P1BqPP/P2Q1R2/5P2/1P6/2K4R b - -,f5g5
1r3rk1/1pqbppbp/p2p1np1/n1pP4/P1P1P3/2N3P1/1P1NQPBP/1RB2RK1 b - -,e7e5
r3kb1r/2p2p1p/p1n1b1p1/1p4N1/3q4/2N5/PP3PPP/R1BQR1K1 w kq -,d1f3
8/p1p3p1/2n1k2p/1ppr4/8/P4N1P/1PP1KPP1/3R4 w - b6,d1d3
r4rk1/2p2ppp/4p3/2bbP1PP/pp2pB2/4P3/PPP2PB1/2KR3R w - -,c1b1
4rrk1/bpp3pp/2n1bq2/p1P1pp2/8/1P2P1P1/P1Q1NPBP/R1B2RK1 w - -,c1b2
3rn3/1pk1rpp1/2p1p3/p5p1/2PP4/P2K1PP1/1PBR3P/3R4 b - -,e6e5
1r2r3/1pR4p/pN1n2pk/P2PPp2/8/4P1PP/4B3/2R3K1 b - -,e8e5
1r2rbk1/R6p/3PnRp1/4Pb2/1pB3P1/7P/1P5B/6K1 b - g3,f8h6
r1bqk2r/p2n1ppp/2pbpn2/1p6/3P4/5NN1/PPP1BPPP/R1BQK2R w KQkq -,e1g1
4r1k1/5p1p/p5p1/4pN2/P4bP1/2Pr3P/1P3R2/4R1K1 b - -,g8f8
6k1/7p/6p1/1p1P2P1/3Qpr2/2P5/PP4R1/5q1K w - -,d4g1
8/3r4/2p2k2/1p2p3/1Pn5/P1R2P2/6R1/r1B3K1 w - -,g1f2
8/5b2/5qk1/1P2p3/4P1p1/4Q2p/5P1P/5BK1 b - -,f7e8
2b3k1/4pp2/3p2p1/PK6/4P2P/2n5/P1PN4/8 w - -,b5b6
5rk1/1p3ppp/1q2p3/1n2P1b1/p1rp4/P2N1BP1/1P2RP1P/3QR1K1 w - -,e2c2
6k1/1p2rn2/p2pN1pp/3Pqp2/1P6/3P3P/P2Q2P1/2R4K w - -,c1c8
r5rk/pp6/3q3p/3B1pR1/5p1Q/8/PbP4P/3R3K w - -,g5g8
q3r1k1/1b1r1pp1/5n1p/p1b1pPP1/PpPpP3/1P4NP/2PB2BK/R3QR2 b - -,h6g5
rn3rk1/p3qppp/1ppbp3/8/PPQP4/5NP1/4PPBP/R4RK1 w - -,b4b5
r2q1rk1/pp3ppp/4pb2/4N2Q/3PbB2/7R/PP3PPP/2R3K1 w - -,c1d1
8/pp2N1k1/3p2p1/5nQ1/4q3/2PR4/PPK5/7r b - -,f5e7
8/4k3/p2rp2p/Pp3r1p/1Pp4P/4RB2/4K1P1/4N3 w - -,g2g3
rn1qkb1r/pb1p1ppp/4pn2/1pp5/3P4/5NP1/PPPNPPBP/R1BQ1RK1 b kq -,d7d5
b2r4/5k2/1p2R1pp/4P3/1P1N4/8/6PP/6K1 w - -,e6f6
6k1/3n1ppp/1p2p3/pPr1P3/3QqP2/P7/6PP/1N1R2K1 b - -,e4d4
5rk1/1b1prp1p/p5p1/4P3/1P1q4/P3R2B/5QPP/5R1K b - -,b7c6
r2qrbk1/1bp2pp1/p1np1n1p/1p2p3/P2PP3/1BP2N1P/1P1N1PP1/R1BQR1K1 w - -,b3c2:d4d5
rq1r2k1/4ppbp/2p3p1/2N3Pn/P1RP2QP/1P6/5B2/2R3K1 w - -,b3b4
r6r/p1pnkp2/1pq1p1p1/P3P2p/2pP1P2/3Q4/2PN2PP/R4RK1 w - -,d2c4
8/1p1q2k1/p5p1/P3b2p/1PPpN3/3P2P1/8/5QK1 w - -,g1g2
r1r3k1/pp2qppp/2nbpn2/3p4/3P4/1QN1P2P/PP1BBPP1/R4RK1 w - -,a1c1
r2q1rk1/1pp1bpp1/p1b1pn1p/8/PPQP4/2N2NP1/4PPBP/R4RK1 b - b3,c6d5
3r2k1/p2b1p1p/2B3p1/3P1p2/8/1PP5/Pb3PPP/5RK1 w - -,c6d7
8/8/6p1/3p1p1p/kBnPp2P/2P1P1P1/5P2/1K6 b - -,a4b3
r2qr1k1/pp3pp1/1bn4p/5b2/3p4/P2N2P1/1P2PPBP/R1BQ1RK1 w - -,b2b4
2Q2rk1/p4p2/3b2p1/1B2q1np/N1R5/4P3/P2P1PPP/3R2K1 b - -,f8c8
r4rk1/ppq1bpp1/2p1pn1p/4Nb2/2BP4/8/PPP1QPPP/2BR1RK1 b - -,f6d7
2r1k3/pRP1nr1p/6pb/4Bp2/5P2/8/P5PP/2R3K1 b - -,h6g7
4r1k1/1pqbrpb1/2pp1np1/p1n4p/2P1P3/1PN2PPP/P1R1NBB1/3R1QK1 b - -,d7c8
5qnk/1p1b3p/3p2p1/3Pp3/1P2N1P1/r3P2P/2Q1B3/1R4K1 w - -,b1f1
3r2k1/pp1rq2p/1n3p2/3Pp2Q/5p2/1PNR4/1P3PPP/3R2K1 w - -,h5f5
r7/8/3N4/3K4/5k2/8/8/8 b - -,a8a5
5r2/p2n3k/1p4p1/3p3p/3P1B2/6P1/P6P/5RK1 w - -,f1c1
6k1/6p1/p6p/3P4/Pb4B1/6P1/8/7K b - a3,a6a5
4n1k1/5p2/4p1p1/7p/2N5/4P1BP/5PP1/b5K1 b - -,e8f6
r1b2rk1/np1nqpbp/p2p2p1/P2Pp3/2B5/R1N1BN2/1PP1QPPP/3R2K1 b - -,d7f6
8/4k3/R7/4KP2/4P3/p7/8/r7 w - -,a6a7
r7/1p3k1p/p5p1/1b6/2PP4/4R3/PP1N2PP/6K1 b - -,b5d7
1k6/p3n3/1p5p/3p1p1P/PPpPpP2/2P1N3/5K2/8 b - -,b8c7
3r1rk1/ppq1ppbp/1nn1b1p1/2N1P3/2P5/1PB2NPP/P4PB1/Q3RR1K b - -,e6c8
2br1rk1/p1p2ppp/2p5/3qPP2/3N1Q2/2P1R3/6PP/5RK1 w - -,f5f6
rnb1kb1r/3ppppp/5n2/q1pP4/1p2P3/5P2/PP1B2PP/RN1QKBNR w KQkq -,b1a3
rq2k2r/pp1n1ppp/3bpn2/2p5/4P3/2NP1Q1P/PP3PP1/R1BB1RK1 w kq -,c1e3
3b1r1k/r4q2/3p2Q1/p1pPpnp1/R5N1/2P4P/1P3BP1/R6K w - -,g6f7
r2qr1k1/1p2ppbp/1n1p2p1/p1nP4/2P2P2/1PN1B3/P3B1PP/2RQ1RK1 w - -,e3d4
r3r1k1/ppq2p2/6bp/2Pp2p1/1b1Nn3/2NBP3/PPQ2PPP/R3K2R b KQ -,b4c5
r1bqk1nr/pppp1pbp/2n3p1/3Np3/2PP4/4PN2/PP2BPPP/R1BQK2R b KQkq d3,e5d4
5bk1/p4qp1/1p1p3p/8/2r1p3/P3B2P/1P1RQPP1/6K1 b - -,d6d5
rn2kb1r/1b1ppppp/1q6/1Bpn4/P7/2N1PN2/1P1B1PPP/R2QK2R b KQkq a3,d5c7:e7e6
3b2k1/5pp1/p3r2p/8/1Pp2P2/P7/2N2RKP/8 w - -,f2d2
k7/4R3/P7/1K6/8/8/5b2/8 w - -,a6a7:e7g7
