6k1/KP6/8/8/8/P7/8/q7 b - -,a1a3
rn1qkb1r/pp3ppp/2p1pnb1/3p4/3P2P1/5N1P/PPP1PPB1/RNBQ1RK1 w kq -,f3e5
8/2R4p/4k1p1/1P2n1P1/1r6/1P2Bp2/8/5K2 w - -,b5b6
1r5k/2r1q1bp/2P3p1/1p3p2/p7/P2PpBP1/1B2P2P/1QR3K1 w - -,d3d4
r3k2r/pp2bppp/q1n1p3/3pPn2/3P4/2N1B3/PP1QNPPP/R2R2K1 w kq -,e3g5
1r6/1br1kp2/p3p3/4n1p1/2pRP1Pp/P3KP1P/1PR5/2NN4 b - -,a6a5
r2qr1k1/pb1n1pbp/6p1/2p5/3p4/1P1BP3/P2NQPPP/B1R2RK1 w - -,d2c4
r1b1k2r/1p2qp1p/2n1p2R/3pP1NQ/2pP1P2/2P5/p1P3P1/R3KB2 b kq f3,h8f8
1q3rk1/p2bppb1/3p2p1/1pr1nPBn/3NP1Q1/1BN5/PPP5/2KR3R w - -,g4g2
8/p7/1p5p/3bk1p1/5p2/1P4PP/P3BK2/8 w - -,h3h4
1rbqr1k1/5pp1/p3n1np/1p1p4/3Pp2P/1NP1N1P1/PPB1QP2/2KR3R w - -,f2f3
8/5k2/5n2/7p/R6K/6P1/8/8 w - -,a4f4
5rk1/6pp/2pN2n1/BpPn4/5p2/7P/1P3PP1/4R1K1 b - -,b5b4
8/R7/1rk4N/3p4/2pb4/8/8/2K5 w - -,a7e7
5r1k/2p3p1/4q2p/4p3/p2rP2P/P1QP1pP1/5P2/R2RK3 w - -,a1c1
1rrn1k2/1p2pb2/p2p1p1p/7q/1PP2P2/P3P3/3QN1BP/R1R3K1 w - -,e2g3
5rk1/5ppp/2p2n2/P1N1qb2/1PBrp3/4Q2P/1R3PP1/2R3K1 w - -,f2f4
8/2N5/6k1/R7/3P4/4PK2/1r3n2/8 w - -,c7d5
r1b2rk1/pp4pp/2nqpp2/3p4/3Pn3/2PN1N2/PP2BPPP/R2QK2R b KQ -,b7b5
1r6/1p1rkpp1/p2pbn1p/P1n1p3/1N2P3/1P2BP2/1KPR2PP/3R1B2 b - -,b8c8
r2r2k1/pb1nppbp/npp3p1/2Pp4/1P1P1B2/5NP1/NP2PPBP/R2R2K1 b - -,d8e8
r4rk1/pp3ppp/2n1p1b1/3nN3/3P2P1/2P1BB1P/P4P2/R4RK1 w - -,f3d5
4rrk1/p2n2pp/1p3p2/2pp1P2/q7/P1P1pQ1P/1P1N2P1/2R2RK1 w - -,f3d5
8/8/p3pkr1/2r2p2/3R4/8/P3R1PP/6K1 w - -,d4d6
3q1rk1/p3ppbp/3p2p1/1p1P1b2/2r5/3QBP2/PPPN2PP/2R2RK1 w - -,d3b3
2r1b1k1/4b1pp/q4p2/2pPp3/p1P1P3/N6P/1Q1B1PP1/1R4K1 b - -,e7d8
5rk1/p1q1r1p1/1p1bb1np/4pp2/QPPn4/2BPN1P1/3N1PBP/R3R1K1 w - -,c3d4
r1bqkbnr/4pppp/p7/nppp4/4P3/2P2N2/PPBP1PPP/RNBQ1RK1 b kq -,c8b7
8/8/4kn2/8/8/6PP/r4RK1/8 b - -,a2a3
R7/1p1rk1p1/2p4p/8/2P3KP/3n1NP1/8/8 b - -,e7d6
6r1/ppp1bppp/2p1k3/4Pb2/4N3/1P3P2/PBP3PP/4R1K1 w - -,g2g4
1r2k1nr/p1pb1ppp/3p1b2/2p5/N3P3/1PP1BP2/P1K2P1P/3R1B1R b k -,g8e7
r1bqkb1r/3n1ppp/pp2p3/3nP3/3N4/3B4/PP3PPP/RNBQR1K1 b kq -,d7c5
rn2k2r/ppq2pp1/2p1p1p1/8/P1BPn3/1QP5/5PPP/R1B2RK1 w kq -,g2g3
1r1q4/p3rpbk/2Bp2pp/3P3n/1P2P3/2N1QP1P/1P4P1/R4RK1 w - -,b4b5
1r4k1/5p1p/3ppbp1/p7/bq1NP3/R1Q1BP2/1P4PP/6K1 b - -,e6e5
6k1/1p1r2p1/2p4p/pr6/1b3PP1/1P2B3/P1R4P/5RK1 b - -,d7d3
1r2n3/2k2p1p/1p2p3/3p2p1/3P4/r3PP2/PR1K2PP/1R1B4 w - -,b1c1
2rq2k1/pp3pbp/3p2p1/3Pnb2/Pr2N3/2P3PP/R1QBPPB1/4R1K1 b - -,b4c4
r1nq2k1/5pp1/1pr1b2p/3p4/3PPP2/2NB3P/3Q2P1/1R1R2K1 w - -,f4f5
2k2b1r/ppp1r2p/5np1/8/3P3q/2P1B1N1/PP2QP1P/2KR3R b - -,f8h6
4rk2/p2b2r1/2p2nq1/1p3p1p/1P1PpP2/P3P3/3BQ1BP/2R1R2K w - -,e1g1
1rbqr1k1/1p4bn/p2p2p1/2pPnp2/P3P2p/2N1BP1P/1P1QBNP1/R4RK1 w - -,f1e1
2r1r1k1/1b3ppp/2pq1n2/pp2b3/4P3/P1NB2P1/1P1BQP1P/2RR2K1 b - -,d6e6
8/5kp1/p2Bp2p/1bNnP3/2r2P2/2p3P1/2P5/1R4K1 b - f3,d5e3
rn1qkb1r/p2p1pp1/1p2p2p/2pbP3/3P4/3B4/PPP1NPPP/R1BQ1RK1 w kq -,c2c4
4rrk1/p2q2bp/1pn1bppn/2pp4/5P2/2PPBNP1/PPN3BP/R2Q1RK1 w - -,d1d2
8/3q2k1/1Qn3p1/p6p/P7/7P/3p2P1/3R3K b - -,c6b4
2q2r1k/pN1r2bp/6p1/3p4/1Q3P2/2nR2P1/P5BP/1R5K w - -,b1b3
1r5k/2p5/3p4/2pPb1Np/p1P2p2/1P1K3P/P4P2/1R6 b - -,h8g7
4r1k1/5pp1/8/p2p3p/3QbPqP/1P1B2P1/PK2R3/8 w - -,d4f2
b4k2/4R3/1p3n2/5p2/3P1n2/P2R4/1r3PPP/1B4K1 w - -,e7e1
1k3r2/p3RP2/2pn4/3p2P1/3P1K2/1P6/P7/8 w - -,g5g6
5rk1/p4ppp/1pn1r1q1/8/2PpPB2/PN1P4/1P2P1Q1/5RK1 w - -,f4g3
2r3kr/1RP5/4N3/2P5/1P6/8/PB3Q1P/1q4KB w - -,f2f1
1rb2r1k/p1N1p1bp/1pn3p1/4Pn2/2B5/5N1P/PPP2BP1/3RK2R w K -,c4e2
r3k2r/pb1nqppp/1pp1p3/8/2PPQ3/5NP1/PP3PBP/R4RK1 w kq -,f3e5
5rk1/p4p2/6pp/4Q3/8/3PP1P1/q1P4P/5RK1 w - -,c2c4
rnb2rk1/pp2bppp/1qpp4/4p3/2B1PPn1/2NP4/PPP1N1PP/R1BQ1R1K w - -,f1f3
4r3/4r3/p2k2pp/1p2np2/2p1bN1P/2P1R1P1/PPB2P2/2K1R3 b - -,g6g5
r1b1rnB1/pp4Q1/2nk1p2/3p4/2p2P1B/2q1P3/P5PP/R4RK1 w - -,a1d1
rnbqk2r/p1p1bppp/1p2p3/3pP3/2PPn3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,c4d5
6k1/7p/6pK/4B3/1P3P1P/8/8/2b5 b - b3,c1e3
r1qr4/2p1k3/ppQ2ppp/3Rb3/P1B1P3/2P2P2/1P3P1P/4K2R w K -,d5d8
4rrk1/p5pp/1b2b3/2p5/8/2B1N3/1PP2PPP/R2R2K1 b - -,f8f7
rnb2rk1/1pq1bppp/p2ppn2/8/P1BNP3/2N5/1PP1QPPP/R1B2RK1 w - -,c1e3
8/7k/3R4/p5pp/r2B1nP1/5K2/5P2/8 w - -,g4h5
8/1pB5/2p3p1/p5k1/P3P1pp/1PN5/4Kb2/8 b - -,f2d4
2R5/5pk1/6p1/2P3Pp/8/4pPP1/r7/5K2 w - -,c5c6
8/6pk/1R2p2p/3pP2q/3Qp3/4P2P/5PPK/2r5 b - -,h5f5
8/4k3/4pp1p/rpKp4/6P1/P2P4/R7/8 w - -,c5b6
8/8/4kprp/1PK2p2/3R1P2/8/8/8 w - -,b5b6
8/8/8/5p2/3p3p/1B1Kbk1P/8/8 w - -,b3e6
2r4k/R6p/p2p1npq/P2r4/4p3/1Q2R2P/5PP1/5BK1 w - -,e3e4
r4k2/p1R2p1p/P1p5/8/8/5N2/2n2PPP/5K2 w - -,f3g5
8/5p2/5kpp/3b4/1p5P/1Pb2NP1/4BPK1/8 w - -,e2d1
r5k1/pp1r1ppb/n1p1pn1p/4B3/1bNPP3/1PN3PP/1P2RPB1/3R2K1 w - -,d4d5
6k1/5p2/3B2p1/2pP3p/2PbP3/3n2PP/2R3BK/1r6 w - -,h3h4
r1bq1r2/p3ppkp/1pn3p1/2pn4/8/PP1PPN2/4BPPP/RN1Q1RK1 b - -,c8b7
r1bk3r/pp3ppp/3bpn2/4n3/8/P3PN2/1P1NBPPP/R1B1K2R w KQ -,f3e5
1r4k1/1pNqppbp/1P1p2p1/PR6/4P3/r4P2/6PP/1RQ4K b - -,a3c3
r2q1rk1/p3b1p1/3N3p/2pPp3/1n2N3/3Q4/PP3PPP/R4RK1 w - -,d3h3
b3r1k1/4bppp/pB1pp3/1q6/1P2PP2/P5P1/5QBP/2rR2K1 w - -,d1c1
r1b1k1nr/3nppbp/p2p2p1/qppP2B1/4P3/P1N2P1N/1PPQ2PP/1R2KB1R b Kkq -,h7h6
r1br1bk1/1pp1qn1p/p4n1P/3Pp3/4Pp2/1PN2P1N/P4B2/1KQR1B1R w - -,h3f4
r6r/pp5k/n5q1/3P1Q1p/8/P1N5/1P3PPP/R4RK1 w - -,f5g6
4r1k1/1p3bpp/p1n5/2np1N2/1P3q2/2P3N1/P1B3PP/R2Q2K1 b - b3,c5d7
8/k1p5/p7/1p1N3p/1P2p2b/2K5/P1P5/8 w - -,c3d4
8/5pk1/p1pr3p/3pKP2/PP1P4/4P3/8/2R5 b - -,d6d8
r2qk2r/4nppp/p3p3/1pbb2B1/3p4/1BPP4/PP2NPPP/R2Q1RK1 b kq -,d4c3
8/4k3/8/8/4K3/4P3/8/8 b - -,e7e6
3r3r/1kp2pp1/1pp1b3/p3PnNp/P7/1P1R1P2/1BP2KPP/R7 w - -,a1d1
2r2rk1/1b1nq2n/p1p1p1pp/1pPp1p1P/1P1P4/P3PN2/2QN1PP1/1BRR2K1 w - f6,h5g6
2rr2k1/p1q2ppp/b2Pp3/3n4/Pp1pQ3/1P4P1/1BP2PBP/R3R1K1 b - -,c7d6
8/2k5/1np5/2n1K3/2N5/8/8/7R w - -,h1h7
r2qkbnr/1p3p2/p3p2n/3pP3/1Q1P1B2/2N3PR/PP2B3/R3K3 w Q -,b4b7
r7/3k4/4p3/2R1B3/1PK5/8/8/8 w - -,c5c7
1rbq1rk1/p3ppbp/6p1/3p4/8/1B2BP2/PPPQ2PP/2KR3R b - -,d8c7
r2r1k2/pp1bRpp1/7p/2Pp4/3N4/8/PP3PPP/4R1K1 w - -,e7e5
8/1p3ppk/p1nR3p/P3p3/8/2P1B1NP/1P3PPK/1q6 b - -,b1b2
r5k1/5p2/3q3p/p1p2b2/2Qp2pB/8/PPP1rPPP/2R2RK1 b - -,a8e8
nrbqr1k1/5pbp/1p1p1np1/2pP4/4P3/2N3PP/1P1N1PB1/R1BQ1RK1 w - -,c3b5
1r2r1k1/1P5p/P1Np4/2bP1p2/2B3p1/6P1/7P/1R5K b - -,g8g7
1k6/8/pp3p2/2p1p3/2P1B1Pp/5Pq1/PPK5/5Q2 b - -,h4h3
r3nrk1/1b2qppp/p3p3/1pn1P2Q/3N4/1BN1R3/PPP3PP/R5K1 w - -,a1f1
r1bqk2r/pp2ppbp/2np2p1/2p4n/4PP2/2PP1N1P/PP2B1P1/RNBQ1RK1 b kq -,h5g3
rn1k1b1r/3q1pp1/p2P1n1p/2p2NB1/PpB5/4QN2/1P3PbP/R3K2R w KQ -,f3e5
1r3r1k/pBp3b1/6pp/2q2p2/1nPp2n1/6P1/3BPP2/1NRQ1RK1 w - -,d2b4
3r4/3Pk1p1/7p/3p4/3RpP1P/8/6P1/5K2 b - -,d8d7
5r2/8/8/4K3/2k5/1p4P1/8/7R b - -,f8g8
3r2k1/r4p1p/p3b1p1/1pq5/2p1BP2/2P4P/2QN1nPK/1R2R3 w - -,e1e2
2Rn4/1p1rkp1p/p3pnp1/2b5/1P6/P3P1P1/1B2KPBP/8 w - -,c8c5
2r3k1/7p/p7/4Npp1/2PB1P2/3Pn2r/P4K2/1R2N3 b - -,g5f4
r1qr1bk1/5ppb/7p/1Np1p3/n2pPP2/PQ1P2PP/3B2B1/1R2R1K1 b - f3,a4b6
4rr2/p1q1ppkp/1pb3p1/2p5/3PpP1Q/2P1P3/PP1N2PP/4RRK1 w - -,f4f5
r1b2rk1/1pp1ppbp/p1n2np1/8/PqBP4/2N1BN1P/1PP2PP1/R2Q1RK1 w - -,c4b3
6k1/1p1r2p1/4p1b1/p7/PbQ3N1/1R4BP/3q1PPK/8 b - -,d2d5
2r5/p2n4/P3kpp1/1PpR3p/2P4P/4B3/3K2P1/8 w - -,d2c2
1k1r1b1r/pp3p2/2p5/4Pq1p/P3N3/3nP1P1/1PQ3B1/R2R2K1 b - -,f8h6
r2qk2r/pb1pppbp/2n3p1/1n1QP3/7P/1B3N2/PPP2PP1/R1B1K2R b KQkq -,d8a5
r2bb3/1prnk2p/p2p1pp1/P2Pp3/1PN1P1P1/4BP2/3KB2P/R1R5 w - -,g4g5
6b1/1p1nk2p/p2p1p2/4p3/1PPpPPBP/1P1P4/3K4/6N1 b - -,g8e6
8/8/8/1P2kB2/3r4/4K3/2P5/8 b - -,d4b4
r1bq1rk1/pp2ppbp/5np1/6B1/3NB3/2P4P/PP3PP1/R2Q1RK1 w - -,e4f3
2q3k1/5p1p/4p1p1/1p1pP3/3PP1P1/1P4K1/2nQ2B1/8 b - e3,b5b4
8/r4k2/8/P2R2p1/4p3/4PpP1/5P1P/6K1 w - -,d5g5
r5rk/pp1b4/2p1pn1p/4Q3/2PP1P1q/4P3/PP2NP1P/R4R1K b - -,g8g7
5R2/2k5/1p1r1np1/1p1p1p1p/1P1PpP2/P3P1P1/3K2P1/2N5 b - -,d6e6
r2b2k1/3q2p1/r4p2/p1p1p2p/RnP4P/2BPN1P1/4PP2/R4QK1 b - -,d7c6
rnbqk1nr/pp2ppbp/3p2p1/2p5/3PPP2/2N2N2/PPP3PP/R1BQKB1R b KQkq d3,c5d4
3rn1k1/p4r1p/1pq1p1p1/2p1P3/P1QbNP2/6PP/1P5K/R1BR4 w - -,c4e2
2kr3r/pppqbppp/2np1n2/4p3/4P3/4NQPP/PPPP1PB1/R1B2RK1 w - -,c2c4
5r2/pp4kp/4pn2/2rp1p2/2P2P2/1P6/P3B1PP/3R1RK1 w - -,d1d4
6k1/1p2bpp1/1n2p2p/1p1pP3/1PpPbPB1/2P1N3/r4BPP/2R3K1 b - -,g7g6
r1bqk2r/pp3ppp/2nbpn2/3p4/3P4/1P1B1N2/PBP2PPP/RN1QK2R w KQkq -,e1g1:b1d2
2k1r2r/pp1q3p/2nb4/3p4/3Np3/PNP3P1/4QP1P/R3R1K1 b - -,c6e5
r5k1/p5b1/2Q5/1p1p1q2/8/2N5/PPP3P1/1K5R b - -,a8d8
r2q1rk1/2p1bpp1/p1n1b2p/1p2p1n1/P2pP3/1NPP1N1P/1PB1QPP1/R1BR2K1 w - -,f3e5
rnb2rk1/ppp1qppp/4pn2/3p4/3P4/2P1PN2/PP1N1PPP/R2QKB1R b KQ -,c7c5
b4r1k/p3R2p/4B3/5pp1/2P5/1P4P1/1K5P/8 w - -,e6f5
rn1qk1nr/pp1bbppp/4p3/2ppP3/5P2/P1N2N2/1PPP2PP/R1BQKB1R b KQkq -,f7f6
8/3q1k2/p5p1/2pP1p2/2P2Q1P/5K2/P7/8 b - -,d7e7
r5k1/pR4bp/2pP2p1/2P2b1n/1P3p2/2N4P/PB3PP1/6K1 w - -,b4b5
r4rk1/3b2pp/p1n1pn2/2qpN3/1p3P2/2NB3P/PPPQ2P1/2KRR3 w - -,c3e2
1k1r2r1/pp2pp1p/3p1n2/q3n1p1/3BP3/2P2PP1/P1P1RQBP/1R4K1 b - -,h7h5
1k4r1/1p3p2/2p1p3/p1PnP2p/6rP/1P1R2p1/N4P2/2K1R3 w - -,f2g3
3qk3/6QP/1p6/p1p3p1/P1P5/3P1pP1/4r2K/8 w - -,h2h3
4rnk1/4q2p/1ppr2p1/p3pPP1/P3P1Q1/R6P/1PP5/5RK1 b - -,g6f5
r4k1r/p3p1bp/2p2pp1/4P3/5Pn1/2N4P/PP4P1/R1B2RK1 b - -,g4h6
8/5r2/8/8/4k3/6K1/6N1/8 b - -,f7f8
r4q1k/1p2bp1p/p1np1n2/3Np3/8/5P2/PPPQ3P/R3KB1R w KQ -,d5e7
r2qr1k1/pp3ppp/8/1Qpnb3/8/1PP5/PB3PPP/RN1R2K1 b - -,e5h2
8/p4p2/1k1n2p1/n2p1PP1/3P4/2PBK3/P2N4/8 b - -,g6f5
r1b2rk1/ppp1bppp/4p3/4P3/8/2P2B2/PP3PPP/R1BK3R b - -,b7b6
r1b1k2r/1p2qppp/2pb1n2/p1p1p3/P3P3/2NPB2P/1PPN1PP1/R2QK2R b KQkq -,c8d7
1r2r3/5kp1/R3p3/2PpQpp1/1q1P4/7P/5PP1/R5K1 w - -,a1e1
2rq2k1/5b1p/1p3ppb/1B6/P2PpPP1/2BN3P/1Q3K2/8 w - -,d3b4
2kr3r/2q2pp1/1Qp1p3/B6p/2PP1Pn1/4b2P/PP2B1P1/R4R1K b - -,c7b6
3r1k2/2qbb1p1/p3ppP1/1p2p1r1/4P3/5BQP/PPPR1P2/1N1R3K w - -,g3h4
r2qr1k1/1p1bp1bp/3p2p1/pNn1n3/2P2PP1/2B5/PPN1B2P/1R1Q1RK1 b - -,e5f7
2kr4/ppp2ppp/4p3/1bP5/4PP2/2Pr2P1/P1K4P/R1B1R3 w - -,c1e3
r3k2r/1ppqnp2/p2p1n2/4p2p/1P2P1p1/1QPPN3/1P3PPP/R3RNK1 b kq -,e8g8
8/6n1/p2k1b2/1p3pp1/P1p5/2P1B1P1/1PB1KP2/8 b - a3,d6e6
2R5/8/p7/2Ppk3/4n3/1B5P/PP2r1P1/7K b - -,d5d4
r1bq1rk1/1p3p2/p1np2pp/2bNp3/P3P3/2PB4/1P1N1PPP/R2Q1RK1 w - -,b2b4
8/1N1nk3/1p2p1p1/p2nP3/7P/PR3NP1/2r2P2/5K2 b - -,a5a4
6k1/1pp2r1p/2bp1p2/2nNnP2/2P5/rP2N1P1/2B2R1P/1R4K1 w - -,c2d1
r2q1rk1/pp1n1ppp/2pb1nb1/4p3/4P3/2P2NP1/PP1N1PBP/R1BQR1K1 w - -,f3h4
r2q1r2/2p2p1k/3p1nnp/1p2p2b/4P2P/p1PPQPB1/PPB4N/2KR3R w - -,b2b4
8/p5p1/p1r1k2p/R2p3P/5PP1/P3K3/8/8 w - -,a5a4
r2q1rk1/ppp1bppp/2np1n2/4p2b/4P3/1BPP1N1P/PP3PP1/RNBQ1RK1 w - -,b1d2
5r1k/5q1p/1p1p2p1/3Pp1b1/1N6/4P2P/PP1Q2P1/4R1K1 w - -,d2e2
2n1qr1k/1p4b1/r2p2p1/2pPp1Pp/4P2P/pPNn1p1B/P2B1P1K/1R1Q1R2 w - -,d2e3
r1b1r1k1/1p1q1pp1/2p4p/3p4/P2P1P2/1R4P1/P1Q2PBP/2R3K1 w - -,h2h4
r2q3k/p1p2Qpp/1p1b1n2/3n2N1/2N5/3p2P1/PPP2P1P/R3B1K1 w - -,c2d3
8/5k1p/R1n1pp2/2p5/2N5/P5P1/1P3PKP/3r4 b - -,c6d4
rn2k2r/pbp1qppp/1p1ppn2/8/2PP4/P3PN2/1PQN1PPP/R3KB1R w KQkq -,f1d3
8/2b2kp1/2p2n1p/1pP2N1P/pP1P4/P2K1p2/6P1/4B3 w - -,g2f3
3r2k1/1p1q1pp1/p2bb2p/3p4/7r/2B1P1PP/PP1Q1PB1/2RR2K1 b - -,h4h5
5rk1/8/1p1p1qp1/pB1P1pn1/P1P5/4QPPp/7P/4R2K b - -,f5f4
3rb3/4ppkp/BNp2bp1/P1Q5/1P6/1q2P1P1/5P1P/2R3K1 b - -,d8d2
8/8/1p5p/r1p1kpp1/P7/2NBP1P1/5P1P/6K1 b - -,a5a7
5R2/8/4r2p/p4ppP/2k5/2bN1KP1/8/8 w - -,d3f2
8/4b1kp/p7/2p1n1p1/4Pp2/1r3P1P/P5P1/3RBK2 w - -,a2b3
r1bqr1k1/pp1n1pbp/5np1/3p4/2PN4/2N1BP2/PP1QB1PP/3R1RK1 b - -,d8e7
r2qr3/p1p3p1/2pk1bB1/3pn2Q/5P2/2N5/PPP3PP/4R1K1 w - -,g6e8
5k2/1N3b1p/5P2/p7/6KP/1R6/8/8 b - -,f7b3
r2r2k1/1npbqpb1/p2p1npp/1p1Pp3/PPP1P3/5N1P/2BN1PP1/R1BQR1K1 b - -,b5c4
7k/8/2p1p1pB/4P3/6P1/5B1P/2r2K2/8 w - -,f3e2
2r3k1/6p1/5p1p/3P4/4P3/1Q5P/2p3P1/7K w - -,d5d6
1k3qr1/ppp4p/1b2r1n1/n2p1pP1/3P4/PP1NBP1Q/2PKN2P/4R2R w - -,e2f4
1rbq1rk1/3p1ppp/n1pPp3/p5BQ/2P5/P5P1/1P3PBP/R4RK1 b - -,d8b6
1rb2rk1/1p2ppbn/pq1p2p1/3PP1Np/3B1P2/1P4PP/P2Q2BK/2R2R2 b - -,b6d8
1rr3k1/2q2p1p/4p1p1/1p1n4/3N1P2/p5P1/PPP1Q2P/1K1RR3 w - -,d1d3
rnbqkb1r/pp1p1p1p/4p1p1/2p1P3/1nB5/NP3Q2/PBPP1PPP/R3K1NR b KQkq -,f8g7
1r1r2k1/p4ppp/2b1p3/q1p5/2p1P3/2NnQ1P1/PPR2P1P/1R3BK1 w - -,h2h4
6Q1/8/1p5p/pPp2pk1/P1Pb4/7P/5qB1/7K b - -,g5f4
8/7k/7p/1pp3p1/2bb4/P1N4P/1P1N1KP1/8 w - -,f2f3
1rb2rk1/2q1ppbp/2np1np1/ppp5/4P3/PBPPNN2/1P3PPP/R1BQR1K1 b - -,e7e6
r1b5/pp2b2k/2n1pq1p/2pp4/5PQN/2N3Pp/PP5P/R4RK1 b - f3,c6d4
rnbqkbnr/pp3ppp/3pp3/8/2B1P3/2N2N2/PP3PPP/R1BQK2R b KQkq -,f8e7:a7a6
5r2/1p5k/p3p2p/1b1p2PP/3P4/P3B3/2P3R1/4K3 b - -,h6g5
3b4/3n3p/4p3/6Pk/7P/NP4B1/4K3/8 b - -,h7h6
1kr5/pb3pb1/1p4q1/3pPn2/2rP1Ppp/1R1N4/P2BN1PP/3Q1RK1 b - -,h4h3
r1b1kb1r/pp4pp/1np2p2/8/1n6/P1N2NP1/1P2PPBP/R1B2RK1 b kq -,b4d5
2q1r1k1/1p2brp1/p4p1p/P3P2N/R1Np2bP/1P1P2Q1/2P3P1/5RK1 b - -,g4h5
1r2k2r/1q3pb1/p1npp1p1/1p1N3p/4PPB1/4B3/PPP2QPP/1K1R3R b k -,h5g4
8/4k3/5p2/3R1Bp1/6P1/4K3/8/r7 w - -,d5b5
r1b1k2r/1pq1bpp1/p1n2n1p/2p1p3/P3P3/2PB1N1P/1P2QPP1/RNB2RK1 w kq -,b1d2
8/8/1bqBK3/pk2p3/8/8/3r4/1Q6 b - -,b5a6
3r2k1/1pp3pp/8/2P2r1b/1P1n1P1q/2Q5/1B3PBP/4RRK1 w - -,c3c4
r4nk1/1pp2ppp/3q4/pP1p1P2/P5P1/1NP1Q2P/5P2/R5K1 w - -,e3c5
r1bqk1nr/ppp1bppp/6n1/3Q4/2B1PP2/2N1B3/PP4PP/R3K1NR b KQkq -,d8d5
6r1/1p6/pkn2p1r/2NRp3/4BbP1/8/PPP5/1K1R4 w - -,c5a4
2r1k2r/p1p1q1bp/1p1pbnn1/1N1P1p2/2P2p2/1Q3B2/PP4PP/R1B2RK1 w k -,d5e6
1B6/6p1/6p1/kp1r4/2r3P1/PR3K2/8/8 b - -,c4d4
r2q1rk1/1p2bppp/p1p1pn2/8/2PPQB2/5N2/PP3PPP/3R1RK1 w - -,e4e2
2kr1q1r/p4p2/2n1p1pp/1p1pP3/b1pP1P2/P1P5/2P1BRPP/R2Q1NK1 w - b6,f1e3
1rr3k1/1pqbnpb1/2np2pp/p1p1p3/2P5/P1BPPNP1/1P2NPBP/1RRQ2K1 b - -,b7b5
r1b1r1k1/1p1p3p/3q1np1/4p3/4P3/p2P1NP1/1BQ2P2/2KR3R w - -,c2c4
r4rk1/1b3ppp/pp2p3/2n5/2BB4/PP2P3/2K2PPP/R6R b - -,b7g2
2r1k1nr/3bpp2/p2p2p1/1q5p/1p1bP2P/1B3P1N/PPPQ2P1/R3K2R w KQk -,d2d4
1k5r/2pn4/1p1p1p1q/pP1P1Ppp/P2KP3/1P5P/4B1R1/3Q4 b - -,d7c5
4rrk1/1ppbq1bp/p2p1np1/3Pp3/1PP3P1/2NBBP2/P2Q2P1/4RRK1 b - -,d7c8
8/1R2b3/4k3/7p/1p6/5K2/7P/8 w - -,f3e4
r2qkbnr/1p1bpppp/p1np4/2p5/4P3/5N2/PPPP1PPP/RNBQRBK1 b kq -,g8f6:d7g4:h7h6:g7g6
r3k2r/pp1n1ppp/1qpbpn2/3pN3/P2PbP2/1P4PP/2P1P1BK/RNBQ1R2 w kq -,e5d7
