8/8/p1r2kpp/R7/4P3/4K1P1/8/8 b - -,c6c3:c6b6
r3k3/1p2b1p1/2p1p1p1/PpPpPp2/1P1P1P1P/5KP1/5B2/R7 b - -,e8d7
8/1R6/p3k3/4p3/2R5/1P4P1/P3KP2/r2r4 w - -,b7b6
rnbq1k1r/pppp1pbp/8/6p1/2P5/5P2/PP1BQPPP/RN2KB1R w KQ -,b1c3
r4n2/4pk2/3p1bp1/3P3p/3RB3/q2QN1PP/3B1PK1/8 b - -,f6d4
8/1p3k2/3R4/8/4r3/8/2K5/8 b - -,f7e8
2r2rk1/p2n1ppp/bp1p1n2/2q1p3/Q1P4B/P1N1P3/1P1R1PPP/4KB1R b K -,a6c4
8/p1k2p2/1pn1pbp1/7p/4KP2/2P3P1/PP2B2P/2B5 b - -,c6e7
3r1rk1/2q2bb1/p2p3p/1pp1pBp1/2P1Q3/1P4P1/P3PP1P/2BR1RK1 b - -,b5c4
r1bqk2r/pp3ppp/2nbpn2/2p5/2PP4/3P1NP1/PP3PBP/RNBQ1RK1 b kq -,c5d4
3rk2r/2q2p1p/5p2/2b1pN2/2p1P3/2P5/4QPPP/R2R2K1 b k -,c5e7
1K6/2Q5/5k2/PP6/1q6/8/8/8 w - -,c7c6
rn1q1rk1/pb3pbp/1pp1pnp1/3p4/2PP1B2/2N1PN1P/PP2BPP1/2RQK2R w K -,e1g1
6k1/1p3r1p/2p3p1/R2pPr2/P2P3q/2Q2P1P/1P2N1PK/8 w - -,g2g3
r3k2r/pp1q1ppp/3Ppn2/5b2/3Q4/8/PP2BPPP/R1B2RK1 w kq -,g2g4
r4rk1/p1p3q1/3pbpp1/2p4p/2PbP2P/1P1RB1P1/P2Q1PB1/5RK1 w - -,e3h6
rnbq1rk1/3p1pbp/p3pnp1/1PpP4/P7/2N1PN2/1P3PPP/R1BQKB1R w KQ -,d5e6
2rq1rk1/p2bppbp/6p1/np1pN2n/3P4/1NPB3P/PPQ2PPB/R3K2R b KQ -,g7e5
2r3k1/4qppb/1p2p2p/p3Q3/2P5/PP3BP1/3r1P1P/2R1R1K1 w - -,a3a4
r2rn1k1/1p2bpp1/1p2p2p/3pNb2/3P1B2/P1P3PP/1P3P2/3RRBK1 b - -,e8d6
3r2k1/p1p5/4qpbp/2Q1p1p1/2Pp4/P4PB1/1P2P2P/2K3R1 b - -,e6f5
8/2R2pk1/8/r3PK2/5P2/8/8/8 b - -,a5b5
8/2n5/2Nk1p2/1p1P2pp/p2KP3/8/P5PP/8 w - -,c6d8
2r2rk1/p1q1bppp/1n2p3/Q2p4/2pP1P2/5N2/PP2PPBP/2RR2K1 b - -,c7f4
2rq1rk1/pb1nbpp1/1p2p2p/2p5/3P4/P1BBPN2/1P2QPPP/3RK2R w K c6,d4c5
3rr1k1/p4pp1/Rbp4p/4P3/8/4Bb2/PP3KPP/2R5 w - -,e3b6
r1b1k2r/pp1p1ppp/1bp5/4Pq2/8/2P1B3/PP3PPP/RN1QR1K1 b kq -,e8g8
8/k6p/8/8/2N3Kp/8/5bb1/8 w - -,c4d2
r3k2r/1p1bbppp/pqn1p3/3pPn2/3P4/5N2/PPN2PPP/R1BQKB1R w KQkq -,g2g4
4r2k/4n1b1/3R3p/5P2/b3P3/2p5/5NB1/2B3K1 b - -,e7f5
r2q1rk1/5pb1/3p2p1/3B1b2/pp1N4/5P2/PPPQ2P1/R3K2R b KQ -,d8f6
8/8/5pk1/8/1NB2K2/p1n4P/P7/2n5 w - -,h3h4
8/5pkp/2p2n2/pr3n2/8/PP1R4/3R1PKN/8 w - -,h2f3
8/2p2p2/1p3k2/8/1KP4R/1P6/r7/8 w - -,h4h6
r1r1k3/1p2pp1p/p2p1np1/P2P4/1P1bPP2/5B2/3B2PP/1RR2K2 b - -,e8d7
6k1/p4r1p/3qp1p1/PP1p1r2/3R3P/1P3P2/5QP1/3R2K1 w - -,d4c4
rnbqk2r/pp4pp/2pbpn2/3p1p2/3P4/1P3NP1/P1P1PPBP/RNBQ1RK1 w kq -,c1a3
r1b1k2r/2qn1pbp/p2p1np1/2p1P3/Pp2P3/2PBNN2/1P3PPP/R1BQR1K1 b kq -,d6e5
r1bqkb1r/pppp1ppp/2n2n2/4p3/8/3P2P1/PPP1PPBP/RNBQK1NR w KQkq -,g1f3
rnbq1rk1/1pp1ppbp/5np1/p2p4/8/3P1NP1/PPPNPPBP/R1BQ1RK1 w - a6,e2e4:a2a4
r3k2r/1p3pp1/1qb1p2p/2b1P3/p2p1P2/Pn1B1NP1/1P2Q1P1/1RB1R2K b kq -,a8d8
rnb1k2r/pp2ppbp/2pp1np1/q5B1/3PP3/2N5/PPPQ1PPP/1K1R1BNR b kq -,c8e6
r1b2rk1/bppp1pp1/p1q4p/4p3/3PP3/2P2N2/PP1N1PPP/R2Q1RK1 b - -,e5d4
8/r4p1p/P2q2kp/2p1p2R/2BpP3/1P3PP1/2P3K1/R7 w - -,h5f5
r2qk2r/pp1nbp2/3n4/2p2pB1/7p/5N1P/PP2NPP1/R2Q1RK1 b kq -,d6e4
4r2k/2p1q1bp/Pp6/3Qnp2/4p3/4P2P/4BP1B/3R2K1 w - -,a6a7
r1bqk2r/1p2bppp/p1nppn2/8/3PP3/2N2N2/PP2BPPP/R1BQ1RK1 w kq -,d4d5
r1bqk2r/1p3pb1/2P3p1/p1p1p2p/P1P1P3/2N2P2/1PQ3PP/2nRKB1R b Kkq -,d8g5
qr3b1k/6pp/3p1p1P/pp1PpPP1/1P1nQ3/7B/PP6/1K1R3R w - -,h6g7
3k4/1p6/p1p1Rb2/2P3p1/1PKP1pBr/7P/1P6/8 b - -,f6e7
7r/7P/6k1/8/6K1/5P2/7R/8 b - -,g6f6
3rr1k1/4bpp1/4p1p1/1q2P3/p1p5/P1B5/1PQ2PPP/3RR1K1 b - -,d8d3
6k1/R6p/6p1/4pp2/pq6/5PP1/5RKP/8 b - -,e5e4
6k1/1q3p1p/4p1pP/P1Q1P1P1/5P2/3B1K2/1b6/8 w - -,f3e3
r1b1kb1r/ppq2ppp/2nppn2/8/4PP2/1N1BB3/PPP3PP/RN1QK2R w KQkq -,d1f3:g2g4
2kr3r/pbqn1pp1/1p2p2p/2pp4/3P3R/2PBP1P1/PP1NQPP1/1K5R b - -,c8b8
r1bq1rk1/pp1n1ppp/4p3/8/3PP3/3B1N2/P2Q1PPP/R4RK1 b - -,b7b6
7r/p4kp1/Q3p3/3pPq1b/3B1P2/bPp3P1/P5B1/4R1K1 b - -,a3b2
5r2/2p3kp/1pBb2p1/3P1p2/1P6/2P1R2P/6P1/6K1 w - -,g1f2
6k1/4bpp1/ppr1pn1p/4B3/2P2PP1/1P5P/P3B3/3R2K1 b - -,a6a5
rb3rk1/pbq2ppp/1p2pn2/8/2N5/2PBB1P1/P1P2P1P/1R1QR1K1 b - -,f8d8
8/4k3/1pp5/2b1p1P1/2P1Pp1p/1P3P2/P3K2N/8 b - -,c5g1
2rr2k1/1bq1bppp/4p3/p3P1P1/1p1NnB1P/7R/PPP1N3/1KR1Q3 b - -,c7c4
r3kb1r/1b1n1p2/pq1ppp2/7p/P2NP3/2R1BP2/BP4PP/3Q1RK1 b kq -,b6b2
8/pR3p1k/6p1/5q1n/8/5r2/4QP1P/4R1K1 b - -,h7h6
2bq1rk1/1p3p1p/p1rP2p1/4Pn2/4NR2/1P4P1/1Q4BP/R5K1 w - -,e4f6
2r4k/pR4b1/6p1/4qp1p/2B5/PQ3P2/1PP5/1K6 w - h6,c4d3
4r1k1/q4r1b/p3N1p1/1p1PnpQB/1Pp5/8/P5PP/4RR1K b - -,e5d3
5b2/p7/1p6/3pBkPp/2pPp2P/P1P4K/1P6/8 w - -,h3g3
4r1k1/3nbppp/2q1bn2/p2p2B1/2pP2N1/2P2BNP/P2Q1PP1/1R4K1 b - -,f6g4
8/5b1p/8/2kpKP2/Pp1N4/1P6/7P/8 b - -,f7h5
2r1k2r/4bpp1/pp1ppn1p/8/2P1qP2/1P2PN2/PB2Q1PP/3RR1K1 w k -,b2a3
2bB2k1/1p3ppp/p2b4/3p4/3Nn3/4PB1P/PP3PP1/6K1 w - -,f3d1
r1bqr1k1/2p1bppp/p1pp1n2/4p3/4P3/2PP1NN1/PP3PPP/R1BQK2R w KQ -,e1g1
8/1p4R1/8/2p5/2P2k2/1P1K1p1p/7r/8 w - -,g7f7
r3rbnk/1pqn1p1b/p1pp3p/3PpN2/2P1P2P/5Q2/PP3PB1/R1BNR1K1 b - -,c7d8
r1r3k1/ppnq1pbp/3p1np1/3Pp3/2N1P1b1/2NQB1P1/PP3PBP/2R1R1K1 b - -,b7b6
3r4/1p3B1p/p1bP2pk/4n1q1/1P2P3/8/PQ4PP/3R1R1K w - -,b2d2
r4rk1/1bpn3p/1p1ppq2/5p2/1pPP2p1/P1Q1P3/3NBPPP/2R2RK1 w - -,a3b4
r2qr1k1/1bp2pb1/p2p1npp/1pn1p2P/P3P3/2PP2N1/1PB2PPN/R1BQR1K1 w - -,a4b5
r1bb1rk1/ppp3pp/2np2q1/1B6/4Pp2/2P2N2/PP3PPP/R1BQR1K1 b - -,c8e6
1R6/2rb2kp/1p3pp1/1N1p4/2n4P/3BPN2/5PP1/6K1 b - -,d7b5
r2qkbnr/pp3ppp/2n1p3/3b4/2NP4/5N2/PP2BPPP/R1BQ1RK1 b kq -,g8f6
4rrk1/pp4p1/2pn1n1p/3pN3/3P2P1/1PP1R2P/P2N1P2/R5K1 b - -,d6e4
r1b2n2/5kpp/p7/3pp2P/N7/5B1R/PPP3q1/1K1R4 w - -,f3g2
2q2rk1/1pp2p2/p4Pp1/3PQ2p/P5b1/1P4P1/2B2R1K/8 w - -,e5f4
r1bqr1k1/pp2ppbp/2n2np1/2pP4/3P4/1P3NP1/PB2PPBP/RN1Q1RK1 b - -,f6d5
5rk1/n4pp1/1q1bpnp1/1P1p4/1p1P4/2PB1PP1/4NB1P/Q4RK1 w - -,c3b4
r3rbk1/1bqn1p1p/ppnpp1p1/6P1/P3PP2/1NN1B2R/1PP3BP/R2Q2K1 b - -,f8g7
1b6/1p3pk1/p7/3p1pp1/3Pq1r1/P1P1P2Q/1P4RP/5BK1 b - -,g4h4
r2qkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/3QPN2/PP1N1PPP/R1B2RK1 b kq -,f8e7
r1q1r1k1/3bppbp/n1p2np1/pp6/3P4/PB1N2NP/1PP2PP1/R1BQR1K1 w - -,d3e5
2nb4/p4kp1/1P4pp/2pNp3/4P3/3PB2P/1PP3P1/6K1 b - -,a7b6
rnb3nr/pppp1k1p/3b1q2/7Q/5B2/8/PPP3PP/RN3R1K b - -,f6g6
7r/2k4p/2p2Rp1/p4p1P/4p3/2P1P3/PP3PP1/2K5 b - -,h8g8
1qr1rbk1/1b3ppp/pp1ppn2/4n3/2PNP3/P1N1BP2/1P1Q2PP/2RR1B1K w - -,c3a4
7k/pb2n1bp/4pNp1/2p5/5P1B/2P4P/PP4P1/3B2K1 w - -,f6d7
r3r1k1/2p1qpbp/2b2np1/1pn1p3/4P3/2P1B1NP/1PBNQPP1/R3R1K1 w - -,b2b4
4rbk1/ppr2ppp/4q3/P1n5/8/4BNP1/1Q2PP1P/R2R2K1 b - -,e6a6
1r2k2r/p4p2/bp1ppqpp/n1p1n3/P1P1P3/2PPB1PB/3Q1PNP/1R2R1K1 w k -,g2h4
1r1kr3/p1p2pp1/5n1p/5B2/3p4/1Pb3P1/P1PB1P1P/3R1K1R b - -,c3d2
q4bk1/1r1n1p2/1pp1p1pp/2PpP3/1P1P3P/5NP1/r3NPK1/1RRQ4 w - -,e2c3
r1b2rk1/1pp4p/3p2n1/p2P2q1/2P2p2/1PN5/1P1QBRPP/5RK1 b - -,c8d7
8/1k6/pBNpB1n1/Pr1Pp1b1/1P2PpN1/8/6P1/6K1 w - -,e6d7
2rr2k1/q4pp1/p3p1p1/3nN3/P7/1P1R1Q1P/5PP1/4R1K1 b - -,c8c2
r1q3k1/3bbp1p/6pB/pp1rP3/6n1/PB1N2QR/1P3PPP/R5K1 b - -,d5d3
8/4k3/5n1p/R4p2/3K1b1P/3B4/8/8 b - -,f4g3
4b3/1p6/1npk1p2/p3pPp1/P3P1Pp/1PKB3P/2P5/3N4 w - -,d1e3
5rk1/1p4bp/pN1p2p1/P1pP2qn/4P3/5r1P/1P2QPPB/5R1K w - -,g2f3
rnbq1rk1/2p1ppbp/p4np1/1p2p3/3P1B2/2N2N2/PPP1BPPP/R2Q1RK1 w - -,d4e5
r5k1/1p3p1p/6p1/1bNpPp2/1P3P2/2P5/6PP/2R4K b - -,a8a7
1k6/1pb1q3/2pr1pp1/4n1Pp/3pP2P/P2P4/1P1Q1RK1/3B3R w - -,h1f1
rnbqkb1r/ppp2pp1/3p3p/4p3/3PP3/2PB4/PP2NPPP/RN1QK2R w KQkq -,e1g1
rnbq1rk1/1p2ppbp/p2p1np1/2pP2B1/2P1P3/2N2P2/PP4PP/R2QKBNR w KQ -,a2a4:d1d2
r3nrk1/1bqnbpp1/pp1pp3/8/1PP1PP1p/2NB1N1P/P3QBP1/2R2RK1 b - -,c7d8
r1b2rk1/pp2q1b1/2p2np1/2n2p1p/2PNp3/PPN1P1PP/2Q2P2/R1BR1BK1 w - h6,a1b1
r4r1k/1q4pp/3p4/p2Npbb1/2B5/2P5/RP3PPP/3Q1RK1 w - -,d5e3
r4rk1/3nqpbp/p1b3pn/4p1N1/PpB1P2P/8/1PP1QNP1/R1B1K2R b KQ h3,d7f6
1rb2n1k/5qpp/1p3p2/p2p4/N2P1P2/5N1P/PP2Q1P1/4R1K1 w - -,e2e7
r4rk1/pp1n1ppp/1q6/3p4/4n3/1NP2N2/PP2QPPP/R4RK1 b - -,f8e8
8/R7/7k/3p2p1/3Bn1P1/P3Pr1P/8/6K1 b - -,f3h3
2b1r3/2p3k1/p5p1/1pNqp2r/3P1p2/1PP2P2/P4QPP/R3R1K1 w - -,e1e5
r3kb1r/pp3pp1/2p2np1/3p1q2/3P4/2N1PQ2/PP3PPP/R1B1K2R w KQkq -,f3f5
8/1b3pk1/p1q3p1/1p5p/1P6/1BP1Q1PP/P6K/8 w - -,e3d4
8/6p1/3n2k1/2r3P1/5K2/1P2p2P/P3B1R1/8 w - -,h3h4
1q2r1k1/1b1n3p/4p1pB/r2nP3/pp1N4/6Q1/PPB2PP1/R3R1K1 b - -,d5e7
1r1q2k1/2p2p2/pbbp1n2/1p1Pr3/P3P2B/8/1P3PPP/RN1QR1K1 b - -,c6d7
2r5/8/3kp3/1pn4p/3bPNp1/8/1PB1R1PP/3K4 b - -,d4b2
r4bk1/7p/2r1b1p1/2P1pp2/pp6/1P2BPP1/P3NK1P/2RR4 b - -,a4b3
7K/6n1/2p5/4k2P/2p5/2N5/8/8 w - -,h8g7
3k4/5ppp/3P4/p1K5/6PP/5P2/5r2/3B4 b - -,f2d2
r2qr3/pb3pk1/1p3Np1/3p3p/3Q4/1P2P1P1/P4PBP/R2R2K1 b - -,d8f6
2n2r2/1q5k/1pp1Q2p/r4pbN/5B2/3B3P/PP3PP1/2R2RK1 b - -,a5d5
r3r1k1/2q2pbp/1nbppnp1/6B1/p1pPP3/1P1B1NNP/5PP1/2RQR1K1 w - -,b3c4
r4rk1/pp1nqppp/2p2nb1/3p4/2Pp3N/1PN1PPP1/PQ2B2P/3R1RK1 w - -,e3d4
1r4k1/4p1bp/3pP1p1/2p2qN1/pn2B3/4B2P/4QP1K/8 b - -,f5e5
2r2rk1/1p1nppbp/p1pp1np1/q2P4/P3PP2/R1N1BB2/1PP3PP/3Q1RK1 w - -,d1d2
5rk1/6r1/p1b5/3nP3/2p1p3/P1P1B1P1/P4NK1/3RR3 w - -,d1d4
rn1q1rk1/ppp1bppp/4pn2/3p4/4b2N/1P4P1/PBPPPPBP/RN1Q1RK1 w - -,f2f3
r2qk2r/ppp1n3/3p1b1p/3PpbpP/2P3P1/2N5/PP2BP2/R1BQK2R b KQkq g3,f5h7
r1b2rk1/p3qpp1/2p2n1p/1p1P4/3B4/PBpP4/2P2PPP/R2Q1RK1 b - -,f6d5
rnbqk1nr/pp2bppp/3p4/2pPp3/4P3/7P/PPP2PP1/RNBQKBNR w KQkq -,g1f3
r7/5p2/P2k3R/1B1p4/P1pb4/8/3K4/8 b - -,d6e5:f7f6
2r1r1k1/1pq4p/p2p2n1/3P1Q2/nPP5/6R1/P3BRPP/6K1 w - -,h2h4
8/8/8/4K3/2p5/1kPr1R2/8/8 w - -,f3f8
2n1r1k1/1p1bqp1p/p2p2p1/2pP2P1/PbB1PB2/5P1P/5K2/1R1Q3R b - -,c8b6
r4r1k/1b3ppp/pp2p3/2b1B3/4q3/5N2/PPPQ1PPP/3R1RK1 w - -,f1e1
r1q3k1/p2p1ppp/1pnB1n2/2p2b2/2Q5/1P3PP1/P5BP/3RR1K1 b - -,f5e6
r2q1rk1/pbp1bpp1/1p3n1p/3p4/3P4/2N1PNP1/PPQ1BPP1/2R2RK1 b - -,c7c5
8/p1bbkppp/1p6/P1pBP3/4p3/2P3BP/1P3PP1/5K2 b - -,b6a5
rnb1k2r/ppp1nppp/5q2/3p4/1b1P4/2NB4/PPP1NPPP/R1BQK2R w KQkq -,e1g1:c1f4
rn3rk1/pp1n1ppp/8/2pN2P1/8/2PPN3/P3K2P/R6R b - -,b8c6
r3r1k1/pp3pp1/1q5p/3p1b2/2p1n3/4BnP1/PP2PPBP/R1Q1R1K1 w - -,e2f3
8/3k4/R5pp/3P4/1rp1p1P1/4K1P1/2b1B3/8 w - -,g4g5
r3k2r/1p1nbppb/1p2p2p/3p4/2pPP3/2P2PB1/PP1NB1PP/R4RK1 b kq -,e8g8
4r2r/1pk1qp2/1n1p1nb1/p1pP2p1/P1P1p3/1BP1P1BR/3KNPP1/R5Q1 b - -,h8h3
2k2r2/N3np1p/Pp6/2P2p2/1P3P2/8/6PP/3R2K1 b - -,c8b8
8/3k1pp1/p7/4pP2/2R3Pr/7p/7P/7K b - -,d7d6
3r2k1/4rpb1/1ppqbn1p/p3p1pP/P3P3/2NB4/1PnBNPP1/R1Q2K1R w - -,d2g5
8/5k2/R3pb2/5p2/6p1/B3P2n/4K2P/8 b - -,h3g5
r7/pp2Nkn1/2p5/4P3/2n2B2/5P2/P2R3P/4K3 w - -,d2d7
r3r3/1p1b1pbk/p2p2pp/q2P4/P1pNPP2/2N1R3/1P1Q4/2RB2K1 w - -,g1g2
5r1k/1p1rq2p/p1bp1p2/6P1/1P1R1P2/8/1QP4P/1K1R4 b - -,e7e6
r2r2k1/pq2bppp/1p2n3/2p1P3/5P2/2N1B1P1/PPQ1P2P/R4RK1 w - -,c2e4
1r6/p7/1br4k/2nR2p1/1KP1p3/P3Pp1P/3B4/3R1B2 w - -,b4c3
r3kb1r/1b1n1p1p/pq2pp2/1p6/3P4/1QN1P3/3NBPPP/R3K2R b KQkq -,b7g2
2rr4/1b1nk3/3p3p/pp1PpBp1/8/BP4R1/P1P3PP/2KR4 w - -,f5e6
8/pk4p1/1p6/1P1p4/4p1p1/1R1rP1P1/5P1P/R4NK1 b - -,d3b3
r2q1rk1/1bpnbppp/3p1n2/p3p3/pP1PP3/B1N2N1P/B1P2PP1/R2QR1K1 w - -,b4b5
r1bq1rk1/p3n1b1/2p5/2Ppp1pp/R3Pp2/3P1P2/P2NN1PP/2BQR1K1 b - -,g5g4
6k1/2B2p1p/2n1p1p1/N2n4/P2b4/1P3P2/6PP/5B1K b - -,c6b4
6rk/p2q3p/p2p4/3Pp1Q1/5rbN/5pN1/PP3P2/R3R1K1 w - -,g5h6
3b1k1r/2q3pp/p2pQp2/3Bn3/5B2/P7/1P4PP/4R2K w - -,d5b3
2b4r/1pr1kppp/n3p3/2b5/8/2P3P1/PQ2BP1P/3R1RK1 w - -,b2d2
8/1p3r2/p2p3p/3Pk3/1P4pP/1BP1p3/1P4P1/5K2 w - -,f1e2
2n5/3b1k2/1p1p4/3P1p1n/1P2PBq1/3B4/6NQ/6K1 w - -,g1f2
4r1k1/pq5p/3pp1p1/2r1b3/2p1P3/2P3P1/PP1Q2NP/3R1R1K w - -,d2e2
5b2/pp1b2kp/3p2p1/2pP4/P1P2P1P/1P1Bp1P1/5NK1/8 w - -,f2d1
5rk1/2p1qppp/1p1rp3/p1n5/2P5/6P1/PPQ1PPBP/R2R2K1 b - -,f8d8
5r2/3nkp2/Bp2p1r1/p2pP1p1/P2P2N1/5R2/1P2N1PP/6K1 b - -,f7f5
r2r1qk1/3n1pbp/p1p3p1/1p1p4/5Q1P/PP2P3/1BP1BPP1/1K1R3R b - -,g7b2
r2qk2r/pp1n1p2/2p1pnb1/6pp/PbBP2P1/2N1PP1P/1P4N1/R1BQ1RK1 w kq h6,e3e4
r2qrbk1/1pp2pp1/2n4p/p1n1pPP1/2Pp4/P2P1N1P/1PQ2PB1/R1B2RK1 b - -,e5e4
2Q1n1k1/4q2p/p3N1p1/1p3p2/2p4P/1P2P1P1/P4PK1/8 w - -,b3c4
2bqr1k1/2r2pb1/p2p1n2/2pPn2p/Pp2P1pP/1P2R1P1/1B1N1P2/QN2RBK1 w - -,d2c4
1r5k/r2q2p1/2p2p1p/2P1p3/PPQpP2P/R5P1/1R3PK1/8 b - -,h8h7
6k1/ppn1qr1p/5p1R/4rQP1/4N3/1P3P2/P3PK2/7R w - -,f5c8
r2q1rk1/1b1n1pbp/p1p1p1p1/1p1nP3/3P4/1BN2N2/PP3PPP/R2QBRK1 w - -,c3d5
rnbqk2r/pp3ppp/2p2n2/4p3/1b2P3/1B6/PPP1QPPP/RNB1K1NR w KQkq -,c2c3
2r3k1/r4ppp/1q2p3/pp1pP3/1PpQ4/P1P1P2P/2R2PP1/2R3K1 b - -,b6c7
r3rnk1/pp2bppp/4b3/q1pp2P1/3P4/2NBPN1P/PPQ2P2/1K1R3R w - -,d4c5
rq2r1k1/1p1b1ppp/p4n2/3pb3/P2B4/1P1BPP1P/3QN1P1/2R2RK1 b - -,e5d4
r1bq1rk1/p2nbpp1/2p2n1p/4pBB1/1pP4P/2N1PN2/PPQ2PP1/R3K2R w KQ -,c3e2
8/1R1n1Np1/4k1p1/7r/3p1P2/3P2K1/6B1/8 w - -,f7g5
1q4k1/5pp1/2p2n2/p2p1bp1/P2P4/2P4P/2Q1NPP1/6K1 w - -,c2f5
1r2q2r/p1p2pk1/3bbn1p/2p1N1p1/8/2PB3P/PPQ1RPPB/4R1K1 b - -,e8c8
8/kp6/1P2R3/2p2p2/5K2/2r3r1/8/1R6 b - -,a7a6
8/8/8/5p1K/4pB2/4rkP1/8/8 b - -,e3b3
1r2r1k1/2q2pb1/1nbpp1pp/pp6/3PN3/P1P2NPP/1P2RP2/3QRBK1 w - -,e2c2
4Q3/8/4p3/3pPk2/2pPpPp1/b1P3q1/3B4/2K5 w - -,c1b1
r7/1p1q2kp/5pp1/p2Nrb2/3Q4/5P2/PPP3PP/R4RK1 w - -,c2c4
2rb1rk1/3n2pp/q4pb1/P2p4/N1pP4/P1Q2PN1/6PP/2R1BRK1 w - -,c3b4
r5k1/pb3pp1/R3p2p/4P3/3N4/5P2/6PP/6K1 w - -,a6a5
3r1r1k/6pp/8/2P1Bn2/3PQP2/4P3/4qPBP/1R4K1 w - -,g2f3
r7/pp1brpkp/2p3p1/8/2P1P3/1PN5/P1K3PP/3RR3 b - -,a8e8
6k1/r3q1p1/p6p/1rp1Np2/2N1b3/1PQ4P/PB3PP1/R5K1 b - -,a7c7
r3k2r/pp1n4/2pq2p1/3p1p2/2PPpPPp/P3P3/1P1NQ1P1/R4RK1 b kq f3,d7f6
8/5pkp/3N1np1/3Pp3/4P3/7P/rq3PP1/2R1Q1K1 w - -,c1b1
