8/5k2/4p3/1p3p2/2bN1r2/PPK1R3/8/8 b - -,c4d5
2kr2r1/1p1n1p1p/1qp3b1/p7/P2bP3/2NQ1P2/1P4PP/1K1R1B1R w - -,d3d4
8/4n3/2p1kp2/2P4p/2KP3P/2B2P2/8/8 b - -,e6f5
3r4/3P3p/5k2/p1b1p1p1/B3Pp2/1Pr2PP1/R2R2KP/8 b - -,f4g3
rn1qk2r/pp3pp1/2p1pnNp/3p4/2PP2PP/2N1PPb1/PP1K4/R1BQ1B1R b kq -,f7g6
r4rk1/1pp1bp2/n1bq1n1p/4N1p1/p1BP4/P6P/QP1BNPP1/3RR1K1 b - -,c6d5
r6k/3q2pp/p4rn1/3Pp3/1bB1p3/5pP1/1PQ2P1P/2BRR1K1 b - -,b4e1
5bk1/1p3p1p/pR2p1p1/8/b1rPP3/P1N2P2/1B3KPP/8 b - -,a4c6
2b1r1k1/4r1qp/1p1p1pp1/p1nPP3/1nP2P2/1PR1QN1P/3N2B1/4R1K1 b - -,f6e5
r4rk1/pbp2ppp/1p2p3/1B2q3/8/6N1/PPPb1PPP/R2Q1RK1 w - -,b5d3
8/4kp1p/4pn2/8/8/1P3P2/2PK2PP/r2R4 b - -,a1d1
2r1nrk1/1pq1p1bp/p2pp1p1/4P3/3B1PP1/1P6/P1PQB2P/2KR3R w - -,e2c4
r4r1k/1p3pp1/p3p3/3pq3/5n2/2PB1R1P/PP1Q2P1/R5K1 w - -,d2f4
8/p5kp/1p4p1/2p1p3/4P3/PP3p1q/2P2P1P/3Q2K1 b - -,h3g2
1k5r/1p6/2p1p3/2PpPqp1/1b1P3r/pP1RKPQ1/P5B1/2R5 b - -,b8a7
4R3/8/r5Bp/2b3pP/6P1/2k5/4K3/8 b - -,a6a2
r1q2rk1/pbpn1pp1/1p5p/5Q2/3P3B/P1N1P3/1P3P1P/R3K1R1 b Q -,f8e8
r3rk2/2p2p1p/1p1p2p1/p2q4/P4P2/2P1R2P/1P2Q1P1/4R1K1 b - -,d5c5
q5k1/2p2ppp/2p1p3/1n6/3P4/3NP1P1/2Q2P1P/6K1 w - -,d3e5
r2r2k1/1p4pp/2p1R3/p1b3P1/Pn3B2/5N1P/2P2P2/1R4K1 w - -,f4e3
3r4/2k4p/1p3pp1/n1n1p3/P1b1P1P1/3p1P2/1R5P/R2BK3 w - -,a1b1
5r2/8/4p1Q1/4R3/kp2r3/7P/1P2q1PK/8 w - -,e5e4
1r2r2k/6b1/1pNRb1pp/p1n1p1B1/P1P1P3/6PP/1P4BK/2R5 b - -,h6g5
6k1/1r6/6pp/p1R2p2/2P2PnP/1P2P1P1/P3K3/5N2 b - -,a5a4
r1bqkbnr/pp1p1ppp/2n1p3/2p5/2P1P3/5N2/PP1P1PPP/RNBQKB1R w KQkq -,d2d4:b1c3:f1e2
rn1qkb1r/pp2pp1p/2p1bnp1/3p4/2PP3N/4P3/PP1N1PPP/R1BQKB1R w KQkq -,d1b3:h4f3
8/p4n1r/1pp5/3npk2/4N2P/5P2/PP6/1K4RR w - -,g1g4
r1b3k1/ppp2p2/3r1Bp1/4p3/2P5/P1n4P/1P3PP1/R3KB1R w KQ -,f6e7
1rr2bk1/2p2pp1/p3bn1p/P1q5/Bpp1PB2/3P1N1P/1PP3P1/R2Q1R1K b - -,c8d8
8/p4rk1/np2bqp1/1N2p2p/2P1P3/2Q2P2/PP2B1P1/2KR4 w - -,e2f1
2R2k2/8/pp1P4/4K1p1/2P5/1P5p/P4r2/8 b - -,f8g7
7b/8/7P/p2p1k2/1p1p1Pp1/1P1K2P1/P6N/8 b - -,h8f6
6k1/4b1p1/3p2p1/6P1/1p2P2q/1P5R/P5QP/2B4K b - -,h4e1
6k1/1p3q2/3p2n1/r1pPp2Q/2P1P3/1R1Nb1P1/6BK/8 b - -,a5a2
rq1r2k1/1pp1ppbp/5np1/p2b4/Pn1P4/NP2PNP1/1B3PBP/2RQ1RK1 b - -,b4a2
r1bqr1k1/1p1n1pbp/p3n1p1/4p3/2NpPP2/1P1P2PP/PB2N1B1/R2Q1RK1 b - -,f7f6
2r3k1/pp2rpp1/4qn1p/4p1BP/B7/2P1PQ2/P4PP1/R2R2K1 b - -,h6g5
8/8/5b2/5P1k/7p/8/8/6K1 b - -,h5g4
rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/8/PPP1NPPP/RNBQKB1R w KQkq -,c1f4:e2f4:b1d2:e2g3
8/8/4p1k1/6P1/4R1K1/5P2/8/6r1 w - -,g4f4
2b5/R4p2/2p1k3/Pr6/5B2/7P/5PPK/8 w - -,g2g4
r1bq1rk1/p1b1n1pp/2n1pp1P/1p1p4/2p1P3/3P1NP1/PPP2PB1/R1BQRNK1 b - -,g7g6
6k1/p3b1pp/2p5/2P2p2/1P2p3/P1r3P1/5P1P/R3NK2 w - -,e1g2
rn1br1k1/pppq1ppp/3p1nb1/3P4/2P2P2/2N1B1N1/PP2B1PP/R2Q1RK1 w - -,e3d4
2kr1b1r/pppqpppp/2n2n2/8/3P4/5PN1/PPP1N1PP/R1BQ1RK1 w - -,c1e3
2q3k1/4Qb1p/4r1p1/pp6/5B2/1P3P2/PP4P1/K2R4 w - -,e7h4
4r1k1/2R3p1/3B2P1/1p2p2p/2pb4/8/P4PK1/8 w - -,f2f3
r4rk1/1b3p1p/1q1p1p2/2pP4/1p2Q2N/4P3/5PPP/1R3RK1 w - -,h4f5
4r2k/7p/p4q2/1p4p1/4pp2/P1P1Q3/1P1R2KP/8 w - -,e3h3
Rn4k1/5p1p/6p1/3Pr3/1pp5/6P1/4n1BP/2R3K1 w - -,g1f1
8/R5p1/5p1k/5P2/5K2/8/8/6r1 b - -,h6h5
rn1qkb1r/4pppp/p1p2n2/1pPp4/3P4/1QN1Pb2/PP3PPP/R1B1KB1R w KQkq -,g2f3
r1bqkbnr/3n1ppp/p2pp3/1p6/3NPP2/2N1B3/PPP3PP/R2QKB1R w KQkq b6,f4f5
5rk1/1p3ppp/p1n2n2/3q4/8/P3QNPP/1P3P2/4RBK1 b - -,h7h6
3rr1k1/1p3p1p/p1n3p1/P2Rp1q1/2B1P3/2P2P1P/1P3bP1/R2Q2K1 w - -,g1f2
8/8/p4k2/1p6/2nR2P1/6P1/3K4/8 w - -,d2c1
8/6k1/6R1/5K2/5P1P/8/8/7r b - -,g7f7
rnbqk2r/pp2bppp/4p3/2pn4/8/1PN1PN2/PB1P1PPP/R2QKB1R b KQkq -,e8g8
2r3k1/Q2q1p1p/2b3p1/1p2p3/1P2P3/3B4/2P3PP/4R2K w - -,a7d7
1r5k/4qp1p/3Rp3/2p1Pp2/p1P2Q2/P7/1P4PP/6K1 w - -,f4h6
1k6/pp6/2BR4/8/1P1p4/P1r5/3K2P1/8 b - -,b7c6
r1b2rk1/4ppbp/1q1p2p1/2p1P3/5P2/P3QN1P/4N1P1/2KR3R w - -,d1d3
4k3/4pp2/p2r2p1/R2P3p/8/6PP/4KP2/8 b - -,e8d7
8/2p2rk1/2PpR3/p2P2p1/2P2pP1/1P5r/P4K2/4R3 w - -,e6e7
r2qr1k1/pb1n2bp/1p1pp1p1/5p1n/2PP1P2/1P4P1/PB1NBN1P/R2QR1K1 b - -,h5f6
8/p7/1pk2p2/5p1p/1PPK3P/8/P7/8 w - -,d4e3
r1bq1rk1/1p2ppbp/2np2p1/p1n5/2P1P3/2N1B1PP/PP1QNPB1/R4RK1 b - -,c6e5
8/6pp/4p1k1/5p2/P4P2/4P3/1pr3PP/3R2K1 w - -,g1f1
4r1k1/pq3pbp/6p1/1P1P1r2/1BQ5/4P1P1/5PKP/1RR5 w - -,c4c6
rn3bkr/6pp/pq1p4/1p2pP2/4N3/8/PPPB2PP/R2QK2R b KQ -,d6d5
8/8/1k2n3/1B2N3/PK6/8/8/8 b - -,e6f4
5q1k/2p3p1/p1n2r2/2b2r2/Pp2Qnb1/5NB1/1P1N1PPP/1BR1R1K1 b - -,g7g6
1r5k/pr1q2p1/5p1p/3P4/2PB1P2/P1Q5/K7/4R3 b - -,d7a4
1r2k2r/4b1p1/bqn1p2p/2pn1p2/1pP1NP2/3P2PP/1P3BB1/R1NQ1RK1 b k -,d5c7
r1n1k2r/p2qppbp/Qpp2p2/5b2/2PP4/4B1N1/PP3PPP/2KR1B1R b kq -,e8g8
3r4/1p1r1pbk/p4qpp/8/Q3p3/BP1nPN1P/P1R2PP1/3R2K1 w - -,f3d4
3r4/2k4p/3bRp2/Ppnp4/2p5/6P1/P1B2P1P/3R2K1 w - -,e6f6
rn1qk2r/p1b1nppp/1pp1p1b1/8/3P1B2/1QPN2N1/PP3PPP/R3KB1R w KQkq -,d3e5
4q3/p5pk/1p5p/5p2/4b3/8/PPP1QR1r/R3K3 b - -,h2h1
1r1r2k1/p4pp1/b1p1p1n1/q3P2p/2P1Q2P/P4N2/2PN1PP1/R3K2R b KQ -,c6c5
k7/2p5/3p4/3P4/p1PNK3/2R5/r7/2B4r b - -,h1h4
r3k2r/pp1nppb1/1q2bn2/2pp2pp/3P2P1/1QP2PBP/PP1NPN2/R3KB1R w KQkq -,e2e3
1r6/1P5p/8/1R2pP2/6P1/2k1p3/6K1/8 b - -,e5e4
5rk1/1pp3pp/r3bq2/p3n3/Q1P5/P4N2/1P1RPPPP/2K2B1R w - -,f3e5
r1bqk2r/pp2n2p/2pp1bpB/4pp2/2P1P3/3P2P1/PP2NPBP/R2Q1RK1 b kq -,c8e6
4rrk1/1p1b2bp/p1n3p1/3pp1q1/3Pp3/1NP3BP/PPN1QPP1/3R1RK1 w - -,c3c4
2b2n1r/pp2kpp1/2n5/3pPBp1/3P4/P6P/1P1N2P1/2R2RK1 b - -,c8f5
2b2rk1/2qnbp2/6pp/NP2p1P1/1P1pPn1P/5P2/1P1Q1B2/R2NK1R1 w Q -,a5c6
8/2r2p2/pkp1p1pp/2Rr4/1P3R2/2P3P1/4PPKP/8 w - -,f4c4
4B3/8/7p/p6P/P2K4/5pk1/6b1/8 w - -,d4e5
8/8/3b2p1/p4p1p/1k1N1P1P/1P6/P1K5/8 b - -,d6f4
6k1/1pr2pb1/p4q2/P1p1nPp1/BP1Q3p/7P/3B2P1/5R1K w - -,b4c5
r3kb1r/6p1/ppqpbnP1/4p1B1/4P3/2N5/PPPN1Q1P/2KR3R b kq -,f8e7
r4rk1/pp1nbppb/q1p2n1p/8/4p3/P1NPBNP1/1PQ2PBP/R2R2K1 w - -,d3e4
8/4k3/3R4/1r2B3/4K3/8/8/8 w - -,e4f5
r2q1rk1/1p5p/2bpp1p1/p1n1bp2/2P1PN2/1P2BP2/P2QB1PP/1R3RK1 w - f6,e4f5
8/6pp/5p2/P2pr3/1B2n3/2P1R3/2k2KPP/8 w - -,f2e2
2r3k1/5ppp/1qrpb3/pp1Np3/4P3/P2Q1P2/1PPR2PP/2KR4 b - -,e6d5
r2q3k/r4bb1/1p6/1P1p1p1p/2nPpNn1/1QN1P1PB/1B3P2/R1R3K1 b - -,a7a1
6k1/4n3/r3p2p/pp1pP2P/2pP2p1/P1P5/1P1B2PK/5R2 b - -,e7f5
6N1/1p3ppp/pk2b3/2n5/2PR4/6P1/P3PP1P/6K1 w - -,g8e7
1rb2rk1/3p2bp/6p1/1PqP1p2/1np1BN2/2N1P1P1/1P2Q2P/R4RK1 w - f6,e4g2
r2q1rk1/pb2bppp/1pn1p3/2p5/3P4/P1PBPN2/1B2QPPP/R4RK1 b - -,d8c7
r3r1k1/6p1/5pqp/1Q5R/4PP2/2N1n3/4N1PP/1R5K w - -,e2g3
3q2k1/5pbp/4n1p1/2Q1p3/N7/1P3P2/P1P4P/1K5R w - -,c5b6
r7/p3kp1p/2Nb1np1/1B2n3/P7/4P3/1B3P1P/2R3K1 b - -,e5c6
6k1/1r4P1/3R3p/q2nB3/2p5/5P1P/2Q3PK/8 w - -,c2c4
5rk1/pp2b1pp/2r1p1b1/3pPq2/5P2/1P3BP1/PB1Q3P/2R2RK1 w - -,c1c6
r5k1/ppq1bpp1/2p2np1/2n1p3/2P3P1/1PN4P/PBQ1PPB1/3r1RK1 w - -,f1d1
8/1p3k2/4R3/5P2/3p4/P3p2p/1P2K2P/2r2B2 b - -,c1c2
r4n1R/8/1B3k2/4pp2/2Pp4/3P1PP1/4PK2/8 b - -,f6g7
8/1pk4p/r3K1p1/5p2/8/8/P2R1PPP/8 w - -,e6f7
6k1/p2n1pp1/7p/P1p2P2/1rBnp3/2R3P1/1Pp2PK1/2R5 b - -,b4b2
rn1qkb1r/ppp2p1p/3p4/8/2P3p1/4Pb2/PP2N2P/RNBQKBR1 w Qkq -,f1g2
8/8/6k1/4P1P1/8/4K3/5R2/6r1 b - -,g1g5
8/8/2K5/1r1pB3/2kP4/8/8/8 w - -,c6d6
rn1qr1k1/p4ppp/bp3n2/2pp4/Q2P1B2/P4NP1/1P2PPBP/R3K2R w KQ -,e2e3
4r1k1/p4pp1/2p2b1p/3p4/1q6/1PNQ4/P1P2PPP/5RK1 w - -,c3b1
r1b1kb1r/pp2pppp/2p5/3qB3/3P4/3Q4/PPP2PPP/R3KB1R b KQkq -,f7f6
r2qr1k1/1p1n1pb1/p2p1npp/2pPp3/2P1P3/1PN3P1/PB1Q1PKP/3RR1N1 b - -,f6h5
r2q1rk1/ppp2pbp/6p1/2NPp3/2nBP3/2Q2P2/P4P1P/R3K2R w KQ e6,c3c4
r1b1rbk1/ppqn1pp1/2pp1n1p/4p3/P2PP3/2N2NPP/1PP2P2/R1BQRBK1 w - -,f1g2
8/8/R5p1/5pkp/8/7P/3r2P1/5K2 b - -,h5h4
r2q1rk1/1bn1ppbp/1pn3p1/p1ppP3/P6P/3P1NP1/1PP2PB1/R1BQRNK1 w - -,h4h5
4b2r/pppkN3/4pP1r/3P2Qp/1q6/2R5/2PK1P2/7R b - -,b4d4
4b1rk/pp2q1r1/2p5/3pNp1p/3P1P2/PP2P2R/1KP4Q/7R b - -,g7h7
r7/2p3k1/1p1q1pPp/1P1Pp2P/p1P5/8/5Q2/4R2K w - -,e1e2
r3rbk1/1p5p/nBp1bpp1/p3p3/2P1P3/1P4PP/P1NR1PB1/1R4K1 b - -,a5a4
r1bqk2r/2pnnpb1/pp4pp/4p3/P1B1P3/2P2N2/1P1NQPPP/R1B1R1K1 w kq -,d2f1
r4rk1/pbq2ppp/1p6/2bp2Pn/5P2/2N1B3/PPPQ2BP/2KR3R w - -,e3c5
3Rk3/5p2/pN2pbp1/1pP4r/PP3qp1/8/4Q1PP/1K5R b - -,f6d8
8/1p1nnk2/p7/5P2/3B1K2/PPN5/8/8 w - -,c3e4
8/8/4K3/nk5r/8/8/2R5/8 b - -,a5c4
r3r3/p2k4/3B1p2/R1Pb1pp1/R1p5/P3PP1P/3K3P/8 b - -,d5f3
3r1rk1/pb2qpp1/1p2p3/7p/1P2n1n1/PQ2PNP1/1B2BP1P/2R2RK1 w - h6,h2h3
rn1qk2r/pp1bppbp/3p1np1/8/3NP3/2N1BPP1/PPPQ3P/R3KB1R b KQkq -,b8c6
2r1r1k1/2qn1pbp/p1bp1np1/1p2p3/3PP3/1P3NNP/PB1QRPP1/1B1R2K1 w - -,f3h4:d2g5
r4rk1/1p3p1b/pqn1p3/3pP1bp/1P1P2p1/P3P1P1/3QN1BP/R3NRK1 w - -,e2f4
5r2/p1k5/3q2p1/1p1PQ2p/4KP2/1P1R4/1P4P1/8 b - -,c7d7
4rbk1/4pp1p/3p1np1/1R1P4/2r2P2/2P2B2/1P1B2PP/5R1K b - -,e8c8
1k1rr3/ppq1npp1/2p1p2p/4P2P/R4P2/6P1/PPPBQ3/2KR4 w - -,g3g4
8/8/3p1n2/2pPpB2/1pP1P2k/1P3K2/8/8 w - -,f5e6
4rrk1/p1qn1ppp/1p6/2p5/2P5/P3PP1P/1BQ2P2/R4RK1 w - -,a1d1
1q1r2k1/pp1R1pbp/6p1/8/1PP5/3Q1PP1/P6P/2R3K1 b - -,d8d7
r4rk1/2p1bppp/2n1p3/pp1q4/3P1B2/2Q3P1/PP2PPNP/R2R2K1 b - -,b5b4
r1b2rk1/1pqn1pbp/p2p1np1/2pPp3/2P1P3/P1N2NP1/1P1Q1PBP/1RB2RK1 w - -,f3e1
Q1r5/5pk1/3R2p1/4Pp2/2p1bP2/2p4K/6rP/R7 b - -,c8a8
rnbq1rk1/pp1n1pbp/6p1/2p1p3/1PPp4/1N1P1NP1/PB2PP1P/R2QKB1R w KQ e6,b4c5
5nk1/p4p2/5p1p/4p3/1P5N/P1r1P1P1/5P1P/3R2K1 w - -,d1a1
r2q1rk1/pp2bppp/2n2n2/3p4/3N2b1/1P2B1P1/P1PQ1PBP/RN3RK1 b - -,c6e5
6rk/2pqb2r/bp1n4/pN1Pp3/P3PpP1/2N2Q2/1PR2BP1/2R2K2 b - -,d6b5
r6k/1pq3p1/4p2p/PQ1pr3/5P2/6P1/7P/R6K w - -,f4e5
6k1/4qpp1/1p2b2p/7P/3P2P1/2Q2PB1/p6K/8 b - -,e7a7
6k1/3q1p1p/1p4p1/2b3N1/4QP1K/1p4P1/r2B3P/3R4 b - -,c5e7
r2r2nk/1p5p/pqb1p1p1/2b1Pp2/P2p1P2/1P1B2N1/1BP1Q1PP/R4R1K w - -,e2f2
8/p2k4/3r2pK/5r2/7p/2RN4/P7/8 w - -,d3c5
r1bqk1nr/1p1p1pbp/p3p1p1/n1p5/4PP2/1BNP1N2/PPP3PP/R1BQ1RK1 b kq -,a5b3
8/8/4pk2/2r2p2/R1B1p2p/4P3/4KP2/8 b - -,e6e5
7r/6p1/pp1b1p1p/2pk3P/P4P2/2B3P1/1PP1R3/2K5 b - -,b6b5
5rk1/ppq1n1pp/4b3/1Q2p3/2P3B1/1P2N3/P2R2PP/6K1 b - -,e6g4
r5k1/4rp1p/2p3p1/3p4/1Pb5/p1P2P2/P1NR1KPP/2R5 w - -,c2e3
rn2kb1r/ppp1pppp/3q1n2/8/2BP2b1/2N5/PPP1NPPP/R1BQK2R b KQkq -,e7e6
rnb2rk1/pp2ppbp/3p1np1/q2P4/8/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,b7b5:c8d7
r5k1/p2n2pp/1pq1pb2/8/3Q4/2N3B1/PPP3PP/5R1K w - -,d4e3
r3r1k1/pbq2pp1/1p3b1p/2p5/3P4/P2B1NP1/1PQ2PP1/3RR1K1 w - -,d4c5
6k1/6pp/p3pp2/3r4/1p3B2/1Pn2N2/P4PPP/2R2K2 w - -,f4d2
r1b2rk1/p3bppp/2q1pn2/1p1n4/3P4/1BN2Q2/PPPB1PPP/R3R1K1 w - -,c3d5
2qrnk2/5r1p/p2p1p2/P2P1Np1/2p5/2P2QP1/1P2R1KP/4R3 b - -,f7b7
8/1prk1pr1/p2pp1n1/8/P3P1p1/1B3P2/1PPR2P1/1K5R b - -,d7e7
8/4kpp1/5np1/1B2n2r/8/2N1P2P/5PP1/R5K1 b - -,e5d7
4k3/1R6/2P1pp2/2r1p1p1/1p2P2p/1P3P2/4K1PP/8 b - -,h4h3
8/2b4p/6p1/1p1k1p2/1P3P2/2PK1P2/3B3P/8 b - -,c7d8
rn2kbnr/pp3ppp/2p1p3/2Pp4/3P4/1P2Pb2/1P3PPP/RNB1KB1R w KQkq -,g2f3
8/8/3nN3/6kp/6p1/4K1P1/8/8 b - -,g5f6
r2qrbk1/ppp2ppp/2npbn2/8/2P5/2N1PPP1/PP1P2BP/R1BQNRK1 w - -,b2b3
r5rk/4Nq1p/4p1p1/pp1nPp2/3NnPP1/2P1B2Q/PP4RP/6RK b - -,f7e7
r3k2N/3np1bp/p1Qq2p1/3P1p2/2p5/2P1BP2/5P1P/R4KR1 b q -,d6c6
2r3k1/p3p3/1np5/2R5/6P1/1P2P3/Pb3P1P/3R2K1 b - -,b2a3
r1bqr1k1/1p2bpp1/pn2pn1p/8/P2P4/2NBBN2/1P3PPP/2RQ1RK1 b - -,c8d7
4K3/1R6/5kP1/5r2/8/8/8/8 w - -,g6g7
7R/8/1k6/1p1K4/p7/r7/8/8 w - -,h8a8
1Rrq3k/6bp/p5p1/4p3/4p3/1Q6/5PPP/1R4K1 b - -,h7h5
r1b1rnk1/1p3pbp/p2ppnp1/q1pP4/2P1P3/2N1BP2/PP1QBNPP/R4RK1 w - -,d5e6
4rrk1/p4ppp/1p3n2/2b5/2P5/4BP1P/P1B2P2/1R1R2K1 w - -,e3c5
8/2B2n1p/p3k3/5p2/5K2/P7/5PP1/8 b - -,f7h6
r4rk1/pb2qpb1/1pn1p1pp/4P3/2N5/3B1NP1/PP2QPP1/2R1R1K1 b - -,c6b4
8/6p1/R7/p1pk1p1p/Pp3P1P/1r3P2/4K3/8 b - -,d5d4
2r2rk1/pp1b1npp/q1n2p2/4pP2/3pP1P1/1P1P1N1P/4N1B1/R1bQ1RK1 w - -,a1a6
