7b/4k3/8/pN1p2K1/P2P4/8/5P2/8 w - -,g5g6
3q3k/pp4pp/1bn2p2/4p3/1PQ5/P1B1P2P/3N1PP1/6K1 b - -,d8d7
4r1k1/p1q2rpp/1p1p1p2/2pP4/2P1PP2/3Q2P1/P3R1KP/4R3 w - -,h2h4
4k2r/1b1q4/p2bp1n1/6Pp/1p5r/3Q4/PP1B1PP1/R2NNRK1 b k -,d6h2
r2q1rbk/ppp1p1bp/2n2np1/3p2N1/4p3/1P1P2P1/PBPN1PBP/R2QR1K1 w - -,d3e4
6k1/1r3p2/2r1pPp1/2Pp2Pp/1p1P3P/pP1NK3/P7/5R2 b - -,g8f8
3B4/1q5k/3p2pb/P2b1p2/3P4/4QPP1/1PR2RK1/2r5 w - -,e3e7
8/8/8/R7/3kp3/6r1/8/4K3 w - -,e1e2
2r2k2/1R2pp1p/p2pb1p1/8/2pbP1PP/P4P2/3KB3/7R w - -,h4h5
r1bq1rk1/1ppnppb1/p2p1npp/8/2PPP3/2N1BP1N/PP2B1PP/R2QK2R w KQ -,e1g1
8/7p/3R4/5pk1/3p4/5P2/2r3PP/5K2 b - -,c2d2
r4rk1/ppq1bpp1/2bp1n1p/4p3/4P3/1NNQB2P/PPP2PP1/2KR3R w - -,f2f4
1rbqr1k1/p1n2p1n/1p1p2p1/2pP3p/P2bP3/1RN2N1P/1P3PP1/2BQRBK1 b - -,d4g7
R1k5/2b2rp1/1p5r/2p2b1p/2P5/2B2P2/P3N1Bp/4R2K b - -,c8d7
1r5k/2rbp1bp/3p2p1/8/4P1P1/1N3P2/PP2Q3/1K1R4 w - -,f3f4
2rn1rk1/p3Qp2/1p4p1/3pPp1p/3P3R/6P1/P5PK/8 b - -,d8e6
r2qr1k1/ppp1n1pp/5p2/n2p4/P2P2PN/B1PP3P/5P2/R2QR1K1 b - -,e7g6
1k1r4/1p2R2p/p5p1/6n1/8/1B1P2P1/P4P1P/6K1 w - -,f2f4
6k1/q2b1pp1/r2p1n1p/1p1Pp3/1P2P3/2bB3P/2NQ1PP1/1R4K1 w - -,d2c3
8/1q5p/1pQ1p3/p3PpPk/P1P4P/4bK2/8/1R1R4 b - -,b7c6
8/8/1R6/5pk1/5P2/2r1P3/6K1/8 b - f3,g5h5
3k4/8/8/4K3/4B3/8/7R/6r1 b - -,g1e1
6k1/5pp1/p3p2p/n2p4/2QPn1P1/5N1P/PP3PB1/6K1 b - -,a5c4
8/1k6/8/2K5/P4N2/6p1/8/4n3 w - -,c5b5
r1bqk2r/pp2bppp/2n1pn2/2ppP3/8/3P1NP1/PPP1QPBP/RNB1K2R b KQkq -,f6d7
1r3k2/1p1npb1p/p2p1pp1/2r5/P1PNPP2/1P4P1/5R1P/4RBK1 w - -,f1h3
6k1/4rp1p/1p4b1/p2R4/3N4/7P/PP3PPK/8 b - -,e7b7
r3rbk1/1pq3np/2p1npp1/2P1p3/1P2P3/1Q3NP1/4NP1P/1RBR2K1 b - -,e8d8
b1r3k1/4qpb1/6pp/1p1QP3/5PPP/4N3/7K/1R2R3 w - -,d5d1
r4rk1/1Qp2p1p/p6p/2b1p3/2q4n/2N3N1/PP3P1P/R4R1K w - -,b7c7
r1b1r1k1/ppp1Bppp/2Pp4/4p3/2P5/2n1PN2/PP2BPPP/2KR3R b - -,c3e2
5b2/1p3k1p/pn1np1p1/3p1p2/3P4/2NKP1PP/PP3PB1/4B3 w - -,f2f3
7k/6rp/6p1/p1R5/3P4/2PK4/BP6/8 b - -,h7h5
r4rk1/pp2ppbp/3p1np1/2qP4/P7/1QN3P1/1P2PPKP/R1B2R2 b - -,f8c8
r2q2k1/5pp1/p1p1rn1p/1p2p3/4P3/3PR1NP/PPQ2PP1/2R3K1 w - -,g3f5
4bnr1/rpq5/2p1pkp1/2PpNp1p/pP1P1P1P/P4PP1/2BQ2K1/2R1R3 w - -,c2d1
rn1qkbnr/pppb1ppp/4p3/8/4N3/3P1N2/PPP2PPP/R1BQKB1R b KQkq -,d7c6
rn1q1rk1/1b2ppbp/1p4p1/pN6/2BPn3/BQ2PN2/P4PPP/1RR3K1 b - -,b8d7
5rk1/6p1/4n3/3QBp2/p2P1Pp1/P3q1P1/7P/1R4K1 w - -,g1h1
r4r1k/pp4b1/2b3Qp/2P3BP/4P1P1/6q1/PP1N4/R2K1R2 b - -,f8f1
3qBk1r/pp2pP2/6p1/8/2p5/1nP4P/P4PP1/R4RK1 w - -,a2b3
rnbqkb1r/ppp2ppp/5n2/3pP3/4P3/2N5/PPPP2PP/R1BQKBNR b KQkq -,f6e4
b2r1rk1/2pnqpb1/Bp4pp/p3p2n/P3P3/1NP1B3/1P1NQPPP/R3R1K1 w - -,a1d1
8/7p/4p1p1/ppk1PpP1/5P2/1P1P3P/1P1K4/8 w - -,d2e3:d2c3
r7/pp1nkprN/2pbp3/8/3P2P1/3B1P2/PPP4P/2KR3R w - -,h2h4
8/8/3bp3/3n3k/3P2Np/1P1R2pP/3BK1P1/1r6 b - -,d6f4
rnb2rk1/ppqpppbp/5np1/2p5/3P1B2/2P2NP1/PP2PPBP/RN1Q1RK1 b - -,d7d6
3b4/5kp1/6pp/3NBb1n/P2P1P2/7P/6P1/2R3K1 b - -,h5g3
r1b1k2r/1p1n1pbp/p1pBpnp1/q2p4/2PP4/1PNBPN2/P1Q2PPP/R3K2R b KQkq -,g7f8
r2r2k1/ppp1qpbp/5np1/4p3/2N1P3/2P2PPb/PPB1Q2P/R1B1R1K1 b - -,a7a5
r1b3k1/pp4pp/2n1pr2/q1pp1n1Q/3P2P1/P1PB1N2/2PB1P1P/R3K2R b KQ g3,c5c4
1r1q1r1k/3bp1bp/2np4/ppp2p2/2PP1P2/PP4PP/3QN1BK/1R3RB1 b - -,c6d4
2rr4/pp1nqpkp/4bnp1/8/1P1NP3/3P1RPP/P2QN1B1/R5K1 w - -,a1f1
r2qr1k1/1pp2pbp/2np1np1/p4b2/2P1N3/PP1PPN2/1BQ1BPPP/R4RK1 b - -,f6e4
R7/P5k1/8/5P2/8/r3K3/8/8 w - -,e3d2
r2q1rk1/3nbppp/Bp1p4/4p3/P7/2P1Bb1P/2P1QPP1/R4RK1 w - -,g2f3
r4r2/4ppkp/1qn1b1p1/1p1RP3/1p1p4/P2P1NN1/3QBPPP/R5K1 w - -,d5d6
8/8/R4kp1/p4r2/4K3/8/8/8 b - -,f6g5
r2qk2r/3bbppp/p1npp3/8/1p2PP2/1N6/PPPQN1PP/1K1R1B1R b kq -,d8c7
r2q1rk1/ppp2p2/1b1pbnnp/4p1p1/1P2P3/2PP1N1P/P1B2PP1/R1BQRNK1 b - -,g6f4
r2qk1nr/pp1n1ppp/2p3b1/4p3/3P1N1P/8/PPP2PP1/R1BQKB1R w KQkq -,d4e5
8/5p2/pnbkp1p1/1p5p/3P3P/P4PP1/1PBN1K2/8 b - -,a6a5
8/6rp/pR2Rr2/P1pB4/2P4k/3P1p2/5K1P/8 b - -,g7g2
1k1r3r/pbpn1p2/1p1pqn2/4p1p1/2PPP2p/2P1NP2/P1Q1BBPP/2KRR3 w - -,e2f1
rnbqkb1r/ppppp1pp/5n2/5p2/3P4/2P2N2/PP2PPPP/RNBQKB1R b KQkq -,b7b6
2q1rnk1/1p3pb1/3Q2pp/P2Np3/4P2N/6Pb/5PBP/4R1K1 b - -,h3g2
r3qrk1/2p3pp/b1pb1n2/p2pN3/3P1P2/6N1/PPPBQ1PP/R3K2R w KQ -,e2e3
8/p1nk1r2/Pppb2Np/8/1P1B4/2P1R1P1/6K1/8 w - -,e3d3
r6r/1p3k2/p1n1p1p1/3p1pn1/P2P4/1P3B2/2P1NPK1/R6R w - -,c2c4
2r1k2r/1pqb1pp1/p3p2p/3pP3/2nP1N2/2P3P1/Q4PBP/1RR3K1 b k -,d7c6
8/3k4/pp1p3p/2pPrP2/P1P1N2P/1P3K2/8/8 b - -,e5f5
r2q1rk1/np2bpp1/p3p1p1/P2pP3/8/3N2P1/1PP2P1P/R1BQ1RK1 w - -,h2h4
1r6/6p1/p4p1p/P1pbk3/Bp3R1P/6P1/1PP2KP1/8 w - -,a4d7
3q3b/5k2/pp1pB2Q/3Pp1p1/nPP1Pp2/5P2/P4BK1/8 b - -,f7e7
r1b1k2r/ppq1ppb1/2np1npp/2p5/P1B1P2P/2PP1N2/1P3PP1/R1BQKN1R b KQkq -,e8g8
r6k/6pp/4Bp2/p1qPn3/1np1P1P1/2Qb4/3N1R1P/4R1K1 b - -,b4c2
8/7p/6pk/8/4PqP1/5P2/4Q1K1/8 b - -,f4e5
r1b2rk1/pp1n1pb1/2p1pqpp/8/2BP4/2N1PN2/PPQ2PPP/R4RK1 w - -,c3e4
6r1/p6k/1pp1q1pn/2p1p3/4Pr1P/3PN1R1/PPP1Q3/1K4R1 w - -,e2h2
r3k2r/ppp1qp2/3p1n1p/6p1/2P1b3/P3R1B1/1P2PPPP/3QKB1R w Kkq -,f2f3
r2q2k1/p2p1rp1/1pn1p2p/4Pp2/2PPb3/B3Q3/P2N1PPP/R2R2K1 b - -,e4c2
r2qrnk1/pp3ppp/2p1bp2/8/1bPP4/1P3N1P/PB2BPP1/R2QR1K1 w - -,f3d2
r6r/1b2bpk1/p1q1p2p/3nP2Q/1p2N2P/3B3R/PPP3P1/2KR4 w - -,d1f1
1r1qk2r/2pbnpbp/p2p1np1/1p1Pp3/2P1P3/4BP2/PP1QN1PP/2RNKB1R w Kk -,c4c5
6k1/8/2b5/8/5NKp/1P6/P4R2/7r b - -,c6d7
rnb2rk1/5pbp/p2p1np1/qp1P4/1R2P3/2N1BP2/P2Q2PP/4KBNR w K -,b4b1
4B1k1/4pp1p/3pq1p1/BQ1N4/2PbP1b1/P4nP1/5P1P/1R5K w - -,b5b7
6k1/3R4/5pp1/8/4P1PP/6K1/5r2/8 b - -,f2e2
8/6R1/8/2kr2p1/6K1/8/8/8 w - -,g7g5
8/1p5n/p1pp2p1/4p1k1/P1P1P1P1/1P2K3/2P2N2/8 b - -,c6c5
rn1qk2r/p2p1ppp/4pn2/2p5/1bP1b3/5NP1/PP1NPPBP/R1BQ1RK1 b kq -,b4d2
4r1k1/p3q1pp/bpp5/2np1p2/P2QP3/1PN2P1P/6P1/3RR1K1 b - -,f5e4
6k1/5p2/p3p1p1/1p2P2p/4pP1P/P1P3P1/1P2Q2K/2q5 w - -,h2g2
8/3p1p1p/4r1p1/ppk5/3p4/1P4P1/PN1KBP1P/8 w - -,b2d3
r2qk2r/pp2bppp/2n1pn2/1B1p1b2/2PP4/5N2/PP1N1PPP/R1BQ1RK1 w kq -,f3e5
6R1/4k2p/P1p5/2b5/5P2/p7/B4r2/3K4 b - -,f2a2
6k1/1ppbr1qp/p3p1r1/2Pp1pP1/3P1P2/P1BB1P1Q/1P6/2K4R w - -,h3h4
6k1/5p2/3p4/1P4p1/p2RPbPp/5P1P/r7/3B3K b - -,a4a3
8/pp4k1/6pp/2p1n3/2P4P/1PK4R/P2N1r2/8 b - -,b7b6
3r1rk1/pb2qppp/1p3b2/2pP4/8/4PN2/PP3QPP/R2R1BK1 w - -,f1c4
rnbq1rk1/4bppp/p2pp3/2n3PQ/1p1NP3/1BN3R1/PPP2P1P/R1B1K3 w Q -,d4f5
2b3k1/p5p1/1p6/7p/1P1P4/P2ppPPP/3R4/2r1BK2 w - -,d2d3
1r1q1rk1/p2p1ppp/1pn1pb2/8/3P4/2PQ1N2/PP1N1PPP/R4RK1 w - -,d4d5
r2q1rk1/4ppbp/pn1p2pn/1p2P3/2pPNP2/1P2BN2/P1PQ2PP/3R1RK1 b - -,d6d5
5r1k/p2r2bp/Qp1n2p1/3q4/2PPpB2/6NP/P1R2PpK/3R4 b - -,d5f7
2brr3/5pp1/k1p5/pp1pP3/2nP1KPP/1R3N2/P7/3B2R1 w - -,h4h5
r2r2k1/pq2ppbp/1p1p1np1/4n3/2PN4/1P2PNP1/PB3P1P/2RQ1RK1 w - -,c1c2
5r1k/1pr2pp1/4p1np/N2pP3/b4PP1/2P3K1/PPNR3P/R7 w - -,a5b3
r2r2k1/pp3pbp/n1ppb1p1/q3p2n/2PPP3/P1N1BNPP/1P2QPB1/R2R2K1 b - -,e5d4
6k1/2q1bpp1/p1b1p2p/P1p5/1nN1P3/1N4P1/1P1Q1PBP/6K1 w - -,c4b6
r2qk2r/5pbp/p1np4/1N1Ppp2/8/2PB4/PP3PPP/R2QK2R b KQkq -,c6e7
r2q1rk1/4bppp/1n1p4/3P2P1/1p3p1P/p4P2/PPPQ4/1KNR1B1R w - -,b2b3
r1bq1rk1/pp1nbppp/2p1pn2/2Pp4/1P1P4/P1N1P1N1/5PPP/R1BQKB1R w KQ -,f2f4
8/1p4pk/p2N3p/2p3q1/6Rn/2P4P/PP3P1K/3R4 b - -,g5e5
1R6/1p2rpk1/p3qnpp/8/PP1Q4/5BPP/5PK1/8 b - -,e7d7
8/r4PR1/2K5/8/7p/8/7k/8 w - -,f7f8q
3r2k1/1p4p1/p1pQ1p2/2R5/PP1P3p/4P2P/5PP1/6K1 b - -,d8d6
8/8/3n1pk1/p2K4/1b3B1p/1P3B1P/6P1/8 b - -,d6f7
6r1/8/1p2pk2/p1nb4/6R1/1P6/1PP2NP1/5RK1 b - -,g8c8
8/7R/8/2r2p1p/2k2P2/8/6K1/8 b - -,c4d4
7r/p1k2p2/4p3/8/1PP1Bb1p/P4P2/4K3/6R1 w - -,c4c5
r1b2rk1/pppn1pp1/5q1p/3P4/2PQR1P1/P1NB4/6P1/R5K1 w - -,d4f6
8/5k2/8/5P2/5K2/7N/5N2/r7 w - -,h3g5
4rrk1/p1n3pp/8/2pp4/8/P5P1/3NPPKP/2R1R3 b - -,c5c4
r2q1rk1/pp2npbp/2npb1p1/2p1p3/4PP2/2NPB1PP/PPP1N1B1/R2Q1RK1 b - f3,c6d4
r3kb1r/pp1q1ppp/2n1pnb1/3p4/3P1B2/1NPB1P2/PP2N1PP/R2QR1K1 b kq -,f8e7
1rr5/3k1p2/p4p1p/Pp1P2bP/1KpNP1P1/P7/4R3/5R2 b - -,d7d6
r1q2rk1/pbp1bppp/1p2pn2/n7/2pPP3/P1N1BNPB/1PQ2P1P/R2R2K1 b - -,c8e8
r2r2k1/1p1n1ppp/1p4b1/2bNp3/1P2P3/2B3P1/P4PBP/R3R1K1 b - b3,c5f8
8/5nk1/1p6/p1p2b2/P1P2R1Q/4q3/1P4PK/8 b - -,e3e5
2kr3r/2q1n3/p1b4p/1pp2p1B/2pp4/PP1P3P/1N2QPP1/1R3R1K w - -,b3c4
rn3k1r/pp1nqp2/4p1pp/2ppP3/3P4/5B1P/PPPQNPP1/R3K2R w KQ -,c2c3
5k2/5pp1/p1pR1n1p/b3p3/4P3/1P6/P1P2PPP/6K1 b - -,f6e4
1rb1r1k1/2q2pbp/3p1np1/1ppP4/4P3/6PP/1P1N1PB1/R1BQR1K1 w - -,f2f4
6R1/p4r2/1pr1k1p1/2pN1p1p/P1P1pK2/2B4P/5PP1/8 w - -,g8g6
2rq1rk1/p2p1pb1/bp3npp/1N1P4/5B2/1N4P1/PP3PBP/R2QR1K1 b - -,a6b5
r2r2k1/1p3pp1/2p4p/p2nPb2/1qB1N3/1P4P1/PBQ2P1P/3R2K1 w - -,c2e2
r4rk1/pp3ppp/2n1p3/2N5/3qQ3/8/PP3PPP/R4RK1 w - -,e4d4
r2q1rk1/1pp2pbp/3p2p1/p1nPp3/2P1P1b1/2N5/PPQN1PPP/R1B2RK1 w - -,f2f3
8/5pk1/p3n3/4P1p1/1b2B1K1/5P2/3p1P2/3R4 w - -,f3f4
r3kb1r/1pqbpppp/p5n1/3P4/2BQ2n1/2N1B3/PP2NPPP/R3K2R w KQkq -,e3f4
6k1/5p1p/p3p1p1/4P3/P3PP2/4K1P1/b2B3r/8 w - -,a4a5
2rq1rk1/pp1b1pp1/2n1pn1p/3p4/3P4/2NBPNP1/PP3PP1/2RQ1RK1 w - -,a2a3
1kr4r/1p5p/p1nb1np1/8/3P1p2/1QPNPB2/P5PP/5NK1 b - -,h8e8
3rq2k/2b3pp/1p2bp2/8/PpN4R/1P4PP/2Q2PBK/8 b - -,h7h6
r1b1kb1r/1pqp1ppp/p3pn2/4n3/3NP3/2N1BP2/PPPQ2PP/2KR1B1R b kq -,b7b5:f8b4
r2qnrk1/1p1bbppp/p2p4/3Pp3/2P1N1P1/2NBB2P/PP2QPn1/2KR3R w - -,c1b1
q4r2/P1p3k1/Q1p3pp/2R1pr2/1PRnN2P/6P1/5PK1/8 b - -,a8d8
r4rk1/pbq1bppp/1pnppn2/2p5/3PN3/2PBPN2/PP2QPPP/R1BR2K1 w - -,e4g3
4k3/p2r4/Rn6/1p2p1N1/1P1n2NP/6P1/5K2/8 b - -,d7e7
r1r3k1/1b3p1p/1pnqpnp1/p2p4/3P1P2/P1RB1NP1/1P1NQP1P/5RK1 w - -,f1c1
5rk1/p1r5/1p1pp2p/1Pp5/P1P4p/2QP1q2/4NP1P/4RRK1 w - -,e2g3
r2q1rk1/1p1nb1pp/p2p2n1/2pN1b2/2P2PP1/1P6/PB1NB2P/R2QR1K1 b - g3,f5e6
8/8/8/1Q6/8/8/3K1k2/6qq w - -,b5c5
r5k1/1p3pp1/4q2p/n2rp3/P6N/3PP2P/6P1/R2Q1RK1 w - -,h4f5
2r3k1/1p5p/p5p1/1b3p2/1r1n1B2/1N4P1/1RP4P/4R1K1 w - -,f4d6
8/7N/k5p1/5p2/1Pnpp3/6P1/2K2P1P/8 b - -,a6b5
8/5k1p/p3Pp2/5Pn1/8/1rp3BP/6RK/8 b - -,f7e7
r2q1rk1/1pp1bpp1/2n1bn1p/p2pp3/2P5/P1NPPN1P/1PQ1BPP1/R1B2RK1 w - -,c4d5
5rk1/1ppq1rbp/n2p2p1/3Ppp1n/1PP1P3/2N2PP1/2QB2KP/1R3RN1 b - -,h5f6
8/1p2qpkp/6p1/p1bQ1p2/4N3/P6P/1P3PP1/5BK1 b - -,f5e4
7k/2p2pr1/1r1p1q2/p1p3p1/4PnPp/1BP2P2/PP1R3P/3R1Q1K w - -,f1c4
8/4k3/p2p4/2pPp1N1/2P5/n4Pp1/3K4/8 w - -,d2d3
3r2k1/1pqn1ppp/2p2n2/4pP2/PpB1P3/1P3QNP/2P2P2/R5K1 w - -,g1h1
2r3k1/pp3r1p/2n1R1p1/5p2/3P4/P2B3R/1P3PPP/6K1 b - -,c6d4
3R4/5rk1/1p2p1p1/1Bp3P1/2P1K3/p1r1B3/8/8 b - -,f7a7
6k1/4npp1/1p2p2p/p1p5/2P1B3/2B1Q1K1/P1q5/8 b - -,e7f5
8/1n2b2p/4p3/1Pp1Pp1k/2N2P2/2B4P/4P1K1/8 b - -,h5g6
5rk1/N4pbp/1pB2np1/2p5/8/2P1B1P1/bP3P1P/3R2K1 w - -,e3f4
3r4/1p3b2/2pR1r2/2P1kPp1/4P2p/1P4KP/P2R1PB1/8 w - -,g3g4
8/1p1R2k1/p1p3p1/P5p1/1P1KP3/5rPP/8/8 b - -,g7f6
5k2/3n1ppp/1pbNp3/r1p5/p2pP3/P5P1/1P2NPBP/2R3K1 b - -,d7e5
r6k/1p1Q1R2/6p1/p5Pp/2P4q/1P6/8/5B1K w - -,d7h3
8/2r3p1/2P1p2p/1r2k3/8/3R1P2/P1R3PP/6K1 b - -,b5b6
8/4npk1/8/2R3p1/4B3/2P3P1/5PK1/4r3 w - -,c5g5
r1b5/pp1nbrpk/1qn1p3/3pP3/3P1N1P/5NK1/PP4P1/R1BQ3R w - -,f3g5
2r3n1/2k1ppr1/pq1p2p1/2nP2Pp/1P1N1P2/2N5/1PP1Q2P/1K1R3R b - -,b6b4
rnbq1rk1/p3ppbp/1pp3p1/8/1nBP4/2N1PN2/PB3PPP/R2Q1RK1 w - -,d1b3
r1b1k2r/2qpbppp/ppn1pn2/8/P3P3/1NNBB3/1PP2PPP/R2Q1RK1 w kq -,d1e2
4rrk1/p1pb1p1p/1p1p2pq/3P4/2PQ1P2/1P1B2P1/P2P3P/R3R1K1 w - -,e1e3
1r2rbk1/p4ppp/1q1p4/2pR4/4P3/1P3P2/P1Q3PP/R1B4K b - -,a7a5
2rq1rk1/1b1nbppp/2n5/pp2p3/4PPN1/1PP1N2P/2BB2PK/R2QR3 b - -,e7h4
rnbq1rk1/pp2p2p/2pp1bp1/5p2/3P4/2N2NP1/PPP1PPBP/R2Q1RK1 w - -,e2e4
2r2rk1/1p1qppbp/p2p1np1/4n1B1/2P1P3/1PN2P2/P3N1PP/R2Q1RK1 w - -,a2a4
2k1r3/pp3p2/2n2q2/2Qp1b2/P4P2/B1P5/6B1/3R1K2 b - -,f5e4
2r2rk1/pb3qbp/1p1p2p1/3Pp3/1N1nB1P1/4B2P/PP3P1K/2RQ1R2 b - -,c8c1
3r2k1/q3pp2/2Q1b2p/4b1p1/2p1B3/2p3P1/P1K1RPP1/1R6 w - -,a2a4
2rqn1r1/1p1b1pbk/n1pp3p/p2Pp1pP/P1P1P1P1/1PN1BP2/4B2N/1R1Q1RK1 b - -,a6b4
1r1r3k/1b4pp/p3Q3/1p2B1q1/1Pp1p3/P7/5PPP/1BR1K2R w K -,e1g1
r1bqk2r/pp2ppbp/2np1np1/2p5/4P3/2NP2P1/PPP1NPBP/R1BQ1RK1 b kq -,e8g8:f6d7:a8b8
1k1r4/1p6/4p3/p1ppP2p/4q1pP/P3P1P1/1P3Q2/K6R w - -,h1c1
1rbqnrk1/6bp/1p1p2p1/2pPp2n/1PP1Pp2/1N1B1P2/2Q1N1PP/R1B2RK1 w - -,b4c5
r7/3P1r2/3Q1bpk/4p3/4P3/7B/8/6K1 w - -,h3e6
rq4k1/p3bpp1/4p1p1/3pP3/2r3QP/2P2NR1/P4PP1/5RK1 w - -,g4h3
r1b1k2r/5p1p/pqpQp3/4p3/8/8/P1P1B1PP/3RK2R b Kkq -,e5e4
8/6k1/7p/4RK1P/1r4P1/5P2/8/8 w - -,f3f4
8/8/3R1pk1/2Pp3N/p2Pp2n/P1B1n3/5r2/1K6 b - -,g6h5
r1b1k1r1/p2npp1p/2pp4/q1P3p1/4P3/2P5/P2BBPPP/R2QR1K1 b q -,a5c5
r1bq1rk1/pp2bp2/2p1pn1Q/2P5/3P3P/P5P1/1P2RPBN/3R2K1 b - -,f6h7
1rn2rk1/2n1p1qp/3p2p1/P1pP4/4QP2/1P1BN2R/6PP/2R3K1 w - -,f4f5
8/2q3pp/1k2p3/p7/P1pQ3P/6P1/5PK1/8 b - -,b6b7
rnbqk2r/pp2bppp/4pn2/2pp4/3P4/4PNP1/PPP2PBP/RNBQK2R w KQkq -,e1g1
r1b1k2r/ppqnbppp/2pp1n2/4p3/P2PP3/2N2N1P/1PP1BPP1/R1BQ1RK1 b kq -,d7f8
8/1k6/1P6/2B5/p2K1p2/Pr6/8/8 b - -,b7c6
8/5rk1/1p4p1/7P/1p4R1/r5P1/2R2PK1/8 w - -,h5g6
r2q1rk1/1b1nbppp/p3pn2/1p2P3/3N4/P1N5/BPP1Q1PP/R1B2RK1 b - -,f6e8
r1bqk1nr/pp3pbp/3pp1p1/2p5/2BnPP2/2NP1N2/PPP3PP/R1BQ1RK1 b kq -,g8e7
rnrk4/p2b1ppp/1p6/3Pp3/4PP2/3B4/P2KN1PP/1RR5 b - f3,c8c1
2b1rrk1/1pq3np/2p3pb/p1p1p3/P1P1P3/1PNQN1PP/5PB1/1R1R2K1 b - -,g7e6
r1bq1rk1/pp4pp/2p1pb2/2Pp1p2/1PnP4/2Q1P1P1/P2N1PBP/1RB2RK1 b - -,c4d2
8/1Q6/1KP3pk/5p1p/7P/q3P1P1/8/8 b - -,a3e3
r3kb1r/pp1n1pp1/2p1p1p1/2P1q3/5PP1/2N1B2P/PP2Q3/R3K2R b KQkq f3,e5c7
2kb4/1pq2p2/4pp1p/1b3r2/p3NP2/P5P1/BPP1Q2P/2K1R3 w - -,e2e3
r6r/p3k1b1/1p2p1pp/2p2p2/2n1PP2/2PNB1P1/PP2K2P/1R1R4 w - f6,e4e5
8/8/8/2Nnk3/Pp1n3p/1P3PP1/5K2/8 w - -,g3h4
r1b1rbk1/5pp1/pqn4p/1p2p3/1P1pP3/P5P1/2QBPPBP/R2RN1K1 b - -,c8e6
r4rk1/4Rpbp/6p1/3PN3/4P3/4B3/p3QPPP/6K1 w - -,e3d4
r1b1k2r/1pq1bp1n/p2pp3/4nPp1/3NP1P1/2N1B3/P1PQB3/1R3RK1 w kq -,f5e6
