8/1p5k/p5pp/8/P2qB3/3p2PP/1PbQ3K/8 w - -,e4b7
r2qr1k1/pp3pbp/2bp1np1/2p1p3/P1N1P3/1P1P4/1BP1NPPP/R2Q1RK1 w - -,f2f4
r4r2/3Q1p1k/b1N4p/pp2P1q1/5p1p/7P/PPP3P1/1R3R1K w - -,d7d5
r2q1rk1/pppbb1p1/3p3p/3PpP2/8/3QBN1P/PPP2PP1/R3R1K1 b - -,d7f5
2r2rk1/4q1pp/b3pp2/2p5/p1PpP3/1PbN2P1/P1Q2PBP/1R3RK1 w - -,f2f4
8/1p3R2/8/2p5/2P3k1/1P2rp1p/2K4P/8 b - -,e3e2
r1rq2k1/pp3pbp/2P1pnp1/3n4/3P4/BQ2PN2/P3BPPP/R4RK1 b - -,c8c6
6k1/6p1/2n4p/2b5/2N2B2/P2p3P/1P2r1K1/5R2 w - -,g2g3
r1bq1rk1/ppp1bppp/2n2n2/3pp3/2P5/P2P1NP1/1P2PPBP/RNBQ1RK1 w - -,c4d5
2b1r1k1/3pqpp1/3p3p/7Q/3P4/1Bn2P2/5P1P/R1B3K1 b - -,c3e2
rnbqk2r/2p1bppp/p3pn2/1p4B1/3P4/2NBPN2/PP3PPP/R2QK2R b KQkq -,c8b7
rn1q1rk1/pp4bp/2ppbnp1/4pp2/2P1P3/2NP2PP/PP2NPB1/R1BQ1RK1 w - -,e4f5
6r1/8/8/8/6pB/3k1bK1/6p1/R7 w - -,a1g1
5rk1/pB2Qp1p/1p4p1/8/1P2P1n1/7P/4q1P1/6RK b - -,g4e3
r2qk2r/n2bbppp/p2p1n2/1ppNP3/P3P3/2P2N2/1P3PPP/R1BQRBK1 b kq -,d6e5
r4rk1/1Bpp1ppp/p4n2/np3q2/8/1PN1P3/PBP2PPP/R2QK2R b KQ -,a5b7
r2q1rk1/4bppp/p2p1n2/nppPp3/4P1b1/1PP2N2/P1B2PPP/RNBQR1K1 b - -,d8c7
8/1R3p2/1P2p1k1/6p1/7p/5P1P/1r6/5K2 b - -,f7f6
2r3k1/5pp1/p7/6R1/2P5/8/1r3PPP/R5K1 w - -,g2g3
5R2/3k3p/7R/p1p1p2P/2PbP2B/8/rr3PK1/8 b - -,d7c7
b2r4/4q2k/pQ1p2p1/3P3n/2NpP3/5PP1/P5B1/1R4K1 w - -,b6d4
8/4k3/3pb3/2p1p2p/2P1Pp1P/1P3P2/r2RN3/4K3 b - -,a2a8
2b2rk1/5p2/p5p1/7p/4Nq2/1P1Q3P/6P1/2R4K w - -,c1c4
5rk1/1p5p/2p1qn2/Q3p3/2Pr4/P1N3PP/1P1bBPK1/3R1R2 b - -,g8h8
4rrk1/pp4bp/3pPq2/2n2p2/2P5/1P1BB3/1P2Q1PP/1R3RK1 w - -,e3c5
2kr3r/pp1b2pp/4p3/2N1Pn2/5P2/Pn1p1KPB/RB5P/7R b - -,b3c5
nq2k2r/4bpp1/3p4/2rPp1Pp/1p2B2P/pP3P2/P1PQ2N1/1K1R1R2 w k -,g2e3
3r1rk1/1b1n1ppp/pq2p3/3PP3/1p3P2/6P1/PP1QN1BP/R2R3K b - -,e6d5
8/p2R4/1p4bk/8/8/8/3K4/8 w - -,d7a7
r3k2r/pp1qpp2/3p2pb/2p3N1/2Pn2n1/3P2P1/PP2PPB1/1RBQR1K1 w kq -,g5f3
r1b1r1k1/1pp1qpb1/1nn5/2N1p2p/p5p1/P2PP3/1PQBBPPP/2RRN1K1 b - -,f7f5
8/4k2p/p3b3/1p2p1p1/1P2P2P/P3KPP1/2P5/3R4 b - h3,g5g4
8/4ppk1/5qpp/1p3r1n/p2R4/2P2P1R/PP1Q1P2/6K1 b - -,f6e6
5r2/6k1/1p2q1p1/p1P1p3/P2rP3/3PP1P1/2Q2p1K/R4R2 b - -,f8h8
r5k1/3q1ppp/4p1b1/pp2P1b1/1Q3PP1/N6P/PB2R3/6K1 w - -,b4d4
r4q2/1pp4k/3p4/p1nPpb2/2P4P/2Q2N2/1P2BP2/3K2R1 b - -,c5e4
7k/5R2/6pP/1r4P1/5K2/8/8/8 b - -,b5a5
R7/5p2/2Pr4/2K1k3/6PP/pp1B4/1rP5/8 w - -,a8e8
8/1p3kp1/p6p/4BP2/3Pb3/1P6/1P3K2/8 w - -,f2e3
4r2r/ppk4B/2nb1R2/3p2Pp/3P4/8/PP6/1KBR4 w - -,f6h6
r2q1rk1/2pn1pbp/b2pp1p1/p2nP3/3P1P2/2PB1NN1/P2B2PP/R3QRK1 w - -,d3a6
r1r5/6kp/pR2p1p1/3b1pB1/PRpP4/2P5/5PP1/6K1 w - -,b6d6
8/1k6/4p1p1/P1KpPp2/4nP1P/4B3/8/8 w - -,c5b5
8/p4B2/1pk5/5p2/1P3K1p/2n4P/8/8 w - -,f4f5
r3k1nr/p2qnpb1/2pp2p1/4p2p/P3P3/2PBBQ1P/1P1N1PP1/R4RK1 b kq -,f7f5
1r3rk1/pppq1p1p/2n1pbp1/P7/Q2PBP2/2P1N1P1/1P5P/R4RK1 b - -,f8d8
1r1n4/pr2k1pp/4pp2/2RpP3/Rn1P2P1/1PK4P/3NBP2/8 b - -,f6e5
1rr2bk1/3npp1p/p2p2pP/1p1b2P1/3BP3/P4P2/1PPR4/1K3B1R w - -,e4d5
rnbq1rk1/pp2ppbp/2pp1np1/8/P2P4/2N2NP1/1PP1PPBP/R1BQ1RK1 b - a3,c8f5
r1b2rk1/pp2ppbp/n5pn/1N6/2BPq3/4BN2/PP3PPP/R2QK2R w KQ -,b5c3
2r1qrk1/1pBnbp1p/p4np1/3p1p2/3P4/1Q2PN1P/PP1N1PP1/R1R3K1 b - -,d7c5
r1b1r1k1/pp3pbp/1q1p1np1/2p1n3/2P1P3/PNN1B1PP/1P3P2/R2QRBK1 w - -,b3d2
r5k1/5p1p/p1B1p1p1/4P3/1q3nP1/1P6/P1Q2b1P/5RK1 w - -,g1f2
2rqr1k1/p4pbp/bp4p1/8/N2pn3/BP3BP1/P3PP1P/2RQR1K1 w - -,c1c8
3q4/5pkp/5Pp1/2r1p1P1/4P3/1np3P1/R4QBK/8 b - -,g7g8
1qr2rk1/pb1n1ppp/1p1bpn2/1Pp5/2QP4/2N1PN1P/PB2BPP1/2R2RK1 w - -,f3d2
8/2R5/8/4kp2/8/2p2P2/2r2P1P/5K2 b - -,e5d4
3r3k/R2n1p1p/B3p1p1/2b1p3/b3P3/P1R2P1P/6P1/7K w - -,a7d7
5r2/1k1p4/1pq1p2p/8/1P5p/8/4QPP1/3R2K1 w - -,b4b5
r1bqr1k1/ppp2pbp/2np2p1/7n/2P1P3/1NN1BP2/PP1QB1PP/R3K2R b KQ -,a7a5
1r4k1/2qn2pp/ppr5/3R4/2PN1p2/4Q3/P4PPP/2R3K1 w - -,e3e1
1r2r1k1/p1p3bp/2pqp1p1/3n2B1/8/5N2/PP2QPPP/2R1R1K1 w - -,b2b3
8/5p2/pp1k3p/2n5/1K6/5B1P/6P1/8 b - -,d6e5
8/8/8/3R4/p4rp1/2k4p/P4P2/6K1 w - -,d5e5
r4rk1/p4p1p/1p1n2p1/2pPP3/8/P1P3N1/5RPP/R5K1 b - -,d6c4
1q6/kp1B4/2pb4/p2p2p1/P2P1p2/2P2P2/KP6/3Q4 w - -,a2a1
5rk1/1p5p/4p3/5Q2/P1P5/1P2B1PK/5P1P/8 b - -,e6f5
r2q1rk1/pp2ppbp/2N1b1p1/8/3PpP2/2P3P1/P5BP/R1BQ1RK1 b - -,b7c6
1rbqr1k1/pp2npbp/2npp1p1/2p5/2P5/P1NP1NP1/1P1BPPBP/R1Q2RK1 w - -,b2b4
r1b2rk1/pp1nq1pp/2pbpn2/3p1p2/2P5/1P1P1NP1/PBQ1PPBP/RN3RK1 w - -,b1c3
3r1rk1/1p1nqppp/2p5/p1n1PQ2/P1B2P2/2N5/1P3P1P/R5RK w - -,a1e1
b4rk1/n1pp2pp/p7/2PPB2q/P4P2/1Q4P1/6B1/5RK1 b - -,f8c8
8/5pk1/b7/4pp2/1p2P1Nb/1Pq2P2/P4QK1/8 w - -,f2h4
6R1/4r2p/3p1p1k/2p2P2/2Pn4/3B1K1P/8/8 w - -,f3f4
8/7R/8/4p3/6B1/2K1k1bP/6r1/8 w - -,h7e7
8/p1NR1p1k/b2pn1p1/6P1/4P2p/4BKbP/P5B1/3r4 b - -,a6c4
1qk1b2r/Qp1r2p1/2p1p3/7p/1BP1Nb2/1R3P2/P5Bp/5R1K w - -,a7f2
1R2n3/1br1k3/3p1P1p/2pP4/1p2NK2/4N2P/1P6/8 b - -,e7f7
1r2r1k1/1p1n1p1n/p2p2p1/P1pPq2p/4PP2/2N4P/1P1Q2P1/R3RBK1 b - f3,e5d4
r2r2k1/p2nqp2/1bp5/4p1pn/PP2P3/1B3P2/N1Q2P1B/R2R2K1 b - -,e7f6
2rq2k1/1p2ppbp/1Nnpb1p1/8/1pP1PP2/rN2B3/P2Q2PP/2R2RK1 b - -,c8b8
rnbqkb1r/ppppp1pp/5n2/8/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq -,e7e5
8/5p2/5k1p/P2r1P2/2p5/3p1R1P/P2R1K2/2r5 w - -,f2e3
6rk/4RQp1/p2q1n2/1pp4b/8/2P4P/PP3PP1/4R1K1 w - -,f7e6
R7/8/7p/2rpk3/6P1/7P/6K1/8 w - -,g2g3
1r3r1k/1pp3pp/pn1b3n/N3pp1P/bP5N/P2PP3/1B3PP1/R2BK2R w KQ -,a1c1
8/2qn2kp/p3p1p1/P1PpPP2/1Pp2B1P/2Q2P2/5K2/8 b - -,g6f5
2r1r1k1/1p1n2p1/p1p1p2p/P1Pp1p2/3PbPPB/2N4P/1P2P3/R4RK1 b - -,c8c7
3n4/1pp1k1pp/p2b1p2/3B3P/3B1P2/P5P1/1P3P2/2K5 w - -,f4f5
2b1r2k/p1p3pp/3pPbn1/2pB4/2P5/PP2B1P1/3N3P/5RK1 w - -,d2e4
rnbq1rk1/pp1pppbp/5np1/8/3PN3/2PB4/PP3PPP/R1BQK1NR b KQ -,f6e4
5bk1/1p3p1p/2p3p1/4P1P1/2P1bP2/4N1P1/r5BK/4R3 b - -,f8c5
8/pb4kp/1pnqp1p1/6Q1/2BPP3/P4P2/4NKP1/8 b - -,e6e5
3qrbk1/3nrpp1/1pQp1n1p/pP2P3/2NP3B/2P5/1P1NR1PP/4R1K1 b - -,d6e5
2b3k1/1p4pp/3N4/2p1n3/2P1N1nq/4P3/1P3PPP/1Q2K2R w K -,d6c8
5rk1/rp1n1p1p/2p2qp1/2Pp4/PQ1Pn3/3B1N2/5PPP/RR4K1 b - -,e4g5
3r3r/p2qn1k1/1bp2pb1/3pp1pp/4P1P1/2P3PP/PPBNQ1KN/R4R2 b - -,d5e4
1r3q1r/4pk2/2np1p2/p1p3RP/1p2PQ2/1P1P2PB/P1P5/5RK1 w - -,h3d7
8/1pp5/p3rp1p/2R1bkp1/8/P4P1P/1P2R1K1/8 w - -,g2f2
r1b2rk1/pp3ppp/2n2n2/q3p3/2P5/4P1P1/P1Q2PBP/RNBR2K1 w - -,b1c3
r1bq1rk1/pp3pbp/2np1np1/2p1P3/2B1P3/2NP1N2/PPP3PP/R1B1QRK1 b - -,c6e5
3rk2r/p1qnbpp1/bpn1p2p/2p1P3/2P4P/1P3NP1/PB2QPB1/RN3RK1 w k -,b1d2
2r2rk1/p1q3p1/1pb2p2/3pp3/1N6/1PP1Q3/P4PPP/R2R2K1 w - -,a1c1
r4rk1/3npp2/pP3bpp/3P4/2N3B1/2p5/2K2PPP/R6R b - -,d7c5
8/5p2/5kpn/R6p/5K1P/6P1/5P2/8 b - -,f6g7
r4rk1/pp1bnpp1/1q5p/2bpQ3/8/2PB1N2/PP1N1PPP/R3R1K1 w - -,e1e2
r1b1k2r/p1q1b1p1/2p1ppn1/2ppP2p/2P4P/2NP1N2/PP1BQPP1/R3K2R w KQkq -,e1c1
r4rk1/pb2qp1p/1p3bp1/n1p1p3/4B3/2P1PN1P/PPQ2PPB/3R1RK1 b - -,a8d8
8/1r6/pPp1rk2/1n1p2p1/3P1pP1/1P1R1B1P/R4K2/8 b - -,b7b6
6Q1/8/3k2p1/3PnpP1/1p1qp2P/1P6/2P3B1/7K w - -,g8e6
r1bq1rk1/pp1n1ppp/2pb1n2/3pN1B1/3P4/1BN5/PPP2PPP/R2Q1RK1 w - -,e5d7
5r2/1r4k1/5q2/3P2pp/4p3/7P/4QPP1/2RN2K1 b - -,f6e5
2r2rk1/1p2pp1p/p2p1bp1/q2P4/2P5/1P5P/4BPP1/1R1Q1RK1 b - c3,a5b4
5rk1/1p2p1b1/6P1/3qP3/pP5p/4Q1P1/P5R1/5RK1 b - -,f8f1
2k3R1/8/2N2pp1/3p4/4r1P1/7P/2K5/8 b - -,c8c7
8/7p/2r1p1p1/2P3R1/2K2P2/5kP1/8/8 b - -,f3e4
r1r3k1/1b1p2b1/4p1p1/2q1Pp1p/1p3PnP/pP1B2N1/P1PBQ1P1/1KR4R b - -,c5d4
2r5/1p4pp/4k3/4pp2/p1P5/P2K4/1P3PPP/R7 b - -,c8c6
8/5p2/8/1p4p1/2bB1r2/2P4k/1P6/4R1K1 w - -,e1e3
rn1q1rk1/pbp1ppbp/1p3np1/3p2B1/1P1P4/2PBP3/P2N1PPP/R2QK1NR w KQ -,g5f6
8/8/3r4/5p2/4k3/2R5/8/4K3 w - -,c3c4
r1bq1rk1/ppp1n1b1/3p1n1p/3P1pp1/2P1PP2/2NN3P/PP4BK/R1BQ1R2 b - -,f5e4
3r3k/1p4b1/p3B2p/P7/3P1P2/3K1RQ1/2P3p1/4R2q w - -,c2c3
2rr2k1/1bqnbppp/pp1ppn2/8/NPPB4/P3QNP1/4PPBP/2RR2K1 b - -,b7f3:f6g4
rnbqkb1r/pp3ppp/2p1pn2/8/2pP4/2N2NP1/PP2PP1P/R1BQKB1R w KQkq -,f3e5:f1g2:a2a4
3r2k1/pp3pp1/2p5/4pP1p/4Bn2/1PP2Pq1/P1Q3P1/5R1K w - -,c2f2
r1bqkb1r/pp3ppp/2n2n2/2pp4/8/3P1NP1/PP2PPBP/RNBQ1RK1 b kq -,f8e7
4nrk1/r3bppp/p1q1p3/3pP3/3R4/2PQ1NB1/1P3PPP/3R2K1 w - d6,e5d6
r3r1k1/1p1q2bp/p2p1p2/3P1P2/1Q1p4/3B4/PP4P1/R4RK1 b - -,g7h6
6k1/5p2/6p1/4Q3/6KP/6P1/8/3q4 w - -,g4g5
8/1p2pk2/p2p4/P2PbP2/1PR5/r1P2Kp1/8/5B2 b - -,e5c3
k7/1p1K4/1Pp5/P1P5/5b2/8/6R1/8 w - -,a5a6
r1bq1r2/p3ppbk/1pp2npp/2p5/4P3/2NPB2P/PPPQ1PPN/R4RK1 b - -,e7e5
R7/8/5r2/8/8/3n3P/4k1PK/8 w - -,a8e8
6k1/pN5p/2p1rbp1/P1P2p2/r2p1P1P/3RPKP1/8/3R4 b - -,d4e3
2r3k1/p3rpp1/1q1b2R1/1p1Q4/3p4/4P3/PP1BN2P/5R1K b - -,c8d8
8/1p1rr3/p1n4k/2Pp1pp1/3Pn3/P1NQ1P1P/1P2R1P1/6K1 b - -,e4g3
8/2k5/5K2/4P3/3R4/8/8/4r3 b - -,e1f1
5k2/2p1n2q/3p4/p2P4/1p3PP1/1P3K2/P4B2/3Q4 w - -,f3g3:f3e3
1r6/p2b4/2pk1p2/3p3p/PP1PpP2/6P1/2NK3P/4R3 w - -,d2c3
8/6pk/1R6/1pBr1p1p/1P6/2b2KPP/5P2/8 w - -,f3g2:b6b8
6k1/p3Bb2/8/1p1N2p1/2Pbp3/7P/P3KPP1/8 w - -,e7g5
r1bq1rk1/1p2n1bp/2n1ppp1/p1p5/P2pP3/2NP1NP1/1PPB1PBP/R2Q1RK1 w - -,c3b5
1r1k4/1Pn5/4rpB1/4p3/4P1P1/2RP3P/7K/1R6 b - -,e6e7
2k2b2/3n1p2/p3rP2/1q2PQ2/1ppp1B1P/3P2P1/PPP5/R3R1K1 w - -,a2a4
7r/p4pb1/Pp1k4/3pp1P1/1PPP1p2/5KBr/5P2/3R1R2 b - -,f4g3
8/8/4R3/P2Np2k/8/1n6/5PPK/r7 b - -,a1a5
3rr1k1/pp2qpbp/1np3p1/3P4/2Pn1Q2/2N4P/PB3PP1/1R1R1B1K b - -,g7e5
8/3b2bk/r7/pN2p2p/P2nPpP1/3B4/1R4PP/4B1K1 b - -,h5g4
r5k1/1pp2p2/6pp/p7/2B1b3/PP2qP2/1Q4PP/3R3K b - -,e4f5
r1b2k1r/p4p1p/4pqp1/1B1p4/2P5/8/PP1Q1PPP/R4RK1 b - c3,a8b8
2r3k1/pp2p1bp/1npPP1p1/q4p2/3R1B2/1Q3BPP/1P3PK1/2R5 b - -,g7d4
8/p7/1k2p3/4P1pb/P1K5/6B1/4p3/4Rr2 b - -,b6a5
r2q1rk1/1p1bpp1p/p4Qpb/8/8/5N2/PPP2PPP/RN2R1K1 w - -,f6e7
1r6/pp4kp/5Rp1/8/2P1Bp2/1P5b/P4P2/7K w - -,f6f4
8/4k1n1/1p2p3/1Nb3p1/2Pp1pP1/3P1P2/3BP3/3K4 w - -,d1c2
5k2/p2r4/1p3P1p/2ppq3/5RPP/1P3Q1K/P7/8 b - -,e5e6
8/5Q2/6pk/2nB1p1p/p6P/P5PK/1P2q3/8 b - -,e2g4
rn1r2k1/pp2ppbp/1qp2np1/5b2/2PP4/2N2N1P/PP2BPP1/R1BQ1RK1 w - -,f1e1
2rqr1k1/4bp2/pp3npp/3p4/3P1n2/2N2PNP/PP1Q1BP1/4RRK1 b - -,d8c7
6k1/1r6/8/p1pP1N2/4p3/3b4/PP3PPP/3R2K1 w - -,d1d2
6k1/5p1p/P4Qp1/2Pp4/2b4P/4P1P1/2q2PBK/r7 w - -,f6a1
8/r7/2p3pk/p2pNn1p/3P1P2/3KP2R/PP6/8 b - -,a7c7
4r1k1/p2b1pb1/p5pp/2pP4/4n3/2N1BN2/PP3PPP/3R2K1 w - -,c3e4
2R5/1N3pk1/p3p1pp/8/P3Q3/q2nP1P1/1b3P1P/6K1 w - -,c8d8
8/R7/3k4/8/4K3/Prp2P2/8/8 w - -,e4d3
2kr3r/ppp1np2/7p/4n1P1/4P3/P1P5/1P2B1P1/R3K1NR b KQ -,h6g5
1r3rk1/pp3ppp/2p1bn2/4q3/1Q6/2N3P1/PP2PPBP/3R1RK1 w - -,b4h4
5r2/p1kn4/5p1R/2p1pPp1/2PnP1P1/P1NK4/5B2/8 b - -,f8f7
r2r1k2/p5p1/1npb1qP1/4p3/Pp1P1pQP/1P1B1P2/2P1N3/1K1R3R w - -,h4h5
r2qk2r/pbpn1ppp/1p1ppn2/8/2P5/P1Q1PN2/1P1PBPPP/R1B1K2R w KQkq -,e1g1
1k1r4/2q2pb1/p2pb1pr/Pp6/2p1PP1R/2P1QB2/1P1N1KP1/R7 w - -,h4h6
8/3nk2p/8/4pp2/5P2/1P2K3/2P3PP/8 b - -,e5e4
5k2/R7/2r2p1p/4p2N/6PK/3b1P1P/8/8 w - -,h5g3
2kr2r1/ppp3pp/2p1pn2/2b5/4P3/4BP2/PPP1K1PP/RN5R b - -,c5e3
4qrn1/pbp1r1kp/1p1p1pp1/4p3/2PPP3/1PN1NP1P/P2Q2P1/3RR1K1 b - -,e7d7
8/Qp3pkp/2p2rp1/8/4Pq2/1P5P/PKB2p2/5R2 b - -,f4e5
8/5pkp/6p1/8/4RP2/2rr2P1/4R1KP/2b5 b - -,d3e3
2r1k2r/1p2bp2/p1qp1n2/P3pPpp/6P1/2N1BP1P/1PPQ2K1/R2R4 w k -,a1a4
2kr4/pp2bp2/2n5/2Prpbpp/1P6/2P1BN1P/PK1N1PP1/R6R w - h6,d2c4
4r2k/6p1/4qb1p/2Qn2p1/8/5RBP/6P1/5R1K w - -,h1h2
r1b1k2r/p1qnnpbp/3p2p1/2pPp3/Q1N1P3/B1P2N2/P3BPPP/R4RK1 b kq -,e8g8
r2q1rk1/1p3pb1/p1n1b1pp/2pn4/P4B2/R1N2N2/1PP1BPPP/3Q1RK1 w - -,c3d5
1rq1r1k1/pp2bpp1/2np1N1p/2p1p3/1PP5/P1NP2Pb/3BPPBP/1R1Q1RK1 b - -,e7f6
2k5/pp2qp2/2prp1pp/4P3/5Q2/P5P1/1PP2PP1/1K6 w - -,e5d6
4r1k1/pp4bp/3p2p1/N1pP4/P1P2P2/4B1P1/R4K2/3b4 b - -,e8e7
r3r1k1/1pp1npp1/p3q2p/1Pb1P3/P1N2p2/2P2N1P/1R2QPP1/4R1K1 w - -,a4a5
r1bqrnk1/1p3ppn/p1p4p/3p4/1b1P2P1/2NBPPBP/PPQ1NK2/R6R w - -,h3h4
rB5k/1p1R3p/2p1B1p1/p7/2P5/8/Pb3PPP/6K1 b - -,a8b8
r1bq1rk1/p3npbp/1pnpp1p1/2p5/4P3/2PP1NP1/PP1N1PBP/1RBQR1K1 b - -,c8a6
r7/p1p2k2/2ppr1pp/5q2/1PP1nPRB/5Q2/2P4P/6RK w - -,h4e1
8/5bkp/1pBn2p1/1P6/2p2NP1/7P/3r1K2/R7 w - -,f2e3
r3k2r/pppb1ppp/3b4/4n3/8/2N3B1/PPP2PPP/R3KB1R w KQkq -,c3e4
r2q1rk1/p2P1ppp/1p6/2n2B2/2P2P2/P4P2/1b3P1P/2RQ1RK1 w - -,c1b1
2q2r2/pb2p1kp/1p3pp1/4P1Q1/2rP4/8/P3NPPP/3R1RK1 w - -,e5f6
3k4/7R/2n1p2p/4Pp2/N1P2P1r/6K1/4N3/4b3 w - -,g3f3
rn1qkb1r/pp2pppp/2p2n2/5b2/P1p5/5NP1/1P1PPPBP/RNBQ1RK1 b kq a3,e7e6
1r6/3R1nk1/p3p1p1/8/1P6/5N1P/5PP1/6K1 w - -,f3g5
