8/r7/1k3K1p/1p3P2/8/1Bp5/1p5P/1R6 b - -,a7a1
r2q1rk1/1ppb1ppp/1p1p4/3P4/1PPpP1n1/P2B4/2Q2PPP/R1B2RK1 w - -,c1b2
8/p4N1k/5ppP/1p1K4/1P4n1/8/P1P5/8 w - -,d5c5
4r1k1/2q4p/2pnppb1/2P5/4BQP1/2N4P/5P2/6K1 w - -,c5d6
b7/8/pn3k2/Np1pp3/1P2Pp2/P2P4/3NK1P1/8 b - -,d5e4
8/5kp1/4p2p/2pn4/5P2/P1B5/1PP5/2K5 w - -,c3e5
rn3rk1/1R2ppbp/p2p2p1/2pPP3/5Pb1/q1N2N2/P1PQB1PP/5RK1 b - -,d6e5
r4rk1/p1p2pp1/1p3n2/3p1n2/2qP3p/P1P1PP2/3B2PP/1Q2RRK1 w - -,b1f5
3r4/p1k1r3/Pp3p2/1P1Rn2p/1bPpRB1P/8/5P2/5K2 w - -,d5d4
7r/5k2/3n1p2/1b1Pp3/pN1nP3/P2BR3/5QP1/2q2NK1 b - -,c1a3
r1b1r1k1/5pp1/p4q1p/1p1Pn2n/1P1QP3/2N1NP2/3KB1PP/1R5R w - -,d2c2
8/7p/5k2/5pn1/2N5/3NPPKP/8/3n4 w - -,d3f4
r3qrk1/1p3pbp/1Qn3p1/1N2p1B1/4P3/5P2/PP3P1P/2R2RK1 b - -,e8d7
r3kb1r/pp3ppp/1qn1pn2/2pp4/3P1Bb1/2PBP3/PP1N1PPP/R1Q1K1NR w KQkq -,h2h3
rn1qkbnr/ppp2ppp/4p3/3p1b2/3P4/4PN2/PPP1BPPP/RNBQK2R b KQkq -,b8d7
3r2k1/1pb2qpp/p1p2p2/2Pr4/8/1Q2B2P/PP3PP1/2R1R1K1 b - -,c7e5
rnbq1rk1/ppp1ppbp/5np1/3p4/2PP4/2N2NP1/PP2PP1P/R1BQKB1R w KQ -,f1g2
r1bq1rk1/2p2pp1/p1np1n1p/2bNp3/P3P3/1BPP1N2/5PPP/R1BQ1RK1 b - -,a8b8
rnbqr1k1/1pp2pp1/p2b1n1p/3p4/3P4/2N2NP1/PPQ1PPBP/R1B2RK1 w - -,a1b1
r1bqnrk1/1p2bppp/2pp4/p1n5/P1BQP3/2N1BN1P/1PP2PP1/3RR1K1 b - -,h7h6
r4rk1/7p/1p6/4b1p1/p3b3/4B1P1/P1N3BP/2R3K1 w - -,g2e4
rnbqk2r/pp2ppbp/2pp1np1/8/3PPB2/2N2N2/PPPQ1PPP/R3KB1R b KQkq e3,e8g8
6k1/1p3pp1/p7/7p/1P3n2/P1K2P2/5B2/8 b - -,g7g5
r1bq1rk1/ppp3bp/2nppnp1/5p2/3P1B2/P1NBPN1P/1PP1QPP1/R3K2R b KQ -,f8e8
8/p5pk/1q2b2p/8/2p2Q2/8/PPPr1PPP/1R3BK1 b - -,d2d4
8/pp3pk1/1np2np1/N7/1PP3P1/P5QP/5P2/2q2BK1 b - -,b6d7
r3qrk1/ppn3bp/3p1n2/3PpbB1/1P6/P1N2P2/2Q1N1PP/R4RK1 w - -,c2f5
8/5N2/p4p1p/2p2K2/P1Pb2P1/1P1k4/8/8 w - -,f7h6
rnb1k2r/pp2qppp/5n2/3p4/1b1p4/5NP1/PPPBNPBP/R2QK2R b KQkq -,f6e4
r4rk1/pbqn1pbp/6p1/2p1P3/3p1P2/BPN2NP1/P1PQ3P/R3R1K1 w - -,c3e4
5rk1/3nppbp/r2p1np1/q1pP2B1/4P2P/2N5/PP1QNPP1/R3K2R b KQ -,f8b8
r1b1k2r/p2ppn1p/1P6/4n1p1/3NP3/2P3B1/P1P3PP/R3KB1R b KQkq -,a7b6
1r4k1/1rq1ppbp/b2p1np1/2pPn3/8/1PN3PP/P1QNPPB1/1RBR2K1 w - -,f2f4
8/2k3p1/p3Qb2/1pNp4/3P1P2/1P2PK2/Pq6/8 w - -,e6d7
8/1k3p2/3p3p/2bPp1pP/4P1P1/1NR2P2/1PK5/3r4 b - -,d1f1
2r3k1/3r3p/1pqP1Qp1/p2Rn3/8/P6P/1P3PP1/3R2K1 w - -,f6e5
8/8/8/Bp1p3p/2pP1b2/2Pk4/6K1/8 w - -,g2f3
1r3r1k/1R4np/3pB3/p2Pb1p1/q4p2/8/1PPQ1BPP/4R1K1 w - -,b2b3
rn1qkb1r/p4ppp/bpn1p3/2p1P3/2P5/5NP1/PP2QPBP/RNB1K2R b KQkq c3,b8d7
6k1/1p3p1p/4b1p1/pP1p4/n5P1/5B2/3B1P1P/6K1 b - -,b7b6
1R6/5pk1/r5p1/7p/1p3P2/4K1PP/8/8 w - -,b8b4
4n1k1/5p2/1p1p1np1/1NpP3p/2P1p3/4P2P/P3BPP1/6K1 w - -,e2d1
r4rk1/4ppbp/2pq2p1/8/p2P4/1PpNPQP1/5PKP/2R2R2 w - -,b3a4
r2q1rk1/1p2ppbp/p1np2p1/8/1PPnPP2/2NP2PP/6K1/1RBQ1RN1 w - -,b4b5
1b2r1k1/p5p1/8/3nP3/1N1P3n/7P/3B4/3R1R1K b - -,d5e7
8/2k3p1/3p1p1p/2pK3P/3pP1P1/5P2/1rP5/R7 w - -,a1c1
1rbq1rk1/pp2n1bp/2n1p1p1/2pp1P2/5P1N/2PP2P1/PP1N2BP/R1BQ1RK1 b - -,e6f5
4r1k1/5pp1/1p5p/n3P1n1/1B1P4/1p4PP/2r2PBK/1R1R4 b - -,e8c8
r1bq1rk1/pp3ppp/4p3/4n3/3p4/8/PPPQNPPP/R3K1NR w KQ -,d2d4
3r2k1/pp3p1p/1n1P2p1/8/8/BPb4P/P3K1P1/3R4 b - -,c3e5
r3r1k1/p1qnbppp/Bpbpp3/3n4/P2P1B2/2P2N1P/1P1NQPP1/R3R1K1 w - -,f4h2
3r4/1p1r1pkp/2p1pbp1/p7/P1BP1P2/2P2K2/1P3P1P/1R2R3 w - -,e1e2
r2r4/1p3pk1/2n1q2p/p4b2/2P2Q2/PN1p1NP1/1P3KBP/2R5 w - -,b3d4
2nrbb1r/1pk2pp1/p1p1p2p/4P2P/2P1NB2/6R1/PP3PP1/2KR1B2 w - -,d1d8
8/2r2pkp/4p1p1/1b6/2N1P3/1B1K1P2/6Pb/R7 w - -,a1a5
8/1p6/4nB2/1pPk3p/8/PP1K2P1/8/8 b - -,e6c5
4r1k1/p7/P5p1/1RR2pqp/3p1n2/1P1P1Q1P/2P2PPK/8 w - -,c5c7
r2qr1n1/3b2bk/pp1p1np1/2pP1p2/1PP2P1p/PRNB3P/3Q1BP1/1R3NK1 b - -,f6e4
2r3k1/p1r4p/1p2N1p1/nb1pP3/1b1P2P1/1P6/P5BP/3RR1K1 w - -,e6c7
3R4/p5kp/bpp1qpp1/4p3/4P3/1P1nN1NP/P1R2PP1/7K b - -,f6f5
r1r3k1/1bqnbppp/p2p4/4p1P1/1p1NPP2/3PB2Q/PP2N2P/1K1R2R1 w - -,d4f5
r3k2r/pp5p/1qn1bp1b/3pp3/1P1P4/P1NBPN2/4Q1PP/R3K2R w KQkq -,c3a4
8/6pp/5k2/pB3p2/1b3P2/3K2PP/2b5/8 w - -,d3c2
3r4/1pR4p/p2P2pk/4n3/PPBbN3/7P/6P1/7K b - -,d4b6
r3r2k/2p2p1p/pp1bqn2/3p2pn/1P1P2N1/4P2P/P1R1QPP1/3RBNK1 w - -,g4e5
8/R6p/1p1r3k/2pP1prq/2P1pQ2/1P2P3/7P/5R1K b - -,h5h3
r5k1/2pp1rpp/q2np3/2P5/3N1P2/2PQ2P1/4R2P/3R2K1 b - -,d6f5
8/4kp2/2p1p1p1/p3P2p/P2P1P2/2P3P1/2B1K2P/2b5 b - -,e7d7
5k2/R4p2/p4rp1/P1PK3p/5P2/8/6PP/8 w - -,c5c6
2r5/1p1bkp2/p3p3/P2pPp1p/1PrN1P2/2P1R1P1/5R1P/4K3 w - -,d4e2
3r4/5ppk/2p1b2p/4p3/1pP1P3/1N3P2/5QPP/3R3K b - -,d8d1
5r1r/1kn5/1p3p2/p2p4/2pP3Q/P4P2/2P2R1P/2B1R1K1 b - -,h8h4
3q1r2/1p2p1kp/p1rpbpp1/8/2PQP3/1PN5/P4PPP/2R2RK1 w - -,c3d5
r6r/1q2kppp/p2ppn2/8/Pp1bP3/1P1B2P1/2PBQ2P/2KR1R2 w - -,d2f4
r7/PR6/P3bk2/6p1/8/3pp1P1/8/4K3 w - -,b7c7
8/2p5/1p1pk1p1/1P5p/1bPBPP2/3K3P/8/8 w - -,d4c3
2r2rk1/2q1ppbp/p2p2p1/1pn5/2n1PP2/1PP3PP/P3QBB1/2RN1R1K b - -,c4b6
rnbq1rk1/pp2ppbp/3p1np1/2p5/3PP3/2N2NP1/PPP2PBP/R1BQK2R w KQ c6,e1g1
r4rk1/ppnqb1pp/2np4/2pNpp2/1PP1P3/P2P1N2/5PPP/1RBQR1K1 b - b3,f5e4
8/4Rpk1/8/5KP1/5P2/8/6r1/8 w - -,e7e1
6k1/4R3/7p/5p2/2r2K1P/5PP1/8/8 w - -,f4f5
2r3k1/1pqrbpp1/p3b1np/P3p3/2P5/3NBP2/1P2B1PP/R1R1Q1K1 b - -,f7f5
2r2r2/2n1qpkp/bp1b2p1/p1pPn3/P3PN2/1P2B2P/1NB2QP1/3RR2K b - -,c8d8
r1b2rk1/pp4qp/2pbpn2/3p1p2/2PPnPp1/1P1BP1P1/PBNN3P/R2Q1R1K b - -,e4d2
1K6/1P5k/6p1/7p/5Q1P/6P1/8/4q3 w - -,b8c8
8/pp5p/2p3k1/3pPnp1/8/1P3PN1/P1PK3P/8 b - -,f5d4
2r1q1k1/p2bnrpp/1pn1p3/4B3/8/P4NP1/1P3PBP/1QRR2K1 w - -,e5d6
8/1b2p1kp/p5p1/3B1p2/8/1P3P2/P1N2KPP/8 b - -,b7d5
3rk3/pp3p2/2p1b3/Q6P/2P2p2/5P2/PPn1NKP1/1q3B1R b - -,b1d1
3rn3/3N2bR/8/1p1PpkP1/p3N3/P4P2/1P2B1K1/8 b - -,f5g6
5r1k/pp4rp/3p4/2pP4/2Pb2B1/P3pPpP/1P2K1R1/1R6 b - -,f8b8
5rk1/6p1/p5p1/1p6/1npP4/8/PP2B2P/1K1R4 w - -,d4d5
r2q1rk1/5pp1/4bn1p/pN1p4/5Q2/P2B4/2P2PPP/R4RK1 b - -,d8b8
b2qr1k1/2p2p2/1bnp1n2/1p4B1/3pP3/NBP5/1P3PPP/3QR1K1 w - -,d1f3
8/2Q3pk/1N6/p2p1q1p/Pn3p2/5P1P/1P2r1P1/3R2K1 w - -,g1f1
r1q1k2r/pp1bnpbp/2pp1np1/3PP3/2P1P3/2NB3P/PP2N1P1/R1BQ1RK1 b kq -,d6e5
4kN2/1bbq1ppr/p3p3/1pB1Pn2/1P1pNP2/3P4/P4QPP/2R4K b - -,d7d5
2rqk2r/1b1n1ppp/pn2p3/2bp2P1/1p1NP2P/1P2BP2/P1PQN1B1/1K1R3R b k h3,e6e5
6k1/1b3ppp/p3p3/6P1/1p2P3/1Pp3N1/P1Pb2BP/3K4 w - -,h2h4
r2qk2r/pp2bppp/2n1p2n/2ppP3/5Pb1/2PP1N2/PP2B1PP/RNBQK2R w KQkq -,e1g1
Rn5r/1pk1p1b1/6pp/4p3/1PB5/2P1KP2/6PP/R7 b - -,e5e4
4r3/6pk/R5n1/1p5P/6PK/P7/8/8 w - -,h5g6
2r1k3/pb1nqp1p/1p2pn2/2p5/P1PPp1r1/B1P1Q3/5PPP/R3KBNR w KQ -,h2h3
2rr4/1p3k2/p4pp1/4p2p/bbP5/4B2P/PP3PP1/2R1RNK1 w - -,e1e2
r1bq1rk1/pp3ppp/1bn1p3/3n4/1P6/P1N1PN2/1B3PPP/R2QKB1R w KQ -,d1b3
3r2k1/r1p1bpp1/2B1p2p/p2P4/P1q1P3/1P2B1P1/5P1P/R5K1 w - -,b3c4
r2q1rk1/2pnbp1p/p3pp2/3b4/1pPPN3/1P3NP1/P3QPBP/3R1RK1 b - c3,b4c3
2rq1rk1/1b1nbppp/p2pp3/1p4P1/3RP2P/2N1B3/PPP1QPB1/2K4R w - -,e3d2
r1b2rk1/p3Qppp/4p3/3q2B1/8/1P1p2P1/P6P/4RRK1 w - -,e1e5
3R4/pb3r1k/1p2p2p/4B1p1/2P1pPP1/PP2P3/7K/8 b - -,b7c6
8/1pp2kpp/5p2/nr1p4/p2P4/P1P1r1PP/1PRN4/1R4K1 w - -,g1f2
2R2bk1/7p/p7/1p6/5NK1/1P6/P3r2P/8 b - -,e2a2
4k2r/2q1bppp/rpnp4/p3p3/4PP2/1NPQ1N2/PP4PP/R4R1K b k -,a6a8
4rrk1/2pb1pp1/1p1p1n2/p2Pq3/2P1P1Pp/4R2P/PPQN1RB1/6K1 b - -,f6h7
r1r3k1/p4ppp/b4q2/1p1Pp3/2N2P2/1P1Q2P1/P5BP/R2R2K1 b - -,b5c4
2r3k1/1b3ppp/p3p3/1p1n4/3NN3/b1PP3P/3B1PP1/4R1K1 b - -,d5b6
2rq1rk1/1p2ppbp/p1bp1Np1/8/4P3/1P4P1/PBP2PBP/R2Q1RK1 b - -,g7f6
1R1n4/r3kpp1/4p3/p1N4p/1p6/4N1P1/5PBP/r5K1 w - -,g2f1
4k3/7R/3P1b2/1bB2Kp1/5p2/8/8/8 b - -,f6c3
r4rnk/3qb1pp/n3pP2/p2p3P/3P1PP1/P2QBN2/3N1K2/6RR b - -,g7f6
1rb2rk1/4qpbp/p2p1np1/PppP4/5B2/2N3P1/1P1QPPBP/R4RK1 w - b6,e2e4
rn1qkb1r/3ppp1p/b4np1/2pP4/8/1P6/PB2PPPP/RN1QKBNR b KQkq -,f8g7
8/4KB1k/7p/5pp1/8/4B1PP/r4P2/8 b - -,f5f4
r1bqr1k1/ppn1ppbp/3p1np1/2pP2B1/2P1P3/2N2N2/PP1QBPPP/R3K2R w KQ -,e1g1
r1br2k1/p5bp/np2ppp1/2pP4/2P1P3/3B1N2/P2B1PPP/2R1K2R w K -,e1g1
r3k2r/pbpnqp2/1p1pP2p/1N4pn/2Pb4/P5B1/1PQ1PPPP/R3KB1R b KQkq -,h5g3
8/1p2kpp1/2b1pb2/6pP/1PPr2P1/3N1P2/B4K2/3R4 b - -,c6a4
6r1/5k2/7p/pp1pPr2/2pP1pRP/P1Pn2R1/3B2K1/8 w - -,e5e6
8/8/1R2bp2/2Bp1k2/3Pr2P/2P3K1/8/8 w - -,h4h5
5k2/1bn3pp/1pN1p1r1/1P4B1/P2P3P/1B4b1/2R5/1K6 w - -,c2c3
7k/2Qn4/p1B2np1/8/8/1q2N1P1/1P3P1P/6K1 b - -,d7f8
r1b1r3/1p1nqpbk/4n1pp/p1p1p3/2P1P1N1/BPN3PP/P2Q1PB1/3RR1K1 w - -,f2f4
8/3b4/5k1p/pp6/3p1PP1/P2B3P/2K5/8 w - a6,d3e4
4kbR1/6B1/4P2p/p1p5/2P1K3/8/8/3r4 b - -,d1f1
2br2k1/p1B3bp/2p2pp1/1qNp1n2/3P4/1P3N1P/P2Q1PP1/R3r1K1 w - -,a1e1
r5k1/4p2p/3pP1p1/1Rp3B1/5P2/r1b2N2/P5PP/4R1K1 b - -,c3e1
4r1k1/6pp/1p3n2/pP6/3P1B2/1P6/2r3PP/R4RK1 b - -,e8e2
2kr3r/ppqbn1Q1/2n1p2p/2PpPp2/5B2/P1PB1N2/2P2PPP/R4RK1 w - f6,f3d4
r4rk1/pbpnqpb1/1p1pp1pp/8/2PPP3/2N2NP1/PP1Q1PBP/R4RK1 w - -,a1d1
rq1r2k1/1pn2ppp/1B1pb3/N3p1b1/P3Pn2/2N2P2/1PP4P/1K1RQB1R w - -,a5c4
r3qrk1/2n2pbp/p2pp1p1/2pP4/R3PP2/5Q1P/1PP1B1P1/2B2RK1 w - -,a4a5
rr4k1/pp1q1p2/3pnbpp/1p2p3/2P5/3PPPPb/P5NP/1RBQR1KB w - -,b1b5
4r3/P1R2pkp/3p1np1/3q4/1Q2p3/5P1P/6PK/8 w - -,f3e4
8/6rk/1pp1b3/p3p2q/P2pPp1p/1PP2Pr1/5QPN/3R2RK w - -,c3d4
r3k1nr/pppbq1pp/2n1pp2/3pP2Q/1b1P1P2/2NBB3/PPP3PP/R3K1NR b KQkq -,e7f7
8/6k1/2p5/N7/p4P2/6P1/1r2K2P/8 w - -,e2d3
r4r2/3n1pk1/p2Ppn1p/1p1b4/2p3PB/2P1RP2/PPB4P/R5K1 b - -,f8g8
k7/1p6/p5q1/8/8/2P5/PPKQ4/8 w - -,d2d3
3k1r2/7Q/3q4/4r3/6B1/1P2p2P/1P4P1/4R2K w - -,h7b7
6k1/1ppbr1pp/p2p1p2/P7/2nN4/2B2P2/1PP3PP/R5K1 b - -,c7c5
r4rk1/1q3p1p/1nNp2p1/3Pp3/2p1P3/Pn6/1PQ1NPPP/1R2R1K1 b - -,b3c5
2k5/ppq2p2/6p1/2pP3r/2P1rP2/8/PP3QKP/R4R2 b - -,e4c4
1kb3qr/pr3n2/1p2p1pp/n2pPp2/P1pP3P/Q1P2NP1/2PBKPB1/6RR w - -,d2c1
6k1/p4ppp/br2p3/2p1B3/2P5/P3PP2/4K1PP/2R5 w - -,e2d3
6k1/1b1q1p2/p2ppQp1/1p4Pp/4PP1P/3P1N2/PP6/1K6 w - -,f3d4
8/p7/4r1kp/7n/1R2r1p1/2PQB2P/q7/6RK b - -,g4g3
1rbq1rk1/pp1n1ppp/2pbpn2/3p4/2PP4/5NP1/PPQNPPBP/R1B2RK1 w - -,e2e4
6k1/6p1/N3n2p/P7/1p3P2/3R3K/r5PP/8 w - -,g2g3
rnb1kb1r/pp1ppppp/5n2/q1p5/3P4/2P2N2/PP1NPPPP/R1BQKB1R b KQkq -,c5d4
