8/8/p1k1b3/2b2P2/1pP5/1P4Kp/3BN3/8 b - -,e6f5
1k4r1/1p3pr1/p2bp3/P2pNp2/bP1P1P1p/2P2R1P/5RP1/5BK1 w - -,f2a2
8/2p2kp1/3p3p/4p3/4P3/1RP3KP/6P1/2r5 w - -,g3f3
r1bq1rk1/pp1nppbp/2pp1np1/8/4P3/2PP1NPP/PP3PB1/RNBQK2R w KQ -,c1e3
8/8/2k5/8/1PP5/7r/2KR4/8 w - -,d2d3
1kr4r/1b2b2p/p2pPp2/1pq1p2Q/4P3/2N3P1/PPP4P/2KRRB2 w - -,h5e2
r1b2rk1/p1p2pp1/2np2qp/1p6/4PR1P/1BPPNQ2/PP4P1/R5K1 b - -,c6e5
5rk1/pb3pbp/1p1qp1p1/3nN3/B2P3P/P4Q2/1P3PP1/2B1R1K1 b - -,b7a8
2rr3k/pp3qbp/2ppb1p1/5p2/PPP3n1/5NP1/1B2PPBP/Q1RR2K1 b - -,g7b2
r6r/pp1nbkp1/2p1pn2/6B1/3P3P/2N5/PPP2PB1/2K1R2R b - -,a8e8
5k2/p2r1p2/6p1/7p/8/KPnN4/2P3PP/5R2 b - -,f8g7
8/p4pk1/3Nppp1/n7/1P6/7P/5PP1/6K1 b - -,a5c6
r4rk1/1bq2ppp/ppp2n2/2b2N2/8/1P4P1/PB2PPBP/2RQ1RK1 b - -,f8d8
r1b2r1k/pp2q3/1np1p2P/3pR3/6P1/1PNBB3/P1PQ4/2K3R1 b - -,c6c5
2r5/4k3/p4pp1/3P3p/b6P/4P1P1/6K1/R7 w - -,a1a4
r4rk1/p1pb1p2/3n2pb/1p1Pp1qp/4P3/1P1BP1N1/P2Q1RPP/3N1RK1 b - -,g5g4
6k1/1p6/4KPp1/1n1p4/pP1P2P1/5N2/5P2/8 b - -,a4a3
8/3k4/3p4/pP2p3/Pr2Pp1p/2K2P2/R6P/8 w - -,h2h3
3r2k1/5p2/4pbp1/2B4p/Q7/6P1/5PKP/8 b - -,g8g7
5rk1/1b1R1ppp/pp2pb2/8/1Pr5/2N2NP1/P3PPBP/2R3K1 b - -,b7f3
8/7p/2b3pP/p2pk1P1/1p6/1Pn1K3/2B5/8 w - -,c2g6
5rk1/6p1/p7/3Q3q/1PP5/P4N2/5pKP/3R4 b - -,h5d5
6k1/8/1Q4K1/p1p4p/2P5/1P3P1q/P7/8 b - -,h3g3
2r4r/3bk2p/p2q1b2/1p1p3B/8/8/PPP2QPP/1K1R3R w - -,h1e1
5r1k/ppp4p/4Rn1b/2pP1P2/2P3p1/P1NB1q2/1P2Q2P/1K6 w - -,e6e7
r2k2n1/6Qp/3N1pp1/8/p2q4/B7/2RK1PPP/8 w - -,d2e2
r3nrk1/p2pq1pp/bp2p3/2pPPp2/2P2P2/P1PB3N/4Q1PP/2R2RK1 b - -,e6d5
8/7k/1q2QKp1/7p/5P1P/6P1/8/8 b - -,b6d4
rq2kb1r/1b1n1ppp/p2pp3/1p1P4/5B2/1B3N2/PP2QPPP/R2R2K1 b kq -,e6e5
8/Q4k2/4pp2/4n2p/2qp2pP/6P1/5PK1/8 b - -,f7g6
2Q3nk/p5bp/np6/8/3PR3/q7/5PPP/2R3K1 w - -,e4e8
5k2/3b1p1p/4p1p1/3nPnP1/1p1P1PN1/8/1PQ3KP/r7 w - -,c2c5
rn3rk1/ppqb1pbp/3p1np1/2pP4/P4B2/1QN2N1P/1P2PPP1/R3KB1R b KQ -,b8a6
1b6/p6n/1pB3k1/2pP2P1/2P2PK1/1P6/P7/8 b - -,b8d6
8/p4rk1/1p1pR3/5Ppp/P5P1/5P2/1PP4P/6K1 w - -,e6d6
r1bq1b1r/pp1nk1p1/2p1pnBp/8/3P4/5N2/PPP1QPPP/R1B1K2R b KQ -,d8a5
2Q5/pp2qk2/3p2p1/3Pp1p1/1P4P1/5P2/P5K1/8 w - -,g2f2
1qr2n1k/1p1b1n1p/1P1p2pb/3Ppp2/4P3/BQ1N1PP1/3N2BP/4R1K1 w - -,d2c4
8/1b6/p3p3/4kpp1/P1B4p/1PN2P2/2n2KPP/8 b - -,c2d4
4k3/1p1rn3/p2p2q1/B2Ppp2/2P5/7Q/PP3PP1/2KR4 w - -,d1h1
2r2rk1/p1qnbppp/bpn1p3/2ppP3/5B1P/2PP1NP1/PP2QPB1/R3RNK1 b - -,f8e8
r1bq1rk1/ppp3b1/3p3p/3Pnp2/2P1p1n1/2N1B1PN/PP2BP1P/R2QR2K w - -,h3f4
4r1k1/1q1nb1p1/1p2p2p/p2pPp1P/P2P1P2/4NQP1/1n1B3N/2R3K1 w - -,g3g4
8/1p2B1bk/p2nQ3/3Pq3/5pP1/1P3B1K/7P/8 b - -,e5c3
r2qrbk1/p1n4p/1p1pP1p1/2p3N1/Pn3B2/1Q4P1/1P3PBP/R4RK1 b - -,d6d5
5r2/4ppbk/7p/p2rPN2/3P4/3b4/1B3RPP/4R2K b - -,d3f5
r2q1rk1/ppp2pbp/6p1/QPPp4/4n3/2p1PB2/P4PPP/R1B2RK1 w - -,f3e4
3r2k1/p1r2pp1/Qn1q3p/2pp4/3N4/P1R1P3/1P3PPP/2R3K1 b - -,d6g6
2r5/6p1/8/2PN1Pk1/pPn3Pp/3K3P/P2p4/6R1 b - -,c4e5
4r1kb/pp2rN1p/2n1P1pP/8/4RPB1/8/6K1/4R3 b - f3,h8f6
3r1nk1/Q7/4p1pP/1p3p2/7R/5P2/6R1/4q2K w - -,a7g1
r2q1rk1/4nppp/1p1bpn2/p2pN3/2Pp1P2/PP2P2P/1B1NQ1P1/R4RK1 w - -,e3d4
r2qrnk1/pb2bppp/1pp2n2/3PN3/3P1B2/1PN3P1/P4PBP/2RQ1RK1 b - -,c6d5
r7/R4kp1/2p2b2/2B5/8/1PP5/P1KP2p1/RN5r b - -,a8a7
5k2/5pp1/7p/3R4/ppr5/1P6/P2K1PPP/8 b - -,a4b3
8/4pbkp/6p1/3N4/8/1P5P/P2r1PP1/2R3K1 b - -,f7d5
6k1/4pp1p/r1n3p1/1Np1P3/2P5/1PQ4P/5qP1/R6K b - -,a6a1
4r1k1/1b3pp1/p6p/1q1pr3/5N1P/4P1Q1/5PP1/2RR2K1 w - -,c1b1
rn1qk2r/pp2bppp/3p1n2/3Pp3/2N1P1b1/B2B1N2/2P2PPP/R2Q1RK1 b kq -,e8g8
2rq1rk1/1pp1bppp/p3p1b1/4B3/2Q5/3P2N1/PPP2PPP/R3R1K1 b - -,c7c5
2k3r1/pp3RBp/2pr2p1/3P4/2P5/8/PP3PPP/R5K1 w - -,d5c6
q1rbk2r/1b1n1pp1/p2p1n2/1p1N3p/4PpP1/P2QBB1P/1PPN4/1K1R3R w k -,e3f4
6k1/r4pb1/7p/PR2n3/3pB3/3P2P1/7P/5R1K b - -,e5g4
r4r1k/1ppb1pp1/3p4/p1bP2N1/5PP1/P2BP2P/1P1BK1n1/R6R b - -,a8e8
r4rk1/p4ppp/4nn2/2p5/8/P3PN2/1Bq2PPP/R1R3K1 w - -,c1c2
r3k2r/3nbppp/q1p1p1n1/3p4/PN1P4/4PN1P/5PPB/1R1Q1RK1 b kq -,e7b4
2rr2k1/qp3pp1/p1npbn1p/4p3/2P1P3/1PNQ3P/P1NRBPP1/3R2K1 b - -,c6e7
6b1/2r1k1p1/1r2p1P1/4N3/5P2/p1PB4/KP3R2/8 w - -,e5c4
8/8/P1R3p1/r1b1pk1p/2P4P/1P6/4K1P1/8 b - -,e5e4
r2qk1bb/ppp1p3/2n3p1/5pN1/3PpB2/4P3/PPP1BPP1/R2QK3 w Qq -,e2h5
2br2k1/r4ppp/pp6/8/P2nB3/1P4N1/5PPP/2R1R1K1 w - -,e1d1
r4rk1/1n1q1ppp/p1pp1b2/1p1Pp3/4P3/2P1BN2/PP3PPP/R2Q1RK1 w - -,d5c6
r3k2r/pp1q1p2/2n1pP2/3p4/3P2Q1/N7/PP3PPP/2RR2K1 w q -,c1c3
2rqr1k1/1b1n1pbp/p1pBpnp1/1p6/2BP4/1PN1PN2/P3QPPP/2RR2K1 w - -,c4d3
r1b2rk1/pp2bppp/2p1pn2/q7/3P4/1QPBPNBP/P4PP1/R3K2R b KQ -,f6d5
r2r1k2/1pp1ppbp/1p6/3P1p2/2P5/P1NR4/1P3PPP/3R2K1 w - -,d1d2
1r1q1rk1/2p1ppbp/pp4p1/P2P4/R7/1QN1PP1P/1P2K3/3R4 w - -,b3a3
r2q1rk1/p3bppp/1p2p3/2np4/1n1N1P2/1P1PPN2/PB4PP/R2Q1RK1 w - -,f3e5
3rrqk1/b1p2pp1/B5np/4pN2/3P2P1/2P1B3/bP3PP1/2QR1RK1 b - -,a2b3
rn1q1rk1/pb2bppp/1pp1pn2/3p4/2PP4/1P3NP1/PBQ1PPBP/RN3RK1 b - d3,b8d7
6k1/1p6/p1p3PR/Pr1n4/1PKB4/8/8/8 b - -,b5b4
5R2/8/8/8/4p1r1/4k1p1/6K1/8 w - -,f8a8
5b2/3N1p1p/5Qpk/8/4P3/1p1P3P/2q2PPK/8 w - -,f6h4:d7e5
1R6/r4k2/3B4/4pKp1/4Pb2/5P2/8/8 w - -,b8b5
1r2r3/pp1kq1p1/n1pb1n1p/8/3PpN2/PQN5/1P1B1P1P/2KR3R w - -,h1e1
1r4k1/1p1rqp2/p3b1p1/PPp1Q2p/2P5/6PP/3R1PB1/3R2K1 b - -,b8d8
1rbq1rk1/B2nbppp/p2p4/1p1N1P2/2n2PP1/7P/PPP1Q1B1/1K1RR3 b - -,e7h4
7r/8/3k4/1pR5/2b5/6R1/2P3KP/8 w - -,c5f5
5nk1/p4ppp/1p2p3/q3P3/2Pr2PP/4R3/P3QPB1/6K1 w - -,a2a3
3rr1k1/2pq1pb1/1pn3bp/pQ2p1p1/P3NnP1/2PPBN1P/1P3P1K/R3RB2 w - -,f3d2
8/2n5/pr1p1k1p/2pP2p1/2BbP3/RP3KP1/7P/3N4 w - -,d1e3
6k1/8/2r4p/p6P/8/3N1Pp1/PP1K2P1/8 w - -,f3f4
8/1p3p2/pkb1pP2/4P2p/1P3RrP/2N5/P1P2Rr1/2K5 w - h6,f2g2
3rn1k1/2qrbppp/pp2p3/2p3P1/PnP2P2/2NPP3/1B1R2QP/3RN1K1 w - -,c3e4
rn1qr1k1/ppp2ppp/5n2/3P1b2/4p3/2P1PPP1/P1QP2BP/R1B1K1NR w KQ -,f3e4
8/8/1p1B1b2/p2P1k2/P2p2b1/1P6/3N1K2/8 b - -,f6h4
r1bq1rk1/1pp2pbp/p1nppnp1/8/2PP4/P1NQ1NP1/1P2PPBP/R1B2RK1 b - -,e6e5
4r1k1/p1q2pPp/8/2p2NP1/1p1pP3/4n3/PPPQ3P/2K1R3 w - -,f5e3
N1b3kr/pp1nb1pp/3p1n2/4p3/3PP3/2N5/PPP2PqP/R1BQKR2 b Q -,e5d4
2k1r3/3r1p2/b2b1pp1/2pP4/1pp1P1P1/q1P1NP2/P3N3/K2RQ2R w - -,e1d2
5bk1/p1R5/7p/4B3/2P5/6P1/P4PKP/2r5 w - -,c7a7
4b2R/3rk1p1/p1p2pP1/2p1pP2/2P1P3/1P6/P1B5/4K3 b - -,e7d8
8/5p2/8/1pk4B/pbb1PP1P/2N5/3K4/8 w - -,d2c2
4r3/5k1p/p4pp1/p4P2/3Bn1P1/2P1N3/1P2K2P/8 w - -,e2d3
1rbq1r2/p3n1kp/2n1ppp1/2pp4/1p2PP2/3PN1PN/PPPQ2BP/R4RK1 w - -,d2f2
r2q1rk1/2p3pp/1nR1p3/1P1p1p2/pP1P4/P3PQ2/1B3PPP/5RK1 b - -,b6c4
5k2/5p2/7p/p2r4/2R5/4P3/2K2PPP/8 w - -,g2g4
2rB2k1/pb3p1p/3pp1p1/1Bp1b3/8/2P2q1n/PPQ2PP1/3R1R1K w - -,f1g1
6k1/5p1p/4pqp1/8/2r1B2P/6P1/2PQ1PK1/8 w - -,e4d3
r2qr1k1/pn1p1ppp/1p2p3/1Nn5/2P5/B1P1Q1P1/P2RPP1P/R5K1 b - -,d7d5
r2q1rk1/2pp2pp/np2pb2/p4p2/2PPb3/1P3NP1/PB1QPPBP/2RR2K1 w - -,a2a3
r2q1rk1/p2n1p1p/2np2p1/1pp1pP2/4P1N1/2PP2PP/PP3QB1/2R2RK1 b - -,f7f6
r1r3k1/pb1nq1pp/3pp3/2p2p2/1PP1nP2/P2NPB2/1BQ3PP/R4RK1 w - -,f1b1
3b4/3k1bpp/Bp3p2/4r3/PR2P3/2N3P1/1P3K1P/8 w - -,b4d4
rnb2rk1/1pq1ppbp/p2p1np1/8/3NP3/2N1BQ1P/PPP2PP1/2KR1B1R w - -,g2g4
5rk1/1b6/p3p2p/1p2Pn2/1NpP2p1/6P1/PP4P1/1B2R1K1 w - -,b1f5
r2q1rk1/ppp2ppp/2n5/3pP3/3P2b1/5N2/PP1QBPPP/R4RK1 w - -,b2b4
4r1k1/5pp1/p1q1p3/1b5p/1P2P3/P2p2R1/3Q1PPP/1B4K1 b - -,e8c8
8/p5pp/2n1k3/2p2p2/2P2P2/PP2K2P/6P1/8 b - -,c6a5
1qr3k1/6b1/5pp1/4p3/2npP1P1/7P/Q4RB1/4B2K b - -,g8h7
r3r3/p2R3p/4p1pP/1pk5/2n5/2P5/P4PP1/2B1R1K1 w - -,d7h7
5rk1/1p2r2p/3p4/2nP2p1/n1P1Pp2/P4RP1/2BN3P/4R2K b - -,f4g3
r2q1rk1/1p2p1bp/p1nppn2/2p5/P3P2Q/2N2N2/1PP3PP/R1B2RK1 b - -,c6d4
r2q1rk1/pb2bpp1/2p2n1p/1p1pP3/7B/2NBP3/PPQ2PPP/R4RK1 b - -,f6d7
1R6/p2r1kpp/b2b1p2/8/1P1p4/5N2/P2B2PP/7K w - -,b8h8
r2q1rk1/pp3pn1/2P3pp/2PNP1n1/8/7P/PP2Q1BK/R1BR4 b - -,d8a5
6k1/8/2r1nBp1/p3P3/4N3/1P6/P6P/5RK1 b - -,c6c2
r2qk2r/pppn1ppp/5n2/2bPp3/2P1P3/P1N2Q1P/1P1B2P1/R3KB1R b KQkq -,e8g8
3r1rk1/pp1qbppp/2npbn2/4p1B1/4P3/1NN3P1/PPPQ1PBP/R2R2K1 w - -,d2e2
rnbq1rk1/pppp1pbp/4pnp1/8/2PP4/2N1PN2/PP2BPPP/R1BQK2R b KQ -,d7d6
5rk1/5ppp/n1N1pb2/N2n4/5P2/1P4P1/1B5P/2R3K1 w - -,b2f6
1rbq1rk1/2pnppbp/p4np1/3P4/P3NN2/2P1BP2/BP1Q2PP/R4RK1 b - -,d7e5
rnbqk1nr/ppppppbp/6p1/8/2PPP3/8/PP3PPP/RNBQKBNR b KQkq c3,c7c6:c7c5:d7d6:b8c6
r1bqr1k1/p1p2pb1/2pp3p/6PB/2P1n2B/2N5/PP4PP/R2Q1RK1 b - -,e4c3
8/3Pk3/8/p1pNn1p1/P1P5/1P2P1K1/8/8 b - -,e7d7
8/R3b1pp/4k3/3n4/1pnP4/5P2/PP3BPP/5K2 w - -,a7a6
6r1/2p1nkpR/1r2q3/1Q1pPpR1/1B3Pp1/P7/1P6/1K6 w - -,b5c5
8/8/p4k2/7P/3b1K2/8/P7/2B5 b - -,d4c3
r1bqk2r/1p3pbp/p2p2p1/2pPn2n/P3P3/2N1BPN1/1P1Q2PP/R3KB1R b KQkq -,h5g3
r1b1k2r/ppq2ppp/2np1n2/4p3/3pP3/1P1B1N1P/P1PNQPP1/R4RK1 w kq -,f3h2
1r4k1/2q1bppp/p7/3Pp3/6b1/1N2B3/1P1Q2PP/5RK1 w - -,f1c1
2kr1bnr/ppp2ppp/2n5/3qp3/3P2b1/2P1BN2/PP2BPPP/RN1QK2R b KQ -,e5e4
1rnqr1k1/1p1b1pb1/p2p1np1/P1pP3p/2N3P1/2N4P/1P2PPB1/R1BQ1RK1 w - h6,g4g5
rnbqkb1r/1p2ppp1/p1p2n1p/3p4/2PP3B/2N2N2/PP2PPPP/R2QKB1R b KQkq -,e7e6
r4k2/r4pbp/2qp2p1/2pN4/p1P1P3/Rp1P3P/1P1Q1PP1/R5K1 b - -,a7a6
rnbq1rk1/1p3pbp/p2p1np1/2pP4/P7/2N2N1P/1PP1BPP1/R1BQ1RK1 b - -,f8e8
8/8/P1R3pk/4rp1p/7P/P5P1/5K2/8 b - -,e5a5
1rr2nk1/1p1b1ppp/p2p1n2/q2P4/P2bP3/2NN1PP1/1BQ4P/R2R1B1K w - -,a1a3
r3r1k1/1bqn1p1p/pp4pb/2p1p1N1/P2P1P2/BPPB4/2Q1R1PP/4R1K1 w - -,c2d2
8/r7/8/7P/8/6K1/p1k2P2/R7 b - -,c2b2
7r/8/p4p2/4p3/4P3/R7/PP1K1k2/8 b - -,f6f5
2b5/p4Rkp/1p6/3p1PP1/P2Np2P/1P2P3/3K4/8 b - -,g7f7
2r1rbk1/1pqn1pp1/2p1pn1p/p2p4/P3P3/1QPP1BNP/1P1B1PP1/3RR1K1 w - -,d3d4
3r2k1/pp5p/4q1p1/2n2p2/8/3P2P1/3QP1BP/4R1K1 b - -,b7b6
2r2bk1/1R5p/8/4BK2/1prp1P2/6P1/8/3R4 b - -,c8d8
rnbq1rk1/pp2ppbp/3p1np1/8/2PP4/2N2N2/PP2BPPP/R1BQ1RK1 b - -,b8d7:c8f5
2bk3r/1p2pp1p/1p4p1/b2P4/4P3/4B3/P4PPP/3K1B1R w - -,f1c4
r2q1rk1/pp3pp1/2pb1nbp/2n1p3/6P1/2NP3P/PP1NPPB1/R1BQ1RK1 w - -,d2c4
4rrk1/p2q2np/1p3pp1/n1pP4/2b2B2/2PB1QN1/P5PP/4RRK1 w - -,d3c4
k6r/p1nqppb1/Prp1b1pn/N2pP2p/1NPP4/4B2P/3QBPP1/R4RK1 b - -,d5c4
2rqn1k1/1b1n1rbp/3p1pp1/1p2p3/1N2P1P1/4B1NP/1PPQ1PB1/R3R1K1 w - -,g2f1
r5k1/1b5p/1pp1p2r/p2pPp2/2P2p1q/1P2PB1P/PQ3PP1/2R2R1K b - -,f4e3
rnbqk2r/pppp1pp1/5n1p/4p3/1bP5/2N3P1/PPQPPPBP/R1B1K1NR b KQkq -,e8g8
b1rrq1k1/p4ppp/5n2/PPN5/2B1pP2/B2nP3/4Q1PP/2RR2K1 w - -,c5d3
2r2rk1/p3pp2/1p1q2p1/4P1Pp/P3pN1P/1Q4P1/1PP5/2R3K1 b - -,d6c5
3R2k1/1p3pp1/1qp1bb1p/p3p3/P3P3/1PN2B2/2P1QPPP/6K1 b - -,b6d8
8/1Q4k1/p2p1p1p/P1qPnP2/4P1PP/2p5/7K/3B4 b - -,e5f7:g7f8
5b2/pp5p/7P/1P2pkpn/P2p2N1/3P2P1/4KP2/2B5 w - -,e2f3
r1bq1rk1/pppnppbp/5np1/8/4p3/2NP1NP1/PPP2PBP/R1BQ1RK1 w - -,d3e4
5nk1/2r3p1/pq1b3p/1p1pNQ2/3Pn3/1P6/P5PP/B1R2R1K w - -,c1c7
r1b1k2r/1pq2ppp/p1n1p2n/3pP3/1P1p1P2/P2B1N2/2P3PP/R1BQK2R w KQkq -,e1g1
8/4q1pk/4p2p/5p2/3P4/3QPP1P/4R1PK/5r2 w - -,d3a6
r1bqkb1r/pppnpp1p/6p1/8/2B1P3/2P2N2/PP3PPP/R1BQK2R b KQkq -,e7e6
r1bqr1k1/pp3ppp/2p2n2/3pn3/2PP4/P2BP3/1P1Q1PPP/R1B1R1K1 w - -,d4e5
r1b1r1k1/2pq2pp/pp1p1pn1/3P4/1PPBP3/P1N3QP/5RP1/5RK1 b - b3,a6a5
1k1r1r2/1p3ppp/p3p1b1/2R1N1P1/1n1P1N2/1P4KP/1P3P2/3R4 b - -,g6f5
q4bk1/5pp1/p3r2p/1p1n4/1P1B4/PQ3P1P/3N1KP1/2R5 w - -,d2e4
8/5pk1/1b1p4/3P1p2/1P2p1n1/8/4BPK1/4B3 w - -,g2g3
rnbqkb1r/1p3ppp/4pn2/pPp5/2Pp4/5NP1/P2PPPBP/RNBQK2R w KQkq c6,d2d3
r5k1/1pp2pp1/3p3p/p2nrB1P/6RQ/5q2/PPP5/1K5R w - -,h1g1
r1r3k1/pp3p1p/6p1/3qp3/Q2p4/3P1PP1/PP1RP1KP/R7 w - -,d2c2
3rr1k1/pp2qnbp/2ppNnp1/5p2/2P5/1PN1P1P1/PB1Q1PBP/3R1RK1 b - -,e7e6
3r2k1/5p2/3pq1p1/p2R3p/1p5P/1P4P1/P2QPP2/6K1 b - -,e6e4
3k4/1p6/4bppp/p3p1P1/2P1Pn1P/1P2K3/8/3BN3 b - -,h6g5
r4rk1/1bppqppp/p4n2/np2b3/8/1PN1PN2/PBP1BPPP/R2QK2R w KQ -,f3e5
8/1r4kp/1q1p2p1/8/1p1bb3/PQ4P1/5B1P/1R1N2K1 w - -,b1b2
5n2/5B2/3k3p/4p1p1/4P3/4K1PP/8/8 b - -,f8d7
r1b1k1nr/ppp1q1pp/2n1pp2/3pP3/1b1P1P2/2N1B3/PPP3PP/R2QKBNR w KQkq -,f1d3
1rbq1rk1/R2n1pbp/3p1np1/1p1P4/2p1P3/2N1BP2/1P1QBNPP/R5K1 b - -,d7c5
r1b1r1k1/pp3pbp/2p2np1/2n1p1B1/2P1P3/2N2N1P/PP2BPP1/R3R1K1 w - -,e2f1
r4rk1/2qn1pbp/p1b3p1/1p2p3/4P3/P1NBB1QP/1PP3P1/3R1RK1 b - -,d7b6
5q2/7p/p6k/4p1p1/2P5/1P1KQB2/P7/8 w - -,c4c5
2r2rk1/p5pp/b4p2/1qbN1P2/4p1Q1/P3P3/1B1R3P/4R1K1 b - -,g8h8
r1b2rk1/pp1nq1pp/2pbp3/3p4/2PPp3/1P3NP1/PB1QPPBP/R4RK1 w - -,f3e5
