8/1n4n1/7R/2k4p/4NP2/3K4/7P/8 b - -,c5d5
7r/1r2pp2/1pRp1k2/p2P1p1p/P1P2P2/1P3KPP/6R1/8 w - -,h3h4
2r2k1r/1p1b1pp1/p2qpn1p/3p1P2/1P1P3Q/P1NB4/2R3PP/5RK1 b - -,e6f5
k6r/1p3n1P/p3qp2/2p5/3p1Q2/3B4/P6R/5K2 b - -,f7g5
8/R7/5kp1/7p/4pPP1/3rB3/4K3/8 w - -,a7a6
2r5/1p1rb3/p3k1p1/P1PnP1pp/5pP1/1R3P1P/1P1N1BK1/3R4 w - -,d1c1
r2qr1k1/p2bbppp/2p2n2/3p2B1/3N4/3B1Q1P/PPP2PP1/R4RK1 w - -,f1e1
2nr2k1/p4pp1/2p4p/8/8/1P2QB2/q4PPP/4R1K1 w - -,f3c6
r3kb1Q/pp3p1p/8/8/4q3/8/PP1PNPPP/n1BK3R b q -,a8c8
r3r1k1/1p3p1p/pnn3pB/1B1b2N1/8/5P2/PKP3PP/3RR3 w - -,b5f1
6q1/1p4rn/2k1n3/p2pP1B1/P1pP3P/2P4Q/1P3RP1/6K1 b - -,e6g5
r7/1pb3kp/p1n3pq/5b2/8/1QP2NP1/PP3P1P/4RRK1 w - -,b3b7
r1r3k1/1np1qpp1/p2p4/Pp1Pp2p/1P2P3/2QP1N1P/5PP1/R1R3K1 w - -,d3d4
4B3/8/1p6/5p2/P2kp3/2n3P1/8/4K3 b - -,d4e5
r1b2rk1/ppn2nbp/3qppp1/3p4/2PP4/1Q1B1N1P/PP3PP1/R1B1RNK1 w - -,c1d2
r4rk1/p2nqppp/1p6/4pN2/8/P3P3/1P2QPPP/R4RK1 b - -,e7f6
7R/2p5/2Rb1k2/pr3pp1/8/1P2P3/2K2P2/8 w - -,h8h7
r4r1k/pp4pp/2b1pp2/2b5/2B3nB/5N1P/PPPRKPP1/3R4 b - -,g4h6
5rk1/4qpbp/p2p2p1/n1pP4/5P2/6P1/P2NP2P/1RQ2RK1 b - -,e7e2
r2q1rk1/pp2bppp/1nnpp3/7b/2PP4/1PN1BN1P/P3BPP1/R2Q1RK1 b - -,d6d5
8/ppp1R3/3p2pk/3P1p1r/2P4n/1P3PR1/P2q2P1/5QK1 b - -,f5f4
1r4k1/6pp/3Np3/5p2/R7/2Pn4/1r5P/R6K b - -,h7h6
r4rk1/pb2qpp1/1pn1pn1p/2ppN3/3P1P2/2PBP3/PP1NQ1PP/3R1RK1 b - f3,a8c8
rn1q1rk1/pbp2ppp/1p1ppn2/8/3P4/1P1BPN2/PBPb1PPP/R2Q1RK1 w - -,f3d2
8/2k3pp/r1b2p2/p7/P1RKP3/2R3P1/2P4P/8 b - -,c7d6
5r2/p3prk1/1p4p1/1P1pP3/P2n1q1p/R4N1P/3Q1RP1/5K2 w - -,e5e6
1rbq1rk1/p3ppbp/2np1np1/2B5/2P1P3/2N2P2/PP1Q2PP/2R1KBNR w K -,c5e3
6r1/4b1p1/rN1Np1kp/2PpPp2/6n1/4P1P1/2R4P/5RK1 w - -,f1b1
kbbR4/pp5p/5p2/1P6/P7/8/3Q1PP1/1q3K2 w - -,f1e2
r5k1/pp1qrpbp/2pp1np1/8/4PP2/PPN1BQ2/1P4PP/2R1R2K w - -,c1d1
r6r/5pk1/p1q1pb1p/1p2Np1Q/8/2P5/PP3PPP/R3R1K1 b - -,c6c7
8/6pk/7p/B4p2/2pn3P/3r2P1/5PK1/4R3 b - -,c4c3
2r2r1k/pp2q2p/2np4/1B1Qbp1P/5Bp1/1P2P1P1/P4P2/2R2K1R w - -,b5c6
5r2/pp4rk/2np1q1p/2p1bp1Q/2P2R1n/2BPP1N1/PP5P/1R4KB b - -,g7g4
rn1q1rk1/ppp2ppp/3b4/3p1b2/3Pn3/2NB1N2/PPP2PPP/R1BQ1RK1 w - -,f1e1
2rr1bk1/pb4pp/4pn2/2ppN3/8/1P2P1P1/PB3PBP/3RR1K1 w - -,g2h3
r4rk1/5pp1/1np1p1qp/p7/2PPR3/P4PP1/3B3P/1RQ3K1 b - -,f8b8
5k2/6p1/8/5r2/7p/1P2P2P/2B1K3/8 b - -,f5g5
6k1/2p2n2/1p5p/p2B2p1/2P2q2/1P6/P5K1/Q7 b - -,g8h7
r7/p4kp1/3p1pp1/2n1p3/6Pr/1PP5/P2BRP1K/5R2 w - -,h2g3
8/2p4p/p4Qpk/2R5/5Pq1/4P3/5P1P/4K3 b - -,g4g1
r2qkb1r/pp3ppp/2p1pn2/8/Pn1PP3/2N2N2/1P2QPPP/R1B2RK1 b kq -,a7a5
r2r2k1/1p2pp1p/1p2bbp1/n7/3P4/P1N1P3/1P1NBPPP/R3K2R b KQ -,a5b3
4k3/2b5/1nNp2pp/B1pPp3/2P1PpP1/1K3P1P/8/8 w - -,a5b6
8/8/b1k3p1/5p1p/p2K1P1P/6P1/2N5/8 w - -,c2a3
rnq1k2r/4ppbp/3p4/2pb2B1/8/1P3NP1/P3PPBP/R2Q1RK1 b kq -,c8b7
5rk1/4b1pp/p3p3/8/3Nb2P/2P3N1/P5P1/3R2K1 b - -,e4d5
8/8/4q1k1/3b2p1/8/6Pp/2Q2P1K/8 b - -,d5e4
r1b2rk1/pp3ppp/2nq4/2bp4/8/3B1N1P/PPP2PP1/R1BQ1RK1 b - -,h7h6
r6k/p3bb1p/2p4B/3pp3/2n5/1NP2R2/PP4PP/6K1 w - -,f3f7
2k5/ppp3pp/7n/4p1b1/1PP1P3/P4P2/3q2RP/2K5 w - -,g2d2
2r1b3/6k1/1p1p1pp1/p1n1p3/PnP1P1P1/1PN1P1K1/3N4/1B5R w - -,h1d1:g3f3
1r4k1/2p2p2/3p2p1/p4np1/2P1B3/1RP3P1/P1r2P1P/R5K1 b - -,b8b3
rbb2rk1/1p2qppp/p1p5/3P4/5Pn1/P1NB1Q2/1PP3PP/R1B2RK1 w - -,g2g3
r1b3k1/1pp2p1p/5qp1/1Pn5/P1N1P1n1/8/1Q2BPPP/2RN2K1 w - -,e2g4
r3r1k1/pb3npp/np1B4/7q/4pR2/1QN3P1/PP4BP/R6K b - -,a8d8
3r1b2/5k2/1p2ppp1/p6p/P1rP1N1P/1P2P1P1/1BbN1P2/6K1 w - -,b3c4
q6k/1p1rb1n1/r2p1p1n/1NpPp1pP/P1P1P1P1/R3N1K1/2QB4/1R6 b - -,e7d8
8/p2bkp2/6pp/2pBP3/5P1P/P1P1K3/5P2/8 w - -,e3d3
3r2k1/p3nppp/2p5/4P3/3r4/2P3P1/PP4BP/4R1K1 w - -,c3d4
8/pp5k/2p2p2/4pP2/8/1B2q3/PPP2R2/6K1 w - -,g1f1
8/2B1npk1/4p1p1/2K1P3/4P2P/5PP1/8/8 w - -,c7d8
1r2r2k/p4pbn/1q6/3p4/1p1NpP2/1N4PB/PPQ4P/2R1R1K1 w - -,c2c5
5r2/3k4/R7/8/5N2/5K2/8/8 b - -,f8e8
3k4/1pq4n/2p4P/4Qpp1/2PP4/pP1K4/P7/3R4 b - -,c7e5
6k1/p7/8/7p/2P3pN/3PK1B1/P4P2/1q6 b - -,b1a2
6k1/5p1p/6p1/p7/8/4q2P/R5P1/K6R b - -,e3d4
8/2p4p/1n3k2/pB4p1/Pb1R1p2/1P3P2/2r2P2/3R2K1 w - -,d4e4
rq2kn1r/2pbbpp1/4p2p/pp1pP2P/3P1B2/3P1N1R/PP1QNPP1/2R2K2 b kq -,b8b6
r4rk1/2pq2pp/2R1p3/1P1p1p2/pPnP4/P3P3/1B2QPPP/5RK1 w - -,c6c4
8/1pK5/pN6/P4R2/6k1/1r6/8/8 w - -,f5c5
1r4k1/6p1/4p3/7p/4Pn2/R2N1P2/P4P2/6K1 b - -,b8b1
r1b1k2r/ppq1ppbp/3p1np1/P7/4P3/2PB4/3PNPPP/R1BQ1RK1 b kq -,e8g8
rr4k1/1b1qbppp/n2p1n2/1N2p3/5B2/P1N2B2/1P3PPP/2RQR1K1 w - -,f4g5
1r2k2r/1p3p2/2np2p1/q2N4/1pP1P3/6R1/4P1N1/1R1Q2K1 w k -,d1f1
2k4r/pppr3p/4R1p1/7n/4P2P/3B4/PPP5/1K3R2 b - -,c8d8
2rqr3/1p3pbk/3pp2p/pNn4p/PnP1P3/1P2BP2/3QN1P1/1R3RK1 b - -,g7e5
4bk2/7p/B5p1/1p2Np2/1P1P4/P3P3/5KPP/1n6 w - -,f2e2
r4rk1/ppp1qppp/1nb5/5Q2/4N3/P7/BP3PPP/3RR1K1 b - -,c6e4
4kb1r/1p5p/1r3pp1/8/3pN3/1PP1P3/5PPP/3RK2R w Kk -,e3d4
r1bqrbk1/pp3ppp/2p1pn2/8/2PPN3/1Q4P1/PP3PBP/R1BR2K1 b - -,f6e4
rnbqr1k1/4bppp/2p2n2/Pp1p4/3P4/PQNBP1N1/5PPP/R1B1K2R b KQ -,d8a5
4r1k1/pb3ppp/4p1Bn/2p5/2P5/PP2PP1P/6P1/2Rr1RK1 w - -,g6h7
3rbqk1/5ppp/p1r1p3/3p4/3P4/1P2N1R1/P2Q1PPP/4R1K1 w - -,h2h4
r1bq1rk1/ppp2pbp/2np1np1/4p3/2P5/2N2NP1/PP1PPPBP/1RBQ1RK1 w - -,b2b4
r4rk1/1p1bqpnp/p5p1/2pPp3/2P1P3/3B1R1P/PP1QN1P1/R6K w - -,g2g4
r4rk1/ppp2pp1/5q1p/2bp4/6b1/2PB4/PPP2PPP/R1B1RQK1 b - -,a8e8
5r1k/p5p1/8/8/3p1Pq1/4n1Pp/1P1R2BP/4Q1K1 w - -,g2f1
r4rk1/pbpnqpp1/1p2p2p/3P4/2P5/P2B1N2/2P1QPPP/4RRK1 b - -,a8e8
r1b1kbnr/ppp2ppp/2np4/8/2BPPp1q/2N5/PPP3PP/R1BQK1NR w KQkq -,e1f1
8/pp1b1pkp/2pp3b/5p2/PPPP4/3B1N2/4K1PP/8 b - -,g7f6
8/7p/p5p1/nppk1p2/n4P1P/P1P2P2/2PBBK2/8 w - -,h4h5
r2q1rk1/1p5p/2bpppp1/p1n1b1B1/2P1P3/1PN2P2/P2QB1PP/1RR3K1 w - -,g5e3
r2r2k1/pp2ppbp/1q1P2p1/3P4/3n1P2/8/PP1NB1PP/2RQKR2 w - -,d2c4
6k1/1p1q1p2/p5p1/2p3Bp/3b3P/1P1Q2P1/P4PK1/8 b - -,d7d5
2rq2k1/1b3ppp/pp2p3/P2n4/2NP4/1Q3BP1/1PR2PP1/6K1 b - -,b6b5
8/ppp5/5k2/8/3P2Rn/1KP5/PP3rp1/6R1 b - -,h4f3
1qrr2k1/1b3ppp/p3P3/1p1p2P1/4Pn1R/2N2B2/PPP2Q1P/1K1R4 b - -,f4e6
r1bqk2r/ppp1bppp/4pn2/8/3PB3/4BN2/PPP2PPP/R2QK2R w KQkq -,e4d3
1r6/7p/p4r1k/3p3P/2nP2RN/2PK1P2/P3RP2/8 w - -,f3f4
3r1rk1/pp2bpp1/1q2p2p/2pnN2P/3P2P1/3QB3/PPP2P2/1K1R3R w - -,d4c5
r1b2rk1/pp2bppp/4pn2/2n5/2B2B2/P1N1PN2/1P3PPP/R2q1RK1 w - -,f1d1
8/2qnrrkp/1p1p2p1/p2Pp3/1PP5/P2B1PP1/4Q1KP/2RR4 w - -,d3c2
r2q1rk1/pb1nppbp/1p1p1np1/8/2PP4/1PN2N2/P3BPPP/R1BQR1K1 w - -,c1b2
r4rk1/pbpqbppp/1pn1pn2/4p3/P2P4/2PB1N2/1P1NQPPP/R1B2RK1 w - -,d4e5
4rb2/p1Q2p1k/4qP1p/3r4/1p5R/1Pp2NP1/P4RPK/8 b - -,d5c5
8/8/8/6pK/5k2/7B/8/6r1 b - -,g1h1
2k5/ppp3b1/3p2p1/3P1p2/2P2Bn1/2NP2P1/PP5r/1R4K1 b - -,g7d4
1r6/p4kp1/b4b2/2p4p/4R3/1P3PpP/P1P3P1/3R3K b - -,a6b5
3Q4/8/2k5/1p3qp1/7p/8/P5P1/6K1 b - -,f5c5
rnbqkb1r/1p3p1p/pn2p1p1/6B1/2BP4/1QN2N2/PP3PPP/R3K2R b KQkq -,f8e7
rnbq1rk1/pp2bppp/4pn2/2p5/2BP4/2N1PN2/PP2QPPP/R1B2RK1 b - -,c5d4
1rr3k1/2qnbpp1/p2pbn1p/Pp2p3/4P3/1NN1BB2/1PPQ1PPP/R1R3K1 w - b6,a5b6
8/5R2/1k1K2p1/7p/7P/5Pr1/8/8 b - -,g3g2
4r1k1/1pR3p1/p5p1/3R1pP1/2KP2Pb/1P4rP/1P1B4/8 b - -,g3g2
3r2k1/1br1qpp1/1p1p1nn1/3Pp3/1P2P3/5PP1/1B1Q4/R2RNBK1 w - -,d1c1
2kr4/pp3pb1/1qp1p1p1/2npP2r/5B1P/2P3QB/PPP2P2/2K1R2R w - -,h3g4
r1b2rk1/p1p1b1pp/2p3q1/4p3/8/1N6/PPP1QPPP/R1B2RK1 b - -,c8f5
r1bq1rk1/1pp2pb1/3p1npp/p1nPp2P/2P1P3/2N1B3/PPQ1BPP1/R3K1NR b KQ -,g6g5
2r1r1k1/pp3pp1/2q4p/4p3/n7/2P3P1/PBQRPP1P/5RK1 w - -,f1d1
5rk1/1bR2r1p/6p1/2Rp1pq1/1Q1Pp3/1P6/P3BPP1/6K1 b - -,f5f4
8/8/8/2p2kp1/7p/4KP1P/4R1P1/2r5 b - -,c1c4
5rk1/4ppbp/n1p1b1p1/4P3/P1p1PP2/6P1/1P4BP/R3R1K1 w - -,e1c1
1r6/4nkp1/R3N1p1/p2pP3/3P1B2/nPbB2K1/5P2/8 w - -,e6c5
8/p2q1r1k/1p5p/1RP1n2Q/6r1/2B1p1P1/P1P1pP2/4R1K1 w - -,c5c6
5rk1/2q2pbp/p2p2p1/1brPp3/2RpP3/1P1P4/2BB1PPP/1Q1R2K1 w - -,c4c5
8/8/8/7p/2k2p1P/2b2P2/1pK5/5N2 w - -,f1h2
r1bq1rk1/1p1nnpbp/p2pp1p1/2p5/3PP3/1B3N2/PPP2PPP/R1BQRNK1 w - c6,c2c3
6k1/p6p/1qNpQpp1/1p1P1p2/1P6/1b4PP/6K1/8 b - -,g8g7
r1bq1rk1/p4pbp/1pn1p1p1/2p3B1/2BPP3/2P5/P2QNPPP/R4RK1 b - -,d8c7
1k1q1r1r/2nnbpp1/bp1p4/p1pPpP2/P1P1P1p1/1PN1BN1P/3Q2B1/2KR1R2 w - -,h3g4
8/p4pk1/1p2p1np/4P2Q/2r5/P5R1/5P2/q4BK1 w - -,h5f3
8/8/R4p2/4pk1p/3r3P/5PK1/8/8 b - -,e5e4
4rrk1/p1p3pp/bp1p4/3P4/2P2p2/2P5/P2N1PPP/4RRK1 b - -,g8f7
8/8/1p4pk/p7/P2P3b/3qPQB1/5K1P/2R5 w - -,f2g1
2r3k1/4ppbp/b2p2p1/q2P4/2n1P3/1RN3P1/P1Q2PBP/B6K b - -,c4a3
3r2k1/pp3pbp/2n1p1p1/2q5/P1P5/5N2/3RQPPP/4R1K1 b - -,c6d4
rn1qkb1r/pp3p2/2p1p1pp/3nP3/4B3/8/PPP2PPP/RNBQ1RK1 b kq -,b8d7
2r5/5k1p/Bp3pp1/4p3/P7/1Nr5/1KP1R2P/8 b - -,c8c7
1r3rk1/2p2pbp/2np1np1/3Pp3/R1q1P3/4BP2/3QN1PP/1R4K1 w - -,a4c4
4r1k1/3nr1qp/1p1p2p1/p2PP3/2P5/1PQ2N1P/6B1/1R4K1 w - -,c3c2
r1b1r1k1/ppq2pb1/3ppnpp/2n5/P3PPP1/2N1B2P/1PPNBQ2/R4RK1 b - -,b7b6
1r4k1/pN3ppp/5bn1/8/1B6/2P1R1P1/b4PBP/6K1 w - -,b4d6
8/5kpp/3rp3/1BpnBp2/8/5bP1/2P2P1P/2R3K1 b - -,d6b6
rn1q1rk1/pb2bppp/1p1ppn2/2p5/2PP4/1PNBPN2/PB3PPP/R2Q1RK1 b - -,b8d7
rn1qk2r/pp2bppp/2pp1n2/7b/3P4/2NBBN1P/PPP2PP1/R2QK2R w KQkq -,g2g4
r2qk1r1/pppBbp1p/4p3/5p2/1n1P4/2NQ4/PPP1NPPP/2KR3R b q -,d8d7
r2qk2r/ppp2pp1/1bnpbn1p/4p3/2B1P3/2PP1NN1/PP3PPP/R1BQK2R w KQkq -,c4b5
3r2k1/pp1rq1pp/1nb1pB2/8/Pb1P4/1BN1QP2/1P4PP/R2R2K1 b - -,g7f6
8/4kb2/4q1p1/Pp6/5pNQ/4p2P/6P1/7K b - -,e7d6
r1bq1rk1/ppp1b1pp/2n1pn2/1B1p4/3P1B2/1N3N2/PPP2PPP/R2QK2R w KQ -,b5c6
8/5p1k/3p2p1/3Pr2p/5q2/2NQ4/1PP2P2/3K4 b - -,f4f2
4r1k1/pn1q3p/1pN2p2/3r4/1BQ3pN/P5P1/1P3P1P/2R3K1 b - -,g8g7
r1b1r1k1/p1qn2pp/2pb1p2/3p4/2PP1P2/1P1B2B1/3N2PP/R2Q1RK1 b - -,g7g6
rnbq2rk/pp5p/3p1b2/3Pp2n/4Ppp1/2NB1P2/PP1QNBPP/1K4RR b - -,a7a6
8/1b3r2/pP6/P1p3P1/2P1p3/6K1/1N1pk3/3R4 w - -,g3g4
r7/1pp5/p1p1b3/4k1pp/4Pp2/PPN2P2/2P2KPP/3R4 b - -,h5h4
r1b1kb1r/5ppp/p1n1p3/1p2P3/1n6/NB2BN2/PP3PPP/R2R2K1 b kq -,c8b7
6k1/6r1/pB1p3q/P1pPpn2/2P1Rp2/3B1N1b/2Q4P/6K1 w - -,g1h1
2n1k3/pp1bb3/8/3Pp3/4Np1r/8/PP3BBP/5RK1 b - -,h4h6
8/8/4kp2/p6P/2P2Q2/KPq5/P7/8 b - -,c3b4
2bqkr2/p3b2p/2p2r2/7Q/2BP1p2/P1N1n3/1P1BN1Pp/4RR1K b - -,e8d7
2r1k2r/1bq1bp2/pn1p1np1/1p2p3/PP1NPP1p/2NB3R/2PBQ1PP/4R2K w k -,d4b3
5k2/1p3ppp/8/qP1pQb2/2p5/1n2PN2/1P2BPPP/6K1 b - -,a5a1
3rrbk1/p4ppp/1q1p4/2pR4/4P3/5P2/PPQ3PP/R1B4K b - -,d8b8
5n2/8/1p1k1Kp1/5p1p/7P/1B4P1/8/8 b - -,b6b5
1r6/1p1r1kpp/p4p2/P7/1R1p4/PR3P2/3B2PP/5K2 w - -,f1e2
4k2r/3n1ppp/r1n1p3/1p1pP3/p2P1P2/2N2N2/PP1K2PP/2R4R b k -,e8e7
6B1/8/5k2/p4pp1/Pb6/1P3K1P/8/8 b - -,f6g6
rn1qk2r/pb3ppp/1pp1pb2/3P4/Q2P4/P1N2N2/1P2PPPP/R3KB1R b KQkq -,e6d5
6k1/2n1rp1p/2RQ1p2/1p1pqP2/r7/5P2/5NPP/5RK1 b - -,e5d6
2R5/7p/4nk1P/1p2qpp1/1P1p4/5QP1/5PK1/8 w - b6,c8c6
8/3k4/8/2Q1P3/8/6K1/rr3PP1/8 b - -,b2d2
r1q3k1/p1p2bbp/1p1p1pp1/3P4/P1Q5/2B2B2/1PP2PPP/4R1K1 w - -,e1e7
8/4b3/7p/pN1P4/P5P1/1k1K4/7P/8 b - -,e7f6
3R4/6p1/2p1kp2/r7/3P1pP1/2p2P2/2K5/8 b - -,a5a2
5r2/1p6/p2P1n2/P1P2kq1/3Qp3/4B3/1PK2P2/8 w - -,e3g5
5k2/1p3bp1/2p1p2p/p1P1P2P/P4P2/1B4P1/7K/8 w - -,g3g4
r2q1rk1/pb1n1ppp/1p1b1n2/2ppN3/3P4/1P1BP3/PB1N1PPP/R2Q1RK1 w - -,f2f4:d1f3
5r2/3bkp2/1R6/1p2nPPB/2p1P3/2P5/2P5/2K5 b - -,d7c6
1r2r1k1/3n1ppp/4b3/1B6/4P3/PpR1BPP1/7P/4R1K1 w - -,a3a4
1k1r1r2/p1p3pp/1p6/4Q3/8/3P2P1/P1q2P1P/1R1R2K1 w - -,d1f1
1kr5/ppq1bpp1/4n3/3Bp1P1/4P3/1Q6/PP3P2/1KBR4 b - -,e7g5
r3k2r/pb1p1ppp/1p2pn2/q7/1bP1n3/2N1PN2/PPQBBPPP/R4RK1 w kq -,c3e4
8/8/2PP4/p7/Pp3k2/1P4pb/3N2Kp/8 w - -,g2h1
r4rk1/3qppbp/p2p1np1/1P6/3BP3/2N2P2/PP4PP/2RQ1RK1 b - -,a6b5
1q1rrk2/4ppb1/p1Qp2pp/3P4/pP2P3/4B1P1/2R2P1P/2R3K1 w - -,e3b6
r1b2rk1/pp3ppp/2p1pn2/q2p4/2PP4/P3PP2/3NB1PP/R1Q1K2R b KQ -,f8e8
q3kb1r/1b1n1ppp/4pn2/1p6/2p5/3PPN2/1PB1QPPP/1NBR2K1 b k -,b7f3
r1b1k2r/pp3p1p/2n1p1p1/q2pP3/2pP1N2/2P3Q1/P1P1BPPP/R4RK1 b kq -,c6e7
q4rk1/5p1p/3Np1pB/p1Pnb3/8/1P3Q1P/5PP1/3R2K1 b - -,e5g7
8/n4k2/6p1/2K3B1/6P1/P7/8/8 b - -,f7e6
r4bk1/6p1/p2pb2p/1p2p1p1/6N1/2PqBPQP/1P4P1/4R1K1 b - -,f8e7
8/5p2/p1k2N2/bp6/3K1P2/1P6/2P5/8 b - -,a5b6
7k/B2N2bp/4p1n1/6P1/6P1/2P4P/bP6/3B2K1 w - -,a7b8
r1r2bk1/3p1p1p/n5p1/1Np5/P3n3/4PN2/1P1B1PPP/R2R2K1 b - -,f8g7
b4bk1/2n2p2/p1N1p1p1/Np2P1P1/1P1B1P2/P2P4/5K2/8 b - -,c7d5
r1bqk2r/pp1p1ppp/2n1pn2/8/Q1P5/6P1/PP1NPPBP/R3K1NR b KQkq -,d8b6
rn1qkb1r/p1p1nppp/1p2p3/3pP1B1/3P4/5N2/PPP2PPP/RN1Q1RK1 b kq -,d8d7
8/8/3k1p1p/p4N1P/1p6/3K4/8/8 b - -,d6e6
3r4/1p3kb1/2np2pp/1ppN1p2/8/P1P4P/1P1N1PP1/3R2K1 w - -,d2b3
4rk2/p4pb1/1p1p2p1/2r4p/P1P1B2P/3P2P1/4RPK1/1R6 b - a3,f7f5
8/5pk1/1p6/p7/3Qp1PP/P3K3/1P6/1q6 b - -,g7g8
1k1r4/p2P3p/1p1P1B2/2p5/8/6P1/5P1P/4R1K1 b - -,d8d7
2b5/1p2n3/p1pk3p/P1N2pp1/1P3P2/1B2K1P1/7P/8 w - -,f4g5
6k1/5p1p/p2Q2p1/8/2n1q3/4N2P/5PP1/6K1 w - -,d6b4
