8/r7/4k3/r6R/4P3/4KP2/8/8 w - -,h5h6
3r1k2/2n2pp1/p1r2bp1/1p1p4/1P1P3P/4PPP1/R1BBK3/1R6 w - -,e2d3
2rr2k1/1b2bpp1/pq2p2p/1p6/1P1PB3/P6P/1B2QPP1/2R2RK1 b - -,e7f6
r3r1k1/3q1ppp/p2p1nn1/1p6/2pPP3/5NN1/PPQ2PPP/3RR1K1 b - -,g6f4
r1bq1rk1/ppp1p1bp/1nn3p1/7P/3Pp3/2N1BP2/PP1Q2P1/2KR1BNR b - -,g6h5
3r2k1/pbq2pp1/1n2p2p/2p1P3/1rP2R1P/5NP1/P3QP2/2R2BK1 b - -,b6d7
r2r2k1/pb2bqpp/np2p3/1NppP3/2P2P2/PP3P2/1B2Q1PP/1BRR2K1 b - -,f7f4
r2qk2r/ppp1nppp/2nb4/3p4/3P2b1/2PB1N1P/PP3PP1/RNBQ1RK1 b kq -,g4h5
6k1/1b3p1p/4pQ2/8/p1P5/7P/5RP1/1q4K1 w - -,f2f1
r1b1kb2/pp1n2rp/5p1N/2PB4/1p1P2q1/4P1P1/P1Q4P/RNB1K3 b Qq -,g4h5
r2qkb1r/pp1npppp/2p2n2/3p4/2P2P2/1P4P1/PB1P1P1P/RN1QKB1R b KQkq -,d5c4
r2qrnk1/1b3pbp/1p3np1/pP1p4/3P4/PBN2QN1/1B3PPP/R2R2K1 b - -,f8e6
r1b1rbk1/1p3pp1/2p2q1p/p4p2/3P4/P1QBP3/1P1N1PPP/2R2RK1 w - -,d2c4
4R1k1/5p2/p2r2pp/1p1n4/3p4/P5PP/1P4P1/4R1K1 b - -,g8g7
r7/n1pb2qk/1p1b2pp/3Pp3/4P3/P3BNPP/1P2QRBK/8 b - -,a7c8
3Q1b2/5pk1/1p4q1/p6p/7P/PBP5/KP6/8 w - -,b3c4
6k1/3n2q1/8/3P3Q/1r2p2P/2p2PP1/2R5/6K1 w - -,g1h2
rn1q1rk1/ppp2ppp/3bpn2/3p1b2/2PP4/4PNB1/PP1N1PPP/R2QKB1R b KQ -,b8c6
r1bqk2r/ppp1pp1p/1n4p1/3Pb3/4P3/2N5/PPQ2PPP/R1B1KB1R w KQkq -,c1h6
2r2k1r/1p2p3/4Pp1n/p5pp/3P4/2Nb2P1/PP3PP1/3RR1K1 w - -,d1d3
5rk1/3b1pnp/R2p1qp1/2pP4/1pP1P1P1/1P1B2QP/6K1/6N1 b - -,g7e8
r3k2r/pp1n3p/2P2pp1/2bp4/1N1R4/2N2P2/1P2K1PP/R1B5 b kq -,b7c6
r1b1k1nr/p3ppbp/1qpp2p1/8/4P3/1N6/PPP2PPP/RNBQ1RK1 w kq -,c1e3
2r2rk1/1pq2pp1/p2p3p/4p3/P1P1P3/1P1Q4/3b1PPP/R3R1K1 w - -,d3d2
8/4rk1p/2B2n2/2b3p1/2P5/5P2/1K1R2PP/8 b - -,h7h6
r1bqr1k1/1p2ppbp/2p3p1/3n1n2/p2P4/2PB1N2/PP1BQPPP/R3RNK1 w - -,f3e5
r2qk2r/ppp2pp1/2npbn1p/3Bp3/4PP2/N3B3/PPP3PP/R2Q1RK1 b kq -,d8d7
2R2rk1/1B2pp1p/6p1/4b3/8/4P2P/r4PP1/5RK1 b - -,h7h5
r4rk1/1q2bppp/ppp1pn2/8/2P1N3/4PQ2/PP1B1PPP/R4RK1 b - -,f6d7
8/5p1k/3Q2p1/2pB1q1p/1p5P/1P3bP1/5P2/6K1 w - -,d5f3
r2q1rk1/1p3pbp/2pp1np1/p3p3/PnbPP3/2N1B1PP/1PPQNPB1/3RR1K1 b - -,d8c7
rn2kb1r/pp2pppp/2p2n2/3q1b2/8/5N2/PPPPBPPP/RNBQR1K1 b kq -,e7e6
8/3rkp1p/1R1bp3/1P5r/2B5/1P3N1P/4KPP1/8 w - -,b6a6
4r1k1/7p/pp2qpp1/1b1pp1P1/1Q1P3P/2P2PB1/P4RK1/8 b - -,e5e4
r1bqk2r/ppp2pp1/2nppn1p/8/2PP4/P1Q2N2/1P2PPPP/R1B1KB1R w KQkq -,e2e3
4r1k1/5bbp/2p3p1/3p1p2/N1n5/2B2PP1/1P2P1BP/4R2K b - -,d5d4
1r6/5pk1/3p2p1/p2Pn1b1/1pp1P3/2P3KP/PPB2R2/3N4 b - -,b4b3
5k2/7p/1pB1p1p1/2p1P3/P1n2P2/2P5/3r2PP/1R4K1 b - -,c4b2
r1r3k1/5pp1/p3b2p/1p2p3/2p1P3/1BP1B3/P1P2KPP/R2R4 w - -,e3d2
1rbq1rk1/4bppp/2n1p2n/1pppP3/5P2/5NPP/1PPPN1BK/R1BQ1R2 w - -,g3g4
2br2k1/2p1qppp/1pn5/p2Rp3/2P1P3/1P2QNPP/P4PB1/6K1 b - -,c8e6
r4rk1/3p2pp/1p2p1n1/pPq1P3/2P2p2/3Q4/1PBB1PPP/5RK1 w - -,d2c3
2r2bk1/5p1p/p2rp1p1/3p4/1P1P1PP1/2NR1K2/1P1R3P/8 b - -,d6b6
4r1k1/1p3pbp/2n1p1p1/p1n5/2PpP3/1P3P1P/P2B2P1/2RR1BK1 b - -,b7b6
8/p2Npp2/2Np4/3P2kp/8/7P/P1BnbbPK/8 b - -,d2f1
2rr1bk1/1q1b1ppp/p7/6Qn/2p1P3/2B2N1P/PPB2PP1/R3R1K1 b - -,g7g6
1r1rb1k1/1pq1bppp/p1n1p3/8/4nPP1/1PP1B2P/P3NQB1/R4R1K w - -,g2e4
7R/1p3p2/p1k4p/3ppr2/PP5P/4KN2/8/8 b - -,d5d4
1r1r2k1/1pbbq1p1/p3pn1p/8/2PpB3/P6P/1P2NPP1/1QRRB1K1 b - -,f6e4
rqb1r1k1/pp2bppn/3p2np/PN1Pp3/2P5/4BN1P/1P1QBPP1/R3R1K1 b - c3,f7f5
r3kbnr/1pp2pp1/p1n1q3/4p1B1/B3P1N1/6p1/PPP2PP1/RN1Q1RK1 b kq -,e6g6
r5k1/1p1b3p/1p2p3/3pP1p1/3NnrP1/4KB2/PP2P2P/R5R1 b - -,e4c5
1rbr2k1/pppq1pp1/2n1p2p/2P1P3/3PQP2/1NP3P1/P6P/R1B2RK1 w - -,g3g4
3r2k1/1bq3n1/1p1pn1p1/4p3/1PP1P2p/2NQ1PP1/1B2B3/3R2K1 w - -,c3d5
4r1k1/5ppp/1p3n2/2Npp2b/1B2Pn1P/P3RP2/1P5P/3R1K2 w - -,c5b7
r3r1k1/p1p2ppp/3p4/2nP1q2/2P5/4B3/P3QP1P/R4R1K w - -,f1g1
4n1k1/pppq2p1/4pnQ1/3p2B1/3P4/2PB1P1P/PP4P1/6K1 w - -,h3h4
8/5pk1/6p1/8/1P6/2p2p2/3r3P/5R1K w - -,b4b5
2kr2r1/ppqn2p1/2pb2P1/7p/7Q/2BP1N2/PPP4P/2KR3R b - -,c8b8
1q1r1bk1/1p1b1p2/4p1pp/1Pn3N1/8/4P1P1/1BQ1BP1P/3R2K1 w - -,g5f7
r3r1k1/pp3pbp/q4np1/3p4/n3P3/4BPP1/PPQ1N2P/R2R1BK1 b - -,a6c6
r2r2k1/pp3pp1/2p4p/3P3b/P1nqP3/1QN3P1/1P4BP/R3R2K b - -,d4d3
8/8/r4kp1/7p/3R3P/4KPP1/8/8 b - -,f6f7
1rr5/p2b1kq1/1p1p4/1PpP1p2/3bpPp1/P3B1P1/1P1Q1R1P/2R2BK1 w - -,f1c4
8/5pkn/P2p2pp/2bP4/1p1q3P/8/7K/R4Q2 b - -,d4h4
2rq1rk1/p2nbp1p/6pB/2p4n/3P4/2N2P1B/PPQ2P1P/R2R2K1 b - -,f8e8
2n2r2/1k2p2p/3p1ppP/1P1PP3/1B1b1PP1/3B4/4K3/2R5 w - -,c1c6
8/7R/2pk4/p4p1P/P1P1p3/2NnP3/3r1P2/5K2 b - -,d2f2
2r3k1/6pp/5pb1/pp5P/2p3P1/2P2P2/PB3P2/K3R3 b - -,g6d3
rq2br1k/2p1b1pp/4P3/pp1R2p1/3P4/PB3N1P/1P1Q1PP1/4R1K1 w - -,f3g5
r3r1k1/p1qn1ppp/bp1p1n2/3P4/P1p5/B1P3P1/4PPBP/R2QRNK1 w - -,d1d4
1rbqk1nr/p2pppbp/6p1/1pp5/3nP3/2NPB1P1/PPP1NPBP/R2QK2R w KQk b6,d1d2
r2qk2r/p2n1ppp/2pbp3/2p4b/8/3P1N1P/PPPN1PP1/R1BQR1K1 b kq -,e8g8
4b3/6p1/1k3p2/1p1R4/2p1P2p/2P1NP1P/4K1P1/r7 b - -,e8c6
rnbqk2r/ppp2ppp/4pn2/8/2p5/P4NP1/P2PPPBP/R1BQK2R b KQkq -,c7c6:e8g8:b7b5:b8c6
2kn3r/1pq4p/p2bp1r1/3p4/2pP4/2P3PR/PPN1Q1NP/5RK1 b - -,d8f7
2rb1rk1/1pq2ppp/p1b1pnn1/8/2P2PP1/1NN1B2P/PP1RBQ2/3R2K1 b - -,d8e7
2r3k1/6pp/8/8/2P5/3p1N1P/2b2PP1/R5K1 b - -,c2b3
rr2q1k1/2R2p2/3p2p1/3Pp1Pp/pN2P2P/Pp1Q4/1P1n4/K1R5 b - -,b8b4
r3kb1r/3n1ppp/1pb1p3/p2pP3/1PpP1P2/PnP1BN2/RN4PP/1K3B1R b kq -,f8e7
2r3k1/1bB1n1p1/1p5p/1B6/p1R2R2/P2p4/1P1NKP1P/6r1 w - -,e2d3
r7/1kprb1p1/pp3p2/4p3/1P1P3p/PNR1P1P1/5PKP/1R6 b - -,h4g3
B5k1/p3bpp1/2p4p/7P/6P1/2PrPP2/R1b2K2/6NR b - -,c2b3
1rR3k1/4pp1p/2n3p1/p7/1b2P3/4BB1P/5PP1/1R4K1 b - -,b8c8
rnbqk2r/ppp1b1pp/3ppn2/6B1/2PPN3/8/PP3PPP/R2QKBNR w KQkq -,f1d3
8/3b4/5p2/pppk4/5K2/P1PB4/1P6/8 b - -,b5b4
8/2p4k/1bR5/p1Np3p/6bP/P2N3r/1PP5/1K6 w - -,c5e6
r1bqrk2/pp1n3p/2p3pb/3N1p1n/2P3P1/1P2P2P/P1QBP1B1/R4RK1 w - -,e3e4
2b5/p1r2p1p/3k2p1/R1pp4/5P2/1PPB3P/P4KP1/8 w - -,f2e3
4r1k1/1b3q1p/1p3r2/3p1p2/3NnPp1/4P1B1/4Q1PP/3RR2K b - -,f7h5
3r4/6pk/1pp1r1p1/p3P2p/P1PP1R2/4B1qP/1P3QP1/6K1 b - -,g3f2
1r5r/Rb2kp2/1q4p1/1p1pPp1p/1PpP3P/2P2NP1/3Q1P1K/R7 w - -,d2g5
2r2k1r/pp1b1ppp/2n1p3/2qpP3/3p1PQP/P6R/1PPRN1P1/2K2B2 b - -,b7b5
5n2/2q2Bbk/2p3p1/pp2P2p/2QP3P/1P4P1/7K/5R2 w - -,c4c5
8/1p2k3/8/p7/4r3/P7/1PP1r3/3RNK2 w - -,d1c1
7R/8/8/8/3NK3/r5kP/8/8 w - -,d4f5
2r3k1/4pp2/3p2p1/ppq4p/2r1P2P/P1PQ2P1/1P2RP2/4R1K1 b - -,e7e6
3r1rk1/pb2qpBp/1pn3p1/2p1p3/2P5/4QNP1/PP2PPBP/R2R2K1 b - -,g8g7
4r1k1/pp3r1p/2p5/8/2Pbp3/1Pq2pPP/P4P2/2BQRBK1 w - -,c4c5
rnbk2nr/ppp2pbp/6p1/4p3/2P5/2N1BN2/PP2PPPP/R3KB1R b KQ -,b8d7
r1r3k1/1q3p1p/pn1np1p1/Qp1p4/3P4/PP1BPP2/4N1PP/R1R3K1 w - -,c1c5
6k1/p4p1p/2p3p1/3q4/2P5/1P2r1P1/P1Q4P/5RK1 b - -,d5d4
2r2r1k/1q3pp1/p2p3p/1p1Np1b1/2P1Q3/1P2P1P1/P2R1P1P/3R2K1 w - -,c4b5
8/4k3/br2ppp1/R7/2prP2p/2N2P2/1PR3PP/4K3 w - -,c3e2
r2q1rk1/4bpp1/2p2n1p/pp2pP2/n1P1P1P1/1N5P/PP2Q1B1/R1B2R1K b - c3,d8b6
6k1/3b1pp1/8/1p1p3p/1R6/r1P2P2/6PP/2R3K1 b - -,g8f8
5r1k/4r1pp/p7/4q3/1P2p3/P6P/4Q1P1/3RR1K1 w - -,e2e3
r1b3k1/pp2ppbp/n5p1/2PrP3/2p2B2/5N2/PP3PPP/2R1KB1R w K -,f1c4
rnbq1rk1/pppp1pbp/6p1/4n3/2P5/1PN1P3/PB2NPPP/R2QKB1R b KQ -,b7b6
8/5p2/7k/2R5/5RK1/8/5rr1/8 w - -,g4h3
2r2rk1/p4pp1/1p3b1p/8/2n5/P3BP1P/BP2RP2/3R2K1 w - -,d1d7
rnbqr1k1/pppn1pbp/6p1/8/8/1PN1p1P1/PBPQPPBP/2KRN2R w - -,f2e3
r4b1r/p2k3p/b1p1ppp1/8/3P4/1N2B3/PP3PPP/R1R3K1 w - -,b3c5
2r1rbk1/1b3p1p/p2ppPp1/2q1n1P1/Pp2PB2/1P4NP/2PQ2B1/R4R1K w - -,f1f2
6k1/p3b1p1/1p5p/2pPp2q/2P1N3/3P4/PP1K2QP/8 b - -,g8f7
1r1rk3/pp3p1p/2b1pPpB/2n1p3/P1P1P3/1P4PP/6BK/1R2R3 w - -,a4a5
r1bqkb1r/1p1ppp1p/p1n2np1/8/3NP3/2N1B3/PPP1BPPP/R2QK2R b KQkq -,f8g7
8/Q2n1pk1/4p2p/2p3p1/3qN1P1/8/1r4BP/5R1K w - -,a7a1
r7/1p1r2k1/p1n1q1p1/2QnPpPp/2B2P2/2B1R3/PP6/R3K3 b Q -,c6e7
2rr2k1/p1q2p1p/4b1pQ/2p1P3/2Pp4/3B2PP/8/2RR2K1 w - -,d1e1
1n2r1k1/r6p/p4qp1/2Np1p2/Pp1P4/1Pp1P1P1/2Q2P1P/2R1R1K1 b - -,a7e7
5k2/1B2pp2/1p4p1/4b2p/4P3/NP6/7r/2K5 b - -,e5b2
8/6R1/4p3/1P2P2k/6N1/4B1P1/5rK1/1r6 w - -,g4f2
8/1r1b2p1/4p3/pp1pP1k1/3B2P1/P1P3K1/2P5/1R6 b - -,d7e8
8/3k4/5p2/P6p/4K2p/8/6P1/8 b - -,d7c6
4rrk1/pp1n2pp/2p1p3/8/1b1P4/1P3N2/1P2PPBP/2RR2K1 b - -,b4d6
rn1q1rk1/1bp1bppp/1p2pn2/p2p4/2PP4/PP1BPN2/1B1N1PPP/R2Q1RK1 b - -,b8d7
8/1b3pk1/3p2pp/2pP4/P1Bq3P/P5P1/5P2/4Q1K1 w - -,e1b1
8/1k4bp/3R2p1/1P1p4/3P2pP/5N2/5PK1/r7 w - -,f3h2
3r2k1/1b3pp1/pn1qp2p/2p5/4P3/P1Q2P2/1PRrBNPP/2R3K1 b - -,d2c2
r2q1rk1/b1pbnpp1/p2p3p/np6/3PP3/2N1BN1P/PPB2PP1/R1Q2RK1 b - -,g8h7
r2q1knr/4ppbp/2pp2p1/p2bP3/Bp1P1P2/4BNN1/PPPQ2PP/1K1R3R b - -,e7e6
1r3rk1/p1p3pp/3b2n1/3Ppq2/6Q1/2P1BN1P/P4PP1/R4RK1 b - -,f5g4
r3r1k1/1pp3pp/3p1nq1/1P1Ppb2/2P5/1N2Q3/4BPPP/R4RK1 b - -,b7b6
r4k2/1p6/p3r2p/3pp2Q/6R1/qP1PP3/5PP1/3K4 w - -,h5f5
r1Q5/7k/p1P3qb/3Q4/5p2/6P1/P5K1/7R b - -,a8c8
1rr1n3/3b4/3pkppb/Np2p2p/1P2P3/2NR1PP1/2P2B1P/3R2K1 w - -,f2a7
3R4/pp3pk1/2p1n1p1/1PP1P2p/r4P2/5BPP/4K3/2R5 b - -,e6d8
8/p2kbpp1/4p3/2P1P2p/3P1P2/4NnK1/P4P2/8 w - -,g3f3
6k1/2p2pp1/1pnq3p/8/p1PP4/P2Q1N1P/4rPP1/3R2K1 b - -,e2e8
r1bqk1nr/pppnppbp/3p2p1/6B1/3P4/2P2N2/PP2PPPP/RN1QKB1R w KQkq -,e2e4
1r4k1/3qpp1p/3p2p1/2pN4/2PbP3/1r3PP1/P5KP/2RQ4 w - -,a2b3
2r3r1/p3nb1k/1pnBp1pp/q2pPp2/P1pP1PP1/2P1NB1P/2PQ3K/1R4R1 b - -,c8e8
8/1kp5/p2q3p/1p1p2p1/6Q1/2P3PP/PPr2r2/KR4R1 b - -,d6c5
8/4pk2/4p1p1/p5Pp/2B4P/1P2PK2/n1r2P2/R7 w - -,e3e4:f3g3
8/8/2r2N2/R5P1/2n5/P3k1K1/8/8 w - -,a5f5
6k1/1R3p2/p4bp1/2PB3p/8/6PP/P4r1K/8 w - -,h2h1
rnb1k2r/p4ppp/1p2p3/3pPn1P/4q3/P4N2/2PBBPP1/R2Q1K1R w kq -,e2b5
r3qrk1/npp1b1pp/4p3/pbnpP3/8/P3BNN1/1PP1BPPP/R2QR1K1 w - -,f3d4
1n1qkr2/5pQp/2p1p3/p7/1P6/1B6/1PP2PPP/r3R1K1 w - -,e1a1
r3kb1r/pp1n1ppp/2pqp3/5b2/2B5/2Q2N2/PPPP1PPP/R1B2RK1 w kq -,f1e1
r5k1/3n1pp1/1P1bp1p1/BR1p4/2pP4/4PP2/4N1PP/7K w - -,b6b7
r3r1k1/p2q1pb1/1p1p2pp/2nPp2n/P1P5/2P2N1P/2B1RPPB/2RQ3K b - -,a8c8
3r2k1/7p/2p3p1/3q4/P4Q2/8/5PP1/4R1K1 b - -,d8f8
r1q1nrk1/4bppp/3pb3/pB2p1P1/Pn2P2P/1NN1BP2/1PP5/2KRQ2R b - -,e8c7
8/5n1P/5K2/p7/2p2N2/P7/1Pk3P1/8 b - -,f7h8
5rk1/2R2pp1/p1p3q1/1p2Q3/3P4/2P3P1/P4PK1/8 w - -,a2a3
r2qkb1r/pp3pp1/4pn1p/7P/1p1PN3/3Q1N2/PPP2PP1/R3K2R w KQkq -,e4f6
4q3/1p4kp/2br1rp1/p2pNp2/Pb1P1P2/1Q2PB2/R5PP/2R4K b - -,d6d8
2r3k1/p2r2pp/1pp5/4R3/1P6/P1R3P1/5PKP/8 b - -,g8f8
7k/p5p1/2pQ1r1p/1pP1nq2/2b2R1P/P1P3P1/5P2/4NRK1 b - -,f5h3
1r5k/5p2/p2q3p/2p5/p2nRP2/7P/1P3Q1K/5B2 w - -,e4e5
3r1k2/3P1p2/3K4/2P1P3/np3P2/8/8/2R5 b - -,b4b3
8/p3r2p/8/P4R2/5KP1/3kP3/8/8 w - -,f5d5
2bNn1k1/2q1bppp/p3p3/Pr4P1/pP6/2P1BB2/5Q1P/R4RK1 b - -,c7d8
r1bq1r1k/1ppn1pbp/p2p1np1/4p3/P1PPP3/2N2NP1/1P3PBP/R1BQ1RK1 w - e6,d4d5
r7/5pk1/3p2p1/2pPp1n1/1pP1q1P1/1P5p/2R1B2K/1R3Q2 b - -,e4c2
r2q1rk1/pbpn1pb1/1pnpp1pp/8/2PPP3/P1NBBN2/1PQ2PPP/3R1RK1 w - -,c3e2
rn1qkb1r/pp2pppp/2p2n2/3p4/2PP2b1/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,f3e5
6k1/6b1/3p4/q2Pp1pP/2B1Pn2/1P4Q1/rNK4P/4B3 b - -,a5a3
1r2r3/2qn1p1k/4b1pp/p1p1b3/P2pN3/1P4N1/2P2QPP/BR2R2K w - -,a1b2
r1b3kr/pp4p1/1npb1n1p/3q2N1/2PP4/3B4/PP1BQPPP/R4RK1 b - c3,h6g5
8/8/3b1pk1/6p1/5n1p/3pKP2/1R4P1/8 b - -,d6c5
6k1/5p1p/5Bp1/4P3/7P/8/5PPK/r7 b - -,a1a4
r2qr1k1/1pp1bppp/1n1p1n2/pP2pb2/P7/3PPN2/1BPNBPPP/R2Q1RK1 w - -,c2c4
8/7p/p1r3k1/6P1/1P1Rq3/6P1/3Q1P2/6K1 b - -,c6c1
r4rk1/1q1n1p1p/B5p1/2p5/4p3/R1P1P1PP/1PQ3P1/R5K1 b - -,b7c7
r1bq1rk1/p1b1n1pp/1pn1p3/2p1Pp2/3p4/1P1P1NP1/PBPNQPBP/R3R1K1 w - -,a2a4
8/8/2r2n2/P2pK2p/1B3R2/2Pk4/8/8 b - -,f6g4
r5k1/pbp1r2p/3p1pp1/2p5/2P1P1P1/3N1P2/PP5P/4RRK1 w - -,g1f2
5b1r/8/1R3n2/2p3kp/Pp2B1p1/1K4B1/1P3PPP/8 w - -,g3h4
5r1k/p6p/2p1p1r1/1pRnP3/5p2/6P1/PP1B1P1P/2R3K1 b - -,f8f5
2r2rk1/1bqnppbp/pp1p1np1/8/2PP1B2/2NQ1N1P/PP2BPP1/3RR1K1 b - -,f8e8
r5k1/1p5p/1pr5/5N2/1bpRp3/1P6/P4PPP/5RK1 b - -,a8a2
r4b2/4npk1/p3r1pp/qp2p3/3pP1P1/1Q1P1NNP/PP3P2/2R1R1K1 w - -,c1c2
r4k2/p4ppp/1p3B1N/2r5/5P2/1BN1b3/PP5P/1K3R2 b - -,g7f6
r1br2k1/p4ppp/2npp3/2p5/2P5/P1R1PN2/1P3PPP/2K2B1R b - -,a8b8
3k4/1R3R2/6p1/p7/8/1P4PP/q4P1K/8 b - -,d8c8
rnb2rk1/pp3pbp/2pp1np1/4p3/2P1P3/2NP2P1/PP2NPBP/R1BR2K1 b - -,c8g4
8/8/4k3/3pP1K1/2bP4/p1P1P3/8/1B6 w - -,g5f4
8/8/pk6/3B2p1/1PP3P1/1K6/8/4b3 b - -,a6a5
r1b2rk1/p3q1pp/1pRp4/1n1Ppp2/8/3Q2P1/PP1NPPBP/5RK1 b - -,b5d4
8/7B/1p4p1/1P4P1/3k1K2/8/8/4q3 w - -,h7g6
r3k2r/1p1bnppp/1q2p3/p1bpP1N1/8/3B4/PP1B1PPP/2RQ1RK1 b kq -,d7b5
8/3k1K2/5P2/8/8/6r1/8/3R4 b - -,d7c8
r3n3/3q1nk1/1b1p2p1/1p1Pp2p/1P2Pp2/R2B1P1P/1N1BK1P1/2RQ4 b - -,a8a3
8/5p1p/6p1/4k2P/2pbP1P1/3p1B2/1r1K4/3R4 w - -,d2c1
r1bqk2r/pp2ppbp/2np4/5p2/4P3/1NNB4/PPPQ1PPP/2KR3R b kq -,a7a5
r3r1k1/1bq2pbp/6p1/p1pnn3/PpN5/3B2NP/RPPB1PP1/3Q1RK1 w - -,g3e2
r4bk1/1pp2ppp/3p3r/p1PQ4/N4Pb1/1P2P1Pq/PB3R1P/2R3K1 b - -,a8e8
8/p3b3/8/3k1r2/PP1p4/3K1NRP/8/8 w - -,f3d4
r2r4/p4pk1/1p3qp1/2pPn2p/Q4P2/7P/PP2B1P1/3R1RK1 b - f3,e5d7
4k3/4bp2/8/3QPp1r/1PpP3p/P1q5/5RPP/5RK1 w - -,f2f5
3r4/p5k1/1p4p1/5p1p/8/1Pq1P1P1/P4Q1P/4R1K1 w - h6,h2h4
3q1rk1/pp2bppp/4p3/8/3PN3/3Q2P1/PP3PP1/2R3K1 b - -,d8b6
3r4/2q2pk1/p2pr1p1/1p1Rp1Q1/7p/P4P1P/1PP3P1/1K1R4 b - -,d8c8
r4r2/2p2pbk/np4pp/3Pp3/1PP1P1n1/2N1BN1q/2B1Q3/1R3RK1 w - -,e3d2
3rkb1r/ppq2pp1/2p2n1p/8/3pP1P1/3P1Q1P/PPP1B3/R1B2RK1 w k -,c1d2
r2r1nk1/1p3ppp/pqb1p3/8/4NQP1/1P5P/P1P2PB1/R4RK1 w - -,a1d1
3r2k1/5ppp/6q1/1Bpnp3/P4n1P/1PB2P2/7Q/R1R3K1 w - -,g1h1
