8/p1r2k2/P1K2p2/4b1p1/4Q1P1/7P/8/8 w - -,c6b5
4rrk1/1p1q1p1p/p1np1np1/2pNp3/2P1P3/3P1N2/PP1Q1PPP/R3R1K1 b - -,f6d5
3r2k1/p2q2pp/1b1r1p2/N1p1p3/2P1b3/R1RPP1P1/2Q2P1P/5BK1 b - -,e4f3
rn2kb1r/pb1ppppp/5n2/q1pP4/PpP5/5N2/1PQBPPPP/RN2KB1R b KQkq -,g7g6:d7d6
8/5k2/3b2p1/4B1P1/2r2PK1/8/8/4R3 b - -,d6e5
1nrNrnk1/pq3p1p/1p1pP1p1/6P1/1PP2P2/P6Q/6BP/R3R1K1 b - -,b7c7
5b2/3n4/R2pk1p1/4p1p1/1PN1P3/1K3P2/8/8 b - -,f8e7
r1b1qr1k/pp4bp/2ppp3/3Pnp2/2P2B2/1QN3P1/PP2PPB1/R3K2R b Q -,e6d5
8/2R3pk/7p/5P2/1p2P3/2p2PKP/6R1/1r4r1 b - -,h7g8
3r1Bk1/ppp5/7p/1P1b4/P2P1P2/5p2/5PrP/1R3R1K b - -,d8f8
r3kb1r/1p1n2pp/p1p3b1/2Pp1p2/1P1Pp3/4PPN1/1P1BB1PP/2R1K2R b Kkq -,d7f6
r1b1k2r/5pb1/p1p3p1/1p1nN2p/8/P4P2/1PPBN1PP/2KR1B1R b kq -,g7e5
r4rk1/5pp1/p4np1/1pq5/3n2P1/1B1PBP1P/PP4K1/R2Q1R2 b - -,a8e8
1r4k1/5p2/6p1/3p4/2pB4/6p1/4K2P/3R4 w - -,h2g3
5bk1/1pq4p/p1r1n1p1/2n1p3/3pP2P/BP1P2PB/P2QN3/5RK1 b - -,f8g7
2R5/4rpk1/6p1/2p2p2/1bP4P/1P3BP1/5PK1/8 b - -,e7a7
1r1q2k1/2pnb1p1/1p1pp2p/p4r2/2PPN3/4B1P1/PP2QP1P/4RRK1 w - -,f2f4
5rk1/1p6/p2p4/P1pPb3/1P4Pp/8/4B1P1/1R4K1 b - b3,e5d4
r3rbk1/3q1p2/2p3p1/1b5p/3Pp3/4P1P1/1R1B1PBP/2RQ2K1 w - -,d2b4
3r1k2/pp3pb1/2r4p/1P1NnB2/4P1p1/P5P1/5PK1/2R4R b - -,c6c4
r1bqkbnr/pp1p1ppp/2n1p3/4P3/2Pp4/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f3d4
rn2kb1r/pp2pppp/1qp2n2/3p1b2/2PP4/1Q3NP1/PP2PP1P/RNB1KB1R w KQkq -,b1c3
5k2/4p1b1/1p6/p1p1pP1p/P3N3/1PPrB3/4K1PP/R7 b - -,d3d8
8/p3kp2/Pb6/1P5R/2b2p1P/5P2/6K1/8 b - -,e7f6
r6k/1p2p1bp/p2p2Pn/2pP3n/2P2B2/P1NB3q/1P1Q1P1P/2R3RK b - -,h3f3
2kr1b1r/pp2nb2/1q3pp1/1NN5/P1pPPp1p/1P3Q1P/5PP1/RR4K1 b - -,e7c6
8/p3rpk1/1ppr2p1/3p3p/3Pn2P/2N1P1P1/PP3PK1/2RR4 w - -,c3e4
4q1k1/1p4rp/p1p1p3/2Pp1pb1/PP1P1Br1/4P2R/2Q2RPP/7K b - -,h7h6
qr4k1/3nppb1/rn1p3p/2pP2p1/4PB2/1PN2NPP/P2QRPK1/R7 w - -,f4e3
r1b2rk1/ppn1b1pp/2pppn2/7q/2PPN3/PP3NP1/1BQ2PBP/R4RK1 b - -,c8d7
5k2/4ppbp/6p1/4Nb2/B2P4/4PP2/1r4PP/2R3K1 b - -,g7e5
8/1p1k4/r1p1p3/5prp/P2Pn3/1P2PK2/2R3PP/2R1B3 b - -,g5g4
3q2k1/5p2/6p1/2p5/2P1P1QP/3P4/r7/6RK b - -,d8d3
r2qk2r/pp1nbpp1/2p1p2p/5b2/2PPN3/6P1/PP3PBP/R1BQ1RK1 b kq -,d7f6
5rk1/1p5p/p1b1p1p1/3pPq2/2pQ1P2/P1P5/2P2RPP/R5K1 w - -,h2h3
r1bq1rk1/pp2bpp1/2n1pn1p/8/2pP3B/2NB1N2/PP3PPP/R2Q1RK1 w - -,d3c4
1rr3k1/2p1npp1/1b2q2p/p2pP3/R2P4/4NN1P/1PQ2PP1/4R1K1 w - -,b2b4
1k6/1p1R4/5p2/Qp1p4/1Pr5/PK6/2P2q2/8 w - -,d7d8
r4rk1/1p2bpp1/p6p/1bNpP3/6q1/n1PB4/P4BPP/3RQRK1 w - -,c5b7
2r5/1p1npk1p/3pb3/r5p1/p1P5/4NP2/PP1R2PP/3R1BK1 w - -,d2d4
r1b1kbnr/pp4pp/1qn1pp2/3pP3/3P4/P4N2/1P2BPPP/RNBQK2R b KQkq -,f6e5
8/6b1/3k3p/3P1p2/2r5/6P1/P1p4P/2B2RK1 w - -,f1f5
4r1k1/2RR1pp1/1p1Q3p/r2p4/3q4/6P1/1P3PKP/8 w - -,d7f7
4k3/5p2/p5p1/Ppr5/2nRP3/1KN4B/8/8 w - -,b3b4
6k1/3n1p1p/q7/3Pp1p1/N1r2bPP/3Q4/1B4K1/R7 b - -,a6b5
1rr5/3q2bk/3p2p1/Rp1Np2p/1P2R3/2PQ1P1P/6P1/7K w - -,h1h2
8/8/1ppbbkpp/p3p3/2P1P1P1/1PBB1K1P/P7/8 b - -,d6b4
r2q1rk1/pb1nbppp/1p2p3/2pN4/8/1P2PNP1/PB1P1PBP/R2Q1RK1 b - -,b7d5
3r2k1/p4p2/1p1q1Qb1/8/PPp5/1n4R1/6NK/8 w - -,f6g5
5rk1/p3n2p/5bp1/4p2b/2r3P1/1q2B3/P4NBP/R3R1K1 w - -,a2b3
2r3k1/2p1R1pp/5p2/1pB1nP2/3NP3/1P6/1PP1K3/8 w - -,d4e6
r5k1/5pb1/p1r5/Q1p1q1pp/2P1pNnP/P3P1P1/3N1PK1/1R1R4 w - -,h4g5
r2q1rk1/pp2bppp/1nnpp3/5b2/2PP4/1PN1BN2/P3BPPP/R2Q1RK1 b - -,e7f6
2br1rk1/p1q1n2p/1pn2bp1/2p1p3/3P1PP1/3PBN1P/PP1Q2B1/R3RNK1 b - -,e5d4
3r2k1/pp1q1pbp/2p3p1/8/3B4/N1P5/P2Q1PPP/4R1K1 b - -,c6c5
4r1k1/pp4rp/3p4/2pP4/4n3/P4q2/1P4PP/3RBRK1 w - -,f1f3
b1R1r1k1/1q3ppp/4n3/3p4/3N4/Q3P1P1/5PBP/R5K1 b - -,b7c8
r4r1k/1p1q2bp/p1p2ppB/P2b4/3P4/2PB1R1P/2PQ2P1/1R4K1 w - -,h6g7
2r1k3/p3p2p/1p2N1pb/3PP3/5P2/8/PPr2R1P/3RK3 w - -,f2c2
3Qb3/5p1k/5Bp1/ppp4p/5P2/P1P3PP/3nq1B1/6K1 w - -,d8e7
b5r1/4bp2/3kn1p1/p1p1p1P1/Pp2P3/1P2B3/2PNBP2/2K4R b - -,e7g5
r1b1R3/p1pp1ppk/1p1b3p/3P4/6B1/P1B3P1/1Pq2P1P/5KNR w - -,g1e2
2r1r1k1/pp2ppb1/nnp1q1pp/6B1/1P1PP3/P1R2N2/2Q1NPPP/5RK1 w - -,g5c1
3k4/3R4/2PP2r1/3p4/8/8/1K6/8 b - -,d8c8
1r3rk1/p1p3pp/3p4/2pPpq2/P1P1R3/3Q1P1P/6P1/5RK1 w - -,f1b1
rnbq1rk1/pp3pp1/4pb1p/2p5/2BP3P/2N1PN2/PP3PP1/2RQK2R w K -,d4c5
1r4k1/5p1p/5p2/3Bp3/3b4/3P2P1/Rr2PP1P/2R3K1 w - -,c1c7
1rbr2k1/1p2ppbp/pq1p2p1/8/1PP1PPP1/P2Pp2P/4N1B1/1RQ2RK1 w - -,f1f3
1rr3k1/5pp1/4pbp1/R2p4/1pqP4/2P2N1P/1P3PP1/1Q2R1K1 w - -,f3d2
8/1p3pk1/2p3p1/p3p2r/2P1P1B1/bP2PK2/P7/3R4 b - -,h5h2
8/p2k3p/2N2pp1/8/1P2P3/1K6/P5PP/3n1Bb1 w - -,c6a7
3Qn1k1/5pp1/p5p1/1p1Bq3/2n5/P1B1P2P/5PP1/6K1 b - -,e5c3
rn1q1rk1/pb2bppp/1pp2n2/3p4/5B2/2NP1NP1/PP2PPBP/2RQ1RK1 b - -,b8d7
r1b1k2r/pp3ppp/1q6/3p4/1P1bn3/P3P1P1/5PBP/RN1Q1RK1 w kq -,d1d4
8/6kp/8/p3R1p1/p5P1/2P5/1r3P2/6K1 w - -,e5g5
1rr3k1/2q1bppp/4p3/3bP1P1/1PpQ1P2/R7/N1PB3P/1KR5 b - -,b8a8
R7/5p2/4k2p/3p1np1/P2K1P2/5BP1/6P1/r7 w - -,d4c5
r2qk2r/2pn1ppp/1pBbp3/3p4/b2P4/2P1PN2/PP1N1PPP/R3K2R w KQk -,c6a8
3r4/r3bk2/Pq2p1p1/1P1pQ3/R4P2/3B2P1/2R3K1/8 b - -,b6b8
r1b2rk1/1pp1np1p/p2p2pb/2nP4/3BPP2/2N3NP/PPP3B1/R4RK1 b - -,h6g7
3rkb1r/ppq3pp/2p1bp2/P3n3/5B2/2N3P1/1P2PPBP/R1Q2RK1 b k -,a7a6
1r4k1/3nbpp1/2pqb2p/r2p4/Pp1P4/1Q1BP3/N1N2PPP/RR4K1 b - -,c6c5
r1b1nrk1/p4p1p/3Pp1pb/8/pPBB4/P1P2P2/6PP/2KR3R w - -,c1b1
8/8/2n1k1p1/1bB1p1N1/4P2P/4KP2/8/8 b - -,e6f6
3Q2k1/1R4r1/2bpp1p1/5p2/2r5/6P1/P3PP1K/8 b - -,g8h7
4r1k1/7p/1p3p2/p2pNb1p/3P1P1P/2R5/PP3P2/6K1 w - -,e5c6
r2q1rk1/ppnn1pbp/2pp2p1/4p3/1PPPP3/P1N1B1PP/5PB1/R2Q1RK1 w - -,a1c1
8/6K1/5N2/8/8/5rk1/8/4R3 b - -,f3a3
r3k1nr/pp3ppp/q3p3/1b1pP1B1/1b6/1P6/P2NBPPP/R2QK2R w KQkq -,e2b5
1r1r2k1/1bq1bpp1/ppn1pn1p/2p5/2P3P1/2N1PN1P/P2PQPB1/BR1R2K1 b - -,b7a8
2r4r/4bkp1/pq2p3/1pp1B1p1/6Q1/6P1/PP2NP1P/4R1K1 b - -,b6c6
3r2k1/pp2Rp1p/2pq2p1/3n3P/3R4/P4Q2/BP3PP1/6K1 b - -,d6e7
rnbqr1k1/p4ppp/1pp2n2/3p4/1P1P1P2/P1NB1P2/6PP/R1BQ1RK1 b - b3,c8a6
r2r2k1/1pp2ppp/8/p1q5/3p4/P2P2P1/1P1NPPbP/2R1R1K1 w - -,c1c5
8/3k3p/8/n2KPPP1/5B2/P1n5/8/8 w - -,d5c5
5rk1/5p1p/4pqp1/1R1b4/2pn1P2/B1P5/2Q1B1PP/6K1 w - -,c3d4
2rq1rk1/pb1n1ppp/1pn1p3/2bpP3/3N1P2/2P3P1/PP2N1BP/R1BQ1R1K w - -,c1e3
4r1k1/2pbq1r1/1p1p4/pP1Pp1b1/2P2PP1/5N1P/P1Q2R1N/5RK1 w - -,f3g5
2r2bk1/6pp/2P1N3/8/1p2NpP1/3P4/2P4P/6K1 w - -,e6d4
5k2/1B3p1p/p2P4/PbK5/1p6/8/1P2r3/3R4 b - -,f8e8
1rb1k2r/p1pp2bp/2p3p1/3nP3/4N3/2P5/PP3PPP/R1B1KB1R b KQk -,g7e5
1knr1r2/1pqn2p1/2p1Bp2/p3p1p1/P2PP1P1/2P1QPB1/1R5P/1R4K1 b - -,b7b6
2bq1rk1/1pp1n3/3p1Bp1/3Pp2p/1PP1Pp1P/2N2B2/3Q1PP1/4K2R b K -,f8f6
1rb1r1k1/1pq2pbp/p2p1np1/2nP4/P1p1PP2/2N1B1NP/1PB3P1/R2Q1RK1 w - -,d1f3
3r3r/3b4/1n1p1k2/1ppP4/5PB1/PP2NK2/8/3R3R w - -,g4d7
r3kbnr/1pp2q2/p3bp2/2p3pp/4P3/1NN2QB1/PPP2PPP/R4RK1 w kq h6,h2h3
rnbqk1nr/1ppp1ppp/8/p2Np3/1bP5/1Q6/PP1PPPPP/R1B1KBNR b KQkq -,b8c6
3qr3/1p2ppkp/p2p1np1/2rP4/8/2P1R1PP/PP1Q1PB1/4R1K1 w - -,a2a4
2r3k1/5p2/3p1b1p/r2P2pP/2B5/4P1Pq/4QP2/1R2K1R1 b - -,f6c3
5rk1/1rq1ppbp/pp1p1np1/8/P1PQ4/1PN1P3/5PPP/1RBR2K1 w - -,c1b2
3bk3/r5pp/1p1Pp3/p1p1PpPP/PnP2P1B/4K3/1R2N3/8 b - -,g7g6
2r1k2r/2nnbp1p/p2pq1pB/2p5/Qp2P1P1/7P/PP3PB1/RN1R2K1 w k -,e4e5
8/5p2/B1k1n1p1/1p3nP1/8/PP6/2P5/2K1B3 w - -,e1d2
2b5/1k1r1R2/1P6/2B5/1K6/8/8/8 w - -,f7f1
2r5/3k1p2/4b1p1/2p5/1n6/2N3P1/1P3PBP/2R3K1 w - -,c3a4
1k4r1/1p3p2/p6p/4P2P/1P1P4/2P2QN1/q6K/4B3 w - -,e1f2
1R6/4b3/r1p1k1p1/p4p1p/P7/1P1KBP1P/6P1/8 b - -,e6d5
r5k1/pR4p1/4rp1p/5n2/P5N1/2P5/5PPP/3R2K1 b - -,e6b6
2n4r/1pr1ppk1/2bp2pp/p1q1P3/2P2P1Q/1P1R1BN1/P5PP/3R3K b - -,d6e5
1qk3r1/bn4rp/Q3p3/4PpP1/2Pp1B2/3P3P/1R4P1/1R4K1 w - -,a6e6
r1b2rk1/1ppnqpbp/3p1np1/p3p3/P2PP3/2P2NP1/1P1N1PBP/R1BQR1K1 b - a3,b7b6
2r1k2r/pp3ppb/2n1pn1p/q2pN3/1bpP2PP/2N1PPB1/PPP1B3/R2Q1RK1 w k -,d1d2
8/5ppk/7p/r4p2/4b3/p6P/R5P1/4N2K b - -,e4d5
1r6/4kp2/3p2p1/3Bp2p/p1N1P2P/2P3P1/K4P2/8 w - -,f2f4
rn1qk2r/pp1bppbp/5np1/1B1p4/3P4/2N1BN2/PPP1QPPP/R3K2R b KQkq -,e8g8
2rq1nk1/5p1p/1p2pbp1/pP1p4/P1rP1PP1/2P2N2/3BQ2P/R3R1K1 w - -,f3e5
2r1kb2/2q2p2/p2pp3/1b6/3Q1P1p/1NpPBB2/P5PP/2K4R w - -,c1c2
r2qk2r/pbpp1ppp/1pn1pn2/8/2PP4/2P3P1/P2NPPBP/R1BQK2R b KQkq -,e8g8
1k1r3r/1bqpbp2/2n1pp1p/p7/2N1PP2/PN1B4/1P3QPP/R4RK1 w - -,a1c1
7k/1ppq2pp/3p1b2/4B3/2Q3pP/pPPR1r2/P1P2P2/2K4R b - -,f3d3
rnbq1rk1/pp4pp/5n2/2bp1p2/3N4/2NBPP2/PP4PP/R1BQ1RK1 b - -,g7g6
8/1p6/p7/6p1/P4kP1/1PR1b3/5p2/3BnK2 b - -,e1f3
2B5/7p/2p2k2/2P2Np1/5n2/P6R/1r3r2/6K1 w - -,h3h6
2r3k1/ppr2pp1/5n1p/P2p1p2/1P1P4/1P1N1P2/6PP/2R1R1K1 w - -,c1c7
rn2kb1r/pp2pppp/1qp2n2/3p4/3P1B2/1P1QP3/P1P2PPP/RN2K1NR w KQkq -,g1e2
r3r1k1/1pp2ppp/2np2n1/p4P2/P3PP1q/2PQb3/1P1NB2P/R4R1K w - -,f5g6
8/5p1p/4p1p1/1nk5/r1p4P/pb2P1P1/4BP2/R1R1K3 b - h3,c5b4
6k1/1bb3pp/p4n2/1p6/8/P1N2q1P/1PPQ4/3RR1K1 b - -,f3g3
5rk1/ppp2pp1/2n1r1bp/q7/8/2NP4/PPPN1QPP/4RR1K b - -,e6f6
1r3r1k/1pp3bp/3p2p1/1P1Pp2n/3P2q1/1Q4P1/1B2PP1N/1R3RK1 b - -,g4e2
2r1r1k1/2q2pp1/pn1p1b2/1p1PpP1p/4Q3/1NP5/PP2B1PP/1K1R1R2 b - -,b6a4
2b2r2/r2qnppk/pb1p3p/2p1p3/R1B1P1N1/2PPB1PP/1P2QP2/R5K1 b - -,a6a5
8/8/8/5p1p/1PP2Bk1/1b2K1P1/8/8 w - -,c4c5
3r2k1/1P3pp1/4r3/8/P2bp2P/2N1Pb2/1P3P2/R1B3K1 w - -,e3d4
8/6p1/1p2p3/pPk1p2P/P1P2n2/8/5K1R/4rB2 b - -,e1a1
3r1rk1/ppp2qbp/1nn1bpp1/4p3/4P3/2PBBNNP/PP2QPP1/R2R2K1 w - -,b2b3
3r3r/5ppp/1Pk1p3/2N5/1P6/2b2P2/2B2P1P/4R1K1 w - -,c2e4
3r1r2/p5bk/4p2p/P2q1p2/3P1p2/5P2/3Q1BPP/2R2R1K w - -,d2f4
2rq1rk1/p3bppp/bpnppn2/2p5/4P3/2PP1NP1/PP2QPBP/R1B1RNK1 w - -,h2h3
r2qr1k1/pp3ppp/5n2/3p4/8/1P1QPN2/1PP3PP/R4RK1 b - -,d8b6
3n4/1kp1bpn1/1p1p3p/3Pp1pP/NPP1P1P1/4BPN1/2K5/8 b - -,b7a6
r1b1k2r/ppp1qpb1/5npp/4p3/2B1P3/2P5/PP2QPPP/RNB2RK1 w kq -,f2f3
2r2r2/p4pbk/1n4p1/2N4p/PP5P/3P2P1/4PPB1/BR4K1 w - -,a4a5
r1bqk1nr/ppp2pbp/2np2p1/8/4P3/2N1Q3/PPPB1PPP/2KR1BNR b kq -,g8f6:c8d7
r2q1rk1/pp1nbppp/2p3n1/8/8/2PP2PP/P2NP1B1/R1B1QR1K w - -,a1b1
r2qk2r/pp1n1ppp/2pbbp2/3p4/3P4/4P1P1/PPPNNPBP/R2QK2R b KQkq -,f6f5
6k1/4qp1p/3r2p1/R7/1p2p3/1P2P1P1/PQ3P1P/6K1 b - -,e7d8
8/R4pk1/6p1/4P1Kp/5P2/p5P1/P3r2P/8 w - -,h2h3
1r3rk1/2q1bppp/pBnpp3/1p6/4PP2/1N3B2/PPPQ2PP/R4R1K b - -,c7b6
rnbqk2r/ppppnpbp/6p1/4p3/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq -,c2c4
r1bqkb1r/1p1n1ppp/p1p1pn2/8/2pP4/2NBPN2/PP3PPP/R1BQ1RK1 w kq -,d3c4
3rqn1k/p5p1/1p3p1p/1b1p1B2/1B1P3P/P5Q1/1P3PP1/6K1 b - -,a7a5
7r/1p6/5n2/1N1bk1p1/P3p3/4PpKP/2BR1P2/8 b - -,d5e6
r1b1r1k1/ppp2ppp/3b1qn1/2p1p3/P1N1P3/1P1P4/1BP2PPP/R2QNRK1 b - -,f6e7
r3kbnr/pp1n1ppp/q3p3/1b1pP3/1P6/2PBBN2/P4PPP/RN1Q1RK1 w kq -,d3b5
5rk1/5ppp/1pR1p3/5n2/1qP3Q1/7P/5PP1/3R2K1 b - -,b6b5
r2q1rk1/pp1n1pp1/2pbpn1p/5b2/3PB2B/2P2N2/PP1NQPPP/R4RK1 b - -,f5e4
2r2rk1/p4pp1/2P1pn1p/4N2P/1bR5/7q/PP2QP2/1KR5 w - -,c4b4
r1bqk2r/pp1nppbp/2p2Np1/8/3P4/2P2N1P/PP3PP1/R1BQKB1R b KQkq -,d7f6
2q2rk1/3R1pp1/pbQ4p/1p5P/4Pp2/PP3N2/1P3PP1/6K1 w - -,f3e5
r1q1k2r/1p2bpp1/p1p1pn1p/3nN3/3PN3/6B1/PPP1QPPP/3RR1K1 b kq -,f6e4
1q4k1/pb3pbp/3pn1p1/8/NQ1P4/1P3N1P/P4PP1/2B3K1 b - -,b8c7
