8/8/3rk3/1R2pp2/8/5PK1/8/8 w - -,b5a5
r2q1rk1/pp1n1pp1/2p2np1/2BPp3/2P1P3/2N3P1/PP2B2P/R2Q1RK1 b - -,d7c5
rr6/p1pn1kpp/3bp3/3p4/1P3P2/P2B4/2PB2PP/R3K2R b KQ f3,c7c5
rn1q1rk1/pb3ppp/1p2pn2/2bp4/2P5/2N2NP1/PP1BPPBP/R2Q1RK1 w - d6,f3e1
r3q2r/2pb1pk1/1p1p1n2/p2Pp1Pp/P1P1P3/1P3P1P/2Q1N2K/R3RB2 b - -,f6h7
8/3k1pp1/p1pr1q1p/PnR2P2/4B2P/1Q2P3/4KP2/8 b - -,f6e7
r2q1rk1/pp3pp1/2nb1nbp/3p4/3N2P1/1NP1BP1P/PP4B1/R2QR1K1 b - -,a7a6
3rr1k1/1bq2pbp/pp3np1/3pP3/2P5/1P1Q4/PB1N2PP/2R2RK1 w - -,e5f6
8/1R6/8/1p6/1r2p3/3rP2R/P1K1k3/8 b - -,d3d2
3q2k1/4bpp1/2n1p2p/2n1P3/r1P2QPP/3p1NB1/5P2/1R3BK1 w - -,b1d1
r4rk1/3bqp2/3p3p/1pbP2p1/3N4/1RN1P1P1/5PP1/1Q3RK1 b - -,b5b4
2r3k1/b2qnppp/p4n2/1p1p4/1P1P4/P2Q1BP1/1B2NP1P/2R3K1 w - -,c1c8
8/8/5kpp/8/2r4P/5NP1/5PK1/8 b - h3,f6f5
8/4N3/8/4p2p/4K1kn/8/8/8 b - -,h4f3
r7/P1n4p/2N1k1p1/5p2/4p3/6P1/5PKP/1R6 w - -,b1b8
r1b1kb1r/pp4pp/1nn1p3/2ppP3/5P2/2P1BNP1/q3NK1P/1R1Q1B1R w kq -,b1a1
r4k1r/2p2p2/p2pq2p/1pP2B2/3b1P2/6P1/PPQ5/2KR3R b - -,e6e3
r3k2r/pp3ppp/2p5/2b1n3/4P1n1/2N3P1/PP2BP1P/R1BR2K1 w kq -,d1f1
5k2/p4rp1/1pp2p2/4pP2/4PnN1/3q1BQ1/P2r3P/6RK w - -,g4f2
1r6/6R1/2p2r1p/pp2kp1N/P3p3/1BP1P3/1P6/7K b - -,b5a4
8/4R3/4p3/3kP3/2r2P2/4K3/2P5/8 w - -,e7d7
r1b2rk1/pp3pp1/2p2n1p/q7/1b1p4/P1N3P1/1PPQN1BP/3R1RK1 w - -,a3b4
3qbrk1/5ppp/1p2p3/2p5/2P1B3/3P4/1P3PPP/Q4RK1 w - -,f1d1
8/1p3pk1/6p1/p1p1Q1P1/P1P1P3/1q6/5P2/2K5 b - -,g7h7
8/8/Pb6/5k1p/8/5p2/4pB2/5K2 w - -,f1e1
r6k/1p4b1/p3Q2p/3pP3/8/8/1qPKBrPP/4R2R w - -,d2e3
1r1q2k1/p1pN1n1p/2p1Bbp1/8/5p1P/8/PPQ2PP1/5RK1 b - -,b8b2
2nq1r1k/3b2b1/3p1pp1/1NpPp2p/4PP1P/3P2P1/2QB2BK/1R6 b - f3,h8h7
r2q1rk1/pp1n1pp1/4p1Bp/3pP3/Pb1P4/5N2/1P2QPPP/R1B2RK1 b - -,f7g6
r3rkn1/p2q1p2/1pn4p/2p1PPp1/3p1P2/P5B1/1PB3QP/2KR2R1 b - f3,c5c4
rnbq1rk1/p3p1bp/1pp2ppn/3pP3/1P1P1P2/2N2N2/P1P1B1PP/R1BQ1RK1 b - b3,c8b7
3KB3/8/8/R7/3k3P/5pr1/8/8 b - -,f3f2
8/8/8/8/R5p1/5bk1/1r6/6K1 w - -,a4a1
r3k2r/pp1n1p2/7p/2Pp2p1/1b2n3/2N1P1B1/qPQ2PPP/2R1K1NR w Kkq -,g1e2
6r1/k7/P7/1P6/2P4R/7K/8/8 b - -,a7a8
r1b1kb1r/1p1npp2/p2p1n2/2q5/3NP3/2N1BQ2/PPP3PP/R3KB1R b KQkq -,d7e5
r1bqnrk1/1pp3b1/3p4/p1nPp1pp/1PP1Pp2/P1N2P2/2QNBBPP/R4RK1 b - b3,c5a6
8/6pk/3P4/4Bp2/p3nPp1/q5P1/7P/6QK w - -,g1f1
rn1qk2r/1b2bppp/p2ppn2/1p6/3NP3/P1NB4/1PP2PPP/R1BQ1R1K w kq -,f2f4
8/7k/p4r2/1p2pb1P/3p1n2/N5R1/PPPK4/5B2 w - -,c2c4
r2qk2r/pppnb1p1/4p1p1/4P3/6P1/5N1P/PP3P2/R1BQ1RK1 w kq -,d1c2
3r4/4k2p/pN2p1p1/3b1p2/3P4/P5P1/1P3PP1/2r1R1K1 w - -,e1c1
2r2rk1/p1b1n1p1/4pq1p/3p4/1ppPP2N/6P1/PPQ1BP1P/3R1RK1 w - -,e4e5
4rrk1/2q1p1bp/pp2b1p1/n1p1p3/1nP2PP1/1PN2N1P/PB2Q3/RB3RK1 w - -,f3g5
8/1k5p/8/2P5/3pPp2/3K4/7P/8 w - -,d3d4
rnb1k1nr/bpq2p1p/p2pp1p1/8/3NP2Q/1NP1B3/P3BPPP/R4RK1 b kq -,c7e7
r1bq2rb/4np1k/p1n3pp/3pP3/NppP1PP1/4BQNP/PP4BK/R4R2 b - -,a8b8
2R5/1p2rk2/1P5p/2b2Bp1/6P1/7n/8/5K2 w - -,c8c5
3q1rk1/5p1p/3pp1p1/p6P/6P1/3PB3/PR6/2KR1B2 b - -,a5a4
2r1k2r/1p2qp1n/pn1pb1p1/3Np2p/4P3/1B2NQ1P/PPP2PP1/R3K2R b KQk -,b6d5
r2q1rk1/pp2n1b1/2n3pp/3p1b2/2pPp3/1PP1B1P1/P2N1PBP/R1NQ1RK1 b - -,b7b5
4br2/1p2p2k/2pn2pp/4Q3/1P1PP3/3B1q2/1B3P2/4K1R1 w - -,e5g3
2br1rk1/2Q1b2p/p3p1p1/5p2/2p2P2/2B5/PPP3PP/5R1K b - -,d8d7
2b2b1r/2k3pp/1B2Rp2/2p5/p1P5/1P4PB/P4P1P/2K5 b - -,c7b7
r6k/p5q1/1p1p3b/1P1P1r2/P1N3b1/1R3PP1/5Q2/4RB1K w - -,f3f4
3r1rk1/2p1qppn/p3b2p/1p2p3/2n1P1PN/2P3QP/PPB2P2/R1B1K1R1 w Q -,h4f5
8/1p3p2/3pk3/4b2p/p1P1P2P/2PK4/P4B2/8 w - -,f2e1
r3kb1r/qp3p2/p2ppp2/P3n2p/R3P3/1N6/1PPQBPPP/5RK1 b kq -,f8e7
3r4/1p3pbk/6pp/1pq5/3P4/P3B1P1/1P1R1P1P/6K1 w - -,d4c5
8/4k3/4P2K/4r1RP/8/8/8/8 b - -,e5e6
8/1kpq1pp1/ppn1rnp1/3p4/3P1BPP/P2Q1P2/1PP3K1/3N3R b - -,e6e8
2r2b1r/pp1k2p1/4pp1p/3p3P/8/3QB1N1/q1P2PP1/2KR3R b - -,f8b4
r4r1k/1b2bppp/1q1p4/p2Bp3/R3P3/2P5/1PN2PPP/3Q1RK1 w - -,b2b4
8/pp1r3p/2p2kp1/4np2/7P/2P2PP1/PPR1BK2/8 b - -,h7h6
r1r4q/1p2pp1k/3p1bp1/p1nP3p/2P5/1P2BP2/P1RQ2PP/4RBK1 w - -,c2c1
r1bq1rk1/1p2bppp/pn2p3/3nP3/P1BQ4/1P3N2/1B1N1PPP/R4RK1 b - -,d5b4
R7/1p3r2/b1P1k2p/p6P/8/K1P2B2/6P1/8 w - -,a8a7
3qr1k1/1p5p/p2N1pn1/2pP1p2/P1Pb1Bn1/3B4/1P1Q2P1/3R3K w - -,d1f1
5r2/p4r2/bp2p2k/6p1/7n/2N2B1P/PP2P2K/3R2R1 w - -,f3g4
r1b2rk1/p1p2ppp/1p1qn3/3N4/2P1P3/1B1QB2P/P4RP1/5RK1 b - c3,c7c5
2r1k2r/1p3ppp/pq1pbb2/4p3/3nP3/2N1N1P1/PPP2P1P/1R1QKB1R w Kk -,f1g2
r1b1r1k1/ppq2pbp/2pp1np1/2n5/2PNP3/2N1BPPP/PPR3B1/R2Q2K1 b - -,a7a5
3rbb1k/2q2p2/B3pPpP/4p1N1/pp2P2Q/1P4R1/1PP4P/2K5 w - -,b3a4
r3n2k/6b1/1RP5/6pp/3P4/2N1Pq2/P4P1B/2R3K1 w - -,b6b5
2r4k/5p2/p1pQ1Pp1/3P3p/5pP1/7R/P1P4P/3q1K2 w - -,f1f2
6k1/1R4pp/P7/8/2p5/1P1pK2P/6P1/4r3 w - -,e3d2
1kr4r/1b1p4/p1q1p1p1/np6/4PP1p/bBP4N/P2BQ1PP/2R1R2K w - -,c1c2
rnb1k2r/pp1p1ppp/4pn2/8/Nb3B2/2P1PN2/Pq3PPP/R2QKB1R b KQkq -,b4c3
r3kbnr/pp3ppp/1qn1p3/3pPb2/3P4/P4N2/1P2BPPP/RNBQ1RK1 b kq -,f5b1
8/8/2p3k1/p1P3P1/Pp3P2/3K4/8/8 w - -,d3e4
3k4/1p2Rp2/1r3Pp1/3P4/7p/1pK4P/6P1/8 w - -,c3b2
r3r1k1/pp3qbp/2ppb1n1/3N4/2B2P2/4B3/PPP3PQ/2KR3R w - -,f4f5
r4r1k/1p4p1/p1p4p/2PRp3/4p2P/P1Q1P3/1PR2P2/4KBq1 b - -,c6d5
r1bqr1k1/ppp1b2p/3p4/3P1nP1/2P1p3/4B3/PP1QBN1P/R4RK1 w - -,f2g4
4r2k/p5pp/1p1Q4/4P3/1P2P3/P3q3/6BK/2R5 b - -,e3c1
r4n1r/1bk1q1p1/p3p3/1PNpPp1p/2pP1P2/2P5/1PB2QPP/R4RK1 b - -,a6b5
8/p3k1p1/4p2p/2b2p2/2P5/2prPBP1/P1R2P1P/6K1 w - -,g1f1
rnbq1rk1/5ppp/2p1pn2/pp4B1/PbpP4/2N2NP1/1P2PPBP/R2Q1RK1 b - -,d8b6
rnb1kb1r/pp3pp1/2p1pq1p/3p4/2PP4/1QN2N2/PP2PPPP/R3KB1R b KQkq -,b8d7:a7a5
2r3k1/1p3ppp/pB6/P3p3/1bP3P1/1b6/3RKP1P/2R5 b - -,b4d2
8/1R3p1p/4b1p1/4B1P1/1p3P1P/1k6/2rK4/8 w - -,d2e3
r1b2rk1/ppq2pbp/2pp1np1/P3n3/4P3/2N1BN1P/1PP1BPP1/R2QK2R w KQ -,f3e5
r4rk1/ppqb2pp/2nbpn2/3p4/3P4/3BBNN1/PP3PPP/2RQ1RK1 b - -,a7a6
r4r1k/ppp1q1b1/1nn3PR/4P3/4p3/4Q3/PP2B1PP/3R2K1 b - -,g7h6
r1b2rk1/pp1n2pp/4pp2/q2pP3/N2p1P2/8/P2N2PP/1R1QKB1R w K -,e5f6
3rr1k1/1pq2p1p/p5pb/3bp3/8/1NPB1P2/PP2Q1PP/R4R1K w - -,a1d1
r4rk1/4ppbp/3p2p1/3Pn3/1Pp1q3/2B1N1P1/1P3P1P/1R1Q1RK1 w - -,c3e5
r1b1r1k1/b4ppp/2np4/3Np3/1p2P1P1/6P1/PP2NPBK/R1q2R2 w - -,a1c1
r4rk1/pb1nq1pp/1ppbpn2/3pNp2/2PP1P2/1PN1P3/PB2B1PP/R2Q1RK1 w - -,d1c2
5rk1/2rq2pp/1p1np3/3p4/1P1PpP2/1NP1R2P/6P1/2R2QK1 b - -,f8c8
rnb1nrk1/2q1bp1p/p2p2p1/1ppPp3/4P1P1/P1N3NP/1PP2PB1/R1BQ1RK1 w - -,f2f4
r4rk1/5ppp/ppq1n3/2pRP3/P3Q3/4B3/1P3PPP/3R2K1 b - -,e6c7
4r1k1/p4pp1/3Q1n1p/q1p5/P2p4/1P1b2NP/2P2PPK/3R4 w - -,d1d3
rn2kb1r/ppq2ppp/2p1pn2/7b/3P4/P1N1BN1P/1PPQBPP1/R3K2R b KQkq -,f8d6
1rb1rnk1/1p2ppbp/p2p2p1/q1pP4/P1P2P2/2NQ2PP/1P2PBBK/R1R5 b - -,c8d7
r7/6kp/3pB3/ppnP4/5r2/4R3/P4PKP/4R3 w - a6,g2g3
1R6/3r1k1p/1p6/p2p1pB1/b2RpP2/6KP/2r5/8 b - -,b6b5
r3kb1r/p4ppp/b3p3/q1p1Pn2/2P1Q3/B4N2/P1PN1PPP/1R3RK1 b kq -,a8c8
r2r4/2p2p1p/2p1b1p1/pkN5/4PP2/pP2B2P/1KP3P1/4R3 w - -,b2a3
r5k1/ppp3b1/n2pN1p1/3Pr2p/2P2p1q/2N2B1P/PP3P2/R2Q2KR b - -,a6c5
5k1r/pp1qppb1/3p2p1/2rP2P1/P1PNR3/1P1n1P2/5BQ1/5RK1 b - -,d3f2
r2r2k1/1p3bpp/2n2p2/2q1pP2/p1PpP3/P2Q2P1/1P1N2BP/2R1R1K1 w - -,c1c2
r1b1kb1r/pp1n1p1p/1q1pp3/2pP1p2/2P5/2N1PN2/PP3PPP/R1Q1KB1R b KQkq -,d7f6
rnbq1rk1/ppp2pbp/3ppnp1/6B1/2PPP3/2N2N2/PP2BPPP/R2QK2R b KQ -,d8e8
8/8/5k2/3n4/4NPP1/5K2/8/8 b - -,f6e6
r2qkb1r/5p1p/p1p3b1/2ppp3/6N1/4P1N1/PPP3PP/R2Q1RK1 b kq -,d8d6
r3k2r/pp2bppp/2bppn2/q7/4P2B/2NQ1N2/PPP2PPP/2KR3R b kq -,e8g8
8/5k2/R6p/p4P2/P3K3/8/8/7r b - -,h1e1
6k1/pp3r1p/3q2p1/2r4P/6P1/8/PPPR4/2K1R3 w - -,d2d6
r1b1nrk1/p3qpbp/npPpp1p1/4P3/2B2P2/P1N1BNQ1/1PP3PP/4RRK1 w - -,c3b5
7Q/p2b1p2/5P2/2k5/8/6P1/5P2/3q2K1 w - -,g1h2
1r1qnrk1/1b1n1p1p/p7/6pP/1p1PN3/1P2P3/PBQ1BP2/R3K1R1 b Q -,b8c8
r4rk1/1pq3b1/p3p2p/3pP3/3Q4/8/PPP3PP/2K1RB1R b - -,c7a5
r2qk2r/1b5p/p2p1npB/3Ppp2/1p6/2P2QP1/PP3PBP/R4RK1 w kq -,h6g7
8/8/2n5/1p1k4/2b5/B1K5/8/8 b - -,c6e5
rr6/p1p2pkp/6p1/8/1P1N1Pb1/4RP2/1PP4P/3R2K1 b - -,g4h3
5rk1/3p1r1p/p5p1/1p1PR1pn/3B4/6P1/PP3P1P/3R2K1 w - -,e5g5
r2q1rk1/pp3bpp/1np2p2/3P4/2P5/P1B2PP1/Q4KBP/R3R3 w - -,c3b4
8/5R2/6k1/3Bp1p1/1p2P1P1/6K1/2q5/8 w - -,f7f3
1B6/5kp1/1P3p2/3b3p/7P/5P2/6P1/6K1 b - -,f7e6
r3rnk1/pp1nb1p1/2p1b2p/q2p1p2/P2P1BP1/2NNP2P/1PQ2PB1/R2R2K1 w - f6,b2b4
3r3k/p4p1p/1p2p1r1/2p4Q/P6P/1P3B2/2PP1q2/1K1R4 b - -,f7f5
r1bqnrk1/p2p1ppp/1pn1p3/2p1P3/2PP4/P1PB4/4NPPP/R1BQK2R b KQ -,f7f5:c8a6
rq2k2r/3bbpp1/3p1n1p/p3p3/1pP1P3/1P1QNN2/PB3PPP/R4RK1 b kq -,e8g8
6k1/r5p1/4K1Np/1p5P/2p5/2B5/p5b1/8 b - -,a7a6
r4rk1/1bq1bppp/pp1ppn2/8/N1PR4/1P3NP1/P1Q1PPBP/3R2K1 w - -,d1c1
rnbqk1nr/pp1pppbp/6p1/2p5/4P3/3P2P1/PPP2P1P/RNBQKBNR w KQkq -,f1g2
8/5r1b/3B3P/4R1K1/4k3/8/8/8 b - -,e4f3
5k2/1R5B/1p6/1P6/8/8/r4bKP/8 w - -,g2f3
8/4k2p/1p3r1b/1PpPrP2/6R1/1P1Bp2P/4R3/7K w - -,d3e4
5br1/r2kp1p1/pp5p/2nPN3/2RB4/8/PP3PPP/3R2K1 b - -,d7d6
1rr3k1/ppq1bppp/2n1p3/1R1pP2b/P2p4/B1P2N1P/2PQBPP1/5RK1 w - -,a3e7
3r3r/kq1P1P2/1N5p/1b1Q1Pp1/p2R4/1pP5/7P/5RK1 w - -,d5b5
5q2/5p2/3r2pk/1B1pQn2/3P1P1p/2R1P2P/6PK/8 b - -,f7f6
8/5pkn/1q1p4/3Pp1PP/4P3/4R1Q1/2r2BK1/8 b - -,b6d8
3rr1k1/pbq2ppp/5n2/2bp1N2/8/1PPQ2P1/PB3PBP/R3R1K1 b - -,f6g4
rnbqk2r/ppp2ppp/1b1p1n2/8/1PBpP3/P1N2N2/2P2PPP/R1BQK2R w KQkq -,f3d4
r1bqr1k1/1ppp1pp1/p2b1n1p/4n1B1/4P3/2NB3P/PPP1NPP1/R2QK2R w KQ -,g5e3
8/bpp2ppk/p1n4p/P3p2P/1PQ1P3/2P3P1/2q1BPK1/6N1 b - -,h7g8
8/p7/5n2/B2p1kp1/3P4/1P2PK2/8/8 b - -,g5g4
r1bq1rk1/4pp1p/ppp3pQ/2p5/4P1nP/2NP1N2/PPP2PP1/R3K2R w KQ -,h6d2
2kr1b1r/pp3p1p/4pp2/3q4/2P5/7P/PP2QPP1/RN3RK1 b - -,d5c6
8/3k4/2pn1p2/4p1p1/PPp1P2r/4R2P/1K1N4/8 w - -,b2c3
8/2r2k2/1p3pp1/3R4/2PK2PP/4P3/8/8 w - -,d5d6
r4rk1/pppqnppp/2npb3/4p3/2P1P3/2P3PP/PP2QPB1/R1B1KN1R w KQ -,f1e3
rnb1kb1r/p3pppp/1q3n2/1p6/2pP4/1PN1PN2/5PPP/R1BQKB1R b KQkq -,c8a6
3R4/8/8/2pk3p/2p2r1P/8/1KP5/8 b - -,d5e4
r7/1pknr1pp/2p5/p1Pp1p2/3R3P/PPR1PP2/1N3KP1/8 b - -,d7f8
8/8/8/7k/5pn1/6r1/R5PK/8 w - -,h2g1
8/8/p7/8/1p5P/kP4K1/P7/8 w - -,h4h5
2kr3r/1bpnqp2/pp1pp1pb/8/P2PPP1p/1NN4P/1PP1QBP1/4RRK1 w - -,e2g4
6k1/1p4p1/p1nqpr1p/3p4/1P1P4/P4N2/4Q1PP/4R1K1 w - -,e2d2
r1b1r1k1/p4pp1/1pp4p/8/4Pb2/1B2Q1NP/PP2n1PK/R2RBq2 w - -,e1f2
r1b2r1k/ppqn1pp1/4p2p/3pP3/2p2B2/2P1P1QP/PPB2PP1/R4RK1 w - -,g3h4
4k3/5p2/4p3/2R1P1P1/2pB2b1/2P5/8/2K1r3 w - -,c1d2
r1n4k/5nb1/1p6/2pPp3/2P1Ppq1/2B5/1Q5P/1RN2BK1 w - -,b2g2
1r4k1/p4ppp/8/2R5/8/b4NP1/P3bPBP/6K1 w - -,c5e5
2b5/1p3pp1/2pk3p/1p1r4/1P6/2PB1P2/1P3KPP/R7 w - -,f2e2
r1qr2k1/pp2ppbp/1n2b1p1/1p4N1/2pPPP2/4B1PP/PP1Q2B1/2KR3R w - -,d2b4
8/6rp/2RN4/kp4P1/p1pK4/P7/1PP5/8 w - -,c6c5
3r2k1/p4qbp/4R1p1/1p1P4/1P2Q3/2p3P1/P1N2P2/6K1 w - -,g1g2
8/1kB2K2/1P4p1/1P3p1b/7P/6P1/8/8 w - -,f7f6
8/p4pbk/6pp/2p1PP2/1p1nBQP1/1q4BP/7K/8 b - -,d4e2
2r2rk1/1bqn1ppp/p1n1p3/1pbpP3/3N1P2/P1P1BN2/1P1QB1PP/R4RK1 b - -,c6a5
r3nrk1/1pq1b1pp/p2pbp2/8/4PB2/2N3Q1/PPP1B1PP/3R1R1K w - -,e2g4
r2qk2r/pppbbppp/2np2n1/8/4PP2/2N1Q3/PPPB2PP/2KR1BNR w kq -,f1d3
r3k2r/1q2bppp/p1p5/3pPb2/Q7/4B3/PP1N1PPP/R2R2K1 b kq -,e8g8
4rq1k/2p3bp/prN2pp1/2p1P3/2Q2P2/1P4PP/P5K1/3RR3 w - -,c4e4
2r2b1k/5ppp/3p2n1/4p2N/p3P3/PqB2P2/1P1R2PP/4Q1K1 w - -,e1d1
3r1b2/2pr1n2/pp2pk2/4p1pp/PP2P3/2P1NPP1/2R1K2P/R3B3 w - -,c3c4
8/5p2/5R2/p1k5/2P2K2/1P2Np2/P4P1r/6n1 w - -,e3g4
1r2k2r/p1pq4/5bp1/1P3p2/2Pp3p/Q3PNP1/P4P1P/3R1RK1 b k -,h4g3
5bk1/4qp1p/6p1/p7/3P4/2B1rBP1/P1Q4P/4N1K1 w - -,c2d2
rn2kb1r/pbpp1p2/1p2pqpp/8/3PP3/3B1N2/PPP2PPP/RN1Q1RK1 w kq -,b1c3
8/8/5k2/8/1P6/6r1/2K1R3/8 b - -,g3h3
rnb1kb1r/7p/p2p1q2/2pP4/PpN2p2/8/1P1BPP1P/R2QKB1R b KQkq -,a8a7
1rb2k2/p1p2ppp/2pp4/8/1r1PP3/1PN1P2P/P2R1KP1/4R3 b - -,f8e7
5rk1/p3qp1p/2p1b1p1/3pP3/2P5/4Q3/Pr1N1PPP/R3R1K1 w - -,a2a3
r2qk2r/pp1n1ppp/2p1pn2/2bp4/4P3/P1NP1QPP/1PP2PB1/R1B1K2R b KQkq -,e8g8
rn1qk2r/1b3ppp/p2bpn2/1p6/8/3BBN2/PPPNQPPP/R4RK1 b kq -,d8c7
r1bqkb1r/p2n1p1p/2n1p1p1/1pppP3/3P1P2/2P3PB/PP2N2P/RNBQK2R w KQkq -,b1d2
8/6k1/8/6b1/1Q6/3N4/PPP3q1/1K6 b - -,g2g1
4r1k1/5p1p/6p1/2R5/1PQ2P2/7q/5K2/8 b - -,h3h2
1r1q1k1r/ppp1nppp/6b1/4P1N1/1nPN2P1/3pP2P/PP3PB1/R2Q1RK1 b - -,d8d7
3r1nk1/4p2p/3q2p1/p1rp4/8/4PQPB/P6P/3R1RK1 b - -,d6e5
7k/8/8/8/2p3Bp/2K5/5P2/5b2 b - -,h8g7
r2q1rk1/pppnnpbp/3p2p1/3Pp3/2P1P3/2N1BN2/PP3PPP/R2Q1RK1 b - -,h7h6
4r3/1b4k1/p1p5/PpP1rNp1/1n6/4p1P1/4R1B1/5RK1 b - -,g7g6
r1b1k2r/ppP2p2/n7/7p/2P3nR/1Qb1PNB1/q2N1PP1/1R2KB2 b kq -,a2b3
2kr2nr/1bqn1pb1/p2pp3/P1p5/N1BPP2p/2P1BPN1/1P1Q3P/R4RK1 w - -,g3e2
2r5/7p/p3kpp1/P3p3/2n5/4B2P/4KPP1/1R6 b - -,c8c6
r2qk2r/1p1b1p1p/p3p1p1/3pP2n/1b6/2NBPN2/PPQ2PPP/R4RK1 b kq -,a8c8
5r1k/pp3p2/8/4N3/1n1p3p/1P6/3K1PPP/2R5 b - -,b4a6
1r2k2r/5pb1/4p2p/Np2n1p1/2p1P1P1/2B2P2/PPP4P/2KR3R w k -,f3f4
r1bqk2r/pp2ppbp/4n1p1/2p5/3nNP2/2BP2P1/PP1QP1BP/R3K1NR b KQkq -,f7f6
5Q2/4p2p/3pk3/1p2p3/5q1n/P2P1PRP/1P4RK/2r5 w - -,f8f4
2r3k1/p4pp1/3Qb3/1R2p2p/2P1Pq2/3B1P1P/6PK/8 w - -,h2g1
r1b1k2r/pp2bppp/2n1p3/7Q/4Rq2/1NNB4/PPP2PPP/R5K1 b kq -,f4f6
4rr1k/p2b2qp/3p2n1/2pP1p2/2P1nN2/P1N5/3QBRPP/5RK1 w - -,c3e4
1r2r1k1/1bqn1pbp/2pp1np1/1p2p3/3PP3/BP3NNP/2PQ1PP1/3RRBK1 b - -,e5d4
1rq5/1p4bk/p1B2rpp/4pp2/8/4B1PP/PPQ1PP1K/2RR4 b - -,f6c6
4b3/8/4P3/6Rp/8/6P1/2pK1k2/8 b - -,e8a4
2r1r1k1/pp1bbppp/6q1/2p5/2PpNP2/3P2P1/PP4BP/R3RQK1 b - -,e7d8
3r2k1/pq4pp/3b1p2/3bp3/Q2p4/3P2P1/PPR1PP1P/2R3K1 b - -,d5e6
