1R6/8/3nk3/1n2N2p/5P2/5K2/7P/8 w - -,b8h8
r1bq1rk1/pp1N1pbp/2p1pnp1/3p4/2PP4/2N3P1/PP2PPBP/R1BQ1RK1 b - -,f6d7
r1bq1rk1/1p2ppbp/p1np1np1/8/2P1P3/2N1B3/PPN1BPPP/R2Q1RK1 b - -,f6d7:a8b8
8/7R/8/1p3p1P/5k2/5P2/1r2K3/8 w - -,e2e1
2q2rk1/2P1bppp/rp2pn2/1N1p4/pp1PnB2/P3P2P/3N1PP1/2RQK2R w K -,f2f3
rn2r1k1/pp1b1pbp/6p1/q2P4/2p1nB2/1Q3NP1/PP1NPPBP/R3K2R w KQ -,b3b7
8/1p2r1pp/p1k5/8/PPPK2P1/5R1P/8/8 b - -,e7d7
6k1/pr3p1p/R3p1p1/4P3/Q4P1q/2r2b2/1P4BP/R6K w - -,b2c3
2r3k1/pp3ppp/4p3/2r5/2p2P2/1P1b2P1/P5BP/2RR3K b - -,b7b5
r4rk1/5p2/4p2b/1ppnP1Np/p2p2R1/P2P2B1/1PP2PK1/R7 w - -,a1h1
8/1ppk3p/4q1p1/4Qp2/2bPp2P/4P1P1/5PB1/6K1 w - -,e5h8
1r4k1/1q5p/p1pR2p1/4p3/P1p1P3/2Q2PpP/1PP3P1/1K6 b - -,b7b4
r2q1rk1/1p3pbp/3pbnp1/p7/4P3/2N1BP2/PP1Q2PP/R3KB1R w KQ -,a1d1
r2r2k1/1p2ppbp/p1n3p1/q1pP4/4P1b1/2P1BN2/P2QBPPP/2R2RK1 b - -,a8c8
8/p3q1bk/1p1r2np/3R4/2P5/6N1/PPQ1BB1P/6K1 b - -,d6e6
r4rk1/1pp2ppp/p4n2/3P4/2P5/3R1P2/Pq4PP/RN1Q1K2 b - -,b2a1
r1bq1k1r/pppp3p/2n2ppb/8/2BPQ3/2N5/PPP2PPP/R3K1NR b KQ -,d7d5
k6r/pp2rppp/3bp3/R7/2qP2P1/2B2Q1P/P4PB1/KR6 b - -,h8b8
r4r1k/1pp3q1/3p1b2/p2Pp2p/2P2pbP/2N3P1/PP2QPB1/2R2RK1 w - -,g2f3
k2r1r2/p3R3/1p6/8/2pp1B2/n5P1/1R3P2/6K1 w - -,f4c7
r3r1k1/1bqn1pbp/p5p1/2pn4/PpN5/3B2NP/1PPB1PP1/R2Q1RK1 b - -,d7e5
r1bq3r/1p2b1k1/2n1p3/p1PpNnpp/P7/1N1B3P/1PP2PPQ/R1B1K2R b KQ -,c6e5
rr5k/1b4pp/p4R2/8/1p6/1B3N1P/PP2nPP1/R4K2 w - -,f6f7
r3r1k1/p4p1p/1p1b1npP/2pP4/2P2PP1/1P1BB3/P1K1R3/7R w - -,g4g5
r1bq1rk1/p1p1bppp/1pnp1n2/4p3/4P3/1BPP1N2/PP1N1PPP/R1BQK2R w KQ -,d2f1
8/p7/5k2/2pn4/2p2Pp1/2P2K2/P7/3N4 w - -,f3g4
1q5k/5p1r/B4n2/2pb2p1/5NP1/4KP2/PPR1N2r/3R1Q2 b - -,b8e5
8/5ppk/4b2p/1p6/1P4P1/5P1P/qQ1R4/rNK5 b - -,a2a7
rr4k1/1b1npp1p/1n1p2p1/q1pP4/7N/1PB3P1/P1Q1PPBP/1R1R2K1 b - -,a5a2
r2q1rk1/pb3p1p/1p2pbp1/2p5/8/P2BP3/1PQB1PPP/3R1RK1 b - -,d8e7
6k1/pN1b1p1p/4r1pB/8/1P1bP3/P7/5PK1/2R5 b - -,e6e4
1qr2bk1/5ppp/2bpp3/1p6/1P2P3/P3Q1PP/1BR2P1K/5B2 b - -,b8b7
r2q1rk1/pp3p2/2n1pb2/2Pp2pB/3P3B/1P5P/P2QNPP1/R2R2K1 b - -,g5h4
r1q1rbk1/pppnnpp1/3p3p/4p3/4P2B/2PPNN2/PP3PPP/R2QR1K1 w - -,d1c2
r1b1kb1r/1pq1ppp1/p2p1n1p/5P2/3NP3/2N2Q2/PPP3PP/R3KB1R b KQkq -,c7c5:e7e6:e7e5:g7g5
rnr3k1/pp3p2/2p4p/4b1p1/5p2/2P5/PP3BPP/3RKB1R b K -,e5f6
rnbq1rk1/1p2bppp/p2p1n2/2p1p3/B1P1PP2/2NP4/PP4PP/R1BQNRK1 b - f3,e5f4
4k2r/p1qbbp2/4Pp2/1p1pr2p/1P1NP3/P1NQ4/2P3PP/3R1R1K b k -,f7e6
3n1k2/8/1b3p2/p2B2p1/1p2R1P1/1P3K2/7P/8 w - -,h2h3
4r1k1/2qn1pp1/1pp1nbp1/2Pp4/1P1P1P2/r2B2P1/2Q1NB1P/4RRK1 w - -,h2h4
r1bq1rk1/1pp2ppp/2n2n2/p1b1p3/4P3/2P2NP1/PP2QPBP/RNBR2K1 b - -,d8e7
r4rk1/q2nppbp/b2p2p1/3P4/4P1n1/1RN2NP1/P1Q2PBP/3RB1K1 b - -,d7c5
2rqr1k1/1b1n1pp1/pp2pn1p/8/2BP4/P4N1P/1P1B1PP1/1QR1R1K1 b - -,b7f3
8/5p2/4p3/4P1p1/1k5p/1P2RP1P/1rr1N1P1/5K2 w - -,e3e4
rnbqk2r/ppppppbp/5np1/8/2PP1B2/5N2/PP2PPPP/RN1QKB1R b KQkq -,e8g8:d7d6
8/6k1/p4qp1/1p5p/1Pp1B2P/P3Q1P1/1b2K3/8 b - -,b2d4
3r4/4Rpk1/6p1/p2Pb3/3n4/Pr6/5PB1/2BR2K1 b - -,e5f6
8/p4R2/2P4p/1k1K4/r7/8/8/8 b - -,a4a1
4k3/8/2n1p3/2P2p1p/3PpP1B/4P3/5K2/8 w - -,f2g3
8/6k1/1R5p/1P4pP/p1P2p2/P2K4/5P2/r7 w - -,b6g6
4rrk1/p5p1/2b5/1pb1n1B1/4p1Q1/2P1N1P1/PP6/2KR4 w - -,g4h5
8/1pR5/p4k2/3p2p1/1P1P2P1/5P1r/P6p/7K b - -,h3f3
8/1p6/2b5/p3k3/P1B1p2r/1PP5/3K4/4R3 b - -,c6d7
1r6/5ppk/5nbp/2q1p3/1pN1P3/1B3PPP/6K1/R3Q3 w - -,e1d2
1r2rb1k/5p1p/2Np2n1/ppqP4/5PR1/P1P1p3/1P2B2P/3Q1R1K w - -,c6b8
1r1qnk2/1r4p1/2bp3N/p1p1pP1Q/2P1P3/3P4/1P4RP/2B3RK w - -,h6g4
r3qrk1/pp1np1b1/4b2p/P2p1pp1/1P1Pn3/4P1P1/1B1N1PBP/R2QNRK1 w - -,e1d3
8/8/6p1/K4N1p/P7/6Pk/1n5P/8 w - -,f5e7
r5k1/1q2bp1p/2brN1pB/pp2p3/3P2n1/P5QR/1PB2PPP/R5K1 w - -,e6c5
1R6/8/4n3/3K1k2/8/8/8/8 b - -,e6f4
3r3k/6p1/p3P3/3r3q/1p3Pnp/3P3Q/PP4PP/2B1RK2 b - -,d8e8
r1b1nkr1/p1q1bpp1/1pppn2p/5N2/4P1PP/2N1BB2/PPPRQP2/2KR4 w - -,e4e5
1r3r1k/2qbb1n1/p2p2pp/1ppPp1p1/4P1P1/PPP1B1NP/2BQ1PK1/R1R5 b - -,f8f7
rn1qkbnr/pbppp2p/1p4p1/5P2/3P1P2/3B4/PPP3PP/RNBQK1NR b KQkq -,b7g2
3r1r1k/2p1q1pp/1p6/1Q1R4/PP2P1n1/5pP1/5P1P/3R3K w - -,h1g1
r3k1nr/p1qb1ppp/np2p3/1pb1P3/4NN2/8/PBQPBPPP/2R2RK1 b kq -,a8c8
rn1qnrk1/pb3ppp/8/2pPB3/1b3N2/2N3P1/1P3PBP/R2Q1RK1 w - -,c3e4
1q1r1b1k/1b2pp1p/p3n1p1/1p2P3/1N6/PB2QP1P/1P4PB/2R3K1 w - -,b3e6
2rq1rk1/p4ppp/1p2pn2/2n1N3/2Q5/P5P1/1P2PPKP/R1B2R2 w - -,c1g5
r1bqnrk1/pp2ppbp/2np2p1/2p5/2P1P3/2NP2P1/PP2NPBP/R1BQ1RK1 w - -,c1e3
r1b1k2r/p3pnbp/1pp3p1/4p3/3BN3/q7/P1PQBPPP/1R3RK1 w kq -,d4c3
8/6pk/R7/8/3P4/p6P/r4PP1/6K1 w - -,g1f1
r1bqr1k1/1ppn1pbp/p2p1np1/8/4P3/1NN3PP/PPP2PB1/R1BQR1K1 b - -,a8b8
5r1k/1p3ppp/pq2p3/5N2/8/P1P4P/1P3P2/1R2nQ1K b - -,b6c6
3q1rk1/pp3pp1/4pn1p/2rbN3/5P2/P2Q4/1P4PP/1B1R1RK1 w - -,e5g4
2brr1k1/1p3pbn/1qpp2p1/7p/nP1NPP2/6PP/4RBB1/1N1RQ2K w - -,d4e6
r1b1r1k1/2qn1pb1/2p2Bpp/p3p3/1pN1P3/3BQN2/PPP2PPP/R4RK1 b - -,d7f6
rnbqkb1r/p1p1pppp/1p3n2/8/3Pp3/2NQ1N2/PPP2PPP/R1B1KB1R w KQkq -,c3e4
1nrq1rk1/p4pbp/1pB3p1/8/3P1B2/1P4P1/P3PP1P/2RQ1RK1 w - -,d4d5
2r3k1/1pq1bpp1/p1rp1n1p/P3p3/4P3/1PNQ4/2P2PPP/R2RB1K1 w - -,c3a4
3rr1k1/1pp2pp1/p1n5/2R1pq2/1P6/PN1P2Pb/1Q2PP2/4R1KB w - -,e1c1
2r1r1k1/1pq1bppp/p1bppn2/8/P3PP2/1PN1BBQ1/2P3PP/3R1R1K b - -,e7f8
r1bnnr1k/1q5p/3p1b2/1p1Pp3/1N2Pp2/1R1B4/1B3PPN/1QR3K1 w - -,b4c2
3rr1k1/pp3ppp/5q2/5N2/3p4/1Pnb2P1/P2Q1P1P/2R1R1K1 w - -,d2d3
1rb1k2r/p1pp1ppp/2p5/6B1/3bP3/2NP3P/PP3PP1/1R3RK1 b k -,c8a6
r1br2k1/ppq1bppp/2n1pn2/3p4/2P5/1PN1P3/PBN1BPPP/R2Q1RK1 w - d6,c4d5
r3kb1r/pp1q1ppp/5n2/3pn3/8/2P4P/PP2NPP1/RNBQK2R w KQkq -,e1g1
5k2/1p3p1R/1nn1pNp1/p1rpP3/P5B1/1PP5/8/4N1K1 w - -,g4e6
r1bqkb1r/1p1n1ppp/p1n1p3/2PpP3/5B2/P1N2N2/1PP2PPP/R2QKB1R b KQkq -,f8c5:d7c5
r1bqr1k1/pppn1pbp/3p1np1/4p3/2PP4/1PN1PNP1/P4PBP/R1BQ1RK1 b - -,c7c6:a7a6
1r6/p2b4/1p3kpp/3B1p2/2P2P2/6P1/PP5P/4R1K1 w - -,g1f2
8/1p3pkp/1rp1r3/p2pN1p1/3Pn1P1/PP2P3/1R2RPP1/6K1 b - -,e6e8
r2q1rk1/pp2bppp/2b1p3/2pnP3/2B5/2PP4/PP2Q1PP/RNB1R1K1 w - -,e2g4
8/5ppk/p2Rp2p/1p2r3/4N2P/P3nPP1/1PP5/6K1 w - -,d6a6
3r3k/ppp5/2n3Q1/4q1p1/8/7P/PP4P1/5R1K w - -,g6h5
rnb1k2r/pp2ppbp/2p2np1/q2pN3/2PP4/4P3/PP1N1PPP/R1BQKB1R w KQkq -,f1e2
rnbqkb1r/p4ppp/1p2pn2/2pp4/3P1P2/2PBP3/PP4PP/RNBQK1NR w KQkq -,g1f3
2rr2k1/pp1nbpp1/1qp1pnp1/3p2P1/2PP4/1QN1PP2/PP1B3P/1K1R1B1R b - -,f6e8
3r1r2/1b4kp/p1np1pp1/1q6/1p2PQ1P/1P1p1NN1/P4PP1/2RR2K1 w - -,h4h5
2r1r1k1/p1q2ppp/b1P1p3/1pQnN3/8/1N4P1/P4PBP/1R2R1K1 w - -,c5a3
1n2r1k1/2q2n1p/pN1p2pb/2pP1b2/2N5/1Q2PB1P/1P4PB/R6K b - -,h6f8
rn2k2r/p2bpp1p/3p1p2/2pP4/5b2/2BB2N1/PPP2PPP/R4RK1 w kq -,a1e1
4rn2/ppk1b3/2pq2p1/3p2Pr/7p/1P1QP2B/PBPP4/2K2RR1 w - -,d3d4
8/8/1pk5/2n1p3/2P2p2/1PQ2P2/PKB2q2/8 b - -,c6d6
6k1/4R3/5rBK/8/8/8/8/8 w - -,e7a7:e7e8
r2qk1nr/1b2ppbp/p2p2p1/1pn1P1B1/5P2/2N2N2/PPPQ2PP/2KR1B1R b kq -,f7f6
8/6pp/p2k1p2/1p1B4/2p5/b4P2/3K2PP/8 w - -,d5g8
4n1k1/r2n1rbp/pp2qp2/2p1pNB1/P1P1N3/3QR3/1P4PP/5R1K w - -,e3g3
8/8/5R2/4K3/3N4/8/6k1/r7 w - -,e5e4
4b1k1/5rb1/3pp1pp/Np6/4P3/R1NPK2P/1P4P1/8 w - -,b2b4
2r3k1/1p4p1/pBpbqnp1/P3pP2/1P5P/6PB/2P1QP2/3R2K1 b - -,g6f5
1rr3k1/p4b2/2P2bpB/q7/3N2p1/1Pp3R1/2Q2P2/1K1R4 w - -,g3c3
2rq1rk1/4bppp/p3p3/3n4/Bp6/4P1B1/PP3PPP/R2Q1RK1 b - -,d8a5
3r3k/p1qr2pp/2p2p2/8/2B1Ppb1/1PP5/P4QPP/4RR1K b - -,g7g5
