8/4p3/7R/P3bk1p/r7/5p1K/5P1P/4B3 b - -,a4a1
r1bq1rk1/ppp2ppp/2np4/3N4/2P1P3/5N2/PP1Q2PP/2KR1R2 w - -,d2g5
5rk1/8/p4B1R/2Nb2p1/8/4P3/PP5r/5K2 w - -,h6h2
2b5/ppr1r1kp/2pn2p1/N2p1p2/3P4/3BPP2/P1R3PP/2R3K1 w - -,g1f2
2r2rk1/pp1b1ppp/4p3/n2pP3/3N1P2/2P5/PP4PP/1K1R1B1R b - -,a7a6
8/1p1r2p1/1kp2PQ1/8/1p6/1Pq1P2P/P3R1K1/8 b - -,g7f6
r2r2k1/pp1b1pp1/7p/n1Pp4/B2N4/2P1P3/P4PPP/1R2K2R w K -,a4d7
8/1p6/4k3/p7/P2K4/1r6/2R5/8 w - -,c2c7
r1n5/2rk1pp1/p1n1p2p/1pRpP2P/1P1P4/P2K2N1/1B3PP1/2R5 w - -,f2f4
r2qr1k1/1ppbbppp/p1n2n2/3pN3/3P4/1BN5/PPP2PPP/R1BQR1K1 b - -,d7e6
2r1k2r/1p3p2/p2p1qp1/4p3/P3P3/1PN3Rn/2PQN1Bn/R3K3 w k -,d2e3
5r1k/1q3pp1/pn2pb1p/1p1r4/8/2P1BN2/PP2QPPP/3RR1K1 b - -,d5d7
1n4k1/4qpb1/1p4pp/pPp2b2/P1Pp3N/3P2P1/5PBP/2BQ2K1 b - -,f5c8
4q1k1/5pp1/7p/p1rp4/4rP2/1P4P1/P2R1Q1P/3R2K1 b - -,e8c6
r1n2rk1/5ppp/p2nbq2/1p1p4/3P4/1PN1Pp1P/PK2B1P1/1N1RQ2R w - -,e2f3
1r1q1rk1/5pbp/pn1p2p1/1ppPp3/4PPb1/1PPBB1N1/P2Q2PP/2R2RK1 b - -,e5f4
8/6k1/4K3/1R2P3/8/8/4r3/8 b - -,g7f8
r5k1/2p3p1/3q1p1p/P7/2p2P2/2BpRN1P/6P1/R5K1 b - -,d6c5
8/8/5pk1/1R6/P2NK3/1P6/1r6/8 b - -,b2b1
1r2r3/1p1R1k2/p1p1bpnp/4p1p1/1QB1P3/5PP1/PPP4P/2K5 b - -,e8e7
3r2k1/2p1bpp1/r1B1p2p/p2P4/P1P1P3/4B1P1/5P1P/R5K1 w - -,c6b7
r2qk2r/pppn1ppp/3p1nb1/4p3/2PP4/2NBP3/PP1QNPPP/R4RK1 b kq -,e8g8
r2qr1k1/1bp1bpp1/p2p1n1p/np6/P2PP3/5N2/1PB2PPP/R1BQRNK1 b - -,e7f8
r1bq1rk1/pp3ppp/2n1pn2/8/2BP4/P1P2N2/5PPP/R1BQ1RK1 b - -,d8a5
r3k2r/3qbpp1/p1bp3p/Bp2pP2/4P3/1P1Q1N2/1PP3PP/R3K2R w KQkq -,e1c1
5rk1/pp2r3/2p1p1BQ/3nq3/3R4/4P3/PP3PP1/R5K1 b - -,e7g7
1r4k1/1pq1pp1p/p2p1bp1/2r5/PPP1Q3/6P1/3BPP1P/2RR2K1 b - -,c5c6
r1r3k1/1b2bppp/3pp3/1N2nPP1/p1nNP3/P7/2P2RBP/2BR3K b - -,c8c5
r2qkb1r/1p2np1b/p1n1p2p/3pP1p1/3P4/PPN1BNP1/5PBP/R2Q1RK1 b kq -,e7f5
5k2/p4pbp/1n4p1/8/8/3K1N2/P2B1PPP/8 w - -,f3d4
b5r1/7k/1p1Np2p/1P2Pp2/2P3q1/4Q3/3R2PK/8 w - -,g2g3
8/pp2rpk1/3R2pp/4p1P1/8/2P1P2P/PP6/2K5 w - -,h3h4
8/8/4bk2/R7/6p1/7r/6K1/8 b - -,e6f5
1q6/1P5k/5pp1/3B3p/4p3/p3P1P1/5P1P/1R4K1 b - -,f6f5
r7/p1pr4/2p1npk1/5b2/1BP3p1/3PN1P1/PP3P2/R3R1K1 w - -,f2f3
8/5k2/3b1P2/3N3p/4P3/5K1P/8/8 b - -,d6b8
2r1r1k1/6pp/8/3p4/1qpPp3/1pR1P2P/1P3PP1/1Q1R2K1 b - -,e8f8
3R4/prn5/8/K4k2/8/8/8/8 b - -,f5e6
r5k1/ppqbn1pp/4p3/3pP2r/2pP2Q1/P1P1BN2/2PK1PP1/R7 w - -,g4h5
r2q1rk1/pppb1p2/3bpn1p/6p1/2QP4/2N1PNB1/PP3PPP/R4RK1 b - -,f6h5
1nkr1r2/1pp5/7q/1PP1bp2/5Npp/3BP1P1/3Q1R1P/1R4K1 b - -,b8d7
8/7k/6R1/1K4PP/8/8/8/6r1 w - -,b5c5
r2qk2r/ppp1ppb1/1nn1b1pp/8/7P/2NP2PN/PP1BPPB1/R1Q1K2R b KQkq -,e6h3
3r2k1/p6p/1pN3p1/4p3/2P1Pp2/3R1P2/PP3P2/6K1 b - -,d8d3
2n5/7p/p2p1k2/1p1PpPp1/4P1P1/1P1KN3/1P6/8 w - -,e3c2
3rr3/1p2bnkp/p1pp1p2/7p/2P1PP2/1P4P1/PB1R1NK1/3R4 w - -,g2f3
8/R3b1pp/1n2k3/3n4/1p1P4/5P2/PP3BPP/6K1 w - -,g1f1
2r2q2/4kp2/p1rp1n1p/1p2pPpP/4P1P1/P1PRNK2/1P2Q3/3R4 w - -,e2c2
r1bqk1nr/pppp1ppp/2n5/4p3/1b1PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq d3,e5d4
6r1/5pk1/2p3rR/p1p1p3/P3P3/3P1KPR/2P5/8 w - -,h6h7
rqr1n1k1/3nbppp/p2pb3/4p1PP/Np2P3/1N2BP2/PPPQ4/1K1R1B1R b - -,b8b7
1n1rrbk1/p1q2ppp/1pnpp3/2p5/P2P4/2PQPNBP/1P1N1PP1/1R1R2K1 b - -,h7h6
2R5/5kpp/1r2p3/8/N4P2/P3K1P1/7P/8 b - -,b6a6
r3bbk1/1r2q3/N1pn4/B1Qp1pp1/PP1Pp3/4P1P1/5P2/2R1RBK1 w - -,b4b5
rr4k1/2qnppbp/2pp2p1/8/p1P1P3/4BP2/PPQ1N1PP/1R1R2K1 w - -,b2b4
r3k2r/5p1p/p7/1p2pn2/8/N7/PPP3PP/3RK2R w Kkq -,d1d2
2r2rk1/pp1qbppp/2n1pn2/3P4/8/2N1BB2/PP3PPP/2RQ1RK1 b - -,e6d5
6k1/pB1rqpp1/1p2p2p/2p1P3/2P5/1P1R2P1/P1Q2P1P/6K1 b - -,d7d3
1rb2rk1/2p2pp1/p4n1p/4p3/1P1qP3/1B1P2NP/P3QPP1/2R2RK1 b - -,b8b4
r5k1/6pp/pq2p3/3bp3/6R1/8/PP1QBrPP/1K5R b - -,a8c8
7r/6p1/5p2/1qPp1k1p/1p1BnP2/1P2PQ2/7P/R5K1 w - -,a1a7
r3r1k1/1Bpnq2p/3p2p1/p3p3/1PP2P2/6PP/1Q6/3RR1K1 b - -,a8a7
r2qk2r/ppp2ppp/1bnpbn2/4p3/2B1P3/2NPBN2/PPPQ1PPP/R3K2R w KQkq -,c4b3
r1b1k2r/1pqpbppp/p3pn2/4n3/3NP3/3BB2P/PPP1QPP1/RN3RK1 w kq -,f2f4
r1b2rk1/ppp1qppp/2npp3/8/2PP4/2n2NP1/PPQ1PPBP/R4RK1 w - -,c2c3
r2q3r/3nkp2/p2p1np1/1ppPp1Qp/P3P2P/4NP2/1PP1N1P1/R3K2R b KQ -,c5c4
3rr1k1/5pp1/b4n2/5P2/1R2P1Np/p2P1B1P/P7/4R2K b - -,f6g4
2b1rbk1/1q1n1ppp/2p4B/2PpP3/rp1N4/1N4Q1/P4PPP/R3R1K1 b - -,g8h8
8/5pk1/4p1p1/4P2p/3P3P/Q7/n2K1B2/1q6 w - -,f2e3
1r1q1rk1/p3n1bp/b1npp1p1/2p2p2/Pp2PP2/3PN1P1/1PP1N1BP/1RBQ1R1K w - -,f1e1
6k1/2B2p1p/3ppnp1/2p1P3/2P2PP1/5N1P/1b4K1/8 b - -,d6e5
1r3rk1/1p3qb1/2p1b2p/3p1ppn/Q2P4/2N1P1P1/PP3PBP/R1R1N1K1 w - -,f2f4
3q1rk1/p4pp1/3p1n1p/1b2pP2/PP1pP1P1/3P3P/1r1BQ1B1/R1R3K1 b - -,b5d7
8/p5pp/n1p2p2/2P1pk2/3P4/P2K4/3N1PPP/8 w - -,d2c4
8/8/p5Rp/2k1N1p1/2P5/1P2KP1r/2n5/8 w - -,e3e4:e3d3
r1bq1rk1/p3bppp/1np1p3/2p5/8/1QNP1NP1/PP1BPP1P/R1R3K1 w - -,d2e3
6k1/1p3p2/1Bbp2p1/7p/p7/R6P/4r1P1/6K1 w - -,g2g3
2r1q2r/1b2bpk1/2p1p3/p3P1p1/Pp1PB1N1/4PQ2/1P4P1/R4RK1 w - -,g4f6
8/R4bk1/8/6Kp/2p1r3/2P5/8/8 b - -,e4g4
r3kb1r/pp1q1ppp/2p1p3/3n4/2B5/1Q5P/PPPB1PP1/2KRR3 w kq -,c4f1
R7/8/6k1/6p1/5p2/1r5P/6K1/8 b - -,b3b2
r1bqr1k1/ppp2pbp/3p1np1/4n3/2P1P3/2N1BP2/PPN1B1PP/R2Q1RK1 b - -,c7c6
r2r2k1/pp2bppp/1q2b1n1/3p4/3N4/4PBBP/PPQ2PP1/R2R2K1 b - -,a8c8
r2q1rk1/1p3ppp/3p1n2/p1nPp2b/1pP1P3/5N1P/PPBNQPP1/R4RK1 w - a6,b2b3
3r2r1/1kpbn1p1/1pp2p2/p6p/P1N1P3/1P2BP2/2P3PP/3R1RK1 w - -,g1f2
r2qkb1r/1ppbnppp/p1n1p3/3pP3/3P4/2N2N2/PPP1BPPP/R1BQK2R w KQkq -,h2h4
r1bq1rk1/ppp2pb1/2n2npp/3pp3/P3P3/2PP1NP1/1P1N1PBP/R1BQ1RK1 w - -,b2b4
4r1k1/5p1p/8/1p1R1np1/1P6/2Pp1P2/6PP/R5K1 b - -,d3d2
