3R4/1p5k/1r1B1K2/8/8/5p1P/6r1/8 w - -,d8d7
4rq2/1b1k4/1B1b4/pP1P1p1p/P1P3pP/1Q4P1/2B5/1K3R2 b - -,f5f4
5rk1/pp1qnbpp/8/2ppn3/3N1PPb/7P/PPP3B1/R1BQ1RK1 b - f3,c5d4
2r2r2/p3pp1k/2Bn3p/1PB1b1p1/6P1/1P5P/5P2/2RR2K1 b - -,c8c7
2k4r/pp3p1p/4p1p1/q3P3/1n3P2/1BP2r1P/P2N2P1/R3K2R w KQ -,c3b4
3r1r1k/ppp2qbp/2np2p1/3N1b2/2P2P2/1P2B3/P2QB1PP/4RRK1 b - f3,f5e4
8/2k5/4p1R1/1P2P3/2K5/4P3/4r3/8 w - -,c4b4
1B6/1p6/p3k3/8/7b/2P1K3/P4n1N/2n5 b - -,f2h3
r2q1rk1/pb1n1ppp/1ppbpn2/6N1/2PPp3/6P1/PPQN1PBP/R1B2RK1 w - -,d2e4
2qrr1k1/1p1nbppp/p3R3/1PPp4/N2Q4/P2B1P2/3B1P2/4R1K1 b - -,f7e6
r1b2rk1/1p2bppp/p1n2n2/8/3qN3/2N3P1/PP3PBP/R1BQ1RK1 b - -,d4d1
6k1/pb1nq1pp/1p1bp3/3p1p2/3Pn3/1P1QPNP1/P3NPBP/2B3K1 w - -,c1b2
rnb1qrk1/ppp1b1pp/3p4/2PPpp2/4P3/2P2NP1/P1Q2PBP/R1B2RK1 w - -,c5d6
6r1/p7/1p1kb2p/3p2p1/8/P3K1P1/BP1R1P2/8 w - -,f2f4
8/2B4p/p1p3b1/P1P3P1/3pk3/8/3K3P/8 w - -,c7b8
2k4r/pp1r3p/1nnqp3/7Q/2p5/N5P1/PP2PPBP/R4RK1 b - -,c6d4
2b1R1k1/pp1n1p2/2p2npp/1PPp1P2/P2P2P1/2N3NP/5KB1/8 b - -,f6e8
1r1q3r/p1p1nk2/3pbppP/5P2/2BQP3/2N2p2/PPP5/2KR3R b - -,e6c4
r1bq1rk1/pp1nppbp/5np1/2P5/2B5/1QN1PN2/PP3PPP/R1B2RK1 b - -,d7c5
r2q1rk1/1p1b1ppp/3p1n2/1PpPp3/2P1P3/2N5/n2NBPPP/1R1Q1RK1 w - -,d1c2
5k2/p6p/3p4/3Pq1p1/5pP1/5n1P/P4PK1/6Q1 w - -,g1b1
2r2rk1/pp4pp/3bqn1n/5p1b/3P4/2B1PN1P/P2QBPPN/4RRK1 b - -,f6e4
4r1k1/pr3p2/3qb1pp/1PR2N2/8/2QRP3/5PPP/6K1 b - -,d6f8
2r3k1/2r1npbp/bq2p1p1/pp1pP3/3P4/PBP1B1N1/2RQ1PPP/1R4K1 b - -,b6a7
2n5/4k3/3p4/1p1Pp1p1/1P2P1P1/1P1K4/8/3N4 w - -,d1c3
8/4kpp1/2b4p/6bP/ppB5/4K3/P2N4/8 w - -,e3d3
8/5k2/2rb1pp1/3p3p/2NP4/1q2P1P1/2RRQPKP/8 b - -,d5c4
r4rk1/p2nq1pp/bp1b4/2pp1p2/3Pn3/1P2PNN1/PB2QPPP/2R2RK1 w - -,e2a6
4r3/p7/2p2p2/2N2kbR/3P4/1P4K1/P5P1/8 b - -,e8e2
r2q1rk1/p2nppbp/2p1b1p1/3p4/N2P4/6P1/PP2PPBP/R1BQ1RK1 w - -,c1f4
5rk1/p1b3pp/8/2P2pqP/2R1p3/1P2P2Q/P7/5RK1 w - -,g1h1
r1b2rk1/5p1p/p3p1pB/3n4/2NP4/2q5/P1B3RQ/R6K w - -,a1g1
2r1k2r/1pq1nppp/p1n1p3/3p3b/2PP1b2/PP3N1P/1B1N1PP1/RB1QR2K w k -,d2f1
6Q1/3k4/3n4/1p2b1P1/1P2p3/5r2/8/4BK2 w - -,f1e2
8/7p/p3k3/P1p1P3/2P1Kp1p/5P2/8/8 w - -,e4f4
r1b2rk1/1ppnqpbn/p2p3p/3Pp1p1/2P1P1P1/2N1BN1P/PP1QBP2/R3K2R w KQ -,e1c1
7k/5R2/5P2/p5Bp/7P/8/5K2/r7 b - -,h8g8
r2q1rk1/6bp/p3bpp1/1p1p4/3p1B2/1B1P2Q1/PPP3PP/R4RK1 w - -,f4c7
2rqk2r/1b1npp1p/p2p1npb/1p6/3NP3/P1N2P2/1PPQ2PP/2KR1B1R w k -,d2h6
r4rk1/1p1b2p1/1q1p1b1p/p1nPpp2/P1P5/BP3N1P/2BQ1PP1/1R2R1K1 b - -,e5e4
r4rk1/pp2ppbp/2p3pn/4P3/8/3p1P1b/P2B1Q2/1N2NRK1 w - -,e1d3
2rr3k/7p/p2N1ppb/2q5/7P/3B1RQ1/1PP3P1/7K b - -,c5d6
8/6k1/6p1/p4p1p/1p4r1/1P1R1N2/2PK4/8 w - -,d3d5
6k1/pp3p2/4pP2/7r/8/2Pp4/PP6/1K5R w - -,h1h5
4r3/1p4p1/p5kp/4np2/8/P4KP1/1PR2B1P/8 w - -,f3g2
1r3rk1/2p2pp1/p2b1q1p/P2bp3/Rp6/3PB3/1PPN1PPP/3Q1RK1 b - -,f6h4
6k1/5p2/1N2p1p1/2p4p/1PP5/2Q4P/4n1PK/3q4 w - -,c3e3
r3kb1r/1b1p1pp1/p3p2p/2p1Pq2/3P4/5N2/PP1N1PPP/2RQ1RK1 b kq -,f8e7
2R5/2n3pk/2rp3p/1p6/n7/N2P2PP/1P1B1PK1/8 b - -,a4b6
r2q1rk1/pb1n1p1p/3pp3/3p2p1/1P1Pn3/P2N1NP1/4PPBP/2RQR1K1 w - -,f3d2
1r1q1rk1/2pb1pbp/2np1np1/4p3/1p1PP3/1P2BPP1/P2QN1BP/2RNK2R w K -,e1g1
2r1k2r/1pqbbpp1/p1nppn1p/8/4PP1B/2N2N2/PPPQB1PP/2KR3R w k -,e4e5
1k4r1/1pp5/3b1n2/1P5Q/3B3p/Pq3N2/6PP/R3R1K1 w - -,d4f6
8/2Nn4/8/1P1p4/4k1p1/4P3/4K3/8 b - -,d7b6
8/8/4ppk1/8/5Kpp/6N1/7P/8 w - -,g3e4
r1bqk2r/p3b1pp/1nn1p3/1p1pPp2/2pP1P2/4NN2/PPP1B1PP/R1BQK2R w KQkq -,e1g1
r5r1/pp1n4/2p1k1pp/5p2/1q1P4/1N2PRQ1/PP4PP/1R5K b - -,b4d6
r4r1k/1b4p1/p3p2p/7P/3p1PQ1/1P4N1/q1PR2P1/3R2K1 b - -,f8f6
2r2rk1/pb2qpb1/1np1p1pp/1p2P3/3PB3/2N5/PP1NQPPP/2R2RK1 b - -,b5b4
1b1rr1k1/pp1n1ppp/2p2q2/1P6/N1PPp3/PQ4Pb/4BPNP/3R1RK1 b - -,d7f8
r1b1k2r/pp3ppp/2n2n2/2b5/8/1PN1PN2/1P3PPP/R1B1KB1R b KQkq -,e8g8
r1bqk2r/p2p1ppp/2n1pn2/1pb5/4P3/2BB4/PPPN1PPP/R2QK1NR b KQkq -,b5b4
rn1qkb1r/pp2pppp/2p2n2/3p4/2P5/5BP1/PP1PPP1P/RNBQK2R w KQkq -,d2d4
5Bk1/p5np/4p3/b2pP3/6P1/5N1P/PNr2RK1/8 b - -,c2f2
r2qk2r/pp1nbppp/2p2n2/8/4P1b1/2N2NP1/PP3PBP/R1BQ1RK1 b kq -,d7c5
6k1/1p1b1pnp/p2q2p1/P2p4/1P1N4/2Q1PP2/4B1PP/6K1 w - -,f3f4
1r1q1rk1/p3bpp1/4bn1p/3p4/7B/2NB1Q2/PP3PPP/R3R1K1 w - -,d3f5
8/p2nkp1N/1p4pP/1P3pP1/P1nP4/1B2P3/4K3/8 b - -,c4d6
r4rk1/p1p3p1/2p1qn1p/8/4p3/2Q1B3/PPP2PPP/R3R1K1 b - -,f6d5
1R1r2k1/6pp/4p3/5p2/3P4/4rP2/6PP/1R4K1 b - -,d8b8
2rr1nk1/qb3pp1/p2pp2p/2P5/NP2R3/P5B1/3R1PPP/3Q1BK1 b - -,b7e4
R7/5p2/3KbP1k/4P3/7P/8/8/7r w - -,a8e8
8/8/8/6KR/1k4BP/3P4/5br1/8 b - -,b4c3
1k6/p4B2/P1K5/8/8/8/P7/8 w - -,a2a3
6k1/1q3rpp/3nr3/2pN4/ppP1PpQb/3P4/P6P/B4RRK b - -,e6h6
2kr1b1r/pppb1pp1/2n2n2/4pq1p/8/2NP2PP/PPPBNPB1/R2Q1RK1 w - e6,a1b1
r1b2rk1/2p3pp/p2b1qn1/1pp1Pp2/3p4/2P2NBP/PPN2PP1/R2Q1RK1 b - -,g6e5
8/8/4p3/pp6/5P1P/1Pn1NK2/Pk1p4/8 b - -,b2c1
3r2k1/5pp1/7p/3q4/1p2R1P1/1Pb2NP1/2Q2PK1/8 b - -,g7g6
8/8/7R/4p3/2n3k1/8/2r4P/4B1K1 b - -,e5e4
4r3/1p6/1q4k1/4Bp1p/1P5b/8/Q4PP1/2R3K1 w - -,g2g3
8/3b1k2/4p3/1p2B3/p2p1PP1/Pn1P4/1R3KBr/8 b - -,d7c6
1rb2rk1/8/pN1p2pp/3Pp1b1/1p2P2q/3QB3/PP4PP/1KR4R w - -,c1c6
8/p7/1b1rp3/1P6/P7/1k6/1B2R3/1K6 w - -,e2e4
4r1k1/1bR1b1p1/p3p1Np/8/1q3p1P/1pB1P1Q1/1P3PP1/6K1 w - -,g6f4
1r6/4kp2/Rb2p2p/3p2p1/1P5P/3BP3/1P2KPP1/8 w - -,h4g5
4rr2/2pq2k1/ppnppnpp/8/2PP1P2/1P3NPQ/P4B1P/3RR1K1 w - -,f3e5
8/7k/rB2b2b/Pp1p1p1p/4pP2/2P3PP/1P1RK3/R7 b - -,h6f8
1r1q1rk1/3bpp1p/p2p1npb/n1pP4/2P2P2/2N3PP/PBQNP1B1/1R3RK1 b - f3,e7e5
6r1/7p/p2p1k2/1p1P1p2/1PnN1P2/5K1P/P7/3R4 w - -,d4e6
2r3k1/4pp1p/pR1pbbp1/8/2p1P1PP/P4P2/3KB3/7R b - -,f6d4
r7/1p2Qrkp/5pp1/2R2b2/1q6/p5P1/P3PPBP/5RK1 w - -,e7e3
r2r2k1/pbp1bppp/3q4/n3p3/8/1QPP1N1P/P4PP1/RNB1R1K1 w - -,b3b5
8/5kp1/4p3/3nP2p/1r6/5P1P/R4BPK/8 b - -,h5h4
8/R4pk1/4p1p1/4P3/5PPK/8/8/6r1 b - -,g1h1
1r1qk2r/1bQn1ppp/p3pn2/1p6/1b1P1B2/5NP1/PP2PPBP/RN2K2R w KQk -,b1d2
8/5k2/7K/5r1P/8/8/6R1/8 b - -,f5a5
6k1/ppqbnpbp/4p1p1/3pP1P1/1P1P3P/P1NBPN2/4Q1K1/8 w - -,e2c2
r4r2/b1p2ppk/p1n1bq1p/1p2pN1Q/3pP3/1BPP3P/PP3PP1/R1B2RK1 w - -,g2g4
7k/1p1b1p1n/2p4p/2P1PPp1/q2P2P1/r7/1R2Q3/1K1R4 w - -,b1c1
r1bqkb1r/pp3ppp/1nn1p3/3pP3/3P1P2/4B3/PP4PP/RN1QKBNR w KQkq -,b1d2
3r1r2/1pq2pbk/1nppbnpp/p3p3/P2PPP2/1PN1B1PP/2PQN1BK/3R1R2 w - -,f4f5
2rk2r1/QR2b2p/R2qpp2/3p4/3P3N/6P1/5P1P/6K1 b - -,d6f4
1q2r3/2p2ppk/p1Pp1b1p/1r1P4/RPQp4/3P1N1P/5PP1/R5K1 w - -,g2g3
rn1qk2r/1ppbnpbp/p2p2p1/3Pp3/B1P1P3/5N2/PP3PPP/RNBQ1RK1 w kq -,b1c3
6B1/7p/1p4p1/5p1b/k1P2P2/2K3P1/7P/8 b - -,h7h6
r1bq1rk1/ppp1ppbp/2n2np1/4P3/5P2/2N1BN2/PPP3PP/R2QKB1R b KQ -,f6g4
5rk1/pq1r1ppp/1p2p1n1/2p1P3/2P1PP2/6P1/PBQ4P/R4RK1 w - -,f4f5
r2r1k2/p4p2/1p4p1/n2P3p/3QNq2/8/P4PPP/1R1R2K1 w - -,g2g3
8/p3r1k1/3N1np1/2p1n3/8/4r2P/1P4B1/1K1R1R2 b - -,e3e2
3n4/8/4k3/1N1p3P/5PK1/8/8/8 b - -,e6f6
r2q1rk1/2n1ppbp/p1n3p1/1p1pPb2/3P1B2/PBN2N1P/1P2QPP1/R2R2K1 b - -,c6a5
6k1/8/1p4n1/p2qP1p1/P2Pnp2/1P3Q2/4N2K/4B3 b - -,g6e7
8/5kp1/p3p3/1prp2p1/5rP1/P2R1BKP/2P1R3/8 b - -,f4f6
1n3rk1/pb3q1p/1p1P2p1/1P4Q1/8/P6P/3R1PP1/4R1K1 b - -,b7c8
r4rk1/1bq2ppp/p3pn2/2b3B1/Pp2P3/3B1N2/1P2QPPP/R2R2K1 b - -,f6d7
7r/p4pkp/1pN1pbq1/3r2p1/P2P4/2R1PR1P/1P3QP1/6K1 b - -,d5f5
8/3k4/1b1p2pp/Pr2pp2/5P2/7P/6P1/3R1K2 w - -,a5b6
1b3r1k/1p1q2p1/2p4p/pNPp2n1/3P1pPn/PP2rP1P/1B1QBR1K/5R2 w - -,b5c3
r1bqrnk1/4bppp/p2p4/1p1Pp3/2B1P1PP/2N1BPN1/PP3Q2/2KR3R b - -,b5c4
1r5k/p3p1bp/3p2p1/3P2PB/1p6/4r3/PPP5/1K1R3R w - -,h5g6
r1b2rk1/1pq1nppp/p2bp3/6B1/P1BR4/5N2/1PP1QPPP/R5K1 b - -,h7h6
r3r1k1/1pp2ppp/p2q4/3P4/2P1n3/1Q2RP2/P5PP/5K2 w - -,f3e4
2k1r2r/ppp1n3/4Rp2/3p1np1/3P4/2P3Pp/PPKN1P1P/2N4R b - -,h8f8
rnbqkb1r/pp1n1ppp/4p3/1BppP3/2PP4/5N2/PP1N1PPP/R1BQ1RK1 b kq c3,f8e7
r2q1rk1/pb3ppp/1pn1pn2/6B1/1b1P4/2NB1N2/PP3PPP/R2QR1K1 w - -,a2a3
1r2r1k1/p4pp1/2p5/4n3/QP1pP3/1P4Pp/3q1P1P/3NRR1K w - -,a4a1
2r5/p5kp/Pp3p2/3NQ1p1/4P3/6PB/5PKP/R1r5 b - -,f6e5
8/5k2/3R2n1/8/4K2p/4N2P/5rP1/8 w - -,d6a6
1r4k1/3n1pp1/p2qp3/2p4p/1nQ4P/3P2P1/1P2PP2/R1R3K1 b - -,b8b6
3r4/4rkp1/n2p1p2/2pP2Pp/PpN1P2P/5PK1/P7/2RR4 w - -,g3f4
r3r1k1/2qn1pbp/3p2p1/1p1P4/2p1PPN1/5Q1P/1P2R1P1/1B3R1K w - -,e2f2
3r4/1p4pp/1k3p2/8/2RNP1b1/5P2/PP4PP/6K1 b - -,g4h5
r4rk1/qb2ppbp/1np1n1pB/pp1pP3/1P1P4/P1PB1N1P/3QNPP1/2R1R1K1 w - -,e2g3
2r2rk1/7p/p6p/5p2/3bpP1n/2N5/PP2N2P/R4R1K b - -,d4a7
8/6k1/6p1/2r3P1/5R2/5PK1/8/8 w - -,g3g4
