8/6p1/4pk2/7P/1K3P2/2R3P1/8/6r1 b - -,f6f5
r1b1k3/1p2np1p/p3pnr1/8/q1P1p3/P3Q1N1/3BBPPP/2R2RK1 b q -,c8d7
8/8/1R6/p7/k1r5/3K4/8/8 b - -,c4c8
3B4/7p/1pk3p1/p1b5/6P1/1P1K4/7P/8 w - -,h2h4
8/4q3/1kpp1pQp/2p2P2/p1P1P3/1P3K1P/P7/8 b - -,e7f8
3r2k1/5p1p/2q1nQ2/p1Pp4/1p6/1P4P1/P4P1P/3R1BK1 b - -,c6c5
r4rk1/1p4pp/2n1pq2/p1b1n3/2PpR3/5N2/PPNBQPPP/R5K1 w - -,c2e1
4rrk1/1p1b3p/1pp3p1/4b3/3pP3/2P3P1/PP1B2BP/2R1R1K1 b - -,d7e6
7k/4r3/1pbq1n1Q/p1p1nP1p/P1Pp2pP/1P1P4/6N1/2B2RKB b - -,h8g8
2rr2k1/5pp1/p2b3q/2p5/P2pb1n1/1P1Q2P1/1B1RNPB1/R5K1 w - -,d3e4
r2qk2r/pp1b1ppp/2n1p3/1B1n4/3P4/1QP2N2/P4PPP/R1B2RK1 b kq -,e8g8
2r2rk1/1b3ppp/pp5q/3pB3/Pn1P4/1B2RQ2/1P3PPP/3R2K1 w - -,f3e2
b2r2k1/p4ppp/5b2/2p2q2/P1N5/1Pp2NP1/R3P2P/2Q1KB2 w - -,f1g2
r4r1k/pp4bp/1qp3p1/2n3B1/2Q5/2N4P/PP4P1/3R1R1K w - -,f1f8
8/8/1p1K4/1P1P4/3b4/8/3k4/3N4 b - -,d2d1
8/5p2/4k1Pp/2P1p3/4K1P1/5P2/8/8 b - -,f7g6
6k1/p4pp1/1p5p/3r1q2/P7/5P2/1P2Q2P/3R3K b - -,d5e5
4r3/pr1p4/R1p3p1/3pk2p/1P3p1P/PNK2BP1/5P2/8 w - -,b3c5
6k1/1R3p1p/6pn/3Bp3/8/4b3/7P/5K2 w - -,f1e2
r4rk1/1bq3pp/p3pB2/1p6/4pP2/P3Q3/1PP1B1PP/4RRK1 b - -,f8f6
6k1/5p2/p3p2p/1p1q2P1/4n3/BPb1PNP1/P3QP2/6K1 b - -,h6g5
r4rk1/p3bppp/4pn2/4B3/PpN1q3/1Q4P1/1P2PP1P/R2R2K1 w - -,e5f6
4Q3/p1r2npk/5p2/4pP2/4P3/4b1N1/8/7K b - -,a7a5
8/5ppk/1Q2p2p/4bq2/2r5/4B3/P4PPP/5RK1 w - -,h2h3
r2q1rk1/2pnbp1p/bp2p1p1/p2p4/3P1B2/2PBPN1Q/PP3PPP/R3K2R w KQ -,d3c2
rr4k1/2qb1ppp/p3p3/3n2b1/8/1N3P2/1PPRBBPP/R2Q2K1 w - -,d2d4
8/pb5p/4pkp1/3p4/3q1n2/1PQ1R3/3N3P/5BK1 b - -,d4c3
r1bq1nk1/pp3rp1/4p2p/3pP2N/8/8/PPB2PPP/R2Q1RK1 b - -,d8b6
8/8/1p6/p7/P1PB2p1/5kpp/8/6K1 w - -,d4b6
8/7k/1Q6/8/pp6/7P/6P1/7K b - -,b4b3
r5k1/ppNnq1pp/2n3p1/2p5/2Pp1PPb/3P3P/PP4B1/R1BQ2K1 b - -,a8c8
2R5/3b4/4pk2/1p2p3/1P2P1K1/1B3P2/3r4/8 w - -,c8c7
8/5pp1/1p1k1n1p/p1p5/3r4/P5PP/1PR1KPB1/8 b - -,b6b5
k7/p5pp/5p2/1bP5/1r2KB2/R2p2P1/P4P1P/8 w - -,e4f3
4rrk1/p1p2qpp/1pn2pn1/3p3N/3P4/P1PP1QBP/5PP1/1R2R1K1 b - -,e8e7
r1r5/3n3p/1p1k2p1/p1pp1p2/3P1P2/1PR3N1/P3PP1P/2R3K1 w - -,d4c5
R3n3/4Pk2/p7/P3r2p/1B5K/2P5/8/8 b - -,e8f6
R4nk1/P3r1b1/3p4/8/2Pp3P/5NpK/3B4/8 b - -,g8h7
4rr1k/1bq3bp/pp1pp1n1/4npB1/1PPN4/P6P/3QNPP1/1BRR2K1 w - -,b1a2
8/3b4/1p5p/1N2bp2/1kP3p1/1P6/P4PBP/6K1 b - -,f5f4
8/1p1k3p/p1pn1bp1/P3pp2/1PP5/1K2PPP1/6BP/4B3 b - -,e5e4
r4rk1/pppq2b1/3p4/1P1P1npp/2QpB3/3P2P1/PB2PP2/1R2R1K1 w - -,e4f5
r1br2k1/pp3ppp/1b2p1n1/8/4NP2/P1P1P3/2K1B1PP/R1BR4 b - -,c8d7
1rbqr1k1/1p2bp1p/p1np1np1/P1p3B1/2P1P3/1PN3PP/R3NPB1/3QR1K1 b - -,c6b4
r1b2rk1/4ppbp/2p3p1/p7/8/1P3B1P/P1qBQPP1/2R2RK1 b - -,c2a2
8/5B1k/n2N1K2/8/8/8/8/8 w - -,f7g6
6rk/1pb4p/p1p4q/2Pp1b2/PP1P4/4PR1P/5QN1/6K1 w - -,f3f5
r4rk1/pp3ppp/8/1bqp4/2P2P2/3Q4/PP1N2PP/R4R1K b - -,d5c4
4rrk1/2p2qpp/1p1p1b2/pP1P1p2/5P2/1P1Q2P1/2PB2KP/3RR3 b - -,f7d7
r1b1k2r/pp2ppbp/1qn2np1/2pp4/3P1P2/2PBPN2/PP4PP/RNBQ1RK1 w kq -,b1d2
7r/5pk1/4p1p1/4P3/2p2PP1/5BK1/2q5/6Q1 b - -,c2b2
7r/3Rbpp1/2p2kn1/r6p/2p5/2P2BBP/5PP1/4R1K1 w - -,f3c6
4r1k1/p4Rpp/2nr4/5p2/2b5/B1P2BP1/4PP1P/1R4K1 b - -,c6e5
7R/1p3kp1/p3p3/2p1PP2/4b1P1/P5K1/1P6/8 w - -,g3f4
2b1rnk1/bp2qpp1/2p5/4P2Q/r2PB2p/P3B2P/4N3/R4R1K w - -,f1g1
r1b4r/3n1pkp/p1p1p1p1/q2p4/3P1P2/2NB4/PPPQ2PP/4RRK1 b - f3,a5b4
r1br2k1/pp2ppbp/2n3p1/8/3PP3/3BB3/P2KNPPP/2R4R w - -,c1c4
4r1k1/1p1Q4/p5b1/2B1b1pp/4p3/2P5/Pr2N2P/6K1 b - -,b2e2
2rr2k1/pp1b1p1p/5np1/PPn1p3/5P2/R1N1P1P1/4N1BP/3R2K1 b - f3,d7e6
r1b1k2r/bppnqppp/p3p3/3pP3/PP3BQ1/2PBP3/3N1PPP/R3K2R b KQkq -,f7f5
r2q1rk1/pp1bppbp/2np1np1/1B6/2P1P3/2NQ1N2/PP3PPP/R1B2RK1 w - -,f1e1:b5c6:h2h3
5b1k/7p/1p4p1/3N1p2/8/1P3QP1/Pq2PPKP/8 b - -,b2a2
5qk1/pr1pbr1p/2p1pnp1/2p5/2P5/PPN3B1/2P1QPPP/3RR1K1 w - -,c3e4
6k1/pp3ppp/4n3/3Q4/8/qP3PB1/6PK/8 w - -,d5b7
r1r5/1Rp5/p1P1p1pk/P1KpPpR1/7P/3P4/5P1P/8 w - -,f2f4
2bq1r1k/p3n1bp/1r4p1/1p6/3pP3/P2Q1NP1/3B1PB1/1R2R1K1 b - -,e7c6
2r5/4Nk1p/6p1/5p2/8/P5P1/5P1P/b5K1 w - -,e7c8
8/pr1r4/2p1p3/R1Pp2kp/3P1p2/2R2K2/PP3PP1/8 w - -,c3c2
2rq1r2/1p1b1pk1/p1npp1p1/7n/3NPP1P/2N5/PPPQ4/1K1R1BR1 w - -,d4c6
5r1k/8/2P1p1p1/3pPq2/3Q1P1P/5RK1/7R/r7 b - -,a1c1
rn1qkbnr/pp2p1p1/4p2p/2pp3P/3P4/3b2N1/PPP2PP1/RNBQK2R w KQkq -,d1d3
1rbq1rk1/6bp/p2p2p1/2pPp3/RPP1B3/3NQ1PP/5P1K/1R6 b - -,d8d7
2r2r2/p2bp3/n1pp3k/4n2p/1PP2N1N/4P1P1/P4P2/1RR2BK1 b - -,a6c7
r3r3/p2b2kp/2nP2p1/1p3p2/2N5/8/PPB3PP/3R1RK1 w - b6,c4d2
r1b2Rk1/q5np/p2b2p1/2Npp3/3P3B/3B4/PP2Q1PP/2R3K1 b - -,g8f8
2kr2r1/ppqn1p1p/4p3/3Q1p2/8/5BP1/PPP2PP1/R3R1K1 w - -,d5b3
r1r3k1/p4pp1/1nqb3p/2N5/2QP3P/P5P1/5P2/2BRR1K1 w - -,c4c2
r7/8/2k1p2p/2PbBp1P/3P1Pp1/p5R1/1r4P1/R5K1 w - -,a1a3
1r2r1k1/pb1n1pbp/1n2p1p1/1pq1P1P1/6N1/3P1B2/PP1NQ2P/R1B1R1K1 w - -,g1h1
r1b2rk1/ppq1bppp/4pn2/8/8/3B1N2/PPP1QPPP/R1B2RK1 w - -,f3e5
r6r/1pp1bpkq/2n1b1p1/p2pP1p1/3P4/P3Q1N1/5PPP/RBB1R1K1 w - -,g3f1
r1r3k1/pp2ppbp/3pbnp1/q3n1B1/2P1P3/N4P2/PP1Q2PP/2RNKB1R b K -,a5d2
1rbq1rk1/2p1ppbp/2n2np1/1p1p4/PP1P4/2N2NP1/4PPBP/1RBQR1K1 b - a3,c8f5
5k2/2Q5/1p3q1p/p2bp2P/5p2/1P3P2/P2N1KP1/8 w - -,f2e2
3r1rk1/2q1bppp/1n2p3/p1p1P3/PpP1Q3/1N1R2P1/1B2PPKP/3R4 w - -,d1a1
5r2/6bk/1P1p3p/2pPn1q1/4p3/1Q5P/R4P1N/5BK1 w - -,g1h1
3r4/p3r2k/1p2bb1p/4pp1n/1P6/P3BNPP/5PB1/2R1R1K1 w - -,e1d1
8/P2k4/7R/r3Kp2/8/8/5P2/8 w - -,e5f4
8/8/P7/5pk1/1R4p1/6P1/5PBK/3q4 b - -,d1a1
2r3k1/p4p1p/1p1p2p1/1PnP4/P4P2/6P1/R2R2KP/2rB4 b - -,c5e4
8/5K2/1p3RP1/1k6/8/8/8/6r1 w - -,g6g7
8/p7/B5kp/5p2/1P2pPP1/4K3/8/8 b - g3,f5g4
6k1/1b5p/p3p1p1/P3q3/2Q1P2P/4K1P1/1P6/6R1 b - -,h7h5
r1b1kb1r/pp1n1ppp/2pp4/q3p3/3PP3/2NB1NP1/PPPQ1PP1/R3K2R b KQkq -,b7b5
r2q1rk1/pp2npp1/2nb3p/3p4/3P2b1/BPP2N2/5PPP/RN1QRBK1 w - -,a3d6
8/4bpp1/2k4p/8/4K3/2B2P2/5P1P/8 b - -,g7g6
r1bq1rk1/ppp1npbp/2np2p1/4p3/4P3/2NPBNP1/PPP2PBP/R2Q1RK1 b - -,h7h6
8/6k1/6p1/r5P1/P4PP1/5RK1/8/8 w - -,f3a3
4r1k1/p4pp1/1p1p1qr1/2bR1N1p/P1P1PQ1P/1P6/6P1/4R2K w - -,f4d2
r1b1r3/4qpkn/pn4p1/2pPp2p/1pP2Q2/1P4NP/P1B3PN/4RRK1 w - -,f4d2
r1bq1rk1/ppp2ppp/2n2n2/2bpp3/2P5/2NPPN2/PP2BPPP/R1BQK2R w KQ d6,c4d5
1r1q1rk1/p2n1ppp/b3pn2/p2p4/3P4/Q1N2NP1/1P2PP1P/R1R2BK1 w - -,a3a5
8/4B3/2k3p1/2n1P3/7P/1p2PK2/7r/1R6 w - -,e7c5
r2qrnk1/p2bbpp1/1pp1pn1p/3pN3/2PP4/P1NBP1B1/1PQ2PPP/3R1RK1 w - -,h2h3
8/8/8/8/p2r3p/2k4P/4R3/4K3 w - -,e2e3
2rr2k1/5p2/pp1Bpb1p/2Pp2p1/1PqP3P/P2R2P1/5P2/1R1Q2K1 w - g6,b1c1
r1b2rk1/1q1pnpp1/1p2pn1p/p1b5/2P1P3/P1N2NB1/1PQ2PPP/1K1R1B1R w - -,f1d3
8/4r3/R5k1/5p2/8/5K2/8/8 b - -,g6g5
r2qkb1r/pp3pp1/2p1pnp1/3pn3/3P2P1/7P/PPP1PPB1/R1BQK2R w KQkq -,d4e5
1rb2rk1/p3pp1p/q1n1n1pb/4P3/2pN4/2P2NBP/P1B2PP1/R2QR1K1 b - -,f8d8
8/r2n2rk/p1p1pbqp/P1P1Np2/3PpP2/4Q3/1R4PP/4BRK1 b - -,f6e5
r1b2rk1/1ppnqppp/3ppn2/8/p1PP4/P4NP1/1PQ1PPBP/R1B2RK1 b - -,f8e8
r4rk1/3qb1pp/8/1N3p2/pPn5/P2nPNP1/3BQ1KP/3R1R2 b - -,d7b5
B7/4k2p/3p4/2p5/4PP2/6P1/P2b3P/6K1 w - -,a8d5
r3r1k1/1bqnppbp/6p1/2pP4/ppP1PB2/4QN2/P3BPPP/1R1R2K1 b - -,c7a5
4r1k1/2r1p2p/p2pbpp1/2p5/1nP1PP2/1P2B3/3RB1PP/3R2K1 b - -,b4c6
6qk/5p1p/4pP1Q/1p1b4/2r2P2/6P1/3R2P1/7K b - -,g8g3
8/5p1k/4n1p1/1p2p1q1/8/2P4p/1PQ5/4RK2 w - -,c2e4
3r1qk1/p2rppbp/1pbp1np1/8/2P1P3/P1N1BP2/1P1Q2PP/3RRBK1 w - -,b2b4
6k1/p4pb1/5qp1/1p6/4R3/P4P1P/1P3Q2/1K6 w - b6,f2e2
5b2/5k2/3p1q2/p1p1p2Q/1nP1B3/1P1PP1P1/6K1/4B3 b - -,f7e7
4b3/6B1/8/2PpK3/3P4/5P2/6k1/8 b - -,g2f3
8/2Nn1k2/1p1p2p1/1P3p1p/2P1nP1P/6PB/7K/8 w - -,h3g2
r2q1rk1/pp1nbppb/2p1pn1p/3p4/5B2/P1NP1NPB/1PP1PP1P/R1Q1R1K1 b - -,f8e8
8/1p1r2p1/p1pBn1k1/4P2p/PPP1K2P/5RP1/8/8 b - a3,d7d8
rn1q1rk1/pbppb1pp/1p2p3/5p2/2PP1B2/3BPN1P/PPQK1PP1/R6R b - -,g8h8
4r2k/1p3q2/3p4/P2N2p1/2PP1p2/3Q1P2/6K1/8 b - -,f7e6
r4rk1/1pb2qp1/2n1bp1p/p1P1p3/2Np4/P2P1NP1/1P2QPBP/2R1R1K1 w - -,f3d2
r1b1k2r/ppqnb1pp/2p2p2/3np3/3PN2B/2PB1N1P/PP3PP1/R2Q1RK1 b kq -,e5d4
8/p5pp/1pn5/2p5/P1N1kP2/1Pb1P1P1/4K2P/2B5 b - -,c3f6
4rr2/1pqb1pk1/p2p1np1/P1pP1P2/1nPbN1QN/R6P/1P4B1/2B2R1K w - -,e4f6
rn6/p5Qp/2k3pB/1p1b4/2pPq3/6P1/PP3P1P/R4RK1 w - -,f2f3
3k3r/p2p1p1p/2p5/3pr1p1/8/1P4P1/P3NPBP/2R2K2 b - -,h8e8
8/6k1/p3rp1p/1p4p1/b2B4/2P1Pn1P/5PP1/R5K1 w - -,g2f3
8/p4pk1/2q2np1/8/5n2/5N2/3R2PP/1B1R2K1 b - -,f6g4
r2qrbk1/1p1b1p1n/p2p2p1/3Pn1Pp/3NNB2/1P5P/P4PB1/R2QR1K1 b - -,d8b6
4n3/3N4/2p2p2/p3p1pp/2k1P3/P1N2PP1/2PK1n1P/8 w - -,d7b8
r1b1rnk1/pp2qpbp/2pp1np1/8/1PPPp3/2N1P3/PBQNBPPP/4RRK1 b - -,c8f5
2kr1b1r/ppp2p2/2n1p2p/5qpb/2PP2n1/1Q2BN1P/PP1NBP2/R4RK1 w - -,e2d3
r1bqk2r/1p3ppp/p1nbpn2/3p4/3P4/2N1PN2/PP1BBPPP/R2Q1RK1 b kq -,e8g8
5rk1/pN1Q1pp1/6p1/6Pn/P6q/4P3/5P2/R5K1 w - -,d7d5
1Q1R4/kp6/5p2/pq1p4/3P4/2r3P1/5PKP/8 b - -,a7a6
3rr1k1/1pqn1p1p/p1pQ1bp1/P7/4PP2/2N4P/1PP1B1P1/R2R2K1 b - -,c7d6
r3qr1k/1p1n2pp/3p1n2/p2PpB2/2P2p2/1N3PP1/PPQ4P/4R1RK b - -,g7g6
8/p7/P1pp4/2p1p1k1/2P1P2P/6K1/2P5/8 b - -,g5h5
r3r1k1/pbq2ppp/1p1bpn2/8/3P4/2PBQN1P/P2B1PP1/R3R1K1 w - -,f3e5
1kr5/ppprq2p/5p2/3p4/3N1B2/3P4/PPP4Q/2K4R w - -,h2f2
3r4/p4kp1/2r2p2/4b1Pp/2p1R3/2P5/PP2R2P/2BK4 w - -,d1c2
5rk1/6pp/p1r1p3/1p1pR3/3R1P2/2P5/PP4PP/6K1 b - -,g7g6
r2qk2r/1p2npb1/2p1p1p1/p1n4p/P2pPP1P/3P2P1/1PPBQN2/R3KB1R b KQkq -,b7b5
2r1kb2/2qb1pp1/2npp3/pN4P1/1p2PP2/4B3/PPPQ2B1/2K4R b k -,c7b8
r2r2k1/pp1b1ppB/4pb2/2q1N3/8/2P5/PP2QPPP/R4RK1 b - -,g8f8
r1bqk2r/bp3pp1/p1n2n1p/3p4/1P6/P1NBPN1P/5PP1/R1BQ1RK1 b kq -,e8g8
1r1r2k1/5qpp/bp1b1p2/p1pPpP2/P1P1B2Q/1PR5/6PP/2B1R2K b - -,f7f8
8/3Rrk2/1p4pp/p1p1P3/2P2P1P/1P3K2/1P6/8 w - -,d7e7
5r2/6k1/1r3pp1/qP2p2p/2pnP2P/2N1Q1Pb/2P2R1K/5R2 w - -,h2h3
3rr1k1/p4p2/2pB1n1p/q1P3p1/1b1P2bP/2NB4/PPQ2PP1/R4K1R b - h3,d8d6
r2q1rk1/pb1nbppp/1p3n2/2pp4/3P1B2/2NBPN2/PP3PPP/2RQ1RK1 w - -,f3e5
4r1k1/4qppp/4b3/p1r1p3/PnP5/6Q1/1NRN1PPP/4R1K1 w - -,c2c3
r4b1r/1p3ppp/1kp1bn2/2n5/p1PRPB2/2N5/PPK1B1PP/2N4R b - -,f8e7
r2q1bk1/1p3p1p/2pn2p1/p2pN3/3P1Q2/2P3PN/PP3P1P/4R1K1 b - -,f8g7
5r1k/p1q3np/2r3p1/8/5p2/3B1Q2/bP2N1PP/3R1R1K w - -,e2f4
5rk1/1rp1npp1/p2q3p/P1p1p3/1pQ1P3/2PP1N2/1P3PPP/R4RK1 w - -,d3d4
r2q1rk1/p1n2pb1/bp1N2pp/3pN3/3P4/Q5P1/PP3PBP/3RR1K1 w - -,g2h3
r4rk1/p3ppbp/n1p3pB/q7/1p2P2P/1B6/PPPQ2P1/2KR3R w - -,h6g7
1qr1kb1r/1b1n1ppp/p3pn2/1pp5/P2P4/2NBPN2/1P1BQPPP/2RR2K1 b k a3,c5c4
5rk1/5p1p/p1R3p1/8/2Q5/1P5P/P4qPK/8 b - -,a6a5
8/4p3/3pk3/Rpr5/8/2P5/PPK5/8 w - -,b2b4
5q2/3r2pk/bP1N3p/p2RQ3/P7/7P/6P1/6K1 b - -,f8d8
r4rk1/2q2pb1/p1p1p1np/3pP1p1/6P1/2P2NB1/PP1Q1P1P/R3R1K1 w - -,h2h4
r1bRnr1k/6bp/2p3q1/1p3p2/4p3/1BN4P/PP2QPPN/3R2K1 w - -,b3c2
4r1k1/3r4/2p3p1/3p1b2/3B3P/2N3P1/PPP2P2/2R3K1 b - -,d7b7
6k1/p3Kp1P/2r3p1/4P3/7P/8/8/1q6 b - -,g8h7
rnbq1rk1/4ppbp/p1pp1np1/1p4B1/2PP4/2N1PN2/PPQ1BPPP/R3K2R w KQ b6,e1g1
4r3/1p3pk1/p4np1/2bp3p/7P/2P2PP1/PPN1R1K1/2N5 b - -,e8e2
r4r2/1p4bk/4q1p1/p1p5/PnN1pP2/2B1P1Pp/1P2Q2P/1R3RK1 w - -,c3g7
r7/1b3pk1/p3p1p1/Bp2p2p/4n2Q/PB2R3/1qP2PPP/R5K1 w - -,a1e1
3r4/p1k5/bpp3Q1/4R3/8/2NP3q/PP1B4/n1K5 b - -,h3d3
r4r1k/1R4b1/1p5p/2p1p1p1/8/2BP1PP1/4P1K1/5R2 b - -,a8a2
6r1/2r2pk1/p3p1pp/1p2P3/8/1Nn5/P2R1BPP/1K1R4 w - -,b1b2
r5k1/5pp1/rnPNp2p/3n4/1P6/1R6/2N5/1K1R4 w - -,b4b5
5k2/1p4pp/2pprn2/8/4q3/3Q1NP1/R4PKP/8 w - -,a2a8
8/N6p/5bk1/2p2p2/1rP5/R4P2/6PP/5K2 w - -,a3a6
2q3k1/pp3p1p/1nr1p1p1/2NnB3/3P4/1Q5P/PP3PPK/4R3 b - -,b6d7
br3rk1/p1q1b1pp/P3p3/3n1p2/1pNPp3/1QP3P1/1P3P1P/R1B1RBK1 w - -,b3c2
8/8/3k4/8/P1P3pp/1P2R3/5K2/r7 b - -,g4g3
rnbq1rk1/1p2ppbp/2p2np1/p7/P1pP4/2N1PN2/1P1BBPPP/R2Q1RK1 w - -,e2c4
8/2q5/4p1kp/ppNbPpp1/3Q4/PP4P1/2PK3P/8 b - -,c7e7
5k2/p5r1/b1QP4/2p5/1p6/5P1P/PP2r3/5K1R b - -,g7g2
6k1/5pp1/2r1p1bp/p7/2PP4/5P2/rB1R1KPP/2R5 w - a6,c4c5
r1bqkb1r/pp3ppp/2n1pn2/8/3PB3/8/PP2NPPP/RNBQK2R w KQkq -,e4f3
r1b2rk1/p1q2ppp/1p2p3/2n5/1QBNn2B/P1P1P3/6PP/3R1RK1 b - -,a7a6
