8/2p5/p1pk3R/r3p3/2K1P3/5P1P/5P2/8 b - -,d6d7
6k1/B1b2p2/6pp/p2np3/P1R5/4P1P1/5PKP/1r3B2 b - -,b1b4
6k1/5pp1/3p1b2/5P1p/p6P/6P1/1P6/1K2N3 w - -,e1g2
8/2R5/2p2k2/3p2pp/5P2/2r1P1PP/5K2/8 w - -,f2e2
8/4kr2/q2p1pp1/2N1n3/4r3/8/PP1R1Q2/1K1R4 b - -,d6c5
rq3rk1/1p1b1pbp/3p1np1/p1nPp1P1/4P2P/2N1B3/PP1NBP2/R2QK2R b KQ -,f6e8
r4rk1/2qp3p/p3p1n1/1pNb1p2/5bPP/1N1B4/PPP1Q3/1K1R1R2 b - -,f8f7
r1bqr1k1/1p3pbp/1nppn1p1/8/1PPNPP2/p1N1B1PP/P5BK/2RQR3 w - -,g2f1
r1b1k2r/pp4pp/2n1p3/2b2p2/8/5B2/PPP1KPPP/R1B3NR w kq -,f3c6
2r2rk1/6pp/p1Pp4/P3np2/1P2p2q/8/2RQ1PPP/4RBK1 b - -,f8f6
8/2p1r1k1/1pR5/1P1PK1p1/8/5P2/8/8 w - -,e5f5
7r/1p1knp1p/4p3/3RP3/1b3B2/2N5/PP3P1P/4K2R b K -,e6d5
5rk1/1B2ppb1/PR1pn1pp/8/8/r3B1PP/5P2/3R1K2 w - -,b6c6
8/1p2Q3/1k1p1P2/6q1/p3P3/6K1/8/8 w - -,g3f3
8/8/6p1/1P2N1k1/2B5/8/5K1P/1r6 b - -,g5h4
r4rk1/p1p1bppp/2p5/4Pq2/2b2Nn1/5N2/PP3PPP/R1BQ1RK1 w - -,h2h3
2rqr3/4bpkp/p4np1/np1pN1B1/3P3P/P4Q2/1P3PP1/1B1RR1K1 b - h3,a5c4
3r1rk1/1p3pbp/1q4p1/2pP4/p1Pn4/3B2B1/PP1Q1PPP/1R3RK1 b - -,d8a8
1rb2rk1/5pp1/p4n1p/2p1q3/N2pP3/P2B2Q1/1PP3PP/2KR3R b - -,e5g3
3rr1k1/p4pp1/Bp5p/3bR1qn/3P4/P4PB1/1P1R2PP/3Q2K1 b - -,d5f3
8/5pkp/6p1/8/R1N2P2/4n2K/2Pr3P/8 b - -,d2d4
3r2k1/p5p1/1b3p1p/3n4/4R2P/8/1P1B1r2/R2KN3 b - -,d5e3
r2qk2r/1p2pp1p/p1np1npb/2p5/4P3/2P4P/PP1P1PP1/RNBQRBK1 w kq -,b1a3
r1bq2k1/1p4bp/1n4p1/pN1pP2n/P3p3/BP4P1/2Q2PBP/R2R2K1 b - -,g7e5
4r1k1/1p2r3/p4pqb/1bPp4/3P4/1NR1PPPp/3Q3B/4R1K1 b - -,g6f5
2r3k1/3n2np/8/q2p1Pp1/3P4/b2BP2P/4N2B/R2K1R2 b - -,c8c6
r5k1/1p1b3p/p5p1/2P2r2/2Pp4/P5P1/1K1R2NP/R7 b - -,f5c5
r1b2r2/1pp3bk/6p1/p4pB1/1PRP4/5R2/q5PP/2Q4K b - -,a5b4
r2q1rk1/ppp1nppp/8/8/3P2b1/1PP2N2/P2PQ1PP/RN2K2R w KQ -,e1g1
2kr1b1r/ppp2ppp/2n1pn2/3q1b2/3P4/1QP2N1P/PP2BPP1/RNB1K2R w KQ -,c1e3
1n6/1kp2p2/1p1p4/1Q1P1Bp1/P2q2Pp/1R2r2P/2P2r2/5RK1 w - -,f1f2
r2q1rk1/1p1n1ppp/p2p4/n1p1pP2/P1P1P3/2PPB1PP/4Q1B1/R3K2R w KQ c6,g3g4
rnbqk2r/pp1p1ppp/4pn2/2p5/2PP4/P4N2/1P1bPPPP/RN1QKB1R w KQkq -,b1d2:d1d2
5r1k/2q4p/3N2pb/1p2p3/1P5R/P2Q1PP1/7P/7K w - -,d6e4
1r3rk1/3bppb1/3p3p/2pP2p1/pqQ1P3/1B2N1P1/PP3PPK/1RR5 w - -,b3d1
r2r2k1/6p1/4p1bp/2p1B3/2Pp1P2/1P6/3R2P1/4R1K1 w - -,e5c7
4r2k/5pp1/p6b/1p6/6B1/4pP2/PPP4P/2K1R3 b - -,f7f5
3Rr3/1p6/2p2k2/1nR2p2/p7/Pb3PP1/1P2NK2/5B2 b - -,e8d8
8/5pk1/5bp1/8/2RP3P/3r2PK/2N5/8 b - -,f6e7
8/5p1k/p5p1/P6P/5P2/6KP/1P1Q4/5q2 b - -,g6h5
6r1/1p2k3/p1b5/2R1B3/8/1P2P1Pp/2P4K/8 b - -,c6g2
r5k1/pp1n2p1/2pb1r1p/5p1Q/R2Pp3/1q4P1/4PPBP/R1B3K1 w - -,g3g4
1kr5/pppq3p/3p2p1/3Pp3/2P4Q/1P2PR2/P5PP/6K1 b - c3,a7a5
2r1r3/1p2bkpp/p2p1n2/4p3/P2pPP2/1P1Q3P/2q1N1PB/R3R1K1 w - -,d3c2
r5k1/ppq2p2/3np1p1/3p3p/3P4/1P2P1P1/P3BPKP/2R5 w - -,c1c7
3b1n2/5r1p/1pkPp1p1/p1p1PpPP/P1P2P2/2B2K2/7R/5N2 w - -,h5g6
5bk1/1p2r1pp/p1nrp3/8/6QP/1P6/PB3PP1/4R1K1 b - -,e7f7
r1b1r1k1/p1q2pp1/2pb3p/n7/4n3/1P1N3P/PBP1BPP1/RN1Q1RK1 b - -,a8b8
1r3rk1/1p3pbp/p1n1bnp1/q1Q1p3/2P1P1P1/2N1BP2/PP5P/2KR1BNR b - -,f8c8
8/2p3k1/p5p1/1p6/4qp2/1PP5/P4QPP/6K1 w - -,f2d4
1r6/4pk2/p2p1n1p/2pP4/2P5/7q/1PQ3Rb/3N3K w - -,d1e3
2r3k1/7p/3b2p1/1p1Pp3/4P3/3Q1PP1/q2N4/1R5K w - -,d2f1
4rq2/pp3rbk/3p2p1/2p1p2p/2PnP3/1P2B2P/P2Q1PPN/2R1R1K1 b - -,e8e6
4n3/6p1/1B3p2/4pk1p/7P/3K1PP1/8/8 w - -,b6c5
rnbqkb1r/1p3pp1/p2p1n2/4pN1p/4P1P1/2N1B3/PPP2P1P/R2QKB1R w KQkq h6,e3g5:g4g5
r3k2r/1ppbqpp1/p3p2p/2b5/2Qnn1P1/1P5P/PBPP1PB1/1K1R2NR w kq -,b2d4
2k3r1/pp1q1pr1/2np4/5P1p/8/2b1NQ1P/PP3PP1/R2R2K1 w - -,b2c3
r1bqk2r/1p1nbppp/p2ppn2/6B1/3NPP2/2N2Q2/PPP3PP/2KR1B1R b kq -,e8g8:h7h6:d8c7
r4rk1/ppq1b2p/2p2pb1/P3n1p1/3Q4/2N1N1P1/1P2PPBP/R1R3K1 b - -,g8h8
4rb1r/1k4pp/2p2p2/3pPb2/B2B1P2/8/PP2K1PP/R6R b - -,f6e5
rnbqr1k1/1p3pb1/p2ppnpp/2pP4/2P1P3/2NBBN1P/PP3PP1/R2Q1RK1 b - -,e6d5
r2q1rk1/ppp3b1/2npbnpp/4p3/1PP1P3/2NQ1NPP/P4PB1/1RB2RK1 b - -,d8d7
8/p4pk1/1p2b2p/4P3/4N3/4R3/r5PP/6K1 w - -,e3g3
r1bqr1k1/1pp1bpp1/p3p2p/3pn1n1/2PP4/P1NBP3/1PQB1PPP/3RK1R1 w - -,d4e5
4kb2/3b1pr1/3p1p2/p2RpP2/Pq2P3/1N3Q2/6PP/1K1R4 b - -,d7a4
8/5pk1/3K4/3R1PP1/8/8/8/6r1 w - -,d6e7
r3kb1r/1pp1pppp/p1nq1n2/5b2/8/2N2N2/PPPPBPPP/R1BQK2R w KQkq -,e1g1
1k1r4/p7/1P1r3p/1PpPq1p1/2Q1p1b1/2N1P3/1K1R1P2/7R b - -,a7b6
3r4/5k1p/p4pp1/1p6/6P1/1P2N2P/P3KP2/8 b - g3,f7e6
2b4r/p1R2R2/1p1p1k2/1PpP1p2/2Pr2p1/P7/3N3P/6K1 b - -,f6e5
r3k2r/pp2bppp/4p3/q2nN3/3P2Q1/1P6/P4PPP/R1B2RK1 b kq -,e7f6
r2q1rk1/pb2bppp/1pN1pn2/8/P1pP4/1P6/1B1NBPPP/R2Q1RK1 b - -,b7c6
6k1/5p1p/8/p7/R4P2/P2r4/6PP/5K2 b - -,d3d5
r1bqk2r/ppp3b1/2np1ppp/3N1n2/2P1PB1P/3P2P1/PP1Q2B1/R3K1NR b KQkq e3,f5d4
r1bqkb1r/1pp2p2/p1np1npp/4p1B1/B1P1P3/3P1N2/PP3PPP/RN1QK2R w KQkq -,g5h4
8/p4pk1/4p3/2p1q1p1/Pp4Q1/1P5P/2PbBP2/5K2 w - -,h3h4
2r4k/1qN3bp/3pQ3/p4p2/5P2/2P3P1/3p2KP/3R4 w - -,c7d5
8/3k1p2/Bppb1p1p/p6P/P4PP1/2P1K3/1P6/8 b - -,d6e7
2r3k1/1q4p1/pb1p1n1p/1p1Pp3/1Pr1P3/P1N2RP1/2RN2KP/2Q5 b - -,c4c7
8/4r2p/2p3p1/1p1k2P1/1P1P1p1P/2PK4/8/7R w - -,h4h5
4k3/R4pp1/8/7p/1P5P/4P1P1/pr3PK1/8 w - -,g2f3
r3r1k1/1Bp3bp/6p1/1Pp2b2/p1P2P2/3Pq3/PB5P/1R1Q1R1K b - -,a8d8
5k2/3n4/p2p4/2pPpn2/2P2pNB/P2K1P2/8/8 w - -,h4d8
r1b4k/2q1bprp/p1pp1p1Q/5p2/4P3/2N4R/PPP3PP/1K3B1R w - -,e4f5
5k2/5p2/1R4p1/4p3/4P1KP/1p6/8/1r6 w - -,g4f3
8/6P1/5p1K/p2pkP2/1p6/8/PP4r1/3R4 w - -,h6h7
1r1r1q1k/1b4bp/pN1p2p1/PnpPp2n/2B1N1Q1/7P/1P3PPB/3RR1K1 b - -,h5f6
6b1/8/7p/4K3/1kp2PP1/8/8/3B4 w - -,e5f6
8/8/p1k1p3/4b3/1PPB4/2P4R/1K6/4r3 w - -,b4b5
2r3k1/4b1pp/p3pr2/4NpB1/1pPqb3/1P5Q/5PPP/1R2R1K1 w - -,g5f6
2kr4/1p2bp1p/p2p2rB/q2P3p/3QP3/8/PP3PPP/R1R3K1 b - -,c8d7
2rb1k2/1p6/pPp2np1/2Pp2qp/P2Pp3/B3P2P/5QPN/6RK b - -,f8g7
r1br2k1/pp1q2pp/4p3/6b1/4B1NP/3P2P1/PP2QP2/n1R3K1 w - -,h4g5
6k1/5p2/4p1p1/2Q5/2BR4/4P1P1/2q2P2/1r4K1 w - -,g1g2
3r4/1p3PR1/1k1r1nP1/3p1B2/1bpP4/4P3/1P1BK3/7R b - -,b6b5
7r/2k1n1p1/4b1P1/1p2P3/p1pPB3/P1P3K1/3B4/5R2 b - -,e7d5
1r3B2/5N2/4Bk1P/pn1p1P2/2pP4/P1P5/2b5/1R5K w - -,f8g7
8/4kp2/8/6R1/2PKP3/8/8/5r2 w - -,g5e5
4NQ2/8/2k4p/8/8/4q3/8/3b2K1 w - -,g1g2
2r1r1k1/3n1pp1/p1Rqp1p1/1p6/8/1P1PQ1P1/PB3PB1/3R2K1 b - -,c8c6
8/3k4/p2p1Bp1/2pP1nP1/2P2P2/5K2/P7/8 w - -,f6c3
8/5RP1/2pb4/5P2/4k3/2P5/3B2r1/3K4 w - -,f5f6
2r5/p2pqkpp/P3pp2/5N2/4nB2/6P1/Qr2PPKP/8 w - -,f5e7
1k1r3r/ppp2ppp/2n2n2/q7/1b1P2b1/2NQBN2/PP2BPPP/R4RK1 w - -,a2a3
5rk1/1b3pbp/p2p2p1/3P1P2/3qP3/P2B4/4Q2P/2B2R1K b - -,f8e8
r4rk1/pp3ppp/1qnp1n2/8/1PP1P1P1/3p2P1/1P2N1BP/RN1Q1RK1 w - -,g1h1
r2q1rk1/pp2npbp/3p2p1/3pp1N1/P1P1b3/6PB/1P2PP1P/R1BQR1K1 w - -,f2f3
7R/8/8/5p2/8/5kn1/r7/4K3 b - -,f5f4
4r3/r1pb1pk1/3pP1p1/p1p5/2P2qp1/1PQ5/P4PPP/1N1RR1K1 b - -,f4f6
2rr1bk1/pb2qpp1/2p1p2p/1pPnN3/1P1P3P/5QP1/P1B2P2/2RRB1K1 w - -,c1a1
3RRbk1/5r1p/2p3p1/4B3/8/5P1P/P5PK/2r5 b - -,c1e1
8/pp2pk1p/3p1p2/4nNPP/1Pb1P3/P1K3R1/r7/6R1 b - -,a2a3
8/1R3p2/4pP2/p3Prp1/4K3/P5k1/1P6/8 b - -,g3f2
8/8/P2br1k1/5p2/1P2rP1p/2PRp2P/4Q1P1/7K b - -,d6f4
5q2/6pk/2p4p/Q1bp4/P5P1/2P5/5P1P/6KN w - -,g1g2
r1r1b1k1/pp2ppbp/3p1np1/q1nP4/3B4/2N2NPP/PP2PPB1/2RQ1RK1 w - -,f3d2
3r2k1/p3pp2/6p1/4bn1p/6P1/B1P2B1P/P4P2/1R4K1 b - g3,h5g4
8/6k1/8/5K1P/5P2/8/7r/R7 w - -,a1a7
1Q6/8/2K1k3/6r1/8/8/6p1/8 w - -,b8b3
r2r2k1/1p3p1p/1nppb1p1/2q5/2P1P2P/1P1RN1P1/1Q3PB1/3R2K1 w - -,b2f6
1K6/1P6/8/8/2q5/6Q1/8/7k b - -,c4c6
r1bq1rk1/pp2bppp/4pn2/2pn4/8/2NQPN2/PP2BPPP/R1B1K2R w KQ -,a2a3
6k1/5p2/3p2p1/8/4q3/P6P/Q5K1/8 w - -,g2h2
5k2/2pR1p2/1b3p1p/pB2pP2/P4rP1/2P4P/8/4K3 w - -,e1e2
4k1rr/p1pq2pp/1pn1p2n/3pPp1P/3P3Q/P1P4N/2P2PP1/R1B2RK1 b - -,c6a5
rn2kb1r/pp2npp1/q1p1p3/3pP1Bp/3P3P/2N4Q/PPP2PP1/R3K1NR w KQkq -,g1e2
2b2rk1/5p1p/r3p1p1/1pp5/4B3/P4P2/1PP3PP/2KR3R b - -,f7f5
5rk1/5p2/p2qb1p1/1pp1r2p/8/1PP3Q1/P2B2PP/3NR1K1 w - -,g3e5
r3r3/q4kpQ/7p/p2pp3/6N1/2P5/PP3PPP/5RK1 b - -,a7b6
6k1/8/4KP1b/8/3B4/8/8/8 b - -,h6f8
r2q1r2/2p1ppkp/p1n3p1/1p6/3P4/1bN2N2/PP2BPPP/R1B1K2R w KQ -,a2b3
8/p1b1r3/P4kp1/2R2p2/B4P2/4PK2/5P2/8 b - -,f6g7
r3k2r/3b1pp1/2nqpn2/7p/4P2P/1N2BP2/PPP3P1/1K1R3R w kq -,d1d6
6R1/5k2/p7/r4p2/8/5K2/8/8 w - -,g8b8
r1bq1rk1/pp3ppp/5n2/8/3b4/2N3P1/PP3PBP/R1BQK2R w KQ -,e1g1
4r1k1/pp1b1pq1/3b1rpp/8/2p1N3/P4P2/1P1Q2PP/R3R1K1 w - -,e4d6
8/8/2R2pk1/2p3r1/5K2/8/8/8 b - -,g5e5
r1b2rk1/1n1q2bp/p2P1pp1/1p1N4/1Q3B2/P4B1P/5PP1/2RR2K1 b - -,a6a5
1k1rr3/1bpq1pp1/1p1p3p/p2P1Nb1/P5P1/1P1Q3P/1BP2P2/2KRR3 w - -,c1b1
8/p1r2kp1/1p2rn1p/n1p1p3/R7/P1P1BN1P/5PP1/4R1K1 w - -,e1d1
8/b5k1/8/P4Bn1/1BK3P1/8/8/8 w - -,a5a6
8/1p6/p2k4/3p4/3Pn1P1/1P2P2B/P7/6K1 b - -,e4c3
8/5pk1/3Q2pp/1p2P3/5q2/7P/6P1/7K b - -,b5b4
r1q2r2/np2b2k/p2p1n1p/4p3/PP2PpN1/1BP5/1B1NQPP1/2RR2K1 b - -,f6g4
1r4r1/5k2/3Rp2p/1Bn1P3/p1P5/8/1P5P/2KR4 w - -,d6c6
1r2b1k1/p1p3pp/2p5/2NpPr2/2P1p3/1PR4P/P4PP1/4R1K1 w - -,c5a6
4nrk1/1p4p1/pB2bp2/4p1p1/3PN3/8/PP2R1PP/6K1 b - -,e5d4
8/3N1r2/p4p2/6k1/8/1P5P/2Q3PK/q7 w - -,h3h4
r5k1/1p3ppp/1q3n2/1p1p1P2/3P4/PQB1r3/1P4PP/2R2R1K w - -,a3a4
6k1/3r4/4rpp1/1p1p3p/5R1P/2P1B1P1/1P2KP2/8 b - -,g8f7
8/5pkp/p1N3p1/3P4/P3rqN1/3Q3P/3n1PP1/2R4K b - -,h7h5
r5k1/4b1p1/4p2p/5p1P/1r1P4/5N2/p2N1PP1/R5K1 w - -,g1f1
1rbqr1k1/p3ppbp/2np2p1/2p2PP1/1p2P3/1P1PB2P/P1P1N1B1/R2Q1R1K w - -,a1b1
rnbqk2r/ppp5/3p1np1/5pb1/2PPp3/1N3PP1/PP1QP1B1/RN3RK1 w kq -,d2g5
r4rk1/p2qbp2/5n1p/2p1p3/N2pP3/1P4Pb/P1P2PB1/R1Q2RK1 w - -,c1h6
2kr2nr/ppn3p1/2p1p3/3qPpNp/Pb1P3P/4B1N1/2Q2PP1/R4RK1 w - -,g3e2
r5k1/p1pb4/1r1p1q2/3P1p1p/2PNpPnP/3n2P1/P1NQ2B1/1R3RK1 w - -,g2h3
2r3k1/1p2pp1p/3p2p1/r1nP4/1p2PP2/1P3B2/P1R3PP/3R2K1 b - -,c8d8
8/8/7R/4kp2/7P/r4KP1/8/8 w - -,f3f2
1r2n1k1/p4p2/2p1pqpp/8/2P1N3/5PP1/PP2Q2P/2KR4 b - -,f6g7
r4rk1/2p2qpp/ppP1p3/1P1p1p2/P1nP4/1Q2P3/1B3PPP/R3R1K1 w - -,b2c3
8/p7/1p1bpk2/3p4/3P4/2PN4/PP1K2Rr/8 w - -,g2h2
rnbqkb1r/pp1ppp1p/2p2p2/8/3P4/2P5/PP2PPPP/RN1QKBNR b KQkq -,d7d5
2r5/1r3pbk/p1npb1pp/2p1p3/PpP1P3/1P1PB2P/3N1PP1/R2BR1K1 b - -,f7f5
3Q4/1k6/8/3BPpB1/2pb1P2/8/2K5/q7 b - -,b7a7
r5k1/2qp3p/1pN1pQp1/p1n5/2P2b2/1P3P1P/P3B1P1/2RR2K1 b - -,d7c6
rnbqk2r/ppp2ppp/8/3p4/1bPP4/5N2/PP1n1PPP/RN1QKB1R w KQkq -,b1d2
r3r3/ppp1nppk/1b2nq2/4p1pP/4P3/1BP5/PP2QPRN/R1B1K3 b Q -,e6f4
r2q1rk1/pp1nbppb/2p1pn1p/3pP3/8/3P1NP1/PPPNQPBP/R1B1R1K1 b - -,f6e8
6k1/p4p1p/3p4/4b1p1/2P2rP1/1N2p2P/P1R3K1/8 b - -,e3e2
8/4k3/1p2p2p/3pPp2/3P1K1P/PbP5/4B3/8 w - -,e2d3
2N2k2/1p3bpp/5p2/1Bn2P2/P5P1/7P/8/1K6 w - -,b1b2
1k1r1br1/pb1q4/1p2p1pp/3pPn2/3P1N1P/P2BBQ2/1P3P2/2KR3R b - -,f8e7
2n5/4p1k1/p4p1p/1p1PpP1K/1P1B1P2/P7/8/8 w - -,f4e5
r5k1/4rp2/1p4p1/1Bp5/1p3P2/1P2pK1P/2P5/3RR3 w - -,e1e3
r7/5k2/3p1b1p/2pPnP2/1pP5/1P1B3R/5B2/6K1 w - -,d3e2
5K2/7P/4k3/8/8/8/8/7r w - -,f8g7
r1bqk2r/ppppnppp/8/1Bb5/P2pP3/8/1PPP1PPP/RNBQ1RK1 w kq -,d2d3
1r3r1k/2p3p1/p3q2p/P2p4/1p1PpPPb/4B2P/1PP1Q1K1/R4R2 b - -,h4f6
r1bqkb1r/pp1p1ppp/n1p2n2/4p3/Q1P5/2N3P1/PP1PPPBP/R1B1K1NR b KQkq -,f8c5
rn1qkb1r/1b3pp1/p4n2/1p2pN1p/4P1P1/3BB3/PPPN3P/R2QK2R w KQkq h6,g4h5
5r1k/4qppp/p2p1bb1/1prB4/3pP1P1/P6P/1PPQNP2/R3R1K1 w - -,e2d4
8/4r3/8/8/3p4/2k3P1/R7/5K2 w - -,a2a3
8/4k1p1/1bp2pp1/pp6/4KP2/1P1R2PP/8/8 w - -,d3d1
r1b2rk1/p2nqppp/2n1p3/1pppP3/3P1P2/5NN1/PPPQ2PP/R3KB1R b KQ -,a8b8
2r1r3/p1k2p2/q2p1Q1R/1b1P4/8/1P6/2P2PP1/2KR4 w - -,c1b2
3rk3/5p2/p3bQ2/2b3p1/P3P3/2P3q1/2K1B3/1R3R2 b - -,g3e3
4r1k1/1p3pp1/5b1p/q2p4/2nP4/P2Q2P1/R1B2PKP/2B5 b - -,a5e1
r2q1rk1/3n2bp/p3p1p1/1ppb4/5P2/P1P1BB2/1P1N2PP/R2Q1RK1 b - -,a8c8
3rr1k1/1p3p2/1pp1nn1p/4p1p1/1P2P3/P1PB2PP/1B3PK1/3RR3 w - -,g2f3
r3kbnr/pp2p1p1/n1p1Pp2/3p3p/3P3P/3QB3/PqP2PP1/RN2K1NR w KQkq -,g1e2
r1bk1b1r/1p3ppp/p1p1pn2/6B1/4P3/P1N5/1PP2PPP/R3KB1R b KQ -,e6e5
rnbq1rk1/pp2ppbp/5np1/8/3P4/2N1BN2/PP3PPP/2RQKB1R w K -,f1e2
3r1rk1/ppq1ppbp/1np2np1/4N3/3PPP2/2N1B2P/PP2Q1P1/3R1RK1 b - -,f6d7
8/8/2b5/5nk1/1R6/6p1/5K2/8 w - -,f2g1
rn1qkb1r/pbp2p1p/1p1ppnp1/8/3PP3/3B1N2/PPPN1PPP/R1BQ1RK1 b kq -,f8g7
8/8/6pp/1p1R4/p1b3kP/P5P1/5K2/8 w - -,d5d4
1r1q1rk1/4R1pp/4pn2/1p1p1p2/pQ1P4/P3PP2/1P1B2PP/2R3K1 w - -,c1c7
2qrrk2/p1n1ppbp/1pPp1np1/1P1B4/2P2B2/P1N4P/3QRPP1/2R3K1 b - -,c8f5
1r2r1k1/1bqn1pb1/1p1p3p/pPpP2p1/P3N1P1/4B2P/3QRP1N/1BR3K1 b - -,d7f8
r1br2k1/4q1bp/p1np1np1/2p2p2/2PPp2P/4P1P1/PBNQNP2/3RKB1R b K -,f6h5
6k1/7R/3b3p/1p1PpB2/6N1/1P4P1/r2r1PKP/8 w - -,g4h6
r4rk1/pp5p/2p1b1p1/2p1b3/2P1P2q/3BBPp1/P2QN1P1/R2RNK2 b - -,b7b6
r4rk1/1p1b2bp/np1p2p1/1NqPp1PP/p1P1Pp2/P4Q2/1P1N1P2/R3KBR1 b Q -,g6h5
r1bq1rk1/pp1nppbp/3p1np1/2pP4/2P5/2N1PNP1/PP3PBP/R1BQ1RK1 b - -,a7a6
8/3b4/7k/3P4/3N4/r5p1/PR2K1P1/8 b - -,d7g4
r1b2rk1/pp3ppp/4p3/2p3q1/2PP1n2/1B3N2/PP3PPP/2RR1QK1 b - -,g5h5
8/1p6/p6k/4nQpp/8/6P1/PP3P1q/2R2K2 w - -,f1e2
2rqrbk1/3n1ppp/ppb2n2/2p1pP2/2PpP2N/1P1P2P1/PB2QNBP/R4RK1 b - -,b6b5
8/2b5/8/8/8/2p3p1/5k2/3K1B2 w - -,f1h3
r2q1rk1/pppnbppp/3p1n2/4p3/2PP2b1/2N1PN2/PP2BPPP/R1BQ1RK1 w - -,e3e4
rn1qk2r/pb3pp1/1ppbpn1p/3pN3/Q1PP4/6P1/PP2PPBP/RNB2RK1 w kq -,b1c3
rn1q1rk1/4bppp/p4B2/2pPN2b/p7/3B4/1P1Q1PPP/RN3RK1 b - -,e7f6
r4r1k/1bp4B/pp2p3/2n3q1/2Pp3Q/8/PP3PPP/R5K1 w - -,h4g5
rnbq1rk1/pppp1ppp/8/8/4n3/2PN4/PPP1BPPP/R1BQK2R b KQ -,d7d5
8/1kb5/p1p5/1pP5/1P5p/4QPqP/3B4/7K w - -,f3f4
8/7r/8/6p1/3k4/6K1/2R2P2/8 w - -,g3g4
r1b1kb1r/pp1p1ppp/nq3n2/1Npp4/4PB2/2P2P2/PP4PP/R2QKBNR w KQkq -,e4d5
8/7R/4pkp1/6p1/1p6/1P6/2NK1P2/1r6 w - -,h7h3
r2qkbnr/1bpnpppp/p2p4/1p6/3PPB2/5N2/PPPN1PPP/R2QKB1R w KQkq -,c2c3
