4R3/7p/3b4/4Bp2/2k2Pn1/4r3/3K4/8 b - -,d6e5
1k1r1br1/pp4pp/4pn2/R2nN1B1/3p4/1P3BP1/1P2PP1P/2R3K1 b - -,f8d6
8/5pk1/1p1p3q/1P2p3/2PpP1p1/3P1nP1/R4PBr/3K1Q2 b - -,h2g2
4rrk1/pp1n2bp/1npBp1p1/8/3PP2R/2N2N2/PPK2PP1/3R4 b - -,f8f7
3r2k1/p2rpp1p/1p4p1/2pPP3/P1P3QP/6P1/2q2P2/R2R2K1 b - h3,g8g7
4r1k1/1p3p2/pn4pp/3pN3/2pP1n2/2P1R3/PP1N1PP1/6K1 w - -,e5c4
2r1rqk1/3b1pbp/3Pnnp1/1p2B3/2p5/2N2N1P/1P3PP1/R2QRBK1 w - -,a1a7
8/4Rpk1/6p1/1p6/8/6P1/P4P1P/2r2K2 w - -,e7e1
8/3k3p/4Bnp1/8/7P/4R1P1/2r2PK1/8 b - -,d7d8
r4rk1/ppp2q1p/2bp2p1/8/2PQ1R2/1P4P1/P4PBP/R5K1 b - -,f7g7
5nk1/pp2q2p/2p3p1/1P1p4/3P4/P2Q4/2P1N1PP/6K1 w - -,b5c6
1b1r2k1/p3nppp/Qpr1pn2/3q2B1/1P1P4/P4N1P/3N1PP1/2RR2K1 w - -,d2f1
8/6pk/p3qpnp/2pr4/P3n3/4PN1P/2Q2PP1/B1R3K1 w - -,c1b1
rnbqnrk1/1pp2pbp/3p2p1/p2Pp3/2P1P3/2N3N1/PP2BPPP/R1BQ1RK1 b - -,f7f5
2r1r1k1/pb3ppp/2n3q1/7B/2Q5/P3P1N1/5PPP/3R1RK1 b - -,g6f6
6k1/5r2/p2p3p/1p1P4/1Pnp4/3Bb1PP/P3R3/4R2K b - -,f7e7
8/p7/2pp1kp1/1P5p/5P2/1PNb3P/P4KP1/8 b - -,c6b5
r2qr1k1/ppp2pp1/5nnp/4P3/6b1/1NPB2B1/P1P3PP/R2Q1RK1 w - -,d1e1
5rk1/3pq2p/2p1pbp1/1n6/1P1PQ2P/3B2P1/5P2/B2R2K1 w - -,e4g4
8/5k2/4p1p1/P1N2p2/3PP3/2P1K3/r7/8 w - -,a5a6
6k1/4pp1p/3p2p1/2pP4/4PP2/r6P/PR3KP1/8 b - -,f7f6
rnbq1rk1/pp2ppbp/6pn/8/1PPp4/3P1NP1/PB3P1P/RN1QKB1R w KQ -,f1g2
8/1P3pk1/6p1/3Q3p/7P/6P1/5PK1/1q6 w - -,d5e5
2r5/1p2pkbp/6p1/BN1P1p2/N3n3/1P1R2P1/1P5P/6K1 w - -,b5c3
5r2/8/2NpNkn1/3Pp1b1/R3P1p1/6P1/3n1BpP/7K w - -,h1g2
r4rk1/1b1nqppp/p3p3/1pbpP3/3B1PP1/1P1B2R1/1PPQN2P/2KR4 b - -,c5d4
r1bqk2r/ppp1ppb1/3p1npp/2nP4/4PP1B/2N1QN1P/PPP3P1/R3KB1R b KQkq -,c7c6
2b2bk1/Q1q4p/n2p1pp1/1p1Pp3/2p1P1P1/2P1B1P1/1PB2P2/1N4K1 w - -,a7a8
r1r3k1/1p1n1p2/p3pb1p/2Pp2p1/1P1P1P2/RN3B2/5PPP/R4K2 w - g6,f4f5
5k2/1n3p2/4n3/2qpPp2/pQ6/7P/PP4B1/5NK1 w - -,b4c5
3q1r2/3r1ppk/p5b1/1p2P3/n2N2P1/Q3B2P/PP3P2/R4NK1 b - -,f8e8
rnb2rk1/pp2qpbp/3p1np1/2pPp1B1/2P1P3/2NB1N1P/PP3PP1/R2Q1RK1 b - -,h7h6
r1bqkb1r/pp1npp1p/6p1/2p1P3/Q7/2P2N2/P2P1PPP/R1B1KB1R b KQkq -,e7e6
2r5/4Qpkp/6p1/4P3/5q2/7P/6P1/3R3K b - -,c8c6
r3k2r/1pp2pp1/p1nb1n1p/1N2p3/R3P1P1/1P1p1N1P/1P1B1P2/4K2R w Kkq -,b5d6
r4rk1/pb1q1ppp/1pnNpn2/2Pp4/3P1B2/P7/1P1Q1PPP/R3KB1R b KQ -,f6e4
5r2/1p6/1k2R3/8/7p/1P1B4/1K5P/8 b - -,b6c5
rq4k1/4bppp/3p4/pbr1p3/P3P3/3Q1N2/1P3PPP/2R1R1K1 w - -,a4b5
2kr3r/2q1npb1/bn1p2pp/1BpP4/8/2N1BN1P/PP1Q1PP1/1K1R3R b - -,a6b7
3r4/pp4k1/3b1pp1/4p3/1P6/P3B2P/2r2P1P/R4RK1 b - -,b7b6
rnbqk1nr/pp2ppbp/6p1/3p4/3P1B2/2N2N2/PPP2PPP/R2QKB1R b KQkq -,a7a6
4nr2/5qk1/3p2p1/3Pp3/4n3/4R1PP/2R1QPK1/8 b - -,e4c5
r3r1k1/2p2pp1/p7/1p1p1PP1/1P2p1P1/3P4/1P1B4/R6K w - -,d3e4
r1bq1rk1/pppnbpp1/3p1n1p/4p3/3PP3/2N2N1P/PPP1BPP1/R1BQ1RK1 w - -,c1e3
3rr1k1/1pqb2bp/2p3p1/p1p1p2n/P1P1P3/1PN1NQPP/5PB1/2R1R1K1 w - -,e1d1
r1bq1rk1/ppp2ppp/2n5/3p4/3P1B1b/2P5/PP3PPP/RN1QRBK1 b - -,c6e7
5r1k/1b3pbp/p3p3/q1r1P3/2pR1Q2/2N2N1P/PP4P1/2K1R3 w - -,f3g5
2r3k1/pp3pp1/4bn1p/4q3/3N4/4PP2/PP3Q1P/1BR4K w - -,c1g1
3q1rk1/1p3pbp/3p2p1/1B5r/Pp1QP1n1/6B1/1P3PPP/R3R1K1 w - -,d4d1
8/b7/4b3/8/7k/8/3N3K/8 b - -,a7e3
rn3rk1/pbq1ppbp/1p4p1/2p5/P2P4/B1P1PN2/4BPPP/R2Q1RK1 w - -,f3d2
8/p1R3p1/4pk1p/8/2n5/5BK1/r5PP/8 b - -,c4e3
r1b1nrk1/pp4pp/3ppp2/4n3/1bP4B/2N1PB2/P2N1PPP/2RR2K1 w - -,f3e2
5rk1/1p4p1/p3p3/6q1/3p1n2/8/PP1Q1PPP/1B2RK2 b - -,g5g2
4r1k1/pp2rpp1/2p1p1np/P1Qq4/1R1P1P2/2P3B1/1P4PP/4R1K1 b - -,a7a6
r2q1rk1/3nppnp/3p2p1/p1pP2Pb/2P1P3/RPQ2N1B/3N1P1P/4K1R1 b - -,f7f5
8/5B2/1pKp3k/p6P/2P5/1P2b3/P7/8 w - -,c6d6
2krr3/pp5R/6p1/3p4/6n1/2P5/qP1Q4/2K1R1N1 w - -,e1e8
2bqr1k1/p4pbp/1p2n1p1/4B3/2Pp4/N5P1/PP1Q3P/3RR1K1 b - -,e6g5
R1n1q1rk/1prb3p/3p1bp1/2nPp3/4PpPP/1PN2P2/1K1NBB2/Q5R1 b - -,f6d8
3qr1k1/1r1bppb1/1p1p1np1/pP1P3p/P1PN4/4BB1P/5PP1/2RQR1K1 w - -,d4c6
8/8/5pk1/8/8/6P1/1r1R1P2/4K3 b - -,b2b5
5rk1/Qp3ppp/4b3/3p4/8/1P4P1/P1q1NPBP/5RK1 b - -,c2e2
8/nB5p/3kp1p1/1p6/5P2/4K1P1/P3P2P/8 b - -,d6c5
1rnQ4/1p5k/3p2r1/3Pp2p/3qPp2/2N2PP1/P3B1P1/1RR2K2 b - -,g6g7
3r1rk1/1p1qnppp/p1p5/b2p4/3P1B1n/2P1NQ2/PP2NPPP/R3R1K1 w - -,f3h5
r1b1k2r/pp2np1p/2n1p1p1/3pP3/q1pP3P/P1P2N2/2PBBPP1/R2QK2R b KQkq h3,h7h5
rq3rk1/1p1nppbp/p2p2p1/2pP4/P1PnPB2/2NB3P/1P3PP1/R2QR1K1 b - a3,e7e5
r4rk1/1pqnbppp/p2pbn2/4p3/4P3/1NN1BP2/PPPQB1PP/R4RK1 w - -,f1d1
4r3/1pk4p/1R4p1/P4p2/3K4/8/P4PPP/8 w - -,b6b2
r4rk1/pp1nbppp/2p1pn2/2Pp4/3P2b1/1PN2NP1/1P2PPBP/R1B1R1K1 b - -,a7a6
r5k1/1p3pp1/2b4p/p7/8/1N3P2/PKPr2PP/7R w - -,b3d2
8/4kp1p/1R6/1p2P1KP/3B4/2P2r2/4b3/8 b - -,f3g3
2kr4/ppb5/5p2/3npp1p/7P/2PN1P2/P2B2P1/3R1K2 w - -,c3c4
rnb1k2r/ppp2pp1/3qp2p/3p4/2PP4/2PBP3/P1Q1NPPP/R3K2R b KQkq -,b8d7
2r3k1/pp1q1ppp/3n4/6B1/3p3Q/6PB/PP3P1P/6K1 b - -,f7f5
r3qrk1/pppb2b1/3p1n1p/1P1Pppp1/5P2/3PP1P1/P3N1BP/1RBQ1RK1 w - -,f4e5
4r1k1/1q4p1/2RQppp1/pp1n4/8/1P1P2P1/PB3P2/6K1 b - -,b7e7
r1q3k1/1p5p/p1n3pb/2Np4/1P1PnP2/P5P1/1B5P/R2QR1K1 b - -,e4d6
r1bq3r/pppp1kpp/8/8/1n1Pn3/1Q3N2/PP3PPP/RN2K2R b KQ -,d7d5:f7f8
1r1q1rk1/1B3p1p/p2pp1p1/1p2P3/2Pp1P2/1P1P2P1/P2R3P/3Q1RK1 b - -,b8b7
4qr1k/pbbnr1pp/2p1p3/2P2p2/2Q5/1P3N2/PB3PPP/1BR1R1K1 w - -,f3e5
8/4k3/8/4pRp1/r6p/3NK1bP/8/8 w - -,f5g5
1q3bk1/p1n2p1p/1p2n2p/8/5P2/4B1P1/P2Q2BP/2R3K1 w - -,f4f5
r1b1k2r/pp2b1p1/2n1p1qp/2P2p2/8/3BBNP1/PPPQ1P1P/R3K2R b KQkq -,e8g8
r1bqkb1r/pp3ppp/1nn1p3/3pP3/3P4/3B4/PP1NNPPP/R1BQK2R w KQkq -,a2a3:e1g1
r2qr1k1/pp2bpnp/2p2np1/3pBb2/3P4/3BPNNP/PPQ2PP1/R4RK1 b - -,f5d3
r7/P3R3/8/2p3p1/2Pr1kP1/4p3/3pK3/6R1 w - -,e7f7
8/4k1n1/3p2p1/p1pP2Np/PpP2P2/1P3K2/7P/8 b - -,g7f5
4rk2/1br2pb1/p3p1pp/Pp1p4/1NB3P1/2P5/1PN2PP1/3RR1K1 b - -,c7c4
6R1/1b2r3/p1p3k1/PpPn2p1/8/4p1P1/4R3/6K1 b - -,g6f6
7k/2p3r1/2Q3p1/P1BB4/3bP3/1P4P1/1q3PK1/8 w - -,c5d4
6k1/3n2rp/3p4/p1pPp3/PpP5/1P3BR1/1B6/4N2K b - -,g7g3
6k1/5p2/p3pB2/1p1rP2p/6pP/1PP1n2r/P4KR1/2R5 w - -,g2g1
2r3k1/1p1b2pp/p1nbpn2/q2p4/N2P4/1P2BN1P/P4PP1/1B1QR1K1 b - -,c8f8
2B5/8/8/3bk1p1/3p4/6P1/8/4K3 w - -,c8h3
rnbq1rk1/ppp1p1bp/5np1/3p1pB1/3P4/2NBPN2/PPP2PPP/R2Q1RK1 b - -,f6e4
8/1p3p1k/3p2p1/1q1P4/1n2p1pP/1NK1P1P1/3Q4/R7 w - -,a1a5
r4r1k/pp1nn1pp/4q1b1/P2BPp2/3Q1PP1/4N3/1P5P/R1B2RK1 b - -,e7d5
2r5/8/1p2k1p1/pP4p1/P3P1P1/2K1N3/8/8 w - -,e3c4
b2n1k1r/4bp2/3p4/p3pP1p/1p6/3B1N1Q/PP1B1qPP/2R4K w - -,c1f1
1r4k1/p4p1p/Br6/4p3/3N4/2N3P1/4PP1P/R5K1 b - -,e5d4
rn1qk2r/pbp1bppp/1p2p3/8/3P4/P1n2N2/1PQBPPPP/R3KB1R w KQkq -,d2c3
8/r4p2/3kp3/1B4p1/Pb4P1/3K1P2/4R3/8 w - -,e2b2
8/pp6/2p2k2/N4p2/8/P6r/1P2BK2/8 w - -,a5b7
r2qk2r/4ppbp/bn1p1np1/2pP4/8/2N2NP1/PP2PPBP/1RBQ1RK1 b kq -,a6c4
r2qkbnr/p2n1ppp/4p3/1p1pPb2/2pP4/2P2N2/PP1NBPPP/R1BQR1K1 b kq -,d7b6
5rk1/p4ppp/n1QR4/2p5/8/2P1N1P1/4qP1P/6K1 b - -,a6b8
2R5/2P5/4p3/4kp2/8/3B2P1/3n1PK1/2r5 w - -,d3f5
6k1/p7/2p1PRpp/2b5/5p2/5P2/PPP4P/2K5 w - -,f6g6
r2q1r2/pp2np1k/3pP1pp/8/2P5/6Q1/PP3PPP/R1B2RK1 w - -,f1e1
5rk1/4ppbp/rp3np1/3pB3/8/2N1P3/PP3PPP/2R2RK1 w - -,a2a3
5b1r/1p1q1kp1/p1n1p3/3pPp1p/3P1Q1P/1P3N2/P4PP1/2B1R1K1 w - -,f4f5
2r4k/pp4p1/1b5p/3B4/2P5/B7/P1n1K2P/R7 w - -,c4c5
r1b2rk1/ppqn1pbp/2pp1np1/8/1PPNP3/2N1B3/P2QBPPP/R4RK1 b - -,d7e5
8/8/7p/4kp2/8/4bKNP/P7/8 b - -,e3d2
3bk1r1/3p4/1p1Pp3/p3P2q/8/5Rp1/P2R2P1/2Q3K1 b - -,h5h2
8/8/p3p3/6p1/2p1pk2/1P5P/P4K2/8 w - -,b3c4
4rq1k/1p3pp1/p1p2n1p/3p1P2/1P1B1b2/P1P2P1P/2B2QP1/4R2K b - -,e8e1
3q1k2/1r1bpp1p/3p2p1/p1pP4/2Pn1PP1/3Q3P/P3NP2/4RBK1 b - -,d4e2
r5k1/7p/3q1pp1/1p1P3n/2pQ2N1/7P/1P3PP1/3R1K2 b - -,a8d8
5k2/1R6/6p1/6P1/1p1KPP2/8/1r6/8 b - -,b4b3
rn1q1r2/p3ppkp/2pp1np1/1p6/3PP1b1/P1N2N2/1PPQBPPP/R3K2R b KQ -,b8d7
r1br1nk1/ppq2ppp/3ppb2/8/N2PP3/1P4P1/PB2QPBP/2RR2K1 b - -,c7b8
3rr1k1/1q4bp/3n2p1/1p4P1/1PpPp3/2P4P/R2N2Q1/2B2RK1 b - -,d8d7
r2r2k1/p3ppbp/6p1/2p5/2n2B2/1PN3P1/P3PP1P/3R1RK1 b - -,g7c3
8/3k1pb1/1prpp2p/p5p1/2P1P3/1R1KNPP1/2N4P/8 b - -,d7c7
rn1qkbnr/pp3pp1/2p1p2p/3pP3/3P2PP/3Q1P2/PPP5/RNB1K1NR w KQkq -,h4h5
3q3k/1Q4pp/2p2b2/4nN1P/4P3/6P1/2P4K/8 b - -,h7h6
1r1qk3/4bpn1/3p2p1/1ppP4/4NQ1r/5P1B/1P2PP2/3R1K1R w - -,h3d7
4Q3/6pk/6p1/7p/7P/5KP1/1q6/q3Q3 b - -,a1a2
2R5/4k1p1/7p/pr2PP2/1b1BK3/6P1/P4P1P/8 w - -,c8c7
1q2rb1k/2r3pp/p2p4/3N2P1/1pP1B3/1P5Q/PB5P/6RK b - -,e8e4
r3r1k1/pp2qp1n/2bN2p1/2B3Pp/2P1PPn1/2P3R1/P2QB2P/3R3K b - -,b7b6
r3k2r/pnpbqp2/1p1p1n1p/3Pp1p1/2P1P3/2P2PP1/P1B2B1P/R1NQR1K1 b kq -,h8g8
1r5r/pp1k2b1/5pp1/7p/3Pp2P/1P4P1/P1P1NPK1/3R1R2 w - -,c2c4
r1bq1rk1/pp2n1bp/3p2p1/2p1p3/2PnPP2/2N3P1/PPN3BP/R1BQ1RK1 b - -,e7c6
8/7r/p5R1/8/PK2pB1k/3bP3/7P/8 b - -,h7h5
5k2/1qp2np1/p1npp2p/4p1bP/P1N1P3/B1PP2P1/Q4PKN/8 b - -,g5f6
6k1/3R4/1B5p/p5p1/r4nP1/5K2/5P2/8 w - -,d7d6
r1bqkb1r/p3pppp/2pp1n2/2p5/4P3/1P6/PBPP1PPP/RN1QK1NR w KQkq -,d2d3
r1bq1rk1/pp1nbppp/4pn2/3pN3/2pP1B2/2PBP3/PP1N1PPP/R2Q1RK1 w - -,d3c2
r2q1rk1/pp1n1ppp/2pbpnb1/3p4/2PPP3/3B1N2/PPQN1PPP/R1BR2K1 b - -,d5e4
r1bq1rk1/pppp1pp1/2n2n1p/2b1p1B1/2B1P3/2NP1N2/PPP2PPP/R2QK2R w KQ -,g5h4
1Q5k/pp4r1/2p1pn1p/8/2PP1Pbq/4PP2/PP5P/5RNK b - -,h8h7
r1q1r1k1/1pBn1pp1/p1p1p2p/2P5/3PN3/3Q3P/PP3PP1/2R2RK1 b - -,c8c7
3q1rk1/3n1ppp/b3p3/p1rn2b1/1pNN4/1P2P1P1/PBR2PBP/1Q1R2K1 b - -,d8c7
8/5p2/1p2k2p/p1r5/3RK3/7P/1P4P1/8 w - -,b2b4
