4R3/8/8/6p1/6kp/5b2/8/2r1BK2 b - -,h4h3
2B5/p3r1kp/6p1/3p1p2/1r1Pn3/7P/P1R3P1/3R3K b - -,b4c4
rnbqk2r/ppp1p1bp/5pp1/3p4/2PP4/2N2NP1/PP2PPP1/R2QKB1R b KQkq -,e7e6
1k6/pp2Q2p/8/3p4/2pP3P/P1P5/BPq2K2/8 w - -,e7e2
r1q1r1k1/1ppbnpb1/p2p2p1/P2P3p/5P2/1NP3PP/1P3BBK/R2QR3 b - -,e7f5
r1b1k2r/1p3ppp/p1q1pn2/3pP3/1b6/2N1BP2/PPPQ2PP/2KR1B1R b kq -,f6d7
5k2/5r1p/r5p1/2p1N3/1n2R3/8/PP3PPP/3R2K1 b - -,f7e7
r2qk2r/bp4pp/B1n2p2/2p1p3/1P2Pnb1/P3NN2/1B3PPP/R2Q1RK1 b kq -,g4f3
r4rk1/1bq1bppp/p2ppn2/1pn5/3NP3/2N1BP2/PPP2QPP/3RRBK1 w - -,f2g3
r5k1/2pq1rbp/1pnpbnp1/3Np1B1/1pP1P3/P4PP1/3QN1BP/3R1RK1 w - -,a3b4
1rb2rk1/5pp1/1q1p4/4p2p/1pPnP3/1P3P2/R1BQ2PP/R4N1K b - -,h5h4
r3k2r/pp3ppp/1qn2n2/2bp3b/8/1QN1PN1P/PP2BPP1/R1B2RK1 w kq -,c3d5
2r2rk1/1p3ppp/p1npbn2/4p1q1/1PP1P3/2NQ4/P1N1BPPP/2RR2K1 w - -,c3d5
r3r1k1/1pp2pp1/1p1pbb1p/8/4P2P/1BP5/PP1R1PPN/2K1R3 w - -,b3e6
8/7p/3k2p1/3p2p1/3KbP2/4P3/7P/3B4 w - -,f4g5
2rq1rk1/pp5R/6P1/3pP3/1b1P1P2/1B2Bp2/1n3K2/R7 w - -,a1h1
8/5k1p/pp3p2/1p2bN2/1P1N2Pp/2P5/b1K2P2/8 w - -,f5h4
5rk1/1pb1r1p1/6p1/p5N1/2P3n1/P1B5/1PK5/6RR b - -,g4h6
8/k1qn4/p3Qp1r/2pP2pB/3p2P1/P2P3P/2P3K1/1R6 w - -,e6e7
2q2rk1/p5pp/1p1pp3/2n2p2/1PP1b3/4PN2/K3BPPP/2RQ1R2 b - -,c8a6
8/5p2/6p1/p1pk1b1p/1p5P/2PPKP2/PP2N1P1/8 w - -,e2g3
r4n1k/1p2nr2/4p1pp/p2pP3/3N1P1P/2PB4/qP1Q4/2K1R1R1 w - -,f4f5
8/1p1nkpp1/2p1p2p/rp1p4/rPPP4/P1R1P1P1/3NKPP1/2R5 b - b3,a5a7
r1nq1rk1/1p1b1ppp/p2p1n2/2pPp3/P3P1PP/R1N1N3/1PP2P2/3QKB1R w K -,f1h3
rnbq1rk1/4ppbp/p1pp1np1/1p6/2PPP3/2NBBN1P/PP3PP1/R2Q1RK1 b - -,b8d7
8/4bpk1/p6p/6p1/p7/Pb1N2P1/1P2PP1P/2B3K1 w - -,g1f1
r2q1rk1/p3bppp/p3p3/3nN3/1nBP4/4B3/1P2QPPP/R2R2K1 w - -,e3d2
1r1k4/1pR1np2/p6p/3p3P/3N4/PP1KPP2/8/8 w - -,c7c1
2kr4/1p3pp1/p2qp3/6pP/2Pn4/P7/1P2QPP1/1KR1N3 w - -,e2e3
3q3k/p4r1p/2p1n3/3p1rpR/1R1Pp1Q1/2P1P2N/1P3PP1/6K1 w - -,h5h6
r1b1k2r/2qn1p1p/p2b2p1/1p1Pp3/2p1P1n1/5NN1/PPBB1PPP/R2Q1RK1 b kq -,e8g8
6k1/3n2pp/1pp1qp2/1p6/1P2Pp2/2P4P/2QN1PP1/6K1 w - -,d2f3
4r3/p7/P3P2p/3K1k2/5Rp1/5pP1/7P/8 b - -,f5g5
r1bqk1nr/ppp2pb1/2np4/4p3/3PP1Pp/2PN3B/PP3P2/RNBQK2R w KQkq -,d4e5
r1b1nBk1/1pqn1pb1/2p3pp/p2pp3/P1NPP3/2PB1N1P/1P3PP1/R2QR1K1 b - -,d5c4
3r2k1/p2r2pp/4Rp2/8/8/2pN1PP1/P5P1/3R2K1 b - -,d7d3
7k/7p/1pr1p2p/2bp4/3N4/P2B3P/5PP1/4RK2 b - -,c5d4
r2r2k1/P5pp/8/2p5/1p6/1P5P/2R3B1/R3n2K w - -,g2a8
5k2/1pR2pp1/p6p/P7/1PK2P2/5bP1/3rB2P/8 w - -,c7c8
r3kb1r/pp2nppp/n1p1p3/3pP3/3P4/2P2N2/PP1N1PPP/R1B2RK1 b kq -,c6c5
r1bqkb1r/3n1ppp/ppp1pn2/2Pp4/3P4/P1N1PN2/1P3PPP/R1BQKB1R w KQkq -,b2b4
r3rbk1/7p/p1n1b1p1/Ppp1p1B1/4P3/2P2N2/1PB2PPP/R3R1K1 w - -,g5e3
4rrk1/pp3np1/2pp2p1/1P6/P1PPq3/1Q1b1NBP/5PP1/2R1R1K1 b - -,e4f5
2rqk2r/pb1nbppp/1p1ppn2/8/2PP4/P1NB1N2/1P3PPP/R1BQR1K1 w k -,b2b4
8/5np1/4pk1p/1B6/7P/4K1P1/8/8 b - -,f6e5
2r2k2/1R3p2/8/3p3q/3Bp2n/1P2P1Q1/P4P1K/8 b - -,h4f3
r4rk1/2qb1p1p/p2p2pb/1pnPn3/2pBPP2/P1N5/1PB1N1PP/1R1Q1RK1 b - -,e5d3
r2q1rk1/pp4bp/n3bpp1/3Np3/2n1P3/PQ3NP1/1P3PBP/R1B2RK1 b - -,c4b6
r1bq1rk1/pp1nnppp/8/1B1p4/3P4/2N2N2/2P1QPPP/R3R1K1 b - -,e7c6
8/8/2r2k2/R1Pr1p2/6p1/6K1/5P2/2R5 b - -,f6g5
1rbr2k1/2q2ppp/p1N1pn2/3P4/8/2Q1BP2/4B1PP/R4RK1 b - -,f6d5
6k1/pp3pp1/2p1pnp1/8/1PPr4/1B3P2/1PR2PKP/8 b - -,g8f8
8/8/p1rpkp1p/P3p1p1/3nP1P1/1PR1BP1P/1Kp5/8 b - -,c6c3
5k2/4pp2/3p4/p1pP3P/P1P2Q2/8/5P1K/q7 b - -,a1e5
2rq1rk1/1B1n1ppp/4p3/2p5/1pPP1P2/1R2P2P/5P2/3Q1RK1 b - -,c8c7
r2qk1r1/pbpn1p1p/1p2pn1Q/8/P2Pp3/2P3N1/2P2PPP/R1B1KB1R b KQq -,g8g6
3r2k1/3qQpp1/p6p/1p6/2p2P2/6P1/PPB2PK1/8 w - -,e7e3
8/4r1p1/1pp5/5R2/1kP4r/2R1PK2/4P3/8 w - -,c3c2
r1bq1rk1/1p2ppb1/p1n3pp/2Qp3n/3P3B/2N1PN2/PP2BPPP/R3K2R b KQ -,g6g5
r2r2k1/1pqbbpp1/p3pn1p/P1p5/4PP2/2N1B1Q1/1PP1B1PP/R4RK1 b - -,d7c6
r1b2rk1/pp3ppp/8/1BP3q1/3p4/2R5/PP2QPPP/5RK1 w - -,c3c1
4k3/5p2/4pP2/1b1p4/pP1R1PN1/P6p/2r4P/3RK3 b - -,c2e2
r2q1rk1/3nbppp/p1np4/1p2p2b/4P3/2P1BN1P/PPB2PP1/RN1QR1K1 b - -,d7f6
r2qk1nr/1p1n1ppp/p1p1p3/3pPb2/1b1P4/1P3N2/P1P1BPPP/RNBQ1RK1 w kq -,c2c4
8/1kb5/4p3/1P1p1Bp1/6P1/4PR2/1P2KP1r/8 b - -,e6f5
r1b2rk1/ppqn1pp1/4pn1p/8/2BP4/P1P2N2/3BQPPP/R4RK1 b - -,b7b6
r3kbnr/pp1b1ppp/1qn1p3/2ppP3/3P4/2PB1N2/PP3PPP/RNBQ1RK1 b kq -,c5d4
8/4k1bp/2Pp2p1/3Bpp2/8/3P2PP/1pbNPP2/5K2 w - -,d5a2
r2qr1k1/pp2ppbp/1n4p1/3P2B1/8/1PN2Q1P/1P3PP1/R3R1K1 b - -,g7c3
6k1/2q2p2/4b1p1/r5Pp/2p5/4Q2P/1P2RKB1/8 w - -,f2g1
8/5pk1/6p1/3NK3/6r1/7p/8/5R2 w - -,d5e3
1r1k3r/3n1pN1/p3pPnp/P1qpP3/2pQ3P/2P3B1/6P1/R3R1K1 w - -,h4h5
8/1k3p2/2pbpBp1/7p/1PpPR2P/rrP3P1/2RK1P2/8 b - -,d6f8
6k1/p7/1p1b1Ppp/3P1qN1/2Q4P/8/PP3PK1/8 w - -,f6f7
r1b2rk1/ppp3pp/2nq4/3n1p2/2PPp3/4B3/PP1NBPPP/R2Q1RK1 b - c3,d5e3
5kr1/3n2q1/2rp4/3RpP1Q/1pP1P1PR/pP6/P1B5/4K3 w - -,d5b5
r2q1rk1/p2nb1pp/np2p3/1N3p2/3PNB2/P4Q2/5PPP/1RR3K1 w - f6,e4d6
8/1p3p2/1p4p1/1P2Pp1P/Pk3P2/2p4P/2K5/8 b - -,g6h5
r1b2rk1/4b2p/p2q4/1p1P1p2/2p1p3/2P4P/PPB1QP1N/R4RK1 b - -,c8b7
1r3rk1/p1p1q1pp/2pp4/2n5/2PQb3/2P1PBB1/P4PPP/R4RK1 w - -,f3e4
2r1r1k1/1bq2ppp/p1p1p1n1/1pP1NnP1/3P1PQ1/1P1R2N1/P5BP/2R3K1 b - -,g6e7
r2nk2r/1pq2p2/p1np1b1p/2p1pPp1/2B1P3/P1PP2N1/1P4PP/R1BQ1RK1 w kq -,g3h5
rn2kbnr/pp3pp1/1qp1p1p1/3p2P1/2PPP3/1QN4P/PP3P2/R1B1KB1R b KQkq -,d5e4
4r1k1/3q1pb1/6p1/1p4r1/2p1P1P1/2P1NQ2/1P2R3/4R1K1 b - -,d7e6
8/5k2/p4b2/2Br2pp/P3R3/6KP/5PP1/8 w - -,c5e3
rnbqk2r/pp2ppbp/2p3pn/8/4N3/6P1/PPPPQPBP/R1B1K1NR w KQkq -,g1f3
r1b1nr1k/pp5q/2p1p3/2P1NpBp/P2Pp3/1P4P1/3Q3P/4RRK1 w - -,e1e4
2r3k1/2q2p1p/p5p1/8/P1P5/R2R3P/3N2P1/6K1 b - -,c8e8
2r5/4Pkp1/R7/P2p1p2/7p/5P1P/r5P1/4R2K w - -,a6d6
1r4k1/5p2/p2r3p/2pP2p1/2B5/1b6/4RPPP/R5K1 w - -,a1b1
1k6/p1r4p/3Q1P2/1P5K/2r5/p6P/7P/8 b - -,c4c5
8/p1r1kp2/6p1/R1nB3p/5P1P/5KP1/P7/8 b - -,e7d6
8/1pkn4/4p1pK/5b2/8/PR6/7P/8 b - -,d7c5
1k1r1q1r/ppp1n1p1/3p1b1p/3Pp3/2P1B1b1/3R1NN1/PPQ2PPP/1K2R3 b - -,h6h5
r3nr1k/3b1ppp/3pp3/p1n5/1q2P3/1NN2PQ1/BPP3PP/3R1R1K w - -,d1d4
k3q3/p3P3/2p5/3p4/1P4p1/2P5/P3R3/4K3 b - -,a8b7
1r1qr1k1/1bp2pb1/1n1p2pp/1p6/3PP3/1P1BB1NP/5PP1/R2QR1K1 b - -,b5b4
2r1r1nk/1Q5p/1P3ppb/p7/1qpN4/6BP/P1R2PP1/3R2K1 b - -,c8d8
8/4R2P/6k1/8/r7/6PK/8/8 b - -,a4a8
8/3n3p/5k2/p2p2p1/1p1Pp1P1/1P2K2P/P7/5N2 b - -,d7f8
8/2p1k3/1p4p1/3Pp3/2P1K2p/1P3RPP/4r3/8 w - -,e4d3
r2q1rk1/pp1bppbp/2np2p1/8/2PNP3/2N1BP2/PP4PP/R2Q1RK1 w - -,a1c1
1Q5k/p3p2b/3pPp2/3P1P2/P7/1P2N2P/7K/2q5 b - -,h8g7
r2qk2r/pb2bppp/1p1p1n2/2pPn3/7N/2N1P1P1/PP3PBP/R1BQ1RK1 b kq -,d8d7
8/5kb1/3p4/3P4/pp2PpP1/5P2/PP2K3/3N4 b - -,f7g6
2k2r1r/2qbb1p1/1nn1p3/pp1pP1p1/2pP1PQp/P6P/1PP1NBBN/R1R3K1 w - -,f4g5
r4rk1/2qbbppp/p7/1P6/2PBNn2/P7/2Q2PPP/R3RBK1 b - -,f4e6
r3r1k1/1q3pb1/3R1nb1/1Np3p1/2P1p3/1Q2N1PP/P4PB1/2R3K1 w - -,c1d1
4Q3/p6k/5bpp/8/4p3/B5P1/q4PBP/6K1 b - -,a2a1
2q3k1/8/2np2p1/2p1p1b1/p3P2P/PrPP2P1/5Q2/4R1K1 w - -,h4g5
r3qrk1/pp2p1bp/1nn2pp1/5b2/6PQ/2N2N2/PP2PPBP/R1BR2K1 b - -,f5e6
3r4/2b3k1/2p2pp1/1bP1p2P/q3P1P1/3pN3/3Q4/BRK5 b - -,c7a5
r1b2rk1/pp1nqpbp/2p3p1/2n1p3/2P1P3/2N1BN1P/PPQ1BPP1/3R1RK1 b - -,c5e6
4k3/3b2b1/1r2n3/R7/4BpPB/2P1p3/1P2N1P1/6K1 b - -,e6f8
r2q1rk1/1b3ppp/2p2n2/pp2b3/4P3/P1NB4/1PQ2PPP/R1B2RK1 w - -,h2h3
rn1q1rk1/pb3ppp/1pp2b2/3N1N2/8/6P1/PP3PBP/R1BQ1RK1 b - -,c6d5
8/7R/8/5kpp/4p3/4K1P1/5Pb1/8 b - -,f5g4
8/1k3p2/4p3/7p/3BPb2/1P1N1P2/3r3p/5B1K b - -,f4g3
rnbqk1nr/1p2ppbp/2pp2p1/p7/P2PP3/2N2N2/1PP2PPP/R1BQKB1R w KQkq a6,h2h3
r1bq1rk1/p1p2ppp/3p1n2/1P1np3/1b2P3/2NB1N1P/PP3PP1/R1BQK2R w KQ -,e4d5
8/5p1k/1q4p1/7p/7P/1pQ3P1/5P2/6K1 w - -,c3b2
8/1R6/5K1k/7p/3bp2P/8/8/8 w - -,f6f5
2n5/pp3p1p/3p1kp1/P2Pp3/1P2PP2/7P/4B1P1/6K1 w - e6,d5e6
1r1q1rk1/pp1Qpp1p/2B3p1/8/5P2/1PB3P1/P3P2P/R5K1 b - -,b7c6
5r2/6p1/4k2p/4p3/1P6/3KNP2/7P/8 w - -,d3e2
2kr1br1/pppqp2p/1n6/2PP4/3PP1p1/4N3/PP4PP/R1BQ1RK1 b - -,b6a8
r2r1nk1/pp2q1pp/n1pbbp2/4p3/P3P2N/1P4PP/1BPNQPB1/R2R2K1 b - -,g7g6
8/5pkp/5qp1/2p5/p2p4/Pb3B1P/1P1Q2P1/6K1 w - -,f3e4
4rnk1/4b1pn/1r6/1bp2Pp1/3pP3/1P1P1N1N/3B2R1/2R2BK1 b - -,b5a6
5B2/8/p1q2pp1/4pkn1/8/3Q2P1/5P1K/8 b - -,e5e4
8/6kp/3P2p1/p1p5/1p3QP1/1P6/P7/2K1q3 w - -,c1c2
4rk2/8/8/1p2p2R/4Bp1p/PP3P2/1KP5/3r4 b - -,d1h1
r4r1k/7p/p2p2p1/1PpPpp2/8/2PP2Q1/1P1q1PPP/R4RK1 b - -,a6b5
5r1k/1p5r/3p1p2/p1n2P2/P3PpR1/1bN5/1P4K1/3B2R1 b - -,b3c4
r1bq1rk1/ppn1bppp/2p1pn2/3p4/2P5/1P1P1NP1/PB2PPBP/RN1Q1RK1 w - -,b1d2
6k1/1p1b1ppp/p6q/5P2/2N1n3/2Q5/PP5P/5RK1 w - -,c3e3
5qn1/6k1/p5pp/2p1p1P1/1nPpP3/3P1NP1/P1R2Q2/1r3BK1 w - -,g5h6
b2r2k1/r3nppp/1qn1p3/ppNpP3/1P3P1N/P1P3P1/1Q4BP/R3R2K w - -,a1d1
2bq1rk1/r3npb1/1pn3pp/p3N3/P2p1B2/1N1P2P1/1P3PBP/2RQR1K1 b - -,c6e5
8/8/8/2P3k1/1P5p/8/1PK4R/5r2 w - -,c5c6
8/1p3pkp/6p1/3b4/5P2/1P3P2/1R5P/7K b - -,d5f3
k7/8/P7/1K6/3b4/8/4R3/8 w - -,e2e7
r1bqk2r/ppp2ppp/3p4/3Pn3/4n3/1BP2N2/P4PPP/R1BQ1RK1 b kq -,c8g4
8/1b3pk1/p1q2Bp1/P6p/1p2Q3/1B5P/1P3PP1/6K1 b - -,g7f6
8/1p6/pN1p2k1/4p3/2Pn1pK1/1P3P1P/P7/8 b - -,d4f5
8/8/8/1Q6/8/8/3K4/5kqq b - -,f1f2
1r2k2r/1b1n1ppp/p3p3/4P3/2B2P2/4B3/P5PP/R4RK1 b k -,e8e7
3r2k1/2q2pp1/1pp2n1p/2b4P/3pP3/2P3P1/1P2Q1B1/R3R1K1 w - -,g1h2
2N5/1p6/p5p1/P5k1/8/4KPP1/6b1/8 b - -,g5h6
r1bqkbnr/pppn1ppp/8/4p3/4P3/5N2/PPP1QPPP/RNB1KB1R w KQkq -,c1e3:c2c3
3r3k/7p/8/1B3R2/5K2/4Pp1P/4r3/8 b - -,e2f2
6k1/2p2pp1/1bB1rn2/1PB1p2p/1P6/p5PP/P2r1P2/R4RK1 b - -,e5e4
2r1r1k1/q2bbpp1/p4n1p/Bp1n4/3N4/PN3PP1/1P4BP/R2R2QK w - -,a1c1
2b3k1/2q1r3/1prRp2p/2n1Ppp1/1QP5/5P2/4B1PP/3R2BK w - -,d6c6
rnbqkb1r/5ppp/2p1pn2/p7/PpBP4/4PN2/NP3PPP/R1BQK2R w KQkq a6,e1g1
4b3/8/1p1k1P1K/3P4/3np1B1/1P6/8/8 b - -,e4e3
4rbk1/2qnrpp1/1pbppn1p/pB6/P1NP1P2/2P3B1/1P1NR1PP/4RQK1 b - a3,c6b5
1k1r4/pqbp1p2/1pb1p3/5p1p/2Q2PrP/4P1N1/PPP3PK/3R1R2 w - -,f1f2
3r2k1/5pp1/2Q3p1/p3q3/4N3/3B2P1/2P3K1/8 b - -,e5d5
5k2/p1r3n1/1pp2p2/3p2pp/3P4/2N3PB/PP1K1P1P/4R3 w - -,e1c1
8/5pp1/pk2p2p/4bn1P/P1K5/1P4P1/3B1PB1/8 b - a3,a6a5
r2q1rk1/pp2bppp/2p1pn2/8/2PP4/4BQN1/PP3PPP/R4RK1 b - -,a8c8
R7/2r2pkp/5p2/1pB1p3/1P6/2n1P3/5PPP/6K1 w - -,f2f3
r1bq1rk1/pp3ppp/2n2n2/2bp4/5B2/2NBP3/PP2NPPP/R2QK2R w KQ -,e1g1
8/3rk2p/3p1Rp1/pP2p1PP/P1p1P3/2P1K3/8/8 b - -,g6h5
5n2/1p3k1p/2pR2p1/6B1/4r3/r4PKB/8/4R3 b - -,e4e1
3rk3/Q1p3p1/3ppr2/2p1q2p/2P1P3/8/PP1R2PP/5RK1 w - -,f1f6
r2q1rk1/5ppp/b1p2n2/p2p4/1b3B2/2NB1Q1P/PPP2PP1/R4RK1 w - -,f1d1
8/8/6K1/8/pk5P/8/P7/8 b - h3,b4a3
6k1/2p2p2/p5pp/8/2P5/6P1/P3rP1P/3R2K1 b - -,e2c2
8/5b2/3k1pp1/1p6/3K1PpP/P3N3/1P6/8 w - -,e3g4
r4rk1/3qppbp/p1p3p1/np4B1/P2PP3/2P2N2/4QPPP/1R1R2K1 w - -,d4d5
r2r2k1/p4pp1/2b1pn1p/1p6/8/1B3P2/PPP1NRPP/R6K w - -,e2f4
2rr4/4k1p1/1p2pp1p/p1B4P/1bP1NPP1/1P1R1K2/4P3/3R4 b - -,b4c5
r4rk1/1b2qn1p/p2pp1p1/2p2pN1/2P2P2/1P2P3/PQ1R2PP/1B3RK1 w - -,g5f7
8/8/r1p3k1/4p1p1/P1R4p/1P1K1P2/7P/8 w - -,d3c3
6k1/p2r1p1p/2Q1p1p1/8/1p3B2/8/q1B3PP/4K3 w - -,c6c8
8/1npb1kp1/1p1p3r/p2P1p2/1PPNpPP1/P7/4PKB1/1R6 b - -,g7g6
7b/7P/6k1/8/8/4K1n1/8/8 w - -,e3f4
rn2k2r/2q1bppp/b2p1n2/p1p1p3/Pp1PP3/2P1NNPP/1P3PB1/R1BQR1K1 b kq -,e8g8
7R/1r6/1p1p2k1/1Pp1p3/2P3p1/3P4/4KPPP/8 b - -,g6f5
r1b1nrk1/pppnqpb1/6pp/4p3/4P3/2P2NB1/PPQNBPPP/R4RK1 b - -,a7a6
8/4q1kp/Q2pr1p1/5p2/2PRbP2/8/Pr4PP/3R1BK1 b - -,e4g2
8/5ppp/1nk5/1p6/2nPPP2/3K2P1/7P/1R6 w - -,g3g4
2r3k1/3bbp1p/4p1p1/3pP3/Pq1P3P/2p1QN2/2B2PP1/1R4K1 b - -,b4a3
r4rk1/p3q2p/1p2Rn2/3p1p2/3P1p2/4P3/PP3PBP/R5K1 w - -,e6e7
6k1/6R1/5K2/4P3/7P/5p2/5r2/8 b - -,g8h8
2kr3r/pbp1bppp/1p2pn2/P7/1P6/B1N2PP1/5PBP/R1R3K1 w - -,c3b5
8/8/6pB/5r1p/5p1P/3k1P2/5KP1/8 w - -,h6g5
rnbqkbnr/ppp1p1pp/8/3p1p2/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq -,g8f6
4r3/p1q3pk/5rnp/2p1bp2/P3n3/3BBQP1/P1P2P1P/1R2RNK1 b - -,e5c3
8/8/3p1k2/R7/P1n1p3/8/1r6/3BK3 w - -,a5a8
3qrbk1/p4ppp/1pp2n2/2n5/4P3/1PN1B1PP/P1Q2PB1/4R1K1 w - -,f2f4
2r2rk1/4bpp1/3p3p/q2bn2P/1p1BP3/6Q1/1PP1B1P1/3R1R1K w - -,d4e5
8/1p3rk1/p1p1q1bp/3n2p1/3Pp3/P3P1P1/1PQ3BP/3N1RK1 w - -,f1f7
2r3k1/2q1bppp/Qn1p4/3n4/4p3/1N4P1/1PP1BP1P/2BR2K1 w - -,c2c3
3r1n1k/q1r5/p5pp/P1P5/2Qb4/5PP1/B3RP2/1R4K1 b - -,c7g7
r3k2r/p4pp1/2b1p3/1p1qP2p/3p1P1b/3P2P1/PP1BQRP1/R6K w kq -,g3h4
r1bq1rk1/1p2ppbp/n1p2np1/p5B1/P2PN3/5NP1/1PP2PBP/R2QR1K1 b - -,a6c7
r2q1rk1/1bpp2pp/1pn5/2b1p3/p1P1P3/P2Q2P1/1P2NPBP/R1B2RK1 w - -,c1e3
8/1p2k3/p1p3p1/2P2bKp/7P/8/PP3P2/5B2 w - h6,b2b4
r2qk2r/1pp2p2/pbnp1n1p/4p1pb/P1B1P3/2PP1NBP/1P3PP1/RN1Q1RK1 w kq -,b2b4
r1b1k2r/ppp1q1pp/2np1n2/1Bb1p3/4P3/2P2N2/PP2QPPP/RNB2RK1 w kq -,a2a4
rnbqkbnr/ppp2pp1/8/3p3p/2PNp3/6P1/PP1PPP1P/RNBQKB1R w KQkq d6,c4d5
r1bq1rk1/p4pbp/2n1p1p1/1pppP3/5P2/5NP1/PPPP2P1/R1BQRBK1 b - -,d8b6
5rk1/1ppRnppp/8/1r6/1p6/1P2P1K1/P4PPP/2N4R b - -,e7f5
6k1/pp4pp/2b5/5p2/3R4/1P3PP1/P1R1K1BP/2r5 b - -,c1c2
8/1p1bk2p/p3n3/5Kp1/PP1pP3/2rP4/5P2/R2BN3 w - -,a4a5
2rr2k1/1b3ppp/1p2p3/2b5/2NRn3/P3P3/1B2BPPP/R5K1 w - -,d4d8
3r2k1/1pb3pp/p4p2/2P1nP2/1P1pRB2/7P/6P1/3R1K2 b - -,d4d3
8/8/p1p2kp1/3pp3/1PP5/P1K1R1Pb/3N1r2/8 w - -,c4d5
r5k1/p3rp1p/1p1qb1p1/6Q1/P4R2/1P1PN3/2P3PP/5RK1 w - -,g5f6
rnbq1rk1/pp3p2/5n1p/3p2p1/1bpP3B/2N1P3/PPB1NPPP/R2QK2R w KQ g6,h4g3
r5k1/1bq3pp/pp2p3/3pPr2/P1pPp1Q1/2P1P1B1/1P4PP/R4RK1 b - -,a8f8
6k1/3q1p1p/1p1P2p1/8/p7/4Q1P1/3R1PKP/2r5 b - -,c1c8
4r1k1/6p1/1p2P3/8/2PR4/1P6/P2KRP2/r7 w - -,d2c3
rnbqkbnr/1p3ppp/p2pp3/2p5/4P3/1P3NP1/PBPP1P1P/RN1QKB1R b KQkq -,b7b6
8/1p4pp/2rk1p2/PK1p4/8/1R3P1P/8/8 w - -,b3b4
8/8/8/1r5P/6K1/2k5/1p6/1R6 w - -,h5h6
