8/8/3R4/4nk2/3K4/5P2/6r1/8 w - -,f3f4
1rb1r1k1/2qn1pb1/pp1p1npp/2pP4/P3PBP1/2N2N1P/1P3PB1/R2QR1K1 b - -,h6h5
8/4k3/4np1p/pp6/4BP1P/1P2K1P1/P7/8 w - -,e4d5
8/5R2/2k3p1/4K2p/7P/5P2/6r1/8 w - -,f7g7
3R4/6pk/5p2/4p2P/R3b3/8/6r1/5K2 b - -,g2g4
8/pk6/1pp1b2p/2p3p1/8/P1NP3P/1PP3P1/1K6 w - -,b1c1
8/8/pp1b4/1k1p1p2/2pP1P2/1P2P1rp/2K1R3/3R4 w - -,d1b1
r3kb1r/pp2pppp/2n2n2/1N1q4/3p2b1/2P2N2/PP2BPPP/R1BQK2R b KQkq -,e8c8
2rq2k1/p4rpp/Q3pp2/3p1b2/3P4/4P1B1/P3nPPP/R1R3K1 w - -,a6e2
3R4/6pk/4P3/8/2NP1p1n/8/8/2r2K2 w - -,f1f2
2r1k2r/pp1nppbp/3n2p1/3p4/3N1P2/1P1B4/PBP1KPPP/R6R w k -,a1b1
r3r3/2qb2pk/p1pb3p/5p2/2QNp3/2P4P/P1PB1PP1/1R2R1K1 w - -,c4e2
r3k2r/ppq1bpp1/1np3p1/7n/3pP3/1QN1BPP1/PP2BK1P/2R4R w kq -,e3d4
b2r2k1/2Rr1pp1/8/pN2p2p/P2P3P/1P3PK1/3R2P1/8 b - -,a8b7
r2qkb1r/1pp3pp/p1n1pn2/5b2/3PpB2/2N3N1/PPPQ2PP/2KR1B1R b kq -,f8b4
r2q1rk1/3nbppp/b1p2n2/pP2p3/3PP3/2N3P1/PB1N1PBP/R2QR1K1 b - -,c6b5
r1b2rk1/pp4pp/2n1pn2/3p4/1Q1P1N2/3B1N2/PP3PPP/R4RK1 b - -,c6b4
6k1/pq3pp1/8/1p1n4/3Q4/P1P4P/1PB2PP1/6K1 w - -,c2e4
r1b2rk1/2q1bppp/p2ppn2/1p2n1B1/4PP2/1NNB2R1/PPPQ2PP/5RK1 b - f3,e5d3
r2q1rk1/1p2ppbp/2p2np1/2n5/p1PPP3/2B2bP1/P1QN1PBP/R4RK1 w - -,g2f3
rnbqkb1r/pp2pppp/5B2/2pp4/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq -,g7f6
2rb1qk1/5p1p/6p1/4P3/3P1P2/4Q3/6PP/1R3RK1 b - -,d8a5
8/5k2/3K1p2/8/3B4/8/4R3/5r2 w - -,e2g2
3q3k/5Rb1/4r1pp/p7/2Q2PP1/4pN2/P3B1P1/6K1 b - -,e6b6
2r2rk1/1p1bnpp1/1q2p2p/p2pP3/3N1P2/1NP1Q1P1/PP4KP/R6R w - -,h1e1
2r2r1k/pn2qppp/1p1pbn2/4p3/1PP1P3/P3BP2/1Q2B1PP/2RN1RK1 w - -,e3g5
rn2kb1r/1p5p/p1q1p1p1/4p2Q/P3p3/4B1P1/1PP2PBP/R3K2R w KQkq -,h5e5
1r1b4/6p1/r3kp2/p1p1p2p/RnP4P/2BPN1P1/3KPP2/R7 b - -,a6a7
1r2k2r/pbq3bp/3p2p1/1p2p3/1Pp1P3/2Pn2P1/P1QN1PBP/R1N2RK1 b k -,d3c1
r1q1kb1r/pp3ppp/2n1pn2/3p4/3PbB1N/1QP2P2/PP1N2PP/R3KB1R b KQkq -,e4g6
rnbqr1k1/5pbp/pp1p2p1/2pP2Bn/P1P5/2N2N1P/1P2BPP1/R2Q1RK1 b - -,f7f6
1nkr4/ppq2pp1/1np1p1p1/N2P2r1/4Pb2/1Q2B2P/PP3PB1/1KRR4 w - -,d5d6
1r3rk1/b4ppp/4p3/1R1qn3/P2p4/1N1Q1PP1/1P1BP1KP/R7 w - -,b5d5
rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/5N2/PPPN1PPP/R1BQKB1R b KQkq -,d7d6:d7d5
r1r2q2/1p2ppbk/2bp2p1/p1n4p/2P1P3/1PN1BPP1/P1RQ2BP/1R4K1 w - -,b1e1
2r1qrk1/1p2b3/pB2p3/P2pPn1p/1n4p1/1N4P1/1P2QPBP/R3R1K1 w - -,a1c1
4r3/p2R1pk1/2p3n1/2N3pp/1PPKP3/6PP/P1P5/8 w - -,d7a7
r2q1rk1/pp1bppbp/n2p1np1/3P4/2PN4/2N1B3/PP2BPPP/R2QR1K1 b - -,f8e8
8/5b2/8/2k2p2/1p2pP2/1P2P2p/2K4P/R7 b - -,c5b5
r3r1k1/5pp1/2p2b1p/qpPpNb2/1n1P4/1QN3P1/P3PPB1/2R1R1K1 b - -,f6e5
3r2k1/p4pbp/1pn1r1p1/2p1p3/2N5/PP1PP1P1/1B3P1P/3R1RK1 b - -,b6b5
r4rk1/pp2bppp/1qn1bn2/3p4/8/1NN1B1P1/PP2PPBP/R2Q1RK1 b - -,b6b4
r3r1k1/2pbnppp/p4n2/P2p4/1p1P1q2/2PB2N1/1P2NPPP/R4RK1 w - -,e2f4
r3k2r/4np1p/p2p1q2/3P1p1Q/4p3/1B6/P1P2PPP/4RRK1 b kq -,a6a5
3q1rk1/3b2b1/p2p1nn1/1p1Pp2p/1P2Pp2/3N1Pp1/PN1QB1PP/2R3BK b - -,g3h2
4k3/5ppp/1n6/1p6/2nP4/2R1P1P1/4KP1P/8 b - -,e8d7
r1b1k2r/pp3p2/2n1p2p/q1PpP3/5Pp1/2P3P1/P1PQ2P1/R3KBNR w KQkq -,f1e2
5R2/5n2/3p1k1p/p3b3/P2q4/7P/6P1/6QK w - -,f8a8
7r/1pq5/p1pb1kP1/8/3P4/1B2Q3/PP6/5RK1 b - -,f6g6
4br2/6k1/p4rpp/2n1p3/2p2P1P/1pP1K1R1/1P2N3/1B4R1 w - -,f4e5
3r4/1p3Qpk/pq6/4p2p/5r1P/1B6/PP3PP1/K6R w - -,f7h5
2q5/5r1k/Rp1p1n1b/4p2p/2PpP2N/1P4PP/4Q1B1/6K1 w - -,a6b6
3r3k/3P1p2/5n2/2p1p3/p1P1P3/P6B/3R4/6K1 b - -,f6e4
3qr1k1/1pp1ppbp/2n1b1p1/r7/p1N5/2n1P1P1/PP2QPBP/R1BR2K1 w - -,b2c3
6r1/1ppk1pp1/2rn3p/7N/p1P2P2/1P5P/P5P1/3RR1K1 b - c3,c6c5
6k1/1pp3p1/5p2/p2Pr2p/2P2RP1/3KP3/PP5P/8 w - h6,f4f5
r2qk2r/pp1nbppp/2p1p1b1/8/PnNPPB2/2N3P1/1P3PBP/R2Q1RK1 b kq -,e8g8
4r3/pb2rpk1/1ppq1n2/1P4p1/2QPp3/2N1P1p1/P4PBP/2RR2K1 w - -,h2g3
2kr3r/pp2qp1p/1npbpp1B/8/2PP4/1Q3N2/PP3PPP/R4RK1 b - -,d6c7
2rq2k1/5pbp/PQbB2p1/3p4/p7/2P2N2/1P3PPP/5BK1 w - -,b6b4
2r1r3/1p3kbp/3p1p2/pBnP1P2/3B3P/1P3P2/P5R1/3R2K1 b - -,e8e7
r3k1n1/1bpq1p2/p2p2p1/1p4Q1/4P3/4pPN1/PPP5/2KR2N1 b q -,g8e7
4k3/3b4/4p1p1/1p4Bp/pP2P3/5PKP/P2R4/1r6 b - -,b1g1
8/k1r2p2/p2p2n1/3P3Q/2p2P1P/P5P1/8/K7 w - -,a1b2
r1bqk2r/1pp2ppp/p1np1n2/2b1p3/2B1P3/2PP1N1P/PP3PP1/RNBQK2R w KQkq -,c4b3:e1g1
8/8/1p2P3/p7/2p1kP2/2K4p/4r3/7R b - -,e2e3
6k1/1b6/2q4p/p4pp1/2PQ4/1P3N2/P5PP/6K1 b - -,a5a4
8/8/6p1/5p2/5rk1/8/2R3P1/6K1 b - -,f4a4
r3k3/1p2npp1/2pbp3/4NbBr/p1PP3P/P7/BP1R4/2K2R2 w q -,c4c5
5rrk/2R1Q2p/pp3ppq/3Pp3/4P3/3b2N1/5PP1/R5K1 w - -,a1d1
3r1rk1/ppq3pb/2p1pbnp/8/2NPP1P1/1P5P/PB2Q1B1/3R1R1K w - -,e4e5
r5k1/n4pb1/4pnpp/1pp1N3/2B1P3/2P2PPb/1PKN4/2B1R3 w - -,c4e2
2r3k1/3r2p1/1R2p2p/1p6/3P3P/1Rn2P1N/6PK/8 w - -,h3f4
r6r/1pp1k3/1p2p1np/4p1p1/P3P3/2P1BP1P/1P2KP2/R2R4 w - -,c3c4
8/8/4pk2/6p1/3pPnBp/7P/1r3P2/R3K3 w - -,f2f3
2r3r1/2k2qpp/p3p3/3b2BP/p1nN1P2/2P4Q/P1P5/K2R2R1 w - -,f4f5
r3k2r/1bqn1pb1/p1pp3p/1p2p1p1/3PP3/P1N1BPP1/1PPQB1P1/R4RK1 w kq -,a1d1
4r1k1/q4pp1/p3p3/2pnP2p/5P1P/6P1/5Q2/1R1R2K1 w - -,b1c1
5rk1/1p1n1pp1/1qpbb2p/3p4/1P1P4/r1NBPN2/2Q2PPP/1R3RK1 w - -,c3a4
5r1k/6bp/p3Q1p1/1p1P4/8/1P6/P4qBP/4R2K b - -,f2f6
8/1p1rk1p1/2p1b2p/p3p2P/P5B1/2P3P1/5PK1/1R6 w - -,g4e6
4Q2k/1pp5/6n1/p1pP2P1/2Pq2p1/PP1r4/7P/3NR2K b - -,h8h7
r6r/pp1k1ppp/1np1b3/8/3P4/P5B1/1PBK1PPP/R3R3 b - -,g7g6
8/p4k1p/6p1/2pP2P1/2Pb3P/1P1q2B1/P5Q1/7K b - -,d3b1
4q1k1/r1bnr3/pNp1pn1p/P1Pp1pp1/3P1P2/4P3/R2BQ1PP/2N2RK1 w - -,c1d3
8/5ppk/5nbp/8/1pB5/1Pn1KPP1/P2R3P/8 b - -,g6b1
1r2r1k1/p7/5q2/3p4/2b1pP1P/B1R3P1/7K/3Q4 w - -,d1g4
r1bq1rnk/pp4np/3p1b2/2pP1Pp1/2P5/2N1B1PP/PP1QN1B1/4RRK1 b - -,g7f5
r2q1rk1/pp2bppp/4n3/3pB2b/8/P3PN1P/1P2BPP1/R2QK2R w KQ -,e1g1
1r1q4/3n2k1/p1BP2p1/bpp1r1Pp/3pNR1Q/P2P2P1/1PP5/R5K1 b - -,b8c8
3R2rk/5p2/pp2p2p/6n1/2P3P1/6N1/P5PP/5R1K b - -,g8d8
8/5Q2/2q1p3/p1P1pk2/4rp2/PP6/6P1/2R4K b - -,f5g5
r3r1k1/1p2qpp1/2p2np1/2b1p3/2P1P3/4QNPP/5PB1/R4RK1 w - -,e3e2
8/8/8/5r1p/4pk1K/1R3p2/5P2/8 w - -,b3b4
5r2/p3b2R/k1p5/Pp1nP3/2pP1P2/2P3P1/3K4/R7 b - f3,f8g8
1kq2r2/1p2bpQ1/1r2p2P/1b1pP3/3P4/p1PBP1P1/5R1K/1N2R3 w - -,d3b5
r4k2/1n3pp1/r3p1p1/P2p4/1R1P1P1P/4P3/1P2K3/R2B4 b - -,a6a5
1rq1b1k1/1r2ppbp/3p1np1/2pP4/P4B2/NP4PP/2Q1PPBK/1R2R3 w - -,a3c4
6k1/4q1p1/4bp2/4p3/2p1P3/2Q3P1/r1P2N1P/4R1K1 b - -,a2a3
6r1/8/1p1k1b2/p1p1nB2/P1P2B2/1P3p2/3K4/5R2 w - -,f1f3
4B1k1/p4ppp/8/2bb4/8/P6P/3N1PP1/6K1 b - -,c5a3
3R2k1/pp4pp/4rr2/1PP5/4p2q/P3P2P/2Q2PP1/3R3K b - -,g8f7
8/p2r4/1p3k2/5ppp/P1P1p3/1R1b1P1P/1P4P1/4R1K1 w - -,b3c3
3q1rk1/r4ppp/p1n1p3/1pPp4/8/1P2PPB1/P1Q3PP/2R1R1K1 w - -,g3d6
3r3r/kb2qpbp/nppp1np1/3Pp3/PPP1P1PP/4BP2/3QN3/R3KB1R w KQ -,d5c6
r1b1k2r/ppppqppp/5n2/1N2b3/2B1P3/1Q6/P4PPP/R1B2RK1 w kq -,c1a3
8/8/6R1/1K2pPk1/8/8/7p/8 b - -,g5f5
r1b1nr1k/pp2q1bp/2pp1np1/3Ppp2/2P5/2N1PP2/PPQ1BNPP/1RB2RK1 b - -,c6c5
r2qrBk1/1p1b1p1p/p1n1pnp1/3pN3/3P4/2N3PP/PP2PPB1/2RQ1RK1 b - -,e8f8
r3r1k1/qb3pp1/pb1p1n2/3P4/Np2PP2/1Pp5/PB3NB1/R2Q1RK1 w - -,b2c3
2r5/1p2p1k1/pq1rpnp1/4Q2p/P7/2P3PP/1P3PB1/1R3RK1 b - -,c8d8
4r3/2p2kp1/1pn4p/p2n1p2/3P4/P2KPP2/1P1B3P/2N1R1r1 w - -,e1g1
8/6pp/5k2/5P2/8/p5RP/8/r1K5 w - -,c1c2
r1bq1rk1/3nbppp/2n1p3/ppppP3/7P/3P1NP1/PPPNQPB1/R1B1R1K1 b - h3,b5b4:f7f5
r2qk1nr/pp2ppbp/2bp2p1/8/2BpPP2/3P4/PPP1N1PP/R1BQ1RK1 b kq -,d6d5
r3k2r/ppqnbpp1/2p1p3/3p1np1/2PP1P2/PPN1P1P1/4B2P/R1BQ1RK1 w kq -,c4d5
8/1R6/2k5/1p1p3p/p6r/P3K3/1P6/8 w - -,b7h7
5r2/6k1/4p1p1/P6p/1Qpb4/5qP1/1PP1RP2/6K1 w - -,b4e7
r7/1N1Pk2P/p4p2/7r/3R4/6P1/5PK1/8 b - -,a8d8
2r3k1/p1q2p1p/1p2p1p1/1P2n3/P3B3/2r3P1/1Q3P1P/R3R1K1 w - -,e1e2
6k1/5p2/6pp/pr6/4P3/1K3P2/6PP/3R4 w - -,b3c3
r4rk1/pb2qpbp/1pn2np1/2p1p1B1/1P2P3/P1P2NP1/4QPBP/R3RNK1 w - -,f1e3
1q3r1k/1p2p1b1/4b2p/1BPp1pp1/3PnP2/R3P3/2QBN1PP/6K1 b - -,e6f7
r4rk1/ppbb1p2/4pq1p/2Npn3/3N2p1/2P5/PP2QPPP/R1B1R1K1 w - -,e2d2
1r3rk1/1Bp1qpbp/p5p1/4P3/3p1P2/6PP/PP6/2RQR1K1 w - -,b7a6
r2q1rk1/pb3ppp/1p2p2b/2ppP3/3Pn3/1P1BP2R/PBPN2PP/R2Q2K1 w - -,d3e4
7r/8/6k1/5R2/6P1/8/5K1p/7B b - -,h8b8
r3r1k1/2R2pp1/p6p/3p4/P3nB2/b5P1/P3PPBP/5RK1 b - -,a8c8
2r1qrk1/1N1nppbp/n1p3p1/1b6/3PPB2/5NPB/1PQ2P1P/2RR2K1 b - -,a6b4
5rk1/4brq1/bpn1p3/3pP1pp/1PnP2P1/PN1Q1N1P/6K1/R1BB1R2 b - -,h5g4
2r2r2/1ppkn1p1/3pn3/1P1N3p/2R1RP2/3N2P1/1P4KP/8 w - -,d5e7
8/8/1p3R2/3k4/8/1r6/1P4PP/6K1 b - -,b3b2
4r2k/p5pp/3b4/1p1p4/3P1pP1/2PN1P1P/PP6/K2QBq2 b - -,e8e3
r3k2r/pp1n1pp1/1qp1pb1p/7P/3P4/3Q1N2/PPPB1PP1/2KRR3 b kq -,e8c8
6Q1/P7/7k/8/8/5qP1/7K/8 w - -,g8h8
r2n1k1r/ppp1p3/7p/4p3/2B1Rpb1/2N5/PPP2PPP/2K4R b - -,d8c6
r2qr1k1/1ppb2b1/n2p2pp/1N1P1p2/1P1Nn3/6P1/4PPBP/2RQBRK1 w - -,b5c3
r1bqkb1r/2pp1ppp/p1n2n2/1p2p3/B3P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq b6,a4c2
r1b1k2r/pp1nq1pp/2p1p3/3p1p2/1bPPn3/1P1BPN2/PB2NPPP/2RQ1RK1 b kq -,b4d6
r3r3/p1ppq1kp/1pn2pp1/5p2/P2P1N2/2PQP1P1/2P2P1P/R4RK1 b - -,e7d6
1kr5/1p2qp2/p3p3/P2pPP2/3P3p/6rP/1P1QB1PK/5R2 w - -,f5e6
r1bq1rk1/1ppnbppp/p3pn2/2Pp2B1/3P4/2N1PN2/PP3PPP/2RQKB1R b K -,c7c6
r3r1k1/p1p1qppp/bp3n2/3p4/3P1P2/2P3PP/P1PQN2R/R2K1B2 b - -,f6e4
8/2r4p/6p1/5p2/Bp2rk1P/3R4/PKP3P1/8 b - -,f4g4
r1b1k2r/1pq1bppp/p1nppn2/8/3NPP2/2N1B1P1/PPP3BP/R2Q1RK1 b kq f3,e8g8
2r2k2/p3p3/5p2/3P3Q/4q1pP/6P1/P4R1K/8 b - -,f8g7
rn1q1rk1/pp2bppp/2p2n2/3p1b2/3P3N/2N3P1/PP2PPBP/R1BQ1RK1 b - -,f5g4
r4rk1/2nbp1bp/2nq2p1/1p1p4/p2P4/PN1BBN2/1PQ2PPP/2R2RK1 w - -,b3c5
8/5pb1/p7/3k4/2p5/2p2KPP/PrR2R2/8 w - -,c2c1
rn1q1rk1/pb2bppp/1p2p3/2p5/3PP3/2PB4/P3NPPP/1RBQ1RK1 w - -,c1e3
2r2rk1/5p2/2q1pP1p/p3Bnp1/1p6/3R4/PPP1Q1PP/3R3K w - -,c2c3
3k4/p6p/1npr2p1/2Rp1p2/3P4/1P6/P2KBPPP/8 b - -,d8c7
r1qn1rk1/ppp1npbp/3pb1p1/1P2p3/2P5/2NP1NP1/P3PPBP/1RBQ1RK1 w - -,f1e1
3r1rk1/p1q1pp1p/1p4p1/1bp1b3/4N3/P2PP1PP/1P2QPBK/1R1R4 w - -,e4c3
4n1k1/5pbp/3p2p1/2nP4/2p1PP2/2NBB1PP/1P5K/4R3 b - -,c5d3
2r2rk1/pb2qppp/1p1p1n2/2n1p3/2P1P3/P3BP2/1P1NB1PP/RQ2K2R b KQ -,c5e6
3r3k/ppp2r2/1b1p4/5p2/B2P1RpP/2P5/PP3P2/4R1K1 b - -,c7c6
r2qk2r/1p1nbppp/p1n1p3/2ppPP2/3P4/2N1BN2/PPP1Q1PP/2KR3R b kq -,c5c4
r2q1rk1/1b2bppp/4p3/p2nP3/Pp6/3B1N2/1P1BQPPP/2R2RK1 b - -,d8b6
2r1r1k1/3n2bp/1Bp3p1/p4pP1/P2P1P2/2R3Nb/8/1N1R2K1 w - -,b6c5
5rk1/2p3pn/p2p2p1/1p1Pp1qp/1P2PrP1/2P1QP1P/1P1N1K2/5R1R b - -,g5f6
5r1k/pp4bp/6p1/3P4/P6P/1P6/4pP2/6RK w - -,g1e1
2r1r1k1/5pbp/6p1/p2R1b2/N1n5/2P2BBP/5PP1/5RK1 b - -,f5c2
1N6/5p1p/3k2p1/4pn2/2P5/3K4/5PPP/8 w - -,b8a6
3bk3/R7/2p1p3/1pPpP2r/1P1P1p2/4B3/6K1/8 w - -,e3f4
3q1b1k/pr6/b2p1n1n/1NpPp1pp/B1P1Pp2/PR3P1P/3B1NP1/4Q1K1 b - -,f8e7
r2r2k1/pb2qpbp/2p2np1/2n1p3/4P3/2N1B3/1PPNBPPP/R2Q1RK1 w - -,d1c1
8/3b2p1/5k1p/1R5P/4K3/2r5/5P2/8 w - -,b5b6
r4rk1/1p1n1ppp/p1p2n2/N7/1P1P4/P4B1P/5PP1/2R2RK1 b - -,a8b8
5rk1/pb2bppp/1pq1p3/2p1P3/2B2P2/PP2P3/1B2Q1PP/3r1RK1 w - -,f1d1
5nk1/r1N3bp/P4np1/3p4/2rN1B2/5PP1/7P/3RR2K b - -,a7c7
r1b2rk1/2q1bppp/p3p3/1p1pP3/5P2/P1P1B3/1P2B1PP/R2Q1RK1 b - -,c8b7
2kr3r/Npp2ppp/4n1b1/q2N2P1/1bB2n2/4BP2/P1P2K1P/R2Q3R b - -,c8b8
2k1r3/pbp4p/6p1/2P5/5p1P/1P1Rr3/P4KP1/3R1B2 w - -,d3d2
8/5kp1/5n2/3pp1Q1/7P/2qPP3/6B1/6K1 w - -,g2f1
r1b2rk1/pp2qpbp/6p1/n1p5/3PP3/3BB3/P1Q1NPPP/R4RK1 w - c6,e2c3
8/p1r4p/R5pk/2b2p2/2Np1P2/3P2K1/4P2P/8 w - -,g3f3
r2q1rk1/1ppnbppp/1n4b1/3P2P1/p7/P1N1BN1P/1P2BP2/R2Q1RK1 w - -,a1c1
8/3n3p/2Bk1p2/R3pp2/1P1p1P2/P1r3P1/3R1K1P/8 b - -,c3c6
8/1p1r1pkp/pR1p2p1/2nP4/P1B1r3/1P6/2P3PP/R5K1 b - -,e4d4
3rr3/p5kp/1p3qp1/3p1n2/bPpN1P2/2P1PP2/3Q2BP/4RRK1 w - -,g2h3
r2qk2r/pbppb2p/1pn2npB/3p1p2/2PN4/2N3P1/PP2PPBP/R2Q1RK1 b kq -,d5c4
r3kb1r/pp3ppp/2n1pn2/2P2b2/P1N5/8/1P2PPPP/R1BNKB1R w KQkq -,d1e3
1r6/2r1kp1p/3ppp2/2q5/1p2P3/1Q4P1/3bBPKP/1R3R2 w - -,f1d1
r2qkb1r/pp1n1ppp/2pp1n2/4p3/2PP2b1/1P4P1/PB2PPBP/RN1QK1NR w KQkq -,b1c3
r1b2rk1/pp2qppp/2n1p3/2p1P3/3Pp3/4Q3/PPP2PPP/2KR1BNR w - -,e3e4
3r2k1/1p1P3p/p4pp1/Pn3p2/1P1Qp3/4N1P1/6KP/2R5 b - -,b5d4
7r/1b2ppk1/1q1p1n2/1p2rPpp/4P3/2PBR1N1/1P2Q1PP/4R2K w - -,g3f1
r6r/1nk4p/p3Q1p1/1p1P4/P1p1P3/2P3NP/1PB3PK/8 w - -,e6e5
2r1k2r/3b1ppp/8/1pp1B3/8/1B6/1PP3PP/RN4K1 w k -,b3d5
4r1k1/3nqp1p/1pQ3p1/8/3P4/r2NP3/6PP/2R1R1K1 w - -,c1c3
r6r/1q3k2/3p4/p1p1np2/P1P2b2/RP1RpP2/4Q1P1/1NK1B3 b - -,e5d3
r1bqkb1r/1p1p1ppp/p1n1p3/3nP3/3Q4/2P2N2/PP2BPPP/RNB2RK1 w kq -,d4e4
5bk1/6p1/1r3p2/4p3/p3P3/2P3NP/1P5P/5R1K b - -,b6b2
rnbqkb1r/p4ppp/2pp1n2/1p2p3/3PP3/2N3P1/PPP1NPBP/R1BQK2R b KQkq -,c8b7:b8d7
3r2k1/2R2p2/3q2p1/7p/3Q3P/6P1/5PK1/8 w - -,d4d6
r5k1/pp1q3p/2n3p1/8/3p1P2/6Nb/PP1Q3P/R4R1K w - -,f1f2
1k1r1b1r/ppp3pp/5q2/4pp2/QP6/2PP1B1P/P4PP1/1R3RK1 b - -,g7g5
4rnk1/6pp/5p2/B2P4/P1P1pb2/7P/6BK/4R3 w - -,h2h1
1r3rk1/4q1bp/np1p2p1/p1pPp3/P3P3/2N1B1PP/1P1Q1P1K/R3R3 w - -,d2e2
