1R6/5K2/4P3/2b2p2/b3kP2/8/4P3/8 b - -,a4d1
rnq2rk1/1bp2ppp/1p1ppn2/p7/2PP4/PPN2NP1/2Q1PPBP/R4RK1 b - -,d6d5
r1b2rk1/1pq1bppp/p2ppn2/8/2PnP3/P1N1B3/1P2BPPP/2RQ1RK1 w - -,e3d4
2r1r1k1/1p1n1ppp/1qn1pbb1/pBpp4/P2P1B2/1PP1PN1P/3N1PP1/1RR2QK1 w - -,b5d3
1r4k1/3b1ppp/5n2/4r3/ppN1P3/3BRP1P/PP3P2/6K1 w - -,c4e5
8/2k5/1p1bP3/1KpB4/P1P4p/1P5P/8/8 b - -,d6e7
rnbqkb1r/5ppp/pp1ppn2/8/2PNP3/2N5/PP2BPPP/R1BQK2R w KQkq -,e1g1
r3kb2/pp1q1pp1/2p1p3/4Pn2/2Pp1Pb1/1QN3P1/PP2PB2/R3K2B w Qkq -,a1d1
2k2r2/ppq1n3/4p3/2Q5/2n5/P3P3/1B1RNP1P/4K3 w - -,c5c7
2rqkb1r/1p3ppp/p4n2/3b4/2N5/8/PP2BPPP/R1BQ1RK1 w k -,b2b3
5bk1/8/8/1B3p1p/2R2PbP/P1N5/3r4/6K1 w - -,a3a4
r3r1k1/5pp1/5n2/p1Q5/Pp2q3/7P/1P3PP1/R1B2RK1 b - -,e4e2
2k4r/pppr2pp/2nb3q/8/1P6/2P2P2/P2NQBP1/R4RK1 w - -,f1d1
4r1k1/1p1nppbn/p2p2p1/q2P3p/P1rB1P2/R1N2B1P/1PPQ2P1/1R4K1 w - -,d4g7
8/p1p5/2k5/2p1p3/1P4P1/2R5/P1P3r1/2K5 b - -,e5e4
2k4r/p3bppp/8/3P4/Pp1K4/2p2P2/bP4PP/2B4R w - -,b2c3
2q1r2k/pp4b1/2p4p/2P3p1/1Q4n1/2NRn1P1/PP2R1BP/7K b - -,c8f5
3rrbk1/1q3pp1/p1bp3p/1p1Bn3/4P3/P1B3NP/1P3PP1/R2QR1K1 w - -,d5b3
7k/1P4p1/2bNp2p/4P3/3q4/Q6P/6PK/8 b - -,d4f4
rn2k2r/p3p3/b2p1p1b/2pP3p/2B3pP/4P1B1/PP1KNPP1/2R4R b kq -,a6c4
r1b1r1k1/1pq2pbp/p1np1pp1/2p5/4P3/2NP1NPP/PPP2PB1/R2QR1K1 w - -,c3d5
rnbqr1k1/pp3pbp/2pp1np1/8/2P1P3/1NN5/PP2BPPP/R1BQ1RK1 w - -,c4c5
8/8/4p1p1/1kP1PpBp/3K1P1P/6n1/8/8 w - -,g5e7
3r1rk1/1b2bpp1/1q2pn1p/p1p1N3/PpBP4/2P1B2Q/1P3PPP/3R1RK1 b - -,b7e4
8/4p1kp/1N1p4/5p2/4rPnP/r1P3P1/2P5/R5K1 w - -,a1a3
3rr1k1/pp2bppp/q1p5/4n3/1P2PBn1/P1N3P1/2Q2PBP/R1R3K1 b - -,e5d3
r4rk1/pp1nppb1/2p2npp/q7/P1bPP3/2N1B3/1P2BPPP/R2Q1RK1 w - -,e2c4
r2qk2r/1b2bpp1/p2ppn2/1pp4p/4PP2/1PNP2N1/1PP1Q1PP/R1B2RK1 w kq h6,g3h1
3r3k/1p1q2pp/2nr4/3B2R1/p1P5/Pn1P2PP/1Q3P2/4R1K1 w - -,e1e4
3r1rk1/pb2ppbp/1pn3p1/2p5/N1P5/1P4P1/1P1BPPBP/R2R2K1 b - -,d8d7
3rr1k1/2q2ppp/bpp5/p3b3/P3RB2/2P3PP/1P3PB1/R3Q1K1 b - -,f7f6
8/4p3/3p1P2/3P3p/k4Pp1/4K1P1/7P/8 b - -,e7f6
8/8/R6p/1K1p1k2/2p5/P1P5/6pr/8 w - -,a6d6
r1bq1nk1/1pb2r1p/p1p1p3/1PPpPpp1/P2N1P2/3BP3/1BQ3PP/R4RK1 b - -,a6b5
8/5Q2/6p1/6k1/2p5/2Pq4/1P6/2K5 b - -,g5g4
r3r1k1/pp1q2p1/3p1nnp/2pPpp2/2P1P3/P1B1RNPQ/1P3P1P/R5K1 w - -,e4f5
r4rk1/pp3ppp/2p1bq2/4Q3/3P4/3BR3/PP3PPP/R5K1 b - -,f8d8
7K/3k3P/7B/8/8/8/4R3/1b4r1 w - -,e2h2
8/8/4k3/4p3/P1Rp4/r7/3K4/8 b - -,e6d5
3R4/p3k3/8/3P4/PK2B3/1P3P2/7r/2r5 w - -,d8g8
r1q2r1k/1n4bp/pp3pp1/2pnp3/BP6/P2P1NB1/2P3PP/R3QRK1 w - -,a4b3
3r3k/p2r1R1p/2p2P1Q/4p3/8/2Nb3P/pP6/K5R1 b - -,d7f7
1q1r2k1/5p2/4p1p1/1B5p/P4n2/7P/3Q1PP1/2R3K1 w - -,d2e3
6k1/pp3ppp/4p3/1bP1P1q1/1P2Q2n/P1B5/5PPP/6K1 w - -,f2f4
r1b1nrk1/pp2ppbp/q5p1/2P1p3/7Q/P1N1BN2/1PP2PPP/2KR3R b - -,f7f6
4k2r/4bpp1/p1q4p/nr2R3/Q4PPP/3PB3/2NK4/6R1 b k -,b5e5
5n1k/p1r2p2/q1p2P2/6Pp/1Q5P/1P6/P1P5/1K3R1R b - -,c7c8
5rk1/p5bp/P1r2np1/4pp2/8/1N2B1P1/P3PPKP/1R3R2 b - -,c6a6
r1b1k2r/3n1ppp/2p5/p1b1p3/Pp2P1nB/1B3N2/1PP2PPP/1NKR3R w - -,f3g5:d1d2
rnb2rk1/pp3pbp/1qp2np1/4p3/2P5/1PN2NP1/P3PPBP/R1BQ1RK1 w - -,c1b2
r4rk1/pbpqp1bp/1p1n1pp1/3p4/3P1B2/2P1PN1P/PP2BPP1/R2Q1RK1 w - -,a1c1
8/1k6/3R1K2/3p1p2/3r4/6PP/2R1n3/8 b - -,e2g3
kb2R3/1p6/1Pp5/2P5/P7/3K1p2/8/8 w - -,e8f8
2rqr2k/1p3pp1/3p3p/p2P1N2/P1nb1P2/2PQ4/1PK4P/R5R1 w - -,d3d4
r2qkbnr/pp3p2/2n1p1p1/2ppP2p/5Pb1/2PP1N2/PP2B1PP/RNBQK2R w KQkq -,d1b3
3r2k1/7p/5N2/p4n2/PppP4/6P1/1P3P1P/4R1K1 b - -,g8f7
3rr1k1/1p2bp1p/p1pp2pq/8/2P2NnP/1P2PPP1/PBQ3K1/3RR3 b - -,g4e5
6k1/1p3pp1/1R6/2pP2r1/2P5/8/P2K4/8 b - -,g5g4
8/2k4R/6r1/K7/P7/8/8/8 b - -,c7b8
r3k2r/pbqnbppp/1p1ppn2/2p5/4P3/1P1P1NP1/PBPN1PBP/R2QR1K1 b kq -,e8g8
4r2r/ppk4B/2nb3R/3p2Pp/3P4/8/PP6/1KBR4 b - -,d6f8
8/4p2r/1p6/1PpK4/3nP3/7k/5R2/4B3 w - -,f2b2
r2q1rk1/1pp2ppp/3p1b2/p2P4/2b5/Q1P4P/PPN2PP1/R1BR2K1 b - -,c4e2
4rrk1/2p3pp/R2b4/1p1p3q/2n5/1PPQ2P1/2B2P1P/2B2RK1 b - -,c4b6
2r5/p1nN1pkp/2P3p1/3p4/Bp1rn3/6P1/PP4PP/2RR2K1 b - -,e4d2
r3r1k1/1p1n1ppp/2p1pn2/q7/2PPN3/bP3Q2/1B3PPP/1B1R1RK1 w - -,b2a1:b2c3
1n2rbk1/1bq2ppp/pp3n2/1P2p3/4P3/P1N1N1P1/1B2QPBP/3R2K1 b - -,f8a3
r2qkb1r/p2n1ppp/bp2pn2/3p4/Q2P1B2/2N2NP1/PP2PP1P/R3KB1R b KQkq -,a6b7
8/6K1/r3n3/4k3/8/8/8/5R2 w - -,g7h7
r1b2rk1/pp3pp1/4p2p/q1b3B1/6nP/2PB1N2/PP2QPP1/R3K2R w KQ -,g5e3
5R2/8/8/8/4r3/3K2k1/6p1/8 b - -,e4g4
2r5/3q2k1/1p1p3n/1N1Ppn2/PP2N1pp/4P3/4Q1PP/5RK1 b - -,c8a8
2b2rk1/q5b1/p1n3pp/1p2pp2/7Q/2P3NP/PPN2PP1/3R1BK1 b - -,g8h7
2r2rk1/1p3ppp/p2qp3/8/1n1Pn3/5N2/PP3PPP/1Q1RR1K1 w - -,e1e4
r1bq1rk1/pp4bp/n1pp1np1/5pN1/2P5/1PN3P1/PB2PPBP/R2Q1RK1 b - -,h7h6
4RQ2/3k1p2/3p2p1/p2q3p/P6P/6N1/5P1K/3r4 b - -,d5f3
r1b1k2r/1p3p2/pNnppqnp/4b1p1/2P1P3/1N1BB3/PP1Q1PPP/R2R2K1 b kq -,a8b8
6k1/2p3pp/4pn2/1P6/3pP2P/1P1Q2P1/q2N1P2/5K2 b - -,a2a1
rn2r1k1/pp3pb1/3pp1B1/2pP2q1/2P5/4P1B1/PP3PP1/R2QK2R w KQ -,g6h7
r1b2rk1/pp3ppp/1np1p3/8/3q4/P5P1/1PQBPPBP/2R2RK1 b - -,f8e8
R7/5pk1/p2rpp1p/1pn5/4PP2/P1N4P/1P2K1P1/8 w - -,g2g3
3r1bk1/2p2pp1/p6p/1p6/4q3/2P1B3/PPQ2PPP/3R2K1 w - -,c2e2
r1bqr1k1/pp3pb1/6p1/2pPnP1p/4N3/3B4/PP4PP/R1BQ1RK1 w - -,f5g6
r6r/ppp1Bppp/4n3/1Pn5/2PpkP2/4P3/3PK2P/R4BR1 b - -,d4e3
5k2/5p2/5P1p/1p1RP3/p7/2b5/4K2P/8 b - -,f8e8
r3kb1r/pp1n1ppp/1qp1pnb1/8/3P1B2/P1NB1P2/1PPQN1PP/R4R1K w kq -,f1e1
2rqr1k1/pp3pb1/7p/3bn2P/5B2/4P1R1/P2N2P1/1R1QKB2 b - -,d8h4
1r2r1k1/p2n1p2/3p2p1/2qP4/Q1p1PP1p/5B1P/1b2R1P1/R4N1K w - -,e2b2
4R3/8/5b2/5k2/8/r4K2/8/8 w - -,e8e3
1rbq1rk1/p1P3bp/1p2p1p1/2P1p3/4B3/6P1/PP3P1P/R1BQ1RK1 b - -,d8c7
4rrk1/p2b1pbp/1pnq2p1/2p5/4BN2/2PPB1P1/PPQ4P/4RRK1 w - -,a2a3
3r2k1/1p3ppp/4b3/4b1P1/7P/pPPBB3/P1K5/6R1 w - -,d3e4
r2q1rk1/p5b1/2p4p/2Bpp1p1/2P1b3/P7/1P2BPPP/R2Q1RK1 b - -,f8f4
r1b1r2k/pp1nqpb1/2p3pp/4p3/3P4/1B2PNN1/PPQ2PPP/3R1RK1 w - -,f1e1
1b1r2k1/p4pp1/1p3q1p/8/3P4/PQR2NP1/5P1P/6K1 b - -,g7g6
1r5r/2Rbq3/4p1k1/1p1p1pb1/1P1P2p1/1Q2P1P1/2R4P/4BBK1 b - -,e7d6
r1b1r1k1/2q2ppp/p2b4/1p1pnP2/3N1BP1/P1P5/1P2B2P/R2Q1R1K w - b6,a3a4
8/5B2/5pKn/7p/7P/6k1/8/8 b - -,h6f7
r2q1rk1/pp2n1bp/2ppb3/4pp2/2P1PP2/2NP4/PP2Q1BP/1RB2R1K b - -,e7g6
1r3rk1/1bpqbppp/2np4/p3p3/P1B1P3/2pP1N2/1P1B1PPP/R3QRK1 w - -,b2c3
4r3/4k3/pq1p1npr/1p1Pp2P/n7/1N3Q2/PPP2R2/1K1R4 w - -,f3f6
8/p7/1p1R3k/2p2p2/P1P5/4PBbP/4K1P1/8 b - -,g3d6
r2q1rk1/pb1nbp1p/1p2p1p1/2ppP3/8/1P1BP2Q/PBPN1PPP/R4RK1 w - -,f2f4
6k1/p2r2p1/1pbBp3/4P3/2Pr2Pp/2R1QP1P/P5K1/q3R3 b - -,d4d1
r5k1/2qn1pbp/5pp1/3b4/2pP4/2P1BN2/5PPP/3QRNK1 b - -,f6f5
2r5/4nkpp/p4b2/Bpp5/2Pp4/PP4P1/4NP1P/3R1K2 w - -,c4b5
8/2K1P3/7k/2P5/8/6R1/8/3r4 b - -,d1e1
r2q1r2/1ppb2bk/1n1p2p1/2P2pp1/P2P1P2/1QB3N1/1P4PP/R4RK1 w - -,c5b6
r4rk1/4bppp/1q1p4/3Pp1P1/p6P/1p3P1B/PPPQR3/1K5R b - -,b3a2
4r1k1/2p3pq/3n1p2/3PN1p1/2pB4/2P2Q2/5PP1/2R3K1 w - -,e5d7
8/7p/3k2p1/1P3p2/2PNp3/2KnP1P1/7P/8 b - -,d6c5
r4rk1/p4pbp/1pN1pnp1/6q1/3Pp3/4P2P/PPQ2PP1/R1R1B1K1 w - -,e1b4
1r1q1rk1/pp1bppbp/n2p1np1/2pP4/2P1P3/2NB1N1P/PP2QPP1/R1B2RK1 b - -,a6c7
rn3rk1/1pp2ppp/pq1bpnb1/8/1P1P2P1/P1N2PB1/2PQN2P/R3KB1R w KQ -,f1g2
2r3k1/5ppp/p2Rp3/1p6/8/2nPN2P/1b1B1PP1/6K1 b - -,c8a8
r1b2r1k/4q1bp/2p5/ppP1p3/1P2N3/Q5P1/P2NnPP1/2R1R1K1 w - -,e1e2
2b5/2q2ppk/4p2p/1p1rP3/1P1N4/2P1R1QP/6PK/8 w - -,e3e2
3R2rk/q6p/2p3b1/p1p1p3/N3Pp1b/P4B1P/1P2QP2/1K4R1 b - -,g8d8
r1b1qrk1/p1n2nbp/2pp2p1/4pp2/P1PP4/B1N2NP1/4PPBP/1R1Q1RK1 w - -,d4e5
1rn2qk1/6pp/3p3b/pp1Pp3/6QP/2PN2P1/PP4B1/R5K1 b - -,f8e7
r2q1rk1/ppp2pb1/2n3pp/8/2BP1N2/4P2Q/PP3PPP/2R1K2R b K -,d8g5
r1bq1r2/ppp1n1kp/3p2p1/3Pp2n/2P1Pp1P/2N2PP1/PP1QN3/2KR1B1R w - -,f1h3
8/8/1B4k1/6p1/4ppP1/7P/1r1n1P2/2R3K1 w - -,b6a7
8/r5kp/3p2p1/1RpPp1qP/PbP5/5QP1/2B2P2/6K1 w - -,h5g6
3r4/p4k2/5b2/7p/2R1N1pP/4R1P1/P6r/6K1 b - -,h2a2
8/1k3pn1/3p4/1n1NpP2/1N2K1P1/3P4/8/8 w - -,g4g5
2rq1rk1/pp3pp1/2nbbn1p/3pp3/PP6/2P1PN2/1B1NBPPP/R2QK2R w KQ -,d1b1
r7/pp2p1k1/2n1bpp1/8/4P1PP/2Pr1N1B/P4PK1/1RR5 b - -,b7b6
r3k2r/pp2ppb1/1qbp2p1/3Nn2p/2P5/1P4P1/PB2PPBP/R2Q1RK1 b kq -,c6d5
8/2Rnk2p/1r1p1pp1/8/3NP3/Pb3P1P/1P4P1/6K1 b - -,b3a4
rn2k2r/pp1qp1bp/2ppbnp1/8/P1BP4/2N2N1P/1PP2PP1/R1BQK2R w KQkq -,c1e3
1r4k1/1p1b2bp/p1nNp1nr/P1p1Pp2/3p1P1q/3P1BN1/1PPBR2P/R2Q2K1 w - -,e2g2
r1b2rk1/p1q2ppp/2p1pn2/1pP1N3/3P4/8/PP3PPP/1BRQR1K1 b - -,f8d8
rnbq1rk1/ppp1bpp1/4p2p/3p4/2PPn3/2N1PNB1/PP3PPP/R2QKB1R b KQ -,e4g3
r1bqk2r/pp2bpp1/2n1pn1p/3p2B1/8/2P1PN2/PP2BPPP/RN1QK2R w KQkq -,g5h4
8/pk3p2/pr6/3r3P/P1pN2p1/2RbPK2/1P1R1P1P/8 w - -,f3g4
r2qk2r/2pbbppp/p1np1n2/1p2p3/P3P3/1B3N2/1PPP1PPP/RNBQR1K1 w kq -,c2c3
4r1k1/3p1pbp/3p2p1/1p6/3n4/4B1PP/PP3PK1/1R1R4 b - -,d4f5
2n2k2/1q3p1p/5Qp1/1pPrB3/8/1p3P2/P5PP/2R3K1 w - -,c1e1
6k1/r2n1pp1/P1qpp2p/2p5/4P3/1r1Q2PP/2P2P1K/R4B2 w - -,c2b3
r2q1rk1/1p2npbp/p1npb1p1/2pNp3/2P5/1P1PP1P1/PB2NPBP/R2Q1RK1 b - -,a8c8
r3nrk1/pp2qpbp/6p1/2pPp3/2PnP3/1PNNB1P1/P2Q2KP/R4R2 b - -,a8c8
rnbqk2r/pp3ppp/5n2/2bp4/3Np3/3P2P1/PP2PPBP/RNBQK2R w KQkq -,d4b3
6k1/1p4b1/p1p1N2p/P3P3/1r3PP1/6K1/8/2R5 w - -,c1d1
r1bqrnk1/1p2ppbp/p2p1n2/2pP2p1/P1P1P3/1NN5/1PQ1BPPP/R1B2RK1 b - -,h7h6
3R4/2r1nkp1/5p1p/4p2P/5PPN/4P3/5K2/8 b - -,e5f4
2krr3/1pp1qppp/1pn1bn2/3p4/3NP3/2N3P1/PPP1QPBP/2KR3R w - -,d4c6
8/1p2npp1/p2k4/3p2p1/1N1K2P1/PP2PP2/7P/8 b - -,a6a5
8/5p1p/2nkp1p1/p1N3P1/1pKPPP1P/8/P7/8 b - -,d6c7
r2rn1k1/pp2qpp1/n1ppb2p/8/2PQP3/1PN2NPP/P4PB1/3R1RK1 w - -,d1d2
2r3k1/3qbp1p/4pp2/2r5/3NQP1B/P2R4/1PP3PP/1K6 b - -,d7d5
3r1r2/1p2k1pp/2p1np2/4P3/Pp3P2/1P2K3/4NP1P/3R2R1 b - -,c6c5
8/1p5r/r1p1b1k1/3pPp1p/3P1PpR/P1R1P1P1/2BK4/8 w - -,a3a4
2r2rk1/2q1b2p/p2pbnp1/4p3/2PnN3/P1BBN3/3Q1PPP/1R3RK1 b - -,d6d5
2r2rk1/pb1pbppp/np2pn2/8/3PP3/P4NP1/1PQN1P1P/R1B1RBK1 b - -,c8c2
5nk1/pp3p1p/8/3p1N2/1P5P/r5P1/5P2/3R2K1 w - -,d1d5
1r2rbk1/7p/p2p2pP/1p2p1P1/2nB4/P4P1B/1PP5/1K1RR3 w - -,d1d3
8/6n1/3k4/5p2/5P2/4KBP1/8/8 w - -,e3f2
r3k3/4bp1r/2q1pBpp/p1p5/1pP4Q/P3R1P1/1PP2P1P/4R1K1 b q -,g6g5
7k/7p/3p1p2/p1p2P2/2P5/q6P/6P1/1Q5K w - -,b1e1
r1b1k2r/p2nppbp/3p4/qBpP1p2/PpN5/2P1PN2/1P3PPP/R2QK2R b KQkq -,a5c7
r2n1rk1/pp1bq1p1/1b1Np1pp/4P3/1P2N1Q1/P2R4/1B2RPPP/6K1 b - -,g6g5
2brk2r/1p2bp1p/p1n1p3/5p2/P4B2/2P2N2/1P1RBPPP/3R2K1 w k -,f3e5
3r4/1nk3pp/R4p2/4p2P/1PB3P1/2N2P2/3r4/2K5 w - -,h5h6
8/3r4/2r5/3N4/1PK3kp/4R3/8/8 w - -,c4b5
1rb1k2r/p3npb1/3pp1pp/q1p5/4PP2/2PPB1P1/P2Q2BP/R2N1RK1 w k -,a1c1
r2qk2r/pp1bppbp/2np1np1/1B6/2P1P3/2NQ1N2/PP3PPP/R1B1K2R w KQkq -,e1g1:h2h3
rn1q1bk1/pp5p/3p2r1/2p3B1/2P1P3/2N4Q/PP2BP2/R4R1K b - -,d8g5
5r1k/2p1qr1p/p1Pp2RQ/1p1Pp3/1P2B2b/P4P1b/7P/6RK b - -,h4f2
r2qk2r/pb1p1pp1/1p2pn2/2b4p/2P1P3/2NQ4/PP2BPPP/R1B2RK1 w kq h6,h2h3
4r2k/b1r3pp/1p1R1pn1/2p1p3/2B1P3/PR4B1/5PPP/6K1 b - -,g6e7
4qrk1/5pp1/Q3pb1p/1p6/5P2/5N1P/PP3PP1/3R2K1 w - -,b2b3
r4rk1/ppp1q2b/3p3b/3Pp2p/2P1N1pP/2NQ2P1/PP2R1P1/R5K1 b - -,f8f7
8/1p6/pR6/P4kpp/1P5P/3r4/5PK1/8 b - -,g5h4
8/6Pk/p7/1p2B3/2P1K3/8/PP1r3P/8 b - -,b5c4
8/5pk1/5q2/2p3P1/2Pn4/3Q2P1/6BK/8 b - -,f6g5
8/6p1/7p/5pk1/8/2r5/2P1RKPP/8 b - -,g5f4
8/5pkp/R1N3p1/1p6/8/2n2qPP/1R3P1K/8 w - -,c6d4
r1bq1rk1/1p3pb1/p1p1pn1p/6pP/2NP1B2/2N1PQ2/PP3PP1/2KR3R w - -,f4g3
1r3k2/2R3p1/4p2p/8/7P/4P3/5PP1/5K2 b - h3,b8b2
r2q1rk1/pp1bbppp/2n1pn2/3p4/8/1PNP1NP1/PB2PPBP/R2Q1RK1 b - -,a8c8
2r3k1/1bN3pp/1P1p4/8/2p5/P1R5/6PP/6K1 b - -,d6d5
rn1qk2r/pbp2ppp/1p2p3/3pP3/1b1P4/P1NB1N2/1PPQ1PPP/R3K2R b KQkq -,b4e7
8/2p2b2/1p3k2/p1r2Pp1/3RP2r/2PBK3/P5R1/8 w - -,d4d7
8/8/7q/5pk1/5Rp1/1B4P1/P4P1K/8 w - -,h2g1
3r4/pp3kq1/2p1pp2/8/3P4/5P2/PPP1Q3/1K1R4 w - -,e2h2
8/8/p7/7k/P5R1/8/1r1N2p1/3K1b2 w - -,g4g3
rnbqk2r/pp3pbp/3p1np1/2p1p3/2P5/1P3NP1/PB1PPPBP/RN1QK2R w KQkq e6,b1c3
2r2rk1/pp3pp1/4b2p/2qNp3/3bP3/1B3P2/PP2Q1PP/R4R1K w - -,e2d2
4k3/4bp2/1BK5/p2r4/1pR4p/8/P3PP2/8 b - -,d5h5
3r1rk1/pp2pp1p/3q4/2nP1p2/8/1P4P1/P4PBP/2QRR1K1 b - -,d8d7
r2q1rk1/1bpnbppp/p2p1n2/4p3/1pPPP3/1BN2N1P/PP3PP1/R1BQR1K1 w - -,c3d5
r5k1/5p1p/4pbp1/p2p4/P1rP1P2/2P3P1/3B3P/RR3K2 w - -,f1e2
2r3k1/5pbp/2b1p1p1/1pN5/p2P4/PPB1P3/4K3/3R4 w - -,b3a4
b6r/p3r3/2pk2N1/3n3p/2B4R/1P2p1P1/P6P/5RK1 b - -,h8e8
8/4r3/8/6k1/4p2p/6K1/4R3/8 w - -,g3h3
5Q2/6np/3p2rk/1B1Pq3/4p1P1/8/8/6RK b - -,g6g4
r3n3/Bb3pbk/2pR2pp/4p3/1P2P3/P1N2N1P/5PP1/1R4K1 b - -,e8d6
5rk1/7n/b3r1qp/p2QN3/3BPp2/P7/5RPP/R5K1 b - -,g6e8
r3k1nr/1b1p1pp1/p3p3/1p4qp/3bP3/1B3Q1P/PP1PNPP1/R1B1K2R b KQkq -,g5e5
2k1r3/2P5/pP2p3/K2p1p2/3N1P1p/2R1P1pP/P5b1/8 w - -,a5a6
3r2k1/5p2/p5np/5bp1/NpBb4/5P1P/1P2K1P1/R2R4 b - -,d8e8
