8/P7/8/6p1/3kbbBp/7P/4K3/8 w - -,g4f3
4nrk1/2b2ppp/8/2n2bP1/4NB2/Pp6/1P4BP/1KN1R3 w - -,f4d2
q3r1k1/3bbppp/1n1p1n2/2pPp3/4P3/1PNB1P2/1B1NQ1PP/5RK1 w - -,f1a1
8/2r2pk1/5p1p/R7/4P3/2nB1KP1/5P1P/8 b - e3,c7d7
6k1/5pbp/N5p1/8/1P1q4/8/P2prPP1/3Q1RK1 b - -,d4c4
r3qrk1/p5pp/bp2p3/n1p1P1B1/2P2p2/1BP4P/P3QPP1/3R1RK1 w - -,g5h4
1R6/3r2kp/6p1/3ppbq1/1P2P3/2P5/6PP/5QK1 w - -,e4f5
5k2/p7/2n1pbQ1/4P2p/3q4/P7/5RP1/6K1 w - -,g6f6
r1b2rk1/2nnp2p/3p2p1/1ppP1p2/4P3/1NP1BP2/P3BKPP/R6R w - f6,f2e1
1r2r1k1/p3ppb1/6p1/q1pPp1Pp/p1B1P2P/2PQNP2/1P6/3R2K1 b - -,e7e6
rq2k2r/pp3ppp/1bn1p3/8/1P1P2b1/P1n1BN2/3QBPPP/R4RK1 w kq -,d2c3
r3rnk1/pp2bppp/2ppb3/6B1/3PB3/5N1P/PPP2PP1/R3R1K1 b - -,e7g5
1rbq1rk1/4npbp/2npp1p1/p7/1p1PPP2/4BNPP/PP2Q1B1/RNR3K1 b - -,c8d7
2rb1nk1/1p1r2p1/pNp1pp1p/2Pp4/1P1Pb1P1/1N4BP/1P2PP2/R1R3K1 b - -,d8b6
rnbqkb1r/ppp2ppp/4pn2/8/2pP4/6P1/PP2PPBP/RNBQK1NR w KQkq -,g1f3:d1a4:b1c3
6k1/5pp1/2p2b1p/8/r2P4/2B2P2/5PKP/2R5 w - -,c3e1
2r2rk1/5pbp/1qp3p1/1p3b2/3P1n1Q/4PN2/P3BPPP/2RR2K1 w - -,h4f4
8/R7/5pk1/2r2p2/5K2/4PP2/8/8 b - -,c5c4
r1bqk2r/nppnb1pp/4pP2/p2p4/3P4/2PB1N2/PP1N1PPP/R1BQ1RK1 b kq -,d7f6
1R6/8/8/8/2r5/8/p2K4/k7 b - -,c4c7
2r3k1/p2Nbppp/2p1p3/q2n4/1r1P4/1P2B3/P3QPPP/2RR2K1 b - -,b4b7
2q1r1k1/r4pb1/pp1p3n/3Pn1Q1/P1p1P3/2N3B1/1P2BPP1/R3R1K1 b - -,g8h7
r5k1/ppq1rpbp/4p1p1/3bP3/3B1R2/1BP4P/PP2Q1P1/5RK1 w - -,h3h4
r2qkb1r/pp1b1ppp/2n1pn2/2P5/2Q5/5NP1/PP2PPBP/RNB1K2R b KQkq -,d8a5
r1bqk2r/1p1nbpp1/p1n1p3/2ppP2p/5P2/2NPBNPP/PPP3B1/R2QK2R w KQkq -,e3f2
6k1/2p2pp1/p6p/Pp6/1P1br3/q4P1P/3Q4/1K6 b - -,a3b3
2r3k1/5npp/8/1QqPp3/1p2P3/2p3BP/P5PK/4R3 w - -,b5d7
r2q1rk1/ppp1n1bp/3p1p1n/3Pp3/2P1P1b1/2N2N2/PP2BPPB/R2QK2R w KQ -,f3h4
8/1p2kpp1/2p1p1p1/b1Pn2P1/3P1P2/PQ2P1P1/5q1K/R1B5 w - -,h2h3
8/r7/5p2/4p3/PR1pk2p/2P5/3K2PP/8 w - -,c3d4
6r1/7k/7p/1p3p2/1P1p1P1K/PQ4P1/7P/5q2 w - -,b3f7
3r2k1/3rnppp/3p4/p1q1pP2/1pP5/1P1Q2P1/P2R1PBP/R5K1 w - -,a1d1
1rbq1r2/1p3pkp/p1npp1p1/2p5/3nP3/P1NP2P1/1PPQ1PBP/R3NRK1 w - -,h2h4
4rnk1/3rbpp1/1pp1b2p/p2p1B2/P2P4/2P3PP/1P1BRP2/3NR1K1 w - -,f5d3
8/pb3pk1/2q3p1/4br2/2pP3Q/P1P2N2/5PP1/4R1K1 w - -,d4e5
1n1r2k1/1p3ppp/2p2n2/5p2/r1BP3B/P4P1P/1P4P1/2KR3R w - -,b2b3
3q2k1/1p2rppp/p3p3/4N3/2P1n3/1P2Q2P/P3KPP1/4R3 b - -,e4d6
8/8/5p2/pp1k2pp/4p3/PPK1P1P1/5PP1/8 w - a6,a3a4
r2qkb1r/1b1n1pp1/p3pn1p/6P1/1p1Np2P/4BP1B/PPPQN3/2KR3R b kq -,e4f3
r3r1k1/ppqb1pbp/2pp1np1/4n3/1P1NP3/2N1B1PP/P1P2PBK/1R1QR3 w - -,a2a4
8/p4p2/1p2k1p1/7p/5Pn1/PPN3P1/6KP/8 b - -,g4e3
r3k3/p1qnbpp1/1ppp3r/4p1p1/P1PPP1P1/2P1B2P/2Q1BP2/1R2K2R b Kq a3,a7a5
8/4kpp1/N1p4p/3p4/P2P2P1/5PK1/3R2P1/r7 b - -,a1a4
r1bqk1nr/pppn1pb1/3pp1pp/8/3PP3/2N1B3/PPPQ1PPP/R3KBNR w KQkq -,e1c1
r1bqkb1r/pp2pppp/2n2n2/1B1pN3/3P4/8/PPP2PPP/RNBQK2R b KQkq -,c8d7
r3n1k1/5rpp/1pPqbp2/pP2p3/P2pP1B1/8/3BQPPP/2R1R1K1 w - -,g4e6
2r2rk1/p4p1p/Np2pbp1/1n1p4/P2P4/1P2PBP1/5P1P/2RR1K2 b - a3,b5c3
8/8/2PK4/8/q7/6k1/8/8 b - -,a4d4
r4rk1/pp2bppp/Q3p3/n2nP3/4N3/5N2/PP3PPP/R1B2RK1 b - -,b7a6
r1b1k2r/1pq1bppp/p1nppn2/8/4PP2/1NNBB3/PPP3PP/R2Q1RK1 b kq -,b7b5
r2r2k1/1p1b1ppp/p2b1n2/3Pq3/P7/2NBPQ1P/1P4P1/R1B2RK1 b - -,a8c8
8/2k2p2/1Pp2q2/1pp1p3/1P2P1bN/3PQ1P1/1K6/8 b - -,c7b6
1nbq1rk1/r3bppp/pp1p1n2/2pPp3/P3P3/2N2N1P/1PP1BPP1/R1BQR1K1 b - -,b8d7
r2qk2r/1p1nb1pp/p1p1p3/2Pp1p2/3P1P1n/2NBP1N1/PPQ3PP/R3K2R w KQkq -,g3f1
3r2k1/7p/8/3Pbp2/2Bpp3/1P6/P4PPP/3R2K1 b - -,g8g7
6k1/p4p1p/1p2p1p1/3r2q1/1P1nQ3/P6P/5PP1/4R1K1 w - -,e1d1
2r5/3rkppp/3p4/pPq1p3/2P1P2P/6P1/3RQP2/3R2K1 w - -,d2c2
2rq1rk1/1p2nppp/p3b3/8/3Qp3/P1N5/2P2PPP/3RRBK1 w - -,d4e3
8/8/8/3K2Q1/8/6k1/6p1/8 b - -,g3h2
5rk1/p6p/bpR3p1/3qpnQ1/7B/1N3P2/P5PP/6K1 w - -,c6c1
r4rk1/pp2bpp1/2p2np1/4n3/8/1B4N1/PPP2PPP/R1BR2K1 w - -,d1e1:h2h3
4r1k1/1p3pp1/p3r1q1/3p4/3BbQ2/2P1R1PP/PP4P1/4R1K1 w - -,f4f2
1n1qkb1r/rp1n1pp1/2p1p1b1/p5Pp/P1BP1P1P/1QN1P3/1P6/R1B1K1NR w KQk -,c4e6
r1r3k1/1p1n1ppp/p1B1p3/8/8/PN2P3/1P3PPP/2R2RK1 b - -,c8c6
r2qk2r/1b1n1p2/pp1b1N1p/2p3p1/P1B4B/4PN2/1P2QPPP/R3K2R b KQkq -,d8f6
r1b1k2r/1pq1bppp/p1nppn2/8/3NP3/2NB4/PPP1QPPP/R1B2R1K w kq -,c1e3:d4c6
1r5r/b1p3k1/p2p1p2/2p1p3/1PP5/P2PP1P1/1B3PKP/R3R3 w - -,b2c3
6r1/pp2k3/4b3/3pNpp1/3P4/P5Pq/1P2QP1P/4R1K1 b - -,f5f4
8/6pp/4p1k1/p4b2/P1Q5/bBP5/7q/K4R2 w - -,f1b1
r1bq1rk1/pp3ppp/2nbpn2/3p4/3PP3/3B1N2/PP1N1PPP/R1BQ1RK1 b - -,d5e4
r1bq1rk1/pp2ppbp/2n1n1p1/2p5/5B2/1QNP1NP1/PP2PPBP/R4RK1 w - -,f4d2
r2qk2r/pppn1ppp/2p1b3/2b1p3/4P3/1P1P1N2/P1PN1PPP/R1BQ1RK1 b kq -,f7f6
r2qk2r/pp3ppp/1npb1n2/3p3Q/3P4/2N1P1B1/PP3PPP/2R1KB1R w Kkq -,h5d1
8/8/Q5pk/P4p2/1P6/4P1P1/8/1q4K1 w - -,a6f1
rqr3k1/4ppbp/p2p1np1/1Pn5/2P1P3/2N2N2/1PQB1PPP/R3R1K1 b - -,a6b5
r2q1rk1/2pn1ppp/2p1p3/6b1/3Pp3/PPQ3NP/1B3PP1/3RR1K1 b - -,f7f5
8/pkp2Rpp/2Np4/8/4r3/4nK2/PPP3P1/8 b - -,d6d5
r1b1kb1r/pp2nppp/1qn1p3/2ppP3/3P4/P1P2N2/1P3PPP/RNBQKB1R w KQkq -,b2b4
8/p3k3/8/4r3/P4p2/KB3P1N/8/5n2 w - -,h3f4
2rr2k1/p1q1bppp/b1n1p3/P1pn4/1pN2P2/1N1PP1P1/1PQ3BP/R1BR2K1 b - -,a6b5
2r1k2r/p2bbppp/1p1pp3/4P2n/3N1P2/P1NPBP2/1P5P/2R2RK1 w k -,c3b5
8/5ppp/8/p1kNnP2/4P1P1/2P4P/2K5/8 b - -,f7f6
1q4k1/p3rpb1/b5p1/2pB4/1rNp4/1P1P1QP1/P4R1P/2R3K1 b - -,b4b7
1r6/r4pk1/p3p1p1/P1Np1n1p/2nP1P2/5P2/R1R1NKPP/8 b - -,b8b5
2r3k1/2r2qp1/1p2p2p/p4p2/2nPpPPQ/4P2N/1P2R2P/R6K w - a6,a1g1
4R3/1p1r3p/p5pb/3k1p2/4p2P/P1B3P1/1P3P2/6K1 w - -,h4h5
r2qk2r/1b1nbpp1/ppn1p2p/2p1P3/2Pp3P/P2P1NP1/1PN1QPB1/R1B2RK1 b kq -,c6a5
4r1k1/p7/2rqP1p1/5pP1/2pQ4/6P1/P4PBN/4R1K1 w - -,d4f6
6k1/5b1p/p4p1B/5Pp1/8/1B5P/P5P1/2b4K w - -,h3h4
4r3/pn4k1/1p2rp2/2p3p1/3p2P1/1P1P2P1/P2B1R2/5RK1 w - -,d2g5
r2q1rk1/1pp3b1/2npbnpp/1P2pp2/2P5/2NP1NP1/2Q1PPBP/1RB2RK1 b - -,c6e7
r4rk1/pppb2pp/1bnp4/3N1p2/2P2P1q/P2BP3/1PQ3PP/R1B2R1K w - -,b2b4
8/7p/r2bkpp1/2p5/2N3P1/5K1P/3R1P2/8 b - -,d6e5
7k/1pN5/3p1rBp/3Pn2P/b1P5/2K5/1P6/6R1 w - -,g1a1
1r4k1/4qrPp/2bb2p1/Q7/3RP3/1P3P2/NPP5/1K5R b - -,d6c5
2Q5/r4rkp/3P2p1/6P1/4p3/4q3/7P/5BRK b - -,a7a1
r2r4/pbb2pkp/1p2p1p1/n3P3/Q4P2/2P2B2/P5PP/3R1R1K w - -,f3b7
2r3k1/4q3/3p2p1/2pPbp1p/1r3B2/2N3P1/1P2R2P/R2Q2K1 b - -,b4d4
2r2rk1/p1qn1ppp/bp3n2/3p4/2PN4/1P1Q2P1/P2N1PBP/R3R1K1 w - -,a1c1
r1bq1rk1/ppp2pbp/2np1np1/4p3/2P5/P1N2NP1/1P1PPPBP/R1BQ1RK1 w - e6,a1b1:d2d3
2brr1k1/pp4pp/2pn1q2/3pN3/3P1P2/1PN5/P2Q2PP/4RRK1 w - -,g2g4
2B5/4b3/4pk2/p1p2p2/2P2Pp1/1P4P1/P4K2/8 b - -,e7d6
r4rk1/ppqnbpp1/2p1p1p1/6N1/2PP4/4B2P/PP2QPP1/R2R2K1 b - -,e7g5
3r2k1/bb6/p3p2p/1pq2P2/2n1PP2/P1N5/1P4P1/R1B1NQ1K b - -,e6f5
8/8/8/2K4p/4k3/7P/8/8 w - -,c5c4
1q1rk2r/np2bp2/pNbppp2/P7/3NP2p/4Q3/1PP1BPPP/R4RK1 w k -,h2h3
5n2/p4p1p/1ppkb1p1/4p3/1PP1P2P/2N1K1P1/P4P2/5B2 w - -,f1e2
8/5q1k/p2p2p1/1p1P3p/1P2p3/P1b2r1P/2R3QP/2B3K1 w - -,c1b2
2rr2k1/p1qnbppp/2p1b3/4p3/N3P3/1P2B1P1/P1Q2PBP/R2R2K1 w - -,g2f1
5k2/6p1/p7/1p4KP/1P6/P7/8/8 b - -,f8e7
r1bqkb1r/pp1npppp/2p2n2/3p4/2PP4/3BPN2/PP3PPP/RNBQK2R b KQkq -,d5c4
2r1r1k1/4bppp/Q1pp1n2/8/Pq3P2/1P4R1/BBP3PP/5R1K b - -,d6d5
5k2/5p1p/1R4p1/pp2Kp2/1r6/8/PP3PPP/8 w - -,e5f6
3r2k1/5pb1/2p1q1p1/p1B1p1Pp/4Nn2/1P3P2/P1P2Q1P/2K4R w - a6,h1d1
r2qkb1r/pp2pp1p/n1p1bnp1/8/3P4/P1NQ4/1P2PPPP/R1B1KBNR w KQkq -,e2e4
8/4b1k1/pB6/4p2p/2p1PpP1/P1P5/1P4P1/6K1 b - -,h5g4
6k1/pp2brpp/2p1q3/4Bp1P/3P1Q2/1R6/2P3P1/7K b - -,b7b5
rnnq1rk1/1p3pb1/p2pb1pp/2p5/2P1PB2/2N2N1P/PP1QBPP1/R4RK1 b - -,g6g5
4r3/2b4p/5k2/1ppP4/2P1rP2/3K1R1P/2N5/5R2 w - -,c4b5
2r5/rbPQ4/p3pkp1/1p2p3/1P2Pb2/P5RP/5RB1/q4NK1 w - -,d7h7
rnbq1rk1/pp4pp/2pbp3/3p1p2/2PPn3/BP1BPN2/P4PPP/RN1Q1RK1 w - -,a3d6
r1br4/3pkp2/p2Npn1p/6p1/1p2P3/4PP2/PPPR3P/2KR1B2 b - -,a6a5
8/8/1p3k2/2pP1pRP/5rp1/1p6/1P4K1/8 w - -,g5g8
1rb2r2/4k3/3Nq3/2Pp1p2/1p2p3/nP2PB2/P2Q1PPP/2RK3R w - -,f3e2
r1b1k2r/pp2ppbp/2p3pB/q1p1N3/4P3/2PP4/PP3PPP/RNQ1K2R b KQkq -,g7e5
2r4k/2q1r2p/p1bpBp2/4pP1Q/4P3/P7/2P3PP/3R1R1K b - -,e7e6
1r3rk1/2p2p1p/2B1p3/1p2Pp2/n2P4/2P3P1/5P1P/1R1R2K1 w - -,d1c1
8/1b1r2p1/p2kp2p/1p1n1p2/1P4P1/3P1P2/3BK2P/2R3R1 b - -,g7g5
r4bk1/8/p7/8/2p1NP1p/2P1B2b/R6P/6K1 b - -,a6a5
r2qr1k1/p2p1p2/1p1Bp2p/6p1/2P1b3/P1Q1P3/1P3P1P/R3K1R1 w Q -,h2h4
3qk2r/rp1n1pp1/2p2np1/p2P4/P2P1B2/1Qb2P2/1P2B1PP/R4RK1 w k -,b2c3
r4rk1/p1qbppbp/1p4p1/3pP3/6n1/1PPB1N2/PB2QPPP/R3R1K1 w - -,c3c4
r5k1/1p3qpp/p2Q4/3p1r2/3R3n/7P/PPP2P1B/5R1K b - -,h4f3
8/1R6/5k2/5p2/1P4p1/4P1P1/1r3PK1/8 w - -,b4b5
3r3r/p1q1bpk1/4p1p1/2p1P2p/3PN3/2PR4/P2Q1PP1/5RK1 w - -,f1d1
r2q1rk1/3nppbp/b2p1np1/1BpP4/P3P3/2N2N2/1PQ2PPP/R1B2RK1 b - -,f6g4
r7/1p1r2k1/4ppp1/2Pp4/PRnP4/5N2/5PP1/1R4K1 b - -,a8a7
6k1/2r2npp/1q2Br2/p1pPp2P/4Pp2/1PQ2P2/P7/KRR5 b - -,g8f8
rn1qkbnr/1p2pppp/p1p3b1/8/P2P4/6N1/1PP2PPP/R1BQKBNR w KQkq -,g1f3
4rrk1/ppp2p1p/3q1Bn1/n3p3/7P/2PP1Q2/PPB2PP1/R3R1K1 w - -,h4h5
8/p2n4/1pn2k2/3p4/P2Pp1pN/2K1B2P/5P2/8 w - -,h3g4
8/2n2k2/R4ppp/8/4K1PP/8/8/B7 b - -,c7a6
7k/8/4N1RP/5p2/3K4/5r2/7b/8 w - -,e6g5
1r3k1r/ppp2Np1/2nqP1bp/8/1nPN2P1/P2pP2P/1P1Q1PB1/R4RK1 b - -,g6f7
1Rb2rk1/3pQ2p/2p3p1/5p2/4q3/6PB/4PP1P/6K1 w - -,e7d6
r2qkb1r/pppb2pp/4pn2/1B2p3/4P3/2N5/PPP1QPPP/R1B1K2R b KQkq -,f8b4
4rrk1/p2b1pbp/1pnq2p1/2p5/4BN2/P1PPB1P1/1PQ4P/4RRK1 b - -,c6e5
1k6/1p1R4/p1n4r/3BpP2/8/P3b1N1/1PP5/1K6 b - -,h6h8
8/p4ppp/3kpn2/q7/1pB5/1P2PP2/P3QP1P/6K1 w - -,e2d2
8/2Q2pk1/3r1qp1/P3p2p/3n4/6P1/5PP1/3BR1K1 w - -,d1a4
4r3/1pp1r1kp/1n3pp1/1Nn5/5P2/PP3N2/2K3PP/3RR3 b - -,c5e4
rnb1kb1r/pp1p1ppp/2q1p3/6B1/3Pn3/5N2/PPQ1PPPP/RN2KB1R w KQkq -,b1c3
5rk1/p1p4p/1p1prn1b/3Nqpp1/1PP5/P3P1PP/3Q2BK/3RR3 b - -,f6e4
8/p1n3p1/q2rk3/3p1p2/PRpP1Pb1/2N1P1P1/1Q3KB1/8 w - -,a4a5
1r4k1/p3qpp1/1rp4p/2Nn4/1PQ5/1R2P2P/5PP1/1R4K1 b - -,b6b5
2r1k2r/5pp1/pq1bpn2/1pp5/3P4/1P2PN1P/P1QB1PP1/R3K2R b KQk -,b6b7
r4rbk/ppqn2pp/2nbp3/3pN3/2pP1PP1/P1P1B2B/1P1N3P/R3QRK1 w - -,d2f3
8/4k3/4p3/3q4/4R3/p3RPK1/7P/8 w - -,e4a4
2rq1rk1/p3b1p1/1np1p1p1/2pp2Pp/5P1P/1P1PP3/PBPN4/R2Q1RK1 w - -,d2f3
8/prr1q1pk/4p2p/2p2p2/2P1nPP1/1P1R3Q/PB5P/3R2K1 b - -,g7g6
6k1/q4ppp/pn1p1b2/1p1Pn3/1N2Ppb1/PP6/2QN1BPP/5BK1 b - -,g4d7
2kr3r/1b1q2pN/p3p1n1/npp4Q/4P3/2N5/PP3PPP/2R1R1K1 b - -,g6f4
1r1qkb1r/ppnnppp1/7p/2pP1b2/Q1P4N/2N5/PP2BPPP/R1B2RK1 b k -,f5h7
7r/5k1p/pB1Rpp2/1p6/2p1bP2/P1P5/2P3PP/6K1 w - -,b6d4
r1b1r1k1/2p2ppn/1bpq3p/p2pp3/2P1P3/1P1P1NNP/PBQ2PP1/R3R1K1 b - -,h7g5
2r1r1k1/1q1npp1p/pp4p1/8/2P5/1P3NP1/Pb2QP1P/3RR1K1 w - -,e2b2
6k1/5p1p/p5p1/1bp1q3/8/1P3BP1/3Q2KP/8 b - -,g8g7
8/5k2/6pp/2n2p2/pNP2P2/6P1/P3K2b/4B3 b - -,c5e4
r4rk1/1p2q1np/3p1pp1/2pP4/PpP1P1b1/1P1B4/3N1QPP/4RRK1 b - -,a8e8
r1bq1rk1/1p1nppbp/pn1p2p1/3P4/2P2P2/1PN1BN2/P3B1PP/2RQK2R b K -,d7f6
rnbq1rk1/pp3pbp/3p1np1/2pp4/2P5/2NBPN1P/PP3PP1/R1BQK2R w KQ -,c4d5
r4r2/p3p1k1/4b1pp/1p2q3/3pN2Q/1P1p1P2/P1P1R1P1/4R1K1 w - -,c2d3
r3kb1r/pp1q1pp1/2p1p3/3nP2B/3P3p/P6P/1P3PP1/R1BQ1RK1 w kq -,h5e2
r2qk1nr/pp1bppbp/2np2p1/2p5/4P3/3P1NP1/PPPN1PBP/R1BQK2R w KQkq -,e1g1
3B4/8/2k2pp1/2p1b2p/2P1P3/3R4/r6P/6K1 w - -,d3d5
2r5/5k2/1pN5/3P4/p2KPP2/1P6/1B3n2/8 w - -,b3a4
r2qk2r/ppp2ppp/1b1p1nn1/4p3/4P3/1BPP1Q1P/PP3PP1/RNBR2K1 w kq -,b1d2
r1b1rbk1/2qn1ppp/2p1pn2/1pPpN3/pP1P4/P1Q3P1/1B1NPPBP/R4RK1 b - -,g7g6
