8/5R2/1r5p/4k1pK/2B5/7P/8/8 w - -,c4d3
2kr3r/2q2pp1/pn2p2p/1pbbP3/8/P2B2B1/1PPNQPPP/4RRK1 b - -,b6a4
8/8/5N2/p7/8/K4k2/5P1P/8 w - -,f6d5
5r2/2K3kp/1P6/6p1/8/8/R7/8 w - -,b6b7
2krr3/ppp1bppp/8/5b2/3RN3/4BP2/PPP2KPP/3R4 b - -,f5g6
2rq1rk1/pb2bppp/1pn2n2/2pp4/3P4/1PN1PNP1/PB3PBP/R2Q1RK1 w - -,f1e1:a1c1:f3e5
1r2r3/5p1k/3p2p1/1pb1n3/p3BB2/7P/PP3P2/2RR2K1 w - -,b2b3
1rbq1rk1/1pnnbppp/p2p4/2pPp3/P1P1P1P1/2NBBN1P/1PQ2P2/R3K2R b KQ -,f8e8
r5k1/2pq1rbp/1pnpbnp1/p2Np1B1/1PP1P3/5PP1/P2QN1BP/3R1RK1 w - a6,a2a3
3r1bk1/5pp1/4pn1p/1p6/1q1P4/2Q1B2P/4BPP1/3R2K1 w - -,c3b4
r2qk2r/pbpp2pp/1p3n2/2b1p3/N1PnP3/6P1/PP2NPBP/R1BQ1RK1 w kq -,a4c5
1q2rbk1/Rp3pp1/6bp/8/3Pp3/1PN1Q3/1PPB2PP/6K1 w - -,a7a1
2N2k2/1p1n2pp/p7/8/Q7/3q4/PP3P1P/4R1K1 b - -,d3g6
1R3bk1/6p1/5p1p/p1p2P2/1pp5/7P/PP3P2/5K2 w - -,b8a8
r4rk1/1q2bppp/1p2pn2/2p5/P1N5/3P2P1/1BP1QP1P/R4RK1 b - -,b7c6
r4rk1/1bqpnppp/p2b4/1p2n1B1/4P3/1BN2N1P/PP3PP1/R2Q1RK1 b - -,e5f3
6k1/1r3p1p/4p1p1/8/1Prb1PP1/2P2R2/7P/3R2K1 w - -,c3d4
4r1k1/2pq1pb1/r1n1b1pp/3Bp3/2PpP1P1/1p3QN1/P2B1PP1/R3R1K1 w - -,a2b3
2r1r1k1/3n2pp/p7/q3p3/2P1p1R1/6P1/1B3P1P/2Q2RK1 b - -,d7f6
2q3k1/5rp1/2BQp2p/4Pp2/P4P2/4P1PK/7P/8 w - -,a4a5
4r1k1/4bp2/1pp2np1/3pB2p/1p1PP3/1P3P2/3R1QPP/rqN2R1K w - -,h2h3
3n4/4Q3/2k1p3/3pP3/3P2r1/8/4K3/8 b - -,g4g8
r2qkb1r/pb1npppp/1p1p1n2/2p5/4P3/2PP1N2/PP1NBPPP/R1BQ1RK1 b kq -,g7g6:e7e6
6k1/p4rpp/1p6/8/2Qr1PP1/1N5P/qPP5/2K5 w - -,c4d4
r3r1k1/pp3ppp/8/5b2/2P5/P3P3/1P4PP/2KR1B1R w - -,f1d3
3r2k1/p5p1/5p1p/2q5/3b4/5Q1N/P5PP/5R1K w - -,h3f4
2rq1rk1/pp1bppbp/3p1np1/4n3/3NP3/1BN1BP2/PPP1Q1PP/2KR3R b - -,a7a5
2r2bk1/pp4pp/1q3p2/2p1nN2/4P3/P1Q3PP/1P1BbPB1/5RK1 w - -,f1e1
r2r2k1/ppq2ppp/2n1pn2/7b/2PP4/1Q2BN1P/P3BPP1/2RR2K1 b - -,b7b6
3r1rk1/pbn2pp1/1p5p/2b1P3/1P4q1/P1B2N2/4QPPP/1B1RR1K1 b - b3,c5e7
5rk1/ppp4p/2n1b1p1/2b1pp2/4P1n1/2Pr1NPP/PP1N1PB1/R1B2RK1 b - -,g4f2
3r4/1p2bkp1/1Np5/p1P5/1P3RB1/P5P1/2n4P/6K1 b - -,e7f6
5rk1/pb4pp/8/1p6/2nPqB1P/2P3Q1/P3N1P1/R4K1R b - -,c4e3
3rk2r/pQ1bp3/3p1npp/2pP4/2P3P1/2q2R1P/P2NP3/1R2KB2 b k -,c3e5
rnbq1rk1/pp3ppp/2pb1n2/3pp3/4P3/2NP1NP1/PPP2PBP/R1BQK2R w KQ -,e1g1
r1bqk2r/p3n1b1/2np1p2/1p2pPp1/1P2P1P1/1Q1PN3/PB2NKB1/R6R b - -,e8f8
r1bqkb1r/1p3ppp/p2ppn2/2n3B1/3NP3/1BN5/PPP1QPPP/R3K2R b KQkq -,f8e7
1Q6/p2bqr1k/4p2p/6p1/2B1p3/7P/PPP3P1/5R1K w - -,f1f7
8/1pp5/p3k3/7p/1P1K1p1P/2P2Pn1/1P3N2/8 b - -,e6f5
r3k2r/1p1b1ppp/p1n1p3/q1bpP3/5PP1/2N2Q2/PPP2BBP/1K1R3R b kq -,c5f2
r2qk2r/pp1n1pp1/2p1p1bp/3pP3/3P1PPb/1NP5/PP2B2P/R1BQ1RK1 w kq -,f4f5
5k2/R7/6n1/3K4/6Np/7P/6P1/5r2 w - -,d5e4
r2r2k1/ppq2ppp/2b1pn2/n1bNN3/3BP3/3Q2P1/PP3PBP/2RR2K1 b - -,e6d5
r3rbk1/3q4/2p1pp1p/1p3np1/2PP4/1P1R1N1P/2Q2PPB/4R1K1 w - -,e1c1
r2qrbk1/1b1n1pp1/p6p/1p1Pp3/1Pp1P3/2P1B1NP/P1BQ2P1/R4RK1 b - -,a6a5
8/2K2p1k/5Qbp/2R5/5P2/1q6/8/8 b - -,b3a3
8/6p1/4pb1k/4q2P/pQ6/P7/1PP5/1K5R b - -,e5d5
r2qk2r/pp3ppp/2n5/2Pp3b/5P1b/2NBP2P/PPQ3P1/R4KNR b kq -,d5d4
r1bqr1k1/1pp2pbp/1n1p1np1/pP6/2PN4/2N1P1P1/P4PBP/R1BQ1RK1 w - -,d1e2
r1b1r3/1pqn2kp/2p1Ppp1/p1bp4/P2N1P2/1P1Q4/2P1N1PP/R3RB1K b - -,d7f8
b7/5rk1/1B4pp/P7/r3N3/5P2/2RN2K1/8 b - -,g6g5
r3r1k1/pp1bbppn/1q2p2p/4P3/1PpP3B/P1N4P/4NPP1/R2Q1RK1 w - -,h4e7
1rb2rk1/p1p1bpp1/4p2p/n4q2/P1NPN3/1p2P1P1/1P3PBP/R1Q2RK1 b - -,c8a6
rnbqk2r/ppp1p1bp/3p1np1/5p2/2BP1B2/4PN2/PPP2PPP/RN1QK2R w KQkq -,e1g1
4r1k1/p1Bp2p1/3n3p/2p5/4nN2/8/P5PP/2R3K1 w - -,c7d6
rnbq1rk1/p3ppbp/1p3np1/2pp4/5P2/2NPPN2/PPP1B1PP/R1BQ1RK1 w - -,a2a4
r1b1kb1r/1pq2pp1/p1nppn1p/8/P2NP1P1/2N4P/1PP2PB1/R1BQ1RK1 b kq -,f8e7
4r3/pkq3p1/1p2p2p/3pPrnP/b1pP1N2/P1P1QB2/R1P2RP1/6K1 w - -,a2a1
r1bqr1k1/pppn1pbp/3p1np1/4p3/2PPP3/2N2NP1/PP3PBP/R1BQ1RK1 w - e6,h2h3
2r5/p2r1kp1/1p3p2/n2p3p/P2B4/2P2P2/1P3KP1/3R3R w - -,h1h5
r1bq1rk1/pp1nbppp/2p1pn2/3p4/2PP4/1PNBPN2/PB3PPP/R2QK2R b KQ -,b7b6
2rq1rk1/5ppp/4pn2/p2p4/1bN5/2B1P1P1/P3QPBP/1RR3K1 b - -,c8c4
rn2kbnr/pp2pppp/2pq4/8/2BP2b1/2N2N2/PPP2PPP/R1BQK2R b KQkq -,g8f6
r3qrk1/1b1nbppp/2N1pn2/pp1p4/3P1B2/6P1/PPQ1PPBP/RN1R2K1 w - -,c6e7
6k1/3R1np1/2r4p/p3p3/7P/1PN3P1/P7/6K1 w - -,c3e4
6r1/4b2k/p2p2qp/2n1n3/1R6/P6P/4Q1P1/B2R3K b - -,a6a5
r1b2rk1/1p1p1pp1/p1n2q1p/3Qp3/4P3/2P2N2/P1P2PPP/3RKB1R w K -,f1c4
r1b1r3/1pqnbpkp/p1pP1np1/6B1/1P1p4/2N1PN2/P1Q1BPPP/2RR2K1 b - -,e7d6
4r1k1/p4pp1/1p1Rp1np/1P2P3/2P5/q4PP1/P2N1K1P/Q7 w - -,f3f4
6r1/3R2rk/8/1N5p/P1PR3K/7P/6b1/8 b - a3,g2c6
rnbqkbnr/pp2pp1p/2p3p1/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq -,f1g2
6k1/6b1/p3R3/2pP4/q1P2rN1/5P2/P3Q1K1/8 b - -,a4c4
8/8/p6p/8/5Pk1/4B3/P2pK3/4b3 w - -,f4f5
8/1pk5/p2b4/8/3Bp1r1/P7/1PR3P1/K7 b - -,c7d7
r5k1/5ppp/2p5/p7/4Q1Pq/P3P2P/1P3P2/2K1R3 b - -,h4f2
1rr1q1k1/3n1npp/8/p1BpPp2/P1bP1P2/8/1N1Q2BP/R1R3K1 w - -,b2c4
r6r/1bb1kp2/p1p2npp/1pn1p3/P3P1NB/1BN2P1P/1PP3P1/2KR3R b - -,g6g5
r3k2r/1p2ppb1/p2pb2p/q3n1p1/3QP2P/2N3B1/PPP2PP1/2KR1B1R w kq -,c1b1
8/1r1k4/4p1NQ/2pqP3/P1pP2R1/7P/6PK/8 b - -,c5d4
r1b1rnk1/1p3ppp/p1pq1n2/3p4/N2P4/3BPN1P/PPQ2PP1/R4RK1 b - -,f6e4
8/p1q5/1r4pk/R1p4p/2Pp3P/3P1PP1/Q5K1/8 b - -,b6b2
1r1q1rk1/p2b2bp/5np1/1p1Npp2/1P2P3/P2n2P1/1B1N1PBP/1R1Q1RK1 b - -,f6d5
r2qkb1r/pp2pppp/2n1bn2/3p4/2PP4/1QN5/PP3PPP/R1B1KBNR w KQkq -,c4d5
rr4k1/4ppbp/6p1/ppRP4/4PP2/1P4PP/P3K1B1/7R b - -,b5b4
8/2p3R1/2Bp4/2p5/P5bk/4K2p/8/r7 b - -,a1f1
r1b1k1nr/pp3ppp/2n5/4p3/2P5/qNpP1NP1/4PPBP/1R1Q1RK1 w kq -,d1c2
8/2r5/1PP1n3/3Rpp2/1k4p1/N7/6K1/8 b - -,c7c6
8/5p1p/6p1/3pk3/r1p4P/P1R1P1P1/R4PK1/1r6 w - -,g2f3
rn1qr1k1/1p3pbp/p2p1np1/2pP2B1/2P3b1/2N2N1P/PP1QBPP1/R4RK1 b - -,g4f3
5rk1/Bp2bppp/2r1p3/7q/1P4n1/P1NQ2P1/5P1P/R2R2K1 w - -,h2h4
8/1p4k1/p2p2p1/4b1Q1/2P5/1P3q2/P4B2/6K1 b - -,g7f7:e5h2
2r3k1/5pp1/p5rp/2N5/1P1B1Pq1/4PQb1/P4K2/7R w - -,f2e2
2b2rk1/R2nbppp/p3p3/q2p4/2rP2PP/1RNQP1B1/P3NPK1/8 b - h3,e7b4
8/1p2n2p/1p1k1n2/4p1p1/PP2P3/2P1K1PP/4BB2/8 w - -,e3f3
2r2rk1/1p2bppp/pq1pb3/2n1p1P1/4P2P/1NN4B/PPP1QP2/R3K2R w KQ -,e1c1
1qn2rk1/1bpn2pp/1p1p4/1N1Ppp2/1PP5/3BPP2/Q2B2PP/R5K1 w - -,a2a4
8/2k4p/4B1p1/2P5/5PP1/3K2rP/8/8 w - -,d3d4
8/pp5k/4R1b1/5pp1/4P3/8/PPP5/1K6 b - -,f5e4
r3k3/ppqbbp2/2n3pr/2p1pP2/3pP1P1/3P2N1/PPPQ2B1/RN3RK1 b q -,h6h7
8/1p3p2/p1k2Pb1/3p4/3K3P/P1P3B1/1P6/8 w - -,g3f4
rnbqkbnr/ppp1pppp/8/8/2BpP3/5N2/PPPP1PPP/RNBQK2R b KQkq -,a7a6
2kr1bnr/pppq2p1/2n1bp2/4p2p/4P3/1NP2NP1/PP2QPBP/R1B1K2R b KQ -,e6c4
r1bqkb1r/ppp1pppp/1n6/3Pn3/2P2B2/2N5/PP3PPP/R2QKBNR b KQkq -,e5g6
r1bq1rk1/pp1pnpbp/2n3p1/2p1p1B1/2P5/2NP1NP1/PP2PPBP/R2Q1RK1 b - -,h7h6
8/8/8/3k1K2/3P1R2/6P1/8/3r4 b - -,d1e1
2r1r1k1/p3nppp/1p1pb3/3p4/7R/2PP4/P1PB1PPP/3B1RK1 w - -,f1e1
4r1k1/1RQ2bp1/5p2/3q3p/7P/1p2B3/5PP1/6K1 b - -,e8e4
3q1rk1/pp1bppbp/3p1np1/8/2rNP1P1/2N1BP2/PPPQ4/2KR3R w - -,d2h2:d4e2
rr4k1/pb1nbppp/1q1ppn2/2p5/QPP2B2/P1N2NP1/4PPBP/1R1R2K1 b - -,a7a6
8/5p2/4rP2/4K1P1/8/2k5/8/8 w - -,e5f5
8/p7/P7/8/8/1K2p3/5k2/8 b - -,e3e2
r4rk1/1b4pp/p1qp1p2/4nRb1/1P1BP2P/2N3Q1/1PP1B1P1/3R2K1 b - h3,g5h6
r2q2k1/p1pbnr1p/1p1p2p1/2nP1p2/2P2P2/2P1BR2/P1Q1N1PP/4RBK1 b - -,d7a4
1r6/pr3pk1/2p3p1/2p1P3/2P1R1p1/2KP4/P1P4P/R7 b - -,b8h8
8/p4rpp/1p2k3/2pR4/2P3PP/1P3PK1/P7/8 w - -,f3f4
8/8/7k/5r2/8/7K/4N3/8 w - -,h3g4
4r2k/1p1nrpbp/p2p2p1/q1p5/2PpPPP1/1B1P1Q1P/PPR5/5NRK b - g3,a5e1
rn1qkbnr/1b3ppp/p2pp3/1pp5/4P3/1PNP1N2/P1P1BPPP/R1BQ1RK1 b kq -,g8f6
r1b2rk1/2qn1ppp/p3Pn2/2b5/1p1N1P2/3B4/PPPBQ1PP/3NRR1K b - -,c5d4
8/8/p1k5/1b4R1/pKpP4/2P5/2P5/8 b - -,c6d6
r4rk1/1p1qb1p1/n1p1pp1p/p4b2/2P1B1Q1/PP1P2P1/1B1N1P1P/R3R1K1 w - -,e4f5
r2b1rk1/1nqb1p1p/p2p2p1/np1Pp3/4P3/1PP1QNNP/R1BB1PP1/4R1K1 w - -,e1a1
3k4/pp3pr1/2p1pR1p/7P/3P4/8/PPP5/2K5 b - -,g7h7
r3r1k1/ppbq1pp1/2p1pn1p/2P5/3PP1b1/1P4P1/PB1N2BP/R1Q2RK1 b - -,e6e5
3brr1k/8/5pp1/1R5p/P1P2Q2/1P2PPPq/1B5P/5RK1 b - -,f8f7
4k2r/1p1bnppp/pq2p3/3pP3/1P6/P1BB4/4RPPP/3Q2K1 b k -,e7c6
8/p3k1p1/2p5/8/P1R3pr/4PP2/6r1/R5K1 w - -,g1g2
5Q2/2k5/5p2/3Pp3/4n3/4P3/5qPK/8 w - -,f8e7
5rk1/1qn1bpp1/2p5/3pP1Pp/1ppP1P1P/4B2b/1P1Q3K/R3N3 w - -,h2h3
r3kbnr/pb3ppp/2qp4/1pp1P3/4P3/2P2N2/PP2QPPP/RNB1R1K1 b kq -,e8c8
rnbqkb1r/pppp1ppp/5n2/3P4/8/8/PP2PPPP/RNBQKBNR b KQkq -,g7g6
r1b1r1k1/pp3pp1/2n4p/3p4/2pPqP2/N1P3P1/PP1QNR1P/R5K1 b - -,c8g4
1q3rk1/1p2bppp/p3pn2/B2p4/3P4/1Q2PPP1/PP5P/2R2BK1 b - -,f8c8
3rnk2/1p4b1/p7/3Pq2R/6Q1/8/1P5P/6RK b - -,e5d6
2r2rk1/4Qpp1/2p4p/p2p1p1B/P2P3P/1q4P1/5PK1/1N1R4 w - -,d1e1
8/1b3pB1/4k1p1/2P4p/3K4/5P2/7P/8 w - -,d4e3
2rq1rk1/4bpp1/3p3p/p2Ppb2/1Qp5/P3BN1P/1PP2PP1/2R1R1K1 w - -,b4c3
2r2rk1/1b2nppp/p2qp3/4N3/Np1PpPP1/4PQ2/PP5P/2R2RK1 w - -,f3e2
r3kb1r/pp1q2p1/2pp1n1p/4p3/P1BnP3/2NQ3P/1PP2PP1/R1B1K2R w KQkq -,c1e3
3r1rk1/ppqnbppb/4pn1p/2p5/PP2P3/BQP2NP1/3N1PBP/R3R1K1 w - -,g2f1
4r1k1/1NRn1pp1/p4n1p/1p1P4/7P/1b2B3/1P3PBP/6K1 b - -,e8e5
2r2rkb/5p1p/1qn1p1pP/p2p4/3P1Q2/P1P5/2B2PP1/2BRR1K1 b - -,c6d8
8/4k1pp/1p2p3/2p2r2/p1PnR1N1/P6P/1P3PP1/6K1 b - -,e7d6
r7/rp2qpk1/3b2p1/1Q1RNp2/3P4/4P1P1/5PK1/2R5 b - -,a7a1
1q3bk1/pp3pp1/1r4np/8/2B1b3/2B1N2P/PQ3PP1/3R2K1 w - -,c4b3
r4r1k/1p1b3p/1qpp1b2/p1nPp3/2P1Pp2/P1NN3P/1PQ1BP2/1K4RR w - -,d3c5
r4rk1/pp1qbppp/2n5/2pp4/5B2/2PQ2PP/PP3PB1/R3R1K1 w - -,d3d5
rq2k2r/pp1b1ppp/2n1p3/8/2NP4/2N3P1/PP2Q2P/R3K2R w KQkq -,d4d5
2r3k1/p2R4/6pp/1N3p2/8/6PP/r4P2/6K1 w - -,b5c7
r2qk2r/ppp1ppbp/2np1np1/8/2BPP1b1/2N1BN1P/PPP2PP1/R2QK2R b KQkq -,g4d7
1r2nrk1/4bqpp/p1npp3/P1p5/1p2PN2/1PP1BP2/3QN1PP/R2R2K1 w - -,c3c4
r1k2b1r/p1nqp2p/1ppp4/5PN1/2PP1B2/2N4Q/PP3PP1/2K1R3 w - -,g5e6
rq3rk1/3nbppp/ppbpp3/8/PPP1PP2/2N1B1P1/6BP/2RQR1K1 w - -,e1e2
2r5/2k5/3R4/2q1P1P1/6p1/1Q6/2P5/2K5 w - -,b3f7:d6d5
8/3p1k2/2bP1pp1/ppP1p2p/4P2P/P1R1NP2/3r2PK/8 w - -,h2h3
2r3k1/5p1p/4n1p1/p3PP2/2PrR1N1/8/P5PP/5RK1 b - -,g6f5
4Q3/6p1/1k1b3p/2p5/1n4PP/1P6/6K1/8 w - -,e8g6
4kr2/1pq3p1/4p2p/1P1b2PP/1B1p3R/P2B2b1/4Q2N/6K1 w - -,d3g6
2r2rk1/pp3pp1/3qb2p/3Np3/2BbP3/5P2/PP2Q1PP/R4R1K w - -,c4b3
8/1p4p1/7p/7P/8/2knpBP1/8/3K4 b - -,b7b5
5r2/1kp3pp/1p2R3/p1p1b3/P1P3Pn/1P2B2P/4NPK1/8 w - -,g2h1:g2f1
8/8/3R1kp1/8/4rNKP/8/8/8 b - -,f6f7
r6r/p1p1k1pp/4pp2/8/2N5/PnN3P1/RPn1PPKP/5R2 w - -,e2e3
5k2/7p/3p2p1/2pP1n2/2N2P1P/2P2Q2/2q5/6K1 b - -,f5h4
2k5/1p3prp/p1pr4/6N1/4P2P/PP1n1P2/6P1/3R1KR1 b - -,h7h6
1nrq1rk1/1p3p1p/p3b1pB/2Ppb3/3N4/1P5P/P3BPP1/2RQ1RK1 b - -,f8e8
r4rk1/1bq1bppp/p2pp3/1p1nPP2/3N4/P4BQ1/1PP3PP/R1B2R1K b - -,d6e5
3q1rk1/3n1pp1/b1n1p2p/3pP3/p1pP1B1P/brP2NP1/2R1QPB1/R4NK1 b - -,d8b6
1r1q2k1/5pb1/4r1pp/Pp6/1B1p4/1Q1P2P1/4PPBP/4R1K1 b - -,g7f8
r4rk1/ppp1np1p/6p1/4p3/N7/1P1qP3/P1P2PPP/R3K2R w KQ -,c2d3
4r1k1/5pbp/p2B2p1/1p1Q4/5P1q/P3r2P/1P4PK/3R1R2 w - -,f4f5
8/2r1p1kp/R1p1P1p1/2P2p2/8/n5P1/5PKP/8 w - -,a6a3
8/5k2/3p1R2/2pP1n1p/1p3PpP/4P1P1/1P3Q1K/1r6 b - -,f7f6
2kr1b2/4r2p/p1p5/Pq1ppQ2/1Pp3NN/2P1P3/5RPP/5b1K b - -,c8b8
r5k1/ppp2qpp/2nppr2/4p3/4P2Q/2PP2PP/PP3P2/RN3RK1 w - -,b1d2
8/6pk/b6p/b2q1p2/N7/3n1PP1/4NBKP/3Q4 b - -,d3f4
1R1b4/3r4/1p1Bp1k1/1P1pPpP1/3P1P2/6K1/8/8 w - -,b8c8
r5k1/3N2pp/4p3/p2nPp2/3P4/3R3P/1r4P1/2R3K1 w - -,g2g3
1rb2rk1/p2n1ppp/4p3/q3P3/Np2BP2/1P4P1/P2Q3P/R2R2K1 b - -,d7b6
2r2k2/2q2p1p/6p1/p1p1P1B1/2B2R2/8/5PPP/3R1K2 b - -,c8e8
r2qkb1r/ppp2ppp/2nppn2/3P3b/4P3/2N1BN1P/PPP2PP1/R2QKB1R b KQkq -,e6d5
4R3/8/3k4/3p1p2/5p2/r2K1P2/8/8 w - -,d3e2
8/4R3/1R1p2k1/1P2p3/2b1rp2/8/2r4P/6K1 w - -,b6d6
r1bqr1k1/4bpp1/p1n2n1p/1pp1p3/4P2N/1BPP2NP/P3QPP1/R1B2RK1 b - -,b5b4
8/6k1/5p2/1R3K1p/3P4/1PP2P1r/8/8 w - -,b5b7
8/6pk/5r1p/2p2P2/p1P2P1P/3QP1K1/q2R4/8 b - -,a2a1
1r1q1rk1/n1p1bppp/3p1n2/p3p3/B2PP1b1/2P2NN1/P4PPP/R1BQR1K1 w - -,d4e5
2b1r1k1/p4pp1/5n2/5q1p/2BQ4/2P2P1P/Pr1RN1P1/4RK2 b - -,b2b7:b2b1
r3r3/p1q1npk1/2b2p1p/3p1P2/1ppP2P1/4PB2/PP3Q1P/R3NRK1 w - -,e1g2
r6r/p2kpp1p/1pbpn1p1/8/2PbP3/1PNBBP2/P2K2PP/2R4R w - -,f3f4
r2q1rk1/p1p2ppp/1pn1pn2/3p4/2PP4/PP3PP1/3Q1PBP/R1B1K2R w KQ -,c1b2
1n4k1/5rpp/p2q1p2/2p1p3/2Q1P3/1R4P1/P4PBP/6K1 w - -,g2h3
8/5pkp/1q1p1np1/2p5/b1P5/1r3N1P/4QPP1/4RBK1 w - -,e2e7
5rk1/5pbp/3Qp1p1/8/1P2bB1P/6P1/4qPn1/2RN2RK b - h3,g2h4
2rr2k1/p4pp1/1p2p2p/n2q4/3PR3/P4N2/1P2QPPP/4R1K1 w - -,h2h3
3r2k1/1pp2pp1/1p5p/1P2P3/P2R1Pn1/5R2/2B3P1/5N1K b - -,d8d4
r2r2k1/4qppp/p2b4/1pnNp3/3nP3/6PP/1PP2PB1/R1BQR1K1 b - -,e7e6
rn2kb1r/1bqp1ppp/p3pn2/1p6/3NP3/P1N3P1/1PP2PBP/R1BQK2R w KQkq -,e1g1
8/2p2k2/3p2pp/3P4/1pNb1P2/3P4/P4PKP/8 w - -,g2f3
4k3/ppp3B1/6p1/2p2p1p/8/P1PP4/bP3PPP/6K1 w - -,g1f1
rnbqk2r/ppp1bppp/3p1n2/8/3QP3/2N2N2/PPP2PPP/R1B1KB1R w KQkq -,c1g5
8/5bqk/p1pQ4/2P3pp/8/P2N1P1P/6PK/8 w - -,d3b4
1Bbbqrk1/3nnppp/2p5/1p1Np3/4P3/1BP2N1P/1P3PP1/R2QR1K1 b - -,d7b8
rn3rk1/1p2qpp1/p2p3p/b2Pp3/8/PB2BQ2/1PP1RPPP/3R2K1 b - -,f7f5
r3r1k1/4q1b1/2p3pp/1p1p1p2/pP1Pn3/2P2B2/P1N3PP/3QRR1K w - f6,f3e4
r1bq1rk1/ppp2pbp/3np1p1/4N3/2PPp3/Q2BP3/PP1B1PPP/R4RK1 w - -,d3e2
r4rk1/4q1pp/2Q5/p1b1pp2/6b1/P3PN2/1P3P1P/R1BR2K1 w - -,d1d7
r4rk1/pp3ppp/2N1n3/2qn2B1/8/2PB4/P3QPPP/R3R1K1 b - -,b7c6
r2q1rk1/p2b1n1p/np1p2pb/2pPpp2/1PP1P3/P1NN1P2/4BBPP/R2Q1RK1 w - -,d1b3
R7/8/6kp/8/pr6/7K/1P6/8 w - -,h3g3
5rr1/6p1/p3k2p/1p1pPp1R/n1pP1PP1/P1P5/6RP/4B1K1 b - -,f5g4
5rk1/p1r3pp/3pp3/3p4/1P3p2/P2Kb3/1B4PP/R4B1R w - -,g2g3
2q2nk1/8/p5pp/1p1p2b1/8/P3rN1P/BP4P1/3Q1R1K b - -,g5f6
r3n1k1/ppp5/n2pP2q/4b3/1PP1Np2/8/P4PP1/1RQ2RK1 w - -,e6e7
5r1k/p1q2RR1/P3p2p/1P1bP3/2pPp3/2P4P/6P1/6K1 w - -,f7c7
1r1q1rk1/1pn1ppbp/p2p1np1/P1pP4/4PPb1/2NB1N2/1PP3PP/R1B1QRK1 w - -,f3d2
1r4rk/p1p2p1p/7p/2bBP3/6bq/5Q1P/PP1NRP2/3R2K1 w - -,h3g4
r1bq1rk1/3nppbp/p2p1np1/2pP2B1/2p1P3/2NB1N1P/PP3PP1/R2Q1RK1 w - -,d3c4
3k4/3b1pp1/P7/4p3/4P2r/1NPB3p/2K4b/R7 b - -,d7c6
3r2k1/1R2pp1p/p4b2/5p2/5P2/3B4/P1P3PP/6K1 b - -,e7e6
8/5k2/4R3/2r5/5PK1/8/8/8 w - -,e6e3
rnbq1rk1/1pp1ppbp/p2p1np1/8/P2PP3/2N2N1P/1PP2PP1/R1BQKB1R w KQ -,c1e3:f1d3
4r3/p1p2k2/3pr1pp/1P1q4/4nP2/5Q2/2P3RP/4B1RK b - -,d5f5
1R6/6pk/6p1/4KpP1/1p6/4P2P/7r/8 w - -,b8b4
1r2r3/3q1pk1/2pb2p1/p2p3p/P2P3P/4PQP1/5PK1/RRN5 w - -,c1d3
3n1N2/5b2/6p1/p5P1/3kp3/1P6/4K3/3B4 w - -,e2d2
r2qr1k1/1pp2pp1/p1nb1n1p/5b2/2BP3N/P1N1B2P/1P3PP1/R2QR1K1 b - -,f5h7
3rr2k/1p4p1/2p1np2/1q5p/pNRPpBbP/P3P1P1/1PQ3PK/2R5 b - -,h8g8
5rk1/pp1qbp2/7p/2pB3n/P2rPPpn/1PN3Bb/2PNQR1P/3R2K1 b - -,h4f3
7r/P7/1KBk2p1/5p2/8/8/8/8 w - f6,b6b5
