2b5/pp6/5k2/5P2/6PP/8/PP2K3/8 b - h3,c8d7
4r2r/1p3kpn/p1p1p1p1/B2p1p2/2PPP1Pb/1P1K1P1P/1P4B1/R6R b - -,h7g5
r3r1kb/pp5p/2q1pppP/2p5/n2PP2B/2P2N2/P2Q1PP1/1R2R1K1 b - -,b7b5
6k1/R7/6Kp/3n2p1/8/5PP1/4r3/8 b - -,e2e6
r1b1kr2/1p1n4/1qp1pn1p/3p1ppP/p2P4/1N1BPP2/PPPQ2P1/2KR2NR w q -,b3a1
r2q1rk1/ppp1ppb1/1nn1b1pp/8/3P4/2N1PNP1/PP3PBP/R1BQR1K1 w - -,f3d2
1r2k2r/5pb1/p3p2p/3nP1p1/2N5/R3B3/PP3PPP/2R3K1 b - -,b8a8
4r3/2kb3p/1p1p4/p3p1p1/2P1P3/2PBK1P1/1R3P1P/8 b - -,e8f8
r2q1rk1/4p1bp/p1p1b1p1/n1Pp4/P2P1p2/3Q2P1/1B1nPPBP/1R2NRK1 w - -,d3d2
4r1k1/1r1R1pbp/ppq3p1/5n2/P4B2/N1P3PP/1P3P2/R2Q2K1 w - -,d7b7
8/6pp/4pk2/8/p1r1pPPP/2P1R3/3K4/8 w - -,e3e1
2rr1n1k/1p1n4/p2p1qp1/P2P1p1p/BPP1pP1P/4R1P1/Q5N1/3R2K1 b - -,f6g7
4r1k1/qp1bppbp/3p1np1/p1NP4/2P5/1P2BB1P/P2QRPP1/2R3K1 b - -,d6c5
rn2r1k1/p2b1pbp/6p1/q1pP4/1p6/3QPN2/P2BB1PP/1R3RK1 w - -,f3g5
r1bq1rk1/ppp2pp1/1b3n1p/nP1pN3/4P3/1BPP4/P2N1PPP/R1BQK2R b KQ -,a5b3
1r4k1/5pp1/3pn2p/p7/3P4/1BP1R3/P4KPP/8 b - -,b8e8
rnb1k2r/ppp2p2/4p2p/4P1pP/5qP1/2N4R/PPP2P2/R2QKB2 w Qkq -,h3e3
8/8/5kp1/7p/5K1P/6P1/5P2/8 b - -,f6f7
4r1k1/1q4pp/p1b3r1/1p2pp2/2p5/P1N5/1P2QRPP/5RBK w - -,f1e1
2r2rk1/pb1nqppp/1p1p1n2/4p3/2PQP3/P3BP2/1P1NB1PP/R3K2R w KQ -,d4d3
1r1rn3/5k2/1p1p2pp/p7/P2R2P1/2N1R2P/1PP2P2/6K1 b - -,b8b7
2r5/pKB1k2p/3p1p2/2p1b3/2PpP1P1/3P3P/2P5/5R2 b - -,e7d7
5r1k/2p4p/2q2r2/1p1p2p1/p2PpP2/P1P1P1P1/Q2B2RP/6K1 b - -,g5f4
r2qr1k1/1pp2pp1/2n2n1p/p1b1p3/2Pp2b1/PP1P1NP1/1BN1PPBP/R2QR1K1 w - -,f3d2
r1bqnrk1/pp1p2pp/2p1p3/4n3/1b2PP2/2NB1Q1N/PPPB2PP/2KR3R w - -,f3g3
r4rk1/p3qppp/np6/2pbN3/Q2P4/2P3P1/P3PP1P/R4RK1 w - -,a4a6
5r1k/1R4pp/R7/8/P7/6rP/6P1/6K1 b - a3,h7h6
r6r/1b2kppp/p2Np3/1p2P3/5P2/2P5/P1nK2PP/R4B1R b - -,c2a1
8/p6p/3q1p1k/1p1p1Q2/3prPP1/P2R4/KPP4P/8 b - -,h6g7
br3rk1/2q1b1pp/P2pp3/N1n5/2P1p3/2N1BP1P/3Q2P1/R1R3K1 w - -,c3b5
r1b2rk1/4ppbp/3p2p1/1p1N4/P2pPP2/3Pq1PP/1P3RB1/RQ4K1 b - -,e3g3
8/p7/1p4p1/5pP1/4pP1P/1P1k4/P4RK1/3r2N1 b - h3,e4e3
r1b2rk1/pp2ppbp/2np1np1/q7/2P2B2/1NN1P2P/PP1Q1PP1/R3KB1R b KQ -,a5b4
8/pp3r2/3QN1pk/4pp2/8/4q3/P5PP/5R1K w - -,d6d8
6k1/3p4/1pbbp1r1/4n1N1/3N3P/8/1P3PP1/R5K1 w - -,d4c6
1r5k/5p1p/r1p1PNpB/pp1p4/2nP1P2/b1P4P/P3R1P1/1R4K1 b - -,a6a7
8/2n2p2/p2k2pp/1p2p3/PPb1P1P1/2N1KPP1/2B5/8 w - -,c2d3
8/8/5Q2/4n1p1/P7/8/1P4rk/1K6 b - -,e5d3
r4k1r/1p2bp2/2p1pnp1/3q2P1/3P1P1P/8/PQ3N2/1KBR3R b - -,f6e4
1r4k1/p4p1p/1n3qp1/2p5/2N5/1P5P/P3QPP1/3R2K1 b - -,b6c4
8/8/p7/2P4k/5R1P/8/KP3p2/5r2 w - -,a2b3
2rq1rk1/1b1n1ppp/p3p3/4P3/2BB1P1b/1PQ1N3/P3K1PP/3R3R b - -,d8c7
r2qk2r/4nppp/bpp1n3/3pP3/3P4/P1PB2QN/6PP/R1B1K2R b KQkq -,a6d3
1r1q1rk1/2n1ppbp/1p1p2p1/pP3P1b/P1P1P3/2N1B3/2NQ2PP/1R3RK1 w - -,h2h3
5rk1/pbr2pp1/1ppq1n1p/4N3/P1BPp3/1Q2P2P/1P3PP1/2R2RK1 w - -,c1c2
3r4/1bR1p2p/3p1kp1/8/nP6/5P2/P5PP/2R3K1 b - -,d8b8
r2qkb1r/pp1n1ppp/2p1pn2/3p4/2PP2b1/1Q3NP1/PP2PPBP/RNB2RK1 b kq -,d8b6
r1b1r3/pp3pkp/3p1qp1/2pP3n/4PP2/3Q3P/PP2N1PN/R4RK1 b - -,f6e7
r4rk1/pbpnq1pp/1p2p3/3p1pN1/2PPn2P/2N1P3/PPQ2PP1/2KR1B1R w - -,c4d5
8/2p2p2/1pk1b3/2p1P1P1/r7/2P3K1/3B4/3R4 b - -,b6b5
r3r1k1/5pbp/pq1p1np1/1bpP2B1/1p2P3/nP1B1P2/P2QNNPP/R4RK1 b - -,a8c8
8/8/2r2k2/8/R5K1/5P2/8/8 w - -,f3f4
2R5/8/8/5pk1/8/4K3/4B3/4r3 w - -,c8c5
r2r2k1/1p4pp/p1n2p2/2p1p3/7q/PPB1PP1P/1QP3PK/2R2R2 b - -,h4g5
r1bqr1kb/1pnnpp1p/p2p2pB/2pP4/P3P3/2N2N2/1PPQBPPP/R4RK1 w - -,h2h3
8/p2r3p/2pB2p1/1pP3RP/3k2P1/5K2/2b2P2/8 b - -,b5b4
8/4k3/R7/4pp2/8/2r1P3/5K2/8 w - -,f2e2
r4rk1/1pq1bppp/n2pbn2/p3p3/P3P1P1/1NN1BQ1P/1PP2P2/2KR1B1R w - -,g4g5
4r1k1/3Q1p1p/2Np2p1/3q4/8/1P6/6P1/6K1 b - -,e8e1
2r2rk1/p1qn1pp1/1p2p2p/1Pp1P3/P1P5/5BPP/4QP2/1R2R1K1 b - -,f8d8
rnbqk2r/ppp3bp/3p1np1/4pp2/2P5/2N1P1P1/PP1PNPBP/R1BQ1RK1 b kq -,c7c6:e8g8
r3r1k1/p4pp1/2p2q1n/4nP2/N2pPR2/7Q/PP5P/5BRK b - -,a8d8
rn3rk1/pp1qnpbp/2ppb1p1/4p3/2P1P3/2NPB1P1/PP2NPBP/2RQ1RK1 b - -,e6h3
4k2r/2q5/2b1p3/1pPp1p2/1B1P2p1/4P1P1/5RKP/rB3Q2 b - -,h8h5
r1bqr1k1/p3ppbp/1pnp2p1/8/2P1P3/2N1B3/PP1QBPPP/2R2RK1 w - -,f2f4:b2b3
5r2/1q2p1bk/rn1p3p/2pP2p1/4PB2/1P4PP/P1RNR1K1/2Q5 w - -,f4e3
2rrn1k1/1p3pb1/1q2p1pp/p3N3/PnB3P1/3PB2P/4QP2/1R1R2K1 b - -,b6d6
2r5/4p1kp/pqb2pp1/R1p1n3/1p2PP2/7P/Q1PNK1P1/3R4 b - -,c6b5
6Br/p7/1p4k1/1P3pp1/4p2p/2r1P1PP/P4P2/3RR1K1 w - -,d1d6
3r2k1/pp2rpbp/1q4p1/3pPb2/3N4/P5PP/1P2RPB1/3QR1K1 b - -,f5e4
1r2r1k1/4ppbp/p2p2p1/q2P1PBP/1pP5/1P1Q4/P1R3P1/5R1K b - -,f7f6
2kr2nr/p1q2pbp/1pnpB1p1/2p5/P3P3/2NP1N2/1PP3PP/R1B1QRK1 b - -,f7e6
2r3k1/4n1p1/1p1p2bp/1P1Pp3/4P3/2b2BP1/3B3P/1N3R1K b - -,c3d2
r2q1rk1/pb1nbppp/1p2pn2/2pp2B1/3P4/2PBPN2/PP1NQPPP/R4RK1 w - -,a1d1:d3a6
r5k1/3R4/pp4pp/3R4/2P5/1P3N2/Pb4KP/4r3 b - -,e1e2
5r1k/pb5p/4Q1p1/4P3/1P1pq3/8/P5PP/2R2B1K w - -,e6c4
r1bqr1k1/pp3p1p/3p2p1/2pPb2n/4P3/2N3PP/PP3PB1/R1BQ1RK1 b - e3,b7b5
r3k2r/ppp2pp1/1qb1p2p/4P3/5PP1/4Q3/PPP4P/2KR1BR1 w kq -,d1d4
r1b2rk1/1pq1bppp/p1nppn2/6B1/3NP3/2N2P2/PPPQ2PP/1K1R1B1R w - -,g2g4
1rbqnrk1/1p3pbp/p2p1np1/P1pP4/2N2B2/2N3P1/1P2PPBP/R2Q1RK1 b - -,f6h5
4r3/1p3k1p/1P4n1/1Q1pqpp1/4p3/4P2P/3N1PP1/1R4K1 w - -,b1c1
8/5p1p/8/4k1pP/2pbP1P1/3p1B2/1r1R4/2K5 b - -,b2b4
r1bqrbk1/1p3pp1/2n2n1p/p1pp4/8/PP1P1NPP/3NPPB1/1RBQR1K1 b - -,c8f5
3r2k1/p3ppb1/3p1np1/8/1PrBP1P1/P4P2/2P1N3/3RK2R b K -,c4c2
1n4k1/2R5/b5p1/r2P2q1/6Np/5P2/2Q1n1PP/7K w - -,c2b2
7q/pp2Q3/1kp1P3/3p2K1/8/P7/8/8 b - -,d5d4
5Q1R/q6p/p5pk/1p3p2/8/6PP/P4P1K/3r4 b - -,a7g7
3B4/1B6/3k4/4p3/1P6/7r/2K5/8 w - -,d8b6
rn2k1nr/1bqp1ppp/p2bp3/1p6/3NP3/2N2BP1/PPP2P1P/R1BQ1RK1 b kq -,d6e5
2r3k1/Q4p2/1p2p2p/3b2p1/8/P3qP1P/1P4P1/1B1R3K w - -,a7a6
3rrbk1/1b3p1p/2q1pPp1/1p1pP1PP/p3nBQ1/PP4N1/R1P3B1/5R1K b - -,d8d7
4k1R1/4qn2/p3p3/1p1pP2K/2pP2P1/2PnQN2/P7/8 b - -,e8d7
3r2k1/5pp1/2p5/1pP1P2p/pP5P/Pb1q1PPB/5Q2/4R1K1 w - -,f2e3
2r5/3b1k2/4p1p1/1pPP1p1p/1B1b3P/3B4/1pK2PP1/rR2R3 w - -,c5c6
r1rb1q1k/5p1p/2p1nNp1/1p1bP3/p2P2N1/P6P/1PB2PP1/2QRR1K1 b - -,d8a5
k3r2r/pp6/7p/1Q2pp2/q1P4R/2P3P1/P2R1P1P/6K1 b - -,a4a3
r1bq1rk1/1p6/p1pp1ppp/4n3/4PQnP/2N1PNP1/PPP1B3/2KR3R w - -,h1f1
8/5k2/2p1R2P/4p3/4K1P1/2r2P2/8/8 b - -,f7e6
8/8/8/6p1/8/4k2P/5p2/5K2 b - -,e3f3
8/5b2/3k4/ppp1pR1p/4P2P/P1P5/2K5/8 b - -,d6e6
1r3rk1/pbqnnpp1/4p3/2p1P2p/2PpN2P/3P1NP1/P3QPB1/1R2R1K1 w - -,f3g5
2r3k1/p4qpp/4p3/1PpnBp2/PPQ5/5P1P/6P1/3R2K1 w - -,d1c1
r6r/4k2b/2pnpp2/3p3p/P1pP3P/2P1PP2/R2NB2K/5R2 w - -,a2a1
3rr1k1/1p1n2bp/1p1P2p1/5p2/4p1P1/4B2B/PP3P1P/3RN1K1 b - -,e8e5
r1b1r1k1/ppp1B1bp/1n4p1/q3pp2/P3N3/2PB1N1P/5PP1/R2Q1RK1 w - -,e4f6
1r1b2k1/5pp1/4p2p/1Pqp4/8/1R2PNPP/5K2/1Q6 b - -,d8b6
2b2r2/5pkp/p1p3pn/2N1p3/P7/3PP1P1/1r1N1P1P/R4RK1 w - -,d2c4
r3nrk1/pp1bBppp/8/q2P4/8/3n1N2/P4PPP/R2Q1RK1 w - -,d1d3
3r2k1/pb2p1bp/1p6/1N2np1n/N1P5/B4PP1/PP1rBK1P/R2R4 w - -,d1d2
rnbq1rk1/ppn3bp/4p1p1/2p1P3/2BP1N2/2N2P2/PPQ3P1/R1B1K2R b KQ -,d8d4
8/2r3pk/7p/1p3p2/4p3/P1P4P/4RPP1/6K1 w - -,e2b2
r3k2r/ppqb2pp/1bn1pp2/3pn3/1P3B2/P1PB1N1P/4QPP1/RN3RK1 w kq -,b4b5
8/8/2p1k3/pp4P1/P4K2/1P6/8/8 w - -,f4e4
rnbq1rk1/1p2p1bp/2pp2p1/p4p2/2PPn3/P1N2NP1/1P2PPBP/1RBQ1RK1 w - -,c3e4
rnb2rk1/ppq1bppp/4pn2/8/3P4/1BN2N2/PP3PPP/R1BQ1RK1 w - -,d1e2
3r2k1/1B3p1p/5p2/p3p3/P2b4/1P4PP/4PP2/2R3K1 b - -,d8d6
2b1rrk1/p1p4p/1p1p1n2/3P2p1/2P1p2q/PNP1P2P/2Q3PK/4RRB1 b - -,g5g4
rnbqk2r/pp2bppp/3ppn2/2p5/4PP2/1PN5/PBPP2PP/R2QKBNR w KQkq -,f1b5
8/3b1k2/2p5/1pPp2K1/p2P3N/P1P5/8/8 w - -,h4f5
4k3/Rp2r2p/6p1/2PPb3/4R3/1P1K4/1r5P/8 b - -,b2b3
r3r1k1/1p1n1pp1/2p1pn1p/8/pPpPb3/2R1NNP1/P3PPBP/3R2K1 w - -,c3c4
r1bq1rk1/ppp1b1pp/2n1p3/1PPp1p2/Q2Pn3/P2BPN2/3N1PPP/R1B1K2R b KQ -,c6b8
2kr1b1r/ppp2pp1/1q5p/7n/2B5/2NP1Q2/PPP3PP/R1B4K b - -,h5f6
8/6k1/r7/P1p1p1pP/2P1P2K/1p6/5R2/8 w - -,h4g5
3r2k1/2q1n3/2p1P1p1/p2pbr1p/2P1Np2/1Q3B2/P4PPP/1R2R1K1 w - -,c4d5
rnbqr1k1/ppb2ppp/2p2n2/2Pp4/1P1Pp3/P1N1P1N1/4BPPP/R1BQ1RK1 w - -,f2f3
1k1r4/pp1n2Pr/1q1b1n2/3p1bNp/3P1B1P/2R5/PP1Q1PP1/4KB1R b K -,h7g7
r2k2Q1/1p6/8/3p4/8/6P1/1r2q1BP/2R4K b - -,d8e7
r5k1/pp3ppp/1r1p1n2/3b2N1/2PQ1P2/q1P4P/P1PK2P1/3R1B1R b - -,d5c6
7R/8/4r1p1/5nP1/1PK3k1/8/8/8 b - -,e6e4
5R2/8/8/4p1r1/4B3/1r3P2/4K3/6k1 w - -,e4d3
2rr2k1/pbqnbpp1/1pp1pn1p/8/2PPN3/PP1B1N2/1BQ2PPP/2RR2K1 b - -,f6e4
r1bqr1k1/ppp2pbp/1nn3p1/4p3/8/2NPBNP1/PP1QPPBP/R4RK1 w - -,a1c1
8/5Q1p/p4ppk/4q3/2P5/7P/3p2P1/7K w - -,f7f8
R7/2r1kppp/p3pn2/r1P5/4p3/6P1/4PPBP/2R3K1 w - -,h2h3
r3r1k1/pp1nppbp/2bp2p1/q7/3BP3/1BNQ3P/PPP2PP1/R3R1K1 b - -,g7d4
r5k1/pb3pBp/1qp1p1p1/2Rr4/3P4/5N2/PP1Q1PPP/2R3K1 b - -,g8g7
rn1qk2r/pbp1b1p1/1p1ppn1p/5p2/2PP1B2/2N1P3/PP1NBPPP/R2Q1RK1 b kq -,g7g5
r2r2k1/pp3pbp/5np1/1PPpBqn1/3Pp2P/P1N3P1/5PK1/1R1Q1RN1 b - h3,g5e6
8/3nkp2/3b2p1/pp1P3p/3B1P2/2P2K1P/P1B3P1/8 w - -,a2a4
r1bq1rk1/p3bpp1/2p1p2p/1p6/3P4/3BPNP1/PP3PP1/2RQ1RK1 b - -,c8b7
r3k1nr/ppp1qppp/2nP4/1B1p4/8/1P2P3/PBPP2PP/RN1bK2R w KQkq -,d6e7
5r2/2R2pkp/6p1/8/P6n/8/B4PP1/4R1K1 w - -,c7f7
2r2k2/R1p2ppp/8/3PP3/8/8/1P4PP/5K2 b - -,c8d8
b1rqr1k1/p4ppp/P4n2/1Pp5/2P1P3/3RB3/2Q1N1PP/5RK1 b - -,d8e7
r1bqkbnr/ppp3pp/2np4/4pp2/4P3/2PP1N2/PP1N1PPP/R1BQKB1R b KQkq -,g8f6
r3r1k1/pp3pbp/2p1b1p1/q1B1P3/P1pQPPn1/2N3P1/1P4BP/R4RK1 w - -,h2h3
6k1/4n1p1/1p3p1p/2p1pb2/1pP3P1/1Pr1PB2/P4P1P/2R2NK1 w - -,c1d1
3k4/pr5p/1p2p3/3pPp2/1K1P2p1/6P1/5P1P/1R6 b - -,b7c7
r4rk1/1bqp1ppp/1b2pn2/p7/Pp2PP2/1N1BB3/1PP1Q1PP/R4R1K b - -,b6e3
8/1r3ppp/2k1p3/R1P5/5P2/4K3/6PP/8 b - -,c6d5
r1bqkb1r/1pp2ppp/p4n2/2p5/3NP3/8/PPP2PPP/RNBQ1RK1 w kq -,d4b3
1rr5/Bb1nkpp1/p3p3/4P2p/2B2P2/8/P5PP/1RR3K1 b - -,b7e4
r4rk1/3pb1p1/p1b1pp1p/4Pq2/3N4/8/PP1N1PPP/2RQR1K1 b - -,f5d3
2r2rk1/4pp1p/p2p2p1/4q3/4P2P/1P2R3/PQ3PP1/3R2K1 w - -,b2e5
r1bq1rk1/p1p3pp/1p1ppn2/5p2/2PPP3/2QB4/PP1N1PPP/R4RK1 b - -,f5e4
8/k1p5/r7/8/R7/8/1b2K3/8 w - -,a4c4
r2r2k1/pp4pp/2p2p2/2n5/2BRPP2/PbN1K3/1P4PP/R7 b - -,b3c4
8/3b2R1/p2P1r2/1p5B/8/P4k2/1P3B2/6K1 b - -,f3e4
2kr2r1/ppp4p/8/1Nbq4/P4Q2/5P1P/1PP4P/R4R1K b - -,d8d7
1rq4k/pp2p2p/4P1p1/2pBbr2/2P1Q3/2P5/P4P1P/1R2R1K1 w - -,b1b7
8/4npk1/8/3pP1pp/p7/1pPN1P2/1P1K2PP/8 w - -,d3c5
8/1P1n4/5k1p/8/4K3/8/8/8 w - -,e4d5
8/p2R4/1p2r3/4p3/1P1p4/5K2/P1k5/3R4 w - -,f3e2
1rq5/1r1nkb2/2p1p1p1/2Pp1p1p/PP1Q1P1P/3N1PP1/1RB3K1/1R6 w - -,b4b5
r2k1b1r/pp1npppp/5n2/2P2PB1/8/5P2/PpP3PP/1R2KBNR w K -,c5c6
6k1/4ppb1/3p2pp/2nP4/2N1B3/7P/4RPP1/r1B3K1 w - -,g1h2
r3r3/pbqn1pkp/1p1R2p1/2p5/2P5/5NP1/PPQ2PBP/R5K1 w - -,a1d1
2b3k1/p4pb1/6p1/2N1p2p/1P2P3/P1B2PPP/3Q3K/5q2 w - -,d2g2
r2q1k2/1p2ppbp/3n2p1/p2p4/P2P1BP1/2P4P/1P1Q1P2/R3R1K1 w - -,f4h6
r1b2rk1/pp1n1p1p/3Ppqp1/2p5/4P3/2P2N2/P2QBPPP/R3K2R b KQ -,b7b6
r1b2rk1/1p1nppbp/1n4p1/p2P4/Pq6/1QN1BN2/1P2BPPP/2R1K2R w K -,b3a2
r1bq1rk1/1p3ppp/3p1n2/p2Pp3/1nP1P3/R5P1/1P2NPBP/1N1Q1RK1 w - a6,h2h3
3r2k1/1p1r1bp1/p6p/R7/5PP1/4N3/1R3K1P/8 w - -,f2e2
r3k2r/1bqn1pp1/3ppb1p/p1p3B1/1p2P3/3P2PP/PPP2PB1/R1Q1RNK1 w kq -,g5f6
1kb2Q2/1p3p1P/3N4/3pP3/3P4/p5P1/3q1P2/2r2RK1 b - -,a3a2
r2qk1nr/1bpnppbp/3p2p1/p7/Pp1PP3/4BP2/1PPQB1PP/R2NK1NR w KQkq -,c2c3
1Q6/5ppk/5b1p/p2b4/1P6/4PP1P/6PK/2r5 w - -,b4a5
1r3rk1/1b2bppp/1qp1p3/ppp1P3/P1P1N3/1P1P1N2/4QPPP/R3R1K1 b - -,f8d8
r7/3K4/1p3Ppk/p5Np/2P4P/1P6/P7/8 b - -,a8a7
6k1/5ppp/nB1rpq2/1n1bN3/2p5/7P/1P1QBPP1/R5K1 w - -,e5g4
2rk1b2/p5pp/1p6/5pn1/2NB4/1P2PP2/P2R2PP/5K2 b - -,d8e7
2rq1rk1/4bp1p/p3b1p1/1pp3P1/4P1NP/P1PP4/5P2/R1BQK1R1 b Q -,e6g4
r2q1rk1/1pp1bppp/4bn2/p1P1p3/1nQpP3/P5P1/1P1P1PBP/RNB1NRK1 w - -,c4e2
rnbq1rk1/p1p2ppp/1p2pn2/8/1bpP4/2N1PN2/PP2BPPP/R1BQ1RK1 w - -,e2c4
4r1k1/2p1b1pp/1p2p3/p3Rr2/N1P2p1P/2B2K2/PP4P1/3R4 b - -,f5e5
8/4p1k1/1q1pPpp1/r1pP3p/8/rP4PP/P1RRQP2/6K1 w - -,g3g4
1rb1k2r/2qn1ppp/p3p3/2bpP3/2p2P2/2N5/PPP1BBPP/R2Q1R1K w k -,f2g3
8/5kp1/nBp4p/p1Pp1p2/P4P2/2p5/1P4PP/1K6 w - -,b2c3
4k2r/5ppp/pq2p3/4P3/P2R1B1P/2p3Q1/2P2PP1/1K6 w k -,b1c1
1R6/1pr2bk1/5p2/3B1Pp1/p1p3P1/1r6/1P1RPK2/8 b - -,b3b2
rnbqkb1r/pp3ppp/3p1n2/2pPp3/2P1P3/2N2N2/PP3PPP/R1BQKB1R b KQkq e3,f8e7
5k2/5pp1/6r1/2PP4/3K3p/P2N4/1P6/8 w - -,c5c6
8/pp1nk2p/2pb1np1/5p2/1P6/PBBN1PP1/2P1K2P/8 w - -,c3d4
r5k1/p2nppb1/4q2p/1Q1p4/2rP1BP1/2N1PP2/PP6/2KR3R b - -,d7b6
rr6/2pb1pk1/3p1qp1/2pP4/P1PbPP2/R4Q1P/8/3BBK1R w - -,a4a5
r1bqr1k1/1p2bppp/4nn2/p1ppN3/3P4/P1N1PP2/1PB3PP/1RBQ1RK1 b - -,d8b6
2r2bk1/1r1q3p/pp1p2p1/4p3/PRP1P3/4B1P1/5P1P/2R2QK1 b - -,a6a5
r1b2rk1/2qn1ppp/pp2Pn2/2p5/P1B5/2b1PN2/1P2QPPP/R1BR2K1 b - -,c3b4
4r3/1p1b2kp/2p3p1/p1np4/P2R1PP1/2N2BP1/1PP2K2/8 w - -,b2b3
r3k1nr/1pq2pbp/p1bp2p1/2p5/4PB2/2NP1N2/PPP3PP/1R2QR1K b kq -,e8c8
2rr2k1/p2nqppp/bpp1pn2/3p4/2PP1P2/NQ2PN2/PP3PBP/2RR2K1 w - -,b3a4
8/8/P7/8/4pp2/5k2/r7/1R2K3 w - -,b1b6
5k2/7r/3p1r1q/p3pp2/1pP2P2/1P2Q3/P3R1B1/5RK1 b - -,f6g6
2r4r/1bqn1k2/pn3pp1/1p2p2p/2p1P3/2P1NN2/PPB1QPPP/R3R1K1 w - -,a1d1
rn1qk2r/pbppbpp1/1p2pn1p/6B1/2PP4/2N2N2/PPQ1PPPP/R3KB1R w KQkq -,g5h4
r1bqr1k1/pp4bp/2nPp1p1/2p5/6n1/2N2N2/PP2B1PP/R1BQK2R w KQ -,e1g1
2r5/1p4kp/1q2p1p1/p3P1N1/3p1P2/P2Qb3/1P4PP/5R1K w - -,h2h4
r1bq2k1/p4pp1/2p2n2/1pQ1pNN1/4Pn2/1P5P/P1P2PB1/4R1K1 b - -,c8f5
rn1q1rk1/pp2bppp/2pp1n2/4p3/2PP4/2N1BP2/PP2BPPP/R2Q1RK1 w - -,a2a3
3rr3/pPb5/P1P1k1p1/5p2/4p2p/7P/4KPP1/1RR5 w - -,c1d1
8/1p2rk2/2n1p1p1/p1b4p/2N1RB2/PP4P1/5PK1/8 w - -,f4d2
4r3/3k2P1/6K1/5R2/8/8/8/8 w - -,g6h7
2r5/p7/1bp1pk1p/8/4R2P/4P3/PP3P2/5K2 b - -,e6e5
2kr3r/pppb2p1/3b1p2/7p/3BB2P/8/PPP2PP1/2KRR3 b - -,a7a6
r1brk3/pp3pbN/B1p3p1/4P3/3P4/4B2P/P4PP1/1R3RK1 b - -,b7a6
6r1/7k/7p/1PpPQp1q/p3p2r/1P3P2/R5P1/R4BK1 b - -,h4h1
4k1rr/p1pq2pp/1pn1p2n/3pPp1P/3P3Q/P1P4N/2P2PP1/R1B1K2R w KQ -,e1g1
r1br2k1/1p3pp1/pq1ppb1p/8/4PP2/1NN5/PPPQ2PP/2KRR3 w - -,g2g4
1rbq1r1k/7p/p1np2p1/1p1NpPb1/6B1/2P1N3/PP3PPP/R2Q1RK1 b - -,g6f5
4r3/5R2/p6p/3P3P/1p5k/1P6/3rBK2/4R3 w - -,e1h1
r3k2r/2pqnp2/pp1p1bpp/3Pp2n/2P1P3/N2QB3/PP1N1PPP/R4RK1 w kq -,b2b4
8/1r3pk1/3b2p1/7p/7P/6P1/2R1N1K1/8 b - -,b7b3
r4rk1/pbp1q1pp/1p1p4/3Pn2n/2P2p2/P1Q2P2/1P1BBNPP/R4K1R w - -,f2d3
Q7/4nkpp/pr2q3/1p3p2/3B4/6P1/P1r1PP1P/R2R2K1 b - -,b6d6
r1b1rnk1/pp2qp2/2pp2p1/6Pp/1PPQPP2/2N5/P3B2P/R5RK b - -,a7a5
