8/1n2K3/2kP4/2B1N2p/3P3P/8/6r1/8 b - -,c6d5
5bk1/5p1p/p5p1/8/1q6/5NPP/3Q1P1K/8 w - -,d2a2
r1bq1rk1/ppp2ppp/2nb1n2/8/2NPp3/8/PPP1BPPP/RNBQ1RK1 w - -,c2c3
r1q1r1k1/p2n1ppp/bp2p3/1N1p2B1/Q1PPn3/P7/1P2BPPP/R3K2R w KQ -,g5f4
6k1/6pp/p3p3/1p1rRp2/1nr5/5P2/1P3P1P/1B1R2K1 w - -,d1e1
3rk2r/1bqnbppp/4pn2/pp6/3pP2P/3P2P1/PP1BQPBN/2R1RNK1 b k -,c7b6
5rk1/p1p3pp/bn2p1q1/2p5/2P2PBQ/2Br2P1/P6P/2R1R1K1 b - -,a6c4
r2q1rk1/1b1n1pbp/2p1p1p1/pp1nP3/3P1PP1/1P1N3P/1BN1Q1B1/R4RK1 w - -,f4f5
r3r1k1/1ppb1p1p/3p2p1/2nN2q1/p1PQP3/8/PP2B1PP/R2R2K1 b - -,c5e4
r2r2k1/ppn3p1/2p2q1p/8/1PPpBPb1/PN4P1/2Q4P/3R1RK1 w - -,d1d2
r1b2rk1/pp3ppp/2Pb1nq1/2n5/Q3p3/2N1N1PP/P2PPPB1/R1B1K2R w KQ -,a4d4
r1bq1rk1/ppppnpbp/2n3p1/1B1P4/4P3/5N2/PP3PPP/RNBQ1RK1 b - -,c6e5:c6b8
r1bq1rk1/2pn1pbp/p2p2p1/8/Pn1PP3/3BBN1P/4NPP1/R2QR1K1 w - -,a4a5
r2r1bk1/p2q3p/bp2p1p1/1N1pPp2/P2PnP2/4B1P1/1P5P/2RQRB1K w - -,c1c7
8/p2n1k2/3r2pp/5p2/8/1PN2P1P/P5P1/4R1K1 w - -,g1f1
8/5B2/5p1p/p1k3pP/P7/1P3KP1/1r3P2/8 w - -,g3g4
8/8/8/2pk4/P1R4p/1P6/5K1r/8 w - -,f2g1
2r5/4kp2/pp2p1p1/2nq2P1/5Q2/P1n2N2/1P5P/1K1RR3 w - -,b2c3
8/2R2pk1/4p1p1/8/5rPp/7P/5PK1/8 w - -,c7a7
rnbqkb1r/ppp1p2p/3p1np1/5p2/2PP1B2/5N2/PP2PPPP/RN1QKB1R w KQkq -,b1c3
r5k1/p1pr1pbp/1p2bnp1/1N2p3/4P3/4B2P/PPP1BPP1/R2R2K1 w - -,d1d7
r4rk1/1bq1bppp/ppnpp3/2n5/P3PP2/1N2BBN1/1PPQ2PP/R4RK1 b - -,a8d8
2rq1rk1/3n1pbp/2npp1p1/p1p5/Pp2P3/1BPPBQ1P/1P1N1PP1/2R1R1K1 w - -,f3e2
1r2r3/1p1k4/p1pPp2p/2P2ppn/2BP1P2/4P2P/1P2K1P1/R6R w - -,e2f3
rq6/5p1k/3p1Ppp/1p1Pb3/1Qp1P3/7P/1PB2RP1/r4R1K b - -,b8b6
1rr5/3k1ppp/3b4/1P2p3/4n3/1R4P1/3PPP1P/BR4K1 w - -,b3d3
2q3k1/3b3p/4p2p/pPQpP1bN/P2P2B1/6P1/6KP/8 b - -,g8f7
2rr2k1/1p1q2bp/p1pPpnp1/1P2p3/P3P3/B1NQ4/5PPP/2R2RK1 b - -,a6a5
r1bq1rk1/p4pp1/2p2n1p/3p4/1b6/3B1Q1P/PPP1NPP1/R1B2RK1 b - -,b4c5
2r3k1/1p2bqp1/3pbr2/p3p3/P3P3/1NN1QPR1/1PK4P/3R1B2 b - -,e6b3
r2qk1nr/ppp1ppbp/2np2p1/8/2PPP1b1/4BN2/PP2BPPP/RN1QK2R b KQkq -,g8f6:e7e5
rnbqk2r/1p1p1ppp/4pn2/p1p5/1bPP4/5NP1/PP1BPPBP/RN1QK2R b KQkq -,b8c6
r1bq1rk1/1p2bppp/p2ppn2/8/PnBNP3/2N1B3/1PP1QPPP/R4RK1 w - -,a1d1
r1b1kb2/pp2pp2/2p2B1p/2P2r2/qPBPp3/1R2P3/3N2PP/3Q1RK1 b q -,e7f6
1r1q1rk1/p2nppbp/2ppb1p1/8/Q1P1P3/2N3PP/PP3PBK/R1B2R2 w - -,c3e2
8/7p/p1p3kB/1pPp2p1/1P1P4/4K3/P7/8 w - -,h6f8
8/6kp/4p3/p2p1pp1/1r6/4P2P/PPR2PP1/6K1 w - f6,b2b3
3R2k1/4qpp1/p4n1p/1p2b3/4p3/PQ2P1P1/1P3PBP/1N4K1 b - -,e7d8
8/8/2p5/Rb1p1kp1/1B1P4/2P2PK1/4r3/8 w - -,a5a7
6k1/p3rpp1/5b2/8/3N4/4P3/PP1B4/5R1K w - -,h1g2
6k1/1p4p1/p3b2p/2P2N2/1P6/P6P/2Q2PP1/q5K1 w - -,g1h2
r3r1k1/p2q1pp1/1pp2bn1/3p4/1P3Bp1/1NPPP1P1/1PQ2R1P/R5K1 b - -,g6e5
r6r/p1k5/2p1pb1p/1pP2pp1/2NP4/1P4P1/1P3P1P/3R1RK1 w - b6,c4d6
8/r3k1b1/p2ppp1r/1p2q2B/4bN2/8/PPP3PP/1K1RQR2 w - -,e1g3
5b1r/Q2nkppp/1p2p3/2q5/3R1B2/6P1/PP3P1P/6K1 w - -,d4d7
1r3rk1/1q1bb2p/1p1p1pp1/pP1Pp3/P3PP2/Q2BB2P/6P1/2R1R1K1 w - -,f4e5
r1bq1rk1/pp2bppp/2n2n2/3p4/1P6/P1N1PN2/1B2BPPP/R2QK2R b KQ -,h7h6
5rk1/5p2/2p4r/4n3/NR6/7P/1P4P1/2R3K1 b - -,h6g6
6k1/p7/3p2Bp/1rpP2pP/5bR1/5K2/P1R2P2/4r3 w - -,c2c4
r4rk1/p6p/b1pp2p1/5p2/2Pq4/2N5/PP3PPP/3RR1K1 w - -,d1d4
r2q1rk1/5ppp/2p1p3/pP1p1b2/3P4/BQ4P1/3bPPBP/R4RK1 b - -,c6b5
4rbk1/5p2/2rP3p/p2n2p1/P7/2P2NNP/5PP1/R3R1K1 b - -,e8e1
r2q1rk1/1bn1ppbp/p2p2p1/1p2n3/2PNPP2/1PN1B1PP/P5B1/1R1Q1RK1 b - f3,e5d7
r4r2/p2nqpkp/bp2p1p1/2pn4/3PN3/1P3NP1/P2QPPBP/2R2RK1 b - -,a8c8
k6r/8/1Qr1pq2/2P4p/3P4/P3pP2/1K5P/3R4 w - -,b6c6
r2qr1k1/3n1pp1/p2p1b2/1p1P3p/P2B1P2/2P4P/1P4B1/R2Q1RK1 w - -,d4f2
3rr3/ppp3kp/1nn1bpp1/1B6/1q2P3/1PN1QN1P/P4PP1/R3R1K1 b - -,e6d7
6r1/p1pb1k2/1p1p3b/1P1P2q1/P5p1/2BPPnQP/8/4RR1K w - -,h3g4
2r1b1k1/4b1p1/p3p3/1p1pN2p/3P3q/2P2R2/P1BQ2PP/6K1 b - -,e7g5
1r6/3k1pp1/1pnppn1p/8/r1PP4/5N1P/2R2PP1/1R3BK1 w - -,c4c5
r2qk1r1/pp1nbp1p/2p3p1/3pPpPP/2PP1P2/4B3/PP1QNK2/R6R b q c3,d5c4
r3r1k1/p4pb1/8/2pP1p2/1n2pPpq/NQ2B3/1P2B1P1/R4RK1 b - -,g4g3
rn2k2r/p2bpp1p/3p1p1b/2pP4/8/2BB2N1/PPP2PPP/R3K2R w KQkq -,e1g1
r4rk1/pp1nppbp/3q2p1/2pP2B1/4P1b1/2P2N2/P3BPPP/2RQ1RK1 b - -,e7e6
2r2r1k/1b1n2bp/p1pq1np1/1p1pNp2/P2P1P1B/1Q2PB2/NP4PP/2R2RK1 b - -,f6e4
r1bq1rk1/1p2bp1p/2n3p1/3p4/p2P4/P2B1N1P/1PQB1PP1/R4RK1 b - -,c8d7
b3k3/3n4/p1p2n2/1p4Bq/4PQ2/2N5/PPP4P/2KR4 b - -,f6h7
r1b2rk1/p3bppp/2p1pn2/q5B1/8/3B1N2/PPP2PPP/R2Q1RK1 w - -,d1e2
2rqk2r/pp1nbppp/2p1p1b1/P2pPn2/2PP4/1N3N2/1P2BPPP/R1BQ1RK1 b k c3,e8g8
8/5kb1/p5p1/5p2/6P1/7P/Pp1NK3/8 b - -,f7e6
2r2nk1/4rp1p/pq1p2p1/1P1P4/1P2P3/3B1R2/6PP/1Q3R1K b - -,a6b5
8/1qB2k1R/1P2b3/6R1/3Pp3/1B2PpP1/5P1K/5r2 b - -,f7f6
8/p1k3pp/1pp5/8/3P4/2P5/PP2K2P/8 w - -,e2f3
r1bq1rk1/p3ppb1/6pB/1p1P4/2n5/5NP1/P4PBP/R2Q1RK1 w - -,h6g7
3qr1k1/1R5p/6p1/p1Q5/2P5/P4PP1/7P/7K b - -,d8d1
2r2bk1/1p3ppp/2p1b2q/1PP4P/3B4/4PQR1/p4PP1/R5K1 w - -,e3e4
r1b1k2r/ppq2ppp/2n1p3/3pPn2/3P2Q1/P4N2/R1P2PPP/2BK1B1R b kq -,e8g8
8/4k2p/4p1p1/p1r1N3/r4P2/5B1P/6P1/4R1K1 b - -,a4a2
r2q1rk1/pbp1bppp/1p2pn2/8/3P4/3B1N2/PPP1QPPP/R1BR2K1 w - -,c2c4
8/3QNkp1/q6p/2P4P/8/p1P2nP1/5PK1/8 b - -,f3e1
8/5R2/4p2p/4k1p1/1P2r3/7P/6PK/8 b - -,e4b4
8/p2kr1pb/2n4p/8/R7/1P3NRP/P2K1PP1/1r6 b - -,b1b2
6k1/R5p1/p4p1p/5P2/r3P3/6PK/7P/8 b - -,a4e4
1kr1r3/pp1q2p1/4p2p/3pP3/2nN4/P1P4Q/5PPP/1R2R1K1 w - -,b1a1
3r2k1/3r1ppp/pp1pp3/2q5/PnP1PP2/1PNR2P1/4Q1KP/3R4 w - -,d3d2
6k1/2b2pp1/p7/1p6/4q1pP/2Pr4/PPN2QP1/2K1R2R b - -,e4g6
r1bqk2r/pp2ppbp/1n1p1np1/3P4/2PB4/2N5/PP3PPP/R2QKBNR w KQkq -,g1f3
r2q1rk1/3bppbp/3p2p1/1Np5/2P1n3/P1N1B2P/1PQ2PP1/R3R1K1 b - -,e4c3
8/1n2k3/4P3/4K2p/1p1N3P/8/8/8 b - -,b7d8
8/8/2P5/pR3p1p/4p1k1/1P4P1/3K1r2/8 w - -,d2c3
8/p7/6rp/1kPK4/5RP1/8/P7/8 b - -,g6g5
8/4k3/8/3P4/3N2b1/4r1p1/P2R2P1/4K3 w - -,d2e2
3Rr1k1/1q2rpp1/2pQ3p/1pP1P3/4PP2/6P1/7P/3R2K1 w - -,d1d3
3r3k/pp4pp/5nq1/2P5/2BB1Q2/P6P/8/7K w - -,c4e2
8/8/2n1k1p1/pp3pp1/P2pK1P1/1P5P/8/2N5 w - -,e4d3
5bk1/1R3p2/7p/3n2p1/3P4/4B2P/5P2/6K1 w - -,b7b5:b7d7
r2qr1k1/pp1nbpp1/2p1bn1p/3pN3/3P3B/2NBP3/PPQ2PPP/4RRK1 w - -,f2f4
r5k1/pp2B2p/bn1R2p1/2N2p2/P2Pp3/8/5PPP/6K1 b - -,g8f7
8/1p3pR1/1K6/P7/P3P2k/1r4p1/8/8 w - -,b6c7
r2qkbnr/pp3ppp/2n1p1b1/1B1pN3/3P2P1/2N4P/PPP2P2/R1BQK2R b KQkq -,a8c8
rnbqrbk1/ppp2p2/3p1n1p/6p1/3NP3/2N3B1/PPP1BPPP/R2QR1K1 b - -,f6e4
6k1/5p2/3P2p1/2p2q2/3b4/3R2PP/2Q2PK1/8 b - -,f5d5
1Q2bq2/1r2k3/1Pp1p1p1/2Pp1p1p/3Q1P1P/3B1PP1/N5K1/1R6 b - -,b7b8
r1bq1rk1/pp1nbppp/2n1p3/2ppP3/3P1P2/P1N1BN2/1PP3PP/R2QKB1R w KQ -,d4c5:f1d3:d1d2
r2qr1k1/pbpp1ppp/1pnb1n2/4p3/N1P4N/P2P2P1/1P2PPBP/R1BQ1RK1 b - -,a7a6
r1bqk2r/3nppbp/pp1p1np1/2pP4/2P1P3/2N1BP1N/PP2B1PP/R2QK2R b KQkq -,d7e5
2r2rk1/1p3bbp/p1q2np1/P3p3/1R2P3/2N1BB2/1PP4P/3Q1RK1 b - -,f7c4
1kr5/5ppp/1p6/8/1b1PB3/2p3P1/5P1P/1R4K1 b - -,c8c4
1r1q1rk1/pp2npbp/4b1p1/3pp3/1RP5/2NP2P1/P3PPBP/2BQ1RK1 w - -,c4d5
r1q1r1k1/2pn2p1/p1p4p/1p2p3/2PB1P2/3R4/P3Q1PP/5R1K w - -,f4e5
2rr3k/4nq1p/R3n1pb/1p2Pp2/1P1p1P1P/2pP1Q1B/2P1NB2/6RK b - -,c8c7
8/2p1k3/p1p5/P3p1Rp/1r2P3/3K1P1P/5P2/8 b - -,b4b5
1q2r1k1/4rpp1/5nn1/pPp1P3/Npp2PPp/1P5P/6B1/1Q2RR1K w - -,b3c4
2r3k1/p3pp1p/1p1p1bp1/r7/PR2PP1P/7Q/6P1/6K1 b - -,c8c1
3nn3/2pbkp2/1p1p1b1p/3Pp1pP/BPP1P1P1/2N1BP2/8/6KN b - -,d7a4
2bn2k1/1p3pb1/7p/1R2P1p1/3NBp2/5N1P/2P2PPK/r7 w - -,b5c5
2k1r1b1/1pp4r/2pb1Bp1/p3p2p/4P1PN/2P3KP/PP3P2/R2R4 b - -,g8e6
r1bq1rk1/1p1nbppp/2pp1n2/p7/P1BQP3/2N2N1P/1PP2PP1/R1B1R1K1 b - -,d7c5
r2r2k1/1p3p1p/3p2p1/p1n3P1/2Pb1P2/1P6/P2BB1KP/3RR3 w - -,e2f3
4r1k1/1p2qppp/r2p4/2p5/b1P1n3/P2BP2P/1B3PP1/R1Q2RK1 w - -,f2f3
1knrr3/pp2bppp/q2p4/PN6/2P2P2/4B3/1P2Q1PP/R2R2K1 w - -,e2d3
5bk1/rr1n4/p2p4/2pPp1pp/2P1Pp1n/5P1P/P3BNP1/1RR1B1K1 w - -,e2d1
r2q1rk1/1p1nbp1p/p1p2np1/3p1p2/2PP1B2/4PN1P/PPQN1PP1/R4RK1 w - -,f1c1
r2qkb1r/1b1n1ppp/p2ppn2/8/Pp1NP3/6P1/NPP2PBP/R1BQR1K1 b kq -,d8c7
rnb2rk1/1pp2qpp/3p4/p2P4/3NB3/P3P1PP/1PQ1P3/R3K2R b KQ -,b8a6
1r3rk1/p1n1q1bp/2npppp1/2p2P2/P2PP3/2P1B1PP/3Q1R2/R2N1BK1 b - -,g6f5
r1N5/p2p4/k2N3p/1pp5/3b1B2/8/PPP1BPPP/2KRR3 b - -,d4f2
1R6/4k3/8/1K1B2p1/1PP5/8/3b1q2/8 w - -,b8b7
rnb1k2r/1pp2pb1/p2ppq1p/6p1/2BPP3/2N5/PPPQNPPP/R3K2R w KQkq -,e1g1
5rk1/pp3rbp/1q2p1p1/3p2B1/2n5/1N5P/PP2QPP1/1R1R2K1 w - -,g5e3
r4rk1/pbq2pp1/1p1bn2p/2p1p3/4P1QP/2P3P1/PP1N1PB1/R1B1R1K1 b - -,b7c8
1r3rk1/1p3pbp/2n1b1p1/4p3/R1P5/6P1/2N1PPBP/2Bq1RK1 w - -,f1d1
2q1r1k1/1p2brp1/p4P1p/P6b/R1Np3P/1P1P2Q1/2P3P1/5RK1 b - -,f7f6
r1b2rk1/8/p1p1pqPQ/8/3n1P2/2N5/PPP1B3/2KR3R b - -,f6f4
5bk1/2p2p1p/2p3p1/p1r5/5P2/2P1N2P/1P3KP1/R7 b - -,f8d6
rnbqkbnr/p1pp1ppp/1p2p3/8/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq -,d7d5
8/3k4/1R6/3p4/P1bKp3/2P5/8/8 b - -,d7c7
6rk/6p1/2PB1n2/1p1p1B1p/p1b4P/P1P1rP1K/6P1/R5R1 b - -,g7g6
r2qk2r/ppp1nppp/2nbb3/3p4/3P4/2PBB3/PPQ2PPP/RN2K1NR w KQkq -,b1d2
2br1rk1/1p3pb1/p1pp2pp/1P6/2P1P3/2qN2PP/P1QR1PBK/1R6 b - -,a6b5
2r3k1/3n1p1p/1p2p1p1/1N1p4/p2P4/P3P1B1/1b1RKPPP/1Rr5 b - -,b2c3
2r4k/6qP/p4Q2/1p4p1/4N3/6P1/PP3P2/1K2n3 w - -,f6e6
2r1r3/p4pkp/1p2pnp1/3pP3/P7/1BP2P2/1P4PP/R3R2K b - -,f6d7
r1b1kbnr/pp4pp/1qn1pp2/3pP3/2pP4/P1P2N2/1PB2PPP/RNBQK2R b KQkq -,c8d7
r1b1k2r/1pqp1pbp/p1n1p3/5p2/3N4/1NP3P1/PP2PPBP/R2Q1RK1 b kq -,f5f4
q5k1/5pbp/3pb1p1/8/1P6/3B1P2/2N1Q1PP/6K1 w - -,f3f4
6R1/8/pk6/1n6/3r4/1K6/8/8 w - -,g8g1
2n5/3R4/4pk1p/6pP/4K1P1/5P2/8/8 w - -,e4d4
6k1/p4p1p/2n5/2r2N2/P3P3/2p3P1/7P/2R3K1 w - -,g1f2
r5k1/5p1p/r1p3p1/3p4/1R1P4/P7/5PPP/R5K1 w - -,a3a4
8/4r1kp/6p1/1BPq4/1p1Pp3/4Q1PP/P7/6K1 w - -,e3d2
8/1p5p/1k4p1/4p3/3bPp1P/rP3R2/2R5/3K4 w - -,f3d3
2rr2k1/5pp1/1q1p1n2/1p1NpQ2/4P3/1P6/P4PP1/2RR3K b - -,f6d5
r2r2k1/p1p1Bpbp/6p1/1p2P3/3Pq1n1/1PQ2NP1/P4PKP/R4R2 b - -,d8d7
rn1qkb1r/pp2pppp/5n2/1Bpp4/3P2b1/1P2PN2/P1P2PPP/RNBQK2R b KQkq -,b8c6
rb1qk2r/1p3ppp/p1n1pn2/3P4/2p5/Q1N4P/PP2BPP1/R1BR2K1 b kq -,e6d5
r1bq3r/pp1pkppp/2nNpn2/8/4P3/2N1P3/PPP3PP/R2QKB1R b KQ -,a7a6
r4r2/1p1b2kp/2ppq1p1/p7/5R2/2PPQ1P1/PP4BP/2KR4 w - -,e3d4
4R3/7r/5pkr/3p2p1/3Pn1P1/P3PN2/1P3PP1/2R2K2 b - -,e4d2
7k/q6n/p1p2P1Q/P5rb/1pB1N3/4KP2/1PP5/3R4 w - -,d1d4
8/5p2/8/1p6/4k3/P1K5/1P5P/8 w - -,c3d2
r1bqr1k1/pp3ppp/1bn5/3N4/2Np4/6P1/PP2PPBP/2RQ1RK1 w - -,c4b6
2rr2k1/2q2pbp/p4np1/4p3/1n2P3/1bN1BB2/1PP2RPP/2R1Q2K w - -,c2b3
r1bqk1nr/ppp1npbp/3p2p1/3Pp3/2P1P2P/2N3P1/PP3P2/R1BQKBNR b KQkq h3,g8f6
3qk2r/pb2bp2/4pnpp/2p1N3/8/1PN1B1Q1/P1P2PPP/3R2K1 b k -,d8b8
8/6k1/5pp1/N3p3/1pB4p/1P5r/3B1P2/1b4K1 w - -,c4f1
rn1q1rk1/ppp1bppp/5n2/3p4/3P2b1/N1P2N2/PP2BPPP/R1BQ1RK1 b - -,b8d7
2r3k1/6p1/1pnb2q1/p1pBp3/P1P3Pp/2P1B3/1P2Q2P/3R2K1 b - -,g8h8
r2q1rk1/1ppb1ppp/3p1n2/p1nPp3/2P1P3/6P1/PPQNNPBP/R4RK1 w - -,e2c3
r1b2rk1/1p2qpbp/2p2np1/p1n1p3/2P1P3/2N1BNPP/PPQ2PB1/R4RK1 w - -,e3c5
1k6/1bp1qp2/pn1pp1p1/1p4Pr/3PPQR1/1PNB1P1r/PKP5/3R4 w - -,d1g1
r2q1rk1/1p1nbppp/2p1pn2/8/p1PPN3/1P1Q1N2/PB3PPP/R2R2K1 w - -,f3e5
r2r2k1/1bqnbpp1/pp2p2p/2p1P3/Pn3B2/2NBQ3/1PPN1PPP/R2R2K1 b - -,d7f8
8/2nk4/3pp2p/r5p1/3N4/P7/1P3PPP/R2R2K1 w - -,b2b4
8/7p/6p1/5kP1/5b2/pK5P/8/2B5 w - -,c1a3
8/1R5p/p5pk/r4p2/8/4P2P/5PP1/5K2 b - -,a5a2
rnbqkb1r/1p2pp1p/p1p2np1/3p4/P1PP4/2N2NP1/1P2PP1P/R1BQKB1R b KQkq -,f8g7
5rk1/2r2p1p/p1pRbn2/1p2p1p1/4P3/P1N2BP1/1PP2P1P/3R2K1 w - g6,f3g2
rnbq1rk1/ppp3pp/4pb2/3p1p2/3PP3/3B1N2/PPPN1PPP/R2QK2R w KQ d6,e4f5
r1b2k1r/1p3pp1/p7/5P2/7p/2PR4/P3N1PP/5RK1 b - -,h8h5
8/2R3pp/k1p2p2/2Pb4/pp1P1P2/2P5/1P4PP/6K1 w - -,c3b4
8/6p1/1k1p1p1p/2qPpP1P/R3P3/1P6/3K4/3B4 w - -,a4c4
r2q1rk1/p2nb2p/1pb1p1p1/2p1PP2/5P2/1P1B1R2/PB1N2PP/R2Q2K1 b - -,c6f3
rkb1r3/p2pPN1p/5Qp1/q7/2p2p2/8/1PK2PPP/3R1B1R b - -,a5a4
r1bq1rk1/pp2ppbp/3p2pn/8/2PP4/1PN3PP/P4PB1/R1BQ1RK1 b - -,h6f5
1b6/1k6/6R1/1K6/P7/8/8/8 w - -,g6g7
5r2/1k6/2b1K3/1pPpPp2/3B4/6P1/R1B1r3/8 w - -,c2b3
4k3/7p/5np1/2B2p2/p2P4/P7/5PK1/8 w - -,g2f3
r4rk1/3R3n/4p3/2p1P2p/2P2ppP/1p3P2/2b1B1PB/4RK2 w - -,e2d3
2rnk1r1/pp1q3p/5p2/3Ppp1B/8/Q1P5/P4PPP/3RR1K1 b - -,d8f7
4r1k1/1q1bbppp/1n1p1n2/1BpPp3/4P3/1PN2P2/1B1NQ1PP/R5K1 w - -,b5d7
1R6/5p1p/1P3kp1/N2r4/8/P4PPP/8/5K2 w - -,b8a8
r1bq1rk1/pp2npbp/2ppn1p1/4p3/2PPP3/2N2NPP/PP3PB1/R1BQ1RK1 w - -,c1e3
2r5/1pr1bpkp/p3p1p1/3pP3/P1n2B1P/2PB2P1/1P2RPK1/R7 w - -,h4h5
r2n1rk1/4R3/p4pB1/3P3p/7P/4P3/P5P1/2R3K1 b - -,f6f5
2r2nk1/p4pp1/1p2p2p/4P1b1/1P6/PR6/1B3PPP/1B3K2 b - -,g5c1
r3k2r/ppp2p1p/6p1/5b1n/2P2P2/1P4PN/1q1QP2P/2R1KB1R b Kkq -,b2b3
k2r4/8/p3p2p/5p2/p1n2PpP/B1R3P1/q1Pp3R/3Q2K1 w - -,c3c4
1r3rk1/1p2pp1p/p2pbnp1/q2N4/2PQ4/P5P1/1P2PPBP/3R1RK1 b - -,f6d5
8/6p1/5p2/4pP2/4P1pP/3k2K1/8/8 b - -,d3e4
8/5k2/7P/1pp2P2/p6P/P1PK4/8/8 w - -,c3c4
r1b1kb1r/pp2pp1p/2n3p1/8/2B1n3/2P1BN2/PP1N1PPP/R2K3R b kq -,e4d2
r3kr2/1bqn1p1Q/pn1p1b2/1p2p2N/1P2P3/2N4P/P1P3B1/R1B2RK1 w q -,c3e2
3r2k1/2R2p2/7p/3b3P/3N1K2/4PP2/8/8 b - -,d5a2
r2qr1k1/pp1b1pb1/3p1npp/1BpPP3/Pn6/2N1BN1P/1P3PP1/R2QR1K1 b - -,d6e5
3r1rk1/1p3pbp/1q4p1/2pP4/p1PnBB2/8/PP1Q1PPP/1R3RK1 b - -,d4e6
r1b1k2r/1ppnqppp/3ppn2/p7/2PP4/PPB2N2/2Q1PPPP/R3KB1R b KQkq -,e8g8
2r3k1/p1r1qbp1/1p1p2p1/2nP1p2/2PQpP1P/2R1P1P1/P2KB3/B1R5 b - -,f7e8
8/5p2/1n1p2k1/3P4/5P2/2P2K1P/1P6/8 b - -,g6f5
4r3/1p6/6kp/pP3p2/8/1PbB1N1P/3NKP2/8 w - -,e2d1
2r5/1br5/p3pkp1/Pp1p1p1p/3P2PP/3BPP2/1P1R1K2/5R2 b - g3,h5g4
r2q1rk1/1bpnnpbp/pp1pp1p1/8/P2PP3/3B1N2/1PP1QPPP/R1B1RNK1 w - -,f1g3
8/4pk2/3p4/1pbP4/2n3P1/3K1Bp1/8/7R w - b6,d3e2
r1bq1rk1/pp4b1/3N3p/3pN1p1/1PP3n1/3B2B1/P2Q2PP/1R3RK1 b - -,g4e5
r6r/pbnqnkb1/1p1p1p2/2pPp1B1/4P1R1/P1PB2NP/1P1Q2P1/5RK1 b - -,a8f8
rnbqr1k1/p2p1pbp/2p2np1/2p5/4P3/1NN2P2/PP2B1PP/R1BQK2R w KQ -,b3c5
4r1k1/1bqrbppp/p3p3/1p1nP3/3B4/P1N2BQ1/1PP3PP/3R1R1K w - -,c3e4
3q1rk1/1p1b1p1p/5Qp1/p1pP4/2P3P1/8/P6P/4RRK1 b - -,b7b5
2q2rk1/1p3p1p/1ppQ2pb/4p3/3nP3/1B3R1P/PPP2PP1/3R1K2 w - -,f3d3
3rk2r/p3bp2/2q1b1p1/3pPp1p/1p1P1N1P/BPN3P1/4QPK1/R3R3 w k -,e1c1
r2q1rk1/p2p2pp/1pn1pp2/2b5/2P1b3/1PQ3P1/PB2PPBP/R3NRK1 b - -,d7d5
