8/8/6b1/8/3b4/5B1p/5k1P/7K b - -,g6d3
r1bq1rk1/1pp1ppbp/2n3p1/p2n4/8/P1N2NP1/1PQPPPBP/1RB2RK1 b - -,d5b6
8/6pp/8/8/1n5P/1P3k2/p2p4/K2N4 b - -,f3e2
r7/4rppk/3R2n1/ppP3q1/1P2p2p/1QB1P2P/5PP1/R6K w - -,d6d5
rn1qkb1r/1p3ppp/p4n2/4pPB1/3pN3/8/PPP1BPPP/R2QK2R b KQkq -,f8e7
2r2rk1/3qbppp/p3pn2/1p1p4/1PnP1B2/P1N1PB1P/2R2PP1/1Q3RK1 w - -,b1b3
3qr3/1p1r1ppk/pbppbnnp/4p3/3PP3/P1P1BNNP/1PB2PP1/2QRR1K1 w - -,g3f5
r1bqr1k1/3nbpp1/p2p3p/1p6/1P1BP3/P6P/2BN1PP1/R2QR1K1 b - -,e7f6
r1q1bbk1/r7/1n1p3p/2pPp1pP/ppP1PpP1/1P1B1P2/P1QKN3/1RB3R1 w - -,g1h1
8/1r3p2/2n2kpp/p7/2P5/4N1PP/4P3/R3K3 w - -,e3g4
r1bqk2r/ppp1bppp/3p1n2/3Pp3/2P1P3/2NQ4/PP3PPP/R1B1K1NR w KQkq -,g1f3
8/4k1pp/p4p2/1pr1p3/6P1/2PK1P2/7P/1R6 b - -,a6a5
rnb1k2r/p3ppbp/2pp1np1/qp6/3PP3/2N1BP2/PPPQ2PP/1K1R1BNR b kq -,b8d7
5r2/8/3k4/1KR5/8/1P6/8/8 w - -,b3b4
r2q1rk1/pbpnbppp/1p6/3p4/3Pn3/1PN1PN2/PBQ1BPPP/R4RK1 b - -,a8c8
1rr3k1/p3ppbp/2q5/5p2/8/Q1P1BP2/PP4PP/2KR3R w - -,d1d3
8/6pk/3N1b1p/2R5/4Pn2/8/8/2K5 b - -,f4d3
6k1/3n1pp1/3P3p/5P2/p7/3q4/1P1B2PP/R6K w - -,d2b4
rnb2rk1/1pp1ppbp/p2q1np1/4N3/2BP4/2N5/PPP2PPP/R1BQ1RK1 w - -,c1f4
r1b2rk1/ppqn1pb1/2p2n1p/4p1p1/3P4/3B1NN1/PPP2PPP/R1BQ1RK1 b - -,f6d5
r4rk1/1bq1bppp/ppn1pn2/2p5/2P5/2NPPNP1/PB2QPBP/R2R2K1 b - -,f8d8
r2rb1k1/1pq1bppp/2pp1nn1/P2Pp3/P1P1P3/2NNBP2/3QB1PP/2R2RK1 b - -,c6c5
8/7p/3k2p1/1pnNb3/2p1P3/2P2B1P/2K5/8 b - -,c5d3
6B1/3n2k1/6p1/4p2p/4Pq1P/5P2/Q5K1/8 w - -,g8e6
6rk/2p4n/1p1pq2b/p4p2/P1PPpB1p/2P1P2P/3N2P1/3Q1R1K b - -,e6g6
4r1k1/1p3p2/4p1p1/1PPp4/2nP1N1p/6PP/2q2P2/Q4BK1 b - -,h4g3
3rr1k1/p4qb1/1p3n1p/1P4p1/2bPpp2/4P1PP/2NQ1PB1/1RR1B1K1 b - -,f4f3
r2r4/pp3kq1/2npn3/3N1pPQ/5P2/1P6/1PP5/2KR3R b - -,f7f8
5b2/p7/1p1p2k1/1P1Pp1P1/4Pp1K/3B1b2/P7/4B3 w - -,a2a4
r4rk1/pp1bp2p/3p1ppB/2qP4/2P3P1/4P3/P3BP1P/Q3NRK1 b - -,f8f7
8/8/p7/3p2k1/Pp6/1P1R3P/7r/3K4 b - -,g5f4
2Q1rk2/8/8/1p6/4q2P/2P4K/1P3P2/6R1 w - -,c8g4
8/6pk/r3p2p/5p2/5P1P/8/3p1P2/3R2K1 w - -,d1d2
8/p6p/k1p3p1/5p2/1PPK4/6P1/5P1P/8 b - -,a6b6
3r2k1/p1R2p1p/1r4p1/3Bn3/8/7P/P4PP1/5RK1 w - -,d5b3
rrb3k1/6pp/2P1p3/3pP3/P2N4/1p2KPP1/4P3/R1R5 w - -,c1b1
5rk1/8/1N2q1p1/5p1p/2Q2n2/1P1rp3/P1R3PP/5R1K w - -,c4f4
1r6/1r6/4kp2/b1p1p2p/2P1P1pP/R2P2P1/2K2P2/R2N4 b - -,a5e1
5k2/5p2/2p1r1p1/1p1p3p/rP1P3P/4P1P1/1RR1KP2/8 w - -,e2d3
8/3nk3/p2p4/B1pPp3/2P2pN1/P2K1Pn1/8/8 b - -,d7f6
8/k7/4p3/1n6/3P4/p4P2/4NK2/8 w - -,e2c1
r3kb1r/1p1b1p2/p1npp3/4qP1p/4P1p1/1NNB4/PPP2QPP/R4RK1 w kq -,c3e2
r5k1/p1B2p1p/4r1p1/3Rb3/4p3/1P2P2P/P4PP1/2R3K1 b - -,a8c8
3rrb2/1ppq1p1k/p1n1bnpp/4p3/3pP3/2PP1NNP/1PBQ1PPK/2BR1R2 b - -,f6g8
2b2rr1/1p2k1n1/p6p/1pP2p1n/3PpP2/2B4B/1PN1P2P/R4R1K b - -,g7e6
2r2rk1/4ppbp/p2p2p1/1p1P4/n4P2/2PBBK1P/PP1RR1P1/8 b - -,c8c7
6k1/p2rbp1p/1p2q1p1/4Pp2/3P4/3QP2P/4RKP1/4N3 w - -,e2b2
6nk/pp6/3Q2p1/2pP4/2P1BP2/5K2/P7/7q w - -,f3e3
5rk1/1p5p/p1b5/4pB2/2PB4/7P/2P4K/5R2 b - -,e5d4
8/8/4p3/pp6/5P2/1Pn1NK1P/Pk1p4/8 w - -,h3h4
r2qkb1r/pbpnnp2/1p1pp1pp/4P3/2PP4/2NB1N2/PP3PPP/R1BQR1K1 b kq -,d6d5
8/4r1k1/1p1p3p/3P4/PpB1q1R1/1P6/2P4K/7R b - -,e4g4
rn2kb1r/p2q1ppp/1pp1pnb1/2Pp4/3P3N/1QN2PP1/PP2P2P/R1B1KB1R w KQkq -,c5b6
1r4k1/3q4/4r2p/p1pp2p1/8/P1Q1P1P1/5PP1/2R2RK1 b - -,b8b5
r2q1rk1/ppp2p2/2np1n1p/2b1p2b/4P1pP/1BPP2B1/PP3PPN/RN1QK2R b KQ -,c6e7
8/7R/4kp2/r6p/8/5N2/5K1P/8 b - -,a5a2
5k2/R3np2/3N1p2/4p2p/4K3/3PP1P1/P6r/8 w - -,a7a8
8/pp2k1pp/2p2p2/2Pp4/1P6/P1P3PP/5KP1/8 b - -,e7e6
1q1rrnk1/p4pp1/2pbb2p/1p6/3PN3/PPQ2N1P/2B1RPP1/4R1K1 b - -,e6d5
2r2rk1/R1pn2pp/1p1p2q1/1P1Ppb2/2P5/1N2Q3/4BPPP/R5K1 w - -,b3d2
rn1qr1k1/p1p1bppp/1p1pp3/8/Q1PP4/6P1/PP2PPNP/R1BR2K1 w - -,e2e4
8/8/p6p/3p1k2/1P1P4/P5R1/5PKP/r4b2 w - -,g2h1
6r1/8/8/5p2/R2nk2p/7P/5PK1/8 w - -,g2f1
r1bqk2r/pp2npb1/2np2p1/2p1p1P1/2P5/1P1PPN2/PB3P2/RN1QKBR1 w Qkq -,b1c3
2rq1rk1/pp1n1p2/2p2np1/3p3p/3Ppb2/2N1PP1P/PPPQB1P1/R3R1K1 w - -,e3f4
6k1/1rq1pp1p/b2p2p1/P2P4/2PbP3/4N1P1/R2B1P1P/2RB2K1 w - -,g1g2
2rqkbnr/1b3p2/p3p1p1/2n3P1/1Q1NB3/4BP2/PPP1N3/1K1R2R1 b k -,b7e4
8/p5r1/5k2/8/1P6/P5p1/8/K5R1 w - -,a1b2
r3r1k1/p4pp1/7p/1pBpP3/2n2P2/8/P5PP/3R1RK1 w - -,d1d5
4k1n1/p2N3R/1p4p1/2p2pP1/3p1P2/P2Pr3/1PP2K2/8 w - -,d7e5
8/8/1p1k3p/p1p1pp2/2P2P1P/1P3K2/1P6/8 b - -,e5f4
r3qrk1/p4ppp/1pP2n2/2n5/5P2/P1N5/2Q1BPPP/3RK2R w K -,e1g1
8/5pk1/p7/4P1K1/1b2B3/7n/3p1P2/3R4 w - -,g5f5
k2rq3/pp5p/4ppb1/P2p4/1PnP3P/2R3N1/5PP1/2Q1R1K1 b - h3,e6e5
r4rk1/pb1pqpp1/1p1Pp2p/2p5/2P5/4PQ2/PP1N1PPP/R4RK1 b - -,e7d6
r1b1k2r/pp2ppbp/1q1p1np1/8/P3P3/2PB4/3PNPPP/R1BQK2R w KQkq -,a4a5
8/5b2/5p1p/p1k1p3/P3P1PP/2P1K3/4B3/8 w - -,e2a6
1r3k2/b4Pp1/p1p1R2p/3n4/P6P/1Bpr2P1/R4PK1/4B3 w - -,b3c2
8/3q1p1k/1r2b1p1/4p2p/2p1P2P/4PBP1/1P1R1K2/2Q5 b - -,d7e7
r2q1rk1/1pp1b1pp/1nn1bp2/p3p3/8/1PNP1NP1/PB2PPBP/1R1Q1RK1 w - -,f3d2
8/4k1pp/7r/p3p3/1p2P3/1Bb2P2/P3K1PP/2R5 w - -,c1h1
1k1r1r2/2p3pp/1n6/pN2q3/P1b5/1P3B2/2Q3PP/R2R3K b - -,c4b5
3r1rk1/4n2p/1p2qpp1/p1p5/3pPP1P/P2R2P1/1P1Q2B1/2R3K1 w - -,b2b4
7k/4b1pp/2bpQ2q/p3np2/1P3N2/P3P3/1B3PPP/R5K1 b - -,e5f3
6k1/pp3p2/2rpb3/4b2p/6pP/1P2P3/P2NBPP1/5RK1 w - -,d2c4
r1bq1rk1/1p2bppp/p1n1p3/3p4/3P1n2/P1NBPN2/1P3PPP/2RQ1RK1 w - -,e3f4
r1q2rk1/pp2ppbp/1np1b1p1/4N3/3P4/1BP5/PP1B1PPP/R2QR1K1 w - -,b3e6
r1q1r1k1/p4ppp/2p2b2/2p1pb2/8/1P2PBP1/PB3P1P/R2QR1K1 w - -,d1c1
1r1q1rk1/1ppnppbp/p1np2p1/8/P1PP4/1PN2BPP/4PP2/R1BQ1RK1 w - -,e2e3
8/1Q6/3b3k/3p2pp/3P2n1/2B1P1P1/8/5qNK b - -,g4f2
4rk2/p2n1pp1/7p/2Pb2q1/3N4/P1Q3P1/5P1P/1BR3K1 b - -,g5e5
4r3/p2b1kp1/1ppq3r/3p1p2/1P1P1P2/P2RP1P1/4Q1Bn/R5KN b - -,e8h8
6k1/1p1q2pp/2p2p2/2n1pP2/1bP5/1P4PP/rB2RPB1/3Q3K w - -,d1b1
3rk3/3n1p2/p2Rp1p1/1qp4p/2Q5/4P2P/P4PP1/3R2K1 w - -,c4f4
2rq4/pp3k2/6p1/3pRp2/7r/8/PP1Q4/1KR5 w - -,c1g1
r3b1k1/6p1/p1p2p1p/4pP2/Pp2P2P/1Pr1b1P1/2R2N2/2N2RK1 w - -,c2c3
8/8/5k1p/1P1B1p2/2n1pP2/5K2/5P1P/8 w - -,f3e2
1R3nk1/1R2r1bp/p7/8/P2P4/2P2Q2/5PKP/2q5 b - -,c1g5
3rr1k1/1p3pp1/p1n1q2p/3p4/1P1B4/P3P1P1/3RQP1P/3R2K1 b - -,d8d7
r1bq1rk1/pp2bppp/2n1pn2/3p4/5B2/PN1BPN2/2P1QPPP/RR4K1 w - -,b3d4
6k1/r3qp1p/1p6/2p5/P1BbPQ1p/1P3P2/6P1/3R3K b - -,a7a8
1r1q1rk1/ppp2nbp/2npp1p1/5p2/P1PP1P2/1P1NP1P1/1B1N3P/R2Q1RK1 b - c3,a7a5
3r2k1/1b1qb1pp/1p2p3/p1n5/2P1Pp2/1P3P1P/P3Q1BK/R3NN2 b - -,d7d4
3rr1k1/1pq2ppn/1p1pb1np/2p1p3/1PP1P3/P2PQ1PP/1B3PBK/4RRN1 w - -,f2f4
8/5kp1/8/N1p2p2/8/8/5P1P/5K2 w - -,a5b7
2r5/2Bbk1p1/1p2ppp1/3p4/3P4/4PP2/P5PP/2R3K1 b - -,e6e5
rnbqk2r/ppp1ppbp/3p1np1/6B1/3P4/5N2/PPPNPPPP/R2QKB1R w KQkq -,c2c3:e2e4:e2e3
2R5/r1b5/P7/1B1p1p2/P1pk4/8/2K5/8 w - -,b5c6
Q7/7k/7p/p7/3q4/7P/PP4P1/7K b - -,d4b2
8/8/1Kp3r1/2Pk4/6P1/8/2R5/8 b - -,g6g4
r1bqk1nr/1p3pbp/p1n3p1/2pp4/P4P2/2NP1NP1/1PP3BP/R1BQK2R b KQkq -,g8e7
r2qk2r/pppnbpp1/2n1p1bp/4P3/2BPN1P1/P1N1B2P/1P2QP2/R3K2R b KQkq -,a7a6
3r2k1/ppr2npp/2p2p2/3qp3/1B4Q1/1P2PP1P/P1R2KP1/5R2 b - -,f7h6
4k3/p1R2p1p/6p1/8/1r2PP2/1N4P1/P4K1n/8 w - -,c7c8
1r6/1P1k1p2/2pbp1p1/3n2P1/3P4/8/3BBP2/1R4K1 b - -,d6f4
r1bq1r1k/ppn1b1pp/2pp1n2/4pp2/1PN1P3/2PP1NP1/P1Q2PBP/R1B2RK1 w - -,c1b2
6b1/1pk3p1/p7/4pp1p/3rN3/1P3P2/P1P2KPP/2R5 w - -,e4g3
2r1kb1r/1p4pp/p1b1Pp2/2ppN3/7n/1P2P3/PBPP2PP/RN3RK1 w k -,e5c6
2kr1b1r/Qp3ppp/2p5/3nnq2/8/2N5/PP2BPPP/R1B2RK1 b - -,d5c3
r5k1/5pp1/1rPRb2p/p3p3/4P3/1PR4P/2B3PK/8 b - -,g8f8
8/1p2k3/p1b2p2/8/4rKP1/P7/1PR3N1/8 w - -,f4g3
1r1b2k1/p2q2pp/4b3/1Pp1Pp2/P1p2P2/2NrP3/R2B1QPP/5RK1 b - -,d8a5
r1b2rk1/1pqn2bp/p1p2pp1/2Pp4/3PpP1N/2N3P1/PP1Q1P1P/R3RBK1 b - -,f6f5
4kbr1/3r1p2/pp1pb3/4p1q1/2P1Pp1p/BP1Q1B1P/P4PP1/3RR2K w - -,d3f1
r1bq1rk1/1pbn2pp/p1p1p3/2Pp1p2/PP1Pn3/5NP1/2QNPPBP/1RB2RK1 b - -,d8e8
r3kb1r/1pqb1ppp/p3pn2/5N2/8/6P1/PPP2P1P/R1BQRBK1 w kq -,c1f4
3n2rk/rq5p/3P1b2/p1PQ1p2/R2N1P2/2P4P/6P1/R5BK w - -,c5c6
6k1/R7/8/p1r5/5PK1/8/8/8 b - f3,a5a4
rnbqkb1r/ppp2ppp/3p1n2/4p3/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,b8d7:b8c6:e5d4:e5e4
8/1p3rk1/p1b2p2/2Rr1qpp/3P4/5P1P/PP2QBP1/4R1K1 b - -,d5c5
1Q6/8/7p/2K5/6k1/8/8/7q b - -,h1c1
1qr1r2k/3bppbp/p4npB/1pP5/1P1N3Q/2N5/P5PP/4RR1K w - -,h6g7
5k2/pp3pp1/3r4/7p/Pn2P3/1Prp1PPP/3R1K2/3RN3 b - -,c3b3
6k1/ppqb1np1/4p2p/3p1p2/3P1N1P/P3P3/1P1QBPP1/6K1 b - h3,g7g5
5B2/8/6B1/4k1p1/5p2/1r3P2/5K1p/8 w - -,f8g7
8/1p4k1/p7/5RP1/4PB2/1P5p/2P3bK/3r4 w - -,e4e5
5k2/b1r2r1R/p3p3/8/bP2B3/P1p2NP1/5PK1/2R5 w - -,h7f7
8/6k1/1B2pp2/p4n1B/3P3p/1P1K3P/6P1/4b3 w - -,h5f3
3r1rk1/pbq1bp1p/1p2p1p1/1B2N2n/3P4/2P4P/P2BQPP1/R3R1K1 b - -,h5g7
2r2rk1/pp1bq1p1/1nn1pb1p/2pp4/5BNP/2PP1NP1/PP3PB1/R2QR1K1 w - -,d1d2
1r2r1k1/3q2bp/3p2p1/2pPn2n/4NP2/N3B1PP/1P4B1/R4QK1 b - f3,e5f7
r1r3k1/1b3ppp/p3pn2/1p2n2q/3RP3/2N2N1P/BP2QPP1/4R1K1 w - -,f3e5
2r5/5p1k/4q1p1/7p/p1pQP2P/P1R1K1P1/5P2/8 w - -,d4d5
r2q1rk1/ppp1ppbp/1n4p1/3Pn3/3BP3/2N2P2/PP2BP1P/R2Q1RK1 b - -,g6g5
2b5/6k1/pr1pp1p1/2p1n2p/2P1P3/3PN1PP/5R2/5BK1 w - h6,g1g2
5rk1/2rbpp1p/3p2p1/p1qP4/1p1RQ1P1/PBP4P/1P1K1P2/4R3 w - -,a3b4
8/6bp/2p1n1k1/1pPn1p2/1P3P2/3N3P/2NB2K1/8 b - -,g7f6
r3r1k1/pp3pbp/n5p1/qbpP4/4R1P1/P2B1N1P/2QB1P2/5RK1 b - -,b5d3
r3k2r/1p3ppp/1pn5/3p1b2/2pPnB2/2P1PN2/P3BPPP/R1R3K1 b kq -,a8a3
r1bqk2r/pp3ppp/2n1pn2/2pp4/1bPP4/2N1PN2/PPQ2PPP/R1B1KB1R w KQkq -,c4d5
1B4k1/5p1p/1n1rp1p1/3n4/1p3P2/6PP/PP4B1/2R3K1 b - -,d6d8
r1r3k1/3b1ppp/nq1p1n2/pp1Pp3/4P3/P1N3P1/1P1NQPBP/R1R3K1 b - -,a6c5
2r3k1/p2qn2p/6p1/2p3Q1/4p2P/P1BpP3/3P4/5RK1 b - -,e7d5
r3r1k1/ppb2ppp/2p1n3/3np1q1/1P6/PQPP1NPP/1B3PB1/R3R1K1 b - -,g5g6
2r3k1/3q3r/p2p1b2/3P1Np1/2P1pnP1/1P3Q2/3B1K2/1R5R w - -,f3e4
r3kb1r/1p2pppp/p1N2n2/2pq4/8/2P5/PP1P1PPP/RNBQR1K1 b kq -,d5c6
r2q1rk1/pp3ppp/2p1bn2/8/3Q4/2n2NPP/PP2PPB1/3R1RK1 w - -,d4c3
8/r1p1rpk1/2Bnp1pp/2R5/3P2PP/4P3/2R2PK1/8 b - -,d6c8
rn1q1rk1/pp1n1ppp/4p3/2ppPb2/8/1P2P3/PBPNBPPP/R2Q1RK1 b - -,b8c6
rnbq1rk1/pp2ppbp/2pp1np1/8/PPP5/2NP1NPP/4PPB1/1RBQ1RK1 b - a3,b8d7
4n3/8/4k3/1p6/2p1Bp2/2P5/1P1K1P2/8 b - -,e6e5
8/1p2r1kp/3R2p1/p4p2/1PP5/K3qP2/1P1Q3P/8 w - -,d2c3
2r2rk1/p2R1pp1/4p2p/1pR5/N4P2/1P5P/PB3nP1/5K2 b - -,b5a4
1rb2rk1/1pqn1pbp/p2p2p1/2pP3n/P3P3/2N2NP1/1P1B1PBP/R2Q1RK1 w - -,a4a5
1r1r1k2/1p2pp2/pNbp3p/4b1pP/1PP1PnP1/4BP2/P1R5/3RKB2 b - -,f4e6
8/7p/1k2p3/P3Pp2/1K3Pp1/6P1/7P/8 b - -,b6c6
r1b2rk1/4n1p1/p3p2p/1p2qpPR/8/2N2B2/P1PQ3P/3R3K b - -,a8a7
6r1/8/5P1P/8/2k1K3/8/8/8 b - -,g8h8
r1bqkbnr/pp2pppp/n1p5/3p4/4P3/3P1N2/PPPN1PPP/R1BQKB1R b KQkq -,g7g6
8/6p1/2k2p1p/p7/2P4P/P1K1R1P1/8/3r4 b - -,c6c5
r1b1k3/ppb2p1p/4p3/3p3q/1P4N1/7r/P3Q1P1/2BB1R1K w q -,g2h3
6k1/1p3p1p/2p2np1/3br3/1P1N4/R3P2P/2B3PK/8 b - -,e5g5
4r1k1/1pN2pbp/3p2p1/3P4/2PpP3/2nB3P/5PP1/R5K1 b - -,e8c8
r1b1qrk1/ppB2ppp/n7/1NbP4/4P1n1/1PNQ2P1/P5BP/R4K1R w - -,c7d6
4r3/pp1b1pk1/2pb2p1/3B1p2/3P1N1q/4P2P/PP1QNPR1/2K5 b - -,c6d5
r3kb1r/pppnqppp/4b3/3p4/8/2nP1N2/PPP1BPPP/R1BQ1RK1 w kq -,b2c3
r3k2r/ppb2pp1/2p1pn1q/2P2b1p/2NPp2P/1P2P1P1/PBQ1BP2/R4RK1 w kq -,c4d6
r6r/1p5k/3p2p1/p1pPn1qp/P1PpPp1b/1P3P1P/1R1QB1PN/1R4K1 w - -,d2d1
6k1/1p2bp1p/p3p1p1/P2qP3/5r2/3B2P1/2P3QP/1R5K b - -,d5g2
3r1rk1/1p3pbp/1p2b1p1/4P1P1/R3BP2/2N2P2/1PP4P/2K4R w - -,e4b7
8/rp6/2p2nk1/P1P1Q2p/4P3/7P/6P1/6K1 w - -,e5f5
r2q1rn1/2p2pbk/1p1p2pp/p1nPp1N1/2P1P1bP/P1N1B3/1PB2P2/R2QK2R b KQ -,d8g5
4kb1R/1q1n1p1P/3p1p2/p1pPp3/P1R1P3/4N2Q/1rBK1P1P/8 b - -,d7b6
1rbq1rk1/pp1nbppp/4pn2/2ppN3/3P4/2P1P1P1/PP1N1PBP/R1BQ1RK1 b - -,d7e5
1r2r1k1/q1pn1pb1/6p1/P1pP3p/2Q2P2/NP4PP/3B2BK/1R6 b - f3,h5h4
2b2rk1/1pb4p/2p1pqp1/2Ppn3/1P1N4/2Q4P/5PP1/1B1RR1K1 w - -,e1e2
2nr4/ppb4R/2p1Pk2/6p1/4B1P1/1P4P1/P4K2/8 w - -,h7c7
3q2k1/pr4pp/1p1b1n2/2p2p2/2Pp4/1P1P2P1/PBQN1PKP/4R3 w - -,c2d1
3r2k1/2Q2p2/pr1pp1pp/8/P2bP3/q1N2P2/4N1PP/2R1BK2 b - -,d8b8
bq2rbk1/3n1p1p/pp1ppnp1/2r5/2P1P3/1PN1BP2/P1NQ2PP/1BR1R2K b - -,c5c8:c5c7
6k1/8/3pN1p1/p1pPp3/2P1P3/4K2R/2q5/8 w - -,h3f3
2br2k1/1p2b1pp/1Pp1p3/P3Pp1P/4B3/4B1P1/5P2/R5K1 w - f6,a5a6
rnbqkbnr/p1p2ppp/1p2p3/3p4/4P3/3P4/PPPN1PPP/R1BQKBNR w KQkq -,g2g3
5k2/5p1p/p5p1/3Pp3/bP4P1/7P/4BPK1/8 b - -,f8e7
r3k1r1/3bb3/p2q2pp/3n1p2/2pNpPP1/P1P1B1P1/P4NK1/R2QR3 b q -,a8d8
3r3k/pb2p1bp/1pn1qrp1/2p5/P3BPQ1/N1P4P/1P4P1/R1B1R1K1 w - -,g4h4
1r2r1k1/pb3pbp/1p1q2p1/2pN1n2/2Pp4/P2P2P1/3BPPBP/1RQ1R1K1 w - -,d2f4
r1b1kbnr/pp4pp/1qn1p3/3pP3/8/P4N2/1P2BPPP/RNBQK2R b KQkq -,g8e7
rnb1k2r/pp2q1pp/2pbpn2/3p1p2/P1PP4/1P1BPN2/5PPP/RNBQ1RK1 b kq a3,e8g8:f6e4
8/5p1k/R7/5PK1/3n3P/8/8/8 b - -,h7g7
2bq4/5pk1/1p1r4/p1p1b1pp/P1B1Pp2/1NP2P1P/1P3QP1/2R3K1 w - -,f2e2
6k1/5p1p/B3p3/2p2p2/3b4/6P1/P3RPKP/3r4 w - -,e2c2
1r2r1k1/1q1nRppp/p2p4/P1p2P2/1n1P1B2/1B3N1P/5PP1/R2Q2K1 b - -,e8e7
2r1rqnk/1p3p1p/p2p2p1/3Pn3/P1PN1QP1/1P5R/2B4P/5RK1 b - g3,f8g7
r3k1nr/pp2p1b1/2n5/4p1N1/3P2p1/6P1/PP5P/R1B1RNK1 w kq -,g5e6
r2q1rk1/pp1bb1pp/2nn1p2/4pP2/3pP3/1P1P1NPP/P3N1B1/R1BQ1RK1 w - -,g3g4
r4r1k/p5pp/3q4/4P1P1/2R1pp1P/P3P3/1P3P2/3Q1RK1 b - -,d6g6
r1br2k1/ppq1b1pp/2n2p2/2pnp3/P1N5/2PP1NP1/1P2QPBP/R1B2RK1 b - a3,e7f8
r3k2r/1p1n1pp1/p1p1b2p/2Pp2q1/3P2P1/2N1Pn1P/PP2B3/R1Q1K2R w KQkq -,e2f3
r4rk1/1q3ppp/3p1b2/3Np3/3nP3/N7/PP1Q1PPP/R3K2R b KQ -,f8b8
3r1rk1/bq4pp/p1Rp4/8/1P6/P3P1B1/5PPP/3QR1K1 w - -,c6d6
r5k1/2pqnrb1/bpn3p1/p2p1pPp/P2P1P1N/BPP3NP/6B1/R2QR1K1 w - -,g3h5
