8/7p/1b2p1p1/5p2/5PP1/5K1P/2k1N3/8 w - -,e2g3
3r2k1/pR1b2bp/5np1/q2P4/2P2BP1/4Q2P/P4P2/4R1K1 w - -,f4c7
5rb1/p7/1pkNpP2/2p1P1p1/2Pp2Pr/3P2K1/P4R2/1R6 b - -,g8h7
r2q1rk1/1b1np2p/1pnp1pp1/3N4/1PP1PP2/4QN1P/1R2B1P1/3R2K1 w - -,b2d2
r4k2/1R2bp2/4p3/8/2P1N3/8/P3K3/8 w - -,b7b2
6k1/pp2b1p1/7p/2pPp2q/2P1N3/3P4/PP4QP/4K3 b - -,b7b6
r4rk1/pp2ppbp/2np1np1/2q5/2P1P1b1/1P4P1/P1N1NPBP/R1BQ1RK1 b - -,c6e5
5k2/5ppp/1b2p3/8/1p1N4/rP1nPNP1/2R2PKP/8 w - -,c2d2
3r3r/p1kbb2p/1pn1pnp1/2p3N1/5P2/2P1N1P1/PP3BBP/R3K2R w KQ -,g5f7
2r2rk1/1b2qppp/p7/B6n/1P1p4/P2Q1P2/4N1PP/3R1RK1 b - -,b7d5
r1bq1rk1/2n1ppb1/pnpp2pp/1p2P2P/2PP1P2/2N1BN2/PP1QB1P1/2KR3R w - -,h5g6
3r2k1/ppq2ppp/2Pb1nn1/8/8/PPNBrP2/1BQ3PP/R4R1K b - -,d6h2
8/6k1/p3r1pp/2p2q2/P2pp3/1P5P/2P1QPP1/4R1K1 w - -,e2d2
8/8/4p3/6PP/2K5/4P3/3k2P1/b7 b - -,d2e3
r4rk1/pp1qppbp/2np1np1/6B1/4P3/2N2N2/PPP2PPP/R2QR1K1 b - -,h7h6
1r4k1/5p2/6p1/1q2Q2p/7P/1p4P1/1R3P1K/8 w - -,e5c3
3r2k1/1br1bppp/p2pp3/2n3PP/NR2P3/4BP2/1PP1B3/2KR4 b - -,c5a4
rnbq1rk1/p1p1bppp/1p3n2/3p2B1/3P4/2NBP3/PP3PPP/R2QK1NR w KQ -,h2h3
4r3/2p4p/1p1p1k2/p3rp2/1PP5/5PP1/P1R2K1P/3R4 w - a6,f3f4
r3r1k1/pp1b1ppp/2nq4/2pNb2Q/3p1N2/3P2P1/PPP2PBP/R3R1K1 w - -,a2a3
8/3k1p1p/1n4p1/pp2PPPP/2pK4/P7/1P2B3/8 b - -,g6f5
rnb1qr1k/pp2p1bp/2pp1np1/3P1pB1/2P5/1QN1PN2/PP2BPPP/R4RK1 b - -,b8a6
2r2r1b/3npk1p/p1qpp1p1/1p6/2P2PQ1/1P2P1PB/P6P/1RB2R1K w - -,h1g1
n4rk1/p2nbpp1/b3p2p/q2pP3/1p1P2NP/r4NP1/PQ1B1PB1/R1R3K1 w - -,h4h5
7r/3q2k1/2p1p1p1/Q3P3/P1pP2R1/5N1P/1r4PK/8 b - -,b2b7
5k1r/2p1qp2/3p2pp/1B1PnQ2/1p4P1/4P2P/rPP2R2/2KR4 w - -,f5f4
1rbq1rk1/4ppbp/p2p1np1/n1pP4/2p5/1PN3P1/PBQNPPBP/R4RK1 w - -,b3c4
r1b1r1k1/5ppp/1p6/1R6/p4B2/2P5/PPN2bPP/2K4R w - -,c2d4
r7/1p2pp1p/2kpb3/p3b1P1/P1P1P1PP/1P2BK2/2R5/2N5 w - -,c1d3
r1bqkb1r/pp2pppp/1nn5/3pP3/3P4/1B3N2/PP3PPP/RNBQ1RK1 b kq -,c8g4
4r1k1/1b4pp/3bp3/1q1n1p2/1npP1P2/1p3NP1/1P2Q1BP/R4RBK w - -,a1a7
2qr3k/3r1pp1/1pp1p2p/p2BPb1P/P2R1B1Q/2P3P1/1P1R1P1K/8 b - -,c6c5
4r3/pp3pkp/6p1/n7/3R1b2/P1P5/6PP/5K1R w - -,d4f4
3r4/pp4k1/3b1pp1/4p3/1P6/P6P/2r2P1P/R1B2RK1 w - -,c1e3
6k1/2q3pp/1p2b3/5p2/P4P2/2PB2bP/1P3nP1/1RQ3K1 b - -,f2d3
2r2rk1/p3pp1p/1q4p1/8/2pPP3/R4P2/PP5P/2Q2RK1 b - -,b6d4
1R6/8/3p1k2/1P1P1p1p/6P1/5K2/3r2P1/8 b - -,h5g4
8/8/6p1/8/5k2/7K/8/8 w - -,h3g2
8/4r3/1p2K1Bk/1PbR3P/8/8/8/8 w - -,e6f6
2n3R1/1K6/P7/8/5kp1/2r4p/8/8 w - -,g8f8
8/5pp1/2nNp3/1k2P2p/3P1P2/p1K3P1/7P/8 b - -,b5a4
3r2k1/1N2npb1/2n1p1pp/p7/1pRP2P1/1P1NB2P/P4P2/6K1 b - -,d8d5
3r2k1/p4ppp/1p2pn2/2b2q2/2P5/1P2B1P1/PQ2PPKP/3N1R2 b - -,c5d6
r2r2k1/p4pp1/Qp2pq1p/5n2/1P1N4/4P3/P1R2PPP/2R3K1 w - -,d4f3
8/1p1r3p/1p2pk2/2p5/3P3R/1P3K1P/P7/8 w - -,d4c5
r3k3/6pp/5p2/p1B1NbP1/P1B5/7P/5P1K/8 w - -,c4b5
7k/7p/R5p1/3B4/2P4P/P5P1/5P2/r3nK2 b - -,e1d3
8/8/p4P1b/5k1p/3B4/6K1/P7/8 b - -,f5g6
rnbq1rk1/pp3pb1/3ppnpp/2pP4/2P1P3/2N1B3/PP1QBPPP/R3K1NR b KQ -,e6d5:g8h7
2r3k1/5ppp/1p1p2b1/p7/P2P1n2/2B1NP1P/1P4P1/R3K3 b - -,f7f6
3r2k1/3q4/4p1p1/pp2P1p1/2p2P2/Pb1p2R1/1P1Q2PP/R6K b - -,d7d4
8/8/2p4k/2PpB3/1P1P2P1/8/1r5P/r4RK1 b - -,a1f1
r1b3k1/1rq1bp1p/3p1np1/p2Pp3/R1p1P3/2P1BNNP/1P2QPP1/R5K1 b - -,c8d7
8/5p1R/2k5/8/3B4/3BP3/r5P1/4K3 w - -,h7f7
3rrbk1/pp3qpp/2b5/8/P3p3/1P2N1PP/1BQ2P2/3R1BK1 b - -,g8h8
2rq1r2/p2b1pk1/5np1/2pPp2p/4P2P/6N1/PK1Q1PP1/3R1B1R w - -,b2a1
2rr2k1/5pbp/pq2p1p1/np1p4/3P4/1PPQBN1P/P4PP1/2R1R1K1 b - -,d8d7
r5k1/1b1nbp1p/2qp1np1/1p2p3/4P3/1PP1NN1P/2BB1PP1/3QR1K1 w - -,c3c4
6k1/6p1/7p/3p4/3R4/1P6/2r2PPP/5K2 b - -,c2b2
2r3k1/2rq2pp/pp2pb2/3p4/1PnP1P2/P1NQP2P/R3N3/5RK1 w - -,f4f5
r2qk2r/pb1n1ppp/1p1Ppb2/3n4/3pN3/2PB1N2/PP2QPPP/R1B2RK1 w kq -,c3d4
8/2r4p/6p1/3k1p2/Bp5P/4r3/PKP3P1/2R5 w - -,c1d1
3r1qk1/3n1p1p/p4npb/3b4/1p1Q4/4NP2/PP4PP/2RNRBK1 w - -,e3d5
8/2Q2bk1/8/6pp/4q3/6P1/5P2/6K1 w - -,c7c3
4k3/p1p4p/8/1P1B4/P1P2ppn/3P1p2/3K1P1P/8 b - -,h7h5
2kr1b1r/1ppqnp2/p2p1n1p/3Pp1p1/P3P3/3QNN1P/1PP2PP1/R1B2RK1 b - -,g5g4
1B4k1/5rpp/2q2b2/pp5Q/2p5/P5P1/1P3P1P/4R1K1 b - -,f6b2
8/8/8/R6P/8/1k4r1/5K2/8 b - -,g3g8
3k4/1pp5/p2pb3/4p2p/4Pp1P/P1PP1Pr1/1P1N1K1R/8 w - -,d3d4
r1r4Q/pq2k2p/4b1pN/3p4/1P6/5P2/P1R3PP/6K1 w - -,h8g7
8/Q2bpk2/3p1np1/2pP3P/2P5/1P2q2P/3NP3/3K1B2 b - -,g6h5
rnb2rk1/pp2ppbp/3p1np1/2q5/4P3/2NB1N2/PPPB1PPP/R2Q1RK1 w - -,d2e3
1b6/1p2qp1k/p4prp/4p3/3nP3/P3Q1P1/1P2NR1P/5R1K w - -,e2c3
4rr1k/pb1qn1bp/1p4p1/2p1pp2/4P3/2PP1NP1/PP2QBBP/3RR1K1 w - -,e4f5
r3k2r/1bqnbppp/p2ppP2/8/5P2/1NpB4/PPP1QBPP/1K1R3R b kq -,d7f6
8/1pk3pp/8/pBP1b3/3pP3/6P1/PP2K2P/8 w - -,e2d3
rr1q1bk1/1p3ppp/3p1P2/p2Np3/1n2Q3/1P5R/P1P2PPP/2B2RK1 b - -,h7h6
r1bq1rk1/p3ppbp/2pp1np1/2p5/4PP2/1PN2N2/PBPPQ1PP/R3K2R b KQ -,a7a5
8/p7/k7/1p3qp1/4R3/1P2BB2/P3K3/8 b - -,a6a5
r1bq1rk1/pp2ppb1/2n2npp/2p5/2B1P2B/2P2N2/PP1N1PPP/R2Q1RK1 b - -,f6h5
1krrb3/1pq2pp1/p2ppb1p/8/4PP2/1NPNQ1P1/PP1R3P/1K1R4 b - -,e8c6
8/8/8/8/4n3/3rk2P/R5PK/8 w - -,a2b2
8/8/1p2kp2/p1p1n1pp/PnPp3P/1P1P1NP1/4KP2/2N5 b - -,e5f3
r1b1k2r/1pq2ppp/p3pn2/8/1b1N1P2/1PN1BQ2/1PP3PP/2KR3R w kq -,d4e2
3r2k1/1q1rnpbp/1pb1p1p1/p1p5/2PP2P1/P3PP2/1B3QBP/2RR1NK1 w - -,h2h4
8/7p/6p1/2P2p2/1B2p2P/P2kP1P1/2r2P2/5K2 b - -,c2c1
3r1k1r/p1p2p2/b1pp1N2/4n2p/2P3pP/1P2R3/P4PP1/2K2BR1 w - -,f2f4
8/B7/8/1K2kp1p/7P/6P1/2n5/8 w - -,b5c6
r2qr1k1/1bpnbppp/p2p1n2/1p2p3/P3P3/2PP1N1P/1PBN1PP1/R1BQR1K1 b - -,e7f8
r3r1k1/2qnbp1p/pp1pp1p1/6Pn/2PN1P2/1PN1PQ2/PB4KP/3R1R2 b - -,a8c8
r2r2k1/3nqpp1/1bbNpn1p/p7/4PB2/2RN2P1/1P2QPBP/3R2K1 b - -,d7b8
r4rk1/1bqn1pp1/p2b1n1p/1ppP4/7B/2NQ1N2/PP2BPPP/R4RK1 w - -,f1d1
q4rk1/pp2p1bp/1nn1b1p1/5p2/3pPB2/Q4N2/PP3PPP/2R1KB1R w K f6,e4e5
r4rk1/1p2qpbp/3pn1b1/p2Bp1p1/P1P1P3/1PB3P1/3NQP1P/R1R3K1 w - -,d2f1
2rqr1k1/3b1ppp/np1b1n2/p1pp4/3P4/P1N1PPP1/1P1BN1BP/1Q1R1R1K b - -,a6c7
r3b1k1/n3qppp/r3p3/1pNp4/1PnP4/1QN1P3/4BPPP/R5K1 w - -,a1a6
r1bq1r1k/ppp3bp/3p2p1/3Ppn1n/1PP1N3/2N3P1/P4PBP/R1BQ1RK1 b - -,f5d4
8/p4pkp/6p1/1P6/P3p3/4P2P/1R3PPK/r7 w - -,b2b4
r4k1r/2pnqp2/p2b1n1p/1p2pQ2/4P2B/2P2R2/PPB2PPP/3R2K1 b - -,f8g7
2r5/4p3/5kb1/1p1P4/rPp1P3/P3K3/5P2/R1R5 b - -,e7e5
2b2r2/2p3k1/1p1p2pp/pB1Pp2n/PP2P3/2P3P1/3N2KP/R4r2 w - -,a1f1
r5k1/1b1n1p1p/4pPpb/pp1pP3/3P2P1/1P1N1q2/1BQ4R/6RK w - -,c2g2
1r3rk1/pb3ppp/8/b1pnp1N1/7P/1PqPB2Q/P1P1BPP1/2R2K1R b - -,d5b4
r3r1k1/1pp2p1p/3pnqp1/3Pb3/p3P3/5PPP/PPRQ1BB1/4R1K1 b - -,e6d4
r1b3k1/p2p3p/4p1pB/1B1nqr2/1P2N3/2p2P2/2Q3PP/4K2R b K -,d5b4
4r1k1/p4pp1/4r2p/8/3R1P2/2P1PqP1/P4Q1P/4R1K1 b - -,f3c6
rnbqk2r/ppp1ppbp/5np1/3P4/2BP4/5N2/PPP1QPPP/RNB1K2R b KQkq -,f6d5
8/7p/1p2b1p1/p1p1k3/3rB2P/1PR2PP1/P3K3/8 w - -,c3e3
8/2q2pkp/p5p1/8/8/7P/1Q6/6K1 b - -,f7f6
2r2rk1/2q3p1/p1p1p2p/1pPppbb1/1P1B1N2/P3PPP1/6B1/2RQ1RK1 w - -,e3e4
4rR2/p3P1pp/2b1k3/2pN4/2P5/8/P1P2KPP/8 w - -,f2e3
4r1k1/p4pp1/2bQ1n1p/q1p5/P2p4/1P1B3P/2P1NPPK/3R4 b - -,c6e4
8/8/p2p3r/2p1p2p/k1P1P1r1/P3RKP1/8/7R b - -,g4g8
8/7p/6rP/Pk5K/1P6/8/8/4B3 w - -,e1d2
4rbk1/1b3np1/pP1p2p1/8/P2pP2Q/2q4B/2P4P/2B2RK1 b - -,e8e4
6Nk/2R2Rp1/8/4P1P1/p2P4/8/P4QPK/1r1q4 b - -,d1h5
r2r2k1/1p1n1ppb/2pBp2p/2Pn2qP/p1BP4/5QN1/PP2RPP1/3R2K1 b - -,d7f6
8/2k3pp/2pr4/3n1p2/2B1rP2/R3PKP1/7P/2R5 b - -,c7b6:c7b7
1n6/8/p7/1p2r1k1/1P2B2p/2PK2pP/6P1/5R2 b - -,b8d7
5rk1/1ppq2bp/3p2p1/1P6/2Pp1nb1/3P2P1/4P1BP/1RB1Q1K1 w - -,c1f4
r2q1rk1/1b3pbp/p5p1/3p4/2pP1B2/7P/PP2BPP1/2RQ1RK1 b - -,d8b6
2r1rb2/5kpp/2p1n3/B3P1q1/2Q1pN2/4P2P/5PP1/1R4K1 w - -,b1b7
r2qkb1r/pppnp2p/6p1/5pB1/3Pp3/4P3/PPPN1PPP/R2QK2R w KQkq f6,c2c3
3r4/p2nk2p/1pr1pbp1/PRp2p2/2PP1P2/2PBB2P/4KP2/6R1 w - -,g1d1
r2q1r1k/4n1bp/3p4/p3pp2/1pP5/1P2N3/1PN1QPPP/2KR3R b - -,a5a4
3r1rk1/1p3qbp/2nppnp1/p1p5/2P5/PQN1P2P/1P2BPP1/1RBR2K1 w - -,c1d2
3r2r1/pp3k1p/2pbpp2/8/3P2q1/5PN1/PPP1Q2P/2KR3R b - -,g4g5
r1bqnrk1/4ppb1/pp1p1npp/2pP4/1PP5/P1N1P1BP/2QNBPP1/1R3RK1 b - -,f6d7
8/6pk/pR3p2/2p2P2/2P2P2/1P3K2/3r4/8 b - -,h7h6
6k1/b5q1/p1b4p/1p2Pp2/2n2P2/PPNr2P1/7K/R1B1Q3 b - -,g7g4
6k1/1N6/4n1p1/R1n1r3/8/4P2P/5PB1/6K1 w - -,b7c5
2rq1rk1/3n1pbp/p1npp1p1/1p6/1P2PPP1/P2BBQ1P/2P1N1K1/1R3R2 w - b6,f3f2
r1bR4/pp3kp1/6p1/8/2nP4/8/PP3P1P/4R2K w - -,e1e8:b2b3
8/1p6/p7/2N2k1p/1P6/3b1K2/1P6/8 b - -,d3b5
r1bq1rk1/pppn1pbp/3p2p1/4p1Pn/3PP3/2N1BN2/PPPQ1P1P/2KR1B1R b - -,d7b6
6Q1/5p2/p2p2k1/2pPq3/5p1P/8/P7/2K5 b - -,e5g7
2r1r1k1/1p1q2b1/p1p1p1b1/2Pp1pPp/P2P1P2/1P1B1P2/1BQ1R1K1/7R w - -,h1e1
r1b2rk1/ppppnppp/5q2/8/1bB1PP2/2P3Q1/P5PP/RNB2RK1 w - -,c3b4
r2qr1k1/1bp1bppp/p1np1n2/1p2p3/4P3/2PP1N2/PPBN1PPP/R1BQR1K1 w - -,d2f1:d3d4
r1bq1rk1/p2n1pbp/2pp1np1/1p2p3/3PP3/2N1B1PP/PPP1NPB1/R2Q1RK1 w - b6,a2a3
8/8/3K4/4p3/P7/4P1k1/8/7b w - -,d6e5
rnbr2k1/ppq2pbp/1npp2p1/8/2PP1P1N/2N1B2P/PP2B1P1/R2Q1RK1 w - -,f4f5
2Q5/4k1r1/pq6/2p1Pp1P/2pp4/1P1PnRB1/P3K3/8 w - -,d3c4
r1bq1rk1/pp2bp1p/2n1p1p1/8/3PNB2/1QP5/P3BPPP/R4RK1 b - -,b7b6
rnbqk1nr/ppp1ppbp/6p1/3p4/3P4/P5P1/1PP1PPBP/RNBQK1NR b KQkq d3,g8f6
2R5/r4pk1/3N2p1/6P1/6P1/5PK1/8/8 b - -,a7a5
r5k1/pp1nrppb/q1p4p/5P2/2NP2Pb/PP2P3/6B1/R1BQ1RK1 w - -,c1b2
2r1r3/p7/4bpkp/1p1n4/3B2PP/1PP2N2/PK3P2/3R2R1 b - h3,d5f4
r2q1rk1/1b1nppbp/pp1p1np1/8/1PPp1B2/P1N1PN1P/4BPP1/R2Q1RK1 w - -,e3d4
r1b2r1k/ppqn2p1/2n1p1p1/2p1Pp2/2Pp1B2/3P2P1/PP1NQPB1/R4RK1 b - -,h8g8
8/8/p2P2R1/5k1P/1P1r4/P7/4K3/8 w - -,e2e3
5Bk1/2q2pp1/4p3/p2bP3/5Q2/1p3P1P/6PK/8 w - -,f8a3
3r2k1/5p2/4n1p1/2n1p2p/2Qb4/5P1P/P5P1/1R3K2 b - -,e6f4
rn1qkb1r/pb1p1ppp/5n2/1ppP4/P7/6P1/1P2PP1P/RNBQKBNR w KQkq -,f1g2
3r1b1r/1k4p1/pPp2n2/3pR2p/6qP/2NQ2P1/1PP2P2/R5K1 b - -,g4c4
3q1rk1/5p1p/3p1bp1/2P5/1p1pPPQ1/1P1B4/r5PP/1R2R1K1 b - -,d6c5
8/1p3k2/p2p3p/P2n4/1PQPppq1/8/5P1P/B5K1 w - -,g1f1
r4k1r/1B3p1p/ppQ5/8/Pb2P1K1/4P1p1/1B5q/R4R2 b - -,h8g8
8/R5pp/4b3/1pk5/3pp3/1P5P/4K1P1/8 w - -,a7e7
r4rk1/1bp1pp1p/p2q2p1/1pnPp3/4P3/P1N1P3/1PP1B1PP/R3QRK1 w - -,e1h4
r1b1k2r/3p1ppp/2n1p3/1p6/4P2q/4N3/PPPQB1PP/R3K2R w KQkq -,e1d1
r1r1n1k1/p4ppp/bpP1p3/4N3/P1P5/B7/5PPP/2R1R1K1 b - -,f7f6
8/4k1pp/1p2b3/2P1p3/1P2P3/1r3PK1/1nR3PP/2R5 b - -,b2d3
r4rk1/1p2pp1p/1p2bbp1/n7/3P4/P1N1PN2/1P3PPP/R3KB1R w KQ -,f3d2
3Rr1k1/2p3p1/1p2qp1p/p1b1p2n/P1N1P3/1PP2N1P/2Q2PP1/4RK2 b - -,e8d8
3r4/8/7P/5PP1/1p2kBK1/3p4/1P6/8 w - -,h6h7
r2qkb1r/1b3ppp/p2pp3/2n5/Pp1NnP2/3B4/NPP1Q1PP/R1B2R1K w kq -,a2b4
2r3k1/r4pbp/p4Bp1/8/p2R4/2N5/1PP2PPP/5RK1 b - -,g7f6
8/r4p2/5R2/4p3/3k1p1p/5P1P/2P1K1P1/8 w - -,f6d6
8/8/7p/p2k3r/P4R2/1KP5/8/8 w - -,f4f6
r4rk1/ppq2ppp/2n5/3npB2/8/2P5/P1PB1PPP/1R1Q1RK1 w - -,d1f3
3k4/1R6/5p2/1P1pb1P1/8/1r2PK2/6N1/8 b - -,f6g5
r2qk2r/pp1bbpp1/1npp1n2/8/2PN1P1p/1PN1P1P1/P5BP/R1BQ1RK1 w kq -,f4f5
2rq1rk1/pb3ppp/1p1bpnn1/2ppN3/3P1P2/2PBPRB1/PP1N2PP/RQ4K1 b - -,f6h5
rnbqkb1r/5ppp/p2ppn2/1p6/3NP3/2N1BP2/PPPQ2PP/R3KB1R b KQkq -,c8b7:b8d7:d8a5:b5b4
1r6/3R3p/p3pkp1/8/8/3P2P1/1P3P1P/6K1 w - -,d7a7
2n4r/1kp3B1/pp6/4pPN1/2Pb3P/P1K5/4b3/4R3 w - -,c3b3
8/2k5/7r/3R4/3PPP1p/7K/8/8 b - -,c7c6
q1r1k2r/1b1nbpp1/pp1ppn2/8/1PPNPP1p/2NB2Q1/P5PP/2R2RBK w k -,g3e3
2rk3r/5pp1/3Pb3/2p4p/Rn6/8/PBP1B1PP/5RK1 b - -,d8d7
6Q1/pp1R2b1/6pk/4r2p/5qP1/1P2p2P/P4N2/6K1 w - -,g8g7
2b5/1p2kp1p/4p1p1/r7/P1P1K3/1r5N/5PPP/5B1R w - -,f1d3
1rb2rk1/pp2pp1p/6p1/3q4/3b4/2P5/PP1QBPPP/R4RK1 w - -,c3d4
r7/8/1p3kpp/1p1p1p2/1PbP1P1P/P3R3/3K2B1/8 w - -,e3g3
8/8/7p/1r3p2/1P1K1k2/7P/1R3P2/8 w - -,b2b3
r2r2k1/5pp1/2bppq1p/7P/pp2PPQ1/5N2/PPP4P/1K1R2R1 w - -,d1d4
r1bq1rk1/5pbp/2n1p1p1/1p6/p2PP2P/4B3/P1B1NPP1/1R1QK2R w K -,h4h5
2rq2k1/p4Ppp/bp3b2/3p4/P2P3P/1P4P1/1BrQNRB1/R5K1 b - -,g8f7
6k1/4p2p/2q3p1/3p4/2r1pP2/PQ6/R1P2KPP/8 b - -,d5d4
8/5kpp/3Bn3/4Pp2/1R3P2/4r2P/6P1/6K1 b - -,f7g6
3r2k1/p4ppp/5b2/q1r5/1pB1PP2/8/PPR1QP1P/5RK1 b - -,f6e7
r2q1rk1/5ppp/1npppn2/p7/2PPP3/2B2PP1/PQ4KP/3RNR2 b - e3,b6c4
r1bqk2r/p2nbpp1/2n1p2p/1pppP2P/8/3P1NP1/PPP1QPB1/RNB1K2R w KQkq b6,e1g1
8/7p/3n4/6P1/5p1P/1K1k4/3N4/8 w - -,d2f3
8/4kp1p/4p1p1/2n5/8/2r2BPP/3R1PK1/8 w - -,f3e2
rn1qkb1r/1b3ppp/p3pn2/1pp5/3P4/2NBPN2/PP3PPP/R1BQ1RK1 b kq -,c5d4:b8c6
7b/5p2/5P1P/p2k2P1/P7/5K2/B7/8 b - -,d5e5
r2k3r/1pp1bppp/p1n1b3/3p4/B2P1B2/2P5/PP1N1PPP/R4RK1 w - -,f1e1
r5k1/p3q3/3p3b/1p1PpQ2/2p1P3/2P5/PP4PP/4R1K1 w - -,f5g6
6r1/8/2k1p3/1Rp2p1p/P7/1P2K1P1/5P2/8 b - -,h5h4
rn2kb1r/pp2pppp/1qp2n2/3p1b2/3P1B2/4PN2/PPP2PPP/RNQ1KB1R w KQkq -,c2c4
8/R5P1/3nb3/1P1k4/8/8/5K2/8 w - -,a7e7
1r2b1k1/4pp1p/p2p2p1/b2PnP2/2P1P3/1N5P/P3N1P1/2B2RK1 b - -,a5b6
8/p3p3/3p1pk1/3P2pp/1p1P4/1P4PP/P2RKP2/2r5 w - -,e2f3
8/5pk1/8/5PPK/1r6/R5P1/8/8 b - -,b4b1
2rqr1k1/pb1n1pp1/1p5p/3p4/3B2n1/1P1BP3/P3NPPP/1QR2RK1 b - -,g4e5
r2r1k2/1p3p1p/2p1p3/3n2p1/3P1P1q/P3PB2/5P1P/R1R1Q1K1 w - -,f4g5
r2qr1k1/pp2Bpp1/2p3p1/P2n4/R2P4/6PP/1P3PB1/3Q1RK1 b - -,e8e7
8/p5k1/3R3p/6p1/3N2P1/8/nr3P2/6K1 w - -,d4f5
3r4/6p1/1k3p1p/1pR4P/1P6/2P2KP1/5P2/8 w - -,f3e4
2r5/3n1pk1/p2np1p1/q2p3p/PNrP1P2/5P2/1R1QNKPP/R7 b - -,d6f5
r1b1nrk1/1pqnbp1p/p2pp1p1/4P3/5P2/1NNB4/PPPBQ1PP/4RRK1 w - -,f4f5
r1b2rk1/1p2ppb1/p1np1n1p/2q3p1/2P1P3/2N3B1/PP1NBPPP/1R1Q1RK1 b - -,c6d4
3rr1k1/p3qp1p/QpR2np1/3p4/1N1Pp3/P3P2P/1P3PP1/2R3K1 b - -,g6g5
rq4k1/3nbppp/B2p1n2/R2Pp3/8/1r1NB3/5PPP/R3Q1K1 w - -,d3c1
7k/3K1Qb1/4p2p/8/2qP1BP1/4P3/8/8 b - -,c4d5
r1bqk1nr/pp3ppp/2nb4/1B1p4/2pP4/1PP1BN2/P4PPP/RN1QK2R b KQkq -,c4b3
8/P3k3/7R/4p3/3pN3/8/r4pK1/8 b - -,e7d7
4r3/p2q2k1/1p4p1/2p2p2/2Pb1PPp/4p2P/PPR3Q1/5R1K b - -,a7a6
8/5Qbk/2P3p1/5p1p/2B5/2r2KP1/3r1P1P/8 w - -,f3g2
8/p3kp1Q/1p2qp2/b2R4/2Pp4/P5P1/5PKP/4rB2 b - -,e6e4
2rrn1nk/pb3pp1/1pp4q/3p1P2/2PPpR1P/PP2P1Q1/3NB2P/B5RK w - -,f4g4
8/7p/3r1k2/5p2/P1BppP2/1P6/6KP/3R4 b - a3,d6d7
5rk1/p1r3pp/Bn1Np3/4P3/2p5/Pb1p2P1/1P1R3P/4R1K1 w - -,d6b5
8/8/5k2/1K6/r7/8/P3R3/8 b - -,a4a3
r2qkb1r/ppp1p3/2n2Pp1/2np1b1p/5P2/1PNP1NPP/P1P5/R1BQKB1R b KQkq -,e7f6
2r2rk1/pp2bppp/4q3/2ppP2b/3P4/P1N1P3/1P2Q1PP/2R2RK1 w - -,e2h5
8/p4r2/1p6/k5p1/3Q4/8/5r2/6K1 w - -,d4c3
r2qk2r/pp1nb1pp/2p5/3pPp1b/5PP1/2N4P/PP2P1B1/R1BQ1RK1 b kq -,f5g4
